small 	 stay club room find slightly small large enough rarely room . adequately clean club room come breakfast great , plenty fruit , yoghurt , bagel , toast , juice , cerial coffee . check quick staff always friendly . last day one group though lose passport hotel staff could not helpful , particularly Curtis . would definitely stay 
 Perfect location 	 book trip March 09 slightly worried review read say please people ! ! check service could not well show nice room 8th floor 2 double bed . massive room small mean clean sign bug ! service security good make we feel safe know people show room card use lift . all would definately go back Milford although maybe renovation price will not attractive , would shame could not got hotel well location . 
 good hotel excellent location 	 hotel close soon renovation approx two year want say superb hotel -friendly staff excellent location around corner time square 
 Old tired 	 even suppose ' upgrade ' corner room dumpy small old smelly furniture drape saggy mattress . would receive ' upgrade ' wait half hour check clerk try find reservation , file misspelling name . wait 15 - minute line check . ( always line front desk . ) bathroom clean internet room work well . the location good want near Times Square , not know would want stay . area mob tourist , line people mill around theater make difficult walk hotel point east . price , well choice . 
 value money 	 Milford Plaza fantastically base hotel around corner Times Square walk distance fifth avenue , rockafella empire state building walk . right middle Broadway look show hotel must . room bit small , bit grubby really warm , put air con November . downside room small side , smell musty way hot otherwise good base sleep leave belonging behind . safe bedroom find staff totally trustworthy , helpful really pleasant . Milford Plaza due close December 09 refurbishment though must say look bit tired could . would definately go back refurbish well worth visit . oh take notice comment bed bug cockroache definately none bedroom find linen clean , enjoy 
 friendly hotel excellent security 	 friend stop milford plaza 31 oct 5th nov 09 . 40 . read review already book 50/50 expect . pray have not make mistake needent worry arrival show room deluxe room 2 double bed 16th floor . expect room small review say . think room small need feel comfortable . even hairdryer bathroom great . also safe free u select password open . room clean daily . noise hear emergency service blaring past hotel . the security could well feel safe staying . show room key allow lift good make u feel even safe know body good would get past security man . underground station outside hotel much cheap getting taxi . use quite alot newyork . good thing though hotel location . right middle new york city . not forget theatre district . we ask security man new good restaurant go direct we one 9th ave call west side 5 10 min walkfrom milford u like pancakes place eat . local police also eat good sign good food . service top mark . orange juice lovely also . hotel though close 12 dec 18months 2yrs I ve hear renovation cousin live newyork tell goint build top milford plaza apartment . next time guess dig deeply ur purse stay , do not think budgit hotel much long hope I m wrong . also watch taxi driver airport get sting . airport milford cost we 64dollers that s man write paperwork give driver driver go wrong hotel mistook say charge we 84dollers . tell reception milford one set price matter drop we . goodluck need worry hotel be not dirty least floor . great hotel . great location . say xx Bridget coventry . 
 Oct 21 2008 	 Perfect hotel stay New York 	 ok .. go little dubious hotel review complain must either one bad experience expectation little high ! ! Milford Plaza lovely hotel modern certainly something moan . room lovely clean , bathroom include . room be not small imagine , plenty room put clothe & amp ; toiletry . Everyday get back hectic day sightseeing find room clean bed make .. hotel concierge would help way good always finish ' have nice day ' ! small coffee shop serve breakfast .. hey new york .. go proper diner real american breakfast ! ! hotel can not beat location , step outside front door see times square ! ! also restuarant row two block away .. perfect ! ! sum , Milford Plaza great hotel tourist visit New York , brilliant value money ! look hotel room size apartment spend money Waldorf Plaza will not much shopping money let face .. would want shop New York ! ! fun .. 
 Oct 21 2008 	 great location great price great way experience NYC 	 boyfriend stay Milford Plaza past weekend . the 17th till 19th . basic room clean little bit big usual closet size nyc hotel room , pretty happy . security hotel amazing feel quite safe .. show room card go elavator go floor . the location fantastic . just 1 block time square 3 5th ave & amp ; st.patricks cathedral rockefellar center ! also walk empire state building central park , walk shoe ! ! great restaurant around corner call junior , great breakfast lunch . overall hotel accomadating , clean , safe place stay visit fabulous NYC ! : ) enjoy ! 
 Oct 20 2008 	 Dingy dingy dingy 	 stay Milford Plaza past weekend . disappointed . facility need refurbish soon . gut oldish building , start . room SMALL , ok , , pay order $ 300 night , put grungy bathroom old , old , old fixture , : catch : mildew around bathtub . snuck bathroom quick shower ( eye close ) . 's idea relax weekend New York . a buble bath question , least like , fan clean posh bathroom . ah ! nearly forgot : individual temperature control room . turn heat , nothing could . hot person , rarely heat bedroom , sweat sweat time leave . first last time Milford Plaza . sure much well New York . 
 Oct 20 2008 	 great lolcation 	 Milford renovate room fairly tired . small room small bathroom , believe pretty standard NY hotel . great location though , walk place , right around corner Times Square close everything . would definitely stay . 
 Oct 19 2008 	 take care ! 	 want stay & quot ; stage & quot ; , go ahead . locate heart Braodway , close Times Square . take care : room small . offer boradband weireless internet , belive . service free ( $ 13 / day ) slow ( less 30 kbps ) . staff always seem bored . good trip ! 
 Oct 18 2008 	 Great Location 	 stay Milford Plaza friend March 2007 4nights . hotel time need good refurb , everything else great . location explore great city fantastic . opposite hotel restaurant call Charley 's . quite expensive serve fantastic food . room basic arrive hotel late night . room clean spend hour sleep hard day sightseeing shopppe . good base stay New York City . 
 Oct 17 2008 	 perfect location 	 God love New York , would live could . I go Milford Plaza twice two month . great location . see Times Square hotel room window . plus , go car , take care car whole week . 's old Hotel lot charm . tour bus ( must ) two Broadway show , Hairspray great , rent absolutely great . love .Ca not say enough explain enough feel New York City . say , can not wait return . will back March April 2009 ' m dream . 
 Oct 17 2008 	 Ideal Times Square 	 choose hotel base stay recommendation friend . hotel undergo upgrading entrance surround scaffold . room little small european US hotel room find , New York standard believe . upgrade ' Milford Club ' give & quot ; free & quot ; breakfast , day drink , daily paper internet access 3rd floor lounge . breakfast nothing special , good way start day . bed clothe little dirty arrive , call ' housekeeping ' problem solve minute . bed comfortable , tired care , walk big part New York Experience . hotel allow leave bag downstairs secure area checkout , reasonable charge . 
 Oct 16 2008 	 poor room ok location 	 stay three night regret . country everything BIG , hotel disappoint . room sooooo small , bed comfortable , shower poor water pressure dribble . plus location Theatre District NYC many time , really need find decent hotel room not tiny cost three night prohibitive ! $ 1100 three night far much ! would not stay would recommend . apparently hotel undergo refurbishment whereby room make large occupancy decrease thousand 800 may help thing future price pay expect . 
 Oct 15 2008 	 Read review room choice location information 	 Milford Plaza literally middle everything . get close location anywhere close price . two block grayline , time square , one block good cheesecake town , four block theater . beware , room small . compare motel 6 . queen bed , three foot around bed room , bathroom fit one time . however , room quite clean , beware get corner room . hotel renovate , make two room corner . get room end 19 15 , trade room , 30 % small room , despite tell . hotel quite comparible european hotel . nothing extra , sleep take shower , . proximity mile anything midtown . hotel busy day night . feel secure , private elevator , security . try get high room , less street noise . 
 Oct 13 2008 	 great location 's 	 be concerned book hotel minute away Times Square theater district , book hotel . expect extras whatsoever , book hotel . lobby beautiful . room small , shabby date . travel large group people ( reserve block 10 room ) various problem . one room hot water shower last day ( 3 day , 2 night ) . another room make mistake use hair dryer blow electricity several room floor . luckily , hotel pretty quick fix problem . room small difficulty find room unfold iron board room iron pair slack . look bed lie busy New York City day , hotel fine , not mind spend $ 300 + per night bed . want hotel date amenity hair dryer bathroom iron board closet , book stay somewhere else . 
 Oct 12 2008 	 Accommodations great 	 wary stay hotel read review online . let stop book hotel . location great staff friendly . security also top notch . get access elevator unless show room key . room clean every day fresh towel . there good restaurant across street call Smith 's . recommend check . great location Times Square Broadway playhouse . ask room view . overall great experience stay next time NY 
 Oct 12 2008 	 Hated hotel 	 lobby nice thing hotel . hotel need update room . bath room big enough swing cat in . very disappointed everything hotel offer . 
 Oct 10 2008 	 Location Location Location ! 	 check review book base hotel 's location decide stay three night . reception area bustle arrive able check room 9 am . show room card security , enter floor number key - pad dedicate elevator ( 0ne 8 ) arrive whisk we fifth floor . corridor bit menacing bedroom door unwelcoming , room fine . furniture basic , bedroom clean bathroom seem newly fit . bed linen towel freshly launder seem change daily . room safe , greatly appreciated . decor little date , location outweigh negative - two minute walk Time Square ! coffee shop lobby serve fresh bagel , pastry muffin breakfast . want leave bag hotel check - day storage available three dollar per item . 
 Oct 10 2008 	 Location location location 	 ok , decor room do not quite match lobby , Milford location - slap bang theatre district , 2minutes walk away Time Square ! ! room 2 double , remote tv do not work care - do not go New York sit room watch CNN ( could manually control TV anyway ) . room little date , bathroom fine . ya know be not expect five star hotel , cos you re sure hell pay New York 5 * price . want luxury go Marriott Hilton pay $ 600 / night . otherwise Milford fine 
 Oct 9 2008 	 bad service good price 	 three we stay january week . would not let we check 20 , point booking tell 21 . leave we strand new york day ! lady reception refuse let we speak manager , would anything help ! luckily family member live new york able check we . room small good quality price , not expect much service . 
 Oct 7 2008 	 great location cozy room recommend budget hotel 	 wife ' first trip NYC book Milford Plaza location . review already make clear : beat location Milford Plaza . the room small . furniture old . place bathroom put hairbrush . go NYC stay Times Square spend time hotel room , something wrong travel planning begin with . the room clean . hallways noisy . may want bring ear plug . thermostat room two setting : way hot , way cold . window open let air sound Times Square want . water pressure shower fantastic , temperature suddenly fluctuate little - too - cold burning hot , force cram 6 ' 2 " frame half - sized bath tub . the concierge , door man , front desk helpful friendly . I would stay . room fairly price small , clean , no - frill hotel room Times Square . 
 Oct 7 2008 	 fantastic location good hotel 	 Milford Plaza locate heart Times Square , 2 minute Theatre ( go Minskoff Theatre see Lion King ; Great ) Subway , restaurant , shop .... really great . room little bit small really clean . bathroom also ok . provide real good service . the hotel old , enjoy stay . lot renovation project . ask room view street ! 
 Oct 6 2008 	 clean great location wear little tattered 	 pay $ 225 taxis 2 twin bed Saturday night . excellent location Times Square Theatre District . staff polite . sheet , room bathroom clean towel good quality . room small - big enough bed , tv , small nightstand / bureau 1 dinning room type chair . floor ceiling mirror one wall fit outdated decor . overall room little worn tattered include peel wallpaper bathroom mold ceiling shower stall . stay budget New York City hotel money far worse . sign lobby promise big update . go stay since sure rate go complete . 
 Oct 4 2008 	 Loved Milford ! 	 visit Milford Plaza hotel NYC March 2008 . fly AA stay 5 nights/6 day . check hotel really easy , even though hotel foyer busy . bag bring room within 5 minute we get . book trip , upgrade Milford Plaza Club Room option , allow breakfast Club Room every day , free internet access Club Room also snack drink available Club Room daily . the breakfast lovely , wide amount choice include muffin , toast , different kind spread , fruit , bagel include tea , coffee , hot chocolate soft drink . ( hot food ) walk around city morning would come back Club Room soft drink cookie go afternoon . the hotel location brilliant , one block away Times Square across road hotel subway station . room spacious clean daily . good selection tv channel room . there s also drink machine floor hotel require . lift annoying sometimes , think wait around 10 minute one , would not really let ruin whole experience hotel ! ! security also fantastic hotel allow lift stay hotel even really busy everyone ask keycard . the hotel always busy people come , time day see lift constant demand . there s also gift shop coffee kiosk foyer . 
 Oct 2 2008 	 Advice Stay 	 hotel look like begin rennovation project begin end lobby , never make guest room . lobby genuinely look nice . guest room terrible . look like Motel 6 bad . first room smell like sewer . sure smell come ( think plumbing ) , pervasive . also , dresser put clothe . change room . second room dresser , missing desk . ( rickety chair corner . ) unfortunately , dresser drawer stuff full extra pillow small debris bottom drawer , make dresser entirely unusable . room two bed instead one , comforter stain one . point lose interest sleeping cover not check one . closet rod room peel ( paint ) . everyone conference Milford say problem another room . not know hotel salvageable . amount rennovation would take make room worth stay probably great cost demolish rebuild . positive side , hotel staff pleasant . probably feel guilty time check somebody . hotel option stay visit New York , would simply cancel trip . 
 Sep 29 2008 	 hate 	 would never stay hotel ever dirty & amp ; run . disabled facility & amp ; pit 
 Sep 28 2008 	 clean room bed 	 Milford , get clean room bed . small room nothing , besides bed old tv set . internet connection ( although tell otherwise ) , need work , might want consider stay elsewhere . staff helpful hotel right center Times Square , tourist side convention . price pay would certainly expect get , hey , New York City . 
 Sep 27 2008 	 go ! 	 stay Milford plaza , 2 night , mother daughter . read reviews trip advisor go , little apprehensive say least . well turn review right , wish would listen ! ! first impression hotel good , reception area clean tidy , staff quite friendly . get room , smell damp really strong , mould curtain , damp patch peel wallpaper , bathroom need good clean , could not even let daughter use bath filthy ! complain tell could move another room , ask could see room first , thank god . get room , not even clean , bed un make , dirty towel everywhere bin not empty ! ! could go thing wrong hotel , list endless . advice not stay ! 
 Sep 26 2008 	 Basic Hotel Great Location 	 read review Trip Advisor little apprehensive would find Milford Plaza , pleasantly surprised arrive find room clean hotel location fantastic . we stay 4 night yes wall thin tired sight see shopping never problem we . a Broadway show must Lion King right next door hotel Phantom Opera Sons . all enjoyable stay Milford Plaza staff friendly , especially security guy front desk , always willing point right direction . I would recommend hotel friend family great base cheap price . 
 Sep 25 2008 	 great place stay budget mind 	 book stay Milford reading review TripAdvisor . know expect part disappointed . double room spacious enough 2 people ... although see would complain size ... pass single hotel look wide closet .. book double space important . thing wrong room outlet outdate 1 look dangerous plug anything .. 's understand Milford process renovate room ' m sure well aware problem time fix . read complaint elevator ... can not understand anyone would complain . easy figure system make quick service never crowd elevator . hotel security top notch . one without keycard . make feel secure . check check fast convenient hotel staff courteous . would definitely stay . 
 Sep 24 2008 	 Milford Plaza New York : ` ` Facilities ok Location Fantastic ! ! '' 	 stay Milford Plaza 4 day . trip New York partially sightseeing shopping . recommend hotel family member . alone thought would fine , would similar taste . however , afraid say case . let first get issue deal tell plus . the hotel quite old . New York space premium , room tiny . hugest problem hear toilet facility neighbouring room . stay part Milford Club , include breakfast . worth . eat well breakfast hostel backpack around Australia . finally Air Conditioning bed room extremely loud , use leave day turn would come back , quite humid , night would put . end buy ear plug ! ! ! well note , location fantastic . 2 minute maximum Times Square . theatre within walking distance . wish travel Woodbury Common shopping trip , Port Authority bus station 5 minute walk hotel . security hotel excellent . allow pass security lift show room key . find comfort hear horror story big hotel . location hotel fantastic , bit luxury afraid . 
 Sep 23 2008 	 go somewhere else ! ! ! 	 hotel really terrible : nasty , dirty , small room extremely expensive . we check , hour later , decide get room change : find ashe floor ( non smoking room ) , hair everywhere ( bath tub , water basin , bed ... ) hole blanket tent black ( suppose white ) . get another room little well , trust , little allergic dust , be dead ! next day decide check $ 400 / night worth hotel room Manhattan . we move Novotel , block away : low rate much well room ! ! 
 Sep 22 2008 	 great hotel TERRIFIC location 	 wonderful experience Milford Plaza Hotel recommend everyone ! friend ask 3 thing make internet reservation : high floor possible , twin bed room view . get , 22nd floor , twin bed INCREDIBLE view ! ! second time around NYC , ' ve never impressive view . location , course , perfect ! last time come NYC , stay New Jersey find convenient , amazing time around . want close Times Square , right ( ) ! ! ! Valet parking efficient appreciate first time drive big city , let us say never scare car might scratch valet . feel like let car good hand . security , LOVED hotel room card look everytime check - in . guy really nice feel security . room always clean tidy , really , can not find something complaint , believe , ' m REALLY picky come hotel ! ! ! ' m plan future stay November December , will stay Milford Plaza . hope manage keep good right ! ! ! 
 Sep 16 2008 	 hate 	 spend four night hotel . one bad hotel ever stay . room allocate twin 6th floor . walk room , say sister could not stay burst tear . room tiny smelled damp . drab furniture dreadful . go reception change queen room marginally well . however , one chair tea / coffee make facility end one sit chair one sit bed swap . impressive reception area give false impression state room badly need refurbish . plus side , bed clean comfortable towel change daily . security excellent hotel also ideal location attraction nothing would make stay hotel . 
 Sep 14 2008 	 Great Location 	 return 4 night ( Sept 2 - 6 ) stay Milford . second time Big Apple . go sister good friend awesome time . great location especially theater Time Square . room small bathroom bit outdated be sleep shower .... usually come back 12 midnight anyways . housekeep great .... room always make bathroom clean fresh towel . security also good show room key every time . would stay Milford ? definitely .... can not wait next trip : ) 
 Sep 5 2008 	 Great experience 	 stay Milford Labor Day weekend . 8 people 3 room . room fine . follow review like hotel fair amount bad one afraid . fine . NY hotel resting place , shower storage shopping . Milford . like Times Square show hotel well place . close everything love . security good , easy get area info . security send we diner ( West Side ) close excellent . room old ( furniture / bedspread ) bathroom could use spruce honestly fine . book Quikbook room tax $ 250 . night . great price great location . go confidently , go often enjoy one great city US . 
 Sep 3 2008 	 good value money . 	 Milfoed give we good value money good location average service clean room . first stay New York pleasant experience . would return stay . 
 Sep 3 2008 	 would stay 	 stay again . the room dirty , bin bathroom / shower area clean previous occupant . shower mouldy room smell damp place look like not renovate since 70 . when complain state room night 2 am morning security bang furiously door open say door unlocked . may tired ' m stupid door lock dead bolt chain .. wake we early hour pretence ? seem strange considering complain maid early ? ? ? check one staff downright rude . near times sqr modern hotel . would stay . would reccommend NoThe sad thing second time hotel stay 2002 . 
 Sep 2 2008 	 Perfect price location 	 hotel perfect hotel price location . yes , defnitely date yes , thing would like improve , money perfect . NYC US Open , not plan spend much time hotel room . one block subway station couple block restaurant tourist activity Times Square . staff friendly helpful , feel secure time . room small , ' ve never NYC hotel not small room . floor shower feel little loose ( like air floor shower ) , place bathroom look like caulk need . overall , though , would highly recommend place be want great location hotel inexpensive ( NYC , anyway ) price . 
 Sep 2 2008 	 fantastic staff 	 stay Milford Plaza 3 night get great deal , pay two night third free . hotel old character , room smallish comfortable clean . problem check discover one group confirmation number reservation . front desk staff helpful solve problem allow discount rate room . elevator slow happen hotel . the location hotel great , close everything . I would recommend take double deck bus tour . night tour great , also day tour , get many major attraction get back go next one . guide informative . overall great stay hotel love City , plan stay 
 Sep 2 2008 	 bad experience 	 husband stay Milford 8/24 - 8/29/2008 . stay Milford past think location rate good . however , good experience we . check 8/24 , get room find light bathroom not work , overhead door light not work , light bulb bureau dangle lamp . take hour someone come fix light bathroom , comfortable use bathroom dark . mold shower tile , mirror several smudge , flow water come shower light . final straw smell cigarette smoke night , suppose smoking floor . follow day request change room reservation lady would even consider . say change could made morning . well , not come NYC hang around hotel wait new room not pursue . call security 2 time stay report smell smoke come thru wall . , stay pleasant . when check , ask clerk could adjustment final bill aforementione problem room . go speak manager say since receive summer discount due number day stay , could adjustment . apparently discount include mold cigarette smoke . we plan visit NYC future stay Milford recommend friend . 
 Aug 31 2008 	 great price location 	 location excellent price . 's right middle times square close theatre . room ok , old small clean enough . be like typical motel room pay $ 70 . check smooth front desk person definately attitude problem oh well . charge $ 1.25 every time use phone nobody tell check end getting charge quite bit pick phone happy . next morning , 9 am right dot , without knock , roomservice try oopen door clean room . realize still room , close door not apologize . ever visit new york , would probably stay purely price location . 
 Aug 30 2008 	 great place ... 	 first timer New York , happy decide stay Milford Plaza . first , not want money spend hotel room . want clean , comfortable place sleep thing want spend money . location perfect . also not find room small . course , perfect weather seldom indoor anyway . staff helpful prompt . like security elevator coffee shop lobby area . love close show , subway , Times Square , wonderful , reasonably price restaurant . busy time elevator frustratingly slow , hall stuffy small , go street get breakfast , would stay heartbeat . 
 Aug 23 2008 	 Fab Location ! ! 	 ' ve get back 6dy/5night stay Milford Plaza ( recommend friend . ) book trip 12mth ago find Trip Advisor read numerous bad review obviously concerned apprehensive choice . however say , although ' ve give neutral / average rating far complete hovel read about . we book double room view visit NY celebrate ' 0 ' birthday . room / bathroom fare size although need lick paint good clean nook cranny . view rather disappointing though , look onto another high building , say think help noise reduction somewhat ( decide ask move . ) although heater room could not find control air conditioning . instead manage window open maximum 6inches sleep top bed stay . like people say ... not go NY sleep , true ! ! end busy day sight - seeing take hardly time drop , least worry sleep ! ! one bad problem ' drain kinda smell ' first thing morning bathroom . could due age building , however also smell couple occasion street around , maybe not solely hotel thing . find closed plug hole go sleep seem limit smell next morning . check - in painless baggage storage facility convienant . security front hotel lift area excellant reassuring see . two occasion see people either refuse entry another hotel ' visit ' friend cause fuss . staff either pleasant indifferent - you kinda took come . although hotel small coffee shop , say see open couple occasion first thing morning late afternoon close ! ! ! course people mention location , quite right aswell ! ! be second none . within easy walk distance place , day thing foot be begin tire , be close subway to . recommend place eat would : Scarletto , Trattorio Trecolori ( personal favourite ) , Carve ( fab pizza slice ! ! ) gigino Pax Wholefood ( lovely breakfast . ) junior although nice find food somewhat cold hospitality lacking . highlight trip Empire State Building Rickshaw ride Central Park . find Top Rock view overate , well Empire State Building Bloomingdales also big let down . if ask would stay hotel ? answer would yes . location sell ! ! ! ! 
 Aug 21 2008 	 Great Location 	 Hotel great location Times Square Broadway - hotel really date need total refurbishment - restaurant facility bar lounge could sit evening quiet drink . bedroom wallpaper fall wall bed bathroom area clean . basically bed bath night , somewhere chill pleasant evening . 
 Aug 19 2008 	 pretty darn good plus great location 	 give uneven nature review , wife reluctant book Milford , be pretty fussy . 's glad four night stay ( never voice single complaint place ) , I.Two unqualifie great thing place . first , course , location , everyone mention . be three - fourth block Times Square -- close enough walk 20 hit play 2 minute ( seriously -- block big concentration theater Broadway ) , far enough Broadway noise likely not issue ( inside room 14th Floor , quiet ) . also , be subway stop 100 foot door , get rest NYC . midtown ( 45th Street ) , be within walking distance Times Square -- also walk UN , Empire State Building , Grand Central Station , MOMA , Carnegie Deli , Central Park -- heck , even walk back hotel Metropolitan Museum Art 83rd Street . and , course , price way well will find elsewhere area , especially find one many way get 15 % list price ( multi - day stay , etc . ) .Our two - double - bed room bit cramp ( always case old NYC hotel ) , bathroom small manageable . still , room nice , basic amenity -- blowdryer bathroom , suitcase stand , iron board iron , etc . perfectly clean smell staff change linen towel every day . big hotel , computerized elevator system surprisingly efficient , minimal wait . every staff person contact extraordinarily cheerful helpful . ( New York City ? ) big lounge area nice plus -- free continental breakfast morning ( bagel , donut , bread available toaster , fruit , juice , coffee , yogurt , cereal ) soft drink evening . eight computer available charge minimal wait two big screen tv ( watch olympic highlight bagel ) . ( computer not printer , though . ) complaint room , may well room yet renovate . assume move end one shabby room . rest hotel perfect modestly - price jumping spot city . 
 Aug 17 2008 	 fantastic location 	 say apart fantastic location hotel . less 5 minute walk Times Square , 20 Central Park other easily accessable subway . the hotel typical 1920/30s style building say , room bit small look little dated area . problem ? . much time spend room NYC ? bed comfortable enough always good supply hot water despite vast number room . it good ice despencer every floor , although room could benefit fridge keep drink cool day . sink cold water plug solve problem . air conditioning heating , stay twice experience 35c temp October -5C March good , keep room comfortable temperature day . the staff helpful , especially concierge organise helicopter flight time professional manner . also use front desk change traveller cheque passport , warn , change $ 100 per room per day . restuarant change money though big deal . hotel security good , can not access room unless present room key although wait lift busy time take minute . also gym hotel never make , busy enjoy NYC offer . across street wonderful breakfast restaurant , Smiths . serve whole schebang $ 10 believe , enough keep go long time . round corner well junior serve good cheesecake ever taste life know cheesecake ! question people want know would recommend hotel . absolutely ! twice would return go back NYC good base . 
 Aug 17 2008 	 great hotel 	 decide pay extra well hotel NYC long , go buffalo . well nasty expensive elevator system put floor number tell elevator get . huge wait busy time day hell.as room well life lid toilet nasty black inside white worn away.be uncomfortable neck pain next five nights.yes milford plaza coffee shope u use write say day relax coffee ! rubbish close 2 pm great startbuck block away still.they thing milford plaza go great location . would stay ever 
 Aug 13 2008 	 well review say 	 nervous stay Milford Plaza bad review . place turn fine . location perfect price reasonable . two double bed room ( superior room ) size get Europe non - business hotel . check - in , check - out security great . elevator quick air - conditioning good . clean , quiet , safe comfortable . old -- refuse pay 500 dollar night new hotel . would rather spend extra money attend Broadway show . three play see within 5 minute walk . subway entrance 1 minute walk front door . problem shower water keep change temperature . 300 dollar saving handle ! ! 
 Aug 9 2008 	 Nice Place 	 room small , nice . walk site see day , convenient close could rest , relax , get energized . be near everything ! location ideal . close Times Square , Broadway , Tour Busses , Restaurant Row , etc . staff helpful friendly . especially like keep luggage check - in ( free ! ) check - out ( $ 3.00 per bag ) . complaint room / bathroom clean . everything need good deep cleaning ! oh , shower would shut unexpectantly hot water would run . quick ! not quick enough , finish washing sink 
 Aug 8 2008 	 great location price ! ! ! 	 NY 's hotel costly , Milford Plaza good rate location.room small . coffee maker room , fridge . airconditon elevator hallway.no blind washroom . old building smelly.facut washroom difficult wash hand since sink tide room get hand facut.very noisy location ask top top floor.staff good ! ! security top top top ! ! ! clean entrance cold hot days.do get ticket show hotel $ 40 broker fee , get via theater 1/2 price .must take 72 hour loop tour $ 10 get 3 day total 59 $ good good deal town ! ! good food price Pizza Villagio Cafe 58 6th ! Europan another great Cafe next hotel , good coffee food ! ! ! subway safe easy travel , must try it.we great great time ! ! ! 
 Aug 7 2008 	 Great experience 	 Milford Plaza Hotel offer room rate anywhere 50 - 75 % low large majority hotel Manhatten little concerned might get money . , lot research various web site seek much information could hotel . find number mediocre poor review Milford Plaza number indicate good value . , go ahead book room , still concerned might turn awful experience . I find hotel old ( large number hotel Manhatten ) currently undergo exterior maintenance . pass front entry , pleased find . lobby , reservation desk , conceirge area , snack area little shop clean , well apportion neat . find staff helpful courteous . reservation desk man five clerk conceirge desk two ... helpful . we get hotel early room ready ( expect ) check we store bag could go siteseee wait . come back 3 hour later quickly get key bag could go room . the room old small . room two double bed countertop area adequate lay one suitcase . size room , however , issue we , literally , room short rest sleep . the air conditioning fine . bathroom small little space lay toiletry . , troublesome we . eight elevator , run effieiently ... not think every wait one minute elevator go . security elevator ensure guest hotel . the location excellent . one block Times Square 1 - 3 block 90 % broadway theater . 1/2 block one subway station 1 block another . dozen dine establishment within 3 block range McDonalds high end restaurant . despite hotel old room small , pleased stay Milford Plaza . thing trivial consider save anywhere $ 150- $ 300 & quot ; average & quot ; nightly rate hotel Manhatten . 
 Aug 4 2008 	 second stay Milford 	 second stay Milford . also 2006 2 girlfriend . choose stay due great service receive last time there . my stay 7/17 - 7/23 trip . little disappointed escalator repair understand hotel go remodel understandable . 19 step lobby area ' bad . doorman try carry bag upstairs refuse . new elevator system work excellent . wait 2 minute car busy time time problem . check breeze staff lady polite . use Summer City pass upgrade free Club Level access lounge . definitely recommend club accommodation everyone . free soda water day , variety snack lay time free internet access awesome . breakfast put hotel lounge fantastic free hotel breakfast . note breakfast come club package . would say definitely get money worth free water . upper 90 's week drank weight water lounge daily basis . my room 4th floor , room 419 . clean decent room city . good view world ( air conditioner outside ) room sleep . much time spend room anyways ? fresh towel lay every day clean lady efficient every day stay . problem water temperature water pressure stay . take average two shower day due weather hot . air conditioner ' ice cold , get room comfortable temperature . seeing stay feel safe guest show key get elevator . find security staff friendly must pretty boring job . one night accidentally leave door room open security guard knock door let know do . nice know check hall nightly . for price pay service receive think establish good deal . would definitely stay hotel next trip city . 
 Jul 27 2008 	 Great Bargain 	 take we 3 week choose hotel , especially read bad review Trip Advisor . book expensive hotel could afford budget . even , choose updgrade Superior Room . Location - Great . Hotel Service - normal . not extra request . breakfast - great . Superior Room include free breakfast muffin , cereal , yoghurt , juice etc . contentinal hot breakfast . simple . free use computer / internet . also free snack . room - noisey aircon : low humming noise . Superior Room corner room overlook 45th 8th ( remember correctly ) . Bathroom window open 3 inch . comfy bed . black blind break ( mention check - out not pay in - house movie ) . would complain eariler trusty eyemask . elevator - really cool . 8 elevator . security - good . conceirge - helpful . Left Luggage - also helpful . Cleanilness - average ( well , old hotel 's bind dirt / mould . ) luggage - plenty space 2 suitcase . upgrade slightly big room , much comfortable . peek twin room clean honestly not know guest mean store luggage . tiny . not get see regular double room . eating - 9th Avenue load brilliant restaurant . eat every night . advice - upgrade Superior Room be stay day Milford , will much comfortable luggage . book expensive hotel afford budget . 
 Jul 27 2008 	 Box Sky 	 large room expect price pay , location hotel prove exceptional . drive hotel . take train Penn Station Grand Central ; walk 15 minute hotel either station . look good New York City pizza , go Famiglia . weary subway . efficiency low cost make essential benefit New York City tourist . discourage far hotel desire attraction . access almost every subway line make ! 
 Jul 25 2008 	 excellent base sightseeing 	 Broadway , hotel excellent location sight see New York . would not choose romantic break , like adult backpack hostel , use base . problem book make travel website , hotel not trace , honour , give we price originally quote . room small clean , fine looking , somewhere sleep , shower store purchase . not eat hotel , plenty place nearby . want shop , eat see show recommend Milford Plaza . 
 Jul 22 2008 	 sorry ........ 	 hotel serious customer service problem .... hence .. book room 3mth ago , long day travel , room , wait another 40min find we room 4th floor close loud generator . get move next day another room apology . Gift shop sell international stamp .94cents postcard fine charge we $ 1.20 per stamp , service charge put . coffee shop , make sure introduce bald headed cashier , never meet anyone grumpy rude , never ever say thank . kicker ; $ 3 charge per luggage need store flight later day check . major hotel store courtesy guest . hotel gouge whatever get . hotel dirty , carpet soil , smell damp . maid friendly greet every morning , wish rest staff like .... security guard think be & quot ; god & quot ; . would never stay ..... period ! 
 Jul 19 2008 	 Central Perk ! ! 	 stay second christmas Newyork , despite tarnished appearance not bad ! ! room locate one old style room , yet update show , 1980 's decor neon red sign locate right outside window give whole room gangster movie theme , half expect mafia violin case burst point ! ! staff friendly efficient complimentary breakfast serve club lounge , update look sensational welcome start day . cant fault location right next time square ! ! 
