good 	 comfortable hotel enjoy trip good location 
 Oct 9 2005 	 Love hotel 	 second time stay impressed . the room clean , comfortable good sized . bed comfortable love large work desk , fridge microwave ( although eat utensil would even well ) .The Webber Grill downstair PF Changs supply room service also great business alone , food excellent . bar friendly Starbucks morning coffee available lobby spot on . the pool small workout area adequate , go next door & quot ; Crunch & quot ; Gym incline . the location hotel second none . slap middle town , block Mich. Ave everything else walk distance . staff friendly helpful , complaint room service seem sparse Friday room still clean 3 pm , however time . would definitely recommend hotel , especially single female town ... feel safe . 
 Oct 5 2005 	 KIND town KIND HOTEL 	 great hotel , declare . Hilton Garden Inn ideally locate right near State Street three minute walk Michigan Avenue . be step great shopping , beautiful architecture everything could possibly want . go newly - appoint fiancee celebrate engagement . take cab hotel - $ 50 account lot traffic . next time , would definitely take EL ( take go o'hare upon depart Chicago really easy ) . check hotel quick efficient . corner room 22nd floor northern view one window , eastern view - Chicago skyline . room clean bed comfortable ( opt two queen bed engage , married , assure hanky panky - kidding , opt king assure spring break ) . , pleasant stay zero problem . point worth note : homeless Chicago friendly . Rush Street great bar . breakfast walk along rush head north 10 minute Einsetin Brothers Bagels ( worth walk ) . spend afternoon Navy Pier . be beautiful . take EL go back O'hare ( Midway ) - hotel give direction everybody take will not alone . careful Chicago 's famous deep - dish pizza . will get fat . 
 Aug 29 2005 	 Definite Recommendation anyone 	 whether business pleasure , think great hotel . stay wedding weekend ago blast . location : centrally locate advantage 's rival hotel locate Mag . mile crazy busy step front door . Mag . mile less 2 min . walk away . several time , wife go shop , able run back Hilton drop bag . also couple nice morning run Navy Pier get see Air Show practice one morning . staff : People helpful willing help . young , tall african gentleman door helpful bag arrive equally helpful left . must ' ve ask 50 question front desk recommendation late night bar / club / eat accomodate one . room : room clean enjoy mini - fridge room w/ microwave leave food eat ! stay 2205 , second floor top great view Chicago skyline , include John Hancock Tower . I post pic soon . would definitely stay next time go ! let artery clear stuff pizza courtesy Giordano 's ! 
 Aug 28 2005 	 excellent hotel 	 stay three night book good deal Hilton website . staff extremely helpful friendly . definitely appreciate fridge microwave room . room clean comfortable . 18th floor view top Sears Tower cityscape . money great hotel . clean , comfortable , friendly , affordable good location . would definitely recommend other stay again . we also take tour wich recommend we great . plan another trip chicago stay sure hilton 
 Aug 10 2005 	 Nice stay Hilton Garden 	 stay three night early August book good deal Hilton website . able walk Michigan Ave . Art Institute without difficulty . ( find shortcut Nordstrom 's Michigan . store close hotel , walk come right Michigan . save little time walk . ) staff extremely helpful friendly . definitely appreciate fridge microwave room . two restaurant onsite : Weber Grill P.F . chang . provide room service small fee . also starbuck kiosk lobby morning . the room clean comfortable . 18th floor view top Sears Tower cityscape . my & quot ; complaint & quot ; : pool nice , small . elevator also slow time . overall , money great hotel . clean , comfortable , friendly , affordable good location . would definitely recommend other stay . 
 Jul 19 2005 	 Fantastic Staff 	 friend recently go two week holiday state visit New York , Vegas finally Chicago stay Hilton Garden Inn . I mix experience hotel New York Vegas , however , find Hilton Garden Inn fantastic . staff helpful moment arrive check . stay three day overwhelmed friendliess recieve . Webber Grill great restaurant good old american sized porrtion large selection choose . also hotel bar informal friendly staff laugh could not enough make we feel welcome . the Hotel locate beside magnificent mile therefore great love shop etc etc . also plenty bar / restaurant nearby socialise late night drinking ! ! use Trip Advisor help book hotel never write review . must say staff far well ever experience . everything book restaurant recommend good nightlife arrange travel baseball game part service provide guy Hilton . definitely recommend want centrally locate , clean , modern friendly hotel experience heart Chicago . 
 Jul 11 2005 	 Nice hotel . Great Location 	 Hotel clean good condition . staff extremely helpful good give we different restaurant idea . Chicago numerous time , nice get different idea pan . room clean everything would need . spectacular room , nice . 
 Jun 30 2005 	 great hotel great location 	 pleased hotel moment walk door . every hotel employee friendly service good . room large , clean well appoint . refrigerator , microwave free high - speed internet access . blanket sandwich two set sheet , nice touch . also , hotel full find wait minute one elevator , fact really appreciate . location excellent - within two block magnificent mile , half mile navy pier , mile Art Institute , near public transportation surround restaurant . area also feel safe even late night . area could use minor improvement house - keeping . last afternoon change go aroud 4:30 house - keeping walk without knock left cleaning supply room . apologetic mention would right back clean towel . return 7:30 still towel dawn new towel evening , extras room use . call front desk - apologetic , say problem linen service would right . colleague also problem find necessary call desk . minor note make coffee first morning not replace 4th day , sugar stirrer replace . house - keep issue would rate hotel five star . 
 Jun 13 2005 	 great hotel downtown 	 stay 5/31/05 - 6/03 . location excellent close Mag . Mile Museum , Art Institute , Aquarium , Planetarium . within walk distancethe staff accomodate allow we check early leave luggage check shopping . the breakfast buffet terrific , could use fresh fruit . mild downer in - room air conditioner occasionally noisy night . would definitely stay would give solid 3 - 3 1/2 star . Galoha 
 May 30 2005 	 great Stay 	 great hotel ! room clean bathroom totally up - to - date . problem plumbing , etc . bug , either . staff nice , also . Webber Grill pretty pricey , plenty place around eat . definitely would stay ! 
 Apr 27 2005 	 good central location 	 hotel great need cheap option centrally locate . bed nothing write home , room clean , front desk extremely helpful . location beat - 's close everything . also stay Talbot definitely would rather . service location well . accomodate every request . romantic hotel style , boyfriend really enjoy . 
 Apr 17 2005 	 great hotel . Loved would return 	 great value centrally locate restaurant . stay 3 night Easter . save $ 20 per night Honors Membership . will get free pass Crunch nice private fitness club . lobby connect Weber 's Grill great food . Michigan Ave block away . fun shop small shop side street . 
 Apr 9 2005 	 great place stay ! 	 husband , son ( 11 ) , daughter ( 9 ) stay Hilton Garden Inn three night March , 2005 . great experience ! room clean , staff extremely friendly location could not beat . get internet rate $ 109 deal . great small refrigerator room drink ( microwave , although not use ) . be great grocery store across street . kid enjoy swim indoor pool -- despite 's small size , perfect . eat dinner Weber Grill teriffic . one complaint hotel ; would highly recommend anyone ! 
 Apr 6 2005 	 wonderful stay ! 	 return 2 night stay Hilton Garden Inn downtown Chicago . fantastic . staff wonderful moment check leave ... include valet door , porter , front desk staff maid . everyone friendly go way make we feel home . room average size clean . room 2203 Hilton Honors floor ( hotel 23 floor ) . room far elevator quiet . view Sears Tower ... boy love . 8 9 year old boy swam pool ( indoor ) . pool & quot ; play & quot ; pool 4 foot deep huge . never crowd great time . spa hold 5 people max . although use workout room look nice . opt self park since know would not use car- $ 21 per 24 / hrs offer in / out privlage . valet parking unlimited in / out privlage $ 35 / day . would recommend hotel anyone would stay . 
 Mar 23 2005 	 beautiful friendly secure ... 	 work Hilton Garden inn another city disappoint quality hotel , mean . guest service valet staff friendly , knowledgeable accommodating . our guest room incredibly clean , comfortable temperature even decent view , surround high rise . bugged front desk staff multiple time direction , location attraction , recommendation , etc . every time happy help first question . our disturb sign check check disturb ! experience past stay hotel throughout year , disturb sign still mean bother towel . pleasure room ourselves . our stay weekend St. Patrick 's day . parade happen well green color river . elevator accessible key card . nice security hard - party crowd outside ! hotel connect P.F . Chang be another great restaurant ; name escape I - they make grill , though . restaurant deliver room , like ! ! 's nothing like Chang 's chicken lettuce wrap mago iced tea pajama ! ! get chance , highly recommend Hilton Garden Inn Downtown Chicago . 
 Mar 23 2005 	 great Weekend Hilton Garden Inn 	 spend super three- day weekend Hilton Garden Inn . got great rate $ 109.00 Hilton web - site . super fancy clean , new appearance . staff helpful pleasant . breakfast morning Webber Grill . great location . lot shopping restaurant within walking distance . take free trolley Navy Pier . DuPage County kid friend already plan next get away Chicago definitely stay . 
 Mar 22 2005 	 Satisfactory stay 	 wife stay Hilton right Thanksgiving 2004 . average hotel not hotel much . good location Weber Grill Restaurant lobby good . rate $ 139 , 
 Mar 16 2005 	 great service great value 	 stay hotel three night last week really impressed . money ( $ 170 Hilton website ) hotel real value excellent location . staff consistently helpful friendly . excellent management . 
 Mar 16 2005 	 pleasant hotel great value great location 	 stay Hilton Garden Inn 4 day Christmas . get fabulous deal ( less $ 90 night : tax include ) . clean , quiet , good size fabulous location . height luxury , comfortable surrounding pleasant . literally could find fault hotel . would definitely stay visit Chicago . 
 Mar 9 2005 	 regal hotel 	 Hilton regal grand hotel . stay excutive floor . room little small nice view park resonable price . freebee 's beautiful Botanical Gardens , Lincoln Park Zoo , Buckingham Fountain . downtown offer array din . eat Fridays within walk distance hotel . Navy Pier must , will want find parking street . second City great laugh reasonable price . Shed Aquarium , although little pricey must see . romatic take carriage ride around city $ 30 . lot great musem visit . 
 Jan 24 2005 	 enjoyable stay 	 return 3 night stay Hilton Garden Inn definately stay again . the location superb ; 2 block Michigan Avenue surround large range restaurant shop . staff extremely pleasant friendly time whole hotel seem brand new clean . free internet access room huge bonus , fridge room . small problem run hot tap 5 minute hot water come show . but think location room end long corridor adjoining room . I would highly recommend hotel anyone Chicago break : ' m usually fussy hotel guest ! 
 Jan 6 2005 	 comfortable 	 though place not charm old hotel Chicago , clean comfortable . good part pool 12th floor . not bunch frat boy hot tub , might actually get chance relax gaze fully windowe wall great view . pay $ 96 room ( 2 double bed ) , would not go much . be nice , get room Knickerbocker much . feel like Holiday Inn type place . 
 Nov 24 2004 	 get good rate hotel hard beat ! 	 stay property Nov. 11 - 13 . hotel nice clean . weber grill downstairs great breakfast menu good atmosphere night . location perfect . 1/2 block ESPNZONE , Hard Rock Cafe , Rain Forest Cafe , Michigan Ave . room 15th floor great view Sears Tower . book room Hilton 's website receive rate $ 115 per night . stay property next time CHI - TOWN ... 
 Nov 4 2004 	 would definitely stay 	 stay 3 night july . room clean , spacious amazing view . staff friendly helpful , show room member staff check think enough room rollaway bed require . plenty room rollaway bed bring straight away . free internet access , small pool , hot pool small gym make good use . hotel great location right outside El . would definitely stay . 
 oct 9 2004 	 Great Hotel Fabulous Staff 	 enjoy four day stay Hilton Garden Inn . room neat provide lot extra include microwave , refrigerator , etc.- reasonable price compare hotel . wonderful location locate block away Michigan Avenue without noise . continental breakfast pay extra worth Starbucks hotel also nice . staff excellent want make reservation , it- get ! stay next visit . 
 Sep 22 2004 	 great Stay Hilton Garden 	 please three day stay Hilton Garden . staff extremely courteous , check - in take less minute . room bathroom clean . room huge , nice size king bed , work table , sofa chair ottoman . room quiet , occasionally disturb noisy people hallway pass fire truck 20 floor . location hard beat ; two block Michigan Ave . ton good restaurant within block , mention Weber Grill building . minor complaint would noisy fridge , turn fridge max medium setting take care issue . since would rate hotel & quot ; luxury & quot ; , would hard time pay $ 290 flat rate per night . get room discount like , be defintely top choice . Valet parking little pricey stay two night , save buck self park . 
 Sep 16 2004 	 great staff ! 	 stay hotel two small child husband town trade show . ' ve stay many downtown hotel say ' ve never experience wonderful staff ! valet guy , bellman , front desk even housekeep helpful every way , go way friendly available . treat child like honor guest ! hotel clean , new update good location - staff make excellent choice . 
 Sep 13 2004 	 Excellent hotel 	 place expect hotel . great service , great room , great amenity , great location . stay trade show two night extremely pleased entire trip . location walk distance $ 5 cab ride anywhere downtown . feel free ask employee anything city hotel seem competent well eager help . 
 Sep 7 2004 	 nice clean 	 stay Chicago Hilton Garden Inn Labor Day weekend delight . clean , tired worn , seem bright new . one special thing like top sheet top blanket . much appreciated touch blanket . also amenitie e.g . microwave , refrigerator , hair dryer , computer connection , etc . room especially large , spend relatively little time room - sleep . would definitely stay . 
 Aug 27 2004 	 two Thumbs ... WAY ! 	 ' wait return Chicago hotel . nice hotel great location . clean comfortable . starbuck coffee available lobby . Awesome shop around wonderful restaurant downstair numerous restaurant nearby . hotel amenity great staff friendly helpful . overall GREAT value . definitely recommend ! 
 Aug 6 2004 	 choice Chicago 	 friend go Chicago last month . know want near Michigan Avenue , choose Hilton Garden Inn . bargain $ 109 night , whereas hotel see much expensive . turn great . room nothing fancy , certainly nice clean ( microwave room nice extra ) . however , draw card location . can not beat . within walking distance many shop , restaurant , pub , blue bar , piano bar . pleased choice would recommend anyone want great place stay without break bank . 
 Jul 16 2004 	 nice hotel 	 stay hotel 4 day first week July . hotel well locate , 5 minute magnificent mile . room neat , clean , nicely furnish . front desk staff really nice helpful . hotel surround restaurant , mall .... supermarket front hotel buy need . fridge room microwave , always helpful . try restaurant Webber Grill really good food , black blue burger awesome ... starbuck open lobby ... great morning coffee go ... definitely stay next time Chicago . 
 Jun 27 2004 	 great place stay chicago 	 hilton gardens place stay . 99.00 night hilton.com good deal far . excellent location everything . michigan ave . block red line outside door make easy get wrigley field . resturant galore easy get . staff GREAT . starbucks lobby nice open morning . never make & quot ; Webers & quot ; meal smell wonderful . big complant sheet , way small bed always tuck back mattress night . valet 34.00 privilege park across street 21.00 privilege . come kid make sure check & quot ; Espn zone & quot ; great thing keep kid happy yes , great food also . 
 Jun 8 2004 	 wonderful stay 	 wife , 12 year old son , stay May 28through June 1 . valet / bellman frontdoor greet we pleasantly walk . ( take subway airport ) . Receptionwas friendly efficient . room spaciousand clean . microwave fridge veryhandy since great supermarket acrossthe street open til midnight . Starbucks1/2 block away . nice workout room w/ smallpool . free high - speed internet work great . Approx . 3 - block walk Michigan ave.where high - end store reside . easybus and/or subway ride everything . caughtBlue Man Group short subway ride . loved fresh flower lobby . highlyrecommende , especially price . 
 May 12 2004 	 Great Hotel value location service ammenitie 
 Apr 13 2004 	 satisfied ... definitely stay next time 
 Mar 25 2004 	 great location concierge service lacking make 
 Feb 27 2004 	 nice little hotel . 
 Feb 23 2004 	 Excellent suite 
 Feb 16 2004 	 Great Deal 
 Jan 22 2004 	 Garden Inn Great 
 Dec 17 2003 	 Great Place 
 Dec 15 2003 	 Love ! ! 
 Jun 13 2003 	 Hilton Garden Inn 
 Oct 14 2008 	 Etwas laute aber komfortable Hotel gut gelegen . 
 Apr 21 2007 	 Trés bien 
