awesome 	 right Central Park - beautiful view park . service spectacular . not type bagel want breakfast , go Whole Foods buy . 
 Fantastic 	 Excellent respect exception extra charge internet exorbitant charge $ 16 bowel cornflake breakfast though include milk fruit garnish . spite grumpy old man gripe staff great , room comfortable well appoint , breakfast great ( civilised full service meal rather usual buffet ) . pool gym excellent . look forward next stay . 
 Jan 24 2005 	 wonderful experience 	 husband stay Mandarin weekend 15th . room 51st floor beautiful great view central park / yes trump bldg middle view , butit still beautiful . room spacious decorate nice , bathroom excellent , marble deep tub large shower . love flat screen tv 's bath bedroom . robe plush love smell bath salt put room . drink lounge brunch restaurant . everyone attenive , friendly helpful . waiter lounge even take time tell we surround building history , interesting . restaurant give we cabana seat private romantic . food excellent . room service breakfast champagen strawberry deliver room , great . wish would time try spa , maybe next time . side . pice feel top , champagne strawberry $ 155 , hamburger $ 26 . one great thing hotel adjacent wonderful shopping area , even go outside . basement shopping center Great Foods wonderful grocery store buy champagne $ 35 Godiva shop buy chocalate dip strawberry $ 20 . complain , budget may want consider . go see Beauty Beast wonderful play , take carriage ride central park , drink tavern green wonderful time . imagine stay place , feel special staff wonderful , plan go back ! 
 Jan 24 2005 	 wonderful suite 	 stay suite 53rd floor view Hudson Central Park . upon arrival treat extremely well , agree previous writer Concierge fantastic . we champagne reception 23 guest Lobby lounge day wedding give & quot ; private & quot ; area guest mingle , use foyer numerous photo'sFrom start finish take aback way treat definitely return . if money highly recommend hotel . 
 Jan 13 2005 	 great view 	 stay one night hotel , room small pay extra park view . check show partial park view argue check desk move ( good start ) . turn park view mostly parital view expensive option go . room service breakfast good small portion continental NY standard leave we hungry . lunch Asiate nice food tasty . hotel good service concierge bend backwards really . spa nice expensive . we stay go suite fed tripping case room quote & quot ; enough room swing cat & quot ; ! ! ! 
 Jan 10 2005 	 good kid 	 spend weekend Mandarin 2 child : 5 8 . hotel work well luxury property child . give child wonderful welcome gift . kid love view . indoor pool big plus . also important hotel connect New Time Warner Center inclement weather , could stay inside visit Borders book store even well , get food snack Whole Foods store inside . staff always say hello boy name always ask high five love . also , kid say chicken finger well . as adult , lovely , nice food great view . very pleased . 
 Jan 2 2005 	 nice worth price 	 many reviewer comment , wife feel MO nice - worth price . stayed & quot ; Premier Park View Room , & quot ; 46th floor 3 night New Year 's Eve . upon walk room , first thing notice gigantic , black Trump Tower fill 30 - 40 % & quot ; park view ! & quot ; bellman drop MO open , Trump hung banner hotel goad guest well view -- surprising . the room spacious well equip . bed super comfortable , class Heavenly bed Westin W hotel . electronic ( tv , stereo , etc . ) mediocre reboot several time stay tv would not turn , change channel , etc . modern Tivo component would much well job . bathroom large nice , one sink . although offer tea check - in , order coffee get room . bill $ 26 small pot ! spend half - day MO Spa , fantastic . vip room private shower , soak tub , bathroom , day bed massage table . spa service second none , like hotel , expensive . on NYE , enjoy dinner Asiate , hotel 's restaurant . initial service little slow pick meal . food good , spectacular . hotel 's lounge offer great view park Columbus Circle ( also suffer block Trump Tower ) .Overall , MO New York not compare well 5 - star hotel ' ve fortunate enough stay . need sort room electronic come back reality food room pricing ( fair , compare NYC hotel eat , close ) . hotel staff bellman , front desk , concierge courteous throughout entire stay . 
 Dec 7 2004 	 Staff Excellent 	 say . stay staff absolutely everything would hope tomake stay memorable . little extra throw , room upgrade , smile friendly helpful attitude throughout . truely first class , professional service . agree comment read doorman , lack , honestly small thing . I think review say attitide reviewer hotel . loved hotel , decor , view , staff ( mean ) . oh , food room service also first class . 
 Nov 28 2004 	 * * Diamond Rough * * 	 spend weekend Mandarin Oriental , must say standard , superb hotel ever pleasure visit . find hotel public space room architectural interior design masterpiece . designer wonderful job meld understate , elegant , peaceful asian atmosphere MO vibrant exuberance NYC . seem wherever stand within hotel , treat spectacular view NYC ever see . location within brand new Time Warner Center sublime . give whole new dimension Columbus Circle scale exterior design place awe - inspiring . upon arrival , upgrade Premier Hudson View Room , room . beautiful plush every amenity imaginable . corner room sweeping view river city every vantage point . could lie bed perfect view Empire State Building directly front we . amenity include plasma tv , dvd CD comprehensive entertainment system surround sound , deep soak tub another great view , separate marble shower huge rain shower head , minibar great selection beverage Dean & amp ; DeLuca goody , luxe bed feather pillow , robe , slipper , fiji water fresh flower turn etc . we also pleasure visit hotel spa . far good spa experience ever . , place beautiful refine . advise arrive 45 min early use & quot ; heat water experience & quot ; consist beautiful , separate whirlpool , sauna / steam bath area man woman . rest co - ed tea lounge be treatment . time get massage , already relaxed transition seamless . afterwards , escort relaxation room yet another exquisite area daybed , fountain , refreshment spectacular view nyc.while young staff friendly try hard , give hotel less five star right gliche still service . example , wait 40 min . bag bring room upon check ( call several time husband finally go find ) , room service little slow ( however food delicious ) , difficulty get room service tray remove , turn service second night late ( already bed ) , minor difficulty entertainment center reset second day . fact everything exhorbitantly expensive keep give hotel high mark . however , give fact still relatively new work bug , willing give MO little time become 5 star . overall , wonderful ( albeit cheap ) hotel experience hotel snob . 
 Nov 23 2004 	 nice pricey 	 come back spend 2 night Mandarin Oriental . stay last minute trip not 5 star hotel decent price . decide splurge stay Mandarin . doorman present , always open door greet everytime . staff friendly always acknowledge . breakfast hotel waiter pretty nice . room Central Park city view . thing nice Trump Tower front . room bathroom decent size really enjoy plasma tv room bathroom well . room service turn service time . would like stay price way 5 star hotel area . 
 Sep 15 2004 	 Read review- * 4 star good * 	 previous comment fairly acurate . believe reason flux review hotel new , still getting adjust , although ' operational almost year . stay twice , opening , stay time improve slightly . one way go perfect stay hotel , staff 's attitude vary great degree . Melissa concierge desk exception , service , warm efficient . lobby service so - so , compare breakfast service Asiate , bomb . simple lack communication manager witness area . bar desirable vibe , overprice drink one would expect . spa awesome , although overpriced . know NY , please , $ 240 massage , contribute inflation little please ... next comment would room . receive significant discount room , $ 1,000 - because point list departure - of thing meet price point . window room substitute lack sq . ft . room . order room service one night , server could not even fit cart food room ( corner bed prevent ) . design room wonder ? bathroom among good ' ve see , Mercer good opinion . final think : need pay outrageous publish rate , call hotel dozen time , speak 5 different people , include Lara manager , find guilty offering low available rate , ask . good practice , Mandarin need understand client , like , not time spend argue little negative incidental happening come result under - educate staff , lack clear vision 5 - star , 6 - star hotel NYC ... keep wish Mandarin , not deserve , least yet . 
 Sep 6 2004 	 agree much improved . 	 return MO NY past weekend last minute getaway quite impressed . soon opening agree prior review dismal state service . seem mostly take care , notable exception . service still par similar hotel . instance , Four season SF always know name time get reception desk everyone miraculously call we name throughout stay . partner return run FS SF Ritz Phili , doorman water towel wait . service simply less personal would like MO . say , everyone warm friendly . book room Platinum Travel ( though FH & amp ; r rate ) upgrade Premier Central Park View room . end hall share vestibule one room ( Premier CP View Suite ) . result , quiet hear door noise people complain . say except view entire length Central Park Mid - town spectacular . unfortunate even high floor trump building partially obscure thing , view still quite amazing . sunrise great reflection sunset surround building also nice . stay many top hotel New York provide quality view majority room . also like aesthetic MO top NY hotel , tend traditional fussy . find bed extremely comfortable shower wonderful . bath product also nice , much nice MO property . lot criticism technology room complaint complex . perhaps young age residue grow computer , seemd pretty intuitive . HD LCD tv great , speaker system . phone take minute master , easy . also like LCD tv bathroom adjustable . odd though not channel large tv network different channel . negative side , restaurant remain problem . though food consistent , overpriced ( $ 90 breakfast daily ) , service irregular . never quite get everything right . serve bread first day , come second day . give small amuse one day , next . ask butter toast . huge faux - pas , annoying . finally , one thing like like hotel think may come back ask tour room type might book . seem know request . first tell problem . second person get phone tell possible nobody time ( ! ! ! ! ! ) , would need make appointment front office . think , reporter wanting story ? guest , happy show room . time 1:30 afternoon finally say person staff could show around go back & quot ; afternoon & quot ; could stay room come back . inform already & quot ; afternoon & quot ; ask meant say 2 p.m . see 30 minute plan say fine . nobody call 2:30 left & quot ; afternoon . & quot ; course 2 day never able fulfill quite simple request . leave without see room , something might enticed spend money well room suite next time . loss . will not stop we return , annoying way end stay . 
 Aug 27 2004 	 greatly improve since disastrous opening 	 hotel greatly improve since disastrous opening . stay January 2004 change room first room uninhabitable even second one problem . food beverage department chaos . room service tea come coffee pot , vacuum flask previously contain coffee , . chef buy tasteless strawberry blueberry call seasonal berry - January . one night bar close management rent whole place , apparently shoemak , private party . due hotel 's eagerness make amend persistence guest relation manager , stay August 2004 . everything room work , although still incapable master tv system cordless phone . the staff seem relaxed . view wonderful bed delight . concierge service excellent foreigner might like know knowledge main european language , English ) could limit . there still thing wrong , course ( chef continue berry problem , instance , one staff render check breakfast gratuity line open , 15 % already include ) . will not able anything size room - quite big enough - size closet - small . , like wife , solve problem take vacation take everything , consider spend suite probably get two closet drawer . but transformation seven month commend . housekeep world class . engineering world class . staff happy friendly attitude . clearly hard work put get thing right Mandarin Oriental worth journey . 
 Aug 23 2004 	 Lobby Lounge 	 come back 3 - day weekend NYC mom . not stay Mandarin decide walk Columbus check see beautiful picture hear much . arrive 35th floor , amazed beautiful place decide sit enjoy cup tea dessert Lobby Lounge . seat right next window can not even express priceless view . dessert amazing staff invite . pricey worth absolutely every penny . not hotel review amazed experience time really go try . love detail put everything . view dining experience like ... , intimate relax . even do not money still experience hotel offer people walk door . 
 Jul 10 2004 	 outrageous Price Standard Service 	 hotel nice , overpriced . & quot ; service & quot ; nothing would justify high room rate , would expect much attentive staff rate . I m sorry , $ 595 night would expect huge ROOM lots amenity . instead get small room 45th floor , spectacular view , lot amenity . view , flat screen tv , bedside control , seperate shower / tub bathtroom enough hotel charge $ 595 . room WAY small price . would say room neighborhood 400 squarefeet . would say room hotel worth $ 450 night , pay , stay four season st REGIS hotel . also talk man elevator say book & quot ; Expedia & quot ; rate $ 429 night , say room overprice , would hate see small room ! ! LOL ... 
 Jul 7 2004 	 enjoyable experience 	 first , love hotel find stay truly pleasant experience . yes room bite small price exorbitant . 's New York . want cheap , go Cleveland . must say & quot ; extremely Disappointed & quot ; -- be really fair give negative review base 5 - minute encounter one doorman hotel not even stay . next time offer tip doorman ask taxi . 's customary expect -- especially be pay guest hotel . 
 Jul 5 2004 	 extremely dissappointe 	 although beautiful hotel , give Mandarin Oriental Hotel favorable review . watch firework show , walk around city , sister accompany , friend back hotel . stay swissotel hearing boast beautiful hotel , decide go see . arrive doorman greet we door , actually front desk chat front desk clerk . passed stare we blankly , ask we could help we . whole exchange quite cold , expect 5 - star hotel . tip iceberg way . leave mall exit , search ATM machine , return front desk sister could get cab return home . 4:30 morning pour rain outside , yet open door . ' sure fact young Black , combination two doorman front desk clerk pass half hour , ask we guest hotel . friend reply yes indeed guest . incredulous , ask front guest clerk doorman ask question see we come . reply , " well , see go , see go out . " stunned go outside wait doorman hail we taxi . wait , observed doorman previously neglect open front door we , open different group guest hotel . final insult came try hail taxi sister 5 minute , doorman point we towards umbrella tell we well stand corner hail taxi . brief visit hotel terrible , would circumstance visit . 
 Apr 5 2004 	 mixed feeling hotel 	 husband love hotel chain general . ' ve actually stay San Francisco one Miami one last six month . new york one gorgeous , drawback hotel likely related fact new york . room SF Miami spacious gorgeous .. room NY small still well decorate . location room ( near service area room service cart keep enter door keep slam ) lousy . also end hallway literally 4 hotel room door outside door noise insulation , neighbor feel comfortable slamming door around . 600 + night , quite mind . yes , NYC crowd real estate premium , expect Mandarin Oriental . still love hotel chain , new york city one not achieve level comfort one . 
 Apr 4 2004 	 2nd time around -- well do . 	 visit MO New York early December , door first open , disappointed . not think open soon , build still piece ( chip paint door , wall , ceiling ; tv functioning , internet , room service 1.5 hour , pool close ) level service . staff 's service lack efficiency , seem matter ask , take 30 min . I back New York last week , stay Ritz Central Park , first . disappointing experience start , credit management staff courteous enough find another hotel , offer MO New York . agree move , think would give another shot -- Ritz picking charge 2 night stay . I welcome back warmly , funny somehow remember . arrival smoother remember , duty manager gracious enough extend suite upgrade , even sell - out hotel . tea take 45 min time , pool open - what view ! make point inspect whether staff go back touch paint chip door wall , ! wifi run , convenient calming sit early morning sky lounge overlook Central Park , perhaps good view New York . read previous comment , sympathize fellow ' guinea pig ' try property , however second experience remind one bad encounter always end - all . hat extremely courteous bell staff , front desk staff , level professionalism put forth . understandably new property go grow pain . improvement essential , feel sharing story illustrate . new good New York , second time aroundÂ anyone new property DC ? 
 Apr 2 2004 	 wonderful weekend experience 	 wonderful stay weekend Mandarin Oriental . celebrate birthday , acknowledge check . plus room upgrade wonderful Park View . though Trump Hotel directly infront we , still great view way uptown . service wonderful staff bring special birthday dessert nice surprise . room absolutely beautiful luxurious . expect service little & quot ; & quot ; pleasantly surprised , attentiveness staff . efficient quick take care request . come back hotel evening line outside hotel popular MO Bar , long stay hotel show room key able go directly upstairs . downfall parking cost - $ 55 one night ! understandably NYC , hotel type reduce rate . , exceed expectation ! 
 Mar 30 2004 	 sadly one place happy check 	 high hope visit Mandarin Oriental New York email Manager advance way lie concern read message . partner first time New York want make sure unnecessary issue problem . several communication staff assure would memorable stay . book stay Centurion Travel Services 2 night 1 Premiere Hudson View room Lunch 2 . mail request quiet room high floor away elevator service entrance , basically room would quiet . we collect JFK stretch limousine ( surprise partner ) long haul flight arrive hotel around 6 pm Friday . arrival rather worryingly doorman bell boy . partner leave drag bag unmanned reception area , make way lift turn entrance residential apartment ! eventually make reception check warm courteous staff member proceed take we Premiere Hudson View room 51st floor . hotel jam pack unable upgrade we mention previous correspondence , really big deal . the room delightful , small , well furnished wonderful bathroom view NY / Hudson River . settle surprised hear lot bang , investigation appear room locate directly opposite service entrance . unfortunately door little sound proof make noise rather unbearable . previous correspondence manager staff assume mistake return check desk . return appear room available , ask talk Duty Manager . short show room next door , expect still issue noise . return reservation desk meet rather abrupt cold duty manager , refer correspondence previously General Manger , little impact . Duty Manager go inform due configuration hotel large number room suffer noise . nearly hour later , frustrated , tired late meeting , Duty Manager inform we find room wait housekeeping freshen . already late tell reception long room quiet go ahead move bag . return find hotel become number one spot New York queue gain entry explain situation tell wait line ! eventually regain entry find move room 43rd floor wonderful view Trump Hotel ( Supposedly Park View ) ! room comfortable nicely decorate although pleasant original small bathroom even though room classify upgrade . note room message manager would help small way placate situation . instead every detail hotel go wrong become big nagging one . unable sleep partly due jet lag also annoyance situation go lobby write email manager conveying concern . arrive lobby 6 am find one around , mean one , go behind reception desk call operator order tea . eventually staff arrive 20 minute later tea . meantime put together email manager log hotel WIFI network send . yet face another problem hotel WIFI setup function ask speak next Duty Manager present email laptop . exceptionally courteous understanding issue assure put we nice room . reassert want upgrade room originally agree & quot ; high floor away elevator service entrance & quot ; .We rest day return hotel around 6 pm Saturday . reception pick key new room locate 42nd floor 9 floor original , although believe mean impressed fact award suite . suite cold unwelcome carpet black floor occasional rug , compare room one feel inferior finish infact though finish . note message manager . also appeared locate right Columbus Circle mean noise level higher previous room ! understandably end tether realise hotel never go able deliver service promise , something find disappointing member Mandarin group . previously arrange spoke Front House Manager inform dismay hotel handle situation . point extensive communication hotel 's General Manager request ignore . fairness wish resolve problem , depart next day feel really nothing could restore faith hotel . on Sunday join friend lunch hotels restaurant enjoyable , infact breakfast Lunch 2 time hotel really live Mandarin vision . late restaurant due close decide take tea coffee lobby , transfer tell another member staff would wait hour table hotel lobby popular ! come check Duty Manager first night , bill came contain error . firstly contain charge lunch complimentary secondly contain charge 2 night centurion offer , 1 night free . start feel like pariah note mistake rather disgruntle Manager go onto inform reservation make Platinum Travel offer free night valid . thankfully confirmation Centurion Travel suitcase find rather needless situation prime example hotel negative attitude . placket manager travel 35 floor store baggage collect paper work , queue lift return reception . discussion begrudgingly remove 2nd night charge , however refer correspondence manager embarrassing situation would avoidable . my partner wonderful weekend New York memorable stay Mandarin Oriental , wrong reason . hotel fail live value superb group fail tackle problem opportunity . indeed hotel many wonderful aspect visual delight , ' m sorry say victim success . queue get hotel , queue sit lobby give assurance meet 5 star hotel make , far less Mandarin Oriental Hotel . sadly one place happy check return soon . 
 Mar 8 2004 	 Nice Four Seaons 	 agree previous post . beautiful hotel view spectacular . price would prefer stay Four Seasons . MO much small room little hip . plus service nearly good Four Seasons . bar cool wait 30 minute get even guest hotel . ' m gald stay able enjoy breathtake view city night will not stay . 
 Mar 2 2004 	 great experience Four Seasons still good NYC 	 get back MO NYC . would actually plan stay last November not quite open ( slippage normal new building scale ) . credit , MO give we & quot ; soft opening & quot ; rate go back last week , upgrade we Premier Central Park View room 51st floor celebrate birthday anniversary . the view , obviously , incredible . although Trump be build right front position new tower still get great view around . however , room pretty tight space - be UK may stay ' Travelodge ' room like upscale version kind room . high - tech tv / computer set little tricksy - like reviewer , call tech support ( case able change volume tv ! ) fair fast scene quick fix problem , remained fix . there little glitch service , overall 's slick Four season - possibly need bed - in time , although wife notice quality fit - and - finish nowhere near FS standard . for expensive high - profile ( spectacular ) building really seem like 'd & quot ; spoil ship ha'peth tar & quot ; speak . we find Asiate restaurant bit like hotel - i.e . flash spectacular bit tricksy . sometimes fusion food sound unlikely really work taste ( shrimp pasta cook paper XO sauce superb ) , mostly taste odd sound . fair , though , eat previous evening consistently excellent Four Seasons restaurant ( affiliated hotel ) night Daniel Boulud 's DB , really exceptional , Asiate high bar reach . it always full , beautiful room stunning view , be definitely worth look . the intimate & quot ; MO bar & quot ; across lobby fabulous , permanently busy New Yorkers tourist hotel , lobby bar . guess 's view - quite rarity still ny.one nice touch private access shopping centre hotel 's elevator - make feel privileged somehow ! shop nothing special 's good Dean & amp ; Deluca Borders store great restaurant open time go ! overall , , fantastic experience ( great view ) next time , pay full rate , would still choose four season - money would get ( less spectacular ) view much big room , plus 's quieter , well quality smoother service . grateful experience MO . 
 Feb 16 2004 	 bad price 
 Jan 20 2004 	 major disappointment 
 Jan 18 2004 	 Excellent still work kink 
 Jan 4 2004 	 Truely ` ` Special Occasion '' Hotel 
 Jan 4 2004 	 almost perfect 
 Dec 30 2003 	 Comfortable Hotel 
 Dec 30 2003 	 New York 's Finest 
 Dec 29 2003 	 truly wonderful 
 Dec 4 2003 	 ` ` New '' New York Favorite 
 Nov 25 2003 	 romantic 
 Oct 25 2009 	 belle vue sur central park 
 Oct 20 2009 	 Magnifique ! 
 Sep 17 2009 	 ? ? ? ? ? 
 Jul 3 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jun 4 2009 	 ? ? ? ? ? ? ? ? 
 Mar 31 2009 	 ? ? ? ? 
 Jan 11 2009 	 couper le souffle ! 
 Jan 5 2009 	 NE VAUT PAS SON PROOX 
 Oct 29 2008 	 38 ? 
 Oct 23 2008 	 Lusso costoso 
 Sep 7 2008 	 le top à Manhattan 
 Oct 5 2007 	 Das beste Hotel der Welt ( jedenfall von denen die ich kenne ) . 
 Aug 5 2007 	 delusione 
 Dec 4 2006 	 innoubliable 
