excellent 	 wife truly enjoy recent stay Sheraton Hotel . value money outstanding - know price pay reflection current difficult economic condition really worth much money . room facility comfortable become home week constant activity . look forward come back room every evening , & quot ; island tranquility & quot ; , overlook river quiet . front desk housekeeping staff make we feel like special guest every day . really like free internet access link café ; complimentary Starbuck 's coffee Tazo tea generous welcome amenity . every hotel employee meet helpful pleasant . love central location stay Thanksgiving Week hesitate return hotel next opportunity present . much could say little thing make stay enjoyable , obvious staff training attention detail well intangible , & quot ; positive attitude , pride willingness please customer & quot ; evident throughout facility . 
 Oct 3 2005 	 stay - Miserable staff 	 bad experience hotel fact never plan stay Sheraton . five phone call 2 hour fight uninterested concierge take get perk romance package book . romantic , really . , add insult injury , tell check 3 TIMES ( even twice ) desk clerk line Gold Platinum guest , happen . infuriate degrading experience apparently look like feel Gold Platinum guest look . read negative review take chance anyway make horrible mistake . stay W Chicago Lakeshore will not disappoint . 
 Oct 3 2005 	 good location friendly staff bad hotel experience year 	 normally take time write review feel obligation warn people hotel . bid get hotel $ 75 ( $ 94 w/ tax ) , still feel overpaid . problem begin check first room colony ( hundred ) ant camp bathroom sink . call front desk give we choice another room floor 2 twin bed room w/ king bed convert smoke non - smoking room last year . travel infant choose try room king bed . get room smell someone smoking room minute prior . call tell we another room non - smoking king bed . not offer room we first place . decor hotel lobby nice stop . walk three room note carpet filthy cover stain everywhere . room service tray Breakfast still outside room 5 pm ( maybe 's ant stain ) . three room see cramp , obvious remodelling job cheap , much room disrepair . positive view nice pillow soft . parking $ 35 / day , drop front go dank garage , wait 20 minute find car , navigate maze pole 30 degree incline drop token 1970 's garage door control . finally checkout receive charge bill make . call front desk say see computer mistaken . bring bill show desk attendent disappear least 10min return without explanation remove charge . overall - hotel good location , nice lobby , hallway room disrepair , problem cleanliness likely lead ant . lot mistake correct friendly staff happen first place . stay many four star hotel one not even close . 
 Sep 26 2005 	 Decent hotel great location terrible service ! 	 stay hotel four - day convention September 2005 . sister also stay , separate room , two set experience draw upon . long , want useful . first , hotel obviously pitch running convention , pretty well . facility generally good , comfortable seating , good av equipment forth . one thing really appreciate availability big container chill , filter water back convention room , seemingly limitless supply big plastic cup . say , cup impressed . downside , convention room small stuffy airconditioning seem work . one excellent panel lose number audience member could hack heat room . particuarly unpleasant session one room , avoid panel room , feel bad speaker make effort develop presentation fly across country provide . generally speak , though , convention facility good ; attend crime fiction convention , religious charity hold separate convention time , overlaps , double booking similar confusion . check - in excellent , consider enormous queue conventioneer waiting arrive , impressed quickly process . receptionist , Erika , courteous helpful . check similarly smooth quick sister ; impressive give length ( post - party exhaustion ) queue . check hotel offer service guest put bill door not dispute not need check . mine accurate check , idea offer facility sister . day later charge appear credit card mini - bar item consume ; also perfectly fair accurate . room - like curate 's egg ; good part . corner room 18th floor , slighly odd configuration waste lot space , sofa window look onto view lake , gorgeous , lovely place curl read . sister corridor room , seem , least , lot big . wardrobe twice size mine . wardrobe contain small lockable safe ( key safe , usual modern PIN safe ) iron ironing board . despite ask non - smoking room , room reek smoke . consider ask new one , ( ) check - in queue long ; ( b ) convenient near sister ( c ) jetlagge tired , not bother . fair , ' m sure would accommodate ask . the room generally pleasant well - appoint . bed huge crisp comfortable good thing place . big tv console contain chest drawer one side , minibar fridge . tv face bed directly could move watch couch . sister 's tv distance bed , bit far comfortable viewing , also angle view couch . not watch tv . good desk chair internet modem use can not comment . sofa comfortable enough borrow cushion bed back ( plenty ) . mention , view part building ( room 1852 ) great . common hotel room , light pretty poor . ? also , two a / c unit room , one work , one operable , unfathomable reason , deadlock latch . mean want nip hour can not let room cool absence . strike pretty cheap four - star hotel . also sizeable hole wall behind door obviously strike doorknob often . sister 's room , 1850 , almost good view , large . suffer , however , next staircase , metal step , therefore pretty noisy . avoid room either side stair , also room next ice machine level , make massive racket . the small fridge cram full minibar item . room anything else , hindsight wish ask Housekeeping take away . consume item , water & amp ; juice , surprised replenish throughout four day stay . least make room grocery item . minibar price high side even usual extortionate minibar standard . on note , ice machine remove floor , work obviously going , complete four day period . lead much traipsing stair . discover several ice machine working order . find one , two floor , make lot noise . would want sleep next . sister 's room next stair , metal step , lot traffic due people climb hour look functional ice machine . would stay away room next stair ice dispenser . the bathroom pretty decent , nice bath decent towel supply . amenity throughly ordinary , though - no - name soap , shampoo conditioner - like minibar , refresh four day stay . third day could find conventioneer knock other ' door ask anyone soap . ( though , strangely , three free magazine place next tv replace first day month new edition ) . go nearby Walgreen 's bath gel etc . , bathroom light great . peculiar reason coffee percolator wall next hairdryer , supply coffee , sugar etc vanity . seem sanitary I . the real disappointment hotel service . check brochure etc much make & quot ; Sheraton Promise & quot ; & quot ; Promise Desk & quot ; - concierge desk , irritatingly often unattended give message cutely say can not help 're fulfil promise one else . Grrr . example : -One first thing upon settle hotel room good browse service folder find amenity facility hotel offer . occasion two page folder remove . call new one tell would right . half hour later call ( want order room service ! ) ten minute later guy arrive door . look like member janitorial staff speak much English . offer new folder , try give first folder get quite angry keep say & quot ; ! ! & quot ; eventually calm open first folder show page miss , could understand tell . pretty unpleasant introduction hotel service.-the material folder , event , date . spend 45 minute look coffee stand mention folder find someone could tell long exist , could get espresso steakhouse . seem news steakhouse , someone take order double strength latte disappear 15 minute eventually return weak , double- * sized * latte . explain want short , strong coffee , huge weak one , tell pay full price whether cup full . pretty offended , could care less extra dollar , want strong coffee , big ( weak ) one.-the room service menu quite limited * * expensive ( $ 40 + , plus service tax steak ) , first night order hamburger . take arrive , plain dry . although menu say come two type cheese , cheese . rang ask say specify cheese want , leave . say ( ) one ask type cheese want ; ( b ) menu suggest get type , choice . grumpily ask want , could bother wait fresh hamburger , say adjustment bill would , said & quot ; OK & quot ; . event charge . sister , co - incidentally , order hamburger also , also receive cheese , * plus * give open use condiment bottle , disgusting . also complain , offer anything.-On third day put shirt laundering . take three phone call hour someone collect . suppose back 6 pm . room 4.30pm 6.30 pm deliver . go , get back 10 pm . shirt still deliver . rang & quot ; promise desk & quot ; . three time . hour . finally turn around 11 pm . rang promise desk say unacceptable , shirt promise 6 pm , totally uninterested say would not charge . would rather pay time.-doormen - someone else observe , squad stand , never seem offer assistance anyone . find town car order throng people leave , driver work luggage.-Business centre - internet access outrageously expensive , 60 cent minute , limited - three machine , will not let book one want hang one free . also , try post something mail centre , long protract negotiation discover send thing courier , even , overseas , useless we . cash machine lobby , though , useful . overall massively unimpressed so - call Sheraton Promise , seem amount & quot ; will not give good service , complain will cancel charge & quot ; . one would rather decent service fair price . absolutely interest improve service work fail . plus - location great ; short walk everything , view boot . particular Pier close . in - hotel dining expensive view mediocre quality , recommend walk block two fabulous Fox & amp ; Obel grocery deli get magnificent pre - prepared meal , inexpensive , ( $ 10 lump crab cake , seriously absolute good ' ve ever taste ) . also get milk , snack staple Walgreen 's block hotel ( visible across carpark main entrance ) . also eat several time Lucky Strike cafe AMF centre opposite hotel - great food good price . Chicago 's fabulous city much well time exhaustive review perhaps suggest . room basically comfortable well appoint , location great , be go fun convention like mine will good time . help considerably pay anything close full price room , low expectation drastically level service get four - star hotel , not bother eat . first day go get need comfortable stay Walgreens Fox & amp ; Obel . use hotel service unhappy , ask refund get one much easily get decent service . 
 Sep 14 2005 	 Excellent hotel ! 	 business , time R & amp ; r well . room clean comfortable . staff friendly professional . room service food good food Shula 's Riverside Cafe fantastic ! enjoy pool sit deck . hotel convenient everything . definitely stay . 
 Sep 6 2005 	 bad get good rate 	 stay 3 - day convention . overall hotel not bad depend upon pay . anything less $ 125 / night book great deal . hotel staff - busy convention hotel think twice stay leisure will not get lot personal attention . location - good location block Michigan Ave . Fox & amp ; Obel ( upscale grocery store rumor Oprah shop ! ) right around block in - store cafe . close place walk quick breakfast lunch ( open 7 am everyday ) not want eat hotel fare . $ 4 fare cab Union Station . room - reviewer claim , bed seriously fabulous - maybe one step Westin 's heavenly bed . room clean quiet . housekeeping restock amenity hide shampoo conditioner ( pantene product ) want . wished read review beforehand know deadbolt door make a / c run cold . think hot flash ! gym - charge $ 15 / stay use rather limited gym . pool free . gym usual bike , ellipical trainer , treadmill - state art . attendant never seem somehow not charge even though sign everyday . woman employee hotel use gym locker room social time explain not much hairspray lotion leave guest . Restaurant - Denny 's quality Morton Steakhouse price 
 Aug 29 2005 	 bland stay Sheraton 	 go optimistically Sheraton not cut it . there plenty doorman front anyone open door . probably go 6 time . reception area great look check - in agent friendly efficient . check time hotel staff speak . entry way common area posh pleasing look room however par 4 star establishment . toiletry drug store variety , art hideous television tiny extremely color . two coffee maker bathroom . one attach wall working order . sink practically obstructing basin . other mention bolt locked order use air conditioning . understand try conserve energy seem Super-8 - esque I . like say ... 3 star . plenty well place stay downtown Chicago . Marriot Michigan , Talbott , Westin ( although be also starwood ) .. 
 Aug 21 2005 	 4 star hotel 	 return conference Chicago , Il stay Sheraton Chicago Hotel & amp ; tower . one three hotel choice staying conference hotel book . next year ' choose another hotel walk meeting . we arrive 7:30 discover give smoking room away . place give we special prefer guest room recently update letter allow we go Preferred Guest Lounge . nice lounge free continental breakfast good . nice plus . , call carpeting wear fray special update room , guess get . throw [ -- ] ant room crawl table really special room . the bed really soft appear clean part . surprise Jergens soap . expect decent soap dry . ' purchase home really ' expect hotel suppose 4 star offer it . they provide two meal conference stay tasty . lunch grill chicken salad chocolate cake . portion salad small ( ' tiny big eater ) . cake world . server rude person ' meet long time meet rude one employ hotel . continental breakfast meal serve good well stock refill promptly ½ hour 45 minute 1200 people eat . take ½ hour restock hard people get serve . overall , pleased hotel would stay . 
 Aug 16 2005 	 get $ 75 priceline worth ! 	 get room $ 75 priceline- worth every way . it nice hotel $ 75 pay . great location . tip though .... tips : not buy item room minibar- rape price . & amp ; be $ 3 ..... small liquor bottle $ 6.75 upthere pop machine , want buy , take cooler / snack refreshment . we go hotel bar couple beer cost $ 5 each . that outragious ! will not again- get bacardi coke come $ 6 . bring we next timeparking cost we $ 35 per night . think high go Chicago State St lot park $ 17 day . when pay room ought cheap ..... oh well . hotel excellent -let we check noon extremely clean . Beds & amp ; pillow great . huge room need crash ? everything average , not buy food drink maybe will learn need come earth price . 
 Aug 10 2005 	 Chicago Sheraton Excellent 	 Sheraton Hotel Chicago amazing . wonderful lobby , beautiful room , excellent staff . breakfast food not great , room service pizza sandwich great . check - in quick pleasant . location well . hotel right Chicago River short walk Navy Pier Mag Mile . great amenity like nice shampoo , soap , etc , pool great , one , relax sit sundeck . view room . corner room great option ask . would definitely stay go Chicago . 
 Aug 8 2005 	 bad reservation experience ' ve ever 	 frequent biz & amp ; leisure traveler , Chicago wedding . decide midnight stay hotel , rather originally stay . call make reservation , central reservation line say use front desk hour . front desk never answer phone call , go back central reservation tell work . , give reserv & amp ; charge cc . get hotel , record reserv , tell must ' ve call wrong hotel , go another location . nope , ' ve charge reserv hotel say . tell wrong . Spoke manager , tell wrong . not check , instead assume wrong ! hour ( 1 ) complaining , finally figure right along . give parlor room ( living room suite ) rollaway bed & amp ; husband ( make effort put together ) . key work , require get security ( think not know use key , fault ) . suite - mate not know arrangement , woken & amp ; angry . compe room , would ' ve prefer pay $ 200 ordeal . never stay sheraton , hotel make sick . 
 Aug 7 2005 	 Great Loaction 	 Sheraton fantastic hotel . wife stay 29th floor overlook Chicago River Lake Michigan . view great . we get corner room also couch in . the hotel short walk Navy Pier Magnificant Mile Shopping area . food hotel great . service check maid service first class . Great Hotel , Great Town , highly recommend . 
 Aug 2 2005 	 good hotel great location 	 recently stay weekend happy pay ( $ 179 / night ) location . convenient Navy Pier , Michigan Ave ( shopping ) decent walk attraction . room good size & quot ; comfy bed & quot ; ( bit soft people well hotel ) . decor room old stay long room matter . view great , look onto river could see firework room . agree other food hotel ( room restaurant ) pricey . gourmet food store block away ( Fox & amp ; Obel think ) sandwich breakfast food bring back room . while good hotel stay , would certainly recommend . 
 Jul 31 2005 	 time life ! ! 	 wonderful experience ! let we check early since train early- everyone politewalke distance great food shopping ( west egg breakfast - yummy ! ) even filthy rich would stay anywhere else ! thank much good trip life ! 
 Jul 27 2005 	 Lavish comfortable 	 great room great view . comforter SOO comfortable . want snuggle day long . check late problem . room clean , spacious bathroom , spacious room . complaint room matress . lobby common area beautiful ! vault ceiling , vallet , bellman , nice staff . would recommend hotel anyone want experience luxury decent price Chicago . location right near downtown , great water view , compaint ont hotel . would DEFIENETLY stay agian ! ! 
 Jul 17 2005 	 avoid terrible hotel ! 	 hotel absolute terrible ! Booked hotel Hotwire $ 100 ( total ) per night . long 12 hour drive heavy backpack arrive late night . hope get real good rest . know ? ! assign room clean : sheet floor , glass lipstick , whole mess room . okay , may got wrong one time . go reception ask clean room . went find second room ! housekeeping ever ! get to go ( heavy backpack dead tired body ) ask another room . trouble , finally get small room seem clean . go throught trouble get room ? ? ! ! poor receptionist , not even show apology . compensation complementary breakfest still require pay tip . bad experience over - prize hotel . definitely 4 star hotel . kind service , not wan na stay even free . 
 Jul 10 2005 	 Nice hotel bring retirement fund ..... 	 nice hotel far location . can not really well experience downtown Chicago . short walk Navy Pier , Mag Mile , etc . my family pull help quickly curb . advise parking considering would need car later trip soldier Field soccer game . $ 35 privalege parking . pretty high , Chicago . lobby beautiful front desk staff ( not enough ) friendly helpful . we put 25th floor . room pretty small two soft , overly soft , insanely soft , bed . two bottle water table wait we ( wanted pay $ 4 / bottle ! ) , in - room refridge fill stuff ( like $ 4 kitkat ) .sadly , soccer game dinner . late want walk mile food . get . $ 18 Rueben room service . ask restaurant could dine rather use room service unable understand reply , although ask repeat twice . hire people speak English would help . when go bed ( know , soft bed ) eld son sweat death sink bed far heat way escape . warm body person , hate bed . air conditioning terribly cool either make much bad . we visit pool nice , crowded ( tell day long ordeal ) sun Deck beautiful . next morning decide take advantage incredible workout facility list website . plan run treadmill wife swam kid . ( run every morning treadmill home , sell point website big selling point ) sign family pool go treadmill start warm . approach female employee tell , uncertain term , need pay use workout facilite . $ 15 precise . incredulous , ask show say charge . say , . check website say nothing extra charge . essentially , spend $ 200 one night kicked health club . I go back room wife kid swam . read paper get stench cigarette smoke ventilation system . ex - smoker rather distressing . sure come , really not care either . $ 200 night expect leave room smell like spend night brothel . long short nice hotel nice people work . worth $ 200 / night ? way . will not . Back Embassy Suites we ! 
 Jun 22 2005 	 high class hotel Chicago 	 return stay ( Jun 11 - 15 ) Sheraton Chicago Hotel & amp ; tower overall positive experience . this predominantly conference orientate hotel majority people stay likely attend one , however , way affect stay . point make feel way leisure visitor . check quickly reception member deal we able facilitate request riverview room even though hotel heavily book . our room good size incredibly comfortable bed . clean complaint would poor hairdryer bathroom . sometimes work time not find frustrating . also quite weak take long time get hair dry working . all staff member come contact friendly reception bar come turn bed evening . hotel always busy felt help give bit atmosphere place large property . hotel close bottom Michigan Avenue ( Wrigley Building end ) not take we long walk anywhere include Navy Pier prime location interested river cruise . be warn though airport shuttle service pick hotel unreliable . outside wait 5.10pm shuttle due 5.25pm never appear . 5.40pm go back speak concierge advise cheap quick get taxi O'Hare ring company say would send one collect we straight away . 5.55pm sign 2nd shuttle one company agree send straight away make decision get taxi airport . however , definetly cheap cost we $ 46.00 incl tip , shuttle would $ 34 ! fine hotel good staff make feel welcome would not hesitate recommend . 
 Jun 14 2005 	 ok worth money 	 stay one night , find hotel concentrate conference rather normal guest . find hard get room city particular night pay odd - @ $ 200 night . felt check not conference , stay hotel . guy main door not even hold open try lug bag lobby , que 15 - 20 minute check . give information hotel rang reception one stage find business centre hotel could access Internet , short ask not bring lap - top could use internet access room .... ! ! find staff rude helpful would recommend hotel tourist . 
 Jun 12 2005 	 can not well 	 stay Sheraton Chicago Hotel & amp ; tower well believe tremendously raise service level since . doorman maid everyone incredibly helpful . room spotless check process incredibly fast . stay 5 star hotel staff would not even look eye . Staff Sheraton Chicago Hotel & amp ; tower staff experience . treat like person . talk housekeeping manager lobby explain change go start top bottom . totally amazed young man 's commitment hotel way talk . would HIGHLY recommend hotel traveler miss GREAT service . 
 Jun 8 2005 	 satisfy 	 past weekend , wife spend night Sheraton . overall , positive experience . towel soft bed comfortable . good night sleep think ever hotel . the downside bathroom room floor clean ( strand people hair ) besides bathroom floor , find whole stay , -- check - in check - out pleasant experience . would consider stay next time Chicago . 
 Jun 7 2005 	 comfortable stay 	 go hotwire pay $ 102 one night . excellent deal hotel well locate , extremely comfortable clean check staff welcome ! 
 Jun 6 2005 	 great Room Sheraton Tower 	 take quick trip Chicago weekend see Wicked , want nice hotel without spend much overnight stay . use Priceline offer $ 80 stay accept Sheraton Hotel Tower . great experience worth much price get ! arrive hotel 10:30am thinking could check bag bellman check - in not 3 pm . talk reception desk , happily surprised find could actually get we room right away despite 4 1/2 hour early . room beautiful , 18th floor view Adler Planetarium river , king size bed . easily one large room ' ve stay downtown hotel major city . we use concierge twice - find Chipotle lunch get Ginos East deep - dish pizza . slightly get we Chipotle ( go one street thought ) give we priority seat voucher Ginos cut wait time half . a great stay - would highly recommend ! 
 May 13 2005 	 not Believe Naysayers 	 return 2 - night stay could happy . great room view buy Priceline $ 100 per night . parking expensive , unlimited in & amp ; out . stay non - smoking 26th floor really enjoy view . would stay anytime - great location buisness & amp ; pleasure ! TW 
 May 2 2005 	 expect money 	 stay $ 200 / night weekend . convention town many hotel book special rate available , good deal available nice hotel . worth money ! room disappointing . positive : bathroom clean , water pressure good , shower good . location great ( walk loop , lake , etc . ) lobby nice . negative : bed uncomfortable , despite brag great bed -- springy feel like sleep trampoline . comforter unbelievably heavy uncomfortable sleep ( plus seem clean & amp ; make microfiber material feel grungy ) , sleep sheet ( threadbare cotton hole ) yucky brown thermal blanket . not even put second sheet top blanket make sanitary . also , deadbolt closed activate heating / cool system , leave air conditioning leave room . time get back room long day , room hot & amp ; stuffy . also , not even give shower cap bathroom -- bare bone minimum toiletry . I would stay unless get really great rate . would rather stay day Inn type place , be cheap expectation would low , Westin , know would really clean nice comforter worth extra money . hotel clean enough money . 
 May 2 2005 	 Nice hotel 	 upscale hotel good location downtown Chicago . be 2 block Michigan Ave . shopping district close lake Navy Pier entertainment area . issue housekeeping resolve call . guest service promise everything perfect , try compensate trouble offer either Starwood Points , tower access , free breakfast hotel restaurant . room bit pricey ( $ 185 / night ) service decor nice . hotel mainly convention hotel individual traveler would enjoy well . 
 Apr 12 2005 	 ok 	 one issue hotel attitude guy get luggage , appearantly not tip enough make rude comment , even though walk 2 foot grab two carry bag . good way treat customer . second room low tower , floor 7 - 16 different room floor 17 high . room floor 17 high nicer . seem recently renovate . not consist entertainment center difficult keep open large tv . also heat system high floor room middle room blow air middle room , corner low lever room blow air right wall . the location hotel great , two block Magnificant Mile four five block Navy Pier . also close bus stop take quickly El train . also bed comfortable . overall think hotel ok , probably would rate high not difference room . worker kind , except luggage guy , location great . bad stay right price . 
 Apr 7 2005 	 Great Location Great View 	 opportunity stay hotel rate much well list , however choose Sheraton Towers presence pool proximity Michigan Ave . river . pleased staff friendly ( rare day ) . contrary review room clean though bit small four we . phone operating request service address ( fix ) . view river stunning comparable view Hotel 71 . Lets put way , be great hotel night 's stay , would not make vacation accomodation . 
 Apr 5 2005 	 great time 	 spend Easter weekend Chicago . impressed overall look hotel great reception recieve staff . lobby go thru renovation complete stay . concierge willing help question even call around town find car service large party . problem run cleaning staff come around early put Disturb doorhang door late sleeper . location ideal walk many attraction river right outside picture window . would recommend hotel family close friend . 
 Apr 2 2005 	 cold shower 	 first day . two warm shower late day . call downstairs , will check . next day samethe . cold shower , also four people think would get four towel .wrong three . the pool run towel . day leave lobby close try take luggage two set escaltor . valet parking way overpriced.they selfparke save $ 10.00 night . 
 Apr 1 2005 	 great stay ! 	 spend three night Sheraton Chicago great ! room large invite bed pillow wonderful ! would certainly visit ! 
 Mar 29 2005 	 Smelly Service - stay 3.24.05 - 3.27.05 	 first trip Chicago tell Sheraton good place stay . although hotel look nice outside good location , extremely displeased service . advise hotel go renovation make reservation -- lobby bad stink -- smell like mix paint vomit . get room , smell fresh , moldly smell room . tv fuzzy converter work properly . complain although someone come check problem tv , never fix . opt one morning go morning buffet Sheraton offer -- -the buffet ok -- egg runny service slow . would stay ever . 
 Mar 28 2005 	 Good Stay 	 overall , good stay . first , positive : - location : despite say , location be actually great . couple block east Michigan Ave./west Navy pier , Chicago River next door NBC tower.- great view room ( 11th floor , look west along river Wacker Drive ) .- Friendliness Staff- Predictability large chain hotel : ease check - in , check - out ; several restaurant option inside hotel ; attractive common area hotel , etc.- good rate ( $ 79 per night excl . tax ) stay , book via starwood website . rate , would incline stay .... negative : - charge use hotel 's workout facility . $ 10 per day . however , offer $ 15 entire stay option.- restaurant offer rather standard bland fare overly price . ( plenty well option neighborhood ... recommend Boardman 's Urban Kitchen NBC Tower breakfast ) .- furniture room carpeting hall wear need replacement.- world 's small hotel tv room ( 19 20 inch Zenith ) .- lot famile kid hotel , be business traveler , couple w / out kid single leisure traveler , probably not hotel . 
 Mar 25 2005 	 Acceptable great 	 stay last November three night . decide write review see far list Chicago . not think deserve quite low . this hotel strong point : let check noon , consider big plus . lobby beautiful , staff seem pleasant professional . location quite nice , river . room quiet , important I . now negative : sort suprise get room . expect something really nice clean . room overall feel clean . dust , big deal , blanket pillowcase one bed look dirty . really not want change room use bed try think . comforter bed heavy ( hot ) , bed comfortable . another negative $ 2 charge every time use prepay calling card room . really add . recently stay Courtyard Ontario Street , charge use call cardbottom line : would stay good rate would not first choice . think place big not keep track condition room . 
 Mar 13 2005 	 clean room 	 thing good hotel get good night 's sleep ( course important thing ) .The hotel not seem clean . room amplify perception . pool over - congest ( imagine hotel capicity 3500 people pool could fit max 10 ! ) .So positives:1 . great night 's sleep comfortable bed2 . bell man helpful leave hotel ( be usually way around ) .Negatives:1 . Less - than - clean room ( hair place , mark , etc ) 2 . concierge rude not know anything city - eventually decide make way get lose 10 minutes3 . operator never answer phone.4 . light bulb working.5 . give wrong room type reserve ; say could not put another room ! 6 . Sheraton & quot ; promise & quot ; keep . you might ask not change room . try , say . hotel 999 room ; would not hard find another . 
 Feb 5 2005 	 would stay . 	 nice hotel . stay 10/04 . room multiple window could see lake , navy pier , downtown area room . bed kind strange blanket heavy feel like one lead apron put x - ray . room nice sit area loveseat & amp ; couple chair . room clean , supply not always stock every day ( i.e . cup , coffee , toiletry , etc . ) . location good , great ; little bit walk Michigan Avenue Navy Pier , not big deal . park initially parking garage , go underground lot across Columbus Ave ( kind hard find ) much cheap rest weekend . 
 Jan 27 2005 	 small tv ever 	 Stayed Sheraton tower weekend jan 05 . bed great tv small thing see since junior high ( 1979 ) . door room look someone try break heater air do not work unless dead bolt lock . 
 Jan 23 2005 	 Sheraton Hotel Towers 	 stay hotel week January : -Checkin : -checke 2 pm try put standard room book tower level room , guest response line take 4 hour two hour sort problem 8 hour flight impressive . Hotel Services : -These open close like Towers Lounge close three time stay mea not could take Breakfast Riverside staff interested serve .. Business Centre : Opened close like . room : -The room clean depend clean room day inconsistent . overall : first time visitor hotel impress service hotel would definately look alternative next visit Good Bed make poor stay ... 
 Jan 3 2005 	 Peace quiet abound 	 stay Sheraton Christmas week , 2004 . really nice corner room . stay , nice hotel , noise always problem matter stay . truly quiet hotel ever stay . parking expensive , norm big city day . not eat restaurant , comment . Maid service wonderful accommodating . nice stay overall . 
 Jan 3 2005 	 Mediocre Location 	 wife stay weekend Chicago okay experience . location contrary review good downtown Chicago hotel . everything least fifteen minute walk winter Chicago mean taxi ride . thing know hotel allow smoking everywhere . not necessarily mind people smoke lobby , elevator lobby area public ton people smoke ashtrays everywhere . pool / spa / excercise room impressive either . accessible walk business center corridor , wonder be go right way come pool extremely small . also hot tub & quot ; spa & quot ; closet massage table . concierge helpful people answer & quot ; sheraton promise & quot ; phone tell nothing could ice two floor . bed super comfortable . think probably nice business hotel top line conference meeting facility couple family MUCH well downtown Chicago . 
 Dec 29 2004 	 Great 	 Killer location . walkable everywhere . terrific view . excellent fitness center . everything would expect Sheraton 's premiere Chicago location . 
 Dec 24 2004 	 nice hotel terrible staff 	 return 3 night . hotel nice great location . compare hotel area , $ 75 night rate priceline great deal . however say staff one bad deal travel . never see pass buck , non - caring staff hotel ever stay . location looking would recommend . however , plan assistance staff matter would stay elsewhere . 
 Dec 15 2004 	 good time young family 	 family stay past weekend . good experience ; good price ( 119 ) , great view , good bed , clean room , quiet , quick check - in , helpful staff , central location indoor swimming pool great view . stay . 
 Dec 14 2004 	 middle road 	 procure room Hotwire less 100 dollar complain . extra charge card Restaurant , take jumping hoop fix , resolve , check ask high room view woman give great room 33rd floor directly executive level view south loop , river , lake navy pier , view hundred dollar . take chance , watch card fact enoy . also response high valet charge , park car , stay hotel chicago actually afford discount webiste , learn park car . may tough reseach fnd safe cheap alternative park car , pay . 
 Dec 12 2004 	 Boring nice 	 book reservation Priceline not complain much . Sheraton lovely walkway along river view Lake Michigan nice something miss - charm . location also overrate . plan use CTA 's public transportation Chicago , recommend something close train station . although look close everything map , Sheraton actually substantial walk attraction , shopping , etc .... room ok , , nothing memorable . Sheraton probably deserve 3.5 four star . 
 Nov 16 2004 	 Great Location good hotel 	 stay twice , recently last weekend . room occasion clean room . one good thing stay bed , great , nice big comforter , nice sheet , good . eat hotel , breakfast good little bit pricey side . the location could much well , short walk major attraction , pretty much middle Michagen Avenue Navy Pier . negative cost parking , $ 24 per night , much critisism hotel trend city . overall would defintely recomment hotel . 
 Nov 15 2004 	 Great Bed 	 arrive around 11 am Saturday Nov ' 04 not expect able check . front desk attendant informed room type request not available . flexible far number bed , check we right away . must upgrade we , room 27th floor huge love seat , table w/4 chair GREAT king size bed . view city pier . although room next ice machine room , hear noise . day , hotel great relaxing night . 
 Nov 14 2004 	 much Better Choices Chicago 	 stay Sheraton Towers day two month ago , spend great deal time hotel past year , one bad . first room ( already nearly 200.00 per night ) check dingy depress pit without internet access , request upgrade , give much spacious clean room . consider upgrade not complimentary add another 40.00 night cost room , expect high speed internet complimentary ( much low price hotel ) -- especially consider ask another room internet . unfortunately , pay another 40.00 per day access equipment , force pay another 15.00 per day hook web ! linen clean nothing spectacular , certainly fine fabric one find similarly rate exceptionally superior hotel . hopefully never force circumstance stay . little planning , book MUCH well hotel Chicago . 
 Oct 27 2004 	 convincing 	 choose hotel central location . ... location great . hotel desappointe little . first get terrible old room . change renovate one much well not feel worth . 
 Oct 27 2004 	 Picky Traveler great stay Sheraton 	 & quot ; Picky Traveler great stay Sheraton & quot ; title wish Trip Advisor review include quick snapshot reviewer ( i.e . & quot ; cheapskate bargain hunter , & quot ; & quot ; consider Hampton inn nice place ever .. & quot ; mine would & quot ; rough = anything less Ritz 4 Seasons . & quot ; : ) well , check - in check - out , delightfully surprised Chicago Hotel & amp ; tower ! bell staff front desk clerk oh - so - friendly + helpful . lobby spacious & amp ; pretty include entrance Shula 's steakhouse . guest room sparkle clean , linen plush ( slick bedspread ! ) , ample minibar luckily , high - rise room overlook Chicago River view Lake Michigan ( join Starwood 's Pref Guest program ! ) . picky frequent flier , could happy ! 
 Oct 25 2004 	 great location ! 	 stay Sheraton Chicago Hotel Towers two night last weekend . location great walk place easily . room view Chicago River , pretty nice . got great deal Hotwire hard time get room one king size bed . would suspect 's one downside book online bargain site like Hotwire Priceline . staff nice cordial look like read memorize verses employee handbook not really feel welcome . one many guest visit hotel . however , would say hotel pretty nice term amenity location . 
 Oct 1 2004 	 not plan get room ask ! 	 stay Chicago Sheraton Labor Day weekend . location wonderful , hotel really nice , not give room ask . call previous day ask 2 room double bed , end concierge floor living room suite . give roll - away bed sofabe . really idea comfortable holiday weekend ! apparently idea make partial suite free continental breakfast ! 
 Sep 10 2004 	 great location Great Hotel ! 	 think Sheraton Chicago great hotel ! locate close everything , include new Millennium Park Navy Pier . definately stay . complaint hotel concierge not helpful would like . overall , enjoy stay much definately revisit ! 
