Fantastic 	 Dispite say , one , good hotel stay Chicago . travel Big City three time year pleasure James rate well . upgrade staff make stay worth special weekend visit . not believe disapointe . 
 funky decor shame lifts 	 stay James weekend work Chicago area . location fantastic shopping sightseeing . room 14th floor not notice noise reviewer mention . like decor ( modern ) find room comfortable free wireless useful . toiletry ( Kiehl 's ) particularly nice . eat restaurant ok . main problem hotel lift - end wait colleague 15 minute one occassion one two customer lift action lift tiny . would also recommend staff correct british guest use word & quot ; lift & quot ; rather & quot ; elevator & quot ; - 15 minute wait quite irritating . 
 Jul 24 2007 	 Boutique swanky 	 stay James June , must say , feel like ultra - swanky boutqiue hotel . from uniform staff .. consist small J pin wear nice suit , wonderful , comfortable bed , James make feel ultra - relaxed . gym hotel fantastic hotel gym , machine new fantastic condition . really enjoy complimentary Kiehl 's product well soft , cushy bed futon . location - wise , 's Michigan ave , be close shop restaurant . I would definitely stay ' m ' ever back Chicago . 
 Jul 20 2007 	 solid 	 book place blindly via hotwire know expect . room well expect . staff professional . bar downstairs cool hotel also quiet night . location unbeatable . nice little hotel . 
 Jul 19 2007 	 Best Hotel ever ! ! ! 	 word can not express much love hotel ! ! ! ! stay two night April Placebo concert HOB , could not pick well hotel . ' ve awful time find hotel Chicago rent room someone 21 . even try book room four season no - go ( ' m 20 ) . apparently will take money be 21 . know ? anyway , digress ... stumble across james travelzoo decide give ago . moment get cab treat like royality . doorman wonderful , love water treat set dog pass . nice touch . front desk staff could not welcome kind . first time someone ask flight actually believe care . room -- fantastic ! bed world , comfy ! plasma tv , ipod dock , snack nice touch . love alarm clock project time ceiling . turndown service nice well . bathroom -- room not tub . think bit odd , not miss . like fact window shower could look . pretty nifty . kiehls bath product nice touch . location -- could not beat . block half Michigan ave , starbuck block , el stop like four block away . even walk HOB night show , take cab back ( 3 $ ) . can not imagine stay anywhere else chicago ever , ever . ' ve stay good hotel world ( Savoy London & amp ; George V Paris name ) impressed service , people , room , location ect jame . 
 Jul 19 2007 	 Loved James 	 stay 3 night June love ! bed refer ' the comfortable bed world ! ' think 8 pillow something , make bed home seem little inadequate ! hotel great location , right magnificent mile close Hancock tower , Water Tower Place excellent restaurant . concierge could helpful recommend restaurant - Quartino ( fantastic italian close hotel , great atmosphere excellent food ) Blue Water Grill ( excellent sushi selection , also receive complimentary glass champagne arrival stay James , rather nice ! ) place also great atmosphere really busy ... also would stongly recommend go thr Hancock tower night breathtaking view delicious cocktail . hotel bar J bar also serve great drink seem attract large crowd . I also use spa - great . partner also use gym say brilliant . bathroom great , also like Kiehls product water pressure excellent shower . overall , nothing dislike James , would consider stae anywhere else Chicago , place could meet need . 
 Jul 17 2007 	 Unique wonderful well locate 	 James offer many strong point make excellent choice centrally locate hotel . location , right intersection Ontario Rush - close great bar / restaurant two short block Michigan Ave . nice property right Michigan Ave , , think preferrable close , diminish noise traffic . hotel unique , comtempory design , carry lobby room . style preferrence personal thing , lean toward less traditional , will enjoy look James . fortunate upgrade room , land suite top floor . much view , room spacious , contain 2 couch , 2 flat screen tv , comfortable king bed , well stocked bar , bathroom complete Kiehl 's product . bad ! service counter door prompt , professional friendly . Maid service well do include turn service . another plus fitness center rival many stand alone gym equipment selection quality . I two minor criticism offer . one , hotel old building wear spot common area touch . second , minor , gift shop hotel , need toiletry bottle water , will need go across street . my recommend hotel enhance relative value offer . consider location amenity , think hard beat , especially compare cost elite Chicago hotel Park Hyatt , Peninsula , Four Seasons . quick business trip fun weekend , James deliver need . 
 Jul 17 2007 	 Love James ! ! ! 	 return weekend stay James absolutely love . receive excellent rate Hotwire.com $ 129 night , room usually go $ 299 night . James centrally locate next Michigan Avenue ton restaurant shop close . charge $ 35 night parking expect downtown Chicago . decor hotel trendy yet comfortable . room 11th floor - much view street . bed fantastic - comfortable ! complaint street noise loud room - people honk hour night . friend also stay hotel us problem room , think one window must gap . overall would highly recommend hotel anyone . 
 Jul 17 2007 	 comfortable bed ! ! 	 wow , love James ! stay three night July , secure great rate Hotwire . start ? incredible night 's sleep super - comfortable bed , Kiehl 's toiletry , comfy robe plush slipper , huge flat - screen tv , combine make stay memorable . staff friendly approachable , turn - down service impeccable , business center free ( lightning - quick internet connection speedy printing ) . location perfect , -- walk Michigan Avenue , major attraction , public transit minute . really not want leave ! 
 Jul 16 2007 	 Best Bed ever sleep ! ! ! 	 husband book hotel Hotwire get amazing deal ! ! stay James July 13 - July 15 could impressed ! first , save $ 250 / night book hotwire not sure expect hotel website display hotel room tiny detail ! check breeze ... worried getting bump another hotel ( happen we book hotwire previously property sell ) call night confirm . room incredible ! complaint put corner room low floor little view handicap accessible room not know room look like . guess 's put guest not pay close full price room . not mind much not spend much time room . bed king comfortable bed ever sleep .... well ! ! featherbe mattress , comforter , feather pillow ( 5 bed ) , Ipod station / mp3 player , HUGE 50 & quot ; plasma TV , closet , full length mirror , electronic safe , iron / board , hairdryer , modern furniture . bathroom completely tile huge sink . complaint little room lie anything , hardly counter space . provide robe , slipper , shampoo / conditioner , lotion , shower gel , q - tip cotton ball . we quick housekeeping nightly turndown service & quot ; mood lighting & quot ; ( light dimmer ) treat pillow music turn ! shower enormous , easily fit two people handheld nozzle ( tub ) . bath towel soft extremely large ! ! husband go gym first morning ... incredible ! ! ! ! treadmill , elliptical , bike flat screen tv 's attach personal remote headphone . large variety new state - of - the - art weight machine rack free weight , multiple swiss ball even bosu trainer mirror wall throughout addition fresh towel pitcher ice water slice orange lemon bottom well personal trainer wander around . not get chance try spa , look amazing also ! J Bar small expect never crowd , definitely & quot ; lounge & quot ; feel comfortable seat candlelight . concierge give we great recommendation dine even give we business card give hostess wait get us & quot ; move list & quot ; . never wait , not get use . check not 2 pm , nice also front desk tag store luggage we spend Sunday city ! complaint would valet cost $ 42 / night , be Chicago ! be probably much anywhere prompt courteous . would choose James ? ? ? ? ABSOLUTELY ! ! ! ! ! not know would pay $ 400 / night stay , want try luck place , would try hotwire . great deal nice hotel ever stay U.S. ( stay previously Hilton , Wyndham , Marriott , Crowne Plaza , etc ) 
 Jul 10 2007 	 love james 	 love James ! , ' man , ' hotel , James . Don ' hate people think doctor good doctor , hair stylist one go , trainer one could possibly keep look good ? ( ' trainer way , ' . ) well , hotel really good hotel rest hold different opinion wrong , wrong , wrong ! daughter stay James Hotel Chicago . find hotels.com , like description picture . look hip modern , price location right . $ 203 night , one good hotel experience life . grant , ' world traveler ' sort cheap come hotel . hotel impressed land ' hare . call say would arrive Chicago 11 a.m. wonder could check early . charming staff person tell hotel would well get we room early . hotel disappoint . send we room 4th floor , , actually ready . return front desk . staff apologetic . remain charming self . offer we suite 14th floor . " upgrade " , ask , " additional charge ? " ' we . we go elevator , time , feel glow benevolence surrounding . examine lobby , ordinary minimalist box . James sense style would make Ian Schraeger want rethink Delano . start cool signage , visible far away we directionally challenge , pass cute doorman , notice stainless steel water bowl dog giant canister dog bone enter lobby . inside , even coolest among we , grin . floor ceiling window front street let natural light shine comfortable furnishing , terrazzo floor warm wood front desk . book shelf fill design book newspaper . lobby would actually sit in . hotel chain everywhere try steal James ' curator . hotel curator ? art collection fabulous . ' dumb enough come Chicago stay James , least check art . installation lobby Joel Ross 50 vintage suitcase , fill dismantle content entire motel room miss . everywhere else look sort interesting mural photograph . hotel room also original photograph . boring recycle stuff here . our suite beautifully furnish . designer actually consider guest would use space . bathroom immaculate , beautiful conveniently set , one hotel bathroom decent light space put stuff . finally someone sense put towel bar shelf sink even remember put ledge sink toothbrush , lens case , etc . appreciate every moment spend stand cool matte brown tile wash marble vanity stylish square sink . the room sit area flat screen tv , modernist couch would certainly sleep kid , Bertoia chair Saarinen style coffee table . everything fit perfectly make cozy spot . suite also bar area martini glass , stainless steel ice bucket , small sink , refrigerator , coffee maker course , mini bar . ' never tempt mini bar , go back cheap thing . the bed bed may good part . James good bed ' ever sleep . mattress firm , even though one pillow top thing usually hate . pillow also hard soft . designer cleverly outfit room bench drawer , seat storage next bed . even clock project ceiling ' lift head check time . need get one truly improve quality life . sorry know sound like crazy fan , ' help . loved white waffle weave robe & amp ; red slipper . red & amp ; white theme extend crisp white stationary & amp ; freshly sharpen red pencil . mention love red ? even love closet cool red wood hanger . nothing people ' think ? oh , one thing , ask could get late check time , front desk guy smile broadly say check time 2 p.m . need late check time James ? ' examine gym spa , eat dinner restaurant . , eat breakfast need rave . ' call David Burke ' Primehouse , amazed place seem like steakhouse could breakfast well . eat blueberry muffin large & amp ; describe wall wall blueberry . waiter bring coffee table carafe , mean much , since like coffee burn hot like half cup time , ' cool much . sound spoil picky ? ' really , particular come food coffee . daughter order boring oatmeal come beautiful berry . love . wait food , something call orange slushy appear , complimentary , course , chef know " hot out . " rave waiter muffin , insist try sample something dinner dessert menu . bring artfully present dessert live ' stylish presentation . ever hear cheesecake lollipop ? three arrive different flavor ; peanut butter , white chocolate raspberry kind crispy , nutty flavor . oh , strawberry mousse plate . dream salivate dessert since . , want world know , love James ! , convince husband dumb tourist , ' know well , stay four season . note : James open New York City Miami Beach . ' wait stay NYC James . wonder staff possibly delightful unjade Chicago . the James Hotel locate 55 E. Ontario . phone number [ -- ] Believe , one pay write . 
 Jul 9 2007 	 Awesome Stay 	 wife stay James anniversary July 6 - 8 . upon check staff upgrade we suite anniversary . room clean , two flat screen tv 's . staff friendly helpful offer we great advice thing , place eat , etc . can not recommend James enough . bed unbelievable ... probably two good night sleep year ! 
 Jul 9 2007 	 LOVED James ! ! ! ! ! 	 spend two night 3 good girlfriend recently . thing love James : 1 . location ..... could not well easy access shopping , dining nightlife . 2 . service .... far friendliest hotel staff ever encounter . 3 . Decor ..... eclectic energetic . hip ! ! ! ! 4 . bed ..... omg , heavenly ! ! ! ! ! ! 5 . product ..... Kiehl 's product awesome ..... find new favorite shampoo . thing need know : vend machine hotel closet place get soda block away . bring ice turndown , will call downstairs need . Trader Joe be across street , not softdrinks ..... organic snack good wine selection . 
 Jul 2 2007 	 impressed ! ! ! return 	 desparate hotel first last night Inn Chicago , horrible . search expedia reasonable 4 - star happen find James . check crappy hotel James . immediately , greet bell captain escort friendly reception desk . check impressed comtemporary design . staff abundant eagerness welcome . get room , fall love decor sleek inviting . room service meal excellent three time order . not get chance use 24hour gym spa , plan return . problem , staff apologize work immediately correct . , great service , good food , incredibly comfortable room must say make trip ! ! ! ! 
 Jun 26 2007 	 Impressed ! ! ! 	 wife stay James Memorial Day weekend . look forward get away without two young child nice quiet weekend alone . upon arrival , reservation book Orbitz . luckily , confrimation printout number . nevertheless , wait Orbitz fax confirmation give we room . due inconvenience , upgrade room nice . room impressive , especially bathroom . definitely expect read . use valet service park car 3 night stay . upon depart , realize substantial ding driver 's side door . contact James directly , pass buck tell we independent company handle valet service . getting run around party week . conclusion , would recommend stay James circumstance . 
 Jun 20 2007 	 's bed ! 	 first , be tired look comfortable bed , place stay . bed deep pillow - top mattress pillow nice fluffy - one comfortable night sleep ' ve ever hotel . that say , find James interesting mix underachievement . room nice look contemporary furniture . hd screen nice touch staff friendly helpful . however , top floor air conditioning could not keep - room bit warm outside temp low 80 's . despite contemporary look , furniture uncomfortable . bathroom , high - end soap lotion , cheap , roughest facial tissue toilet paper possible , room overhead shower drip , annoy enjoyable . overall , nice place stay great area - get good night 's sleep . be pay close rack rate , overprice . 
 Jun 19 2007 	 wonderful ! 	 stay James Hotel NeoCon really love it . the room decor great , hotel room clean , nice turn service . hotel offer business area computer . great bar lounge area . two block Michigan Ave . plan stay next year . 
 Jun 11 2007 	 beautiful little boutique hotel ... beware city taxis 	 nice hotel , perfectly situated cruise Michigan Avenue . scale boutique hotel like Mondrian , Delano Royalton 5 ( practically perfect ) would high 4 . staff accomodate friendly . room nice touch . Decor beautiful contemporary . linen great . ( course usual $ 4 can coke $ 10 bag cashews , steer clear ) . water presuure low evening arrive . call front desk operator willing send someone check . however clearly system wide water supply problem , decline . morning water presuure back normal . be forewarned . park car add city taxis bill cost per night $ 100 quote rate . $ 340 room end $ 440 . $ 400 hotel ? probably ... be hard find something much well Chicago . 's life big city . 
 Jun 11 2007 	 Love James 	 James Hotel HOT ! great bed , great design , great location . recommend place anyone visit Chicago ! 
 Jun 7 2007 	 Fine vacation 	 James Chicago another version Ian Schrager - style minimalist chc substance ( light version Royalton NYC ) . sum , old property redone interesting touch , still show age old bone . location , however , nice room big Schrager 's place , although bathroom room small side . ; problem room noise , slow . large inconvenience business traveller desk room . $ 200 40 % Park Hyatt Peninsula , James fine . 
 May 31 2007 	 wonderful stay ! highly recommend . 	 's great location - block State & amp ; Grand stop Red Line . Starbucks Trader Joe be across street , plenty shopping dining within walking distance . check , offer complimentary upgrade studio room , fantastic . small living room area , plasma TV & amp ; mini - bar , also small bottle alcohol . cheap , would pay mini - bar . good selection . room fantastic - previous description accurate will not repeat . drink bar night - , cheap , make AWESOME mojito . also - , Memorial Day weekend , elevator operational . place fantastic . get great deal Hotwire , will definitely go back . 
 May 30 2007 	 new home away home Chicago 	 stay James business month prior , bring Mrs. Davooda celebrate 44th birthday city late May . loft room ( 821 ) highly recommend though view . rate $ 299 first night $ 269 next two night - book via hotel request TravelZoo rate . loft room bring movie play projector ( yes , projector tv Bose 5.1 surround system ) front desk bunch choose . check : difficult check - in wonder make mistake . lisa front desk handle well , though , ( room give projector ) manager offer upgrade one executive apartment . decline , though , really want projector . bring Davooda - offspring book apartment . concierge : good ' ve see Chicago ' ve stay four - star five - star . Laura get we guest list Underground , Billy Dec 's new club , great time - even host bar free vodka drink ! room service : dine room twice time delivery time service perfect . even 2:30 burger taste like come wood - fire grill ! worth extra cost ( though 20 % discount TravelZoo ) bath : walk - in shower , huge towel , Kiehl 's ( think ) bath product make winner . bed : huge comfy - though kinda warm . keep AC crank overnightMedia - two plasma tv 's addition projector , cd / radio IPOD dockhousekeepe : turndown service around 6 pm cookie nice , give ice want ( travel cooler 's plus ) Lobby Bar : good service , make good Manhattan play awesome world music relax . primehouse - dine time great breakfast business tripjbar - walk - much go Saturday midnight , , Memorial Day weekend Chicagoans typically leave townlocation : could not well . Trader Joe 's right across street in - room nosh nice bottle wine . Pizzeria Due - one Chicago 's good one block west . ( ( ( TIP : Walk Due 's order pizza pickup later . really atmosphere Due 's 's always packed , pickup pizza , ask cut pizza give plastic plate utensil , enjoy bottle wine Trader Joe 's watch move room ) ) ) Michigan Avenue shop one block east Rush Street nightlife begin right outside east door James . Bloomie 's Home Store one block east . favorite thing : attentive staff friendly professional . feel like & quot ; big - shot & quot ; whole time . Davoodas back ! 
 may 19 2007 	 great location especially rate 	 much enjoy James Hotel , especially since get rate $ 169 TravelZoo Deluxe Queen room . check quick professional . room 16th floor , face Ontario Street . never , however , hear street noise , noise , really . room quiet . room large , room large chair ottoman small table bench / sofa , addition queen size . bed . the decor white , white , white , not totally crazy , not distract . free wi - fi everywhere hotel , room ipod docking station , whatever thing call ... well stock mini bar , well full bottle cocktail shaker fix one two drink . the bed , comfortable , tv great , clock room one kind project time ceiling . turn service provide cookie place robe slipper bed . there steakhouse hotel serve breakfast lunch well dinner . not opportunity dine , always crowded . check elsewhere review . the location two block west Michigan Avenue shopping . block far east Lake Michigan ; great walk warm month ( much middle winter ) . famous Pizzeria Due street , Trader Joe be across street want pick thing room munch on . all , great stay ! would definitely return , highly recommend . 
 May 18 2007 	 Hip 	 husband take trip Chicago explore city amazing food ! stay May 4 - 7.We get amazing deal room hotwire.com . travel website show price , star , general location hotel city wish say . not tell hotel get price though . book , cancel . much cheap online travel site decide take chance purchase hotel deal . purchase hotel deal , show hotel get . James ! ! ! ! excite since 60 % saving compare book anywhere else . check - in - very easy check process polite employee . Room - We 16th floor view Rush St . great view ! ! ! could hear outside sound city issue we . decor neat , everything new consider new hotel old remodel building . room good size flat screen tv little nook small cushion table eat work . small mini bar fridge fill costly drink , alcohol snack . several informational book Chicago give idea . two bath robe provide two pair red slipper plastic packaging keep . bed comfortable husband rave good night sleep night . Bathroom - Decent sized wardrobe full length mirror . door funky slide door , however 1st get room 's track . husband put back track . lovely grey tile shower floor bowl style sink . well stock several towel . Kiehl 's brand toilletrie nice surprise . love Kiehls ! hair dryer ironing supply room . Location - Perfect location walk distance bar club Rush st . , movie theater , shop mag mile great place eat Pizzeria Duo , Giordano 's & amp ; Portillo 's Chicago stlye hot dog . take taxi 's Navy Pier , Shedd Aquarium Field Musuem . Internet-2 computer available lobby check email even use printer use print boarding pass flight back home . fee , acccess internet room use flat screen tv . computer lobby free . hotel also fitness room massage spa use . overall , pleasant stay love James . 
 May 10 2007 	 darn interesting place 	 get great rate Travel Zoo see ton good press place . be little pretentious , interesting . think , like . upgrade we suite since birthday trip even special treat room we . write afterwards thank ask recipe , email recipe mail big box goody home . LOVELY customer service . problem one elevator wait time long , crisis . location terrific MagMile shopping eat Trader Joe 's right across street grab fresh thing munch . generally stay Conrad gracious vibe , fun change . seem folk sit lobby young beautiful hip , room fun ; check mini - bar , 's hoot . 
 Apr 16 2007 	 Swwwanky ! 	 good part hotel staff . moment walk be greet smile beautiful desk clerk ( pretentious , gracious ) bell hop helping get cab . 's great staff without & quot ; attitude & quot ; . room modern cool gadget ( mp3 player iPod , clock radio glow wall light dim , beautiful flat panel tv , free wireless internet ) , comfortable bed ( nice ' ve ever stay ) nicely stock bar ( half bottle Grey Goose , Johnny Walker Black , etc . etc . ) . course item mini bar expensive ' hotel room back light min - bar , grocery store . thing prevent give hotel 5 visit one elevator ' ' work ( minor annoyance working want perfect 5 perfect ) . overall much fun stay James cookie cutter chain . place good vibe . 
 Apr 4 2007 	 nashville guy love James 	 stay James one night love . room large cool . bathroom average well . highly recommend hotel staff excellent . 
 Mar 28 2007 	 Everything W wish 	 & quot ; W & quot ; try hard trendy hip ; instead come pretentious . stay , agree James everything & quot ; W & quot ; wish . even though & quot ; W & quot ; nice , feel quality overall experience well James . we look great deal upscale modern hotel . happen offer special James . read several review reluctant stay . website make look wonderful , review make we weary . boy glad go ! one wonderful hotel experience ' ve ever have . they really take care . staff friendly kind . impressed Kiehl 's amenity , soft cotton bath towel delicious cookie leave bed along soft robe slipper . also provide two two fluffy pillow people different preference pick . the bed comfortable , big duvet quality high count sheet . get standard King room huge plasma tv . room tastefully decorate ; clean modern without . ( please see picture ) . could appreciate design . now location : could not well ! Michigan Ave block two , Pizzeria Uno Due around corner , 's Trader Joe 's grocery store across street , Lowe 's Cineplex around corner , Room & amp ; Board furniture two block away be one block Rush street 's fill store restaurant . plus short 10 minute walk favorite Bagel place -Einstein's . we could not believe much score front hotel . comfort room , location kind staff . ' ve find gem city ! 
 Feb 1 2007 	 Perfect Perfect Perfect 	 stay James 3 night . second day inform due tiny hole sink ( notice ) upgrade suite . incredible service top bottom . request handle immediately . comfortable hotel bed ever experience . even travel soap / lotion supply top notch Kiehls . definately try restaurant . breakfast perfect . Treat & quot ; fill & quot ; donut hole . really amazing . whole experience great . stay James everytime go Chicago . 
 Feb 1 2007 	 really cool place - wonderful service 	 find wonderful Hotel ! location awesome , minute away shop , Restaurants Bars could possibly want . town interview , really nervous . end suggest Hotel Restaurant interview take good care we , make feel comfortable hardly nervous . place pack ! room superb ! really cool design . room call apartment , fantastic ! natural light get room awesome , sensitive dark place . full bar room , able use entertain friend night . I go gym little bit exercise say never see extensive facility hotel . staff make feel like family . available time , friendly ! definitely back another stay . 
 Jan 31 2007 	 Best Anniversary ever 	 people James incredible job taking care we really bent backwards make anniversary well ever . congratulate we upon check even send we little something room , compliment staff . dinner restaurant delicious , feel though people room even though pack . bed comfortable ' ve ever sleep cool media room perfect cuddle watch movie . could ask well way spend special night . 
 Jan 27 2007 	 James Journey 	 journey James business / pleasure . hotel locate within easy walk distance shopping restaurant . hotel staff helpful check breeze . room clean plenty roomy . feather bed comforter comfortable . room 14th floor Ontario street little noisy earplug take care . complaint valet parking . think 40 dollar per night little steep . check take half hour get car . parking garage Ontario half price would recommend . ask good place breakfast front desk recommend WEST EGG three block hotel . egg benidict good bill less $ 10 . 
 Jan 22 2007 	 Cool Boutique Hotel 	 recently stay James girl ' weekend thoroughly enjoy stay . staff attentive , front desk doorman bellhop . lounge area chic great place catch drink chill . room 16th floor decent view comparison room ' ve read review . would recommend try secure room upper floor make reservation . room decor super cool techy - love bedside clock project time ceiling . also location great could walk Mag Mile many restaurant / attraction . would definitely stay James would highly recommend be look hip , boutique location downtown Chicago . 
 Jan 21 2007 	 one night winter getaway ... 	 decide get away one night due cancel family event California -- take short road trip home Milwaukee area Chicago see show stay . hear James hot set - up right . thought would try night . book website work fair . call confirm phone sure professsional . ask fitness facility say yes big one . ask spa service say could arrange . impression go luxurious experience -- $ 209 -- bad . arrive person help we luggage trunk car -- give tip not much -- thought would take we room -- roll suitcase foot car front desk leave . go theater Watertower concierge idea precisely direct we door theater since Watertower big complex . hotel build old Holiday Inn style high rise small elevator , hall doorway . standard room tiny mirror main room someone bathroom mirror person . bathroom remodelle original tub repaint . bathroom door slide back forth track not slide smoothly . turn spa -- site , major disappointment , hope book massage facial . fitness facility stair close plastic take back receive area , metal service stair past garbage smell kitchen enter back way dungeon - like basement area . foam cup pitcher water , pitcher empty except ice . offer pass outside club call Crunch , several cold block away also basement . supervision fitness room , one guest working time blare one ceiling mount tv room ESPN , even though treadmill tv headphone jack . guest would give courtesy turning , could not use iPod becausee coud not hear ceiling hang TV . eat hotel 's Primehouse excellent . figure least $ 75 per person . conclusion think initial call confirm reservation tell we clearly lack on - premise spa workout room construction . mention checkout receive $ 50 . yes , plasma tv amazing , would recommend Omni price range , althought like try new thing , , like W Chicago Lakeshore still bone 1960 's Holiday / Day 's Inn can not cover matter hard try . luxury experience stretch . 
 Dec 31 2006 	 really want like James ... 	 wife live near - Chicago suburb child , opportunity get away , often try spend night downtown hotel . see hear excite James dinner Primehouse downstair . initial ImpressionsOur initial impression positive . front desk seem friendly helpful lobby , nothing special , line modern clean look expect . room well furnished , clean cool line large , 42 inch plasma tv make room feel large ( room do not furniture front bed ) . little eat nook neat touch bed extremely comfortable . downside , bathtub basically half - bath , really suitable adult wants take long bath . business traveller may care , couple look get away may disappoint . bathroom fine , nothing special . room feel luxury , exactly cheap either ( although wife get feel entire room furnish West Elm ) .One nice touch laser clock , kind project time ceiling . always think thing sort silly , consider get one house . instead sit crane neck see clock next wife need look up- cool . the PrimehouseWithout doubt highlight evening . go stay James go Primehouse . steak eater wife love . question go back . would put favorite Morton 's Chicago Chop House step other like Capital Grill , Gibsons , Ruth Chris , etc . expect food good , pleasant surprise . chocolate 13 layer cake joke . ProblemsOk , might ask average review ? everything go really well 1 am person room next we decide couple friend party 5:30 . since entire purpose we going get much needed sleep , noise come next door ( assume , might even hall ) literal nightmare . take numerous visit security joker quiet . fact , first visit miscreant seem emboldened . say necessarily hotel 's fault , however should not take 4 hour rectify situation , opinion compe room point ( ) . imagine stay Ritz - Carlton Park Hyatt ( favorite way ) would handle . sure lack professionalism staff , inexperience unwillingness deal situation , could handle well . so rough night , want get good breakfast head home . wife order breakfast 9:45 say would 30 min . 10:30 call tell & quot ; food way now . & quot ; 11:15 call tell elevator break room service person trouble get food upstairs . finally little 11:30 food arrive . ask food go hot , concerned might sit around mechanical problem , room service waiter look we confused . , food prepare , elevator fine everything hot . really idea happen , unacceptable ( especially pregnant woman want eat far soon ) . yes , breakfast compe , however room continental stay , extra like omelet wife . final ThoughtsRoom nice ( great , nice average - tv cool ) , service mix , Primehouse great 2 pm checkin / checkout fantastic . can not decide give another chance . get decent deal , stay , I m sure I d pay market rate . compare bill bill last stay Park Hyatt $ 100 total ( room , parking , food ( dinner breakfast ) , etc ) think brainer would stayed Park ( different type hotel ) . 
 Dec 18 2006 	 Top Notch Boutique Hotel 	 beautiful room . Friendly Staff . clean . convenient location near Michigan Avenue Loop . good hotel gym 
 Dec 16 2006 	 go somewhere else 	 stay Chicago Ritz , Four Seasons Penninsula comparable rate James . James even close caliber other . trendy decor cool , quality room service Motel 6 4 season . remote not work , window break , towel rack hang wall , toilet back loud elevator hallway . speak manager say would something take care problem . never . also , celebrate anniversary know since tell check . ' m use thing acknowledge stay $ 400 per night hotel . every year go downtown Chicago anniversary never go back . favor go somewhere else . 
 Dec 15 2006 	 Great Urban Experience 	 Chicago last weekend business suburb early week . exhilirating , interesting weekend , search modern boutique hotel locate active neighborhood . confirm construction finish James , book get exactly look . hotel beautiful sleek , sparse kind way . try trendy hip ? yes , be comfortable enough vibe sexy rather pretentious . room spacious , well - appoint , quiet . bed comfortable amenity generous . service accomodate eager please . location pretty perfect shopping , sightseeing , eat . complaint would quality concierge service . though responsive inquiry , concierge connect internet site , could not offer connection could use . perhaps hotel mature concierge could use . would recommend James anyone mood hipst vibe , luxury , urban pace . 
 Nov 28 2006 	 mixed bag 	 somewhere rave James say terrible- definitley side positive reviewer . problem staff unresponsiveness , drawer break room , love asthetic property much- modern artsy- would stay . discount rate . 
 Nov 21 2006 	 exceed expectation 	 James Hotel small modern hotel . view limit hotel , tall hotel building block three side large building . courtyard view poor make feel little depressing . staff nice check - in go smoothly . check 7 pm tell room ready ... wait another 20min . booked & quot ; loft suite & quot ; mean suite . Suite be usually 1 bdroom separate door . case . also & quot ; loft & quot ; Loft = high ceiling , expose beam , expose brick wall , large window . television bed work . projector & quot ; media & quot ; room also work . three towel bathroom . around $ 385 room , expect . 
 Nov 14 2006 	 Fabulous ! 	 really nice hotel excellent location ! work Chicago stay various hotel every week , rate insane lately , cheap place could find . truly exceed expectation ! start helpful doorman , staff wonderful - front desk friendly welcoming . room beautiful - like minimalist style . suite , everything well - think - out . bathroom gorgeous - slate marble , modern . even find glass lead scale sink ( though obviously need calibration .... ok , maybe ) Ooh , linen lovely . location great - right Michigan Avenue near wonderful restaurant , mention Red Line train . and sense humor great - can not anything big brick building right edge u - shape courtyard , project light look like windowson building , little stick people run around parody downtown Chicago . I highly recommend hotel , someone live hotel 45 week year , strong praise . 
 Nov 12 2006 	 James Exceptional 	 stay James total 4 night really want write review ' m afraid everyone read try stay . become popular will not able find room ! alas , must share joy everyone . usually stay House Blues Chicago . James Luxury Boutique Chic . think W want , try , James deliver . moment step cab , make feel like vip . service front desk top notch . room unbelievable . totally modern . wi - fi fast convenient . Kiehl 's product bathroom . white bed feel like heaven extraordinary pillow top . room ( ' ve stay 4 different King Size Studios ) large plasma screen . alarm clock even project time ceiling not turn around bed see time . wake call always right time . order breakfast come fast fresh . awesome facial mini - manicure spa reasonably price awesome short version service . oh , hotel locate two block Nordstrom one block shopping Michigan Ave . not want leave unbelieveable service food Primehouse steak restaurant adjacent hotel . ribeye ( aged 30 day ) basil whip potato die . service one good ' ve receive time dine . great wine menu . oh , love James much . 's new hotel can not wait go back next week ! ' m glad get travel business Chicago - stay James . be travel business , James make feel like ' r e vacation . be vacation , know ' ve walk something special . mention courteous concierge ? oh , helpful . every morning get choice 6 different newspaper . USA Today . know everyone like read negative stuff , will say . last weekend raining run mini - umbrellas guest use . not care b / c bring . complain something would need enough mini - umbrellas everyone . oh , cute mini umbrella first place . place give obnoxious large one carry around . 
 Nov 12 2006 	 Overpriced 	 Booked expedia stay 5 nights- location excellent major issue : - remote control nice plasma tv not work- call frontdesk- promise solve nothing do 5 day ! imagine ? ? -room clean small - bathroom clean well linen -Room cleaning skip 1 day- shampoo not replace 3 consecutive day ( despite notify frontdesk several time ) - Wrote note manager leave frontdesk issues- never take action/ even email leave hotel- never reply . in summary- be pay much downtown chicago- many alternativesoverall : big disappointment / 1 - star enough service 
