Nov 	 Favorite City 	 Great Hotel close Moscone Convention Center work downtown walking distance anything want . 
 Jul 4 2006 	 Fantastic Bed ! 	 stay one night pleasantly surprise nice . bed first rate ! ... foam mattress pad top . room quiet nicely decorate . drawback coffee machine room need go downstairs coffee . 
 Jun 17 2006 	 recommend San Francisco Marriott 	 recommend San Francisco Marriott would stay . room spotless nice furniture , new carpeting , granite countertop bathroom . away two people staff consierge desk help tourism need . cocktail lounge 39th floor great view , breakfast excellent lot fresh fruit . good part location great shopping restaurant half - block away . trolley cable - car stops street take Fisherman 's Wharf . 
 Jun 4 2006 	 bad slightly disappointing 	 first hotel stay whilst US . arrive cab parking not issue lobby staff friendly . aware honeymoon & quot ; Deluxe Room City View & quot ; somehow not anything special . although 33rd floor , view alright not anything special . room not spacious compare room later holiday not really clean not dirty either . seem clutte cramp . say , bed fantastic fairly quiet . initially , eat breakfast Mel 's Diner across side Mission Street really nice way start day even though usually 6 7 morning . not eat day evening hotel drink Atrium Lounge evening . comfortable staff really friendly could say & quot ; View & quot ; bar 39th floor . view fantastic open 4 pm shut midnight . could get anywhere near bar , bar staff plain rude could not care less serving . last two day , eat breakfast Garden Restaurant hotel good regard staff food . overall , dissappointment . 
 Jun 1 2006 	 marginal price 	 level hotel , bit disappointed . room lay well . host concierge lounge helpful ( resorted talk concierge downstair well success ) . indoor pool nice , chlorine overpowering . workout facilities small cardio equipment -- plus small tv 's piece equipment . nice touch . valet service , expensive , top notch out allow free . front desk bell hop good . overall , price , would probably stay Parc 55 top - o - the - line hotel . re - read response , sound negative . hotel bad way . nice , clean , quiet hotel . however , since travel work weekly basis , expect high - end hotel . perspective , let little . still , nice hotel excellent amenity , great location , fair price . 
 May 31 2006 	 Great Hotel 	 return 3 day stay San Francisco Marriott Downtown . LOCATION : nice hotel soma close MarketStreet Museum Modern Art . neighborhood nice close Market Street shopping , Muni train stationand many tourist attraction quite safe even late night . ROOM : room offer anon - smoking disabled access room , roommight differ description room . the view city moma great theroom . separate high floor elevator thatprovide quick access high floor fewstop possible . room bathroom spacious . one thing noticably miss room mini - bar . arrive late night want snack . the room service close nomini - bar . fortunately , quite 24 hourconvenience store step away hotel onMarket street . the carpet furniture little worn , linensand comforter fresh new . STAFF : front desk staff nice give mea high floor room view . housekeeping staff wascourteous well . not chance talk concierge service - can not comment that . facility : room high speed wire internet access available extra $ 12.95 . charge alsoinclude unlimited local call unlimited domesticlong distance within continental US . room hasa tv number US channel include HBO Starz . to SUM , great hotel good service . wouldrate 3.5 star . minimal renovation room , itcould upgrade 4 star easily . 
 May 25 2006 	 Friendly Staff 	 stay hotel four night early May wine - country vacation . know ahead time parking go $ 45 per day , prepared cost involve . know San Francisco make several one - way street , hard navigate way around vehicle entrance . ( hint : pull front hotel 4th , bellman give piece paper instruction street take direction turn take around valet entrance ) . bathroom typical , Kohler shower head amazing ! ' ve never impress hotel shower life ! complaint housekeeping come early every day . early riser ( even vacation ) housekeeping knock door 9 am day . ask please come back later every day . good experience , however , staff lobby front desk . delightful gentleman , average height bald head stand lobby , morning leaving would greet we , evening return ask we day ... eat lunch , etc . second day recognize we make point say hello . also fabulous gentleman behind front desk exceptional taste tie . great colorful tie day , check fantastic . 
 May 1 2006 	 clean quiet 	 stay 2 day arrival overseas flight ask quiet room recover jet lag . receptionist give we nice corner room neighbour could recover properly . room clean comfortable . view breathtae O.K.If look great view go bar top hotel , grab beer enjoy sunset . 
 Apr 30 2006 	 Great Hotel 	 staff friendly accomodating . great corner room 24th floor . roomy clean . within walking distance many location public transportation . 2nd visit SF enjoy hotel much well Fairmont . 
 Apr 28 2006 	 overall good hotel 	 Marriott San Francisco ( Market Street ) April 2006this hotel quite nice . 's convention hotel get come : huge impersonal lobby , horde people go / come convention , . location middle shop Market Place , right near BART station , nice walk Embarcadero . parking hotel expensive nearby municipal lot $ 22 per 24 - hour ( in / out privilege ) . , park one east - bay BART station ( $ 5 per 24 hour period reservation long - term parking need make advance ; instruction BART website ) ride BART . pretty much anything could want near - by : drug store , office depot , radio shack , shop would find mall , cafe , restaurant ( cheap expensive ) , copy place block two away Market Street fairly cheap internet access ( 10 cent / minute $ 1.50 minimum charge - hotel internet $ 13 per 24 hour period ( noon noon , believe ) , , business center ( limited hour ) , $ 4 15 minute ) . could not find internet cafe nearby . the reception staff quite competent ; check & quot ; rush & quot ; not much wait . request later check - out grant check - out not involve wait , either . request newspaper deliver USA Today deliver anyhow . check , leave luggage luggage check . luggage drop - off quite quick , luggage pick - up involve long wait . add insult injury , number we line , employee come back retrieve someone else 's item , go businessman arrive stand side podium , well outside line , help help we stand line . needless say , not give tip prepare . the room acceptable . clean , recently renovate , impersonal . hotel go duvet wholly approve , bed nice selection pillow ( 4 ) vary firmness . mini - bar room ( usually store drink refrigerator ) , request refrigerator deliver , quite loud ugly . bed fairly comfortable - bit soft liking - not tear bed apart mattress either pillow top mattress feather bed sheet . bathroom floor marble tile quite nice touch vanity wooden build - in shelf towel . office chair desk little ratty . fan bathroom although ventilation seem fairly strong ( way turn want steam bathroom remove wrinkle clothe ) .I ask room high tower read room close street could noisy . street noise problem window close . also ask room well away elevator , ice machine , traffic , etc . problem hallway noise . 24th floor St. Patrick 's cathedral side ( & quot ; city & quot ; view ) good view high floor surround building high enough block view well 24th floor . the room overall quite clean although clear bed vacuum quite time , really surprising seeing not take much time run vacuum bed ( assume Marriott purchase vacuum fit bed - not , pretty stupid ) . Marriott 's policy change bedsheet guest stay multiple night unless card place bed - highly approve policy 's much well environment . addition Gideon Bible , Marriott provide Book Mormon . opinion , religious material remove room deliver upon guest request . the room hair dryer almost burst flame first time try use . keep die think problem outlet , bit smoke start come exhaust vent quickly unplugged . replace 15 minute housekeeping model work fine . Marriott probably buy extremely cheap hair dryer ( blame people probably careless ) eventually short mine do . the good part hotel fitness center . additional charge use equipment , although use shower room / locker involve $ 5 additional charge . quite range machine use adequate number . pool small - good lap swimming , although hot tub huge . not trust cleanliness hotel pool / hot tub ( due kid ) use . reception area fitness center , ice water lime lemon , plus variety fruit ( apple , banana , orange ) plenty towel . hotel stayed charge use fitness center nice . tread mills recumbent bike hook hotel 's cable , although need bring headphone . the concierge line quite long every time pass ; one night want information line , bellboy came offer help . want information Mission District : good burrito place help find ice cream place not recall name . quite helpful : know ice cream place provide direction could not recall name ( found 's call Bombay - strongly recommend although close relatively early ) , send we Pancho Villa burritos fantastic cheap burritos . think get well information would concierge , probably use send guest far pricy restaurant . bellboy , contrast , live Mission District . I previously stay Grand Hyatt Union Square think nice , Marriott 's fitness center somewhat well location make well hotel , opinion . Hyatt 's top - floor bar nice ( pricey ) ; Marriott suppose nice view top - floor bar , never make . 
 Apr 18 2006 	 Outstanding 	 Location perfect be town traditional sight : everything 24 - hour diner world - class shopping within easy walk distance , transport distant attraction snap . service personnel exceptionally helpful courteous ( never instrusive ) ; room spotless well - insulate external noise , on - site facility first class . unlike many establishment caliber ( quite SFO ) , four - star property actually deliver every promise . highly recommend . 
 Apr 7 2006 	 Careful Booking Hotel ! 	 stay Marriott SF April 5 , first minute arrive , problem start . first entrance hotel hotel address . be 4 block via one way street . miss turn spend 10 minute get back entrance . parking astronomic $ 45 day ! Marriott reward member , confident would get nice room high floor . walk 35th floor room , find great view air conditioner unit . immediately call front desk , politely tell could 4th floor room instead . complain manager , give 14th floor room , overlook pile garbage roof hotel 's wing . terrible ! room ok , especially bathroom , high speed internet cost another $ 13 day . hotel dedicate take money efficently possible . conclusion , would rate hotel 4 star , give management resounding & quot ; F & quot ; extremely poor . stay Marriott . 
 Mar 22 2006 	 Excellent 	 stay Marriott Fourth Street weekend NIKE Womens Marathon . room magnificant clean ! view San Francisco hotel room incredible . upstairs bar / lounge / restaurant nice relaxing atmosphere . staff friendly willing assist question concern . breakfast buffet little pricey well worth cost . locate heart downtown San Francisco Trolley Cable Car service easliy accessible . nice hotel ! ! definately place stay ! ! 
 Mar 17 2006 	 Great Hotel 	 get back stay hotel . overall pleasurable experience . room comfortable user friendly business traveler . charge use gym , many hotel . finally , breakfast thi Terrace restaurant surprisingly good . would highly recommend hotel , especially stay near convention center Union Square . 
 Mar 1 2006 	 Great Location 	 location hotel excellent . walk distance Union Square , Sears Restaurant Powell ( great breakfast ) , San Francisco Mall , Crate & amp ; Barrel , H & amp ; , Anthropologies , William Sonoma , Macy 's , Neiman Marcus , Metronome , Moscone Ctr . etc .... also close cable car BART . room clean size enough room two . disappoint coffee machine make cup get even make hot water tea evening small mini bar . coffee kiosk downstairs lobby long line one person work . preferred go Coffee Bean coffee around corner Market Street mocha ice blend coffee . rent car couple day find overnight parking extremely high $ 45.00 valet park time add tax tip try dish $ 50.00 ( be rent car per day ) find public parking 5th Mission across kiddie corner hotel $ 22.00 24 hour . noticed floor stay room service tray pick right away sit day . water pipe make loud noise neighboring guest use bathroom . go room great low , mid high rise elevator . not wait elevator stop every floor . I love stay Marriott Hotels guess spoil stay Marriott Resort Hotels San Diego Monterey Bay excellent hotel ammenitie . 
 Feb 22 2006 	 First Class ! 	 attend real estate convention elect stay on - site . a first class hotel every regard . expensive , yes get pay . stay Hotel Rex prior weekend , rate # 6 last look ) , excellent different way . see review . horse course speak . visit San Francisco want full - service top end hotel would definetly consider Marriott . 
 Feb 19 2006 	 lovely hotel 	 stay San Francisco Marriott long weekend December 2005 . hotel well locate , minute walk attraction , easy reach convenient public transport system . the staff hotel always helpful friendly , knowledgeable local area . staff offer help without ask , example , provide umbrella wet day . food hotel good varied , upmarket restaurant , sport bar , coffee facility . I would definitely stay hotel area . 
 Feb 16 2006 	 Central Location Good Standard 	 stay Marriott 4 night end January . hotel well locate within walk distance cable car turnaround good shopping like Virgin Megastore . room good size clean . bed fantastic need walk around day . problem church bell ring every morning wake we jet lag anyway . eat lobby restaurant nice piano player . hotel big convention hotel look intimate get away boutique hotel . another plus we rent hertz car station lobby . parking expensive right mind would want drive around San Francisco public transport good . happy stay great time . 
 Jan 23 2006 	 Bad Great Location 	 Nice hotel great location -- downtown near many thing see . husband stay one night disappoint View Bar close renovation . limited contact staff good . room small - typical San Francisco standard . bed quite comfortable room clean , room seem bit need update ( particularly compare Park Hyatt stay several month early close price . ) Valet parking whop $ 45 ( be pay convenience . ) would not pay rack rate hotel , bad place stay heart San Francisco . 
 Jan 15 2006 	 Loved Marriot 	 stay Mariott 5 day two small child excellent ! good , clean room beautiful view good service . great breakfast - buffet friendly people . love drink view - lounge 39th floor . 
 Jan 12 2006 	 Great Location 	 San Francisco 2 night spend much time hotel - hurry see much possible 's great stay ideal location . 's close transport link , city centre . as note , go Las Vegas staying realise leave mobile phone charger hotel room . one phone call send Vegas Hotel right away . 
 Jan 9 2006 	 Nickel Dime 	 hotel gorgeous lobby nice room . however , one get feel try squeeze nickel dim guest . coffee pot room , alternative early morning cup go downstairs expensive Starbucks coffee kiosk ( add insult injury , happen dislike Starbucks ) . want cup 6:30 a.m. , be plain luck -- room service -- kiosk open yet . extremely inconvient , although may sound small , really diminish experience we . honor bar . robe . odd 4 - star hotel . 's extra little touch make difference , hotel apparently not interested . view , devil detail . would not go back . 
 Jan 4 2006 	 's location ! 	 stay part special christmas present three teenaged daughter . plus . check Marriott website special include parking hotel room cost ( $ 40 day saving ! ) . room nice , partial view bed lovely bathroom clean . staff friendly helpful . live bay area want stay close curran theatre A.C.T . ( easy walk ) . girl love near union square ( sephora , h & amp ; , DSW , urban outfitter , macy 's , betsey johnson - get idea ) . would recommend hotel anyone come city theatre shopping , close meteron muni / cable car / bart . past ' ve stay hotels union square ( st francis , etc . ) marriott room great deal money still close everything . would recommend eat one hundred great restaurant city coffee drink hotel ( view bar lovely ) . probably stay next after - christmas fiesta ! 
 dec 23 2005 	 Terrific Hotel 	 stay night shop San Francisco . hotel crowd Christmas week able check - in 10a.m . Front Office Manager front desk ask non - connecting room , personally pick good one we . room 2640 corner room great view Yerba Buena Gardens Moscone Center . oversized , nicely decorate room extremely comfortable bed . location terriic , 1/2 block 4th Market Streets ( Nordstrom , Bloomingdales next year ) two block Union Square major shopping area ( Macy 's , Saks , Beiman Marcus , etc ) . highly recommend hotel . car , park 5th Mission Garage across street $ 22 day vs. $ 49 hotel . 
 Dec 9 2005 	 Excellent Location Otherwise OK 	 stay hotel several occasion ( seminar weekend SF fun ) - location hotel great , could not well . be walk distance Union Square , lot downtown store restaurant , BART ( incidently take straight SFO ) , Metrion , etc . ; far food , find average , bit overpriced ( plain meal steak & amp ; mashed potato basic breakfast item ) , be much well dining establishment SF , dinner Marriott worth time ; room bit old , overall quite large comfortable , everything work order functional ; shower bite small , clean working order . ' r town day would certainly recommend hotel ( much well Marriott property city ) , could get bit pricey , be get quality $ $ .. want true luxury , opt brand new St Regis , Fairmont , PanPacific , etc . 
 Nov 14 2005 	 good hotel town ! ! 	 partner spend week San Fran Marriott , stay city many time Hilton , Crowne Plaza , Mosser name , really good hotel experience town centrally locate , stone 's throw Union Square . extremely courteous staff moment check - in , welcome long eventful flight UK ( emergency land Iceland ! ) . upgrade suite excellent city view well appoint accommodation huge hotel . comfortable bed , sofa , spotless bathroom attentive housekeeping staff . top floor bar awesome city view worth trip elevator although drink price steep . shop shop shop , want well - locate venue city stay indulge retail therapy , hotel . also convenient Market Street , trolley Fisherman 's Wharf towards Embarcadero , nightlife SoMa nowhere far taxi - few 4 starbuck short walking distance , include one lobby ! huge multistory carpark across road rental vehicle excellent dining spot around - like 24hr Mason Cafe Mason St , 5 min walk hotel also cheesecake Factory atop Macy 's Union Square . definitely return Marriott next stay San Francisco : - ) 
 Nov 11 2005 	 wonderful Hotel great location 	 13 - year old daughter spend several night San Francisco . decide spend night different hotel get different perspective city . stay San Francisco Marriott Saturday night find great rate AAA . moment drive front entrance , experience great service . check - in pleasant easy , allow early check - in 1 p.m. request high - level room , away church early reviewer advise . also advise staying room away church , bell amazingly loud ! quiet room , elevator could heard zip midnight resume 6 a.m . not terribly loud , could hear . hotel amazing gym- three different work - out room . quite pleased , open 24 - hour day ! thing find strange , fact room coffee maker mini - bar . pose problem , vend machine every floor , room service reasonably price extremely quick . hotel locate near Union Square SoMa . easy walk Chinatown ( daughter 's favorite part trip . ) recommend visit chinese bakery Grant Street serve freah - out oven roll , almond cookie various traditional pasterie . wait long line stretch block , worth ! also eat chinese restaurant near bakery delicious- service terrible . defintiely ignore reason , fresh dumpling spring roll quite good . hotel also right near Powell Street BART . 
 Nov 10 2005 	 Honeymoon Bliss 	 fiancee decide get marry City Hall favorite city world - San Francisco . stay SF Marriott prove perfect decision location staff top - rate . room spacious , bed complete comforter comfortable would like buy view corner room spectacular day night . particular , concierge - Jeff Clavin , go beyond make sure honeymoon perfect . arrange florist deliver bouquet , send champagne chocolate accord surprise room wedding day suggest restaurant might enjoy special night . even maid service respected privacy ensure would left alone unless need . entire staff hear upcoming wedding receive congratulation employee not even meet . would definitely stay highly recommend . 
 Nov 8 2005 	 leave heart San Francisco Marriott 	 travel San Francisco two three time year business . Marriott become favorite place stay . room hallway recently renovate magnificant & quot ; chain & quot ; hotel . bed comfortable , room bathroom clean , staff first - rate . pool Fitness Center fantastic . the lounge 39th Floor give beautiful view entire Bay area , unlike visit since Windows World New York . wonderful wine selection , wait staff remember ( sure good thing ) . make business travel pleasure place like visit . the location hotel absolutely perfect close great restaurant ( Lu Lu 's HIGHLY recommend ... two block away ) , Moscone Center China Town . I highly recommend hotel anyone ... meet taste style . 
 Oct 6 2005 	 Excellent Hotel 	 stay three night could not happy . staff kind helpful moment walk . room large typical SF hotel , sleep soundly every night . close cable car , muni bus , plus mega shopping . 29th floor nice view , pleased room . 
 Sep 26 2005 	 Excellent Service Nice Rooms 	 staff helpful nice . pleasant experience . room nice atmosphere comfortable . thing not completely satisfied bed . since use sleep pretty firm mattress home bed comfortable not firm . 
 Sep 19 2005 	 conventioneer 's delight 	 third stay , time day , well manage , room larger nicely furnish , well big bathroom average , intimate boutique romantic solid choice convenient everything include great shopping restaurant , also excellent BART transport , try Palace Argent area want less & quot ; chain & quot ; choice , excellent concierge desk people , couple single could feel push convention crowd good choice overall . 
 Aug 30 2005 	 Close Union Square 	 need getaway one night , get deal Priceline . usually stay Union Square , 2 block cable car , around corner Nordstroms . want early check , get . room comfortable clean , much view , one night , not long enough care . husband avoid parking fee $ 46 , use public lot 5th Mission $ 22 . privelege , park , walk ride cable car . would probably stay . 
 Aug 30 2005 	 Easy 	 stay family three night love service . arrive valet parking promptly meet , luggage take porter escort front desk room . nice start stay . room large comfortable . find restaurant good menu selection waitstaff attentive . east side building 9th floor face St. Mary 's church . first morning scramble bed 7:30 church bell begin ring . like sleep late , view church . ear still ring . warn valet parking . peak time may find wait 20 30 minute enter hotel . anytime travel SF , well leave car home . 
 Aug 23 2005 	 Great Hotel 	 stay business begin August 2005 fabulous time . friendly staff great location . nice sized room comfy bed . would definitely recommend . 
 Aug 21 2005 	 Excellent Hotel 	 spend long time trying find decent hotel right price SF . eventually settle Marriott disappoint . room ample size although would suggest ask high rise room . indoor pool good size nice warm although could find change room . last day experience enjoyable breakfast hotel . yes little expensive well worth . require house breakfast couple diner round corner especially Loris Dennys . next hotel large multiscreen cinema Sony centre teenager thoroughly enjoy . Union Square 5 minute walk away many shop close proximity . Tram bus Fishermans Wharf 2 minute away cable car 5 minute . word caution internet computer lobby therefore hunt internet cafe 10 15 min away . night easy get lose move away centre area become little dangerous around . several people mention we stay California find beggar SF visit . summary hotel excellent great view top floor night . spend 4 night would certainly return visit number place run time see . 
 Aug 19 2005 	 Perfect Location 	 enjoy stay Marriott . concierge staff friendly helpful question use transportation , etc . seem step away transportation option need . room comfortable , especially thank comforter thermostat room . view Lounge really nice view city . 
 Aug 8 2005 	 Great Renovation 	 SF Downtown Marriott change well . newly remodel , quite comfortable . husband & quot ; walk & quot ; property tell Renaissance Stanford Court overbooke night . furious little confidence downtown Marriott would suit need remember tourist friendly property . prove wrong right away . hotel surprisingly quiet , roomy , comfortable . would highly recommend future stay . 
 Aug 2 2005 	 Excellent parking 	 like previous writer find parking charge outrageous . luckily read trip advisor leave . park fifth mission garage , opposite corner - enter mission fifth fourth direction fifth . $ 22 per day privilege . city parking garage , find detail city garage city website . pass need car , really need car sf , public transport good buy muni pass one , three five day . hotel , think great . room decent size , looked newly refurbish immaculately clean . everything need . breakfast hotel one morning good bit steep $ 18 . main thing hotel central , market two minute union square , everything really easy access . sure could probably get good deal site book marriott.com pay $ 119 per night think get value money . the staff hotel friendly helpful ; particular two concierge staff help we get set city tour . want go Alcatraz book leave . try problem book system . get ticket book miss . could stand standby queue hear stand seven hour . 
 Aug 1 2005 	 big hotel personal service 	 first sight , hotel seem like another big convention hotel ( several convention stay ) . service personal - staff friendly ( special mention Margaret concierge desk - great tour restaurant recommendation , remember ( full ) name deal hundred people day ? ? ! ! ) .The buffet breakfast great eat much morning ( , keep go dinner ) ; , Starbucks lobby . room 28th floor great view Twin Peaks . room large , clean comfortable . hotel locate less junction Stockton ( lead Union Square ) Market ( major ( main ? ) shopping street ) , complaint location . overall , 10 10 . 
 Jul 30 2005 	 not park 	 not park car hotel charge $ 46.00 / day park car . ability . be outrageous ! ! 
 Jul 27 2005 	 problem solution 	 wife enjoy hotel July 2005 . problem dirty window , staff , thing describe other . beauty , however , hotel location easy access public transportation . go anywhere San Francisco without problem , many interesting place easy walk here . having pool spa important we . superb hotel . restaurant lacking - desert - never want eat . eat hotel San Francisco ? 
 Jul 25 2005 	 Nice room Busy Location ... 	 San Francisco Marriott nice large room update ( well probably several year ago ) . find low rate good thing property . hotel horribly busy area ( stay ' Times Square ' type location thing , be treat . want something quiet , go hotel Nob Hill ) . hotel lobby large typical Marriott can't - decide - what - I - want - to - look - like - so - i'll - pick - one - of - everything look . ' Flee ' say . stay get good deal -- many option SF consider . 
 Jul 22 2005 	 nice lobby shabby room 	 hotel recently renovate . prime location ( market 4th ) , beautifully decor throughout lobby 2nd floor , spacious meeting facility attract many corporate account . staff nice , helpful friendly . problem room would expect 4 - star hotel . stay high - rise tower 26th floor . contrary popular belief , not really good view . see highrise mere glimpse pacific ocean ( literally glimpse good eyesight try hard ) . bed linen hole look worn . minibar coffee maker room . short , will probably get great ocean view stay Holiday Inn close China town ( breathtake full ocean view room ) Holiday Inn Golden Gateway . will probably get nice room comfy bed stay Westin Sofitel . 
 Jul 19 2005 	 concierge staff superb 	 recently spend three night Marriott part tour . arrive early spend time daughter live San Francisco . first , agree many reviewer window dirty find common many hotel . & quot ; street side & quot ; constant noise even early hour annoying sound night . however , hotel hospitable concierge staff great . wonderful recommendation kudo Jeff Clavin staff . seemd constantly duty even early morning hour . good tip local transportation . Marriott great location . take bus almost anywhere $ 1.25 . want cable car ride , ride early morning might wait really long time . take cable car Alcatraz Fisherman 's Wharf problem 7:30 morning . buy ticket line Alcatraz might disappoint . go Saturday next available ticket Tuesday . however , & quot ; standby & quot ; line guarantee , people stand line able get boat island . the breakfast buffet Marriott superb , bed comfortable . lobby lovely staff front desk also accommodate . , staff Marriott good would hesitate return . 
 Jul 18 2005 	 Nice Stay Marriot 	 stay Saturday night attend SF Giants game SBC Park . hotel staff pleasant accomodate . arrive early 10:30 . thought chance may room available cheerfully check we . parking hotel use valet parking $ 45 per night . front desk staff make suggestion park across street hotel public garage $ 20 per night . 24 hour security patrol . able walk sbc park 1:00 game time . be mile away . the room 28th floor nice , quiet comfortable great view althought window little dirty . bed comfortable . view lounge top nice , atrium lounge comfortable sofas overstuff chair . a short walk union square shopping galore make hotel excellent pick . would definitely stay . 
 Jun 29 2005 	 tired definitely past prime 	 last trip San Francisco stay beside Marriott IC Mark Hopkins Hotel Palomar . property classify * * * * .I definitely return Mark Hopkings probably Palomar well Marriott . tired room get bad Residence Inn's . also room low level suffer noise come hotel 's air condition unit . tc reception really bad get technician look could not get fix . sometimes MSNBC , CNN , channel unwatchable . this 2.5 * property good base room get . 
 Jun 15 2005 	 good location facility ; look bargain 	 stay 3 night Marriott get deal ( $ 101 night ) Priceline . enormous hotel good location , within walk distance convention center , business district , trolley , bus , square ; fit uphill trek minute , Chinatown . beware parking hotel hideously expensive ( $ 40 night ) , must bring car , suggest find alternative place park ( large garage block two away ) . also , traffic area terrible . good bet : avoid bring car . the room recently refurbish , furnishing fairly pretty . everything middle good quality . unfortunately , window embarrassingly filthy outside . the top - floor bar spectacular view acceptable ( hotel ) price . indoor pool large enough , exercise room well equip . not use hotel 's food service , many eatery within walking distance , Chinatown ( yum ) nearby . service ok entirely impersonal due hotel 's enormous size . pay $ 150 night , not stay . get room around $ 100 night , think will feel get good value money -- parking exclude . 
 May 3 2005 	 dirty window 	 14th floor non - smoking room poorly lay . stand desk open close window properly ( need air room , smelled & quot ; stale & quot ; upon arrival ) . exterior window filthy - cover black grime soot . dirtiest window ever recall hotel ' ve stay five continent . Windows & quot ; View & quot ; lounge spotless , can not guest not pay price drink get good look San Francisco hotel ? 
 Apr 19 2005 	 Overpriced get . 	 get back stay hotel impressed . husband convention attend son go along . get night early stay Saint Francis ( great experience ) , transfer Marriott one convention hotel . room price $ 249 plus tax worth . room typial business traveller 's hotel , little luxerie . bathrobe room , internet $ 12.95 day , find penny bed . room extremely small , crib bring son difficult get around crib , want move stroller room move crib around wheel stroller move crib back , addition , crib bumper pad ( crib get hotel bumper pad ) rather small , would roll would bang hand metal bar . first night sleep bed we . location good Moscone BART , couple block Union Square . think much well hotel San Francsico , especially book $ 249 night . get room Priceline $ 100 may worth . 
 Mar 21 2005 	 Average Business Hotel make hay sun shine large convention 	 stay hotel February large convention . hotel like average business hotel . room functional , though great . pricing service absolutely ridiculous though . example : parking tax excess $ 43.00 per night . stock hospitality suite banquette department set back $ 6.00 per can / bottle soft drink , small bottled water , etc . large pot coffee time tax , service charge delivery charge add approach $ 100.00 . credit give unused soft drink water , theory , resold price several time . on positive note , concierge department efficient , make last minute reservation dinner activity group . also friendly . recomendation stay Hotel , go somewhere else . many option area , include Marriott brand , Four season Hotel , etc . 
 Jan 4 2005 	 Rude Staff 	 would recommend stay hotel . couple minor problem stay , turn much large problem hotel staff rude . ' think ever treat less respect hotel stay . stay , make sure ask write confirmation room rate check . hotel policy appear ' mention rate check , scene front desk day check , rate people think pay sometimes different rate get charge . room pretty standard , room service food poor , almost every staff member deal less friendly . 
 Dec 29 2004 	 Good Pick 	 plus side : great location , friendly staff , breathtaking view make hotel good choice business pleasure . impressive lobby clean room . check & quot ; View & quot ; lounge top floor drink impressive view city dark . negative : bed stiff uncomfortable badly need update compete Sheraton , Westin , etc . room lack coffee maker ( coffee bar lobby probably reason ) minibar . 
 Dec 26 2004 	 great location 	 stay hotel first time . location ideal . hotel across street Metreon , Union Square quick 5 minute walk . hotel corporate feel . front desk person somewhat surley , grant request room 2 double bed upper floor . bar 39th floor incredible view , allow child plus we . room nice size , bathroom wonderful . hear noise outside hotel room . parking outrageously price report other , convenient location , take taxi , even evening performance Curran theatre . two beef , honor bar , coffee / maker room . 
 Nov 22 2004 	 good MarriotT 	 pleasantly suprise Marriott . room good sized downtown hotel look update quite recently . location convenient scenic . the housekeeping staff among well train ' ve see - efficient incredibly friendly helpful . my one complaint minibar room even ice bucket . 
 Oct 16 2004 	 good all - round hotel 	 return long weekend San Francisco . find hotel good choice keen stay somewhere central ( close Union Square , Cable Car turn around , shopping , restaurant etc ) hotel offer good standard accomodation facility . excellent pool , spa tub gym ( cardio weight room ) . in - hotel dining good ( buffet breakfast sort trek around San Francisco ) . major negative . good hotel short break . give SF Marriott serve mainly business hotel therefore slightly corporate inpersonal probably would not choose stay long period time . however , think good pick overall SF hotel go . comparison , recommend stay close Fisherman 's Wharf area . Glad not end . be interesting enough place visit , catch ferry Alcatraz try seafood restaurant illuminate sea front strip , numerous souvenir shop fast food restaurant , little tacky personally , not really capture San Fran . short cable car taxi ride SF Marriott / centre get easily enough anyway need . hope help . enjoy San Fran .... 
 Oct 4 2004 	 great mid - range stay 	 return 5 night stay SF Marriott . thought : location : pro : location work well . walk SBC park ( get garlic fry ) union square . so - incline walk many place , union square ( close ) , china - town ( pretty close ) , north beach ( close ) . walk tough , give hill . do not want walk take f - line street car fisherman wharf / embarcadero $ 1.25 . cab ride local attraction atr 6 - 10 dollar . market street 5 min walk , get cable car ( $ 3 ) MUNI ( $ 1.25 ) .con : want walk lot nightlife will not able , least able find . room : pro : room clean , serve purpose . lot see SF , room night sleep . staff always helpful , room clean well . do not problem noise other experience . con : long walk elevator room , guess due large size hotel . 8th floor lot street noise . think nearby firestation use 4th street , wake least night fire engine . dining : would expect in - hotel dining pricey , eat much hotel . view bar worth stop drink . breakfast buffet good quick . mel diner block away great breakfast - although probably healthy buffet ) . attach sport bar great place grab beer . conceirge great recomendation ( Trattoria contadina great find - need reservation ) .Strike : Marriott strike there . all turn good value . pay bit less 100 night expedia fare . may ornate high - end hotel around town , happy , leave lot money pocket explore city . 
 Sep 29 2004 	 five day 	 recently spend five day hotel , two child , aged 18 12 . staff friendly helpful assisted time . concierge arrange get football ticket falcon game seat get good . eat time hotel busy convention folk . across street , Annabelle 's Bar Bistro , good atmosphere weekend food really good , early evening menu good choice well price . late evening beer yield good conversation friendly local towner like myself . the hotel room ok well clean inspiring . view top floor great worth look . staff though could fault go long long way . the location hotel excellent take BART SFO airport less $ 5 drop we virtually doorstep . five day well spend hotel good base . night lot go around hotel area never feel least bit threaten intimidate . museum modern art fabulous couple minute walk , kid love , I.The city real treat weather fantastic . usual thing Alcatraz Golden Gate Bridge live reputation . local shopping really good twelve year old daughter make . addition wife , stay home , gain nice watch present get home . we will go back certainly consider hotel first choice . really good location . incidentally get great deal Expedia UK $ 99 US per night room . winner . 
