Great 	 clean , great service location . close cable car turnabout shop . stay Studio suit travel family free breakfast promotion beat . negative & quot ; private & quot ; toilet room bathroom pretty standard staying suite . kid love ride glass elevator 19th floor location . 
 Jul 28 2005 	 Suberb Hotel 	 ' m teenager , ' ve already stay world 's fine hotel ... one one . actually compare NYC Ritz Carlton . visit San Fransisco last year 's spring break ... instead beach house Hilton Head Island . hotel stunningly beautiful . send limo pick us airport staff wonderfully attentive . concierge tend every need , book we box seat hot show town . ( would highly reccomend attend Teatro Zinzanni ... fantastic ! ) close Chinatown , since right Union Square , amazing shopping ! everything Levi 's ( get Levi 's custom - make ) Macy 's Saks . room service great . can not wait come back ! 
 Jul 27 2005 	 leave heart Pan Pacific 	 return San Francisco three day ago . horrible delay airline finally arrive Pan Pacific 11 hour late . hotel pleasant suprise dissapointment airline . staff extremely care helpful we . room OUTSTANDING private butler service nice touch . bed right huge bathroom luxurious . wife take long hot bath everyone happy . next day speak Jason concierge desk top notch- knowledgeable totally professional . would stay sure . maid happy pleasant tell we would come back whenever want since need sleep little late first morning . also , location good downtown walking dining , etc . be $ 9.00 cab Fisherman 's Wharf 22 block foot back cablecar breakdown ( ) taxi 's full ( ) . spolie hotel , extra $ $ $ pay per night worth . 
 Jul 27 2005 	 Smart Hotel great location 	 Pan Pacific great hotel ideal location walk around San Francisco public transport . room spacious great able order room service rent movie . also ask concierge ticket giants game Saturday get us soo quickly . great stay would go back next time San Francisco 
 Jul 25 2005 	 non - view hotel 	 ask room ( luxury king ) view upon check - in give room 16th floor look wall . call front desk tell hotel nonview hotel room good view compare room . subsquently find room available view . tell general manager feel front desk up - front regard room view . felt state none available case . manager state would speak front desk however ask name room number doubtful follow . money Westin , Hyatt , Marriott Fairmont view opinion well service . 
 Jul 17 2005 	 Great Hotel Good Location 	 husband stay July 4th weekend 2005 . luxury king room like much . spacious love marble appoint bathroom stall shower tub . service good . nice gym . one block west Union Square walk distance Chinatown . leave day 4th hear construction noise across street , hear worker weekend holiday - recommend wait construction complete plan week . definitely stay next year . 
 Jul 15 2005 	 Great Hotel ! ! ! ! 	 husband travel extensively always stay nice hotel must say Pan Pacific one good hotel overall ' ve ever stay . centrally locate great restaurant , theater , shop within walking distance . staff extremely knowledgeable professional gracious . check - in easy pull front hotel car convenient , consider many SF hotel disaster area ! room large SF hotel standard bathroom & quot ; to - die - for & quot ; ! ! ! bed comfortable room quiet even though face busy street ! hotel gorgeous outside extremely clean everywhere . not know 's recently remodel seem like almost new hotel . stay one night ( Sat . , July 9 , 05 ) assuredly go stay ! ! ! P.S . Morten 's Steakhouse one block away great food though bit noisy ! 
 Jul 14 2005 	 Paradise Pan Pacific 	 problem construction user July 4th weekend - however , simply ask move hotel promptly bellman room move bag room . packing annoying , leave 2 day do not matter much . room immaculate , bathroom clean gorgeous , staff extremely friendly helpful . got room service night July 4th , lasagna cheese quesadilla tasty . bed amazing , aside construction next door ( prior room change ) , room ultra quiet . would def stay 
 Jul 8 2005 	 great hotel construction ruin 	 term value quality one good hotel ' ve stay . staff friendly room clean decent amount space . bathtub also good size hotel room lie comfortable . complaint construction go next door . know way Pan Pacific 's fault not mean not effect quality stay . stay 4th July weekend problem Saturday , Sunday Monday morning since not work day . however , Tuesday wake 7 am sound drill hammer come building next door . could get back sleep ' m sure many guest problem . like get 7 am vacation business trip ? would recommend hotel construction still go , would want stay . 
 Jun 28 2005 	 Great Hotel ! 	 husband return great trip San Francisco . Pan Pacific great choice price . accomodation clean comfortable staff always helpful . return SF , definitely return Pan Pacific . 
 Jun 27 2005 	 absolutely love Pan Pacific 	 use trip advisor several trip disappoint . find good source find hotel . family travel Yosemite decide stay three day San Francisco . hard decision make reading review decide Pan Pacific San Francisco . wonderful decision . hotel ' location great -- within walk distance many many store / shopping . short distance ( 5 minute walk ) cable car , Chinatown ( walk distance little long ) , rent Hertz believe ( least know return car $ 5 fee ) , many restaurant breakfast , lunch dinner . also close several drug store mini market . hotel beautiful inside room roomy 2 adult 2 child 5 piece luggage . service concierge exceptional go way extra thing we . say enough place people work . go Yosemite several other place need return San Francisco return flight home want stay Pan Pacific . concierge print boarding pass airline even arrange cab downstairs certain time take us airport . hotel even offer free car service certain times day several time instead cab offer we car use . love hotel location would definitely stay . finally , although little price able go Pan Pacific web site get internet special several night . even pay little hotel -- get pay ! 
 Jun 22 2005 	 would stay 	 return trip tp San Francisco must say Pan Pacific hotel one good hotel ever stay . everyone friendly service outstanding . downside location 's Union Square . however , 's city , like city 's busy . 
 Jun 21 2005 	 Luxury Room -Not ! 	 see room , standard , decide upgrade . give choice Deluxe Luxury , choose Luxury . well , large , bathroom well equip standard , tv small . definately worth extra $ 50 per night . take 30 minute get bucket ice evening . room bed comfortable , price service , would try another hotel next time visit San Francisco . 
 Jun 18 2005 	 great hotelgreat price 	 spend weekend Pan Pacific . room rate average $ 100 . per night three day stay ! hotel five star respect . stay many ultra luxury five star hotel , never experience well hotel money . hotel recently rennovate room clean well appoint flat screen television second tv bathroom . concierge staff great . even get use complimentary limo couple time . 
 Jun 15 2005 	 Great Hotel Terrific deal 	 stay three night . hotel top location Union Square . if like active lobby ornate furniture . like contemporary style , plush bathroom , attentive -- stuffy -- service , will like . everyone friendly helpful -- door man , concierge , check - in , etc . also , book June 30 Amex , pay 1/2 price third night free -- essentially 3 night price one ( rack rate ) . 
 Jun 12 2005 	 quiet class 	 wonderful clean decor do impeccable taste . quiet room , one bother , everyone available moment notice help . complimentary hotel car available take guest restaurant , play , etc . park usually $ 42 night include recent special rate . nice add - on . 
 Jun 1 2005 	 Service wonderful ! 	 exhause two - week tour northern California , end Pan Pacific . attendant would not hear we touch luggage , happy return rental car we $ 5 charge . reception desk ( third floor place ! ) big bowl fresh apple make we feel welcome , luggage arrive almost immediately . zen - like room calm relax . bathroom , include tv phone , something else -- -take bath become must ! butler button push need ( ice , bathrobe , map , pillow service , anything ) cater immediately . bunch stuff ship ask could find shipping place -- take , wrap , ship nominal charge . check bag end trip ( take red - eye home ) ready return catch taxi airport call we -- except give we hotel car ( much , much nice ) taxi price , instead . ' ve service - orient hotel , like . perfect way end trip . 
 May 30 2005 	 Outstanding Hotel ! 	 time check , checkout , 4 day Pan Pacific highlight 10 day California vacation ! everyone helpful efficient always friendly greeting , good cocierge desk . large room immaculate comfortable . huge bathroom fantastic , television phone include ! ! sad leave . location well ! dissapointe Pan Pacific . curiousity , walk around city , check hotel property consider Trip Advisor . greeting receive , lack , even compare Pan Pacific . 
 May 14 2005 	 Great Hotel AWESOME Price ! ! ! 	 start ? Pan Pacific one BEST hotel ' ve stay San Francisco . Booked Expedia ( think ) $ 140 night Superior Room . got hotel 2 pm , check early , great . check - in extremely quick . also take upgrade Pacific Suite $ 300 4 - night stay . LOVED suite upgrade . suite : Opened door hear lovely jazz music . walk see living room . nice tv Bose Clock Radios . also nice first bathroom . open slide french door bedroom . great bed , soft hard . right ! great desk egronomic chair . view great could see building . wake one morning guy stare straight room across street . pretty far away , be okay . nice master bathroom small good television . nice overall ! service : service prompt . not order room service comment . conceriege great . ask recommedation good steakhouse recommend Morton 's right street . housekeep great , well turndown service . great doorman , greet name third night . open door every time step hotel even talk someone else . LOCATION , LOCATION , LOCATION : three word come mind first come hotel . one block Union Square , 6 block Moscone Center ( conference hold ) , restaurant right step door . 10 % Macy 's Coupon check - in great . Starbuck 's block away excellent since practically go like every two hour . Walgreen 's two block away , also excellent getting soda , snack , stuff . RESTAURANT : go hotel 's restaurant three morning row breakfast buffet . omelet bar , hey need ? pretty good price . overall : really recommend hotel anyone come San Francisco . great location price Expedia . 
 Apr 25 2005 	 top notch ! 	 rather stay recommend chain hotel large conference attend , choose hotel base Tripadvisor review & amp ; right mark , . request & amp ; receive quiet room high floor - could see hill & amp ; Bay distance . room tasteful , comfortable & amp ; clean , bed outstanding . firm , soft topper & amp ; soft pillow & amp ; doublesheete light comforter . perfect . Terry robe , morning paper , pleasant accommodate staff . late one evening trouble regulate AC & amp ; call front desk . within 5 minute , engineer fix . pleasure . 
 Apr 19 2005 	 Perfect 	 stay Pan Pacific . advice reader site : stay ! find excellent hotel every respect . beautiful accommodation location could convenient . next visit S.F . stay hotel available change travel date . excellent - hotel highlight holiday 
 Apr 5 2005 	 relax Weekend San Fran 	 return relaxing weekend city . ' m frequent travl San Fran stay many hotel city Pan Pacific one fav 's . 's location unbeatable - right Union Square . little less hetic block away Union Square , still close , within second middle . like lobby third floor ; make calm away hustle Post St . enjoy sit fire lobby enjoy drink . room awesome , large ! bed wonderful , one good hotel bed . bathroom also awesome , separate shower tub , surround black marble . great weekend shopping , relax , good part far Pan Pacific . 
 Apr 5 2005 	 nearly excellent hotel 	 stay five night Pan , two - night break middle stay . first three night , agree hotel miss mark .... almost excellent . never feel & quot ; welcomed & quot ; check ; gentleman front desk simply not friendly . the room average size , not feel cramp . bathroom small , separate tub / shower nice touch . bathroom beautifully appoint . butler service nice touch . hotel definitely want guest -- want ice , contact butler bring , 's available end hall ! courtesy car service , one selling point we . however , available Sunday , available 9:30a-5:30p , not go beyond two - mile radius . Fisherman 's wharf far . fact , not able use & quot ; courtesy & quot ; car go airport , pay $ 45 fee . on return last two night , enjoyable check - in . learn valet would return rental car $ 5 fee ( could worth not want deal traffic ) . end , japanese hotel -- staff obedient ; react need not well anticipate . 
 Mar 31 2005 	 Slept like Baby 	 buy 3 night Hotwire $ 108 night . could afford otherwise . four five star hotel . upon arrival , upgrade junior suite extra charge . bed pillow top marvelous . sleep like baby . room flat screen tv also tv bathroom . bathroom tub glass shower . concierge great , knowledgeable recommend great restaurant well make dinner reservation . hotel locate Union Square . , walk distance trolley car shopping . would definitely stay ! ! 
 Mar 30 2005 	 Loved Pan Pacific 	 return weekend Pan Pacific ... hotel 's location fantastic ! ! .. walk distance Union Square . hotel elegant . room large trendy .. bed wonderful . bathroom small little counter space , marble chic . room come robe nice touch . service also prompt professional everyone . park across street parking garage $ 28.00 instead $ 45.00 hotel charge valet parking . would love stay . 
 Mar 28 2005 	 Excellent Hotel 	 say , read review Trip Advisor prior trip concern . daughter stay Pan Pacific Easter week , 2005 . hotel incredible . room , although spacious , clean , modern bathroom incredible . staff ? extremely courteous , polite helpful everything . car available guest great perk . definitely stay nowhere else Pan Pacific visit San Francisco ! really ! 
 Mar 27 2005 	 luxurious base hop around city ! 	 book Pan Pacific stay part package deal Expedia , travel conference Moscone Center . friend come , , stay slightly nice room ( pay handsomely ) terrific time Pan Pacific . highlight include fabulous bed , gorgeous bathroom , quiet stay good butler service . room bite small friend ' low floor nevertheless comfortable , even though furniture bit worn window bit loose . shower little tiny not get hot enough taste , maid service impeccable loved room . quite treat stay Pan Pacific , , location can not beat . highly recommend get good deal room , sure explore neighborhood -- 's touristy pricey , not come SF save money ! 
 Mar 26 2005 	 Great Hotel Great Location 	 recently stay Pan Pacific Hotel love . location within walk distance cable car line , Union Square , Bart Chinatown . staff wonderful , knowledgeable helpful .. doorman even go way get we nice taxi , try use towncar service towncar available . room wonderful , especially bed almost comfortable home ... would highly recommend Hotel , gladly stay return San Francisco ... 
 Mar 20 2005 	 great location San Francisco exploration 	 return fabulous week San Francisco . Pan Pacific San Francisco terrific hotel great location . hotel serve great base exploration city . see , San Francisco compact city well explore foot . Union Square location Pan Pacific hotel , easily walk Chinatown , North Beach , even Fishermans Wharf . when visit , make sure ask concierge restaurant recommendation . although be easy find many great restaurant San Francisco , Pan Pacific concierge offer variety restaurant tourist would not ordinarily find . example : Jardiniere near Civic Center . concierge arrange anniversary dinner wife . one enjoyable dinner experience ever . jardiniere tourist restaurant view city . instead offer fantastic meal serve people pay attention every detail . one additional word advice visit San Francisco : bring walking shoe ! fun ! 
 Mar 19 2005 	 great hidden Treasure 	 tend stay alot hotel SF , always see hotel , 1 day , decide try it . the staff knock ...... friendly , want make sure enjoy stay , anything forgot . room nice , flat screen tv . think do tv 's bathroom terrific idea . nice lie tub hard day enjoy tv . the resturant lunch nice . 's bad walk financial district , take 10 minute sort shopped way . 
 Mar 16 2005 	 another great experience 	 favorite hotel ' ve ever stay . honeymoon last May 2004 time March 2005 business . room spacious minimalist . bed world . bathroom huge include shower stall bathtub TV boot . amazing service breathtaking view courtyard . downfall park $ 47 night . , get room $ 90 Hotwire , can not complain . overall , perfect place . 
 Mar 16 2005 	 great location ; nice room 	 stay Christmas New Years . get amazing deal Hotels . room nice . concierge extremely helpful . location excellent . parking rip - off . Park across street 1/3 price . also front desk upon check offer we room upgrade - & quot ; upgrade & quot ; view construction site . ask Hotels room well view nice room ( bit small ) . great deal SF get discount room park elsewhere . 
 Feb 2 2005 	 AWFUL HOTEL 	 look forward stay hotel reading review Trip Advisor . never disapointe life . price hotel expect alot . not get . hotel attractive least . room cold sterile , white , plain . 2 bed room tiny , even double . like slightly big twin . nice thing bathroom . much time spend ? bad part trip bellhop pound door 1 am , say check we take bag ? guess someone want check middle night , not we . bellhop confused call front desk . could care less , not know go frankly not seem care . apology , nothing . also , parkie $ 42 per night plus 14 % tax . want 5 star hotel experience San Francisco go FAIRMONT , know treat guest right . 
 Jan 31 2005 	 sure would stay 	 location hotel can not beat . 's right middle walk everywhere . however , unimpressed service . group work Builder Show last June , staff seem hospitable . person crack smile one doorman . , not expect much hospitality warmth . the room spartan bathroom magnificent . love tv bathroom . plus separate tub shower , though shower pretty small . amenity really nice . room basic dull . do eat restaurant expensive . great meal walk maxwell great meal great price . 
 Jan 26 2005 	 Loved ! 	 wonderful hotel . husband San Francisco area recently move Hawaii . back holiday stay right Christmas love ! staff pleasant greet we night come . feel like go beyond pleasant . location close , near Union Square close good restaurant . definitely stay . 
 Jan 20 2005 	 excellent hotel one block Union Square 	 Wife , Daughter stay 3 night Pan Pacific November would rate hotel highly stay Fairmont Orchid Hawaii Bellagio . location perfect shop ( find Pier 39 area tacky ) room fantastic - spacious , lcd tv , large window huge bathroom tv ! do not eat hotel can not comment staff friendly even though clearly one poor guest ! use tripadvisor book hotel think share - basically tripadvisor review get right hotel stay ! 
 Jan 12 2005 	 Pan Pacific San Fransisco ... real home home 	 husband return ( 10/01/05 ) 14 night hotel , first stay hotel , yet visit special stay . the staff friendly , happy informative could hope meet . the room ( receive free upgrade frequent visitor ) spacious comfortable . the new flat screen plasma t.v 's excellant quality , choice channel pay view movie , also BOSE radio excellant quality , leave low volumn , choose ask turndown , another free service . bathroom dreamy , marble seperate tub shower , love miniture t.v . bathroom , nice touch . the butler service excellant quick respond , nothing much trouble . the location perfect , half block Union Square , right middle great theatre restuarant , ( try SEARS , round corner , avoid line popular restuarant breakfast , need 8:00a.m , even later , line move quickly , lunch dinner equally popular ) .If fancy theatre , try ticket MASTER , locate Union Square half price ticket , manage get ticket every show wish see , half price . all excellant HOTEL excellant location make feel welcome everybody friendly . 
 Jan 8 2005 	 ` ` great stay - huge room - bathroom exemplary '' 	 stay Pan Pacific three night room huge , clean , amenity family four . bathroom perfect separate shower tub water pressure great . staff accommodate pleasant work direction assistance . would highly recommend hotel family travel San Francisco . stay small boutique type hotel far come back visit . 
 Dec 30 2004 	 great location mediocre hotel ... 	 location Pan Pacific excellent ; however hotel mediocre . hotel pretty date . room nice , ' ve see much well price ( get screamin'deal hotwire $ 127.00 per night , make adequate price ) would stay AAA book price . hotel panache , sanitary , lifeless hotel . staff courteous , find . bar / lounge joke , quiet feel like funeral viewing . when wife go back Union Square area , definitely , stay either St. Francis , Hyatt , much well stay . add tip , eat Asia de Cuba , restaurant Clift Hotel . food extremely overprice , $ 100 + per person small portion drink , service bad service ever restaurant . food really good either , would give food 1 star 5 -- Panda Express well asian food . 
 Dec 28 2004 	 great hotel ! ... skip restraunt dinner ! ! ! ! 	 Location / Great Staff / GREAT ! room & amp ; Bath / great : ( clean & amp ; neat ) Restraunt ( Pacific ) / SKIP Dinner 
 Dec 20 2004 	 Great Hotel - near everything 	 5th stay San Francisco ( normally stay Handlery ) . hotel impressive great location . criticism would parking expensive . whatever save internet booking take parking charge . staff friendly helpful room spacious clean . would stay soft spot Handlery . 
 Dec 14 2004 	 would stay 	 stay one short night , would stay . room quiet , window open ( yay ! ) , bathroom gorgeous . coffee - maker great , disposable filter tray instead never - quite - clean filter cone usually find . reservation folk tell standard fluff level pillow , interested , & quot ; soft & quot ; , & quot ; firm & quot ; provide request . find pillow fairly firm , hey , glad feather pillow . room heating work great , quick . glass elevator allow see many level atrium - style floor , lot fun . wake - up call time . why 5 star ? find 3 hair bathtub , clean tub quickly , hop . large stain what - do - you - call - that - thing - ruffle hang bed floor , wall near . call question BART airport , twice , folk answer fairly abrupt ( incorrect ) . husband quote price doorman hotel car airport , call book give run around , plus much high price . told & quot ; first come , first serve & quot ; say fine , airport 5 a.m ... suddenly long possible ( even though nobody else book ) .but overall , happy hotel . 
 Dec 4 2004 	 top hotel SanFran 	 family stay Pan San Francisco late August . two adult two child . great stay ; highly recommend hotel . leisure package , think , upgrade large suite , two bathroom pull couch . although room really much view ( not think many room SF , perhaps ' m wrong ) , thing room lack . decor asian minimalist , cool color tone , flat screen tv , terrific bed large marble bathroom large tub , separate shower amenity . hotel also pvt butler service . essentially , flip switch someone answer quickly , ask need . great gimmick . Hotel 's location perfect , block Union Square . number good mid price restaurant closeby . staff hotel uniformly good , particularly concierge . exceed expectation . always good recommendation actually appear concerned happy . door man front desk . hotel offer Town Car drive want later afternoon / evening . , nice touch . downside , Pan pool , something look . look number hotel think Pan good selection . many other appear load tour consist oversized lobby lot tourist look around aimlessly . pan much intimate . San Fran terrific city . make sure visit Alcatraz book ahead . Pan 's concierge we , call ahead . trip Alcatraz consistently sell , not reserve ahead likely luck . relatively jaded New Yorker think audio tour prison facility top , memorable . kid love . also , take short drive Muir Woods . huge redwood , worth see - cut . city excellent food , especially asian people open . compare NYC , without attitude . although one reviewer write hotel predominantly business hotel , would let impact decision family . property top notch , great service great location . kid love would return minute , would , house , test good hotel . 
 Nov 30 2004 	 good Room Great Location oh Soulless ! 	 stay last three night 11 day tour US . lovely room - Luxury King - spacious airy , simple decor , LCD tv ( although good quality , fair ) Bose radio . bathroom quite ' glitzy ' lot marble baby tv , perhaps little cramp . Room clean well every day same - day laundry return we require . we use complimentary car take we dinner one night , really nice touch . use , cost $ 45 , take we airport - good value compare use cramp taxi , driver great . however , honest opinion soulless hotel ever stay - especially Pacific Bar . locate within lobby , every last shred atmosphere suck industrial vacuum . staff robotic , set sterile one 's fellow bar fly appear consist solely disillusioned travel businessman . restaurant , have plan try prior stay , never three four diner staff look bored tear . for evening tipple wander Nob Hill Mark Hopkins - proper cocktail bar music , lively staff fantastic view . might tempt stay next time . having say , one big thing Pan Pac 's favour - not hit ' strike ' hotel staff way large hotel , least not cross picket line get room night ! definitely business hotel , despite ' leisure ' package tout . tourist feel little isolated . 
 Nov 25 2004 	 Great Hotel 	 spend four night November 2004 . , good hotel . helpful staff , excellent room great central location heart San Francisco . negative aspect valet parking charge - $ 45 per night include tax ! get decent motel room price ! fact not need car San Francisco small enough explore foot cable car . would definitely return hotel , overall great value money . 
 Nov 22 2004 	 Great Hotel ! 	 top - notch hotel operate great attention detail . moment arrive greet warmth . free apple reception desk nice touch . room comfortable . impressed Bose wave radio LCD flat panel TV . bed comfortable hotel convenient location close cable car line shopping . 
 Nov 18 2004 	 great hotel ; good location 	 husband Pan Pacific Hotel 2 night , 11/13 - 11/14 . room nice , bed pillow comfortable . room quiet , could hear people hall go room , quiet get room . people front desk helpful , Kyle concierge give we great suggestion dinner , good direction . cable car couple block away . compare hotel read review pick Pan Pacific , right go leave trip read couple review good little concerned . stay , disappointed . would definitely stay . 
 Nov 14 2004 	 pan - terrific Hotel 	 work company measure customer satisfaction , ' ve find become picky come customer service hotel restaurant . Pan Pacific truly surprise hospitality charm . I make reservation one room ( 2 double bed ) Expedia , offer 20 % discount per night stay two night . however , stay 4 - star hotel 6days/5nights , ' gladly stay pay full rate . bellhop front desk staff genuinely friendly , concierge desk helpful ( especially Andrea ) . able give we clear , concise direction everything want see , even recommend excellent day spa close hotel . every member hotel ' staff seem happy . doorman always remember ask day - trip : & quot ; dinner XYZ Restaurant ? Fisherman ' Wharf ? & quot ; even provide one hotel ' town car discount rate co - worker try get conference near airport . the room simple , spacious . love marble bathroom seemingly over - sized tub . hear rowdy neighbor , front desk quick quiet . bed pillow comfortable – hard time sleep bed get home ! overall , probably good hotel experience ' ve ever . one 14 hotel area strike ( see aboutsfmeg list ) , far enough away bother it . the downside Pacific restaurant third floor . food overprice bland , service , well , rival fast - food restaurant . try Sears Fine Foods around corner good , home - cook meal decent price . 
 Nov 11 2004 	 awful 	 pan pacific . even begin . go visit college san francisco area . however , many plan cut short due awful service pan pacific sanfran . give wrong information bus train time , bart time direction . bad information cause miss cancel many appointment make week ago stanford , berkeley real estate agent . promise compensate trouble provide free stay weekend . although make promise never receive compensation . trip way san francisco boston waste time money atrocious staff organization pan pacific . 
 Nov 5 2004 	 large room minimal service date a / c tv not work 	 thankfully , deal hotwire mean substantially low price list page . room nice large , decent view . however , air conditioner old wall unit , simply stick programable thermostat . either , would take 20 minute reach desire temperature , , loud - one speed . tv not work , guy came work 20 minute , work stop . service front desk also slow , minimal customer interaction , valet not open door , help bag anything , tip need . , nice location decent large room , detail service big list , keep look . 
 Oct 31 2004 	 great Stay ! 	 wife stay two night 10/10 - 10/12/04 . fly Oakland , rent convertible start San Fran drive Pacific Coast Highway LA . first , let recommend . take week , incredible . be another story . far Pan Pacific concern , stay middle hotel worker 's strike . do LOT research Afghanistan place stay SF prior come . consider several hotel . majority hotel , happen , surround day night angry disgruntled hotel union employee , bang stick shout megaphone . Pan Pacific . plus one . will brief review . place pricey , great . disappointed . get room upgrade reasonable price first check . room beautiful . be kind like post - modern japanese minimalism . light color , high quality furniture . lot marble . open air atrium classy , service top notch . staff friendly professional , hotel pretty much center everything . bed incredibly soft , decor elegant . gripe - valet service ( inform time check ) $ 39 per night . kind pricey . also will not get good view hotel . worry , can not help sometimes sf many hill . addition , though Union Square middle city , find spending lot time towards wharf area . not many attraction - aside shopping restaurant - Union Square . , though , would definitely go back stay . ' ve travel quite bit job , stay one nice hotel ' ve ever stay . pay , nice . 
 Sep 22 2004 	 nice stay 	 stay Pan Pacific Labor Day weekend . complaint . excellent staff location . walk distance Union Square , trolley , train service sbc park ton great shopping . cab ride Wharf $ 30 US . take K line train back money thing work ride back free - so save $ 2 . cab ride North Beach also around $ 30 . like Thai food . walk hotel door go right . block leave awesome place , small flashy , food great . would stay Pan Pacific . enjoy ! 
 Sep 20 2004 	 Location Service ! 	 great room perfect view ! location , service ambience hotel great ! close Union Sq Chinatown . view 16th floor amazing ... especially night . trip surprise girlfriend also love hotel ! 
 Sep 1 2004 	 great Room Great Staff 	 spend two night San Francisco Pan Pacific help make visit great . room excellent ( large bathroom , LCD TV , comfy bed , clean , access limo shuttle ) staff go way help we . Pan Pacific 's concierge one good ' ve ever encounter ... personable , great dinner recos , arrange custom limo trip , personal time go Ticketmaster purchase concert ticket we . could not ask ( except cheap drink lobby bar ) . 
 Aug 14 2004 	 real steal get discount rate 	 book standard king size bed room steeply discount rate find Orbitz . place great San Francisco give rate get . location can not beat : Union Mason , block Union Square , hotel far enough Powell Street noisy night morning . check snap , staff helpful , start desk clerk concierge , ask direction idea . rest service fine . particularly like fact bellman doormen street level always available helpful . Maid service fine . never try use two service hotel hype much : pillow selection valet service . my complaint hotel category really offer turndown service evening . hunt small print hotel service directory first night learn service available , requrest . the standard room nicely furnish . decent size give San Francisco room standard . robe umbrella nice touch . marble bathroom really beautiful like safe closet . water pressure shower fine . view room , care city day , rate reasonable shopping around price great . my constructive criticism place relate layout security . take elevator right street level room without stop lobby third floor change elevator . nice change many hotel prevent make stop lobby . side anyone walk hotel go directly elevator guest floor without anyone ask check see hotel guest . would feel well way prevent people come street way upstairs . despite , great 3 day beautiful facility . hotel top tier luxury like Ritz , Four Seasons , etc . nice hotel next level , real steal book room steeply discount price like . 
 Aug 10 2004 	 first - Rate Stay 	 recently stay Pan Pacific 3rd time . statement may speak , would like share attractive feature . location excellent , Union Square shopping block away , Fisherman 's Wharf short trolley / taxi ride . room even well , especially money . yes , probably cost $ 120- $ 150 / night , plus additional $ 20 parking , highly dependable , all - around excellent hotel . pay money stay far less hotel , would rank Pan - pacific cost double triple room price . bedroom fairly spacious , high - quality sheet bed -- something really make difference night 's sleep . bathroom sumptuous , marble floor , sink , shower , etc . , spacious . plenty shelf space well . room fairly quiet , even low floor . although not indulge , in - room entertainment extensive , choice dozen movie , cd demand , digital music channel , internet access , game kid ( though nothing less $ 10 ) . iron board steam iron also prove useful not time take advantage hotel 's press cleaning service . lobby quite impressive , service excellent -- twice leave parking stub car , staff problem find car bring even ready . concierge knowledgeable quite helpful procuring hard - to - get ticket popular play . nitpick , would probably say breakfast lobby restaurant drink bar overprice , though certainly everything taste fine . stay hotels area , keep come back Pan - Pacific . hope keep come back many year come . 
 Jul 12 2004 	 Great Place Stay 	 stay 2 night Pan Pacific . room elegant staff could not accommodate . convenient location . would happily stay . loved tv bathroom . 
 Jun 19 2004 	 Luxury service SF 	 start stay Pan Pacific 15 year ago Honeymoon night . every try different hotel SF dissapointe go back Pan Pacific . room typical size SF luxury every room . clean beautiful , service perfect stay probably 4 5 time year always consistent . picky traveler hotel fit bill . stay will not disspointe . 
 Jun 13 2004 	 Pan Pac SF Landmark 	 Pan Pac stately bastion elite traveler . expect pay $ 150- $ 300 room high end . course , room high end . range 300 sqaure foot 400 square foot . well appoint comfortable bed ( duvet ) , large bathroom separate tubs quality furnishing . service high standard staff warm . several rate permit suite upgrade $ 50 night . recommend . suite last stay large SF apartment probably 1000 square foot corner . public area nice expect high price bar restaurant fairly good . take advantage location get SF . try Sanraku sushi Sutter 2 block away , never miss . 
 May 26 2004 	 not overlook gem 	 wife stay 2 night anniversary . Booked Hotwire $ 100 night , really good deal place . room not huge awesome bed , LCD tv , Bose clock radio , etc . apparently be standard every room . bathroom also incredible . marble wall floor , color tv remote , phone , separate shower stall . everyone interact extremely helpful nice . courtesy car take anywhere downtown morning evening hour ( be get back ) . hotel block Union Square Cable Cars . Hertz Thrifty across street , handy . would definately stay . 
