MGM 	 beautiful room , great view , close much fun , include much need Walgreens & amp ; CVS Pharmacy . Nathans awesome & quot ; fast & quot ; food . pool gorgeous . Television City fun . casino crowd cool . negative free amenity ; mini - fridge , coffee pot , essential family . otherwise fantastic ! 
 Great Hotel ! 	 hotel great ! busy , always treat like value . bed extra comfy , show KA David Copperfield MGM see ! like MGM something every time day . great pool , huge casino , lot show , lion habitat , amazing ! would stay ! 
 good family 	 not come gambling nightlife , come chill end long road trip . although Vegas mad hard work find hotel relax pool complex fantastic . hotel 's location great low end strip monorail back bus stop front - would not bother monorail time ' ve walk back hotel could bus away strip . grand tower room ( clean v comfortable ) 29 , bit daunt first worthwhile view great get free wifi skyloft . 6yr old daughter love pool , ( sleep ) lion , Rainforest Cafe , New York fairy castle across road , good bellagio fountain 20 minute strip . 
 Grand 	 first trip Vegas book MGM high hope - take we around 30 min get check . seem enough front desk staff handle volume people come through . when get room disappointment - firstly smell damp ( possible Nevada ? ) . one kid immediately need restroom report back toilet clean . room miss coffee maker fridge old tube tv - feel 10 - 15 date . pay Internet $ 15 / night seem steep quite low speed . the Grand buffet disappointment breakfast - carbo heavy offering little fresh fruit cereal - display counter top cooking station clean several week judge thick layer dust . also poor Sudio Cafe breakfast - Denny 's quality $ 30 per head . the casino however one well play week . we stay 2 night happy move strip venetian order magnitude well . go somewhere else well money ................ 
 MGM good 	 First hotel huge ! something like 6,000 room . good part ton thing hotel without ever leave . , leave , right middle everything . highly recommend Ticketbooth block street . get ticket Cher $ 60 ! hotel , room nice bed comfy . stay regular room time try West Wing . not bother spend $ upgrade . room small bathroom room - door , shower next sink toliet . strange . regular room much well , large view ( West Wing bed window ) . third time MGM would stay . use trip advisor get great deal $ 25 day activity credit along $ 70 night rate . far good rate internet . thank trip advisor ! 
 watch wallet ! 	 MGM blatant corporate edifice . want coffee ? starbuck available , least 5 . catch movie ? nope . . eat reasonably ? ha ! really joke . free WIFI ? yes ... $ 14.95 / day . the whole experience depress . take 45 minute check . afraid take long , could check time . stay away MGM . 
 great stay 	 Awesome hotel / casino .... absolutely monumental size great value money . casino look far great rounder . superb food shopping , really friendly staff nicely present room 
 hotel meet Las Vegas requirement ! 	 glad book MGM 5 day Vegas . staff accommodate check check , room clean beautiful view . bed extremely comfortable . restaurant range plush plush special section McDonalds Nathans want something simple . starbuck add also . its also great place gamble good location . 
 Las Vegas MGM Grand 	 Top Notch Hotel ! please accomodation ! 
 Great Service - Lotsa Fun 	 thoroughly enjoy stay MGM . take lot walk around get bearing , moment arrive , impressed . massive hotel benefit Cirque , shop dining right doorstep . one thing , prepare cost dine one many restaurant within hotel . delicious , expensive dinner seablue . great bar plenty slot . would return . 
 Aug 30 2009 	 Fantastic Hotel ! everything need ! 	 stay MGM Grand week - 6 us age range 24 - 72 ! go read review little worried booked melon . if thinking - do not worry ! fantastic ! hotel - yes big , yes lot walk , expect , do not see people moan . public area clean , always team people ever go clean something , expect bit untidy 10,000 odd people stay , wrong - imaculate . there resturant could visit - cover every budget taste . food court cheap option Macdonlds , chinese , pizza , hotdog place , we eat good . eat day ' grand buffet ' ... great deal $ 30 mon - fri $ 40 weekend . lot choice , food choice everyday - however , much eat something different everyday ! do not bother we choice do not change - still go Macdonalds menu do not change ? ! drink include buffet price - weekend $ 2.50 unlimited refill champer ! casino - busy , expect , stuck machine , massive gambler $ 10 min every bet table bite much us - happy slot want bet 1cent time . room - 3 room happy put floor fantastic view . mum want smoking room ask change - say could problem - could give ash tray . great us - prob great non smoker go room next , work we make trip easy . Decor be not poor review say , also notice many mention tv new - well that s moan think hotel can not much wrong ! tv do not interest we , much see time watch tv ! room clean high standard - however get we late , europe cleaner trying get room 8 am - do not see anyone til 10 am - room do til 3 pm day . thing bother hotel . we find staff helpful main desk - phone ahead ask mobility scooter gran worried would able walk week ( wrong fine ) hire need $ 120 week - think day hire $ 40 . find helpful birthday ask concierge recomend resturant - , Lavo Venitian - phone book we , get we table outside look show Treasure Island - highly recomend resturant ! expensive , wonderful food . Ka - book show hotel look great ad 's play guest hotel get 40 % - middle price seat $ 90 discount . honest do not think much show - 6 we go - 2 fall asleep - 2 love - 2 thought price ! yes clever - part great - lot board . think whole theatre split end stand clapping - run exit - other like sit wonder waste 2hrs life . deal ! ! ! ! good deal buffet , tho que long get quick never wait 15mins- eat New York buffet - never ! great drink bargin massive 32 oz beer $ 9 - refil $ 5 ! 32 oz cocktail $ 15 refil $ 8 ! free drink gambling ( do not get uk ) free lion habitat , $ 13 day pass train visit hotel , free towel pool , Bucket beer ice pool $ 25 - think good deal other do not - guess use London price . everything hotel fab - clean , friendly , would not need leave do not want , much wish book 2 wks ! 
 Aug 30 2009 	 great stay really comfy bed ! 	 Vegas first stop States almost 24 hour flight stay airport , easy quick check ( although get midnight ) end awesome room ! Stayed Grand Tower room exceptionally clean ( although would not expect anything less ) . bathroom huge beautiful ! stay non - smoking floor smoke smell get floor . come back nice clean comfy room end day wonderful ! would definitely stay ! 
 Aug 30 2009 	 excellent choice whole family . 	 stay 2 night , get room cheaply hotwire.com - sight would well recommend ! excellent , spacious room . free parking next door . fantastic pool area . gret location end Strip . side captive lion hotel - would not allow UK ! could , wish , spend absolute fortune , spend little not actually gamble ! 
 Aug 29 2009 	 real happy 	 pick MGM Grand receive promotion package , include 3 complimentary night , $ 100 food voucher , $ 150 free play / chip , 2 1 KA show offer . offer include MGM property well . arrive early , expect room not yet ready . understandable , since 8:00 . ask verify promotion , tell receive complimentary stay . several phone call , promotion host think crazy , give promotion register . able check room around 10:30 , not bad . room look like could use renovation 10 year ago - old style , tube type tv , scratch nightstand , rip couch , carpet trim fall wall . feel since we & quot ; favor & quot ; let we stay free , take give we , outdated , basic room . could get deal Bellagio Mandalay Bay , much nice room . also view strip , request . food ok , bed comfy , machine type extremely tight , especially video poker . much well luck less upscale casino , like Circus Circus Stratosphere . not think will stay MGM . 
 Aug 28 2009 	 break work ... 	 blast stay MGM ... not let consume . many hot spot & quot ; vegas & quot ; get hang one spot . 
 Aug 27 2009 	 Great Honeymoon MGM 	 front foyer beautiful check breeze ! professional ! upgrade room although great view , beautiful room ! huge king bed seperate sit area marbel bathroom awesome ! breakfast bed pricey ( $ 70 ) , good would not recommend price . the downfall hotel long take get one end could get lose ! ! Wolfgang Puck 's , Club 54 , lion sanction kinda neat .. kinda fence be right ? ! everything hotel great ! pool awesome ! bad part trip leave behind pearl necklace not realize late : ( 
 Aug 27 2009 	 ok ... worst well . 	 stay west wing 4 night . arrival tell man check honeymoon - be not interested ( bear mind every hotel stay honeymoon give we Champers usually upgrade ) . guess MASSIVE hotel one many ! room decor nice , bathroom / toilet door hinge break slammed shut everytime . actual hotel busy , crowd drunken people everywhere ( 25 much we ! ) pool busy do not even bother stop around - be not relax place ! restaurant great - ate Pearl Fiamma - would defo recommnd . make sure explore hotel , Vegas surround area . worth fly grand canyon see hoover dam . get ticket KA - would recommend . absolutely amazing ! parking free load room car park , charge $ 15 internet - cheeky ! overall MGM good base Vegas . be group girl lad love , couple ok . tick yes recommend friend - would depend friend . 
 Aug 27 2009 	 perfect vegas resort 	 stay 2 night love MGM ! great staff , room ready arrive 11:30am , fantastic bed not want get ! ! hotel clean , big beautiful ! stay need walk leg strip MGM Hotel . enjoy Crazy Horse Show well , great couple , small stage seat close . food good , price high ! ! ! go dinner Eifel Tower Paris first class $ $ $ $ $ meal view worth every $ $ $ service food excellent ! ! would stay & amp ; . 
 Aug 26 2009 	 great place : great bargain 	 visit many hotel casino year summer visist MGM can not beat . pool complex varied fun . recent visit problem find sahede spot laay river pool every day . always get within hour opening , still sapce available would leave around 2:00pm . clean staff clean vacated room first make ready new guest . ask staff clean room leave pooland problem start . restraunt visit property buffet Deli , find acceptable . see Ka show use box office book show never problem . high roller expect treat like one , feel treat value guest every time visit . reason stay property season accomadate friend travel us time . choice MGM would get business every time . 
 Aug 26 2009 	 massive 	 know state obvious hotel MASSIVE ! 3 night , discover multiple swimming pool last day ! room fine , little bit shabby around edge . also hotel position right end strip , get Bellagio , Paris Venetian walk people sell stuff helicopter ride prostitute . although room cheap ( compare hotel stay state ) , get money way ! fridge room , coffee machine . vend machine floor charge $ 3 Coke . cost Wi - Fi ! ? laugh ? stay sort little independent place travel wi - fi pretty much come standard ... Vegas ! restaurant hotel pretty pricey . think be ok order burger , see much fry cost side ! say , want cheap eat , food court type thing ( MacDonalds , chinese , sandwich etc ) muppet , do not ' discover last day ! doh ! good reason stay MGM .... cirque du Soleil show Ka AMAZING get 40 % stay hotel . really amazing . sure story hotel decent show , Ka must see ! also , not happy lion . know not live anything , feel bit urgh . not know , sure be happy , big fan zoo way . as far casino concern .... remember nobody leave Vegas winner baby ! MGM Casion massive , good laugh . bar over - price ! sit machine table long enough will get give drink . 
 Aug 25 2009 	 great location strip comfy simple room 	 stay West Wing mgm love ! Lem say room be not everyone . spacious regular mgm room everyone . deco inside hip modern appeal young vegas crowd think . love room feel comfy . bed comfortable big . shade room leave absolutely light . tv flat screen dvd player love mirror bathroom tv screen enjoy watch get ready . like say room will not appeal everyone be look big room , go elsewhere . room hip modern still functional nice ! West Wing also offer lobby bar also swank low light easy exit strip make foot away ! also starbuck next . would definitely book West Wing another stay value , comfort , location ! 
 Aug 25 2009 	 clean quiet great restaurant 	 sleep , get good z 's . not hear noise room / hallway 3 night weekend . since 1st trip Vegas , really surprised . expect hear party room craziness hallway , MGM must build really well . would say room sound proof . I think downside 's long walk go hot spot strip , , MGM lot great accomodation . Tabu favorite club , MGM Fiamma really good restaurant inside . service outstanding food delicious . really love cozy romantic atmosphere . think buffet casino excellent - wide variety food choose . stay Grand Tower room Kin . room spacious , comfy bed , huge bathroom . 
 Aug 25 2009 	 Favourite Vegas hotel ! 	 love MGM - perfectly position , fantastic casino amazing Wet Republic pool probably worth trip Vegas alone ! room clean spacious fantastic green glass probably make second good look hotel Vegas ( Mandalay Bay win front . ) term luxury never compete many strip hotel usually possible get good rate leave plenty extra cash ' invest ' table . 
 Aug 24 2009 	 well expect 	 bit worried one mixed review . however , room clean comfortable , staff brilliant , location good everything want really . food outlet brilliant tend close pool weirdest time get round . good food asian restaurant Wynn ( Red ) Trevi italian Ceasars Palace . good base term value money , bed comfortable bad . 
 Aug 24 2009 	 fabulous girl trip 	 ' m really quite sure people could ever problem hotel . perhaps first trip Vegas nothing compare impressed , find accommodation service outstanding . will break review make organize . location : MGM close airport ( 10 minute drive ) nice . one end strip go want see rest . could dealt stay somewhere centrally locate , walk Belaggio back home one night several cocktail not bad . plus overpass take NYNY . spend lot time seem like party atmosphere . check - in : arrive around 1 pm problem check early . wait line . ask Grand Tower room ( oppose West Wing ) grant one . & quot ; extras & quot ; explain we send way . room : room clean spacious three girl . bathroom large spotless . bed extremely comfortable . smoking room not feel room overly present odor smoke . not room clean stuff place . kept & quot ; disturb & quot ; sign make bed . view amazing . realize room airport side , ! clear view NYNY , Excalibur , Luxor . gorgeous night . staff : staff awesome . be like everyone good mood always willing help . bartender cocktail waitress , really want feel welcome . first drink lobby bar talk MGM 's beverage director couple bartender . give we low go . cocktail waitress nickel slot sweet . also , server buffet top everything also cordial . everyone willing answer question always smile . hotel staff good ... buffet : deal book meal include 3 time day wish . never use much many day breakfast lunch . food good . nothing write home , good variety quality sufficient . short rib amazing must say . suggestion would buffet change bit . exact item available 5 day . get little boring . service great even though really long line get time , great system get seat eat pretty quickly . glad option save we ton money . ka : one area can not give 5 star . course , fault MGM , feel little rip show . perhaps use Broadway production NY , feel slighted . think Vegas show suppose amazing world . watch girl twirl baton 20 minute people pretend fight . high point , would recommend try different show . craftsteak : decide eat Craft Saturday evening see Ka . promptly seat since reservation . however , hostess put we front restaurant almost hallway hotel guest visitor pass . ask table restaurant initially refuse move . good thing restaurant beautiful price , want feel ambiance . one good meal ever highly recommend spring . pool : go adult pool day go . interest Wet Republic could not say fun worth . adult pool nice relaxing . kid splash around , grow up sit water read drink giant yard frozen drink . pool far everything else though . complaint , information . want get pool buffet 15 - 20 walk casino . gambling : play slot . friend $ 40 nickel first day . well luck Excalibur downtown Vegas penny slot . studio 54 : try go one night 4 close . oops . taxis : get line taxi please please tip attendant . could not believe many people not pull couple buck give poor guy stand day heat . check - out : totally quick easy . perk get take bill still can not believe economical accommodation be . like say , first trip Vegas . walk around see many hotel though deal get , would not want stay anywhere else . 
 Aug 24 2009 	 amazing ! 	 partner book stay MGM Grand , read review recieve mixed view hotel , go get back say would recommend hotel everyone . MGM 5 min drive away airport , fly Manchester UK long flight really happy fact could get hotel quite quickly , get que check take 15 min , slide assistant 20 dollar get room upgrade well room strip view mint ! room excellent , bed like cloud ... big comfortable ! everytime lay pass good ! room clean everyday , fresh towel bedding . whole hotel huge ! take get bearing leave room , many different walkway around casino restaraunt ETC . eat breakfast Rainforest Cafe day , really nice reasonable price , downside gut work call Jimmy insist tell we everyone go Vegas , annoying say least ! go see Cirque du Soloeil show ( KA ) situate inside MGM , honestly say good show ever ! ! ! ! definately worth every penny ticket , awesome ! shame could not take photo inside . pool nice although do not go much busy explore everywhere . there monorail station connect hotel good way get strip , 13 dollar 24 hour , use several time day , stop almost every hotel way cheap get taxi . staff friendly hotel , always happy direct go get lose . overall hotel brilliant , I m already plan next holiday get back 2 day ago ! hope help everyone . 
 Aug 23 2009 	 Average Strip Hotel 	 spend three day Vegas part large trip . have not stay MGM many year , look cheap stay great deal bungalow suite - $ 120ish night - price think not . the room great size although bit shabby . mini - bar nothing inside - annoying since always far go casino drink late night . certainly would not pay much room . bed huge comfortable . bed linen suprisingly decent - obviously refresh recently hotel room ! ! bathroom acceptable also need refurb , towel average . wireless internet access charge daily basis think bit tight - day age complimentary . the hotel basically straight middle term quality , standard strip hotel - less . casino fine , restaurant , pool etc fine . going set world fire , price pay care . unfortunately location day leave lot desire . usually stay bellagio junction much convenient shopping , eat nightlife . MGM bit far away action . 
 Aug 23 2009 	 would stay somewhere else next time 	 already submit post not realize could edit later redo complete entirely . schedule stay Tuesday Saturday arrive day early . initially customer service great . go way move we basic room first unscheduled night Marquis Suite originally reserve allow we late check one room early check Marquis SuiteAs people point , hotel room date part . 1500 square foot Marquis ' suite ' three 27 inch tube tv . marble bar room filthy wife point . wall paper peeling . small fridge marquis suite fridge basic room . the furnishing painting definitely 80 's brass trim around bathroom shower door closet door . the bed standard room two queen bed terrible . sheet hard , scratchy uncomfortable . bed dip middle cause sleeping problem I . the big complaint air conditioning . note several people . cool enough basic room last night . live . one unit basic room . marquis suite 4 unit . suite large window pretty much continuously one end probably 80 foot window 5 foot high . allow huge amount heat sun room . 4 unit , provide enough cool power . say 3 unit provide enough power since one bedroom not work . make three phone call past 5 hour do low level maintenance guy come replace filter essentially new not need change . offer move we another room already settle not wish move . want fix damn air conditioner . get towards end two week trip . the drain sink basic room slow make gurgling noise . the walk room pool 5 minute well buffet . update later reflect aspect hotel . right room issue I . internet $ 450.00 month $ 15 day . the follow happen submit .................. finally decide could handle a / c working bedroom . call time get really irritated facility people front desk manager keep pass buck . around 10 pm first night Marquis Suite agree move another suite request talk hotel manager . available say would call . somebody come key different Marquis suite . new Marquis Suite completely remodel tell , experimental design one like entire hotel . idea expect . briefly describe room even though one . layout essentially Marquis Suite show MGM site except fact two 50 inch lcd 's front room seat 8 . dining table sit 5 . pool table front room another 42 inch lcd next . two bedroom 42 inch lcd tv . two master bathroom tv 's behind mirror . everything new . shower bathroom large end shower separate large rainfall shower head hand hold show nozzle hard reach area . one bathroom also jet tub led light . stainless steel trim around door everything contemporary . remote tv touch screen also control electric drape / shear / light . a / c thermostat digital . carpeting , flooring , drape , sink , counter , etc different new . not resemble old Marquis Suite except outline room . one complaint read drunk people noisy hallway room . wall thin people room easily hear walk door hallway . kid run hallway last night , 4 young guy try get key card work door . watch via peep hole eventually go away . think think different floor . Marquis Suites end concrete wall noise room transferring room . floor ceiling concrete also pretty quiet around . oddly enough , new update suite still plumb problem note other experience previous Marquis Suite update . tub drain sink drain , series gurgling noise come shower drain vice versa . thing a / c unit new unit still use old old a / c unit except retrofitted digital display . work well a / c unit old Suite still suck far concerned . a / c unit Disney hotel would get 66 easily . one bedroom get 73 front room one get 74 : could get low time day night . warm . sleep like upper 60 's . home a / c problem . rest room great complain second time . unit bedroom get 67 . maintenance par . the hotel food court poor selection . fat Tuesday 's , pretzel place , Hagen Daz , McDonald 's , Mama ilardo pizza , Nathans hot dog , Panda Express type place . place sit visit . feel selection poor go place like New York New York across street . deal get buffet free stay . would give buffet 5 ten generous mood . line range 5 minute 25 minute . plenty table seat we insist make we stand wait line table . obvious not hire enough people bus table promptly half steam pan use . could easily everybody sit quickly management lacking . pretty disorganized . order get butter roll , ask individual server get . get anything drink also wait server take order bring . guess way try get tip even though get food . food quality selection sub par . say eat Carnival buffet Rio Hotel trip . Rio ten time many item , much large actually dollar cheap . MGM buffet would get one star ten compare Rio buffet . even buffet free we , find tired second day . pay eat elsewhere close Subway , Wendy 's , Del Taco , McDonald 's , etc . MGM buffet not even compete local indian own casino house . I use valet times stay . wait less ten minute car last day discover call valet car bring ready soon get downstair . work well . the pool seem ok . go . pretty much empty morning certainly fill quickly . could see pool Suite . 5 pool . adult area call Wet Republic charge admission . go moo moo 's see go certainly motivation pay see two piece . check quick automate check via tv . bill appear correct . there seem much smoke suspect maintenance issue area also . twelve year old find smoke offensive make clear we not like it . if get update suite great deal would stay MGM not guarantee particular room one type room stay , would hate stuck check desk get different crappy room . update room hotel use major renovation . maybe bulldoze . long tooth say least suspect funnel money City Center project across street . hotel still use tube tv 's pretty much motel six book . I big traveler stay Palazzo , Venetian , Disney Grand Californian , Luxor , Woodway Vancouver BC , various less grand hotel . 
 Aug 22 2009 	 Mgm Grand - Fabulous ! 	 return 5 night stay MGM Grand would thoroughly recommend ! long 10 hour flight UK greet extremely friendly member staff happy help we check direct we room . the hotel world really large almost bit much take first , casino area really lovely absoutley massive think read 5,550 square foot casino . hotel room lovely fantastic view strip . Maid service fantastic every day get fresh towel room spruce . feel MGM great location close main hotel want travel bit $ 13.00 monorail give day pass monorail stop along strip much cheap expect pay taxi 's . traveller love shop , budget shopping experience would recommend Premium Outlets Juicy Couture , Ralph Lauren , True Religion etc reasonable price . Las Vegas Outlet Centre also good ' quite much choice . budget anything would truly recommend forum shop Caser ' Palace world really worth trip . 
 Aug 21 2009 	 grand 	 recently decide take advantage great rate offer stay MGM Grand Sun - Tue stay . first stay Casino although ' ve go dinner see show past thought would great place try . line long lengthy wait check - in check - out . hotel / casino large grandiose grand place stay . walk pool extremely long would well pack everything need wear comfortable shoe . ' ve comfortable stay casino receive comp past . gamble away $ 1k & amp ; use Players Club card would expect would thrown free meal something along way , not . never stay . 's congested not seem try accommodate guest much show care . room so - so service mediocre . 
 Aug 21 2009 	 stay get deal - good strip 	 okay hotel . service good . restaurant okay . suite outdate , process re - do entire floor . maybe old suite . good thing hotel access monorail . go lion 's head / Tropicana Blvd entrance , small strip shop monorail right . hotel , must go long way get monorail stop . casino almost large , fun see lion . like bridge NYNY , prefer MGM . location southern end strip , monorail valuable . sort underwhelme . 
 Aug 21 2009 	 want cheap without chearful ok ... worth ! 	 complete cock Thomas Cook family , 9 us total , find abandon McCarran airport least 3 day ! ! ! check Bellagio early day use level quality service brilliant , would expect pay $ 139 per night ... yes $ 139 per room per night that s ! go book ! ! ! anyway , decide hotel seeing stay world Hilton recommend .. check Hilton . huge mistake ( see review ! ) one night flea pit decide hunt around another $ 100 night hotel find MGM Grand . Grand indeed think ! even tell get room West Wing could ' remodelle ' king bed room ( DBL Queen bed grand tower ) need 2 King Rooms 2 Dbl Queen Bed Rooms ... book 2 Grand Tower room 2 West Wing Rooms . Remodelled ... fail tell we whole wing remodelle Alcatraz ! like scene Prisoner Cell Block H ! ! ! ! Lifts ( elevator ! ) pass lovely look Grand tower ... room date pleasant , decor little tired ok corridor touch grand ... arrive west wing ! Grey & amp ; Boring ! room small , modern shower bath glass fitting etc ... cosy worth money ! pay extra stay Bellagio ... will not regret ! pool area thing worth note . lot pool , plenty sunlounger , rapid river great kid ( adult ! ) 
 Aug 21 2009 	 good stay problem 	 stay 4 night . celebrate wife 's birthday . room , celebrity suite ( $ 82nt0 , good order . concierge ( Lorraine Garcia ) make arrangement pool cabana flower ( phone ) professional hotel employee ' ve deal year . good selection restaurant , bar entertainment . see Cirque du Soliel KA . 's visual feast ! stage unlike anything ' ve see ' m regular theater go'er . if not like walk , MGM Grand . place huge ! 
 Aug 20 2009 	 great stay MGM Grand Casino Vegas 	 stay 5 day MGM grand great . hotel resort , absolutely everything could wish , load restaurant suit taste , even kid macdonald . room lovely - bungalow suite view airport , Excalibur Hooters etc . the thing like fact hotel , sure many ot hotels strip frequent escort like . albeit lady blend well hotel huest , particularly nice husband approach hotel lift foyer one lady offer number massage 2.30 afternoon . ! ! place kid , sveeral 18 n group 23 could notsit machine watch continually move around stay red carpet - please consider travel family . ideal young single , nighlife abundance especially Studio 54 hotel - great music 4 bottle water club mere $ 30.however apart odd couple negative lovely hotel perfect location - do not go July 115 degree - wind like hot hairdryer face : ) apart odd 
 Aug 20 2009 	 little disappointing 	 pick hotel review TripAdvisor ok . room stylish comfortable everything work fine . stay West Wing might rethought know long walk casino front hotel . part not like room : disturb sign door ( awaken morning housekeeping staff ) , refrigerator / minibar . desperately look forward relax morning room , wake late laze around cup coffee . force order room service make long trek starbuck main level hotel . we arrive long line front desk concierge ( never seem dissipate ) . concierge helpful- go room call avoid line . if look pool experience get early establish & quot ; camp & quot ; many people ( mob scene ) actually fight lounge chair ! restaraunt fabulous- eat Shibuya ( unique DELICIOUS ! ) , Sea Blue . taste menu- way go ! see KA Crazy Horse- AMAZING highly recommend . last , informed perfume air casino . not notice casino / hotel , MGM 
 Aug 19 2009 	 exciting discount code inclusion 	 receive great discount code Vegas trip ! mgm031 offer code give $ 150 worth inclusion .... $ 50 golf credit , $ 50 food credit , $ 50 spa credit . great deal consider rate still lower post hotel rate . find discount code good hotel New York go October ! = P 
 Aug 18 2009 	 Great Time 	 first lil weary book hotel reading review decide check ' m glad . upon arrival check speedy lady front desk nice . wait 40 minute room check bag eat sandwich place . lil pricey hey vegas . check room little date worth pay , go straight pool . great pool way . several option . weekend skip Wet Republic unless like wear stilettos fake eyelash pool . much fun producer pool . young crowd , dj lot drink . Beers 25 5 yard glass buy 22 refill 9 . bad . also pool lot little kid option . place huge prepared walk 5 thousand foot hotel room . hallway super long . warning lie bed want fall good sleep ever . comfortable bed ever sleep . stay 10th floor room 10 - 134 , view except airport , really care less . room shower sleep . mini frig suck be not completely annoyed . tv channel suck though . half chinese spanish rest advertisement vegas . really care less tv I m think i d throw . far end strip monorail run hotel . 5 dollar one way , 13 round trip . not problem drunk loud people roam hallway . buffet ok , good deal 29.99 day . menu lunch dinner . would not suggest want super fantastic buffet , go somewhere else . lion exhibit horrible , unless never see lion . time wait elevator Sunday seem like whole hotel checking . Monday totally different crowd , lot old people family . overall excellent stay . worth money would stay look save buck ! ! 
 Aug 17 2009 	 CAREFUL .. PROBLEMS CASINO 	 hello everyone , would like inform come back Las Vegas trip extremely disappoint MGM Casino . visit every casino something bad happen we would like caution advance . we stay relative old people gambling , security arrest 70 year old uncle say sell fake casino chip take . whole family ' know anything 3 - 4 hour rude wife want give information situation . wife , worry death , know honest man faint ambulance take hospital . suffer minor heart attack cause stress create MGM Casino . 3 hour let go , without apology say " wrong man " . overall , bad service , would ever recommend anyone go , disappointed Casino . please careful go . 
 Aug 17 2009 	 fairly ok would not . 	 loud drunk two morning row hall decide check point floor captain apologize talk check back hotel . think oh ok daughter call back front desk let know . Great say come back will get check , well be meet checkin clerk fresh Soviet Bloc . proceed chastise allow daughter call front desk . procedure tell . try explain , listen actually bump one pit boss get talk ... busy tell , not time excuse . & quot ; Drunks morning , dimwit checkin clerk , do . manager , Ben believe finally come give we ok room & quot ; make & quot ; , move Bellagio . ya , big difference . bellagio service , food , shopping , wonderful drunk wake we boot . Lesson learn . try Venitian next . 
 Aug 17 2009 	 Standards slip little ..... 	 stay MGM Grand 3 past 4 year must say last stay rather disappointing . hotel 's usual big brash self Credit Crisis associate reduction staff show ! long queue check . arrival West Wing room , Aircon work . ask meet security another room . show , go front desk queue get another room . pack leave original room , new guest assign room door . not seem pleased go reception ! even specific request , room consistently getting clean late afternoon ( 3 - 4 pm ) . mean return hard day sunbathing , room either not clean still process getting clean . advertise 39 tv channel least 10 advertising MGM Grand event show , 2 spanish 2 chineese language . big change previous year . bose hi fi take CD 's provide radio . even though AUX input allow , simple cable provide mp3 player ..... take CD 's holiday day ? ! dvd player play region 0 DVD 's ( USA ) completely useless traveller bring DVD 's country . simple de - regionalise dvd player allow dvd play hotel not provide original DVD Player remote ( tv remote control dvd player ) allow simple de - regionalise process . reason pay little extra room negate able use Bose DVD player . few people serve drink gambling floor . food quality Cabana pretty poor . big price difference bar hotel pool . water hotel cost $ 5 per bottle pool shy $ 10 per bottle . price difference frozen cocktail ! Buffet - Breakfast pretty good reasonable selection . lunch bad either . dinner repeat lunch half serve position empty mean poor selection . eat day offer pretty good value not expect much selection dinner ! ! clean around pool pretty poor towel / bottle leave lie several day . staff management quite happy lie customer . request late check last day ( bear mind room never service early ) tell late check out available . ask hotel fully book Wednesday night bo told . reel complaint , tell would able stretch 1 hour 12 midday . ask speak management also state hotel fully book would allow we stay 1 pm . check online bedroom type available multiple room . 
 Aug 17 2009 	 busy busy busy 	 stay week August 2009 . incredibly busy hotel , surprising consider big hotel world . good things- big , comfortable roomsfantastic view roomcity centreseveral restaurant casino ground floorseveral swimming poolsThe bad thing - not enough work elevators- sometimes queue 10 minute get elevatorlots rude , drunk people run hotel- several time people run corridor early hour scream laugh . seem many stag hen party hotel week . prepaid non - refundable & quot ; VIP & quot ; card room $ 500.00 could use anywhere te hotel- however three restaurant would let use card pay . restaurant expensive mediocre quality food - £ 30.00 dinner buffet big fry -up basically place run like zoo . good quality restaurant Hotel even expensive - $ 50.00 per person 2 course meal- food pretty ordinary quality . 
 Aug 17 2009 	 one good strip ! 	 come back week stay Vegas , stay West Wing room MGM hotel ! room spacious modern , bed super comfy duvet pilllow die . hotel casino HUGE , massive choice restauarant , eat Wolfgang Pucks , Pearl Strata , fantastic ! breakfast buffet ( must try ) much choice everything fresh ! go early queue build late morning ! Lion Habitat fantastic addition , hotel well worth go see . find pool busy lot kid - 21 like partying must go Wet Republic pool , host famous DJ 's weekly basis ! hotel Vegas excellent would thoroughly recommend MGM , be heart much ! 
 Aug 16 2009 	 lovely room great pool 	 stay Celebrity Spa Suite 30th floor two night go TheHotel week . really love room , big quiet clean need . walk lift take be expect big hotel . bathroom huge fancy . pool area wonderful lazy river MUCH well one Mandalay Bay . yes charge hire float river 's $ 16 worth every penny . the casino get busy always find place sit . room service quick efficient . the MGM buffet great value . hotel Strip pay interent access . when go back Vegas certainly stay . 
 Aug 16 2009 	 would stay 	 book Bungalow Suite find interconnect door first night noise people party next door start - would well share room directly . noise horendous . hotel take view try get free upgrade complain . offer move three adult regular twin room extra bed - 2 downgrade . state mis - sell room mention website interconnect door would help . , 12 night endure noise various people room next door . course holiday well probably feel we , difference stupidly select stay 12 night duration holiday people 3 - 5 night . food poor compare hotel / restaurant , buffet ( breakfast dinner ) well average quality ( put shame Luxor ) try get drink whilst play casino table difficult . Noise swimming pool deafen ( loud music play day ) , nowhere go tranquility / to read . overall - opinion hotel high opinion deliver state website , overprice low quality . course opinion please not waste money , stay another hotel even lower grade look impressive . 
