clean 	 arrive New York train hotel locate couple block Penn Station , location convenient . price reasonable staying city . room clean ( always top priority ) .The front desk staff friendly . breakfast include room include buffet cereal , fruit , bread , pastry , coffee , egg , etc . busy breakfast rush , problem find table . wireless free work great room . my complaint noise level room . could hear everything hallway . neighbor room night could hear door open slam shut every time . 
 Apr 11 2007 	 Great Hotel great location 	 stay Holiday Inn Express Chelsea period 05 - 09 Apr 07 enjoyable stay . hotel conveniently locate far subway , Penn Station Madison Square garden , short walk Empire State Building . stay room KS bed , little cozy , clean quiet . popular hotel stayed book . little worried may noisy , quiet night . breakfast good , one well experience HI Express , consist hot cold buffet breakfast . service hotel excellent . I would recommend hotel anyone travel NYC . cost pretty reasonable compare many hotel location . well do HI Express Chelsea . 
 Apr 7 2007 	 Pretty Nice Room .... 	 Holiday Inn Express , Chelsea , nice little hotel , conveniently locate -- really Chelsea , actually close mid - town Penn Station / Madison Square Garden . room stay clean comfortable , good , QUIET . one upper floor little street noise . the room nicely appoint modern , though small . experience hotel good overall , except one thing : hotel parking problem . hotel claim deal garage 4 - 5 block walk door . problem , three garage block , be look get Holiday Inn Express 's overnight parking deal $ 25 , make sure right garage . locate correct garage , park car less 24 hour , go retrieve car tell hotel stamp parking tag & quot ; hotel employee & quot ; , eliglble $ 25 overnight parking deal . return hotel explain problem try get credit account difference pay parking ( amount advertise ) , front desk clerk refuse , explanation book room Hotwire could not make credit account ( ? ) good customer service . choice pay extra $ $ parking want get car back -- slosh rain several long city block park car first place . willing accept inconvenience order get hotel 's advertised parking rate , ultimately get hotel would make right , without make jump hoop make sort call long leave anonymous & quot ; manager & quot ; .... ie : buck pass , satisfaction . be prepared decent room convenienct location , much less stellar customer service outfit . 
 Mar 31 2007 	 First Trip NY - would stay 	 stay 3 night , location good , close Penn Station , Empire State building,5th Avenue . staff helpful - problem room arrival soon address . 
 Mar 27 2007 	 Great Getaway 	 want surprise boyfriend romantic evening . search hotel online , come across hotel Brand - new 15 - story hotel . open sometime end last year . book king - size bed feature jacuzzi - tub . spread rise pedal room , run hot bubble bath , light couple candle . night great score extra point boyfriend ( LOL ) .The breakfast also offer free breakfast every morning 6 - 10:30am ..... give tray give love breakfast - in - bed . since live local NYC area , able call friend free internet also free . staff friendly , hotel clean able check - in 3pm . I definitely come back month two . 
 Mar 22 2007 	 would recommend hotel ! 	 happy stay hotel . accomodation book thru [ -- ] one room/ two nights/ three people . reason follow : -No parking garage hotel . park 5 block away . -The room two double bed . double bed uncomfortable two adult sleep together tell two night bad sleep . -The complimentary drink available b /c coffee / juice machine notice state shut dept health . -The complimentary breakfast end 10:00 11:00 state Guest information booklet room . find go breakfast 10:30 find breakfast over - the management neglect inform we change . -The housekeeper leave we soap make room first morning . ask soap - but give we tell we use bath gel instead . 
 Mar 15 2007 	 deal ! 	 get great last minute rate $ 104 one night stay mid - March . hotel really exceed expectation . say , room small shower difficult figure , hotel great deal price . everything spotlessly clean , staff friendly , free continental breakfast extensive , location perfect . recommend hotel highly , kind money New York not expect stay nice ! 
 Mar 14 2007 	 Excellent Holiday Inn Chelsea 	 outstanding location midtown . near Penn Station train NYC , 's station 2 block away catch 1 train . room small , brand new facility make great place stay . bed exceptionally comfortable , shower awesome . HOORAY coffee pot room . free breakfast include food typically see type place . even hot food ! dining area tiny , traffic flow headache , manageable budget . business center include 3 computer printer . door unavoidably slam make late night arriver floor instant unwanted wake call . front desk personnel helpful . location really awesome perfect trip 26 high school kid . 
 Mar 12 2007 	 noisy 	 Hotel overrun school party , spend 4 sleepless night March 2007 , complain three time never take serious , manager never , go to get back we , never happend . if travel large school party think hotel would suit , want night kid run along corridor bang door , 80 % kid hotel , noisy.while lie bed could hear someone adjoining room urinate flush , disgusting . 
 Mar 10 2007 	 Great Location Awesome Breakfast 	 go NYC sightsee friend . love location hotel , close lot transportation , shopping restaurant . woman , feel 100 % safe . hotel staff extremely courteous ; free wireless access room . 
 Mar 7 2007 	 Loved everything 	 return home four night stay Holiday Inn Express . Great Location within minute walk local attraction easily get bus subway lower manhatten . room lovely clean bed big comfortable . clean towel everyday room clean high standard . complimentary breakfast include complaint . variety food fruit , bagel , cereal , hot breakfast ( include omlette , sausage etc ) plenty eat also buffett eat like . although coffee facility room coffee available throughout day foyer free charge , day get back take coffee upto room . staff helpful location make prime place stay . plan another trip later year certainly stay . 
 Mar 5 2007 	 stress enough ... stay hotel ! 	 look affordable safe good night ' rest touring city , definitely hotel you . my boyfriend fly Atlantic City Miami take greyhound NY . arrive Port Authority , WALKED hotel . 5 minute away . way hotel , pass Madison Square Garden , fabulous . hotel staff greet we right away able check 3 hour ahead check - in time . the room small . king size bed , tv , desk , small dresser . travel week , might want upgrade big room . room super clean ( hotel new ) bathroom bite small normal size bathroom . breakfast buffet delicious FREE . business center four computer like check email frequently . importantly , hotel safe prime location . able tour city walk back hotel 2am problem . exit hotel , turn right , make leave 7th street , walk three block Times Square . , continue 6th street , make leave run Times Square 5th avenue shop ! use taxi four day stay . walk Times Square , Rockefellar Center , MSG ( right next door ) , walk subway station visit Brooklyn Queens . it great hotel extremely affordable . go back summer definitely stay hotel . 
 Mar 3 2007 	 Awesome stay Holiday Inn Express Chelsea 	 friend stay Holiday Inn Express Chelsea February 2007 ; time life . never New York lot question ; whole staff hotel helpful seem pleased help . work hotel really notice lot thing excellent hotel . room spotless ; hotel convenient location , within walk distance lot restaurant , shop subway station . thing want point helpfulness whole entire staff Holiday Inn Express . stay future . 
 Feb 26 2007 	 Great Place Stay 	 return weekend stay . NYC hotel , great price well . room clean , staff friendly , night stay recommend GREAT place dinner . arrive early , 9:00am , check bag . breakfast free expect . would highly recommend hotel plan stay next visit NYC . 
 Feb 25 2007 	 cleancomfortable 	 clean comfortable modern hotel central location , 10 minute walk Macey 's Empire State building . helpful friendly staff . breakfast bit scrum due people seat , nether less manage food provide adequate . hot cold drink available f.o.c . 24/7 lobby excellent extra , perculator room . the hotel arrange transport back airport happily store bag afternoon . the free use internet another plus factor . would hesitate stay . 
 Feb 24 2007 	 modern hotel great value - hard go wrong 	 's easy make mistake book hotel NYC . old renovate hotel modern standard , . fact , really high - end renovate grand hotel measure good standard . not realize spend quite bit money get great accommodation . case hard go wrong Holiday Inn Express Chelsea . new late 2006 convenient Penn Station , Madison Square Garden , Macy 's , fashion district , theater district . room huge , functional clean . continental breakfast much well expect . along usual beverage pastry also omelet , bacon , cereal , surprisingly good cinnamon roll . great way start day ( spend money elsewhere ! ) -john r 
 Feb 17 2007 	 love little gem 	 find place accident terrific . great location , room lovely , staff helpful , decent free breakfast business center three computer . would highly recommend ! find great rate $ 140 - 150 per night . date stay : Feb. 1 , 2007 
 Feb 16 2007 	 highly recommend 	 impressed . hotel easy walking distance Times Square / Broadway / Madison Sq Gdns etc ; block away nearest underground station . room exceptionally TINY one must remember sleep ( do not spend many waking hour ! ) . even pleasantly surprised price include breakfast ( egg , bacon , hash , pancake etc - thought would get bowl cereal well ) . filter coffee ; hot chocolate ; fruit juice available free charge , 24/7 lobby . everything clean good condition . would come ! 
 Feb 14 2007 	 Excellent Location Comfortable 	 stay Hotel New year 2006/2007 five day . never US , sure expect term hotel standard , however , pleasantly suprise . the hotel room quite large comfortable . room large double bed , wardrobe , wide screen television ( cable channel ) dress table . hotel room 's bathroom well finish marble top bottom , excellent bath / shower ( brand actually purchase hotel ! ) . room also airconditione . hotel room modern , finish high standard , new furniture . extremely clean tidy . the hotel breakfast area serve buffet style breakfast morning ( mainly consist process ' fast food ' , cinnamon danish bun delicious ! ) . find hotel excellent value money location superb , close Macys , Empire State Building transport link . stay busy time year find breakfast room inadequate size cope volume guest stay time . also difficult get floor , sometimes wait lift . hotel advertise gym facility , however misleading . room two treadmill exercise bike ! send number item launder hotel , come back shrunk , aware ! say really enjoy hotel would definitely recommend traveller . 
 Feb 9 2007 	 Great hotel~ 	 visit New York Christmas week ... hotel locate nearby main attraction ( approx 10min walk distance Macy 's , subway station ) .their continental breakfast great , quality bathroom amenity well average , staff friendly . they allow we check 1.5hr early without extra charge . the room quite small necessary item . bathroom great condition . I really recommend hotel , , , great value great price^-^ ! ! 
 Feb 8 2007 	 great deal ! 	 four day weekend trip New York , hotel plan fall . bidding room priceline & amp ; pray would not get dump cheap price pay , say pleasenly surprised hotel . new , clean , & amp ; staff helpful anything need . New York , expect poor experience price pay . , instead , one nice hotel stay . would recommend hotel anyone go New York need stay budget . close Penn Station quick hop anywhere would like go city . complimentary breakfast also bargine ... plan eat hotel instead eat breakfast . although recommend get buffett early ; get crowded later morning . room small , New York , not really matter anyway . 
 Feb 5 2007 	 Fantastic Deal ! 	 two friend mine decide late last week go NYC together , count get decent deal priceline.com , hope low rate site time year mean promise search priceline . get reasonnably price room Holiday Inn Express Chelsea -- disappoint . hotel superb location , two minute away 1 - line connect everything middle one NYC 's hot area ( fashion district , club , Empire State Buildng , Chrysler Building etc . ) . hotel quite new thus great condition ; room small , since not come NYC stay hotel , not mind . lucke get corner room top floor , without view , also without neighbor , thus quiet except central heating system hum we sleep . read somewhere bathroom always good indicator much hotel want save -- solidly tile , granite ( ? ) counter top , metal/ porcellain bathtub , funky collection mouthwash shampoo etc . great towel make pleasant statement . staff incredibly friendly , free internet access basement -- complimentary breakfast good european hotel . 13 + year stay american hotel , never see generous buffet , include -- even coffee great ! definitely try stay , even pay great steal land priceline.com . total find ! 
 Feb 5 2007 	 please overall 	 Sticker shock New York hotel December terrible . finally hit hotel Priceline . price still high well choice . the hotel either new redecorate . room small clean new furnishing . staff helpful friendly . 's close favorite haunt hotel still fairly convenient . building along street renovation bit scary walking scaffold night first enough pedestrian make feel safe . there seem lot family tour group stay , another sign good value . free breakfast adequate nothing write home about . I would stay , especially everything else pricey . 
 Feb 2 2007 	 complaint ! 	 go NYC 4 night end January book hotel read TRIPADVISOR review . personal critirea Holiday Inn Express Chelsea fit all . on arrival , expect , check - in second probably room less 5 minute walk front door . ask ' quiet ' Executive Room put floor 12 . window open night street / traffic noise bad . shame neighbour floor ! room nice large , big firm bed , plenty light , two phone , desk , clock / radio , TV & amp ; heating / AC unit fine quiet . safe pain rear keep go reception . 's modern , fairly new hotel safe room . complaint , would one . storage room qute limit not really matter . the bathroom bright , clean large plenty towel , flannel , comp shampoo etc . shower powerful ( receptionist draw map get work ! ! ) hot not land usual flood water bathroom floor . also whirlpool bath . wierd thing - bathroom bedroom seperate slide opaque glass wall . could either slide wall open step bath / shower - walk door normal . really wierd ! Got room consider excellent rate breakfast unexpected extra , not realise include . suprise breakfast quality excellent wide range cook item , bread , cereal , pasterie , fruit , etc . coffee tap 24/7 , always hot nice coffee . save buck ! basement fitness room . although three machine never wait use . next fitness room Business Centre 3 computer , printer photocopi - free charge . think whole hotel wireless broadband free . location fantastic 4 minute walk Herald Sq Madison Square Garden . no complaint - would gladly stay . reservation two we would stay week room might start get little cramp . PS , come hotel turn leave , light turn right go one block . Cross road come cheesecake shop . favour - GO ! 
 Jan 31 2007 	 not tell anyone ! ! ! 	 return 4 night Holiday Inn Express . really impress friendly staff room fine time spend . clean comfy bed fantastic shower facility ( ask work ! ) close subway real treat especially price . the complimentary breakfast real surprise get till mid - afternoon without fail . free internet nice touch . thing cost little provide show willingness provide bit many large establish hotel . restaurant / bar etc plenty choose location . no complaint except people get hear gem hotel price inevitably go ! hopefully , return soon . 
 Jan 20 2007 	 good overall- please sort slamming door ! ! ! 	 book hotel decide pretty last minute go NY xmas new year . complete chance review time limited detail available reasonable manhattan go fact new . pleased hotel arrive . exactly luxury room rate vary 100 220 dollar festive break could complain . room clean adequate size , good toiletry often replaced- not use . bath not big enough partner fine . breakfast good range offer , bagel muffin delicious busy new item come scarm could get 10 bowl first leave bowl uneaten . breakfast room really small number guest always feel sorry staff try replenish stock amongst frustrated guest want doughnut etc . one day frustartion get well watch one worker trying well get food whilst people shout more- go reception 3 staff seemingly watch take place . ask anyone could help not fair people shout . lady behind desk pleasant man act like simpley reply ' its always like ! & quot ; aside , big problem noise , pleasantly surprised find outside noise minimal thank great double glazing . however , door constantly slam really need sort . wall betwwen room really way thin well could hear tv , talk worst- one couple nocturnal activity . thing isssue would give hotel 5 * good price , good location , free internet access , drink machine could help godsend lovely touch save we much money . 
 Jan 15 2007 	 Snappy answer stupid question 	 like previous poster , lot fun thermostat shower , ask two stupid question say ask lot people , everything fine . still work go basement unless fully book , can not understand would put anyone there . the room fairly compact fine , hallway lead proper room . storage relative minimum , drawer tv cabinet skinny armoire hang clothe -- armoire already occupy iron , iron board extra blanket . say , bed comfortable ( four pillow ) , bathroom decent size get heat shower work , right world . there be also extend continental breakfast hot cold food coffee juice available day . the location great , 1 subway line block half away Herald Square five minute walk . got $ 75 night Priceline could get kind deal , would go back -- especially know deal heat ( pull thermostat cover adjust manually ) shower ( pull ring end faucet ) . 
 Jan 7 2007 	 great bargain midtown manhattan ! 	 holiday Inn Express brand new 15 story hotel , open Oct. 2006 . stay last week December get great bargain rate $ 110 per night ! ( imagine pay double price hotel midtown manhattan x'mas season ) hotel free continental breakfast every morning 6 10 a.m. get early 8 a.m. avoid crowd . lobby area get crowded get breackfast early eat comfort room . get full every breakfast skip lunch everyday , plus save alot money brunch . location excellent walking distance many NY landmark . exit hotel turn north 7th Avenue . get Madison sqaure garden Penn station 1 block , Macy 's largest dept store 3 block , Times Square 10 block away . Manhattan city block like rectangle , short north south wide east west . not drive NY b / c walk fast since traffic always congest Manhattan , plus parking hard find . location safe , lot NYPD officer around area plenty people walk night . however , hotel room small , 200 sqft , expect b / c space premium Manhattan . plus room wall somewhat thin especially guest close door take shower . hear people talk hallway mostly quiet night . would definitely stay hotel convenient location , new room , free breakfast , great bargain rate . be budget , place stay ! ! 
 Jan 6 2007 	 Bare Bones Choice NYC 	 regularly visit NYC stay assorted hotel . hotel basic fine . truly Holiday Inn Express would happy New York okay . staff fine parking lot next door arrive car . call Chelsea nice area teen New Yorkers think Chelsea . rather 3 block Madison Square Garden Penn Station mean immediate neighborhood ( especially 8th Avenue toward Garden ) greatest . plus side short walk Macy 's Empire State Building easily walk Times Square Theatre District . 
 Jan 6 2007 	 great great hotel 	 great location convenient , one block subway station . easy get atraction new york city.room clean comfortable . bathroom clean modern . hotel staff helpful , compliantry breakfast great get fresh fruit bread , also many choice hot food . hotel great rate cheap fair , especially new york city . stay hotel 
 Jan 1 2007 	 great stay noise issue . 	 everything that s say hotel true , great location , round corner 1 subway get important ( tourist ) hotspot . block penn/34st street station business pupose . cab hard find , 7th , 8th uptown travel . walk towards corner . staff great , efficient polite . however New England B & amp ; B , not pretend . breakfast zoo full , provide swift service . not wait food long , . bathroom great , new big enough . 4 people room would squeeze though . however stay London Paris budget hotel , Ritz ! one big issue lack soundproof . least door soundtight , . would not matter door wide open , would hear . slam door whole night , people talk hallway etc . bother , REALLY consider another hotel . move twice , although staff be helpfull , solve noise problem . buy earplug turn airconditione drown sound , still well . streetnoise virtually non exitent , due great double glassed window . ( do not guy finish put right door ? ) get sound issue straightend , would give 10 10 . : be light sleeper move ! want sleep cheap great bed , good morning food , good location , great new room , smile staff face , stay ! 
 Dec 30 2006 	 wonderful - great hotel every respect 	 family stay hotel 3 night Christmas getaway ... excellent every respect . thing great : Location - can not get well - block MSG , Penn Station , Macy 's Herald Square , Times Square . price - Half would get Manhattan hotel . service - season folk . accommodate could matter fact pleasant could . sit lobby time watch handle situation expertise professionalism . room - Small ... shock since be NYC . even small , design efficiently everything great . bed comfortable , tv good , bathroom nice ( granite , GREAT shower , luxury - thick towel ) , Wi - Fi access great fast . breakfast - ok , math . average , 500 + folk stay hotel offer great spread 70 folk ( fire code ) . be normal , bet be ok , be sell , 's zoo , free ... New Yorkers / New York tourist great shove rude . elevator - wait since 2 service elevator staff use . clean smell nice . all , can not go wrong . 's new property , help may go downhill future , , be great choice . 
 Dec 25 2006 	 Quality Accomadations 	 family recently stay Holiday Inn Express - Chelsea . find accommodation clean quality . room small understand small room norm New York . staff friendly helpful accommodating . hotel walk distance Penn Station . location excellent well . excellent value . recommend establishment 
 Dec 19 2006 	 Great Location 	 great hotel family 's 4 - night stay NYC . location great ... easy access attraction . staff friendly accomodating , front desk , concierge desk , housekeeping folk . continental breakfast perfect great selection welcome break expensive dining around Manhattan . room rather small family 4 , fine besides spend little time . door room rather noisy close , room surprisingly quiet . first trip New York return , definitely stay ! 
 Dec 8 2006 	 great ! 	 return overnight getaway husband stay hotel . great experience . room bathroom immaculate brand new . location ( close Penn Station & quot ; action & quot ; ) price awesome . complaint bed little hard uncomfortable , relationship local parking garage , pay full price park . minor problem , though . stay every time come New York ! 
 Dec 4 2006 	 Great Hotel Immaculate Price 
 Dec 1 2006 	 Holiday Inn New York chic 
 Nov 29 2006 	 Grat Hotel 
 Nov 28 2006 	 Service Decor Excellent Problems 
 Nov 24 2006 	 perfectly acceptable NYC hotel 
 Nov 23 2006 	 Brilliant Location Hotel 
 Nov 21 2006 	 Fantastic ! 
 Nov 13 2006 	 quiet new nice staff 
 Nov 7 2006 	 amazing .... well around far ! 
 Nov 3 2006 	 Brand New - Great Find 
 Nov 20 2009 	 Unkompliziertes und preiswerte Hotel 
 Oct 30 2009 	 Normal - Bien 
 Oct 16 2009 	 excelente servicio que presta el personal 
 Oct 12 2009 	 Hotel prático 
 Oct 4 2009 	 Hotel perfetto ! 
 Aug 11 2009 	 Ottima posizione ottimo prezzo 
 Jun 9 2009 	 io ci tornerei ... scoprite perchè ... 
 Apr 27 2009 	 bien situé et convivial 
 Feb 8 2009 	 meilleur rapport qualité / prix ! ! ! 
 Dec 24 2008 	 Ottimo hotel ad un ottimo prezzo 
 Nov 29 2008 	 Un prezzo straordinario per un bellissimo albergo 
 Aug 29 2008 	 Buena ubicación 
 May 29 2008 	 Gute Location saubere Hotel nett personal mittlere Preisklasse ! 
 Apr 8 2007 	 Hotel nuevo con buena situación 
 Jan 5 2007 	 La Gran Manzana 
