good 	 stay single hotel 2 night . choose location amenity show website . request early checkin 2 pm instead 3 pm . reach hotel 2 pm , good welcome reception . show internet booking show room . single accomodation room show website far different thn actually offer . actually look like servant 's quarter dirty linen , filth floor badly smell . refuse accept room come back reception . suddenly smile face receptionist change rude look . insist room give show describe website . finally ask talk manager . Manager bluntly tell book thru travel website , gurantee room . insist booked room thru hotel 's website . say put opinion internet , get scared change tune . finally say , offer inferior room ask early checkin . want describe room wait till 3 pm . already 2.30 agree . finally painful face , allot room 3.30 ( 30 min later check time ) another news . say room old wing , walk long distance go stairs luggage , board lift . room surround exterior window except open garbage collection area . however , tired time accept room go bath . oohh . suddenly someone enter room another key come right upto bathroom door . shout go away . call reception tell clean staff know room . accept apology . 10 min , get ready evening , ..... another girl come surprised . time really get nervous worried intention staff , secluded room probably one nearby room . Manager offer apology free breakfast ! ! ! keep think two day , free breakfast wipe away bad thing do Hotel Manager intentionally un intentionally . may exception incidence , bad . 
 Bad experience 	 1 . room shabby need upgrade 1970 decor.2 . elevator completely inadequate size building number guest . walk 7 flight stair , accompany HUNDREDS fellow guest , multiple time wait elevator exceed 30 minute good part day.3 . wait line check - in check - out , entertain stream people complain major aspect stay . counter clerk disappear & quot ; consult manager & quot ; every complaint , return & quot ; sorry , anything this . & quot ; 4 . valet parking cost $ 35 guess -- -- -- valet check - out . walk 5 Manhatten block parking garage luggage . thank introduction NYC . 
 Heart City 	 comfortable , walk everything ! clean , little old - fashioned add charm . 
 FANTASTIC location 	 great location , central , 5mins central park 5mins time square . as base excellent , warn noisy pipe night , much move room 1night . 16th floor racket , every half hr night , dressed 5.30 could not sleep . move much well room 27th floor , 1 night non sleeping , great 4 we . not put complain . apart noise though fault report 
 badi will not live wellington hotel . 	 bad experience . book hotel priceline . arrive , front desk ask we pay . believe . room clean . never live hotel like . will not go anymore . 
 perfect location excellent service Thanksgiving weekend NYC . 	 could satifie visit Wellington Thanksgiving weekend . suite spacious clean . ( might put date room -- love enjoy feeling like New York experience instead Hotel Anywhere ) . staff service pleasant , prompt helpful . enjoy Park Cafe -- many place eat nearby . the location can not beat -- couple block direction want -- Central Park , 5th Avenue , Time Square ... look 7th Avenue see Wellington sign look like welcome beacon long walk park day shopping night time square warm heart soothe ache foot . definitely place stay city -- stay several place uptown , midtown downtown . thank great timel . 
 Oct 5 2008 	 Fab location ! ! 	 boyfriend stay 4 night St. Patrick 's day love . close lot major tourist attraction . minute walk central park , time square fifth avenue . hotel lovely well keep . room quite basic , rarely room , use sleep much ! ! hotel gift shop sell ticket major sightseeing tour staff friendly helpful . the side window room look main street quite noisey night , doubt could find hotel NY city quiet night - really city never sleep ! would highly recommend hotel anyone viste big apple ! 
 Oct 1 2008 	 great value 	 stay Wellington Hotel part short break package deal . choice three hotel could request stay book early enough . bit internet research choose Wellington ( see two get ) really pleased . location brilliant . Central Park leave Times Square visible right short walk away . good ( foodie like ) famous Carnagie Deli right across street perfect late night snack ( open pretty much 24/7 ) . hotel offer Park Cafe good basic inexpensive breakfast caffine top - up heading . exactly Central Perk great place eavesdrop local - less touristy might expect . the hotel staff really friendly suprise good room trip good price . one good ' budget ' hotel room ' ve ever pleasure staying . 
 Sep 30 2008 	 Position Great hotel good 	 hotel would small room ever see hotel . double bed one chair take whole room . bathroom small toilet seat would go do roll toilet paper dispenser . bar fridge ice machine available . buy ice cafe cost 50cents per glass . position great easy walk train attraction . 
 Sep 19 2008 	 Best Bang Buck 	 like many other , first time New York read many review NY hotel finally select Wellington . true room little date , small bathroom , price reasonable . breakfast every morning Central Park 's street can not beat ! walk location Times Sq , theatre , great shopping much . truth matter spend almost zero time hotel pay lot esthetic really cut shopping budget ! staff hotel fantastic , friendly helpful . sister plan sleep bed ( queen ) give we room two bed expensive , price - think decent well - fun - ! 
 Sep 19 2008 	 stay ! ! 	 book two Queen room 3 night midweek Sept confirmation # 's hand arrive 6:35pm . Agent tell we Queen room , kindly upgrade we newly renovate Mini suite 26th floor ( great view ) downgrade daughter 's room twin . low rate $ 40 per night inconvenience . start sign registration card , realize reservation 2 night ..... ? ? ok well , say whomever make reservation end enter 2 night obligate pay high rate night ... haha lose , much anxiety , manager Michael & amp ; agree upon rate . would normally stay Marriott Marquis Sheraton , week large convention , room premium $ 600 - 700 . rate $ 369 Wellington , be not disappointed . like reviewer 's say , room sleep . read ask newly renovate room , difference make ! ! Tile & amp ; carpet new , flat screen tv ... etc . spacious room also area . great water pressure bathroom wall unit AC actually work perfect ! love Park Cafe lobby . make good food quick time ever ! ! disappoint . also charge room service hotel , go . order full breakfast 9:00 room service deliver hot delicious 9:15 ... truly amazed . rarely get kind service Hotel ! go restaurant Molyvos , drink bar . nice atmosphere though , personally not care Mediterranean cuisine serve . location hotel make big plus IMHO . close enough walk Times Square , Carnegie , Central Park , 5th Ave . shopping , etc ... also easy catch cab need one . bellman wonderful ! ! take full advantage subway station outside hotel . four we travel World Trade Center site , Statue Liberty , Herald Square , Times Square Yankee Stadium 3 day . $ 2.00 per fare , save great deal time money . always friendly toll booth person help get lose .. . : ) small deli across street open 24 hour per day , think important know due fact midnight hotel basically close . vend machine , room service , restaurant bar .... want soda 2:00am hotel tell hubby walk across street pick we one . , fun trip we . come see Yankees spend time see site never see previous winter trip . Wellington charming , old hotel character perfect need . would definitely stay . 
 Sep 18 2008 	 comfortable stay 	 book night Wellington priceline ( name price ) stay hell - hole night ( St Marks Hotel ) , experience , place feel like paradise ! ! first , size room price pleasant surprise -- New York , hotel price range shoe box ! fiance stay standard room double bed . carpet little stain place clearly old , not feel like not clean anything . front desk nice . actually call morning 10 am ask check early ( get hell - hole room 11 am ) , say room ready could come whenever . instead wait 3 pm check , room 10:30am ! room 7th floor , street noise not really issue . , however , situate near elevator , would occasionally hear & quot ; ding & quot ; sound arrive floor . the location hotel great . Central Park literally 2 block away , make convenient pleasant early morning run . Rockefeller Center Radio City Music Hall within walking distance , well many site . 's also subway station right outside hotel entrance , make easy get many area city . would definitely recommend hotel anyone look stay New York less $ 200 / night . 
 Sep 17 2008 	 Perfect location 	 stay 12 night Wellington re - book another 12 night next February . come Australia get marry , bit disapointe ( worried ) hotel select we Priceline . however , staff great although interior bit date , overall experience good one . fact , handy subway - master first time ( 4 visit ) . upgrade King Size room pretty much bed - fridge tiny bathroom - hardly spend time actual room . fitting miss - handle draw example - detail would not take much effort hotel part . overall though , would recommend Wellington , particularly location price . 
 Sep 17 2008 	 ok 	 Excellent location , want Carnegie Hall area fairly reasonable price . compare rate amenity book . Wellington could use facelife ( small , tired room shabby common area ) , 's clean place ' ve ever stay . oblige check cashier checking . room good water pressure , bellstaff swell ( actually flagged cab ) hotel call report item would leave behind , usually not do day . tell , would give Wellington thumb , expect much room . 
 Sep 15 2008 	 first time NY 	 spend four night Wellington despite well worn shaby appearance excellent place stay first visit NY.We could not pick well location , hundred yard Central Park fromTimes Square . eat - Ben Ash deli breakfast several deli across road evening meal . use shop hotel book transfer JFK - substantially cheap limo suggest porter . bit experience guess could manage train save dollar two . this first visit NY delighted kindness friendliness New Yorkers . 
 Sep 14 2008 	 fantastic location 	 location everything NY wellington superbly situaute ! room date small could hardly turn around bathroom clean maids fab ! wernt NY spend time room perfect ! staff friendly helpfull , particually bell boys.the cafe adjoin hotel fab reasonably price , restaurant molyvos hugely overprice worth money ..... stick cafe ! great breakfast / lunch go fluffys cafe,2 min walk towards time square.fantastic cafe ! also bus tour , agent place proberly would not do one have not recomende good way see NY sure.would definatly go wellington ! 
 Sep 8 2008 	 great location 	 look convenient hotel 1st visit NYC wife 's 60th birthday . look 4 night stay handy location typical tourist sightseeing . disappointed location everyone say ' right doorstep ' everything . subway corner busy bustle diner pretty much ' in - house ' . guess Europeans use large room one ok . Bathroom ensuite function adequately clean bit worn . american friend ' ve live NYC ever think room great - guess NYC standard medium price central hotel , nothing complain . Aircon work noisy . rear room dingy overlook rear office type accommodation least quiet compare street facing room . lot walk easy get Central Park , Times Square , Broadway etc , walk load take subway load entrance right hotel . diner access rear lobby area great us experience style breakfast eat daily delight ! New York friend , get see Central Park Zoo - really close FAO Swarz toyshop load sight see movie . spend lot time ' spot film location ' really close . Carnegie Hall load great cultural place also really handy . complaint Lobby area lack seating . as someone else say , be always bustle people come go space sit wait watch . reception staff entirely helpful need room change . have book MONTHS arrive specifically ask non - smoking room . what get first night ( not arrive hotel till go 11.00 pm due plane delay immigration control ! ! ) like living ashtray . carpet , curtain etc smoke encrust find difficult breathe . staff unhappy anything first refuse accept would unpack case assure would relocate follow day . ask have allocate ' smoking ' room would specifically book ' non - smoker ' , tell room allocate day become available ! ! 's point ask want ' non - smoke ' ( on - line booking ) take absolutely notice ! ! however , would get past little episode , everything fine . porter helpful information , keep bag secure etc . all , enjoy stay . make , seem unless be pay heavy duty room rate typical old central Manhattan hotel room , location count thing fault score , 
 Sep 4 2008 	 good location 	 stay Labor Day weekend 2007 well year . reason keep come back hotel 's location . locate Central Park Times Square . be less 10 - min walk . furhermore , subway stop right next hotel . hotel moderately price NYC , opinion , tremendously overprice . lobby look nice clerk front desk courteous . room small like room NYC could use update . however , come NYC party sightsee stay hotel sleep , fine . , can not beat location . there diner adjacent hotel also plenty restaurant cafe around . like convenience store around stay open 4 am real food fresh fruit . 
 Sep 2 2008 	 well expect 	 reading review wellington little scary might find get room preaty quickly lovely little small mean go stay day people wake stay day new york amazing lol , great maid service sheat change every day highly recomede people small child teenager . 
 Aug 27 2008 	 Big Wellie Boot NYC 	 read review Wellington , nervous going , get , realise place exactly describe website . ok , fair enough , room small , expect New York City , space premium . think european visitor would like big room , room clean everything need ( apart tea coffee make facility , Starbucks right accross road 7th Avenue ) right centre Midtown Manhattan , 10 min walk Times Square , 5 min Central Park , 10 min 5th Avenue ( avenue Americas 6th Avenue really wide take age walk ! ! ! ) hotel lovely clean , staff friendly helpful ( apart maintenence guy ! come fix air conditioning unit could not speak English ! ? ! ? ! ) need middle New York City ! ! ! book Wellington , relax , enjoy , amount time actually spend room bother big shoebox ? ? get small room hotel great time , great wardrobe clothe , shower brilliant ! ! enjoy time ... be New York City goodness sake ! ! 
 Aug 25 2008 	 bad Wellington 	 read horrible review Wellington , pleasantly surprised get moderately sized room without bedbug foul odor . room comfortable queen size bed ; sheet towel change everyday ; call new pair sheet see several hair strand newly make bed , housekeeping bring immediately without delay . although get one renovate room , much traffic hotel , carpet little spot wear . hotel 's central location convenient access everything though , worth stain rug ! problem return stay Wellington future . 
 Aug 11 2008 	 well do Wellington ! 	 group 5 gal ( 2 forty - something mom plus 14-,13- 11 - year old girl ) return 4 night stay Wellington . NY shopping , show sightseeing ... city previously . short , Wellington perfect choice we . vintage property awesome location ... across street Carnegie Hall , 3 blk Central Park Times Square , 6 block Rockefeller Radio City . Hop on / Hop bus pickup right block . ton deli , restaurant bar nearby , plus Starbucks across street . party 5 , struggle find something reasonable cost good location bed ... wow ... find . & quot ; Spacious & quot ; justice suite stay ... apartment - like . bedroom 2 full bed , 2 full bath , separate living room pullout couch , table w/2 chair , separate kitchenette w / micro - fridge , cabinet countertop , plus balcony . crazy big walk closet . around $ 300 / night . yes , $ 300 . , believe , picky midwesterner ... room , clean ( spot chair upholstery -- hey kid , be use , right ? ) esp . clean baths kitchenette . plenty fresh towel . tv small , function perfectly . dvd player . a / c could bit cool , nothing bother we . hallway narrow elevator small , be expect old property detract experience one bit . lobby bustling day night , we cause concern add big city feel . husband stay Radisson Lexington Ave 2 yrs ago pay much tiny room 1 king bed questionable bathroom . Wellington much , much well value . can not comment room Wellington , experience suite great . 
 Aug 9 2008 	 bump cheap hotel 	 Booked hotel back May , arrive Antigua late Friday evening travel half day . check , take detail , passport credit card inform we ' there room inn ' . approach midnight manager inform we room leave arrange transfer ' sister ' hotel 3 block away assure us 4 - star hotel . despite remonstrate book pay two month early force move ' sister ' hotel . arrive clearly 4 - star hotel several block away want stay . get bad , room allocate noisy extent wear earplug get sleep . clearly be not 4 - star even 3 - star hotel , way get we hotel book overnight stop . ~The Wellington Hotel make $ 60 ( difference two hotel room rate ) we without thing ! Advise prospective guest confirm room arrive . return New York definately contemplate book hotel . bite , twice shy ! ! fellow traveller warn ! 
 Aug 1 2008 	 truth Wellington ! 	 get back UK spending week Wellington ( family two young child ) , read rather contradictory review site , think would try give objective opinion . go ; location - must heart Midtown Manhattan cost , will not disappoint . five minute foot Central Park pretty much perfectly place everything will ever need . 's subway station intersection hotel sit ( station 57th Street NQRW line - station , exit 55th & amp ; 7th end platform aim NE corner ) . be exhausted day sightsee 55 Street Deli across road good selection salad , hot pasta , chinese dish etc . take eat room - couple occasion . food - not try Movylos ( least , be think 's call - greek restaurant hotel ) . Park Diner fine get busy breakfast may queue - breakfast Benash Deli across road big , much less crowded good . reception , check , staff etc - absolutely fine , find staff cheerful , friendly willing help , give advice , hail yellow cab etc . Decor - Tired , border shabby , undoubtably could makeover . mark carpet wallpaper - could not tell bit refurbish look hallway etc ( 2nd floor look grim - never see anyone get lift except staff though ) Room - stay 1201 , suite ; decor , suite large bedroom contain double single bed . ( queen size sofabe lounge ) . lot storage space , iron ironing board provide . bed comfortable linen towel change daily . Room keep spotlessly clean housekeeping , kitchenette look virtually new , new fridge microwave , ! ! tea & amp ; coffee make facility , cutlery , plate anything except four glass . ? ? air conditioning unit hang window sit room bedroom ( mean unusual old building NYC ) quite noisy help blot noise street , problem . bathroom smallish also need makeover , shower work fine hairdryer new . room also bite dark , mainly due tired blind , would not go way . use place base , minor down not bother we much . overall - business hotel , not expensive one . budget tourist hotel , although bit tired side , actually perfectly ok plan use base explore New York City nothing sleep . want familiarity reassure quality chain , pay extra stay either two sheraton Hilton , within couple block Wellington . overall get three star , 's deserve - , less . 
 Jul 22 2008 	 love wellington 	 see bad review Wellington , experience great . quick check check . free upgrade standard room queen room kitchenette . good maid service . fast elevator . problem water pressure . clean , excellent location . compare day inn Best WEstern . Plaza be not . look difference price . great breakfast value , go 55th street revolve door turn leave . go almost end block Stage Star Deli . great breakfast , cheap . two piece french toast , one egg , sausage $ 4 . english muffin , sausage , egg , cheese $ 2 . good deal lunch , . highly recommend Wellington trouble . 
 Jul 22 2008 	 Great Location - Fine room 	 book priceline pay another $ 60 upgrade . need two bed priceline guarantee one double bed . still room rate reasonable New York . location perfect . subway right outside door hotel . carnegie deli across street . everything within walking distance . hotel definite european feel . hilton sheration clean nice stay New York . 
 Jul 16 2008 	 view 	 wonderful long weekend wellington . we stay , know ok.the staff always friendly helpful . room superb , 23 rd floor , great view central park right 7th avenue time square left , tell room number though want room go back . first morning go go restaurant breakfast busy go elsewhere , mistake.the second morning go although busy wait soon get table . breakfast great.had evening meal aswell great aswell.would recomend wellington anyone , definately stay go back . 
 Jul 15 2008 	 Bargain Hotel amazing city 	 oh god read review beforehand decor etc ..... seriously New York ... city never sleep care . its cheap , clean hotel amazing location ( time square central park ) need .... place dump luggage get couple hour kip sightseeing , shopping drinking ; could not ask anything would defo go back hotel . 
 Jul 13 2008 	 Average Hotel Look elsewhere 	 stay hotel spend three night another hotel close Macy 's . arrive Wellington Hotel realize make mistake stay first hotel . check take forever bonus upgrade big bed . stay part hotel quite old , musky . room large wall paper thin meaning could hear everything happen floor . shower pressure strong result floor wall flood every time take shower . staff busy really help level service quite poor . hotel would fine ' look bed sleep , otherwise would look another hotel far nice book around price . 
 Jul 12 2008 	 great 	 daughter stay Wellington 4 night end June 2008 . arrival ( exhaust long flight ) check Bellman show we room . enter floor notice obnoxious smoke smell immediately ask bell boy smoking Floor ? almost choke smell tell unable stay floor make ill . return front desk , Manager inform we Hotel fully book . request non - smoking room , twin bed , tell could not find room hotel , would find we somewhere else stay . finally , manage find we room double bed , agree take . 27th Floor , great view , noisy due height , adequate . room old , sheet almost threadbare , bathroom ok , first experience New York quite disappointed . first instinct find somewhere else , vacancy hard find . locate good position , next time would stay little away Broadway/7th Ave , find comfortable , helpful Hotel price . EG , Australia 
 Jul 9 2008 	 great ! 	 return quick girl 's weekend NYC . book Wellington Expedia happy experience . staff nice helpful . room clean comparable room stay , NYC . room even small kitchnette . hotel close everything subway stop right outside door plus . would highly recommend hotel . * stay renovate new section hotel sure make difference one experience . * 
 Jul 6 2008 	 Wellington beyond Expecations 	 stay Wellington July 2 - 6 . bit nervous give negative review hotel , exceed expecation . hotel great location easy walk Central Park , theater , shopping Times Square . room small , clean quiet . corner room view Times Square . give price location Wellington , would hard find well deal . would definitely stay Wellington . 
 Jul 5 2008 	 Great Place Great Location ! 	 family 4 stay Wellington week 2 night agree great hotel . people nice doorman helpful many question ! room not match virtual room see web site tub could use bleaching . room next elevator thought would hear night like would read review paper thin wall , however , not hear thing ! great ! 3 bed 2 tv 's good sized bathroom ! location could not well locate block everything , Times Square , Central Park , Rockerfella Center , Starbucks across street like Dunkin Donuts coffee , Park Cafe locate front Wellington equal flavor coffee . enjoy everything ! ! ! ! ! ! ! 
 Jul 2 2008 	 Great Location - Nice Clean Hotel 	 ' ve come back New York spend 7 night Wellington . although not stay New York Hotels say room Hotel general compare favourably hotel stay , theatre district London . we arrive hotel 13:00 greet friendly staff able check - in go straight room . the room 17th floor , overlook 7th Avenue clean , tidy well anticipate decorative standard quiet pleasure get back hard day explore ! hotel location theatre district expect pay slightly meal surround area ( like Burger Heaven Madison Avenue breakfast ) deli across avenue open 24/7 fantastic sub around $ 7.in summary would hesitate choose hotel , great location , room friendly staff - hope enjoy much . 
 Jul 2 2008 		 trip extend girl vacation , spend much time hotel room . three room trip - different . & quot ; suites & quot ; nice sized adequate appointment reasonably clean . & quot ; standard & quot ; room adequate sized step back time 1980 - last time hotel actually clean . end bedbugs bite . location great price reasonable ; however , worth & quot ; bugs & quot ; . addition , hotel wheelchair compliant - step get building , extra small elevator . word - & quot ; interesting & quot ; good way . 
 Jun 30 2008 	 disgrace Hotel Health Risks 	 well let start good thing hotel , location great near times square , broadway , central park . that s good thing could say . bad thing go well arrive room get smell beer damp tile come wall floor wet bed damp also like take washing machine put . sleep bed sleep blanket sheet take dry put front window . bathroom pipe come seal rusty old nail . anyone asthma would safe hotel . would say staff good that s . go hotel ! 
 Jun 27 2008 	 room comfortable ; ask new room 	 * great value : pay reasonable $ 209/ $ 249 stay comfortable , clean hotel great location professional staff * room overlook 7th , little noisy ( welcome NYC ! ) view great * friend pay get much small room window overlook brick wall . disappointed . ASK NEWLY RENOVATED ROOM BOOK * staff great : not five star snob , friendly job well . * room little small , tiny . one - plugin room , nigh - stand beside bed . alarm clock desk aways away bed , inconvenient , forgivable give price pay . * bathroom great faux - marble wall . * famous Carnegie Deli kitty - corner Wellington 7th , go order & quot ; Woodie Allen & quot ; want one mean , hugest deli sandwich United States . I would recommend Wellington central location , clean room good value . make sure get one newer room 
 Jun 27 2008 	 Perfect Location Great Price ! 	 LOVED hotel ! read previous review Wellington website , prepare somewhat small size room . review also right be NYC , be really use place sleep , perfect ! check , immediately get offer free upgrade , hotel room always clean , great location , staff helpful . be across street famous Carnegie Deli , ! great stay ! 's also locate block Central Park , return NYC family vacation , totally go stay Wellington ! 
 Jun 26 2008 	 stay 	 although location perfect , hotel . two - room suite disgusting . floor stain , trash floor leave previous customer , shower not drain well , moldy shower curtain , one clock radio two room . wall paper thin could hear people room next say anything . controls air conditioner break could not adjust . hotel desperate need remodel . recommend spend dollar stay nice hotel . 
 Jun 24 2008 	 Worth 	 Wellington great location , near Central Park , 5th Ave , Broadway , etc . hotel need update renovation , overall nice place . room clean staff friendly willing answer question accomodate way . hotel busy ... must favorite amoung tour group . good friend go girl weekend not plan room much anyway work great we ! would go back stay ! 
 Jun 23 2008 	 good value great location 	 stay two night Wellington . hotel great location , central Times Square Central Park . would reserve one bedroom suite ( one bed pull sofa ) , end double - room suite three bed total , great , even check early . room clean , note bathroom definitely one city hotel ( small old , okay ) . staff helpful giving direction , handle bag , etc . would recommend mid - level hotel terrific location . 
 Jun 23 2008 	 truly miserable place 	 really dirty ... stained carpet , dirty wall , dirty bathroom . small , even ny standard . room smell smoke mildew even though be not smoking room . also , door rip like someone try break in . be advise FORCED bellman walk room -- simply take key . 
 Jun 20 2008 	 Great Location ! ! ! 	 get back NYC . get Wellington Hotel , try check girl front desk say not anyone name register . good thing hotel reservation confirmation . gave disappear around corner quite long time . quite long wait , say okay give we key room . get quite small , bathroom especially . purpose suit we fine . sleep get ready morning . bed comfortable room clean although hotel old show . the bell boy great would help anything need . check 11:00 ot 12:00 can not remember not leave airport 5:00p.m . store suitcase room we ready go . even call car we take we airport . the location fantastic . many good thing within walking distance . go see Wicked Gershwin Theatre 15 minute walk . even though check bit rough , think would stay go back NYC . 
 Jun 19 2008 	 great place ! 	 Booked Priceline ; bid $ 175 two weeknight June ( Mon Tues ) . hold bag free check early room not ready yet ( fault -- way early ) . base review request Non - smoking room new part hotel . give King room ( # 89 ) newly renovate area . room big standard , huge NYC standard ! clean tidy . 's old hotel , thing bit date , care -- be clean . bed comfortable sheet clean / nice . front desk staff not extremely friendly welcoming , upgrade . Bellmen doorman nice helpful bag , get taxi , door , etc . AC work great room , though hallway bit hot . internet $ 10 / day wireless , also 4 - 5 computer lobby ( $ 1 5 min ) print boarding pass . seem safe / secure ; doorman door , show room key walk lobby towards elevator . I would say request room newly - renovate area will fine . would definitely stay qualm . great location ! walk distance Times Square , theatre , subway , etc . 
 Jun 19 2008 	 fantastic hotel - no complaint 	 first trip NYC great due alot stay Wellington Hotel . location perfect , walk distance destination want see . staff gfiftshop arrange tour advice smile . room large two bathroom ( ! ) view Central Park . staff professional courteous . problem - free , relax stay . would go back heartbeat . 
 Jun 15 2008 	 bad expect 	 read numerous review hotel not expect lot , think perhaps people overly critical . ' ve stay 3 star hotel Paris Mexico expect something similar . nothing fancy clean fairly attractive . therefore prepared find arrive Wellington . not mind old hotel - often think lot character . hotel , however , dank DINGY ! smell mold carpet wall filthy ! call double bed like full furniture room fall apart . really try open minded expect lot , disappointed shabby hotel . good thing say staff pleasant helpful . arrive notice lock door break notify front desk send somebody immediately . also forget credit card front desk girl immediately call room personally hold come back claim . ever pay hotel far bad experience . feel dirty entire time ! 
 Jun 10 2008 	 great stay money ! 	 hotel simple , functional , nothing beat : sleep . get free upgrade ask , hotel staff wonderful courteous . attend need promptly pleased . bathroom teeny , tiny , function 3 night stay . try hotel restaurant lounge review . however , nothing beat location room clean comfortable . despite review say , four elevator quick consider 20 floor old hotel . 
 Jun 6 2008 	 people complain ? 	 loss try figure negative energy come review . find hotel rather rusty old , talk 2.5 - 3 star hotel Midtown Manhattan . I book Priceline , get fair price . discover , case many Manhattan hotel , & quot ; standard & quot ; room one double queen bed . travel wife daughter make standard room option . able upgrade Priceline book King bed additional $ 40.00 night . $ 230 night get non - smoking king bedroom Manhattan busy June weekend . king room large comfortable . large room New Yorker last time New York . the room date , clean tidy . shower super - powered . room service one expect 2.5 - 3 star hotel , efficient , extravagant . the Park Cafe pricey breakfast . starbuck across 7th , touriste , really want stop breakfast . the hotel convenient . five block Times Square . 3 block moma . NRQW subway door , BD ? line one block away . all , love hotel . next time vacation New York , would happy get hotel look Midtown experience . 
 May 31 2008 	 Happy Wellington 	 Adequete Hotel , Location brilliant subway stop near right hotel depend line . room small side toilet cramp even 1 person . staff though helpful , special thank Omar door , helpful . 
 May 30 2008 	 Oldy Goody 	 Hotel tired could overhaul . location superb ! block Carnegie Hall , Central Park 2mins walk , Times Square 5mins walk . subway station right outside . sometimes queue lift annoying bed clean towel . toiletry basic use anyway . would benefit tea coffee make facility room . view brick wall apparently be incommon . tap drip fix within hour . safe deposit room free reception . staff overly pleasant New Yorkers seem rude get use . 
 may 29 2008 	 Great Place stay Great Location 	 hotel dos not big room care great Hotel , nice staff good room service great Diner attach it . but what s good hotel location , right Central Park Times Square could ask ! 's short walk Hop Hop bus constant loop around NY day . great value money ! ! have deffinetly stay ! ! : ) 
 May 28 2008 	 Great Hotel location 	 come back week New York friend stay Wellington Hotel . read website go review make doubt hotel ........... need not worry hotel EXCELLENT ! ! ! ! double twin 5th floor ( request low floor go due good height ! ! obviously do good ) room look newly decorate clean good size along bathroom lovely powerful shower . Maid service every day new clean towel ( rather small ! :0 ) ) reception staff polite helpful able book tour people shop online computer lobby . location close everything use subway get baseball liberty , everything else walkable . recommend hotel long short break anyone . ignore negative write up , not wonder people really stay ! ! :0 ) great hotel would stay . 
 May 27 2008 	 bad 	 sister go New York birthday year stay Wellington . staff helpful upgrade suite without even ask ! ok not Ritz ... not pay Ritz price ! location good stone throw away Times Square . sort us taxi back airport hassle pay good price nice car . lovely hotel . hardcore Blondie fan also decide Rock N ' roll walking tour Lower East Side . tour ok . feel fella interested tell we band like ! get chance , go Lower East Side . 's much cheap food lovely great bar ! go Subway ( right outside Wellington ) , 5 dollar 4 subway swipe . get stuck train need Hotel staff help find little confusing still , local helpful friendly ! 
 May 26 2008 	 everybodie deal 	 hey , first time ny get 8:00 go airport hotel hope leave bag young lady desk tell we one two room ready let we go . k 's waldorf astoria hell see could four day lie room . comfortable bed clean room nice staff help need subway help good eatery , try stage deli carnegie deli great step front door hotel . late show 3 block away short distance lot sight ....... broadway , park ave . madison ave 42nd st fifth ave . subway stop right outside door side . want see ny manhattan particular stay , want sleep 14 hour room stay hell home go plaza waldorf , great cause one less person walkng around . finally location cool stuff manhattan goal nice place stay , want huge room trimming well update hotel stay elsewhere . hope help ................ 
 may 26 2008 	 Perfect Location 	 book hotel trip lifetime extremely concerned read review site could not pleasantly suprise . on arrival able check room early state god send 7 hour flight not really want face wait another 2 hour lobby luggage . room average sized intend room sleep meet expectation . clean everyday . the location hotel brilliant , close enough time square close hear noise close central park ideal take walk . subway station right next hotel short walk shop 5th avenue . our room 6th floor traffic noise quite prominant husband sleep soundly ear plug . all great hotel absolutely fantastic city help make holiday lifetime reality . definitely back would definitely stay wellington 
 May 24 2008 	 good value @ Wellington 	 back New York stay Wellington . Read review leave home would fair say little concerned hotel . turn hotel fine room 19th floor adequate consider pay . the major selling point property location 7th Ave near Central Park Times Square . plenty restaurant diner bar etc within walk distance 5th Ave shop etc . icould go feel free contact info . 
 may 23 2008 	 Great Location Value Money 	 12 year old son allocate hotel package deal Easter weekend . read review TA little unsure . however well . nothing grand fancy practical , clean , courteous place stay unbeatable location mainstream tourist visit . pleasant walk distance Central Park , St Patrick 's Cathedral , 5th Avenue shop , Times Square theatre district . subway stop outside hotel . perfectly adaquate diner attach . there element fade glory . place could bit facelift . would not first recommendation romantic weekend occasion would want spend time inside hotel room outside . however practical place stay short visit see sight NYC could awful lot bad . 
 May 20 2008 	 even princess like like Wellington 	 Due miscommunication husband ( lightning fast click Priceline ! ) , find book Hotel Wellington 5 day . nervous read mixed review Trip Advisor ( even though get room $ 200 night ) .The Hotel Wellington several thing go it:1 . location , location , location . within walking distance much.2 . service - orient employee : receptionist helpful many question . bell hop personable helpful . manager give we free upgrade asking.3 . clean safe . clean , safety issues.4 . Decor pleasant ( sort old glamour , slightly fade ) .if be look reasonably price , clean safe place midtown , give Hotel Wellington try . 
 May 17 2008 	 Great Hotel great location ! ! ! 	 boyfriend stay hotel five night October 2007 ( late review join site ) reseache numerous hotel various location city decide hotel location value money . dissapointe - book hotel direct book standard double room request room high floor . arrrive hotel informed give we free upgrade queen room ..... one good room hotel .... room 27th floor top small balcony . amazing view along seventh avenue across Central Park . room good size clean . comfortable double bed tv . bathroom good size clean . choose hotel base know would day . we amazing time New York every way would highly recomend hotel . heart City give short walk sight Times Square Central Park good value money . could see Hotel date could fact modernising find comfortable excellent location want base could ask . 
