great 	 book two deluxe double double room spacious . bed comfortable . room hot despite turn heat turn a / c . second room plumbing issue . staff really friendly helpful display none superior attitude often encounter upscale hotel . 
 Nov 21 2005 	 HEAT HOT water apology 	 one bad hotel experience ever . aside heat brake whole hotel overnight fix nine hour , treat cold shower complete rudeness staff . upon checkout , single apology hear . booking do online honor . ( request pay King room , avaible , want additional $ 20 get ! ) one come fix break window report . move ask treat rudely process . if nothing go wrong stay , might seem like reasonable place . 's huge gamble . want know something go wrong , staff know handle little courtesy . infintely well place stay good price ny . never . 
 Nov 15 2005 	 please read 	 please read : marcel good place stay . tolit room overflow one night flood entire room less 5 minute . ( room tiny ) completely book night expect stay room night . hotel staff rude never apologize . never stay . 
 Nov 8 2005 	 small noisy nice staff 	 spend 4 night 2 daughter age 16 18 . course charge adult ( total amount 1070 usd ) . though hotel know come teenager , give smoker room ( ! ) second floor ( protest tell & quot ; room available & quot ; ) even room smell cigarette , bed pillow impregnate nicotine . room bathroom globally clean bed confortable . bad street noise . window absolutly soundproof ( right corner 24th str . 3rd avenue telephone booth window ) impossible sleep unless earplug . 's bad nuisance especially want good rest visit New - York ! thank staff absolutly nice , helpful efficient occasion . 
 Oct 7 2005 	 's fine ! everyone calm 	 stay Marcel three day fine- nice experience . read review worried- arrive get good room ( 4th floor ) lousy view . care ? not view . room clean smell good AC ( work ) . concerned bathroom would bad reading review small great . the thing imagine maybe renovate room other . people horrible experience other fantastic , must room different floor . all say good luck . 
 Oct 5 2005 	 Quite reasonable 	 stay 2 night find well have prepare . immediate location good , nice eat drinking place nearby , although maybe bit want flash shopping Greenwich Village . reception look little tired staff seem slightly distracted , ok . let store bag checkout . corridor bite dismal , scruffy depressing . one lift , make get slow . do let give room 2nd floor outside A / c unit . walk straight give front room , ok noisy 2nd floor . enough space bed comfortable . bathroom perfectly adequate clean . bad thing nowhere hang store clothe , even hang coat . overall , would say be particularly stylish claim , quite adequate can not afford pay . nothing fear , apart dread room 2nd floor .... 
 Oct 3 2005 	 bad Ever 	 Hotel AWFUL ! ! ! ! stay away ! bed hard rock , entire hotel filthy , bathroom smell overpoweringly mildew . also , although prepaid room online , sneakily & amp ; illegally double charge without tell check hotel . total ripoff con artist - give credit card number reason ! ! fight get money back charge twice something not worth pay ! bad ever hotel experience , ' m call well business bureau report illegally charge card without tell . 
 Sep 30 2005 	 Good price get street view especially smoke ! 	 stay boyfriend show new York City week April 2005 . french two us cogarette smoker . ask smoker ' room . smoker ' romms situate second floor . first give room 2nd floor view dirty stinkle smoke smell . ask change , get room two day delay street view . still smoker ' romm , noisy windows & quot ; breathe & quot ; little . room relatively small . still , be good hotel , conveniently locate downtown midtown like Soho Nolita also want shop midtown retailer . if afford , go another hotel . 
 Sep 26 2005 	 clean good area late - check fee 2 pm ! 	 Marcel great , especially travel budget make last minute plan . book room Thursday night Friday night ( usually pricey way go see NYC ) room $ 237 tax thru Nychotels . grant , $ 237 not cheap , great location ( everywhere Manhattan accessible area seem safe ) . room not anything special ... be expect Plaza , . happy simply tub clean , bed super comfortable big enough boyfriend would not get upset hog sheet ( add bonus : bed come four fantastic pillow , call front desk call extra ) . else need ' ve get NYC explore ? 
 Sep 23 2005 	 bad hotel ever 	 recently stay 4 nite Marcel Hotel fashion week . price outrageously overprice ; 400 / nite . first room face street extremely loud . although room nice size , phone , room service , mini bar , two towel remote not work tv . air conditioner would wail like banshee every half hour . ask move get small , quieter room side building . get bed around midnight notice hotter get room . sure enough , air conditioner break . guy come take look say would repair tomorrow . pack stuff move . 1 pm get 3rd room , size shoe box . trip finally stumble bed . nite could hear de elevator door opening closing . save misery never , ever stay . call talk manager avoid like plague . people care . obviously not need business ... 
 Sep 10 2005 	 clean great location- perfect traveller budget 	 travel budget , would definitely recommend Marcel . boyfriend pay $ 130 per night ( inc . tax ) - fantastic rate Manhattan . ' ve pay major city ( mainly London ) filthy , decrepit & quot ; hotel & quot ; literally fear safety . room comfortable clean en - suite bathroom . yes , extremely small window directly face brick wall- hey , really go spend time city like NYC hole hotel ? also find service completely adequate- arrive well official check time take straight room , problem leave baggage desk check - out , leave NY evening . unfamiliar city , let stress great location ( use work area ) . be pleasant , relatively quiet neighbourhood , far tourist - trap nightmare Times Square mid - town general . Wonderful Grammercy Park nearby , Union Square East Village ( load restaurant , bar , shop , etc ) . within close range ; plus , 23rd Street & quot ; 6 & quot ; train stop block away take tourist haunt , wish . great eatery right there- let recommend Sunshine Diner right third avenue quick bite ( huge menu portion ) , Capucines second avenue 19th street classic NYC - italian meal . if ' budget simply look take NYC clean convenient base , marcel completely acceptable . concerned amenity breakfast , car parking , view , " atmosphere " look elsewhere- expect pay . 
 Sep 5 2005 	 small 	 boyfriend stay Marcel Sept 4 . room small , would say 10x9 . open door , bed right . clean quiet . room big , would nice hotel . 
 Sep 4 2005 	 Small Nice 	 stay Marcel 's 3 night . room small bed incredibly comfortable . the staff nice helpful . hotel close subway get around Manhatten quite easy . bathroom stock full nice toiletry get free coffee capucino lobby . would recommend use stair get around hotel . elevator slow funky smell . ice always available . would stay Marcel 's 2 people share room . husband 's teenage daughter we get real crowded . 
 Aug 4 2005 	 4 star ? ? think 	 not bad place could stay NYC , near good either . hotel also list 4 star many travel site , can not understand ? make wonder rating system general . room small ( small will get NYC , small ) . light really bad , give room dark , close feeling . room fairly clean , although bathroom could clean . expect hotel , know well . I also worry post reservation get . go check early ( 12 pm ) , not problem thankfully . if want hotel 's price , stay Hudson . Hudson small room , decor much well , along atmosphere . 
 Aug 2 2005 	 Marcel ! 	 two Chicago girl Big Apple comedy festival daunt review ' read ! price right ( $ 127- $ 157 via reservation line ) , would Marcel really turn dump ? fine ! couple glitch , [ insert yiddish grandma voice ] price , could complain ? décor might well describe Ikea Wannabe : ' budget hotel , least try boutique - hotel look . room ( 501 ) tiny , well single traveler , catch peek large room , might able request . desk , view pigeon - stain sill soap dish bathtub . one grandfatherly elevator crackly phone reception . but clean , quiet , come couple toiletry , delicious push - button cappuccino lobby ( morning ) , cd player alarm clock play mix CD , mattress pillow firm . comforter come duvet cover , keep get creep Peoples ' Bedding , front desk staff ' indifferent ( help find nail salon ) , gracious ( thank wine key ) . good , window shade really keep daylight could sleep night town ! 
 Jun 14 2005 	 Disgusting 	 make book reputable hotel discount site 7 night two member family . booking make last year rate $ 88.00 per night , upon arrival hotel advise room available move around corner . ( mind people check advise full ) . hotel filthy ansd unsafe clearly even worth $ 88.00 per night . advise staff member happen time booking make net . surprise , surprise , website concern interested , apologise inconvenience , Big Deal . first complaint type , discount hotel site aware happen , hotel delete database . 
 Jun 9 2005 	 not even think stay 	 anyone could review 5 star not know . book Hotels absolutely screw . room 12 x 12 desk internet despite fact insist internet . rude unprofessional staff . place BAD despite prepayment hotels.com , fact arrive 11pm , leave midnight check decent REAL hotel . 's bad place . way , rate hotelcom , $ 280 so . so , take advice , evemn think stay place , even free . ' m 57 year old businessman . ' ve never experience like . 
 Jun 1 2005 	 yet room 	 book Marcel April year pay front Expedia . know would arive late faxed hotel take confirmation slip . arive hotel midnight tell room available would arange we stay hotel round corner . awful place could ever imagine stay , type hotel sleep valuable ceiling tile , would seem optional . 5 second need realise stand well chance street NY suitcase place . cut long story short find another hotel Marcel reimburse we problem long flight really want chance hapening , think , plenty choose . 
 May 18 2005 	 good hotel price 	 good hotel money . manage get hotel £ 70 night price New York superb . location perfect . shop bar Greenwich East Village easy walk away ( 14 block ) Empire State building . room tiny contain everything need include cable tv cd player . not let size room put though , look great . bathroom small clean nicely design . bed linen perfect change daily . staff helpful polite limo service airport departure good value money ( $ 10 taxi ) convenient . hotel look good picture internet . fault hotel would size room , room really small be read review chance be look value money Marcel certainly . will definitely stay . 
 May 2 2005 	 would love hot shower ... 	 need hotel near medical conference NYU . way great , block street . lot nice shop , delis , etc area . bed delicious , remind european hotel bed big quilt . nice safe room , too . but - arrive Friday afternoon first hot water Sunday morning . staff grudgingly say repairman way might believe except guy check three day beforehand hot water.you can not get ice , ask . want - tip ice budget hotel . Bathroom 's bizarre , nearly fall every time walk bathroom floor tilt badly . also , advert say & quot ; parking , & quot ; not ready pay nearly $ 70 lot across street . 's Fri . nite Sun . morning . extra charge Envoy . sigh . least car safe . look another hotel next time , even mean far away . 
 Apr 21 2005 	 nice worth every penny 	 book hotel flight onlinetravel find hotel great location access midtown ( empire state etc ) town ( ground zero , wall street ) . hotel lobby modern good deco boast supply unlimited supply 24 hr free coffee ! ! ! ( that s city never sleep ) . think brother almost drink dry ! room clean clean day , clean towel daily , hoover daily always get crumbs floor subway deli sandwich ! ! stop fourth floor view third avenue noisy that s part new york add charm . staff friendly hold door every time leave enter building . one point , key card opening door go reception sort straight away without hassle . city amazing worth every penny . forty nine dollar two day tour hop time stay full circle roughly take two hour . empire state cost 13 dollar go top pay extra six get audio tour aswell would suggest anyone . something find leave time free ferry Staten island back dock near battery park . ferry liberty island ellis island cost 10 dollar unfortunately long go top since 9/11.just want say hi heather leave home miss lot trip ( arr ) 
 Apr 17 2005 	 fine ! 	 worry hotel reading review . marcell fine . clean , functional everything advertise . however room much small expected photo foyer . hotel excellent base explore amazing city staff curtious helpful . our tip - use stair .............. wait lift waste shopping time eat Andreas ( round corner , 307 3rd Ave 23 St ) lovely . 
 Apr 15 2005 	 terrible business 	 husband book room Expedia , call twice confirm reservation reiterate would late check - in . arrive hotel 2 morning , room we . already pay full Expedia . 2004 friend book room exactly thing happen . not book room hotel ! ! ! 
 Apr 14 2005 	 Prepaid reservation yet Room give away Apathetic Staff 	 morning schedule arrival , 4/9/05 , Marcel Hotel NY , call hotel able confirm reservation 3 night , make expedia . arrive hotel check hour later , tell woman name Albina FD , behind front desk , & quot ; problem room upstairs . & quot ; tell would move another hotel approximately 30 block away hotel . speak manager Albina . express overall disbelief unacceptable situation . tell reservation pre - pay , ask hotel room could disappear within span hour , demand receive money back . assure would receive full refund . refund yet appear credit card statement become anxious time lapsing still absence refund statement . , rob accommodation , find another place stay downtown within span hour , inconvenience also follow refund credit card , something would expect occur fundamental form customer service reputable company . ultimately disrupt invaluable meeting , family member , later , business partner . already dismay go great length get money back service never receive . far , rob $ 600.00 , either Expedia Marcel Hotel . not know ultimately responsible point , Expedia 's name credit card payee , shall first pursue refund Expedia . I numb apathy party involve thus far , underhanded way company conduct business . 
 Apr 1 2005 	 love 	 hotel really great , excellent value good clean room . staff accomodate need listen every request . enjoy sleep comfortable bed . 
 Mar 22 2005 	 not like hot 	 first impression good neatly dress door guy , pleasant reception staff , tidy lobby . the room boil hot constant heat could not adjust . complain front desk tell due health safety issue hotel keep certain temperature . think neat twist ' 's break ' way cool open window due traffic noise shut night . the bed comfy , one chair stain . tv wooden cupboard angle sit right side bed else could not see screen . light switch main light bed , turn doorthe bathroom adequate , lack space put toiletry , shelf usual hotel freebie it . there one lift 8 floor share hotel staff . a plus point drinkable coffee available 24 hour day lounge . from review post , room hotel consistent standard would recommend . 
 Mar 21 2005 	 Happy 	 love place , recently stay place New York City 6 night arrive hotel really sure expect thinking review read tripadviser , upon arrive , first thing notice seem quite place really , staff helpful , always respond time request , make arrangement transportation airport , arrangement visit statue liberty , restaurant reservation almost everything . I would like thank young lady morning young man afternoon tirelessly work hard guest . I feel bad day see man yell young lady regard reservation 3 - rd party agency mess . anyway , enjoy stay , quite place , small cozy room . will definitely back . TIP : go ignore review bad one people expect TRUMP International $ 30 night . 
 Mar 19 2005 	 disappoint 	 guess not expect much $ 200 NYC even Marcel disappointment . room tiny cave - like heat / AC one set : & quot ; blast furnace & quot ; . comfortable leave window open mean risk allow ledge roosting pigeon enter . bad front desk service . get run around make shuttle arrangement wound take car service Newark Airport . 
 Mar 7 2005 	 avoid hotel 	 get $ 200 New York City ? much , judge recent stay Marcel Hotel calculate cost $ 50 hour sleep manage get . room small , dark ugly beyond belief shade prison grey - green carpet german - style Art Deco brown various pattern make look piece together off - cut . hotel noisy - every time anyone open shut door reverberate corridor making sleep impossible . also disturb guest room opposite mine noisy party door open later wake someone shout obscenitie threat corridor . front desk solve problem call tell . comfort , tv tiny , bathroom cramp thin towel cheap shampoo , coffee , water , room service , fitness facility . room clean check - in staff efficient . 
 Jan 23 2005 	 hotel perfectly fine 	 husband stay week mid January really find fine . first room near emergency stair little loud light sleeper , mention man check we move we problem different room towards back hotel . view not great back , room clean , shower FANTASTIC bed comfy . it be pretty well place not spend time midtown , be within walk distance East Village , Union Square Empire State Building . 's good bar nearest Avenue , comedy club road Lyric diner great close place breakfast be little low fund . this hotel four five star hotel , ? ? ? ? ? ? 60 night Manhatten job , be go perfect , find staff helpfull friendly thing need , local info , cab booking , late check , luggage holding , laundry service ect ect , present correct . also , leave call we car service cab , nice big Lincon , cost $ 50 JFK include toll , ' ve ever get yellow cab will know usefull be . oh , way hotel dirty , simply not , 's discussion . 
 Jan 18 2005 	 never never book 	 book room internet . call day travel confirm room request late checkin tell fine . arrive late night room give away . furthermore , hotel lobby look terrible compare photo . hate imagine room like . dirty man behind desk rude . would suggest book place bad enemy 
 Jan 13 2005 	 bad 	 sataye xmas weekend 2004unlike review great problem . hotel budget hotel - perhaps 3 star bad . arrive get stick lift . problem airport arrival time problem luggage last thing need . 7 people lift get tell mabny people 4 - supririsng sign affect . frondt desk behave like noraml occurance . trip lift fine 4 people therewhen check 2 people although book 3 . get extra bed towel quite promptly continental breakfast + coffee lobby good . linen clean also get car call we last day nice . all bad experience . area quiet think would prefer stay times square upper west side stay previously . I wander say noisy day stay . maybe Xmas weekend area look like residential area - outskirt busy area - Times Square , Macey 's etcThe staff pleasant would say worth stay 
 Jan 13 2005 	 great base happy week 	 book Marcel last minute .com part flight hotel package recognising would cheap cheerful . 1st room give check 2nd floor , take one look point blank refuse stay ( think hotel room Tom Hanks stay movie ' big ' ! ) guy reception accomodate move we immediately room 6th floor , whilst relatively small perfectly form great view Empire State Building . room amenity function perfectly , bed exceedingly comfortable , Bathroom fine . location - wise hotel good area , attraction walk distance , Greenwich , Union Square etc ... also accessible foot , subway nearby attraction afield . surround area good food bar , nearby Hairy Monk Irish bar get special mention friendly staff decent pint ! great week NY could not really find much fault Marcel 
 Jan 12 2005 	 Bad time Marcel 	 make reservation phone internet two separate occasion time reservation & quot ; invalid & quot ; arrive hotel . time , desk manager little way help we locate another hotel , claim mixup unavoidable . second time happen , send we hotel require 20 minute cab ride , cost way make & quot ; good deal & quot ; supposedly give we . two time stay Marcel reservation problem , person hand beverage breakfast & quot ; dining & quot ; room , arbitrarily decide could get one beverage time . not say not warn ! 
 Jan 10 2005 	 Positive review good bargain hotel NYC 	 read review post want share positive experience . budget hotel , room small average clean bed comfortable . Duvet cover bed clean ( white ! ) sheet towel smell fresh also clean white . staff courteous helpful even call town car us day departure . gladly let we store bag remainder last day without problem . two thing problem , heat room impossible regulate . sleep window open ( January ) , elevator could use work . slow . sightseer , shop spree - er generaly anyone look hotel sleep shower would good . business traveler would well elsewhere room business friendly . hear noises bar restaurant nearby review state , even wondow open whole stay . inquire front desk bar one perhaps motel upswing , perhaps pick good weekend stay , feel comfortable . 
 Dec 23 2004 	 not ! 	 good girlfriend stay 3 night . horrible hotel room every see . expect trendy comfortable room near attraction , leave bag eye . room constantly dark , actually take lamp shade see wear . open window shade say ? look right another couple ' room . bed creaky uncomfortable , morning , save grace luxury breakfast warm orange juice stale bagel . close alot attraction , worth hassle uncomfortable bed smelly , dark room . not expect much service ( take 2 hour bring we additional towel ) , clean atmosphere , come hotel . 
 Dec 22 2004 	 not stay need sleep ! 	 stay Marcel several time year since refurbish . first stay relatively quiet ( give location ) undiscovered hotel offer good rate . upper floor refurbish although room small furnish high standard , good bathroom . since however notice marked decline standard , extent long stay . main problem bar nightclub operate ground floor basement hotel . Thursday , Friday Saturday night 's impossible sleep constant thump thump music . one night stay music continue 3 am , get 5 am catch flight home . subsequent stay request room high floor even 's noise make clubber leave hotel early hour , taxis car pick , accompany shrieking shout . ' ve also notice hotel , originally market upmarket business hotel , favour teenager result lot nocturnal thumping , bang door run . last stay end go stay friend nearby get decent night 's sleep ! main issue hotel , hotel management trying run nightclub time present hotel superior destination business traveller , not . 's also problem 's one v - e - r - y slow lift , end wait ten minute leave hotel ; staff friendly enough New York standard thing often seem disorganised , bar double breakfast room look pretty shabby bad wear morning night before . my recommendation would : great be 20 look sleep , old want decent night 's sleep , stay elsewhere . 
 Nov 23 2004 	 not stay Marcel 	 Stayed Marcel 1 night month ago . quite happy check follow morning . even happy follow gut feeling get TripAdvisor user cancel 6 night book first . room get small dark - window face brick wall - ' design ' nowhere find . can not complain service really not get . , lot well NYC - even area Marcel . truly recommend Park South Hotel - nice room , great breakfast , excellent service location ( close 6 subway line ) . 
 Nov 18 2004 	 Great Weekend 	 get hotel marathon weekend always go difficult reading review worried stay Marcel however accommodation fine require . hardly place , want lounge around hotel City explore ; coffee breakfast provide use mountain food re - fill dinner close ? least option ..... staff friendly helpful get cab luggage . problem water temperature . room small side location expect ? hotel not good Manhattan short break reasonable price compare hotel weekend , would go back . 
 Oct 27 2004 	 bad well value available 	 wife recently stay Marcel four night . read review , good bad , remain optimistic stay . bad , rebooke stay another property . on first day arrive early hotel stow bag check - in . return check room 312 . room small ( 15 foot 15 foot ) queen bed one small closet , small bathroom , one window . immediately notice room hot , stuffy , dry . room hvac unit window , turn AC . AC unit get cold 's fan blow air room . even window open impossible get draft go . call front desk unsympathetic say nothing could . eventually room cool , still stuffy dry . wake every morning dry sinus throat . the room clean , need repair . gash wallpaper roman shade fray edge difficult operate . lighting room dim , workspace area . bed comfortable , sheet towel clean , bathroom 's water pressure good water temperature hot . plenty audible street noise room , 's New York , expect ? try coffee machine lobby awful . maintain regularly operate poorly . Starbuck 's one block away well worth walk . hotel 's breakfast bagel juice average . also provide copy Financial Times morning lobby . overall , hotel two star . try boutique hotel clearly budget hotel overprice one . photo internet clearly undergo photoshop magic . guess room fair well other , willing take chance . complain much business trip room prepay . however , would stay much well property stay price range less ( Habitat NYC , Ave , Roger Williams name ) . 
 Oct 20 2004 	 great value ! 	 stay Marcel eight day good experience . yes , thing getting wear fray always book , heavily travel hotel ( whoever lay carpet / hung wallpaper inept ) overall everything fine importantly CLEAN . please keep mind budget hotel , Soho Grand . price , offer lot value hotel ' ve stay area . employee extremely helpful prompt , view 7th floor window great , bed comfortable hard get morning . stay . 
 Oct 13 2004 	 day 7 good ! ! 	 stay generally satisfactory day7 $ 770 worth cash traveller cheque take room ! ! ! ! hotel safety deposit box room safe find incredible hotel chain 4 2004 ! ! ! Horay person go room obviously need , & quot ; live learn & quot ; say go enjoyable day hol despite incident ( new york police dept certainly experience ) would advise hotel ....... trust much ask . reputation build upon , although hotel good location advise anyone stay ! 
 Oct 12 2004 	 Marcel great we ! 	 one thing tell review Marcel must inconsistant . however , family ( 3 room 2 night ) , great ! staff helpful nice accommodation pleasant . honest , room not seem exceptionally small NYC hotel price range . say room 407 , 803 , 804 nice . air conditioning ( something review complain ) fine . , perhaps request one room satisfied . 
 Oct 10 2004 	 Great Hotel 	 september 23th till october 3th 2004 10 day Marcel hotel . we day arrive , till day leave , good experience hotel . we know room small 3 adult bit small could manage , can not expect much money pay room .... arrive one directly come help us taxi , desk get nice reception staff get without problem card ( key ) go upstairs . as enter room , put light saw ( small ) room 2 double bed tv gameconsole kid ( pay game film ) 3 adult 's enough space use room 4 adult 's way small , good 3 people ( adult ) be sure . the room clean every day service guest superb ... nice friendly staff . the hall downstair morning breakfast hall toast bagels cream cheese jam get fresh coffee orangejuice every morning . there also expresso machine get much coffee drink many way . but must handle machine , sometimes coffeebeans will not go ( man serve breakfast morning , make sure lose bean plastic knife coffee container top machine .... LOL ) machine grind 's coffee make expresso capuchino ever want make ...... everything go well stay , course customer , get bargain ( budget hotel ! ) ... hotel 97 room sometimes go wrong .... case everything go smooth pleasant .... tip stay 3 adult make sure get enough towel toilet paper ! ! ! ! ! hotel can not go wrong money pay area ! ! ! ! ! ! ! ! ! ! great area eat drink ! 
 Oct 3 2004 	 beware ! ! 	 New York many time far absolute bad hotel ever stay . make even bad first time bring child . really want wonderful time , hotel ruin everything . always read review stay soemwhere read one already publish bit wearly . late one however portray picture thing may hvae unpleaseant past fix . wrong ! ! airconditione room never work call front desk could care less . toilet room constantly back staff seem care . knew stay entire week ( 7 day ) put room nothing work . never stay suggest none else either . 
 Sep 21 2004 	 good experience long weekend . 	 sister stay 3 day weekend . love location Marcel . staff friendly accomodate every level . bagel juice quite good . complaint would lack hot water . hard turn knob far enough make hot . hot water knob sink keep pop . wall thin 's New York City . go hear noise 24/7 . bed comfortable . 
 Sep 13 2004 	 underwhelming 	 place try hip , unique boutique NYC hotel , be pretty rough around edge ... i.e . clean bit tattered . decor remind Ikea - cheap . service indifferent , even smile walk entrance . not expect anything beyond & quot ; frill & quot ; amenetie . room call & quot ; Cave & quot ; . tiny window small hallway serve purpose face another hotel room window back hotel mean depressing , dark dreary room , mention fear neighbor could look room shade . husband arrive day first arrive would ask different room consider stay 9 night , tired not picky . bathroom nice clean arm hit toliet paper dispenser everytime sit loo small bathroom . a / c high entire time keep temp comfortable , even though hot outside . location hotel fine pretty centrally locate . , range price , find well place New York . 
 Sep 10 2004 	 good experience 	 Marcel nice , clean hotel funky decor . room nice bed really comfortable . air conditioning seem bit noisy first get use least drown noise Third Ave . problem encounter lack hot water hotel . week , two day , hot water ( rest hotel ) . reception staff not sympathetic keep say problem would fix ' in hour ' complete lie . really hot NY not pleasant spend day sightseeing go long - haul flight without shower ... 
 Aug 30 2004 	 not expect much will great 	 arrive , need present credit card . not one , pay $ 200 warrant . refund without problem friend help we out . we problem staff , AC work fine room clean . toilet not flush properly . tv 20 channel , include NBC , CBS , FOX , ABC , ... Nintendo , guess will pay . also order recent movie tv . nice shower , low bath , nice bed . lot noise 3rd Avenue hey , NYC . not bother we . if look nice place rest head : . not stay be look much . 
 Aug 17 2004 	 terrible experience 	 voucher 3 person ( 2 adult , 1 child ) . arrive quite surprised see room offer we one bed ! say will put bed child , space room bed . not accept get offer room two bed . room locate towards backyard dark window cover . outside window pump noise 24hrs . electronic key never work . least room - tell - room next . include breakfast ok italian coffee machine marvelous . 
 Aug 9 2004 	 horrible experience ! ! ! 	 go NYC long weekend escape ( 4 day ) sleep different bed 3 night stay Marcel . first day get , husband notice room feel little humid thought : & quot ; hey , problem maybe hour will get cool , get ! & quot ; hour turn never call air conditioner fix . come , see , not fix give & quot ; upgrade & quot ; another room , even bad one . offer move another hotel since dissatissfie wait ... room available . already 1 o'clock , decide sleep little oven deal problem morning . call front desk verify go move idea talk . , offer & quot ; upgrade & quot ; another room guess ? ? ? one do not air conditioner either . surprise , surprise ! ! ! ! go front desk card key collection explain situation ... really not care . , give & quot ; downgrade & quot ; ... yes , go penthouse second floor , full size bed , smoking room , air conditioner work 4 minute every 2 hour . last night decide give . cool outside hotel , spend time explore NYC go hotel take bath sleep little could . not recommend hotel anyone . ruin little vacation . 
 Aug 9 2004 	 excellent 	 kind nervous see hotel like since first time NY , hotel excellent . room small , expect Manhattan . clean . hotel general clean . bed sooooooo comfortable . offer free continental breakfast hard come New York , close 6 train . problem water pressure suck staff could happy , would stay . 
 Jul 26 2004 	 terrible experience 	 come NY friend 9 pm . reservation 1 double room 2 double bed . luckily , printout confirm prepaid reservation . upon arrival hotel clerk reception desk inform we room leave ! show printout , tell care much , room leave . first time extensive experience hotel clerk could either rude , blatantly unhelpful . honor reservation , instead send we different hotel ( Bentley ) belong chain . receive apology , hotel staff equally unpleasant . know owner several hotel around NY , would like warn anyone stay hotel ! service non - existent , staff out - right rude . hotel Bentley , also like location hotel . far anywhere might want go , area go dead 8 pm unusual ny . ware hotel Bentley Marcel ! 
 Jul 22 2004 	 would stay business pleasure 	 hotel look far nicer considerably spacious look Expedia . front desk friendly helpful ; unfortunately , hotel furnishing ( room lobby include ) remind wear ikea furniture , modern , not necessary make want stay . little thing notice stained drape room well bathroom air freshener ( yes , pastel disk public bathroom ) stick wall elevator . hotel need facelift , be certainly cheap . would stay business ( stay low cost hotel ) , would choose hotel leisure visit . 
 Jun 28 2004 	 efficient clean cheap quiet comfortable bed . 	 room 511 . excellent room couple . quiet , clean , efficient . not expect wait hand & amp ; foot , expect quick check - in check - out , well courteous staff . bed comfortable , sleep . room small , well design use space . ESPN , though . definitely go back . 
 Apr 12 2004 	 good price 	 stay Marcel week April , little apprehensive arrive review site . compare contributor say ? true hotel could remodelle - look like underwent makeover year back not touch since . however , happen , ' m sure room price would rocket . get adequate - sized room ( case pleasingly large comfortable bed ) , great location ( handy midtown downtown good subway link ) , complimentary breakfast ( unlimited tasty bagel ) , well efficient friendly staff . want moderate budget , go . find far bad Manhattan similar price ! 
 Apr 2 2004 	 Good need little bit 	 stay Marcel 4 night . first good : staff pleasant . greet doorman , lobby cappuccino machine wonderful continental breakfast nice touch . really like decor well , simple & amp ; stylish . yes room Manhattan small . Marcel , see single bed room glad not stay one . double bed room good size city . shower fabulous hot water time . hotel location wonderful . friendly pub , grocery , & amp ; diner right block , Walgreen 's street & amp ; convenient # 6 train , bus stop right outside corner . hotel really potential great , need little attention detail , leave lobby area lose glimmer . one ( slow ) elevator entire building , staircase use primarily maid staff -- end service area try take . AC ' work room open window look brick wall roof . screen window , nervous many visible pigeon make way room keep window open high . unlucky we neighbor wake we 4:30 a.m. morning , shower pipe seem rattle . would stay , price , would really like see improvement quality facility . 
 Mar 31 2004 	 need Excellent Managment Staff bring life ! 	 Small centrally locate , hotel could use work . completely ready small room since travel NYC know small room normal . since concidered & quot ; boutique & quot ; hotel , thougt would pay attention detail , however , airconditioner would not perform normal unit would . desk staff friendly accomodating . music lobby loud enough start party . cappucino maker lobby nice touch continental breakfast complimentary . use gilchrist soame bath product raise boutique level hotel , feel seem musty , bit dirty definite need excellent management staff could easily make little gem hotel stay . note , ' m guy bed , bathroom , airconditioner normally require however one item not run properly , tend get bent shape . ' m simple go boutique hotel not simple easy fix , seasoned traveller tell other . end result ? would stay ? ? ? yes , damn AC work properly lock would give proper sense security . hope enjoy travel wherever go . 
 Mar 28 2004 	 great value money ! 	 stay Marcel last weekend quick trip NYC . great place stay be look place sleep tight budget . bed large , comfortable , look exactly like picture hotel 's website . picture convey well small room . however , New York want would average sized room anywhere else , expect pay . bathroom nice marble pedastal sink . view Empire State Building unexpected , nice . also stay Ameritania prefer Marcel well light dingy look Ameritania . 1 elevator slow small . stay Marcel heavy packer load luggage little space store regular room . idea much space availabe studio . however , will city short , Marcel would great place , especially want save money fun activity city ! 
 Mar 15 2004 	 Good Budget Hotel 	 stay Marcel Hotel last week apprehension read review site lack heat . , friend recommend hotel , say decent place despite small room , decide give shot . the sleep room definitely small , need place lie head night , will . bathroom pretty nice marble floor tile pedestal sink . love pedestal sink , not much space put toiletry down . the decor hotel room minimalist chic remind ikea furniture . like furniture decor lobby lounge . a nice feature Marcel offer free bagel , orange juice coffee morning ... many place offer complimentary food anymore ! big complaint room way hot ! ( opposite review ' ve read ) oven walk turn cooler help evening , wake next morning , cool air turn hot air sweating roasting ! call complain ask heating / air control tell central heating could control individual room , send engineer help open window help immensely ! side room face E. 24th St. since sleep window open would not sweat death , end sleep well due noise street below . the wall thin , hallsway narrow , elevator tiny , be still decent hotel price be pay . I like area less touristy residential ( be near college ) nice walk Greenwich Village Soho . the price get hotel $ 109 , think could little less get ... like $ 89 - 99.but , since 's New York City , $ 109 probably still good deal . 
 Feb 20 2004 	 think great 	 also bit worried , read bad review leave England . however , pleasantly surprised . hotel staff helpful friendly . room extremely clean warm . breakfast include price add bonus think price room . coffee available time free charge downstair foyer . would certainly recommend hotel . 
