location 	 agree early post , decor look slightly tired , could possibly facelift , location superb , view central park spectacular , subway 2 minute away , 5th 6th avenue.time square 15 minute walk rockefeller centre empire state building .A great alternative afford Plaza , Ritz Trump , overall good value money . 
 Jun 1 2006 	 cheap unclean room ! 	 take daughter look college . excited stay look photo . start hardly staff desk . finally get room wallpaper come . ice bucket tell ice machine look . need call room service pay ice tipping ! New York hotel I ve stay say favorite ! staff bar rude nose air . like even compare bar Rome ! furniture room look cheap old . Wellington nice room , that s low I ve New York . may spoil New York Palace expect hotel . get room 300.00 , go agead much well price around area . promise ! obviously think hotel beyond people serve . the guest exactley guest treat like one ! 
 May 30 2006 	 Disappointing 	 plus side hotel good location , directly across Central Park 5th Avenue . deluxe city view room good size . unfortunately negative greatly outweigh positive . antiquated hotel need refurbish throughout , quite shabby . staff quite rude , lift absolutely dreadful , sometimes take 10 min arrive , add frustation eagerness hit city , often find go could go ! room dire need good spring clean , although sheet clean , bedspread grubby . distinct lack electrical point television volume set fairly low level , therefore sometimes prove difficult hear . on check - out , hand receipt without even much smile - certainly ' thank custom ' , ' we hope enjoy stay ' . , little disappointed 25th wedding anniversary have hope everything would perfect . 's shame staff not realise smile cost nothing , courteous cost nothing , majority pay guest take lot hard earn money actually stay hotel . simple smile go long , long way . 
 May 17 2006 	 Nice Old - School Hotel 	 Central Park South Hotel nice enough place stay . would particularly suit ( affluent ) elderly relative use good service , afraid pay . room blandly furnish sort 80' / french provincial fusion . immaculate , good sized price , especially consider Midtown Manhattan . restaurant pleasent , bit stuffy , place lovely view park . experience & quot ; rude & quot ; staff stay . professional aloof , befit hotel type . indeed , find refreshing around hotel employee know job , not feel need & quot ; pal & quot ; .My complaint bed bite mushy taste , need electrical outlet , particularly desk . plus side , internet connectivity complimentary , tv nice large flat screen . in - room fridge nice touch also . 
 May 2 2006 	 dreadful service rude staff good location 	 reviewer say , location hotel excellent . say recommend . never stay somewhere staff disintereste guest - check , conceirge desk , bar etc yet expect good tip . last day husband carry suitcase wait cab . one staff , without say word , without smile even look we , lift one suitcase trunk . despite brief unwanted assistance husband hand $ 2 , assume regard inadequate effort response & quot ; hell call ? & quot ; . Charming , think . lift dire need improvement - occasion wait 10 minute lift walk really option be stay 38th floor ! one main reason choose hotel boast high tech plasma screen internet capability room . look good not work despite call reception every day never work . apart location , generous size room , struggle think anything positive say hotel . certainly would not go back . 
 Apr 3 2006 	 great view large room 	 stay Helmsley Park lane 3 night busine trip March . negative : check bit chaotic . mini bar 8 hour flight . tv great do not complain probably could sort . internet access ok could wifi . positive : room big , view , location , breakfast ( expensive ) . would return would recommend hotel weekend type break . note : book line quote $ 265 night reception guy try charge $ 375 ! , pretty good value . 
 Mar 24 2006 	 ` ` Leading Hotels World '' joke . horrible place . 	 spend 2 day hotel business trip March . properly redecorate management replace , could wonderful glamorous , give structure location . . shabby , badly run poor attitude customer service . first could not find reservation , even though speak phone day . 30 minute panic several call , figured & quot ; old & quot ; system . apparently replace reservation system , no - one thought know look . thing happen colleague check next day tell hotel staff solve problem . second , hotel internet connection , essential day business traveller , time . even tech people claim seem know nothing . someone outside company & quot ; working & quot ; tell . morning departure come 30 min , . force go work Starbucks , couple block away . terrible , expect $ 200 . refuse request form compensation ( breakfast free movie ) , say internet access & quot ; courtesy . & quot ; , price 's courtesy . third : spend bit fix : give remodelle room . do repaint repaper wall put back old , shabby furniture horrible red carpet . fourth : LCD tv fritz . seem like everyone 's . work , large box keep pop block middle screen say something software installation . fifth : staff restaurant unbelievably rude gruff . old - world sort rudeness , one would ok even amusing old ny deli , hotel call one & quot ; Leading Hotels World . & quot ; plus food really awful , hugely overprice . 
 Mar 23 2006 	 yike . 	 say two thing front . one , usually travel business , stay expensive hotel . two , pay $ 210 room , pretty cheap NYC . nevertheless , place bang need complete gut reno . check - in clerk upgrade , imagine non - upgraded room like . two double bed bizzare old floral bedspread . room deep green , nasty carpet , match nasty wallpaper . almost comically date , dank wear . bathroom desparate need updating , crack tile , ugly old brown bathmat , etc . enter room , half - empty snapple bottle nightstand . big heavy wire God - know - what run right carpet , loose . plus side , quiet , good toiletry , wake truly breathtaking view Central Park . $ 210 , not complete disaster . pay $ 300 , even $ 275 , would outraged . helmsley people really stop market luxury hotel . be even close . 
 Mar 20 2006 	 Fantastic 	 stay Saint Paticks day , 2 block parade , great park view , could see hear parade room , however distant . arrive 1 pm , upon check alot people camp lobby , tell we would hour , 3 - 30pm atleast tip man check - in desk , bingo , room reaady upgrade junior suite within hour , sweet indeed . room recently renovate , spotless , plasma tv , wet bar , fridge , around good experience . 
 Mar 15 2006 	 arrogant employee dumpy room ! 	 friend stay one night . spend less 12 hour hotel , easily discover overrate worth money ( would not pay $ 50 / night , get well service Motel 6 ) . decide change hotel low manhattan central park ask same - day stay room available . front desk manager say book solid . literally 5 minute later walk outside call helmsley chain ask available room quote we price 230 Park Lane book . 10 minute decline walk back reservation ! earth would desk manager LIE vacancy ? request non - smoking room , sure enough room reek dingy tobacco dirty ash tray . call front desk move non - smoking room . display quite attitude , move we new room equally abysmal without tobacco smell ( learn least 2 available room oppose zero first tell ) . upon checkout ask concierge cab fare LaGuardia . say would $ 50 , course direct cabbie go , total price drive $ 22 . spend less week life New York seem fit concierge position ! obviously Helmsley Park Lane island complete incompetence , unjustified arrogance , complete ineptness otherwise wonderful city . location great , uppity snootiness rudeness employee seem futile attempt compensate rubbish hotel , comparable holiday inn ( would big room might add ) . chic picture font website decieving . stay Hilton desolate Ground Zero area low manhattan much well experience . staff Park Lane make we feel unwelcome uncomfortable . quite frankly , hope worker hotel go business find homeless like people right outside door hotel 's 58th street entrance ! live street may help curtail arrogance . stay budget RedRoof type hotel , certainly worst HOTEL ever visit ! would not reccomend even hotel book , stay Queens Bronx staying . 
 Jan 3 2006 	 great hotel love 	 great hotel . spend nine day christhma . everything wonderful like review . french know & quot ; raffinement & quot ; & quot ; élégance & quot ; . location well . view park view room magic . hotel provide great service concierge deluxe room - service . lot personnality comfort palace . could british french class .. definitely go worth ! 
 Nov 16 2005 	 little worried 	 yes hotel decor urgent need update hotel chintzy feel . however allocate city view room 29th floor partial central park view well . everything hotel room work adequate price pay . plasma TV break one day repair within 15 minute . the real redeem feature hotel proximity major site like central park , time sq , Empire State , Rockefeller centre , grand central Chrysler within easy walk distance . must contemporary hotel area struggle find one Helmsley acceptable bearing mind day . 
 Oct 11 2005 	 great location - great hotel 	 reading review feel bit apprehensive - boyfriend book hotel anniversary trip ny find hotel price range competely sell - upgrade hotel . after long walk 42nd st ( not realise NY big - what mistake ! ) arrive 2 pm ( hour early check - in ) find staff friendly helpful give we choice queen size room straight away , wait til 3 pm king size - quite tired travel - want make afternoon decide take queen size room - opinion plentiful ! really good size ( small like many say ) even large flat screen tv . we 30th floor city view ok , nothing special least let plenty light ! maids polite even leave chocolate pillow turn down . the decor bit scratch hallway bellboy trolley apart everything else top - grade . I would recommend use 59th St subway stop - 's underneath Plaza , two door away convenient . remember buy metrocard hand will visit vendor 60th St get card . also be entrance hotel 58th St not forget be walk back uptown - save foot extra half block ! 
 Oct 10 2005 	 Location yes truly need makeover ! 	 pleasure stay Park Lane 20 year ago & quot ; much change ! & quot ; mean MUCH - decor furnishing guest room , hotel 's lobby , elevator hallway ! clearly hotel look & quot ; tired & quot ; need complete makeover restore luster two decade ago . I read review Trip Advisor prior book Park Lane really 50/50 . give hotel 's awesome location , decide & quot ; see myself . & quot ; check - in speedy pleasant . book Park View room high floor . though hotel 48 floor , assign room 24th floor ( ok - view ) . many review read mention item need maintenance upon arrival room exception . a / c noisy sink faucet would completely shut . add problem one stain pillowcase 1970 's furnishing proceed back front desk ask room change . front desk clerk convince maintenance dept . would resolve plumbing , a / c & amp ; linen problem . accept pleased upon return short walk , item , fact , resolve . question , though : would not housekeep maintenance simply maintain room daily rather wait guest arrive complain ? rest stay pleasant . king bed & amp ; pillow sizeable comfortable . mini refrigerator bathroom in - room safe handy . water pressure excellent . the staff ok . seem worn , like hotel . problem . seem little motivation . I member leader Club Leading Hotels World . pleasure stay many fine & quot ; Leading & quot ; hotel throughout US world . though Park Lane still carry list & quot ; Leading Hotels & quot ; distinction escape . far one would expect & quot ; Leading Hotel & quot ; publisher reconsider Park Lane 's standing . good part : location unbeatable ! ! ! Central Park South fabulous place stay ! Book PARK VIEW room . otherwise may disappointed ! spend extra money ! view good ! 
 Sep 26 2005 	 much well expect 	 give awful review , doubt hotel . book one hotel leave vacancy short notice . find perfectly ok . room reasonable size ( city view standard double bed ) , bit tired decor , acceptable . bathroom fine . complaint really . think expensive , hotel New York ( amazingly ) . lift bite slow - six 46 floor ( think ) . one day 1 lift available two break three reserve UN delegate , frustrating . fancy computer base TV ( hotel info , web access , pay movie , etc ) not work properly technical support people useless , not go New York watch movie anyway , not care . staff deal courteous friendly , without hand stick endless tip seem mandatory US . happy would stay . perhaps next time experience may good , say ? incidently , location can not better . 
 Aug 30 2005 	 delightfully surprised treat well 	 arrive 11:30am Friday 08/19/05 . doorman meet taxi help luggage . check without wait . explain first visit request nice room . surprise delight , upgrade Jr Suite . view park spectacular . yes room decor gaudy chair desk miss piece ... however , large king size bed , flat screen tv , three closet , robe slipper make minor deficiency ... bathroom tile attractive , shower water hot pressure good . plenty clean towel space thing . bellman see dressed nine without umbrella ( raining ) offer Parklane umbrella ... make feel special .... concerige ( man ) stuffy , specifically ask , least phone available want make arrangement . location superb ... directly across park , next door subway , close Columbus Circle shopping . would definitely try ... try real hard disappoint not get upgrade next time . 
 Aug 24 2005 	 pleasantly surprised ! 	 Glad not cancel due negative review ! wonderful stay ! party 3 room book 3 night 3 different floor .......... clean , nice view ! yes , little outdated worn can not beat location price [ book 4 month advance ] . staff friendly helpful many question ! purchase Gray Line ticket directly concierge- - - carriage ride Gray Line pick up right across street ! 
 Aug 4 2005 	 Rubbish hotel 	 stay June year honestly say decent thing hotel close proximity Central Park . reserve non - smoking quiet room arrive late flight London , die get sleep , horrified find take 20 minute check desk owe incompetence reception staff . start , rude , arrogant , totally unprofessional . man initially speak check desk unhelpful merely pass we onto another man , seem totally ignore we eventually 15 minute ( without speak ) give we key room ! joke . room well , do not get quiet room non - smoking room ridiculous really frustrated point . room small , would expect money pay . rest staff equally unfriendly make feel uncomfortable stay . sorry , redeem feature , Central Park ! 
 Jul 22 2005 	 get away murder 	 stay hotel five time last ten year . get bad , reason likely relate management onwner - occupy suite upper floor . female concierge aggressive offensive . last trip complain broken lock , crack tub , etc . man front desk actually say , & quot ; 's kind room get book hotel consolidator . & quot ; hotel need update , staff need understand traveller , especially New York , Central Park South , expect treat decent manner . never return hotel , unless , course , upgrade , change ownership occur . it not matter get decent rate -- be worth con ! plenty hotel exist similar price range , properly furbish room , pleasant staff . 
 Jul 17 2005 	 complaint ! 	 read poor review hotel bit trepidant great stay . location perfect - right Central Park right beside subway station . room not spectacular clean pretty air condition . room service price ( course ) outrageous little cafe right next door hotel 58th great coffee , breakfast snack . lady - send partner bring back coffee breakfast shower ! work gym find not hugely top line adequate enough good work - out . would definitely stay . 
 Jul 13 2005 	 horrible ! ! ! ! 	 bad experience ever one hoetel ... ever ! could give zero would . book three night , check first night go real hotel . staff ( manager ) rude unorganize . not keep room wife request . want upper level room non - smoking king - size bed overlook city . late check - in fail reserve room we promise . say could give we room smoking floor spray lysol room ! kid ! besides decor date quite offensive wife asian . I would book hotel unless really desperate . many choice New York . want feel miserable stay . 
 Jun 20 2005 	 poor service high price 	 make reservation hotel member lead hotel world . sure find good hotel service . hotel old , bath little service poor . buy 2 hamburger without drink room service pay 100 dollar ! staff absolutely friendly . however , position good . 
 Jun 16 2005 	 Great Location 	 great location across Central Park . ; easy access subway , Rock Ctr Times Sq . Mickey mantle 's right next door . lot quieter stay Time Sq , far away ( not spend half weekend waiting elavator ) . refrig room nice convenience . room good size , closet . time begin remodeling room , far & quot ; run down . & quot ; think good value price staying year . 
 May 26 2005 	 Far four star Hotel 	 thing say good hotel view & amp ; location awesome . however staff rude completely unprofessional . place really need makeover . would never go back Hotel . 
 May 23 2005 	 Love NY 	 great hotel price . compare outrageous price ny , rate Parklane reasonable . ( still little pricey old hotel ) Location everything city really location great ! ! ! next door famous Plaza hotel across street central park . high end shopper also next 5th Ave shop ( bergdorf , Tiffanys , prada ... get idea ) . location make easy get everything . sub right , cab , even carriage ride start front hotelThe hotel gaudy-80 's feel golden banister red carpet clean really need . would glamorous late 80 . although . room small ( normal NYC ) not spend much time anyway . city fill much really shower , change sleep . find great little deli street grab coffee bagel every morning . shortage place eat around hotel . room equip Internet tv channel tell everything available city find . like hotel give we map make easy get around . happy hotel . plaza decent , clean affordable . staff hotel friendly helpful . not know people say New Yorkers rude everyone friendly feel safe . incredible trip location often see movie tv . would stay . 
 Apr 29 2005 	 40 's 	 daughter stay Helmsley across park fine experience . arrive two hour early , imagine , traffic NYC ! sit 40 's , decorate , restaurant room ready , two hour later . fault , get early . offer we & quot ; smoking room & quot ; one bed , opt wait one reserved weekend . cozy private spot restaurant comfortable high back chair lovely view park . service wonderful . tea small cup asparagus soup , ate get , bring delicious warm bread basket variety homemade treat . location excellent . be directly across street park two block FAO Schwartz . subway also two block away Columbus Circle take everywhere . eat north side west side park hotel convenient spot . also able walk show see . ( go see , WICKED ! ) staff courteous . arrive room , room clean bathroom fine . really not think ' decorate since 40 's . mirror gaudy red gold wall paper everywhere , flat screen , plasma TV & amp ; computer hookup well . make laugh ! ' extremely decorate , triple mold gold leaf everywhere . think finally upgrade , put MIRRORS ! believe ' french provincial . really not mind decor interested LOCATION cleanliness ! tub bit yellow spot mold starting grow drain work . call tub repair complete 20 minute . alarm clock ' work phone make rattle sound use , vacation really ' really care anyway . make we laugh . , would go , price right $ 190.00 night . 
 Apr 17 2005 	 Leading Hotel 	 stay several week summer 2003 renovate NYC apt . hotel fall far short midtown hotel ( also spend time ) - uneven cleanliness , horrid decor ( try several room since book lengthy stay advance ) , poor service , motel atmosphere lobby . can not imagine reason stay unless every three - star hotel town book . 
 Apr 6 2005 	 not book boss ! 	 plywood enclosure reception / check - in area , hole wall room , rusty bathroom fixture ... location find saving grace property . certainly would expect 3.5 star hotel . make mistake booking boss 's daughter ... bet will not make mistake ! 
 Apr 5 2005 	 Loved hotel 	 wonderful time wife 3 year old child . staff wonderful , room little large expect New York hotel . would definitely return time time . get really good deal book online 3 month advance helmsleynewyork . reccommend hotel anyone travel New York business pleasure want heart near Central Park Times Square . 
 Apr 4 2005 	 RED room ! RED ROOM ! 	 First check garishly decorate blood Red Room ! ! quite scary ! ! move hall room beige blue much easy eye . Carpet dirty well tub . large flat screen tv nice bit difficult figure . internet access seem constantly technical difficulty tech support helpful . second room good size even NYC standard . location course great bad price neighborhood . move red room tip maid everything else pretty smooth . okay . might go back red room ! ! ! 
 Apr 1 2005 	 stay hotel 	 stay Helmsley park land 26th december 2004.on arrival awful flight greet hotel staff reception . they seem quite nice show room shock , 5 star hotel quote virgin holiday . hotel 3 star . take daughter sister christmas treat , start finish hotel get worse bad . hotel room shabby wear , dirty bed linen towel nice either , wire light hang wall , t.v old last leg , wallpaper picture shabby . say location fantastic pay extra money stay plaza , afternoon tea , really something else . the city view wonderfull that s . hotel need total refurbishment even toilet reception . if bugete holiday 's badly price , would stay hotel . room service joke 3 time ask could 2 hot chocolate 1 coke , tray still sit next day , even order food room service take forever poor stay room till next day , even though rang 4 time ask table remove . far tip concern expect something direction ! say stay beautiful plaza hotel 4 door along wish . ! 
 Mar 30 2005 	 great location hotel need update 	 Stayed Helmsley meeting . glad spend money stay . specific problem hotel , much outdated need renovation . room clean , shoe shiner nice touch , flat screen tv nice , look place decor . size room disappointing price pay . bathroom sink water pressure low , maybe due sink drain slowly . stay less expensive hotel large nice accomodation . breakfast restaurant expensive food good quality well diner . maybe critical , expect well . 
 Mar 28 2005 	 stay location 	 's right Central Park South ( 59th St. ) , Plaza Ritz Carlton . 's 's good hotel . hotel hopelessly outdate garishly decorate . hallway peel , scratch ( luggage cart ) wallpaper , hideous carpet crook mirror ( even damask fabric lining wall elevator peel ) . hard believe member Leading Hotels World . suite 33rd floor face Central Park -- purple carpeting silver ( spray paint ) baroque frame upholstered headboard . Flat LCD tv receive handful channel -- old , conventional tv still sit plastic stand next desk . outdated bathroom -- hair sink tub upon checkin . room heat 77 degree check -- way warm . location important thing snag great deal , might hotel -- will not stay . 
 Mar 25 2005 	 Great Hotel great location 	 stay girlfriend recently really impressed - location absolutely excellent - Fifth Avenue two minute walk Central Park . although hotel decor taste - bit 1930 's , everything really clean service brilliant . get rate £ 100 night double room - brilliant value NYC . room partial view Park everything need stay . would definitely stay can not understand negative review site ! 
 Mar 1 2005 	 terrific weekend ! 	 stay last weekend see Gates Central Park . find good room rate call hotel directly , well Expedia , etc , helpful also important guarantee view park . ( advise ; not send confirmation unless ask - bit unsettling ) view ! people say peel wallpaper , etc , true . room keep well . however , linen clean fluffy , bed satisfyingly firm ( king size - yeah ! ) , shampoo Neutrogena , hot shower great pressure heat staying power . make bathroom spa ; wonder wallpaper peeling ! upgrade flat - screen tv 's work well . nice tech guy address problem seem overwhelming . well ; not want turn away view window anyway . good , treat wonderful courtesy hotel desk clerk . arrive 10 red - eye flight West Coast . though room would available 3 pm , lovely clerk see exhaust little boy find vacant clean room we anyways . make difference world trip , reason alone would return , wonderful hot shower priceless view location bonus . 
 Feb 25 2005 	 still ` ` Queen Mean '' 	 owe family emergency , partner , make reservation Expedia , could not arrive day . start try change name reservation two day early . arrive , nothing do . reception staff surly unhelpful , make clear problem problem would rent room someone else pretty soon . hour telephone call Expedia hotel ( not answer ) manager finally accept change name reservation , say & quot ; 's policy , will you . & quot ; even though tell two day possible do ( include member hotel staff ) . first , thought have pick one sour apple barrel , overhear conversation elevator make clear another family similar problem ( check misplaced staff follow plenty unhelpful attitude ) . room so - so repair ( leaky faucet , nonfunctional thermostat ) . maid floor , however , friendly helpful . view terrific . 
 Feb 11 2005 	 Brilliant 	 boyfriend stay week Helmsley Park New Year . hotel perfect , check - in fast give choice room good view / small room poor view / big room . choose first option tell could change next day want . room view fantastic . staff always helpful friendly , room clean everyday . safe work initially fix within minute . eat hotel restaurant , expensive budget worth . orginally book Hotel Penn stay change review site worth every penny . 
 Feb 10 2005 	 Horrid Four Nights 	 stay January 2004 4 night find supposedly 4 star hotel really rate 2 star . bathroom small , old , great need retile due & quot ; grunge & quot ; instead grout . find blood stain sheet . contact management although compensate two free breakfast ... stuffy , creepy , overly price dining room . would never stay even though location fabulous . 
 Jan 31 2005 	 garish decor great location 	 stay Park Lane January 2005 . excellent value NYC hotel avoid peak holiday rate . pay $ 179 night 25th floor room city / partial central park view . stayed pay less $ 300 full park view . location view , combine reasonable rate , make hotel good value . the decor garish . much gold , mirror chandelier make feel like casino fancy ball room hotel . furnishing , questionable taste , nevertheless high quality , clean well maintain . check - in service bit frazzle , bellman room service first rate . will not disappoint pay $ 200 cityview room $ 300 park view . 
 Jan 30 2005 	 poor hotel consider 's four star status 	 unimpresse suppose four star hotel . expect luxury elegance sadly disappointed . place look tired , grubby need facelift . pushy bellhop give choice take bag stand wait give tip walk without thank . check - in staff unattentive seem somewhat overwork running place . would recommend hotel anyone find unbelievable Plaza class clearly world apart . location great count little hotel poor . bathroom look like something 1970 's motel peel waterseale melamine sink surround 
 Dec 31 2004 	 Great Hotel Excellent City 	 stay 18th-22nd december 2004 , think hotel great , excellent location find staff helpful . pay top dollar room , room , stay 33rd floor large room kingsize bed view central park , view make special take girlfriend NY ask marry . come monday morning 1 & quot ; snow cover central park , later day purpose , spectacular . grant room need update everything work include thermostat . honest want romantic view park warm tidy hotel room , mean go new york stay room day.the room clean twice day , could fault hotel service . 
 Dec 20 2004 	 3 Star overall / overpriced . 	 familiar concept grade inflation ? theory concept also work regard NYC hotel room , hotel grade inflate 1 star . word , 4 star hotel would consider equivalent 3 star hotel another city ; 3 star equivalent 2 star anything probably ' want talk . look one sentence summation hotel , remind Hilton Sheraton , solid 3 star hotel . another city , hotel would acceptable 1 - 3 night business stay , special occasion need impress client . my wife stay Helmsley Park Lane past weekend little getaway , without child . say multiple review post site accurate . choose hotel base upon location internet research , idea expect . pay Christmas season price level , think hotel represent good value . city view room , 42nd floor . view look east early morning sunlight quite nice . room clean reasonably sized ( room NYC ) . bed comfortable sheet nice feel . décor date fray around edge ; chip paint piece furniture snare / loose thread chair fabric . ironic people pay premium price purchase newly distressed furniture yet hotel renovate , likely able get real " distressed " furniture cent dollar . bathroom fine hot water demand excellent water pressure . towel rough thin however could certainly stand replace . one pet peeve regard hotel room shower curtain . case ( Helmsley include ) , way secure inner liner water end floor . room equip flat screen tv . remote control weak within foot screen directly front effective . picture good either . , tv total maybe 40min stay ( check weather make sure nothing much change world ) . heating / ac system another matter entirely . room feel like oven walk . turn thermostat 50 open widow ( 2 window room could open ~6inche ) . way turn heat . call front desk tell heat turn hotel , would see could regard side floor . go late dinner return note change temperature . oh well … . next morning , accord thermostat thermometer , temperature ~77 , stay remainder visit . price pay , simply unacceptable able regulate temperature room . on hand , basic hotel service excellent . note maid service clean room twice per day pleasant touch . check Check go smoothly able accommodate request room view , high floor . elevator fast even though hotel almost completely book , never wait minute 2 elevator arrive . ' try room service comment . nice receive copy NY Times morning , instead generic USA Today something like Daily News . overall , 3 star rating . book hotel discount rate ( say $ 175 / night ) get good value NYC hotel room desirable location . spend probably satisfied . 
 Dec 16 2004 	 Helmsley park lane 	 hotel nice people work extremely rude . spend thousand dollar , refuse let eat bagel lobby say leave . pathetic ....... 
 Dec 14 2004 	 peel wallpaper boken toilet seat 	 price , crowded , poorly maintain . tourist trap , definetly worth money . stay motel well bathroom . pay $ 300 one night nerve charge credit card incidental even use . around disapointing experience . recomende ! 
 Dec 13 2004 	 little People pay high price 	 stay Park Lane Hotel last Weekend . tell , make money , value excellent lead hotel world . staff friendly , respone quickly request . location cream crop . room dirty , & quot ; old & quot ; style . however tell item room expensive . let get real travel NYC hang room , rent room town ? although hotel reflect personal style , find room large awesome view Central Park never forget . 
 Dec 6 2004 	 Great Location Little Worn Round Edges ! 	 many reviewer already say , location hotel fab ! close thing recommend see first trip New York . ( NB subway nr . hotel shut weekend ! ) however , good deal investment require update old fashioned tatty furnishing , particularly bedroom . shabby , clean lovely crisp white sheet fluffy towel ! decor / general maintenance let badly . request two single bed booking , e - mail hotel day arrival stress point . tell would problem . arrival , guess ? ! double bed ! ! great married couple etc etc 2 lady New York shopping spree ! end fold bed room , comfortable world ! Harry 's Bar tiny , serve great Cosmopolitan 's staff efficient pleasant . may well return , old fashioned / fusty furnishing investigate hotel area book ! 
 Nov 19 2004 	 worth money 	 stay Helmsley Park Lane Nov. 5 - 10 , 2004 NYC Marathon . hotel average really lousy concierge . location good , however , speak other , would spend extra $ 25 / night stay W Hotel Times Square . pay $ 300 / night average room ... $ 169 / night . would stay . 
 Nov 9 2004 	 Best Location Spacious Room 	 stay twice Park Lane . July , 2003 July 2004 . think terrific value . bear raise NYC drive cab last 2 year college tell good location NYC . close everything especially Central Park right across street . yes , funishing room date , room clean spacious . the lobby small place hang . , NYC focus get enjoy great city world . I find staff friendly helpful . something consider : going eat NYC hotel restaurant expect overpay meal equal less quality randomly select restaurant street . 
 Oct 25 2004 	 good location need facelift 	 return three night trip NYC . husband take teenage child . read many comment web site , pretty much know get . make mad two room , even though room two double bed - one would enough . clerk say NYC law could not stay one room . wonderful location . however , heat break even though complain , never fix . 's shame great location , not upgrade room . 
 Oct 20 2004 	 Awful Awful Awful 	 Lobby dumpy , place sit pipe Sinatra . concierge know nothing , usually away desk . promise room hight floor . room low floor face air shaft . bathroom water stain . rude front desk . maybe get view park forget everything else lack 
 Oct 12 2004 	 fantastic place stay ! 	 Fiancee return New York morning , spend night stay Helmsley Park Lane . say hotel , Fantastic ! love place . location beat . subway station locate right across road , around corner . right across road central park . do not pay extra park view room figure would not spend lot time room . however check receptionist inform we room give , ( 36th floor ) split view , partly city partly park . view fantastic ! room extremely comfortable , grand decor , sign wear tear reviewer note . room clean , good spacious size , bathroom ( great water pressure shower ) . staff , could not nice , moment arrive make feel welcome ! visit New York advice would stay . must pop block Plaza cocktail bar , fantastic ! 
 Sep 15 2004 	 great city great hotel great holiday 	 stay helmsley park lane july week , thoroughly enjoy stay . hotel room clean tidy , large spacious , comfort would wish . bathroom good order , clean tidy , great shower ! ! . read many review hotel , negative , find hotel terrific , especially since pay ecomomy room rate thru internet . location faultless , walk distance mid - town attraction , mention stone - throw central park . would stay hotel without hesitation , recommend helmsley park lane anyone want enjoy NYC , great city world ..................... 
 Sep 5 2004 	 nice stay regular upkeep lacking 	 stay 2 night July , ' 04 . received great rate hotels.com ( $ 189 per night ) expect great room . size ok conidition room marginal . light bulb several lamp , AC load . everything fix complain might think regular room maintainance would done avoid problem . view nice , expect air shaft really great view Central Park clearly reserve other willing pay standard rake rate . wall heavy enough prevent noice hallway . Bellman act like slap give $ 3 tip carry overnight bag room . tv work limited standard cable . great location 
 Sep 1 2004 	 great spectacular ... 	 sister stay promotional discount rate ( deeply discount ) , ' m sure affected status front desk . arrive morning red - eye flight , request early check - in . deny . Tuesday morning , ... & quot ; proper & quot ; checkin time , put top floor , get view building behind we . can not really call NY skyline , surround skyscraper could not really see sky . sneak room across way cleaning , however , be fortunate enough receive room Central Park side , be lucky man alive . hotel probably afford good view park building nyc.location terrific easily accessible . Fifth Avenue stone 's throw away , famous Plaza Hotel , know be good , safe area . walk park 700AM waiting room open great treat make wait worthwhile . Times Square easy walk inexpensive cab fare . room ornate , old . plus good , large size ( ny anyway ) . extend stay problem . overall , nice , would not mind stay ( would not mind try somewhere new , though ) . 
 Aug 18 2004 	 incredible hotel ! 	 family four stay four night suite living room two double bed bedroom . two full bathroom bathroom scale , really good magnifying mirror & amp ; blow dryer , plus nicety like mini fridge room lot closet space decent hanger . 21st floor unbelievably beautiful view Central Park city either side . room lovely , clean spacious . especially love comfy armchair ottoman bedroom , great put foot long day walk city ! find help pleasant - one concierge , Mr. O'Brien , extremely helpful informative , another duty next morning , woman ( not get name ) give we erroneous information helpful . maid service good include turn service evening , although daughter look forward chocolate pillow none forthcoming . , highly recommend - reviewer state , location fabulous , minute away Museum Mile , near Broadway show , course park ! 
 Jul 19 2004 	 great water pressure ! 	 ' ve stay Helmsley Park Lane twice . none review ' ve read comment fact , unlike many fine hotel New York ( include Essex House , Intercontinental Central Park South , Waldorf ) , Park Lane shower water 's always hot always plentiful . ' ve find everything else satisfactory well . $ 159- $ 179 per night basic room , 's good deal town 
 Jul 12 2004 	 Helmsley park lane great location terrible room 	 book hotel Voyage get good deal . first choice Le Parker Meridien fully book . voyage advice stay Helmsley Park lane instead standard similar location . get room high floor partly park view great rest room even close 4 star standard .. thick carpet , dirty , wet leeke air conditioner , temperature room could adjust , paint peel bath tub , phone working could also repair leave . service also promise , ignorant personnel friendly concierge . location fantastic subway close park across road , room big disappointment . always room look great check website hotel . like NY hotel think time update picture web ! ! ! 
 may 8 2004 	 disappointing 	 Location beat . however , furnishing old ragged service poor . tv work first day . call three time technician arrive . tv stop work second day -- call twice nobody arrive fix . return business second day 6:00 pm hope take short nap dinner . room clean . call twice someone arrive . explanation give . final day , invoice leave door , wait ten minute check one person front desk long line guest . other employee stand around nothing . 
 May 8 2004 	 Friendly Staff Great view 	 fabulous view friendly staff ! book expedia reception desk discreetly move we room ( 2 twin - one available website ) , 2 w / king bed overlook Central Park . travel world still amazed view . mystical early morning , twinkle evening , day , know broad daylight ! convenient location , helpful concierge . furniture & amp ; bathroom show wear ( abrade upholstery , tub , etc . ) , room huge overall ( view spoil anywhere else ! ) , even well usual favorite NYC , Sofitel . also - wine dinner ( unlimited different wine ) cite restaurant , great . 
