grandview 	 return place two day ago . nice place stay complaint accomodation , disappointed staff . screw ever turn , arrive late evening family check early day , hotel staff harass mother several time evening show desk credit card & quot ; calm & quot ; front desk staff . ( reservation name , call get permission check early ) arrive 10:30pm give credit card settle issue , next day 11:30 night return evening lock we room ( one key work ) call front desk say not pay bill . explain situation flight delay pay 10:30pm night etc . record credit card . nightmare . go stairs resolve charge mother credit card ( yet still lock we ) note attach account state & quot ; charge credit card wait show credit card & quot ; . reverse charge embarrassed problem cause , perplexed happen . leave hand definitely not know right hand . room miss soap , miss shampoo , call get need give we run around , never deliver soap shampoo . customer service lack BIG TIME & gt ; CAREFUL . can not wait see final bill . sure screw . 
 great place 	 exception & quot ; free breakfast & quot ; really sale presentation , great property . would highly recommend 2nd 3rd timer Vegas vacationer little tired strip . great place bring family . would recommend rent car strip / show visit . find garage strip ( near & amp ; store ) could park $ 3.00 day . full kitchen time spend look place eat . property close Whole Foods Wal - mart . parking challenge come late show . close Casino road want gamble not want deal strip . recommend Red Cup cafe 3 meal . portion generous . bring leftover put full size refridgerator available . stay ! 
 cook can not swim : cold pool 	 room big , kitchen well appoint . not eat every meal . disappointed none pool heat enough swim . sofa bed mattress awful . 
 would recommend resort spacious accommodation decor . 	 begin visit frustrating lack coordination resort rci- neither would assume responsibilty us registration list even though call make agency 3 week ; 5 day ; day . hour , finally room take immediate nap- wake red , itchy , swollen eye , familiar animal smell . definite animal dander leave behind . housekeeping manager handle graciously offer move different room ( garantee , even though animal allow ) , settle carpet shampooed linen comforter replace . way , guest later enter elevator dog . allergy pet dander , beware ask safety cleaning . work well . $ 1.00 charge coffee ridiculous waive protest . nice deli site . food good . shuttle service good - timely considerate . prepare tip ! resort shuttle activity good allow freedom movement without $ 8 regular shuttle service . even though overall resort experience good , effort toward friendliness could exemplified front end staff - bit aloof involve guest service care experience resort . 
 Feb 28 2007 	 Excellent Value 	 be smart , steal place buck night . comfort nice little apartment . way amenity would get strip 4x 's loot . enjoy party crowded strip , retire quiet retreat Grandview . need rental car get around 's 10 minute drive strip w/o traffic , 3 hour drive traffic heavy . wall thin ... plumbing bit noisy , $ 68 night ... shut ! book place online prepaid , ... never deal timeshare salesman . Boulevard Bar Grill across street open 24hrs . quality food . reasonable price . Tommy AWESOME bartender . take care . next door South Point Casino . pleasantly nice , loose slot .. ton stuff , movie theater , bowling .. show . stay sure . 
 Feb 25 2007 	 horrible Beds comfort ! ! 	 grandview great bed extremely uncomfortable . need update matress room . amenity great . overall good stay . friendly staff , extremely clean room spacious . affordable price . 
 Feb 6 2007 	 room ok rest not ... 	 stay Super Bowl weekend get awesome deal thru Orbitz 's good end . check extremely slow even though line . man service desk take fifteen minute look screen . instead give we piece paper so - call & quot ; parking pass & quot ; , send we five step concierge . try hawk timeshare part be interested , stop . give we wrong direction room ( stay , know matter . go outside drive one next building car , walk not ) even though build fairly new , probably less 5 - 6 year old , already show wear tear . cabinet door room fall hinge . area around bathroom sink water damage . blind room move flip direction block sunlight . room ok wall paper thin , be paper tissue thin ! stay place hear noise next door place ridiculous . everytime unit next door turn water ( shower , toilet , tub ) , like tsunami go room . main reason never stay place . loud , unnecessary loud . charge daily housekeeping wonder ever change sheet b / c look use old . look housekeeping cart notice set sheet cart . really make wonder . need car stay want visit strip less 15 minute away . overall experience good except price pay . go Vegas quite bit stay MGM , Aladdin , Monte Carlo , NYNY , Stratosphere , Excaliber , Residence Inn , Fairfield Inn , other . price not worth end . 
 Feb 1 2007 	 Beautiful Resort 	 husband first trip Las Vegas WOW ! grandview perfect place stay , unit clean , well maintain , spacious , beautifully decorate perfect distance hustle bustle strip without far ! car ride take 15 minute traffic , take we long 45 minute get Aladdin traffic . staff accomodate , allow we check around noon use corpoprate center well midnight , check . service never waivere ! though take advantage pool ( ) area , BBQ area , clean , invite . onsite snack bar well stock anything could need game room would tops teenager come along we . jacuzzi tub room great long day evening walk strip , however request use hour 10 pm 8 , bit inconvenient , do not disturb neighbor . complaint wall ( ceiling ) thin hear ongoing adjacent apartment ( ) . would reccommend resort anyone , whether young old , single , married without child . definitely stay ! 
 Feb 1 2007 	 Perfect party 8 	 stay Grandview week Jan 6 - Jan 13th great stay ! place absolutely spotless . party 8 -- 2 parent 6 college kid . 2 bedroom suite connect common foyer . put kid one side , husband half work perfectly . hugh Costco run Sunday & amp ; kitchen , able eat bulk meal condo . hugh plus eat every meal , especially be travel 8 people . use pretty much everything place offer . laundry daily basis , cook gas grill pool , kid love jacuzzi . south point hotel across street big plus . kid could get city bus front hotel go strip . offer real cheap breakfast midnight along .99 bowling . make sure take drive Grand Canyons . peak , able book mule ride absolute experience lifetime ! would definately stay ! 
 Jan 31 2007 	 Beautiful Rooms 	 great stay , two unit right next . child stay one hubby . stay new building , great . although little strip still close shop , Casino right next door . casino great bowling alley 50 lane kid love it . the service great must admit front office staff little tight really do not seem know much anything . computer go internet room one could tell happen would back on . overall great stay holiday children workshop find good . the wall thin , plan spa bath later evening big night gambling show , forget time limit wall thin . 
 Jan 22 2007 	 nice strip stay 	 spend week , Jan. 6th thru 13th , parent 50th anniversary . 6 we stay quite comfortably two bedroom suite . fully equip . Southpointe next door wonderful ! ! eat meal cheaply meal excellent . steak , egg , hash brown toast Monday thru Fri . 9 a.m. 2.95 . take trolley ! ! double decker bus way go pass week cheap run day strip . aware run til midnight Grandview . not get catch sit bus stop midnight ride back ! ! grandview clean staff friendly willing give info golf , etc . would definitely stay ! ! enjoy stay ! Lorrie P. Delaware , Ohio 
 Jan 5 2007 	 Fabulous Grandview Fabulous Las Vegas ! 	 actually stay Grandview Resort trading timeshare week . stay Mirage hotel 5 year ago , must say grandview much worth money ! ! partly room suit full kitchen , also be far enough strip quiet time . mile strip , mean need rent car take cab , also shuttle service come hotel periodically . staff also helpful & amp ; extremely friendly entire time . definitely wonderful place stay ! 
 Jan 1 2007 	 mediocre 	 go part family trip -- choice taste . bleak desolate place leave room . apartment clean , nicely equip spacious , almost everything else awful . permanent construction noise ( start incredibly early -- around 7:30/8 ) -- currently 2 building complex planning 10 , prepare ongoing work . wall paper thin sound water run surround apartment loud can not hear anything else . location incredibly isolate Strip , car , drive Strip take awhile literally nothing around walk distance except Southpoint Casino , pale . common space jam full timeshare tour , hour day night . & quot ; internet room & quot ; 3 computer child use constantly . pool look nice 's much cold use time year . 
 Dec 11 2006 	 good spot Price u rent car 	 Grandview Las vegas fairly new , believe build 2003 , everything still look feel new . 1 bedroom suite room strip hotel half price . ( King size bed jet Tub ) plus full kitchen utensil ) . yes u 10 minute drive south strip , money u save staying cover cost compact car rental week , plus u right next door south coast casino open Nov 05 . casino excellent price food selection resturant . also bowl alley theatre inside ! u can not go wrong staying , 1 enjoy use car drive strip hotel ( parking free ) 2 outdoor pool hot tub enjoy be not ever crowd . also peace quiet away strip nice . quick direction airport go south paradise rd ( Airport exit ) 215 west , 215 west Las Vegas Blvd exit , south 10 minute Grandview right side right beside large south coast casino . ( way u miss ) wasour 1st time Vegas enjoy much return Mar07 . p : GO Grand Canyon , worth drive ( 4 - 5 hrs way ) leave 7 get noon leave 4 pm back room 9 pm . $ 45 gas get u back ! fill Boulder city gas station mile ! . truely site ! lifetime Missed ! amazing natural site I ve ever see ! do not pay someone else drive u overload uncomfortable van cost u $ 125 ! unless u lot money burn , Ps : u send way ! . enjoy trip ! 
 Dec 5 2006 	 Timeshare folk pushy ! 	 hey Folks , get Vegas yesterday . blast . spend 4days & amp ; 3 night ( Fri - Mon ) . stay Grandview Resort . accomodation ok , nothing spectacular timeshare . Everytime water turn show bath either room next we sound run water extremely loud , water running room . room also odor . ask air freshener something make room smell clean . one ever accomodate we . Grandview can not compare Fairfields Grand Desert . RCI salesperson much pushy . nice could say passionate side come RCI timeshare . passion turn plain rude inconsiderate . new South Point Casino adjacent Grandview . south Point well equip everyone . accomodation kid . movie theatre , bowling alley , gameroom . say ' ve get kid stay South Point Casino rather Grandview . 
 Nov 22 2006 	 quiet relaxation 	 book Granview RCI spend week . wonderfully relax week . course , expect requisite timeshare pitch , not push decline , like many place . one bedroom unit . spacious . use kitchen many meal . also friend come stay we day , still plenty room . love relax pool dipping hottub . rent car , hate rely people transportation . quick 5 - 10 minute drive strip . free parking every casino , worry . want play game , without see sight , South Coast next door nice casino LOTS inside . we HIGHLY RECOMMEND Grandview really want relax trip casino . 
 Nov 14 2006 	 Great Pool 	 juste loved time Grandview . pool great , unit clean pretty . staff nice , helpful . thing could say like schuttle service strip . tell RCI hotel arrive front desk let we know long shuttle service . taxi stand cost twenty dollar strip . casino right next door Grandview nice , place go eat get coffee etc . friend stay . thank 
 Nov 8 2006 	 Nice Place shuttle 	 Grandview nice place stay , however , use provide shuttle strip frequent basis . tell administrative staff long provide shuttle , get rental car catch trolley $ 2.50 way $ 6.50 per day round trip . suck ! 
 Oct 29 2006 	 Pros Cons ... 	 ok , 's list .. PROS : 1 ) beautiful unit ! new , tile floor , Pottery Barn - ish decor furnishing . Kitchen fantastic.2 ) swimming pool fabulous ! lot deck space great hot tub . Waterfall operate , still enjoyable.3 ) locate away strip ... let get away hustle bustle4 ) South Coast next door . casino , would enjoy stay all . cons:1 ) tile floor come noise dine chair next , room . 2 ) alot insulation room . could hear people side talk phone . could hear water run , be really big deal.3 ) Muzak lobby around pool loud ! not understand ... 4 ) Shuttle situation poor ! perhaps bad part place . grocery shuttle 1 time per day let 1 person per room go unless room . shuttle airport . approximately $ 20 Grandview Mandalay Bay , get trolley pass good bet . however , trolley suppose run 1/2 hour , late almost every time take . sometimes people wait hour get . place caliber price shuttle grocery store day ( noon , ! ) option . if GO : rent car ... nothing else , get around grocery store , outlet center strip . however lot totally full evening . cab airport $ 20 - 25.bring fan something white noise light sleeper . overall , give trip 7 . property beautiful , , caliber place , amenity w/ regard shuttle provide . I would stay , rent car bring fan drown noise unit . 
 Oct 28 2006 	 Good be look quality ! ! ! ! ! ! 	 stay 7 day spend unit feel homelike . night time unit different story . wall paper thin hear every little step neighbor next . case , cry child . curtain fairly thin , security light outside shine right window . also uncomfortable bed ever . actually find pull bed comfortable . although , may opinion . far unit 's amenity , quite upset find ashtray ( even though be smoker ) , battery remote , coffee pot , washing machine blender break . even several call front desk , thing resolve coffee pot arrive day later gentleman not speak English could not answer question . strange setup dresser well . find hang thing family / living room next television entertainment unit also part 6 - drawer dresser closet ... bizarre ask . one place get food site - little cafe next pool . food horrible ... absolutely horrible . order sandwich one day - terrible . later week , hungry , broke , go , order salad . screw salad ? ... trust . even front desk recommend go there . we not feel strip necessary , get , get car . although trolley supply pretty frequently , not use . cab pretty expensive get main strip - mainly heavy traffic . however , even rent car find we look place park - hotels free valet . however , right next door ' South Coast ' . unbelievable restaurant personnel ( although somewhat expensive ) . slot penny quarter slot . high roller room $ 1 $ 20 slot . not know , hit budget perfectly . the last thing say place could not get internet room . say , go front desk area get sort signal . cramp , actually end spill soda laptop end use computer anyway . please make sure not need sort work involve anything sort concentration lengthy attention computer set restart every 15 minute along fact tour go every 20 second . quite disturbing hear ' and internet room , work vacation ' 500 time matter minute ... mention fact basically become tour staple . going leave fact although thing not make happy , not miserable . enjoy staying - mainly South Coast next door . without , Grandview would nothing . 
 Oct 23 2006 	 great stay Las Vegas ! 	 hotel - time share worthy & quot ; Gold Crown & quot ; .. check go great .. everyone helpful go way may sure great stay ! main attraction place fact & quot ; South Coast Casino & quot ; across street .... short walk ! casino .. everything would like ... great breakfast buffet ... slot ... theater ... bowl lane , etc . ! easy drive & quot ; strip & quot ; Las Vegas Blvd ! ! 
 Oct 8 2006 	 convenient 	 owner timeshare Grandview first time visit . arrive Sep 8th depart 15th . rent car although hear shuttle service trolley car transportation . several people fly different part country , feel need freedom room vehicle . please check service -- -fast informative . two bedroom , accommodate six we well . go nearby grocery store ( 2 mile ) purchase item breakfast snack . prepare breakfast day plan outing . relax leisurely . big pleasure convenience South Coast casino right next door . want gamble eat different time could easily walk across street . find buffet pretty much like casino strip Silverado Steakhouse excellent ! ! eat twice . pool beautiful crowd , although walk pool area , never actually go swim . lot construction go , never bother . noise little bothersome run water room next door . use shower bath , sound like room . one complaint read review light come window early morning . evidently , address , room beautiful wooden blind beneath sheer . nice see try take care complaint get . the kitchen well furnished . not thing need not , except storage bowl open uneaten item -- like cheese , sliced tomato , etc . next time know buy ziplock bag glad throw away container . , everything anticipate happy stay . 
 Oct 3 2006 	 Fine Condo Hotel Resort 	 stay $ 150 week coupon RCI . resort almost new , already show wear tear common area could use good scrubbing e.g . scuff mark everywhere notice small item hallway carpet week . pool area luxurious position building shadow 3 pm . 's 7miles strip new bland South Coast Casino next door . retaurant ok ( mexican good ) time share tour hard sell ' ve enough recognize sale puffery Grandview would poor investment ( $ 12,000 ) say least . all fine place look someplace relax trip strip sightseeing desert . 
 Sep 20 2006 	 please Grandview 	 timeshare owner Grandview first stay . really pleased apartment facility overall staff reception polite helpful . south coast next door great , good place eat mean not always go strip . our minor negative point trolley bus free shuttle strip regular end hire car . enjoy holiday would hesitate recommend Grandview definitely come back . 
 Sep 6 2006 	 nice great 	 stay Grandview 5 day August . okay . nice one bedroom suite nicely appoint . noise problem previous reviewer mention . & quot ; smells & quot ; come unit next door cooking , really not particularly unpleasant . accommodation nice clean bed comfortable . use gym 3 day fine . treadmill , 2 elliptical couple bike weight machine . would nice dumbbell / free weight . husband Fairfield Grand Desert Grandview certainly nice . consider Fairfield Marriott comparable , Grandview would like Holiday Inn . would recommend Grandview family kid . resort activity seem gear towards kid . planning spend lot time & quot ; Strip . & quot ; ( not use , ) shuttle look like way small line people wait . would rent car least 10 minute south end Strip . the good thing South Coast Hotel & amp ; Casino right next door . eat every day Big Sur Oyster Bar great food ! going stay far south Strip may well stay South Coast . 
 Sep 4 2006 	 Grand time Grandview 	 father , sister , stay Grandview near end August . great time new timeshare . also never Vegas , not know exactly expect . room great , modern decorating , tile floor , etc . could tell new property really . noise encounter run water room well chair floor . nothing really complain . two small pool enough chair sunbathe . monday welcome meet free juice , coffee , breakfast goody . internet room usually always full , people respect 15 minute limit computer . shuttle great , really need rent car . even though two shuttle get later night , find full people go wait line almost 1/2 hour ahead time . frustrating easy pick cab bring back . always keep extra money handy case problem occur . tight budget , buy ticket show 1/2 price ticket store . first one strip giant coke bottle . go magic show show call Splash . splash good variety show highly recommend . check easy , book cab bring we airport already wait we trunk open get lobby . cab fare to / from airport $ 22 . , great find , bit away hustle bustle , relax new setting definitely buzz business shortly . 
 Sep 4 2006 	 promise deliver 	 need go Las Vegas MAGIC tradeshow week see great rate . main concern book internet access transportation Grandview WAY END STRIP - soooo close . call twice - first ask second time confirm - tell following:1 ) internet - Dial available room ( ugh ! ) use wireless downstair main lobby use computer room ( 15 minute MAX system boot ) . 2 ) Shuttle Service - shuttle run time . point number 1 correct managable . point number 2 blatant lie . shuttle , not start 10 am . ( tradeshow start 8 am ) . also , quirky hour 8:30pm not pick . anyone look come back hotel strip ( 7:35pm 9:25pmwould wait 9:30pm shuttle . suck not point . needlesstosay , HONESTLY informed shuttle 's limitation check . furious - 's use call ahead be going lie ? ? also , keep mind tell print sheet shuttle time return ride pick registration area Tropicana . LIE . go around back bus drop - not tell Grandview Tropicana - assume will figure out . other issue : get , ton luggage arrive little late - around 12:30am flight delay . guy check we , CHRIS , inform we would lug stuff room ( take 20 minute find reservation completely disorganized ) without roll cart . even say would go look one tell we not . husband struggle get bag room far end complex , encounter several rolling cart exemplified staff 's either laziness lack care guest . Maid service - week . say housekeeping come middle week clean little . never happened.pool towel - get pool later evening , well bring towel b / c replenish throughout day . Taxi strip - prepare rent car find mean transportation get around . convention center , spend $ 35 one way $ 25 edge strip . EXPENSIVE.South Coast Casino - pretty nice right next door . get fun book - 's pretty valuable save little money . shuttle start 8 am - take not want wait 2 hour Grandview's . Food - 's little convenience store street Shell gas station little opposite side ( Jay 's ) small grocery . mini mall Shell station , be great liquor store - good selection reasonable pricing . also , across street Grandview South Coast little 24hr restaurant call Boulevard . food 's good less expensive South Coast 's place . try spinach / bacon pizza ceasar salad - enjoy ! construction - far building complex . sage build right across new wing constructing . start early 's probably noise relate . see get room one building . all , hotel room Grandview nice . would go back completely vacation not expect go strip lot . need car lot money travel . not expect staff accomodate competent . 
 Aug 13 2006 	 FELL LOVE 	 LOVED , LOVED , LOVED , stay GRANDVIEW LAS VEGAS . everything wonderful . unit beautiful view awesome . resort package really outstanding . forget say staff top bottom pleasant , great around . I want anything . I wait return , hopefully year . LOVE . 
 Aug 12 2006 	 week Grandview 	 stay Grandview week 7/27 use RCI point . want originally stay close action know rent car book Grandview . pleased ! read lot review TA unsure going ever get sleep since lot review talk construction noise . hear nothing . stay 5th floor Sage Building . room clean except carpet stain look 1 time . couch however HARD ROCK prepare . internet work fine printing go computer room use free computer . one ever call approach we timeshare presentation . bet already timeshare RCI . say though stay NYC use point hound everyday attend presentation . room like say clean kitchen nice eat every meal . bed comfortable AC work great ! one tip sleep , bedroom blind curtain sun shine drag . luckily read information another review writer ask another blanket hung blanket window binder clip bring . LOL ! work like charm sleep like king ! ! give another tip reviewer right . noise room , swear insulation floor room hear neighbor we every time get kitchen table . prepare sleeping bring fan drown noise . ceiling fan like fan ... take one . time need towel call bring within 20 min exception 1 time never come enough anyways . parking tough night . never park close building . far strip , yes 7 - 8 min drive long car nothing worry . Valet car one central casino heart . would recommend Grandview good experience overall would stay . go see show KA pretty good . keep tell go . far food ... go Mesa Grill Bobby Flay restaurant Caesar ' wonderful . Roy 's strip amazing well ! also go Envy dine Renaissance Hotel strip , fantastic well ! ! ! besides hot haydee ' July 31st birthday great time ! ! 
 Jul 30 2006 	 Grand Time Grandview 	 stay Grandview family May 2006 . find clean , roomy comfortable . one bedroom suite pull - out couch living room kid sleep . kitchen fully stock everything need washer dryer handy . also nice pool area waterfall kid enjoy . staff friendly . the Grandview extreme south end Strip rent car work quite well . like able go Strip able get away ready . righ next door newly build South Coast Casino tha gambling want well cheap meal . the walk shower huge complaint ( be minor one ) shelf anywhere set anything show . next trip Vegas would surely stay Grandview ! way well hotel room Strip ! 
 Jul 17 2006 	 nice PLACE ! 	 well , read review leave . extremely please resort overall . room nice plenty amenity . stay Fairfield last time .. nice opinion . the negative thing -- not big deal : computer room need computer . one morning wake someone 's run water . big thing bedroom curtain shut light .. blind . sun come , make much hard sleep sun come room . get SouthCoast fun book ... good fun book ' ve seenOh , try take tour presentation , might try give & quot ; Casino Royale & quot ; $ 50 free slot play ... lady tell basically get $ 50 slot play keep winning ... true . go casino royale .. 's & quot ; promotional slot & quot ; .. COMPLETE JOKE ! ! ! ! ! ! ! ! ! ! ! 's complete bait switch/ fraud ... go ever ! still , nice place .. perfect ... nice ... would go heartbeat 
 Jul 11 2006 	 Glas invest 	 Las Vegas solisite attend presentation time share . turned & quot ; Grandview Las Vegas & quot ; . tell presentation resort strictly time sharing . give tour resort , ask question reference people stay resort tell people timeshare trade . wow advertise hotel & quot ; expedia , orbitz , cheap ticket hotel & quot ; realize invest time share ( not cheap ) plus pay $ 560 fee year upkeep use ( permit ) week year alI book resort mention ' .com ' web site . I glad walk presentation without spend $ 31000 resort lot less simply use hotel please . the resort quite way strip Vegas enjoy strip lot well stay one hotel strip price less . 
 Jun 27 2006 	 Great Place 	 return great visit Grandview . stay many hotel Bellagio Lady Luck find hotel excellent . room extremely clean , quiet full many amenity . go Gold Coast meal , would not prefer cook room . not notice noise visitor complain . rent car prior come thankful . hotel pretty far away anything else might want see visit . recommend hotel highly . 
 Jun 26 2006 	 worth 	 wow ! ! ! , think get great deal able get suite $ 129.00 night weekend unheard Vegas . Thursday night stay Venetian come Grandview afternoon . timeshare owner , simply stay guest orbitz reservation . find quite suprising find timeshare renting like hotel , think understand . - check - in great , check early 2 pm accomidate without delay get room , send timeshare area decide sign & quot ; lecture & quot ; get free stay future . regret say highligh stay . - decoration : know decorate paint horrible . dark mustard color curtain around window decoration . feel like motel 6 something . enter room nice clean . - pool : around 3 pm decide go pool . going phone front desk inquire whether needed bring towel inform towel . arrive towel find . ask nice lady take around Otter Pops guest pool tell come 2 pm get towel man towel leave . quite inconvienent since pool open 8am-12midnight . quite way back room decide forget towel . pool rather small shallow , deep part 4 ft . lets address real problem WATER . water salty ocean body sweat trace chlorine . discusted decide get return room shower . - room : wall thin light sleeper like forget get nap day . also bed quite hard pillow uncomfortable . would also nice toilet private . problem complaint room - Timeshare : go timeshare presentation anyone go one know . explain interested purchasing timeshare various reason , mostly not impressed property , cont . try win we lower price less $ 5000 , come back later . - problem : 2 elevator tower one 2 tower break one elevator 12 floor guest stair find anywhere . supposedly 2 shuttle go two fro strip , one break could go hour instead every 30 minute time run 10 - 30 late like every 90 minute . cab ride cost $ 20 . handicap door come hindge accessable . well say attend timeshare presentation receive invite come back stay free 2 night . forfiete offer wish return resort even freeas think purchase Timeshare , please , please try make sure want . , many thing quite suspicious:1 . offer like regular hotel internet2 . sale must hurt low price half order make sale prviously tell resort sell well 8 unit leave offer.3 . brand new resort equipment break soon4 . transport people efficently strip loose lot business people . again his / her , place definetly disappointment timeshare . 
 Jun 25 2006 	 nice ... Far Strip 	 wife go quick , three night stay Grandview June . room nice quiet . ( typical new resort ) pool seem little small , cold . first time experience 108 degree ambient temp , surprise pool thought would freeze . sit timeshare pitch , free stuff . little drag we , sit time time one go 2.5hrs . comp not good either , pay $ 20 get Carrot Top show ticket . true Vegas show buy one get one free . shuttle work well , not mind plan day around . 3 choose : Grandview run Tropicana every 1/2 hour til 5or6 every hour til 2 am , South Coast run BArbary Coast good deal 's center strip next Ballys South Strip Trolly run south end Strip ( do not experience ) . nice resort , although point value over - rate . cost 28k point exchange three night ( include Saturday ) 
 Jun 19 2006 	 Peaceful 	 arrive Friday night leave Thursday morning ; schedule 2007 rather 2006 . quickly work ! receive wine coupon restaurant , etc . casino next door new awesome -- place not throw money away . husband enjoy sit picnic table early morning late night ; next year cook outside . breeze clean air refreshing . suite supply necessity one imagine ; love in - suite washer , dryer , dishwasher , jacuzzi tub ( wonderful ) , shower . accord guest , sofa bed uncomfortable , regular bed fine . return least once / year . 
 Jun 16 2006 	 Married Vegas 	 marry Las Vegas May 14 , 2006 . choose stay Grandview buy time - share two year ago . time buy time - share , still build , idea real place going look like . nervous everything would look , end fabulous time ! room fantastic ! particularly great honeymoon suite [ jacuzzi tub -- wink , wink ] . put guest right next . cooked hung ; plenty room everyone . two rental car , nice mile main action , love busy part strip . resort much relax right middle strip , think . ' m young , Strip wipe , nice relax place go back . hotel staff accomodate fun . good spirit joke along right we . check quickly always helpful need anything . shuttle also fine . husband want go back every year ! friend fantastic time , well . brother become interested look timeshare ask bunch question ; think clear really like place . plan everything 4 week ' m glad resort accomodate . can not stress enough wonderful time . , everyone make money South Coast , right next door ! even though South Coast not crazy busy casino , , nice space , fun gambling cozy environment . lot thing South Coast not time check . People content go next door rather go busy strip . whole experience great recommend Grandview anyone ! please let know answer question ! 
 Jun 14 2006 	 nice inside hike anything 	 Overall would recommend Grandview . big complaint : distance strip ( 5 mile Mandalay Bay ) , lack wireless room horrible parking . as much nice away crowd around strip , far away anything . definitely need car get fro . shuttle not want get stick late bus stop run face full bus take taxi back hotel . we stay Memorial Day weekend strip zoo . friend strip hotel complain noise . happy return quiet Grandview . the parking terrible . not plan enough spot 's hard find spot near building . ' holiday weekend end back day 2 week later parking well . it may petty would think new construction would put wifi room . wifi hotel lobby ( not work one day ) computer room lobby would rather check email business crowd room like lobby always seem teem loud bubbly timeshare salesperson prey . the positive : quiet ! casino . want casino big casino hotel right next door . buffet good cheap ( , oxymoron ) big room . comfortable bed . great glass shower . even well Jacuzzi tub . typically well equip timeshare kitchen in - room laundry . the pool look nice ' use it . I ' stay 2 timeshare property Vegas recently ( Hilton Shell ) far good , even middle nowhere . 
 Jun 11 2006 	 would love go back ! 	 return Grandview Las Vegas morning follow stay June 4 - 10/06 arrrange timeshare exchange company RCI . centre Las Vegas strip anticipate , rental car problem . it beautiful , well keep resort active sale team obligation take & quot ; tour . & quot ; 1 - bedroom unit perfect 2 people full kitchen , king - sized bed , living room , full kitchen , washer / dryer , 2 tv , jacuzzi tub shower stall . pool area picturesque , especially night hot , not understand guest could bath sun day . nice fitness centre sometimes short wait . resort free dvd could borrow , include recently release movie . also complimentary shuttle take Tropicana one day problem . internet room popular guest limit use 15 min . real plus resort easy access next door South Coast Casino hotel . huge complete restaurant , theatre , bowling alley equestriancentre . try reasonably price buffet time food quite good . I would hesitate return ! 
 Jun 10 2006 	 wonderful experience 	 stay Grandview four day June enjoy . yes , major construction front building nuisance distraction . area south Strip build rapidly new resort , restaurant , store 5 mile Mandalay Bay Casino . new casino next door beautiful buffet great . grandview staff wonderful . one old gentleman drive shuttle especially nice helpful . only negative experience small store near pool . lady charge downright rude seem want bother customer . oh , price outrageous . $ 3 bottle 6 Advils price $ 9 ! besides rude person , everyone else meet pleasant extremely helpful . 
 Jun 9 2006 	 wonderful experience ! 	 husband return long ( 4 night ) weekend Grandview Resort . owner , buy 2 year ago , never stay timeshare not know expect , everything pleasant . review publish help we much planning trip ! request unit away ongoing construction , view . staff accomodate . unit 7th floor Primrose building overlook pool area . view outstanding night light surround area visable . unit quiet time even know someone next we common door shut , infrequent . layout comfortable enjoy tub bedroom , large bathroom . not cook , kitchen fully stock ( even corkscrew use ! ) spend late afternoon hot tub pool area find relax . we rent car , able drive area want see ( usually stay strip use cab ) . boy , Las Vegas grow , not even recognize drive Boulder Dam Red Rocks . grandview will not consider long way strip long . hotel casinos valet parking take advantage perk , small tip save money gambling shopping foot walk sight . one small complaint would map front desk give need update , many street complete , show map . get lose couple time , Las Vegas easy town navigate . also , sure ask parking permit front desk , clerk forgot give we one , get warn notice first night there . we would highly recommend restaurant across South Coast . enjoyable friendly staff good affordable cusine . all wonderful time hope visit soon . 
 Jun 1 2006 	 Nice Place 	 stay Grandview end May 06 , nice facility , large room , full kitchen , large tv , bit noise room bad . 2 pool , shuttle , South Coast Casino right acrossstreet easy walk morn . Seattle Best Coffee shop , decent gaming , nice buffet , & amp ; several resturant . car helpful necessary , enjoy stay , staff good , security site 7/24 , area clean well keep . construction noise sinceaddit . bldgs plan . 
 May 18 2006 	 Grandview visit review 	 Wes stay Grandview week May 5 - 11th . accomodation excellent would reccomend . condo clean comfortable . read previous commnet wall thin noisy . believe . car first day get shuttle bus Tropicana trolley outlet mall strip . find front desk helpful get we well rate car direction . draw back could find resort follow . start MAJOR construction around tower . currently three tower complex . plan 8 - 10 . leave get ready start dig 2 new tower . also find ( ) shuttle bus driver rude . would routinely show Tropicana office late . would claim pick area one 's fault late . would avoid shuttle possible relaible trolley . cab airport rent car resort . special deal work Budget rent car pick right lobby . small store kitty - corner South Coast pick snack sud . careful around pool area sometimes get suddenly windy pool chair table go move pool . south Coast casino right next door great buffet . go South Coast make sure sign player card . give coupon book give 2 1 breakfast lunch . 
 may 15 2006 	 Good ol ' Grandview 	 stay Grandview second year row . go every year Kentucky Derby party . love Grandview be always clean people friendly . great thing year Southcoast Casino open right next door . able walk casino back 3 minute . car , cab ! Southcoast really nice good resturant . another great year Grandview ! ! 
