great 	 SF stay Holiday Inn around corner . opt Express price include breakfast : - ) amazing breakfast . plenty eat set we day . the bed truly amazing , comfortable choice pillow too . it great reception area could actually sit - many hotel not day . also conference facility barely noticable . hotel tend forget ' holiday ' guest do not . staff encounter friendly , polite helpful . the 2 pc 's + printer useful item . the room spacious ample space bathroom . great place stay go sightseeing - also purchase 3 day muni pass ( $ 18 ) - great saving - ( one cable car $ 5 one way ! ) good shopping / shopping centre easy get . 
 Aug 27 2006 	 great hotel good location 	 stay hotel 22nd August , facility describe website , room spotless , free internet access useful , staff friendly service good . location excellent , plenty thing locally hotel easily accessible public transport walk rest san francisco ( mind hill ! ! ) would definitely stay , thing would say , make sure go complimentary breakfast early get busy later , find due jet lag ! 
 Aug 14 2006 	 Happy Holiday Inn 	 although stay sister hotel Denny 's find good standard . room keep clean coffee / tea facility generously replenish . entrance badly light car park could potentially tricky & amp ; management aware - increase lighting & amp ; visible security night would give peace mind . reviewer question quality surround nearby restaurant , Holiday Inns hardly hold responsible . would hesitation stay . generally good value money . 
 Aug 8 2006 	 great hotel 	 agree last couple review . book hotel base review tripadvisor location . really like : great location good public transport connection rest downtown , room modern clean , bed great , bathroom excellent , breakfast okay , staff nice helpfull . life understand people complain location . anyone inform go SF know Fisherman 's Wharf tourist trap . big deal . not want walk Pier see tourist shop , head direction . book hotel another part town . see homeless people beggar . take cable car evening restaurant North Beach , come back late night , problem . part SF feel like home neighbourhood , feel unsafe feel look shoulder . definitely good place start discovery beautiful San Francisco . 
 Aug 4 2006 	 agree july 21 july 30 post hotel 	 good holiday inn express eveeeeer ! exactly great praise , sum hotel . all national chain two major independent -- Argonaut Tuscan Inn ( even though technically Best Western ) within block -- hotel heaven -- location probably not importtant usally be . amenity count . , value free wine reception 5 complimentary Financial Times , Argonaut you . we think mini suite $ 150 we , stay , name misnomer -- & quot ; suite & quot ; really fair size room , frige , sink , microwave . the hotel new , nice touch . lobby design well attractively actually nice Marriott . breakfast buffet high end cheap category ; usual continental item plus hot danish , make order pancake like redidence inn , example.the back hotel back F line street car , hear , barely . that s issue maybe ask courtyard room . 
 Aug 1 2006 	 Great Location ! 	 spend wonderful weekend San Francisco stay one night Holiday Inn Express ( hotel allow pet , writer confuse Holiday Inn old allow ) . property new spotlessly clean . pay extra suite view amazing . room could see Alcatraz part Bay . walk distance everything wharf great close ( even bathroom break ) . park $ 32 rode ferry Vallejo park van free . great trip highly recommend . hotel may fancy can not beat location price good wharf . staff front desk friendly . breakfast bar great decent variety food course awesome Holiday Inn Express Cinnamon Rolls ! 
 Jul 30 2006 	 good place stay ... 	 arrive July 23rd three night stay overall satisfied stay . want lodge within walk distance Fisherman 's Wharf / Pier 39 select Holiday Inn Express read generally favorable review site . location great , convenient Wharf , Pier , Bay & amp ; Alcatraz Tours , Ghiradelli Square , Cannery , Cable Car line . hotel pool restaurant use pool adjacant Holiday Inn , also Denny 's Restaurant locate . the hotel serve continental breakfast lobby start 6:30 , consist cereal , fruit , pastry , hardboile egg , bread variety beverage . feel selection great , not sleep late expect able eat close 9:30 am.the stair hard find elevator slow ' ve ever , also bathroom fan rather noisy , room clean adequate need . aside rather high $ 32 daily parking fee , feel hotel well worth $ 110 nightly rate . would definately stay . 
 Jul 21 2006 	 Ideal Place Experience SF right price 	 look hotel would good suit need San Francisco several month decide Holiday Inn Express due combination Location , Price , inclusion buffet breakfast & amp ; age actual property . mind girlfriend satisfied stay , jump joy happy . the location great Wharf . around dozen large hotel - chain property situate within area block whether stay HI Express , Sheraton , Hyatt , etc etc will less staying area . main drawback location two block back Wharf area immediate vicinity not exactly pleasant one . pier 39 great place stroll , grab meal browse shop . area around Cannery , Ghiradelli Square & amp ; Cable - car turnaround also nice . 's block area however make Wharf un - savoury . concentration tacky souvenir store one - too - many colourful character spoil area although still feel happy have choose Wharf base . originally plan stay Westin Union Square whilst see hotel grand not convince stay smack - bang centre city would well option . every one 4 day spend city involved start thing within ten minute hotel - whether Alcatraz , superb city tour cycling GG Bridge . major gripe area early everything close Pier 39 . expect able browse shop , etc dinner night 10 pm onwards whole area close be leave choice drink one restaurant bar return hotel . the hotel modern spotlessly clean . certainly character room face central courtyard 's new hotel good standard look hotel ideal . room not large fine , especially city hotel shower , room temperature , furniture etc great , buffet breakfast include price . all - in - all 4 day San Francisco brilliant , take memorable experience . want clean , modern hotel get good rate Holiday Inn Express would recommend stay use base . NB - people mix adjacent Holiday Inn Express - normal HI lot old have definitely opt Express . like look Sheraton however although hotel similar area . 
 Jul 19 2006 	 Typical Holiday Inn 	 spend 5 day hotel . select dog friendly reasonably price area . staff inconsistent - great , other need get another job . facility old good , bed rock hard pillow - 5 day , need chiropractor . good location dog small park next door , beware homeless sleep . ignore we , persistent walk . good jump trolley great walk Fort , etc . cold ! live top mountain Colorado , pierce cold amplify wind fog . plenty restaurant , price take last dollar .. try Boudin 's though - good combination service , food , cost . 
 Jul 15 2006 	 good hotel 	 agree everything last reviewer say . think family think Fishermans Wharf tacky Blackpool . every time leave hotel harass money dodgy look people ! would walk back hotel dark ! beware San Francisco also cold Foggy bring warm sweatshirt ! although generally dissappionte San Franciso offer hotel good , family room comfortable clean facility great , although staff less helpful . 
 Jul 7 2006 	 say here bite ... 	 Yep , agree majority review , great hotel would definitely recommend anyone look mid - price stay San Francisco . room clean , modern good sized , expect amenity . great buffet breakfast include rate , help cereal , donut , muffin , toast ( english people beware american 's evil sweeten bread , manky ) juice , coffee warm cinnamon bun ( mmm cake breakfast , need fryup ) give 4 5 let close hideous tacky tourist trap fisherman wharf . convenient thing touristy would problem stay , close cable car , f - line , useful bus route walk distance central place feel safe night , round corner get tacky . full nasty souveni shop ( think Blackpool ) overprice , lousy restaurant ( ok do not try .. ) scruffy building parking lot . sure appeal sucker fill sidewalk , yuk ! still , do not let put hotel , please do not spend much time think fisherman wharf San Francisco . 
 may 15 2006 	 great place stay good location 	 stay long weekend good time . staff friendly , service excellent offer great breakfast . valet parking also ok . room little small , care , sightseeing ? clean well equipped . like near pier cable car - first choice ! 
 May 15 2006 	 Greatest Stay ever 	 wife visit Winnipeg , Manitoba , Canada , May 5 , 2006 May 12,2006 stay Holiday Inn Express Fisherman 's Wharf . unbelievable stay hotel . could please room ( overlook wharf ) hotel front desk staff . & quot ; 1 & quot ; we could helpful anything ask . everything within walk distance attration restuarant . return San Fran near future would request stay great hotel . 
 may 10 2006 	 safety sake stay ! 	 stay value safety ! constantly harass front hotel soon leave hotel , item steal room . staff show concern problem , not anything ! stay value business . many alternative , close Pier 39 , Radisson Wharf Inn . 
 May 9 2006 	 well do Holiday Inn 	 fly virgin San Francisco , ok however last time fly State side fly United ( Much Professional accommodate ) . Fishermans Wharf ok base Express first class . good sized room well look staff , location right exploring walk back union square couple time , yanks think we mad English do not mind walk mile , warm spring day . muni transport system first class , transport system could learn thing two . would stay , oh wife think right world famous chocolate factory , amazing sundaes 
 May 8 2006 	 great place stay Fisherman 's Wharf 	 stay hotel start cruise San Francisco . lot research find reasonably price hotel well great location . certainly pick right one . location could great - within block Fisherman 's Wharf , room public area , clean . reception staff could helpful . big bonus continental breakfast buffet . boil egg , warm sticky bun , kind juice , muffin , cereal , yogurt course coffee tea . buffet way superior continental breakfast past . while check , ask whether could keep luggage day return cruise since plane leave till 10:00 night , pleasantly surprised could . travel business always recommend hotel anyone travel San Francisco come back , certainly stay . thank great experience . 
 May 3 2006 	 Bloody great ! 	 really great location really clean , good size room . this hotel offer great friendly service , truly fantastic location , stone throw action bar local pier . double bed twin room ... 
 May 1 2006 	 great location 	 first visit San Francisco choose hotel good review also price get hotel website . location hotel fantastic - minute walk Fishermans Wharf sight . close many restaurant Hyatt Sports bar across road serve decent burger cold beer . also close two cable - car turning point Wharf make easy get area include Union Square . room clean decent size . view room not look hotel window . free breakfast excellent need set we day . area get quite busy not problem get seat . think Fishermans Wharf great place stay especially first visit San Francisco . would definitely recommend visit Bubba Gumps Pier 39 dinner city tour trolley bus . definitely book stay . 
 Apr 20 2006 	 GREAT GREAT GREAT 	 ABSOLUTELY fantastic stay ...... everything hotel excellent . would stay , would not bother look around other . good location , service , quality , comfort could ask . thank team Holiday Inn Express San Francisco 
 Apr 17 2006 	 good vacation ever ! 	 ever San Francisco , review hotel choose Holiday Inn Express . great choice 4 night . husband two child ( age 9 12 ) love location . hotel clean , safe , affordable , surprise . staff friendly let we store luggage check - out flight night . breakfast mini suite help we save money spend activity . suggestion kid would like cable child 's programming indoor pool . able go Alcatraz , tour chinatown , bike across Golden Gate bridge return hotel rest next activity . bus schedule easy use venture away wharf ( thank part computer lobby ) . wonderful time would definitely stay Holiday Inn Express . 
 Apr 11 2006 	 Excellent value hotel 	 arrive hotel 2 teenage son long flight Uk find room ready . could dreadful start holiday save prompt attention reception staff ony find we another room without delay upgrade we suite ! spend enjoyable 3 night hotel & amp ; fault comfort , location & amp ; staff . anyone look stay San Francisco budget look hotel . 
 Apr 9 2006 	 ok hotel . location good . 	 stay 4 night part 2 - week trip California . room quite large nice bathroom clean . breakfast good reasonably wide choice - though busy paper plate etc . location close Fisherman 's Wharf Mason cable car stop ( much less busy tthan main route downtown ) tram F route . easy get place pretty quickly plenty within 10 minute walk . downside view - bland undecorated interior courtyard within hotel . overall good value location . pay around £ 40 per night package UK Air Miles . 
 Apr 1 2006 	 reliably comfortable clean good service un good location ! 	 stay 3 night hotel fisherman 's wharf , not know view wharf ! expect 3 year old able watch going - on wharf could not ! close wharf though , without much noise all . because Holiday Inn , reliable comfortable , clean , would expect good hotel would state . try look standard Europe would expect pay much ! hotel try hard keep convenience succeed . good hotel ! thing might add bit pricey . could location . would still recommend not need good view . otherwise prepared pay lot more . another thing , refrigerator room , surprising ! good need store formula , etc . baby ! overall good stay hotel . 
 Mar 31 2006 	 excellent low cost base 	 stay 4 night March 19th - March 23rd way Hawaii . clean large room kitchenette . excellent breakfast buffet . freindly staff . location ideal minute walk fisherman wharf , cable car streetcar terminus . lot bus never use stuck cable streetcar . would stay return San Francisco . 
 Mar 30 2006 	 fine hotel rip - off parking horrible area 	 hotel comfortable moderately price area . stay four day . Fisherman 's Wharf area seedy tourist trap . local restaurant like factory , shunt tourist production line fast possible . find service place universally horrible . however , head north sea front towards Golden Gate bridge pleasant two mile walk end Exploratorium Palace Fine Arts -- well worth visit . back hotel -- big negative 32 dollar ( plus tax ) daily parking . otherwise , room comfortable well appoint . 
 Mar 28 2006 	 great anchor San Francisco 	 hotel staff wonderful . room exactly order meet need . location great walk tourist area . parking fee $ 32 bit steep competitive area . highly recommend facility other . 
 Mar 23 2006 	 comfortable completely depress decoration 	 not stay be look romantic getaway . this hotel weird . reception area decorate funky red blue modern furnishing light . bedroom , however , decorate various shade green beige matt finish make room drab . room ( except family suite ) face & quot ; courtyard & quot ; small enough see straight across opposite room . , be sleep , bed super comfortable bathroom well appoint nice long bath plenty towel . breakfast generous hardly healthy eating area get busy noisey peak time . tray provide nothing stop take breakfast back room . staff friendly enough area safe walk around night . would probably shop around stay . room average price . 
 Mar 15 2006 	 nice disposable hotel poor area 	 hotel good desk service . also offer free internet access . nice frill - free place stay share facility Holiday Inn immediately adjacent . local attraction include Alcatraz , submarine tour Liberty boat tour . breakfast help buffet consist mainly bread product jam , doughnut , pastry etc . although offer apple , orange banana . must eaten disposable plate tray not expect see china . it reasonably place catch two tourist cable - car boat Alcatraz , otherwise Fisherman 's Wharf horrible collection downmarket shop . pier 39 seem famous way obtain planning permission anything pi . in March windswept cold collection downmarket shop . recommend stay different area SF travel Fisherman 's Wharf . HI Express not disappoint poor base explore San Francisco . 
 Mar 4 2006 	 Fab Fisherman 's 	 young child go San Franciso , holiday Inn Fisherman 's walk suit . the hotel outside pool flat 1 minute walking distance attraction Fisherman 's Wharf , bar , restaurant , boat trip Alcartraz . also , area flat hill push buggy . close main tram station San Francisco . book Virgin perfect pick us airport limosinine extra cost whole trip effortless thank helpful staff plane . 
 Feb 21 2006 	 Great Hotel Value Great Locaion 	 wife spend weekend please . staff friendly hotel clean comfortable . yes , basic hotel , yes room bit small . spend little time room perfect we . walk distance 2 cable car line , f - line warf . breakfast good enough . price , would definately return would consider great kid too . TIP : take BART SFO embarcadero station ( 30 min ) $ 5.15 per person f - line last stop ( 15 min ) $ 1.50 . hotel 1 block stop . Taxi fare would $ 50 would much quick . save $ 35 + dinner ! 
 Feb 19 2006 	 great place stay . 	 great location - right around corner San Francisco 's # 1 tourist atttraction - Fisherman 's Wharf . pier 39 , sighseee tour , cable car tramway 's stop right . will able get easily Union Square ( downtown ) , BART station , pier many sighseee spot ( crooked Lombard St , Coit Tower , Columbus St ton restaurant ( Stinking Rose great ! , cannery shop restaurant many many foot quick ride many SF 's public transportation choice . upgrade executive floor witha veiw Bay Alcatraz . room great - clean spacious . staff nice . problem whatsoever . highly recommend place Ritz - Carlton expectation . 
 Feb 14 2006 	 Basic 	 consider 3 star hotel , feel 's 2 star . remember express hotel , mean restaurant site , room service , bar area , etc . basic necessity need . detail hotel . * room bathroom small , clean * 's new hotel * free continental breakfast - excellent take child * great location - walk distance tourist attraction 
 Jan 28 2006 	 Loved Holiday Inn 	 impressed hotel spend four day two teenage daughter . within walking distance Fisherman 's Wharf yet far enough away hustle bustle . room , service staff great basically new modern hotel . free breakfast adequate australian taste take away stress find decent food early morning . take limousine service airport cheap taking shuttle taxi . would definitely stay . 
 Jan 20 2006 	 love 	 perfectly situated , beautiful room , decent breakfast city ! lovely hotel whole family , seven we age 6 - 68 , spend wonderful four day last summer . miss like crazy would , without hesitation , return . why 5 star ? two toaster breakfast room dozen we . 
 Dec 30 2005 	 Basic ok 	 hotel great base holiday . bit basic , service friendly clean . breakfast include price , average selection item . loaction great , short walk tram stop Fishermans Wharf . overall , good price . 
 Dec 10 2005 	 nice visit overall 	 Overall really like hotel .... seem really nice clean . couple suggestion comment . might want ask room near street . early morning could hear rail car go window . bit annoying . think even hotel not seem busy , wonder put ? one problem - the heater not seem work well . report hotel nothing ever do . call housekeeping blanket . oh , not like bar soap . front desk say suppose wash hand gel label scrub . Holiday Inn Express ' stay bar soap , anyhow maybe small issue . free breakfast morning big plus rate , except ' ve see well selection Holiday Inn Express'we stay . not like big bin cereal . scoop inside people put hand inside scoop cereal . think unsanitary skip cereal . not hot tea bagel happy either . would probably stay location . really like Fishermans Wharf walk distance hotel . 
 Dec 1 2005 	 great business pleasure trip 	 stay hotel combine business / pleasure trip , find great . provide service need complete task minimal stress , never descend smarmy brown - nosing find many & quot ; high - end & quot ; hotel . also , be locate within easy walk distance Fisherman 's Wharf & amp ; Pier 39 ( go see sea lion ! ) , lot fun hour . another plus : 's locate streetcar line , access public transport easily . 
 Nov 30 2005 	 great hotel perfect location 	 stay 3 night hotel would highly recommend want visit San Francisco perfect location near Fisherman 's wharf end cable car line ! room big clean breakfast one good stay USA 
 Nov 26 2005 	 great city hotel highly reccommende ! 	 travel U.K. choose stay Holiday Inn Express Fishermans Wharf 4 night end October 05 . look great location near wharf good value money , must try hotel . we allocate ground floor room , large king bed , expect room amenity modern bathroom powerful shower . complimentary breakfast buffet cater taste , provide pastry , muffin , cereal , toast , juice , hot drink etc . seat area sufficient stay , may overcrowded peak holiday period . there also complimentary internet access lobby , parking require fee , pay phone , small gym etc . location great , minute Pier39 fab little deli Cannery . Hyatt hotel 's sport bar also across road Denny 's corner . I could not fault hotel , clearly think visitor need provide , would definetly stay hotel . highly reccommended ! ! 
 Nov 20 2005 	 lovely stay 	 stay 3 night lovely time . room spacious clean , downside shower not great . staff friendly complimentary breakfast every morning brilliant . hotel close Pier 39 - fun watch sealion ! boat trip golden gate bridge alcatraz - highly reccommended . walk Lombard street something else - tire well worth view get top ! ! take tram back fun ! get around easy plenty place eat drink - even not eat / like seafood ! go back San Francisco would choose hotel . Catherine Stewart , Scotland . 
 Nov 15 2005 	 make stay special 	 make reservation Holiday Inn Express Beach Street , beacuse sister want Wharf Area sister 's birthday . hotel great location .. across Hyatt Hotel . block public transportation , parking expensive , bring car visit City Wharf area . we use Super Shuttle airport . good service .. cost $ 15.00 one way . the hotel staff make we feel welcome even though arrive early . front desk personnel , think name Joseph kindness person check .. hotel also bag chocolate wait sister check room . comp . breakfast good , room clean , free internet service . would stay . 
 Oct 25 2005 	 like sleep go elsewhere 	 room nice like good night 's sleep whilst travel , make sure not end room overlook Denny 's delivery bay hotel . delivery arrive hour night , ie awake several night row 3:00 staff unload thump box cheese etc around floor . garbage truck arrive 6:00 . paper delivery boy literally slap paper outside room early every morning , could hear way corridor bundle paper hit floor . well know airline / holiday company regard flagship hotel San Francisco . think . 
 Oct 18 2005 	 Great Hotel High Parking Fee ! 	 write honeymoon , stay holiday Inn Fisherman 's Wharf location San Francisco , CA . several great point bring , one bad point ... read review prior go ... book hotel thru travel agent . concerned note previous travel concierge 's lack service ( male concierge ) . ok , call Wednesday flower deliver room . female concierge GREAT , get flower order . not room arrive not room & quot ; blocked & quot ; .. great get bellboy get room wife see ! ! ! helpful ! must correct problem ... room great ( take reviewer 's advice upgrade 5th floor ) . great view window wharf area . great location .. staff friendly ! ! go eat across street Pergamino 's breakfast ! excellent ( LOT cheap hotel 's $ 18.00 / person buffet ! ! ) ' ve walk everywhere nearby .. great location ! .. bad side .. park free ! ! ! 's $ 36.00 day parking ! ! ! , be hose rent car ... really not need rent car staying stay .. , get 1 3 day transit pass .. allow unlimited ride cable car , bus , streetcar ... $ 11 / day ! ! ! ! one final note .. take Fire Engine tour .. 's NE corner hotel property near Cannery .. great 75 minute tour Presido , Golden Gate Bridge , downtown area .. friendly great time ! 
 Oct 11 2005 	 great place stay 	 read lot review website help decide stay San Francisco thought would offer feedback . wife stay Holiday Inn Express Sept 15 - 22 thought great place stay . first visit San Francisco lot sightseeing tourist stuff . like hotel mainly location , close Fisherman 's Wharf , cable car , bus stop shop . hotel clean , modern , quiet night continental breakfast great way start day . staff friendly helpful . book 3 sightseeing tour Super Sightseeing Tours enjoy much . office less 1/2 block Hotel main entrance . lot restaurant near Hotel especially enjoy Scoma 's great seafood . would definetely recommend Hotel . feel safe area plenty see within walking distance . 
 Oct 5 2005 	 Excellent Choice 	 hotel great location . modern , new feel extremely clean . actual room also clean rather spacious . maid excellent job . room come free broadband internet rare lot U.S hotel . room quiet , not get disturb . comfortable bed must fairly new . en - suite also clean good shower ( important thing morning ! ) maid always say hello smile front desk staff make whole stay much nice . breakfast suprise we not realise came include . huge selection choose . donut , cereal , choice bread , croissant , muffin , boil egg , warm cinnamon pastry , fruit juice . fresh regularly fill . real add bonus . all whole stay brilliant would hesistate recommend excellent hotel anyone . 
 Sep 26 2005 	 great location 	 Wife stay 9/24/05 , clean , comfortable within walk distance wharf , cable car many local attraction . nice room , bed free breakfeast well express stay . staff helpful direction local idea . parking expensive convenient . got early checkin time free upgrade ! ! must live right . got great price thru internet HI site . would strongley recommend hotel anyone . 
 Sep 21 2005 	 clean quiet new close Fisherman 's Wharf 	 wife spend 4 night visit San Francisco . read review make reservation . clean much new place Holiday Inn street . location excellent easy walk anything include cable car restaurant . room nice quiet . complimentary breakfast great filling . would highly recommend anyone travel San Francisco want stay hotel near Fisherman 's Wharf . note -- - read restaurant review try something new poor experience one restaurant North Beach District . may fluke know -- - read -- - wife visit San Francisco week 9/12/05 wonderful time . decide eat Figaro 's dinner . decision base nothing try something new . expect decent filling meal end complete opposite . restaurant many patron neighboring restaurant - first indication - order service ok - many patron serve - food absolute bad food ever italian restaurant . bread basket make dried bread use napkin ( probably basket another table ) . order chicken parmisan . chicken one small piece taste like dry side anything chicken pasta / sauce cold . wife 's dinner not well . $ 40 later dissapointe . end walk around Fisherman 's Wharf stop quick McDonald 's . would never recommend restaurant anyone . 
 Sep 20 2005 	 enjoy stay ! 	 hotel excellent choice . room clean well keep , cozy . 's near shopping attraction . staff friendly include continental breakfast good ! would definately stay ! 
 Sep 18 2005 	 Good Location 	 stay hotel four night 1st-4th September ok ! great location around corner attraction pier 39 , boat Alcatraz resturant etc . hotel comfortable nice , bit grey dismal look bar resturant however include breakfast good , slightly bit free nice pastry croissant etc . much elce stay hotel really clean tidy great base go around San Francisco . hope helpful would like anymore info plean email ... carina.gordon @ ntlworld.com . 
 Sep 10 2005 	 excellent location much else 	 great location within easy walk distace cable car pier 39.dark room grey wallpaper view look onto inner void room . free breakfast free everything run quickly matter time go . hotel parking pricey $ 30 per night well nearby car park . 
 Sep 9 2005 	 Nice 	 stay first 2 night 12 day vacation San Francisco LA . location excellent . could walk cable car , wharf , Ghiradelli Square , Lombard St ........ pretty much anything want to . our room inside hotel .... look & quot ; courtyard & quot ; . street noise , would nice room view Alcatraz ! shower awesome . nice bathroom , towel , lot room . first get room , ask housekeeper additional pillow blanket . we less 10 minute ! many place ' ve stay take forever get item , even they . the thing would recommend new bed . small ( full ) .... queen would much nice , firm . Breakfast include morning decide factor we . one less meal pay pretty expensive town ! good , lot choice include hard boil egg , cereal , cinnamon roll , etc .... lobby breakfast room always full , staff keep refill friendly . treat smile face morning ! ! fun midst many traveler morning . fact , meet someone hometown rave hotel also ! front desk staff helpful question direction . problem check . inquire upgrade suite tell none available , quickly offer supply we refrigerator cot need . another note , would highly recommend night tour Alcatraz . awesome ! make sure bring warm jacket go early 2 tour ( 6:20 ) , allow stay later take last ferry back , give time take & quot ; extras & quot ; offer night tour . would stay ..... especially upgrade bed ! ! 
 Sep 3 2005 	 good value Wharf 	 good value money - big comfortable room , friendly staff , free internet lobby ok breakfast . full tour party noise adjacent room . room face road soundproof good , although move room side noise trolley / streetcar ( aka tram Europeans ) audible 4 floor . would stay . 
 Aug 18 2005 	 Nice Hotel Holiday Inn 	 folk post opinion think may Holiday Inn . Holiday Inn Express directly next door build part Holiday Inn , hotel . HI Express 4 floor , 5 pool . second stay nice first . room clean free breakfast ample -- unlike place quickly replenish item start run . stay minisuite face Beach St. quiet -- could even see Alcatraz room . hotel safe , nicely decorate clean . can not beat location want Fisherman 's Wharf . lot public transportation option nearby easily walk North Beach Ghirardelli Square . overall good value particularly area . past ' ve find front desk staff somewhat unpleasant issue time . actually front desk clerk call limousine we take airport -- private car plenty room less cost taxi . 
 Aug 17 2005 	 Great Location 	 stay 3 night end family trip USA - 2 adult & amp ; 2 child . location wise hotel great . check staff helpful friendly . room clean tidy , huge big enough four we . site parking , Virgin , free ( secure ) .Had read noise night outside issue post , say problem whatsoever . two minute hotel old 1940 's tram system take $ 1.25 fare way downtown back . alternatively cable car stop also couple minute away . Fisherman 's Wharf little overrated , city many thing see , good base anywhere stay . would stay hotel ? ...... yes be safe , secure good location 
 Aug 10 2005 	 nice messy 	 location great , staff polite sure deal particular Maria . unconfortable thing hotel divide two building even check one could finish second one . problem , ask room face surround street , crowdy 24/7 . ask key access fifth floor main building two pc connect internet printer wait ( business center ) . hotel always crowdy well . 
 Aug 1 2005 	 Excellent Hotel 	 family recently spend 5 day Holiday Inn Express Fishermans Wharf , love . room junior suite comfortable , two double bed , couch , bay window , desk spacious bathroom . great shower , great big thick towel . suite come small fridge , microwave wet bar . complimentary continental breakfast every morning fruit , doughnut , bagel , cereal , sweet roll , juice , coffee , tea , milk . provide tray want take food room . great set - up . front desk staff everything would want . knowledgable , professional , really friendly . couple complaint stay . one time return room smell strongly cigarrette smoke , one time return day door ajar . maid not close . guess 's testament hotel San Francisco , everything place . room smoking room , smell must come throught venting system . two thing , everything perfect . great location , close everything want see . would highly recommend hotel . 
 Jul 24 2005 	 nice hotel 	 stay Holiday Inn Express Suites 4 night 7/1/5 7/5/5 . mini suite third floor view across Hyatt Hotel . minimal noise road below . I spend lot time look hotel San Francisco be not disappointed pick hotel . the room large well set . new modern hotel . quiet room . however , air conditioning loud would turn reach temperature noisy night . the bathroom spacious daily complimentary breakfast plentiful . the staff also friendly . location great . minute walk Fishermans Wharf , close would get traffic pedestrian noise Wharf . location right . I would recommend hotel . we several tour would also recommend : Alcatraz , Motorised Cable Car tour ( 2 1/2 hour ) , Cable Cars Union Square , Pier 39 great , remember location restaurant expensive . however great food , shop entertainment Pier 39.the Holiday Inn next door lovely buffet 4th July dinner , miss complimentary breakfast take voucher Holiday inn get 50 % full buffet breakfast take advantage one occasion sleep in . a nice hotel would defenitely stay . 
 Jul 24 2005 	 Great Location 	 return drive holiday California San Francisco start point . find Holiday Inn Express TripAdvisor , base review , book internet . hotel clean , comfortable great position , close within easy walk distance everything , Fisherman 's Wharf also China Town large central shopping area City . find staff hotel courteous helpful . apart obvious enjoyment visit Alcatraz tourist attraction , one pleasant memory gentleman serenade we other wait board morning Trolley Fisherman 's Wharf terminus . mellow personality wonderful voice carry back flower power day ! would happily recommend Holiday Inn anyone want reasonable price , great location bonus good breakfast buffet start sightseeing day . our stay provide pleasant springboard prove wonderful holiday . 
 Jul 10 2005 	 good value good location 	 arrive late evening check incredibly surly member staff . however staff extremely pleasant , helpful indeed . room clean comfortable view . free breakfast substantial item constantly replenish . 3 night thoroughly enjoy 3 1/2 hour tour city Tower Coach tour one day also memorable seaplane tour San Francisco bay next . would definitely return hotel 's good value location . 
 Jul 6 2005 	 Good Value hotel 	 hotel great , 's good position close fisherman wharf complimentary breakfast excellent varied choice , cereal , toast , muffin , doughnut , fruit choice beverage . room clean modern staff friendly - always willing help . good weather use pool sister hotel couple minute away . good choice would stay . 
 Jun 5 2005 	 Excellent Value - Great Location 	 stay first night arrive England long flight . room great location excellent . Nearby Fisherman 's wharf pier 39.the staff friendly helpful . especially case leave behind Chicago airline ! free internet access add bonus , able email family friend back home little research place visit . the breakfast nice constantly replace item eat . the hotel nice lobby average feel place . we would recommend hotel want excellent value , great location friendly service . 
 Jun 3 2005 	 ok price 	 ok hotel be budget . be near Fisherman 's wharf great . room extremely basic staff surly well less time spend hotel well ! be look cheap place rest head guess could bad . 
 Jun 3 2005 	 amazing staff great place 	 book holiday inn part honeymoon expect middle road- particular one amazing . amentie provide top class , place immaculate- staff amazing- particularly Brandy work reception- treat everyone like 5 star hotel . do not think ever stayed anywhere treat well - even 5 star hotel be not normally friendly polite ! ! ! 
 May 24 2005 	 great price ! 	 within walk distance wharf . economical consider price hotel nearby . continental breakfast donut coffee cereal , fresh fruit , muffin , juice , etc .. include price . front desk helpful w / direction transportation . room cute & amp ; clean w / HBO . 2 flaw could find 1 . ) room not view . , be hotel , not mind walk 2 block wharf , 's issue 2 ) San Fran hotel going cost $ 30 / day parking be close cable car , wharf , & amp ; bus not need car stay . 
 May 20 2005 	 great location 	 great location ! close lot tourist attraction accessable lot ! walk Russian Hill ( Lombard Street ) , Coit Tower , Nob Hill , Palace Fine Arts ( bit far ) . catch ferry Alcatraz Sausalito . use F - train lot get town . travel daughter feel safe time . 
 may 8 2005 	 great location tourist 	 great location Fishermans Wharf , trolley bus terminus , pier 39 ( Alcatraz trip ) Ghiradelli square , Golden Gate bridge tour . lot seafood restaurant shop . get anywhere , even walk Coit tower , would recommend stay city . watch hotel name 2 block send wrong hotel waste time try explain hotel staying ! room clean comfortable , staff helpful . free continental breakfast ( hot food ) good lot choice cereal , toast , boil egg , fruit , great donut muffin . 
 Apr 27 2005 	 Great Place 	 return stay Holiday Inn Express ( April 23 - 27/05 ) . GREAT VALUE . perfect location , clean & amp ; quiet room , comfy bed , free breakfast plentiful ( cinnamon bun great ! ) . location convenient . make sure go Scomas seafood ( lobster bisque well ever ! ) Crab House Pier 39 . also Pier 39 spa ' aqua massage ' ( $ 15 10 min ) soooooooo good . top level . not forget Buena Vista pub Irish Coffee call night ......... sooo good ! can not wait go back . 
