sparkle 	 Good point Hotel : Location . the Room - excellent size comfortable bed . nice view Jubilee Gardens quiet . good bathroom tea tray always welcome . Nice Bar pleasant view London Eye . Helpful Concierge ( one . helpful ) breakfast buffet also good breakfast staff efficient pleasant . not good point : room ridiculously far away lift - talk 7 minute walk . foot injury struggle brisk trot require . one previous poster state wished golf buggy scooter ferry we down . secondly check staff brusque lack charm . London graduation ceremony would think way funeral , dour . Marriott Rewards membership , sometimes staff check upgrade . however occasion book another website staff attitude effectively reflect this . not welcome Hotel wish pleasant departure spend small fortune accomodation . the ATP tennis tournament O2 many resident either tennis player supporter . get impression part troope staff do not give toss . addition , lift cover advertising tournament find tacky bizarre . completely spoil ambience beautiful old building . we find one give we direction concierge . absent one morning ask doorman direct we Covent Garden vaguely point sky mumble . attempt get taxi via staff door useless well luck public street . acceptable 5 star hotel . my final gripe oh pay £ 15 day wi fi ( concierge try convince free ) go Starbucks coffee get free ? ? always stay Mariott ( work many year ago ) know extremely high standard training require staff always apparent Marriott stay . however next occasion return one another London . 
 good even kid 	 stay 3 night little man forst birthday say go well hotel near perfect . food brill , service perfect , clenliness perfect , describe . issue distance lift room - miles pram tough lovely view London eye jubilee gardens can not really complain . great location dead centre London . 
 May 26 2006 	 great place ! 	 never London , wonder have choose right place special trip . turn would hit home run . hotel absolutely perfectly situated , staff exceptional quiet hotel ever stay ... anywhere ! comment several time trip - hotel capacity several night , yet still not hear peep . the room well appoint perfectly sized , bathroom large bed , comfy . staff could not nice . go visit Darius , nice young man tend Leaders ' Bar lobby get talk travel . pleasant interesting add nicely stay . I read review & quot ; long walk & quot ; room . yes , interesting place former office building ( would never know look ) , thus many wing lot corridor . would suggest need room near elevator , request advance confirm ahead . plan walk lot trip , many people , problem 90 second 2 minute walk farth reach hotel ( time ) .One add bonus - take Eurostar Paris . County Hall less 10 minute walk Waterloo Station - plan head Eurostar , could not well locate . we highly recommend superb hotel . 
 May 20 2006 	 middle everything 	 hotel good location imaginable . easily catch bus boat tour right outside hotel , walk tube train station , also walk number attraction - aquarium Dali museum within complex , London Eye right outside , Parliament Westminster Abbey right across bridge . family also enjoy walk Trafalgar Square , Tate Modern Globe Theatre , little far away . be do sightseeing day , walk along river enjoy cafe , bookstore , street vendor , street performer musician - 's even video arcade bowling kid age within County Hall . we enjoy hotel restaurant dinner ( though pricey ) , find many restaurant option within walk distance - cheap option include Wagamama , EAT , Manga ubiquitous McDonalds . room comfortable fantastic view parliament eye . father also enjoy pool , whirlpool steam room great massage spa . arrive hotel 9 a.m. room ready within 45 minute , get late checkout final day problem . staff encounter courteous helpful . however , get wake - up call , take back alarm case . pricey hotel , get great rate , grab go ! oh , pillow stiff side , prefer soft one , stuff space bag take . 
 may 9 2006 	 Lovely Hotel 	 simply wonderful place stay heart London . location , view , decor staff superior . yes , walk room bit long usual well worth . able walk almost everywhere . big Bus stop right front . westminster dock right across way well . amazing view Big Ben London Eye , make quite romantic setting . employee wonderfully helpful . eat concierge able make delicious suggestion . big downside feel length time take secure taxi . , stay a+ we . 
 May 6 2006 	 Excellent Hotel great location recommend ! 	 love stay hotel . everything fine , thing think wrong fact take navigate hall be room towards back not apply airpoint ask ( Marriott hotel fail , think administration side thing bit incompetent ) room excellent , really lovely nice . eat restaurant room - service absolutely fantastic . well locate basically pleasure stay in . I would definitely stay . 
 May 2 2006 	 fantastic staff 	 staff friendly helpful quite unusual London . breakfast definately average . room good size although river view could see stand rather high window . 
 Apr 30 2006 	 ` ` Brilliant '' stay London Marriott County Hall 	 family & quot ; brilliant & quot ; 7 - day stay London Marriott County Hall early March 2006 . dramatic view expansive & quot ; double - double & quot ; room ? Big Ben Houses Parliament , along Westminster Bridge ever - change Thames River Embankment area . delighted efficient creative assistance concierge , impeccable service housekeeping room service , graciousness management . pool relax long day sightseeing ( LINES early March ! ! ! ) . convenient location gorgeous hotel architecture combine make unforgettable first trip London 12 15 year old kid . 
 Apr 27 2006 	 wonderful stay 	 spend one night last week disagree one reviewer . so - call & quot ; long walk & quot ; entrance take two minute get many spoken & quot ; long hall & quot ; hotel , obviously depend room locate . since arrive around 2pm another part UK trouble get room immediately . upgrade regular balcony / Thames view room balcony / Thames view suite king - sized bed additional charge . pleased since pay government rate first place . great comfortable bed well - appoint bathoom . pool excellent , toobreakfast morning extensive service excellent . the view room , especially night , magical fun . would definitely stay . 
 Apr 25 2006 	 Way Rooms / Exhausting Walk 	 physically healthy , hotel ideal ! walk long passageway outside street walk seem like 1/4 mile get room . view , squinter tall person , scenery would idea . 
 Apr 5 2006 	 great Stay Children 	 Stayed end March 3 nite great stay . ask early check since arrive States around 9:30 a.m. real busy , however expedite room within 25 minute . great location . Big Tour bus stop right outside . Waterloo station Eurostar within 5 minute walk . starbuck right back door . internet cafe back door -- 1 pound 30 minute . hotel pool great kid . cash station right acrosse street hospital lobby . negative breakfast buffet overprice @ $ 35 US , w / Starbucks next door care . enjoy sit magnificent lobby study architchure ( sp ) . accomodate we w/ rollaway 6 ' 5 & quot ; son . room 2 queen bed comfortable . great location . helpful friendly staff . one fine Marriott 's world . 
 Mar 18 2006 	 romantic 	 wonderful romantic weekend . room beautiful great view Thames . breakfast 101 % Salmon Strawberries morning : ) 
 Feb 21 2006 	 Excellent New Year 	 amazing new year fabulous hotel , staff fab , even re - arranged whole dining room could eat together ( 6 we ) New Years Eve . firework amazing ! hotel fab location , . lot excellent every aspect - breakfast superb , highly recommend , especially family . 
 Feb 18 2006 	 honeymoon County Hall 	 stay civil partnership one Big Ben executive suite . worried Big Bens chime might keep we awake room well sound proof chime audible . sit clear night gaze Big Ben Houses Parilment look star sip champagne . fabulous . staff friendly professional without attentive . swim pool great food drink superb . one disappointment manicure . really worth £ 40 . nail technician seem rush nail chip almost immediately . 
 Feb 7 2006 	 Live expectation 	 totally agree previous reviewer . room give small , although suppose deluxe . web site hotel say room spacious . certainly ! breakfast average , hot plate holder hold stone cold plate help hot buffet buffet item hardly warm , certainly hot . queue people entrance restaurant wait table vacate . the hotel overprice , unless want pay extortionate price view . 5 star quality . 
 Feb 5 2006 	 good expect 	 good people think . I find room overprice . room average size WALK forever get room . food give credit wait get delivery . staff lobby polite way . feel cold smile genuine . other average 5 star hotel worth money pay location hotel . 
 Jan 17 2006 	 View Service Food Pool hotel . 	 stay 2 night 1/1 1/3 . got great deal riverview . look window Big Ben rest north bank treat . yes , walk elevator long , view well worth . room include 2 london eye ticket 2 full breakfast . breakfast good , imagine pay 72 pound bill come two . dining bar area invite . table bar allow lovely Big Ben view . we arrive late 1/1 , 5 , surprised find room yet ready . reception quickly sit us bar , pay drink offer cold breakfast club room two party partake full breakfast . such fine service reflect consierge come bar assist we use time advise resturant area book London eye . the pleasant experience hotel pool , sauna whirl pool . great way relax end week London boarding flight home . 
 Nov 28 2005 	 could get much well 	 check 10 day ( 5 personal 5 business ) would recommend hotel either . 5 7 year old part time , love hotel . staff great book sitter , call cab , etc . room fairly large , show minor wear , keep clean tidy staff . pool large great lap swimming . hotel bar cool ... great view Big Ben . concierge excellent many recomendation restaurant , etc . make sure go Wagamama restaurant , hotel . excellent Noodles ! Marriott Gold access nice executive lounge always stock coffee , bread , fruit , etc . try restaurant room service , many great place stay London . Use Westminster Tube stop . close Waterloo walk right across bridge . I stay two London hotel would rate high . great , historic building , close Covent Garden , Trafalgar , etc . view room excellent Thames Parliament . South Bank revitalize .. spot get well time . try book Marriott Points , get expensive , rest city . I stay probably 30 Marriott property last couple year , near top . 
 Nov 21 2005 	 great view room staff 	 stay Marriot London County Hall two night . room top ( 6th ) floor spacious well appoint , also balcony look Thames Parliament Big Ben . public area also stylish wood panel sort way . staff available , friendly helpful . highly recommended . 
 Nov 14 2005 	 Vert friendly staff exceptionally clean 	 stay hotel 2 night . staff helpful polite . room immaculate first time hotel bathroom grout silicone black . breakfast extensive nothing much trouble , poach egg cook perfection . the concierge brilliant knowledgable . the pool lovely clean abundance towell . work leisure industry standard excellent . one small niggle . go theatre unable eat leave decide use room service return Hotel japanese restaurant close , adjoin Hotel . food take 45 min , hot food cold bread stale , even tea cold . cost 37.00 feel little upset . however , staff could cooperative come check 37.00 deduct bill . overall would still rate Hotel highly would definately stay . 
 Nov 11 2005 	 plush comfortable hotel 	 stay hotel daughter friend half term October . special promotional rate room , would honestly say worth full price ! room spacious two double bed , child share one . bathroom also spacious whole room beautifully clean . we arrive around 3 pm spend hour hotel pool . get ready night theatre . due lack time order room service . finally food come , nice ; take long little cool . pay bill next morning notice 45 minute delivery promise ! would say wait nearly hour half . apart , service excellent staff friendly helpful . the location hotel perfect sightseeing theatre visit . I would definitely stay - probably next time go London ! 
 Oct 29 2005 	 go Views Location 	 great view available , view grassy area London Eye . room also long walk elevator , perhaps long walk ' ve ever hotel , ' ve stay large hotel . find long walk rather comic walk time exercise . the buffet breakfast may good one ' ve UK : two kind sausage , two kind bacon , scramble egg egg order , potato , mushroom , tomato , good selection cold meat , cheese , yogurt , fruit , cereal . breakfast area great view Thames . great way start morningthe chocolate pillow pretty tasty . also scarf cookie drink tea hot chocalte ever atfternoon appreciate find room clean second time every night . the negative heating cooling , matter thermostat end cool ( love sleep ) warm . whenever come back room usually warm . unless arrive train Waterloo , suggest always use Westminster tube stop oppose Waterloo . Marriott entrance Westminster bridge course walk along bridge much pleasant walk Waterloo . explore area around hotel relatively cheap food option . get kick & quot ; Yo Sushi & quot ; street behind . sit bar pick sushi conveyor belt . not order booze , get away cheap ( relatively ) , light healthy meal quickly , rather cheaply give inner child treat whole converyor belt business . the staff always friendly , helpful , efficient lot . start get tired greet minimum 6 employee door room , suppose 's well scowl at . we forget bring swim suit work clothe can not report pool spa . two heavy terry cloth robe room need . 
 Oct 10 2005 	 fantastic stay County Hall 	 Three we visit County Hall total five day . say good hotel experience long time . moment check time leave staff could nicer accomadating . highly recommend hotel traveler want fantastic view even well holiday . thank everyone make trip really memorable one . 
 Sep 24 2005 	 Average Service Average Rooms 	 Grovesnor Square pretty average hotel , opinion , bottom heap Marriotts London . undergone lobby renovation new restaurant try ( book early popular ) . real problem facility old . mean small , close - in hallway hodge - podge room nice decidedly ! staff attentive , club floor decidedly average , room service mediocre . facility hotel , , average . bad hotel , 's , average . 
 Sep 5 2005 	 fabulous hotel ! ! 	 moment arrive , know go amazing hotel . arrive totally exhausted 9:30 overnight flight . staff could not gracious accomodate . need two room travel teenage son . quickly upgrade we two room gorgeous view Thames Big Ben room minute ! can not say enough hotel location . staff every area helpful friendly . go way make trip special . location amazing ! walk distance many many attraction , Thames right door ! hotel great balance London charm american amenity . reason pick first place beautiful pool workout facility know day sightseeing kid would appreciate hang . fabulous little middle eastern restaurant right behind hotel call Troia . not look like anything special little strip store , well mediterranean food eat home . also , hair salon call Salon block away like home . convenient less expensive go Bond Street area- particularly want wash blowout ! concierge happily make appointment . we travel Paris well , convenient take Chunnel Waterloo station block away hotel ... make sure try pancake stand right across westminster bridge . hear another tripadvisor review definitely treat ! 
 Aug 21 2005 	 great hotel close good attraction 	 hotel great , especially first time London , close underground lot major tourist site . Big Ben Parliament across bridge , London Eye literally front hotel . hope find something little less expensive , end feel location justify price . one slight drawback -- hotel food expensive , not many moderate place eat really close . however , not mind bit walk , five block , plenty place street Embankment underground stop . close Eye cafe serve ice cream sandwich , well McDonalds . hotel staff helpful generally knowledgeable , room clean well maintain . picture show London Eye , County Hall Marriott building behind . 
 Aug 21 2005 	 Perfect Prelude 	 husband stay hotel en route european train holiday . book package holiday brochure expect room rear pleasantly surprised find large room overlook Thames . corridor long wind - know government building expect this . the room everything need ( besides ) , clean , well appoint comfortable . food restaurant seem little pricey London food absolutely top notch . the staff extremely friendly , helpful courteous . all well worth visit disappointment get meet & quot ; Red Ken & quot ; ! 
 Aug 20 2005 	 Superb staff great location 	 unless aversion water , would mad book room river view stay hotel : perfect view Houses Parliament across river get well one . building sensitively convert previous function home Greater London Council . public room view across river , library worth visit - perfectly preserve , quiet , good view all . the staff excellent - friendly , welcoming , enthusiastic . room good size - large average London hotel . tourist , ideal position many London 's attraction . highly recommend . 
 Aug 18 2005 	 fabulous way see London ! 	 husband , 21 year old daughter 12 year old son stay County Hall 10 night vacation . would absolutely recommend ! room large several & quot ; American & quot ; amenity , two sheet bed , ( brit use bottom sheet comforter ) , shower serious water pressure . pool really beautiful , staff cordial attentive . room come alarm clock bring one ! hotel perfect location . walk , see , ( hear ) , Big Ben Houses Pariament . right river Thames , take river boat many destination . London Eye also right next . Waterloo station short walk . remember pay attention paint sign ground look right left , cross street , drive opposite side look way traffic ! price London expensive , & quot ; top & quot ; . prepare serious sticker shock . keep receipt want get VAT back get form airport . Kiosk Leichester square get half price theater ticket day . well worth wait ! look walk real treat ! Explorer Days worth every penny ! eat least one meal pub order pint ! 
 Aug 6 2005 	 absolutely love London Marriott County Hall 	 stay Marriott County Hall week , think hotel gorgeous , room spacious , service exceed expectation . stay hotel July 7th , 2005 bombing take place . hotel staff immediately put extra security measure place , make feel unsafe uncomfortable . two day check shopping bag purse come , nice professional whole situation . hotel great location . tube stop Westminster minute walk across bridge could see Big Ben Houses Parliament hotel . would recommend Marriott County Hall anyone look fabulous hotel London ! 
 Aug 2 2005 	 Great Location 	 wife take 9 - year old son London July stay river - view suite County Hall . London several time , would certainly stay . room 5th - floor balcony provide excellent view Thames Parliament , Whitehall , Embankment , site . window close noise , air - conditioning work fine . room large two bath area , however , little disappointed low wallpaper rip ( one day encounter workman hallway wallpaper tell patch rip , take care thing ) . hotel decor & quot ; British & quot ; lot wood brass . Library overlook Thames also , serve tea . son love read new Harry Potter book area . London Eye right outside hotel , London tour bus stop . stay time 2nd bombing scare , yet staff helpful polite . one meal hotel . food good , son enjoy kid ' pizza . hotel expensive , especially consider exchange rate , worth cost . enjoy trip ! 
 Jul 11 2005 	 stellar location ! ! ! 	 fabulous location within easy walk distance Waterloo station ( Eurostar ) Westminster Abbey Parliament . gaze Big Ben midnight window amazing ! spacious room , immaculate great service . staff graciously store friend 's luggage visit we . small complaint : long , long walk room elevator ; County Hall build big , distance seem never - end day sightseeing . , reviewer note , hallway carpeting musty , odd & amp ; annoying consider hotel rating . 
 Jul 5 2005 	 wonderful location large room 	 hotel great location . return week vacation London . marriott room large king bed . in - law next door we much small room . lucke ' m sure ! Room clean every day turn service night . desk staff helpful answer question regard vacation . central location hotel great ! westminster tube station short walk across bridge . bus tour stop right outside hotel . 
 Jun 30 2005 	 great location .... lack ' Marriott ' Quality 	 interesting hotel - like Marriotts stay 5 night . large build old County Hall - say get build WALK room .... long way unlucky . view beautiful overlook river Thames London Eye Big Ben . good thing hotel location ( internet acess room - help husband stay connected work ) . little disappointed upkeep carpeting .... feel old .... like need redone . get crib 10 month old port crib dirty ! stain side gross . room large side europe ... overall dissapointment . good thing hotel go location . 
 Jun 21 2005 	 unforgetable ... unforgivable lip service 	 shame , London . elite member Marriott year ... experience something bad anywhere Marriott worldwide . the finger pointing , start , front desk staff housekeeping manager someone hotel trash dental retainer ( yes , give specific instruction CLEAN bathroom phone front desk staff ) . yet return room evening , dental retainer go ! please understand non - replaceable item two - week trip uk.the rudeness housekeeping manager anything & quot ; Marriott Way & quot ; . housekeeping manager come room witness staff . yes , someone CLEANED bathroom trash dental retainer . frustration , yelled hotel guest saying & quot ; want ? apologize already & quot ; Stephanie , manager duty speak multiple time , least show sympathy situation promise get back I . alas , Stephanie , Senior Guest Relations Manager , Miss Teddi agree . Teddi Medley write back say , & quot ; ... unfortunately thehotel liable miss retainer . thank value patronage though . & quot ; learn lock dental retainer safe next time go Marriott , ever go back London Marriott Hotel County Hall ! 
 Jun 20 2005 	 wonderful location 	 location hotel quite convenient could see Big Ben window . staff exceedingly helpful friendly , room beautiful comfortable bed , public area charm gorgeous wooden detail . feel quite home hotel . 
 Jun 15 2005 	 Perfect every way 	 everything hotel superb . the location fantastic . be 2 block Waterloo station , extremely close 2 subway line , travel quick whether go Tower Covent Gardens . view fantastic ! would definitely upgrade deluxe room . 's one hotel offer 2 double bed ! sit area even little make - up area hair dryer build drawer could store make - up . we order room service one night roll dinner table tablecloth flower it . my son forget toothbrush , problem . bring one within 2 minute compete little bitty tube toothpaste . they in - room coffee package cookie free kid love . room clean , shower large clean , bathroom big . outlet american plug build right wall , 2 . could open window bring fresh air . 2 set window , original window storm window . night , Big Ben ring every 15 minute , not wake . store luggage 2 day check could take Eurostar France without drag suitcase . do extra charge . eurostar 5 minute walk hotel . executive lounge : access executive room small price compared offer . access water , coke , coffee , cap , latte , fruit , 6:00am - midnight . plus , free breakfast . also put snack night like cheese cracker . would look upgrade , save lot money bring teen ! staff friendly . Gin executive lounge could not nicer . meet many great people too . I can not say enough great hotel ! would recommend anyone , especially be travel 4 people . 
 Jun 7 2005 	 great location 	 stay 3 night . manage beat check queue , reviewer correct waiting time excessive . great room overlook London eye , simply furnish Travellinns , functional . food good reasonably price . do not miss breakfast good value , kid eat free ! superb location central London , walk everywhere . however , lift something else . three , one work , mean long wait . stair emergency use seem . get stick lift briefly , could feel panic rise ! ! staff generally friendly , tend overseas , seem lack cohesion . in summary , would stay . good choice stay central London , ask ground floor room avoid lift ! ! 
 May 21 2005 	 Overlook Thames River ! 	 hotel great view Thames River . leave window open Big Ben ' chime ' we sleep night . great location . big Bus tour stop outside hotel , great way introduce London . also , close famous London Eye course , Thames River . centrally locate lot thing . hotel staff helpful part . get good recommendation restaurant thing London . stay Marriott Rewards point delightful continental breakfast morning along afternoon snack late evening treat . would stay ? absolutely ! 
 May 20 2005 	 ` ` fantastic '' Best london hotel 	 arrive doorman greet we smile take luggage we straight away , go reception receptionist polite helpful check we take we roon . wow room book special offer junior suite big ben view , could'nt believe big room . two queen bed great balcony sit complimentary bottle champagne . breakfast lovely hot buffet breakfast include room . include sausage , bacon , black puuding , toast , tea , etc . 2 night stay special treat we could afford definatley would . also there s great chinese restruant underneath marriott london aquarium ' ve twice definatley recommend . 
 May 1 2005 	 good hotel ever . 	 family stay many hotel well ever ! wonderful room lot space , fabulous view comfortable . the food superb location could not well - just aware congestion charge catch we Westminster Bridge . however good part stay attitude staff . without exception pleasant , helpful go way thing . also one 5 * hotel feel comfortable 4year old son make feel welcome . would recommend hotel anyone - we can not wait go back . 
 Apr 26 2005 	 Holiday London 	 nice room , nice view , housekeeping staff exceptional , helpful courteous staff , hallway extremely long mazelinke , ask room close elevator . find particularly helpful converter available room . convenient bus tube station make convenient location . Executive Lounge nice , food tasty staff exceptional ! 
 Apr 26 2005 	 excellent hotel 	 stay numerous so - call 5 * London hotel Marriott County Hall , whilst certainly expensive , far good . stay Big Ben Suite overlook river . fine , large & amp ; confortable room , twice size room Westbury , Athenium Savoy , albeit need bit tlc . the food delicious service professional , attentive friendly service ' ve receive London quite while . the critisism table - dhote menu restrict unbelievably remain unchanged 3 day . overall , though , well worth visit . 
 Apr 13 2005 	 unbeatable location impressive concierge room need well maintenance 	 great location -- right London Eye , River Thames - unless get river view room ! 5 = min walk acroxx bridge Big Ben , Parliament Westminister subway station . Waterloo Stn block hotel , good location disembark Eurostar . side street ( Belverdere ) turn leave hotel full restaurant different cuisine & amp ; good internet cafe . room spacious two double bed . good family . bathroom mirror frame need revarnishe . show tap handle miss ( mention review ) . great breakfast incl . room package . else cost 20british pound . overall staff friendly courteous . concierge knowledgeable , helpful humourous . impressive . first room face wall & amp ; service ladder , categorize courtyard view , intimidate . unforunate check - in power black - out wide areain south bank . arrangement smooth . long windy day hang around , power resume 8 pm nite . telephone still . bag room . catch surprise hot water shower . guest relation staff courteous polite . come back forth try resolve problem . offer take shower another room - ( no - way , be hostel , 's 4 - star marriott ) offer move another marriott midnite . , love location . put problem stay . fire alarm go 3:15am alert i'ts emergency . happy ending -- next day move room river Parliament view rest stay . that be Marriott 's principle service . the hotel management well skill crisis management black - out . guest alert possible aftermath guest stay on . despite mishap , return London . 
 Apr 11 2005 	 Great Easter break 	 stay 3 day easter holiday wife 6 year old son . stay London business genrally fe hotle poor ; not high expectation , pleasantly suprise . yes , room opposite end build lift reception walk mile , great side - on view Thames London Eye . hotel clean , standard bedroom decent size - rollway bed not trip ! breakfast excellent swimming pool large . staff friendly obviously train say hello good morning . Thames embankment outside hotel pack withn tourist every day , road back restaurant , coffee shop excellent small newsagent cum supermarket . 
 Apr 7 2005 	 simply marvellous 	 decide spend 4 night London couple friend mid - October period , book waterfront studio Marriott County Hall . property , home London 's government , feature one good view London , room 's balcony could admire Westminster Bridge , Big Ben Houses Parliament London Eye panoramic wheel . hotel convenient underground station across Westminster Bridge ( 5 minute walk ) . stay 2 guy room find spacious comfortable second restroom blessing main one clean fresh bathroom separate shower . the hotel huge ' well ask room far elevator ' wan na waste time stroll around corridor get room . room locate concierge floor , floor swimming pool , corridor smell lot swimming pool water disinfectant though room air properly condition smell free . club lounge definitely ' spacious , food average staff ' professional ' friendly polite . stay lounge rarely overcrowded nice breakfast pop appetizer quick drink . check ' smooth hope try charge additional night never sleep , produce reservation paper ( print Marriott ' website ) apologize everything go flawlessly . conclusion location ' beat ; hotel ' cheap expect something staff and/or property . 
 Apr 4 2005 	 bargain price normal price crazy 	 take polish friend show london 4 night problem tear wing chair spot toilet wall loose toilet seat knob miss shower handle furniture scratch , breakfast okay , could , not use pool / sauna trunks , pity .room kilometre reception , get hotel £ 488 four night book [ 2 people ] grab nice time 
 Mar 31 2005 	 Fantastic ! 	 spend week Marriott County Hall March truly say enough hotel . stay many five - star hotel , never receive incredible service staff County Hall . staff exceptional go beyond traditional hotel experience . decor quite lovely , location hard beat . would highly recommend request river view . room face Thames scenic view Big Ben , Parliament London skyline . westminster tube stop short walk across Westminster bridge . taxi service prompt coordinate wonderful bell staff bus service right front . build quite historic architecturally beautiful right . restaurant bar staff extremely friendly food good . almost not write review hope keep wonderful hotel secret ! 
 Mar 21 2005 	 Luxury hotel excellent service 	 grand opulant hotel lot wood panelling character . ask River view room view spectacular . book non smoking room upgrade balcony mini suite super despite smoking room - not matter smell smoke . get lose hotel corridor long . fabulous health leisure facility pool amazing , rare London hotel . breakfast good service attentive - good location want South River central . room huge bed seat area although one narrow french door onto balcony , little dark . view balcony though super - straight onto Thames London eye . 
 Mar 6 2005 	 great short London break 	 really fault hotel - even though past review bit mixed . stay two night Feb half term . lovely , quite spacious room overlook river ; clean comfortable bed linen . sixth floor close great pool ( large city hotel standard ) . corridor rather long ( other note ) exercise good ! hotel staff efficient , friendly courteous . light lunch lounge overlook Eye delicious ; breakfast , although first morning seem little unprepared many guest descend breakfast time .... Sunday ! hotel interesting building ( look back / white pic near elevator history ) marvellous location , next Eye convenient Concert hall shop across bridge . first Marriott stay hestitation recommend . book Marriott online good deal . 
 Mar 5 2005 	 Great Location Expensive 	 stay hotel short ( one night late check - in early departure ) see impressed certainly choose hotel again . firstly location terrific . can not think well location stay London River Thamas . right next London Eye , Big Ben Houses Parliament . build also historic architecturally interesting . when check , receptionist escort room show facility room - fairly standard hotel type . the decor room traditional may taste . perhaps 's time hotel consider redecorate slightly modern style respect history feature building . order room service breakfast , addition usual choice full English Continental breakfast heathly cook breakfast option ( egg white omlette ) . also la carte option breakfast usually not get London . negative point hotel expensive would try get discount rate booking . 
 Feb 21 2005 	 Excellant location 	 stay 3 night february half - term . typical high quality marriott hotel , fantastic location - bridge parliament , big ben , westminster abbey short walk imperial war museum ( free well worth visit ) . luckily enough river view , although room begin look bit tired - peel wallpaper bed not confortable expect . the county hall fascinating building , right next London Eye , original feature - together pleasant atmosphere . staff polite helpful beware expensive food drink price . I would stay hotel without doubt - overhall high quality hotel , bit expensive side . 
 Feb 9 2005 	 Excellent position 	 stay 2 night weekend . staff welcome friendly , large room overlook Thames . comfortable , clean well equipped . excellent position many tourist attraction , include London Eye , Buckingham Palace , Westminster Abbey , Horseguards Parade , etc , etc . restaurant comfortable river view , breakfast excellent good choice hot & amp ; cold , dinner good limit table d'hote menu , fact 2 choice day . price include table d'hote poor choice choose a'la carte pay difference , however food well prepare whichever menu choose . bar menu quite good quite expensive , Rotunda bar comfortable . would hesitation stay . 
 Jan 30 2005 	 give one miss ! 	 room fine ... 3 kilometre walk , okay . the downright rude nature desk staff unforgivable . never again.jr Marriott hearing ! 
 Jan 28 2005 	 Average Marriott can not beat Location ! 	 husband return 9 - day stay County Hall Marriott , use point . 's nice hotel , old County Hall building lovely , room enormous . staff accomodate helpful - concierge desk staff great . say , realize Marriotts good hotel around would place one solidly middle pack . location excellent ! walk distance everything - Parliament , Big Ben , Westminster Abbey , Tube . 10 - minute walk Trafalgar Square , National Gallery , Royal Festival Hall . number restaurant Belvedere Rd , near hotel , number pub across river Whitehall toward Trafalgar . especially like Archduke ( across Royal Festival Hall ) Clarence ( Whitehall Trafalgar Square ) .Be forewarn , price restaurant outrageous ! Sunday morning hot cold breakfast buffet 29.95 per person - 's Pounds , dollar ! be talk nearly $ 60 per person ! ! ! must eat ( one day ) , order la carte menu - delicious Eggs Benedict 8.50 Pounds . well breakfast option little bagel place Belvedere Rd . room service dinner one night would expect hotel room service quality price . exchange rate killer right , breakfast price totally line ! overall , happy stay - real problem , room nice service outstanding . however , ask whether would stay pay $ 450 / night pocket , answer would ' no ' . 's nice place , , not worth kind price . 
 Jan 18 2005 	 generally excellent shame leisure facility 	 wife stay 2 night 14 & amp ; 15 January 2005.firstly , good point . location excellent - Westminster Bridge , face Big Ben Houses Parliament , close London Eye , minute walk 2 tube station opposite direction different underground line . the building fascinating - use headquarters Greater London Council , far interesting average hotel . wood panel original feature impressive . the service reception meal uniformly polite , friendly efficient . the room large well - equip . now bad point . it expensive - try get deal include breakfast unless want pay nearly £ 20 fairly average meal . the view - want get river view ( supplement ) probably book month advance . wonderful view wall dingy courtyard . maintenance least room scratch price charge . tv remote control fall apart bathroom washbasin plug not work properly . but hotel really let leisure facility . pool large boring , decor uninspired , sauna jacuzzis ( pay extra , spa ) , even toilet shower change room . reception desk pool floor ! spa put price nearly 20 % last month - want £ 70 one - hour aromatherapy massage ( accord wife ) pretty basic real extra . query price charge , £ 10 high price quote booking month ago , get nowhere . so , , shame leisure facility otherwise good expensive hotel . 
 Jan 12 2005 	 unbeatable location ! 	 friend stay one night Thanksgiving weekend ( Nov 2004 ) . first trip London . location absolutely unbeatable tube stop several tourist destination close proximity . hotel staff hospitable generous . decor room & quot ; old english country & quot ; , , people might enjoy - taste much modern room environment might . tea service room excellent . annoying thing walk across Westminster Bridge tend crowded tourist take picture Big Ben , County Hall London Eye . say , highly recommend London Marriott County Hall . 
 Jan 10 2005 	 Imagine view 12 consecutive day .... 	 actual hotel stay fine - London business . due late booking , suppose , relegate room second floor excellent view backside ornamental statue . request room change day suggest receptionist room available . could post picture see ... recommendation : make sure request river view confirm view & quot ; jubilee gardens & quot ; unobstructe . 
 Dec 9 2004 	 Unbeatable Hotel 	 good hotel stay UK . obviously location second none view river Big Ben London Eye . the staff extremely welcome friendly genuinely seem pleased greet ensure stay pleasant possible . hotel well maintain , room large facility spotless . super pool , large quiet there . difficult say well quality staff location ; whichever would think book alternative London 
