pay 	 get cheap deal local travel shop 99 train hotel 2 night . arrive queue day night . 4 room 13 us 2 family 's room 3 small single bed camp bed kid refuse sleep . one room clean get look like someone party rang reception say would sort . great location tube bus 10 min away king cross . day come back around 10 pm room not do 5 kid is'nt ideal . breakfast horrendous like cold rubber staff really unfriendly go nearby cafe breakfast next day great . price pay did'nt complain pay full price something like 110 per room would happy 
 basic warm good location .... 	 book hotel ' weekend rail deal ' exactly get - deal ! room basic warm . hotel closely locate London 's sight seeing exhibit . want book somewhere impress would not reccommend , however , room book hotel . 
 like jail 	 simply price buy part good rate London BA.com . 's giant hotel right Russel Sq , convenient king X Piccadilly Line Tube . , be pretty much horrible stay . single bed suitable chlld 10 , adult . courtyard middle look like jailyard , miss weight . blanket drape hang window , wait fire start , especially drunk Belgian Standard Liege football supporter scream . take pub lobby courtyard lose Arsenal . heat room unbearable would not switch . sleep window open , hope noise drunken Belgians would soon go away . bathroom ok , pretty clean except towel stain . bring toiletry stay b / c will get 3 mini bar soap that s . be look bed hotel 's well locate , reasonable safe , cheap , stay . though , would recommend sister hotel , Tavistock Royal National . luxury missus definitely enjoy stay get lucky . thank goodness travel male friend , use place crash going drink London . convenient vist Arsenal Football Club . 
 try hotel side street 	 well arrive queue mile long book , every morning afternoon , wait half hour give key room . room adequate special , neither alot space . spend day come back 9 pm buy drink bar no - where sit go din area get kick drink unless buy hotel ? ? four we ask would need buy able sit din area almost empty , smile know get repeat automate statement ask much glass water ! ! say £ 5 agree say would ask leave . spoke manager reception say not dept ? ? go bed.8am get knock door house keeping .. & quot ; leave today ? & quot ; & quot ; er tommorow . & quot ; ok need clean room . go downstairs speak manager explain would well keep night bar sleep knock we 8 morning holiday , get bar becasue space . say would speak housekeeping , dept . go breakfast queue 3/4 hr room , actually get straight back room 10.15 not clean ? ? next morning thing happen again . so summary room small , great queue , slow book , broken lift , morning wake call clean wether need . one responsible not anyone dept.you buy drink drink . positive food good 's near station . would go , way ! ! accross road stay president , ambassador county hotel 100 % well , price much friendly . it would appear way make hotel change attitude let customer know alternative . 
 Jul 2 2008 	 stay away ! 	 , without doubt , horrible hotel ever displeasure booking . book four night stay BA Holidays not even stay 4 hour . arrive Friday ( 6/27 ) around noon even though request early check - in since flight arrive London 9:30 , still allow check 2 pm . knew not going stay four Seasons , place gross ! get room , take flip - flop immediately put back carpet disgusting . sheet threadbare dirty . bed look like not replace 25 year . light horrible , mattresse thin uncomfortable , toiletry speak air conditioning . understand a / c yet something establishment UK , lead unpleasant musty smell even window open . needless say leave practically immediately . move Thistle Kensington Gardens , $ 25 per night , absolute dream . the picture make place look nice , not fool ! 
 Jun 28 2008 	 oh noise noise noise noise ! ! 	 get 2 night & quot ; free & quot ; British Airways package deal - think over - price . place giant backpacker 's hostel full noise . could hear every word conversation next door room ( normal voice ) loud yell corridor seemingly night every night . include & quot ; continental breakfast & quot ; awful - toast thin white bread , plastic jam , cheap cereal wash coffee & amp ; tea neither taste like coffee tea . the Royal National great location ( street outside also noisy window single glaze ) Russel Square tube 100 yard away load bus . walk Covent Garden Regents Park will not kill . front desk staff friendly helpful . 's much help keep awake night , bed uncomfortable breakfast not worth eat ( lot local cafe offer decent breakfast 5 pound head ) .On positive note , room decently large London shower oodle pressure , height hot water . the adjoining & quot ; London Pub & quot ; insult name . go Southampton Row Queens Larder . 
 Jun 27 2008 	 kid 	 return 1 night Royal National . luckily enough one night . travel london 1 day course , look forward nice night rest course follow day , unfortunately happen child run riot corridor bang room door , party adjacent room . free full english breakfast lot desire . like stay youth hostel . location hotel perfect need , certainly return hotel . 
 Jun 25 2008 	 Great Value 	 stay hotel British Airways package deal . deal $ 500 - round trip 2 night hotel . price , not bad . ' m aware british hotel completely different US hotel , disappointed lack cleanliness hotel . advertise continental breakfast , mean container bread ( perhaps suppose toast ? ) OJ . eat later morning breakfast room dirty . bathroom terribly clean . , however , impressed size room . location great - close Russell Square tube stop far British Museum Eurostar . great deal , might , would tempt look elsewhere find something clean . 
 Jun 25 2008 	 great location 	 Hotel easy get Russell Square underground station . exit station turn leave , keep walk . later need turn right . hotel website give good direction . very well price . hotel large tourist hotel many tourist bus stay . free continental breakfast . many sight see bus pick hotel . if arrive early , leave bag storage room free , however check want leave bag later , pay keep storage room . 50 penny per bag . the reception also 24 hour , open 7 7.30am morning need check early give key concierge make sure settle bill night before . all , good location , room also good size lift . 2 building hotel , make sure enter right building room . 
 Jun 16 2008 	 make be mind 	 stay royal national hotel weekend shopping theatre break . like another guest pleasently surprised reading review , hotel busy 24/7 nationality age . room clean clean towel every day . great location theatre shop public transport , book London Eye ticket reception save we queue . restaurant also busy bit like back school food good enough breakfast worth . get good value money weekend break perfect location . warn though , expect 4 star accomodation 3 star price will not get Royal National good 3 star extremley busy hotel , want good clean accessible hotel frill book Royal National looking would give miss . 
 Jun 11 2008 	 " good value ! " 	 hotel easy get train bus . hotel staff / reception also friendly helpful . the room basic clean cheap . full breakfast also definitely worth get ! 's good romantic getaway definitely great tourist want somewhere clean , safe & amp ; comfortable stay in . the thing say be locate main road , tad bit noisy be light sleeper . even say , would definitely stay convenience good value . 
 Jun 6 2008 	 brilliant basic hotel 	 read bad review place pleasently suprise get . location great , right round corner tube.room really nice , spacious big window . shower bath really clean . perfect weekend away ! breakfast que bit long large hotel london ! go indian eat restuarant quiet nice . go great bar round corner brill night , london pub attach hotel also fun , get busy lively night good food ! overall - great value money ! ! 
 Jun 4 2008 	 Royalty 	 Royal National one big busy hotel London yet still maintain high accomodation standard . room ( include bathroom ) clean spacious . not much view except courtyard look view room . location perfect - 3 minute walk Russell Square tube station ( picadilly line ) . staff reception extremely helpful friendly . complaint breakfast service . cuttlery dish clean properly . something thr Royal improve . 
 Jun 1 2008 	 Somewhere lay head 	 sister book hotel one night base go West End show birthday treat . easy find come subway Russel Square . check problem find room easily . room clean tidy - basic whole problem . lovely hot bath ( watch water - red hot ) leave west end . breakfast next day fill we ( really much eat ! ) able leave suitcase safely whole day ment could explore London without baggage . overall complaint ' cheap n cheerful ' . 
 May 31 2008 	 well serve 's purpose 	 spend 6 night hotel May 22 - 28th part college theater trip arrange travel agency . hotel clean enough , not problem , relatively quiet room . old hotel small room / bed probably go London part arrange tour would stay since cater youth group . young people ( 62 year old grandmother ) polite . mainly sleep bathe ( shower work great ) hotel , busy enjoy London ( great city ! ) . free breakfast sufficient , dry cereal , toast , fruit , juice , coffee & amp ; tea . coffee par opinion . find good coffee ( pleasant staff ) London Coffee shop hotel courtyard 1 pound 30 penny go 2 cup coffee go breakfast day . room look busy courtyard , see would noisy since sleep window open , be A / C , tour bus arrive 24/7 load unload . find hotel personnel friendly helpful . ATM snack machine lobby . yes , would stay part group tour , arrange trip would pay bit book spacious modern hotel . 
 May 31 2008 		 stay Royal National 3 night get 2 night free booked airfare BA . certainly top - notch hotel , pleasantly surprised base last experience London hotel ( Leisure Inn ) electrical fire room . room ( 2 night double 1 night triple ) spacious London standard , bathroom - toilet separate room shower & amp ; sink . location excellent - block Russell Square tube station staff friendly . hotel bit noisy crowd - seem though hotel use lot large tour group rather individual , not wait long check - in . friend tell we recommend room high floor face courtyard quiet room first 2 night . hotel triple face courtyard street - side 3rd night , noise unbearable . if look luxury accommodation , not stay , be look relatively inexpensive ( London standard ) , clean room good location , Royal National fit bill . 
 may 26 2008 	 horrible experience Royal National Hotel 	 ' ve come back London stay five day sleep four horrible night Royal National . we give double room extra bed instead triple bedroom book . room narrow uncomfortable . couple 11year old , give two hanger one small tower . 's blow dryer be even give shampoo . for breakfast always show yellow paper can not even remember 's call , be give toast , butter jam eat , coffee , tea , milk orange juice drink . feel like egg , bacon , etc pay 4.50.There 's high shower bathroom , even one hold , obviously , shower cap , even ask some . the personnel not speak understand english well ( ( except desk ) , be unfriendly unhelpul . it be always full noisy student , wait age lift take up / downstairs . on first morning , literally chuck build building room room breakfast not enough space sit everybody . we tell queue wait must forget 'cause nobody come call we even though many people leave room . we check till 11h pay .50p fer bag request keep hotel . quite frankly ' ve get blame english friend ( ' m portuguese ) warn hotel , quote , & quot ; rubbish & quot ; . listen ... 
 May 23 2008 	 ' ve never see dirty hotel ; pulbic toilet clean 	 arrive hotel check - in concern look outside . get room , get pretty much expect . dirty ; need dust badly bathroom floor dirty . walk , look around , go book another hotel online . hotel may seem cheap , be worth 's charge . 's disgustingly dirty . not need high - end , can not handle dirty . be popular among adolescent , young twenty year old , be friendly ( guest , staff ) . ask concierge call cab go hotel , call cab company tell would set 40 GBP ( $ 80USD ) . grab one drop someone cost 14 Pounds . not know deal cab company ; tell price find go upscale hotel Hyde Park . course , would not give money back 4 night , could stay place . need condemn . travel agency ( flight centre ) describe three star hotel . 's 1 half max . 
 may 16 2008 	 Contiki 	 stay night Contiki night get back Contiki . night ( bf & amp ; ) give room narrow two single bed . little bit noisy car / bar downstair courtyard sleep easily enough ( even window open ) night get back Contiki give double bed room much easy maneouvre around . people go Contiki tour perfect place stay - tube station around corner , hotel easy find departure point courtyard hotel surround . 
 May 14 2008 	 want not 	 expect great thing place read review web , flip side coin care much either . our family journey design child mind . three day London , take show , sight , museum family two day Gay Paris follow one night London . fact hotel not really mean much , child , location . that say upon arrival hotel seem resemble grey , awful block see tv youngster former East Blockwas bit cattle market staff efficient see we book process quickly . our room small would like old alluminium window really keep noise street , really matter . day Covent Garden night theatre simply sleep . the next morning get Breakfast say efficient service poor quality yet another cattle market . porridge like milk oat full English disappointing . sausage dire Royal National , change ! oh bacon could crisper . say obviously cater literraly thousand people . read somehwere hotel 1600 room ! ! overall summary hotel reasonably clean , room need modernisation , coffe AWFUL ( sausage ) , staff good . infact think praise need go staff seem willing whole friendly . the Main bonus hotel 's location . see many review site need go detail , actually look amount foreign tourist hotel fealt tad unsure . Unsure think England standard . , fine , wife horrid foreign tourist must cast poor light country . like know ! 
 May 12 2008 	 Cheap 	 London family 2 night stay include theatre show . room smallish basic , look clean surface - though end stay need pull bed , drawer etc thoroughly clean time . Tea Coffee make facility room arrival consist kettle 3 small carton milk - saw maid trolley full supply outside corridor help 2 packet supply , male cleaner return try explain tea coffee , ask room , follow check not already , see empty tray nod agreement could supply ! expensive item go miss room , go report guy concierge desk initially try fob we tell we wait housekeeper morning . return desk another sympathetic guy call security manager , take detail promise investigate matter , check CCTV etc . however speak Head Housekeeper morning try insinuate maid not hand item ' lose property ' - could not seem get understand item leave occupied room lose property leave alone , tamper remove . Breakfast Sunday morning bit scrum , many guest enough space dining area . find unoccupied table big enough accommodate 6 us group still remain previous guest 's breakfast tray . waitress fill cereal container could not see staff vicinity ask politely ( thought ) table could clear - shout ' be buffet ' - ask ask wave hand around randomly , continue fill container - excellent customer service ! ! ! ! waiter however work hard , clear wiping table quickly go refill drink breakfast clear away come back ! overall hotel adequate - reasonably price well locate attraction yet busy noisy - except noisy reveller nearby pub 3.00 a.m. probably hear window open due heat . would stay location , would probably give hotel miss due bad experience miss item . 
 May 7 2008 	 Watch 	 hotel good extreme budget traveler backpacker alike . room narrow bed dispose side side line ! ! ! honeymooner watchout ! bad luck get room locate close one assign bunch child ( middle high school student often spot Royal ) pillow fight sprint competition corridor companion . three night never come back situation ! PS : biased review must state location good , near British Museum Russel Sq . underground station . 
 Apr 29 2008 	 royal national 	 book hotel stay Royal National expect brilliant hotel somewhere cheap central we stay . first read review website worry condition hotel poor . however turn well expect . room stay night roomy , clean tidy big enough three we . hotel large lot corridor make difficult know . however be not much problem . breakfast good price food definitely fill ! would stay hotel cheap place shop however would not go holiday ! ! 
 Apr 28 2008 	 want Ritz go Ritz course ! 	 would like know kind hotel usually visit people write terrible review . one month ago find web booking cancell . . agree hotel lot point improve price place superb . check fast , room clean , little sound bar ( tired walk London notice ) , bed good enough sleep three night ( course , whole life ) breakfast ( even hot chocolate milk , need every morning ) fair fee ; need service , fashion image less kid hall , tip : pay money hotel , maybe ( guarantee get , know trip hotel , sure know ) .kind regard , 
 Apr 27 2008 	 Faulty Towers without laugh ! 	 hotel basic say least £ 100 per night , not cheap ! hotel staff unfriendly reception desk , room dire need refurbishment . bed uncomfortable blanket small cover two people double bed . the shower borrower short ! constantly bang head . view room , look onto room look like something Eastern Europe circa 1960 ! breakfast absolute joke ! get breakfast wander around , look free table , whilst full English get rather cold . staff restaurant rude decide begin tidy around 9.30am even breakfast Sundays 10.30am . leave half drink machine use , decide half way breakfast get another juice , prepared queue , , allow breakfast become even cold ! want leave luggage whilst explore London , prepare queue 30 minute tell room hold ! bring 1 ply toilet paper attention , take ! ! hotel one huge , price joke . do not bother price stay hotel Sussex garden ! good location . 
 Apr 27 2008 	 not Bad expect 	 friend & amp ; stay Royal National total 4 night May 2004 Contiki trip . book hotel Contiki ( tour leave hotel ) read review tripadviser freak ! ! try change accommodation would ' ve lose money prepare worst ! fly 6 am Heathrow Sydney tired exhausted take tube Picadilly line straight Russell Square station . beware 195 stair ! take lift street ! short walk Royal National , pass Tesco across station . walk street , first impression upon enter courtyard OMG place MASSIVE DEPRESSING looking ! foyer quite pleasant though . tell could not check 2 pm , leave luggage luggage room . despite die shower food , see queue door Windsor breakfast room & amp ; hear terrible breakfast , do not want risk decide go walk . find shopping complex past Tesco Carluccio cafe chain . Thankgod Carluccio 's say ! breakfast every day stay ( even though breakfast include accommodation ! ) good italian coffee & amp ; pastry deli meat & amp ; cheese & amp ; bread could buy make sandwich lunch . go back towards hotel & amp ; get Big Bus Tour leave outside hotel cost we 18 pound . take via various route around city tourist attraction hop hop f feel like . absolute god - send proceed spend next 4 hour bus go around city . good way waste time tired & amp ; jet lag & amp ; let get bearing city . soon 1 pm , head back hotel & amp ; check 200 people ! yes hotel busy & amp ; full student suprisingly , also full people 60 year plus ! finally find room honest , pretty good state . yes old need refurbishing , everything spotlessly clean - first thing pull back bed cover & amp ; inspect sheet clean ! bathroom also clean run hot water ! Tv work . bed comfortable enough room bag ( never unpacked ) . notice hairdryer ( mine blow upon first use ) go reception tell go house keeping . getting lose , find & amp ; shock 20 pound deposit ! ! ! get old dryer least work ! first night sleep like baby due jet lag , morning woken 5 am slam door tour bus leave courtyard room overlook . breakfast spend rest day sightseeing return room night . room clean . hotel internet terminal fee downstairs north side hotel though connection be not great ! 2nd night hard sleep notice siren every half hour , hotel Hospital zone London , get use . luckily must ' ve quiet floor not one party hallway whole time stay ! rest stay pleasant . prior leave 2 week tour check backpack souvenier luggage room 2 week ( fee , 50 penny day think ) thinking have never see ! happy & amp ; suprise return 2 week later still ! ! stay 1 night organise night reception book we transfer stanstead airport 5 am next morning . staff helpful . next morning transfer wait we exactly 5 am . overall , stay Royal National good . hotel fantastic location , feel safe walking around night , plenty restaurant nearby , tesco waitrose close shopping centre price fair get . meet basis need provide not expect 5 star luxury ! yes get sick see many people around tolerant travel ! would stay budget : ) 
 Apr 25 2008 	 ideal room central location 	 reading review hotel worry stay Royal National . on arrival check early mean however fine available go room , however have not possible room able leave bag porter . check charge leave bag however check cost 50p . I stay triple room , good size also clean . room mean 1st class , money pay would really expect ? good sized bathroom bath / shower room tv available . room like stay average travelodge . the breakfast good , read review dread , however two different place , south north side hotel , realise untill meet back friend breakfast realise eat different place . breakfast however south side choose would like put plate however north side . south side main reception area , nice bar friendly bar staff . ice cream lover ben jerrys ice cream vend machine ! ! location hotel central , way busy london however far away either . 200 m walk tube station , line could take straight leicester square want oxford circus bond street change holborn next stop along . I enjoy stay hotel would definately stay room stay London . definately ideal room , group people go other come sightseeing , shopping show . however would recommend hotel would like stay holiday ! ! 
 Apr 20 2008 	 senior traveler 	 read teriffye rewievs cancel reservation hotel . fortunately . yes , agree hotel huge , impersonal . breakfast poor , , believe , stay place bad price ( 70pounds per night ) o.k . ! get room ( room clean enough ) , simple breakfast ( buy breakfast pub not like hotel ) important PERFECT LOCATION ! ! ! ! hotel suit young people , party go , attitude , noise . sleep peacfully . of course , hotel suit senior . big , loud , enough service , people say GO , find well place pub & amp ; party stay London ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Apr 16 2008 	 Ideal school trip 	 Stayed School group . . big , impersonal hotel central location ideal school group would not choose . check check fast efficient . room basic . food basic . need conveniently locate bed night Royal National fine . 
 Apr 16 2008 	 O.K . 	 wife , teenage daughter stay hotel night 14th 15th April 08.just round corner Russell Square tube station , book hotel 12.45 afternoon arrive Lancashire . straight forward booking , nobody else wait reception . triple room look Bedford Way bit small suit we early back late , use sleep . bathroom sleep area clean . we early Windsor room two morning breakfast start 7 am . choose full English sit table near window . complaint , end day depend expectation be . although basic lot teenage kid stay , not stop we fall asleep night . would stay go London see another west end show . problem we . 
 Apr 15 2008 	 Excellent Stay 	 book online British Airways Holidays - fantasic deal . booked room 2 adult & amp ; 2 child . spacious room ( London standard ) , clean clean bathroom ( always important ) . Maid service every day change towel daily . wall little thin though - never noisy neighbour bother we . staff friendly accommodate luggage room ready check - out . huge hotel & amp ; huge lobby - always busy . hotel appear base university / college student - thus vibrant atmosphere place . continental breakfast adequate ( include rate ) comprise cereal , croissant , toast , tea , coffee , juice , etc . cook breakfast available fee never try it . overall excellent value money definitely stay . lot bad 3 & amp ; 4 star hotel . 
 Apr 11 2008 	 horrible 	 place totally remodelle . stay 4 night ( mistake ) dirty bed linen , ratty blanket , single pane draughty window , mouldy shower could go ... also hundred noisy teenager romp build night long bang door play ball talk loud supervision ! ! bad experience hotel ever ! ! ! ! never ! ! ! ! 
 Apr 7 2008 	 absolutely Vile ! ! 	 hotel pit , fool website , staff foreign understand request , twig bad green carppet wall lift ! ! ! breakfast cattle market que door fight table sit alongside complete stranger . the room hoover dust long time musty smell , furniture date basic , hair dryer - 20 quid deposit visit housekeeper office obtain one ! ! ! ! toiliterie horrible plastic wrap soap . we stay two young child could spend relax time horrible room , nine straight bed 10 pm ! ! hotel even class cheap n cheerful cos , imagination . London great love show Grease London eye , rainforest cafe must visit , expensive food worth every penny . 
 Apr 7 2008 	 Horrifying 	 well , outside lobby look nice . meet 100 tourist lobby wait 20 minute check . finally get room ugly , dirty tiny . blanket one bed fray stained . ask maid would change , use blanket similar shape . window 1/4 inch gap noise street loud day night . interior hotel noisy well , lot youth group stay , slam door laugh hour . make 20 pound deposit junky travel hairdryer overheat . could go , think ' ve make point . know chain Motel 6 ? well , room not nice . 
 Apr 7 2008 	 Excellent 	 stay hotel 8 night March 2008 first great location , short walk russel square station . hotel clean , room average capacity ' convinent london scale ' . breakfast good . staff friendly .Of course need refurbishment , let upset regard advantage . go breakfast room early ( 7 o'clock ' , avoid delay 8 - 9.5 , crowedIn general think one good deal London . 
 Apr 6 2008 	 least be cheap ! 	 cheap rail / hotel break two night stay London . good thing trip price , 2 night rail Durham king cross £ 105 - can not complain . however photograph brochure look quite nice convinced bag bargain ! enter hotel amazed busy - full kid every nationality ! arrival show room , boarding carpet lift ! greet long corridor full kid pyjamas - obviously school trip , room locate middle large party school pupil Europe . teacher find ridiculous would integrate stranger within room hold teenager ! enter room think transport 1970 's , décor tired looking , room unbearably hot lacked basic facility e.g . hair dryer , toiletry etc . although room bathroom appear clean . breakfast chaotic direct another din room side building - require go outside snow ! despite facility building stay . breakfast appear good value money nice - can not say poor quality tea bag use ! second night keep awake night noise teenager next room ! however phone reception problem sort quickly . would go back , yes simply could not afford go anywhere well ! ! 
 Apr 6 2008 	 ideal practicable 	 book hotel Superbreaks ..... firstly not . wife book suprise well rob . book rail , accomodation get ticket there . back hotel , place massive like personal touch , not go . ideal place site theatre land though . the room clean plenty space equip basically TV , kettle cheap tea coffee . the bathroom clean shower powerful , basic supply , soap clean towel nothing more . this place busy check concierge help take age get . note ask concierge book cab today tell go rank outside , nice chap ..... breakfast first morning nightmare , queue 20 min outside dining room , 15 min inside dining room breakfast . . serve , ' attilla hun ' slop breakfast plate shove we , even ask we want . defence though , busy lady table say stay week first case type queue service . today breakfast different matter , straight , ' Attilla ' ask would like food hot well present . staff attitude service leave lot desire honest would not stay . lot staff courtious helpful , important one , like reception concierge . 
 Apr 3 2008 	 bad 	 book hotel special offer British Airways , stumble onto bad review rating subpar . ' m glad not cancel reservation . room small simple check - in nightmare , since hotel many bed . , be great value money . excellent location right around corner Russell Square station Picadilly line . 's busy area , hotel floor exceptionally quiet . book next trip London . 
 Apr 3 2008 	 another group 	 teacher group high school student stay Royal National two night . read reviews daughter stay last summer choir group . bad review , good either . thing positive hotel location attentive staff . room clean bathroom . check , hotel big , pile dirty linen hallway leftover tray room service . attractive ! room quieter side hotel , students'rooms courtyard hard time sleep noisy hotel cater mainly group student age . matter fact credit hotel , room next young spanish student , old 14 , 1 morning , still hallway , make lot noise . husband call concierge immediatly go , herd youngster room , stay hallway quiet . not know chaperone ! breakfast pitiful : dry , white toast , cereal orange juice . 's ! hotel claim 3 - star hotel , one chaperone trip joke say like 1/2 star hotel . 's step hostel . survive two night , would stay . 
 Apr 1 2008 	 Disgusting Noisy 	 Noisy concrete jungle hotel arrival cobwebs reception . enter room meet damp smell . bathroom sink & amp ; bath still previous tenant hair . also dirt mound corner bathroom area . room not dust cigarette burn curtain . hotel really need good CLEAN ! 
 Mar 31 2008 	 do not put people 	 read review book , go london head hand think husband would say hotel special wedding ann.if time would cancel reading comment . pleased hotel clean staff nice english breakfast good great location great idea meal go superbreak fantastic value money . well do concerned . fantastic time . back thank 
 Mar 30 2008 	 Excellent location 	 stay hotel accompagne teacher group 18 teen . Royal National hotel exactly look for . price : hotel , rate display 200 $ triple room . pay 99 $ room ( total 8 ) travel agent ... location : block underground ( Russel Square ) . sightseeing tour stop directly front hotel . convenient store across street , Grocery store shopping center 5 min walk away . many restaurant British Museum less ten minute walk awayroom : small , clean ( except ceele ) , bed ok . dark . however , noisy ( thin door ) many student group hotel . staff : even 11 pm , least 10 person behind counter reception concierge desk ! breakfast : Break , toast , cereal , tea , coffee , juice , etc . extra 4 pound english hot breakfast . note : arrive 10 ... get room right away ! 
 Mar 25 2008 	 stay away ! 	 one bad hotel ever stay ( ' ve stay bad one ) . room adequate staff rude unhelpful . hotel understaffed check - in take forever . hotel seem clean enough surface strange rust - color liquid begin ooze bathtub faucet . unfortunately give first floor room , mean lot noise courtyard area , complete noise ( particularly loud conversation ) cleaning staff begin 6 am . one morning , clean staff vacuum 45 minute immediately outside door begin 5:50am . even worse , hotel & quot ; disturb & quot ; sign ( anything equivalent ) , clean staff would barge random time morning regardless whether sleep , shower , change . one morning enter room three time , twice without even knock . would stay away hotel cost ! ! ! 
 Mar 24 2008 	 Bed bug ! ! 	 bad hotel ' ve ever . bed bug room man reception desk say : well , happen .. ! ! ! please careful , ' m take strong medcine bug : ( ( ( really awful . never , never ever . 
 Mar 24 2008 	 Poor Hotel Good location 	 stay hotel hotel originally choose overbooke arrival bring here . it large hotel 7 floor , cater coach party budget traveller . room typical budget hotel - small , clean tidy en - suite facility . towel , tv etc hairdryer . the continental breakfast appalling . Cereal , soggy toast ( jam marmalade ) , orange juice serve plastic cup lukewarm tea & amp ; coffee . location quite good , close Russell Square tube station . plenty restaurant nearby ( Southampton Row ( include Pizza Express etc ) although room acceptable , would use hotel . 
 Mar 22 2008 	 Basic adequate 	 stay two friend Royal National quick trip London February . location great , near Underground shopping center get coffee morning ( grocery store ) . breakfast hotel , need Starbucks . hotel BASIC clean ( remember need take washcloth England ) . upside price fact offer 3 single bed room . downside noise . first room courtyard type bar / restaurant soccer group intolerably noisy hour night . complain , promptly move we room face street , preferable noise courtyard . noise , complaint so - call conceirge desk basically useless . get good book ( Rick Stevens quite usefull ) figure . want save money lodge , acess central tube line ( take underground directly Heathrow stop - walk distance hotel two block ) place . want nice look accomodation luxury , go somewhere else . plus tourist bus take London 24 hour stop right front hotel . two seperate bus company make stop . one Original London Tour - not remember name . 
 Mar 21 2008 	 well ... ' ve see bad . 	 like many TripAdvisor member , check review room book . upon arrival London , expect find suffer hovel . fortunately , really case . Royal National definitely cater student group accord feature price . 's 2/12 star hotel - halfway dump excellent place . pro : • clean enough - win award , ' old hotel " dirt " wear - n - tear . room three wonderful trait : clean bathroom , great shower plenty hot water , light blocking curtain let sleep past dawn . • quiet enough - many teenager gallivanting , place quite crowd rowdy day ; night , never problem noise.• cheap enough – compare similar London hotel , one ' neither bargain wallet buster . • friendly – staff always willing able help , never grumpy so.• Continental Breakfast – " note " section . ' really much pro , include room rate . • convenient – several small grocery / convenient store nearby ( helps save money food ' tight budget ) , Russell Station underground entrance block away ( handy ' travel around London ) , several close bus stop , British Museum less ten minute walk away ( great appreciate art ) .cons : • bed – hotel ' major pitfall , ' small matter . bed room single ( small twin ) feel like use trampoline many youth precede . get unqualified , & quot ; worst ever & quot ; rate many hotel stay . never get decent night ' sleep , really miss good ol ' american mattress back home.• many kid – nothing child teenager , hundred overwhelming loud , plus make get hotel chore time . also , ' upper floor head morning , find elevator ' pack kid almost impossible . give wrong impression , impress well - behave polite ; many . • really busy – depend arrive / leave , check hotel involve substantial wait . accommodate large student group drawback . note : arrive check - in time ( 2 pm ) offer free baggage storage , quite convenient . like use washcloth hand towel , ' bring ; provide rug / towel floor outside tub , bath towel . continental breakfast somewhat bare - bone : toast & amp ; roll ( butter jelly alongside ) , cereal ( rice crispie , corn / bran flake , muselix type blend ) , milk , orange juice , orange & amp ; grapefruit slice . visit , one could " upgrade " english breakfast additional 4 pound ( $ 8 ) . two piece sausage , slice ham , poach egg , scramble egg porridge / oatmeal . ' ' heart - smart , sure filling . hotel hold 2,500 people , breakfast involve short wait , ' remarkably efficient keep thing move . suggestion : make mistake follow friend ' advice change currency airport . rate murderous . ' suggest exchange small amount currency – 20 pound – local bank depart , use local currency exchange agency ( ' even one Royal National Hotel lobby ) ATM machine hotel / area . rate much well way , ' get good bang undervalue buck . 
 Mar 20 2008 	 good budget hotel 	 budget hotel . expect 4star service chocolate pillow , disappointed . look hotel room middle London will not bust budget , worth look . hotel locate next Russell Square Picadilly Underground line ( go leave exit tube station , turn right intersection . go half way block hotel leave side ) cater tour group , check busy depend arrive ( catch break quickly ) , pack , prepared . room basic fairly clean - coffee maker room , hair dryier , microwave fridge . also air conditioning , heating do radiator . black mold humidity issue ( vent bathroom thick curtain window ) , worried . - hint : fold curtian window sill expose radiator heat room much well . room overlook center courtyard , noisy kid come go , not really notice . continental breakfast basic : Juice , tea / coffee , toast / roll , cerial ; remind chow line jail ( although one jail orginize ) . not try cook breakfast ( plus egg , bacon , bean ) . get crazy chow room bus get ready leave go early miss . recommend go across street little cafe get well breakfast amount - make great & quot ; jacket potato & quot ; ( stuff potato ) lunch late dinner . free internet access lobby bar , need wireless card take advantage , outlet make sure full charge . hotel laundry facility , coin laundry street . 
 Mar 19 2008 	 great 	 stay 2 night package deal treval agent , value money great staff helpful mum wheelchair bind problem get around 4 lift nd extra one . room fine stay triple clean tidy basic put head ok ritz hey have not pay ritz ! ! ! problem 1st night heating room phone reception nd housekeeping come 2mins great . busy dining room breakfast problm staff help we find table . yes full student nd kidz busy time 8 ish 2nd morning go early much calm . would stay central easy access wheelchair street level . leave luggage great price 50p bag day . would stay read comment go nd dread think whoever write comment prob really nice hotel nd use city kid next hotel bloomsbury nd students around area do not stay national 
