Wonderful 	 book Chancellor first trip San Francisco , base price location trip advisor review . subsequent conversation people would staying , discover 2 3 people know previously stay rave hotel really look forward stay . disappointed . stay 7 night twin room 14th floor . email hotel day arrival request high floor possible – receive prompt personable reply Kevin , Reservations Manager . other say , room small , ' need lot space , anyway spend little time room . closet big see suitcase take space . bathroom also small , sufficient . similar sized one home ' perfectly adequate . free wireless internet big bonus often pay expensive hotel . work absolutely fine . internet terminal Reception also great service , book something online need printer . staff deal hotel super nice efficient . issue safe room go ' sleep ' twice report reception fix less 10 minute occasion . lady tour desk give great recommendation restaurant . although tell we Alcatraz night tour book online 3 month early ' exist send we bit spin , phone call company quickly sort fact run ! ! eat breakfast hotel morning lovely restaurant staff great . cookie reception delicious , wish start eat early week ! ! location hotel absolutely fantastic one cable car run right outside door . love San Francisco certainly go back sometime future . definitely stay Chancellor Hotel tell anyone know ' go San Francisco book hotel . 
 Superb ... everything ! ! 	 actually boyfriend 's favourite hotel stay whole 3 week holiday ! honest , not like San Francisco much thrilled hotel . as everyone say , right middle everything need - shopping , restaturant , BART walk anywhere . end walk hotel , alllllll way hilly road , turn leave walk bit really zig - zag windy street , allllllll way Fisherman 's Wharf . long warm , quick cable car ride back comfy bed hop rest exhausted body . I read review beforehand noticed room say quite small . agree not huge room , would not say be small . 2 we fair bit luggage comfortable . decor room beautiful add old - fashioned , classy feeling place . lady bar friendly go drink , staff restaurant lunch departure day . little kiosk / desk able get help organise shuttle back airport , buy ticket cable car also postcard stamp send . front desk send postcard nice touch they . as everyone else , would definately recommend stay . free tea , coffee cookie come handy ! 
 superb clean hotel amazing location bag character 	 friend stay research heap hotel San Fran . want somewhere central four day character soul . step Chancellor Hotel complete superb service favourable rate . after send enquiry room , helpful chap call Kevin get straight back offer room period need reserve . keen make sure thing ok end call chat pleasure , even nice phone . offer give we room top face square ; could ask for . as stay , well good email phone experience . clean hotel , amazing location square , helpful staff ( especially lovely lady run bar ) room be right . ' ve read people think room small little run . nonsense really hotel real , proper San Fran hotel 's template chain . super clean , everything need perfect stay San Fran . earth folk want big room ? party ? short have whole heartedly recommene stay . ' ve see lot hotel travel one remember right reason . would stay recommened guess true test whether be good . 
 Honeymoon revisit 	 34 year ago stay 10 day Chancellor honeymoon . property update since lose 's charm . advise General Manager anniversary first time back , greet nice gift bottle sparkle wine room arrival . room small , neat recently refurbish . luque bar hoot night . Hotel Union Square right cable car line , make convenient Fisherman 's wharf well multitude nearby restaurant , theater , shopping attraction . rate reasonable , staff friendly accommodate . use 5 * hotel may find hotel less expectation , simply stature , stay 5 * accommodation frequently would definitely stay boutique hotel . 
 step door everything 	 fab location want buzz zone San Francisco . staff friendly + helped play along ' surprise ' visit . room fine 3 night + suit we fine - may small long stay . walk everywhere - shop , restaurant , BART , taxis door want . 14th floor + hear city noise night window open bot bother we . would stay future visit . 
 self favour stay 	 return home long holiday gather thought would like post review Chancellor Hotel Union Square San FranciscoI would like say can not go wrong staying , 5 star Chancellorwe stay begin August , room decent size right two we , large wardrobe personnel safe inside , comfortable queen bed , nice clean room pleasant decor , table chair window , even view Union square nice indeed Fan ceiling good especially get hot night , enough keep cool not like sound city , close window nice quitethe bath tub nice deep one , relax fall asleep , wonderful day Segway tour walk around San Francisco good thatand location right middle city , nice place eat next door around corner , Staff friendly helpful time good , sense humourso want good hotel stay , central city cable car front door , right good shopping outlet , nice eating , drink etc rate will not break bank place , stay , see self , Best Wes K & amp ; K 
 Oct 12 2008 	 Ideal LOcation 	 Booked part road trip , arrive car valet parking , although slightly parking well worth extra unload get room . friendly front house staff inform us free cookie , fruit etc lobby case take room . room clean , necessity , include free wifi . mention size issue , come U.K. feel good boutique hotel city . bathroom old fashioned ( vintage ! ) deep bath fab soak in . Dinner Sears next door recommend . one point mention really informative helpful female bartender - font knowledge bar eat area . visit . 
 oct 9 2008 	 Great Location ... 	 husband stay Chancellor 3 night . U.S. standard room extremely small , could probably use toilet , brush tooth soak foot tub time . air conditioning bother we get little warm afternoon evening even window open . hear repeatedly accomodate friendly staff receive none . check smile , happy , everyone solemn . ask concierge lady ( booth empty ) tell & quot ; be . . never tell cookie lobby many time come went never speak smile staff ! not even feel comfortable ask anyone area recommendation . say .. room clean huge plus . would stay ( yes ) location perfect . stay know exactly people mention location . 
 Oct 5 2008 	 great location ! 	 alot research book hotel disappoint . , leave check weather find mini heat wave bit nervous know AC hotel , need not worry ceilng fan enough take heat away worry , not , need AC ! ! location wonderful staff friendly helpful cookie lobby really lovely touch . I read review small room suprise find room standard european size small standard . also plenty room store case free even room . we check early pleased find room already ready we well welcome gift upcoming wedding . really wonderful touch make we feel really special . there one drawback hotel new husband obsess collect rubber duck ! ! ! would definately stay ! 
 Oct 4 2008 	 well place hotel 	 book hotel , direct result read Trip Advisor . disappointed , ask quiet room high floor precisely get . ok , view , could cable car ( window open ) , give good ambience . yes room small - unlike many european city hotel - problem . staff pleasant & amp ; helpful . for breakfast go Lori 's dinner Mason St - numerous place . 
 Oct 2 2008 	 still good second time around 	 stay three night Chancellor prelude long motor tour . stay satisfied experience never really consider go anywhere else . time equally good . we ask quiet room help we first night 's jet lag disappoint . high floor avoid traffic sound still partial view Union Square Powell Street . air condition never find problem San Francisco think age building must make installation extemely difficult . room fairly small US standard beautifully decorate properly service . staff cheerfully efficient restaurant good choice breakfast ( lunch , want stay indoor . never ! ) . Tour Desk book we nice wine tour could drink start self drive . the rest time spend revisit favourite location , travel cable car local bus . Chancellor 's location ideal start expedition , view many charm , reasonably price . we impress Sears Restaurant , near Chancellor . may historic excuse poor food indifferent service . however connection Chancellor , apart proximity . 
 Oct 1 2008 	 good choice San Francisco 	 Union Square Powell St , hotel right centre action seem quite quiet term streat noise . initial room large comfortable bed , nice bathroom free wi fi . noise problem adjoining room , upgrade good suite staff apologetic . neither room shower gel , soap shampoo / conditioner . reception free coffee cookie morning afternoon welcome . Borders book shop next door excellent source map . try keep meal cost enjoy two good quality meal around corner Mason Street Lori 's Diner , 50 's theme din Cafe Mason ... later excellent Loin pork , vegetable rice eight pound . beer seem around 2.50 bottle , whatever tipple . if time ... get across Tiburon side bay ... $ 18 round trip ... 's peaceful super view back SF ferry go right past Alcatraz boot . final hint - buy local Muni card ... $ 18 three day unlimited local transport include touristy cable car . 
 Sep 30 2008 	 pleasure stay hotel 	 want add another positiv review stay hotel 4 night September . we love hotel follow ( random order ) :1 . location : spot Unioin Square - cable car , shopping , China town right outside door2 . bed : confortable3 . quiet room ( 1106 , think - corner room 11th floor ) 4 . extra storage room5 . Sears : next door , serve good breakfast - try 18 Swedish Pancakes ! ! ! 6 . transportation : easy get area town bus stop near hotel7 . internett : pc available free lobby also wireless internet room8 . cute lady kiosk lobby9 . cleanliness roomWe complaint ! hope hotel make top hotel ranking ; - ) 
 Sep 30 2008 	 start lose lustre 	 ' ve stay Chancellor couple time , first time slightly disappointed . point positive hotel still vastly out - weigh negative : location , quality staff , sweet cookie etc . reason would recommend Chancellor someone want stay downtown San Francisco . however , would issue couple caveat recommendation , hotel beginning look little bit tired ... example , go room , first sight bathroom pleasant , bath - tub definitely see well day extent decide shower stay . know Wes read , hope take construct criticism someone genuinely like hotel - would like point small investment certain area - redecorate bathroom , improve tv would go amiss . 
 Sep 22 2008 	 Perfect spot ! 	 want weekend SF without car . Chancellor perfect location . even link website Lorrie 's Airport Shuttle make get Chancellor breeze get back SFO equally comfortable . room comfy quiet ceiling fan keep room perfectly fresh cool . thrilled huge soaking tub . ask room high floor quieter side building meet need perfectly . bed wonderful . closet nice hang thing . coffee , cookie , bowl fruit lobby nice touch . breakfast spot NEXT DOOR call Sears worth short wait ... perfect waffle , Swedish pancake international visitor : eat bar conversation . Cable Cars run right front Chancellor get tourist transit pass activity desk Chancellor ( 3 day Cable Cars , Buses , trolley -- fun . complaint smoking allow bar lobby make short wait elevator stinky late night . Chancellor lovely staff AMAZINGLY welcoming , helpful courteously friendly . thank . back ! ! 
 Sep 22 2008 	 First Class Hotel San Francisco 	 back road trip California , start four night Chancellor Hotel . we book hotel four night base Trip Advisor recommendation , not disappointed . hotel boutique style establishment , step Union Square . comment room small , not think , would say similar size European non - chain hotel . room clean , tidy , well maintain , ceiling fan keep temperature nice , walk closet nice bathroom , adequate . what make hotel good staff , enthusiastic , polite , well informed , make visitor hotel feel welcome , nothing seem much trouble . special mention must go Yesmie Mao Luques restaurant , cheerful morning , along excellent breakfast , make great start day . return San Francisco near future , book Chancellor without shadow doubt . well do Wes staff . 
 Sep 21 2008 	 Pleased Chancellor Hotel 	 book Chancellor lot research , include TripAdvisor , pleased choice . travel alone business , struggle find something within fairly tight budget range safe location . I allow check early , hugely appreciate have arrive Australia already see 1 pm twice day . room face Powell Street , , admittedly , noisy , not stop sleep bed comfy ! cable car bell traffic noise part atmosphere anyway , although guy hotel road whistle get pretty annoying ! location , other note , excellent . go everywhere ( include Palo Alto Mountain View ) Bay area 's excellent ( complicated ) public transport system , good value money . staff hotel generally friendly helpful , although find woman tour desk rather pushy - stick bus around city avoid expensive cable car , really not need muni pass , cheap buy ordinary transfer . check five morning efficient . good stay . 
 Sep 20 2008 	 good hotel - excellent location 	 stay Chancellor 3 night whilst sightsee San Francisco . hotel excellent location , Union Square . one terminus point Powell - Hyde cable car line 5 minute walk hotel . ride cable car easy fun way get Fishermans Wharf Pier 39 area . shopping thing , many , many shop department store within block hotel . room well - present , clean decent size . real problem lack air conditioning room ; surprise hotel 's website make clear A / c available . hot stay San Francisco room 's ceiling fan not really keep room cool . tea , coffee cookie available free - of - charge hotel lobby . Breakfast include price room . restaurant within hotel . eat breakfast one morning , ok little expensive . 
 Sep 19 2008 	 Great Hotel ! ! ! 	 boyfriend stay Chancellor Hotel 1st - 7th September inclusive . hotel fantastic location fantastic service ! staff friendly helpful . housekeeper excellent job every day ! ! week stay absolutely roast hot weather , not find AC problem . ceiling fan sufficient . room bit small , that s minor complaint , do tonne shop run space put towards end stay ! ! ! ! everything hotel excellent . would gladly recommend hotel customer , whether young old ! ! ! thank staff , especially housekeeper , make stay Chancellor Hotel memorable . 
 Sep 17 2008 	 leave heart . 	 first visit USA . want visit last 20 year never find time . year take plunge go . first U.S. hotel Chancellor . way start holiday , lovely hotel real nice , pleasant helpful staff . enjoy sit Luque 's bar talk Alicia watch pour beer recommendation . cosy hotel great location vow go back . San Francisco superb still lot see , 4 day fly Las Vegas NY complete holiday . , Thank Chancellor . 
 Sep 16 2008 	 great Stay Chancellor 	 husband stay Chancellor 4 night September . great stay . room comfortable clean . staff always helpful . room not ready arrive , take short time get ready lunch . hotel great location , right cable car line close several bus stop . make sure request mini fridge room free bring . worry hotel a / c , not problem sleep ... ceiling fan could open window . also , cookie lobby yummy ! ! great experience .... would definitely stay . 
 Sep 16 2008 	 not get well ! 	 WOW ! wife continue astound Chancellor Hotel . stay property September 4 - 10 , stay previously July 2007 . entire hotel staff , reception desk folk bellman , concierge , maintenance personnel , housekeeping staff wait staff bartender Luques , everyone wonderful . hotel beyond word . to surprise check - in , upgrade suite top ( 15th ) floor hotel , overlook Powell Street Union Square . terrific view location . thoroughly enjoy expansive two room suite , complete two television , two full bath , large walk - in closet personal safe . ( Thanks Wes upgrade special recognition celebration . ) eat breakfast morning Luques Restaurant , attach hotel . convenient , also provide we great start day fantastic assortment delicious food . Brioche French Toast Praline pancake out - of - this - world omelet , breakfast delightful filling . on several occasion , opportunity imbibe Luques Bar . mud slide Martinis White Russians fantastic ! many previous reviewer indicate , location Chancellor can not beat . able use public transporation get anywhere everywhere want go . close proximity cable car Muni rail system really make get around San Francisco quite easy . while , big baseball fan , wife able attend two SF Giants game , take advantage Chancellor Hotel SF Giants baseball package promotion . field level seat provide hotel fantastic . rest assured tell friend family back home North Carolina one place consider stay visit San Francisco . Chancellor Hotel can not beat ! waste time look elsewhere . 
 Sep 12 2008 	 Location Service Great Budget Friendly Hotel 	 really enjoy hotel . booking , look something meet budgetary requirement ( $ 150 / night ) not leave we feel like give amenity . the hotel great location , service front desk staff great special deal ( give discount stay certain amount day . think like 20 % 4 night ) . 
 Sep 11 2008 	 great hotel 	 Chancellor hotel great place stay , nice room decent size spotless room safe , great service staff ' possibly central Union Square local attraction . highly recommend place final point note permanent supply coffee cookie available hotel entrance 
 Sep 9 2008 	 great little hotel lovely extra touch . 	 husband stay Chancellor hotel 4 night August . avail summer special offer , meant pay $ 145 per night $ 25 per day food beverage credit . check Rory ( fellow irish man ! ) , staff Chancellor , friendly professional . checking , rush outside help husband get tight parking space direct car rental drop . lobby Chancellor attractive , small bar area complimentary tea , coffee biscuit day nice touch . we please room , review mention small room , certainly ' feel room small , adequate two we . room attractively decorate rich green wall , mute brown furniture bright white soft furnishing . everything look new spotlessly clean . bed lovely , comfortable , pillow menu pillow ' like ! plenty storage room large chest drawer , table small drawer , two bedside table drawer well , walk closet area could stow luggage away sight . request refrigerator husband ' medication waiting room arrive . bathroom fine , maybe nicely decorate room , clean well present . never shortage towel cosmetic . include room safe , iron ironing board , hair dryer radio alarm clock . room face Union Square , tend sleep window open , get little noisy . bother we heavy sleeper , easily disturb noise , maybe request room rear hotel . we use food beverage credit eat breakfast Luques restaurant hotel really delicious . try several thing menu 4 day everything large , well present delicious . wait staff restaurant excellent also . although warn , place grab quick bite , enjoy leisurely breakfast . also open lunch , try that . the location hotel really beat . step outside , right Union Square , shopping restaurant entail . Cable Cars also stop right outside door whisk Fisherman ' wharf ten minute . feel energetic , walk 15 min ( beware SF hill though ! ) . return rental car soon arrive San Francisco would recommend other . parking hotel $ 30 per night ( one cheap place around – hotel charge upwards $ 40 ) . also notice parking garage around city expensive . San Fran easy walk around would also recommend muni card , allow free transport bus , cable car Metro . pay $ 18 3 day pass , consider cable car alone cost $ 5 per trip , work good value . overall , ' fault Chancellor Hotel way , felt offer excellent value money also nice little extra ' free jar candy room , free tea , coffee biscuit lobby , lovely cosmetic include bath salt , pillow menu rubber duckie bathroom ! note however Chancellor 3 star hotel , excellent 3 star , 3 star none less . read review Trip Advisor , seem guest expect 5 star luxury due hotel high ranking . Chancellor ' pretend anything lovely boutique 3 star excellent location offer superb value money . ' go expect ' disappointed . please note also hotel air conditioning room , know arrive duly prepared . hot , leave window open quite happy . ' irritate people leave review complain lack air conditioning fact already mention practically every review ! feel like air con essential , might well booking different hotel . , thoroughly enjoy stay , intimate hotel make refreshing change behemoth stay Vegas ! nice greet staff meet throughout hotel . would definitely stay would recommend anyone look boutique hotel experience San Francisco . 
 Sep 8 2008 	 great location along great price ! ! 	 stay Chancellor Hotel Union two night last week August begin California journey . main reason choose hotel central location , decent price excellent trip advisor review . fellow trip advisor friend let . hotel great ! location awesome . actually take Bart SFO walk 4 short block . great cost saving easy ! 1 large 1 small suitcase , fine . right across park first afternoon lunch little café . right across street cable car line . take one morning Fisherman ' warf meet Mr. Toad ' Tour ( great ' review thing San Fran ) . also able walk bus stop hit must see San Fran site . hotel cute charming . clean really like old world charm room decorate . air honest scare , window open ceiling fan need . also notice one else trip advisor complain , understand , ' cool night . also complementary tea coffee always cookie apple lobby area . gym on - site , give info use one around corner great . bed linen also nice . wonderful thing us bottle champagne wrap gift frame us room arrival . email ask Bart thing state come celebrate 2nd wedding anniversary . front desk staff also helpful direction public transportation help . even suggest restaurant area we nice . way go back airport , rent car , easy walk Hertz inside Westin Powell . another helpful point ( 2 ) walgreen within block hotel . ' great pick bottled water snack . look good location helpful hotel staff great rate would stay . 
 Sep 7 2008 	 Diamond Ruff 	 chancelor ideally locate , second away Union Square , catch trolley take train / muni walk , block away . room beautiful cozy . staff amazingly helpful accomadating . weather SF make unnecessary AC , open window enough we ... be TX AC absolutely necessary ! 
 Sep 4 2008 	 Perfect weekend San Francisco 	 Chancellor hotel perfect girl shopping weekend San Francisco . hotel really ideally locate , cable car line step Union Square . room two twin bed , ideal . although room fairly small , large closet give we plenty space purchase . staff friendly helpful overall feel like small , family own manage hotel . 
 Sep 4 2008 	 Location Location Location 	 originally book different hotel first start plan vacation check TA , decide look another come across review Chancellor - strength , ask change hotel . disappoint . the location could well without car - elect pick hire car due leave glad , like every big city , car much hinderance help not actually ! trouble get around public transport , hotel conveniently locate , Macy be see across square , Bloomingdale 's street maybe 10 min walk that . any number restaurant bar close eat , include hotel 's restaurant . some reviewer mention street noise night - well , room overlook Powell St . not bother we , certainly bad expect somewhere central location . the room clean tidy , small single bed adequate , hotel staff friendly helpful . overall , hotel right need hesitation recommend - would definitely stay . 
 Sep 2 2008 	 ok spoil officious service restaurant rude concierge 	 book two night Chancellor strength trip adviser review . check - in desk people bell help great , good tea coffee . room small Hilton , comfortable . however , waitress restaurant breakfast extremely officious concierge help - seem want we go away . go back use wonderful concierge service Hilton move . overall , preferred Hilton . 
 Sep 1 2008 	 good value good location 	 close Union Square , good term convenience , bad term noise ( & amp ; beggar ) . hotel offer good value accommodation reasonably - sized room . could bit sound - proof room though ..... 
 Aug 30 2008 	 can not beat location price 	 room hotel small honestly never , sleep , bed comfortable shower adequate . location suberb . essentially step front door onto cable car . would love stay sure would work family . four we ! 
 Aug 27 2008 	 great location 	 great location price . Union Square close everything . clean , expensive , friendly , look good place sleep SA , be perfect . clean convinient , 's ! 
 Aug 26 2008 	 would stay 	 Location handy - espec like shopping ! Macys 2mins away - go make sure eat Cheesefactory top floor . hotel room small cute clean . room street front bit noisy room soundproof sometimes could hear neighbour . would def stay would ask room look onto busy street . free coffee cookie lobby nice . 
 Aug 24 2008 	 helpful staff 	 hotel great position , noisy central , staff really helpful . trouble use wireless broadband , guy reception not solve quickly offer work round ( cable ethernet socket bar ) . ( one else difficulty , pc work elsewhere - strange ) .The minor negative size room book another stay clearly major issue . 
 Aug 21 2008 	 great stay 	 Chancellor hotel great location , amongst shop Union Square far BART Powell St stop . hotel load character great time stay . room look like recently renovate , clean spacious . love free lolly room , re - fill everyday ! see popcorn coffee lobby , not realise free til ! ! probably good thing , eat far much - food fantasic San Francisco . staff like hotel , full character quite quirky , willing help . would definitely stay . 
 Aug 19 2008 	 place stay s.f . 	 stay Chancellor three night August wonderful stay . review right ; Chancellor charming boutique hotel Union Square . arrive early able check right away . lobby invite part charm . always coffee cookie / fruit available lobby . little bar perfect drink great happy hour well . restaurant excellent food well price , especially hotel . one thing notice hotel gauge price . everything price right , bar restaurant room amenity offer . room perfect , website describe . ' ask well room . room 9th floor view Union Square . bed extremely comfortable offer free pillow menu , big plus . room also small work desk 2 separate chair small round table . plenty space put thing . also love walk closet , plenty room store luggage etc . bathroom well stock nice deep soak tub . window open allow fresh air ceiling fan make sleep comfortable . wes staff amazing job . everyone come contact genuinely friendly would always say hello . location ' beat would recommend Chancellor anyone . 
 Aug 16 2008 	 definitely go back 	 stay hotel 3 night . loved every minute .it everything go . woonderful cosy room . spotless , well maintain . perfect location . food restaurant good find food hotel normally poor . the staff could enough . Wes , thank help , get Canon tele - photo .lens . I travel Ireland def go back time will bring wife child . the negative : can not get room 2 adult one child . want go back enquired.looke FORWARD revisit CHANCELLOR TIME . thank make trip pleasant.john 
 Aug 13 2008 	 Loved Chancellor 	 iove pleasant soothe decor room , overlook Union Square . ceiling fan , cool could open window . lot room bathroom though small cleverly arrange . negative smell lobby another reviewer mention . nose like sniffer dog ( husband say ) track popcorn dispenser . happen hate smell popcorn , maybe ok raise smell . would suggest relocate dispenser , remove smell bit surprise we foreiger , particular . staff delightful always pleasant helpful . 
 Aug 12 2008 	 Outstanding hotel 	 stay Chancellor six night San Francisco leg honeymoon trip . choose see great review Trip Advisor , say thoroughly deserve praise receive here . we stay room 1205 , twelfth floor , lovely view Union Square Macy 's . although tell advance would arrive evening , 9 pm , still little worried might forget give room away ; end totally unfounded , reservation front desk staff efficient everything note perfectly . even note honeymoon , congratulate we check , lovely little gift wait we room , wonderful . hotel swish , pleasant lobby bar area marble floor . room great , spotlessly clean , lovely comfortable bed . clean staff great , would sometimes go couple hour late morning , time come back room always make . staff front desk really helpful , warm knowledgeable local area . hotel 's location also really good , close shop Union Square , easily get bus metro travel around city . Union Square touristy , pleased get away part not shop . there air conditioning room , ceiling fan problem temperature - although quite foggy , never hot outside . also problem noise room ; high disturbed street noise , could hear people outside room much would hotel . I really like stay , pleased choose Chancellor . not sure mean take cute rubber ducky home bathroom , , nice reminder lovely stay bathroom home . I would definitely recommend hotel , would first choice future trip San Francisco . well deserve rank , also lot cheap many hotel similar rating . thank Chancellor Hotel ! 
 Aug 11 2008 	 5point rating ... : ) 	 one favorite thing Chancellor Mr Wes Tyler , General Manager keep respond review . please laugh , major point choose hotel first day 2 week journey Bay Area . really good choice . hotel locate right heart city , great starting point walk tour street San Francisco . the people front desk helpful friendly . ask room high floor available arrive . backyard view interested use room sleep . room clean tasteful equip ; love calm green beige / brown color . pillow smell great ! " very - good " breakfast Chancellor , especially waiter . shame ' remember name . always smile friendly talk we even run . know second day boyfriend like coffee take care pancake right temperature arrive table . thank ! would definitely stay Chancellor next time . 
 Aug 6 2008 	 Understated Elegance 	 travel San Francisco many time year occasionally stay Chancellor Hotel ... choice infrequent wish stay Union Square . Chancellor fine old world elegance sophistication . Staff Chancellor consistently professional expertly courteous . though room small tiny small bathroom , need meet quite efficiently attention small detail . beautiful linen , comfortable bed . Old World description come mind . warm secure . fair price Union Square , plus parking course ... still one good rate Union Square . 
 Aug 5 2008 	 wonderful Hotel Great Service 	 Booked hotel advice reviewer . definitely everything expect . room , although touch small clean , pleasant , window actually open great plus . use small hotel room travel Europe not bother we . hardly ever room , SF much offer . lobby spacious comfortable , always fresh fruit , coffee cookie . wecome sight come long walk hill SF ! bar lobby wecolme well , 2 flat screen tv usually ball game sporting event . people front desk friendly helpful . menu room offer many different type pillow , require something soft , supportive , hypoallergenic . also list spa equipment add bath tub feel like foot bubble massage long day walk . tub deep long , bath long day SF doctor order ! location great , everyone else mention , right outside cable car stop ( good ride least novelty ) shopping area abundant , Macys , Saks , Neimans , across street . dottie true Blue Cafe , wonderful breakfast spot 3 block walk , ( need walk , especially eat dottie fabulous breakfast ) . wonderful mexican restaurant , Colibri , also couple block away . get chance eat Slanted Door Ferry Building lunch dinner . food fabulous . Chancellor perfect home base SF exploration . 
 Aug 5 2008 	 comfortable great location 	 Chancellor hotel wonderful old hotel thouroughly enjoy stay 6 night . great location Union Square Powell Street , cable car stop outside door , muni quick couple block away . like shop , big , fashionable store Union Square ! room not large , certainly big enough two us luggage ( stay two different room ) . second room 4th floor overlook busy Powell street hotel white noise machine could use . free cookie , popcorn , fruit lobby computer could use . like hotel bar , one not large . overall , excellent stay excellent service help we arrange tour transportation . also pillow menu select two different type pillow try : ) 
 Aug 5 2008 	 's old small historic advertise 	 know old historic hotel small room , air conditioning , small bathroom book . even , stay , not think 's property deserve average excellent rating . opinion , be average , be wrong average rating average hotel ? 
 Aug 5 2008 	 Reviews right one 	 stay Cancellor Hotel July part honeymoon . review website right spot regard hotel . hotel old room small clean staff helpful . make honeymoon special champagne gift room check . side note , love restaurant next door breakfast call Sears . 
 Aug 4 2008 	 Awesome location great price 	 hotel smack dab Union Square , perfect location tourist San Fran . although room small , cozy well decorate soothe green brown . room overall functional , large closet bag not overwhelm room . bathroom also tiny , well decorate small tile deep soak tub . place overall extremely clean , relax charming ( old / historic hotel ) . fun roll bed middle , staff accomodate friendly . clean crew clean afternoon unless put sign request early cleaning , nice . although place wonderful overall , slightly noisy since right Union Square , stay construction right across street . never bother noise , though , unless window open . wall slightly thin , although generally problem attract pretty quiet clientele , ask person cell phone next we keep 4 a.m . bathroom well - ventilate , ask keep window open shower , slightly awkward get curtain . window small , however , tuck back toilet . also heat hotel , must use stand alone radiator , work okay , great . problem couple night since unusually cold weather . lobby also smell slightly moldy , several people note stay . con place honestly minor comparison great place be . for price , place fantastic would recommend heartbeat ! 
 Aug 3 2008 	 one Best 	 look review hotel San Francisco . like see concern property , hit nail head ! great location . great hotel ( european style boutique ) . extremely patient helpful staff . knowledgable front desk bell staff . really perfect 10 . 
 Aug 2 2008 	 top location 	 stay Hotel research site find everything people say . location excellent , staff brilliant cookie delightful . could work people complaint , walkin wardrobe useful . tall gentleman find bath one large ' ve come across . 
 Aug 2 2008 	 outstanding hotel outstanding staff . 	 like many big city , find comfortable decently pricedhotel downtown San Francisco bea unsurmountable challenge . read good review Tripadvisor decide try Chancellor find home away home SF.My wife book 4 night stay hotel website . special stay 3 night make real bargain . we fly SFO take cab hotel . soon cab pull front hotel greet warmly Martin , hotel bellman , take care bag . get hotel check - in time prepare tohave wait , however , room ready check - in wasa breeze . make reservation request aquiet , mid floor , room 's get . go room 7th floor couple minute later Martin show door luggage . Martin notonly bring suitcase room set onthe luggage stand show we everything be . Martin genuinely warm welcoming know make right choice staying chancellor . the room wonderful , queen bed , two armchair coffee table . large walk closet overall would notdescribe small . room tastefully decorate comfortable . thing impress although hotel right Powell Street , one majorarterie downtown SF , stone 's throw away busy Union Square , room indeed quiet sleep like babiesat night , despite leave window open . the room wireless internet work flawlesslyand even pillow menu allow ordervarious type pillow . bathroom nice one annoying little thing . the toilet small usual . be odd thatthere actually plenty room big one . since room recently renovate wonder toiletis remnant old bathroom layout door clearancerequire small design . would nice toilet werereplace . say , be manageable even 6 ' 5 & quot ; blokelike I . there be restaurant ( Luques ) ground floor hotel . we breakfast one morning food verygood . conveniently , hotel lobby booth get information tour , book ticket various attraction , buy stamp , etc ... buy Muni pass . passesallow use bus , metro famous Cable Carsfor 3 7 day . note Cable car stop right frontof hotel . fact , mind stand Cable car probably well catch ride front hotelrather queue age bottom Powell street . this actually general tip . cable car never fill max capacity first stop line . guess that'sto allow people hop along way . therefore , travel Powell St Fisherman'sWharf seem always crowded , walk nextcable car stop able hop nextcar . both metro Bart short walk away hotel . ourlast day rent car evening decide use thevalet parking service . park car front hotel ( thereis not much room park Powell St can not find spotjust drive around block 's opening ) , leave keyswith reception take care everything . pay around30 dollar compare hotel around charge parking rather good price . alsothe option parking car small cost . we check next morning . arrange front desk car deliver time check - out . the valet bring car free spot Powell ( double park Cable car ) circle block couple time . couple hotel staffeven go street start regulate traffic infront hotel car could park . this ideal hotel romantic getaway businesstrip SF . travel small child , however , might want look another location , thehotel website state , recommend morethan 2 people per room . incidentally , hotel website isvery well design download complete list room feature hotel amenity help indecide hotel . also , not forget check outthe special website good deal . we really fabulous stay Chancellor . wife really feel home somehotel room . age customer service often littleless afterthought , Chancellor shine genuinewarmth professionalism staff . bellman front desk , chambermaid maintenance people , everyone meet hotel great . this probably real secret Chancellor , people . you really get sense team work together pleasethe guest . love SF love even Chancellor . there be one problem hotel . sad leave . 
 Aug 1 2008 	 charming place stay 	 Chancellor exude charm character . staff exceptional location good get - one min walk Union Square . stay Orchard Hotel first arrive , twice price away Union Square . room compact exceptionally clean comfortable . hotel remind old New York hotel . three week travel CA stay type accommodation ( 5 star , B & amp ; B 's etc ) Chancellor one nice place stay . PS . breakfast good ! 
 Aug 1 2008 	 great location 	 stay Chancellor 6 night . 's location ideal see city . right Union Square close public transportation option . the onsite restaurant good option breakfast find well breakfast spot within block hotel ( Sears , Lori 's Diner ) .the room clean good size two people . room front hotel bit noise Powell Street hotel nice enough provide white noise machine . make sleep easy . I would stay heartbeat - excellent location , great value great staff . 
 Jul 31 2008 	 Great Hotel Heart Union Square 	 great hotel right middle San Francisco . staff helpful . room clean well furnished . besides bed home bed Chancellor one comfortable ' ve ever sleep . complaint wall seem little thin . could hear people next door watch tv . Powell Cable car right front hotel . shopping restaurant stone throw away . restaurant hotel great breakfast . staff extremely helpful . would recommend hotel anyone . 
 Jul 31 2008 	 Fantastic Hotel 	 first trip San Francisco delight hotel . location perfect , close shop cable car run right past front door ! room modern decor , bed really comfy even jar sweet room- nice touch ! another great touch coffee / tea / cookie / apple available lobby . staff friendly helpful overall hotel great value money . would definitely recommend hope stay . 
