excellent 	 stay 7 night - 2 different room . room noisy morning hear people talk loudly slamming door . second room next room renovate may explain noise - sure first room . staff mostly ok except grumpy lady 30 awfully unhelpful . provide locker $ 2 per usage need leave bag hotel check - out . first room small second slightly big new . sell point hotel location 31st & amp ; Broadway 2min walk Macy 's 1min walk subway 1 stop Times Square . wife Thanksgiving could catch parade literally around corner . yes , need cab , get one street one , reception charge ridiculous price . room come free wi - Fi internet access LCD tv hd channel . 
 Mar 20 2006 	 Greeat Little Hotel 	 hotel ina great location fab price . room smallish everything need , big bed , shower , tv air cond . lovely staff even get free herald square keyring check . great touch . ROOMS CLEAN 5 - 10 MINS EMPIRE STATE BUILDIN . would DEF stay especailly price 
 Mar 14 2006 	 location staff wonderful 	 say nothing positive thing hotel . New York brother wedding September 2005 , enjoy time Westchester . need somewhere close everywhere Manhattan wedding family ( include 3 child ) . see hotel Lonely Planet guide New York good budget hotel . Checked Trip Advisor , decided see enough go ahead book . negative whole experience fact could not book 5 internet website . send quick mail , say , not worry , book 4 send we note . therefore negative become positive staff helpful worry deal . arrive hotel Sunday evening , Sept 25th . staff welcome we . glass panel reception look daunt , least safety conscious . room fairly basic , everything need . tv kid evening time exhaust lot shopping sightseeing , bathroom , bed fine AC . picture website give hotel 's location enough credit . 1 minute walk Empire State Building . Macy 's , Madisson Square Garden etc right beside . brilliant . want finish complement staff , even though enough complement . last day , think check time 12 noon . shopaholic half decide want one last look spend Macys head home . go well except go back another department get tag scan item buying . Whislt head department , start look item , get lose , could not find daughter son . daughter walk around could not find . could not believe PA system , not find 1 pm . go back hotel , apologise late check . could kinder realise get shock . & quot ; take time & quot ; answer give . wonderful , brilliant price Manhattan . stay budget , want treat respect , look prime location . A+ 
 Mar 6 2006 	 much well expect 	 book Hotel expect much give price central location . pleasantly suprise queen room . originally book 3 night ( case awful ) , immediately extend 6 first night . yes room small hotel not offer much service ( ie Porters & amp ; concierge ) . however , around $ 100 per night represent good value seek central base explore Manhattan close subway Empire State Building . room comfortable bed keep clean . word warn though . make mistake use room phone ring friend cell phone New York . 4 minute call cost $ 38 . take advice make sure use call card ! ! 
 Mar 6 2006 	 Budget hotel good location 	 hotel situate 1 block empire State Building great stop - over budget minded traveller . we stay 4 night December 2003 2 twin room private bathroom . room basic - 2 bed , telephone , tv safe really need trip go ny explore city , bedroom . they clean enough warm staff welcome helpful enough - yes state review , behind glass screen reception desk ? ! ? ! ? small hotel good location use base explore city within easy walk distance subway station , well ESB , Macy 's etc . I would give hotel 7/10 overall score would stop 
 Feb 27 2006 	 NYC home away home 	 find Herald Square Hotel tripadvisor ( - ) look budget hotel NYC . really nervous hotel charge $ 99 per night , figure awful could always check go one expensive familiar hotel always stay . thrilled find Herald Square Hotel real deal -- room immaculately clean , smell fresh ( be smoke hotel ! ) , bed comfortable heavenly bed widely tout Westin chain . beautiful clean white sheet overstuff comforter room good night ' sleep ' ve ever get NYC . location great , feel safe comfortable , like little middle city . 's luxurious decadent , ' ve pay three time much room much well . can not recommend highly enough , great find ! thank tripadvisor.com thank Herald Square Hotel . will never stay anywhere else NYC . 
 Feb 10 2006 	 thinking ! ! 	 book hotel budget vacation Thanksgiving . nervous heck , sure get . advice : read review carefully tell pretty much everything need know . consider budget hotel , excellent choice . mention many review , location perfect first time visitor want see day . main subway line close . ( ps : find site online enter start point destination , tell exactly subway line take , get . save we ton time . highly recommend go first time . would mess without . printed carry we . ) anyway , see parade , etc Thanksgiving , Macy 's close perfect . adequate food close , exceptional restaurant . 's cab ! d. donut right street , great 24 hr . bodega grocery hot breakfast / lunch / dinner right across 5th . ave . staff courteous , overly friendly never rude . check reservation twice arrive check - in short time problem . we room private bathroom . room small well clean every night . bed adequately comfortable . bathroom tiny clean . also use one common bathroom / shower hall couple time , clean . big shower space in - room bathroom . never see anyone else use 5 day . stay want classic NYC skyline view window , really not . , be budget hotel , great need place shower / sleep . internet access lobby handy ( cost $ $ ) authentic irish pub 31st right across Broadway -- great food , cold beer , friendly wait staff . walk Times Square couple time ( 5 yr old child . ) neighborhood south Broadway little rough , 's reason walk way anyway . overall , highly recommend would stay budget . thank NYC great trip . pleasantly surprise friendliness city . MTA staff especially helpful friendly appreciate . ( sorry long ! ) 
 Feb 8 2006 	 Perfect location friendly staff 	 husband & amp ; New York first time back September . stay 7 night Herald Square . read several review , expect extremely tiny room . although dresser clothe & amp ; closet tiny , room size decent . king size bed comfortable ! view room nothing - open shade brick wall , not room much . hotel walk distance lot attraction - 10 min Empire State Building , 20 min Times Square . even walk United Nations & amp ; Ground Zero . arrival day , expect store bag know early , luckily room we check . laundry room hotel , 's hotel 2 min one - ' borrow ' one morning . front desk give we direction one 6 min away , get - close , even though open 2 hour already . walk hotel & amp ; use laundry facility . high season , discount hotel rate . even though pay rack 7 night , definitely worth . would stay heartbeat ! ! 
 Feb 2 2006 	 good location 	 location good thing . hotel perfectly adequate day quite busy varied crowd business type student . clean enough place would stay . 
 Jan 30 2006 	 Brill ! ! ! 	 stay Herald Square Hotel short notice another hotel let we . worried standard price cheap need not worried . room clean , private bathroom , tv , comfy bed room safe . staff extremely pleasant helpful location great ( put head window look look Empire State building ) also quiet night consider 's busy location - would stay . 
 Jan 22 2006 	 exceed expectation budget traveller 	 stay Herald Square Hotel week November 2005 . high expectation arrive know hotel budget end spectrum . give recently renovate room . see room pleasantly suprise . well fit , bed excellent , bathroom small clean nice . room also good heating , air condition flat screen T.V.The hotel bell whistle , staff polite location excellent Mid - Town . room exceed expectation , especially price . spend one night nearby Gershwin Hotel think Herald Square well value ( cheaper stayed ) room much nicer . would happy stay Herald Square . 
 Jan 19 2006 	 great value highly recommend 	 hotel great value , right heart New York , 5 min Madison Sq Garden , Empire State , subway station . clean , safe price good city , particularly central location . room not small lead expect review - plenty room 2 people bag comfortable bed large bathroom . do not expect luxury stayi.e . free coffee , showercap shampoo - expect hotel value comfort . highly recommend would definitely stay even preference swish hotel , due great location . 
 Jan 14 2006 	 Loved Herald Sq . hotel ! 	 budget ? stay ! extreemly clean , helpful staff , safe location , right Broadway ! budget price allow we enjoy many sight NYC ! bed comfy ! not look high class , clean safe place rest weary body , ! close quarter , plenty big enough . bring shampoo , be tourist , highly recommend New York Pass , get Planet Hollywood . hotel character ! much street noise either . 
 Jan 11 2006 	 Love NYC Herald Square Hotel ! 	 three friend stay Herald Square Hotel three night first December great thing say ! first time we visit New York City want see much possible four day , room much time spend perfect four woman shopping / site see excursion . actually first choice hotel ( not even suggest travel agent travel info receive ) , since almost everything else book time year book soon locate internet . afraid pay $ 189.00 / night would end less desirable hotel , case . room perfect size four us luggage shopping bag . bathroom good size without vanity place keep toiletry . definitely place stay we lucky enough return nyc.very friendly staff ( friendly treat candy home day ) , awesome bed - comfy not want get morning , lot clean towel hot water . window open fresh air night problem noise - actually could not believe New York City ! not get watch much tv love able check weather station morning get ready . there even safe available room . the elevator tad slow spend time browse huge assortment tourist brochure available . also appreciate small lounge area telephone internet hook up . we take advantage locker luggage since arrive 7 am Sunday morning . staff help we lock luggage later day room available . we love around corner Macy 's Manhattan Mall . walk almost everywhere want go ( Times Square , Rockefeller Centre , 5th Avenue , etc . ) leave Broadway show night easily catch cab $ 2 ( include tip ) . even around corner one designate stop Hop Hop Bus Tour . we certainly recommend Herald Square Hotel anyone look reasonably price , clean friendly hotel right Manhattan . 
 Jan 10 2006 	 Served purpose 	 stay 3 night Sept 2003 . single room bathroom . barely enough room bed tiny sink . tv foot bed , big shelf come 3 ft wall . & quot ; Sonic Rat Trap & quot ; room . ' ve stay hotel mouse trap , huge 2nd foor ! ! ! night porter knock door one evening ask borrow shampoo . not like , tell none . having say , hotel cheap serve purpose . trouble sleep . sit area near reception pay go internet . rest review , experience , seem well get big room . 
 Jan 5 2006 	 Times Square Budget 	 since move Washington , DC 10 year ago ( native New Yorker life ) ; look forward ( great anticipation ) annual Christmas trip Big Apple . girlfriend entire tourist thing ; relive old day . Rockerfeller Center ; Christmas Tree ; Times Square ( boy clean ) , Palm , Santa Macy ' list go . two year ago discover Herald Square — and 3 4 stay ' become home we holiday . year extra surprise await ; use comfortable bed finely appoint bathroom ; widescreen tv dvd player room absolute bonus . walk everywhere ; nothing far away . Herald Square great choice , want save money thing matter . 
 Dec 21 2005 	 Halfway House Hotel ? 	 book & quot ; small single bathroom , & quot ; think prepare minimal room . cell , really . tiny window look air shaft . room unbearably hot air quality terrible . thankfully air conditioner ; otherwise , simply could survive . say pay $ 90 week Christmas -- time room hotel either unavailable inflated price . would imagine double room bearable . hotel feel like half - way house hotel , 's experience would wish repeat . 
 Nov 20 2005 	 great budget traveler 	 last 15 year ' ve stay many Theater District hotel , ' ve see . ' ve stay 1 ) just - the - basic hotel surly staff tiny room , 2 ) overprice boutique hotel surly staff , tiny room designer knob faucet , 3 ) amenity - laden hotel nice room friendly staff , soon owner figure treasure place , rate go , 4 ) dive . bring we doorstep Harold Square Hotel . thank positive review TripAdvisor , decide give Herald Square try . disappointed . yes , glass wall greet buzz bare - bone lobby . yes , may share midday elevator 50 - something businessman young bubble - gum - snapping escort . ( stereotype always true ? ) yes , walk way get Broadway show . however , staff responsive . hotel clean . bed comfortable . bathroom gigantic NYC standard . enjoy visit , can not beat price . stay . 
 Nov 15 2005 	 Great Hotel Price 	 Family 4 one nyc hotel room problem . the room clean , bathroom , plenty fresh towel , nice staff , spacious room ! ! ' m talk suite size plenty room 4 people ( 2 adult 2 teenage girl ) bag purchase . the minor problem water shower would suddenly stop flow minute patient would go right back . minor inconvience otherwise gem hotel . I think good find book stay December friend shopping weekend . 
 Nov 14 2005 	 many time one night sleep ruin ? ? ? ? 	 get back hotel around midnight . want get sleep day shopping . turn boyfriend want read overhead light bed . however , light buzz loud , light 4 inch pillow wall also serve headboard , could not stand noise turn . try sleep notice even louder buzz , like head top Boeing 747 . wonder maybe sleep top kind generator room . turn street light hotel attach wall right outside front window . hum buzz loud , swear could feel wall vibrate . course light shine room sign . need blink give we seedy hotel room 50 's b movie affect . manage fall asleep untangled non fit bed sheet awaken around 2:30 bunch girl come room across , follow party . guest bang door will never know . knock would suffice - 's like one room would hear since 's size closet . bang away , guest show hour . clang beer bottle loud talking throw limo go to punch .... point plug ear tissue . could not figure person front desk would let people 2:30 am.mercifully party leave return hour later people . party wound , FINALLY fall asleep wake around 5am sound heat turn inexplicable reason . could hear radiator throught build clang banging turn , make sense since 65 degree outside . at point throw towel stay awake . beat tired rest day Sunday NYC ruin . operate hotel like ? bed sheet not fit entwine leg minute move around , window unable open close , bathroom small ledge door must bump ten time , wall paper thin .... people always say forum & quot ; be big deal 's cheap hotel , stay room anyway ? & quot ; ' m sorry do not spend extra money nicer hotel , one weekend NYC , sleep , be not able want Sunday . thank nothing Herald Square . 
 Oct 28 2005 	 great value . Nice Staff . 	 consider New york city hotel price , Herald Square hotel can not beat . little shocked half paint hallway bare room , really do not think ground complaint give price . furnishing shabby adequate . room quite bare , clean . suspect bug rodent ( ' m total nutter thing , there s bug room , feel bone , aaarr ) . clean freak , complaint . room second floor overlook sidewalk , noisy view , plus awning natural light . come New York spend time hotel room , care ? check , nice man front desk acknowledged get one poor room hotel promise take care we next time stay . nice say , do not , complain . would stay . do not expect anything basic will not dissapointe . 
 Oct 21 2005 	 excellent value Great Location 	 great thing read room really small , prepared . room really small . usd 100 per night , get nice clean room , AC attach bath . single guy , go practice salsa room , excellent value . block MACY 's , conveniently locate good restaurant . subway minute 's walk . laundry block away . must stay budget minded , would rather spend attraction outside ! ! 
 Oct 20 2005 	 nice comfortable ! 	 great price , excellent value ! great Location-2 block empire state building , short walk Penn station Madison Square Garden . staff friendly , room clean neat . would definitely stay ! 
 Oct 16 2005 	 great value great location 	 wife stay 3 night . one newly renovate room . great bed , nice bathroom , good facility . disappointment view . back alley . however , compare price hotel , pay $ 148 / night Herald Square well worth even view . plus location great - about 2 block subway , 4 block Times Square . would stay heatbeat . 
 Oct 7 2005 	 good value money 	 know take risk , book budget hotel Central Manhattan , pleasantly surprised . room cosy without pokey - adequate room couple two suitcase . room come Sky , could watch Premiership Football Baseball . bathroom tiny , private , clean fresh towel daily . air con slightly noisy , room shelter noises street dark enough sleep plenty . three trip NYC good value hotel accomodation ' ve . next time come back think will probably go back ; be 3 block Macys , Empire State Building Penn Station , reasonably price . 
 Oct 7 2005 	 Fabulous - complaint ! ! ! ! ! 	 husband stay 4 night absolutely complaint . staff front desk helpful , friendly efficient . security fantastic , guest buzz front door lobby . internet kiosk vend machine lobby along ton tourist information - convenient . our room well light , fairly spacious , modern come comfiest bed flat screen tv ( lot nice Beacon Hotel previously stay ny ) .The location hotel excellent , 3 - 4 minute Penn Station Madisson Square Gardens , 5 minute Herald Square shopping centre 3 - 4 minute Subway Stations Postal Office . would definitely stay ! ! 
 Oct 3 2005 	 wonderful 	 hotel perfect we really not want spend $ 2000 night . hotel sleep , live , darkeness fine . window nice view old building manage get good sketch . would stay . center Manhatten ideal walk see sight . staff friendly . 
 Sep 27 2005 	 Nice Hotel 	 stay hotel Sept 13 - 15th vacation N.Y . find myroom good size N.Y . clean everything work . my complaint make reservation ask smokingroom arrive find go smoke - free Aug. 1st . I would liked notify could make otherarrangement . fine since time anyway . would recommend hotel anyone look affordable rate . 
 Sep 19 2005 	 barely ok 	 advice would not get cheap room , unless totally prepare tiny , extremely dark room - cell , really . cold tap room not work , not fix . battery tv remote run , eventually replace . window grimy could not see properly . share bathroom inexplicably action whole day go different floor shower . ask could pay upgrade large room bath , staff helpful apparently room available whole week stay . tell ask every morning situation change - not think would much take note request inform room become available . day go ask , queue people minor complaint seem staff interested help - price , guess 's surprising . on positive side , room clean hotel quiet . price excellent . subway access extremely good . 's easy walk Penn Station come Newark Airport . I would say well budget choice . garment district quite dull , compare Manhattan area , unless mad keen shopping , want go esb every day , probably find well location . quite homelss people sleep rough street ( include one couple right outside hotel double mattress bedding ! ) , although not feel unsafe , bit depress encounter poor soul night morning . 
 Sep 12 2005 	 girl weekend NYCity 	 want close everything mother wary city . mom hear hotel friend insist book . good choice we . able walk everywhere without get public transportation .. room clean bright . feel comfortable safe . staff answer question help we direction . would recommend people twenty look decent , safe , reasonably price room expensive NYC . even get care package ( mom call ) front desk since have forget toothbrush . definitely would return .... 
 Sep 1 2005 	 location everything 	 return stay little gem hotel new york . 4 night say want central hotel near time square , macys 34th shopping area one . room clean yes huge , time spend , perfect need . hotel safe quiet night also advantage . central location real plus staff helpful arrive , theuy even give husband choice two rooms.overall herald square great budget place stay want stay cheap hotel great area ... stay ! ! ! 
 Aug 31 2005 	 suspect rodent ! ! 	 ' cost lot ' expect lot . draw line rodent room . chocolate bag fairly well nibble time leave . also view room plain hideous ( although I m sure front hotel experience well ) . bed - cover way pretty shabby also look like ' attack ' small mammal . pretty well condition living squalor ' complain would go back . 
 Aug 26 2005 	 stay 3 time look foward 4th . 	 read many review user site , decide give hotel try . arrive expect find small comfortable clean room . exactly find , . room extremely clean , safe room , quiet . staff front desk nice , helpfull , even allow check 10 am , 5 hour regular check , additional charge ( would not expect time , guess get lucky room ready early ) . location hotel great , close everything need . several subway station within walking distance , HUGE Macy 's . one highlight trip New York venture top Empire State Building , guess , 's stone throw away ! . literally 3 - 4 minute walk . Lot 's pizza joint , well decent Bars / Pubs . several deli type store dot corner along street , great selection drink , thing snack . also Dwayne Reed Pharmacy block half away . also right heart calling & quot ; Little Korea & quot ; , enjoy korean food , be big time luck . hotel not restaurant site , many people might find bad thing , really people , ' re NYC ! ! get find great food . bottom line . someone need pamper , wait hand foot , hotel * might * . look cheap , clean room middle everything , hotel definatly . hotel not offer amenity one , like shampoo toothbrush , honestly , not travel thing ? definitely stay . could pass sweet room Downtown Manhattan $ 90 night ? 
 Aug 10 2005 	 Great Deal ! 	 stay Herald Square visit New York July . hotel many reviewer say ; great , comfortable bed clean room ! everything work well , air conditioning shower . bring shampoo hairdryer small price pay clean quiet room . side glass lobby wonderful , helpful people . ask one question Life magazine we good story couple Life ' cherub ' keychain . highly recommend place ! 
 Aug 8 2005 	 Great price 	 friend stay week fourth . room small , comfortably accommodate four woman & amp ; belonging . lot construction go outside , hotel clean . room clean keep clean every day . location convenient daily outing . staff friendly helpful giving direction . bed pillow comfortable . quiet night . leave deposit iron , return end stay . plan stay return visit . 
 Aug 1 2005 	 staying . 	 stay Herald Square first time March . somewhat concerned appearance lobby reservation desk behind glass . ny year , think might something new regard safety . daughter NYC explore NYU option prospective college list . long day non - stop walk around Washington Square , pleasure rest comfortable bed ! room small , clean , feel safe . will stay Herald future visit daughter NYU , especially family extemely tight budget ! 
 Jul 27 2005 	 island 	 not know rest hotel like , get stay one newly refurbish first floor room ( manager recommend ) . decor & quot ; island like & quot ; enhance shuttered window give impression far away hustle bustle city outside . return shopping sank feather cover bed make possible nap long almost miss dinner friend not see year . someone trouble sleep ! bathroom necessary amenity LCD screen room put crown touch reasonably price accomodation . not think find well value city . certainly plan return next visit Arizona . thank Heral Square 
 Jul 7 2005 	 good value NY 	 come back four night stay Herald Square couple week ago not disappoint slight . slight mix payment procedure staff lovely could not helpful holiday . although hotel basic , be incredibly clean - towel bed change every day - thing would often pay extra ( safe , air con etc . ) free . location could not well - smack bang Broadway 5th Ave 5 min Times Square . feel safe look whole time would not hesitate book Herald Square future trip Big Apple . 
 Jul 1 2005 	 Great ValueGreat Location 	 Herald Square Hotel smack middle mid - town Broadway Fifth Avenue get top mark location . the public area undeniably basic - linoleum rather carpet example , room spotless boast safe well tv , staff friendly helpful . range room well worth book one private bathroom . stay hotel twice would not dream stay anywhere else ' m New York - must good value whole city . 
 Jun 16 2005 	 Best Cheap Place stay NYC 	 Herald Sq . hotel favourite place stay travel NYC . ' ve least dozen time can not beat . staff friendly , room clean , location fantastic . never encounter rodent ( state previous review ) , doubt ... place way clean staff way diligent . 
 Jun 15 2005 	 Remembering Herald Square 	 think ' ve finally find hotel meet need NYC . close enough city could walk destination , room not overly large , fit criterion . bathroom little cramp , enough shower everything . staff friendly accomidate . great stay definatly stay . nice clean affordable room , can not go wrong Herald Square Hotel . 
 Apr 19 2005 	 Fine Bargain stay 	 think overall perfectly fine stay resonable rate $ 134 night . queen bed wonderful , big fluffy white comforter springy new pillow . bathroom clean stock enough towel washcloth . first check room , discover in - room safe break ( need travel partner 's laptop ) . staff front desk give we new room , think nice since not obligate . new room identical mirror image , safe function . hissy radiator worry partner , radiator hiss , sleep side since 's issue . not keep awake . have warn possible construction noise outside Saturday morning , came roll 3:00 , fall fully asleep must miss particularly severe noise . late - night desk clerk get extra point -- starve night vex name all - night food place deliver . try hard find list day clerk keep , could not find look night pizza place phone book . ( ok , Pizza Hut , try ) . lobby internet pod , $ 1 5 minute remember correctly . helpful . lobby roomy table chair guest way . see large family ton luggage make good use . hotel ritzy measure , much like small family own hotel stay Europe . , great value travel dollar . 
 Apr 6 2005 	 consider price -- 	 $ 159.00 ( include taxis ! ) get clean , quiet room confortable bed spotless bathroom . staff helpful location ( within easy walk , bag , Penn Station ) .However , one look place leave bag spend night , disappointed & quot ; amenity & quot ; .Frankly would much rather spend money ' m save amenity choose ! 
 Mar 20 2005 	 Wildlife Warning 	 book hotel internet site . also read review Travel Advisor think , eh , cheap price / good location hack . bullet proof glass people lobby sort scary still hope room would clean . open door run bathroom bed . rat , mouse , perhaps someone 's gerbil . go downstairs check right . staff helpful friendly perhaps someone else happen . 
 Mar 18 2005 	 Value money 	 stay tiny single room . clean , well serviced staff helpful efficient . location convenient , although immediate surround attractive . the main thing cheap . stay terrible cheap place New York year , place okay , least single , excellent value money . 
 Mar 7 2005 	 girl weekend 	 febuary 7 2005 spend girl weekend new york , first time new york . really ejoye room , nice , staff really nice . stay visit ny . close alot thing . really recommend hotel . 
 Feb 8 2005 	 Herold Square Hotel good ... 	 get well time ! place worth stay , historical context archieve contain . life magazine historical cover place . ' m enervate continual effort make upgrade modernize facility . staff first rate , frankly , ' ve stay hotel U.S. , Canada , Europe , find staff friendly attentive , else . additionally , central NYC location big plus . combined reasonable cost night 's stay , unbeatable experience . room immaculate , bathroom spotless , bed comfortable , flat panel tv real plus . can not think single reason stay , every time ' m NYC . 
 Feb 3 2005 	 good price great location 's ! 	 friend arrive hotel almost faint ! lobby total disaster guess refurbishment work . get room feel much well ( despite orrible curtain , carpet decoration ! ) . room clean , confortable bed powerful shower . regard staff , afraid rude always helpful . hotel perfect really tight budget . personally stay . 
 Feb 1 2005 	 know thing ...... 	 arrive Herald Square Hotel snow storm 23rd January . first impression outside nice , upon enter feel bus station . ton construction go street make feel low level industrial zone . cashier sit behind bullet proof glass , personal detail money must slide underneath glass . key room slide back purchase seat train . clean hotel , bed good , tv work , stain bathroom . hotel staff good natured helpful big plus too . but certainly nothing budget travel . hostel type feel place . lobby area bit worn , main elevator disgrace need spruce speed . lobby coke machine , internet site affordable , place sit read front ........ carpet roll whatever reason add drab condition . oversized locker lobby store belonging check day , going pick hotel later late flight . add hostel type feeling place , fine , everyone look life . this place business person want meet client , even insist merely travel alone do not need impress . biz partner think sense money invest . it hotel strictly budget minded folk , fine , expect bit more . if someone say go one internet site find deal upscale hotel , one aim . think hotel perfect look save money , next time spend either 60 dollar evening look around something else . for instance , say hotel clean enough , suppose clean be not ? bed suppose somewhat comfortable . n.y.c . different set rule place ? get good affordable room europe biz places states affordable price much nice condition overall . lastly , stay well hotel n.y.c cost worth . 
 Jan 26 2005 	 fine price 	 arrive middle blizzard hotel lobby wet , build work go time . however , room warm clean bed comfy , worth pay extra dollor queen size bed . location ideal hotel worth price sort place go look luxury- enjoy New York ! ! 
 Jan 6 2005 	 definitely Budget 	 first trip NYC September 2004 stay Herald Square first night . must say first impression good one . Granted check Saturday night probably full , hear clerk whisper co - worker & quot ; wish well room give they . & quot ; see wish ! room tiny , barely enough room two suitcase get around full size bed . picky person , Motel 6 usually fine ! change sheet bathroom clean smell strongly bleach . next day awake loud construction next door , barely hear fan / AC unit loud ! next day staff happy move we different room big lot happy . like everyone say hotel 's dark old cozy , long day walk always welcome bed really fine . be convenient subway block empire state building . day stay move second place reserve , Belvedere Hotel book priceline get price . ohhhh world difference .... room wonderful , great location right Times Square . advice ? go Priceline ! get MUCH well hotel price Herald Square ! ! ! 
 Dec 12 2004 	 fact ! 	 recently home first visit NYC guest Herald square hotel . read many mixed review different website , mixed feeling expect , fact find 3rd December 2004the outside hotel quite pretty , build work side infront hotel . far noise , stay weekend mid - week . noise weekend , distant building sound bang 7.30am , look like , stay intention lie bed morning , wrong type holiday ! not noise always beep cab , police siren ! ... that s thrill mid town nyc.the staff really helpful , slight problem booking , straight away accept mistake put right . helpful ask direction , place eat arrange cab exchange t.cheque too . the lobby , lift landing blow away New york style matter room . however , clean basic , safe really really comfortable bed , give never life feel exhuasted end day , true bonus ! bad thing read post visit , bullet proof glass & quot ; buzz & quot ; door . well big deal ? ? ... assume glass safety hotel staff ! ? buzz , well keep unwanted ? ! ... grand reception area cost guest stay , not ? afterall , do not sleep reception ! room dirty ? , well , smoking room yes little date could benifitte new set curtain , bathroom clean , clean bed everyday fresh towel . basic , want , end day , spend time room sleep something really wrong ! .Yes hotel quite dark , respect natural light , say , build really old ! hotel FANTASTIC location give away price New York . want & quot ; fairytale & quot ; pay extra go somewhere else ! , honest many fab thing spend cash , quite frankly would bonker ! .As hotel say & quot ; great budget hotel & quot ; really ! 
 Nov 29 2004 	 great value great location 	 husband visit NYC first time September . friend recommend Herald , cheap place great location . around block Empire Flatiron building , handy little coffee shop , recently paint exterior hotel look like classic New York . inside ai not great , lobby ( rest hotel ) clean bright . this definitely feel like safe hotel , need buzz staff hour . do not expect luxury . budget hotel get pay . green decor ( even lovely Life magazine cover ) far modern , even though room refurbish . air - conditioner noisy use much tv work sporadically . flip - side , queen - sized room ample , shower bath much appreciate long day traipse city street . worth pay queen - sized rather double - 's buck more . after difficulty find record booking checking , problem staff room always keep spick span . the verdict ? great price great location . get pay , hotel not cost much . clean , well - locate hotel expensive extra hope , even though room not look pretty . stay six night next trip city . 
 Nov 20 2004 	 brainer 	 live south beach fl . love visit ny friend shop . stay herald square hotel , affordable , central location . like staff choice room price . love different room fit budget excited continue upgrade hotel . 's great deal brainer visit ny .. Lisa 
 Nov 14 2004 	 first Time NYC - Loved Herald Square Hotel ! 	 thank much Herald Square Hotel make husband feel welcome New York City ! first time Big Apple must say staff certainly know & quot ; art & quot ; treat people . enjoy see New York offer never feel lose staff provide we everything need get around . hotel also provide lot history , part wonderful Time Life picture & amp ; magazine cover within hallway . would definitely recommend hotel anyone want great service , great night ' sleep , great price ! 
 Nov 11 2004 	 Happy Herald Square Hotel 	 find hotel web . Most review good , good . we want see ourselves . the hotel 111 year old , ask new room . we enter room 9 ground floor , double brand new bathroom . a great bed flat screen tv . very clean quiet , tad small serve we well . we walk hallway view collection early Life magazine , clean wellkept building . staff friendly helpfull . the staff seem constantly clean , paint ect . spoke guest globe , seem happy room . you compare brand new holiday inn . a lot history charm here . we would recommend 9th , 8th , front hotel well ground floor room first timer . these room chance peek hallway tour . we disagree negative review read web . we stay . cheer 
 Nov 8 2004 	 stay 	 stay July 2004 place dark , room small one small window look another building . place demolish . feel like stay asylum , steel door , cement hallway . homeless shelter would well . hallways creepy , stark dirty . could not get fast enough . stayed one night go immediately another hotel . one good thing , staff kind helpful . 
 Nov 6 2004 	 place true * * * * hole 	 well , say , place look great internet , upon arrival .... oh GOD .... start story . after buzz door stand opposite side bullet proof glass staff WAY nasty need , get & quot ; maintenance person & quot ; get we room . ( apparentely sort key problem ) .The hallway filty fill mattress box springs frame dresser drawer ( js not fire hazard ) , can not even begin explain hallway smell like ! ! ! room small , clean well , furnishing old break , curtain oh GOD ... dingy , stained , rip , not even want touch . window even open ! ! ! hair bathroom floor ( gross ) ; shower head rust point hardly even work . god ... not even toilet paper holder . carpet not even fit floor , look like throw floor say & quot ; well , be ok & quot ; . topic carpet , stain beyond carpet be . they advertise free HBO web advertisement , guess tv be not read . television room work want . call repair , guy came said & quot ; OH well & quot ; . tell bit customer service . do not make mistake . stay far far far away * * * * HOLE . nice place call Wolcott across street , suggestion . request refund hotel , work , refute charge bank . rate $ 149.00 per night , true rip ! ! ! ! former Unhappy Herald Square guest 
 Oct 11 2004 	 Okay 	 return 5 night stay room 219 . room small , adequately sized , queen sized bed . bathroom closet large . clean basic . major complaint would one window faced enclose airshaft little natural light . even bright mid - day room dark . major construction across street mean lot early morning noise , except sunday . would never pay much ( $ 129 ) room unless unsuccessful priceline amount time . 
 Oct 5 2004 	 good clean cheap excellent location 	 spend 4 night herald August 04 staying room 10 , room small clean suite air con . hotel locate pretty much centre Manhatten , be ideal anything everything want ( eat out / Theatre / sightseeing ) .Staff poilte helpfull , think 's one hotel smoke room . 
 Aug 18 2004 	 LIKED . 	 normall stay Wolcott across street , see Herald Square previous visit decide give go . staff really nice helpful , hotel clean . the room reflect price pay , heat ( VISIT WINTER ) , bathroom bed , want ? take travel kettle cuppa wake , plenty nearby place get food drink , stone throw Empire State Building . would use hotel . 
 Aug 15 2004 	 Herald Herald Square Hotel 	 regular repeat guest Herald Square Hotel . I try smallest , cheap room , view clean everything work . my regular choice room queen sized double usually sell out . one must book far advance . the staff always try good problem arise . management always available speak , always fair honest I . I share review other affordable hotel NYC become hard find one gem . 
 Aug 12 2004 	 bad room ever 	 room small face enclose air shaft ... ask another room service give worst ever experienced hotel city visit .. would advise stay clear hotel ... make NYC experience less enjoyable 
