wonderful 	 thoroughly enjoy stay Hotel Drisco . Situated Pacific Heights , hidden jewel sit among many Heritage building / home - well worth stroll see stunning architecture . room re - design update keep age character building . complimentary breakfast serve morning , well sit room enjoy read book / newspaper tea & amp ; coffee serve day . hotel quiet , comfortable staff kind helpful . look forward next trip San Francisco - Hotel Drisco hotel choice . 
 Oct 6 2006 	 real home home 	 stay great downtown hotel visit San Francisco 10 year ago enjoy walk Paciifc Heights neighbourhood decide search hotel trip . drisco well suit requirement not disappointed . comfortable friendly good breakfast . real coffee , include decaf , large variety tea bag / hot water always available cozy lounge portable cup / lids also available want take room . also enjoy early evening wine / canape , unfortunately , could always make back time lot pack day . deluxe room spacious well appoint , bathroom . originally request city view ( possible ) get courtyard view fine top floor quite light not plan spend time anyway ( not bother enquire whether could change ) . hotel also provide useful information sheet sightseeing , activity etc . we problem stay away main activity . obtain 3 - day Muni pass find area well serve bus , either one two block away nice retire peace quite lovely neighbourhood end day . also find nice restaraunt bar locally enjoy stroll past elegant house . Drisco / Pacific Heights real home home , albeit rather elegant home neighbourhood ! 
 Oct 4 2006 	 wonderful Find 	 hotel find among residence Pacific Heightswhich make hotel peaceful . staff go way accomadating request . come back mu nexy visit San Francisco . 
 Oct 4 2006 	 quiet restful upscale hotel remove city noise 	 stay four day suite . suite great -- -very large bed comfortable furniture show little wear . great view though Pacific Heights . request high floor corner suite get . since 3rd floor four story hotel old bldg , hear people walk around we disturbing -- -muffle . breakfast fine , nothing special . Bellman great tell we park . never trouble find free parking other note , bellman move car leave day . front desk good restaurant recommendation . real complaint except say bath product nex tub free . use discover pricelist item fall behind table . fault . interest stay anywhere near Union Square , noisy crowded . great alternative taxis phone call away . 
 Oct 1 2006 	 wonderful family reunion 	 write see negative review , thing , Pajamas ! ! ? ? son marry San Francisco several year ago stay blast . room lovely , service exceptional , daughter - in - law bridesmaid ' luncheon day wedding , delicious well - serve . hotel little bit expensive usually need , would hesitate stay situation call . Pisces143 
 Sep 27 2006 	 like sleep Grandma 's Attic 	 Nice hotel Pacific Heights , room two single bed size postage stamp . sure not use one double bed instead , feel like sleep grandmother 's attic . ' m small woman , single bed situation nice hotel cut . not sleep well result . bathroom , hand , big neighborhood , right presidio , gorgeous . 
 Sep 11 2006 	 nice hotel bad ( amateur ) service 	 overall , nice hotel , bad service.as soon arrive , climb stair ( parlour ) check desk ask help luggage . 7 large piece luggage . nobody show street curb husband unload everything taxi carry stair ! ! ! entirely unacceptable person desk ( young guy ) simply somewhat apologize saying could not find anyone . ! ! ? ? ! decide forget one time bad experience guess mishap could happen anywhere ? next day approach desk ask simple question . behind guy take time occupy 2 people desk ( different people first day check ) . patiently wait . 2 people work behind desk aknowledge keep wait . furthermore , another customer randomly cut line simply approach desk ask question , woman ( old curly hair ) behind counter start help person clearly see stand line least 5 minute . WTF ! ! ? ? hotel exude class outside , none inside . employee amateur . 
 Sep 11 2006 	 one good stay - ROMANTIC 	 want take opportunity thank excellent staff make 15th anniversary , one good experience date . everyone deal , front desk clean staff top notch . stay many varied hotel life , one far one nice ... love historic hotel ! thank much amazing room ( 207 ) . room view one nicely appoint make romantic experience . champagne chocolate , nice card also appreciate . the include breakfast great touch match high standard hotelSo please thank everyone come SF , stay ! relatively close Califorinia street # 1 bus make get town / cable car easy . 
 Sep 6 2006 	 romantic perfect 	 husband return home 5 day stay San Francisco celebrate 10th anniversary . accord budget , could afford one night really nice hotel , spend lot time research different hotel . Hotel Drisco 's review stand among other . disappoint upon arrival . neighborhood quiet beautiful . staff gracious helpful . room beautiful well appoint . long , busy 4 day explore city , nice enjoy bath amentie long relax soak . plethera dining choice available San Francisco , contemplate go breakfast checking , decide stay enjoy much little gem could leave . hotel breakfast wonderful selection food enjoy quiet start long day travel homeward . , find Hotel Drisco absolutely romantic charming . regret could not spend every night stay Drisco . look forward spend much time future . 
 Sep 4 2006 	 lovely hotel beat path 	 husband book four night stay large King suite Drisco . arrive SF realize $ 10 cab ride tourist attraction , first disappoint . Hotel Drisco 's location Pacific Heights lovely quiet quite fell love . Pacific Ave elegant street private home overlook bay . gorgeous . room huge , clean attractive ; bathroom modern clean . breakfast ( include ) delicious . front desk friendly even help book side trip Yosemite one day ahead , another tour company cancel last minute . would definitely go back recommend Hotel Drisco anyone ( know walk cable car Fisherman 's Wharf ) . 
 Aug 16 2006 	 could wait stay .... really let 	 search high low perfect hotel one Night San Francisco . travel San Francisco way Virginia , look forward Staying Drisco . Whe walk , like imagine , lovely , like picture . could wait get check see beautifully decorate early 1900 's king size room , hopefully city view like request . upon check tell give room away guest want stay another night . one room leave , would give we complimentry . show we room , hall across front desk , , small , view window another room , bathroom room . would use bathroom hall . bathroom use , HALL ! ! ! sooo disappoint . later day , see cite day , tired look forward relax enjoy beautiful room . speechless , disappointed accomidation . service nice , breakfast nice , could get disappointment room , view exist , bathroom hall . disappoint one night SF . could stay anywhere San francisco , choose Drisco review , location , quaintness room read . feel like Hotel offer we room somewhere else SF , ( many ) another one hotel Joie de Vivre Hospitality boutique hotel 's , company . Amy . 
 Aug 13 2006 	 hard find fault hotel 	 stay Drisco pleasurable experience . everyone welcome friendly . I impress member staff make effort find recieve incoming phone call room . praise give staff give high clean standard extremely comfortable accomadation . we suite son room . agree standard throughout . the continental breakfast good wine aperitif evening appreciate . credit give member staff make enjoyable 3 night stay . I would definately use hotel . 
 Aug 12 2006 	 nice staff earth ! ! 	 wife , daughter stay Hotel Drisco last week . never San Fancisco . Indiana want take daughter somewhere never , go college week . San Francisco right choose Hotel Drisco perfect place stay . staff friendly ever . give we great advise sight , book reservation dinner every night even help move car street clean . first day always address name . not know remember , . Pacific Heights great area town always feel safe neighborhood . would highly recommend hotel occasion . family , business travel romantic getaway . 
 Aug 6 2006 	 Hotel Drisco Best 	 wife visit SanFrancisco many time stay many differant location hotel . Hotel Drisco head rest . beautiful room , spacious bathroom , beautiful view . relax atmosphere . beautiful location safe upscale residential neighborhood . outstanding service . friendly accomodationg staff . easy parking street step outside door . always stay visit San Francisco . 
 Aug 5 2006 	 personal pie terre SF 	 experience Drisco start 3 year ago since every year go back feel home , locate beautiful residential area , gve proper surround relax sightseeing day work day , it´s style touch class make special , attention team make feel queen privacy give space feel pamper , one jewel expect find travel make come back place like small part home Drisco ... always looking go back enjoy wondeful attention get warmth , , , , make feel good 1 ! ! ! ! ! , , Evangeline .. 
 Aug 1 2006 	 bring earplug ... 	 love eveything place except earplug supply we stay low floor . SF Marathon next morning hear couple we prepare go watch 4:45 am - complete toilet use , talk , dressing , shoe dropping , walk around finally leave room . would definitely stay bring earplug ... 
 Jul 30 2006 	 favorite place San Francisco 	 stay Hotel Drisco celebration daughter 's law school graduation . visit San Francisco numerous time last thirty year , finally find home away home . locate quiet , safe neighborhood perfect stroll view bay , Hotel Drisco extremely friendly , helpful staff european atmosphere . stay adult son airy two - room suite much large . prepare cool weather request heat room . time , portable heater deliver take care problem beautifully . recommend Hotel Drisco without reservation . 
 Jul 29 2006 	 Thank Trip Advisor 	 book holiday , Drisco top rate San Francisco hotel . sad see fall 6th position since . deserve back top . awful 24 hour flight thank American Airlines bungle booking system . relieve book Drisco . driver wonderful sorted arrangement regard delay hang around Dallas Chicago . pick we airport 12 midnight past caring arrive San Francisco . arrive destination , beautiful room ready wait sheet turn back ready we fall deep sleep . glad choose wonderful hotel . like home home attention detail helpfullness staff ( particularly Roberto driver ) much appreciate . mention hotel friend live California , already know Hotel hold high regard . say ? ? 
 Jul 25 2006 	 Perfect location 	 choose hotel convenient location Pacific Heights . get much bargain lovely breakfast , fun happy hour terrific staff bend backwards help we . wonderful place certainly visit . 
 Jul 13 2006 	 Superb stay Drisco 	 spur moment idea celebrate 39th wedding Anniversary San Franciscoyielded one favorite hotel , ever -- Drisco . we ticket concert Saturday afternoon think might fun spendthe night lux hotel add celebration . search TripAdvisor bring myattention Drisco . since live across bay , not need adowntown location . preferred charm personality corporate - type hotel . the Drisco vacancy we happen mention Anniversarywhile speak lovely man phone make reservation . we quickly pack bag make 1/2 drive across Golden Gate Bridge ona gorgeous , sunny day Pacific Heights area City . know City quite well , know could not go wrong Pacific Heights . we welcome Hotel like & quot ; old friend & quot ; give upgrade ( becauseit Anniversary ) gorgeous suite . delight ! ! corner room witha lovely vista rooftop across City soft , tasteful furnishing anexquisite bathroom . happy decide spend another night ! ! , top , bring we champagne chocolate ! ! nice continental breakfast ( include ) next morning , coffee teawere available 24 hour day beautiful & quot ; sit room & quot ; , also servedafternoon wine cookie . we love every minute beautiful weekend celebration . walk walkedand walk San Francisco many beautiful place beautifulvista ... Marina Green Fort Point ... Union Street ... Chestnut Street ... Pacific Heights ... Presidio ... plus many other . on second night , fog roll make & quot ; romantic & quot ; feel complete . thank , Hotel Drisco staff , wonderful weekend . you & quot ; home away home & quot ; City on . P.S . not change thing ... everything perfect ! ! 
 Jul 10 2006 	 A+ ! ! 	 wife return trip Wine Country San Francisco . stay Hotel Drisco first night get San Francisco 2 night come back Sonoma Napa . can not say enough good thing staff ( extremely helpfull , knowledgable friendly ) , hotel ( clean , classy great location ) area hotel ( quiet , beautifull view safe area ) . stay next time go back San Francisco , without hesitation ! -brad . 
 Jun 30 2006 	 can not wait return ! 	 spend 3 wonderful night hotel could fault . beautiful hotel wonderful part town . hotel residential area Pacific heights area location may appeal everyone love it . we travel 2 year old first hotel order crib wait we nicely make room . room elegantly furnished , spacious bathroom beautiful . experience noise neighbouring room . the front desk staff welcome helpful could ask . happy provide information walk tour San Francisco information . the complimentary buffet breakfast tasty also manage enjoy wine reception two evening . we could fault hotel would recomend anyone look classy boutique hotel prestigious part San Francisco . 
 Jun 15 2006 	 First Impression 	 first impression place beautiful . walk room , immaculate . good beautiful hotel ever stay . everyone courteous charming . definately would recommend anyone stay Hotel Drisco hopefully stay . 
 Jun 12 2006 	 nice hear guest 	 husband book King suite Hotel Drisco wedding night hear wonderful thing hotel photographer . interior lovely ( perfect taking & quot ; get ready & quot ; shot wedding ) . everything clean fresh look staff pleasant . parent bite dissapointe order bottle champagne deliver room wedding , staff deliver champagne early . husband arrive room champagne bucket water ( ice melt ) . say , bit dissapointe well staff know wedding night felt go beyond make sure thing nice reason . example , husband town celebrate engagement ( different hotel ) person front desk send complimentary bottle champage room congratulate we . Hotel Drisco staff make attempt help we celebrate wedding day make extra special stay . long night party wed ready sleep order breakfast bed . luck ! second person we wake , could hear walk bathroom , flush toilet , run sink , etc . 6 am get bed 2 am -- bliss mind first day married woman : ) really hear hotel guest ( corner room guess bad could . ) 
 Jun 6 2006 	 { ar Excellence ! 	 business include fair amount travel , San Francisco , course , rate high list city call . San Francisco several time year city inviting stay Hotel Drisco . the Drisco feel real & quot ; boutique hotel & quot ; . locate elegant residential neighborhood away downtown , far incovenient . Located Pacific Heights overlook Bay offer wonderful view quiet street , charming shop varied restaurant within walk distance . the decor elegant welcoming , really design comfort , suggest fine country inn . staff exceptionally well train offering service equal prestigious hotel ' ve ever visit , - comparable Four Season , Ritz Carltons , abroad . talk guest occasionally find enthusiast reason . the service leave nothing desire , everyone offer professional service courtesy smile time . I really look forward day Drisco . live reputation San Francisco enjoy world class city . feel world class hotel . 
 Jun 1 2006 	 terrible 	 book hotel base review disappoint . hotel really guest house , b+b style place . like feel look comfortable place . old house everything creak , may appear charming 4 am monre anyone move hear wake . also hotel air conditioning . alot house San Fran not air conditioning due cool weather hotel . even average hotel UK air conditioning cold San Fran . want air open window ensure woken street noise , car etc . room small get stuffy easily open window . the location also great . Pacific Heights nice suburb within walk distance Union Sq Fishermans wharf taxi everywhere . taxi stop nearby ask front desk ring taxi every time want go somewhere . B+B guesthouse would good standard breakfast impressive lovely room , hotel price totally worth . not see late Lonely Planet call & quot ; drastically overprice option & quot ; .All positive review people stay suit standard room . 
 may 31 2006 	 Two Thumbs 	 HATE write review not want hotel overwhelmed reservation . BEST VALUE San Francisco , expensive city hotel . reservation : easy efficient thru website . confirm reservation record time . check - in : fast efficient accurate . room : large two room suite , nice furniture , excellent lighting , comfortable bed . bathroom large well appoint , excellent towel bath product . amenity : excellent breakfast include every morning , wine late afternoon ... fantastic touch . get pass Presidio YMCA excellent workout nearby . other highlight : free in - room high speed internet access . abundant free on - street parking . extremely quiet hotel location without outside traffic noise . neighborhood view spectacular . shop restaurant nearby Fillmore Street Union Street . 
 May 29 2006 	 Excellent hotel path location 	 girlfriend recently pleasant two night stay Hotel Drisco . 's cute quiet hotel hospitable service . hotel locate Pacific Heights section San Francisco , beautiful neighborhood , way location site seer . have stay two night Arognaut Hotel prior Hotel Drisco like location much well . Hotel Drisco fine hotel recommend traveler not mind copious amount walk take taxi . room extremely clean , breakfast good , nice change hotel location see part San Francisco . a jog nearby Presidio Park make excellent early morning run . parking around area bad read . perhaps use NYC parking problem even close . 
 May 18 2006 	 nice ! great staff ! bargain ! 	 nice , clean , well decorate hotel . hotel beat path little wonderful part town . still close everything . quick cab ride . stay suite nice . great view . breakfast nice plenty eat great choice . staff great . problem . thank , 
 May 17 2006 	 extremely Disappointed El Drisco 	 choose El Drisco San Francisco 's reputation service within boutique hotel . however , 5 day visit would recommend hotel anyone stay . result staff lose posession whilst , never experience poor customer service suppose service - orient hotel . staff repeatedly ignore request help nearly one month later neither insurance company able even get response senior management . visit hotel celebrate anniversary . whilst loss property unprofessional , rudeness hotel even register loss complaint cause we critical hotel . great shame hotel let way . genuinely expect high service . 
 Apr 9 2006 	 Classy Hotel ! 	 stay one suite hotel really impress , be quite 5 star hotel little thing give away ( slight stain sofa example ) really classy place great location ( albeit long way downtown San Francisco tourist trap Fishermans Wharf ) continental breakfast recommend freshly squeeze orange juice . 
 Apr 7 2006 	 Super Nice ! 	 think hotel nice . use stay cheap , chain hotel one definitely leg chain hotel . I normal room ( suite ) look little courtyard . extremely clean comfortable . closet private bath . also iron board iron great stay San Francisco interview , able iron clothe . I trouble find parking . street parking free move car every three hour hour 8 am 6 pm Monday Friday . problem leave interview go back lunch gas afterwards , anyway . plenty parking within two three block hotel . there plenty restaurant deliver hotel order chinese food diner first night . food tasty reasonably price . desk plenty menus available depend taste . also , plenty restaurant Fillmore Street along shopping . really enjoy eat Mexican Grill Fillmore , think name La Salsa something like that . the hotel also near scenic walk view city bay . even one point walk little embankment near funny curved driveway see Golden Gate bridge . ask people desk see nearby . also feel hotel safe location not worry walk around day . the breakfast fantastic , not typical hotel continental breakfast . boil egg , oatmeal , toast , scone , etc . good coffee . serve cute little dining room waiter clean I . speak , staff nice helpful . one guy desk check flight print boarding pass would not pay computer / internet set downstairs . remember next day even ask interview go . it fantastic hotel would definitely stay . however , would not trust mapqu direction , get lose way hotel . call ahead ask direction clerk desk give precise direction back airport problem find way direction . 
 Mar 31 2006 	 intimate boutiquewonderful amenity 	 live San Franciso several year ago opportunity stay visit lot local hotel year . family stay Drisco weekend March 23 , 2006 . time arrival , service prompt helpful . check - in courteous efficient . room two - bedroom two - bath sutie . large , spacious comfortable . living area main bedroom huge , gorgeous view overlook rooftop nearby Paciifc Heights mansion cityscape beyond . sheet , bath linen robe wonderful bathroom adequate . generous sized fruit basket oom upon arrival , too . the Drisco close Pacific Heights , Union St. Marina shopping district residential neighborhood ... mean area right around hotel quiet . look nightlife within walk distance close Union Square , place stay . 
 Mar 28 2006 	 Magicial Stay 	 first stay last . sensuous magicial place stay . 
 Mar 27 2006 	 Echo - nice sleep 	 stay Hotel Drisco advice board two night last week . hotel like & quot ; mini - Ritz Carlton & quot ; many way - nice decor , nice amenity ( Aveda product , comp water , good honor bar ) . service great - nice helpful . pay cab car service late move rental car we day ( 3hour limit street parking ) .We pick hotel relatively good value money say & quot ; quiet & quot ; .location : Pacific Heights beautiful near Palace Fine Arts , Presidio , Marina , etc . pick hotel hope spend time part city hope good weather . get rain end spend time Union Square / Fisherman 's Wharf area convenient . cab necessary driving get place . complaint : robe towel scratchy . radiator heat loud . always wear earplug sleep partner awake 4:30am morning terrible bang pipe . location hotel quiet - hotel . exercise room close - offer free pass YMCA not use it . the hotel nice , good value money , would stay elsewhere next time bc noise . go loud , would rather centrally locate . 
 Mar 22 2006 	 nice sleep 	 experience base short stay mid - week business trip . First Pacific Heights area really residential , quiet old world elegant . many absolutely gorgeous home surround area . one see water view stand street corner outside . say , typical tourist , be really close touristy spot . would venture guess Union Square good 25 minute walk ( steep hill , btw ) , Fisherman 's Pier . 's convenient trolley stop either . 's complimentary car service Union Square morning , rest time find transportation . the decoration room tasteful elegant . comfortable bed stiff robe slipper reason ( need fabric softener ! ) . secondly , not know 's location room , start 6am hear neighbor walking room , get ready morning . floor board creak mercilessly sound like herd elephant stampede . needless say get sleep point . third , central A / c heat . a / C may problem since s.f . not get hot summer , kicker radiator turn 7AM morning give loud ping noise think someone remodel work next door . the breakfast , although tout gourmet , nothing write home . 's basic starch , plus boil egg , although set elegant dining area . the service outstanding . receptionist helpful friendly without intrusive . impressed call pay taxi cab ride complimentary ride run late . think sum great place want efficient friendly service , great romantic weekend getaway would advise bring car get around town set earplug handle noise problem ( due old building 's infrastructure ) . 
 Mar 20 2006 	 extraordinary service Hotel Drisco ! 	 look small , upscale boutique hotel locate quiet section San Francisco . read previous review decide try Hotel Drisco . worthy excellent review . staff helpful every way . female travel alone , conscious safety security . area safe feel secure time . staff greet name always ask . amenity also first rate . impressive aspect hotel personalize service . request meet smile without question make restaurant reservation small room repair . one faucet bathroom function properly inform front desk . expect washer replace , instead receive completely new faucet set . breakfast provide quite enough satisfy need tasty . thing people aware parking street restrict day . problem find space evening though . Hotel Drisco great place great alternative large , somewhat impersonal hotel would stay without hesitation . 
 Mar 13 2006 	 Outstanding Hotel ! 	 Drisco Hotel one highlight stay San Francisco , despite cold rainy weekend . room tastefully decorate , spotless , comfortable . breakfast delicious . view hotel breathtaking , location excellent : walk distance Presidio Park numerous fine restaurant easy bus access point city . really make hotel outstanding attitude staff . everyone , front desk staff chamber maid , cheerful , helpful , hospitable , really give new meaning customer service . hotel refer customer & quot ; guest & quot ; , hotel really treat we way . hope return , recommend friend family . 
 Mar 10 2006 	 Excellent 	 stay 3 night 2 - 5 March inclusive . staff without exception hospitable , courtious helpful . suite good size , attractive well maintain . breakfast morning good always plenty everything . would definitely stay would recommend highly anyone want stay quieter still close everything environment . 
 Feb 28 2006 	 great boutique hotel 	 Drisco perfect boutique hotel locate away major tourist thoroughfare , yet close many great location . neighborhood great public transportation close , get around never problem . room clean , comfortable , great view city top hill . favorite thing Drisco friendly service , especially Marti concierge . whole staff helpful attentive question request . we also find topical Joie de Vivre information sheet helpful . definitely recommend hotel ! 
 Feb 17 2006 	 need meet Drisco ! 	 stay Drisco business San Francisco . large group us meeting schedule hotel several day . gerard staff helpful gracious . every request quickly take care , staff warm , professional . loccation can not beat - enjoy Pacific Heights neighborhood hour find easy get ther part city . would stay Drisco heartbeat ! 
 Feb 14 2006 	 wonderful boutique hotel 	 choose Hotel Drisco often admired walk around city year past , hope would perfect base homecoming . think hotel beautiful charming , breakfast buffet bountiful , evening wine hour lovely touch . also appreciate Aveda toiletry , cd player , excellent lighting bathroom , 24 - hour coffee & amp ; tea parlor . hotel exceed expectation way , especially charm warm welcome receive moment arrival . every staff member encounter professional gracious , help make visit memorable wonderful . hotel perfect seek romantic getaway quiet home base explore area city tourist see . 
 Feb 11 2006 	 elegant Charm San Francisco 	 husband actually live San Francisco , spend weekend year Hotel Drisco . with 's outstanding upscale neighborhood location ( Pacific Heights ) , be perfect spot relax getaway . within walking distance many location include fantastic view bay . the room comfortable chic , bathroom luxurious marble . complimentary breafast tranquil way start morning . service outstanding Hotel 's Manager thoughtful , professional , responsive , charming . needless say - will back . 
 Dec 29 2005 	 exceptional boutique hotel minor issue 	 fiance stay hotel 2 night x - mas holiday . firt , location beautiful , nestle middle Pacific Heights , essentially several square block mostly old mini - mansion . parking never problem right street alongside hotel . check - in , tell upgrade & quot ; junior suite & quot ; additional charge , not even request one . hotel antique - look charm , creaky wooden floor plank . free breakfast buffet good ( fruit , cereal , toast , muffin fresh squeeze o.j . ) staff great . treat nightly turn - down service staff go way make stay comfortable ( bring we space heater get little cold calling taxis we whenever need ) . complaint renovation go stay quite loud , quiet night day sightseeing not huge factor . also , upgrade suite dining room level , essentially underground , absolutely view . , comfortable decent value San Francisco . 
 Dec 7 2005 	 Finest Hotel San Francisco - an absolute gem 	 family friend stay Drisco 3 - 4 day November , attend family event . use 7 single room suite . friend rave selection & quot ; headquarters hotel & quot ; room elegant , service first class , amenity outstanding , breakfast could eat manager , front desk housekeeping staff extremely helpful accommodate , meeting request . would recommend Drisco without hesitation . money , top hotel San Francisco great , quiet neighborhood . 
 Oct 11 2005 	 wonderful place ! 	 husband spend four night Drisco first week October . what wonderful hotel ! everything beautiful . suite king size bed , large bathroom , stunning view many window . the delightful thing come evening lift finger . bed already turn , shade pull , delicious cookie await . ice leave bucket , not even get . hotel spotless , park plentiful residential neighbourhood . breakfast buffet generous display food elegant . want stay extra night , even cost pay penalty change airline ticket , regret hotel full . thank El Drisco wonderful memory ! 
 Sep 29 2005 	 quiet location ! 	 last minute leave trip San Francisco , change hotel downtown Hotel Drisco . really like location hotel . much quieter feel safe downtown . staff friendly helpful . room smallish clean feel posh . restaurant bar Fillmore street within walk distance downtown minute away cab car . would reccommend hotel . nice . 
 Sep 28 2005 	 gem ! already wonderful city 	 look quiet & amp ; lovely hidaway hustle & amp ; bustle usually find big city , hotel . beautifully appoint room fabulous admenitie . quiet nieghborhood within walk distance quaint little shop delicous restaurant nearby . fiance ' love much spending first honeymoon night . front desk staff brillantly helpful . recommendation find prefect location host wedding reception dinner . room uniquely restore hold old fashion glamour known time . 
 Sep 8 2005 	 Loved Drisco ! 	 stay Hotel Drisco one highlight recent trip San Francisco . room comfortable , spacious beautifully decorate . love delicious buffet breakfast sunny dining room every morning . staff helpful attentive . importantly , Drisco residential neighbourhood , be quiet night really appreciate . hope visit SF soon would definitely stay Hotel Drisco . 
 Sep 4 2005 	 Charming hotel great staff service 	 husband , son recently stay Hotel Drisco . treat wonderfully small , charming hotel great , walkable neighborhood . staff excel make one feel home well - care ( even bouncy child ) . deserve praise get repeat clientele . 
 Aug 20 2005 	 first - rate hotel 	 lovely quiet area ; excellent service . nice traditional atmosphere . 
 Aug 20 2005 	 great find Pacific Heights 	 encourage friend live SF try Hotel Drisco disappoint . husband come SF 27 year stay many premier property first time Pacific Heights area . want near downtown Union Square , place although Drisco offer free morning shuttle downtown . love ambience , view , size room , personal attention quietness charming jewel hotel beautiful residential setting . service friendly attentive small luxury hotel without presumptuous . definitely go back ! 
 Aug 14 2005 	 leave heart Drisco ! 	 high hope trip San Francisco stay Drisco ensure wonderful trip . first contact staff make reservation , everything go incredibly smoothly . staff exceptional , always willing go extra step . professional yet friendly can not answer question immediately find answer quickly . actual number staff also impressive . hotel locate magnificent area SF center action , view hill Pacific Heights far exciting . hill rigorous also car trouble parking . move car every three hour staff offer we not around ! trouble get cab hotel call we within 10 minute . also near Fillmore Street Chestnut Street shopping area lot fun . family stay lovely two bedroom city view suite , give we ample room stunning view . bathroom large well appoint . continental breakfast wine cheese hour include guest make Drisco even special affordable . dining room sit room quite comfortable inviting . stay week extremely happy would even think stay anyplace else return SF . 
 Aug 12 2005 	 wow ! 	 stay wife kid 4 day go southern coast . hotel location magnificent hand good SF . however , everyone , especially fond walk hill . return day later enjoy much . Pacific Heights neighborhood can not beat , mansion stunning . the hotel staff graceful terrific . room nice , especially suite stay . see review people complain a / c room . hello ... not need a / c SF . 
 Aug 10 2005 	 everyone want spend last Waking day ! ! 	 beat path . bell whistle . walk Everest - ian hill every time want eat . good luck get cab ( walk block catch bus downtown ... ) despite quirk favorite hotel United States . location , baby , can not much well . around $ 10 million house 's well place play pretend - you - be - a - rich San Franciscan . get right room ( always book suite ) view heavenly room size acceptable . love nothing come wife cold , rainy weekend spend majority time room . staff forever understate helpful extremely competent . serve nice breakfast basement fresh juice decent pastry . want something garish , stay Mandarin . want quinessential San Francisco experience , stay Drisco . 
 Jul 10 2005 	 view City 	 wife fly San Francisco want Hotel remove hectic pace city still close great place see San Francisco . check Hotel Drisco receive warm greeting Staff . give beautiful room overlook City S.F . view spectacular evening light City light . room first class staff efficient courteous . would highly reccommend Hotel Drisco anyone wish relaxed pleasant stay feeling wanted . excellent buffet breakfast wine taste hour late afternoon many plusse receive stay elegant small hotel . wife look forward stay next trip San Francisco . 
 Jul 3 2005 	 can not say enough good thing ... 	 treat ! come San Francisco way Carmel honeymoon . one night . place top notch . consider 3.5 star feel like 5 star hotel . staff friendly helpful , like family . upgrade we suite top . bellman experience , graceful accommodating . room clean , beautifully decorate every attention detail . request meet promptly class . stayed & quot ; 5 Star & quot ; Carmel Valley El Drisco , spoil ! not hold candle El Drisco . excellent location away chaotic city hill . like walk , neighborhood beautiful home . caution .. lot steep grade hill not attempt not decent shape . stay . 
 Jun 30 2005 	 Secret Hideaway 	 El Drisco one well keep secret San Francisco ! wife enjoy Pacific Suite . room luxurious picture indicate . breakfast special treat confortable dining room . Wine parlor dinner . we brief two day see San Francisco . staff especially helpful . Marti , Concierge , look car day make numerous arrangement dinner play . Taxi 's promptly arrange need . in , take walk tour Golden Gate Greeter especially helpful getting know area transportation . facility charming sqeaky floor ! build early 1900 's . located quiet upscale neighborhood top city ! 
 Jun 24 2005 	 Family stay Drisco 	 wife two small girl stay three night Drisco . large room sit area turn family room easily . decoration room lovely pleasant view window ( although see tip golden gate bridge new building obscure view ) . children bed pull sofa seemd little uncomfortable do not seem notice . main bed excelent . breakfast delightful : host delicious itme serve buffet style eye healthy eating . position Drisco ideal anyone interest hustle bustle city , within easy reach attraction . hire bike hill cycle golden gate great . nice restaurant block walk away short taxi ride bus ride downtown fisherman wharf . the staff friendly early evening free wine biscuit nice touch . the hotel feel small friendly country hotel enough luxury make feel special without feel opulent . however come price . pay $ 600 three night . afford treat worth . budget go elsewhere . 
 Jun 20 2005 	 Refuge city 	 wife stay week honeymoon . navigate complicated street downtown San Francisco ( ie : Market Street ) , arrive hotel ready break day travel . check simple staff courteous helpful . although not room service meal not restaurant around block quick meal , front desk offer menus place would deliver within hour . restaurant order not magnificent mean , beat try find restaurant 1 hour city first time . honestly , ready leave San Francisco 1 - 2 hour ! ! ! luckily , wind quiet room city view , window open cool breeze , extremely comfortable bed enough cover keep warm blizzard , next morning new day ! map essential never S.F . rental car although parking terrible city , hotel , parking breeze ! step away hotel never pay . ( good parking Broderick St. towards Broadway Jackson ) . even plan leave hotel use muni system day , hotel staff move car every 2 - hour avoid ticket . nice ! check citypass great deal San Francisco . for good rate get on - line quote , call hotel see could well . rate cheap online site not mention quote price . since not drink complimentary champagne honeymoon , staff substitute another drink place really nice . buffet breakfast blessing morning 7AM 10AM . ice cookie serve room day around 5:30pm wife look forward get back day city . several change / improvement would recommend .... 1 . offer heat bedroom , even summer . get cold , even window shut . ( offer turn , not see need trouble & quot ; get warm & quot ; ) . 2 . consistent staff meaning face , place . mean front desk seem different person work every time pass throughout week . way hinder service nice , 's good consistent . 3 . lastly , water pressure tub / shower . enough get , like little pressure . locate quiet neighborhood , easy parking , great view , charm find select place , recommend Hotel Drisco other plan stay future visit . 
