glad 	 reading disturb review decide cancel stay even mission , 10 minute hold rude person end line finally go speak someone ! lucky escape 
 Apr 2 2007 	 Name Change Hotel Whitcomb 	 room nothing like picture . room size closet . service terrible . room service slow order arrive wrong . hotel locate heart San Francisco 's homeless district . 
 Mar 25 2007 	 Nice Affordable Hotel 	 book rservervation read review site little worried . stay weekend please stay . even old buildingis , seem well keep room nice bathroom nice . not problem water temperature people report neighborhood around not bad imagine . expect fight way homless people hotel , mostly leave alone . location can not well since Civic center across street take MUNI street end town . car , public transportation good call taxi . also , WIFI work fine Mac . the thing frustrating checking . despite reserving room company card , online , still require card check . , stay great would definitally stay thereagain visit SF future . 
 Mar 21 2007 	 great place 	 get great deal priceline $ 79 night . Stayed five day four night . the location not bad , muni cable car right front . not bother rental , instead purchase citypasse seven day , we great deal , unlimited bus cable car , well trolley . there homeless people never bother , guess expect big city . the front desk everyone deal nice . give we map area , answer question . staff international accomodatingThe room look picture see online . nice cosy , bed comfortable , bathroom fine , pleased stay . problem think free internet . starbucks restaurant hotel especially nice , since coffeemaker room . however restaurant locate hotel pricey . definitely reccommend Mel 's drive - in 4th Mission , Betty Boop 's Diner Union Square . 
 Mar 12 2007 	 can not recommend hotel 	 stay hotel Friday night , weekend LOT conference / convention go s.f . busy . arrive , take we 30 minute get front check line take another 15 minute check check still baffle . lobby look classy . lobby floor zoo busy weekend obviously something hotel could control . hotel personnel friendly enough helpful ask question . elevator could not hold many people one time - people say elevator actually stop put five people time . room small expect many hotel S.F . bed comfortable & amp ; decor ok though bit worn . brown water come sink take we surprise - acceptable opinion . not know problem three room , water come brown rusty look - safe brush tooth ? Saturday morning seem well gross never hear problem . bathroom tiny old / run - door bathroom would not shut unless slam hard door not seem fit frame properly . walk location Market street something do alone - group lady would feel safe small group . lucke get one last parking spot gate lot pay $ 25 per day actually thankful since busy weekend . price right we $ 99 night probably get pay city . stay long one night , would never even consider hotel . 
 Mar 9 2007 	 hate hotel hate location ! 	 well desperate somewhere stay hotel book reservation reason full ! find Ramada lastminute.com hotel room available $ 250 / night . say 3 block Union Sq 3 long block happen bad block city - feel unsafe whole stay . Lonely Planet actually advise stay away block . check , staff overly friendly rude . hallway something shine . long dark spooky . room furtherest possible room end hallway overlook back loading dock day night regular truck load unloading sort thing include large bin linen clang bang echo courtyard . would not change room claim full ... put . today sleep ( ear plug ) noon go shower , brown sludge flow ! ! call reception / operator help lady rude bothered say might fix 5 . said & quot ; can not shower evening ? & quot ; said & quot ; yeah . & quot ; patronize do math figured could shower ... stay many hotel many city around world . polite courteous make request give reason rude . bad hotel bad location . 
 Feb 27 2007 	 nice hotel bad area ... 	 hotel actually nice inside ( although room tiny ) , bed comfortable . much view , be look directly across another room , make sure drape close ! doorman bellboy great helpful , along security guard back . however , concierge rude ! parking nice , fence area lock night . be CAREFUL walk night ( especially two woman alone ) . lot homeless seedy character around , subway directly front hotel . hotel close attraction , prepare walk least 4 - 6 full city block find food drink ( get taxi , find one ) . overall , nice hotel , wish well location ... definitely stay close city center next time ! 
 Feb 23 2007 	 Loved San Francisco ! hotel good = ) 	 husband stay downtown Ramada San Francisco 2 night . room clean quiet , staff great . location ok , alot homeless , walk home Union square ( 15 minute walk ) night totally fine . San Fran know great food , not disappoint ! go stink rise ( Northbeach ) lunch , great price reasonable . chinatown Northbeach wonderful , easy get around . take taxi back hotel ( $ 10 ) dinner go cityscape top floor Hilton . PLACE AMAZING , INCREDIBLE view food good . COUPLES need GO ! ! ! next day go peir 39 , go Eagle Rock breakfast , long wait get food , worth , food great , price . go tour Alcatraz , nice audio tour entertaining . go Union Square amazing shopping great dinner cheesecake factory . tip : take BART airport hotel , save money easy use . get Civic Center stop ( 25 minute ) ride cost $ 5 person . great trip ! 
 Feb 14 2007 	 internet connection not work 	 hotel old tired describe other . room ugly bathroom ( shower ) size closet . annoyed water sink constantly change freeze scald warning sign . luckily case shower . what upset hotel advertise free internet access guest room . indeed , two strong signal room provide sporadic service . work 5 - 10 minute , stop work half hour ( produce & quot ; page display & quot ; web address ) , case throughout stay . call tech support twice . first time tell know problem hotel go access lobby . lobby page come ask credit card . second time call , someone take name room number say technician call back . one do . internet access room major consideration pick accommodation , avoid hotel . 
 Feb 3 2007 	 Ancient Budget - Minded Hotel 	 Ramada Plaza San Francisco traveler . old hotel budget - minded traveler . hard time stay ( apartment complex put one night ) . not mind old , european - style hotel frill , Ramada work you . the hotel locate seedy area downtown . be necessarily dangerous , would not recommend walk area night unless want crazy homeless people talk ( ) . hotel 's interior dark dreary , uninspired staff ( front desk lady check pleasant , not go overboard welcoming ) . hallway make hike room erie , large drab . room see well day , old appliance lace curtain . surprisingly room clean expect , exception dingy , black - streak shower floor hair sink . remove bed 's comforter place floor . room hallway hint dirty shoe - smell . basic hotel room , folk . could not imagine stay long one night . despite locate right Market Street , hotel pretty quiet despite city 's F Train go every minute . ' m light sleeper problem catch wink . cheap , basic old . dump , would not recommend ever stay . 
 Jan 24 2007 	 Woman not go alone ! 	 arrive long - distance flight , jet - lag go walk market street ( still light ) - would well return go dark ! ! ! lot homeless people around hotel , drug - addict sex - shop ( european unusual , US ? ) . homeless even sit entry door hotel . the room o.k , though smell unidentifieable . would really recommend neighbourhood , especially woman travel alone ! 
 Dec 31 2006 	 central location good hotel 	 fly SFO . pick luggage follow BART sign terminal level far end airport . ride BART Civic Center stop locate right outside front door Ramada hotel . trip take maybe 30minute cost less $ 5.00 per person BART safe comfortable little dirty smelly . Ramada locate centrally everything want see . depend shape walk mile hotel Museum Modern Art , Buena Vista Gardens , Union Square several large department store cable car turn around Powell station . Civic Center Asian Art Museum block away . evening could easily walk club bar soma district . not good shape get tired walk like simply buy multi - day bus pass Powell station . good cable car bus . hotel 's location manage catch connect bus China Town , Little Italy , Coit Tower , Lombard sight . easily ride Castro area back since trip direct 15minute . ride Union Square 5minutes . also easy get Fisherman 's Wharf ( disappointment ; not waste time ) take 45minute . trip Golden Gate bridge take close hour way catch two connect bus . this Ramada well travel part town . even though City Hall Civic Center street , San Francisco look well . street litter trash everywhere . several building neighborhood board abandon . outside Ramada seem fit surrounding . build exterior look like need good scrubbing . lobby however grand make first impression . xmas decoration still ; nice . room small . pay $ 70 can not complain much . also may cause hassle since ask quiet room . end top floor back corner main hallway . definitely quiet . look couple room main hallway curiosity 's sake . large 15sqft enough make regret room . annoyance : bathroom vanity sink stand leave toiletry entertainment center ; sink faucet leak handle ; bath exhaust fan quite loud not seem draw air ( small room imagine several reason would important ) ; exercise equipment gym break ; desk concierge evening staff sullen less helpful . good thing : bed great ; hotel general quiet even though seem full ; 24hrs security guard front door ; free wireless throughout hotel ; daytime desk concierge staff friendly helpful ; Starbuck 's locate lobby good diner directly across Market Street . diner average $ 7 - 9 per plate breakfast lunch . serve typical , & quot ; safe & quot ; meal , like egg & amp ; bacon , hamburger , etc . even $ 90 per nite would still recommend hotel location amenity . would hesitate . though not look hard several small Marriotts Hiltons brand many mom & amp ; pop motel within three block area location , Market Hwy80 . Ramada need good cleaning ( not mean facade ) would consider decent 3 star hotel . 
 Dec 22 2006 	 Service Price - place 	 stay one night , enough know want come back . arrive parking lot full , Parking Attendant walk around find spot . check Desk nice offer suggestion need place eat evening . need Cab take friend hotel , Bellman arrange , City busy night cab line hour wait , Bellman find towncar available price Taxi would . check early , staff morning great , Bellman give good direction Airport . thank back . 
 Dec 18 2006 	 Great Historic Hotel Middle City 	 great find city like San Francisco . room right . sink area bathroom bite small workable . go vacation buy Citypass , 49.00 well worth price . staff friendly room clean . homeless people outside hotel normal big city . 
 Dec 18 2006 	 fantastic value nice service ! 	 stay Ramada Plaza twice within short timeframe impressed value money get hotel . book first stay Hotwire , second Priceline pay $ 50 $ 60 per night . fantastic value clean , decently sized , quiet even pretty nice room central location . staff extremely friendly helpful - second time get arrive red - eye flight South America manage get room around mid morning already . addition , hotel centrally locate . BART train outside take directly San Francisco airport ( c. 40 minute trip ) , Union Square within c. 15 min walk distance . caveat numerous beggar street around hotel - inoffensive annoying . however also one reason hotel cheap ! positively surprised read mixed review website . would go back anytime highly recommend ! 
 Dec 17 2006 	 Proceed w/ caution 	 friendly customer service , conveniently locate next BART public transit station , aesthetically pleasing lobby ... room smell bad dirty ( spot sink , hair sheet ) ; bathroom seem outdated ; bad hoard verbally belligerent homeless people constantly surround hotel . 
 Nov 20 2006 	 cheap central 	 hotel good location get around good public transport link , far airport either - short taxi ride.homeless people around , hassle - y scary , would not want walk around area late night own.room big clean , bathroom small though , window , would ve nicer.restaurant fine , cheap varied menu , day night , also there s starbucks lobby , could handy , open late too.staff friendly helpful , issue . 
 Oct 23 2006 	 bad customer service 	 manager low employee ( Banquet house man ) bad customer service . professional seem treat guess bother . never businesse RAMADA Plaza Downtown San Francisco . banquet house man ( employee charge Banquet room ) bad temper make charge RAMADA . business person , never refer place associate , town client banquet there . banquet house man yell look manager step yell yell back employee . professional manager first try diffuse situation get hand case . think need go back management school learn client satisfaction come first . hotel banquet room look old , dark , dirty . 
 Oct 18 2006 	 good 	 second bad room ' ve stay . ( bad motel Albany ) . request change bed come someone hair sheet . bathroom dark cold . location good part town . not . 
 Oct 10 2006 	 clean hotel 4 block shopping 	 take part convention , stay free . 's hard complain anything stay free . will try give honest account hotel . the lobby beautiful . ceiling ornate tastefully do . security guard lobby , add bit comfort . starbuck attach lobby , wonderful morning . staff helpful friendly . internet / computer room , purchase minute use convienent . also gift shop , restuarant ATM floor . elevator quick easy catch , much wait around one . our room 2 double bed . bed soft comfortable , except bedspread . pillow high soft sleep well . bathroom clean , fixture old . not much room around vanity put item . little outside noise , place quiet . it be locate Market Street , 4 block major shopping . long walk , encounter several homeless people beggar way . difficult morning , bad way ' shake ' . time feel unsafe around anyone , however feel uncomfortable time . there ' BART ' terminal right outside front door , not use , can not comment ' it be ' . front desk helpful direction like , easy get around . map information booklet lobby , will travel question answer . we not eat restaurant , however supply we breakfast morning , ok . bacon greasy not want eat , egg good . I hope review help ! ! ! 
 Aug 30 2006 	 satisfied 	 stay 3 night hotel will not recommend stay : - old fashionne : hall fine corridor gloomy . room coffee machine.- noisy : air conditionne fan bathroom incredibly noisy . room almost connect door allow hear everything happen neighboors- every block around full homeless people junkie . although aggressive , surely not feel safe ( especially night ) wish pleasant environnement- will not find pleasant restaurant walking distance . fortunately , Starbucks coffee next door convenient breakfast coffee time ( open 5 midnight ) hand must recognize staff OK shuttle service airport professionnal . 
 Aug 29 2006 	 dangerous location 	 friend stay hotel mom 's get - away weekend July .The hotel old need repair . bathroom ZERO space toiletry etc . also , friend get lock bathroom b / c door - handle would release latch . room , would spend night housekeeping come next day . note : keep cell phone pocket ! ! also call repair read lamp bed . someone cut plug . say repair request handle timely manner . my big complaint hotel location . yes , close Union Square within walking - distance , take life hand walk around area . unsafe ! ! need take cab everywhere , even middle day . trust ! ! hotel & quot ; terrible & quot ; , locate seedy part town . the restaurant mediocre service excellent . staff , overall , helpful , would never stay . location , location , location ! ! ! ! 
 Aug 19 2006 	 really friendly 	 great time SF . hotel beautiful old lobby , room decent staff really friendly . took & quot ; F - Line & quot ; whole time , cool old street car stop right front hotel . place like time warp . the thing walk around asian art museum ( fabulous ) . anyway , reccomend , would stay . homeless beggar yeah , aggressive Union Square . 
 Jul 29 2006 	 problem ... 	 enjoy 3 night Ramada . skeptical reading review . hotel old hotel - it New Holiday Inn Express type hotel breakfast , etc . plus , negative . lobby beautiful- staff accomodate . security late night good . hotel beautiful detail woodwork , high ceiling , mirror elevator door . corridor spacious . room adequate . extremely clean , walk closet ( ! ) , bathroom fine- clean , luxurious . window open , A / c work fine- unpleasant smell ..... request coffee maker room- problem . eat dinner one night restaurant lobby ( sorry , name escape ) - excellent service good food- one good prime rib ' ve ever . husband seafood dish kind- scallop , etc . - think go lick plate , good ! park lot across street convenient cheap hotel lot . approach several homeless people- threaten . likely experience big city . really problem . encounter homeless people city San Francisco- Fisherman 's Wharf , Chinatown , etc . unique hotel area . overall positive experience we ..... enjoy stay ! 
 Jul 16 2006 	 bad ! 	 hotwire hotel devestate read review . hotel bad . inside beautiful , look art deco , room clean . staff great safe place park ( 25 dollar day ) BART station right outside . homeless people ask change , nice stay away say . around hotel , Tenderloin , good neighborhood would stay away . great deal group people . would not walk alone night , scary . hotel good deal . would find type atmosphere large american city . 
 May 25 2006 	 do not think go back 	 make sure do not go back hotel . - First Union Square near . bottom tenderloin top soma . every block around full homeless people junkie . though harmless friendly , pretty nast expirience walk restaurant suggest hotel staff . spend time SF urban Baltimore , Philly New York . recognize not - good neighborhood see . - Rooms dirty . blanket black stain . Basin bathroom break ( literally crack , paint peel ) . light do not work . room do not get locked properly.- different reservation two night , request put room . do not oblige ( okay , ast ) . ask talk manager , refuse come phone . say will ' rush ' another room we , take 2 hour . room worse first . - less 48 hour , move 3 rooms.- none room coffee machine , refridgerator ( pretty much standard everywhere day ) - hotel look pretty good outside , mirror corridor elevator , room fit well hostel . - room corner pretty claustrophobia induce , make sure check room go . economy hotel , may okay . 150 $ night , . 
 May 16 2006 	 right price 	 Ramada Plaza Downtown San Francisco ideally locate central downtown San Francisco . build old , staff ok , good thing hotel Starbucks Coffee right hotel lobby . room small , wall thin , free wi - fi slow . want hotel centrally locate downtown right price , hotel right . homeless people really problem day time rather walk within area nightime . 
 Apr 18 2006 	 recommend family doable pinch 	 family four ( two kid age 5 7 ) book last weekend primarily easy option we take BART straight SFO airport hotel . ( $ 20 roughly , assume work use BART ticket machine ! vs $ 40 cab . ) stay two night SF move , premium hotel not need . LOCATIONI read review choice location , kid use interact homeless people Toronto , take chance . prepare though , USA , amount homelessness , substance abuse poverty see city may shock . magnitude several order great big city like Toronto , London , Rome , Paris . having say , feel safe enough daytime surprisingly two nice playground nearby City Hall . incident , 's area night time stroll kid course . TRANSPORT addition BART station easy hop streetcar bus East West . civic area perfect tourist , leisurely walk kid Market Street streetcar turnaround , Chinatown ( lunch ) waterfront back Market street within three hour lot nice break along way . the hotel park back $ 25 day , park across street $ 20 day . EATING OUTWorth note parent , family friendly restaurant within safe walk distance hotel evening . need order room service , get take - out eat rather average restaurant hotel kid . take taxi / streetcar market . ask good room ! little unlucky room first ( worth ask alternative not like offer first ) . first room offer third floor . although non smoking room , smoke room floor stank like underground bar . room small , tiny window face wall . ask alternative end seventh floor nice clean , renovated room corner window face downtown , price . all , place perhaps fine travel solo , pinch , ultimately recommend family trip SF . 
 Apr 17 2006 	 Clean Convenient 	 son stay week find Ramada inn fine . activity plan every day , hotel focus stay , place bathe sleep . read complaint $ 25 night parking general condition community around hotel . neither warrant criticism . gate , guard , parking lot behind hotel step & quot ; back door & quot ; . see sign dangerous street activity , one two homeless panhandler , similar might find anywhere San Francisco ... city matter . leave alone . bad case , may ask quarter & quot ; & quot ; acceptable answer . not get twist enjoy great hotel . 
 Mar 19 2006 	 decent hotel great location 	 not understand complaint neighborhood . yes , homeless people market street , really never bother . porn shop street , real traveler see porn shop world . nothing shocking . good thing hotel convenient location . wife visit SF week without car hardly need take taxi hotel close public transit . especially like taking & quot ; F & quot ; streetcar line take way fisherman 's wharf north beach . bus line also take straight haight neighborhood BART train right outside take area , inlcude straight airport . room tidy well - maintain . hallway lots wood mirror , classy . also like 24 - hr . starbuck lobby . definitely good hotel people look get city explore . 
 Mar 4 2006 	 still good budget option 	 stay March 2004 ( review tripadvisor date March 24 , 2004 ) , trip last year stay Westin St. Francis . get hotel Priceline time , Westin $ 73 / night Ramada ( time ) $ 45 / night . be travel strict budget , Ramada bad choice . wireless net access include , like previous reviewer find dodgy ( signal would get lose ) problem spyware . use fitness center hotel room stay - small room mezzanine two treadmill , recumbent cycle regular one stair climber well good universal machine . not great fine weekend stay . hotel staff , especially front desk , friendly helpful . oddly enough give room last stay ( perhaps need single bed instead two ) . like decor , period hotel 's construction ( ' m sure be refurbish decent condition ) ; bathroom though basic towel thin skimpy . there still problem vagrancy around Civic Center area , not feel unsafe . look bright side , hotel incredibly convenient Civic Center include Opera House Symphony , Performing Arts Museum Asian Art Museum . walk one block hotel Larkin cross Market pass Civic Center block Eddy Street Saigon Sandwich , sinfully good Banh Mi . area ( Tenderloin , call & quot ; Little Saigon & quot ; ) fill good asian food . look picture St. Francis recall trip , feel much pamper $ 40 per day , include fee dial access health club . money spare , have spring . get everything need cost $ 54 / day Ramada include taxis fee . will stay . 
 Feb 23 2006 	 great staff ! 	 price , must say hotel great . minor complaint feel handle wonderfully . staff professional friendly . request non - smoking room , arrival tell available smoking . big deal , know request . front desk staff promise smoke free room next day . busy day city arrive back hotel switch room . exactly want long day , necessary . room move we clean properly . someone 's leave lunch desk ! call front desk explain ... immediately move much nice room ! freshly remodel , biger bathroom , wonderful bed ! ! great view ! ! impressed hotel manager . forgot name ... little confusion rental car ( long story ) drive personal car rental car company ! ! know little frustrated situation step offer take couple block road ! vehicle ! ! would return hotel . homeless people outside pushy rude . BART station literally right outside front door . 
 Jan 17 2006 	 depends look 	 look luxury comfort , would suggest another location . look place rest head be not fussy , place do . neighborhood : many homeless folk junkie . must pass porn shop head shop get union square . quite convenient shopping cable car , BART . probably great location kid . lobby : nice , clean , presentable , helpful staffcheck - in : easyroom : , small . sheet bed rip / stained . WiFi connection slow encrypt . bathroom barely build one . shower small stall light close curtain dark inside . sink stain yellow towel grayish color thick paper towel . restaurant : nice atmosphere clean . egg taste like old grease . sure often clean grill . man sit next pull 10 inch piece hair breakfast . overprice quality get . staff friendly . thankfully starbuck across lobby . 
 Jan 16 2006 	 decent price stay elsewhere next time 	 get back 4 - day trip Bay Area wife decide stay hotel base upon recommendation father - in - law . my wife SF able point certain benefit stay regard location different place plan visit . last minute trip , not lot money spend something like St. Francis Fairmont . book hotel 12 - 15 January 2006.got hotel around 10:30pm check fairly quickly . room go end realize pretty much staying bedroom base upon size everything , include bathroom closet . could save $ 310 stay home . ^_~One key feature draw hotel oppose similarly price hotel boast in - room wireless internet access . come laptop wireless card check . get wireless network discover ) unsecure b ) broadband . speed like dial - up 56k modem . dreadfully slow someone use DSL fast speed . fact unsecure really frightened . WEP key need . point , click , connect . needless say surprise next morning find spyware somehow find 's way onto laptop 's desktop . two hour later clean , plug wireless card back info . sure enough , within ten minute stuff show desktop . happy point . for bring laptop , sure sensitive document never know exactly unsecure network . else keep cd outside computer . back room though . small cozy . first couple night sleep fine . final night discover exactly thin wall . room next drinking ( see hear lounge lobby early night get nightcap ) apparently decide continue conversation room ... loudly . think get two three hour sleep night . bad whole thing 6:30am decide turn television continue conversation tv . wife none happy it . in regard rest hotel , bad . enjoy lounge / restaurant lobby . would go evening day town breakfast second day there . we not issue homeless street ... not really prevelant night , day Muni / BART station stair . realy gripe family / kid would walk towards Union Square pass gentleman club nearby . everything else though okay could tell . would recommend careful electronics room though . outlet seem secure plug would fall easily brush against . in end , bad , great . definitely look something bit upscale next time visit area . 
 Jan 13 2006 	 location location location 	 great central location big homeless problem outside , , just ignore bum junkie do not bother , even offer unsolicited advice like ` ` smile dude san francisco '' admit raise smile ! ! hotel be not bad great either.olga receptionist friendly.we multitude problem room include air con working , toilet cistern leak , plug sink bath shower rail fall down.the place clean enough though bed changed day seemed.they need sort hall way floor though glommy need light decor.the starbuck downstairs handy ! ! problem price parking ... $ 25 day plus tax ... $ 87 three day parking guest bite steep opinion.parking may premium charge guest ? good location , ok hotel , lousey parking charge ! ! ! 
 Dec 31 2005 	 resuscitate hotel exemplary service 	 complaint . room clean , bed comfortable , maid nice & amp ; helpful employee . put towel light see worn spot say . , pretty funny nothing ruin stay . very accomodate service , gladly check early morning fuss , plane arrive early . street denizen ? enjoy show ! be harmless & amp ; entertaining , besides , be everywhere , around Market St. Location fine , step away Muni & amp ; Bart , ready whisk away second preferred destination . take ferry Sausalito fun & amp ; cheap afternoon . Breakfast & quot ; Steve 's Cafe & quot ; , directly across street . classic greasy spoon , good , cheap food , fun waitress . obvious # 1 choice SF Police , notice . Seafood ? not miss & quot ; Anchor Oyster Bar & quot ; Castro , small converted coffee shop ambience serve delicious seafood . will not able stop eat , bit expensive & amp ; worth every bite ! unimpressed food & amp ; service & quot ; Sam 's Grill & quot ; Financial District . very impressed & quot ; Cheesecake Factory & quot ; top Macy 's Union Square . great food , great view , great price , great service & amp ; long wait table . know . 
 Nov 20 2005 	 complaint end ! 	 father stay 7 night 2nd 8th Oct 05 like hotel much . ok , 's Hilton room tidy , everything work order maid service fine respect cleaning , bedsheet towel . I imagine be since lick paint not feel hotel shabby run anyway . the location excellent BART ( literally outside front door ) block away busy shopping area ( Virgin , Apple , Sony Metreon Union Square ) .You could throw stone City Hall , Library Civic Centre ( include Bill Graham Auditorium ) .I could not say enough good thing lobby / reception staff though , real people people excellent source local information . clearly know love city much . I surprise negative feedback hotel user site . strong presence homeless people city especially Market Street . scare homeless people not stay Market Street feel uncomfortable . father Bristol UK outgoing city county use sight not problem it . the homeless ask change act threaten . if return San Fran , imagine book . 
 Nov 16 2005 	 Yikes 	 interesting old building . room large tired , grubby , dirty . frightening feature neighbourhood : vast number homeless people Market Street . really not comfortably go hotel . enjoy stay hotel city result 
 Oct 29 2005 	 oh dear .... 	 cheap indeed , sketchy location . hotel great old building elegant lobby , room could use serious maintenance . move first room due plumbing problem . second room break door lock , pit bathroom sink , break television . lumpy mattress . cheap , convenient , practical business civic center , great way spend holiday . 
 Oct 11 2005 	 Hotel A - ok 	 astounded read negative review hotel . husband ( 60 ) spend nine night , return SF Oct 6 , pleased accommodation would return . room fifth floor back hotel quiet . medium - sized one queen - sized bed ; 3 - piece bathroom small , room two . everything refurbish spotless . appliance good working order -- light , phone , tv , shower , toilet . staff helpful pleasant . food , service price starbuck locate right hotel hotel restaurant ground floor first - rate . hotel also Internet cafe small gift shop . use BART station right outside front door MUNI run Market Street . ( not car , experience hotel parking . ) possible drawback area 5th 8th Market ( hotel corner 8th ) derelict grubby , always crowded street 8 8 pm . one approach we , although passersby look somewhat unsavoury . 
 Oct 11 2005 	 Family stay hotel 	 spend first trip San Francisco last week end . fly Friday night take Bart hotel . friend say good way get hotel stop right front . get correct stop come street wrong exit . 9:00 pm night travel 11 year old son . son bite scare homeless people street go wrong way Market street . akse movie theater helpful 1 block hotel . lot people street feel worried use see homeless people scare . hotel ornate staff nice . bathroom small room room recently upgrade nice . staff excellent give we good advise get different attraction etc . orpheium theater accross street UN plaza accross street Sunday farmer market plaza seem good attract large crowd . go back San Francisco book well hotel well nieghbourhood need would stay hotel . 
 Sep 27 2005 	 Watch Ramada 	 Hotel literally terrible . british Hotel would get away service . towel like rag , fact rag . Decor depressing noise dreadful . bad location . SF become world capital vagrant area Market St seem populated entirely vagrant . the authority SF need address vagrant problem tourist get message care . vagrant approach everywhere city aggressive remain problem . general time return SF . 
 Aug 20 2005 	 Nice hotel ... 	 enjoy stay beautiful historic Ramada Plaza Hotel . room elegant spacious wonderful high ceiling . clean nicely decorate . staff friendly ( except 1 day shift bellboy ) helpful . restaurant / bar wonderful place hang huge window watch SF city life . plus Starbucks site great . ... nice hotel , probably stay . location good bad . good halfway Union Square / Moscone Center / Financial District Civic Center / Opera district . gorgeous SF city library city hall dome right outside room view . bad also border Tenderloin district . security within hotel excellent , woman travel two kid , feel comfortable walk hotel soon sun start go . rely catch cab dark . day problem since many people besides homeless drug addict walk around . plus soon walk away hotel stench urine sometimes overwhelming . know street people many thing give SF colorful character , bite much . 
 Jul 29 2005 	 close pubic transport book get cheap 	 stay couple night March priceline . read plenty review familiar layout city . personally , not mind stay type area save little cash . never spend much time hotel room sleep , $ 54 tax included- will take . ease public transport sell hotel . this 2 1/2 star hotel , can not expect Ritz Carlton disappoint . get BART MUNI less 5 minute hotel go wherever want . room okay , little outdated , small bathroom , fridge . iron nice wall not seem thin . fact prom party people party across hall , still able sleep . walk around street alone past 12:00 night never problem . one ever say anything . yes , sight not pretty especially street behind hotel . yes , homeless people lay street day night . , never hear gunshot , shout , fighting , etc . would recomend stay family . probably good scene young kid . probably good scene try impress girlfriend , boyfriend , significant . , try save buck want good location give shot . 
 Jul 10 2005 	 terrify Awful ! 	 hotel neighborhood redefine scary urban blight . arrive airport , several bell hop staff hotel rush dolly take luggage . first , think indicative fine service , actually want rush street be eat alive drunken bum . stay one night ( suppose stay four ) could not sleep whole night . constant scream homeless fighting street , gunshot , etc . keep tv whole night block noise . hallway room dark , dank , past prime . bathroom small , old musty . would not take show circumstance . first night , try venture see city , accost violent lunatic within ten second . neighborhood seedy bank lock ATM machine night ( ' ve never see ) .YUCK ! would never even think stay hotel . 
 Jun 22 2005 	 well expect 	 hotel neighborhood see well day . put aside room small side almost character bed breakfast . housekeeping first rate . Bart take SFO 200 yds . hotel . streetcar stop front door . f line fun get passport use form transport - a real saving . good part -- stay $ 61 & amp ; tax 6/15 6/21 Priceline . great deal research find rate can not beat decent SF hotel . homeless wackos around - just avoid eye contact keep walk . 
 Jun 21 2005 	 pretty good stay 	 stay 4 night Ramada May . thing not care small room bath . would go large room next time . room clean though . there homeless area outside hotel aggressive . hotel convenient public transportation . I would stay . 
 Apr 29 2005 	 bad neighbourhood 	 stay hotel four night late April 2004 . lobby Ramada quite cool ( use old City Hall ) , room fairly run particularly clean . , would not bad price , neighbourhood safe pleasant . many business area ( place shut permanently ) homeless people . single woman , feel unsafe area dark not particularly enjoy walk around daytime either , ask every 10 foot money . 
 Apr 21 2005 	 great . not know everyone else talk . 	 visit Ramada last week spend one night . wish book entire week town . 's great location . everything walk distance . muni right front 's plenty restaurant . Powell street 5 block . okay , bunch homeless people be downtown San Francisco . want avoid seeing suggest stay away major U.S. city keep lock away resort somewhere . room not huge neither bathroom . pay $ 89 one night . hotel beautiful lobby decor nice . mean be go Frisco visit hotel maybe consider Intercontinental 5 star . staff great even check 1:30am allow late check . 's starbuck right next door access inside lobby . parking problem everywhere San Francisco park across street 18usd night pretty decent consider 's right Market street . hotel exceed expectation . would stay . 
 Apr 8 2005 	 wow ! scary location need work ! 	 go friend . San Francisco many time since live 3 hour away . get bad downtown safe place stay plan leave hotel . will not get , actually fearful safety # crazys hang front hotel . room , air conditioner cover fall twice middle night make huge thud ! scare B - Jesus we . park across street dicey lot since hotel parking full ... really bad ... 25.00 day get accost try get car . bathroom , small , kid , use shoe horn get . laugh whole trip ( since not mug ) will not stay . 
 Mar 27 2005 	 economic clean 	 not high expectation $ 90 night . lobby ok marble floor chandelier hallway long dark maroon . room small clean . important thing convienience . starbuck downstairs , multiple line transportation front door . f line take straight Wharf Pier 39 . glamourous , convienient . type spend entire day site seeing , consider Ramada . like lounge around room , not place . bell hop suggest go area San Franscisco Mission Mexican element . ' m Latina , although be offensive , let slide . not want bad area matter nationality live . fact disturb upon visit Mission see surround area well maintain white family , gay . thank goodness not listen bell hop . would ' ve miss beautiful historical site . check ! 
 Mar 24 2005 	 fancy thought ... 	 stay August 2004 , neighbourhood ackward , lot homeless people right front hotel ... room small , horrible bathroom , could not even move shower , room clean ! staff friendly , surprised excessive price hotel parking ! Thought be not worth price pay for . would go , certainly nieghbourhood ! 
