good 	 husband 2 year old son stay three night Thanksgiving weekend . get excellent rate priceline front desk staff upgrade we superior room 33rd floor . big room fantastic view hudson jersey city . small fridge room put milk yogurt son . hotel standard marriot room rather large Manhattan hotel . the 85 west restaurant decent menu bit pricy ( $ 20 burger ) . breakfast starbuck one day morning go diner block away ( Georges ) excellent . can not compalin hotel except would stay downtown sightseeing shopping . also many restaurant around . the hotel one block ground zero general lot construction area sidewalk block traffic divert . subway station close get town . 20 minute ride midtown 25 - 30 uptown / central park . , great hotel convenient location midtown sight , especially child stroller . also prefer come back hotel naps inconvenient midtown taxi ride $ 30 . plus side , ferry liberty ellis island 10 minute walk hotel . 
 Jul 3 2006 	 EXCELLENT 	 stay 2 night 3 day March 05 . 3rd trip NYC finally take husband son . hotel 2 block away Ground Zero . visit Ground Zero weep . hotel beyond nice , bed comfortable , view outstanding , face south see Lady Liberty every day beautiful sunset . temperature perfect , WIFI work outstanding , toiletry nice , room big . get last minute special hotel rt airfare $ 369 steal ! compare price ' ve pay NYC . drawback not much one , be pretty far major attraction , good news express train not stop every 5 second . would highly recommend hotel . 
 Jun 22 2006 	 Great Hotel NYC 	 great stay Marriott Financial District June 16th . hotel spotless accommodate . bed wonderful ! staff go beyond make we feel comfortable . stay 37th floor great view Statue Liberty . concierge level , however service offer weekend . starbuck locate hotel Roy 's great place meal . 's nice see revitalization area . hotel within walk distance Battery Park Staton Island Ferry . $ 15.00 cab fare Midtown subway nearby . O'Hara 's Pub offer great food 's close . 
 Jun 21 2006 	 great hotel ! ! 	 sister , 10 year old niece stay hotel second weekend June 2006.We please stay . get room 27th floor , could see Statue Liberty room . front desk nice breakfast send room niece birthday charge , make feel special . hotel locate close least 2 subway station , use line 1 get Times Square , line r get Grand Central Station JFK airport Sun . several place eat around hotel , pharmacy end West Ave . , ferry Statue Liberty Ellis Island , etc . plan visit NYC another sister stay hotel . 
 Jun 13 2006 	 nice location nice property 	 get back quick ( 2 day ) visit New York . stay Marriott Financial Center . nice -- big average room , comfortable bed , nice bathroom . ninth floor , still nice view river . location great -- block subway station , two block river , easy walk Battery Park one build away Ground Zero . pay conference rate half rack rate . ' m sure rack rate price would worth . 
 Jun 3 2006 	 great alternative midtown 	 stay hotel vacation Memorial Day weekend . get hotel Holland Tunnel breeze , even holiday traffic , valet parking hotel provide great service . unfortunately , since hotel holiday room book close weekend not able get room configuration hope ( 2 queen bed ) , hotel provide we room king size rollaway extra charge . room little small standard Marriott room , much need , even roll away . room clean ( big factor we ) bed comfortable . everyone deal hotel polite helpful , spite busy weekend . since first time family New York plan spending alot time midtown area little concerned logistic get back forth midtown . really not problem since hotel couple block Rector St. station subway NY run frequently ( ~every 20 min ) , even late night weekend . even though hotel close many popular tourist attraction NY ( Empire State Building , Times Square ) close interesting site , include World Trade Center site ( border site ) , South Street Seaport , Battery Park , catch ferry Statue Liberty . actually leave car park hotel able walk park take ferry statue Memorial Day , work great . far dining concern , couple restaurant hotel ; however , opt try local eatery . someone front desk recommend George 's Restaurant , right around corner hotel Rector St. unbelievable breakfast would pay McDonald 's . AWESOME ! although see action Times Square great , would highly recommend hotel tourist want little peace quiet night . 
 May 30 2006 	 third stay enjoy every one far 	 stay conference third year row . really like hotel , especially compare six eight place ' ve stay NYC , understand not everyone : Pro 's - clean room , nice bedding , decent great selection tv channel , quiet area especially night , excellent fitness center pool , short cab ride place low manhattan , quick trip Laguardia ( 30 minute non - rush - hour ) . wonderful view Hudson river corner room , other view statue liberty . also close water taxi New Jersey . Con 's - expensive internet service , small bar , expensive ( good ) restaurant ( Roy 's ) , quiet night , long cab ride mid - town point north . really not much activity around hotel near subway station block away . we eat greenwich village night location fine , though seem road construction , almost every cab make u - turn front place drop middle street , one time cab driver figure end right front . about negative fairly small lobby bar , room service menu bit limit well . if ' m financial district business , would hotel choice , need spend time mid - town , would look Millenium broadway , favorite hotel area . 
 May 17 2006 	 like alot 	 people think stay downtown / low manhattan / financial district unacceptable leisure travel -- say complete rubbish . three subway line take anywhere Manhattan within 2 8 minute walk , yes safe walk even 2 -- several time ' m redneck town Midwest . like downtown , quieter water bridge influential part manhattan . hotel upscale , luxry definetely upscale . room decently size , view good . staff pretty friendly far ny go . part like area weekend much quieter peaceful midtown . also experience water alot hotel midtown -- first room view hudson river , Statue Liberty ferry Battery Park short walk away that s right water South Street Seaport neat historical spot sell Broadway show ticket East River view Brooklyn Bridge . midtown , never experience water bride . also Financial Center good access Tribecca , Greenwich Village , Chelsea etc alot nightlife . take subway area evening ' [ like ride subway 2 , take cab hardly anything . take cab Greenwich Village Marriott Financial Center 3 cost $ 6.50 . 
 Apr 14 2006 	 great hotel 	 group we stay long weeekend get good deal british airway . slight hiccup check request 2 bed smoking room pass hotel , easily resolve . room big NYC ( well 3 time size room would Hudson ) . location fine , near subway line easy get . staff hotel fabulous , Ben reception could not helpful , get we reservation information bar etc . bar hotel wasnice drink go dinner . lovely place stay 
 Mar 18 2006 	 Nice Downtown Hotel 	 business downtown , go wrong stay hotel . physically , room fairly average , nicely appoint bed bed extremely comfortable . service prompt , pleasant attentive front desk bell staff room service ( quite decent ) .roy , restaurant , worth visit even stay . Hawaiian - theme seafood - orient , food simply delicious . pricey , find gem Marriott hotel unexpected pleasant surprise . the work - out facility pool also unusually good Marriott average New York hotel generally . while be much immediate area ( two block south WTC site ) , beginning come back life , albeit slowly . 
 Mar 8 2006 	 could not find fault 	 get back spend 3 night wonderful hotel . staff marvellous really go way make feel welcome , particularly Carols doorman . public area immaculate food fantastic overprice . thing do not try leisure facility simply much else take look . admit pool look little small side do not suppose get use much mostly guest either business people short city sightseeing trip . bit way like way . cost around $ 20 per trip cab ( include tip ) get say Times Square mount go twice day . could use tube do not want underground miss site . room spaceous clean . could do big bath sheet . bed comfiest bed ever sleep view 32nd floor amazing . do not eat roy look like nice restaurant wonderful menu , food cocktail bar good lot expensive restaurant breakfast room service tremendous . have not realise get home original NYMFC destroy 9/11 build hotel moment give facelift make hotel explain newness feel . highly recommend hotel . 
 Feb 8 2006 	 first timer 	 spend one night concierge level room -- travel business . room typical Marriott middle tier -- rather drab antiseptic clean quiet . bed soft desk small hold laptop paper . bathroom large towel plentiful . concierge lounge pretty ordinary breakfast well evening . room service unusually good . staff accomodate albeit rather rush check ( almost fast ) . location prime business purpose although would agree way leisure traveller . enjoy early evening stroll along waterfront . 
 Jan 31 2006 	 Marriott Financial 	 return week end New York fantastic stay Marriott Financial Hotel . location great breakfast roy hotel good start day . staff helpful everything clean . 
 Jan 22 2006 	 great Stay New York Marriott Financial 	 stay New York Marriott Financial right Christmas holiday . Marriott property New York would well follow example Financial Marriott . room large definitely feel spaciousness . staff accomodate bad Roy 's Restaurant property . restaurant serve breakfast ( wonderful ) , lunch dinner course dinner forte . easy catch subway get anyplace city . also , easy get airport property . enjoy 
 Jan 18 2006 	 AWESOME HOTEL 	 mother , daughter stay hotel daughter run NY Marathon . agree bit way far right city , stay incredible . room immaculate , restaurant wonderful bell hop helpful ever see . offer get we SUV take we ( 2 people group ) JFK not pay two taxi . also applaud daughter get back marathon accomplishment run ! love stay 
 Jan 16 2006 	 perfect business traveler far downtown be tourist think 	 stay week business eventually move NYC . really nice place stay . room big , bed extremely comfy , good size bathroom spectacular view . not experience room service although couple thing launder service excellent . business center staff also extremely helpful . pool area lovely full natural light . downstair cocktail bar great - serve excellent food bar staff highly focusse personal service . week stay temperature go 100 degree ' m relieve say a / c adequately cope . be stay want local drink bite eat not go far - walk across West Street towards Hudson river will see great little bar serve wide selection beer food . also carry waterfront street take right , 's fantastic seafood place outside dine available right waterfront . totally worth step hotel not schlep uptown not feel . one good hotel experience NY trip absolutely recommend hotel . 
 Jan 3 2006 	 1st visit NYC GREAT hotel 	 recently viste NYC first time ( group friend ) last weekend . NYC New Years Eve annual ball drop . pick hotel cheap ( decent ) hotel could get Manhattan island . experience EXCELLENT . come NYC read NYC hotel room small . room issue corner room 30th floor , large . even five people room , still not feel small overcrowded . front desk staff friendly , professional , helpful . concierge desk recommend great nearby diner call George 's serve excellent breakfast . subway conveniently locate two block away Rector St. the room bathroom clean arrive . bathroom spacious ! housekeeping prompt issue us towel request . leave room , run housekeeping staff ask we anything would like extra room . tell need lotion soap . get back , already wait bathroom we ! spacious & amp ; clean room , spacious & amp ; clean bathroom , great view , great service . would definitley recommend stay . 
 Jan 3 2006 	 fantastic hotel ! ! ! 	 family stay December 22nd 23rd . fantastic ! everyone nice helpful , hotel clean , bed extremely soft view amazing . would highly recommend hotel . near subway , good restaurant World Trade Center . back . 
 Dec 7 2005 	 Marriott Financial Center - round great place stay ! 	 mother stay end October ( base Trip Advisor review ) marvellous . great location - near subway station number 6 bus go way Central Park ( well sub - way really getting feel city ) . hotel short stroll Battery Park Ellis Island / Statue Liberty ferry . safe , quiet neighbourhood . mention mother 's first time New York also birthday give beautiful comfortable corner room breathtaking view Hudson ( perfect 2 people wardrobe space would limit ) . friendly helpful staff also arrange beautiful bouquet flower mother ! breakfast include rate great - speciality ( french toast apple , maple syrup cream ) divine keep go day ! would highly recommend hotel - ask rooom view . New York number time always stay mid uptown future downtown ! 
 Nov 29 2005 	 Hotel EXCELLENT ! ! ! 	 stay hotel early November 2005 love ! arrive early morning allow we check early . impressed room . got 19th floor room view Hudson River . room clean well keep . pretty new furnishing immaculate bathroom ! bed comfortable bedding clean soft . get single King bed huge . love stay would stay ! hotel staff friendly willing help . close Subway stop one block World Trade Center . Battery Park Statue Liberty couple block away . want upscale quiet area , hotel . be cheap , get super clean room upscale flair . see good rate property check around different website . 
 Oct 11 2005 	 Good Value 	 husband stay night Marriott Financial Center mid - Sept 2005 . ticket see Spamalot , take Amtrak Boston . choose hotel able get government rate $ 209 night , NYC excellent . available hotel room night stay least twice much . hotel never ask see type i d prove eligible government rate . we request early check - in hotel try accommodate we , however , say many early check - in day able get room almost 3 pm . our room fine . clean fairly large , 2 double bed , armoire tv honor bar ( one one even remove item , charge . put back , be charge ) , desk chair . bathroom okay , light terrible light tub , make quite dark take shower . could hear quest talk room walk hall , hear guest room . ice machine floor locate right outside room door ( find odd location ) , afraid would hear night , either one want ice , loud fear . the hotel 2 block Battery Park site World Trade Center , easy walk . also near subway stop , be short ride Times Square . there nothing really special hotel , be clean , room big enough , location good . could get reasonable price , would definately stay . 
 Sep 24 2005 	 3 - star hotel ; 5 - star price 	 stay six night recently business . although close Wall Street , hotel face west Hudson River ' feel ' stay Downtown Manhattan . Adjacent WTC site World Financial Center office , restaurant , shop riverside walk . the hotel nothing special . guess around 30 year old ( note ugly metal box air - con / heater unit room ) , possibly convert office block ( internal bedroom wall brick concrete – plenty scope hear neighbour ’ television noise ) .I arrive around 11 am Sunday 22 hour fly , room available . company request early check - in , realise could guarantee . receptionist typically New York cold , matter - or - fact . ask room might available , shrug " time 11 4 " . ask somewhere could wait get coffee tell abruptly " ' seat [ lobby ] breakfast serve Roy ' [ restaurant ] " . want spend five hour sit lobby , want eat another breakfast , go watch 9/11 commemoration ceremony WTC site . persuade senior receptionist try get room noon , thankfully , happen . the room quite long narrow ( see attached photo ) , bed short fit . window two side , would offer nice view dirty outside . drab date colour scheme , 1970 furnishing , tiny desk cluttered phone , modem box , in - house advertising , narrow – 20 inch – would impossible work small amount space leave . tv enough channel clear reception . bed comfortable cover , although clean , look like use 20 year . likewise towel – old , hard , case fray . bathroom clean enough shallow bath tub lighting bath / shower area . room whole , central lighting control bed - side , anywhere else matter , enter leave room always involve tour round various lamp stand wall switch . fridge auto - charge variety – take item inspect , ' charge bill . content arrange completely fill fridge , neatly discourage guest buying item one - third cost outside dare house fridge . as business need work room , ask could move less narrow room may space less narrow desk . move happen follow evening " upgrade " room sell usd 500 night , accord receptionist . bit large original room , exactly feature inside , include narrow desk . view Statue Liberty - reviewer comment plus - point , ' far distance haze , ' even bother take photo . on positive side , buffet breakfast Roy ' good , usually case NY hotel , staff pleasant enough . also enjoy light meal ( " light " american standard , full meal anyone else ) drink West 85 bar . I stay discount corporate rate , even , find hotel offer barely 3 - star amenity international , US , standard 5 - star price ; cramp date room fixture ( lobby ) offset slightly satisfactory service level staff , leave first receptionist encounter . suppose New York hotel charge sky - high price , relative other city , perhaps bad . would willingly return ? location , perhaps ; hotel , . 
 Sep 16 2005 	 hustle - bustle ! 	 great hotel . bed comfortable ever sleep ! staff courteous , helpful , friendly . low manhattan beautiful place stay . hectic weekend -- lay back . crowd , restaurant practically empty labor day weekend . People rollerblade jog near battery park . area remind north part downtown chicago -- elegant . sure much busy business hour , since near Wall Street . within easy walk distance ( way Rector Street ) 3 different subway line take anywhere need go . can not imagine stay jungle midtown manhattan stay . price cheap room spacious . highly recommend hotel . 
 Sep 5 2005 	 Excellent stay Marriott Financial Center 	 stay Marriott August 05 1 week . we double room spacious enough family 2 adult 3 child . it 20th floor view hudson river . the child enjoy swimming pool .The hotel staff friendly helpful . the service excellent . roy resturant cocktail bar within hotel . hotel near ground zero subway . Felt safe around area night police presence . I would recommend hotel prefer away busy location midtown . regular subway train short ride midtown area . 
 Aug 12 2005 	 Pleased 	 Stayed May , 2005 , TIA convention Javits . hotel excellent . staff , especially room service exceptional . Roy 's restaurant great ! room clean , spacious well furnish great view harbor . little far Convention Center show shuttle service fine . great location visit WTC , Century 21 , Battery Park , Brooklyn Bridge , etc .. LOVE NEW YORK ! 
 Aug 7 2005 	 good option NYC 	 stay Marriott Finanical Center couple week ago . pick location somewhat last minute able get good weekend rate location good . particularly interested low Manhattan can not beat place . also service excellent . several special request hotel staff meet prompt order . issue construction go around hotel roadway . give hotel locate next Ground Zero certainly understandable . 
 Jul 17 2005 	 Perfect Christmas Trip 	 stay wife hotel one week satisfy . room spacy , clean extremly comfortable bed stylish furniture . room 23th floor view WFC Hudson River wonderful . front desk personal friendly helpful location Financial District bad tourist , could read review . next Subway station walk minute away . surprised , quiet hotel , probably result good isolation room . 
 Jul 17 2005 	 Nice 	 stay 3 day . corner room two queen bed . hotel clean . staff excellent . pay $ 169.00 per night weekend . drawback pool close renovation . however , pay cab ride Brooklyn Marriott child could swim . 
 Jun 20 2005 	 Nice 	 stay one night past weekend move son apartment . use valet parking go quickly check . front desk polite accomodate - assign room type request ( room 3010 30th floor ) . view Hudson River spectacular . could not see Statue Liberty another building block , not mind . room traditional furniture & amp ; offer comfy bed chair w / ottoman & amp ; lamp reading . bathroom clean nice . already book hotel . pay $ 279.00 include great breakfast buffet plus $ 40.00 parking . not need move car 5 pm day checkout , able buzz around day subway . like hotel much , even well walk around Battery Park along water garden . across street two block . area quiet . use subways ease location , though away uptown & amp ; theater , problem . 
 Jun 12 2005 	 Nothing Special 	 wow , disappointment hotel . check 3 night weekend stay celebrate 10 year anniversary . decide stay downtown time close shopping / restaurant SoHo , village , etc ... review hotel good , husband member Marriott reward program , expect treat much well . first , check , informed anniversary , ask possible get upgrade room ( willing pay difference price regular room ) . told & quot ; , room & quot ; . yeah , right ! room give small ( website say regular room 400 sq ft , close 250 ! ) bathroom joke ( 2 yelllow light sink LIGHTS shower ! ) . also , read hotel recently refurbish damage 9/11 , clearly case . call front desk ask move different room , preferably newly renovate one . response request front desk & quot ; not newly renovate room & quot ; . ok , whatever , want room move room 4 floor low pretty much identical . small , tacky outdated . this hotel fine business traveler , not make mistake stay be look anything special . even stay business , would never pay $ 200 night . be simply worth well . usually stay Rihga ( Marriott ) midtown , let assure , be entirely different type property , well worth small difference price . one last thing notice eventhough make desk aware anniversary celebration , one person staff congratulate we go way acknowledge . 's truly big deal , strange , unfortunately , say lot service ( lack ) . 
 Jun 7 2005 	 Excellent value NYC 	 room excellent , health club average - location quiet - south World Trade Center Site . room high floor viewsof Statue Liberty . weekend special rate not high enough ( 24th floor ) could not see - hear be top hotel ( 40th floor high ) beautiful NY Bay view . prefer close Theatre District - room moderate rate available make reservation - - Memorial Day Weekend . make sure stay weekend rate get rate include breakfast / brunch . Sunday brunch tremendous normally $ 20 per person - good deal - weekend special 's $ 10- $ 20 extra entire room . not stay depend taxi 's $ 20 fare tip theatre district go back forth th mid - town get pricy - subway stop short walk handle subway hotel fine . be go financial district area - can not beat hotel . 
 May 27 2005 	 Excellent Hotel 	 husband celebrate wedding anniversary NYC . travel agent book Marriot Financial Center . 911 commute mid - town , think would disaster . turn excellent hotel . accomodation clean service outstanding . highly recommend hotel ! Dr. South Florida 
 May 7 2005 	 Excellent Downtown Hotel 	 stay hotel 1997 love , much book surprise mum April . unfortunately 1 room book we book agent 2 reserve . problem check - in would like reception staff bit helpful especially e - mail customer service let know situation beforehand , reception say note all . total waste time . kinda take edge first night spend 13 night Vegas hope next 2 night would enjoyable return home . room lovely though , excellent view 25th floor . even check - in hassle , really enjoy stay . hotel excellent position downtown NYC , Ground Zero , Century 21 Canal Street minute walk away . alot eat drinking place around area really cheap make hotel ideal place stay New York . definately recommend stay . 
 Apr 26 2005 	 * * * * awesome * * * 	 return 10 day stay New York Marriott Financial Center . amazing place . travel entire family include 2 child 10 . start allow we check early red - eye flight California . room 9:30 . course staff friendly , accomodate pleasant . get room say & quot ; Large & quot ; stay several hotel Manhattan much big closet .... pleasantly surprised . unfortunately , dresser storage get real quick see view . room 31 floor excellent view Hudson , Battery Park , Lady Liberty Ellis Island . bed awesome ! kid love indoor pool enjoy fitness facility . location perfect , away hustle bustle , yet short subway ride excitement . subway conveniently locate around corner . stay Marriott . get tremendous rate $ 145 disappointed . classic Marriott style ! Bell Door man pleasant , love see smile face everyday return . work tirelessly make sure trip good free negative incident . will not disappoint . 
 Apr 26 2005 	 can not beat Marriott 	 Marriott Fianancial District well . really want stay uptown rate keep we downtown . first New York experience stay Marriott Marquis , foot bill ! ! prime location , especially 19 single ( live mom dad ) definately need back . Marquis well . travel child ; security , cleanliness budget come first . pleasantly surprised hotel . great location ! could see World Trade site hallway await elevator . huge discount department store 21 near hotel subway station ! easy catch cab help bellman . conceirge help we find Bubby 's restaurant tribeca . even pour rain , front desk give we nice umbrella ! ! location everything surprisingly Marriott good location suit need . leave hotel early every morning return 10 pm every evening . feel safe secure . shopped dine day time retire , nice return quiet uncrowded area unwind . eat breakfast buffet morning , bit pricey $ 20 per person ( child half price ) . spread fantastic , though . everything would ever want , fresh fruit make order omelet . fitness center pool nice also . entire hotel spotless . stay corner room 2 queen bed plenty space spread out . there nice bureau desk chair lounge chair . bed world comfy ! ! ! bathroom full sized euro chic . importantly , CLEAN ! ! , one bad thing write Marriott Financial District ! 
 Apr 24 2005 	 good keep Secret NYC 	 love hotel . stay 5 time since re - open January 2002 ( damage 9/11 attack ) . book Marriots Website usually get weekend rate ( Thursday night check Monday morning ) $ 189.00for $ 189.00 Manhattan get 5 star hotel , great room friendly staff . great view Hudson Statue Liberty . close Battery Park , SoHo , Greenwich Village , subway . if tourist finacial disctrict take cab ride , bus tour subway little worth ! ! ! ! ! really not far Time Square , Broadway Central Park . I stay 10 diffent NYC hotel far good price . 
 Apr 11 2005 	 wonderful experience 	 Family four ( include rambunctious 7 yo ) great stay . get room 30th view Statue Liberty . room excellent , Staff friendly helpful . pool decent size steam room well equip gym . location ideal . 1 block Ground Zero . 5 minute walk ferry Statue liberty . 10 min subway Times square mid town action far away enough sleep peacefully . would highly recommend especially get buffet breakfast include . Valet parking $ 40 / night ( New York ) least car come back one piece . actually neighborhood safe late night 
 Apr 7 2005 	 stay 31st - 4 April 2005 	 self family get back hotel 2 room connect door . can not really fault hotel , standard room still view front Hudson 28th floor . the bed exceptionally comfortable bathroom excellent standard . should decide breakfast hotel restaurant ( Roys ) will not disappoint . either choose set breakfast meal like we go buffet $ 18 head . unlimited coffee , masse amount hot cold thing choose cereal , porridge , croissant bacon , sausage , potato etc . there even couple chef hand take order additional thing like pancake , waffle , egg hash brown , buffet price . there subway station close ( Rector Street ) fact Courtland Street subway close adjacent WTC site Century 21 shop . if want stay downtown will not disappoint here . it fitness room indoor pool not see . 
 Feb 28 2005 	 Excellent hotel ! 	 stay Marriott Financial past weekend 2/25/05 - 2/27/05 . nice hotel , clean , quiet , nice staff feel safe ( see security walking floor ) . spacious corner room look harbor battery park .. good feature fabulous breakfast buffet make order waffle omelet , swimming pool kid , comfortable bed friendly staff . ' little bit away hustle bustle – good want wind . drive easy find car close monitor lot . nice comfortable hotel . definitely stay . 
 Feb 25 2005 	 Comfortable Cosy Great Value 	 stay Marriott 3 night February 2005 throughly recommend ! weather absolutely freeze cold , room warm , comfortable , spacious spotlessly clean - real pleasure come back - especially day spend pound snow cover pavement Manhattan . we great view 24th & amp ; 25th floor room Empire State Building Hudson River - fantastic night - time ! first time tourist UK , find location absolutely ideal - away hustle bustle ( somewhat dodgy hotel room ) Midtown , yet short direct ( change ) hop subway Times Square onwards Central Park . ( Rector Street subway line literally round corner , $ 2 fare take directly Times Square less 10 minute ) also find site downtown easily accessible - Wall Street NY stock exchange minute away , Battery Park short stroll , new South Ferry port closeby . absolute must Staton Island Ferry ride South Ferry Staton Island back ... fabulous view Manhattan - night probably good memory visit - free ! ! great photo opportunity ! take special & quot ; stay breakfast & quot ; deal book directly Marriott hotel website . pay $ 169 per room , include breakfast two - breakfast ! ! full buffet , item cook order , fresh fruit , fresh bakery item , cereal , juice , coffee ... name , get ! fantastic value - love ! child love pool - small perfectly form , open sensible hour . overall fabulous time - one word caution , keep inquisitive finger away mini - bar ! chocolate much temptation child lift - immediately register reception charge account . lift mistake reception immediately courteously reverse charge - well first place ! highly recommend - perfect busy family weekend explore NYC ! 
 Feb 9 2005 	 comfortable stay New York 	 stay bad NYC hotel , think people , appreciate one thoroughly . staff friendly helpful . room spacious , extremely spacious New York . bed one comfortable sleep . nice feather bed pillow . everything clean look fresh , fade . nice view harbor room , area feel safe quiet - good sleeping . also indoor pool sauna , rare NYC . lobby clean pleasantly decorate . hotel another city , would rate average , since NYC , rate excellent . happy select hotel . 
 Dec 28 2004 	 Great Weekend special 	 stay weekend Christmas receive wonderful package include parking breakfast . room comfortable . breakfast far exceed expectation parking easy . simple get hotel car say lot vacationer use drive NYC . highly recommend stay . 
 Dec 2 2004 	 Handy Manhatten 	 stay November 7,8,9 , 2004 . ' ve stay 2002 know find expect . room pretty plush staff swift attentive . be certainly handy waterfront Battery Park statue liberty . good day view concierge lounge excellent . parking arrange round corner get forget item car problem . cocktail lounge provide excellent meal get stick big queue roy rest rear hotel . roy first class cuisine service , need step outside hotel anything , Century 21 5 minute walk away . Subway Rector Street 3 minute walk away , taxi rank ouside hotel never seem empty . pricey think UK standard service standard soooo much well NY Arrive Saturday Sunday may able negociate weekend rate stay extend next week . Hard WTC site overview ground zero upper floor repair still take place adjacent building . good view city night upper floor well . swimming pool floor 5 must ! one annoying problem , book internet couple different name , divide bill two one bill ! daft ? 
 Nov 23 2004 	 comfortable hotel not - so - great staff 	 stay 11/18 - 21 Marriott Platinum member . room not correct arrive 10 pm ( two double rather king guarantee writing ) switch low floor room elevator . sure room smoke ( request ) partner smoke anyway since front desk assure smoking room despite lack ashtray . front desk pretty unfriendly throughout entire process . the location near subway line kinda inconvenient tourist . business people Wall Street area , however , be great location ! room nice clean . not get shampoo one day use Hyatt shampoo dop kit big deal . overall , 's 3 - star Marriott . would not pay 3 star price ! 
 Sep 30 2004 	 great ! 	 stay hotel twice great ! staff friendly helpfull , Subway one block away . Wall Street , Chinatown , Battery Park nice boardwalk near hotel . room clean ... need say ? definitely first choice go New York ! 
 Sep 22 2004 	 Great Hotel Location 	 usually stay midtown travel NYC . last time stay Marquis ( highly recommend ) however , know Marriott know comfort , decide give shot . although , hotel top midtown hotspot , nice . room big NYC . nicely appoint . great bed . bring significant great weekend low manhattan . great view river Status Liberty . subway nearby fast ride uptown . 
 Sep 21 2004 	 nice VIEWGREAT bed 	 good location . the staff friendly helpful . the room lot space comfortable bed ' ve hotel . PS : ask upgrade room high floor u enjoy outstanding view statue liberty , hudson river new york skyline . 
 Sep 17 2004 	 Excellent hotel lovely base stay ..... 
 Sep 14 2004 	 Good Prices Good Hotel 
 Jul 31 2004 	 Loved ! Stayed July 23 - 26 
 Jul 19 2004 	 Good Deal .. get parking breakfast package 
 Jun 14 2004 	 need peace NYC ? stay . 
 Oct 26 2003 	 Definately stay ! 
 Jul 25 2003 	 really terrific price ! 
 Jul 24 2003 	 great hotel great city 
 Jul 15 2003 	 good deal weekend 
 Apr 30 2003 	 way downtown 's ok 
 Oct 4 2009 	 ottima posizione 
 Sep 8 2009 	 ? ? ? ? ? ? ? ? ? ? ? 
 Apr 5 2009 	 Tolles Hotel ! immer wieder ! 
 Jan 7 2009 	 Buona posizone 
 Aug 18 2008 	 Excelente hotel ! ! 
 Sep 6 2007 	 Gutes Preis Leistungsverhältnis 
