awkward 	 great place . August check move room 's hard - wire internet ( kind -- wireless ! ) not work . additionally air conditioning never get quite cool enough , shower / tub short , awkward nozzle not adjustable force stand drain , elevator small slow , business center tiny closet basement . though ask stay elsewhere time , be corporate room block . e - mail time hotel manager assistant manager various question . nice accommodating , staff ' ve encounter . staff wonderful - hotel need major makeover . speak , gym ( LA Fitness next door ) close renovation be buss guest another one block away . unfortunate timing . this time arrive excited get room 701 , top floor . room indicator , not room & quot ; -01 & quot ; . room awkwardly opposite elevator . door open right elevator lobby , without kind baffle foyer , people elevator , wait landing , look right room . noise ! talk / yell / whisper guest elevator notification ( & quot ; go ! & quot ; ) keep awake night . be move another room today ( additional 40 quid night ! ) hopefully well . 
 average hotel - 5 star 	 hotel situate great location - convenient Covent Garden theatre district . bed comfortable . staff friendly helpful however five star hotel . room average despite & quot ; deluxe & quot ; . look need decoration - attempt hide fact fancy light hang bed . bathroom spacious tatty - heating - supposedly hot towel rail freezing , shower lukewarm draft window . breakfast somehow manage lose hot breakfast order leave we sit 20 minute realise lose . wake drill hammer early final morning somewhere hotel - one bother warn we . check , staff never bother ask stay - seem interested get money . there plenty hotel area would advise people stay elsewhere - definitely five star hotel worth money . 
 Waldorf 	 book one night famous Waldorf Hilton Aldwych lastminute.com . know Waldorf ? rich , famous people use stay ; excellent positon near theatre museum poise edge City ; boast crown jewel ballroom , Palm Court . sound good . , fool history . Waldorf transform Hilton boring , mid range business hotel . lose every shred famous charm . , completely devoid character . still , five star rating belie poor quality service offer . I carry obviously heavy suitcase long flight stair reception , staff watch . Thirsty arrive room , invite spend GBP4 priviledge drinking bottle mineral water . room ostensibly double . two set prettily wrap bathrobe ( GBP40 buy ) lie conveniently bed . however , bed push wall like medieval box bed ; possible access second guest . desk lamp , wrong side desk read bed , work ; follow morning housekeeper confirm bulb go . even low setting , heating ventilation fiercely direct head height uncomfortable stand middle room . the tv remote menu facility , flick aimlessly around find news station want . bathroom tile floor ceiling clammy ; heating towel rail , remain cold throughout stay . bad , despite offer free wireless connection bedside literature , tell front desk way connect internet five star hotel purchase GBP15 24 - hour voucher would permit use hard wire cable desk drawer . Breakfast serve Palm Court , beautiful green palm remember film set remove . room large , cold decorate stiff , brown dry grass . food acceptable , stand middle room , , twice , attract attention staff get coffee . no Christmas decoration , warmth . luxury ? forget . advice : stay somewhere else . shame , Hilton , turn unique elegant hotel average , brown box . Mrs . Rehoboth 
 bitterly disappoint 	 book room celebrate anniversary surprise half disappointing experience ' ve long time . on check - in ( quite late , arrive around 23.15 ) wait receptionist get phone alone . get room key pretty much without one word ask breakfast ... welcome ... room disappointing - small clean 5 star standard . find tv work , call reception ( wait couple minute someone pick ) tell someone , take 15 - 20 minute . check say tv could fix would move leave . needless say one call we , call reception ( be talk well midnight stage ) tell would need contact engineer morning . say be stay night , apologise inconvenience offer we complementary breakfast . by stage really upset romantic mood completely vanish , want make fuss late work next day . oh , bed terrible , feel like spring going give way second . breakfast ask menu rather present . full English , one vegetarian oily tasteless . finish orange juice , never get refill . ask toast ... could believe 5 star hotel actually . so , awful experience . certain expectation , give name rating previous Hilton experience , would well stay home ! half say al least will definitely remember anniversary . unfortunately , memorie nothing like mind book . 
 Aug 15 2006 	 happy Waldorf 	 book Waldorf great rate Hotwire look forward upscale business hotel . 's get happy . king size bed linen impeccable , like modern decor plasma television . showerhead rainfall - type set high wall strong water pressure , tub great soak walking day . tip - frost glass bathroom door indeed opaque - see . however , shade bathroom window go 3/4 way , room totally darken daytime . important , aware . hairdryer tuck inside desk , little difficult try work desk store laptop clear lift lid . room size adequate , certainly small ' ve stay , hotel staff efficient kind enough check we 8 plane US arrive quite early . public area see clean comfortable . excellent location , many take away shop restaurant nearby . much enjoy italian one around corner . eat hotel , appreciate complimentary bottled water , replace stay . we would definitely stay recommend friend travel solo couple . 
 Aug 14 2006 	 Wonderful Waldorf 	 wonderful weekend husband share newly refurbish hotel . ! ! would highly recommend Waldorf - bedrooms opulent yes modern - tastefully design . open plan feel give airy light impression . share deluxe room give we wealth space . the staff could polite helpful unlike many 5 star hotel warmth manner - actually feel though care enjoy stay . find staff extremely friendly helpful 11/10 ! ! visicnity hotel lend even enjoyable stay central - Covent Garden conveniently close Charring Cross 10 minute walk buss stop right outside ( include tour bus ) make London accessible outside hotel door . the restaurant food equisite yes breakfast £ 22 may appear steep however hot food fresh - unlike many overate buffet style breakfast ! ! would suggest try hotel - want feel special . Paula 
 Aug 7 2006 	 ' Classic ' Waldorf much well ' Modern ' Waldorf 	 2001 , husband stay Waldorf ( believe meridian time ) 10th wedding anniversary . charming decorate english style . additionally , food service great . 2005 , go stay , however see photo internet decor modern taste . want feel London book room gore instead ( be wonderful , traditional hotel ) .While London , decide go Waldorf cocktail reminisce . could believe do hotel ! modern , do cheap tasteless manner . ridiculous take circa 1908 historical hotel Palm Court try make modern . laughable see tea service place table 6 inch ground huge modern chair . would reach pick cup tea ! think ? speak staff even like decor . push check - in desk rock back forth secured ground . shame whoever curse beautiful , charming hotel cheap modernism . 
 Aug 1 2006 	 worth half cost 	 Hilton Diamond VIP , unsatisfied . hotel none clean , wall look like need good wipe . room , large comfortable , nothing exceptional . fridge 2 bottle mineral water . call room service ice tell none hotel ! ! ! ! place cost $ 500 night ! service lackluster good . show breakfast 10 minute late 2 hungry kid refuse admittance . situation little flexibility would call , especially expensive hotel . I reccomend Holiday inn Express Sheraton one . 
 Jul 30 2006 	 Waldorf Hilton Rightfully name 	 really enjoy stay Hilton ; room tastefully deocrate . bathroom exceptionally functinal deep tub beautiful vanity , also clean .. mention beautiful frosted glass bathroom door . dailiy in - room silver tea service nice touch . staff friendly helpful could expect -- staff country . find LA fitness center satisfactory . food exorbortly price bed breakfast pacakge . dining service exceptional food simply delicious . american wallfe well waffle EVEr America . definatley stay agian whenever London . 
 Jul 6 2006 	 satisfied customer 	 quite nervous stay Waldorf reading report , go ahead quite honestly say moans , groan complaint generally unfounded . the room perfectly adequate size normally proportion people , fact , standard double quite good size . entire hotel spotlessly clean well maintain . staff efficient , polite never fussy intrusive ( be type guest require his / her bottom wipe porter , place . be normal , be fine ) , bed comfortable clean ( something rarity London ) .The bathroom door : yes , glass . 's heavily frosted glass despite good effort various lighting combination , find impossible see , even shadow . sorry grumbly people , try well . feel little strange , perfectly proper allow plenty light enter room ; quite clever idea really . water pressure quite high , take care use wash basin may get bit wetter expect . the sundrie certainly look expensive . telephone call , breakfast , room service , film channel etc clearly aim people daft enough pay . issue easily solve use mobile phone ( excellent signal ) buy food one many café 's / restaurant area Tesco Express across road . okay , hotel outside London , may 4 * rating - modern interior , not door staff red uniform not bow scrape every give opportunity , be look well situated , clean , comfortable hotel think will satisfy Waldorf . 
 Jul 6 2006 	 look leap mind gap . 	 look pretty outside wear poorly . location perfect theatre goer ( like ) , convenient several tube line , gorgeous exterior , beautiful ( extremely small ) room , jazzy lobby . money ? goodness , stay away child . Hilton ill - equip . child ? okay , expect confused staff spotty service , dingy fitness center , exorbitantly price meal . ( ten - year - old niece lengendary $ 44 belgian waffle san fruit . ) perhaps worth look , , find deeply discount rate travel either single honey . by way , ' m complainer . first mediocre review ' ve ever write hotel Trip Advisor . 
 Jun 26 2006 	 3 room 6 happy poeple 	 feel compel write review hotel read many positive . can not believe controversial hotel . seem people either love disappoint . ( 6 we stay 3 room ) happy would stay minute . staff great love remodel room . complaint bathroom door silly . one see ! ! ! really feel special stay , trust , not say many place ! 
 Jun 21 2006 	 wonderful ! 	 must say , book weekend away hotel reading review , little apprehensive . however , pleased say come away extremely pleased stay one bad word say hotel ! upon enter hotel ( meeting friend ) concierge immediately hurry help carry case short flight stair , show check . give detail present two card key room . the room fantastic , stay Twin Deluxe Room . two beautifully make bed , dress gown slipper pack end . bathroom exceptionally clean tidy plenty nice thick towel also stylish stainless steel tea coffee make facility shortcake . also two bottle mineral water fridge , much appreciated ! air con work perfectly , tv . best thing room though far bed ! ! never sleep solidly life ! sink even feel mattress - like sleep big fluffy cloud ! Bliss ! ! many people do review comment ' frosted glass wall / door ' bathroom . want confirm although glass , see anything . feel uncomfortable point door around corner main room anyway . the food hotel also nice . meal include set menu Friday night continental breakfast morning . staff friendly polite whole stay . if be plan stay hotel , please let bad review put - really not get half people complain . either exceptionally impossible please lie ! ! 
 Jun 11 2006 	 stay away good . 	 begin ? leave complaint form hotel ask contact asap talk grievance receive reply , apologise lose form side manager desk ! stay 1 night night ! greet grumpy , surly staff , refuse take bag luggage store , ignore we check number minute whilst staff rush around take care conference take place . show room eventually complain instantly arrive would like up - grade / pay large comfortable room , staff member shrug shoulder walk away . rang directions restaurant incompetence receive conversation unbelievable , 3 phonecall later non wise destination . receptionist say would get back we room change request ( I m still wait 2 month later ) . room crammpe , smelly , dusty , dark un - inviting say least lack toilet door embarrass imagine partner develop stomach bug find frequent visit small room necessary , often ! pass staff member neither sympathetic responsive . could go child run corridor hour ( one point father join shout laughter ) . hotel ignore phonecall something teriible sleep . speak guest equally disappointed dejected experience , lack enjoyable one . many little moans groan add terrible time , space futility report stop carry ! year save Amex point seem cruel ironic joke ! 
 Jun 1 2006 	 Great Value Service 	 stay Easter break £ 99 per room . early arrival , room not ready , receptionist say would telephone mobile phone room available . duly phone check mix twin double room kindly , grade executive room 7th Floor . tea lounge business colleague bit congested dinner restaurnat adequate . hotel staff attentive personally take room arrival . staff certainly make welcome . this great deal would like breakfast include . probably would not pay full price usually deal . great staff , nice room linen , plasma tv great location ! 
 May 31 2006 	 Good Location Fair Service would not pay . 	 get back 6 night Waldorf London . Hilton Gold Member pay stay use voucher 175,000 hhonor point . spending week hotel think would choose different hotel next time , definitely would pay $ 400/ not . charge.1 ) location great , walk everything covent garden restaurants/ shows/ pub could ever desire . 4 block near tube stop.2 ) room tiny . give upgrade & quot ; fully book . & quot ; room 12 ' 10 ' felt cramp . nicely renovate damn small . tell give free breakfast restaurant could not upgrade we , appear gold member get anyway . also give Gold member free internet use business center . 3 ) homage way overprice - even london standard . 22 pound per person continental breakfast , math.4 ) High Tea Waldorf Palm Court - Forget . apparently not exist anymore replace lousy & quot ; champagne bar . & quot ; much reservation concierge make ... overall look like take classic hotel try make over - modern . everything nice , might expect . unhappy stay , expect . 
 may 26 2006 	 Covent Garden luxury 	 know hotel inspire strong opinion , we delight overnight stay . 's fabulous central London location scad amenity . would stay without second thought . 
 may 9 2006 	 ok guess .... 	 well , start , wife return 10 day trip UK . stay 5 night Waldorf Hilton . hotel centrally locate , fantastic access Covent Garden theatre district . well sight London . far staff go great , last time use term & quot ; great & quot ; hotel . first , picture website do not even compare actual room , I m sure almost room vary inside . 6th floor rear face room view heater vent , roof top forget pigeon net ! bed wonderful , comfortable , almost comfortable , do not want get morning ! lobby nice well restaurant , even though eat there . we stay aparthotel Scotland much nice self appoint 5 star establishment . guess rate would get 3.5 star . do not live hype expect . , price get 110 usd per night would expect pay hotel Hotwire , would not pay full price stay regardless , well option kind money . 
 May 9 2006 	 Waldorf Hilton Aldwych 	 could fault hotel . greet warm welcome ( american ) informative helpful . 12.5 pool use basement bit chore find . the room bathroom spacious , clean , comfortable , quiet modern . great location Aldwych . complimentary bottled water , tea / coffee cookie . problem hairdryer room rather bathroom daughter get annoyed try sleep try dry hair . there always doorman duty basically never need open front door carry bag . 
 May 1 2006 	 Quite Pleased 	 recently return 12 - day stay Waldorf Hilton ( exchange Hilton Honors point ) . go London every year 4 year , stay Central London Hiltons Thistles ) . like hotel well Trafalgar Hilton Thistles Marble Arch Piccadilly . I Diamond Honors member , upgrade Deluxe Room checkin . king size room large bathroom ( separate tub shower ) 6th floor . frosted bathroom door right entry hall , bother we . bedroom fine - different european room . hopefully , be go spend much time room . share room significant , bathroom cause problem . travel kid / parent -- privacy might appreciate . travel lot ( 70 + night / year hotel ) , Waldorf Hilton rank well business / executive hotel large city . business class hotel posh traveller hotel . breakfast Executive Lounge every day ( nice continental breakfast salmon , meat , cheese , pasterie , bread , fruit , etc ) . lounge open 10 pm , also wine , coffee / tea , soda , beer , cocktail afternoon -- well tv paper across Europe . Lounge Honors member ( welcome benefit ) . eat Homage restaurant . receive 2 bottle water minifridge day , several small market ( mini Tesco ) within 2 block . late night munchie ( kid ) , Subway sandwich shop Aldwych 1 block away open 11 pm . also keep instant soup ( raman , curry , etc ) add boil water teakettle room . hotel staff generally attentive -- maid come 2x day ( late morning turndown service early evening ) . use towel exchange visit , Crabtree / Evelyn toiletry replace well . concierge desk inform theatre / cultural event -- desk officer Executive Lounge always attentive ( make dinner reservation , etc ) .Internet usage business center expensive ( 3 pds 15 minute ) , use one cafe neighborhood ( use one 1 pound 30 minute check email ) hill Lyceum . gym LA Fitness fine ( use cardio weight -- take class ) . free access gym . the location great . Temple ( Circle / District ) Holborn ( Piccadilly / Central ) 5 - 7 minute walk . Covent Garden 's tube stop also close , always crowded liking . Leicester Square 12 minute walk , National Theatre pleasant 15 minute walk across Waterloo Bridge . theatre Alwych end block , Lyceum ( Lion King ) Drury Lane ( Producers ) 2 block away . many restaurant neighborhood , great bar / pub far away either . pleased stay 12 day trip . will back London next spring ( likely try new neighborhood -- maybe Kensington , maybe Green Park ) . mean hotel liking -- want explore new area time . 
 Apr 29 2006 	 Great Location problem 	 husband stay four night early April . location could perfect . short walk Covent Garden many good place eat area well middle theatre district . having pay $ 100 / night Priceline true bargain price . room contemporary clear expense spare remodeling room . however , much thought go bathroom arrangement . bathroom open main room glass door shower toilet room offer absolutely privacy . step shower ( naked ) full view occupant room mention easy see person sit toilet . the bed soft low ground . bad back misery back leg spasm find something put back support . inquire get another room firm bed tell high end bed . management seem surprised find bed uncomfortable . personally , like firm bed Europe one they . for million put room remodel would think Hilton could spend hundred dollar paint dingy hallway . would probably stay soft bed still excellent deal $ 100 / night Priceline . 
 Apr 24 2006 	 great location 	 husband enjoy recent stay Waldorf . book hotwire pay $ 100 US per night . price central London would ' ve happy matter place look like . understand review , pay $ 300 night would ' ve want . location fabulous , minute walk tube stop . however , walk everywhere . mile major site . room small side . however , bed super comfortable shower hot powerful 's need . door everyone complain bother husband bit , think fine . the staff attentive positive experience . get good rate not hesitate stay . 
 Apr 23 2006 	 Disappointed Stay Waldorf Hilton 	 recently stay Waldorf Hilton London April 15 18 Easter Promotion Rate 99 Pounds per night Hilton Queen Room ( Standard Room ) include VAT . bad impression hotel , arrive April 15 , doorman help luggage . , bring suitcase climb step staircase reach reception area . reception area small pack guest check . Hilton HHonors Gold vip member , expect would able check right away , unfortunately , receptionist duty Hilton HHonors Desk , queue normal line check - in . Hilton HHonors Gold vip member , offer upgrade Hilton Deluxe Queen Room 7th floor . room locate end corridor , walk - in closet . pretty enjoy room like plasma television . however , find elevator hotel small , queue elevator order get room . Hilton HHonors Gold vip member offer free english breakfast Homeage Restaurant . service Homeage Restaurant quite good staff quite friendly , bring dish fry egg pretty quickly . overall , think Waldorf Hilton still average training staff , particularly reception staff deem necessary bring back 5 - star standard . 
 Apr 17 2006 	 good location ...... nothing else 	 return waldorf honesty would stay again . on arrival tell reservation ? ? 20 minute ( embarrasing ) dicussion apologetic basically ready throw we out . at point pretty humiliate rang expedia , book . tell we do not know problem booking confirm .... point pass mobile check hotel , magic , say misunderstanding room eventually give ! do not get upgrade even free drink trouble room give pretty poor ( add insult injury ) .The room really small , view terrible bath design thin , vertically challenge individual . maid burst even get chance open door half pant ! ! ( quite embarressing ) I m sorry £ 160 per night ( room ) expect something little well ..... would stay room ridiculously cheaper every hotel area fully book . one good point ..... LOCATION excellent certain theater ! ! ( see lion king hotel around corner ) last month stay sofitel st james , near piccadily circus , addition £ 10 price £ 170 unbelievable ! ! ! 5 star start finish , waldorf do not even come remotely close ! ! one complaint , book website state parking free be not , £ 40 . website fault though , hotel ! 
 Mar 30 2006 	 location perfect ! 	 wife spend 4 night hotel find stay service satisfy . read many review post , bit concerned , worry prove without basis . room small ( do not travel London stay room ) , nicely do good bed linen , nice touch like , small fridge , flat screen tv , small safe , electric tea kettle , towel warm bathroom , newspaper morning . storage limited closet space , short stay , adequate . beat location hotel theater . 2 block Covant Garden midst many restaurant pub . rate receive Hotwire make stay even enjoyable . would certainly explore possibility stay return . 
 Mar 28 2006 	 horrible experience stay 	 let start say , love Hilton . husband Diamond VIP achieve stay 100 + night year stay Hilton ever go . bad experience ever have . we stay Waldorf last two night honeymoon , really not anything good say . hotel definitely 5 star . executive lounge joke ; executive lounge attendant phone sound like friend entire 30 min . get phone view rat run around room , way , kitchen ! top , time arrive , toilet would flush properly . call come look tell we room room hotel problem , never offer move we … just expect we deal it . now , would like add , snooty . however expect certain level service spend $ 500 / night room hotel chain stay 100 night year . thing positive mention bed nice . expect anything good bed , not / will recommend hotel reason . 
 Mar 16 2006 	 Excellent Staff Waldorf 	 Excellent location central London , £ 10 cab Kings Cross , near Tube Station Covent Garden - Piccadilly Line Temple District & amp ; Circle Lines ( 5 - 7 minute walk ) . hotel look grand outside , little disappointing inside , foyer lack opulence grand exterior . check - in excellent , even though two hour early efficient receptionist we check room 5 minute . room good , clean smart , large flat panel tv ( 4 movie choose , good ) book deluxe room get extra 10sq meter extra space , seem consist big entranceway , bedroom bathroom discernably big , next time would probably take standard room . package include dinner first night breakfast day . dinner nice small choice guest & quot ; package deal & quot ; , learn checkout £ 50 allow dinner , would well tell check - in could use allowance normal big well choice menu . breakfast excellent everything include , hot cold , take full advantage will not need eat late afternoon ! room maid excellent , room clean immaculate whilst breakfast return later day turn bed . staff excellent , attentive intrusive . would certainly return would recommend Hotel . 
 Mar 16 2006 	 great location room small even UK 	 location hotel superb . literally next hot theatre show . visit , fame play next door producer half block away . hotel nice . door man open door nice touch . front desk clerk cool , professional . real smile greet kind person . room , though , tiny , even european standard . room 709 . there´s storage space drawer , minimalist design nice eye , impractical traveler . closet hanger that s . drawer . also , hotel could give one trashbin room . maid keep put desk , away center central location . room kettle free mineral water room fridge nice touch . roomy safe . room bathrobe slipper nice . husband really like towel . the bathroom problem . bathroom outlet dry hair bedroom . bathroom also could storage area put toiletry . another reason lack excellent scaffold outside window . blind thin , 8:30 shocked see man go lift scaffold . noisy still abit unnerving . also , wall thin . late use tv guess bit loud neighbor . ¨BANG¨ wall tell turn tv lower . for pay Hotwire guess great bargain . bus metro near , theatreland literally door step ! 
 Mar 15 2006 	 good well ... 	 hate say bit disappointed hotel . room small expect , view ugly rooftop heat / AC unit . electrical switch etc make one feel like manual need . that say place aweful .. be not . room clean ( save decorate pillow ugly mytery stain ) .. incredibly quiet .. bed comfortable . although bathroom look incredibly modern , frosted glass door nice touch ... soon realize uncomfortable fiance hear every last noise making , find wish nice heavy wood door ! staff nice , even though have not receive book online travel agent ( ugh ! ) still give we room suppose even though completely book without much hassle . we breakfast restaurant ... even though tell full english breakfast include , find buffet include full breakfast would cost we 22 pound ( almost $ 40 ) ! ! ! unfortunately think try another hotel next visit London . 
 Feb 27 2006 	 great ( get upgrade ) 	 Booked Hotwire rate ( $ 135 due Valentines night ) still good rate location night ! manage get upgrade deluxe room due Hilton Honors membership . room upgrade & amp ; 7th floor [ well floor 1 originally offer ! ] .room good view Southbank . bathroom large . hotel well locate evening central london . breakfast expensive [ gbp 50 + 2 ! ] valentine . however , would not risk without upgrade . 
 Feb 24 2006 	 good discount hotel 	 book hotel Hotwire ( discount internet ) . US , give nice room website 60 % time . certainly give we & quot ; nice & quot ; hotel room time London . think hotel recently remodel , look photo website hotel see lobby . believe hotel probably quite nice , room get . seem one entirely remodel yet . flat screen tv modern light fixture bedding , everything else still old London . carpet stains floor creeke . luggage stand dresser front desk say . furniture chip view scaffold street . ' m glad not stay right international flight , street work begin promptly 8:30am . bathroom bother . certainly need change . although clean , new bathroom see photo . old , bathtub , cumbersome design . not recommend internet business center , waste money . plus drop large suitcase take Eurostar Paris let we leave 4 day . arrive 1 pm , let we check - in request non - smoking ( confirm hand ) , check early evening . advantage hotel location . Covent Garden area step great theatre place eat . would certainly recommend staying area . close many tube station thing see . fairly cheap grocery store 1/2 block away . hard say room like , would stay book full price . lobby nice banquet area look quite nice . happy travel ! 
 Feb 13 2006 	 Comforable Room Good Location 	 bed comfortable room well appoint . hotel great location near theater . con : hot water never get luke - warm adjustable height shower head keep fall hold hand keep hit head . get room hotwire around $ 109 ( US ) . probably would not happy pay full price . 
 Feb 6 2006 	 great stay ! 	 love hotel ! stay two night break could stayed long . the staff friendly helpful room , although small , clean well equip . glass door bother many reviewer not bother we add design room . breakfast good hotel breakfast ever ! ! ! 
 Feb 2 2006 	 another hellish night Hilton 	 say never another Hilton , however , daughter 's birthday wnt London think reasonably price interconnect room , give go ! ! think twice rang four time prior turn check price go four time , call check interconnect room allocate confirm two double room accept . arrive actually give two twin interconnecting room , tell go dinner plan would sort return , arrive back give we another 2 room go 2 interconnect twin . sit 4 year old reception 9 pm 10.15pm tell room would give we 50 % total cost . go room curtain daughter 's room hanging would not black , show door would not shut flood bathroom air conditioning break room freezing . check try overcharge we tray fee car parking , ask hotel manager write apologise nightmare stay still wait 3 month later . another nightmare stay yet another sub standard hilton . 
 Jan 31 2006 	 Awful 	 stay week could not wait leave . first , give away room originally book stay . stay small room , move suite hardly big small room . heating not work , ceiling leak , impossible iron send within 15 minute . staff good apologizing , one ever manage get anything do reasonable amount time . absolutely dismal hotel give much cost per night . 
 Jan 23 2006 	 Excellent Hotel fantastic Location ! 	 5th stay Waldorf , 2nd review post . , experience Waldorf faultless . know expect never bad experience . however , refurbishment recently complete , noticed huge difference overall experience . hotel operation organise professional , contractor walk corridor staff welcome courteous ever . teethe problem , feel everything fit together . gold vip Honors member , upon check , whicked upstairs executive lounge , open recently . would expect lounge , hot , cold alcoholic drink hand , completely un - obstrusive staff . night , great place sit , unwind drink ( like sort thing ) ! executive room large , design well large open plan bathroom . Plasma tv work well bed ( would not ) decor mix contempory fabric modern vibrant colour ! lot people moan bathroom toilet door . frosted , nothing see door use bathroom . people concern privacy , guess book separate room ! personal taste , hotel £ 32million refurb , expect little touch modern . want traditional 5 * propert , stay Savoy Ritz ! location hotel fantastic , love Covent Gardern , place stay ! sum , love hotel , generous size room , superb food Homage Grand Salon Rest . professional , courteous staff . trust , read review experience . get pound spare , upgrade executive room , really worth ! 
 Jan 23 2006 	 great hotel poor service ! 	 stay hotel Mother Law weekend trip London see show . Hilton hhonor Gold Card holder consequently upgrade deluxe room . room lovely - cross modern traditional , recently refurbish clean . reasonable size , wonder big non - deluxe room would could not much small without feel small . the room flat - screen tv , black - out blind , duvet bed Molton Brown toiletry . bathroom frost glass door know cause concern reviewer , honestly could see anything not issue we . bathroom big modern , although shower powerful . the real criticism hotel service . check - in concierge service fantastic staff friendly efficient . problem bar restaurant staff . go Cocktail Bar venture evening meal , ask want table . look around could see table free indicate space bar say would sit . waiter nod proceeded watch move heavy bar stool gap could sit . moved tell could not sit space need waiter serve drink . leave go Champagne Bar instead , spare table . take ten minute acknowledge place order twice come . thing go bad bad next morning . Breakfast serve 10.30am turn restaurant 9.45am . girl restaurant door sort bill not even look arrive . wait good five minute eventually interrupt ask table . look bemuse we say table would wait bar . note room number point direction bar , apology fact would wait . eventually call restaurant wait thirty minute food fantastic - get inclusive rate definitely go , £ 22 head otherwise ! would go back , would allow time breakfast probably would not drink bar . 
 Jan 12 2006 	 opportunity miss 	 stay 2 night December wife 's birthday . ' m Hilton Honours Diamond member , use point get upgrade exec room lounge area . nicely sized room , badly lay furnishing work . modern plasma tv bed clash practically antique table chair uncomfortable . the glass bathroom door much malign previous review opaque could not see fuss . bathroom huge , space badly use . I staff unfaile friendly helpful would help room service food disappointment . as say fantastic location nothing really wrong hotel , could much well . 
 Jan 10 2006 	 LOVELY 	 stay Waldorf Hotel one night . find hotel welcome staff polite , room lovely surprise nicely decorate clean comfortable , bed lovely .. room huge everything need , bathroom adequate size . book afternoon tea little dissapointing . attene leisure centre ok change area quite cold . Overall Waldorf come highly reccomended would definately stay without afternoon tea . 
 Dec 25 2005 	 great location disappoint hotel 	 hotel great location walk tour London would recommend tourist . disappointing compare hotel visit city business , however . my room small considering price pay . room small light fixture middle room inevitably bump get bed , transiting desk bathroom , etc . mediocre dining facility . staff keep door open one freeze sit lobby morning wait car service . overprice broadband service . staff fail send fax timely . overall - satisfacory will not stay . 
 Dec 18 2005 	 great hotel badly manage 	 frequent guest Hilton hotel Europe USA company hotel chain choice . London , normally stay Park Lane Hilton , time , could get room . book Waldorf . arrival , find reservation name . reception clerk ask & quot ; sure hotel book . & quot ; bear mind rate pre pay rate £ 229 executive room Dinner bed breakfast , tell look credit card number , tell not keep card detail . obviously rubbish . end , get office e - mailt confrimation Hilton send 4 day previously . accept make reservation take payment . anyway , end accept downgrade Deluxe room , good , although chandali little odd ! ! charge £ 100 goodwill gesture . food Homage restaurant outstanding staff generally helpful . 
 Dec 13 2005 	 Glass bathroom door ! 	 stay hotel many time last year due 's central location . prefer hotel modern room think Waldorf take bit far . agree another reviewer - opaque bathroom door disconcert ! husband , one occasion stay executive room e floor not even bathroom wall . shower risky , anyone open door corridor passerby would rather shock ! ! also agree wardrobe space far small although light trendy dark read ( window room generally small blind cover ugly view ) . also light bathroom certainly good applying make up . having say still prefer hotel many other . foyer great chair sit watch world go . staff seem friendly helpful . Molton Brown toiletry actually worth use , chintz sight ! food restaurant pricey expect , although good . find rather stuffy felt clash rest hotel decor . 
 Dec 13 2005 	 heaven earth . 	 Hilton Honors member . use 120,000 point three night Nov 24 - 27 , 2005 . front desk clerk give away deluxe room club floor person rave another Trip advisor review hotel time . get stick fifth floor , # 515 , face noisy court yard , dresser live suitcase 3 night 4 day . bedroom area carpet several miss plank wood floor , always loose balance walk middle room . walk near edge room , nail stick carpeting . bathroom nice size Europe . front desk say room # 515 deluxe room . two different housekeeping supervisor say standard room . desk room clock . want use hairdryer desk draw unhook clock wall , socket work dryer . course batterie clock , set clock least day . room one tiny chair sit watch television drinking coffee wife sit desk chair . on arrival 10:30AM , find front desk lose message leave ( client ) third day , still able find , desk clerk say , maybe not person message leave for . & quot ; concierge desk give wrong bus number take Trafalgar Square go Tate Britain Museum . Hilton Honors give room 40,000 point breakfast . breakfast 22 pound extra per person . will think twice next time . return back New York , send email make several telephone call Hilton Honors office yield promise Manager would send letter offer letter apology . ask full credit 120,000 point back Hilton Honors account . still wait . my wife differ . say problem arise , say terrible stay Hilton . hotel run ad say spend 30 million pound ( $ 54,000,000 US ) would like know spend money . 
 Dec 4 2005 	 great stay especially Gold HHonors 	 stay three night t'give ' 05 . full english Breakfast include classy & quot ; Homage & quot ; dining room . room little hip circa 2001 -- odd chandelier , dark palette color . service , location , amenity ( high end soap , daily paper , turndown ) top - notch . executive floor ( 2 - 3 ) access brand - new lounge serve terrific tea scone , first class bar terrific coffee . blare tv classy quiet place unwind busy Covent Garden . also stay Hilton Olympia trip Waldorf league ahead . be cash Honors point , one . 
 Nov 23 2005 	 content visit Waldorf Hilton 	 visit London business trip Waldorf Hilton . staff courteous , elevator work , room neatly appoint . room flat screen television , modern decor , comfortable bed , shower stall , bathrobe , high - speed internet access ( fee ) . location convenient Convent Garden close many theatre spread throughout area . hotel also complimentary access adjacent fitness facility . although dine hotel , restaurant seem typical hotel restaurant - little pricey . would recommend Waldorf Hilton business traveler perhaps location , tourist . 
 oct 9 2005 	 not deserve much ... 	 overprice like 5 star hotel . not elevator refurbishment 6th floor . really nice dining room thing keep le meridien . decoration odd place building ... 
