great 	 travel world never stay hotel everyone sincerely nice , attentive , efficient , kind staff Hotel Chandler . room lovely comfortable people run hotel really know secret success make traveler feel comfortable cared . would never stay anywhere else positive experience . 
 first class hotel first class staff 	 wife , 2 friend stay Chandler 19/11/2009 23/11/2009 . time arrive time leave , staff friendly helpful , reception staff always hand help requirement , complete online check return flight . knowledgable New York , hand point we right direction helpful hint tip . hotel , quiet , sophisticiated feel , lack restaurant facility could see drawback , not stay New York eat hotel ! tidy little , welcoming , bar . location great turn leave walk hotel , 50 yard 5th Avenue , look right be stare Empire State . say be near perfect position explore midtown downtonw , place . room spacious plenty wardrobe space , nicely sized bathroom great walk shower . hot room , air conditioning hand , strike we odd warm November , weather whilst New York absolutely perfect , ' m sure whether Chandler take credit , want will let ! ! ! highly recommend will stay . 
 good location great room 	 eleventh visit New York first Chandler . stay many hotel city include big chain Novotel , Radisson well independent boutique . Chandler four star independent simply BEST hotel use New York . three minute walk Empire State Building Macy 's , close mid - town Manhattan pretty quiet location . room tenth floor immaculate really modern . bathroom new , contemporary spotless . bath big glass double shower cubicle . room not huge big enough plenty storage . good sized wall mount LCD tv good quality i - pod docking station . one breakfast free charge ok , usual thing - juice , cereal , bread , pastry etc . hotel provide free tea coffee make facility foyer day nice touch . we choose take breakfast morning deli around corner Park Avenue rather pay hotel price . find front desk staff really helpful , courteous polite . book request double room , non - smoking high floor exactly get upgrade without even ask pay . find hotel quiet , relax great condition throughout . genuinely feel good hotel use New York first choice ( inevitably ) return 2010 . HIGHLY RECOMMENDED.Dave Jacqui . 
 Oct 25 2006 	 great NY Value . 	 NYC know expensive , small room . hotel exception room - size , get half cost hotel Manhattan . it truly boutique - style hotel comfortable ( although tiny ) room excellent bathroom ! bed really comfortable . hotel good shower hotel ever stay . room look roof , expect NY , beach - front ? room extremely quiet night , hear someone leave room . never hear anyone hall talk make noise , typical hotel . ' ve read review people complain garbage truck noise street , expect ? stay USA 's large city , bodunk , North Dakota . great location , within walk distance several subway stop Empire State Building Grand Central Station . prefer take taxi , see doorman run 31st 5th catch taxi bring back front hotel ( many taxi come 31st ) .The breakfast buffet ( actually prepared egg bacon order ) expensive standard city ( $ 18 ) , comparable place eat breakfast ny.negative : * carpet need clean . mom 's bedroom slipper turn black walk carpet room . * hotel need install least one ice maker somewhere hotel . * hotel staff store linen cart enclose stairwell landing , , already small stairwell , seem really unsafe . * plug computer little pain reach desk plug . need one lamp plugs lamp like many hotel . * staff restaurant attentive . 
 Oct 24 2006 	 reasonable price pleasant stay 	 would stay New York minute . pleasantly surprised stay Hotel Chandler . usually stay Waldorf Astoria make prior resevation , get Manhattan Walforf book start search . go 8 hotel book . never hear hotel , location great . 31st street 5th avenue . get last room available little $ 300 nite . seem little small , think oversize furniture . clean , nice toiletry ( even robe room ) comfortable . door man helpful curtious front desk efficient . even valet service $ 35 day . con ask additional towel ( 2 bath towel room ) want know many people room , within hour send . not eat hotel block 5th ave . Brooklyn Bagel get breakfast pastry coffee $ 2.00 . 
 Oct 24 2006 	 Fair Value 	 Hotel Chandler provide fair value money : -very helpful , positive staffclean , comfortable roomgood locationwould like little storage space room . 
 Oct 23 2006 	 promise Hotel could go poor management 	 Hotel Chandler potential average rating ; however , get surprised poor management time problem need solve . I call guest service ask could tell person vacuuming stop try get sleep last Sunday morning Hotel Chandler . housekeeper loud even hear discussion reason stop tell vacuum . half hour later almost fall sleep , housekeeper knock door say : housekeeping need check ! end decide take shower get ready leave hear pound construction outside room . we go guest service check tell front desk employee happen . laugh tell we could go Yahoo write comment manager will not listen . surprised answer demand talk manager duty . talk Erika give we excuse ! oh ! & quot ; white stuff & quot ; floorOh ! housekeeper & quot ; language barrier & quot ; oh ! owner want construction finish ASAP 's people work Sunday morning . end apologize want give we upgrade not accept . give we $ 40 pay taxi . rate little bit . competitive industry sure could find another hotel offer service know treat guest well manner . besides incident service great . room little bit small . good location . 
 Oct 17 2006 	 dishonest truly mediocre 	 will short move onto well subject ... 1 . hotel far luxurious will surprise every turn , expect little large price . exaggerated website will wish honesty advertising.2 . price book inflate $ 45 night explanation , apology , recourse.3 . front desk staff time rude good apathetic.4 . room look back alley dump area $ 325 night.5 . hear quite lot neighbour room fight hallway 4 am.6 . linen lovely soap nice little sad area compliment . in end fantastic time Mom NY , would never , ever stay mediocre , amateur hotel . learn lesson would suggest go another mid - range hotel , get confirmation room rate writing . I look forward see hotel change ownership ny pretty competitive Hotel Chandler cut . 
 Oct 3 2006 	 Great Boutique Hotel 	 Chandler Hotel quaint charm , expect boutique hotel . room small , clean well maintain . bathroom amenitie Aveda , nice see high quality toiletry . rainforest shower nice element . staff extremely helpful ( front desk bell man ) . turndown service really make feel attend . hotel locate midtown , close many attraction neighborhood ; Empire State Building 5 minute walk 5th avenue , shop til drop . New York library MoMa 10 20 minute walk , respectively . would definitely stay . 
 Sep 29 2006 	 close 5th Ave - friendly staff 	 read comment Chandler , good good . decide chance could not happy . staff friendly helpful . comment small room make book big room fine . the hotel close 5th Ave Empire State Building . walk Times Square . ever come back New York would stay Chandler . 
 Sep 13 2006 	 little bit luxury NYC . 	 first time visitor NYC , sure expect Manhattan hotel . Hotel Chandler immediately put ease - arrive hotel check friendly helpful staff also get upgrade big room . hotel reception quiet retreat hustle bustle outside . room third floor front - bit noisy first preferred view onto street , double layer blind window noise night noticable . room immaculately clean expect , small luxurious bathroom everything need - rain shower Aveda product add little extra touch . location wise feel suited need could easily walk uptown towards Central Park downtown towards SoHo etc , lovely restaurant along Madison Av Park Av block away . the staff Hotel Chandler helpful without overbear . definitely stay already recommend hotel friend . 
 Sep 10 2006 	 lovely little hotel 's detail 	 boyfriend stay Chandler five night begin september . choose hotel base location , tripadvisor review nice picture website . 's centrally locate block away empire state within walk distance part city . east 31st street might win prize charming street town , be quiet safe . we give room second floor arrive , ask room high light sleeper ( be bar first floor ) , ask another . give one seventh floor without question attitude , nice . room decent size tastefully decorate , look like picture , rarity hotel . bathroom small , lack nothing thoroughly enjoy plush frette bathrobe , complimentary aveda product ' rain'-shower . aircondition effective could control . love bed comforter instead sheet ( scandinavians ) , bed hard comfortable . tv lot channel , include hbo , hotel entertainment system movie demand dvd - library , well playstation . impress we little detail help make stay comfortable . complimentary New York Times outside door morning , turndown service afternoon , chocolate pillow little card tomorrow weather temperature . cute ! staff doormen helpful friendly room public area spotlessly clean . need store luggage last day free charge problem . negative remark breakfast expensive ( spend less money well breakfast elsewhere instead ) , bed really hard , feel like not spring window face back alley not much look . need little weather card , way tell weather base look outside . lighting room also little dim . insignificant , though ; love stay would definitely recommend hotel ! 
 Sep 5 2006 	 Cute Hotel Great Location 	 Hotel Chandler cute , quaint hotel middle city . ask non - smoking receive one stay great . room / bathroom small side clean , nicely decorate quiet . hotel great location easy access everything . great place stay want escape touristy upper mid - town . 
 Jul 13 2006 	 Upmarket Hotel Chandler 	 stay Hotel Chandler July 8 July 12 . although 3.5 star hotel , elegant expect . small hotel plenty charm character . originally build hotel 1909 think . room actually large expect , room desk closet include iron iron board hairdryer not call Housekeeping . lovely wind staircase hotel lot personality . even comedy night Thursday miss sound fun . the staff pleasant helpful bed wonderfully comfy . aveda product great . shower powerful may need shower cap not want get hair wet ! small efficient bathroom . noise hear toilet occasionally flush room behind us - turbo charge . notice noise except continual construction locally window open - rebuilding everywhere . room temperature comfortable AC effective . ask ice bring nowhere get floor . try sauna bite disappointing . even pre - heated 10 minute not make hot lukewarm . timer give . good little gym totally empty . we walk everywhere - Chinatown Central Park not rely subway . fabulous location feel safe . often walk back dinner go 11:00 p.m. find neat little India last evening around Lexington 29th last dinner there . I would love stay Chandler would give full 4 star rating . sweet little hotel . everything like brochure website . not feel anonymous like huge hotel . 
 Jul 10 2006 	 great find 	 stay hotel June 5 night . desk staff great , room small clean , wow , bathroom outstanding - large walk - in double shower - really modern . Turndown service night great service , include chocolate ! location one good feature hotel - around corner empire state . take right hotel 1st right - great deli breakfast 200yds right - service excellent . 
 Jul 5 2006 	 Great Hotel ! ! ! Great Price ! ! ! ! 	 say ? ? great hotel great area , ( right near Empire State building , Macy 's ) . first class way ! arrive really early 8am request store luggage 3pm check . even well give we room immediately ! ! ! view 9th floor exactly describe room description . front desk , porter great right cleaning staff . downfall renovation outside build right around block homeless people sleep near corner street ( near hotel entrance ) . hear noise people bother you . I would highly recommend hotel everyone would certainly stay . 
 Jun 30 2006 	 Okay 	 stay Chandler Hotel week June . location 3 block near subway , 2 block Empire State Building , souvenir shop , etc . get Times Square , touristy spot , would need take subway . Herald Square ( huge Macy 's shop ) within walking distance . 's strip korean restaraunt nearby well . positive : comforter , comfortable clean bed . Bathroom modern , clean , stylish . housekeep good job refreshing room day . clean room . negative : many NY hotel , room small cramp . light dim room ( enough lighting ) .Not many amenity hotel . no restaraunt site ( room service ) . hotel remodel restaraunt remodeling do . Bathroom not much countertop space . if be stay room front building overlook 31st street , expect hear garbage truck midnight homeless people make noise different time night . big deal be heavy sleeper . no real significant complaint hotel . negative not big deal . overall , positive experience . 
 Jun 24 2006 	 Brutal Hotel 	 overprice , overrated hotel ' ve stay year . travel NYC business , hotel . cramp space , dimly light room , loud street ( unless enjoy 12:30am garbage pick - up outside window ) . hotel claim offer room service , be really single sheet paper couple sandwich salad choose . know , be suppose get experiance Manhattan , ' ve get work , not count room service dining option . lastly , staff . cheery bunch folk world . ask doorman hail cab will look like ' ve ask donate organ . many well option stay city . hotel perfect , ' ve seldom see one thing right one . 
 Jun 5 2006 	 look forward return Chandler 	 Chandler excellent Manhattan location . staff friendly helpful . room fairly small unusual Manhattan iIt everything could wish - besides . bathroom quite big , clean good toiletry . everything clean well look , bed linen excellent quality . my slight complaint offer full breakfast menu . , like , want coffee , fruit juice pastry , go outside - pay full price . however many coffee shop , deli etc area big problem . understand go open restaurant - thing may change . overall would recommend without hesitation would love stay . 
 May 10 2006 	 great ny find ! 	 true boutique hotel -- bit like really nice european hotel , albeit twice price . plus side -- really clean , amentie top - notch staff unusually helpful friendly . not feel New York ; really seem want help out - of - town traveler . location excellent -- right center town , relatively quiet side street . spend little time hotel , return night , get great night 's sleep enjoy excellent shower . well prepare next day . ( oh , computer addict , free internet service also nice plus . free NY Times , infinitely helpful get around NY USA Today ! ) side ( much outweigh plusse ) -- room , american standard , TINY . really european - style hotel . $ 15 breakfast bit much , esp . consider place could eat right outside door ( , one force buy . ) Anyplace NY , would feel really overprice $ 200 night , NY , find central location , clean , well - run helpful staff price find . we definitely stay . bottom line not think get well value midtown Manhattan , feel like stay nice place . 
 May 5 2006 	 quite lot bang buck 	 overall , experience Hotel Chandler positive one . ( pay $ 175 / night special promotional rate . ) staff , across board , incredibly helpful polite . initially check regular room shower bathroom . ( beautiful bathroom , way , sparkle clean , gorgeous tile , Aveda product bath robe guest use . ) switch small room tub , ' m big bath - taker . our second room much small tile around bath tub look like either need regroute clean . plus , not kind tub could lie back -- be get hope good soak tub rate & lt ; $ 200 / night . retrospect , space lose get big bathroom not worth switch . husband bruise shin hit platform bed closet door actually touch edge bed open . that say , room clean good condition . bed quite comfortable . hotel offer free DSL room ( wireless , via cable ) , nice touch . plus , location fantastic , walk distance plenty great restaurant shop easy access subway . our one chief complaint situate 10th floor , far could assess , seem house suite room use employee ' break area . something . door leave open many time clear glimpse appear ratty kitchen living room people cook food . strange ! not employee lounge bother we -- noise come . staff would talk really loudly -- housekeeping staff seem habit yell working room . wall hotel thin husband awake several time housekeeping ( morning ) guest come late night floor . sleep ear plugs , admit not bother sleep . and american nit - pick hotel not ice machine , think strange . pain condition require ice pack night , general , staff willing give we ice go downstairs ask . limit experience New York hotel , would say get quite bang buck Hotel Chandler . 
 Apr 21 2006 	 Loved Hotel Chandler 	 pleasant surprise . ny , steal nice boutique hotel good location . decor chic bed comfortable . offer nice extra , include high - end toiletry . slight back - up check - in bunch people arrive time . small front desk seemingly small staff crunch , great experience . return . 
 Mar 17 2006 	 well expect ! 	 must say review prepare underwhelmed Hotel Chandler great little place NYC . note , emphasis little . room TINY ( guess 200 square foot max ) . room service breakfast although life not know - can not imagine would sit eat . ( tiny desk , one chair room ) . closet small wardrobe hold 5 hanger space small suitcase . bathroom also tiny shower AWESOME . great overhead showerhead . nice lobby nice staff well . I would not plan come week night two lightly - pack single couple would enjoy . 
 Jan 20 2006 	 home away home 	 get back New York husband must say be pleased hotel . want stay hotel front desk staff attentive , friendly efficient -- check - in check treat kindness respect Hotel Chandler ! ultimate convenience - business center , free internet , nice workout room sauna fantastic location actually walk interesting place . rate reasonable neighborhood expensive hotel . many year look , happy finally home away home LALA land Hotel Chandler ! ! thank tripadvisor point perfect place ! 
 Jan 8 2006 	 good location 	 good location room soo small hardley room move around . really disappoint small room trip luggage . location great empire state building right around corner . breakfast bit pricey choose go many little delicatesen close meet great traveler like we . staff helpful pleasant especially doormen nice helpful fella . probabley would stay . 
 Jan 5 2006 	 pleasantly surprised 	 visit new york january 2005 shock another hotel 's quality , expect bad Hotel Chandler book . surprise , little gem hotel locate excellently . clean modern , lovely well equip bathroom good sized room new york standard . service brilliant staff charm ever ready help . definite must return , Hotel Chandler prove delightful stay - even come someone always find need change hotel room like - first time boyfriend feel need change room feel unimpressed service value money . highly recommend . 
 Dec 27 2005 	 great value great location 	 get hotel $ 125 night , bit worried give bad rating website . say hotel excellent value $ 125 night : tasteful ( small -- New York , ) room , nice bedding , free high - speed internet , great shower , nicely - do coffee / tea area available day . great value , great location : short walk Penn Station , short walk Lexington Ave subway . would definitely recommend . I find rating & quot ; terrible & quot ; baffle . 
 Nov 29 2005 	 never ! ! ! 	 return New York feel must write opinion hotel choose great review - mistake turn be . the great thing hotel location . rest leave lot desire . room small , gym even small sauna joke facility change shower . the buffet breakfast room disappointment ; plate cover remove ( ! ) expect help food . odd way present buffet - certainly see anything like elsewhere world . the room properly clean - far bin empty . the glass use drink 2nd night still leave shelf 3 day later mention one thing poor house keeping . apart heating work one room move room ; another inconvenience ... accept management leave letter room inform room service available Thanksgiving hotel could get hold someone attend problem heating holiday , accept accept rude staff . staff - especially socalled manager duty Ericka - far helpful . particular rude ! ! ! one one star remove hotel rate lower considerably . never ! ! ! 
 Nov 20 2005 	 fantastic trip NYC Hotel Chandler 	 great location , friendly extremely helpful staff . great breakfast every morning start day . recommend hotel friend work colleague . hope return NYC next year , would definitely choose hotel . Doormen helpful friendly , especially Richard ! 
 Nov 10 2005 	 Great Place stay new York 	 return short trip New York . second visit choose area . stay Wolcott along street three year ago want experience something new . the hotel great , staff helpful friendly . not frighten ask anything . sister twin room . the bed comfortable love lounge bath robe sip wine . love shower aveda product . the surround area fine , yes building work , turn corner every morning see Empire State building magical . block Time square , joy walk street soak atmosphere . even manage get run . not understand negative comment ... end , want somewhere clean friendly sleep . take walk boot enjoy .... return would stay . 
 Oct 12 2005 	 perfectly satisifie 	 schedule Chandler 2 week training new employee take job US Postal Service . nature trip , opinion would whole thing & quot ; suck & quot ; . also figure someone Postal Service arrange , would disappointment . however , completely pleased accomodation , ( would course enjoy room ) room clean , neat , bed comfortable , tv shower work unwanted & quot ; critter & quot ; run around . my wife come several day agree staff polite , friendly ready serve you . the dislike buy water , everywhere NY.My policy lodging anywhere DSTSS ( not sweat small stuff ) . odd home clean hotel room ( least mine not ) . anything help happen bad day , maybe one also . give benefit doubt .......... 
 Oct 4 2005 	 Hotel Chandler fine ! bad review silly . 	 book one - night stay Hotel Chandler hotel , base solely price . read review , prepare something average , entirely pleased stay . negative review - often travel site - almost 100 % result traveler plan ahead inform destination . course window going look alley , be NYC . COURSE hotel not go refund money becuase book wrong date not show stay . , not see one single roach not smell anything unpleasant . compare terrible hotel ' ve stay city high price , place gem . decent cost , clean pleasing interior , good location friendly staff . say valet car , sure call well advance need - 30 minute - apparantly park car quite way away wait long time . Hotel Chandler absolutely acceptable NYC hotel - small room , clean , lovely bathroom , concierge valet service not get hotel price range . scared review traveler irrational expectation . 
 Aug 18 2005 	 pleasantly surprised 	 reading comment hotel & quot ; ok & quot ; & quot ; decent stay & quot ; , must admit arrive little hesitant . turn pleasantly surprised . arrive 2:30am ( thank stormy weather ) front desk attendant polite actually pleasant . room quite lovely Aveda product , Frette sheet , duvet robe spa quality . shower rain shower bathroom . comfortable size room nicely decorate . staff polite every way , cordial extremely helpful . travel Manhattan business frequently ' m pleased find Hotel Chandler . 
 Jul 17 2005 	 okay stay 	 stay two night business trip recently . find location convenient go -- block -- business , plus two block Empire State Building , purchase ticket see internet . would not describe surround area & quot ; ghetto & quot ; mean , one reviewer say . certainly not really tony area city always feel secure safe travel alone . add stay & quot ; & quot ; dark , return Greenwich Village one night around 8:00 p.m . room modern showing sign wear tear , like run berber carpet break room - darken blind . frette linen well , like Aveda product tile bathroom cushy bathrobe . big complaint view close area air conditioner vent brick wall , debris scatter . result keep blind close ! room clean enough turndown service . order room service dinner first night food fairly good . surprised mini - bar price seem pretty reasonable . $ 15 breakfast okay . self - service buffet cereal , fruit , bagel , croissant , could order two egg toast . pretty pricey get , convenient passable expense account . as staff , find one waiter friendly attentive . say , next time would probably choose another hotel uptown , especially since would concerned get one locate close business destination . 
 Jul 13 2005 	 low quality outrageous charge 	 bad location : ghetto - like area , run far shop areasvery small roomsunprofessional staffoutrageous phone rate ( receive 400 $ phone bill less 40 ' conversation ) avoid hotel . 
 Jun 21 2005 	 good potential ; cheese - out management 	 second stay . ( stay previous name , Le Marquis -- management ) .The hotel property not bad . room modern enough , average size NYC room . Decor try hip , really contemporary . provide free high - speed ( wire ) access room , & quot ; direct - dial & quot ; inward phone number room . normal contemporary hotel stuff hotel NYC want average . so not management , would rate hotel average . stay , management bafflingly cheesy . example : - come back hotel 's bar one tuesday evening , walk 55th & amp ; 7th ( let us call 25 block ) , jog part way , ask glass water . night manager ( ? ? - big blond hair , too - heavy / too - dark eye makeup , russian - sound accent ) sit bartender tell could buy sparkle water ( implying & quot ; & quot ; ) . say ' m sure could get tap water bar . bartender hesitate , look lead woman ( manager ) , say want tap water could get room , buy sparkle water bar . geez ! * plan * order drink re - hydrated . stupid . happy leave cheesy manager nickle - dime next patron sell couple dollar seltzer hose -- me.- check hotel , first thing check sheet . time , find stiff patch sheet would swear iron - in & quot ; post - lovemaking & quot ; fluid . can not swear imperfection , ' m baffle else might , not pretty . staff 's credit , send somebody change sheet fairly promptly . without staff make little fun thought & quot ; stain & quot ; . frankly , though sheet bug , would really fault cleaner , hotel . attitude * staff * chortle thought problem amazingly cheesy response . let * * decide want sleep give set sheet , please . not customer always right ? - a / c room darndest , 's cold setting , * might * keep room 75 . bad give evening basically cool . would not want room temp soar . I will give one big positive kudo . leave house , leave sport jacket behind . morning desk manager loan one coat use & quot ; uniform & quot ; coat desk staff . ( actually look lot like coat planning bringing ! ) generous gesture , well appreciated . so like say : * could * standout hotel -- management not proud property overlook flawed management . unfortunately , despite good location reasonable price , next time will stay Roger Williams 1/2 block street , well manage ( despite little advantage Chandler . ) way -- * * stay Chandler , be take train Penn Station ( e.g . DC , Boston , etc . ) , Chandler brief walk 31st train station . 10 minute , save cab ride , walk short distance . enjoy city . 
 Jun 17 2005 	 Nice New York hotel good location 	 wife stay Hotel Chandler , 3 day begin June 2005.after read review Hotel TripAdvisor , bite anxious upon arrival . book room Chandler Hotel Norwegian Travel Agency . could offer De Luxe room , Superior room . one month upon arrival , contact hotel directly , ask could pay upgrade De Luxe room . manager ask take question upon arrival . , tell we De Luxe room allready occupy . fortunately offer lager superior room , without extras pay . get corner room 9th . floor . nice , fresh clean , size room guite right . we satisfy stay Chandler Hotel . also find Hotel 's location great . we see cockroach ! E.J.O.Norway 
 May 24 2005 	 Grease vent affect back room 	 Nice hotel , friedly staff , even upgre large room , 10 pm could not smell something like greasy exhaust , look window many kitchen vent ... explain odor ... hotel price always go NYC , good hotel price . .... grease smell bed ... not happy . 
 Apr 1 2005 	 Waiting Deposit Back 	 hotel decent hotel , small room , nice enough appointment . however , feel cheat ... last August make reservation Dec 15 , company Xmas party . person take reservation make Sept 15 ( ) , take credit card deposit hotel charge ... surprise ... not show Sept 15 reservation . course , clerk hear Sept 15 ... even , management steadfastly refuse ignore every request seriously consider refund Sept charge , pay attention credit card bill month . course , room we arrive Dec. 15 ... luckily not full ... Chandler proceed charge new night well . , refund inquiry management . well ... $ 250 big deal scheme thing , principle ... will not stay accept responsibility error . may right ... know say make reservation ? ... cost poorly service customer forever ( room available NYC ! ) . live learn . timely check credit card charge ! ! 
 Feb 14 2005 	 check around check Chandler 	 partner recently stay hotel Valentine 's weekend . last minute decision go NYC , could not picky stay much spend ; however , want little conservative short trip . excite reservation agent quote decent price NY even offer upgrade delightful conversation . unfortunately , arrive hotel front desk clerk say record upgrade rude express disappointment . room small , NY not surprise . clean complaint bed squeaky ( feel bit bad neighbor ) . lobby bar plain , hotel great location . , alas , big deal definitely stay somewhere else next time . 
 Jan 30 2005 	 good hotel clean tidy 	 wife brilliant time Le Marquis ( Hotel Chandler ) . room quite small expect New York . brilliantly place get around city subway 5 min walk away . breakfast good although would not pay not free package holiday , think $ 15 british tourist would expect banquette case , like say free trip . back hotel small bar snack room service available day restaurant hotel either New York ! ! ! ! ! ! nice italian front door take right onto Madison Avenue not go first one take away pizza next one think call Meli Melo nice lovely meal $ 100 . staff hotel mostly foreign understand English well ( uncommon New York ) door man ( young one ) funny . great base holiday New York long clean bed make spend day room ! ! ! ! ! would stay go try plush hotel next time . 
 Jan 24 2005 	 nothing breathtaking 	 well , hotel look nice reality look picture . except get back room view opposite wall filthy backyard . the staff reasonably friendly room look clean . the cockroach not mind though . anyway . 
 Dec 5 2004 	 definitely stay 	 stay Le Marquis ( ) 3 night June 04 , definitely stay next trip NYC , although may well splurge large room next time . thing like : - really friendly helpful staff , well ever experience many . many visit NYC ; - gorgeous bathoom superb shower , towel , robe Aveda toiletry ; - comfortable bed delightful sheet ; - efficient A / c ; - room surprisingly quiet - hey , visit Manhattan pastoral view ? ! - free Net access lobby bonus , pleasant bar area . - free coffee morning , plus newspaper : nice little touch . - sign cockroach ! - arrive 3 hour & quot ; official & quot ; check permit use room , fully make bar towel , arrive hour later ; - good location dedicate shopper , several coffee shop within easy walk breakfast . thank reviewer recommend sushi place across street ( entrance actually street high ) - fantastic . thing not like : - & quot ; basic & quot ; room small , fine one person , less fine couple someone lot luggage . 
 Oct 22 2004 	 good news : cockroach 	 hard hotel review . not really anything wrong , not find anything would make want go back , much well option right around corner . hotel try hard hip , seem miss detail . music lobby overpowering not know staff stand day . reception efficient get attention one three people stand behind desk look self important . bar cave , host someone think read newspaper important help actual customer , told & quot ; hurry & quot ; 11:15 since close midnight ! room actually bite large expect free ISDN welcome . tiny bathroom seem deliberately lay make impossible put thing anywhere without fall floor , towel rack fall wall . puzzle thing manage put shower control behind overhead shower . way turn shower adjust temperature without stand shower head . think ! call ask bathtowel , miss room , arrive quickly . later , someone come leave bathrobe . point not need since wearing , leave another one anyway . strange . room quiet , since rear hotel not hear corridor noise . bug . bad place stay can not give bad review , think price will go back Kitano next time . 
 Oct 19 2004 	 ghetto long shot ! 	 disagree reviewer claim neighborhood & quot ; ghetto . & quot ; think location ideal -- short cheap cab ride uptown downtown , easy access La Guardia , away Times Square madness ( be plus ) . 's tourist mecca , real NYC neighborhood . room tiny comfortable , excellent bed . 
 Oct 8 2004 	 4AM surprise 	 return room early hour morning fun night East Village . turn bathroom light find alone ! cockroach . ' bother see bad ny . @ $ 200 + per night , ' expect share room . point plan use hotel . kindly mention Management checking get nothing smile " look " ( give sort compensation like free night .. 20 % discount .. etc .. take note Marquis ) . good bed , I - net hook room , convenient location etc … , ' like critter , try somewhere else next time . sorry Marquis , understand bug expensive hotel room ' go well together . 
 Sep 28 2004 	 nice hotel first ... 	 ... cockroach ! miss read review book five night stay last week Le Marquis . four day everything seem good , even good : hotel Lobby look great , hotel room look clean . check - in quick . New York almost sell day , price good compare place . ok , room really small , probably small comfortable two , ok . nice looking , include bathroom . breakfeast hotel choice , complementary coffee complimentary New York Times pickup breakfeast near neighborhood ok ! also WiFi coverage free room , certainly plan reliable service . so really enjoy first four day stay . hotel near Empire State Building , 10 minute walk Penn Grand Central , 15 - 20 Times Square . last evening first cockroach appear . small one , battle ! find additional one dead near a / c - might come room dirty outside backyard . ask roomchange even complain , tired rise bloodpressure . next day check personal beloning carefully blind passenger leave good feeling . without beast , would definetly recommend hotel everyone . choice . 
 Sep 27 2004 	 terrible deceptive hotel 	 fool hotel . name make confuse travel thinking hotel , least equivalent standard Marriott Marquis Times Square . hotel could even begin compare real Marriott Marquis . 's terrible location , sense surround street quite & quot ; ghetto & quot ; , one would feel safe walk hotel late night . hotel small feel one star hotel England . room terrible old - fashioned , literally open door , look around , march right back front desk , check move Marriott Marquis , despite $ 250 loss suffer . front desk staff seem young inexperienced , offer make help luggage . truly rubbish hotel , consider be fussy stay , not mind meager accomodation . Le Marquis remniscent hotel London , sense be over - price shoddy , poor location . stay expect sort class hotel . 
 Sep 15 2004 	 would recommend . 	 spend three night Hotel Le Marquis late August 2004 . read reviews site , pretty sure hotel good one , right . impressed moment walk lobby . doorman desk clerk professional , friendly , welcoming . lobby clean , bright , tastefully decorate . check room minute . the & quot ; Superior & quot ; room second floor view , nice part could use stair ( hate wait elevator ) . clean , well maintain , decor splendid . room bit small , fine one two people . I particularly like bed , far away comfortable would ever sleep hotel , bed linen good quality ... soft cool . pillow good , , plenty they . I would like bathtub soak long day walk around Manhattan , rainfall - type shower refreshing , water pressure good . bathroom keep spotlessly clean . room quiet air conditioner work well . nice big , soft robe slip , Aveda toiletrie nice touch . there small safe room , comfort . iron board iron get , bring minute ask . would ' ve like coffee maker room , not big deal , since several coffee shop within easy walk distance . the tv lounge lobby pleasant place relax , nice computer internet access . also enjoy able borrow complimentary dvd play room . use in - room , $ 10 - per - day , internet service one day , slow unreliable , use computer lounge . the hotel bar intimate , comfortable , tastefully decorate , quiet , well stock , well tend , ( New York ) reasonably price . pleasant place drink chat local fellow guest . I get plenty exercise walk around city play tourist , not feel need use hotel 's exercise facility . therefore , comment . avail hotel 's $ 15 breakfast buffet , since plenty place within easy walk distance could get reasonably price breakfast . the hotel 's location great . be nice part town ( Murray Hill ) , near lot restaurant , coffee shop , shopping kind . 's easy ten - minute walk Penn Station , around corner Empire State Building . be fairly close Times Square theater . be also far enough 5th avenue reasonably quiet . about complaint not bring clean drinking glass clean room every day . ' m sure have bother call ask , have bring , be something not think ask . big deal , though . this nice hotel , particularly money . lot extra touch would expect expensive place . get Superior room Expedia.com $ 150 per night . I would definitely recommend hotel anyone . pleasant stay complaint . be particularly nice be come city train , since 's short walk Penn Station . however , plan spend lot time museum ( Guggenheim , Frick , MMA , Nat . Sci . , etc . ) , might want stay far uptown , unless like walk . 
 Sep 7 2004 	 small fine room bad gym 	 room nicely appoint , bit small . fine NYC . complaint fitness center -- bike bad repair pedal barely turn . report problem guy front desk seem go motion listen . 
 Aug 30 2004 	 nice boutique hotel 	 stay three night 2003 . really like hotel would reccommend people visit NY want really good central location noise . hotel 1 block empire state building side street slightly dark dodgy look actuall fine littlt noise traffic . walk tourist attraction except battery park Statute Liberty ferry ( take cab midtown ) .I not breakfast include internet booking rate one gripe . the room small - perhaps one small stay ( deluxe ! ) overall would say downside blance elsewhere . bathroom FANTASTIC - huge walkin shower could proably fit 10 people fabulous blue white mosaic tile floor ceiling . good air conditioning summer month . tv / DVD / internet port etc . nice turndown service . I would stay . 
