overall 	 usually stay Monaco street , could not get room Saturday night . , book great deal Burnham . room cute , although really small ( NYC apartment , be say something ) . fine night , although would not suited we dog one day . , everything fine . service good , helpful accomodating . 
 Burnham kind hotel ; Chicago kind town . 	 delight stay Hotel Burnham . stay perfect check departure . Tracy Sara front desk , reggie door , Christine restaurant , go beyond make stay warm pleasant . dog Jack treat like royal pup , every effort make staff make stay good could . sleep like baby comfortable bed . room hotel spotlessly clean . restaurant food delicous not forget WINE TIME every evening lobby . perfect . can not wait get back new furniture place room . 
 Excellent stay historic landmark ! 	 stay Burnham 3 night September 2009 . hotel Priceline lucky Burnham . hotel great : incredible staff , central location , amazing building . Kimpton Group obviously great job restore historic landmark ! room small average , nicely decorate add boutique atmosphere . room top floor , overlook Chicago Theater , quite view . we dinner Atwood Café , lovely . Chicago 's major attraction within walking distance ( El , Chicago River , magnificent mile , ... ) . attraction , public transport even block away ( red blue line , course , El ) . blue line direct line O'Hare , order cab get airport . this hotel great experience . would love stay . 
 Jul 12 2005 	 exquisite experience 	 Hotel Burnham pleasant experience : historic surrounding , helpful professional staff front desk housekeeping , comfortable come & quot ; home & quot ; day sightseeing . hotel highly recommend family 's hotel choice Chicago . ( guest hotel July 3 - July 10 , 2005 . ) 
 Jun 30 2005 	 live Reviews 	 charming hotel quite expensive . $ 300 per night taxesand w/o breakfast . lobby small . room decent size . bathroom good . locate one block west Michigan Avenue several block Wacker . be across Marshall Field 's flagship store . good spot Art Institute theatre . inconvenient N. Michigan shopping . 
 Jun 4 2005 	 Fantastic Hotel ! ! ! 	 wife another couple stay wondeful hotel late May 2005 . beautiful building fully restore . room amazing . staff could not nicer . constantly smile offering help every detail . location also great . highly recommend Hotel anyone . 
 Jun 2 2005 	 Heaven ! ! ! 	 stay May 22 3 day . Ariella , concierge , incredible . know everything Chicago surround area . three day try help get ticket & quot ; Wicked & quot ; play . finally get one , husband could not find , lend money pay ticket . whole staff incredable , include Allen manager , James .the guest service person . know name use whenever see . hotel absolutly beautiful . room wonderful clean . restaurant surperb . 's old State Street area , close Theaters . play lover , suit fine . want treat like Star , must stay Burnham ! 
 Jun 1 2005 	 Beautiful Hotel Great Service 	 stay Hotel Burnham May , 2005 find nice experience . hotel really beautiful -- mosaic tile elevator lobby gorgeous , lobby attractive , Atwood Cafe practically work art . hotel room quite small ( agree reviewer state ) uniquely do . room seem immaculate ( ' m pretty particular ) bathroom simply spotless . aveda product supply nice treat ordinary . great view 9th floor right State Street , cool ( never seem get view room stay hotel , time ) . nice chaise lounge relax enjoy view , ! staff friendly warmly welcome dog hotel . check easy ( book via online service little nervous would work -- turn fine ) . negative -- relatively slight Burnham 's control : book King Bed room maintain king - sized bed small ' ve ever see . think actually queen not challenge . carpet room look warn bit stained . fairly light color , seem mistake hotel room -- see well day . replace . go bed skirt -- could use replacement . as mention , dog us trip . hotel wonderfully accommodate -- greeting name , pet way , etc . 's great dog experience traveler nice see welcome manner deserve ! however , pet owner advise nowhere close hotel take animal relieve . Millennium Park three block east , dog allow ( even along edge , could tell ) . responsible pet owner never fail pick dog ( even rinse grass wet ) rudely move along every single time go near park . apparently try keep pristine simply rude . park also seem grossly overstaffe term security personnel -- little scooter 7 a.m. apparently wait dog chase away ! believe , kid adult stand lot damage dog ! Grant Park bit forgiving 's quite long distance polite midwestern dog prefer blade grass go potty . . . 
 may 30 2005 	 England football trip 	 eschew budget option recent England football trip Chicago choice make base tripadvisor review . cheap centrally locate edge Loop . want shopping fall bed Marshall Fields , little walk Michigan Avenue river sightseeing trip . big tip- blue line CTA Hare airport stop yards hotel , great load luggage want spend $ 1.75 transport ! read room cramp . be not suite yet space fine view unbelievable . prime view Memorial Day parade State Street room . the room surrounding fitting reminiscent golden area , base Art Deco . toiletrie Aveda , true , turndown service chocolate leave bed return ( except last night ! ! ) .and ....... also get free Starbucks 6 - 9am lobby take cup back room . go night shift concierge friendly helpful . also free wine reception evening . Attwood Cafe rate do not try . instead try deep dish pizza Guardinos chain ( job finish one ! ) , Pot belly sandwich breakfast Johnny Rockets , like 50 's diner . so ... small , great view room , great location , free Starbucks turndown service . do not get much well . only gripe generally free trolley service central place not advertise anywhere city could see . stop near hotel . 
 May 22 2005 	 another good Kimpton 	 lovely hotel Kimpton comfort tell scaffold go outside room stay ( late night ) even though book month , surely know could give we option change hotel . not even tell we check day . complain 11.30 p.m. offer ear plug ! anyway , would still say hotel good choice ( unless scaffold come ) 's virtually loop reasonably close walk ' Mag Mile ' get free fitness room not use . 
 May 15 2005 	 life never ... 	 planning trip unfamiliar city , always challenge decide right hotel . thank TripAdvisor review , decide & quot ; take chance & quot ; Hotel Burnham visit Chicago , May 3 - 9 , 2005 . moment walk door hold open uniformed doorman , know special place . check instantaneous way restore elevator lobby . enter suite , know life never come hotel accommodation . time forward , standard hotel measure set Hotel Burnham . suite tastefully decorate exceptionally comfortable . hotel perfectly fine provide adequate place stay , stay Burnham become part overall Chicago experience . small size hotel give personality big lodging chain . room invite , comfortable hard leave . amenity well think , telephone bathroom . view large Chicago - style window Marshall Field 's , theatre district Washington Street past El Millennium Park glimpse Lake Michigan beyond . say expectation exceed understatement . at corner State Washington street , find literal heart Chicago , within walk distance Art Institute , Symphony Hall , theatre district , financial district even boat tour Chicago River . taxi , bus subway right doorstep not want walk ; el block away . not fully appreciate historic status building house Hotel Burnham arrive . turn century Reliance Building important part architectural history Chicago design part cultural heritage city . disappointment unaware first ( third ) wednesday month , special 45 minute tour hotel building give Chicago Architecture Foundation , miss . hotel 's staff friendly always greet least three , whether come go : & quot ; welcome back , & quot ; & quot ; nice see , & quot ; word not hear often enough . person travel frequently -- 30 night year -- find memorable stay . first experience Kimpton Hotel encourage we consider hotel city . , far Chicago go , always return Hotel Burnham . 
 May 12 2005 	 stunning Boutique Hotel Great Location 	 stay Hotel Burnham past weekend May . hotel , locate corner State Washington Streets Loop , stunningly beautiful hotel . restoration hotel include intricate detail wrought - iron railing inner stairwell elevator . decor lobby stylish modern ( la W Hotels ) . afternoon , hotel free wine lobby guest . our room face State Street , overlook old - line Marshall Field 's department store , small portion Frank Gehry - design bandshell Millenium Park . room , albeit small , furnish large king bed , wonderful linen , Aveda bath product . service hotel outstanding . every bellman , front desk attendant , waiter / waitress maid encounter friendly make every effort assist make thing easy . especially impressed concierge , Tracy . give thoughtful consider recommendation restaurant entertainment ( e.g. , local blue club ) . decide restaurant ( e.g. , Gino 's East great deep - dish pizza ) , even discount / special privilege coupon allow we jump ahead line ( suppose 45 - minute wait turn 10 - minute wait ) , provide special benefit . ( even manage get we ticket nearly sell - out exhibition Museum Science Industry ) . Tracy excellent ! hotel locate right Red Blue line & quot ; L & quot ; ( block two L line ) , conveniently locate 2 block Millenium Park ( stunning ) , within Theatre District , great shopping nearby . hotel also Atwood Cafe lobby well . wonderful restaurant , serve continental cuisine , tinge asian flavor . ( make sure try duck breast Asian - seasoned noodle ) . price cheap , food well worth it . all , Hotel Burnham terrific hotel , outstanding service , nearly - can't - be - beat location . will sure stay come Chicago . 
 May 11 2005 	 Delightful ! 	 spend night Burnham dauntless search downtown lodge September wedding guest . 's tough job . delighted felt well take care , doorman turndown service . course , add personal touch room enhance fiance 's enjoyment ( rose , chocolate , love note ) . impressed figured leave pick , re - clean reset room return 45 minute later ! like proximity shop theater district , Real Metal Room Keys , plastic thing . room plush electronic guy ever need . robe bit fray , not use long ... 
 May 9 2005 	 great service great location great time Burnham 	 wife spend belate anniversary Burnham past weekend . check , stay , wine hour 5 - 6pm evening , checkout wonderful experience . check extremely smooth valet Al Reggie take care thing car room . room clean , bed comfortable , turn service bed time chocolate much appreciate long concert Friday busy Saturday shopping eating . the resturant ( Atwood Cafe ) excellent . spend two enjoyable morning find breakfest extremely fill . Raspberry Pancake amazing . the conciege ( Tracy ) helpful . create warm enjoyable Saturday evening we Chicago style Pizza joint jazz club plan . also help get ticket Bodyworks MSI something grateful . ( btw , bodywork exhibit great . ) closing , checkout smooth easy . give hotel 5 5 , 5 star property ( like Ritz ) , guest , treat like one staff . room clean , location great , amazing staff , guest ask ... 
 May 1 2005 	 great architecture . great hotel 	 historic Reliance Building 1890 transform first class hotel match great build excellent service . room well appoint spacious give age building ( room huge compare Drake ) . view look west begin Daley Plaza famous Picasso , Goodman Theater , Oriental Theater , Chicago Theater , Marshall Fields view Gehry music pavillion Millenium Park Washington St. go dinner stay til midnight look light view State St . Sutton Place Hotel base operation time Chicago - ever since old Le Meridien . Hotel Burnham well every way . be will stay on . if complaint Atwood Cafe attach hotel . bar tiny staff impersonal . food good though price number competetive alternative area . regardless , hotel wonderful . 
 May 1 2005 	 first boutique hotel expereince great one . 	 book Burnham travel Chi - town conference . highly rank Travel Leisure Mag . good value plus include high speed internet . immediately upon arrival , could tell difference typical corporate hotel demeanor front desk staff bellman . make feel like guest home customer . everyone seem genuinely glad work familar Kimpton hotel . we great suite . huge well decorate equipped . Aveda ( sp ) bath product ( facial cleanser shower gel typical Hiltons ) plus Starbucks morning wine afternoon great touch . wife love location across street HUGE Marshall Fields ( visit like amusement park ) ; second large dept . store US . two burger Atwood Cafe ( midwest beef irresistable southern boy ) great . see dish look good , & quot ; froo - froo & quot ; mood . thoroughly enjoy stay stay visit Chicago ... unless come across great deal Peninsula . 
 Apr 13 2005 	 cute romantic kinda away action 	 stay Burnham last Sept romantic getaway .... really love Kimpton Group hotel , standard chic boutique . Burnham romantic setting , great view room , sexy chaise lounge picture window . 's one refurbish Euro - style hotel , be , stay Marriott . room small , cute enuf not mind hang . restaurant ground floor first rate . complaint hotel lobby kinda crowded ( small issue ) , be go Chicago go town , Burnham kinda far away chic nightclub scene , ought add money budget cab ride . would great business trip however , smack downtown . area sparsely populated weekend . value stay ok . ' ve stay well Kimptons - Rouge DC ! 
 Apr 13 2005 	 absolutely fantastic ! ! 	 stay Hotel Burnham 31st March - 4th April , amazing stay . hotel right heart downtown Chicago , good location get anywhere . Washington ' El ' stop 200 metre away , Blue Line O'Hare run straight - much well get cab . the room hotel fantastic - 14th floor , amazing view John Hancock Centre north . room , great size , Elemis toiletry bathroom , comfy bed . the hotel great atmosphere , busy Atwood Cafe lobby . 20's/30 's theme througout , keep lot original feature Reliance Buildling - like amazing mosaic floor lobby . evening 5 6 wine reception every night guest , free Starbucks 's coffee tea morning 6.30 9 am . could ask ! would whole - heartedly recommend hotel anyone want city break Chicago - will not disappoint ! 
 Apr 11 2005 	 not disturb wait staff simple request . 	 great service front desk , beautiful room , friendly doorman . issue , go hotel bar / restaurant 10:00 pm , get glass wine . male staff member stand around discuss plan evening look annoyed walk , despite fact not close another hour . order $ 13 dollar glass , waiter make sit lobby & quot ; need order food want seated bar & quot ; come back minute later tell not want sit breezy lobby middle Feburary wine . roll eye find table close door . realize interested closing place early could go town evening . attitude disgusting , would stay Palmer House next time . 
 Apr 2 2005 	 destination 	 stay Burnham last summer one night . make reservation base reader review tripadvisor . got great deal hotel web - site . exquisite ! beautiful interior exterior , wonderful service , quintessential view Chicago Theater sign , beyond , room , intrigue hotel history convenient location . could not ask . actually not get much plan comfortable hotel . would definitely go back Chicago stay Burnham ! 
 Mar 31 2005 	 yes really good ! 	 wife recently spend 10 day ( 9 night ) beautiful hotel . let first allay anyone 's fear & quot ; pet- friendly & quot ; hotel . little concerned possibility trip small animal lobby morning- fear prove groundless . whole stay , see pet hotel . ' m suggest can not take pet , not time : never allow interfere guest 's enjoyment . literally see neither hide hair pet ! suppose example well- run staff hotel . let emphasise staff SUPERB . enough . every time step back main door ( shop whatever ) , every member staff duty would greet we say & quot ; welcome back & quot ; . little thing , know , really make we feel good . battery die tv remote , engineer arrive within MINUTE inform front desk , replacement remote . evening turndown service , include chocolate pillow also nice touch . room lovely . bay windows really help . attractive look at / through , give extra bit space room . even include complimentary cd listen excellent stereo take home ! building , course , gorgeous . proudly display history restoration Reliance Building lobby . restaurant good , . ALWAYS crowd though , either eat early book table sure enjoy food . location hotel pretty good . theatre right doorstep , Marshall Fields store opposite fantastic Art Institute round corner . find go north quite lot though . loop pretty quiet night , good bar etc seem norht river . good shops- North Michigan Avenue really seem lively area city . location ( slight ) downside otherwise wonderful hotel . 
 Mar 28 2005 	 Burnham next time be Chicago ! 	 husband spend wonderful long Easter weekend Burnham . greet friendly doorman hustle we rain wonderful warm lobby arrange car valet park . desk staff accommodate helpful . good first impression even personally escort room give tour ' amenity . corner room overlook State Washington even though smallish side delight – super comfortable queen bed , extra pillow , two butter soft bath robe , Aveda bath product , well stocked honor bar snack tray . quiet ! room floor . well insulate window heavy drapery muffle could loud street noise . love unique old architecture history building – something cookie cutter big chain sorely lack . complaint , even call , concierge duty weekend . ' tell we hour particular museum open . even peck computer several minute come wrong time . complain ' remember open close time museum day . later day feel bother ask reservation popular local restaurant . would well bring one laptop look information . room high speed access – include wireless . ' stay number boutique style hotel downtown Chicago far favorite . definitely stay Burnham visit Chicago . 
 Mar 17 2005 	 love location 	 stay hotel Feb 26 one night . read favorable review hotel excited stay . building beautifully restore , lot dark wood marble floor , wall ceiling , certainly would rate number 2 Chicago . small room ever Chicago , size much large Microtel . bathroom ordinary . television reception good . bed pillow hard . evening wine service 5 - 6 , arrive tail end lucky server take pity we bring two glass we take room . lobby small , much small wine service . hardly seat area , snack go wine , two variety wine . one red , one white . wall thin could easily hear & quot ; romantic & quot ; couple adjoining room . serve coffee lobby morning . good thing LOCATION , right across street Marshall Fields , feel secure inside hotel . 
 Mar 8 2005 	 Perfection ! 	 minute enter lobby know select perfect hotel ! everyone hotel seem proud place get feel make feel welcome ! location .. perfect ! 
 Mar 3 2005 	 good great 	 stay Burnham February , purely glow recommendation Tripadvisor reviewer . build impressive , conversion hotel do great sympathy . make refreshing change corporate blandness . junior suite rather small , cluttered fussy furnishing , huge window offer great view State Street . scream brat next door duration visit bonus - 's much hotel could done that . location tremendous ; convenient practically everything - El , shop , restaurant . etc . check - in courteous quick , staff consistently make genuine effort engage guest . concierge , though , give we incorrect information firework show ( & quot ; be finish & quot ; - not , see anyway , trust city 's website ) . evening wine taste , nice touch , take place tiny lobby area - rarely seat available . People wait table small ( noisy , due acoustic , people ) restaurant add claustrophobic effect . enjoyable stay , hotel , like hotel , flaw . 
 Feb 27 2005 	 Beautiful Unique 	 Burnham excellent adaptive reuse historic Reliance Building ( build 1895 ) Chicago Loop . room bit small ( note reviewer ) , huge window , give open feel . executive suite northeast corner building , give view elaborate new band shell Millennium Park , block away . beautifully decorate , french door separate bedroom small parlor . touch , like curtain light , people might find excessively precious . hotel locate Loop , directly across street original Marshall Field department store . neighborhood busy day , limited night activity area , unless something stage nearby theater . look lively neighborhood nighttime activity , may prefer area north Chicago River . staff helpful friendly throughout stay . evening wine reception ( 5 6 ) great treat . small restaurant ( Atwoods ) quite good , deservedly popular . 
 Feb 2 2005 	 Wonderful Hotel 	 stay Hotel Burnham one night Mid - January . ticket ' Spam - a - lot ' afternoon ' all shake ' evening . show checkin room available yet , able leave bag come back later . restaurant full lunch concergie able recommend couple place eat ( try Walnut Room Marshall Fields right across street ) . room luxurious comfortable . tempurature go zero outside , never feel kind draft window room always warm . make sure call check - in want chance eat hotel 's restaurant . able get table dinner willing eat open could finish hour , fully book dinner 6 pm 9 pm . hotel less 2 block loop plenty shopping area . also theatre within walking distance ( area seem fairly safe walk night ) . would recommend hotel , especially romantic weekend . 
 Jan 24 2005 	 Excellent Hotel 	 get back 3 night stay Hotel Burnham . travel agent , stay many hotel , nice one ! desk staff courteous , entire hotel staff . location half block near subway stop , right State Street . want beautiful hotel great value , would highly recommend Hotel Burnham . 
 Jan 24 2005 	 beautiful 	 else say ? yes , room small . not care . the location excellent . lobby , room , cafe , everything look nice tasteful . service friendly helpful . complimentary wine hour fun . if ever come back Chicago ( hope ) stay . 
 Jan 20 2005 	 gem ! ! ! 	 beautful accomodation friendly , helpful staff . spend one night look foward return Chicago stay delightful hotel . 
 Jan 17 2005 	 Love Burnham 	 Hotel Burnham jewel . stay two night weekend Christmas . find location excellent ( across street State street Marshall Fields ) . staff helpful courteous . gripe room size ( normal old renovate boutique hotel ) suggestion upgrade suite definitely next visit . restaurant serve great breakfast bar way small . 
 Jan 17 2005 	 Excellent hotel staff ! ! ! 	 recently stay Hotel Burnham Chicago absolutely love everything ... excellent staff , lovely room , excellent food Atwood Cafe location hotel ! would hesitate stay Kimpton hotel . concierge , Tracy , personable helpful ! ! ! can not wait visit hotel ! 
 Jan 10 2005 	 Loved ! 	 mother / daughter weekend stay one night lovely hotel base numerous excellent review find website . hotel elegance quaintness many small , old european hotel . staff courteous helpful ; rate ( $ 139 / night ) reasonable ; room good size tastefully decorate . wrought - iron gate surround floor elevator ... art deco ! tiny drawback $ 31 parking fee guest expensive ( get ) menu Atwood Cafe . , wonderful experience definitely go . 
 Jan 7 2005 	 Burnham deserve high rating 	 recently stay Burnham say enough wonderful staff . staff ( wish get name , thank every one ) friendly , helpful , professional . front desk staff concierge one would expect five star hotel . housekeeping maintenance staff helpful professional well . hotel 's location superb State Street shopping North Michigan Avenue shop one mind walk . historical renovatin detail intrigue see comfortable hotel . can not say enough enjoyable stay Burnham . recommend friend family future Chicago visit . 
 Jan 3 2005 	 great hotel 	 travel Chicago group girlfriend early November weekend shopping siteseeing . Hotel Burnham great place stay be within walk distance lot great shop ( Marshall Fields , Nordstrom Rack , Filene 's Basement ) short cab ride magnificent mile . hotel staff helpful courteous room tastefully decorate . would definitely stay hotel upon return Chicago ! 
 Jan 2 2005 	 wonderful hotel ! 	 return 2 night stay Hotel Burnham already try plan next visit . say enough good thing hotel . impeccable service , beautifully appoint room , restaurant excellent . choose Hotel Burnham every time visit Chicago ! 
 Dec 30 2004 	 outstanding 	 excellent service . great room fine location . highly recommend establishment . back 
 Dec 28 2004 	 perfect stay 	 interest history architecture city , ' ve want stay Burnham . great choice ! minute arrive , staff make we feel special people . even clean staff friendly , greet we hallway elevator . eat hotel 's restaurant ( Atwood Cafe ) evening delicious dinner . meal pricey worth . , however , eat somewhere else breakfast , want two expensive meal . room small elegant clean , great view Marshall Fields State Street . come back evening walk around city , bed turn , chocolate pillow , stereo turn softly - service include even & quot ; luxury & quot ; hotel . downside visit cost parking , 's price pay stay downtown . be worth money car take care competent staff worry stay . Chicago completely walkable , use foot allow see real city . husband stay many hotel - favorite , will definitely back . book internet get good price , whatever pay , be worth ! 
 Dec 16 2004 	 well worth ! 	 beautiful , small hotel great location , caddy corner Marshall Field 's two block millenium park . beautiful corner suite ( $ 289 plus tax etc . ) huge window look State Street . room decor amenity excellent . art deco design , South Beach psuedo art deco . lobby area beautifully design - walk even not stay . wine taste 5 - 6pm nice feature nice way end day begin evening . hotel match internet rate always benefit book direct . need stay Loop versus Magnificent Mile , great choice . only disappointment continental breakfast - walk Starbucks muffin coffee . 
 Dec 8 2004 	 locationlocationlocation 	 read several review Trip Advisor site book room Burnham . get last room hotel night Dec. 2,2004 thus special package offer . nevertheless , feel get money 's worth . enjoy corner king suite seventh floor view Marshall Field 's german Christmas market Daley Plaza . visit Burnham Christmas Holiday season wish eat Walnut Room Marshall Field 's , certain ask concierge & quot ; next line & quot ; card . enable we bypass long line seat immediately . definitely saty Burnham . 
 Nov 12 2004 	 not stay anywhere else 	 ' ve return first visit Chicago book Burnham reading review tripadvisor - excellent hotel , superb staff . room immaculate - great touch evening turn - down service , chocolate pillow music cd player . hotel locate corner State Street , across road Marshall Fields , 5/10 minute walk Magnificent Mile . although not eat hotel restaurant , look great atmosphere extremely popular resident & amp ; local . 's good selection restaurant nearby - love italian Village . a fantastic hotel - be stay Chicago , Burnham must . 
 Nov 5 2004 	 Service ! service ! service ! 	 wife stay Burnham two night October , 2004 . service exceptional , make overlook middling shortcoming layout structure place . ( folk make well smallish , big - city hotel ! ) shortly arrive , mention would need extension cord CPAP sleeping device . one materialize withe minute . first many gesture stay . uniformly friendly , helpful attitude staff hotel quite refreshing . also wonderful dinner Atwood first night . definitely hotel next trip Chicago ! 
 Nov 5 2004 	 Downtown Chicago 	 Hotel Burnham wonderful place stay Chicago . location perfect . hotel beautiful wonderful condition . room beautifully appoint , clean view great . highly recommend . 
 Nov 3 2004 	 Wonderful Hotel 	 stay Burnham past weekend could happy choice . although room small side feel cramp neat clean . bathroom large clean . nice touch : evening wine hour daily newspaper starbuck coffee morning lobby ; lot towel pillow terry bathrobe aveeda product iron ironing board ; nightly turn service complete bucket full ice . staff could friendly helpful location across Marshall Fields perfect access subway , bus trolley . Chicago free trolley system major attraction ( run weekend begin October ) great also contact Chicago Greeter tour city informative . would definitely stay Burnham . 
 Oct 27 2004 	 Perfection ! ! 	 base great review Trip Advisor , book 2 night stay hotel . we ' ve never Chicgo , good hotel really necessary . moment doorman open taxi door , make feel really special . staff could not nicer . arrive early wait minute room ready ! stay executive suite fifth floor great view city . room outstanding . on first night , want eat signature room atop John Hancock centre . 6 pm , ask concierge think could get table 7:30pm . work magic within minute reservation great table next window ! use room service next morning evening could not fault food service . this hotel superb , definitley stay go back Chicago . 
 Oct 26 2004 	 wonderful Hotel ! ! 	 first stay year ago try switch hotel stay Chicago every time , visit Chicago every month one top 2 favorite far ! concierge attentive , great location , intimate ..... ! 
 Oct 15 2004 	 Loved ! 	 type person research thing death want good money , husband take mini vacation Chicago mid - September ton research good place stay . decide Hotel Burnham not disappoint ! accustomed stay nice hotel rank right ! suite floor 14 ( actually 13 , skip 12 14 old building ! ) NE corner beautiful view Lake Michigan theater . absoluely gorgeous ! Atwood Cafe great service desk fantastic . bed comfy Aveda product nice touch . drawback suite little small , nicely decorate not care . hardly street noise red line literally around corner . pack much 2 day , relief come & quot ; home & quot ; Hotel Burnham , put foot bottle wine . stay , will never regret ! 
 Oct 14 2004 	 good great gush review 	 base upon tripadvisor review , select Hotel Burnham 2 - night stay , October 6th & amp ; 7th , 2004.the location excellent , build charming . staff real mix enthusiastic helpful young people , young people neutral good . little experienced adult supervision would good . the room extremely small , decorate minimize limited space . high - speed internet connection work , one know fix . selection channel tv limit , choose basic basic basic cable tier , along 24 - hour yoga channel , reason . as service elevator , share ride towel , linen , neighbor 's uneaten room service food . classy . the first night , loud construction noise front , outside room , staff seem uninformed , unable move we satisfactory alternative room . ( satisfactory equal small , smoke broom closet . ) eat dinner in - house restaurant , find food good , , service marginal , slow clearing item , miss menu choice , late arrival food . overall , see hotel potential , must rest laurel , couple bad day . we would stay , suite ( i.e . normal sized room ) , read Tripadvisor review indicate address concern . nb : credit , Hotel Burnham send we on - line customer satisfaction survey , provide feedback review . 
 Oct 11 2004 	 Great Place 	 great place stay . staff friendly room really nice . good , really quiet . would wonderful place stay holiday season see light State Street . 
 Oct 4 2004 	 friendly uneven service 	 stay Hotel Burnham three night September . plus : friendly staff , good location , beautiful elevator lobby , Aveda bath product . minus : small room , good food surprisingly busy restaurant bellman never arrive help us luggage , despite two request . 
 Sep 27 2004 	 highlight trip ! 	 book weekend stay Hotel Burnham read great review Trip Advisor . husband disappoint . wonderful hotel : fabulous friendly helpful staff ; beautiful hotel room ; lovely restaurant ; great location ; reasonable rate . really go wrong hotel ! 
 Sep 24 2004 	 good 	 wife stay many hotel downtown Chicago weekend getaway . one far good . will go back . 
 Sep 22 2004 	 love Burnham ! 	 sister stay Burnham late September vacation . choose hotel great review read hope would not disappoint arrive . not . room comfortable , small ; staff incredibly accomodating ; location ideal , right near Millenium Park , Art Institute plenty shopping . happy choice would definitely choose Hotel Burnham ! 
 Sep 8 2004 	 Burnham - Chicago home away home 	 stay Hotel Burnham second week Aug. ' 04 thoroughly enjoy stay . entire staff totally accommodate anything ask . concierge , Brent , go way help . love Burnham ! 
 Sep 7 2004 	 intimate great location 	 Burnham Hotel renovate , 19th c. building bit character . ' sure history , appearance office building top half door room frosted glass panel . ( glass - panel door raise security fire - safety concern . ) ' grand , feel old hotel , sort eclectic , maybe could call & quot ; western commercial Victorian & quot ; style . ' smallish cozy . Décor public space kind heavy dark spite window lobby adjoining restaurant ; guest room light , stylish , attractive . upholstery , drapery , bedspread fabric high quality quite pretty . reproduction iron work surround elevator , elevator hall strike mosaic floor , restore . upstairs , hallway wall , ceiling , stair cover thick slab white Carrara marble . rug runner throughout , probably cover damage mosaic tile ; wall & amp ; rug color deep gold , accented dark red royal navy blue . I make reservation telephone ' work on - line way family four ( two young teen ) could sleep comfortably . King Suite $ 189 recommend : child could use & quot ; sofa bed & quot ; cot sitting room . arrive , however , staff unaware reservation promise bed four , appear think accommodate we , although obviously four people . request cot , bring . turn loveseat / sofa sofa - bed , request additional cot . somewhat vexing , settled , fine . King Suite , door outside hall open short hallway bathroom closet either side lead stylish sitting room . high back high armed loveseat upholstered gold damask , large tv cabinet stereo minibar , end coffee table , desk & amp ; chair . wood furniture dark , formal style . bathroom luxurious ( except many Aveda product ) , adequate attractive . iron good hairdryer . comfortable kingsize bed suite come elaborate half - canopy crown blue gold fabric . bed small room ( 8 ' x8 ' ? ) separate sit room glass - pan french door -- much privacy expect ; plus , access bath sitting room . 2 3 foot walk space side bed , maybe 3 - 1/2 foot foot . corner room two wall large window & amp ; great view ; sheer roman shade heavy blue gold drapery could open draw . tv also room . wonderful view Frank Gehry sculpture Millennium Park , Marshall Fields across street ( fantastic dept . store ) . Art Institute within walk distance . the hotel staff responsive nice , although valet bellman somewhat overly familiar . minor complaint might rug suite bit soil wet spot middle sit room . a plus : guest serve wine lobby 5 pm -- good wine , think . nice touch . compliment wine selection give bottle , gratis . hotel intimate feeling , like atmosphere . relax friendly . time eat restaurant , menu interesting , although rather expensive ; price $ 18 - 28 dinner entree breakfast , $ 20 bacon & amp ; egg . restaurant enjoy good reputation Chicago . overall nice hotel experience . 
 Sep 4 2004 	 great hotel 	 see hotel travel channel show & quot ; Great Hotels & quot ; know hotel would like stay . hotel nice . room well do bed great . hotel great location . concierge great help welcome name enter hotel . great stay Chicago architectural landmark . 
 Sep 4 2004 	 wonderful experience 	 wonderful experience . first stay hotel start midnight 8/31/04 . work 15 hour need sleep return work early 9/1/04 . pleasant surprise find prior review mark . make feel guest , easy chore hotel base mood . well treat make stress day disolve . many reason hotel highly rate . owe stay . 
 Aug 25 2004 	 great place stay 	 wife , 7 yr old son cat stay long weekend mid - August . wow . stay deluxe queeen come chaise lounge plenty room . room spotless staff attentive us cat . great atmosphere - great people - great location - great food- great view . be directly accross historic Marshall Field 's . location access free shuttle trolley take Navy Pier , Michigan Avenue , etc . city always great hotel really define vacation . pay $ 159 night Expedia worth . $ 31 / night valet parking little steep par course city . be stay city , really not need car in / out priviledge make access car easy need it . the concierge especially helpful helped guide we kid friendly restraunt , attraction , etc . this hotel exceed expectation agree good hotel experience ' ve ever city , vacation . stay . 
 Aug 21 2004 	 Wonderful Service 	 hotel absolutely wonderful . service top notch . husband arrive instantly escort room bag . give tour room tell absolutely everything . staff seem actually care enjoy stay . tracy front desk great . famous worker get someone ticket Oprah show . recommend wonderful pizza place absolutely wait . two thumb Hotel Burnham . Wonderful Service ! ! 
 Aug 17 2004 	 stylish hotel 	 Burnham meet beat expectation part . owner beautiful job restore building . deco design inside really fit Chicago 's stellar architecture . service courtesy staff encounter could well . host gladly move we smoking room non - smoking room one become available . hotel suffer little style substance . find many ammenitie . fitness room couple treadmill , two stairstepper , dumbell , tv rather cramp room . overall , nice stay Burnham . 
 Aug 7 2004 	 can not go wrong 	 ' ve stay share Chicago hotel . can not go wrong Burnham . room clean comfortable . staff ultra - friendly . even request room profile every time book , usually get room . 's queen room , like , Burnham staff take care . 
