bad 	 first let say staff friendly , efficient pleasant . not bad word say . however - party 6 stay thistle prior conference nearby follow day . work NHS book single room save money prove vastly overpriced gastly experience . six room - one fully equip . mine , kettle work . another , hairdryer . several other either towel miss altogether one handtowel bathtowel , another shower work . lucky , two part hotel room prove nice quiet . colleague arrive later part hotel , one get decent night 's sleep . either due noise rain flat roof outside ( noisy apparently ) least one case due sound four generator outside window . say would not bad either , keep go woke . well , fact room hot stuffy . mine fan - tell ? room England fan November without ask one obvious problem . room tiny - less expect , also shabby . mine wallpaper start peel away wall dire need deep clean . one corner actually dust bunny skirt board , go bathroom still empty toiletry bottle rack bath . metal bath fitting rust stained bath , tap look ever shiny , mould grout sealant around bath . seal wall tile floor crack floor look dire need scrub around edge corner . one group evening meal hotel . far concerned fine . calf liver bacon red wine jus , follow ice cream . calf liver fine , probably little well cooked like liver pink not , nice tender . mash potato pipe hot green bean fine . thing spoil red wine jus not appear ever see grape highly salt . however enjoy liver . ice cream disappointment . 3 scoop terribly good ice cream chocolate , strawberry vanilla , sticky red sauce ( description give not like sticky red sauce ) obviously prepare put bowl long time put freezer , bowl . time ago stay Bewleys Hotel Leeds hesitation recommend hotel everybody . ice cream good quality , selection wonderful flavour , come brandy snap basket decorate fresh strawberry . contrast ! especially stay hotel leed much less expensive . overall meal Thistle certainly well , probably bad , could got Little Chef motorway service . my colleague horrendous experience little sleep leave conference early could face arrive home 9.00 p.m. get early train . this experience , experience Thistle hotel we past year , terrible instruction , whatever happen , book anyone thistle ever again . apology wonderful staff hotel . 
 4 * decent hotel 	 stay barbican 1 night meeting friend London . hotel quite big seem build business customer majority room twin . hotel spa two bar situate less 10 min walk Angel Station / Islington find lot shop , bar restaurant . river close although ' walk way ( see ' Gherkin Tower ' London Eye hotel ) . ' less 10 min walk either Angel Station Barbican . council building surround area ' make walk scary terrifying . certainly ' need take taxi , main road 2 min walk away ! fortunate enough upgrade premier room main building fab . gather main building date , friend stay annex quite ' outdated ' ' tired ' clean . breakfast nice , choice nice fry ( good quality sausage ! ) , different cereal croissant , roll bread . incredibly busy Sunday morning hotel fully book waiter seem bit overwhelmed go grab coffee instead waiting serve . overall nice hotel although maybe 4 * . would go back rate right . 
 friendly staff fantastic value 	 reading review doubious visit . book day 's leisure facility use beauty treatment two girlfriend fantstic time . special offer use facility free ( go thistle hotel website ) give deal beauty treatment group . treatment fantstic , staff could not welcome facility great - clean , perfect working order . change room lovely warm , clean . would highly reccomend . 
 Jan 2 2007 	 horrible experience - Ultimate Hotel Hell 	 avoid hotel cost . staff stupid inefficient . lose reservation via lastminute ( do 3 week previously , excuse lastminute ) . able process internet reservation seem feature Thistle chain ( happen 3 time previously Thistle hotel ) . room dreary , clap , tiny , window lock airconditioning - simply utterly ghastly . positive thing room clean , 's . leave hotel next morning 5 - never stay Thistle hotel life . 
 Dec 7 2006 	 Dread go 	 corporate office around corner hotel dread stay everytime come London meeting . guess start say not go wrong ? ' ve lose reservation one occasion , ' ve experience dirty room shower work properly ( trick jam chain pull ) key not work , T.V do not work , food order , clueless staff , hairdryer break etc . etc . list go . overall experience aggrevation not need end day . convenient , would stay somewhere else . 
 Nov 28 2006 	 poor 	 book room air condition two night . finally get room air con tiny . return reception ask move . allocate another room without air - con . ask see duty manager complain ........ see reception staff sneer request . unable allocate air condition room ! choose stay , appalling customer service overprice . 
 Nov 25 2006 	 room 	 read review dread stay . first thing arrive room check bed , thankfully damp patch . room fine , nothing ordinary . tv useless , 5 channel none tune properly . hotel quite walk underground , especially bag . not go night really ' feel safe walk street nowhere underground get nice area London go . 
 Nov 21 2006 	 much well expect consider review 	 read review dread stay . book Travel Agents show ticket & amp ; cancel would lost money . delight Hotel warm & amp ; welcome cold damp day . greet friendly desk clerk upgrade we superior room think give add benefit trouser press & amp ; iron ( actually used ) . room also nice & amp ; warm , clean , small kettle & amp ; plenty tea & amp ; coffee ( yes little small side length time spend certainly not bother ) . bathroom immaculate plenty clean towel . breakfast hot , hearty plentiful . short wait table staff keep thing move quickly . all staff encounter plesant & amp ; helpful . as hotel way , 7 - 10 minute walk old street station northern line , 3 stop south king cross 3 stop Covent Garden . price could want . 
 Oct 22 2006 	 Grotty - miss every point 	 book part theatre / hotel deal delux twin , still can not work get extra . twin bed side side , stay friend , ask move apart , day - not happen . soap first night , disappear second night . one shower gel we , one set towel , find second one hidden wardrobe . tea / coffee hide bottom drawer . remote control not work , course concierge check 5 minute agree change it . bed comfortable , air conditionine difficult use , net curtain filthy . 15 minute walk near tube . want taxi , follow concierge road back hotel entrance chase taxi . continental breakfast annex okay - croissant , roll , ham cheese , selection fruit cereal juice . friend give smoking room , stank much insist oon change , reception happy arrange . unfortunately time get back original room move luggage , keycard disable another trip reception . there well hotel London price , avoid one - not anything good say . 
 Oct 18 2006 	 ok hotel 	 book hotel part British Airways package . represent we four star hotel City turn neither . research tripadvisor arrive ( book unfortunately ) figure main point get room main building . upon arrive informed room would adjacent building , dreadful hear . ask receptionist get we room main & quot ; upgrade luxury room & quot ; 20 pound per night . luxury , room good enough . location pretty inconvenient . 's 10 minute walk close tube station . much advertise free shuttle available time ask maitre would seem well reluctant . the good thing hotel inlcusive breakfast . offer lot hearty food expect muffin warm coffee . it bad many review make seem , think hotel give credit . might great option people budget get good deal . ok . 
 Oct 16 2006 	 's awful 	 not stay . disappointed . anybody say be great love seriously misleading . ' m one need luxury hostel well . not . 
 Oct 12 2006 	 Great Atmosphere 	 recently return weekend London , stay Thistle City Barbican . great atmosphere ! staff friendly , smiley , helpful seem like staff enjoy job ! nice see ! go extra mile make sure stay expect . fantastic weekend London stay City Barbican make enjoyable explore fantastic City ! look forward go back spend another weekend excellent hotel . 
 Oct 10 2006 	 Yuck Yuck Yuck 	 Sept inLondon happen humid ..... make sense hotel Air Conditioning room ! ! ! open window good , due noise outside . crap bed ... dirty linen bathroom . expensive bar .... crap restaurant . and expensive ! ! ! stay .... go Holiday Inn around corner 
 Sep 26 2006 	 avoid cost ! 	 can not even begin describe unenjoyable trip . air - con , could not open window due fact kid outside big dog bark constantly . somewhere feel safe . tv also old - fashioned set - up aeriel stick back set . result practically reception . 
 Sep 25 2006 	 please use Hotel 	 please , please , please matter tempt book room hotel - not , especially London sightseeing . the room small , dirty , need refurbishment ( unless like 70 's retro ! ) , like mini furnace . the hotel middle council estate , mile near tube ' run ' part London , restaurant grim , nobody appear speak English ! two night dump £ 164 night ! ! glad leave - fortunately employer pick tab . 
 Sep 24 2006 	 love barbican 	 come back weekend away barbican fantastic time . having read bad review dread even try change hotel set however arrive pleasantly surprised lobby invite staff , concierge book bag time book room . room clean little small side room everything . need open window ittle warm top floor , large fan cool we , bathroom spotless ! request iron taking room even get there . the concierge helpful get taxi 's , book bag . Alfonso drive we Moorgate tube station help we get destination quick tell we get back . we cram pack weekend , breakfast lunch hotel delicious . as treat facial Sunday leave jacuzzi , swim , sauna steam room . we definately back next year ! 
 Sep 19 2006 	 middle nowhere 	 nothing justify " rack rate " £ 180 plus . internet agency , pay £ 60 single room Friday night ( would least twice price Monday - Thursday ) , already good price pay get . the word ' barbican ' ' city ' name economical truth : fact Clerkenwell , sort shady man ' land City Islington , far tube station . good bus map , fact dependent scarce expensive taxis . there enough staff Front Desk Fridays : large party noisy low - class woman wait almost 20 minute check ( arrive 12:00 tell could check 14:00 - 14:30 ) . later evening , continuous queue – even 23:00 go bed ! room ( 2307 ) poorly design : could really use desk / table bedside table ( fact fix shelf ) allow place chair comfortably near desk / table . the wooden panel line bath paint flake shower / bath selection button miss : basic maintenance obviously neglect hotel . on Saturday morning , enormous queue breakfast . mushroom leave , poor girl fry egg overwhelmed toast machine gear many people . a sure sign poorly - manage establishment : wait clean glass could orange juice – arrive hot , straight dishwasher , hardly suitable chill orange juice . I wonder prepared pay £ 180 plus week – obviously businessman expense account care since company pay anyway ? £ 60 value money already debatable ! recommend unless company pay ! 
 Sep 18 2006 	 Good hotel 	 come back 2 night weekend stay Barbican Thistle . arrive hotel 1 pm tell could check 3 pm . leave luggage concierge . go across road local pub lunch . 3 pm come back check straight away queue even though hotel busy . collect bag straight away . room 6th floor new building pleasent enough . on Friday go medieval evening central London . ask concierge call we taxi would 30 min go flag one . Taxi 's London bad average £ 10 4 we quite cheap . on return go bar expensive expect pay hotel . bar close 2.30ish find staff quite friendly helpful . breakfast good , plenty choice cook cold food . lot food hot fry egg freshly cook . on Saturday use courtesy bus drive one concierge . take we tube station give we direction get go . helpful concierge staff time . could see time looked stress may resident demand thing do . concierge actually go street bring taxis back hotel people . open door taxi arrive back hotel . concierge fantastic deserve special mention . people never happy expect wait hand foot . all find hotel pleasent , clean enjoyable . bit anxious stay read review . council estate think pass taxi can not see problem . People live somewhere everyone afford live big posh house far away riff raff ! ! ! ! ! couple shop take away across Hotel pub . Taxi 's reasonable problem get about . the leisure club good include price room . sauna , steamroom , jacuzzi , swimming pool gym . extra cost beauty treatment massage . provide towel handy . would reccomend Hotel anyone would go back , please not put bad review really bad . 
 Sep 15 2006 	 poor terrible value 	 quite possibly small room ' ve encounter Japaness capsule hotel ! dingy , dirty well past 's sell date . self service breakfast poor none staff seeeme basic grasp English . request butter meet confused expression ! leave plenty time check get wherever be go particulalrly handy anywhere ! 
 Sep 10 2006 	 would want exam ! ! ! ! ! ! 	 take exam hold Barbican Centre 06/09/06.Therefore , look reasonable hotel nearby night 05/09/06.booking deluxe room breakfast approx £ 186.00 , seem ok need . how wrong ! ! ! ! battle air con almost one hour - useless ! check almost unfriendly . direction room quite vague . open door reinforce other previously say - furnace ! ! ! also , basin completely crack half , bathroom stank ! ! tumbler dirty curtain rip . overall room dirty ask , & quot ; room last clean ? & quot ; , told & quot ; someone come clean . & quot ; also surprised learn , two people occupy one room find additional towel dustily wardrobe ( build light working ) .We enquire whether someone could attend non existant air con blow light bulb go dinner . assurre problem . we one drink bar go dinner ( reason go appaule menu sound quite plasticised ) .Bar area empty , pleasingly cool air con ! return dinner find bathroom smell slightly well , nothing else attend to . worn , two mind whether anything all . the room boil , little do -- - complain ! alreday tell room avaliable , , suddenly duty night manager Dinoh find we suite close effective air con . we move time ( 23.15 ) thoroughly feed whole thing feel slighted bit rest . as breakfast follow day , cool poor coffee , juice insipid , cook item even average Travel Lodge standard . enquire whether omlette mushroom may avaliable told & quot ; ! & quot ; , 30 minute breakfast due close . we conclude maybe unreasonable demand place already unmotivate staff , travel world cabin crew member , holiday worldwide , innumerable corporate event - honestly say bad hotel ( ? ) ever encounter . the save grace duty manager . a big & quot ; thank & quot ; effort try make stay well , member staff feel regard company customer pride within work . ( wish well future ) .word warn ..... think long hard booking , must well way ! ! ! 
 Sep 10 2006 	 average ok stay 	 stay hotel one night £ 70 include breakfast . double , non smoking room air con unit ( despite mean one ) building reception be . the room ensuite good size amenity need . room seem clean mildew bathroom gunge tile bathroom make whole place seem alot grungier . check bit long despite short queue . staff could not seem process guest quickly . dunno due imconpetency check system carp . the check staff , staff member encounter mostly polite hardly forthcoming one crack smile . the breakfast rather good waitress really chirpy ( unexpected consider staff member ) . main plus breakfast selection food available ( cereal , croissant , toast , cook bit , juice , fruit etc ) . coffee undrinkable ( ' m hardly connosui ! ) .It good value london hotel could find time not expect much . fine average . would stay price right london hotel choice , , dictate primarily cost vs cleanliness vs location ! PS use pool fine . bit cold bit small nice break hot weather time ! 
 Aug 29 2006 	 Garbage hotel 	 stay 2 Thistle hotel London , expect reasonable hotel . fact probably bad hotel experience partner . room small , extremely ugly , poor condition wall paper thin , unable sleep hear neighbour talk snore . safe box lock nonone could apparently anything . location even convenient visitor LondonI would advise anyone think stay think . almost anywhere else well . 
 Aug 28 2006 	 bad 	 company already book hotel 3 night business trip check review TripAdivsor . high hope place give tone review ! however , experience first hand return home unscathed , think log experience try indicate every stay nightmare . after initial delay check , ( fault hotel part ) direct room thankfully main building . say lobby , reception indeed public area clean tidy generally good state repair . the room fine . good size , exactly up - to - date decor , clean tidy . full mark house - keep staff room toilet spotless return evening . with regard location , ok near council flat ... ? have look little close might notice many clearly privately - own well look . take courtesy bus tube station morning check , rest time walk City take 15 - 20 min . next , staff - rather harsh treatment review . would like state quite clearly every single staff member deal professional , pleasant polite . staff may English first language could fault level service provide . , ' m sure kind service one reviwer expect breakfast buffet ... hard walk help ! ! ? think breakfast staff fine job , food perfectly adequate . however , not good . the bad thing mattress . see well time . rather scene many well time ! ! clearly worn . also rather unpleasant aroma will not speculate much ! rate replace . wardrobe also smell bit musty . hair - dryer bathroom not work , neither fridge . wall - paper also bite tattered window . none crucial personally , little detail like cloud overall experience . also appreciate may critical have pay rather company , whole hotel perfectly adequate business trip , although certainly would not rave , would quite happy recommend other . 
 Aug 25 2006 	 bad . 	 experience hotel fairly good , thankfully . Octopus Travel make book really short notice book another hotel absolutely awful leave . wait 15 minute sort booking upgrade we superior room . man check we training could not nicer . room beautiful , big clean air conditioning . ' try breakfast though queue almost door hotel . downsixe would location . 3 tube station , least 10 minute walk away nothing bad happen area get feel not safe place night . overall , though , lovely stay we . 
 Aug 4 2006 	 Soo Bad 	 try least seven time book room via group booking time tell not exist room book group . eventually soon Bride Groom shout someone hotel book centre , tell next time rang get telephone someone sort . also give name Thistle manager use leverage . try final time refuse take answer , eventually inform booking next screen one bother check . finally try book room mysteriously find , tell problem computer system could book one person room we , tell would put note reservation say would two we . one send confirmation email anything post , telephone request confirmation , send . arrive hotel small queue front we one person check in / out reception . however least five people behind desk try ignore grow queue , not want money . eventually ask loud voice go anyone else check people immediately three member staff decide would help check people . woman check we bad grasp English could understand say could understand badly break English . another wedding party start check time we check ten minute eventually manage get check . travel long way get hotel lack communication leave we stand reception 20 minute try find room card , book system , fact say one person book initally computer problem book . inform us breakfast finish 10 Saturday Sunday , member book group tell 10.30am 11am . when manage get room key , ask lifts information forthcoming , get fourth floor blast hot air hit we , furnace . air conditioning window open corridor , carpet rip place room locate corridor badly light night could hardly see go , several light blow noone bother change they . the extractor fan bathroom work mould shower curtain , room fine tiny . Saturday night wedding go back hotel room try watch television getting change , old message suddenly appear Friday night . try delete message time time luck , rang reception one bother answer , physically go reception ask sort , , miss end film watch . the breakfast morning average , stay many hotel breakfast high standard , know average breakfast experience one . staff could speak english well enough deal request distinct impression not want , complain within earshot customer . quite disappointment , never stay hotel tell friend family bad . also make question whether stay Thistle Hotel country . general standard service quality shall never step back another Thistle Hotel actively discourage anyone else know stay chain . 
 Jul 18 2006 	 two month later be still cheat 	 feel like people site already cover much make hotel awful ; experience , say spend $ 212 room could touch wall , & quot ; linens & quot ; bed consist single flat sheet duvet entirely unnecessary swelter un - airconditioned coffin , come together try take duvet , reveal single green plastic hospital mattress . oh , promise high - speed internet access extra 15pounds . more problematic , though , can not get hotel stop bill . pay room advance Hotwire ( call 4 * , unbelievably ) , Thistle Barbican never charge penny . check , receptionist ask have pay room , could see credit card ? take good five minute convince room already pay , still take credit card incidental charge . not incur , reason , yesterday , 2 month stay , hotel put charge $ 942.31 credit card . call complain speak man say would investigate charge . , today , another charge $ 95 ! ' m think cancel card entirely , solely prevent crook charge . yes , ' m dispute transaction credit card company . the Thistle City barbican - check time like , never leave ! 
 Jul 16 2006 	 bad hotel ever ? 	 agree many other site truly rubbish hotel . part group reservation company work London . come early flight S'pore find have lose reservation refuse pre - arrange pay early check . take two hour - argue allow check call boss 's PA call behalf . apology nothing , hopelessly obnoxious staff could hardly speak English , ask manager run - truly unbelieveable . room corporate rate GBP125 rubbish- get well bayswater GBP70 locate godawful council estate . breakfast ok , staff , well hopeless . fair ( although ? ) gym bad . an extremely sorry excuse hotel , almost make embarrassed british consider place stay KL , Bangkok etc far less money . 
 Jun 23 2006 	 Nightmare ! ! ! 	 2 colleague stay overnight . one smile reception staff check . room ( 4th floor ) like furnace . room , single room tiny desk fan - air conditioning - good 4 star hotel . room tiny , literally small path walk get bed . that s maybe remove iron board , iron hairdryer room . we ask non - smoking room . 3 room ashtrays stale smell smoke . despite leave desk fan minute walk room minute leave , room remain like furnace . do not get sleep ! ! 
 Jun 19 2006 	 Poor Stab ! 	 dear oh dear ... begin . 4 star definitely . per previous review really time potentially fatal consequence . upon arrival whilst checking , meet foreign staff try calm exist ( already check ) customer ... customer hold syringe head find swimming pool . fact could afford change hotel would ask full refund leave there . needless say , wife immediately decide use swimming pool facilite see man hold potentially fatal item . check see whether pool close incident , regardless , happen establichemnt - especially four star rate one ! room lousy , window latch break - limit far open , beware young child could quite easily lead fall window great height ... per review , room far hot ( maybe catch break window ? ) air con - noisy rotate fan . hear room either side ease throughout night.bathroom disgusting . & quot ; power & quot ; shower head clog limescale dire need good clean , whole area around bath dirty scale mould . overflow bath thick scum . breakfast final straw ... foreign staff / not understaninde english lead lack service - machine dilute apple juice run apple syrup / mixture , staff understand - come water ... still wait fruit juice . change box / bag inside machine . 
 Jun 15 2006 	 Fab stay family ! 	 read previous review , full trepidation . reality turn different though ! give lovely welcome staff helpful WHOLE time , give direction , bring extra milk etc allow park outside good half hour whilst unpacked popping car NCP weekend ( £ 15 - reasonable ) .Our room large bright load space two teenager lounge area . fixture fitting good condition clean - delighted . leisure facitilitie great - complimentary towel pool , nice atmosphere .. busy .. right morning swim . breakfast good ' ve London Hotel ( ' ve stay 8 different one - four star ! ! ) . egg cook fresh fruit salad selection range food superb . definitely use ! probably thing could fault 10 min walk Tube .. good deal hotel , not really matter . 
 May 22 2006 	 love 	 wife stay main building think place worth every one 4 star . read bad review site concerned coz book last minute , pleasant suprise see nice room , corridor bar be . it seem like secret insist room main building . away annexe . we never use lesiure facility . they charge £ 20 per night park car - still cheap come train . 
 may 15 2006 	 noisy small 	 possible one bad night sleep ' ve hotel . we stay overprice , small , tired look hotel room , 1st floor , throughout night , could hear shout council estate next door , vehicle drive past . soundproof hotel pretty much none existant , proved neighbour check ( probably quite quietly ) 2 am . could hear everything . make matter bad , hotel room incredibly hot , would do improve situation leave desk fan room . not even extractor fan bathroom . the automate wake - up call simply not happen ( not person complain next morning ) , staff seem completely uninterested complaint . they ask night , list complaint , none note , receptionist response & quot ; oh , see owe £ 20 room upgrade & quot ; . . apology , promise get anything look .. ridiculous . terrible customer service , terrible location , 15 minute walk near tube station dire need refurbishment . oh , nice breakfast though . avoid . 
 Apr 27 2006 	 okay stay 	 spend two night February 2006 . room okay , little noisy . nice bathroom friendly staff front desk . Breakfast ok , ' ve well . the hotel spot business travel , 's much see neighbourhood . take 10 - 15 min walk Angel area find good restaurant dinner . 
 Apr 25 2006 	 Friendly Staff 	 stay Hotel happy . room big London , clean comfortable . food restaurant enjoyable . difference Hotel friendly staff Hotel excellent job look we . 
 Apr 23 2006 	 excellent - thoroughly enjoy stay 	 return brilliant 3 night break Thistle City Barbican . however , read review prior trip nearly cancel booking worry . husband 2 child stay Easter Weekend could not fault hotel disagree negative comment . we arrive hotel 11.00am check though room not ready 2 pm , leave bag concierge head London . admittedly area great however feel threaten - two youngish child woul not feel comfortable walk around dark . spend afternoon London return hotel room ready , quite big - say Exceutive Premier door assume upgrade - large double bed , settee bed also single bed still plenty room desk two chair . room include large bathroom clean , air conditioning unit usual equipment would expect 4 * hotel , ( hairdryer , trouser press , iron etc ) . child head straight swimming pool think great . I bite worried breakfast read review faultless . plenty food & quot ; full english & quot ; also continental although staff speak little english serve well . Easter Sunday child give Easter egg think nice touch . one word advice regard breakfast - arrive 8.00am start get busy take queue across block . overall pleasantly surprised hotel would recommend anyone , however would return stay husband , bit far tube station child . please put negative comment give try . 
 Apr 20 2006 	 poor 	 wife stay easter night see show Barbican . say good . apparently upgrade superior room , although find hard believe . room small , hot musty . bathroom small , shower not work properly , hairdryer bathroom not work properly , ' mini bar ' empty mildew inside . tv not work properly either . not pleasant experience . breakfast next morning like ruck , people everywhere , total chaos plate cutlery dirty .The good thing hotel get good deal 's close barbican centre ( though close one ) . 
 Apr 18 2006 	 bad Hotel experience ' ve ever 	 everything could wrong hotel . pre - pay lastminute arrival couild not give double room , twin . lift not work adequately - be slow stop floor . floor stayed decorate really close public . room small , date stank mixture stale smoke old food . simply awful experience . 
 Apr 16 2006 	 Rubbish - Apart Pool 	 stay main building greet arrival floor open undergo major refurbishment long overdue . wallpaper corridor wall sight lift door open shocking compare floor . room well past 's sell date stay business aware hotel full make 3 day . a colleague stay different floor room seem ok careful . pool , sauna change room facility excellent gym look good not use this . breakfast fine food hotel ok particularly stay business be well get taxi central London plenty well place choose not . I would not want walk atound surround area night - great part London tourist situate . would choice stay would recommend anyone . 
 Apr 12 2006 	 Tired Remote 	 normal choice hotel fully book , dismayed find book ' barbican ' Thistle especially understand take approve hotel list due many complaint . however , say find staff efficient , friendly helpful bed extremely comfortable . plus point . because stay time previously , know ask room main building rather annexe , grant . price company pay £ 135 include breakfast cheap well , convenient hotel London . breakfast good , usual full english cereal , continental choice leave much desire . not eat evening thought would try chinese takeaway across road fine , sight cheap ! downside , mention review , long way civilisation dispel myth area . having bear bring London , know 's pretty area . not mean particularly unsafe . clerkenwell ( give area 's proper name ) , Finsbury gentry live victorian time . although area neglect since , still likely next up - and - come area easy commute City West end . not many good restaurant around go couple block Goswell Road Old Street get well . head Hoxton Square near Old Street , first sign regeneration take shape . area become fashionable number up - market bar , club restaurant popular city worker . matter time sneak Clerkenwell improve place . Bear . really not bad look . however , not head north towards King 's Cross rough . one final note , become apparent Thistle Hotels let standard slip stay number hotel around UK head 3 star rather 4 . ' ve even sell flagship hotel Tower . 
 Apr 5 2006 	 advertise 	 book room via British Airways hotel BA advertise 4 - star hotel . definitely not . know fairly far tourist venue think would make distance really superb hotel . disappoint . the hotel two tower first room book dark , moldy bath , small television spindly tripod little else . peel paint wall , stain ceiling tile previous leak hallway lead room badly care thought book flophouse . visit front desk quietly say advertised BA 4 - star hotel say , opinion , not . staff unfailingly courteous throughout stay , instance , kindly change room one main tower say superior deluxe . well , question , still not live 4 - star rating . paint still badly stain chip , wallpaper stain peeling , stain ceiling tile maid service extremely spotty . leave tip every day write list need ( i.e . new soap , enough towel , extra coffee packet , etc . ) . not leave note not get anything except bed make one clean towel . would not recommend hotel . be far away anything visitor might want see involve lengthy walk near bus stop Barbican Underground station hotel qualify 4 - star rating . if be look 4 star want somewhat conveniently close tourist attraction , book different hotel . 
 Apr 1 2006 	 take review pinch salt ! 	 stay standard double room boyfriend one night , last night ( 31/3/06 ) . say disagree negative view post , follow reasons:1 . pay £ 69 stay ' 4 * ' hotel one night , amenity include gym . sauna , steam room swimming pool , well various treatment . hotel London access facility offer room price2 . price pay also include full BUFFET breakfast . english continental breakfast item , well toast ! queue breakfast long , however member staff take queue across adjacent building , mean wait , food . 3 . room fit description offer picture website . website hype standard room , picture accurate . room little outdated , particularly deco tv , clean comfortable4 . although hotel seem permanently busy , could hear external noise . great ! however , understand discrepancy . different people come hotel different reason . negative points:1 . staff not always helpful could , e.g . want watch film , need give credit card detail . go reception , greet 30 min check queue , member staff appear nothing refuse help say finish shift ... ? however , helpful via telephone . 2 . hotel assume mainly cater suit , will not need use gym facility , perk everyone . 3 . ask double room rather twin room check , even though request bookingthere fact perceive problem reason attach . firstly , hotel 10 minute walk either Barbican Old Street station . clearly state website staff - see map website moaning proximity . secondly , come across second buidling , speak people happen place . hotel fairly nice . honestly . thirdly , agree surround area little grim , avoid walk ask mini cab black cab nearest main tube / bus stop prevent worry . book hotel via offer , recommend double check get Breakfast include , receive bed type require . also recommend printing map journey Old Street / barbican familiar London . hope helpful review read . quite like hotel . 
 Apr 1 2006 	 isolate location 	 despite name , hotel Islington near either City London Barbican Centre . locate Central Lever Streets , two secondary thoroughfare . somehow , manage find location close anything interest either tourist business traveler . near underground station Old Street 10 - 15 minute walk unencumbered . near bus stop 5 - 10 minute walk . make , morning afternoon commute hour offer shuttle ride tube station barbican , Moorsgate , Old Street . unfortunately , shuttle service back hotel . there initial confusion check . room reserve , apparently Priceline yet pay . resolve leave . ask want upgrade additional £ 20 , would move air - condition room ( necessary cold weather ) , get " free " newspaper , provide access health club . decline . Breakfast include Priceline price . I request non - smoking room . room receive " non - smoking " sign door adjacent room , detect smell tobacco smoke . the room large expect , 20 sq . m. , two twin bed . clean , housekeeping staff good job cleaning make bed every day . the window look onto Central Street , moderate amount street noise . hallway noise could easily hear , probably gap bottom door . sound insulation room adequate , bathroom OK . sink separate faucet hot cold . even though lot space allocate bathroom , poorly lay , everything seem slightly cramp something way whenever want move turn around . small hotel bathroom well layout comfortable . room share common plumbing , pipe noise could heard water run one room . I need leave 5 am , ask desk clerk call cab . suspect someone hotel get kickback gypsy cab pick , since charge £ 12 short ride underground station king cross - St. Pancras . overall , would say ok Priceline price $ 75 / night ( $ 70 bid plus ) six night . hotel rate 4 star . would give 2.5 – 3 star . 
 Mar 31 2006 	 terrible not waste money . 	 say terrible , might bit extreme really not enjoy stay . business get & quot ; cheap & quot ; deal £ 69 . really not worth pretty dodgy area . Felt bit tense walk around lone female . room nice , clean sleep well good mattress . pool also nice , albeit bit trek get . staff barely speak English . restaurant real let . awful , overpriced , overcooked food grumpy waiter chef . obviously not clue cook . have pay overcooked & quot ; carvery buffet & quot ; ( like eat leather sol ) tell awful . although bring chef talk , could not really justify bad . not offer refund ( even though eat little ) get letter apologise , still offer compensation . avoid place restaurant . 
 Mar 29 2006 	 great .... 	 never hotel divide opinion much ! fairly ropey area feel perfectly safe walk back hotel late night though would not like think sister thing .... also nowhere near Barbican .... key place ask check ' to new building ' ie actual check room well one long shoot . old build nearly pleasant recommend . breakfast fine plentiful , though walk smokey area access breakfast section . service good member staff . overall reasonable stay give choice somewhere would stay ............ 
 Mar 18 2006 	 one step flophouse 	 small , shabby room . AC vents- radiator floor fan . clock radio , box tissue even pen . small room safe , not bolt ! telephone internet access ridiculously expensive . neighborhood shabby . staff pleasant , sometimes competent , mostly clueless . 
 Mar 12 2006 	 nothing special 	 stay one night single standard cupboard room . very basic clean . if not stay work purpose would dissapointe . it take age check ! ! 
 Mar 2 2006 	 abysmal 	 hotel would fine £ 50 night . however cheap , room give horrible , staff barely speak english location poor ( slightly dodgy ) . Add request wakeup call 5 am , would recommend . 
 Feb 25 2006 	 IMPORTANT ! true double edged sword ! 	 well , well , well . girlfriend stay hotel consecutive weekend . first weekend fantastic , second tragic . the Thistle barbican 2 building . main building , reception desk , old building opposite . the first weekend stay hotel great ! room 3rd floor main building . room big , warm , clean , comfortable ( especially large bed ) sound - proof , also , bathroom nice modern . drink bar also pleasant . the second weekend absolute nightmare ! check later previous week put room 1st floor old building price . room small , old , cold , dirty wall thin visible gap main door ? ! massive step disappointment think ! vacant room main building ! stress enough : NIGHT STAYED room marred GREAT long WEEKEND POINT . get room service must say fast tasty ( Scampi ) price ( £ 20 ! ) .All say get confirm room main building ; GO ! 's nice hotel . if can not please not bother ! absolutely business pay money stay room bad hostel room ' ve stay ! really need refurbish old building ! ! ! 
 Feb 25 2006 	 bad get cheap deal 	 return two night stay thistle barbican read previous review somewhat apprehensive staying . location not great 's certainly 10 minute walk Barbican . our room not ready check 1 pm wait hour . room build opposite reception - apparently room standard room . bathroom although small clean enough towel . overall room adequate although peel wallpaper desk somewhat put . the hair dryer not work follow call reception replace minute . breakfast average reasonable choice . staff generally pleasant helpful . overall definately four star hotel definately worth normal rate . it be bad get cheap deal would not return . 
 Feb 24 2006 	 Shabby bad location 	 stay whilst work City 2 night . location poor , £ 8-£10 taxi city morning . book double room , pre - pay , check tell standard double available ( 5 pm ! ) give twin room . room shabby , bathroom tiny smell musty - sort bathroom take show bath . mattress old spring leave . order alarm call day course not get second one , luckily already susse kind hotel set phone alarm . standard room get may depend side hotel be - got see nice side searching room check - in clerk not tell across road . good things- concierge pool / gym staff helpful . 
