excellent 	 stay hotel solo traveller , visit various friend London , location hotel excellent , right next door warren street station , & amp ; within 5 min walk Euston & amp ; Euston Square . unfortunately warren street closed maintenance weekend , Euston square 2 min walk . first impression think hotel reasonable value money . night single room small & amp ; perfectly adequate Freezing ! turn thermostat room , work , huge window blind cold draught could feel . cold could sleep properly , morning report reception seem fluster people come & amp ; go . go breakfast & amp ; wait 20min get table , lady seating say 's busy morning , realise many guest come breakfast . breakfast lovely great & amp ; prompt tea & amp ; toast . presume heating fix due card room night say problem report sort , night freezing , get kitte jumper & amp ; legging well pj thing warmer & amp ; well night sleep . also note room ask go breakfast later busy , 9 - 10am . the hotel clean & amp ; staff friendly enough , expect well service 4 star hotel . admit not complain cold room breakfast queue , get , find disappointing ' ve stay hostel , tent etc & amp ; pay well hotel treat , not help rain hard 2nd night , street flood & amp ; soooo cold , make hotel room noticable . location wise hotel fault , would stay cheap , & amp ; thermal course ! 
 Jul 31 2006 	 absolutely terrible 	 spend two night could wait leave . one help baggage hallways meander dirty . bed like spring sheet AC not cool well . bad shower think water pressure problem go change setting . well , whole shower head came spew funk stuck know long . staff laugh happily tell say would fix . comfort . place convenient lot thing trade suffer unpleasant night . 
 Jul 12 2006 	 never fear -- be bad . 	 boyfriend book room last minute two night Top Secret Hotel another site . reservation came check TripAdvisor little wary . arrive pleasantly surprised . first , arrive , pleased see close Warren Street Underground stop . really quite literally right across street . lobby sleek well - appoint , staff polite professional overly fawn . trainee checkin could not find reservation . sorted show we lounge offer we tea coffe , accept never come . not wait long , anways , though -- perhaps ten minute -- not upset . offer choice inside room street - face room first ( second ) floor . even * warn * trainee checkin street - face room would & quot ; noisy , & quot ; not hear thing , neither boyfriend particularly deep sleeper . much relieved saw room . yes , small , small , small , room London . not small claustrophobic . nicely decorate . wear spot ? probably , hunt thing , room spotlessly clean nothing fall around we , not concerned . pick ? mostly minor thing : could not turn AC low 65f , prefer icebox temperature . light spotlight fashion either dim harsh . dresser , long stay one might object lack sufficient storage space , two night certainly enough room . plus ? bed terrific , towel huge , pillow well ' ve ever . quiet , room street , clean , safe . think 's 4 * ? eh . really . be probably solid 3 * , slightly overpriced , . not nearly bad have lead believe , ' ve book get nervous , relax ! will probably fine . 
 Jun 23 2006 	 Disappointing 	 stay struggle get anywhere else similar star rating . arrival hotel appear fantastic location however noise night unbelievable . near & amp ; e dept , sound ambulance siren go night air conditioning room terrible choose either heat noise . know go good stay arrive 3 pm ( check 2 pm apparently ! ) find room not ready could go walk come back hour ! come back still not ready offer we smoking room ( room available ) give we key card , tell we room number ( also write card ) go . get open door find somebody already . apparently common go back reception another couple also walk somebody shower ! finally get room satisfactory - compact , clean uncomfy bed ! ( pillow hard roll towel instead ) . positive note hotel right next Warren St Tube Station walk far heel ! also serve great breakfast . staff unfriendly none seem know go - stand smile falsely . would stay choice . 
 Jun 5 2006 	 great location clean smart room 	 stay Radisson one night . hotel excellent location , close tube bus 20min walk covent garden . room clean spacious . bed comfy lovely big pillow . location quiet many cafe tesco right next door . staff poilte friendly . stay last minute.com £ 75 double room think excellent value money somewhere central london . 
 May 26 2006 	 pleasant experience ! 	 hate place much check early go home sleep bed . ! room small furnishing tired . check daughter offer help case struggle long corridor eventually find room . hotel overprice could not wait leave . usual Radisson quality fact long time ever try Radisson USA standard much well comparison all . do not stay Radisson Edwardian unless can not afford anything well . 
 may 17 2006 	 clean modern hotel 	 stay [ last Minute 's ] ' top secret ' hotel , treat night london go friend 's birthday not want rush home . I work near know location well , right next Warren st tube numerous good bus route - easy get back night . upgrade large room kingsize bed £ 89 deal pretty good . not know whether always [ last minute ] deal , worth go . spend considerably hotel room London get considerably less , really bargain . probably regular room bit small great , really clean modern , good air con necessary - top floor & amp ; noisy open window ( ? due air con machinery outside ) . however double glazing work well window close not problem . really good shower heat towel rail . stay hotel regularly work would rate well average , pleasant courteous staff . 
 May 11 2006 	 good base north side city centre 	 upside : clean room public area ; comfortable bed ; friendly helpful staff , good ( overprice ) breakfast buffet , short cab ride ( walk , ' ve little baggage ) Euston rail station ; practically top Warren Street tube station ; reasonable range pub restaurant within 10 minute walk ; appeal shop Tottenham Court Road ( include Heal 's ) Marylebone High Street ( e.g . Conran Shop ) downside : , really , room small side ; light tv control bedroom little hard fathom ; sure halogen ceiling spotlight train pillow favourite form bedlight ; even though room side street secondary glazing , little noisy . beware minibar , one ( two year - old ) need move item charge bill . it be fifteen minute stroll Leicester Square , be handy British Museum Regent 's Park ten minute walk . need part city , 's bad choice . 
 May 4 2006 	 tiny tiny room 	 stay hotel 2 week London business ... stay hotel many country Europe , average much small north american standard , small room ever see . room double bed tight window ( overlook alleyway another wall ) 3 foot door bed . foot bed bathroom . that s not enough floor space open suitcase put bed . could barely set iron board without bang somthing . 13 inch tv hang wall . really claustrophobic . late night party people next door could hear every word conversation . staff indifferent .. average service . ask large room since stay 2 week basically say , that s . would think hotel would treat business traveller little TLC , since huge part revenue , certainly hotel . , will not go back would recommend . 
 May 2 2006 	 Brilliant - feel like film star ! 	 stay one night pull show last Saturday . book family room , two child tow - advertise double bed sofa bed - thought would one room . how wrong ! lounge area huge - glass table eight dining chair , sofa bed . bedroom - king size bed , 2nd tv - bathroom - really plushly do - immaculate ! thing get sting breakfast - not realise not include , bump bill . would read small print , would go Mcdonalds downstairs . excellent location - right tube bus route - get travel pass day , use . 
 Apr 18 2006 	 Excellent Hotel 	 hotel part surprise husband 30th birthday . hotel ideal location . 5 minute walk Oxford Street theatre . fantastic . check , member staff wish husband happy birthday - nice personal touch . room airy clean . bed comfortable . breakfast serve buffet style big selection taste . excellent hotel - really can not see anoyone would leave bad report . 
 Mar 25 2006 	 Clean 	 stay Grafton second week March business trip . well take care , even upgrade large room back hotel quiet . ( think something write letter complaint SAS Radisson prevoius stay another hotel London ) bed good room spotless . travel single female business would definitely choose agin . location around corner Warren St tube station within easy walk distance Euston Station perfect . also situate & quot ; nice & quot ; side Euston Staton make evening stroll home work rather pleasant . 
 Mar 2 2006 	 real let 	 stay sister Kenilworth Hotel time disappoint Grafton . much actually complain rather normal ' oh well ' self . room small hardly room single bed desk . blind room effect curtain break , phone point bed hang wall wardrobe require item hang sideway fit . breakfast fine conference facility use let . lunch attendee awful real choice ask one occasion thing deal conference room ( enough coffee / not enough cup / not enough water / table set agree night ) 
 Mar 1 2006 	 Fantastic 	 Fantastic hotel ! price pay even well ! stay executive room price advertise £ 300 book threw lateroom suppose £ 160 miss 0 end pay £ 16 ! bargain night lovely hotel ! hotel right opposite Warren Street Tube Station hotel ideal place explore rest London . opposite hotel Sainsbury 's local tesco express nextdoor mcdonald plenty place buy last minute thing ! hotel lovely could not fault ! bed lovely comfy ! room clean , tray tea coffe provide , also wine glass ( buy cheap wine sainsbury like ! haha ! ) room table two chair , tv , room internet access . bathroom also lovely soap , shampoo etc provide . overall lovely hotel ! problem phone call reception 11.40pm ask bf check ! find bit odd present check early day ! ! treck reception time night check well ! not know ! two people share room check ! odd indeed ! lovely room , would definately return hotel . 
 Feb 26 2006 	 really good ! ! ! 	 second time Grafton . location excellent - within easy walk distance west end , Covent Garden , Oxford Street shopping . tube stone throw away hotel ideal people want explore London . room great amenity require . check in / out straight forward . time breakfast include , first day fine , however second morning Saturday , would suggest go early 9.15 wait ( although long ) , other come we much long wait . overall really good hotel great location . definitely use hotel . 
 Feb 19 2006 	 Radisson excellent 	 problem scan review page swing quotes & quot ; Nightmare & quot ; & quot ; Superb & quot ; .Personally think excellent . staff polite helpful location right next tube real bonus . certainly would recommend hotel anyone want spend couple night london . the twin room excellent necessary comfort make stay happy one . 
 Feb 9 2006 	 Nightmare 	 Absolute nightmare ... allocate room 125 ... still Occupied .. small single room ever seenmove room 154 ... pigeon decorate window much could see .... room dark .. blackout .... luckily friend phone say allocate room 154 ... stuff view , laptop ... move double room / small price ... staff little english speaking skill therefore every time problem double work try explain wrong ... overall ... avoid hotel .... many well hotel available via lateroomsRadisson way 
 Feb 5 2006 	 wonderful hotel 	 bit hesitant stay hotel read couple review nothing excellent service hotel . I stay partner standard double room one night February 3rd 2006 . pay £ 79 + vat room , 4 * hotel London , think pretty good . we arrive 11 am check - in not 2 pm ask could leave bag later pleasantly surprised find room ready could go straight up . we room 4th floor , several long corridor quite far away lift fine we . room mean large plenty big enough two we , especially see though not spend lot time . also nicely decorate quiet . well ( comfortable ) double bed desk chair , small table 2 extra chair , mini bar , tea & amp ; coffee faciltie TV . bathroom marble nice , basic toiletry provide well free magazine room . entire hotel clean tidy lovely atmosphere . lift could confuse not aware need room key activate explain we check - in plenty notice lift . the downside hotel find price bar ( restaurant although not actually eat restaurant ) 4 * hotel 's price expect . breakfast room cost £ 16.50 wide selection option . also two cocktail bar £ 8.50 ( plus ' optional ' service charge 12.5 % ) pricey special occasion could justify it . all staff friendly helpful . problem store bag check - out later day . check - out via in - room tv quick easy too . the location hotel also excellent . short walk / one tube stop Euston station nearest underground station ( Warren Street ) literally step hotel northern line mean quick easy get pretty much anywhere London . we would not hesitate use hotel although would probably stay away bar restaurant many interesting ( cheap ) place eat & amp ; drink London . room price feel excellent value money . 
 Jan 20 2006 	 Strange Hotel 	 first arrive hotel , put room quite large . long bed sink area headboard window . little weird , use conventional headboard wall . notice room lock inside . know , one chain lock thing . London pretty safe , plus regular lock . agonize 10 minute , realize able rest peacefully . ask get room change . little resistant first whick appreciate . get new room end . new room much small 's par London . room clean . not get closet suitcase , hang bar 1 ' wide . good news room huge flat screen tv hang wall . London business , plan spend extra time room , fine . 
 Jan 12 2006 	 Clean 	 stay three night late December . Waterloo ( Eurostar ) station , cab fare hotel £ 9 , include tip – Victoria ( Gatwick Express ) , would , perhaps pound less . select hotel , three top criterion location , internet access , clean room . , Radisson Edwardian Grafton score highly . there plenty restaurant nearby plenty coffee shop ( can not live without Starbucks , ' five short block south ) . Sainsbury 's Central ( i.e . supermarket ) across street . across another street ( hotel corner ) Warren Street tube station , serve two useful line , Victoria Northern . ' mcdonald ' next door , notable ' open late . Broadband internet access , via wi - fi connection provide Radisson ( mean third party like T - Mobile ) , free . among great benefit hotel , uncommon London hotel charge outrageous £ 15 / day connect . know long last , , ' real advantage . there complaint worth mention . check - in slow . check - out even slow . unless ' mind wait line , would recommend either check via television well morning exodus . the ROOMS SMALL ! single , able peek double well . mine , estimate , 17 ' x 12 ' , include bathroom . take getting use , be sure , short stay , able adjust . the room , however , clean well - appoint good , modern bathroom . ample electrical outlet , UK US socket . hotel recently refurbish , without question deserve much high trip advisor rating 382.my conclusion : get good rate put live well - appoint closet , would strongly recommend hotel . location provide quick direct access touristy area city ( Green Park , Oxford Circus , Leicester Square , Charing Cross , Victoria , Waterloo ) , convenience want nearby easily find . ' give hotel four star ' London . USA Asia , three would appropriate . 
 Nov 29 2005 	 like ! 	 book hotel special offer lastminute.com use hotel & quot ; unnamed & quot ; last minute getaway although easy work hotel . like , room modern everything need . stay number 4 star hotel London good . high floor atteh back quiet . leave pair shoe soon ship back fuss . one bad thing quality expensive cocktail bar . disgusting send back . suppose pay premium rate may less impressed . 
 Nov 28 2005 	 give Grafton miss 	 single room occupy extremely small . central London perhaps unusual room shabby dirty - ball dust fly wardrobe . nothing seem work . shower ( bath ) dribble water , plug jammed sink remote control television work . nobody come give we bill bar meet rudeness try pay . travel companion 's room remain uncleaned 3.15 afternoon . 
 Nov 9 2005 	 Hotel room terrible . 	 hotel room terrible . when came get room nr . 132 small could breath even open suitecase . room starircase make rather funny . complain tell could get room smoking permit . awhile girl tell another 4th floor 418 . showed say ok . offer help bag . husband come satisfied first thing go toilet find could flush . husband ring complain find dirty men underwere cupboard . tell we would fix toilet . ok go good day . when arrive evening nothing fix . complain next moved room nr . 420 . want open window ask man give we room open . say break send somebody fix awhile . open coould close , let . sorry say staff nobody offer upgrade little . be careful hotel , don´t go there . Sigríður Friðriksdóttir 
 Nov 6 2005 	 Dissappointment 	 know Grafton gear business traveler husband vacation , state big dissappointment . first say West End , really not . good ten minute taxi ride anything picture West end . look online picture hotel not realize retouched picture remove McDonald 's right underneath . first see arrive Golden Arches . room end seem like endless maze hallway , clean , though bit small . least three place warning remove anything room , much would cost . understand state one place , silly remind would cost 89 pound take bathrobe hotel not bother put room . use hotel internet next morning , two five computer work hotel staff seem unable uneducated get run . disappoint hotel . thing good say check breeze , tv room . maybe great business hotel vacationer . 
 Nov 4 2005 	 Good Location that s ! 	 hotel good location , right next Warren St. tube station , easy travel around . the hotel much . room tiny , small hotel room ever see , small could walk around d / bed . bathroom big enough one person . mini - bar sign say interactive ? ? ? item move , yes move , automatically bill ! ! ! service poor , barman simply rude . not even make eye contact taking order . price drink expensive top service charge , feel order bar . also staff argue one another full view guest . I guess stay location , service value . 
 Nov 1 2005 	 worth money 	 stay 2 night tiny little room tiny 4 ft double bed wash hand basin crack £ 220 include breakfast worth would recommend anyone , would stay , 
 Oct 23 2005 	 good location nice room awful service never ! 	 know sort place would moment book . & quot ; Dee room rate ees eighty point five greet breetish poound night & quot ; .this one hotel trade location little expenditure room , claw back employ almost exclusively foreign workforce seem little experience interest look pay guest . the location great Marylebone Tottenham Court Road , two minute Warren St. tube station easy access part London . room , like Radisson Edwardian hotel plush feel small , awkward move around time , cluttered . however , go pre - emptory check - in spend 15 minute lift go anywhere floor another guest save mention insert key card lift button console able select floor - provide someone not hit call button have finish try get card slot . would nice someone would bothered mention check - in . my room small nicely furnish ( modern brown leather heavy duty white stitching ) call someone get tv work . eventually frustration wait go mess around floor behind mini - bar find not plug . however , even would got picture , flick page advertisement hotel service porn film could view BBC news . I try iron shirt iron would not work call reception ignore rang . eventually african lady call room service badly break English explain button ironing board neeede push operate iron . having gone come back try watch tv get & quot ; message waiting & quot ; screen would disappear matter many button press . three call 30 minute wait assistance tell night manager bed would expect 50 % discount , blithely agree . unsurprisingly , checking - out discount appear receptionist knolwedge discount make matter bad , room cost lot expect . ? not quote rate inclusive vat - people UK still ? might decent hotel have stay three four time almost everything odd hidden trick 's immensely frustrating place visit 's design convenience staff rather guest . feel like bit rip - off . 
 Sep 27 2005 	 great location ; small room ; delay check - in ( unimpressed ) 	 quite pleasant hotel . unbeatable location , almost next Warren Street Tube station , access Victoria Northern Lines . corner double room small , face ' courtyard ' ( pleasant view , quiet ! ) . bed 4 foot 6 double , comfortable . bathroom small nice . staff pleasant . complaint check - in advertise 2 pm , turn 2.25 tell room would ready another half hour ( unless want smoking room , tell would smell strongly smoke ) . upset tight schedule , return hotel check later . staff apologetic , hotel need get act together . clean smoking room first ? ? 
 Sep 26 2005 	 Quiet back 	 spend six month hotel firm prefer choice . mostly hotel average clean big fall room front building . double glazing noise intrude every night enough keep awake . upon book staff seem determined place customer front room take bit haggele get release room back . big complaint lose item . three occasion leave valuable room Friday tell Monday check cleaner find item room . maybe norm London hotel large city hotel make acceptable . second complaint concern bathroom , although adquate room stay seal shower / bath . therefore every shower one need dry bathroom floor . staff always friendly . location great . install double glazing . 
 Sep 16 2005 	 well average 	 stay one night day training course . room small well fit everything work . noisy , find earplug solve problem . service surprisingly good , front door onwards restaurant conference staff could helpful . surprised find service price London . 
 Aug 22 2005 	 Great Hotel 	 stay business trip exceed expectation . sleek , boutique - like room ( small side , be expect London ! ) . comfortable bed nice bathroom . also highly impressed free internet room low level . 8 computer free guest 24 hour day . bar staff nice make we fantastic mojito . locaion great -- block hip restaurant right next underground station . definitely stay ! 
 Aug 19 2005 	 love Radisson Edwardian Grafton Hotel 	 hotel wonderful . staff pleasant , helpful , knowledgeable friendly . room excellent , clean beautiful . walk hall housekeeping staff nice friendly . notice housekeeping staff dust top door jam top picture frame wall , thorough ! location superb , 10 second walk Warren Street tube stop . also walk distance anything may need want . like hotel much go back stay another night . 
 Jul 7 2005 	 pleasantly surprised 	 stay various large busy London Hotels surprise Grafton regard cleanliness , quietness ( ' inside ' room ) pleasant well train staff . the room decor certainly appeal we , neither hard chair bedroom . bed comfortable would like stay warm spell room air conditioning seem inadequate quite noisy ! surpass expectation . 
 Jun 27 2005 	 beware grafton st . side hotel ... 	 book business room , get , small room , other comment . agree & quot ; tatty & quot ; another description . booked business include wireless . guess ? wireless signal side hotel . keep call concierge either get fix - could not - get move room could . there no - smoking room available grade room . suggest upgrade , , whatever next class room could get work . possible . suggest discount room rate ( also noisy get first floor side hotel bizarre floor ceiling strip window ) .The concierge disappear phone saying would call back & quot ; something & quot ; - 15mins , call - go meeting - say look room would back two minute - ten minute later call : look , ' m sure be busy 's nice trying find solution , ' m really run late ... 's way say . ten minute say , will sort later go ... colleague come right show another room , suite . ok . two minute ' m door deal later . the suite , another side hotel look totem court lovely . really nice wireless actually work . complain ? well , one hot day london AC working - 's fan . bring person 's attention be take we suite - yes today engineer work it . the next day , still fan , ac . call reception . tell 's AC . also safe locked , open ? 45 min later , one open safe - would fine tell would 45 -but say & quot ; will right & quot ; . & quot ; right & quot ; mean ? anyway , repeatedly tell AC work . fix . guess head - head cleaning staff openne window stifle . so , stay suite , 's fabulous hotel . plainly be one reviewer thought upgrade right away suite . be regular punter , room tiny tatty ; be next level , business room still tiny tatty wireless may work . expect delay need move . concierge find solution problem - least wireless one , AC - one nice hotel room ' ve stay . really lovely . take repeat request service , much back communication side keep customer inform go . high side , unlike reviewer , perhaps ' ve improve breakfast , food good : mushroom fresh , grapefruit slice tasty , would nice cereal option sugar ( oatmeal anyone ? ) , soymilk offer beverage cereal & quot ; milk & quot ; - 's welcome first experience . I ' ve stay Edwardian British Museum . room well - though big , dining room small , modern food good . choose two , would go one , location Grafton ideal work take end town . right tube station many bus . real mix . staff seem knowledgeable tad taciturn ; other seem ; other definitely work english second language issue . another reviewer point , 5 tv station , even suite reception surprisingly fuzzy . if ' ve get cash burn , special occaision come tho , want london , book suite directly - one second floor - will not disappoint . reviewer say , be regular business room , real plus location . 
 Jun 20 2005 	 recommend Grafton Hotel 	 pro 's far outweigh con hotel . stay 3 room type hotel - standard double , deluxe King Suite . average come London Hotels . Warren St tube station right next door , convenient everything . also see Rock Dominion Theatre close . room clean staff ok . Suite magnificent . 5 computer Business Center , one ever work . report every night ( 5 time total ) other never fix staff could not care less . breakfast magnificent , always eat big not need lunch . thing feel really need work hotel new carpet throughout . carpet corridor room wear , tear , small stain . 
 Jun 1 2005 	 Good Location okay room Bad Everything Else 	 would stay . check - in staff great rest staff rude almost miss plane recording wake - up call . room okay nothing special , bar close early staff want help want spend money . treat poorly check - out . well place stay London . book third party website though everything take care pile charge top already pay would take even show reciept . maybe bad couple day . 
 May 30 2005 	 rude managerial staff 	 staff courteous . lady manager attend call laundry rude . Saturday ( 21st May ) call laundry . show , pull laundry open scatter everything across bed . demand personally count every article garment front rude , command tone . certainly awful ever experience hotel charge UK 1.4 pound clean pair sock . furthermore , respond complaint . 
 may 23 2005 	 Good Deal ? 	 manage get good deal lastminute.com , 2 deluxe king size room £ 118 each . we request early check able get room 1.30pm . hotel staff welcoming check we efficiently although friend credit card swipe time ( become problem ! ) room quite good ( differ ) , bit dark well appoint , ( not expect view , overlook centre square machinery etc . friend opaque window view ) . room nicely decorate huge comfortable bed great bed linen & amp ; pillow . bathroom good sized towel flannel amenity could ask , shower cap , emery board , cotton bud , cotton wool , body lotion & amp ; hair & amp ; body wash , hook wash kit & amp ; dress gown shelf bath / shower . room 2 seater sofa desk area modem point & amp ; double plug socket . remote control TV think wrong side room anyone one side bed would easily able watch tv bed . there iron , iron board hairdryer + wardrobe light come open door . air conditioning also available . one word warn not pack slipper cost £ 30 pair cost bath robe something like £ 85 , warn . restaurant light & amp ; modern , evening menu give fair choice main course butter vegetable choose excellent . could say cheese platter , decide share present one plate approx . 12 cheese biscuit + 3 small piece cheese ( nothing like selection offer menu ) one thin sliver celery ( hide biscuit ) + 1 empty plate . request celery grape , grape finally materialise celery , cost poor choice £ 7 good value money . problem come ask charge room would , authorise friend go back room get credit card pay meal & amp ; drink . room relatively quiet people settle , one curtain blind work properly let chunk light wake far early want . tea & amp ; coffee make facility mini bar room want avail they . breakfast cost £ 15 good choice food , include usual fresh fruit , cereal bread product , good value staff helpful polite . would stay , yes could get good price , be convenient Warren Street tube station far walk main shopping area . 
 May 4 2005 	 good hotel great location . 	 wife stay one night see Rock Dominion . even though stay one night make feel welcome give room quieter rear section hotel . read previous review site slightly apprehensive give , find well decorate room ( small US standard average London ) clean large marble bathroom modern fixture fitting . show use well appoint bar curteous staff never let glass get empty . next morning sit full english breakfast Astons restaurant , call original meeting place Aston Martin owner club , meal would expect serve excellent surrounding . anyone want Hotel within five minute walk Oxford street Dominion theatre clean beautifully decorate need look , say critic site must previously stay big house end Mall ( buckingham palace ) . 
 Apr 28 2005 	 Fine Hotel - good location 	 wife stay ' Edwardian Grafton ' hotel three night 21st 23rd March 2005 celebrate 40th birthday . extremely pleased room ( upgrade suite ) . decor modern clean impose dark wood wardrobe headboard complement 2 seater black leather setee glass table chair . this set impressive mahogany colour wooden ( wood effect ) floor . bathroom considerably large average handy double ' walk ' shower , bath large trough - like sink - ideal two people use time . while not use bar evening meal stay , find buffet breakfast good could expect . the location extremely convenient . simply turn right emerge Warren St. station 's 40 metre away right . Euston station one stop away mean quickly hook underground line . I can not understand negative feedback ' ve see site regard hotel . think people must use standard suit Sultan Brunai . ' ve stay many hotel London business etc . , price get one good . 
 Mar 1 2005 	 use expense 	 stay one night end Feb 2005 . + the place ok - one night be own . right next warren st tube station . tesco express . mcdonalds.great bar arealol price list room content - eg £ 300 bed throw ( next £ 30 ) , £ 40 basic travel kettle - fix shower - hateful . fix soap/ shamppo wall - also hateful - stand bath get handful soap . standard room small . I ' m glad be not pay ( company pay £ 100 night ) . 
 Jan 29 2005 	 Disappointed Radisson 	 give price reputation hotel chain , disappointed . room tiny , badly design bathroom make difficult get in / out bath . breakfast lousy , raw mushroom uncooked tomato along water orange juice dirty glass . well hotel London well price . 
 Jan 11 2005 	 Gloomy 	 's ok night glad booking not pay . the reception area utterly devoid anything resemble comfort seat certainly not encourage loiter . bar restaurant clean lack form charm ' strip ' lighting latter give ambience canteen soviet tractor factory . my room clean comfortable extremely small . provide iron iron board attach cable . one try fold whole affair away iron still hot not advisable blister hand testify . let whole affair cool find squeeze past pitifully small amount space leave . the shower cubicle miniscule fix head shower angle order test temperature keep door close sufficient space put hand inside risk scald . overall place lack form charm clearly gear get nd quickly possible . short business stay 's ok leisure stay . it be get tatty well ! ! ! ! ! ! 
 Jan 6 2005 	 Good Hotel - Great Bar 	 stay one night business - book deluxe room upgradedfree charge corner Suite , beautifully furnished , comfortable bed absolutely huge . window ever see hotel room . road noise could heard ok . bar servive fast friendly , check pretty quick . stayed see standrad room first impression mean would return . 
 Jan 4 2005 	 good Location Plenty extra facility room 	 problem review Tripadvisor know price pay reviewer hotel room hence difference expectation . one find hotel simply unbelievable price pay . lastminute offer double room £ 65 per nite without breakfast . stayed 1 Jan 05 2 niteslocation.1 minute walk Warren St . underground station ( Northern Line , one station away Oxford Circus ) . suppose walk Oxford Circus since one station away not try . tesco shop away Sainsbury directly opposite . direct bus Kingscross Euston train station 5 minute away . RoomRoom adequately sized come small table + 2 chair , dress area , tv ( bbc+foreign Channel+PayTV+Eurosports ) , Luggage Stand , Wardrobe , HairDryer , Trouser Press , Ironing board . nicely furnish comfortable bed . quality furnish definitely much well 3 star + supposedly 4 star hotel . like cold drink every night great free ice machine level ( every floor ) plastic container could fill bring room . coffee / Tea making facility . small fridge charge automaticallly take thing . OthersInternet supposedly free Business Centre open 24 hour day not opportunity check . gym well . restaurant , Aston , apparently well know restaurant need reserve table . newspaper available concierge desk free every day . also keep luggage check due go home yet . overall price pay even cheap price use pay 3 star hotel London . rack rate slightly £ 200 night , nobody pay rack rate anymore suppose . 
 Dec 31 2004 	 ok short stay 	 stay December 2004 . room comfortable , small , fine one person . room service food good quality , expensive London price . location ok want Oxford Street shop , prefer Knightsbridge . small adequate gym . good value internet rate pay . 
 Nov 5 2004 	 ! vacationer 	 Radisson Edwardian Grafton , repeat place stay vacation . could live one two night business definetly want stay vacation . first , location . near Regents Park be lead believe . 's good 6 block away . hotel remind right Times Square , except one good restaurant within walking distance . seriously , one . 's busy noisy road . effectively lobby meet . meet room bar smoke . web site picture show , Radisson try well renovate property , look like picture anymore . be already run , maintenance terrible . get 130 Euro rate two standard room internet breakfast . get little early , tip front desk clerk $ 20 make sure get decent room . upgrade we deluxe room . one room daughter ok , move one night . mattrress horrible , A / c ineffective , rub electrical system turn light bathroom , turn spotlight right bed person sleep . 130 volt AC plug not work . forget internet connection . provision high speed broadband room dial not work either . go Business Center basement 6 pc 's generally 4 work . wait line find one work internet connection , wrestle ethernet connection . place dirty . really filthy . carpet , particularly hallway badly stain , 6 night , one work clean . move first night , take we look 4 other find one could accept . however , even hallway fifth ( top ) floor incredibly foul mildew smell . people , concierge , wait staff nice try make right . get credit first night one room . not fault place run . Breakfast typically british . cold runny egg , raw bacon , cold toast , coldcut content look toxic . love London . yet find place decent around $ 200 / night . either get place like , spend least twice amount get someplace nice . would still tell anyone know avoid place . 
 Nov 3 2004 	 Good Location standard 	 highly recommend hotel helpful concierge , well appoint room good food . 
 Oct 5 2004 	 good choice 	 stay Grafton recent business trip London . hotel consist two building . stay old building . room spacious quiet . enjoy stay recommend good choice . 
 Sep 25 2004 	 Impersonal Pomp 	 stay Hotel begin August four night . someone work hospitality past 7 year know expect Hotels . currently work Top Hotel NI . check fast , efficient lady pleseant . room disappointingly small face back constant drone a / c could clearly hear room . concierge staff like plank wood quite frankly , rude , abrupt seem think important people Hotel , think ! ! almost tap get attention . could nice hotel lack basic staff training need vast make ! 
 Sep 20 2004 	 nice hotel ! ! 	 stay hotel one night go see Rock Dominion Theatre . really good night , show excellent would definitely recommend go see stay Grafton . the hotel really nice , not know complaint review ! modern chic , comfortable time . check tell two room book upgrade deluxe room , compliment hotel . nice suprise ! room pretty small , ok , do not need big , stay one night . bed comfortable , lovely sleep night ! also impressed bathrobe slipper room ! breakfast nice morning , buffet help waitress bring tea / coffee toast , restaurant nice . overall impressive hotel . would definitely stay Radisson hotel . 
 Aug 14 2004 	 room big shoebox 	 second time stay grafton read good review trip advisor . first time upgrade suite . massive big London . we book 1 night August . room 10x7 cut angle . wife actually become claustraphoic . would ok pay £ 50 night acceptable nearly £ 100.The bathroom nearly big . clean functional . would stay . 
 Aug 5 2004 	 get tatty rapidly 	 stay two time hotel , first time spring 2003 , second time januari 2004 . come back first time comfort stay . next stay one get use hotel not somete verry special . first room give we satisfy , decide upgrade . room little bit well ( big / nicer view ) not verry clean ( big mould underneath wash - stand ) hotel get tatty verry rapidly . staff well friendly undergroundstation corner . conclusion : ok note special , sure would stay . 
 Aug 3 2004 	 great stay Grafton 	 stay Grafton first time . good time . hotel staff pleasant friendly . double room king size bed . linen crisp clean . bathroom marble fresh towel every day . breakfast excellent , plenty choice . would recomend hotel friend family . stay 29.7.04 01.8.04 . 
 Jul 30 2004 	 Great Rate Grafton 	 spend 7 night Grafton grandson June . triple room , turn sofabe wonderful double bed especially . terrific king bed - great Europe ! Bathroom marble & amp ; granite . Breakfast & amp ; vat tax include rate . excellent location - 1/2 block underground : Warren Street Station . would definitely stay . 
 Jul 19 2004 	 Dr Midlands 	 Hotel clean , room nicely decorate , usa size , state . bathroom normal size , much space need ! ! ! ! ! nice recently refurbish marble , new fittings.bar pricey , nicely decorated.good location warren street tube.if get good price 80 gbp per room per nite stay , good value london.easi way get around cab ! ! tube 
