Good 	 return 5 night stay Omni Berkshire . 3 we total . request room 2 bed however good could room 1 bed put bed . honest ' think acceptable . book beginning year really excuse . ' happy put bed – pay nice hotel expect proper bed sleep . 1st room give small – ' figure put bed would go small ask move large room – give large room impress swiftness however really arrival give originally . the concierge good thing hotel – incredibly helpful full knowledge . everyone hotel friendly . dinner restaurant – good quality . resturant manager professional friendly . the hotel room clean . location wise excellent – Cartier 5th Avenue – short walk central park – need tube station . one thing must say arrival – demand take approximately $ 50 per day charge room case charge anything room . odd . stay many many hotel ever encounter . await back card – say ' take 3 business day – shall see ! say ' charge room would pay immediately cash . the meat packing district good bar , club resturant . we dinner Plaza also different day - lunch . lovely . the hotel nice . would consider stay . 
 nice hotel 	 get stay hotel chance get deal priceline.net . arrive hotel 10 let early check . sign hotel 's membership checking , use wi - fi room free . hotel locate block Time Square close 5th Ave , find hi - end shopping retail . love ! ! ! ! 
 may 24 2006 	 Great centrally locate hotel 	 stay Omni Berkshire mid - town May 19 - 22 problem stay . check check , staff friendly courteous . room average size Manhattan clean well maintain . room / maid service excellent . use Concierge many time excellent suggestion lunch / dinner . location Madison 5th make excellent loacation travel pleasure biz ! ! would definately stay . - eat China Grillnear property - good new Chineese ! 
 May 17 2006 	 disrespect moment check . 	 make reservation Dec. 10 , 2005 , room May 2006 . despite confirm four time room two double bed try give king upon check . sister check obvious need two bed . say could two double bed smoking floor , smoke . persisted & quot ; suddenly something become available . & quot ; yeah , right . coworker check later night alone request double bed make reservation , problem give two double bed . Hmmm . room stinky , like bad mildew concierge would give match light small travel candle . talk concierge smell start help another couple arrive concierge desk . still talking completely ignore start talk someone else . could believe . also complain fact hotel 's website say guest room pillow top mattress , room . concierge say someone would get back . one get back . complain morning check Manager Duty try blame miss pillow top housekeeping . five night two bed . highly doubt housekeeping would make mistake many time consecutively room . room also trash underneath bed prior guest . not expect room complete clean long time . top one doorman call sister -- -- - receive early morning wake call ask . check attempt get sort compensation problem hotel tell travel agent would charge . not see travel agent would charge assess discount sort compensation like . keep say sorry , pretty obvious care get much money possible instead try hang potential return guest . leave hotel doorman , first time whole stay , try help bag tell demand must put bag car 's union . doormen lazy crude . basically hotel stink , quite literally . pay discount rate $ 235 not worth . go Palace Regency . 
 May 5 2006 	 good point terrible service 	 stay Omni Berkshire April year , prior boarding Queen Mary 2 's transatlantic crossing uk.i choose Omni Berkshire review website , truth feel little let . seem though ' coast ' reputation , not seem keen make sure guest actually good experience . I 3 room book party 7 . one room not ready arrival , staff downright unhelpful even hour later still not ready , despite promise contrary . for room , specify booking need 2 bed , small daughter we . take 3 request finally get camp bed room , uncomfortable ' m amazed sleep all . throughout night struggle find source persistant beep , eventually find fax machine tuck away cupboard . useful , ' m sure , be business traveller , tourist jetlag less amused . I say baggage clerk good , concierge helpful , let rest hotel staff . hotel well locate near Central Park , lovely , would not stay . spend awful lot money 3 delux room - expect well service money . 
 May 2 2006 	 great staff location 	 wonderful Easter weekend Omni . former New York City resident , bit picky . location great . bring teenage daughter fun shop come back hotel recharge . staff make hotel excellent . everyone pleasant . go back nice service . use stay high - end hotel upper east side well daughter along . hotel spotless room service right time . fun weekend . take subway Spring Street teenage shopping see Odd Couple . lot walk . Top Rock really worth . wanted come back Christmas , rate high . maybe next spring . 
 May 1 2006 	 great everything ! 	 friend stay Omni Berkshire 4/28 4/30/06 . go girls weekend getaway ( a.k.a shopping trip ) . hotel staff wonderful . every restaurant recommend concierge superb ( haru Bar Americana ) . every staff member come contact helpful pleasant ( doormen housekeeping ) . room spacious , clean suprisingly quiet ( room face 52nd St. less ) . bathroom ample space two lady ( fairly high - maintenence ) also clean lot extra towel amenity . actual location hotel perfect . one block 5h Avenue corner Madison Avenue . subway station 3 block away . Central Park 10 minute walk hotel . Trump Tower , Tiffany & amp ; Co , Rockafeller Center , etc ... around corner . my husband plan go back month definatly stay hotel . 
 May 1 2006 	 Omni great ! 	 partner stay past weekend . generally prefer upper west side , try Omni location town weekend . staff nice , room clean , thing room shower tub . real problem . try arrange car JFK thru concierge , want $ 110.00 . , $ 50.00 . NYC several company choose . room coffee maker , across street great NYC deli great coffee . 
 Apr 18 2006 	 great stay New York 	 daughter stay Omni Easter weekend great experience . arrive around 11:00 a.m. Friday tell room ready could check . great location - close shopping , Metro station , restaurant . miss coffee maker room , deli / cafe directly across street convenient . large room bathroom - comfortable bed . flight home late afternoon give we late check - out 2:00 . accomodate helpful staff . definitely stay . 
 Apr 10 2006 	 nice hotel fantastic location 	 stay Omni Berkhire Place New york 4 night . overall enjoy stay . hotel small comparison hotel stay be not problem . book superior room . room fine , comfortable bed . bathroom little cramp . location ideal , madison avenue fifth ave . doorstep . shop find much well madison however make sure comfortable pair shoe ! . one thing let hotel front desk staff . find manner stick unaproachable ( smile unheard ) . ask upgrade tell could certain price . agree tell return later day would move . different member staff desk tell we could not room available would cost we 200 dollar originally tell . ask reception one morning currency exchange facility tell would front desk . get tell could not go time square . apart would recommend hotel location . concierge staff helpfull knowlegeable . 
 Apr 7 2006 	 Shhh not tell people 's nice 	 Fine 's bit expensive like NYC hotel . price 's grand . lobby common area big deal . upgrade suite nice deal . yes furniture bit dent scuff date . suite , two different one , grand , whether large small . great size clean . door close bedroom add extra layer onto quiet . bathroom Madison suite large bedroom ! staff friendly helpful . check check problem . Doormen bellman fantastic . yes , not buy room snack drink not order room service . hotel regardless place outrageous try spend 12 buck breakfast egg . morning beverage service get select member wonderful morning coffee orange juice . location right many place get good food right around corner . please not tell people nice . fact be hard find nice hotel NYC still style bite funky price give good place stay . 
 Mar 18 2006 	 Loved Omni can not wait go back ! ! 	 check problem . room ready 1 even though check 3 pm . loved room , decor etc . nice little extra , like extra long thick towel , ( trust bonus ) crystal glass bathroom nice large , regular water glass . coffee service , sign select guest get card check beverage serivce service morning . room small room , consider ny standard . plenty space room stuffy ( smoking room - 5th floor ) love fact could open window . parent ont 11th floor large room 5th floor room . something take consideration youlike large room . they turn service ment beadspread come bed , andthe 2 pillow sham go closet . really ncie sheet comfortable temperature wise . chocolate also nice little treat . would definitely say hotel well worth money . location alone amazing walk distance anything might need . : ) 
 Mar 15 2006 	 great hotel 	 stay hotel weekend . impressed big city location . ideal venue , staff friendly helpful really enjoy stay . booked read previous review disappointed . 
 Mar 5 2006 	 nice people 	 two son visit NY February 25 March 3 2006 . people nice . room spacious clean . location could well . 
 Mar 1 2006 	 great Stay Omni ! 	 stay Omni weekend ( hotel 's special weekend rate - $ 199 / night ) celebrate anniversary . flight cancel Omni allow we cancel reservation first night last minute . rest stay easy . room nicely decorate , comfortable , spacious . location perfect -walke distance Times Square subway , even middle winter . highly recommend hotel ! 
 Feb 22 2006 	 Superb location superb people 	 really beat location hotel . subway close . walk place . 12 year old daughter walk everywhere even bad snow storm ! ! ! Saint Patrick Cathedral outside door practically . want walk , easily get subway . staff utterly kind professional . go way please . look really enjoy go work Bershire . free beverages morning add perfection day early morning . room big New York . hotel CLEAN ! ! ! picky cleanliness especially hotel bathroom floor immaculate ! ! ! ! strongly recommend hotel anyone even pickiest traveler ! 
 Feb 19 2006 	 quiet hotel good location 	 nice hotel excellent location . reference , near Waldorf Hotel . however , since front 52nd , rather main street , cab little hard come . room adequate size , lovely furnishing nice bathroom . might reserve one run house next time think probably small room . room also extremely quiet minimum street noise . lobby public area small , understate elegant . big splashy lobby type hotel . fact , two cab driver know hotel name , street adress handy . would also strongly recommend put door hangar coffee night want coffee . coffee room call room service coffee tell would 45 minute hour . would like see hotel add coffee pot room eliminate problem . 
 Feb 6 2006 	 nice hotel great location 	 stay 2 night Feb 2006 . get rate $ 209 per night feel good value . room nice , especially NYC . clean carpet , marble bathroom , nice furniture , nice bed linen , good service . room reasonable size , , NYC . husband say nice Waldorf . get rate $ 300 , probably feel get money 's worth . pay $ 300 , may nice hotel . would say Omni Berkshire Benjamin ( 5 - star ) Hemsley Hotel ( 3 - star ) , close Benjamin . hotel stay NYC try give direct comparison . 
 Feb 5 2006 	 Best Bathtub EVER 	 hotel AMAZING ! check 1:00pm ease . even upgrade coupon send Omni ' frequent stay program , grant without question . open door , thought die go heaven . ' super picky hotel room ' décor , Omni smash job color texture . room clean rich feeling . okay , let ' venture bathroom . lady , love take bath , ADORE bathtub . deep long bathtub ' ever pleasure bathe . seriously , take three bath one evening ! love room much opt stay order room service instead dine NYC . food delicious prompt . fact , four onion soup die ! ! want feel like king queen , hotel top list . room , service , food outstanding ! talk triple threat . pay $ 199 room , back willing much , much . Omni home away home NYC ! 
 Jan 31 2006 	 excellent location pretty interior nice staff 	 room 302 fortunate get special & quot ; Phenomenal Fridays & quot ; rate 4 - night stay ( since holiday weekend ) . wonderful location . staff kind find we slightly large room , order comfortably accomodate roll - away child . parent tired child appreciate roll - away send IMMEDIATELY ! staff suggest nice , reasonably price restaurant within walking distance . light sleeper go much high floor consider stay away street face room . try weekend rate low . lovely hotel not feel toolarge . can not wait return . 
 Jan 29 2006 	 location value 	 daughter stay Berkshire january find good shape , solid consistent service reasonable price . location convenient midtown shopping restaurant , reasonable walk Broadway easy trip subway SoHo , downtown . 
 Jan 28 2006 	 Perfect Hotel Perfect location 	 husband take trip New York Dec 1st dec 4th . four amazing fun pack day night ! name see . totally want see touristy thing everyone come New York see . walk everywhere , really lucke weather gorgeous whole time . hotel could not well location . couple block almost everything . room clean great view 16th floor . suggest sign Select Guest offer Omni website receive coffee , juice newspaper choice every morning . every single employee helpful direction suggestion restaurant event . concierge excellent help we get ticket see Odd Couple . although pricey well worth , seat 3rd row centre . find couple sit beside we buy ticket month ago pay double pay . hotel 100 step away 5th avenue ! Saks , Versace , Cartier , Gucci oh ! let tell , fun ! next time New York go summer place would choose Omni . 
 Dec 27 2005 	 Outstanding Hotel 	 ' m travel agent spend quite bit time NY . try stay many hotel , deluxe fairly moderate . recent visit Omni Berkshire Place real pleasure . ' ve do complete renovation , top bottom , property shine . service , helpful friendly efficient hotel twice money . location could not well . transit strike walk everything ... museum , theater , Central Park , etc . ( one little tip : store Madison Avenue , way mid - eighty , much interesting varied Fifth . ) would hesitate recommend hotel . 
 Nov 25 2005 	 Great Location 	 good location Midtown . room look internal well probably good thing dig road outside night ! thing would say hotel smart could provide bath shower gel US hotel surprising coffee make facility room . still , really enjoy stay . 
 Nov 20 2005 	 great surprise Midtown 	 Londoner live New York travel back forth lot . occasionally ' ve move apartment somesuch need stay hotel : situation find August . need find somewhere comfortable , reasonably - price midtown look apartment Harlem , Village , UWS , Brooklyn etc ( ie need good central location ) despairing find anywhere reasonable , book Omni use hotel decent rate . stay 3 night staff wonderfully friendly helpful . British Airways lose bag , hotel helpful contact BA give sympathy practical assistance ! room good size always clean facility could need . view room grey internal gym / fitness facility could much well , want welcoming , helpful staff good - sized room right heart Manhattan , place you . highly recommend . 
 Nov 5 2005 	 Pleasant experience 	 please October 8 - 10 stay Omni . early check - in problem . service pleasant efficient . price bit steep ( $ 319 ) fairly small nice room 2 double bed . complimentary room service beverage morning much appreciate . nice bathroom ammenitie . convenient location , would definately consider stay . 
 Nov 1 2005 	 Nice Hotel Great Staff 	 buy wife 2 kid weekend getaway . Omni Berkshire well locate shopping , park , Rockefeller Plaza 20 minute walk Time Sq . room good size , 2 double bed nicely lay . everything clean tasteful . the good thing great consierge service . well experienced find right restaurant , show , whatever else want . one occassion , call street ask meal recommendation . direct around corner great little bistro we book get . show straight good table joint , right window . great hotel pleasure trip Big Apple . 
 Oct 22 2005 	 Great Hotel 	 parent travel NYC atleast 2 - 4 time year . ALWAYS stay omni , room really clean nice , bed comfortable do not want get . location great , right beside 5th ave Madison , good walk get broadway though , like exercise should not problem . parent really like fact store right across hotel get coffee breakfast morning . hotel little pricey , New York City ... would recommend hotel 110 % 
 Oct 11 2005 	 Lovely Hotel 	 stay two nite recently . pay $ 199 nite promotion . hotel quite beautiful . lobby gorgeous pretty furnishing . king size standard room . nicely furnish comfortable . bed awesome . amenity bonus . especially enjoy complimentary morning beverage service robe . location excellent . walk attraction . pleased service provide . would love stay . 
 oct 2 2005 	 Great Hotel Madison Avenue 	 return two night stay Omni Berkshire , stay one deluxe king room ( room # 434 ) . everything hotel great , wonderful lobby , attentive concierge , good room service . book package expedia include airfare Atlanta hotel room . room $ 289 night range weekend . , wonderful place stay Big Apple . 
 Sep 24 2005 	 Hotel make Vacation 	 move Omni one nightmare night another hotel ... could not please . hotel wonderful . classy , quiet hotel , friendly , unobtrusive staff . lobby attractive room large New York comfortable bed nice furnishing . bathroom luxurious . hotel incredibly quiet ... not hear guest , even though know hotel full . would definitely recommend hotel people like come back home home busy day wonderful New York City . 
 Sep 13 2005 	 good choice 	 spend 3 night Omni Berkshire Labor Day weekend . spend considerable amount time research NYC hotel prior booking , disappointed . room large , attractively furnished , clean , fairly quiet ( hall noise none outside 15th floor ) , comfy bed pretty bathroom . location extremely convenient central . also register Select Guest program prior stay receive complimentary beverage newspaper every morning well 5 pm checkout . agree previous reviewer upgrade coupon waste / unnecessary location . ( minor ) negative could list follow : wood furniture show fair amount wear tear ; housekeeping remove trash ( ie . empty takeout container , dirty glassware bar downstair ) room . overall , pleased stay would happily return . 
 Sep 8 2005 	 Select Guest Treatment 	 like previous reviewer say , upgrade coupon , tell room book upgrade available . before arrive , specifically call hotel give select guest number . expect would offer morning coffee , well New York Times . yet , dissapointe none occur . select guest , also know could get late check 5pm . since flight leave New York evening , request late check - out . yet , good could 2pm check out . other imperfection include turn service second night stay , one piece mint offer two guest previous day . well , negative . positive aspect conserge helpful . eager help . roomsize bad NY hotel . location excellent . next time , may try luck hotel . 
 Aug 18 2005 	 great location fine value outstanding concierge 	 Omni choice recent Manhattan getaway weekend , quite pleased . room large NYC norm , attractively furnished ( photo web site really accurate depiction ) , well - maintain , although think storage space luggage & amp ; clothe bit skimpy . location , next door St. Patrick 's Cathedral , superb : subway stop within block ; easily walk Rockefeller Center , Grand Central , Times Square / Broadway & amp ; fabled shop along 5th Madison Avenues ; plus , number nearby restaurant suit every taste pocketbook . service might ( neighbor ' tray room service dinner languish hallway ' til mid - morning next day bring matter front desk 's attention ; doorman could polished ; check - out proceed quite smoothly one would hope ) , pleasant & amp ; knowledgeable concierge staff easily rank among Manhattan 's good . although Omni la creme de la creme , 's excellent choice price range . indeed , pay far another hotel fare well . 
 Aug 16 2005 	 absolutely happy ! 	 get back weekend trip New York stay Omni Berkshire . 10 year anniversary want stay somewhere special . luxury come stay husband type want stay anywhere might feel like stuffy . say happy . staff friendly hospitable , room beautiful luxurious , location excellent . join Select guest program ( free ) leave mention check every morning coffee , OJ paper door time want . one ever bother we , clean staff never barge , everyone eager help ask . hard person please come cleanliness quality dissapointe . also , bed well ... crisp white comforter pillow , luxurious soft . highly recommend place . husband agree would seek Omni hotel travel . get hotel package deal online source reasonable price think maybe might treat differently since discount rate , case . 
 Jul 12 2005 	 Select Guest reep benefit ! 	 take 18 year old niece 3 day weekend trip New York City high school graduation . ' ve New York 6 time within last couple year like try different hotel Manhattan . realize price definitely much high last visit decided try Hotwire . land Omni $ 237 per night . hotel consider $ 300 range , pleased rate hotel choose . stay Omni 8 year ago truly love location . treat well front desk personnel upon check - in . arrive 10 a.m. still one room ready . room relatively small , nicely appoint . ( stay New York Palace last year include room twice size Omni 's . ) bed comfortable top line linen . bathroom functional elegant marble shower granite countertop . unimpressive view room . ( overlook St. Patrick 's cathedral room Palace . ) housekeeping staff efficient helpful . important point share Omni & quot ; Select Guest & quot ; program . sign free program make reservation . receive & quot ; Select Guest & quot ; card mail various coupon include room upgrade 50 % next Omni weekend stay . & quot ; Select Guest & quot ; member receive complimentary morning drink deliver room , newspaper choosing , late check - out 5 p.m. available preference note pillow type floor would like Omni hotel . thrilled perk ! enjoyed freshly squeeze orange juice hot tea morning New York Times . also utilize late check - out since flight not leave 7 p.m . importantly , ' ve notice traveler book room discounter like Hotwire Priceline check - in treat like Hobos holiday . say , front desk person treat we kindly respectfully . great introduction New York niece never visit fine city . overall , wonderful time . hotel centrally locate . room nice clean . ' ve stay Palace , Benjamin Waldorf Astoria . palace favorite , Omni still rank high book . decide stay Omni , MUST & quot ; Select Guest ! & quot ; 
 Jul 12 2005 	 Fantastic Hotel 	 return stay July 7 11 . excellent hotel comfort home . Madison suite cound find comfortable . Select service great touch coffee juice deliver time morning . concierge helpful everyone speak hotel . great location well within walk distance theatre district , central park , shop etc .. helpful umbrella rainy day well . great tip concierge restaurant think Il Corsi good meal weekend . dessert serendipity good well . overall kid wife enjoy hotel visit . 
 Jul 6 2005 	 could Better Pleased Omni 	 first trip NYC , nervous many thing , pick right hotel . much internet travel book find process hard narrow . want something nice super expensive ( relative term ) . Thought narrow Sofitel , excellent review site many other . really sure come across Omni Berkshire outside fact always remember Oprah say guest show stay Omni . even though hotel think chain nice . travel date 6/28 - 7/3/05 , price superior king room avg $ 330 night ( include tax ) little well similar room Sofitel . plus offer airline mile , free weekend night stay later date , perk join select guest program . review seem good , although trip advisor rank 60 's little concern , go ahead take chance . worried choice arrive worry fade away . extremely extravagent adequate lobby facade , desk check friendly quick , arrive hour early problem check , join select guest program get 5 pm check well . room large fax , minifridge ( bit pricey ) , room safe , bed comfortable , bathroom nice ( marble floor counter , travel mag room couch chair ottoman . tv little small adequate . Select Guest program also give guest complementary morning paper ( local USA Today ) choice drink nice touch . week go become familiar city please Omni . hotel 52nd Madison find perfect location , opinion well little ( Sofitel 44th ) , little less busy night close Central Park . deal concierge style , always seemd friendly walk past desk elevator . house staff pleasant , turn service chocolate night . would definitely rec hotel friend family outside want try something different next time think reason stay Omni Berkshire . 
 Jun 14 2005 	 great Stay ! 	 husband return first trip NYC . decide Omni base upon review read website disappoint . find bed comfortable . room quiet . everyone encounter helpful eager make sure pleased . doorman even help we get theater time secure hotel 's shuttle car . difficult time get taxi 5 pm shift change , none available . plan dinner theater . arrive time -thank doorman ! opinion negative coffee pot room . enjoy coffee get dress . understand uncommon NYC , however , would nice addition . 
 Jun 13 2005 	 please Omni 	 originally book Hilton NY , advice board Omni sway toward try hotel . prior make reservation , join free select guest program . we go one night June 11th . book superior king room , slightly big deluxe little well view . deluxe room back hotel . room pricey , $ 319.00 not want take chance since one night deal celebrate anniversary . still , nervous whether make right decision . anyway , arrive early , 11:30 . front hotel overly opulent 's lot fanfare , like busy street ( 52nd Ave ) . , wonder , chance check suppose 3.We take chance . lobby quiet walk right counter . say could check , could inquire upgrade , say already executive room , think suppose big . friendly lobby . well , room wonderful . think quite big ' ve hear . even little couch . bathroom nice . Shower work great also tub . nice bed high crown mold ceiling . , not exactly know would compare superior room . overall bellman staff good . agree concierge staff overly friendly helpful perhaps would like , certainly rude . I also like complimentary beverage morning . nice pot coffee juice bring room , other say , lobby nothing special , extremely clean . use facility like restaurant , fitness since one night . nice location . could walk Rockefeller Center , Trump Tower little either direction either Times Square Central Park , nice location . & quot ; touristy & quot ; crowd . so overall , would agree recommend Omni . ' m sure get pay . also think less busy season like middle summer , likely get upgrade . think join guest select give add enhancement like possibly late checkout need . 
 Jun 9 2005 	 really pretty great 	 impressed hotel . room excellent everytime go come back seem towel chocolate pillow . great location ! near lot shop easy get around . would stay , though pricey . thing miss tub room ( though shower great ) . concierge people snotty , overall A+ . 
 may 25 2005 	 Excellent location 	 enjoy Omni . staff , especially bell staff , warm friendly . room nice , upgrade check since join select guest program online . morning beverage service select guest life saver ! Isadora 's deli accross street breakfast , restraunt , state early quite expensive . Loved Omni ! 
 May 4 2005 	 Reliably 4 * 	 stay 3 night small adequate room . eat breakfast din Omni restaurant ( room service ) stunningly expensive . terrific location 52nd Madison like designer shop , wife . short walk park next door St Patricks . small public area small nice bar . 
 May 3 2005 	 Great Hotel Experience 	 Omni Berkshire perfect Midtown location . husband share love hotel , want stay nice place ny , even though know would spend little time room . look around lot decide stay . past stay Intercontinental Barklay ( think 's right name ) . like , price little high time . book standard ( deluxe ) room Omni $ 250 US . join ' Omni Program ' ( online free ) able choose drink newspaper / s would bring room morning . nice touch . normally room service coffee tea nice NY hotel would cost $ 20 . arrive give early check upgrade superior room . give late check well . concierge service excellent . room nice , sit area nice , large marble bathroom ( large NY ) bedding make room we ; incredibly cozy duvet pillow . , terrific friendly service , perfect room location . definitely return ! 
 Apr 13 2005 	 nice hotel 	 stay Omni 3 night recent business trip . have stay hotel NewYork , include Intercontinental , good . room , nice , spotlessly clean . bathroom also great - typical steamy closet often get New York . do not partake room service - outrageously expensive . will stay sometime , perhaps soon ! 
 Mar 23 2005 	 Good Place - Service Good - know use 	 get back Omni Berkshire Place . nice room . great bedding . Decent Location . Nice Turndown service . this good ... complimentary car service financial district provide . not ask concierge 8 pm apparently available . however , tell check . also , ask night bellman service , appear knowledge . therefore , service useless not ask front . also , complimentary morning juice service etc . must fill door befor certain time . look check . otherwise , get none . overall good hotel . assume tell order let enjoy stay without incessant instruction . however , without knowledge service , one take advantage they . there may service still aware two night hotel . I would stay , would like well inform amenity available guest , take advantage . 
 Mar 21 2005 	 Great Staff Room 	 ( , wife , two daughter age 5 6 ) stay Omni Berkshire Place 52nd St. Manhattan Saturday night March 19 . moment get car front hotel early Saturday morning moment pick late Sunday afternoon , nothing great interaction staff hotel . every single person extremely friendly go way help we . example exemplary service include follow : - bellman bring bag room note bring water soda we tell we use minifrig store thing take make sure would charged.- housekeeper promptly bring additional towel request , ask could fill ice bucket we . - concierge answer question subway station , ask want go give we accurate tip train run day make connections.- front desk attendent handle check - in take luggage check ticket say would get bag deliver we , save we trip back across lobby bellman 's desk ask bag come . almost seem like employee hotel train fulfill guest 's request , go one step find one way help guest . room , stay double ( 2 double bed ) immaculately prepare comfortable . bed pillow great - love nice comforter . Vey nice location well - couple block Rockefeller Plaza . my wife do Priceline several time hotel NY , previously stay Michelangelo , Millenium , Barclay . however , trip need make sure got two double bed , book Omni direct via web get $ 239 & quot ; Phenomenal Fridays & quot ; rate . little would like pay , well worth outstanding service . traveler book hotel advise sign Omni traveler program . sure help get we well service , certainly not hurt . definitely stay travel back NY City daughter . Enjoy - Spike 
 Mar 20 2005 	 great location value 	 spend weekend Omni Berkshire think hotel great . fantastic location , less block St Patricks Cathedral & amp ; Saks ( high - end shop ) , & amp ; short walk moma many attraction . never take cab entire weekend . room ( $ 239 night ) large , beautifully decorate , quiet . bad bed hard rock . also , request view & amp ; tell have one , later clarify view hotel be surround sky - scraper . view mean look across street ! concierge helpful recommend restaurant meet various requirement . rain make umbrella available desk ( 1st come 1st serve ) . stay Hudson Hotel ( hell hole ! ) couple month ago & quot ; bargain & quot ; rate $ 179 night - Omni much well value much well neighborhood . one last thing , be drive & amp ; park car close lot , sure get parking sticker Omni . not & amp ; pay $ 30 . 
 Mar 17 2005 	 Liked location room noisy 	 stay 5 night 5 March 2005 daughter . this hotel 52nd Madison nice area easy access subway , bus walk distance many must see attraction New York . suggest join free Select Guest program get nice extras complimentary beverage every morning . I disappoine room allocate - right elevator low floor street noise lot loud talk people leave elevator . even bad thin wall -you hear everything adjoining room include scream toddler refuse go bed , conversation , phone ring . join Select Guest ask room preference eg high floor , away elevator - however none take account room allocation . to credit duty manager try address problem , apologise room contrary state preference plus offer free breakfast voucher , could'nt much noise travel room . this shame room quite nicely appoint , spacious ny standard , good bathroom . 
 Feb 15 2005 	 Disappointment 	 stay Omni hotel always terrific experience . case Omni Berkshire . good : arrival check - in breeze . nice , clean room . also , concierge could nicer . direct we great place grab bite , also give we direction subway . bad : first morning complimentary morning beverage service ( benefit Select Guest member ) deliver room . check & quot ; knock leave door & quot ; . person deliver proceeded knock yell we thru door . mind , disturb sign door still asleep . go minute , even ask leave door . never problem service Omni 's stay , confuse Omni 's deliver service discreetely Omni Berkshire rouse we sleep . later leave room , put disturb sign door . upon return discover someone come room . Granted make bed leave we toiletry fresh towel bathroom , question would come sign door say & quot ; disturb & quot ; ? know one room ? know someone not sleep take shower , etc ? , never problem Omni 's stay . also notice person come room put disturb sign back inside room . next morning complimentary morning beverage service deliver room . time knock drop . 45 minute later someone come door knock yelled door see do service . mind , still disturb sign door . part & quot ; disturb & quot ; Omni Berkshire understand ? ridiculous simple request disturb could acknowlege . top thing call front desk late check time person answer phone blunty quite rudely ask we & quot ; really need 5 pm ? & quot ; room rate purchase privledge Select Guest allow we late check 5 pm . appal utter lack common courtesy extend we . Omni Berkshire put Omni Hotel chain shame . 
 Jan 4 2005 	 Omni NYC ... will not disappoint 	 stay last year room rate good quality . pay $ 199 via reservation link internet . lovely hotel good location . safe clean . friendly staff lovely entrance . room bit dark taste tv much small ! need brighten room upgrade television . really like small breakfast tray leave outside door morning & quot ; knock & quot ; door leave free charge without expect tip . avoid wear robe tip ..... excellent idea see Europe 2 - 3 star hotel . only downfall lack charm old married couple see lobby , really young hip couple / partner . well stay W Hotel hip hotel . 
 Jan 3 2005 	 Grat roomgreat staff 	 stay one night order get JFK time next day . book room via Priceline not know expect . pleasantly surprised .. check - in smooth desk make we feel welcome . curbside valet parking treat . concierge helpful personable , bellstaff courteous professional . may add , room beautiful . deluxe king room huge comfy bed exceptionally nice bathroom . everything spotless . room 17th floor , much view quiet temperature fine . ecept lack bathrobe , find Omni great place stay would return . 
 Jan 1 2005 	 good location clean 	 good location clean . stay adjoining room third floor 12/19 - 12/21/04 . kid room quite , view ... could hear car horn night side . bed okay , food price ... well , $ 7.50 1/2 grapefruit . problem heater , notify front desk ... fix come back dinner . 5 block Times Square , 7 block Central Park , 3 block Rockefeller Center ( shop basement level . ) TGI Fridays 5th WAY expensive food good . hint : Olive Garden Time Sq . reasonable , food great . kid get Omni Kids Bag crayon , sunglass , card , etc . ask , like . conceirge helpful friendly . familiarity , may stay ... probably try W Crown Plaza next time . love New York Christmas decoration . carriage ride ice skate Central Park wonderful . 
 Dec 25 2004 	 damage 	 two stay hotel . standard room view ; 's deluxe suite . good space , good bed . room service slow lot mistake order . breakfast frightfully expensive . severals oversight frequent , like bath robe , chocolate night .... quality service amenity various . 
 Dec 11 2004 	 Typical City Hotel 	 stay Thanksgiving 2004 leisure travel . suppose fair compare big expensive midtown manhattan hotel small inexpensive rural hotel , Omni good Hampton Inn stay central Pennsylvania night . room Omni small , coffee maker microwave , bed fine certainly luxurious . Omni manage fill room large supply beverage snack ( incredible price ) . know NYC expensive price mini - bar room service really funny . also disappoint concierge steer wrong several time never offer verify misinformation give I . on positive side , location nice . feel quite safe around hotel hour . Soba Nippon restaurant street excellent . Sony & quot ; Museum & quot ; block fun . whole area around Rockefeller Center great tourist . even negative tone review ... good place stay NYC - not overpay think good hotel ever stay . 
 Nov 29 2004 	 FANTASTIC Hotel 	 stay many hotel around world , good New York , Omni get vote . Omni one New York ' finer hotel , wonderful staff take pride service ' nothing much trouble ' attitude . excellent room , bad size , compare other New York , restaurant truly fantastic . particularly impressed make feel like important guest hotel , simply room number individual . the Omni proud ; find perfect balance customer care . would recommend hotel without hesitation . negative comment , ( picky ) ' cheap ! ! pay get , boy pay get luxury ! ! remember Omni long forget bill . 
 Nov 23 2004 	 stay ! 	 stay Omni Berkshire husband weekend Thanksgiving . great room , wonderful staff - concierge staff incredible . even doorman go way helpful taxi , direction , etc . hint : much affordable book Expedia get hotel flight ! 
 Nov 2 2004 	 Pricey ... nice 	 Stayed daughter Oct 28 - 31 . pay $ 350 night disappointed . location excellent , within walk distance shopping , Times Square theatre , Rockefeller Center , several subway stop . able check 12:00 noon uncommon NYC . Room request meeting need include two double bed . room two bed difficult come NYC . room large enough accomodate bed leave room live . fact room large New York standard . staff helpful . great concierge service , brilliant doorman , importantly allow late check 2:00 pm Sunday ! truly appreciate . disappointment bathroom . could use space room store & quot ; bathroom item & quot ; . hotel provide quiet , unhurried place rest return everyday . would reccommend hotel anyone interested spending time discover Big Apple . 
