good 	 location good , nearby many subway stop . shopping center Macy 's empire state building within walking distance . room comfortable clean , medium size fair size bathroom . give renovate room furniture bed good . room 34th floor view Manhattan incredible ! check smooth never get touch hotel staff : key room also pass hotel facility easy use . provide complimentary wireless connection room plus . try tick tock diner hotel property ` impressed service , clean standard food quality . write bill tip amount request ... needless say go . 
 Serves purpose 	 select hotel , stage grind Macy 's Day Parade . guess tourist advantage centrally locate slightly seedy part town ( especially night ) . staff accommodate , allow late check without problem . size room TINY . guess price expect something slightly big . queen size bed , 2 1/2 foot room side bed . . iron board ROOM SAFE- think odd . bed comfortable enough one night . Bathroom refurbish tiny . necessary toiletry . big complaint though noise alley way , street - 23rd floor . husband could sleep hurricane complain noise level next morning . hotel serve purpose - clean enough centrally locate thought bit expensive actually receive . 
 good hotel large room clean- shame certain unprofessional check - in staff 	 stay new yorker hotel 5 night november . on check course excited arrive NY look forward stay new yorker book 8 month advance . our excitment later turn anger way speak gentleman check we reservation department make book correctly . we book 8 month advance pay £ 100 extra double double room view- website state view city hudson river . when make booking request city view also email hotel 4 week visit request city view . on check advise view ' brick wall ' hotel full . tell person check unacceptable false advertising room state ' City view Hudson river view ' also fair concicdering book far advance request city view could not ignore . the gentleman check become rude totally unprofessional . at time apology understanding , hotel full 8 month ago book & amp ; upgrade room room view acceptable argue back customer . 20 minute fight corner finally offer 2 room , get send go view room . neither city view however one hudson view take room- could not offer first place . I think although job check resolve situation reservation do job properly first place problem would occur . request take concideration make someone booking importantly actually pay . advertise upgrade room say get view give view brick wall , ismisrepresentation , wheather hotel full customer problem sell room 8 month before . I should not argue case give room mine , pay for . our room double double room large , good wardrobe space , clean modern . the maid would come everyday keep room immaculate . the doorman lovely , friendly helpful . great job ! great see security shift 24/7 , always say hello direct area hotel ask . the tick tock diner great value lunch evening meal , porton generous staff friendly . overall happy stay new yorker , room hotel great shame do not good experience check reservation really let hotel . later speak manager apologetic greatly appreciate . would let incident stop stay new yorker future however would hope see reservation check staff improve . 
 Nov 14 2008 	 Fantastic Locationwould definately book 	 New York several time always stay reasonably good hotel ! read report website hotel , little apprehensive . choose hotel go fight MSG location excellent ! ! worry go window soon walk .. foyer impressive even though still renovation go . check pleasant , ask corner room advance give one 26th Floor .. room small home think worth remember people Ireland / UK go New York usually tourist / shopping holiday ... time room shower sleep ! ! find staff pleasant especially Samira gem ! ! helpul friendly , , , great help boyfriend arrange engagement ring ( FANTASTIC surprise ! ! ) Tick Tock diner provide lovely breakfast selection choose eat big meal start day keep we go ... plenty option around hotel though not suit ! ! fantastic location , right beside MSG ten minute Times Square , esb , etc ! whole experience positive doorman , bell check , guest information , security front house staff ... find treat people want treat , experience usually positive ! ! I m say witness unnecessarily rude guest behaviour ! ! relax , be holiday ! ! , experience may different business traveller , want rest relaxation , etc stay New Yorker great definately return ! ! ! 
 Nov 13 2008 	 room great view 	 stay 6 night one upper floor ' renovate room ( start floor 25 ) . request get Empire States Building view , course initially Hudson side . next day move , require quite persistance deal front desk staff . move room 35th floor worth money , even still find $ 350 per night expensive ( incl tax ) .The room hotel clean , great bed good location . renovation do retain original feature , even though sometimes not clear whether do low renovation cost . overall impression positive , not expect something modern , apart bed , nice flatscreen tv free wifi . make sure view room first small window . see attach floor plan variation room layout . 
 Nov 13 2008 	 Location Fantastic ! 	 year ago hotel location fantastic . close everything midtown . price not bad either ( least book ) . yes room small be functional - though probably family . mostly nowhere put purchase ! ! : ) bathroom small completely update . corner room view side . radiator clank bit . get room bit maze . old hotel think room slice half ( third maybe ! ! ) make room . end number turn long hallway . like say - location fantastic not go NYC stay hotel . ' ve also stay Embassy Suites near Wall Street Waldorf Astoria Ramada nowhere near nice look hotel , staff great room cozy serve purpose . 
 Nov 13 2008 	 revisit 	 previous stay March , low expectation return trip trade show September . pleasantly surprise everything room actually proper working order . not single problem stay . suppose last time get bum room . always , location great visit MSG , Macy 's , Empire State building Javits Center . 32nd floor great view south Statue Liberty . room small , also one least expensive hotel city , suppose 's good value . 
 Nov 11 2008 	 Great Location 	 stay family room Oct 08 . room good size , good condition . bathroom ( 2 room ) good , even upgrade involved paint old tile ! do quite well . staff generally pleasent helpful . expensive hotel area . get fridge tea / coffee maker free charge -just ask . generally happy hotel . great location see NYC . 
 Nov 10 2008 	 Disappointing 	 return 3 night new Yorker hotel . after styaing & quot ; Boutique & quot ; hotels New York , room small expect large sized room , however room small bathroroom . refurbish , decoration quite good , bathroom still old . paint tile give facelift ! ! shower poor . staff efficient front desk . not get fax , folowe day , even though question flash message button phone ! ! location good want near Macy 's shopping madisson square gardens . it be shame not make 1920 's bulding could stylish . 
 Nov 2 2008 	 2 Star Hotel 5 Star price 	 stay 5 night hotel would check pre- pay . room 32nd floor plain small , one upright chair desk move let wife get wardrobe . refurbish bathroom , call paint old tile refurbishment . pay extra large room bathroom guess same . please note hotel facility guest use ie Tick Tock Diner street bar charge room . return hotel departure find lady toilet basement lock shut facility third floor que toilet Tick Tock Diner wife please . I would agree review regard reception staff although bell captain helpfull . Believe get far well service price ny establishment . 
 Nov 1 2008 	 enjoyable stay 	 ' ve return pleasant stay Hotel . check two hour early problem , desk people polite & amp ; friendly . pay $ 40 per room per night upgrade room view , one room great view look Hudson River & amp ; two room side look 34st & amp ; Empire State Building , room warm & amp ; clean , elevator quick & amp ; plentiful . Tick Tock Diner serve ok breakfast friendly service , & amp ; Coopers Restaurant serve good dinner . everything close , Macys , ESB , Penn St Station , & amp ; Loop Tour Buses .A fifteen minute stroll get Times Square & amp ; theater , not miss Stardust Diner singing waiter , brilliant , visit Rockefeller Building & amp ; go top fantastic view 
 Nov 1 2008 	 great stay New Yorker 	 would recommend New Yorker anyone short stay New York . well place sight see Macys five minute walk . our room clean extremely well day , make point leave 2 dollar tip time ( cheap price ) .We find lady information , helpful booked trip . reception staff bit stuffy , might New York attitude . ask room view give one 36th floor overlook Empire State building . impressed hotel security , one evening close door properly . security come point we check correct occupant . would recommend open topped bus tour want see lot short time . book hotel also get boat trip around Statue Liberty throw in . I would love return New York sometime would stay hotel . 
 Oct 30 2008 	 great location 	 4 friend stay recently perfect , location , cleanilness , service . compliant . large suite , new clean , room clean every day . hotel right beside subway across road penn station . security lift , check room key , feel secure . price great aswell include breakfast diner next door . hear people get really small room complain move without hassle . 
 Oct 28 2008 	 Location everything 	 stay New Yorker 4 night – 19 23 October . book read vary review , say opinion dependant expectation . if preference hotel holiday , may disappoint . however , hotel base holiday , ' think disappointed . firstly , hotel currently undergo renovation , expect daytime construction noise – however ' hotel day , maybe ' right ? double / double room 19th floor ( , wife son ) . refurbish room , clearly two separate room one point , two bathroom two closet . spacious comfortable two queen size bed large flat screen tv . free wireless internet available . note room tea / coffee make facility , although believe request . room north ( 35th Street ) side quiet almost impossible believe – little traffic noise evident . room position ( see photo floor plan ) mean little way view though – , ' planning spend much time room ' issue . want view , request upper floor room one corner – tell cost extra $ 30 per night . two restaurant hotel – Coopers ( ' try ) Tick Tock Diner , use every morning – good food . note , lot cheap place breakfast around ( easy spend $ 40- $ 50 3 people ) , convenient waffle delicious ! good thing New Yorker though , location . one block Madison Square Garden Macy ' . two block Empire State Building . Times Square , Broadway , Grand Central , NY public library , Rockefeller Plaza , Fifth Avenue , Flatiron – easy walking distance . 1 mile Central Park . ' subway stop right hotel need go . use Google Earth , work walk 22 mile four day , although ' feel much . walk around also feel safe , even night ( central London ) .some people comment rude unhelpful staff hotel . ' go far , ( especially front house ) could describe indifferent . room cleaner diner staff well . get feel general NYC attitude , come across several place . get though personal " wall " , though get well . a couple local eatery try - Andrews Diner ( west opposite side 34th ) – good basic food – apparently good breakfast , ' get chance try it . shutter Café ( 1 ½ block west 34th ) – excellent food , ' look closely décor . look sort place local use . Stagedoor ( 1 block south 8th ) – good food , large portion . W Café ( corner 5th 36th , afield good route place list ) – good sandwich , etc , find anywhere . one general tip ( first time visitor ) . Empire State obviously must , one thing can not see course esb . daytime , Rockefeller ( Top Rock ) night . way get see esb light , overall view arguably well . 
 Oct 27 2008 	 horrible experience 	 stay New Yorker walk distance Jacob Javits . will not make mistake . wait line least fifteen minute brusquely check . place drab dreary , overall . get tiny room , bathroom place even put toothbrush black hair tub ( kidding ! ) , realize temp freeze heater break . take three telephone call get someone show ! first day NYC , find wait freeze room two hour heater fix . Fed wait , show two dark , grim room possible replacement decide stay put ( least room three window ) . think heater fix , surprise , next night , still break . midnight , another unsuccessful ordeal & quot ; engineer & quot ; room ladder drill , companion find traipse hotel pajama finally relocate we acceptable room . understand hotels maintenance issue . not expect poor attitude slow response fix heater . call let customer service manager know disappointment , adopt nasty attitude . overall , place pit . grungy . leave , bellman insist & quot ; escorting & quot ; we taxi , sit plain sight . demand tip taxi driver , presumably get fare . even help we get bag taxi . overall , place smarmy . 
 Oct 26 2008 	 rat also stay New Yorker 	 BEWARE ! really enjoy short break New York already think return New Yorker Hotel . however , last night stay , discover sharing room RAT ! awful experience daughter almost become hysterical . know thing happen , lay back attitude staff really annoyed . fairness , give we another room close upon request , let we keep room leave 5.30pm instead vacate mid - day . however , time anyone come apologise , check okay , attempt give explanation happen . not think could ever stay hotel shudder think exactly rat roam . relieve discover source unexplained noise end four night stay , otherwise , entire holiday would ruin . staff seem indifferent experience , leave wonder - common rat problem ? 
 Oct 24 2008 	 nice ! 	 get back 5 night stay New Yorker UK . hotel nice would stay without hesitation . location hotel good drawback . handy daytime sightseeing Macy 's , Times Square , Empire State 5th Ave five ten minute walk away . neighbourhood nice Madison Square Garden literally across street . would really recommend hotel people want go MSG . struggle night time find particularly nice place eat . usually like nice italian somewhere near hotel tiring day trip could not find one . Inexperienced New Yorker traveller , not think book nice place Greenwich Village etc unlucky . however , Stage Door Restaurant , short walk street direction MSG serve we well number night reasonable . eat issue slightly disappointing hectic day not really mind long food good . hotel lobby nice seem near end construction work , welcome . style hotel inkeepe traditional Art Deco era nice . room newly renovate wonderfully decorate . two comfy double bed plenty room 3 we walk around . surprised reading review smallness room . good sized room New York definitely great view . Chrysler Building one favourite building . bathroom not newly decorate comparison look little dated everything work fine . staff hotel wonderful always curtious helpful . Tick Tock Diner brilliant little place breakfast night serve we well quick evening meal . staff whole ploite bar one rude , ignorant man enter argument one party middle diner . rude behaviour throughout meal , decide pay tip suggest bottom bill . horrid resort call party name leave restaurant . complain manager sorry not seem surprised . encounter another party day later . exclude , Tick Tock lovely typical american diner serve good food . New Yorker perfect sightseeing newly decorate make superior cheap hotel area . definite return customer ! 
 Oct 23 2008 	 bad experience - never ! ! 	 stay hotel night Oct. 9th - 2 room 2 couple . staff front - desk rude impolite we . especially Tony ( eve . shift 4:00 pm ) one girl send laundry 9th Ave . coin laundry hotel ( find next morning checking ) . Tony speak tone make we feel welcome , say fault upon check ask we whether wish room together answer - yes . say room ready make we wait without tell we room ready together . one we make scene , refuse talk man all . whenever turn back - feel staff talk behind back . smile welcome moment approach front desk . I work hotel industry many year travel quite bit can not remember bad experience anywhere compare . never stay hotel ! Meira MelamedIsrael 
 Oct 22 2008 	 good hotel excellent location 	 stay New Yorker 4 night February . my mum book stay New Yorker use airmile , contact hotel directly . however , arrive , book we double room rather twin room , request . not overly sorry helpful - tell room available double smoking floor . look smoky . eventually find we non - smoking double room , nice . bathroom , room large clean . cold New York , heating night , however make loud noise , would recommend bring ear plug ! location hotel great - within easy walk distance Empire State build close number subway station . the hotel not restaurant diner - Tick Tock diner , eat breakfast morning . convenient fun place breakfast huge menu friendly staff . overall though good place stay easy recommendation . 
 Oct 21 2008 	 Location Location Location 	 book Expedia available Metro Queen take chance pay . arrive ask see room 2 bed give another room ( nominal upgrade charge ) 34th floor ( corner room ) view West Hudson River East , Empire State Building . room clean , bed super comfortable staff great . overall excellent choice . close everything , subway station , Macy 's , Times Square Madison Square Gardens last night , take Madonna concert ! first ( definitely last ) amazing trip fabulous City ! 
 Oct 20 2008 	 excellent location neat room . 	 location hotel excellent . be close several sightseeing highlight ( e.g . empire state building ) two subway station nearby , two block apart . the room spacious ( NY standard ' ve tell ) , neat . good quality bed , large enough one person ( ? 1,50 ) , although parent , one bed type , course bit cramp . furthermore , styling room hotel general quite stylish . 
 Oct 20 2008 	 Great NYC Hotel 	 return wonderful stay New Yorker Hotel . like review say hotel good location - wise great base explore city . 's luxury hotel 3 star rating fitting hotel . renovation come end- still work lobby area last week think bedroom renovate . room 37th floor great west face view . room tiny manage fit . bed extremely comfortable- feather pillow mattress perfect . flatscreen tv good too- include hd channel . safe , minibar tea coffee make facility room- therefore 3 star rating fitting . across road though 24hr McDonalds diner also 24hrs conecte hotel . feel safe secure hotel would absoloutly stay recommend hotel other . 
 Oct 16 2008 	 nice hotel great location 	 stay new yorker 4 night , find desk staff check we help full polite , give large corner room 20th floor quite large three we , location great central everything , tick tock diner nice food set day site see shopping . 
 Oct 15 2008 	 New Yoker Hotel - recent review 	 sure expect read many mixed review New Yorker Hotel delight room 19th floot . spacious two double bed en suite either end room . tv excellant easy use . room clean daily maid service . the elevator plentifull 5 serve first 20 floor . speedy reliable - 19 second lobby 19th . location fantastic . short walk Macy 's Daffy 's . Madison Square garden close Empire state bulide another 5 min stroll . Times square also wthin easy walk distance . the Tick Tock diner annex hotel busy especially morning queue get service quick always polite . food quality ok expensive expect . the Coopers Tavern annex side market good food cheap . beer expensive 8 dollar glass . hotel staff polite professional willing help way . there rennovation go main lobby therefore shortage sit nuisance wait get pick return airport . if return New York would certainly consider stay New Yorker . 
 Oct 13 2008 	 great time New Yorker 	 stay New Yorker two night past weekend . location hotel can not beat . 5 minute walk Macy 's , 15 minute walk Broadway / Times Square Penn Station/34th street subway stop right around corner . the room little small , expect NYC . 3 woman room though little snug , nicely decorate , bed comfy location , say , excellent . information / transportation desk great , show we navigate subway even book car we travel back airport . also print boarding pass flight save time airport . Tick Tock Diner , access lobby great stop cheap breakfast full day sightseeing . enjoy NYC , expect walk lot take subway farther destination . chinatown interesting great bargain shopping , especially knock - off purse ! not miss broadway show take light Times Square . would definitely stay New Yorker ! 
 Oct 11 2008 	 tall okay 	 last year . book sleep . room 26th floor , big comfortable bed , bathroom good . could not close door could not adjust water come shower . ok . stuff kind . eat 2 day restaurant hotel quite good . meal eat city . love shop hotel . 
 Oct 8 2008 	 Superb Stuff 	 stay hotel June relocate terrible security paranoid Milford Plaza street excellent . what review may taken consideration famous NYC landmark massive renovation undertake make excellent choice . the location great block away main shopping street , Madison Square Garden excellent bar although do not eat there . upon arrival , find staff professional , polite minimal fuss see we check time . room amazing , pretty small two double bed , clean shower room plasma tv room fully equip HD ! highly recommend . 
 Oct 8 2008 	 like 	 room small 5th anniversary husband never NewYork even though rainy enjoy Time Square course enjoy tthe shopping 
 Oct 6 2008 	 good base explore NYC 	 stay hotel 25th Sep - 1st October friend . little worried reading review pleasently suprise arrive . check 12.30pm problem , room 26th floor clean ( although little small , two woman clothe make fit comfortably ! ) . bathroom decent size shower really powerful plenty hot water . much view window hey , stay hotel look window ? ! security good , guard check room key let elevator , reception staff information desk helpful ask dinner reservation , theatre etc etc . make sure use safety deposit box - charge ( unless lose key $ 200 ) aware want form ID credit card upon check incidental charge . problem overall stay pleasant . excellent location , 10 minute walk Macys , 10 minute walk esb , 15 minute walk time square , Madison Square Gardens right across street excellent transport link subway right next door - bargain $ 2 journey - use get WTC site take 10 minute ! partner join friend 3 night trip room even well - big , well view two window although greet rather large cockroach - housekeeping get rid do not see other . there ongoing construction lobby honestly , impact stay whatsoever location feature hotel make . friend stay hotel next week 5 night would definitely stay excellent base explore NYC . 
 Oct 2 2008 	 not go high expectation 	 stay two week hotel business trip . check fairly easy , lobby construction still go rather smoothly . second stay hotel , time room bit large last one . problem hotel : problematic wireless internet stay , hot water almost nonexistant - watch take shower . hot one minute , follow ice water , follow right - repeat . Coin Laundry downstairs lobby accord sign , first security guard let card would not work . try another load night later find laundry student - hotel part Educations Housing Services turn , laundry publicly list hotel guest . frustrating find laundromat around corner 9th ave 35th street 8:15pm ( last load time ) . thankfully chinese people run friendly allow laundry . almost non - existent amenity location frustrating extended stay . bathroom small , toilet literally 5 & quot ; wall , door would open would stand sink . television problematic well , would make static noise pixelate randomly . great thing hotel : room ( 2655 ) spacious , except bathroom . good size one two people extend stay . penn station nearby , well subway line . easy walk Empire State Building shopping area . I would recommend hotel pay . company pay trip make bearable though . definitely would suggest hotel friend , due price lack amenity . 
 Oct 2 2008 	 Central Location yet can not hear Noise 	 stay hotel early week 3 night pleasantly surprised . travel solo young female one concern always safety starter , something ever issue . review mention , always someone get elevator check room key . key , room access . yes construction still go ( visible lobby ) hotel always full people coming go ( many young people ) feel great welcome atmosphere moment check . speak checking , ecstatic get hotel 9:30am room already available . room 31st floor could hear street noise ( case stay NYC last visit ) although noise constant fan room get bit annoying try fall asleep . the size room small work . maybe 2 + people share , could see get bit tight . bathroom average size read review state , issue water - lot pressure either hot cold - . , not mind - 3 night long could shower , happy . good selection movie , music choose someone want stay watch television . choose listen clock radio every morning get ready leave . desk , dresser course closet equip standard iron & amp ; iron board . would definately stay , mainly b / c location . right subway line within walk distance many major shop attraction . love Starbucks right across street adjoining 24hr diner convenient not want travel far get fill yet cheap breakfast . 
 Oct 1 2008 	 wonderful Honeymoon ! ! ! great central location ! 	 staff check - in give we upgrade room since honeymoon . give we corner room 25th floor . room beautiful bed extremely comfortable . much sightseeing leg foot hurt badly end day , well worth . pack lot 5 day . location hotel perfect - right across subway station . finally figure subway last couple day next time much easy . also , not believe hear New Yorkers see tv - extremely nice helpful tourist . Big Apple get definite A+ ! ! ! can not wait go back - planning 5th anniversary . 
 Sep 29 2008 	 Great Location ! 	 stay hotel 4 day husband . room 24th floor lucky see small view empire state building . the room great problem , keep clean daily . though last day visit huge cockroach , happy way door not bother we much . hotel staff friendly problem day check . guy reception desk take key say that s do . know bill settle etc return reception tell not check , turn guy not check we properly , take key . anyway another reception staff check we properly . the tick tock dinner next door good husband get food poison , go dinner next lowes cinema across road tick tock dinner subway entrance , food much well . the location hotel great , walk everywhere point get taxi , bus use subway . will definately recomme hotel return New York stay hotel . 
 Sep 27 2008 	 Excellent Location 	 Hotel excellent location ... Macy 's block away ... theatre district . room small adequate . alright one pax would squeeze 2 pax . newly renovate flat screen tv promise . toilet really small .. not look new rest room . rather expensive compare hotels city .. reckon that s expect coz nyc.hotel still undergo renovation disturbance minimal . 
 Sep 26 2008 	 enjoy stay New Yorker 	 stay New Yorker four day ti honest not know expect pleasently suprise New YorkerThe hotel staff arrival pleasant room 20th floor ( 2065 exact ) satisfactory , though first night arrive end tropical storm need air con , bit noisy side turn could sleep , bed comfortable , room bathroom clean feel secureThe view room wall , another section hotel , light not exactly pour , not go New York stop hotel daythe location New Yorker well think , situate across Penn Station , Madison Sq Garden street Macy 's Empire State , walk distance ( walk ) Time SquareThere restaurant hotel , make breakfast endless cup free coffee ' Tick Tock ' diner connect door receptionin conclusion : use hotel base , somewhere clean , leave luggage safely feel comfortable , New Yorker fit bill complaint 
 Sep 14 2008 	 cash steal room action take 	 stay New Yorker week . hotel fine , bit basic , room good size new york . room however safe last day discover $ 120 put one side bottom suitcase closet take along empty traveller cheque wallet . report send three different people - none explain would do action would take . tell come back 3.00pm ( leave 3.30pm ) process would take 30 minute . come back speak security desk start take detail . nothing do detail log . speak three people , final person customer relation manager useless say deal often people always suspect staff . issue one could tell we process log issue would do . final straw customer relation manager say & quot ; ' ve sign statement loss not & quot ; - even tell - person log complaint put scrap paper . hotel average however process deal customer complaint awful . 
 Sep 13 2008 	 Loved New Yorker 	 girlfriend stay New Yorker August absolutely love . request room high floor advance please allocate we room 37th floor amazing view Manhattan Hudson river price standard room ! ! ! like many reviewer love Art Deco architecture New Yorker redecorate room original true Art Deco style . room small still comfortable make good use space . redcoration lobby finished stay look great especially big chandellier . breakfast twice Tic Toc Diner good good price . frequent traveller staye hotel 100 night year must say New Yorker stand among many bland chain hotel stay would heistate recomend hotel . 
 Sep 11 2008 	 good location - crap staff 	 fabulous location previously state renovation come along nicely , stay renovated room clean , tidy sufficient one night stay . however Ramada seem upgrade room downgrade customer service , receptionist check we down - right rude even ask we understand english ( be british ) take payment room manage make error ' maxe ' card . fact do not seem concern slight inform we , mistake would sort would 7 working day see fund return - another week 's holiday ahead we go well , majority spend money . try complain management not interested - payment ( ) care . the next day book town car travel desk New Yorker , organise fleet car take we passenger Queen Mary 2 next part holiday , trip take 30 min fully inclusive rate $ 65 inc tip toll - 3hrs later driver manage get we dock take we Queens , JFK airport , La Guardia Airport , downtown , finally Brooklyn , although stop 5 time ask direction driver clue go speak little English , although do not stop ask another $ 20 dollar toll money finally reach destination . word advice booking travel New Yorker - make sure ask driver know English ! ! overall 2 experience put we stay New Yorker ever regular customer last 3 year . simply take custom elsewhere . 
 Sep 8 2008 	 Small impeccably keep room great location ... 	 wife stay room 3303 ( ' Metro Room - 1 Queen ' ) four night middle honeymoon . New Yorker still undergo renovation reception not finish room everything else floor be . the room tiny , barely enough room put two suitcase , New York . everything work . air con good , flat screen tv wall ( not straight ! ) clean anywhere else ' ve be . there launderette basement not rely ! 10 washing machine , 8 work . 5 dryer , 1 work ! one laudry powder machine not work ! diner downstairs ( tick tock ) excellent , especially breakfast , location hotel spot : subway entrance side build Penn Station next block along . on whole would stay , get cheap room . 
 Sep 6 2008 	 2nd time around 	 2nd time stay hotel , last year middle renovation work find hotel slightly smell cigarette / cigar smoke . year however , place gleam , spotless room neutral shade . please eye . for cost holiday complain price pay enjoy wonderful 3 night New York . the staff polite helpful eager help . Tick Tock diner sell excellent food reasonable price . planning stay New Yorker next December , roll ! 
 Sep 4 2008 	 artchitecture important 	 since artist , really love Art Deco style hotel preserve . architecture important hotel stay , . room size amenity . hotel really ornate art architectural design room well common area . plus hotel lot fascinate New York history go along ( e.g. , Muhammad ali stay famous fight Joe Frazier . ) room quaint cozy ; little small side be renovate lot room make large . would stay again . -- -- -- -- -- -- btw , want unbiased view hotel , check Wikipedia 's article New York hotel http : //en.wikipedia.org / wiki / New_Yorker_Hotel 
 Sep 3 2008 	 good hotel 	 stay week August husband wedding anniversary . Hotel - Hotel bedroom undergo renovation clean update . stay 29th floor , corner room , compare review room , seem space find small . ( maybe worth ask corner room book - also mean get 2 side window / view ) . view river good . Maid clean room replace towel daily - room always clean . coffee / tea facility room - however 10 min check reception call ask would like coffee machine deliver room free charge - get another 10 min later ! give we couple packet coffee / milk last couple day . find staff fairly friendly helpful . hotel many facility would use much stay New York ! Eating - Tick Tock diner next door ok , another cafe / restaurant come hotel turn right , straight across road ( next irish place ) . course , ton cafe / Starbucks etc around anyway . restaurant next hotel good food fairly reasonably price . irish place also nice food . find many great restaurant around area - think would know go probably area get really good meal . travel - subway right next door hotel . walk lot thing hotel - include Grand Central Station 25 min walk away past Bryant Park . penn station across road also . would recommend use subway $ 2 journey rather rip yellow cab ! also get discount buy lot ticket subway . attraction - mention , lot nearby . would recommend Top Rock ( Rockefeller building ) rather Empire State queue much short view good . Broadway road - book ticket ticketmaster go theatre buy direct choose seat . use Gray Line bus company bught 3 day bus tour ticket hop on / off various tour . price include boat cruise good . would recommend go immediate area see thing e.g . Central Park , South Street Seaport etc etc . overall - good experience hotel would stay . 
 Aug 28 2008 	 Excellent Location 	 get back family holiday NY safely say great hotel New Yorker . location ideal - miniute 's walk metro , 5 min Empire State Building . staff ok , do not seem rush anything overly helpful suppose accept NYWe go 2 child ( 4 & amp ; 1 ) experience problem - make sure request double room 2 bed though . kid love McDonalds opposite . we breakfast diner next door good - typical breakfast 2 egg , toast hash brown around $ 6.the room desk well plasma tv ! good central hotel 
 Aug 20 2008 	 Fantastic far excede e 	 hotel fantasticly locate , starbuck dunkin doghnut tgi fridays door step . room nice clean . try room 3601 , huge two closet lovely flat screen tv . airconditione effective view great . handy subway penn station right door step . location macy big selling factor walk home rest 5 min . tick tock dinner lovely pancake avoid coffee . also quite expensive . one restaraunt can not miss tir na nog , 1 block hotel exceptional steak mash potato . apple pie must . pricey worth especially irish tourist music , atmosphere , irish tea ! irish staff . hotel excellent will not regret stay . trust ! ! 
 Aug 18 2008 	 nice hotel good location 	 book trip expedia , New York know do not get much money . this place offer cost £ 100.00 night double room . the room small , mean foot round bed free space . clean pleasent . bathroom tiny clean . air conditioning window rattler unit , drown noise police siren ... grandma disable acess room , fantatsic , lot room , lovely big bathroom , sofa seat area . and bonus .... fantastic view skyline .... Lobby seem open walk diner bar , access lift show room key , feel secure . all room 21st Floor . like us group , book 3 room booking . 23rd floor , parent 26th grandma 31st ! ! ! ! . would though disabled room would lowest floor case emergency , know hotel design . location : -We arrive New york penn station diagonally opposite hotel , walk take 5 minute even luggage wheelchair.1 block macy shop . opposite hotel 24hr mc donald , TGI friday 24hr drug store/ supermarket . really nice irish bar ( exit hotel turn right ) 1 block , first one come . great food , pleasent staff , reasonable price . due wheelchair mainly get cab attraction , hotel battery park monday morning rush hour cost we $ 17 dollar . this really nice hotel , would recommend . 
 Aug 14 2008 	 Affordable well - place clean nothing special 	 room clean big expect . certainly enough space 2 people . nicely decorate striking . bed comfortable nice pillow . bathroom little small adequate . room 29th floor view across Hudson , much else . large tv good range channel . coffee / tea make facility coffee available lobby . reception staff generally pleasant especially smiley fast . hotel 5 minute foot Macy 's , 10 - 15 minute Empire State Building , 10 - 15 minute Times Square . good access Penn Station ( train Newark Airport ) subway . diner next door overprice , go Andrews Diner next Loews cinema 34th St instead . overall , hotel provide good place rest head end long day , not anything special . 
 Aug 14 2008 	 small room clean perfect location . 	 stay New Yorker business trip ( book next door meeting place ) . must say also seem like truly excellent location tourist visit Manhattan , figure 'd mention . hotel average , location perfect : easy access major attraction , lot excellent restaurant , diner , bar . walk everywhere time day night . indeed safe area - something take grant everywhere New York . room small , clearly one newly remodel unit : plumbing look like hundred year old . everything would run fine , complaint . actually interesting see part history intact . ' ve see vintage plumbing european hotel , never US . room clean , AC unit work fine , not give problem . nice view window . sure comfortable would room size two we travel lot luggage . definitely comfortable enough carry - on . like say , 's average hotel small room ( well , New York ! ) perfect location . 
 Aug 6 2008 	 6.5 10 	 Travel Consultant stay many New York hotel visit last 10 year . decide give New Yorker & quot ; go & quot ; 4 night 4 we there . keep mind refurbishment room mention condition room review . location great . eat diner experience & amp ; food fine . security fantastic good thing New York . room small mention other get pay . 99 % staff friendly attentive . room clean . room 1 : first night wind blow gale terrible noise come AC unit . inspection whole unit miss hole wall cover uunit plastic cover . contact front desk , offer move we say could anything . 4 night howl wind come hole wall . room 2 : apart clang flagpole rope outside window night OK.Hot water good bathroom sufficient 2 people . if room refurbish New Yorker would good place stay middle road Hotel really location outstanding feature traveller . my suggestion front desk staff reactive problem bring attention . 
 Aug 6 2008 	 cat 	 bad hotel stay room size 15 8 could belive eye door open u could swing cat room.it drity old 28 floor never never go back place.my suitecase big ... 
 Aug 4 2008 	 Excellent Stay ! ! 	 little hesistant book hotel under - go renovation , however upon arrival pleasantly surprise overall appearance hotel well room . the hotel accommodate we well . Plaza Suite- two double bed pull - out sofa two full bathroom ( huge plus consider 5 girl stay one room ) ! room renovate decent size New York . window unit AC 's prove cool -- - sometimes room cold -- complaint ! even tho window unit , noise issue way . elevator pretty quick security great checking card . front desk service nice even help we get car service back airport . location definitely huge plus- great access Madison Square Garden , Times Square , Empire State Building , well subway route . would definitely stay New York ! ! 
