Great 	 two interconnect room 4 night . lovely hotel great location . room smart well appoint . room service twice day . Lobby impressive however shop lobby two basement floor niche / expensive . breakfast good restaurant nicely decorate . fortunately include package else RMB240 each . have dinner restaurant however average limited menu selection feel . swimming pool lovely always empty . temp nice warm plenty towel etc provide chair . good Wi Fi coverage room - Complimentary - wish hotel . 
 luxurious great value ! ! 	 stay Peninsula classmate sightseeing around Beijing . location amazing look night market around corner fastfood place like Mcdonalds KFC . great window shopping international brand boutique hotel lobby , amazing breakfast ! ! hotel staff good english speaker ( rare Beijing ) friendly . lot personal touch like note leave room hotel , even complimentary cake anyone celebrate birthday stay Peninsula ... would reccomend hotel anyone look amazing time Beijing ! ! 
 Aug 13 2006 	 Palace Staff good 	 husband , 9 year old son stay Peninsula Palace Hotel August 3 - 6 , 2006 . time summer promotion crazy book . five star hotel deserve every one star . summer promotion include breakfast ( buffet ) everyday quite buffet - western asian well option dine 5 star restaurant JING know throughout city could choose transfer to / from airport choice . the check bag room record time . inside room unbelievable feature , like enter room option mood light ( last time go hotel room mood light ) not work 9 year old . plasma tv amazing order list DVD 's deliver room charge service . sit area well desk fax machine internet access use course business . bathroom quite large nice counter area , separate shower area , nice deep bathtub - phone right toilet tv screen bathroom really need . not even club floor . my husband chance use fitness facility work hotel book . travel lot world BEST hotel gym could ask big good equipment . lady also run around basket offer water ask need anything - beat local gym ! swim 9 year old pool enough fun - clean big well maintain - indoor also lounge chair case want sun outside .. conceirge staff - speak many different language course height summer season especially Asia look everyone - job big small . include recommend shopping place woman empty suitcase . dinner reservation problem want go Beijing Opera book well . local tour offer shuttle bus pick well specialized tour need 24 - 48 hour notice - time Beijing would definately book educational one . can not say enough conceirge really look really could not tell one point many staff - one day six behind desk look everyone not want lineup believe not wait . hotel surround expensive shop three floor ie Channel , Coach , Tiffany get idea - see people bag never actually see anyone shop store - know must well . hum haw stay would highly recommend hotel - stone throw wangfuje Street one MAIN shopping area - like department store , Olympic Souveniers awesome Arts Crafts Centre many floor high kind Crafts include Jewellery section main floor . also walk Tiananmen Square take 15 minute cab quick cheap well . Peninsula use call Palace Hotel read old guide Beijing might see hotel book - Peninsula Chain buy course change name great buy . 's Palace ! 
 Aug 7 2006 	 excellent grumble ! 	 excellent follow comment : - agree previous reviewer . price evian bottle . experience refuse send away.- book car guide great wall . guide ride trip stay behind walk wall . not understand point pay useless service.- inhouse restaurant good . 
 Aug 7 2006 	 good hotel Beijing 	 ' ve stay almost every 5 star hotel Beijing find Peninsula good town ( price / location / value ) . travel dozen time Beijing 2004 June 2006 . room comfortable ( love tv bathroom ) , location fantastic ( ; need take cab go restaurant /shopping/ foot massage ) . Personnel attentive , concierge desk efficient helpful . 
 Jul 23 2006 	 Great Hotel - so - so Service 	 stay seven day . liked room . Service Club level fantastic . entire staff friendly helpful morning breakfast afternoon cocktail . serve good & quot ; free & quot ; breakfast evening buffet . staff make we feel like honor guest day day . say front desk conciege . act big bother . actually afraid talk conciege talk give one two word answer question . lucky find local guide give we recommendation - conciege hotel worthless . front desk money change desk hard press even say hello . seem like want get . smile . management need spend day Peninsula Manila Peninsula Chicago understand customer service . 
 Jul 18 2006 	 Good Hotel - trust Cocierge Recommendations 	 great hotel - room , restauarant ( especially Jing ) , ambience , perfectly locate explore Beijing . just one warning - trust advice recommendation Concierges . book expensive city tour . guide excellent ask tell we beforehand many site undergo renovation would closed ( improvement 2008 Olympics ) . also ask advice get one large Carrefour supermarket direct poor , old , small supermarket one request . restaurant recommendation ? experience receive commission recommend certain establishment . the Jing Restaurant always good .... especially buffet . beware order certain item restaurant cafe - bottle evian cost GBP 8 order local mineral water . tea beer reasonable . a great hotel stay ..... 
 Jul 16 2006 	 nice location excelent conciege service 	 stay hotel 5 night . room big enough accommodate 3 we . as make reservation e - mail , wait we airport cool water Mercedes . bring we hotel , go directly room ( check - in necessary ) .a week communicate concierge e - mail ask suggestion , ask travel arrangement . arrive already book everything want ( private tour , show , restaurant ) . everything work fine , happy service hotel . on top , hotel well locate , breakfast excellent , kind staff . for never China , want part excursion good safety option . necessary . 
 Jul 8 2006 	 Executive Floor make good China 	 book three room executive level receive good service . one room potable water , could call much bottled water desire . Club Lounge excellent breakfast buffet , superb afternoon tea snack , superb bar snack food drink happy hour . family love fitness center individual tv , headphone , bottled water , provide cool moist washcloth midway workout . superb hotel laundry service . location superb proximity pedestrian shopping street night market . also close night food market . 
 Jun 25 2006 	 nothing Outstanding 	 Stayed Peninsula Palace three night towards end May . room standard size king - sized bed . bed bit hard - especially give luxury hotel day provide comfortable bed . big plasma tv room another small one bathroom . problem reviewer regard yellow water leak shower stall . location hotel good - close many sight major shopping mall . surprised level service hotel . fly Beijing Shanghai stay JW Marriott notice big difference level consistency service . Peninsula , excellent knowledgable staff concierge , front desk staff pleasant -- page boy door man , bit aloof . even occassion wherein housekeeping staff leave wipe cloth room . otherwise , service business centre Jing restaurant excellent . 
 Jun 23 2006 	 's well get inside ! 	 Peninsula Palace look terrible outside , trip airport ( taxi ) leave wish have never come Beijing , inside be different matter . we arrive - nerve frazzle 100 mph dash airport - far relaxed state soon step cab bag whisk away , take executive lounge offer beer . good start ! concierge executive lounge could not helpful , provide we map information , take we personally room . unfortunately , despite reserve non - smoking room , first room give smell badly smoke . problem ! give choice two room bag move without fuss trouble . the room not overly opulent fancy , view not good , be clean , modern comfortable . location wise , hotel perfect tourist . literally 15 minute walk eastern edge Forbidden City ( person say previous post , & quot ; not believe & quot ; 15 - 20 minute & quot ; distance Forbidden Palace / Tiananmen Square hear & quot ; - think must get lose - go hotel , turn left walk straight line 15 minute ! ! ! ) . be 2 min main shopping street ( good look great shopping ) right across road amazing foot massage place ' ve ever experience ( amazing day trek round city ) .We going go trip Great Wall arrange youth hostel much hassle , ask concierge organise car take we Jinshanling pick we Simatai . also provide we great lunch . cheap , worth money experience . overall - good hotel good location perfect be Beijing short time & quot ; see sight & quot ; . 
 May 25 2006 	 Good Hotel 	 past stay Peninsual 's Bangkok ( possibly world 's good hotel ) Hong Kong Pen ( institution ) expect equally grand hotel . arrive late car meet we airport . standard stuff Asia . arrive hotel boo club floor . they take directly room . disappointment , say least . tiny room even small bathroom comparison Asia hotel . locate another room , negotite small extra amount pay . much well . least could unpack move around without much problem . big bathroom . club floor pretty good breakfast . go way make egg choose ask nicely . staff helpful . put snack cake afternoon . chocolate dinner , be bad place retire bed . free internet service well . restaurant excellent breakfast huge . one day hire car driver take we Great Wall . restaurant maitre ' ( delightful ladt excellent command english ) assist we have picnic lunch pack . , choose food cold food buffet night container provide keep kitchen fridge . next morning pack small ice chest provide we linen plate cutlery could enjoy meal . great Wall driver take we gift shop bottom wait food spend hour Wall . eat one table . much nice restaurant pass way . the hotel locate close tt Tiamen Square Forbidden City ( 25 minute walk ) next huge car free mall . enjoy hotel . excellent staff . Super chinese restaurant . 
 May 24 2006 	 good hotel spotty service 	 partner stay Beijing Peninsula Palace hotel mid - January would recommend other seek acceptable luxury Beijing . roomour room deluxe room , take note deluxe room create equal . first room much small tv bathroom . complain give large room category high floor . room separate & quot ; office & quot ; area tuck corner room . silent fax machine , broadband access usual Peninsula technology . bed hard , prepare we nightly . ' m sure however change sheet every day . bathroomthe bathroom not separate shower cubicle . bath 's slide glass door leak quite lot water water pressure adequate , not strong . oh , remember let water run faucet five minute . China Third World country , not good piping water yellow . separate faucet dispense potable ( clear ) water . facilitiesthe hotel quite luxurious exterior . use pool area , sauna gym - top class . dine Huang Hing restaurant ( good ) daily buffet breakfast Jing ( also good quality choice ) . SERVICEMy main gripe service hotel spotty ! arrive late evening staff attentive , tone rude time . front desk lady actually say , & quot ; ok , be ! go ! & quot ; give we key - hope management could train staff avoid famous Chinese & quot ; no - nonsense & quot ; ( i.e . rude western standard ) mannerism word choice . service Jing also spotty - ask Jasmine tea every day either late arrive , forget altogether . term cleanliness , noticed lot fingerprint mirror table top throughout hotel . , minor issue unacceptable type hotel category . SURROUNDINGSFinally , surrounding hotel , not believe & quot ; 15 - 20 minute & quot ; distance Forbidden Palace / Tiananmen Square hear . partner avid walker take we good 35 minute get mention location . hotel nice shopping area however , CONCLUSIONOverall , good hotel . perhaps , expat reside ultra - high service ultra - polite Japan , ' m aware small service detail . , not expect exact type service be use back home . ' m sure time , level service improve China develop . 
 May 15 2006 	 Beautiful Hotel ! bad new Levi 's steal ! 	 pleasantly surprised stay nice beautiful Hotel Beijing . clean , wonderful breakfast buffet , good service , robe slipper provide . thing negative go home , realization levi jean must valuable husband take room . leave fold entertainment stand gone return . otherwise , love Hotel . 
 may 8 2006 	 nice place stay 	 stay hotel 4 night . staff pleasant always eager accomodate . hotel well maintain . food excellent . nice place stay New York- people whole lot friendly . would definitely go back 
 May 6 2006 	 bit enigma 	 many way hotel superb : facility terrific e.g . fine gym nice indoor pool . room excellent plasma tv fine shower . & quot ; club floor & quot ; lounge welcoming , breakfast also afternoon tea complementary drink early evening . service excellent throughout experience , helpful freindly . oddly , breakfast patchy , egg cook order , cold baked bean , tea also sometimes cold , ordinary dim sum indeed . peak time , long line breakfast ; wait 20 minute one day get dining room ( one level lobby ) . however main problem bed , rock - hard matresse . accord physician wife , myth hard bed good back , hard recall travel . overall , good , trouble hard bed , look elsewhere . 
 May 2 2006 	 Heaven Beijing 	 moment arrive wiske away upgrade duplex suite . stunning room magnificent lighting . greet beautiful fresh fruit display cookie chocolate . service perfect . concierge arrange every detail 5 night stay front row opera ticket window table Courtyard restaurant . we take hotel transfer service airport include personal escort ticket counter . since travel tour personal service receive entire stay make trip Beijing memorable . would not hesitate stay elegant Peninsula ... would look forward . 
 May 2 2006 	 good 	 stay 4 night March , great limo service pick airport pre book £ 60 way . hotel chic , foyer amazing , surround many designer shop , Louis Vuitton , Chanel , Dior , Prada , Tiffanys many . price restaurant steep Beijing standard . not mind price quality restaurant good , particularly cantonese restaurant . the hotel well locate , 5 minute walk shop good 15 min Square Forbidden City . suggest get cab cheap , get concierge desk sort , helpful . we get hotel organise trip Great Wall Qing Tomb we Red Star car . good , get pack lunch hotel take . standard room nice , plasma screen , fitting new shiny . not big room ever stay big enough . bed one well ever sleep sheet lovely soft . I would recommend hotel anyone go Beijing , cheap certainly good quality , chic , reliable central . Beijing worth visit , especially Great Wall , experience never forget . Silk Market place go bargain shopping , get use hassle stall holder realise sale pitch not mean feel intimidate first . fantastic bargain , girlfriend say would go back Beijing market ! 
 Apr 23 2006 	 ok go elsewhere Next Beijing 	 hear rave review Peninsula Hotel Beijing , disappointed . US $ 300 , think belong 5 Star category . nothing special lobby , although hotel locate mall shopping brand name Rodeo Drive 5th Avenue . location bother . wife walk several block direction , nothing interesting see , even along nearby pedestrian street . dining room basement , although pleasant , lack natural sunlight . food plentiful good breakfast dinner . room appropriate size plasma tv , well decorate . internet connection superb , free . Lots Westerners stay hotel . 3rd trip Beijing , choose another hotel next time . 
 Mar 6 2006 	 good mis - step . 	 stay eight day February . overall experience fine , exception service hiccup . room adequate ; breakfast buffet terrific , especially asian side ; restaurant , pricey , quite good . location terrific . generally , service fine , sometimes spotty concierge desk . ask make reservation Peking Opera one night , tell would . got opera , none make . raise issue return , tell would look get back . one . reserve , receive questionnaire ask preference newspaper , never get one . ask whether would like comforter blanket , say blanket , get comforter . quite fine hotel , not quite live promise Rolls Royce front . give language barrier , lhelp specific . 
 Mar 1 2006 	 Excellent Hotel 	 wife stay 5 night depart 2/28 . overall wonderful hotel . buffet breakfast outstanding . service average . free internet service provide room , wifi wire ( connect speed sometimes slow ) . gym nice . the negative , consider serious outside look hotel nothing write home , room little small . location good , 15 minute walk Tianamen Square . many restuarant area . pedestrian shopping street 5 minute walk . 
 Feb 26 2006 	 great ammenitie ! 	 come back eventful trip Beijing family . must say vacation enhance choose Peninsula . exciting often tire day sightseeing child , refresh return 5 star accomadation . however , not believe service always 5 star . not feel lack try know . Beijing still grow international city believe exposure service industry , acccustome need traveller .. 
 Feb 25 2006 	 great experience ! 	 stay property Feb. 8 - 14 , 2006 . could not pleased room , great shower bathroom , service , location overall experience . breakfast buffet serve Jing morning something look forward . also enjoy good massage ' ve ever Peninsula spa . first rate ! also check small , good restaurant right across street . 
 Jan 16 2006 	 quite overrated Hotel 	 stay hotel twice trip , think overate hotel . probably one good Beijing , world . the room simply small . average 31 metre , one big suitcase , hard put two sametime . lot detail room ( like big tv etc ) . bath room tiny , compare Peninsula Bangkok . since Tub & amp ; Shower one place , shower crack first time use . switch China World Hotel third night stay . Room China World Hotel much spacious , bit expensive Peninsula BJ , worth it . the location hotel excellent , restauant grind Fl good . 
 Jan 11 2006 	 5 star luxury 	 luxurious attention detail one good hotel ever stay ! room elegant - oh comfy bed , egyptian cotton sheet lot pillow . beautiful limestone bathroom even adjustable plasma screen tv could watch bath . room service excellent food restaurant . staff helpful . taxi sometimes little difficult get hold not taxi rank site . word advice - american european visitor might find many porter ring door - offer ice , chocolate pillow etc - little annoying remember light ' do disturb'on control panel want leave alone . 
 Jan 2 2006 	 wonderful experience 	 hotel amazing - stay 3 night . room elegant yet comfortable . pay little club level , well worth . also , hotel 's spa small , relax affordable massage , nice long day travel . not hesitate stay . 
 Dec 5 2005 	 Comfortable Elegant Home Base Staying Beijing 	 husband stay Peninsula 4 wonderful night . read many wonderful review hotel could not wait experience hotel ; disappointed ! love comfortable bed oversized towel . treat return back long day sightseeing bed turn ornemental pillow carefully slip case , slipper side bed , bottled water bedside , soft music play . breakfast Jing restaurant wonderful complete vast array fruit , pastry , breakfast meat cook egg order . service outstanding hotel definately deserve 5 star rating . 
 Dec 3 2005 	 one top hotel China 	 stay Peninsula Palace early year great although service could well . location : always think adjacent wangfuje map , reality walk minute reach , yet another minute reach oriental Plaza . point , Tiananmen Square Forbidden City another 5 - 10 minute walk . location paramount , Grand Hyatt well sit atop oriental Plaza . China World also conveniently locate atop World Trade Center great shopping Center ( ice skating rink ) .lobby : opulent grand dramatic atrium white carrara grand staircase lead either business centre & amp ; ballroom upstairs impressive collection luxury boutique restaurant downstair . service : check swift , escort right room , quite personal considering size hotel ( 500 plus room ) . concierge , however , bit let . request simple task re - confirm airline ticket Jakarta could find phone number / location airline ' office Beijing . make several attempt call Hong Kong Shanghai office , tell wait . even ask check net address , still result next day , follow still yet confirm . end , go business Center rent 's 15 minute internet 30rmb find phone detail , give concierge straight away get confirm . you rent dvd free list option . mine take half hour call get deliver . room : impressive view hotel . deluxe room ( 31 sq.m ) locate side ( possibly could distant view forbid City top floor ) . Grand Deluxe room ( 34sq.m ) face either main entrance indoor pool podium distant view towards Chang avenue . Opt Grand Deluxe room large bathroom separate shower bath tv.room large ( e.g Grand Hyatt Shanghai 40m2 , Island Shangri - La HK 44m2 , Ritz Carlton Singapore 50m2 ) , superbly furnish . teak wood rug , mood lighting , comfortable sofas , plasma tv , personal fax machine , dvd player music cd selection great control panel bed . bath : Grand Deluxe bathroom large , small tv vanity control panel tub . bath amenity great , designer brand top hotel . restaurant : rate include buffet breakfast Jing , locate basement . although view / street frontage , still feel cozy . design great especially private room . breakfast food allright , superb : quantity great good quality . facility : check 50 luxury boutique ( LV , Gucci , Prada , Tiffany ) handy shopaholic . pool close time , nice glass skylight open . rate : book hotel , check directly hotel 's website sometimes good bargain rate usd 160 , incl . bfast ( rack rate usd 340 ) . 
 Nov 29 2005 	 great Stay Peninsula Palace 	 return six night stay Peninsula Palace Hotel Beijing . hotel nicely locate , block away wangfuje shopping district 20 - 30 minute walk Forbidden City Tiananmen Square . the hotel excellent facility include pool / fitness center , shopping mall basement , good room service , spectacular restaurant – Huang Ting . stay hotel business grand deluxe room club level . club level room $ 50 / night expensive regular room include free breakfast , afternoon tea / dessert , evening snack 13th floor club lounge . drink , internet access , clothe press also free , opinion , round worthwhile upgrade regular room . big gripe club level lack authentic chinese food snack – almost everything provide Americanized . the good feature hotel probably room extravagant gadget amenity include flat panel tv bedroom bathroom , control panel next bed control everything tv radio temperature mood light . control panel seem motion detector build light display turn move hand close … neat . if ' speak chinese useful card hand taxi driver identify destination chinese character . concierge Peninsula Palace popular destination print . interestingly , card ' include airport popular destination ( one place almost every visitor would need go eventually ! ) . theory hotel happy arrange one comfortable pricey limos service . even take taxi , doorman know call expensive 2.00 yuan / km ride standard 1.60 yuan / km one … very clever . tip stay:1 . single man prepare approach 50 time hotel Forbidden city young woman pretend study English look " fun ; " 2 . visit weekend market buy quality art craft low price ; 3 . ' wear short regardless weather – bad form – count one hand number people see wear short Beijing one week period ( misinformed tourist ) ; and4 . ' buy thing government - run Friendship store jade / jewelry factory include itinerary Great Wall unless enjoy pay 10x much merchandise . even trip organize Peninsula Palace include annoying stop . overall , would certainly consider stay , next time might try Grand Hyatt sample Beijing ' hotel . Grand Hyatt look nice locate oriental Plaza , slightly close Forbidden City subway . 
 Nov 25 2005 	 Average Hotel 	 stay three night June 2005 . slightly overrated . room clean modern ( plasma t.v . , purify water bathroom ) , small . hotel guest mostly white Americans , bad thing hotel , would never know China ( except staff ) . great location , excellent service , clean / modern facility , good western - style restuarant buffet breakfast , luxury shopping within hotel . 
 Nov 24 2005 	 Fantastic hotel 	 stay hotel family night September 2005 . upgrade get fabulous room really spacious plasma screen include one bathroom . like way every night come back tough day sightseeing classical music playing room . food fantastic , especially breakfast . eat restaurant recommend Hua Ting , try duck pancake , beware get lot duck ! locatin perfect , could stroll wangfuje shopping . would definitely stay Beijing . 
 Nov 12 2005 	 surround Areas less desire 	 husband get major chronic back pain , leave bedridden 2 full day , whereupon ask , wife , one & quot ; Tibetan Pads & quot ; stick back ? course go get , nice lunch LL1 floor Jing Restaurant one good friend ... ask Marie , concierge , get chinese medicine pad gladly point Pharmacy , brisk 14 minute walk get . check cell phone ail husband , know get right pad shop fill kind box medicine . tonight pack check Peninsula Palace Beijing tomorrow morning . note amazing hotel 's service : room service , house keeping , wait staff restaurant . ( Hua Ting , 2 good chinese fare . order cold appetizer / salad . ) go receipt find pharmacy overcharge 13 pad ! unbelievable ! hear Wang Fu Jing cheat neighborhood tourist , much ! watch area ! ( will not buy anything , not worry much . great hotel . lobby 's upscale mall decent window dressing compare other Beijing . ) 
 Nov 11 2005 	 Believe hype one ! 	 weeklong stay Peninsula Palace fantastic start finish . send questionnaire beforehand ask bed , refreshment , newspaper preference , get room request amenity . location fantastic , close shopping , two subway stop , Forbidden City Tianamen Square . room superb , luxury linen towel , bedside control literally everything room , include 42 inch flat screen tv . quiet , nice respite hectic traffic ( unbelievably polluted air ) outside . compare many four star hotel city , property pretty expensive , less Hyatt St. Regis . opt club floor extra $ 30 night . guess worth , onsite restaurant quite pricey ( nice room service cost price selection dish ) . selection breakfast , afternoon tea , evening cocktail rather limited . nice lounge internet access free beverage day . I would definitely stay property ! 
 Oct 28 2005 	 Excellent 	 first class hotel 10 minute walk Forbidden City five minute main pedestrian shopping street . decent size room , 2 plasma tv 's ( one bathroom ) . view worth mention . fine service overall . concierge book Great Wall tour ( cheap ) . Great Wall - Ming Tombs guide speak excellent English . terrific breakfast buffet include room price . would highly recommend hotel . fairly price . 
 Oct 28 2005 	 worth money ! 	 treat true 5 star hotel . notice difference moment upon arrival . representative escort we front desk include offer carry business case . front desk staff check we personally take we room explain every ammentiity work room . hotel also make every effort accomodate special request . room contemporary marble tile hard wood floor large plasma tv include state art electronic control electrical appliance . central air efficient quiet uncommon . one feature one would appreciate China come filter water sink rather bottled water . hotel location great . Jing restaurant great breakfast . staff friendly helpful leave personal touch . use business center internet bottled water provide surf . upon check private car waiting take us airport , hotel manager would personal come inform we personally ensure even departure exxperience pleasant one . 
 Oct 22 2005 	 great location beautiful room excellent service 	 travel agent , stay many hotel year . Peninsula Palace one good . group bring China love hotel . location excellent shopping sightseeing , right center city . careful luxury hotel ( hotel ) Beijing . city huge traffic awful . stay great hotel city half hour Forbidden City . room beautifully furnish quite soothing . room amenity amongst well ever encounter . make sure get turn - down service - make go bed special experience . hotel New York London would cost twice price . go China take advantage fabulous hotel remarkable rate . 
 Oct 19 2005 	 great spot 5 star luxury Beijing 	 2nd stay Peninsula Palace remain favorite . duplex Suite 14th floor . FABULOUS . huge , 2 story suite . ground floor half bath , living & amp ; dining area , flat screen tv . hit button drape open / close 2 story window . Stairs 2nd floor loft style space . huge desk & amp ; work area , large bed , another flat screen load storage space clothe , etc . bathroom big 2 sink area yet another tv wall end tub . service excellent . shoe shine & amp ; return almost instantly . room service quick & amp ; good . Duplex Suites Club Room Floor Club Lounge ( 13th Floor ) lovely . easy service check in / out huge breakfast , afternoon snack & amp ; evening cocktail spread . comfortable . complaint would 1 computer use internet , etc . busy lot ( however , business center 2nd floor ) . location excelllent . walk door , street huge pedestrian street fill shopping . evening , be great food stall market ... go see cricket / silkworm , etc . stick ! easy 20 minute walk Tiananmen Square / Forbidden City . be look luxury ... think Peninsula Palace far well price St. Regis . 
 Sep 27 2005 	 REALLY GREAT PLACE stay 	 stay exec floor ( 13th ) get reasonable rate club . pay hotel , location staff excellent . need take hotel taxi , especially airport , Beijing Taxis cheap effificient . many many thing within walk distance hotel . check breakfast , afternoon tea happy hour executive floor . never order room service give option free ; ) 
 Sep 4 2005 	 Nice hotel GRAND 	 stay 5 night enjoy stay . would call exciting 4 5 star hotel . several problem hotel staff correct problem nothing extra . arrive , escort room great door lock break . tell would fix door tell take half day come back . offer nothing return . tell give another room everything sell . tell well room available next day , book pay high price . second room much large nicer bathroom , level top 5 star hotel . first room look basic . lobby nothing get excited . entrance hotel nothing get excited . , lobby 2 floor lobby mini shopping mall every major luxury brand store . store usual hotel mini version , full size . surprising since seem empty everytime walk . enjoy stay . room opposite side build , get see main road view pool side view . neither would call impressive . not go view ! hotel staff nice . come back late second day move new room , staff attendant notice enter lobby immediately tell new room ready . impressive . guess wait day ? location great . impressed stay automatically next trip . book hotel saw rate # 1 internet user . would say 's nice hotel , GRAND . walk Hyatt hotel look impressive & quot ; outside & quot ; . probably try next time . 
 Aug 26 2005 	 Hotel Supreme Harmony 	 husband stay 8 night superb hotel . book Duplex suite upgrade Beijing suite arrive . contact hotel arrival ensure booking receive tell anniversary take place whilst . appear good move lady communicate act personal concierge whilst receive complimentary bottle champagne anniversary , ( may also stay suite course ) .The hotel grand . spotlessly clean impressive lobby area complete sweeping staircase fine array designer shop . receptionist helpful courteous wait long attention even busy time . our suite beautiful . consist lounge , dining area , office area , bedroom , bathroom sink , separate toilet . plasma screen lounge bedroom , bath LCD tv foot fully controllable via easily - reachable button side bath . far channel available tell expect , e.g . BBC World News three film channel . air condition excellent complimentary toiletry good quality . minibar , well stocked ; beer 35 RMB ( £ 2.20 ) end world . particularly like ' mood light ' available , romantic ! hotel restaurant , handy China quite difficult place not speak Chinese not particularly wish sample local ' food . Jinn restaurant breakfast serve find superb quality . could literally anything want - cereal , full English , omelette , pancake , fresh fruit Chinese . busy time , 8 am 9 am , get busy may wait table painful everyone courteous . evening Jinn restaurant serve ' fusion ' food , mind , mean western - style chinese food not chinese . try duck pancake , oh try please ! ! ! mouth still water think . restaurant visit hotel Hong Qiou serve traditional chinese food ; even Shark 's fin want pay ridiculous price ! go safe option sweet sour pork , duck , beef mushroom , noodle etc . fabulous honestly expensive . word advice ... order tea not order water well . make mistake without realise keep top tea indefinitely end tea , water beer ! tire day option room service . couple time never dissappointe . miss burger not like McDonalds watch ' Supersize ' ( still can not get non - decaying fry mind ) , room service delicious burger ever ... mmmmmm burger . make sure remember price subject 15 % service charge still can not work , particularly leave space bill ' tip' . as part package access club lounge . find area invaluable . breakfast far limit Jinn restaurant . afternoon serve delicious scone cream jam fancy little sweet thing , vital lady long morning haggle market ! evening small buffet meat , cheese taco . also help alcoholic non - alcoholic drink . find club really great meal hotel . drink Lobby bar anniversary gulp bill could complimentary drink club ! location hotel ideal . right wangfuje shop precinct either walk short cheap ( 70p ) taxi ride Forbidden City Tianeman Square . taxis extremely easy get right outside hotel lobby cheap reliable . hotel organise Hutong tour we hotel taxi Summer Palace Great Wall . although far expensive organise suspect well worth extra money , taxi driver actually show we around Summer Palace like personal guide . all amazing experience would love everyone share . 
 Aug 21 2005 	 good hotel ever stay 	 best facility , good service , good value . definitely stay . 
 Aug 2 2005 	 wow absolutely amazing impressed ! 	 tell look forward stay look website comment leave . assure everyone hotel brilliant ! really think everything , step taxi pull hotel really do not need worry anything all . I Deluxe Room register CLub Lounge access free food drink day great afternoon tea bit 3 - 5pm serve delicious chocolate cake pastry , everything complimentary , inc internet usage . would well recommend ! breakfast good really wide selection , inc smoke salmon , parma ham , full english american breakfast asian dimsum teriyaki fish , mmmmmmmm . now one good bit modern room . reasonable size 2 double bed , massive plasma screen also small one bathroom watch dvds / tv bath , , pamper ! plus control bed really do not move ! around 100 dvds choose th annoying thing alot hire do not return check , end watch knockoff dvds buy subway also work fine . if want room make press button ' make room ' maid come housekeep literally couple minute . gripe come get taxi back airport call rather expensive black one normal taxi , one do not meter charge we 120 yuan whereas get beijing airport cost 70 yuan meter taxi ! next time hop , check get meter ! otherwise recomme hotel enough . location fab , 5 min walk Wangfujing st , go hotel turn leave walk 5 min wangfuje leave . 
 Jul 18 2005 	 good ' ve ever stay 	 staff , service , facility ... wonderful place stay rest . hesitate , be worth money ... 
 Jul 12 2005 	 wonderful respite decent price 	 stay night luxury month backpack - promotional rate $ 145 ! dvd selection plasma tv nice touch , staff helpful . agree previous comment taxi hotel service - be well catch one street . 
 Jul 11 2005 	 beie Peninsula er ... Palace 	 ' ve got concur previous review Beijing Pen pretty good - it pale comparison namesake Hongkong Manila . ready wow first glance ; suppose expectation over - reach upon arrival . starter , easy walk Forbidden City -- be good 25 minute romp . nevertheless , front desk accomodate , give choice another room request one well view . literature might lead believe will get one view Forbidden City -- doubtful hotel around bend . the plasma tv 's excellent dvd / cd player thoughtfully bedeck 2 cd 's , one jazz chinese classical -- think excellent idea . bathroom flat screen tv 's ... will really stay tub hour . as food -- Huang Ting good quite beautiful . jing breakfast alright ... bit jammed people , line along egg station ... nothing get caucasian crowd rouse bitchin like make wait egg . jing dinner , due respect Conde Nast list -- bit disappointment . still , everything else hotel mighty spiffy -- front desk , lovely shopping hall , gym , swimming pool steam room ... Beijing Peninsula excellent ... ' m sure be really deserve call PALACE . PS : make sure check Wangfujin map unwittingly hide desk -- outline little pocket pleasure will find neighborhood . 
 Jun 27 2005 	 Excellent Hotel Stay 	 Excellent hotel . service great . time check - in whisk club level serve drink & amp ; snack process check - in . anything ask do promptly . try meet every need . entire staff extremely friendly . impressed ell speak English . workout facility & amp ; pool nice . I think Huang Ting restaurant outstanding . many peolple rave Jing , meal so - so . negative thing hotel taxi service . considerably expensive regulat taxi . say small negative . my family still talk hotel stay . think PLACE stay Beijing . 
 Jun 15 2005 	 Great Hotel ! 	 staff Hotel nice always willing help . buffet die . nice come back busy day site see ! 
