Location 	 great location great service comfortable bed ever . stay hotel 2 night August great hotel . staff helpful attentive . dine restaurant dinner breakfast could fault either occasion . would recommend hotel family friend . 
 Jan 16 2006 	 can not beat location ! one Midtown 's good 	 ' ve always stay Essex House Manhattan primarily due excellent location fact Starwood Property . unfortunately , last visit since leave Starwood Group ( Westin ) . use Starwood Points get free stay ( last one 10 night - 12/23/05 1/2/06 ! ) ' ve always receive sort upgrade ( will not get not ask ) . last visit put 37th floor St. Regis Club level . room big regular Essex House room . amenity Acqua Parma cut . old hotel plumbing drain slowly . bathroom room clean . however , Westin 's housekeeping department need work . keep take wash ( face ) cloth repeat request . oh well , small annoyance . the restaurant little pricey budget . find excellent one nearby ( Angelo 's Pizza , Nino 's Tuscany , Fontana Dei Trevi , Europa Cafe , Carnegie Deli ) .I find Middle Eastern conglomerate purchase Hotel several hundred million dollar renovation ! folk treat place like hotel Dubai , truly place stay New York ! renovating , nice . word wise - ask renovation booking . 
 Jan 13 2006 	 perfect place stay . 	 Essex House score high two scale : location comfort . since Central Park nearby museum important feature vacation , able step door hotel cross street magnificent park huge treat . Essex House comfortably within walk distance Metropolitan Museum , Museum Natural History , great shop Fifth Avenue . maybe be little close Fifth Avenue . my room comfy stuffy ( although , stay low floor ' Inner View ' , treat middle night noise make New York special : car , truck , siren ) . Westin chain 's sumptuous ' Heavenly Bed ' really treat bad back like mine help restore body day walk ( reason manhattanite seem fit ) . room satisfyingly clean well appoint . ' Heavenly Bath ' - consist two - head massage shower head , crescent curtain ( elbow room ) , marble floor sink surround , luxury amenity - compact easy move around . complaint room would seem slightly dilapidate ; bathroom , wallpaper loose several place hang wall strip - , despite mention member housekeeping staff , effort make correct . later learn entire hotel slate renovation year , may explain ' slip ' little maintenance department . however , guest bear burden . pay immediate comfort , future improvement . wallpaper fix . I opportunity dine one hotel 's fine restaurant ( regret ) , dining room enjoyable experience . room service staff accommodate pleasant . journey lounge cosy , lovely environment hang friend drink delightful snack . without exception , hotel staff efficient , respectful pleasant . I ' m sure 's future Essex , since acquire Dubai Jumeira group cease Westin hotel year . since Jumeira group announce continue operate hotel ( albeit few room ) , believe continue even lovelier experience visitor city . selfish concern , propose renovation management transition , may much pricy . overall , delightful experience , one would love repeat . 
 Jan 12 2006 	 Great Location Good Looking Hotel 	 brilliantly locate Mid / up Town . start lousy back room get move front hotel overlook Central Park - make difference . beautiful view wake , even though little traffic noise , room comfortable see Park soar building surround make everything . staff bit curt front desk everyone else charming . make lovely break . 
 Dec 21 2005 	 bad 	 pleasant enough stay consider book cheap rate ( still $ 400 NYC Decemeber cost decent hotel ) put premium space Essex House score big . bathroom decent size miss mark luxurious . heavenly bed centerpiece . service ok , bad , great . could see front desk could easily get overwhelm call operator / front desk go unanswered twice . overall , fine stay , probably look somewhere else next time . 
 Dec 21 2005 	 keep come back ! 	 Essex House become home away home NYC . 's grand overwhelming , gracious without snobbery , luxurious , comfortable livable time . price right time , park view room hover $ 280 $ 380 per night . stay three type park view room , superior queen ( small cozy ) , deluxe king ( wide spacious ) , suite ( size apartment ) . black marble bathroom size , Westin Heavenly bath shower . 's tip not think anyone else mention : not order room service . instead , ask concierge recommendation good local delivery place . concierge point two amazing delivery eatery : redeye grill , american fusion seafood cuisine , rue 57 french / japanese food amaze sushi , view menus online . ' ve already get park view reservation spring 2006 ! 
 Nov 28 2005 	 Nice getway 	 romantic , weekend - getaway NYC . room clean , comfortable , typically NYC small ( cramp ) . room 6th - floor ( treetop - level ) view Central Park . lots street action outside ... tour bus , horse - draw carriage , jogger , honk horn , ( be city ! ) . great location near remodel Colombus Circle , lot local restaurant , walk Lincoln Center ( 6 block ) Rockefeller Center . room pricey , be pay location . con spa ( small , whirlpool , sauna steam ) in - room safe ; exercise facility adequate . staff service great . 
 Nov 28 2005 	 great time Essex House 	 wonderful time Essex House Thanksgiving holiday family . room nice size NY hotel , attractively furnished , comfortable clean . although one sink bathroom generously sized , clean attractive- marble signature & quot ; heavenly shower . & quot ; book least expensive double bed room interior view . love location right across park convenient show museum . able walk everywhere . enjoy drink cozy bar couch fireplace , try restaurant . find plenty easy inexpensive place breakfast right outside hotel- try pick bagel coffee bagel Brooklyn Diner delicious reasonable breakfast . employee deal always friendly . would definitely stay . 
 Nov 20 2005 	 interesting Westin 	 Westin put name Essex House remain mystery . different typical Westin . give capital Starwood spend develop brand , inconsistency seem rather strange . unlike typical Westin , feature contemporary facility down - to - earth service , Essex House old New York . many way , remind Waldorf . lobby decorate conservative / traditional style , lack grandeur scale Waldorf even run - down Plaza . room get small side , & quot ; Heavenly & quot ; amenity nothing special . service quite poor - snobbish staff without class back up . what really bother fact hotel neither grand intimate . Carlyle Mark small , leverage size offer personalize service create home - away - from - home guest . Waldorf Plaza go opposite impress grand public space . clear strength weakness , position accordingly . in case , Essex House take bad world - impersonal service unimpressive public space . bad hotel ? absolutely . rate pay , expect much . 
 Oct 27 2005 	 hate leave ! 	 stay Essex October 11 21st . upon arrival request king room park view instead queen / park view room reserve tell nothing available . queen room 9th floor impossibly small call say need large room . bellman get phone suddenly king room , park view 5th floor available . not crazy 5th floor request upper floor , king room much nice queen stayed put . third night seem smoker non - smoking floor . person smoke late night . never complain other floor since see security sniffing everyone door . finally sixth day ask move since smoker could aprehende not seem leave . immediately give king / park view 11th floor much nice view less traffic noise . other switch room everything else wonderful . person staff friendly excellent . bar downstairs cosy pleasure drink go room . carpet room could use clean otherwise everything great . one complaint lack coffee maker room extremely expensive room service menu . I would gladly stay anytime . sure pay park view king room . 
 Oct 21 2005 	 Magic happen ! 	 spend five night hotel mid October . originally choose proximity Central Park prepare wonderful experience . plane California land JFK 6AM could not get check room noon helpful girl reception desk tell could leave luggage ( safely ) , go park wherever , come back noon , go check - in process . work perfectly . make reservation phone April request high floor park side . , way , prepared view : three huge sparkling clean window overlook park . could see way Bronx . rain week park sparkle . city light sparkle night . sight amazing worth every penny pay room . not everything , however , perfect view , thing problem minor fixable . housekeeping leave washcloth one morning . one request bring appear ever . toilet seat one flimsily attach flexible plastic wiggle . toilet habit running handle jiggle , stop . water pressure , even high , fantastic ... sink shower . shower excellent , figured control . would helpful primer operation rather unique . bed , previously mention , soft cushy clean . carpet stain . designer water available $ 5.00 nobody say buy . tap water fine ! lighting ... lot plenty watts . roominess room ? desk , loveseat , easy chair , monster size bed , chest drawer top space luggage , two huge closet , big tv , end table bed , table chair , three phone ( ' m sure ' ve forget something ) , still lot space . positive thing Essex good human element . man , woman , staff professional , professionally dress , friendly , helpful , cheerful . gentleman sidewalk could get cab jiffy not mind argue driver call security driver think might try stiff hotel guest . witness one exchange . oh , power Essex doorman ! terrific . would go back ? New York minute . thank , Essex House . miss already . bed shower view seem , lame . almost forgot ... hotel 's check time noon , plane not leave Kennedy 7PM , hotel allow keep base operation ( store luggage allow use & quot ; facility & quot ; not park finally , super doorman hail one last cab get luggage safely store trunk cab ) . boy , hate leave . feel well take care completely safe . think tourist traveler would wise stay Essex House . sit sunny Southern California thinking first snowfall would look like window . California dream turn New York City dream . 
 Oct 18 2005 	 bad ! 	 husband stay two night October 12 & amp ; 13 hotel pretty good . nice , clean , comfortable room face street behind . bed super comfy , double showerhead different complaint . everything nearby within walk distance quick subway ride . wished not rain entire time . 
 Sep 19 2005 	 Oasis peace quiet 	 Essex oasis peace charm busy noisy city . our room deluxe park view excellent clean . wife find staff helpful except - one behind concierge desk full self importance consequently make unhelpful . that aside would definately return . 
 Sep 9 2005 	 fine stay ! 	 stay 8/31 - 9/6 enjoy time . Front desk staff friendly assist complicated reservation ( 2 room , use Starpoints part stay ) . 8th floor queen room lovely view Central Park . expect , New York small clean comfortable ( Westin Beds can not beat ! ) not eat restaurant location perfect stroll anywhere Manhattan . would stay . 
 Aug 31 2005 	 great Stay Essex 	 Outstanding hotel . bed confortable , room quiet , shower wonderful . staff attentive , friendly helpful . chuckle complaint small room ... people expect old , historic hotel middle NYC ? ? ? think room plenty big enough comfortable . restaurant associate hotel expensive , great bagel/ breakfast place within block two . would stay . 
 Aug 30 2005 	 horrible night essex house 	 horrible room call get move - even offer pay never even call back . bad service restaurant . many well hotel stay - trump international , peninsula , rhiga royal , omni - sorry wasted night essex 
 Aug 28 2005 	 week Essex House 	 Nine we travel Aberdeen , Scotland stay Essex House one week 28th July 2005 . two group get marry Central Park stay . we originally book stay Plaza reservation change Essex House Plaza close . expect totally luxurious hotel money pay party disappoint Essex . sure could luxurious hotel money pay standard receive correct New York standard . many group disappoint room . husband however . 5 room group occupy large , good size . heavenly bed heavenly shower fantastic ! bed huge shower double head - bliss ! eat hotel stay extremely expensive talk guest say food high standard . hotel bar also expensive tended spend much time either . sure case large hotel city world wide . we find hotel staff extremely polite helpful . nothing much trouble they . the lobby area Journeys Bar decorate maintain high standard . the location hotel ideal , directly opposite Central Park , twenty minute walk Times Square Broadway . spend late afternoon / early evening chill Sheep Meadow Central Park find lovely way relax busy day shopping sightseeing . I thouroughly enjoy stay Essex House leave wonder really value money . 
 Aug 25 2005 	 Customer Service 	 live Manhattan year , take father back annual visit New York . book room Westin Essex House two double bed view park treat father classic New York experience . confirm room ( twice ) , give standard room view park apparently access staff . forget continually -- luggage leave lobby , morning newspaper delivery , shoe shine , miss cleaning , 10 hour response time Concierge dinner reservation , even call back manager response appeal help ! certainly feel reviewer witness bad service wholeheartedly agree . much & quot ; nicer & quot ; place stay Manhattan , skip Westin , Essex House ! 
 Aug 15 2005 	 great 6 Nights 	 Staying Essex House past July 2005 husband college bind daughter pleasure . large room living area convertable sofa right amount space we feel crowd together many day . hotel room become soothe retreat hustle bustle college tour . bathroom spacious constantly service enough towel we . & quot ; heavenly & quot ; bed advertise .... heavenly . lovely restaurant great bar help create wonderful ambience full service wonderful hotel . look forward another stay near future . 
 Aug 1 2005 	 worth price 	 staff nice location across Central Park great . room tiny room ' ever stay price pay ; queen bed take space . coffee maker room mean run downstairs , roll bed , buy coffee $ 2.00 cup gift shop every morning . bottled water offer room 5.00 piece ! pay free . hardly drawer space clothe : space tv take mini bar one dresser next bed safe . furniture look like see well day base wear tear . breakfast bar absolutely terrible ( greasy bacon , runny egg , bone dry fried potato ) top $ 27 person . oh , way , glass juice go along breakfast bar $ 6.50 . elevator bad . 8 small hardly anyone could fit . wet generally let several elevator pass able get . 
 Jul 20 2005 	 Fantastic ! 	 first , location amazing . turn Tunnel , getting lose possible ( come woman get lose go mailbox ) .It locate right edge central Park , south end . hotel situate directly across street , room wonderful view Park . the foyer hotel amazing ( btw , word use ! ) . marble mahogany area , check in / out , bellhop , concieagre etc . well seperate wait line 12 people front something besides check in . there Valet parking hotel , run 45.00 every 24 hour . , think , run park car garge pay hourly charge . NY suavy , could prob . find garge little way away , pay less , take bus cab hotel.moving , floor seem carry different theme , wall wall mural . well do beautiful . 6 elevator , need press floor button soon get , get take floor someone else call on . the room - amazing ! queen bed INCREDIBLE bed . soft , cool , crisp - perfect night sleep . pillow - wonderful ! full tv cabinet standard tv etc . also build Nintendo system . cool . oh , addition regular tv , hbo think . the bathroom average , mistaken , every bathroom phone . sure would talk john , thi . shower head double head multi - speed pressure thingie . towel , like bed , heavenly ! large closet , 2 nightstand , chair side table like say early , great view Central Park ( although tree level , 4th floor ) .service - Good . request one item , lint brush , take 30 minute get we . little long consider way theater , still manage get . also whole list & quot ; guest ammenitie & quot ; ask like toothpaste , hairbrush , deoderant etc . forget bring something . price hotel dining room - service way expensive . continental breakfast 18.00 per person . spend less diner street full breaskfast.the staff amazing . good thing love staff ask see room key get onto elevator , sure help people sneak , cause trouble etc . also , check time noon , nice , since leave Sunday , ask could hold car luggage could catch yankees game . do without hassle ! fantastic ! thing - Hard Rock Cafe NY right street , 2 block . fantastic ! friday night , 9 pm , get do not wait seat . course , regular touristy thing good . cab great useful . Time Square 6 7 block away , always crowd . even 2 . trust , know.okay , that s . hope cover everything . , ask away . great hotel , great service great staff . would Def . stay ! oh ! lucky , maybe will meet someone famous . ! Nicole Kidman stay hotel press junket ( assume ) exchage pleasentrie wait elevator . never know run ! 
 Jun 27 2005 	 would recommend ! 	 room small ; photo website mislead . carpet stain ; tv tiny money total disappointing . spend nearly $ 400.00 park view queen room , pay $ 5.00 bottle water room ... insult ! stay hotel city much less get much ... 
 Jun 3 2005 	 Nice hotel staff bad attitude ruin stay 	 stay Essex House year two . use stay 5 - 6x year location . finaly get feed horrible staff memeber bad attitude . go way assist . manager . back NY decide give Essex another try ... bad move . room smoking room call see get another room would thought ask something outragous . quote & quot ; not stay see bad & quot ; , & quot ; sure want switch , come get another key & quot ; good one & quot ; sir , right refuse service anyone do past . & quot ; non - smoking room . anyway get make mistake call ask extra towel ( give one ) . service express woman say & quot ; sir not sheraton not give away towel . & quot ; ws , never .... nice hotel staff bad ny . 
 Jun 2 2005 	 good location Midtown business 	 stay business . walk distance many midtown location ( business ) . starwood Preferred member bonus ( can not remember name ) upgrade suite . nice room still & quot ; old world & quot ; feel . bed comfortable shower neat . clean well . charge item mini bar never even open quickly rectify without discussion . not business , probably would not pay much , NYC . 
 may 31 2005 	 enjoy stay ! ! would recommend ! 	 husband stay hotel last week 5/24 5/26 2 night . enjoy stay would recommend ! book Priceline get rate $ 200 night great type hotel . Highlights- Hotel GREAT location ! midtown Manhattan central tourist attraction get anywhere use subway really close by.- love Heavenly shower two head . really heavenly ! husband like Heavenly bed.- staff really helpful . conceirge able answer question help we map need front desk great . hotel pretty full week , try upgrade we , room turn noisy ( view park third floor ) , move we high floor . lowlights- free internet access.- room bit small , New York City.- Bring earplug face park low floor . end high floor face another building , fine we not noisy . 
 May 25 2005 	 Loved hotel 	 love hotel . get back New York stay two different hotel . stay many hotel New York feel really great one . staff friendly go beyond start finish . arrive 10:00 a.m. problem check right away , oppose Paramount , spend second week . greet Bob , doorman . tell name need anything stay let know . room great . yes , view another building , not come city . time . room spacious , especially New York . clean . well maintain . heavenly bed indeed heavenly . fact , comfortable , find hard time get first two day . work mega - hour trip ny , heavenly bed suck . bathroom large shower excellent . location park superb . close enough Times Square easily get , far enough away walk wall wall people time . convenient subway Columbus circle , bus , etc . near Fifth Ave , Central Park , Carnegie Hall , Times Square , etc . lobby beautiful staff first rate . pay 149 - 169 per night Priceline . steal . end arrive day early originally book priceline add room . pay 269.00 . love Priceline ! without , probably would ever stay hotel . 
 may 12 2005 	 ignore bad review ! 	 back 4 night Essex Park , , husband set parent stay celebrate number special occasion . start ... staff incredibly helpful , polite , thoughtful efficient . check clerk upgrade husband park - view room soon husband cheekily mention wedding anniversary . bell man come across road greet we , carry bag argue limo driver ( drop we across 4 lane traffic away hotel ! ) . room gorgeous - view add bonus . room plenty big enough , bed - can not describe comfortable - shower great , clean really comfortable . the two set parent not get park - view , giant room , equally giant king bed ( queen seem king , king bed two double bed push together ! ) also incredibly comfortable ( definitely need good night sleep walk ! ) .we eat breakfast hotel first morning treat , although rather pricey , delicious worth every penny ( be great place around corner - Parisienne - reasonable ' real NY ' breakfast ) .We order hot drink room service fast hot , deliver flower flourish - waiter incredibly polite , insist tidying ( messy ! ) console table order could safely place hot drink down . reception happy change mum 's trillion traveller cheque ( not know ' ve , New York place take traveller cheque - store seem hate ) hour day night staff always cheerful always tell we weather planning do . we get hotel bargain Priceline far concern , hotel rob ! read review go , really worried ( trip arrange ! ) , really think Americans must little picky british - hotel great stay , right park , right near subway near great shop 5th Avenue etc ... disrupt cleaner ( lack clean ) one rude we . witness one lady yell many different hotel staff , conclude get give - polite staff treat we equal respect . perhaps go around give bad vibe , bad thing happen ! definitely would recommend hotel would not hesitate stay . 
 Apr 20 2005 	 superb every way 	 take 8 - year - old son father - son bonding trip New York last week . struggle stay ; like avoid midtown , feel like first trip stay touristy area . finally settle Essex House glad ! use Starwood point get really great rate , mean destine brick wall view . ask way could swing park view , desk clerk cheerfully upgrade we spacious ( least NYC standard ) room face Central Park . location great ; walk nearly everywhere , son love go park every day play climb rock . staff incredibly gracious , food excellent really go room service , fresh flower linen table leave room ( even order bowl soup ! ) everyone treat son like royalty , really appreciate . usual , & quot ; Heavenly & quot ; bed shower great . concierge helpful friendly . able secure 3:00 p.m. checkout time , plan final day really help we . top bottom , stellar experience . 
 Apr 20 2005 	 bad Hotel ever - waste money ....... 	 partner decide stay & quot ; top & quot ; hotel April 7th 11th , birthday 8th April . first evening get , notice toilet start fill thought would overflow spill bathroom floor . report reception 5 pm assume would fix , evening . return 11 pm one time ! go reception complain apologise confirm one . say must & quot ; break communication & quot ; . move room 11.45pm evening ( repack bag case ) give two breakfast voucher way compensation . the rest holiday seem fine , soon get back London tell brother organise 35 pound worth flower , send hotel morning birthday ( April 8th ) . never ARRIVED . receptionist confirm guest , driver drop flower assure would deliver . GO ? also find two friend call London birthday - do not get message , remember check voicemail twice day ( would birthday ! ) contact hotel - look . last week STILL reply call - 5 working day later . stay hotel -- worsty 5 star hotel stay ruin birthday weekend . 
 Mar 20 2005 	 Perfection Essex House 	 plan first trip big city niece 's 16th birthday . trip coincide & quot ; Gates & quot ; installation Central Park . reason book park - view room Essex House September 2004 price $ 289 per night . luckily book early buzz Christo work spread park - view room quickly become scarce . worried perhaps would give inferior room frequent customer starwood point . sign Starwood program trip . flight depart early morning get Essex House 10 am , think would deposit luggage come back check - in time . surprise escort immediately room . check - in quick , efficient extremely courteous view 10th floor room perfect . picture - perfect view Gates Central Park . bed huge inviting , triple sheet , duvet lot pillow . bathroom , although extremely large marble great two - head shower , phone toilet light make - up mirror mount sink . bad thing could say counter space bathroom . request something bring room waiter arrive rang DOORBELL . niece especially impressed . delicious three course prix fixe lunch $ 25 person downstairs Cafe Botanica . window face Central Park South . service impeccable well . our stay could perfect Westin Essex House . highly recommend ! wish see photo trip : ( -- - ) 
 Mar 12 2005 	 great experience 	 family travel New York City average 2 weekend per month . normally stay Hilton Westin Times Square , reliable hotel term customer service accommodation . receive email offer $ 199 Westin Times Square decide take advantage great rate . room available Westin , offer extend Essex House Westin Central Park South . native New Yorker , grow think Essex House elegant hotel celebrity stay . lobby reminiscent 1930 ' grand style – classy elegant . wait check . book room , explained need one big enough 3 people . tell Deluxe Queen Park View room would large enough accommodate roll away bed . upon check , tell true- wanted crawl get bathroom . front desk clerk offer king room partial park view ( one small window look park – window look directly hotel window . explain celebrate son ' birthday really want book – nice park view . know suite available ( check reservation curiosity ) ask upgrade ( , Starwood Preferred Guest ) . clerk say could upgrade we suite " speak " . room small size little area hold desk closet . bathroom small . shut door completely get toilet . as review state , window drafty need keep drape close freeze . temperature control room quirky . hot cold , never perfect . carpet stain , give room dingy appearance . offer satellite TV , nice get kid channel hotel offer cable . the heavenly bed Westin famous . bed , pillow comforter magnificent . sleep like baby . our second day start pricy ( $ 61 2 adult child ) elegant buffet breakfast lobby restaurant . egg bite runny lovely . housekeep another issue . make bed . refresh towel , make rollaway maintenance room . return room 2:30 see linen corner room , rollaway strip do clean towel . minute later , housekeeper barge room without knock . back room embarrassed never return . go front desk complain assure problem would fix immediately . also request refrigerator , never arrive . leave return nearly hour later nothing do . time get management involve . the manager pleasant enough say Essex House ' policy room half service , policy housekeeping barge without knock . address issue refrigerator , tell take everything minibar use . tell uncomfortable insist ok . think ' poor form ask guest assume responsibility empty miniibar make sure everything get back . say would send fridge " insist " . finally , housekeeping arrive ( enter room without knock ) bring towel . manager offer upgrade we next time come city . going pay top dollar , ' rather book room Hilton ' executive floor Westin Times Square . need Central Park South , ' sure well choice . 
 Mar 9 2005 	 enjoy Essex House 	 spend four night Essex House February 2005 . price think one well value find NYC . room fairly big New York standard , clean comfortable . would certainly return . 
 Mar 4 2005 	 great location nice room ? ? 	 husband stay Feb 24 - 26 , pick location close & quot ; Gates & quot ; Central Park . Starwood & quot ; gold & quot ; status , wereupgrade room 25th floor ( 2505 ) & quot ; butler & quot ; service . while & quot ; butler & quot ; , come room shortly arrive veryprofessional , never appear page hour later . we room 2 queen bed , view face NW , partial view Central Park . & quot ; heavenly & quot ; bed indeed quite good , linen high - end , furniture ambiance overall quite nice . the bathroom huge , gratis toiletry wonderful , well large box truffle provide upon arrival . only problem , cite guest tripadvisor , draft come window . heavy ( lovely ) drapery keep draft close , open somewhat cold room . $ 350 night , ( breakfast ) , feel fair price overallquality hotel NYC . stay Warwick month $ 250 / night , difference two hotel much price differential experience . this definitely & quot ; get pay & quot ; place .. suspect be go happy get $ 200 room hotel expedia . 
 Feb 8 2005 	 try something else next time 	 come back NYC ( 02/06/05 ) . stay 2 night essex house 245 per night 10th floor deluxe room park view . outside building looks run . lobby plain . check great , friendly fast . got 2 ' pink ' coupon breakfast botanicas restaurant . ' pink coupon ' let eat buffet plus menu item charge . breakfast fantastic . room spacious nice view park high floor would nice . marble bathroom small side put thing clean . bed nice end day 's bed . concierge night nice recommend ' la vineria ' italian restaurant couple block away . great . try thing concierge day -- -- -- . total attitude . not think stay since not get pay . Holiday Inns nice . would like try W Westin Hotel time square next time . bye , 
 Jan 23 2005 	 great experience corporate hotel 	 check two night January 14th give room book -- queen bed Central Park view -- 5th floor . sure , room small one would expect , NYC Europe , space premium . hear street noise , bother occasional horn honk clop horse hoof carriage stroll . not part charm stay Central Park ? & quot ; Heavenly & quot ; bed quite comfortable white linen crisp luxurious . & quot ; Heavenly & quot ; everything else -- towel toiletry nothing special . complaint : front desk staff helpful check - in . three people behind desk need help one couple credit card problem -- rather help couple ready go ( people line ) . concierge lady knowledgeable seem mention bistro guest guest seek restaurant recommendation . overall , would stay Essex House desire room overlook Central Park . tear stay Algonquin ( stay September 2004 ) . dilemma : prefer fancy room ( Essex House ) superior service ( Algonquin ) ? 
 Jan 16 2005 	 Essex House Essex Closet ? 	 visit NY usually stay hotel Central Park : Plaza ( temp closing ) , Mayflower ( Trump ? ) Park Lane , St. Moritz ( Ritz ) , Essex House . staff wonderful . check - in check - out everyone work Essex House highly professional . building 's architecture , lobby , public room , park location , spectacular . room another story . room par Plaza . Old , soiled , small , expensive . park view room 11th floor . & quot ; view & quot ; window small single pan . snow ouside room absolutely freezing . cold air seep unseal pane , thin able hear horse hoofs pavement ( charming ) ; well yell , horn , siren , conversation ( charming ) . smallish plush queeen bed take space room comfortable . carpet stain yet soft comforter pristine white . grey white marble bathroom , clean . , location can not beat . would stay ? . glad experience one stay historic Essex House . 
 Jan 3 2005 	 first Big City Adventure 	 husband 's 50th birthday celebrate Essex House , Central Park . 12/27/04 thru 12/30/04 . consider Grand Hyatts luxury hotel , new experience . request room upgrade first show overlook building towards rear hotel . grant gentle assertiveness room 10th floor fab view park . bed indeed heavenly , bath large tub accomadate birthday boy 6 ft . 5 . heigth 300 lbs . frame ! furnishing good condition 2 closet plenty hang space . request surprise goody prepare arrival .... Perrier , navel orange , chocolate , cheese , fruit cracker nicely present 2 rose . find staff gracious service good . usual room service delight curtail find cost excessive . one morning opt breakfast Botanica dining room spend 28.00 plus tip tax total 38.00 2 bowl McCann oatmeal 2 coffee . definitely heist first order ! ! opinion , .... morning breakfast wonderful restaurant close . even consider dining experience Ducasse room ... 150.00 prix fix way budget ! event , location , service , cleanliness overall atmosphere Essex solid feel satisfied stay first & quot ; Big City Adventure & quot ; . would hope room coffee maker could first jolt close hand order 10.00 cup via room service ( would 18 % gratuity room service charge etc , etc . return someday NYC hope see museum enjoy city .. would definitely consider Essex House . 
 Jan 2 2005 	 nice couple ` ` but '' 	 Super convenient location Central Park , major shopping , subway , eat Broadway . nice attentive staff beautifully style inside . couple & quot ; buts & quot ; room small imagine show photo find , enough room move around bed , bath small . suspect cheap room book Expedia get great price . bed lovely , advertised , & quot ; Heavenly Bed & quot ; shower good . rest ok , fantastic certainly poor . Christmas Lunch hotel 's Cafe Botanica . although pricey , excellent . overall would recommend Essex House location alone pay extra big room really want something special rather average . 
 Dec 31 2004 	 great location unacceptably shabby room . 	 stay 12/28 one night . book 1 bedroom exterior view suite use Starwood Preferred Points . assign room 1723 , sign indicate Starwood Preferred Guest Room . the Suite huge overlook rooftop one tower Time Warner Building . small foyer , powder room small living room pull - out sofa desk . bedroom king size bed , 2 night table , bench drawer armoir tv . past bedroom dress room furniture large closet safe . find area cold matter temperature rest room set . bathroom suprisingly small consider size rest suite . little ( ie , ) counter space bathroom , small tub / shower 3 shower head ( heavenly shower ) , bidet toilet . wallpaper , carpet bed new clean . exception . rest room unacceptably shabby - extent look like rock ( ie metal ) band stay trash room . door room bang gash peel paint visible hall . armoir living room chunk take door cover minibar literally rip unit , leave big gash unit expose minibar . furniture dent peel paint . bathroom countertop pull away sink basis . main bath , tub old show discoloration mold visible caulking around tub . service hotel mostly good , everyone encounter pleasant helpful . notable error one clean mini bar area prior guest , eat leave trash behind . ask 3 people clean replenish ( use , want charge prior guest ' use ) . also confirm turndown service twice ask pull sofa open set kid could sleep . arrive late evening , give turn service , one open sofa even leave linen . call wait take care ( could take care extra linen pillow room ) .Food throughout hotel expensive good . toiletry bathroom Moulton Brown terrific . would hesitate stay free , pay $ 650 quote room rate , would upset shabbiness room . by way , Heavenly Bed ! 
 Dec 30 2004 	 wonderful Hotel ! 	 Hotel worth every penny ... even though not empty pocket . sign Starwood Perferred Guest membership get awesome discount hotel extra benefit . especially love hotel chain extra comfy bed . even upgrade free . everything clean plumming work great . love location , nice quiet close everything . 
 Dec 23 2004 	 Great Location Great Service ! 	 boyfriend return beautiful Christmas visit city ! book Essex House Internet offer receive directly Starwood hotel . really pay sign program , even ' stay often ! book DEC 21st stay mere $ 179 ! service great moment pull up- bellman take care luggage car valet park ( $ 49 indoor garage park 24 hr period , in / out privilege . ) promptly check give upgrade king size corner room , simply notate " special romantic occasion " comment section online booking form . clerk apologetic ' give we king view park take , could give we queen park view small room . already dark outside , graciously accept large king . generous ! think … $ 179 Manhattan ! room impeccably clean comfortable . Décor clean sophisticated masculine color minimal furnishing . closet , complete automatic lighting element … nice touch . bathroom dark black marble vintage style fixture . call downstairs concierge call ahead restaurant- Daniel … must try … let know run late reservation . offer go ahead ask bellman secure we cab well , wait we get downstairs . next morning peaceful breakfast bed … delicious , definitely price $ 23 egg / meat / pastry / OJ / Coffee combination . plus tax , 16 % gratuity $ 3pp delivery charge , tally $ 80 breakfast two , want get bed go diner around block ? non - chalontly check 12:30pm , without word say late fee leave luggage storage . go ahead enjoy city day- walk EVERYWHERE go ! location Essex house unbeatable ! upon return , luggage promptly retrieve storage load car waiting front , enjoy cocktails fireplace hotel bar , Journeys . yes , $ 14 Martini , cozy way end delightful stay ! , Manhattan , unbeatable value … first class comfort service less price Holiday Inn ! ' think would pay full price hotel though … keep check special ! 
 Dec 12 2004 	 Great Place stay 	 ton research decide stay St. Regis Essex House . although price extremely high ( expect week Christmas ) please room . & quot ; Junior Suite & quot ; terrific . probably surprise usual Westin upgrade heavenly bed , double shower , etc . fortunately , call Daisy , housekeeper , heavenly bedding bring right . say St. Regis room due upgrade early 2005 . lobby peaceful elegant people knowledgeable hotel whole area . would problem stay . 
 Dec 1 2004 	 Great Location Otherwise Disappointing 	 location fantastic -- close Broadway theatre , excellent restaurant , shopping , museum . would ' ve appreciate Central Park South location much have park view , instead view brick wall & amp ; ventilation duct . try use Starwood point upgrade room , starwood make extremely difficult -- wait till 5 day arrival even try get upgrade , course good room go . room sufficiently spacious , bed comfortable . hotel decor dark & amp ; conservative -- way Ralph Lauren taste . housekeeping staff member noisy , intrusive , overly aggressive . call complain slamming door make way much noise morning . also keep call knock door , even though & quot ; Disturb & quot ; sign door -- incredibly irritate , & amp ; far standard would expect expensive hotel . really look forward stay Essex House , overall , great location , would say disappointment . 
