always 	 second stay London Elizabeth definitely look stay . deny tired shabby place chip crack . clean comfortable character . first room quite small must happy book next London trip room last weekend spacious two armchair , fireplace , desk wardrobe . street noise time not really bother we . room warm hotel ( air conditioning not turn ) . tea coffee facility take travel kettle etc , fridge find ledge outside window put milk . location brilliant , ( google , street view ) , bus stop outside , second away Lancaster Gate tube minute walk Kensington Gardens , minute Hyde Park . ( mid fifty ) easily walk back Royal Albert Hall ( take fifteen - twenty minute ) . staff meet friendly , check staff brilliant helpful . lovely pub around corner call Swan . Breakfast come room occasion bread roll stale , cereal , tin fruit , yoghurt fresh blueberry muffin . croissant , pastry brioche not ' comment freshness . add breakfast last time ( end June ) much well . time though , two we , breakfast not cost £ 80 everything price ( London ) bargain . afford pay , maybe , budget , would definitely try . 
 Feb 23 2005 	 Nice Quiet . Convenient Hotel 	 two teenage boy stay London Elizabeth Hotel 4 night February . comfortable room call Conservatory Suite . queen size bed twin sized bed , suit group 3 perfectly . bed sleep well room quiet . room small balcony , garden would nice good weather . hotel bite shabby old looking , distasteful . hotel small bar serve drink snack . breakfast room nice . breakfast include room continental breakfast . staff helpful friendly . neighborhood seem nice safe . alot restaurant near hotel , many reach short walk underground ride . hotel right across fountain Kensington Gardens , beautiful . good thing location Lancaster Gate Underground stop right across street . also , hotel great $ 1 = pound = euro deal make hotel price right . 
 Feb 1 2005 	 wonderful London experience 	 stay London Elizabeth 30th December 04 6th January 05 . wonderful hotel want true London experience good price . hotel new , make three private victorian house , great charm warmth staff friendly always helpful . two adult child 13 Room 449 , King bed room , extra single bed . room large enough three we plus pretty bulky luggage . the room two window open street , winter , open inch fresh air , unduly disturbed street noise traffic . could different summer , street noise bother , worth ask room back . room fairsize closet , desk dress table drawer space well . the bathroom small , adequate , bathtub shower . hot water almost time , shower pressure terrific , perfectly acceptable . fresh towel everyday bed linen change every alternate day . there tiny lift , two person time , staff deliver luggage room . continental breakfast include price , choice cereal , croissant muffin , hot toast table , fruit salad yoghurt . English Breakfast available supplement .The Room service menu quite adequate reasonably price evening not want venture , full day . the location hotel ideal visitor , two minute walk Lancaster Gate Tube brisk fifteen minute Paddington , number restaurant , cuisine would wish . Tube get West end minute . bus stop right outside front door , bus take ( easy connection ) major sightseeing district . Hyde Park across road , ideal early morning walk . trish , Guest Relations Manager staff front desk friendly , always happy point right direction , make booking , etc . use recommend Taxi service take we back Heathrow , flat rate GBP 35.00.i research hotel web month prior trip use recommendation Tripadvisor user . husband Hospitality Industry therefore quite fussy stay . honestly say happy choice would happily stay LE . take advantage Dollar = Pound offer make great deal . luxury hotel , price , wonderful find . a tip quite decide travel . go northern winter , queue , easy get attraction restaurant . weather stay fine we five week Europe would definitely go winter next time round . 
 Oct 26 2004 	 good location - lot traffic 	 family four ( two child , 3 12 ) stay Elizabeth hotel Friday Monday . reserve family room give room second floor two extra bed - lot extra space though face street , i.e . lot noise traffic , quite disturbing . big bathroom ( London hotel anyway ) excellent shower / bath , bit worn . really small elevator , child enjoy climb stair ... good breakfast , even include hardboile egg . great location , close tube bus Oxford St stop outside hotel . Hyde Park across street , beautiful fountain even playground child , enjoy . , conveniently locate - room give bit worn traffic noise disturb . would consider stay could room face street . 
 Oct 20 2004 	 Birthday Trip London 	 five great day London ..... end wife 's birthday celebrate last day . not get much well ! ! stay London Elizabeth Hotel pleasant . room large ( though one reserve ) not mind . room clean ( room improvement housekeeping staff ) . outstanding feature delicious breakfast serve every morning , include room charge , helpful staff front desk . day one , remember name always interact we friendly manner . enjoy neighborhood . tour book speak neighborhood wasteland restaurant . trouble find quaint charming place eat . unbelieveably close public transportation . love able walk across street park sit lovely fountain read late afternoon . busy day & quot ; touring & quot ; great way unwind dinner . all , good place use home base trip London . return London , would certainly consider stay London Elizabeth Hotel . 
 Oct 19 2004 	 staff great helpful 	 hotel convient us subway ( tube ) right across street . the Elizabeth little worn , staff make helpful give we big room night small one . joke test pass get stay big room .We pass . Hyde Park across street real nice indian restaurant within block . A2 bus stop across street make quick trip Heathrow ... convenient . we highly recommend hotel . 
 Sep 12 2004 	 friendly staff great value 	 two pleasant night . large clean comfortable room , friendly helpful staff . edge Kensington Gardens , reasonably quiet safe parking back hotel . would certainly use hotel anytime be London . 
 Sep 11 2004 	 Disappointing Stay 	 reserve double room hotel , month advance , four night . hotel pretty good location ; however , sleep room tiny ' ve ever stay anywhere . positive note , room incredibly huge stained glass window ( , open , overlook parking lot ) enormous walk - in closet size sleeping room . weird . main complaint stem consistent odor bathroom sink never go away ... 's old property old plumbing . would not stay . 
 Aug 29 2004 	 Great Family Stay 	 return great stay London Elizabeth . book family suite , arrive find room book not available , without we request change , staff put we two room family suite price . staff friendly helpful . the room quiet comfortable ( ground level ) , good strong shower , strangely , half shower door . ( ? ) breakfast tasty include room price . the location ideal , one block subway station , across street Hyde Park . child walk across park past Albert Memorial Natural History Victoria Albert Museums . I would stay heartbeat . 
 Aug 1 2004 	 pleasant friendly hotel 	 stay London Elizabeth July 2004 extremely pleasant one . staff helpful , room spacious , locale good one use base explore London . add bonus generous breakfast include room rate . minor quibble : adjacent main thoroughfare little noisy ; faulty fire alarm wake we 5 am ! otherwise good hotel , reasonably price London ; recommend . 
 Jul 12 2004 	 can not find well family deal London ! 	 choose hotel one cheap one recommend Karen Browne 's website . really bargain family visit London . four we pay GBP250 ( inclusive ) 2 night June , include ticket 4 London Eye , cocktail first night , dinner 2 breakfast ! small room 3 single bed cot . luxurious ; simple furniture , blanket carpet need update . hotel clean bathroom nice modern . hotel conveniently locate accross street Hyde Park walking distance Paddington Station , Heathrow Express drop we . room 4th floor noisy traffic Lancaster Terrrace , start 5 morning . hotel elevator . barman friendly polish man service front desk depend receptionist happen there . we meet couple book theater package -also great value ! - say room really nice like one show website ( 4 poster bed etc ) . 
 Jul 5 2004 	 friendly staff comfortable room great price ! 	 stay London Elizabeth Hotel three day last week love ! worried reading review , especially concierge knowledge , learn hotel two new receptionist . stay , always someone around could help . help everything , place go , restaurant , theatre , everything . room cosy feel homely . not go deluxe room travel , see beautiful . single people travel , recommend hotel , feel really home . definitely back . staff great , nothing much trouble . 
 Jul 1 2004 	 Typical London hotel good bad 	 purchase deluxe double lastminute.com one - night stay . hotel advertise : well situated , cozy , comfortably worn . online price break fair value . imperfection annoy . upgrade pretty & quot ; Elizabeth Room & quot ; top floor , yet request room close ground level , tell hotel full . ( would get premium room 98 pound ? ) ask tiny elevator trustworthy tell , & quot ; well , 100 % , & quot ; leaving climb 96 step room . find hair ( plural ) bathtub -- deal - breaker truly unpleasant . 7:30 wake - up call come 7:15 . think staff quite accommodate London hotel , stay work fine , prepare properly . 
 Jun 30 2004 	 home home 	 soon walk greet smile make feel welcome , room ready early trish manager duty order us coffee sit we give we map direction . buy ticket London Eye Hotel add bill . staff great nothing much trouble , walk accross street tube station Hyde Park armed bag bread hotel staff . stay four night room nice back , much street noise . home home every time London . 
 Jun 30 2004 	 Position comfort value - great combination 	 stay Elizabeth 4 night April . first night room right reception embody negative tripadvisor report - tight tired . however friendly discussion ensure upgrade one twin back bathroom small flight stair . lovely room plenty space make world difference . good breakfast position - road Hyde Park . one shower rain demonstrate value bus stop right door . would go ? absolutely . 
 Jun 18 2004 	 Nice room concierge service poor 	 hotel charming . room nice , clean hot stuffy -- could get air conditioner give cool air could open window get nice breeze . location nice , across street Lancaster Gate tube stop also across Hyde Park . complaint staff . friendly , know absolutely nothing London . unable answer question sign bus tour city , hour big attraction , even give recommendation restaurant . happen London Trooping Colours ( celebration Queen 's birthday ) idea talk ask information . good guess student another country work hotel summer . lack knowledge city make feel like loose lot possibility city offer . think hotel wrong say concierge staff unable even make dinner reservation ( tell call restaurant ) . 
 May 31 2004 	 simply great ! 	 wife spend 7 night London Elizabeth Hotel April 2004 delighted choice research Trip Advisor . read review London hotel expensive , pokey wear - out staff less friendly . pleased say none thing describe hotel . room ( two separate stay ) tastefully furnish comfortable bed . importantly , traffic noise whatsoever . location hotel perfect explore London . bus stop outside hotel Lancaster Gate underground station opposite . choose walk , central London 15 - 20 minute away along Bayswater Road . Harrod 's opposite side Hyde Park adjacent hotel . book hotel internet problem whatsoever . Trish ( Hotel Manager ) staff look we well ensure leave fond memory stay . would certainly recommend hotel other . 
 May 23 2004 	 wonderful quirky place -- make sure upgrade 	 decide book London Elizabeth primarily due good review write Trip Advisor ( carefully read bad one people disappointed ) .We wonderful stay ( last week April 2004 ) , good piece advise upgrade room choice rather book low discount level huge difference quality room . even upgrade , will still get heck deal expensive city ( especially dollar GBP conversion ) . plus be right across street Hyde Park , literally step Lancaster Terrace tube stop , bus stop directly front . the staff wonderful , room delightfully quirky , breakfast adequate , pub downstair share colorful local . fabulous stay . negative we lack internet connection make life difficult . just make room upgrade ! 
 May 6 2004 	 good location London 	 stay four night London Elizabeth Hotel love location ... right next beautiful Hyde Park . staff hotel friendly helpful since first trip England , indispensible knowledge go see London . hotel charming victorian room back hotel quiet comfortable . staff make feel like one family ! would highly recommend London Elizabeth stay London . 
 May 4 2004 	 wonderful stay London Elizabeth 	 stay five night London Elizabeth February 2004 . former hotel employee , high hotel standard . London Elizabeth meet exceed . staff incredibly friendly , charming helpful room beautiful clean . add London Elizabeth 's perfect location first rate hotel experience . ' m look forward return London definitely stay . 
 May 3 2004 	 Charming Hotel Friendly Staff 	 stay London Elizabeth last winter wonderful time . room elegant clean . staff friendly . first trip London give we great recommendation go . highly recommend . 
 Apr 22 2004 	 simply bad . $ 425.00 throw away . 	 disturb shabby dirty interior change hotel charge full amount two room one night . Barrie suite mention another review ground , full flight narrow stair , near kitchen . kitchen worker help we liggage . offer room available night 4th floor . elevator fit one person luggage two friendly people look completely unreliable decide walk . get seemingly endless , steep , rarely vaccuume , staircase show small , ugly room ever . entire hotel completely dingy , worn , chip gloomy . since celebrate 50th birthday , aware , could stay . switch Royal Horseguards CHEAPER exceptionally lovely , king room overlook Thames . not know guest use stay frequent traveller , appal . 
 Apr 15 2004 	 Mixed Review 	 experience London Elizabeth mix . take advantage & quot ; dollar pound & quot ; special reserve 2 non - smoking adjacent room family 4 . arrive find room different wing , accept explanation adjacent room could request guarantee . less understanding get bed discover linen smell strongly smoke , later find ashtray room . next morning protest put husband nice non - smoking suite night . thing move we , thoughtful , nice sweater lose move , bummer . desk staff helpful arrange we quad room discount rest stay . room warm we choose noisy ceiling fan stifle hot room . not sleep well night . breakfast fairly good attentive staff . right tube station across Hyde park . everything clean . free slow internet computer . mix review . think next time try different hotel . 
 Apr 15 2004 	 enthusiastically recommend 	 travel companion stay LEH 5 night January 2004 . share standard twin room . room decorate frilly victorian style , usually thing , feel like part english experience . bathroom clean modern enjoy Neutrogena product . morning fortify LEH breakfast night , hoof around city , joy return LEH . take advantage 1gbp = $ 1 promotion find excellent value . 
 Apr 8 2004 	 Great Hotel 	 stay two room ( four adult ) week London Elizabeth . think one good class hotel ' ve ever visit . staff bend backwards help we everything show ticket restaurant / pub recommendation internet access . hotel charming well locate . yes , be Ritz , treat welcome important guest room amenity far well expect . every guest meet hotel ( mostly Americans , way ) love . not give praise lightly , London Elizabeth really special place . 
 Mar 29 2004 	 okay price will 	 Barrie Suite quite spacious . room view , appreciate fact quiet . problem room fact bed quite small ( full ) . breakfast boring constantly ask wait staff everything . front desk staff not overly friendly . hotel conveniently locate across street tube can not beat pound dollar deal . think would pay full price hotel . 
 Mar 27 2004 	 suitable one night ...... 	 hotel suitable desperate one night . hotel wear continental breakfast serve fair . redeem quality hotel location . rate regular rate single adveretise GBP100 , tho get 30 % less thru internet . sha not stay . way , 10 & quot ; tv least colour . 
 Mar 26 2004 	 great place stay 	 spend 7 night London Elizabeth Hotel love . upgrade Deluxe Twin back build spacious quiet . staff helpful go way help we . one amenity mention reviewer hot water ( although sometimes let run sometimes ) shower / tub . the location great . would recommend buy London Transport travel pass allow unlimited use Tube bus - need order leave States . get map bus route Tube , although complete map ( pink cover ) .We also find several good restaurant within five 10 minute walk , convenience Tube / bus get dining opiton quite quickly easily . high tea Orangery Kensington Palace enclave , locate Kensington Park across hotel . we would stay hotel especially like $ 1=1 GBP promotion definitely helped streche dollar . 
 Mar 24 2004 	 great deal London ! 	 location amazing- staff great ! would definately recommned hotel ! good value find ! breakfast good- people great - although something watch : make sure book ask room back [ construction room front loud construction traffic ] everything ccomodate ! go london 5 time great place hve find ! 
 Mar 24 2004 	 good value 	 return 7 night stay London Elizabeth . stay Executive Room use $ 1 = 1gbp deal great value consider exchange rate . room hotel exactly represent hotel 's website . room comfortable , good bed , nice bathroom , fairly quiet . location good , many restaurant shop immediate vicinity . Tube right across street , A2 airbus LHR stop right front . good value expensive city . 
 Mar 21 2004 	 Location Service 	 book single room * * * * * * * * * * * * * * * * * pay 50 % list rate . hotel superbly locate # 12/94 bus stop front door , tube station across street Hyde Park opposite . 5 minute walk Paddington Station Heathrow Express . many budget London hotel visit , good value convenient . especially good woman travel alone - door equip peep hole safety latch , safe room , attentive front desk staff . convenience : ceiling fan , hair dryer , window open easily , lift / elevator ( tiny operational ) , heat towel bar , small powerful shower Neutragena bath product provide , good Continental breakfast buffet . non - smoking room ask provide . would stay - absolutely ! ( long not boost rate ... ) 
 Mar 11 2004 	 charming every sense word 	 great hotel ! ! ! take advantage $ equal pound promotion ( end march 31st .... ) . convienant location : walk paddington gate catch heathrow express , tube locate less half block bus stop locate foot hotel . brother stay executive suite enough space we . hotel across street hyde park , could see window . clean staff wonderful ! may ritz , charming suited need perfectly ! 
 Feb 25 2004 	 Great Location 	 London Elizabeth nice hotel . stay one week . great service , staff nice . room comfortable ( Lancaster Suite price deluxe double ) . would recommend hotel : 1 ) great location : edge Hyde park 50 yard underground station ( Lancaster Gate tube , central line london ) , 2 ) great european breakfast , good start day , 3 ) great 1pound $ 1 , pay traveler check cash . 
 Feb 23 2004 	 great ' m London ' m 	 stay three day ; room first floor . really nice place . location amazing , close everything . People friendly , breakfast good , rate get really cheap . going recommend reserve least two week ahead , get half price net . 
 Feb 19 2004 	 Charm + Location 	 spacious ground - floor room complete faux fireplace . drawback traffic noise group people wait outside window bus . , hey . . . be fun . people desk friendly courteous . hotel accross street Hyde park within easy walk distance tube . felt get good value relative hotel . 
 Jan 31 2004 	 fantastic friendly hotel . 	 stay hotel one week enjoy visit capital . hotel clean , friendly pleasant atmosphere . food extremly good . breakfast evening meal . the hotel locate edge Hyde Park adjacent Lancaster Gate underground station ( central line ) close central London walk across park around perimeter Hyde Park pleasant . 
 Jan 30 2004 	 need work 	 describe & quot ; Deluxe & quot ; accommodation nothing kind . room desperate need painting . ceiling peel away , wall paint chip , carpet stain , dirty . evening staff rude . room suppose view Hyde Park . view constuction go across street . shuttle Paddington station cost we additional 7 pound , approx . $ 13 US 5 min . ride . would never stay . 
 Jan 28 2004 	 good stay 	 great location - near tube / Hyde Park . staff friendly helpful ( especially stay 19 month old ) . room clean , pretty spacious nice bathroom . major construction go across street , sleep late question . breakfast decent , nothing grand . would stay . 
 Jan 5 2004 	 wonderful hotel 	 recently return 6 night stay wonderful small hotel . staff outstanding . room lovely , everything need . location ideal . definately stay London next August . 
 Dec 2 2003 	 great location wonderful stay ! 	 stay London Elizabeth Hotel Thanksgiving week , 2003 . location perfect , across street Kensington Gardens one corner Lancaster Gate tube . room uniquely decorate , clean comfortable . front desk , dining room bar staff excellent , accommodate friendly . would definitely stay . 
 Oct 8 2003 	 Greville Janner Suite 	 recently visit London England first time . we consider fairly seasoned traveler . we defineately lucke choice London Elizabeth Hotel . we Greville Janner Suite wonderful hotel thrilled room , staff , location , etc . hotel basically across street Hyde Park , tube station close , easy get anywhere London bit direction good city map . we spend 9 night , take many day trip , Leeds Castle , Dover , etc . it always pleasure come ' home ' Greville Janner Suite . it spacious , clean , well decorate , , seclude quiet , locate lobby floor rear hotel . all people work kind , friendly , helpful . TOP NOTCH ! ! Dennis Mary , San Diego , CA . 
 Sep 14 2003 	 London Elizabeth Gem 	 stay London Elizabeth March 2003 . stumble upon gem spend 3 night road Sussex Gardens MUCH less quality establishment . sign front offer , suggest come see & quot ; special offer & quot ; could arrange . brave go inside . tell horror story place road , find establishment accomodate . manager show one three room choose make EXCEPTIONAL offer stay . move Rose Court hotel way move lovely place . lift probably world 's tiny , staff willing take bag outside lift . food great charming dining room . room service prompt polite . 3:30 wake call get cab train take flight Stansted Germany . offererd room service breakfast ungodly hour morning . nice place . highly recommend hope stay October go back London . plan stay , plan ahead take tarriff payment american currency state save great deal cash 1 dollar = 1 pound special offer . give gem Platinum star ! ! 
 Aug 15 2003 	 absolutely fantastic 	 stay London Elizabeth absolutely fantastic . staff , location , room - everything perfect . day night staff assist problem . whatever want , find way help get . room beautiful . access across street underground bus stop front hotel make get around easy . absolutely love little rose garden back Kensington garden across street . impressed fact everyone work seem take pride . important guest important staff . must also say owner wife two nice people ever meet . 
 Aug 7 2003 	 simply brilliant 	 find comfort , charm service exceptional ! suite gorgeous , staff friendly help everything imaginable ! hotel 's central location make perfect sightseeing . bus stop locate outside front door across street underground . walk across street find Hyde Park Kensington Garden Oxford Street minute away great day shopping . the staff make feel like part family . appreciate help kindness . sweet beautiful comfortable -- perfect busy day London . simply brilliant holiday ! 
 Jul 28 2003 	 ` Complain 
 Jul 25 2003 	 Top Class hotel 
 Jul 4 2003 	 great location 
 Jun 13 2003 	 Charming hotel great location 
 May 9 2003 	 enjoyable comfortable Stay ! 
 Apr 27 2003 	 great hotel value right Hyde Park 
 Apr 23 2003 	 friendly great location 
 Feb 11 2003 	 stay away Hotel ! 
 Jan 22 2003 	 try something else 
 Jan 10 2003 	 tacky dining room . 
 Nov 14 2009 	 hotel carino ottima posizione ... 
 Jun 17 2009 	 anniversario di matrimonio 
 May 30 2009 	 Atmosfera British e posizione strategica 
 Apr 24 2009 	 Bon service mais hôtel en mauvais état 
 Apr 20 2009 	 Acogedor limpio ubicación excelente . El ascensor era pequeñísimo . 
 Apr 17 2009 	 De 4e keer maar meteen ook de laatste keer 
 Apr 15 2009 	 Encanto británico 
 Apr 13 2009 	 Prestation assez bonne mais sans plus ... 
 Mar 31 2009 	 di gran lunga sopra medium per Londra 
 Mar 30 2009 	 Ottima posizione 
 Mar 16 2009 	 muy buena eleción 
 Feb 14 2009 	 Good Service nice location ! 
 Oct 29 2008 	 Ottima scelta 
 Sep 16 2008 	 Fantasticamente .... Londra 
 May 5 2008 	 Ottimo scelta per tutti gusti 
 May 3 2008 	 cumplió nuestras expectativas 
 May 11 2007 	 décadence du luxe passé 
