refuge 	 stay hotel reason lot traveller - conveniently locate train station . hotle moderately price , seem even bargain pay New York . our room recently refurbish lovely . bed spectacularly comfortable good sleep whole trip . unlike other , think room definitely large enough . view nice . room service ok , drink lounge downstair good quality , reasonably price accompany great service snack . surprise free wifi , pay , whereas 2 * hotel New York able provide it . the location ok , able find good restaurant use metro system ease . would definitely recommend . 
 Dec 1 2006 	 great hotel great location 	 go Montreal 11/23 - 11/28 disappointed choice hotel . pay extra $ $ gold level , include spectacular view downtown , breakfast service 6 - 9am cocktail appetizer 5 - 7pm . also full access beverage 6 am - 11 pm . airport shuttle drop right front door hotel locate top central train station . direct access underground & amp ; metro station . hockey ticket Bell Centre 4 block away . St. Catherine Street , shopping locate , 5 minute walk ; Old Montreal 15 - 20 minute walk ; Chinatown 15 minute walk ; Biodome & amp ; Olympic Stadium 5 - 10 minute walk underground 15 minute direct ride metro . the time take taxi go Au Pied de Cochon dinner . side note , highly recommend miss dinner place ! highly well - know local well - praise food critic disappoint . unpretentous warm , neighborhood feeling . be foie gras , item menu . beet & amp ; goat cheese salad , venison ribs sugar pie . excellent . soooo good would go back Montreal eat restaurant . 's closed Mondays . back hotel , staff hospitable , extremely helpful direction , restaurant recommendation genuine nature . encounter bad service attitude hotel . example hotel staff go beyond - get direction Biodome Monday . arrive , everything close . return hotel mention everything close , apologize tell we . not even complain . go dinner one nearby local restaurant , call restaurant buy we couple glass wine . return room , tea tray truffle wait we apology oversight . not get kind service anymore ! complaint hotel - european sized bathroom enough drawer space . complaint Montreal - museum bit dull ; Chinatown consist 2 block ; time year , lot street vendor Old Montreal really feel anything like Paris . thing remotely close Metropolitan sign near W hotel french speak people . the highlight trip - local people , hotel staff Au pie du Cochon make we want come back Montreal - perhaps next time summer . 
 Nov 27 2006 	 good business hotel 	 conference November 23rd 26th year . room relatively nice . especially like opening window , feature one see often anymore . unfortunately help cool room , temperature always 23c , never turn heat ! make sleep little hard . bed comfortable enough , request foam pillow immediatley look . bathroom 2 bathrobe nice , one practically leave room put , small . room wire internet connection available charge ( free people join no - cost membership club , . ) local call also free club member . try use vonage equipment without success , suppose connection require log - on . desk large enough laptop paper decent lighting room . we number meal business conference good , especially pastry ( diet time ) . parking expensive ( surprise ) , valet parking $ 24 per day need right . you get almost anywhere downtown core underground passage ( especially know way around ) . need never put coat woolie . ( remember Montreal get cold winter ) 
 Nov 16 2006 	 Central Location Montreal 	 QE attractive location downtown Montreal . room small little drawer space . make sure join Farimont Club website arrive & amp ; pay local phone call . Desk staff attentive & amp ; knowledgable & amp ; housekeep excellent job . concierge helpful . go downstairs u Montreal 's underground city connect mall . good way traverse city cold month . Montrealais Restaurant good value hotel . hotel walk distance restaurant Montagne , Drummond , etc . parking hotel expensive $ 24 Cdn / not . also , surprise rush hour u drop car front hotel valet . 
 Oct 21 2006 	 great service great location Fairmont Queen Elizabeth 	 stay Queen Elizabeth weekend stay Friday Sunday . book via Fairmont website . very convenient arrive train Gare Centrale ( Central Station ) walk two minute food court area station elevator main lobby hotel . staff upon check - in pleasant . nice room . huge , however , well appoint comfortable bed , desk large closet . bathroom small modern nice shower . breakfast include package Montrealais Restaurant . nice buffet usual hot regular ( egg , bacon ) , however , Quebecois specialty , butter maple crepe , excellent . buffet good variety fruit , bread cereal . excellent taste good , attentive service . the pool fitness equipment locate low level , one switch elevator lobby level . bit inconvenient . however , nice pool , hot tub kiddy pool . lot fitness equipment include four tredmill . close Metro , either Bonaventure ( Orange Line ) , accessible via & quot ; Underground City & quot ; McGill station ( Green Line ) four block away . two block St. Catherine Street , main shopping street . good location , close everything . overall , excellent experience Fairmont . 
 Aug 30 2006 	 Fairmont Queen Elizabeth - great train traveller 	 family four stay early August . although room little compact we luggage high standard , lovely view towards Mont Royal . main advantage we tour across Canada proximity train station train two hour late great step hotel . also leave train hour late depart could wait comfort hotel lobby rather line downstairs station . gym good equip hotel stay pool lovely , deserted mid - morning weekday want quiet swim get lap ! station beneath hotel adjoining shopping centre provide huge choice dining option another big advantage hotel . package include breakfast hotel excellent choice - something suit whole family , eat evening . especially worth mention Katz restaurant shopping centre - good steak , extremely good value . the fairmont also great location see sight almost everything within walking distance , tube system nearby long trip . all staff contact extremely friendly helpful housekeeping prompt rectify oversights - extra towel deliver within ten minute call . thoroughly recommend . 
 Aug 26 2006 	 Excellent Choice Downtown 	 stay Fairmont Queen Elizabeth August 20th 25th . reservation make Expedia get excellent rate $ 141 night Fairmont Room . arrive Amtrak 's Adirondack train New York , extremely convenient take escalator right Central Station hotel . train hour 15 minute late , make we even eager relax . guest ahead we check - in line , come train . woman check we extremely pleasant helpful . give room 5th floor take elevator . upon arrive room , wonder whether would small . read number previous review state room bathroom would cramp . pleasantly surprised . room not large , adequate space two double bed , desk chair , armoire tv cabinet , extra chair corner . bathroom little tight , well do marble tile floor tub wall . room spectacular view overlook Rene Levesque Blvd . look north , McGill University 's campus straight ahead . finally , look even north , afford amazing view Mount Royal Park . first time visitor Montreal must visit Mount Royal . view city breathtaking ! hotel connect Montreal 's vast & quot ; Underground City & quot ; give hotel guest easy access shopping , restaurant metro station . although bonaventure station Orange Line close hotel , find McGill station Green Line convenient . eat either two restaurant hotel , quick check menu show rather expensive . Eggspectations Blvd de la Maisonneuve great choice breakfast large portion . overall , Fairmont Queen Elizabeth excellent choice business leisure traveller alike . 
 Aug 7 2006 	 wonderful stay 	 first Fairmont ever stay never go back regular hotel . bed standard room huge . room georgously decorate positively luxurious . stay one nasty snow storm Quebec see 2005/2006 feel completely content cozy watch snow fall city . pretty view high lever ( 12th floor believe ) . hotel connect underground shopping system except small section walk outside . be quite close St. Catherine 's would like still good location convenient old Montreal . get excellent rate would stay even regular price . worth every penny ! 
 Jul 24 2006 	 Queen rail 	 long try day travel train New York , arrive Montreal station exhaust grateful staying right upstairs Fairmont Queen Elizabeth . extremely helpful VIA Rail personnel assist we luggage escort we right front desk . registration process quick friendly . although speak French , tired not sure could muster energy . without hint parisian condenscension , staff converse easily congenially English . allow poor attempt french fill word helpful snotty manner . our room quiet well - appoint view river . sorry hotel lack grandeur old building , tasteful decor make architecture . small meal delicious french onion soup wine ( yummy bar snack wasabi pea , exotic cracker nuts ) listen jazz pianist lobby bar . th next morning , enjoy stay much postpone train trip Quebec City luxuriate room . order breakfast room service & quot ; Le Jockey & quot ; yogurt , shred wheat , fresh Quebec strawberry , coffee juice . breakfast , wander underground shopping complex adjacent hotel ( great thing winter , would bet ) change currency . nice alternative eat hotel would peruse deli - like stand train station . 
 Jul 18 2006 	 friendly consistent service 	 moment check hotel staff consistently warm friendly . room turn night room service prompt delicious . hotel conveniently locate , short distance shopping along St. Catherines old montreal make easy get around . concierge helpful give we good route destination around city . downfall room little small expected- could not open door get closet time could not get washroom closet door front door open . however , furnishing beautiful great view city . overall , love stay Queen Elizabeth . welcome friendly staff make stay great one . definitely recommend hotel . 
 Jul 7 2006 	 Excellent Location Wonderful Staff 	 choose hotel proximity Gare Centrale ( right station ) . guess Amtrak Adirondack would late usual . wonderful get elevator go 2 flight hotel lobby hassle find cab another hotel location . staff extremely warm friendly . doorperson advise we good restaurant area . suggestion right . right train station put we close Metro stop bonaventure well . everything right vicinity . Metro take we 3 stop Old Montreal . room excellent well . overall , positive experience would gladly repeat future . 
 Jul 2 2006 	 wonderful location 	 Fairmont Queen Elizabeth Montreal lovely hotel . location wonderful - easy walk either Old Montreal harbor downtown shopping / Magill University area . room bath somewhat small , , nice staff great . hotel also locate directly one main stop underground transportation system jump train minimal price get almost place want . also store train station pick personal item pharmacy , buy gift grab snack nominal price . 
 Jun 13 2006 	 give pass . many good choice . 	 wife stay almost 75 % fairmont hotel : one one easily pass . yes , good location city train station access Metro Underground City . 's huge behemoth : will find lose lobby conventioneer , local medium affair , bus tourist group . pie - eyed tourist leave afternoon Martini special bump elderly dowager finish tea canadian tv set inside camera station . even Gold Floor two floor almost 100 room : be insufficient seat space Lounge busy breakfast time needy elderly tourist arrive san guidebook map camp concierge desk endlessly . room turn night , shoe put shine lose two morning return til 9 am , concierge said & quot ; restaurant good & quot ; without help we other waitingto talk . room copious magazine canadian wine bmw , despite two day request never map local area event booklet . none deal killer stay , absolute wealth boutique hotel Old Town alone ( small , attentive , close water ) would want fight crowd indiscriminate service ? try visit get special 50 % third night freebie Montreal Tourism , however one hotel know anything free gift although get 50 % . normally : book St Sulpice like , use Champs - de - Mars Metro block away relax ! 
 May 27 2006 	 Fine 	 like previous poster say , hotel perfunctory .... service fine , lobby nice , room small clean , memorable . location great , right Central Station , make convenient we get Quebec City , near metro line close Rue de Catherine walkable Old Montreal . way , gym hotel , use nice . gift shop speak , need little something , go ( never use minibar , think one world big ripoff ) .I eat Montrealis hotel , say food & amp ; service wondeful , experience . would go back , , look excellent location can not top . ever go back Montreal , stay old section . 
 May 26 2006 	 surprise ! Grand Hotel 's grand 	 wife splurge Junior Suite worth extra cost . hotel people wonderful , especially concierge waiter more - than coffee shop , Montrealais . Location super . rainy day kilometer underground shop easily reach ( adjacent ) hotel ; train station also & quot ; attach . & quot ; sunny day Frederick Law Olmstead - design Mont Royal Park , gem city , 12 13 minute away ( uphill ) foot . fine dining relatively close ( dry day ) include incomparable toque ! Old Montreal delight . 
 May 7 2006 	 six star ! 	 without doubt fine hotel experience life . stay two night discount rate , allow check room 8 am arrive overnight train , give room 21st floor overlook Marie - Reine - du - Monde Cathedral . room big suite , luxurious . piano bar highlight , restaurant great . staff genuinely friendly , professional could not enough help . definitely recommend . 
 May 7 2006 	 great monolithic block ! 	 stay ( Family 4 ) visit relative . hotel right middle downtown , close Old Montreal . look one old , historical Fairmonts , dissapointe . look clean , modern luxury hotel , not . the exterior monolithic block , previous reviewer point . lobby nice lounge area could sit big fancy couch talk like , even serve afternoon tea . Queeny directly link huge Underground City subwyt station . ( Underground City huge mall not know . ) restuarant Montrealalis not great food service superb , rest hotel 's staff . go beyond make stay well . room little small side , tolerable . room apeare clean , get sense dusty had'nt use long time . nothing special . internet not free , though hotel free . bathroom huge , amenatie could need . would defenatly stay . 
 May 6 2006 	 wonderful Stay 	 stay Fairmont Queen Elizabeth April 20 - 26 May 4 - 6 . room small , clean . staff excellent deal . polite helpfull time . Rue St. Catherine block away . walk Crescent Street 's short Metro ride Old Montreal Rue St Deni . would reccommend hotel anyone . make sure ask corporate rate . stay $ 131.00 ( canadian ) . 
 Apr 27 2006 	 okay hotel - decent service tiny room 	 perfectlly acceptable 4 star business hotel . room small - almost size , . say , room perfectly comfortable , good bed , light work , tiny functional bathroom usual amentie . high speed internet work well , relief lot work . service good enough , nothing special . Turndown service available upon request , request nothing happen . perfectly happy , look something memorable next time ' m town . like boutique hotel , often shy away often ' thing need - like gym reliable high speed internet access . next time , will try Gault . 
 Apr 19 2006 	 okay memorable 	 stay Queen Elizabeth fine . outstanding , memorable , fine . on plus side , staff incredibly helpful professional . impressed everyone deal with . the interior hotel mediocre . exterior great 1950s international style design , lobby odd pastiche various design style , lot hotel cliche throw . give history place , fact place stay Montreal , shame not high - caliber design team something spectacular original interior . similarly , room fine , nothing write home about . the Queen Elizabeth meet expectation , exceed . hotel caliber history ought perfunctorily fill role forgetable big city hotel . many great hotel city , offer guest unique memorable stay , can not imagine would bother stay QE . not anything wrong , nothing entice back . 
 Apr 11 2006 	 Bring earplug . . . 	 stay 4 night hotel oonference last weekend March . hotel staff welcome professional , decor meeting room good -- cut usual . . . . nice able sleep hotel room . mine paper - thin wall . ( large queen room 20th floor . ) first morning reading newspaper , hear distinctly , apparently next ear , & quot ; Polish Good Morning ! & quot ; man room next door make phone call . one hear every syllable even quiet conversation wall . slept radio ( pre - tuned classical station , set low - volume -- think hotel aware wall problem ) drown noise . minor gripe : quality linen one would expect four star hotel -- old buff blanket , pille ragged , wrap inside sheet . nice feature : bed comfortable . fairmont tea excellent -- supply near coffeemaker able purchase lobby gift shop , . shuttle bus airport drop hotel door pick without require prior reservation . underground food court convenient affordable , good alternative costly food hotel . subway system ( underground ) easy use , clean , safe , right hotel , central rail station . distance Old Town ( several mile ) bit drawback someone QE - base conference -- hard slip much hour two . ( Old Town compact have hope would , hard see much short time . ) hotel locate downtown area , distinctive looking . hotel , dinner Montrealer Bistro , service verrrrry sllllooowww food rather costly fancy ( & quot ; bistro & quot ; misnomer ) good . drink bar expensive outstanding -- great ambiance . , hotel attractive feature ( particularly nicely design public space ) . travel business , get one 's rest important , room ( 3 4 night ) noisy room ' ve ever hotel , rather high cost . elevator work mid - day two conference day ( also power outage floor one day ) -- serious inconvenience one 's room 20th floor . . . .I probably stay elsewhere return Montreal . 
 Mar 7 2006 	 Perfect Service Excellent Hotel 	 well - nut shell good hotel ever stay . lot travel business come across good service city hotel ( perhaps ' m unlucky ! ) . stay Fairmont room - recently do . comfartbale , excellent bed - slight side - tv combine fridge cabinet kinda dominate room . on wrong side town good thing see , Fairmont Downtown commercial district Montreal - say overcome pair comfy shoe ( coat winter ) use tube system . 
 Nov 21 2005 	 great hotel 	 outside look rather small tranquile , inside boom life ! stay Gold room talk service relation area . concierge friendly , lounge nice clean good / courteous service . room big need . enjoy complimentary coffee water bottle . cherry sunday beautiful elevator reserve Gold club room , be make glass transparent side make pretty go floor . pool gym nice also . recommend strongly . 
 Nov 11 2005 	 stay one amazing boutique hotel 	 Fairmont pretty go back , stay Le Saint Sulpice Hotel Nelligan . many amazing boutique hotel montreal waste time . firstly , room incredibly small . bathroom closet . say good note , staff excellent . meet three four concierge excellent . not bad expect . 
 Sep 28 2005 	 housekeeping ? 	 hotel well - locate . our room small fine . however , king - sized bed full - sized blanket stretch width wise . call housekeeping next morning request king - sized blanket tell would taken care . not . pull spare blanket , also full , overlap . maid continue make bed way remainder stay . the blanket poor quality boot . then , maid refresh bathroom , not replace wash clothe . 
 Sep 10 2005 	 outstanding renovation classic hotel 	 recently stay Queen Elizabeth amaze recent renovation Montreal landmark . stay year ago property become bit tired . today ! room , lobby , Beaver club restaurant outstanding tasteful style overall great service . staff attentive care . impressed style room certainly hotel location . food Room Service breakfast excellent . make special occasion go acclaim Beaver Club let . Gourmet dine unsurpassed service . incredible food quality . overall hotel impressive service , style , location , staff attitude service . great health club . recommend everyone . let . famous hotel year history tastefully decorate well train staff . 
 Sep 1 2005 	 quite good 	 stay four night August'05 business trip . one major problem ( basically real problem ) sound proof way average . least & quot ; normal room & quot ; , might different suite etc . hotel build 50 hear ! example traffic noise 11 floor could well hear , mention scream teenager room next mine ... room quite spacious clean , clearly update couple year ago . situation ideal , hundred store , restaurant , bar within walking distance . also Molson Centre ( whatever call nowadays ) close , hockey fan . one thing though , ' m suprise reviewer say hotel lobby special . , absolutely nothing special , typical one floor high hall without anything particular see . 
 Aug 19 2005 	 Excellent Hotel 	 stay 2 night family 5 Jr. Suite standard room . room little small . service excellent check - in check - out . pool little small kid , great Hotel . 
 Aug 17 2005 	 nice worth price 	 Fairmont Queen Elizabeth lovely hotel . lobby world . hotel excellent location nearby almost everything need , even nightlife . however room disappoint clean small certainly worth amount pay . fact pay considerably less Ottawa 3 * hotel far luxurious Fairmont . service friendly allocate we room already occupy . allocate we another room disturb current occupant kindly charge we service day check hotel . refund charge complain . nice hotel ' m sure other standard value money less hassle Montreal . 
 Aug 7 2005 	 Great Hotel Location 	 centrally locate Rene Levesque Bl . right atop train shopping underground . breakfast easy pleasure take hotel elevator way . endless wonderful , coffee pastry shop far eye could see . staff always friendly courteous . room clean quiet great view . somewhat small large enough 2 . parking garage staff always friendly never wait car . montreal great city Queen Elizabeth Hotel great venue explore city . 
 Jul 8 2005 	 Decent hotel 	 not know , hotel Montreal landmark 35 year , CN Hotel manage Hilton long time , Fairmont take within last 5 year . location hotel convenient walk around downtown old Montreal . hotel particularly attractive outside . understand 2/3rds floor update room cost . stay old room ok , great , bed comfortable , bathroom fine clean , nice view large church adjacent . depend rate get , good choice hotel . new boutique style hotel Old Monteal nice , pricy . also , hotel convenient underground city central train station metro station , not go outside not want . eat Beaver Club restaurant hotel , one good meal ever eat nice place . fix price 6 course meal pair regional wine absolutely fantastic , impeccable service , incredible local ingredient use mostly praise Beaver club enough , absolutely first class , get well food anywhere . price high , treat , well worth . 
 Jul 7 2005 	 lot problem . 	 ' ve never stay Fairmont property , admire many afar ( Empress Hotel Victoria , Chateau Lake Louise , Banff Springs , Palliser Calgary , Frontenac Quebec City , Hotel Vancouver ) . genuinely look forward four night stay Queen Elizabeth , imagine luxurious accomodation pleasant , courteous staff . how wrong be . when arrive evening around 8 pm car , one greet we , help we unload vehicle even hold open door struggle bring luggage . inside date ( look trap late 50 / early 60 ) , outside monolithic block ( definitely & quot ; historical & quot ; unique look property ) definitely standard property . get room , resemble interior decoration Super 8 motel , also discover give we two double bed single queen confirm reservation . go downstairs see happen , agent try blame error say & quot ; probably forget request & quot ; -- even apology . mere triviality come . our first morning electricity . instead polite , staff felt compel blast information 7:30am loudspeaker / intercom ( apology ) . asleep , would not ! mention could not even get ready day since could not see thing -- walk sixteen flight stair get outside . third day , cleaning staff go strike . know come back long day find room still clean wonder . call downstairs see go , force sit hold ten minute . inquire room clean , woman snap , & quot ; know clean & quot ; press , say cleaning staff strike nothing could except maybe & quot ; send clean towel up . & quot ; suggest maybe could proactively give guest head , claim know advance . ( Funny , think crux strike rest fact make known go strike unless certain condition demand meet ) .The concierge continuously long line , information / knowledge poor -- ask dining recommendation 8:30pm , seem baffled thinking & quot ; late night & quot ; dining option . stump fairly easy question well . also receive newspaper first morning , remainder day receive newspaper request . normally would overlook triviality like , everything else terrible experience cherry top . I consider well - travel stay many kind hotel many country , rank Top 5 bad Experiences . stay , Fairmont property future.p.s . location Queen Elizabeth nearly great seem . wind number bizarre tunnel staircase get train station / Metro sit top . Marriott Sheraton nearby much accessible . also valet service awkward . take elevator main floor , transfer , either take stair / escalator another elevator reach . annoy suitcase carry anything heavy . 
 Jul 5 2005 	 avoid general especially Grand Prix weekend 	 book expensive trip Montreal Formula 1 Grand Prix . impossible find decent hotel city Grand Prix weekend , choose list provide race organiser . QE look classy hotel take offer CAD 532 per night three night mininum . check tiny room small bathroom ' ve ever see hotel class . decor Seventies style wear tear seem confirm period installation . middle heatwave ( mid - eighty degree ) air conditioner fail produce cold air leave we fan night . in - bath shower head not work every flush toilet flood bathroom . second night tell would move & quot ; upgrade & quot ; room . room pokey size tiny bathroom decor new fairly pleasant , though air con also failed produce anything resemble cold air another night sauna . positive : check - in smooth busy weekend , room service excellent - fast , full menu , guidance person take order ( & quot ; need side salad sir , already come one & quot ; ) , , hotel claim five star rating chargingover CAD 500 night , seem reason gamble book one tacky unrefurbed room . even post refurb room , particularly bathroom way small one find hotel city . 
 May 12 2005 	 wrong room ? ? ? ? lovely 	 got get room try long trip ( call road trip one travle Georgia Montreal ) see ash try bathroom ! think french people love smoke ! tallke front desk say mess ( expedia dident ) get room small foot another side fo hotel view MUCH well . the Breakfast Buffet die butler like peropl good hot tea ever , connect underground everything ! al al good hotel iv ' e ever stay would defently suggest , son love ! ! P.S . picture ot view second room 
 Apr 3 2005 	 Perfect Location ! 	 first trip Montreal quick getaway . location Fairmont could well . underground access train underground city . airport shuttle leave we right front hotel . shopping , restaurant tour comfortable walking distance . staff extremely pleasant , accomodate knowledgeable . interior , elegantly decorate . want elegance , service , access convenience , Fairmont Queen Elizabeth place stay ! 
 Mar 24 2005 	 good experience 	 return first trip Montreal , experience Fairmont Queen Elizabeth overall quite positive . staff ( exception one grumpy maid ) unfailingly polite helpful . three day stay , request room change talkative , night - owl neighbor , even nice room find we immediately even though hotel sell . location , hotel beat . directly beneath fabulous Underground City , central train station , Metro , link anywhere want go city . like hotel restaurant , also enjoy many less pricey dining opportunity Underground City . would definitely stay hotel . 
 Mar 19 2005 	 good weather 	 Montreal bad weather Fairmont Queen Elizabeth good choice connection undergound city . walk town without show face brutal Montreal winter . otherwise QE awful service , housekeeping shamble pretty bad attitude . room nothing special though nice enough view . view church next door nice . food main restaurant atrocious Montreal even little hole wall ussually serve good meal . coupon breakfast buffet good . comparison Hotel de la Montaign Hotel Vogue . three night plastic coffee stirrer carpet near room 3 day . 
 Feb 16 2005 	 love Queen Elizabeth ! 	 stay Fairmont Montreal January great time ! service excellent room ( although little small ) fabulous ! concierge , Joel helpful really go extra mile we ! would recommend hotel anyone business simply want middle . 
 Feb 11 2005 	 comfortable great location 	 usually stay old city , business , location much convenient . recommend hotel locatation really . admittedly stay Gold section really comfortable speak highly Eric , manager . room lovely entire stay great . Perfect lady travel alone . 
 Jan 26 2005 	 Queen e still note write home 	 read recent review indicate Queen Elizabeth rise like phoenix ashe pretty rough year . well , be yet . I ' m suite - admittedly , JUNIOR suite , 's TINY . ' m big guy ( around 5 ' 10 & quot ; 160 pound ) corner tought navigate bathroom really snug . the room fine , huge complaint , ' ve much nicer standard room several Montreal hotel . my advice : go Hotel Vogue Le Germain great place still reasonable rate . 
 Jan 26 2005 	 Excellent service 	 Queen Elizabeth one Montreal 's gem . hotel well locate town easy walk shop & amp ; restaurant . tunnel connect train station & amp ; underground shopping . Dinner Beaver Club restaurant treat & amp ; can not say enough service receive . deffinately return Queen Elizabeth . 
 Jan 20 2005 	 great location winter shopping 	 go Fairmont Queen Elizabeth December 2003 greatly appreciate stay . look serious shopping location could not well . the hotel link underground link allow walk different building without ever go outside . major convinience allow we leave boot - glove - coat hotel room walk many shop center bldv Ste - Catherine without suffer -20c cold . also art craft exibit Place Bonneaventure ( exibith hall ) block hotel also accessible use underground passage . kid appreciate indoor pool , although exceptional allow keep busy mother shopping chrismas present . hotel train station might convenience many . use car find hotel parking expensive though . the room not particullary large , nothing particular complain though . room size / conform key might find well hotel montreal though . 
 Jan 20 2005 	 love 	 stay Queen Elizabeth New Year love hotel . room little bit small well furnish comfortable . location excellent sightseeing trip Montreal . critique order go pool , take elevator main floor , swith elevator come pool area . fellow guest say & quot ; plan maximize embarrassment guest & quot ; . would stay Fairmont . 
 Jan 6 2005 	 give away room ? ! 	 meet supercilious French - accent woman front desk December 28 , 2004 , tell we discount room go . instead pay $ 149 * guarantee reservation * -- going pay $ 199 . ask talk manager . woman walk away shortly return , say could renovate room ( usually $ 199 ) $ 149 . say ! ' ve never hear hotel try raise rate credit - card - guarantee reservation . want hear nine - hour drive . say french speaker look english speaker Montreal . not know true , woman desk make think . room charming separate alcove desk . housekeep fabulous . spacious room gleam . triple sheet bed . extremely fluffy towel robe . elegant toiletry -- generously refresh . husband annoyed want $ 13 day use highspeed Internet hookup room . disappoint room 4 hotel double bed . queen bed much comfortable . otherwise , room , nice . we eat Montrealaise Queen Elizabeth . food pretty good , service escargot - pace . waiter ( not think understand we well -- another french speaker ) almost never come back table . never refill coffee cup . not try explain salad bar show we find plate . would never go back -- especially amazing Marche block two away underground shopping mall . 
 Dec 27 2004 	 Nice Stay ... 	 pleasantly surprised Queen Elizabeth , stay 5 year ago mixed thought . hear renovation decide try great result . beautiful room , beautiful view great value $ 200 . 
 Nov 5 2004 	 Fantastic ! 	 fiance stay Queen Elizabeth December 2002 , married local Court House stay . staff find wedding provide we complimentary champagne strawberry dip chocolate ! . friendly hotel absolutely stunning - love much go back April 2005 . 
 Sep 29 2004 	 Back Top Montreal 's Hotels 	 Queen E. get wonderful makeover put top Montreal 's hotel option again . this property redecorate result quite impressive . lobby room , decor design elegant furnishing mint condition . staff renew enthusiasm work , range friendly attitude front desk improve cleaning room , etc . Beaver Club remain one Canada 's good restaurant . 
 Sep 12 2004 	 great stay ! 	 husband return trip Montreal . stay Queen Elizabeth September 6 7 . find hotel nice . find lobby dark one review state . fascinating walk hotel underground tunnel explore many shop restaurant without ever go outside . also , short walk St Catherine Street many outside cafe shop . room top floor king size bed , couch , spectacular view city . room quite spacious , although , one negative , would small bathroom , , room view make . one night eat Beaver Club awesome dining experience , one , believe long time . lounge nice well , piano player nice ambiance sit nightcap . hotel staff helpful friendly , especially concierge , except one bad apple day leave . bellhop come get bag rude . bring bag lobby ( tell we would ) go breakfast . breakfast , ask luggage lobby staff tell we bellman must take bag parking garage leave lobby . however , ask , parking garage attendant bag find . rude bellhop eventually arrive bag . husband give $ 2.00 tip ( one toonie ) stand hand look , , oblige , observe handing parking attendant $ 5.00 bill help , bellman make several face comment french . arrive new destination , Quebec , realize souvenir purchase Montreal ( $ 50 hat buy mother ) miss . call Queen Elizabeth , , return call , , tell we check lose find maid staff hat find ( husband think bellman take ) . criticism would make , ( review note ) , fire alarm go every night recording tell check internal alarm , need leave room please stand . minute later alarm goes tell everything clear . happen 12:30 a.m. first night 3:00 a.m. second night . annoying say least . however , great stay , , would stay . 
 Aug 19 2004 	 incredible lot Fun ! 	 husband stay Fairmont Queen Elizabeth past weekend ( August 14 ) think fabulous ! get great rate go directly Fairmont website choosing & quot ; Fairmont Supersaver & quot ; option - mean pay advance / could cancel . hotel BEST location - right heart downtown Montreal ( middle action ! ) . without leave hotel - elevator take subway , via train station also connect via underground every mall , food option , Marché resturant etc . ! tell truth , enjoy hustle bustle downtown Montreal 24 - 7 retreat hotel / room often enjoy facility - nice heated pool , scented steam room ! ! huge exercise facility ( big regular gym ) . , exciting act like little kid try discover place could get underground without ever go outside . since room supersaver ( $ 140 CAD weekend ! ! ) not huge - make good use space renovated decorate nicely . not great view - care ? would highly recommend hotel anyone go Montreal look nice place stay heart downtown ( 2 star Travelodge much far away charge ! ! ) . good luck ENJOY ! ! 
 Aug 19 2004 	 treat like Queen 	 spend 6 day Queen Elizabeth . wonderful hotel ! room 5th floor spacious , room service quick , hot , delicious . travel agent fail warn we reservation need Sunday brunch thought would disappoint . although & quot ; book solid & quot ; find room party four . concierge , Robert helpful suggest resturant & quot ; Gibby 's & quot ; one well ever eat . 
 Aug 9 2004 	 great location friendly staff 	 Fairmont Montreal recently renovate locate right downtown near good shopping . view adjacent cathedral sunlife build fabulous . stay Fairmont Gold treat royalty . be like boutique hotel inside big hotel . room modern great marble bathroom wish home . concierge friendly , helpful advice priceless . dinner hotel 's Beaver Club good experience . rarely find service like anymore food exceptional . treat well worth . hotel also nice pool gym club unwind . 
 Jul 28 2004 	 Montreal Canada ... ok quiet . 	 Montreal ok , thank Jazz Festival go . take raft trip fun also . we stay Queen Elizabeth , scale 1 - 5 3 . tell besure go Old Town , tourist trap , shop stuff , besides resturant alley ! trip ok really bad experience .Pam Urania 
 Jul 27 2004 	 great service less appealing room price . 	 stay Fairmont city property , recently San Francisco San Jose ( California ) , high expectation . Queen Elizabeth Montreal come close . lobby dark . front desk staff always seem stress ( even 4am ) . room ( guest several room ) small comparison big room rate . make Fairmont property live Fairmont reputation courteous doorman , cheerful phone personnel , pleasant room attendant ( call extra towel constantly ) . summary : location great ( underground train station two level hotel ) . pleasant staff great service ( front desk staff need little less anxious ) . room small price . 
 Jul 15 2004 	 Great Location 	 family stay Fairmont Queen Elizabeth vacation , suggest travel agent . could please hotel . although fancy hotel area , impress friendly staff elegant accomodation . exercise room , free guest , large selection equipment clean . location also perfect -- hotel connect Metro short walk site interested see trip . 
 May 19 2004 	 Magnifique ! 	 contrary bad review ' ve read , experience Fairmont Queen Elizabeth great . bear mind 1950s - era hotel quite history . John Lennon Yoko Ono stage second famous week - long & quot ; bed - in & quot ; May 26 , 1969 suite 1738 - 40 - 42 . grant part enormous building need spot upkeep , service , least stay , gracious Fairmont tradition . one - bedroom executive suite 10th floor beautifully decorate continental , yet modern motif , warm wood furniture black marble bathroom chrome fixture . suite 's cleanliness condition furniture , suspect renovate recently . king bed wonderful ... food fantastic ! use room service twice ( try filet mignon ) ; breakfast buffet Montrealais restaurant delicious , especially croissant freshly bake bread . good part hotel us location . walk directly low level Place Ville - Marie underground shopping mall , , walk series interconnect mall span center city . also , proximity Marie - Reine - Du - Monde Cathedral great -- , place ideal french canadian experience heart Montreal . 
