San 	 average overall fine need . Thought would japanese hotel really refurbish hotel 80 's japanese decor . still , staff pleasant . room good size great big bath - probably good thing room ) twin room plenty space . 10 min cab Union Square 20 min bus ride outside . room idea restaurant like . Filmore St min walk roab interesting shop + restaurant . 
 Jan 9 2008 	 excellent place stay 	 hotel excellent place stay couple not interested thick tourist destination . the location ideal fairly centrally locate . able walk several lively little area good restaurant , movie , shopping . feel like really experience city eye local . time , proximity Geary bus line make quite easy go West towards ocean Golden Gate Park , East towards downtown . the room clean nicely decorate minimal japanese style . amazing view Japantown could even see tip Golden Gate corner balcony 14th floor ( SW corner ) . highly suggest get room soak tub . rejuvenate luxury long day explore surround area . room also ipod dock , pleasant surprise . the downer plan use complementary pass nearby Kabuki Springs & amp ; Spa couple . happen close one day week ( Tuesday ) coe holiday . plan stay hotel ! 
 Jan 7 2008 	 yes stay ! 	 second time stay hotel within year , would hesitate come back . perfect location Japantown , convenient rest city , , without downtown craziness . convenient shopping parking . wonderful bed ! ! ! clean room , traditional styling . love deep soak tub ! improvement would recommend would add slide wood panel door bedroom bath , privacy ( bathing area ) turn bathroom light night not disturb sleep . good , hotel across street & quot ; Bushi - tei & quot ; , fabulous ( 1 Michelin Star ) asian - french fusion restaurant , incredible dining experience ! 
 Jan 6 2008 	 new upgrade make Kabuki even well ! 	 recently stay Hotel Kabuki , formerly know Miyako Hotel , happy see new upgrade make hotel even attractive . book corner king room deep japanese tub . time 4th floor , not much view , room big window comfortable bed . include room package ( book hotel 's website , jdv.com ) $ 20 coupon o - Izakaya , newly - open restaurant 1st floor , sample high grade sake small dish japanese fusion cuisine . follow suggestion knowledgeable waiter , order wonderful scallop dish , interesting japanese mini - donut dessert . dish small mean share , not go ravenous small pocketbook . visit usual spot , include Kinokuniya Bookstore , Paper Tree Origami Shop japanese dollar store hotel bank . hotel conveniently locate smack dab middle Japantown , near major tourist attraction . I always enjoy deep japanese bath , puzzle see shower outside tub remove , make difficult wash get soak tub . small quibble otherwise perfect visit . 
 Jan 2 2008 	 Joie de Vivre Hotel joy 	 friend describe recent stay SF sound delightful check suggestion . choose one , part Joie de Vivre Hotels chain . look option offer , become interested Hotel Kabuki .We look something bit different San Francisco Christmas -- drown Christmas decor -- Japanese theme hotel seem like ticket . , location turn central . love . go everywhere bus walk . staff could nice . room nicely appoint think rate bargain . view fantastic . book couple night othere family member equally impressed . small problem arise , far overshadow well handle . definitely look Joie de Vivre Hotels future visit CA . 
 Jan 2 2008 	 nice room good housekeeping internet 	 stay Kabuki weekend Christmas . booked & quot ; executive sauna suite & quot ; consider reasonable price . love location hotel right next japantown mall . the room beautiful , modern , spacious , comfortable furniture . bed one comfortable hotel bed ' ve sleep not bounce around like lot hotel bed , could turn night without disturb partner . partner like sauna . living area sleep area separate translucent screen , might expect japanese style room not hope , one we like go sleep early dark room like stay late light on . the bathtub not quite expect ( similar typical western bathtub , side bit tall , bathe area outside tub ) . partner ask see room soak tub setup , room lot small , not move . the hotel advertise free wireless Internet , rarely work room . wire Internet available far could tell . not get advertise & quot ; welcome tea service & quot ; . ok we . we good service housekeeping staff . one day ask clean room right away leave come back shortly . . another day not want housekeeping , leave Disturb sign day , honor it — they leave card saying & quot ; want housekeeping , phone . & quot ; ( day hotel bug even leave sign . ) partner trouble hook laptop tv , reasonably promptly send service person help figure out . we minor issue bell service . bell person available arrive . load luggage onto cart heading room one appeared follow us room , perhaps hope get tip actually anything . plan use valet parking , use couple hour first day , get back evening , lot full directed self park Japantown lot . terrible , turn - japantown lot cheap anyway ( know ) , park directly hotel ( not know ) . not get charge hour valet parking have . maybe ' m behind time , expect staff hotel class willing call taxi request . expectation meet . first time request taxi , bell person get we one act like we big favor . second time , say would take less time go taxi stand front hotel hail taxi . bit uncomfortable one us mobility impaired stand while . we eat hotel restaurant twice breakfast . coffee good promptly refill . food ok - to - good . one time wait long time table even though restaurant almost empty . 
 Jan 1 2008 	 japanese Bliss - american style 	 really enjoy family ( 2 adult , 2 child ) stay Kabuki hotel . centrally locate able get around city easily . hotel connect mall inexpensive food item -- -- array japanese food dining hotel well . spend time small empty fitness room much enjoy japanese soak tub room . hotel guest receive one free pass Kabuki spring / spa bath house book spa treatment well advance ! ! ! ! ! ! -I unable book treatment stay . would stay ... room clean stylish daily wine taste cocktail hour lovely touch . the room little small 4 tell might tight . next time , book family suite garden . 
 Dec 31 2007 	 mixed bag 	 's location price reasonable , anmixed experience hotel . boyfriend book hotel romantic weekend getaway . Joie de Vivre addition obviously still awkward & quot ; teenage & quot ; year & quot ; redo & quot ; . lobby wonderfully Zen decor . pay King bed & quot ; balcony & quot ; & quot ; view city & quot ; . less impressed reality . & quot ; balcony & quot ; concrete slab wall extend less foot room connect next room ( privacy ) . look less & quot ; updated & quot ; . view not bad ... generic city view ... nothing write home . room book , room Kabuki tout & quot ; traditional japanese soaking tub & quot ; ... laughable . weigh 140 pound ( like ) , fit one tub tough sell . shower head break shower door seal ( water get everywhere floor ) . pour bucket prove useful shower head . hotel staff , would say give 50 % . every time call downstairs taxi take 10 - 20 ring pick . boyfriend call airport take 18 ring pick up- frustrating . finally get hold , helpful give direction restaurant advice . bed bed impressive thing whole experience . perfect . room small , barely enough room move around . curtain per se , slide wooden panel ( good job keeping morning sunlight ) . thing keep mind , arrive , bring earplug ( be noisy part town ) bring room service ( not get part renovation yet ) . 
 Dec 31 2007 	 Zen Kabuki 	 family always stay go SF , good reason . Kabuki create great hotel experience , detail : hot tea serve cast - iron kettle , wonderful unique square tub , patio view city open slide wooden door beautiful japanese painting ( .. long sentence ! ) off - season , find great room rate . highly recommend . 
 Dec 26 2007 	 Great Price / Performance 	 probably sixth seventh time wife stay hotel last year half . obviously quite comfortable . however , first time stay since completion recent renovation , say really make difference . still niggly issue small detail , overall experience extremely positive . plus follows:1 . room spacious - always stay corner rooms.2 . bathroom general spacious , new arrangement quite appealing.3 . new room furniture far contemporary old furniture - flat screen tv , everything updated.4 . linen - bath bed - significantly upgrade hold top level hotel.5 . ate completely redo japanese restaurant excellent meal . waiter know menu inside . recommendation hit spot . good dish dirt cheap.6 . probably good hotel stay San Francisco , car not want pay arm leg parking . able self park within 100 foot room elevator cost $ 15 / night . within mile downtown without traffic . never wait get lot problem find parking space regardless time day . spend $ 51 / day Mark parking past , absolute bargain . plus be centrally located7 . usual , staff friendly . so negative ? 1 . Kabuki Four Seasons - total luxury world class hotel - neither room rates.2 . one day room make early evening . minor pain , happened.3 . room could lighting.4 . new furniture less drawer space old . matter travel extended period time , frequently do . all , Kabuki offer great price / performance package , minor negative vastly outweigh overall positive cite . 
 Dec 24 2007 	 Loved Kabuki Hotel 	 husband need hotel room one night choose Kabuki Hotel . hotel wonderful staff accommodate . generously greet upon check - in complimentary sake and/or wine lovely touch . room gorgeous treat japanese bath treatment ( ofuro ) provide room complete step step instruction . feel transport time country . attention detail room atttentive staff make stay truly memorable wish have time stay additional night . though hotel renovation , inconvenience way . 
 Dec 11 2007 	 Rip - off bar good hotel 	 room great , service good hugely disappointed bar . hotel direction bar lobby bar lead stupid Karaoke Bar . stay 2 drink charge 50 euro 4 drink altogether- absolute rip - off ! ! ! ! ! ! blame hotel , even though bar access hotel small shopping complex . charge listen japanese singer useless , cause want drink without want go street . so - call hotel bar . sort ruin goodness hotel . 
 Dec 11 2007 	 could great hotel ... 	 think hotel would much well base review . 's true lobby spotless be seem like great stay , seem like give , like , 75 % effort stay . disappointment were:1 . ice bucket . call downstairs wait 15 minute one bring . ( not checklist kind housekeeping staff ? ) 2 . broken shower bracket mean hold shower thing handle whole time . almost relax shower.3 . slide glass door balcony share room next door . jump bed , swing curtain open say & quot ; Good Morining San Francisco ! & quot ; sure check folk room next door not look room . also , balcony slide door unlocked arrive mean not check , have leave stuff totally accessible next door neigbor via share balcony.4 . bare wall patch do repair room , repair enought paint paper . oh yea , Zen spackle job there.5 . security risk - although sign enter hotel totally public parking garage basement say someone buzz hotel ... park , open door hotel take elevator directly 10th floor room ! ever trust knock door & quot ; room service & quot ; kind security hole major city ? anyway , nice location lobby decorate hint superb service , be like management alseep switch , get good service particular staff member feel like ... 75 % time . 
 Dec 4 2007 	 Weekend Getaway 	 Hotel Kabuki newly renovate version one old standby , Hotel Miyako . manage Joie de Vivre chain , Hotel Kabuki sleeker rendition former self . love new decor . , love personal attention . although hotel still roll service , like idea welcome soon check - in tea cart choice tea . service available check , first try bath butler service . assistant manager go way make experience special fulfilling request hot sake . Members Joie de Vivre Club receive room upgrade , provide suite weekend . fancy hotel San Francisco , think good service trump almost everything else come great hotel stay . really appreciate one knock door 8:00 a.m. hurry we room could clean . rough spot , like miss towel , hotel still shake . look forward return . 
 Nov 30 2007 	 Zen - like stay 	 choose Hotel Kabuki two - night celebration anniversary love Joie de Vivre hotel chain . Hotel Kabuki yet another wonderful stay we . love quiet , Zen - like atmosphere room , art - fill lobby , wine - reception , wonderfully attentive staff . japanese deep - soak tub simply add atmosphere first evening cap absolutely amazing dinner newly open restaurant . server , manager chef attentive — the food fantastic sustainably farm , grow fish . locate conveniently Japantown near Fillmore Street . fantastic value ! ' wait return ! 
 Nov 29 2007 	 Nice Hotel 	 choose Hotel Kabuki see concert Fillmore want within walk distance venue . make reservation hotel website . arrive around 5 pm . Weparked Japan Center Garage entrance hotel . cost $ 15 8 - 24 hour period . bad SF . choose park instead try hotel parking reading review . save time frustation hotel parking lot truly small parking lot ( appx . 20 car ) . check - in smooth quick . even receive complimentary room upgrade . recent renovation could see throughout hotel . thelobby beautiful room great . japanese motif throughout hotel calm effect . check head find venue dinner . TheFillmore 5 block away . comfortable walk around area . eat korean restaurant nearby venue . quite good ( ' ve forget name ) . time dinner walk around start show . little mall near hotel quite restaurant . disappointed not think walk first quite restaurant interested eating . bed extremely comfortable . much not want get morning . bath / shower wonderful . receive complimentary pass public bath unable use since night . hopefully next time . ejoyable stay look forward stay . 
 Nov 23 2007 	 Peaceful Oasis 	 newly renovate ( Nov 1 , 2007 ) , hotel calm adn restful japanese decor . new Lounge wonderful , great sake food selection . safe place , live japan town great experience . Taxi 's available easily , public transpotation , although use one . staff friendly helpful . 
 Nov 21 2007 	 Renovated Bliss 	 would stay former Miyako Hotel City . renovation rename Hotel Kabuki continue great accomodation . central location , load parking ( premium San Francisco ) newly renovate room , Hotel Kabuki continue prime hotel City . also get try Sleep Number bed original Bionic Woman espouse infommercial . 
 Nov 12 2007 	 Patience reward serene performance 	 fabulous renovation way former Hotel Miyako Japan Center , SF . know Kabuki Hotel operate Joie de Vivre boutique hotel group . staff could friendlier helpful . upgrade suite night check . reserve JdV online special King view room Japanese soak tub . unfortunately upgrade partially renovate suite , view tower . room weird combination tatami - room bedroom ( bed floor ) western - style bed room separate shoji screen . bathroom little odd , flip bathroom scale ! ? brand new flat screen tv visible bed , piece furniture room matter . rearrange , one we able watch tv comfortably . ( western ) king size bed comfortable , room quiet great night 's sleep . ' m sure go nice room renovation complete . next morning call front desk give room originally reserve fuss . room fantastic , completely renovate beautiful , soothe color relax texture . view east look downtown SF . comfortable elegant room , full special touch , obi decorate top bed cover , japanese pottery slide screen decorate Japanese Lord Lady . Japan Town neighborhood lively full wonderful place eat , fun shopping Ichi Ban Kan ( japanese dollar store ) traditional asian store center . also within walk distance Filmore shopping district , great eating , drink fun shop explore . great alternative noise bustle Union Square . discover different San Francisco neighborhood ! 
 Nov 11 2007 	 comfortable stay nice amenity Hotel Kabuki 	 return three night stay Hotel Kabuki . hotel convenient lovely restaurant japantown area , well close Filmore district shop lovely restaurant . bed comfortable soft pillow , nice treat japanese style bath deep soak tub . conference , conference facility nice , catering . especially appreciate free wireless internet access business center . 
 Nov 8 2007 	 wonderful hotel ! 	 Hotel Kabuki wonderful , peaceful ambience attentive , friendly staff . would love stay every time go San Francisco ! 
 Nov 8 2007 	 problematic stay ! 	 undergone rennovation room service , mini bar alarm go night . restaurant currently close . neighborhood close early 8 pm local convenience store , need cab get soda ! 
 Oct 30 2007 	 Great Hotel 	 room promise , bed comfortable . parking limit public parking building & amp ; $ 15 per night , in / out . usually park Hotel day come night - park public garage .. cash . 
 Oct 28 2007 	 Wonderful Hotel Kabuki 
 Oct 25 2007 	 Excellent stay ! ! 
 Oct 24 2007 	 pleasantly surprised -- would come back ! 
 Oct 24 2007 	 ready prime time 
 Oct 23 2007 	 pleasantly surprised 
 Oct 21 2007 	 Great Time Kabuki 
 Oct 19 2007 	 great stay Miyako ( aka Kabuki ) 
 Oct 15 2009 	 un buon hotel con parcheggio coperto 
 Oct 11 2009 	 Un bon compromis 
 Sep 19 2009 	 excelente 
 Sep 17 2009 	 hotel charmant 
 Aug 15 2009 	 buon hotel ottima posizione 
 Aug 12 2009 	 bad service ! 
 Jul 12 2009 	 Traumluxushotel Japantown ....... 
 May 30 2009 	 Eccellente Hotel una zona tranquilla 
 Nov 26 2008 	 Moyen san plus ! 
 Oct 16 2008 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
