beat 	 terrible 's nice hotel casino sleep night town . stay many other strip busy day traffic unbearable . terrible 's short drive strip walk athletic . room luxurious go vegas locked room , long somewhere crash that s sleazy smelly terrible 's make cut . 
 Oct 17 2005 	 terrible do not let name fool 	 expect much arrive . definatley surprised open door . room huge . nicely decorate . maid left coffee , freash soap shampoo every day . 27 & quot ; tv . staff wonderful . breakfast buffett great . 3rd trip vegas think go regular terrible . complaint ever . 
 Oct 6 2005 	 great price 	 great hotel price . need place shower sleep place . hotel luxurious , well keep property . husband visit Vegas wedding glad choose place instead pay high price strip . hotel approximately 3/4 mile strip . short enough walk catch cheap cab . would definitely stay . 
 Sep 23 2005 	 time terrible / continental hotel 	 use continental / teribble herbst hotel casino several time visitingunlv ( university nevada las vegas ) 1999 , 2001 , 2003 actually day ago 2005.the hotel / casino perfectly locate unlv strip offer shuttle service mc carran airport , necessary car las vegas case tourist scientific interest relevant.the rate 1 - 2 person room su - thu increase year 27 37 $ ( book formerly directly webpage casino actually lasvegas.com ( book service ) ) ; extremely cheap.but casino also cheap question : generally speak acceptable independent rate ? good : + rate perfect topped.+ food area casino good acceptable prices.+ room large.what good / acceptable : - room clean ( especially rough edge ) - furniture old ( see ) - bathroom / air condition become old see hear this- carpet floor dirty ( 3rd . floor 30xx room ! ) - actually ( sept . 05 ) part hotel / casino rebuild parallel hotel service 3/4 remain part ( see hear , begin 6 finish 7 - 8 pm ) .- special problem ( last room 3003 ) : security hotel work directly side floor : see , hear discuss throw doors- special problem II : security people run housetopand improve something inacceptable loudness bumps- special problem III : fan / exhauster casino locate 10 mtr . beside end building : feel vibration day inside 50 % 1/3 complete building ( know come ) .so decide : time terrible , next visit 2007 find another cheap casino close unlv strip . 
 Sep 23 2005 	 bad dishonest Rude 	 four we stay 2 night . first room dark dirty smell nasty unacceptable . secondly book room travel agency include breakfast . arrive breakfast room , keep we wait 10 minute line check breakfast include , extremely unpleasant crook try get free breakfast later get extreme bad surprise find charge $ 75 credit card . phone hotel , rude refuse pay back . beware , never go warn travel agency know . 
 Sep 10 2005 	 Favorite Hotel Las Vegas 	 love Terribles ! stay least 5 time last 3 year . 's sad people bad experience . ' m service industry know can not please everyone . great deal , food , clean room , lovely ground pool . say far strip cost much taxi , husband catch bus everywhere Las Vegas . be cheap also senior get discount card ride $ .60 . also senior not like commute terrible perfect everything . gambling , food , entertainment , need quiet time- outside garden . also free shuttle ! aunty 80 yrs . old love Terribles happy spend whole vacation hotel . the thing negative say check check . many time make error bill always make sure copy suppose charge . good correcting error . terrible ... back soon ! ! ! B. & amp ; E. Hawaii 
 Sep 7 2005 	 terrible customer service 	 checking tell $ 50 deposit room ( 2 ) . instead charge unexpected $ 100 deposit round $ 69 per room final deposit talley $ 155.00 . not quite add . cafe manager rude , take we 3 hour get food eat manager would not let group 25 even talk without dirty look . make reunion parent 50th wedding anniversary stressful . Vegas goodness sake ! upon check tell owe another $ 89 3rd night second room thank goodness paperwork cuz 1/2 hour argue 2 employee , accounting manager general manager , finally credit back high price deposit . great room , rate , food food price not make rude obnoxious way treat put pall whole 4 day people meet parent 50th anniversary . will pay high price well service day . 
 Sep 5 2005 	 stay one night wish long 	 travel Vegas stay 3 cheap hotel visit . love Terribles clean , luxurious cheap . give free breakfast buffet ticket booklet voucher free cheap drink . pool spa great free shuttle airport good . however problem arrival record booking , ( expedia ) take quite time sort , good thing write evidence prepayment we . 
 Aug 16 2005 	 chubby pickle 	 price , place awsome . anyone say smolky family wait fast enough , go stay Mirage stupid pussy . foot long hot dog $ 2 waiter give plate full pickle 4:00am right . 
 Jul 30 2005 	 will not visit . 	 con : room wall thin . hard time fall asleep hearing talk television next door . hallway carpet filthy . cover parking . pro : room clean . pool nice close early . 
 Jul 27 2005 	 ` ` Customer Service 101 '' refresher course need Casino Staff 	 find confirmation mean nothing - arrive casino block room - almost get room - clerk go manager get we room . ( book 6 night 7 day ) book request confirmation email - never send - call three day later confirm reservation confirm . try give desk clerk confirmation number would take information . Terrible 's send email almost year give try . wife observe employee Terrible 's get special treatment . happen take care customer ? must say room finally get nice , issue bottle water steal - yes small item - someone steal pay guest - push issue till get home stay casino 7 day not want anymore problem . I must also state casino offer charge safety depost box use , nice room enough put labtop security . Terrible 's Buffet pay 2 1 coupon not beat price . however ; back service issue casino . go twice buffet employee - family member employee get special treatment pay casino guest . time go buffet people walk take table choice without take table . question going ignore . also finally get buffet try get food , employee 's rude would force way line get food want . Employee 's seem forget business provide service pay customer . as Bougainville Cafe Terrible 's open 24 hour - get concept service . first night try dining - food great service . second time try dining - food ok , consitant & quot ; service & quot ; . second visit observe two table request manager send food back third table upset something leave . wife say good - waiter / waitress go back door / kitchen door go & quot ; never - never land & quot ; never come back . Terrible 's pay bad thing pocket book , expect service might want look diffent location , happen use disappointing . Terrible 's staff need refresher course customer service 101 . 
 Jun 30 2005 	 great stay 	 first time vegas surprise find reading reveiw room clean food great , staff help we way could bell staff house keeper great would tell everyone go vegas do not want spend lot money room stay . enjoy . 
 Jun 28 2005 	 Bugs Bugs Bugs 	 Room look clean infested BED BUGS . first Time ever experience hotel , look clean . woke cover bite ! ! ! ! ! ! Yuck ! bad single experience hotel , otherwise , provide great food accomodation . left real bad feeling experience overall . 
 Jun 3 2005 	 great deal ! 	 stay actually pretty nice . good thing airport shuttle hotel buffet . could beat price breakfast buffet - three adult eat $ 8.00 coupon hotel give sign club . bedroom nice size everything pretty clean . bathroom small closet - you use rack attach wall . would probably stay far alot main Vegas attraction either walk alot cab ( expensive Vegas ) .if look cheap , clean place stay Vegas really can not beat place . 
 may 24 2005 	 Good Hotel 	 misgiving read several bad review , pleasantly surprised . hotel lovely . find staff friendly helpful , room spacious clean every day , good sized pool lot chair / sunbed towel provide . meals restaurant ie breakfast dinner , service quick lot choice menu . only downside distance Strip - 15 minute walk shade , temperature 105 degree bit ordeal . definitely would stay would recommend hotel other , impersonal big place Strip . 
 May 17 2005 	 GREAT money 	 great room overlook pool food fine , good service great place stay 
 May 16 2005 	 Terrible 's Hotel Casino 	 last night spend stay Terribles offer $ 19 rate birthday . choose last night several reason - one fact video keno heaven 90 % machine keno . not go wool eye realize somewhat sleeziness would mean room not go 4 star one . having say , surprise disappointment . big surprise hotel offer in - room coffee maker entire trip . disappointment many .... trash still lay around , bathroom door give we problem , smelly bedspread realization smoking room first floor may fantastic go room casino area , 3 woman , not make feel good . one problem much riff raff ( i.e. , see two different fight casino floor ) , security make sure people not wander casino hotel room . problem window room face walkway around swimming pool . low ground , force keep curtain tightly close avoid people look we . but want video keno , great place play . be also great place earn nice gift . want play roulette crap ... forget one table . food excellent ! ! ! small buffet well prepare item available spend time cafe . ? simple answer Bread Pudding . admit .... ' m addicted use Vegas trip excuse eat stuff . terrible far , Bread Pudding king . huge portion 2 - 3 people easily share . 
 May 3 2005 	 Hometown Charm 	 wife stay five day . People friendly room clean . food excellent reasonable price . two one be always good bet . crap everytime play . low limit , feel could not loose . not . maybe confidence mathematical ability . not fancy place town new opinion good we . definitly go back . give five star . P.S . also enough point get we leather travel bag . 
 May 3 2005 	 aptly name hotel food 	 without doubt , bad buffet Las Vegas . aptly name - Terribles ! live Vegas year , go gamble would never eat . love PEI hope next time visit Vegas would select real hotel great food service entertainment . would Circus Circus either . manage select bottom list two choice . 
 May 2 2005 	 great time great price .... 	 friend decide take ( budget ) trip Vegas 4/29/05 weekend , surprise much room rate hotels strip . Terrible 's look like hotel pretty good review $ 97 night ( tax include ) . wonderful . front desk friendly helpful , give we 2 room next hassle . casino small , one crap table couple $ 5 $ 10 blackjack table ( everything strip least $ 15 min . night ... ) fact , go strip gamble end come back Terrible 's early could gamble . everyone really nice , room big clean . complaint : low shower pressure , be little far strip ( $ 6.60 cab fare ) , be view normal room ( window face wall building next ) . , great time . oh , try $ 2.99 graveyard breakfast special cafe . food average ( would compare IHOP Denny 's ) , price excellent ! basically , want glitz strip , stay somewhere else , want place crash 4 am save money , stay . would definitely stay terrible 's . 
 Apr 30 2005 	 Awesome place stay 	 be Prince Edward Island Canada Vegas April 20 28 , 2005 . find Terribles Hotel casino internet LOVED every minute . never Las Vegas scare find stay terrible , relax ( especially pool area , love ) people nice . husband would room feel ease safe downstairs casino . food excellent . stay Circus - Circus last 3 day regret leave terrible . can not compare . 's stip close enough walk take bus . room great clean . People friendly . will back 2 year stay terrible . thank home away home . 
 Apr 21 2005 	 Loved ! 	 absolutely excellent hotel price . staff friendly ( apart registration desk average ) hotel clean , room huge pool wonderful . breakfast great value delicious . hotel 15 - 20 min walk strip $ 10 cab . valet/ taxi hail guy excellent provide great service , especially Dan . go vegas budget , must stay terrible . already nag husband take back september ! 
 Apr 19 2005 	 will back 	 look clean , friendly , convenient place affordable , look . boyfriend make trip Las Vegas every April , never stay anywhere else . Strip crowd expensive , year look around something else . hit jackpot first try ! arrive early , park near door , run see could check early . desk person pleasant , not act put ask check several hour early . cheerfully tell we room available , within 10 minute arrive , room unpack bag . our room spacious clean , nothing fancy , look basic comfortable . iron board & amp ; iron , blow dryer , needs easily meet . pool area nice lot tree jacuzzi . keep clean , too . the casino right alley . lot popular slot , usual gaming table . good part dealer , friendly ..... like stiff , almost robotic kind normally encounter Strip . talk folk encounter table , find great number local ..... ought tell something ! matter walk property , staff always friendly helpful . everyone say hello pass , really like ! , look reasonably - price , well - locate , friendly place stay ..... terrible 's ! caveat would unless inclined walk LOT , rental car something would want stay convenient , good distance Strip . 
 Apr 15 2005 	 Great Budget Hotel 	 stay terrible begin April 2005 . excellent value round , great food great discount coupon available join Players club . staff friendly helpful . Strip hotel pay strip price . would visit . 
 Apr 15 2005 	 april 9 2005 	 stay 4/6 - 4/9/05 . room fine , rental car get around . staff friendly except check . prices reasonable COFFEE shop 2 morning breakfast good . 
 Apr 8 2005 	 Solid 	 stay Mar 21 - 24 . room clean spacious safe . food expect . would recommend breakfast cafe instead fight line buffet unless arrive early . car everything convenient , would not want walk strip everyday . overall , good , would stay . 
 Apr 6 2005 	 terrible 	 hotel can not beat price pay . room big extremely clean . employee incredibly nice , espeicially upstairs 24 hour cafe . food little cafe also awesome . steak suprisingly great . three day boyfriend eat least six steak . price store ground floor jack . everything rather moderately price . drink serve game good course free ! ! plan stay terrible recommend other . please not let name scare . 
 Apr 5 2005 	 good price 	 Terribles Hotel far enough away strip need car . casino small side , adequate . room ( 3321 ) large comfortable , overlook pool . meal Bouganvilla Cafe ( bad , great ) , order room service one night - come fast ! staff friendly though . fact complain pit boss two rude blackjack dealer , not imagine opinion mean much . , be bad place stay be tight budget . 
 Mar 30 2005 	 Decent place stay be budget 	 stay 4th week Mar 2005 . call couple day make sure request 2 bed travel site use book room record , not , hotel go ahead submit request cheerfully problem . get search smoky casino front desk . really post location check - in desk somewhere door room guest will not wander place smoke find . headache , staff pleasant helpful . son w / my sister son , request quiet , non - smoking adjoining room give exactly request second floor make difference smoke casino not travel level ; unlike smoke permeate everwhere first floor . room clean , spacious , nice price pay . hotel turn quite distance strip neighborhood around area questionable , glad rent car . distance away nightly traffic jam strip conveniently road airport . buffet good 2 1 coupon provide apply adult age 21 . offer charge half price w / the coupon pay full price son . guess discount be well none . would stay would make sure room area level rent car . 
 Mar 30 2005 	 terrible anything terrible 	 trepidation stay terrible Hotel Casino read one previous rewiew Terribles tripadvisor . stay Terribles time last year never disappoint admit doubt . well doubt vanish soon arrive Hotel . checkin staff courteous helpful . receive email Hotel offer reduce rate complimentary daily breakfast we per day staff happy adjust accomodation rate $ 19.95 per night . room large clean room always past visit hotel . nice find Hotel Las Vegas real furniture space enjoy . pool area immaculate staff accomodate . breakfast buffet busy food good quality variety plentiful . would hesitate recommend terrible everyone last . great Hotel ! ! ! ! 
 Mar 22 2005 	 like quiet ... 	 husband , sixteen year old daughter fly Vegas January 1 - 5 , date January 2 - 5 compe Harrah 's difficult time find room available reasonable price date January 1st . arrive motel approximately 11:45 p.m. , check ( non - smoking ) , decide grab bite eat , everyone rave restaurant - Upon arrival , run bag room clean actually non - smoking - dinner take least 35 minute get seat ( load local ) , daughter wipe flight time change ... ready call night - husband decide play crap daughter go back room shower attempt sleep - say attempt sleep ... noisy attempt - motel back close McCarren Airport , constant plane noise , construction outside window seem like non - stop , drunk room next attempt open door , eventually find , could hear every single word mumble ... could even credit card number thief , easy hear paper thin wall . not short stay motel , would ask money back ... , New Years Day , airfare Orlando dirt cheap teenager us no - brainer find somewhere cheap store luggage try get nod - daughter Vegas past us - week Mandalay Bay another time 3 day Mandalay Bay - agree 's place kid , , friend roam street - way bad Daytona Beach Vegas far ... camera everywhere really add sense security - go play no - frill clean room need , recommend , hope Venetian , Mandalay Bellagio set ..... not book ! staff treat we extremely well way ! husband go back next month 3 night MGM 2 Harrah 's use comp terrible send , extent trip back - hope help . 
 Mar 15 2005 	 oh dear ! 	 good value breakfast oh DEAR certainly get pay for . the walk strip help forget . we tire time get back fortunately not able take total ambience place . 
 Mar 11 2005 	 Awesome Value ! 	 ' ve stay Terribles 3 4 time ' ve go Vegas . one time not stay get marry stay Bellagio . room always clean quiet . buffet OK , equal Old Country Buffet . breakfast buffet harmless . cafe across good great price . never walk strip , walk 5 minute across street Hard Rock take free shuttle . terrible be also directly across street P.F . Chang 's . excellent comp always coupon around . $ 29 $ 39 great value compare money might pay overprice Vegas hotel . 
 Mar 4 2005 	 really terrible 	 call terrible 's terrible stink hallway room . one night find drunk sleeping across hotel door . top , charge extra night not stay . promise investigate , nothing happened not respond subsequent voice mail . would recommend people not like . 
 Feb 28 2005 	 Average Hotel Average Casino 	 bad place spend night . small , nice pool area . non - smoking room actually non - smoking room . 's place avoid . 's 10 minute walk strip really close Hard Rock casino . good eat around . 
 Feb 28 2005 	 Terribles live 's name ! 	 place bad place , ever stay . find someone else purple pantie floor . hotel staff nice believe show . would never stay ! 
 Feb 22 2005 	 ok money ! ! ! 	 ok , bad ! need stay one night enjoy much . food good night place complete chicken dinner $ 4.99 ! ! ! ! get much food 's prepare present nice ! room cool clean . crowded casino good . find Terrible 's gift shop least expensive liqour purchase local liquor store ! buy bottle champagne , tequila , etc . room $ 39 ! ok place really need / want save money gamble shop ! stay Feb 05 . 
 Feb 19 2005 	 ok place car 	 husband stay Terribles 4 night Jan , 05 . book airfare terrible 4 night Dallas 250.00 p.p . really great deal . always rent car . terrible really far away strip walk . notice lot airline personnel stay also . room clean comfortable coffee pot nothing fancy . buffet worst ever experience Las Vegas , even half price buffet coupon leave room . decide eat buffet , make sure get appropiate coupon , different date . notice try use one buffet , different week red head supervisor act though try steal pocket make huge issue . end pay full price . however , recommend cafe directly across buffet . prime rib 9.00 enough 3 people good . staff speak english one act though brow beat begin shift . friendly . choice price range , would stay . 
 Feb 15 2005 	 great value excellent comp 	 get back Feb. 11th 4 day stay Terribles . anything terrible ! ! ! people meet we front door , front desk clerk slot club people , everyone freindly take great care we . join slot club get free hat / t - shirt , 2 free buffet breakfast . also give we magazine include lot 2 - 1 buffet offer . buffet vary plentiful , could go away hungry . hardly pay anything meal . thing say time airport shuttle operational . little disappointing cost we little money plan . far casino go , plenty slot video poker avaiable 1cent 5 dollar . slight complaint table game . blackjack , roullete crap . like play carribbean stud three card poker . Hard Rock right across street satisfied need . final night , go see point could get we , suprise winfall ! ! ! ! get nice suede jacket wife get 3 polo shirt bunch t - shirt . also get free steak dinner last night . wait go back . expect fancy dressing big strip hotel , stay pay 4 time price . want one good value ever find not mind 10 minute walk bus strip . stay TERRIBLES , will not regret . 
 Feb 12 2005 	 not expect much - will o.k . 	 $ 29 / night get $ 29 room , etc . room somewhat dark , airplane traffic quiet . maid service slow . slow room make first day . casino small , cramp , good luck BJ table first night . cafe o.k .. eat around midnight first night , nothing special . free breakfast buffet recieve sign player card worth every penny . main complaint A / c unit old . keep shut . would concern room would comfortable summer . location something take account . 20 minute walk Strip , expect , air temp 55 - 60 degree . walk would tough summer . Hard Rick 5 minute walk . 's place take wife , know be get , 's room Vegas little money . 
 Dec 29 2004 	 Old Style Vegas Value 	 Las Vegas know cheap eat low hotel price design get people Casinos . large hotel food room price pretty high . Terrible 's represent Vegas use . food remarkably cheap pretty good . breakfast especially top notch . recently stay overnight Terrible 's first time . room good . hallway bit worn overall hotel represent great value . one catch stay pretty much need rent car . always rent car Vegas 's fine not 3/4mile detach strip . not real far 's walk really want make . car location actually convienent . 's near Airport Center Strip . even not stay terrible 's , rent car drop breakfast . anyone player card get 2 1 Buffett coupon anytime get 2 Buffett breakfast $ 5 cook order omlette . many local eat regularily . coffee shop also great deal . 
 Dec 15 2004 	 Teriffic food great price 	 Vegas Nov 26th dec 4th , great time , eat Terribles , , total 5 time . food terrific cheap . go back . machine also lot fun . 
 Dec 12 2004 	 Good Hotel location . 	 stay December 2 December 6 2004 . room good size . Room Bathroom clean . great location . $ 8.00 Cab drive Bellagio . food gambling good . regardless stay , not spend much time room anyway , way much see strip surround area . stay future . 
 Nov 15 2004 	 great price ! ! ! bad customer service ! 	 first must say not let name trick . 's terrible ! price worth stay ; room clean ! downfall customer service @ front desk . rather mingle w / each . although , restauraunt waitress / waiter full & quot ; Aloha & quot ; spirit . help we give direction place & amp ; importantly always smile ! 
 Oct 25 2004 	 Terrible 's -- terrible want budget stay ! 	 first time stay Terrible 's . past , always stay Flamingo Stardust strip . pay $ 29 / night Room 1048 . first floor walk away casino floor . non - smoking room nicely detail 2 double bed . everything work room ... complaint ... even deliver crib room upon request ! free shuttle service airport hotel back . Bougainville Restaurant buffet okay ... breakfast well Thursday seafood buffet . Terrible 's magazine locate room , several 2 1 buffet coupon ... use dining . sign slot club get free t - shirt . convenience store inside building also good . two noticeable drawback terrible 's ... ( 1 ) staff little unfriendly ... smile , helpfulness ... nothing . job be . little friendly , would nice , work customer service area maybe attune particular aspect ; ( 2 ) location , location , location . strip ! since budget trip we , not want pay alot cab fare get around walk couple block Hard Rock Hotel & amp ; Casino , ride free shuttle hour strip give driver nice tip time . overall , be look budget accommodation , place . great , clean room little money ... prepare ground transportation hit road . nice hotel will stay know get around . 
 Oct 25 2004 	 's ok 	 pay $ 29 US room complain ? stay last night town , mid - trip trek la.the room fine , bed comfi , room clean , decore ok . bathroom tiny . the pool courtyard nice private . staff ok . pit boss almost heart attack win , could tell want house win . bad , take $ 500 ! casino really crowd SMOKEY . can not stand smoke bother much leave . there coupon room free breakfast buffet end really good . slot club good comp & amp ; coupon book , even ugly t - shirt signing . eat dinner - 1/2 rack rib , salad 3 big side . beer tip come $ 9 ! could not belive cheap price spend day strip . Terrible 's kind place go spend next nothing . would always take strip Terrible 's , especially first time Vegas not awhile . be great 's terrible either . 
 Oct 1 2004 	 good price 	 ' ve visit Vegas several time stay Aladdin , Mandalay , Flamingo Imperial Palace must say Terrible 's great price . room nice clean service great . location convenient nice little workout rooom . remember stay Alladin ask gym told & quot ; Paris & quot ; ! way well Imperial Dumpster ( palace ) way well bang buck Alladin . late night breakfast great housekeeping staff really friendly . ' m go back vegas 2 week will stay sure . guy front desk fast friendly . look forward go back . 
 Sep 16 2004 	 great value great service 	 not let name throw ! sister find not always get pay . actually get far pay . room large , comfortable bed , clean , eye appealing . employee extremely friendly . food fantastic value . one place leave Vegas eat full ( 20 oz ) prime rib dinner $ 7.99 ! go either bar order $ 1- $ 2 item 3 large chicken strip fry , 4 chicken wing fry . Terrible 's right strip , still within walking distance , yo be healthy person . like 1 minute drive strip . stay . price hotel ! 
 Sep 8 2004 	 stay Terrible 's ! 	 stay Terrible 's Hotel early September 2004 . say pleasantly surprised . room comfortable quiet . guest seem bit old , wild party scream child . maid room service friendly helpful . pool/ spa area nice well . price can not beat ! affordable . two cons- airport close , day hear jet take . turn cool tv drown noise . Also- 's 2 mile strip . may far plan walk lot . car- not bad . overall experience Terrible 's good would stay . 
 Aug 28 2004 	 people like clean speak complete sentence . 	 friend go Vegas day get stick overnight due airline problem . look forward extra time tell send Terrible 's , & quot ; new & quot ; hotel nice . front desk nice gentleman check , check rude lazy girl not speak kept & quot ; pointed & quot ; shuttle desk - never even bother look pick room key . one else desk time - be not ' busy mean . at bar , sit play video poker find game counter cover dry food dripping ashe . ask bartender could get clean , handed rag say & quot ; can not keep & quot ; go back duty friend tell 20 minute story fish [ really get tired word & quot ; flounder & quot ; 5 minute ! ] move second bartender much friendly clearly fit hotel 's less - than - low - budget atmosphere . bar 's idea & quot ; sport - bar & quot ; show wrestling - really bad wrestling - even nice bartender could not stop watch thought & quot ; great . & quot ; finally , room , window - type air conditioner leave & quot ; & quot ; check . turn get cool . evening go sleep , awaken every hour hour airconditioner 's extremely loud ' recycling - type ' noise . even pillow head help . bad night 's sleep ' ve long time . ask another guest morning airconditioner thing , say also awaken every hour horrible noise . needless say , would recommend hotel someone like would never see . Aug. 2004 
 Aug 18 2004 	 Decent Hotel Price 	 stay 2 night , $ 26 night . room newer nicely furnish . nonsmoke room , still smell like smoke , whole complex . while right strip , quick 5 minute drive Flamingo ramp put right strip . Join Players Club get lot freebie ( buffet gas ) half price meal . would stay -- price location work great . 
 Aug 18 2004 	 enjoy Terrible 's hotel 	 stay Terrible 's three night August . room average $ 60 per night . thing matter : good towel , nice water pressure shower , cleanliness , great uncrowded pool / jacuzzi . ask quiet room get . lot less noise crowd stay Strip . short walk Hard Rock Cafe . friendly staff . good food good value cafe . 's fancy , be nice . 
 Jul 11 2004 	 Pool Great Rooms Great 	 stay terrible 3 night begin July 2004 . check room want take shower .... start shower first hot water ... second shower not work ... mold ceiling hole wall bathroom . speak front desk offer move we different room ... child already bed asleep , wait next morning . second room much well much happy .... pool hot tub great ..... quiet secluded , look quiet qetaway , stay thursday night .... player club pool party ! ! ! loud music , people scream ... place entire hotel get away noise casino way kinda small , go casino get away noise pool party pretty much hopeless . location kind disappointing ... accord hotel staff room book ... hotel suppose block two strip ... true ... actually five minute drive car strip . happy hotel .... well time last time stay Circus Circus . 
 Jul 10 2004 	 shabby 	 read review prior arrive Terrible 's back June . little disturbed lack security provide enter pool area room . seem security inside casino . surprised wonderful decor inside room . neat . breakfast buffet reasonably price . must say not like fact go way 24 hour store get ice ice machine strategically place throughout floor . casino staff friendly . one guard kind enough help 4 heavy bucket full dollar chip cashier . wonder go get cashier . always address name make feel welcome time . would stay ? betcha . 
 Jun 30 2004 	 cosy comfortable bargain 	 stay terrible 3 night october 2003 . hotel little old clean comfortable . food tasty reasonable price . use coupon book deal . many small coin slot ball playing . problem recommend hotel . 20 minute walk strip catch bus across street . 
 Jun 5 2004 	 Pleasant Surprise ! 	 kick - out house three - day due termite fumigation . live SoCal kneejerk reaction GO VEGAS ! choose Terrible 's basically novelty idea . could not get $ 29 mid - week rate charge $ 59 . big deal . you get pay . saw seem $ 29 room first floor . appear & quot ; average & quot ; . room second floor look brand new rather large . spend much time Vegas hotel room anyway ? initially , room not remote control TV . call front desk time get back quick tour casino , RC deliver room . not great location block east Strip , advantage somewhat less traffic . major casino within quick walk Hard Rock . I doubt would ever stay , fun one night . 
 May 29 2004 	 Loved Pool ! ! ! 	 Hubby spend 5 night Terrible 's last week wonderful time . poolside ( garden view ) room first floor . handicap smoking , smell smoke many smoking room . plenty room comfy bed . wish pillow fluffier .... sigh . spend day Pool Hubby hit Poker room . nice pool , crowede plenty chair , sunny shady spot . big draw back pool mention another review , close 6 pm.like another reviewer , need iron board twice trip deliver minute . not try buffet , cafe decent food extremely affordable . Midwest , trouble get 7 Graveyard Specials . good pancake , ok french Toast , everything else good . local seem like cafe fun list casino employee casino talk & quot ; day & quot ; eat breakfast morning . the room clean furnish worn . like fact strip . away Casino area , peaceful , idea action go block away . money save room , rent car take day trip Sunday . ( Mt . Charleston .... waste time IMHO . ) many point Player 's card , use put gas rental Terrible 's Herbst Chevron Stations , seem everywhere ! play Casino , lot penny , nickle quarter slot . short $ 1 . basic table game frequent local . could not get near cashier Friday evening , cash paycheck win car promotion . time feel crowded local folk . I rack point Player 's card , see kind deal get next trip , yes stay terrible 's . 
 may 20 2004 	 great place play stay 	 stayed 9 - 12 May handicap room . easy move room bath even room coffee $ 19.95 night room rate compe . breakfast buffet 2 1 coupon $ 5.31 tax . even cafe well 18 oz t - bone $ 6.95 . jack well 9 - 6 4000 pay poker machine . back . 
 May 20 2004 	 quite terrible almost 	 price , hotel okay , next time would pay money well location , nice room , well food . bell service rude , shuttle late show . front desk always busy . 
 Apr 22 2004 	 great value 	 great value @ $ 27 per night . helpful staff , great food price , Bingo hotel , fun table game , relaxed atmosphere . ask room courtyard view . nice pool area . 
 Apr 15 2004 	 terrible real find 	 stay terrible one night April , 2004 love . receive great rate $ 29 Sunday night , find staff great . hotel room nice come first coffee maker clock hotel stay Vegas . room overlook pool courtyard . generous player club member offer many 2 1 's restaurant buffet . although 1 mile strip Flamingo , plesant experience . 
 Apr 9 2004 	 Terribles - a good deal ! 	 stay Terribles March , 2004 . good : cheap room rate , generous comp , nice pool area , low table limit , nice affordable restaurant . bad : hard get cab ( walk 2 block Hard Rock get cab ) . overview : go Vegas every 10 year want pamper , go terrible . Vegas veteran , like gamble , want nice affordable room , terrible place . expect standard & quot ; Red Roof Inn & quot ; type room ; MGM folk , can not argue room rate ! staff kiss -- - like would Bellagio , nice accomodiating . win million dollar jackpot , return terrible . 
 Apr 1 2004 	 average price 	 look decent place sleep Vegas suit we fine . not really gamble casino can not say whole lot . sure smell like smoke . room pretty quiet big . plenty space . end need iron call maid service bring room less 5 minute . man front desk fast friendly . satisfied far quality compare price . bad thing pool / hot tub situation . look like awesome pool never get use close 6 pm . little disappointed hope relax hot tub walk around day already close . 
 Apr 1 2004 	 love 	 Terrible 's absolutely good place stay Las Vegas . location convenient strip , within walking distance . staff extremely friendly helpful . food excellent price low . room spacious clean . outside garden wonderful relaxing , nice pool jacuzzi . definitely would return Terrible 's , . 
 Mar 29 2004 	 love 	 first time Vegas , disappointed buddy book room . boy amazed get . casino nice sized , cheap good food , easy access , good player 's club casino go . pay one night room within 1 hour play blackjack . two different way . look forward go back next time . 
 Mar 22 2004 	 value ! 	 stay twice , already book next stay ! woman sometimes travel alone , can not beat place ! Valet always friendly helpful , feel comfortable - small place , easy room access . one good feature convenience store locate casino floor - everything shirt drink , reasonable pricing . this mainly local joint , room generally reasonable - , will say - be usually cheap ! ! ! stay almost week Dec. 2003 $ 9.95 night ! check website - buy one night , get one free - really cheap rate usually available plan advance ; generous slot club let even low roller like take home merchandise , get free meal , etc . ; one recent deal offer room night quite low point . do not eat buffet except breakfast , make sure coupon - 2 - 1 , also honor half price people dine alone ; price ( $ 2.50 per tax pp ) can not lose - make order omelet hightlight . their restaurant , Bouganvillea cafe , another matter - good basic food , great price - check lunch special late night / earling morning one . feature chinese food special lunch , new mexican section menu . coupon readily available online monthly newsletter ( always stock get - get online ) . even put coupon room select reduce cafe price special . try house wine - pretty decent , definitely inexpensive . as casino , little crowded noisy - will find good odd 25 cent video poker , small sportsbook , even bingo room - table min . start $ 5 , ton slot cram space . casino also seem smoky time . the room basic clean - room water damage . recommend third floor avoid noise room . problem neighbor last visit , find security prompt efficient . they free fitness center register guest , include full bathroom , well computer station pc web acess . if not care right strip ( hotel / casino Flamingo Paradise ) , want cheap , basic room , may place ! always catch Flamingo bus outside cheap ride strip , terrible free hotel shuttle to / from McCarran airport . 
 Mar 15 2004 	 good Enough 	 stay March 12 - 14th . read review go . check fine - find person friendly - get three room right next . casino not much write home 's small . room modest ' ve stay bad . two queen one lumpy bed ' ve ever see . bathroom hole wall . bad - least not smell funny . pay cheap rate Lodging.com suggest not pay $ 74 night stay . decide factor opinion - hotel right next fire station hospital . night hear siren . exhausted enough 's big deal light sleeper - miserable . wall paper thin hear neighbor not tv . location not bad car close great restaurant know work side street - get around town quick stuck strip . basically get pay . 
