nice 	 hotel nice spend much time , chop room , double bed barely fit room , standard not bath small shower , bathroom tiny , unless pay suite , would not u would stay 4 star hotel , u will not wireless room , iron board , aircon ( hotel hot ) buy eye drop nose bleed hot night . rest hotel nice would recommend stay room awful try make much money possible we make room small get u get nothing , u even pay use hotel pool ! ? . 
 Excellent Location Noisy though . 	 Partner Stayed hotel 24th November 1 night see Lion King . arrive early get hotel go midday hotel staff could still check we although read normal check not 2.30pm . bonus ! Conceirge happy hold bag not possible though do not keep we . room 1st floor front hotel bit quieter other still noisy enough partner find hard get sleep . bed uncomfortable also do not help . extremely hard ! bathroom tiny ! excellent location tube 2 minute walk road Oxford street next street , perfect Christmas shopping explore London . would stay location 1 night ! 
 definitely will not go back 	 stay hotel 2 night , never go back . price cheap , read review still try b / c think London 's hotel like , small expensive . goodness , sleep one night , leg red dot , see nanny work hotel , therefore room clean . not feel comfortable hotel even though location great . receptionist lobby trainee , think tired job , can not hear say , talk nose . look sleepy . busy hotel , check , elevator working , end need walk ground floor , outdated hotel . walk distance British Museum . 
 Excellent - go suite include fab breakfast . great location comfortable room 	 thoroughly enjoy stay , seasoned traveller know like . excellent location theatre , good restaurant Oxford Street . good transport link , bus straight Victoria , Tottenham Court Road tube round corner . British Museum round corner . staff friendly helpful . choose top range suite excellent include luxury breakfast real term pay £ 149 ( £ 169 minus 2 x £ 10 breakfast ) air condition 7th floor noise . worth every penny . hotel full busy everyone keep smile ( except barmaid 11.00 night obviously long day ! ) concierge desk excellent help use London . plan make base next trip . 
 Nov 24 2007 	 not go 	 bad hotel stay . business trip hotel use last resort National Travel week hotel fully book . glad not pay . nothing right . hotel shabby certainly chic . smile Reception Staff , Bill incorrect . service poor chinese restaurant attach hotel problem bill . like breakfast equivalent transport cafe / greasy spoon love place . thing hotel go location 50 Oxford Street . 
 Nov 23 2007 	 Basic hotel . good location good restaurant 	 ' ve stay time . fairly basic hotel , reasonable uninspire room . check - in bit chaotic last time : initially allocate room already occupy . breakfast not bad cafeteria feel . eat italian restaurant ( also Chinese / malaysian one ) , excellent value central London generous portion . hotel also well situate Oxford Street West End . want something bit classier , try Jury 's next street ! 
 Nov 21 2007 	 Perfect Location central london 	 ' ve recently stay hotel 14th November say excellent location get around central london . room compact plenty storage space , room also spotlessly clean . did'nt find breakfast great , would recommend go nearbuy cafe ( plenty ) . eat restaurant night stay not hve time find nice restaurant , say food good dinner . conceirge staff excellent , problem hold bag we next day shop etc . also excellent location tube station ( Tottenham Court Road ) , 3/4 min walk . would definetly stay ...... 
 Nov 19 2007 	 St Giles London 	 return 3 night hotel , worried hotel reading review upgrade room executive room £ 25.00 extra night well worth . room clean , need i.e . bath , Plasma tv , etc . staff hotel helpful information direction . tube 3mins walk away . one thing notice amount people wait breakfast go cafe road cheap & amp ; cheerful . return London next year stay . bar downstairs nice atmosphere great place meet . location great . 
 Nov 18 2007 	 Staying St Giles Hotel London 	 ' ve stay 3 year run , be clean , compact reasonably price . can not get close centre London , be walk pace major shopping sight minute Tottenham Court Road tube station . room bite small side , 's base sleeping , shower , shaving , etc . room clean plenty storage , noisy night time window open . breakfast fairly good , queue get seat , well 2 get table one go food whilst wait . I ' m certainly plan 2008 stay place . 
 Nov 17 2007 	 basic travelodge yet nice 	 stay single night London business . usual hotel book , St Giles available option . check - in reasonably quick - arrive japanese coach party would slow thing . desk staff , however , interested conversation inform hotel facility . hindsight , probably not many ! room 11th floor ( 1130 ) twin , average size . bathroom small ; shower powered . overall room rather date tired feeling . match hotel general . would prefer stay Travelodge , least know expect ! ask office book hotel ! 
 Nov 12 2007 	 Guite ok ! 	 St. Giles great location ! room tiny clean . , would say good value money . hidious hotel London .... would definetly stay hotel . although would not waste money breakfast anymore . breakfast area far small huge line . , end breakfast somewhere else . 
 Nov 12 2007 	 small room great location ! 	 stay two night , 7th & amp ; 8th November . book Superbreak include dirty Dancing Aldwych . room St Giles small , everything need , tea coffee make facility , hair dryer , satellite tv room clean smell fresh . shower though size . towell change daily . room much good think would trip time . location however , perfect , Tottenham Court Road Tube station two min walk mean catch tube anywhere minute . hotel 11 floor , obvioulsy hundred room mean lot hotel guest mean breakfast like conveyor belt . first morning , go breakfast 9ish thinking may calm , long queue food sit table whilst husband went get could save seat take . second morning though , leave 9.30am lot quieter . food good staff pleasant helpful . hotel bar nice friendly feel well , would definately go . 
 Nov 10 2007 	 great location 	 stay st gile hotel .very nice hotel.breakfast good.we eat 8 am , not busy 8.30 queue , s.check problem.room small sleeping cause busy shopping sight seeing.fresh towel every day clean room daily.stocke tea / coffee daily.checkout good flight , not till 6 pm keep lugage £ 2.would recomend hotel.we would go back.walke distance theatre , shops.we use hop hop bus find good east use . 
 Nov 8 2007 	 basic excellent location . 	 location brilliant ... one end oxford st.right beside underground station.very handy travel around london underground.the room small basic.the reception quite comfortable modern.the room meet reception standards.the bar quite modern generally busy.the breakfast average.very large crowd gather breakfast.there casino right next door hotel.this hotel brilliant location downside size room average breakfast . 
 Nov 4 2007 	 simple Clean 	 Pleasant staff . good location . small room clean everything need short break . would use location , price decent breakfast . 
 Nov 4 2007 	 fantastic stay 	 reading review stay bit worried find hotel excellent location check staff friendly room clean & amp ; tidy thing would say italian restaurant price exciting meal staff concern clearing table ready breakfast take money . would stay & amp ; recommend friend use restaurant 
 Nov 3 2007 	 great shopping ! 	 stay St Giles Hotel four night look somewhere central shopping theatre . room quite small clean short stay perfectly acceptable . situate close Oxford Street ideal drop shopping bag etc . staff friendly stay room can not comment food . bar appear quite lively evening would definitely recommend location . 
 Oct 28 2007 	 Fab Location Fab Hotel ! 	 stay St Giles 1 night , 7 friend see matinee performance Dirty Dancing . find hotel clean , easy check in / out process staff pleasant helpful . hotel perfectly locate shopping Oxford Street close theatre . room small well equip tea , coffee etc . bathroom also quite small bath shower , other party shower cubicle . breakfast fab would definitely recommend go 9 am queue long . also , breakfast / check time wait quite lift . would definitely return hotel next theatre trip London . 
 Oct 27 2007 	 great location - full stop 	 much say St. Giles beyond great location London ( central near tube stop ) price quite reasonable . do not stay great london hotel experience room quite small , tv selection limit , breakfast bland beyond belief ( run Starbucks coffee muffin ) , internet connection room still dial - up , grow old waiting elevator . - want something centrally locate affordable do not hesitate stay St. Giles . 
 Oct 26 2007 	 Fantastic 	 stay 3 night October . hotel fantastic , clean friendly . staff helpful nothing much trouble . breakfast excellent plenty everything . location brilliant , walk distance place . pleasure start finish would definitely stay London . 
 Oct 26 2007 	 Fab Location Rock ! 	 return night stay hotel . location Dominion Theatre Tottenham Court Road tube station score 5/5 literally next door ! room small side , bathroom , not go London sit room day , ? ! areas hotel perfectly clean , staff friendly helpful . check efficient , consider many bedroom hotel , quiet . for hotel charge compare other area represent extremely good value money London . 
 Oct 26 2007 	 clean - room small 	 Stayed St Giles 2 night Oct . find room really small Claustrophobic . location brilliant breakfast good . aware -It take 30 min queue pay swimming pool ticket . think hotel 's pool gym rather affiliate public one .... main complaint smell quilt . Friday night go pull quilt cover get awful smell BO . phone reception follow morning ask replace . return room follow night , room look lovely tidy extra blanket bed , quilt cover sheet ( never replace ) . smell bad manager step back smell . actually put little mark inside quilt cover would know replace quilt spray freshener . toilet paper also sarce , would want indian night ! ! ! 
 Oct 21 2007 	 Fantastic ! ! 	 arrive enter hotel clean lavish reseption area . check smooth fast four lift room . room clean bright tv kettle tea , milk etc . situate across road tube station round corner Oxford street , could not ask well location . room front hotel view Big Ben distance . already look go back next time ' m London would definetley recommend . 
 Oct 21 2007 	 location location location ! 	 stay 4 day see Terracotta warrior exhibition British Museum . ideally place less 5 minute hotel museum . walk distance theatre shop . excellent value money consider proximity attraction . hotel clean welcoming . staff efficient polite . breakfast room busy time , surely good indication food offer ? intend tostay next visit . 
 Oct 19 2007 	 brilliant hotel 	 stay st gile sept 3rd 4th 2007 . party 15 lady half visually impaired . fault hotel location , helpful staff , excellent breakfast good room . London last three year theatre visit good hotel . would recommend anyone . 
 Oct 15 2007 	 Great Location 	 back 2 night stay St. Giles . Hotel Location fantastic , around corner Oxford Street . arrive 11 am tell room ready great . booked triple room - small double bed single bed wardrobe pull . room bathroom quite small 3 adult share honestly room long . breakfast morning lovely . load choice . fruit , hot food , cereal etc . drink lazy dog pub price quite reasonable . Looked menu never order food . smellt good . staff friendly nothing seem like hassle . go see dirty Dancing show would really reccomend . good night London . would definitly hesitation recommend St. Giles due stay November . 
 Oct 10 2007 	 bad service great location 	 stay St Giles Hotel July viste London two day go musical . upon check - in staff unhelpful , could not find reservation whole scenario take around one hour sort upon rush make meal show night . thing happen , make view know huge hotel good location , not expect great customer service worth need area . time shop hour next morning check proximity . also brother stay warn room small , book renovate Executive room not big ( average size standard room opinion maybe London different ) would recommend book claustrophic can not imagine standard room like ! 
 Sep 30 2007 	 highly recommend 	 choose hotel search internet . turn excellent location , close tube , easy get . staff helpful . room small air conditioning , supply fan . keep fan time even , get hot sleep . would stay location friendly staff . 
 Sep 29 2007 	 great location ! ! 	 not know people fussy room size , european hotel small room , get use ! ! want stay room anyway . hotel great , ' ve stay 3 time would recommend anyone , walk everywhere , go show come back late night without problem not need breakfast hotel nice place near eat . book internet find good offer , stay 5 night pay 453 GBP twin room . , definitely recommend will stay next trip London . 
 Sep 29 2007 	 Broom cupboard size room ! 	 fool plush lobby ! walk away reception , carpet , wall furniture get bad ... stay poky corner room could imagine ( room 185 ) . right next generator type noise like Boeing 747 . bed double - double would not fit - bathroom tiny tv top unit , would get neck ache watch ! ok , location good , room claustrophobic . 
 Sep 28 2007 	 small room 	 husband stay 3 night . centrally locate covent garden , Oxford Street , British Museum . room small shower . long day explore London need soak foot . staff friendly could not enough . large hotel queue alot . otherwise enjoy stay . 
 Sep 27 2007 	 exellent hotell small room 	 St Giles Hotel London know Europe 's Largest Independent Hotel within 's category . situate Oxford Street , 1 minute walk Tottenham Court Tube close Euston Station , easy access Waterloo International , king Cross , Victoria Liverpool Street Stations . 
 Sep 26 2007 	 Central Hotel - good location 	 Hotel central London show Tube station far away give easy access London ... Plenty Taxis park outside Hotel busy location . we put hotel company actually pay stay , rate reasonable £ 124 Bed / breakfast . reception area spacious clean also nice feel rather grand enterance . rate hotel 3 star , room agree review tiny adequate clean - air conditioning shower head see well day room first floor - clean bed / bedding . fridge could do with . lift nightmare big enough lot wait around - not neogotiate stairs hike locate first floor ................ mean lot stair . breakfast well ............... like dry bacon fry egg scramble mess .......... stick ham / cheese / fruit will not go wrong believe tea / coffee fine . 8.30am weekend wait leat 3/4 hour table gawd basic .. good breakfast bar around corner information . this hotel 3 star provide need traveller , 1/2 night stay maximum small room could live plus side centrally locate good tube service . advice eat , part fun anyway . staff friendly go way help - late checkout Sunday 6 pm extra £ 15 - think fantastic give bit time London without trail bag around . there use lesiure complex good go swim help take extra pound eat .... hotel good value price pay eat otherwise enjoy stay ................ super Hotel Great Russell Street knock spot one location information Jurys Doyle Hotel Chain paying would stay ................... 
 Sep 24 2007 	 fantastic location 	 arguably central hotel London . stay long weekend corner Tottenham Court Road Oxford Street . next Leicester Square Theatres . bed breakfast basis breakfast 7.30am 11 am . every thing could image offer . full English , Continental , fruit , bun etc . room small compact tv ensuite . complaint would recommend anyone . 
 Sep 23 2007 	 bad Hotel ever ! 	 judge St Giles Hotel website , would forgive think quite nice place stay . positive say place location ... nothing else . encounter problem immediately arrival . reception queue never - end , three previous night 's guest argue front - desk attendent discrepancy bill . finally get desk , record booking , even though internet confirmation we ! eventually sort , make way room - , queue lift incredible , frustration among fellow guest pretty high . however , prepared forget problem see room . shamble ! could hardly get door , tiny . room horrible - carpet dirty stain , bathroom smell damp mold grouting . heat stifle even though window open ( close night loud outside ) . relief little electric fan - air con . friend also problem , also put couple argue loudly next door , noisy sex night ! ask could book one film show , tell room not enable pay - per - view , even though menu sit top TV . could go ... many thing three day nickname place ' faulty tower ' , begin laugh everything instead moan . never - next trip London thoroughly plan involve St Giles . beware ! 
 Sep 20 2007 	 great location 	 great location - 25 meter Oxford Street Tottenham Court Road Tube - station + Sainsbury 's ( food & amp ; liquor ) , Burger King , Virgin Megastore . a huge hotel impersonal service ( 1 tiny window room ) - not mind that . the room nice , small ! ! ! double room two people - call single room . aware ! two people double room two suitcase ? forget ! ! ! 's clean , w / TV , hairdryer ice vendingmachine ground floor swimmingpool / workout - center baysment ( small fee ) . price right - stay . 
 Sep 19 2007 	 Appalling ! ! ! ! ! 	 colleague stay St. Giles last night whilst business London . expectation particularly high often stay London room often small average , however nothing prepare we size general standard room give St. Giles . I rack brain sure lifetime must stayed bad accommodation ; far yet recall anywhere ... guess may still come ! bathroom , although convenient wish shower , use loo wash hand simultaneously , smallest ever see , would warn generously proportion guest consider use shower peril fear make , may make without sufficient lather ! ! ! ! decor tired generally grimy risk peak mattress case keep awake ; viwe spare one corridor next morning , ' m glad not otherwise would never slept . I twice ask blanket bed sheet top cover ; regrettably fail materialise slepy coat top bedspread . my colleague report TV ( small portable circa 1986 ) work promise repair ; luck tv ! communal area the1st floor also fairly grim , although reception lull false sense security area perfectly acceptable . the positive take experience chap desk pleasant ! 
 Sep 3 2007 	 great location reasonably price ! 	 third time stay st . giles hotel , great location discover london . hotel right top oxford street , 100 m tottenham court road tube station , central northern line , take many tourist attration . hotel clean , room quite small . hotel nice bar , concierge keep bag checkout £ 1 per bag departure . small sainsburys supermarket across road , anything extra might need . st giles great breakfast include price room , buffet english continental breakfast . downside hotel view window , sometimes noisy outside , main road , make difficult sleep . overall , would definitly recommend st gile anyone visit london , especially newcomer city , centrally locate . 
 Aug 31 2007 	 good hotel great location 	 St Giles hotel situate excellent location Tottenham Court Road . close main shopping district London ( Oxford Street ) see Tottenham Court Road Underground station stair . the room quite small clean , bathroom adequate clean too . there noise guest outside hotel . breakfast excellent , get wide choice tin fruit hot breakfast well . I would reccommend Hotel St Giles definitely stay next trip London . 
 Aug 30 2007 	 Perfect location 	 stay St Giles couple night see two west end show , one ' we rock ' , find good value money , perferct location , dominion theatre stone throw away hotel ( good show ' ve see , way ) . hotel probably 2/2.5 star rating 3 , though £ 70 night include decent breakfast , could not really complain . would warn people , however , noise outside road / people / building work pretty loud finally good summer weather , room warm AC . suffer heat night noisy outside leave window open , not expect peaceful night sleep . overall enjoy short break , love 2 show , hotel certainly not spoil experience , not expect much . 
 Aug 30 2007 	 please 	 great location - right near Oxford Street shop close theatre . also 2 min walk Tottenham Court Tube Station get anywhere really easily . room - ok be small everything need clean . plenty tea / coffee make thing . bathroom nice . breakfast - serve 10.30 great want bit lie - great selection . advise wait till 9 cause apparently really busy people go work . friendly check lovely conceirge man let we leave case ( securely ) long need . we pay £ 70 double - cheap city centre London everything need - would stay . 
 Aug 30 2007 	 pleasant staff 	 book single online breakfast include . give nice room albeit small everything work fine clean . find staff excellent ; e.g . desk clerk , concierge cleaning staff . arrive , lady charge cleaning visit make sure everything ok . later return friend also book single . room even large mine could not get safe room work . hotel respond quickly fix problem . hotel mainly european client . 6 elevator 700 room wait time elevator minute . year breakfast find unappetizing 's huge Saintsbury 's across road also nice internet store . location fantastic block Tottenham Court Rd underground . walk distance Covent Garden , Chinatown , bookstore , theatre district . one item would like would small refrigerator , iron board fan include . night cool air cond unnecessary anyway . street repair do late night noise factor hotel 's fault . able get suitcase little elevator run concierge reach desk clerk lobby anyone can not climb stair use also . 
 Aug 29 2007 	 Great Location 	 third time stay here . I choose location hotel great value money . totenham Court tube station two minute away . you within walk distacne soho , restaurant , theatre shop . Perfect want see Rock , be almost next door . the hotel room need refurbishment place , expect get luxury . room small clean . the main area nice clean . try chinese restaurant hotel find good . move breakfast area since last visit not like much . busy small . however food hot plentiful . for £ 80 per night central London , good value great base go walk about . if want luxury , pay go somewhere else . 
 Aug 25 2007 	 well expected 	 stay hotel friend three night last week . planning trip see Grease Picadilly Theatre hotel list near theatre . read reviews site say worried hotel wouold like . say need worried . arrive , check - in speedy room within ten minute . stay deluxe twin room , small yet spotless . staff extremely friendly everything could help we make stay enjoyable . breakfast lovely could much want variety food . dinner hotel restaraunt last night stay delicious reasonably price . even though near road room quiet trouble sleep . would definitely recommend hotel anyone want central base near amenity . 
 Aug 19 2007 	 Phew 	 give weekend London gift include stay hotel . day leave look site find many critical comment concern . the booking - in key system seem defeat receptionist take long time - end tell room Tower - West Tower . our room large hotel . everything clean - welcome tray , sheet , ledge , carpet , shelf , bathroom freebie towel . complaint standard . concierge staff , ( cheerfully deliver extra milk room late night ) dining room bar staff receptionist friendly exceedingly helpful . noise - noise irritated outside building settle closing window ! breakfast - excellent quality quantity . table clean clear clean friendly professional way . would hesitation stay accept every establishment day experience one satisfaction St Giles 
 Aug 17 2007 	 Ideal Location 	 stay hotel 2 couple weekend trip August . upon arrival service reception speedy room within 10 minute although like maze corridor door . the room clean big enough weekend would not like think spending week there . the bathroom small clean . if think go hotel end throw window do not bother can not even get head gap ! ! LOL ! ! lack air - conditioning , trust we go weekend sun come 2007 absolutely red hot hotel . fan supply suppose well nothing . breakfast ! ! chaos try get food , badly organise , everyone mill like ant everything everywhere . food ok . tip try wait till 9 queue door . ideal location Chinatown , Soho , Covent Garden Theatres Shops ! ! would use hotel locationstuart little make appearance staff do not seem bothered see near lift come back 1st night . 
 Aug 14 2007 	 dreadful ! ! ! ! ! ! 	 reception unhelpful arrival , room small , basic need decorate . breakfast time chaotic food poor quality cold ! even though complain time little interest attempt resolve issue . return write letter complaint response problem issue . this hotel embarrassment british hotel trade . 
 Aug 14 2007 	 Hostel - like accommodation Hotel price 	 bad place stay ... long know be go get . location Northern tip Soho , downtown - central 1 minute close underground station ( Tottenham Court ) .The service fine , hotel lobby actually quite clean nice . the room , however , extremely , extremely small , non air - condition - would expect base appearance lobby . although room appear clean , furnishing old . good way describe would old college dormroom , typical average hostel room . carpet old stain . bathroom generally clean , clean freak will not want step barefoot floor leave toiletry sink . sheet , although appear clean , dry colored stain ( not ask ) . one would not want sleep without pajama bed . all say , fine dorm - type accommodation , location high priority , place probably meet expectation manage get good price ( book mine otel.com ) . want level luxury might associate mid - range hotel , would choose place . post picture soon . 
 Aug 8 2007 	 Great Hotel Location 	 really amaze people slate Hotel , wife along another couple stop two night , reception / lobby spotlessley clean check within 10mins , upto room adequate need , end day live sleep , clean well present . bathroom also well present shower real treat hard day shopping wife ! ! breakfast area well present , could slightly big little cramp seem like whole guest decide eat time . look good Hotel probably good location London anything everything wish visit , one . extremely close Tube , theatre approx 10minute away , shopper Oxford street 5 Minutes aghhh still blister prove ! ! 
 Aug 7 2007 	 great base average hotel .... 	 hello . stay three day suite ( believe extra room fit sofa ) cost £ 300 . price bad London great location hotel . go day break find hotel ok . grand stretch imagination serve purpose great base London . can not comment food always room clean provide ironing room . also vend machine around floor great help . one thing comment smell corridor , vile bit like open sewer certain part corridor . also watch hole corridor floor , be not dangerous could feel carpet support weight , feel like service duct cover remove replace ! think St Giles could better money still great base , Thanks 
 Aug 1 2007 	 suana include A / C also much english 	 hotel web site rip offI pay $ 150 USDmy friend thru travel agent $ 89not worth $ 50 
 Jul 30 2007 	 Staff not clue ! 	 check front desk staff tell not room book name ! already pay ring friend also stay ( hen weekend ) tell room 136 key put aside name . finally get correct room key , go upstairs , get show couple walk room ! imagine horror fact completely naked hotel double booked room walk key card ! not know embarrase ! end ring manager explain computer fault . spend half hour try work happen room suppose in . I stay room double , warm , use fan . bathroom small would not say clean . hair leave sink plughole not work well . location near tottenham court road central , road busy take ear plug ! 
 Jul 29 2007 	 's okay spend money fun stay ! 	 not put review . room spacious capital city smack bang action ! ! fantatstic gym swimming pool underneath hotel , room clean well keep . tv reception awful , plan base explore London get head night place . food ok . 
 Jul 21 2007 	 cupboard like room . 	 excellent location , west end , shopping sightseeing . room incredibly small bathroom miniscule . room situate East wing , suspect directly kitchen , noise smell extractor horrendous ; air conditioning leave we choice sleep heat suffocation keep awake noise cooking fume . breakfast plentiful particularly good . good choice , would definitely stay . 
 Jul 13 2007 	 Perfect location 	 return stay St Giles . can not understand bad review . great hotel right heart London . staff friendly helpful . single room small twin /double room fine . clean , tea , coffee , hairdryer free room safe . little noisy need keep window open . room warm summer ask fan . breakfast great , usual fruit , ham cheese , cereal + bacon egg etc . swimming pool gym also available £ 4 per stay . would definitely stay step shop attraction . great value city centre . 
 Jul 9 2007 	 Nice hotel great location 	 choose hotel base recomandtion colleague disappionte . room clean nice small mention . fairly cheap London standard , good thing location . everything within walking distance . stay London 4 day take taxi subway . 
 Jul 3 2007 	 Great Location 	 read many review hotel , fair say bit apprehensive prior travel . firstly , location hotel excellent . staff friendly , helpful . impressed choice breakfast , good selection either continental breakfast full English . nice . ok room bite small everything clean , shower excellent clean . bar staff good . open till 1 am Sunday good . to hotel everything would require night two London . would definately visit hotel . 
 Jun 26 2007 	 great 	 Hotel fair dissapointment , room tiny bathroom seem clean staff need teach smile . luckily though hotel great location reason may consider stay . 
 Jun 26 2007 	 ok 2 - 3 night 	 room ( single ) small . the bed seem clean bathroom too . the breakfast limit option , anyone could survive 3 - 4 day . my room 6 - th floor friday night noise terrible , could not sleep . the employee nice helpful ask . it ok 3 night , will come back , will choose another hotel . 
 Jun 15 2007 	 suprisingly good hotel reasonable rate 	 travel lot work around world , always disapointe London hotels comparison rest world . be work trip , try keep reasonable budget , £ 95 , be not expect great deal St Giles hotel . point enter reception pleasant enough really busy make feel like go get tired old room service come expect reasonable price hotel London . once room though , really pleasantly suprise . ( although tiny - expect London ) clean really modernly furnish . plasma screen wall , really nice touch make seem nice average budget hotel - nice water glass etc free bottled water room . the bathroom modern immaculately clean . great hotel location , Tottenham Court road , relatively quiet throughout night . , really excellent attempt budget London hotel think would great business leisure long ; plan spending lot time room . 
 Jun 14 2007 	 ok 	 read previous review worry ! find Hotel good general standard maintenance poor area . the room compact find ok . comment breakfast put go coffee shop around corner . price pay area London think hotel ok staying . 
 Jun 11 2007 	 really good stay 	 read couple review must admit expect bad read room lift . I stay London 3 night . check hotel quickly wait long lift . room 6th floor wait 2 min whole time there . I stay big room , London ( leisure ) guess planning stay room long . bathroom small adequate room clean . find bed comfy ( could do one pillow maybe ) . yes , noisy , expect - Oxford Street middle London , long day sightseeing show tired notice . we breakfast one morning . everything would expect nothing wrong food . set rather like canteen would criticism . I find staff helpful , concierge tell we everything ask , stand street us hail taxi come we leave . the hotel right next Tottenham Court Road Tube 3 stop Euston get easy . one stop Leicester Square easy walk distance anywhere . location make whole stay bit enjoyable . for price locatation would absolutly reccommend hotel anyone leisure break city . 
 Jun 11 2007 	 great location crap service 	 stay total three time . yes location great noisey . get also west end blind room not keep light . room small centrally locate . the last time book mini suite firstly could find booking . get room work do floor we tell we . drill unbeleivable . rang complain ask move see problem eventually next day move . customer service appal ask deduction move back ordinary room . return hotel . 
 Jun 11 2007 	 terrible hotel - bed BUGS ! ! 	 hotel busy seem spend money upgrading . room small comfortable . one party badly bite back bed bug turn stomach stay there . there many well hotel London surely need stay old , cramp dirty place . 
 Jun 7 2007 	 Appaling Customer Service - will not return 	 hotel really eptimise shocking customer service . book pay line wait 20 minute check member staff could find we . tell 6th floor , time breafast anything . quee lift space find room ( small would complimentary ) although room clean tidy shame could say bathroom . tv program correctly many channel coudl watch . repeatedly try book film calling manager complain tell credit card secure room thus allow watch - wernt ask card check ! ! 2 night stay St Giles probably 2 bad night life , rock hard bed , pancake pillow much noise window open joke . do not london hotels air conditioning ? do not even bother brekfast decide use high street something decent . reception - useless conceirge waste time . Duty Managers could not bother help wallet steal GM do not even return call complain . steer clear use Jurys Inn round corner good advice . 
 Jun 4 2007 	 Fine Hotel Us ! 	 ' m sure people expect London completely satisfied hotel 89 pound include breakfast . location perfect close tube walking distance many sight . yes , room small come Rome stay much small room . want big room bell whistle , prepared pay double rate . room clean breakfast perfect family . use pool next door YMCA kid great time . save pound food / drink London 's big buck seem fly wallet ! 
 May 26 2007 	 Smallest room ever ! ! 	 location hotel attract , indeed centre London . Oxford Street across road minute walk theatre land . the side room tiny , hot particularly clean . room place suitcase tiny , tiny wardrobe space . we town shopping see show time spend room minimal probably adequate two night stay - would like stay long . the Breakfast bit survival fit chaotic give volume produce acceptable . the good place hotel either bar , great atmosphere , restaurant adjoin serve nice meal . my travel usually business look trip slightly different light leisure . would beenat happy staying business trip , space work street noise issue business traveller need good night 's sleep . 
 may 21 2007 	 Noisy need upgrade 	 Perfect location right next Tottenham Court Road subway station . large hotel acceptable price . pay 129 pound per night double room upgrade suite . well , upgrade extra room sofa extra telly . bathroom shower , renovate . spend three night St. Giles London . St. Giles 4 time before . extremely slow elevator , spend quite lot time queue ... hotel offer swimming pool , try time . the breakfast way much well ( cheap ) one many cafés area ( Nero , Starbucks , Pret - a - Manger , Grab - a - bite etc . ) . will find Oxford Street around corner . there lot noise street , almost impossible keep window open . shop across street , deliverie garbage pickup cause lot noise . seem like something happen every minute night .... like every night . early morning , like 7 , construcion worker start work hotel top floor . hotel could warn we massive construcion work , since impossible stay work . next time will choose another hotel sure , even need pay . room need upgrade , especially bathroom . 
 may 21 2007 	 do not waste money 	 stay St. Giles 16 - 20 may , book superior double room 2 , expect standard average , ...... arrive , check - in quick . getting lift second floor , odd smell air warm bit moist , get worse long hallway come . open door room find small room ever stay , go sideways trough door suitcase . least air be not smelly warm , open window , could not open 8 - 10 inch . at first look room seem clean , close look fond dirtmark wall , small crack tile bathroom , dust corner . also ashtray room , speceficaly book smoking room , first arrive 2 complaint reception 9 hour period . get day shower find air - vent / fan bathroom be not work , moist condensation two people shower get room , pleasant . contact reception promise would fix , nothing happen . the bed small uneven , sit one end would go 10 - 15 inch end onle 3 - 5 inch . also short , tall 175 cm . can not lie stretch out . the tv room badly tune third channel list guest directory , be not work . the hotel 4 lift 700 room often wait couple minute arrive . the good thing hotel location , close tube shopping / attraction , concierge helpfull . the last morning stay , warm water , leave without able shower . the reason do not leave find another hotel , do not spend time sleep shower . we do not expect luxurious executive room price , book superior room ( standard ) least expect basic thing order . stay London hotel many time know London standard often bit averege , St. Giles simply bottom scale . we never stay .... 
 may 21 2007 	 stay away 	 without doubt bad hotel stay . interior poor ( picture wall paintwork need repair ) . lift also poorly decorate slow - often wait 10 minute one arrive . room small bathroom could not fit 2 people ( be not big enough bath either ) . room also hot know atmosphere would like summer . even queue 30 min breakfast morning - like cattle market share table . like hotel cheap tacky one . money burn send - feel well give money franchise . good luck - will need . 
 May 14 2007 	 nice basic hotel 	 stay St. Giles May 9 - 13 , 2007 . will not deny concerned read review hotel , fact start look hotel area . opinion , St. Giles quite good ( definitely luxury hotel , be acceptable ) .It 's location definitely be good asset . hotel right center West end . grocery internet cafe across street . also several theater surround area . British Museum like 3 - minute walk away . Trafalgar square , Piccadilly circus , Pall Mall , Buckingham Palace , National Gallery Westminster Abbey like 10 - 20 minute away foot . hotel room small clean . summer , room may get real warm ac.the hotel also negative aspect . hallway lead room smell funky , room smell nice ( thank God ) . full english breakfast include room rate . breakfast serve buffet style plentiful . main drawback serve thing everyday . overall enjoy stay plan stay whenever go back London . 
 May 13 2007 	 okay certainly impressed 	 one night business , find particularly pleasant experience . check - in horrendously slow ( business traveller recognise bugbear ) , queue desk , none receptionist seem clue take 30 minute enter lobby get room . check - out almost bad . the room okay small , bed pretty small uncomfortable . bathroom also small . the location okay - well bad , guess depends go - 5 minute walk Tottenham Ct Road tube . on plus side , nice bar attach hotel . summary , travel leisure get good deal hotel , take , be cheap , go elsewhere . be business would suggest go elsewhere . 
 May 8 2007 	 great hotel central 	 stay 3 night see Rock next hotel huge bonus us concierge staff helpful transport , map , various timetable . room small adequate great shower breakfast good staff quick clear table busy din room hotel really central Shopping , Theatres , Eating would certainly stay tell friend 
