consistently 	 stay Hotel several time , use call Royal Lancaster , every time without fail make feel welcome . carefully rehearse corporate greeting chant every client genuine personal professional interest Guest right time arrival eventual departure . if lucky enough get room overlook Hyde Park view across London spectacular , especially night . the location central one tube station within yard / metre hotel entrance . also nice able walk Park Oxford St Knightsbridge shop , even Royal Albert Hall . also livery stable yard close wish ride Park . I would choose Nipa Restaurant alone ! 
 bad value money 	 small bathroom , small superior room , poor continental breakfast ! ! ! 
 good stay 	 stay one night happy . room smal clean good view 10th floor . staff friendly helpful . a good base sighseeing walk Oxford Street Hyde Park Harrods . intend see Winterwonderland tell tacky not go end . room breakfast charge high £ 24 head walk Jarvis Ramada 20 minute walk pay well rate £ 15.50 each . we park opposite Ramada Euro car park . £ 15 24 hour Sunday morning pay £ 10 twelve hour . I recommend stay Lancaster London . 
 Jun 13 2007 	 amazing hotel 	 family book Royal Lancaster 2 night 6 we , bargain total £ 250 , include breakfast . arrive London Paddington , short taxi trip hotel . hotel amazing . outside look posh , modern grand . enter hotel , eye pop ! stunning . foot sink carpet ! check - in fast , room brilliant . book 3 room , next 3 stunning . view London brilliant , 18 & quot ; tv , mini bar ( bit expensive shop opposite hotel ) power shower really really clean . ashtray room , none party smoke wasent use , room never smell smoke . safe easy use , get room groundfloor easy , overall hotel brilliant . tube right hotel , could not hear train . location superb , right everything London , want travel around London rube make easy . plenty shop , bar , restaurant cafe nearby . small shop reception sell souvenier , also couple restaurant bar . the breakfast great well , much cereal want , chocolate , muffin , toast , tea coffee follow huge english breakfast ! downside A / c do not work . tired switch hot room ( even though Dec ) do not seem work . instruction use A / c either . the building huge , walk hyde park great sunday morning . hotel Devon , far tall building county ! defintely come back . 
 May 21 2007 	 breakfast overlook fountain 	 friendly hotel comfortable room reasonable view park . breakfast directly overlook park highlight though . 
 May 18 2007 	 beautiful place ... 	 hotel good one ' ve stay London ... one good one ' ve stay ever ! reception big luxurio , staff helpful & amp ; polite - even concierge service , leave luggage safely case arrival / departure delay . deluxe room 15th floor , view simply amazing ... ! everything feel clean & quot ; untouched & quot ; , bathroom marble gold ( + little sample Molton Brown ! ) . room plenty spacious , minibar well fournishe even lovely corner table & amp ; armchair window . the price range quite high , place worth every single penny [ feel like heaven awful night cheap - round - the - corner Westpoint Hotel ... ] .We definitely find & quot ; place & quot ; London , back soon . 
 Apr 25 2007 	 Nice Surprise 	 hotel much nicer expect great price book Expedia . clean , staff extreemly friendly hotel great location ! would stay heartbeat ! 
 Apr 23 2007 	 great hotel expensive breakfast 	 hotel clean large ( London ) room , great view , well serviced . location good , right park ( nice jogging ) , close tube station , Oxford tube stop , walk distance Marble Arch ok walk Oxford Street . staff extremely friendly helpful , particularly gent concierge 's desk . the downside cost continental breakfast waiter do not speak English well enough understand . 
 Apr 20 2007 	 Good Value 	 feel good value money . standard room 12th floor designate ' no smoking ' floor . room reasonable size central London hotel confortable . window could bit clean everything else spotless . the staff helpfull friendly . excellent location walk transport . would use hotel . 
 Mar 20 2007 	 good thing bad thing 	 good : business group select hotel large group . room small fine we crash long day tour sightseeing . good : housekeeping restaurant staff mostly foreign well verse English able communicate well enough . prompt attention problem : heat towel warm working maid understand , request repair maintenance person quickly fix . concern : use heating air conditioning system weather mild enough partially open window mate say immediately start sneeze used heat system . another concern : smoke public area restrict bummer . food report : breakfast buffet vary disappointing happy bread fruit . english meat egg appetize american palette . good shower : Quality Hansgrohe showerhead excellent water pressure . deal breaker : shower curtain constantly billow drape body . weight magnet bottom . really irritate . gross consider every previous guest peel curtain body well . interesting : feedback comment card provide room . GREAT access underground subway ( tube ) central lot attraction . make sure request room high tree level ! otherwise ordinary view . 
 Mar 10 2007 	 avoid 	 return 2 night stay business . give smoking room despite request book non - smoking room . ask move claim non - smoking room . Hotel also attempt put member party smoking room intially . smoking room decor shabby , internet connection faulty , shower barely functional could not adjust temperature , mildew window . get help operate shower take staff member 5 - 10 minute get work luke warm poor flow . room service take almost twice long promise promise 25 minute ! ! . order steak fry even come ketchup salt ! telephone call rate excessive GBP3 / min US give std BT rate ~10p . internet access GBP17/24hrs - ridiculous . would never stay recommend anyone . claim 4 star status experience would barely make 3 - star . price 5 - star though do not mean good way 
 Mar 6 2007 	 awful disappointing 	 stay Royal Lancaster part corporate event . 's location convenient , right top Lancaster Gate tube station , opposite Hyde Park . 's 30 minute walk along Bayswater Road Oxford Circus . the hotel look relatively shabby outside actual entrance . inside , lush carpet adorn reception impression get inside go much well look outside . the room stay small , although unusual city - centre hotel not pose problem . bathroom , however , unbearably small . giant 5'11 & quot ; could sit toilet straight wall opposite close . stand toilet almost impossible turn round smash arm glass shelf behind . shower , well , dribble . the bed confortable enough television small , old poor quality . not possible put tv standby use remote , mean get bed turn off . dinner 300 hundred corporate guest forgive rather dull . private breakfast one downstair function room disappointing . sausage , tomato , mushroom , bacon runny scramble egg cook breakfast small selection pastry . toast ! suspect bread - roll put breakfast leave night . get impression & quot ; watered & quot ; version would got main restaurant . the hotel general clean tidy even though look shabby outside . would question many room acutally decent view overlook Hyde Park hotel almost perpendicular park . not awful place spend night much well hotel London much well price . 
 Mar 2 2007 	 Variable 	 1st time stay - food great even expensivethe room disappointing - upmarket Travel Lodge ! old TV , Teletext , Tea Coffee facility biscuit . go back dark age ! gym pool . expect moresome great staff - scary onesclean . not good value money/ 
 Feb 17 2007 	 not even think kid ! 	 place stink cigarette smoke , pre - book ' non smoking ' room rank bed smell like old ashtray . at breakfast ( stupidly expensive average food non english speaking service ) staff unable locate high chair baby shrug request . one breakfast service know ' weetabix ' ask , honestly ' m kid ! Eiher take polish refresher course get one point picture book get message across.handy walk Hyde Park 's top money ' four Stars , way ........ 
 Jan 10 2007 	 loved view 	 book 3 night stay 6th -9th jan Superbreak daughter . arrive 11 room ready brilliant . 12th floor view amazing although might big twin room stay , spotlessly clean everything need . staff friendly helpful breakfast great apart 1 morning daughter dodgy egg , staff helpful could not enough we . location great unfortunately underground 2 min away close sat sun track repair . like walk never problem . would definately use hotel . 
 Jan 2 2007 	 good half star hotel london . 	 hotel far rating need staff people understand difference genuine complaint somebody want [ -- ] everything . spend 2 night hotel new year great location great view sky line London would well bed breakfast ground floor . book 1 twin 1 double adjoining room ( know ' bad habit smoking room ) get 16th floor grade 12ftx10 ft superior suite face London sky line great view fire work . twin room kettle fuse whole socket section operate tv well report morning fix problem , happen first time kettle use follow day neither use ornament user check day , time maintenance would arrive probably wait half hour elevator take we get place ' come soon . hell wife heart attack 6 year ago stair breeze exercise we good 16 floor staff use 1 elevator 4 move floor clean . londoner proud great week end firework never forget visitor need avoid hotel £ 170 per night rip , buy 1 get one free . committee rate place ( Stevie Wonder Roy Orbison Ray Charles ) need look little close send gratuity back . oh forgot mention double room hay guess twin . check report problem reply sorry sir ' happen next time . reply " right will not come back " . 
 Dec 7 2006 	 great find ! 	 stay Christmas Shopping break package . room spotless ( little bit small side ) , problem parking hotel car park staff charming . nothing much trouble breakfast recommend Island restaurant hotel pre theatre snack . would definitely return . 
 Nov 12 2006 	 reasonable business hotel 	 stay one night business dinner . check - in fairly swift staff pleasant helpful . many staff recent economic migrant different majority London hotel experience & quot ; language barrier & quot ; . room small side nice touch like multi - voltage multi - plug socket would doubt useful international traveller forget bring plug adaptor . suspect bath smallest ever see hotel anywhere bathroom well - finish clean . Central London feel accommodation reasonably price . breakfast good . hotel literally top Lancaster Gate underground station would convenient station close time visit . would recommend arrive leave taxi station reopen 's long walk Marble Arch luggage ! 
 Oct 6 2006 	 Tired overprice poor service . 	 use use hotel regularly late 1990 's . be probably one real ugly building London , service always average professional , care ! first visit year well average experience . book double get two single bed , staff care ? ? like step back 15 year , tiny bathroom , cheap furniture , noisy air con , filthy window secondary glazing break . maintenance man walk straight room one knock door . staff meet eastern european , problem understand language , smile least look like enjoy job . hotel facility poor , zero atmosphere . everything overprice , car park , internet access , drink food . food boring unimaginative . lack training , attention detail make difference . see management two day never ask enjoy anything time . many well environment central london available well price . hotel match online price offer many hotel book site . last visit would not advise one stay unless 's bed rate £ 100 try extract £ 200 plus ! ! 
 Sep 21 2006 	 well expect ! 	 stay one night part west end show package deal . pleasantly suprise read horror review hotel . check 1130 room already available ... first plus . room 12th floor , amazing view London . room clean enough space two we . bathroom small sufficient . good thing hotel us Thai resteraunt ... food fantastic , although pricey , worth . check bill charge we breakfast include pre - pay deal . 
 Sep 20 2006 	 avoid hotel . 	 visit start arrive hotel walk luggage . one could see lobby help they . I go reception , lady man . lady phone man disappere backroom immediately . 5 minute later lady finish call ( think business ) start serve . rest go ok , get room . the room small single room armchair , table+chair , drawer minibar tv upon , wide short bed table one side . look ok two star hotel , nothing luxurious this . the tv 6 channel ( BBC1 2 itv+3skychannel bad reception 4 ) . list show CNN , visible all . since room hot put air conditioning chill . put minimal temperature . air condition work . I need internet access . one reason choose hotel claim internet access . thought would wifi . , paper drawer telling offer extremely fast internet ( short ) cable . ( extremely fast 5 year ago maybe ) Internet £ 17 24 hour charge speed . low speed 256k £ 1.99 . could got internet 256k 24h & quot ; & quot ; £ 19 . bother give away much money nothing . the price pay ( £ 185 night 2 night ) include breakfast . call vitality breakfast practice mean low cost choise ( many choise either ) croissant , muffin , yougurt , serial juice . I tell could get well breakfast pay £ 2 extra . english breakfast bacon , sausage , egg , tomato etc . take first day since not eat sweet breakfast . plate arrive see sausage list fact 1 small sausage , tomatoe half tomato . ( yes really 2 slice bacon , part correct ) . take second day , eat stuff instead . after breakfast visit one men toilet , look really uncleaned . the hotel quite high build four elevator ( slow one ) , quite much wait come . the hotel lobby full tobacco smoke , place stop . the personnel unpolite even rude , seem avoid situation would confront customer . when leave hotel noon , ask could store luggage couple minute . & quot ; not store & quot ; answer receiptionist . ask someone else . I ask go two time back forth find person help I . I wait bellboy almost 10 minute leave . since long travel wear suite decide change jean T - shirt leave . ask space change . not anything answer . say use men room ( filthy floor ) . take liberty go inva - toilet change . after leave hotel without even look back . never put foot place recommend hotel anyone . glad business trip , pay something luxuous mind would cry spoiled day London . I not know get star London , live 2 star hotel ( b & amp ; B 's ) price fifth less pay get far well stay good service . now might think single case . discuss 4 hotel guest none happy even satisfied hotel . stay away Royal Lancaster Hotel London ! ! ! ! 
 Sep 15 2006 	 Overpriced London hotel 	 £ 170 small room shoebox bathroom night , standard ' decent ' London hotel . Decor lovely , staff helpful everywhere see tidy good state repair . I really hope hoteli look website beacuse would like say - dare charge £ 17 one DAY 's internet ACCESS ! ! ! ! incredible way alienate business client will want stay again . to honest , ' ve stay number hotel London good recommendation would stay Holiday Inn Express . Hammersmith one £ 80 night , car park £ 10 , internet free money save , tube taxi centre London not problem . shame really , would hear great thing hotel , stay week would penalise £ 120 check email - 's nearly two night lodge Holiday Inn Express ! 
 Sep 9 2006 	 Pleasant stay pair New Yorkers 	 stay nine night vacation . really nice hotel , staff friendly view spectacular . book 10th floor high view Hyde Park . stay fourteenth floor lovely , although slightly obstruct , view leafy park . overall really quiet peaceful hotel ( hotel double pan window not hear noise busy road ) . location terrific like near action London ' top neighborhood ( i.e . westminster , Bayswater , Kensington , Mayfair Knightsbridge ) amidst . advise though planning take Tube will make five minute walk Paddington since tube stop corner hotel close renovation till end 2006 . much complain hotel room always clean tidy . although standard room bit small use four star hotel , clean . one big complaint involve bathroom , take away unspoile look , unexpectedly small whose pipe frequency run hot water cold water tap . worry , however , upon request bulk problem take care day . additionally , book hotel basic breakfast , probably upgrade hotel expensive meal plan . also , even starve , stay away hotel ' restaurant , Island . restaurant provide we expensive tasteless frill . finally , pleasant hotel helpful staff nice view . locate quiet residential area , remarkably convenient explore London environ . [ also , plan lengthy stay like we , ' wait till end stay tip maid rotate frequently well service well leave tip daily . ] 
 Aug 28 2006 	 bad lodging experience life ! 	 upon arrival Royal Lancaster evident significant language barrier . speak arabic apply . apparently view mean window . pay extra & quot ; view & quot ; window wall parking garage . guest talk either look hotel plane stay away much possible . outside look nice modern , lobby . room however bad . small , cheap . 12 & quot ; tv work , shower drain . neither next room try . ( 4 give . ) note hallway lobby seem 24 hour day care . child run around hotel hour . even polite enough come say high we 3:30 morning knocking answer . front desk unwilling help , unless know room noise come . every english speak guest talk also complain . bad opinion maid move organized belonging everyday , even disturb sign . fold dirty clothe small pile closet open suitcase arrange content make room dirty clothe . furthermore , would come without knock 8:00 morning . complaint front desk help . positive note , Hyde park close 2 conviniant tube stop escape . friend stay Royal Lancaster business tell everything change , perhaps new ownership . would much well go elsewhere , plenty wonderfull hotel London similar price . 
 Aug 16 2006 	 never ! 	 4 star hotel . not fool facade . building may modern outside problem room . constant gurgle tub drain throughout night prevent daughter sleep . request room change hotel could accommodate request hotel full . make good situation , ask front desk Tylenol pain medication alleviate headache cause lack sleep ; would provide assistance . my daughter could enjoy full day sightseeing next day since tired ! another , serious , event involve bathroom -- - water temperature . hot water would unexpectedly flow cold water faucet sink shower . shower , steam hot water would suddenly come nozzle thus require step aside soap hair face . would wait least ten minute water cool resume shower . constantly worry scald . alert hotel safety issue response -- - pipe corrode allow hot water cross cold water line . look like owner need retrofit building plumbing line ! top , underground subway close hotel close . 's good 15 - 20 minute walk near station ( Marble Arch ) . 
 Aug 6 2006 	 great location watch phone charge ! 	 stay Royal Lancaster 3 night . first plusses,1 . room bathroom spotlessly clean2 . airconditione work well3 . location across Hyde Park fabulous4 . 5 minute walk Paddington5 . staff polite nice6 . caffee complet breakfast include room rate fine light eaters7 . great inexpensive indian restaurant , Star India , right across streetThe negative incredibly expensive phone situation . call room use phone card sort , charge 3 pound per connection . rush dial local London call , understand 67 penny first minute reduce rate thereafter . imagine shock find 8 minute call within London cost we 27 pound ! ! ! ! ! pay phone build , unless carry cell international capacity , prepared pay big buck phone call . 
 Aug 3 2006 	 Professional Friendly Service 	 stay Royal Lancaster 3 separate occasion time pleasure stay . although room could use modernisation , still clean catered well business traveller desk internet access . view room morning sight behold early riser manage catch sunrise Hyde Park great way start day . staff extremely helpful able deal problem encounter . also enjoy fantastic meal Nipa ( one two on - sight restaurant ) , Thai restaurant fantastic service . highly recommend coconut rice ! ! summary would definitely stay Royal Lancaster staff friendly , room good , food brilliant perfect location Central London easy transport access rest city . 
 Jul 20 2006 	 downgrade room - tell still set charge high grade room 	 terrible experience Royal Lancaster . book executive twin company 's website -- promo rate . promo ! ! ! ! check - in provide room look small anticipated . go onto company 's website business centre discover room low grade ( deluxe ) . speak front - desk , tell yes wrong type room -- oop , sorry , right -- neglect tell we yet still set we pay higher - rate room . front - desk , & quot ; little back room , & quot ; various management indicate executive twin leave -- even though , moment , web - site still show availability night ! variety & quot ; offer & quot ; make include -- - & quot ; will fix rate reflect real class room . & quot ; impressive business practice handle situation . inform situation check - in could option go place vicinity could get type room need . travel situation require specific type room -- ' ve offer accept reservation deliver . room end definitely worth non - discounted , promo rate pay ! terrrible , terrible experience . somehow , end , make feel terrible people difficulty practice ! much well option road ! ! ! ! ! ! ! ! ! ! ! ! 
 Jul 18 2006 	 good 	 good hotel . clean , comfortable . helpful service ( average , sure ) nice location . nice shower / bathroom . excellent restaurant . negative side , decor room somewhat date give initial & quot ; crisp & quot ; impression get upon enter room recently renovate hotel . somewhat noisy air - conditioning system ( pet peeve ) . obviously , eyesore outside . also , find practice & quot ; bundling & quot ; breakfast price helpful , know exorbitant breakfast price many good outside option available London . overall , definitely decent choice , especially get good deal . 
 Jul 12 2006 	 mostly business ? 	 stay one night June . location good Paddington area nice . stay Sunday get rate 111 £ lateroom . breakfast include rate ( £ 19.50 extra ) . get room 10th floor great view . adjoining door experience know sound insulation work door . go reception change double room 3rd floor . reception staff friendly . compare Thistle Marble Arch stay two previous night , Royal Lancaster sterile boring . nice lobby , 4 lift , comfortable room well insulate traffic noise . hotel island heavy traffic side , still near lovely Hyde Park . air conditioning room blow strongly seat area . mini bar stock . bed comfy . bath nice small . two nice pub nearby , touristy Swan authentic Victoria . ask porter direction . negative experience slam room door , staff try get room 8 ' clock leave day , fire alarm go twice evening stay . believe hotel great business person . rate high . check hotel web site weekend offer include breakfast . alternative area Thistle Kensington Gardens ( air con ) Vancouver Studios ( air con ) .Mr Moen Sandnes Norway 
 Jul 11 2006 	 nice view Hyde Park .... 	 stay week May day June . one expect resort north american standard London hotel unless willing pay small fortune . room 13th floor small - keep bumping . sheer drape sew together middle tie could get fresh ( ? ? ) air . upgrade 17th floor return room much big . hotel good quality - staff friendly , good pickup drop outside hotel , pleasant lobby , terrific lounge bar stay open till 4 am one get clubhouse sandwich ( hold egg ) till . negative bed - lumpy , slant like waterfall , old . even upgrade room bad board mattress box spring - the bedskirt part one time box spring grubby old ticking . if breakfast inlcude room rate charge 20 pound per person $ 80 c two . suggest walk Paddington Station ( 6 min ) go garfinkel right outside - look Hilton entrance right . also Hilton Starbucks - walk lobby . Most London continuous noise location even close Paddington Police Station . wonderful noise horse clop street Hyde Park make it . do not forget go road Swan pub . 
 Jun 20 2006 	 way average London 	 travel London quarter business , variety reason , generally stay different hotel trip . , compare other London , average property . good part : nice lobby , helpful attentive staff include concierge desk . room size okay ( good London ) . tiny acceptable bathroom . clean well maintain . threadbare . big plus : quiet even though hotel completely book every night stay . also , window open wide plenty fresh air ( see caution bad part ) . excellent cable high speed internet room ( extra cost ) . also big plus : 2 block Paddington Station . good access Heathrow express well underground ( Circle Hammersmith & amp ; city line ) . bad part : hotel locate middle busy " roundabout " . mean considerable traffic noise hour day night . however , hotel put double window close ' hear noise – least ' 13th floor light sleeper . ' know would low floor . room iron iron board pant press . housekeeping bring one 30 minute request . hotel literally top Lancaster Gate tube station station close remodeling year . , next close Paddington station . balance , good find could get fair rate ( around GBP 100 ) would definitely stay . 
 Jun 17 2006 	 one night review 	 spend one night hotel part annual company sale conference night 16th June 2006 . hotel locate outside Londons West end Hyde Park close enough Oxford Street ( shopping ) Paddington Station ( Heathrow express ) . locate right top Lancaster Gate Tube station central line . the room 13th floor offer good view Hyde park although low flor room obstruct view . room relatively large spacious London hotel egyptian cotton duvet comfortable bed . room little old fashioned ( old small tv ) everything work room clean . hotel also provide free wireless internet acce room public area . room service menu / breakfast obscenely expensive plenty alternative dining / drink establishment far hotel . 
 Jun 11 2006 	 Impressed Royal Lancaster 	 Royal Lancaster Hotel conveniently locate good standard hotel . Lancaster Gate Station 2 minute walk hotel make excellent location . hotel parking secure cost £ 30.00 per day resident . the reception area do nice large fresh flower display make feel quite grand . our room standard room clean functional , mini bar tv . state reviews standard room huge sight seeing , spend much time room not bother we much . room 12th floor look Hyde Park . we several request House Keeping Room service deal promptly friendly knowledgable staff . we full breakfast include usual cereal , pastry , fruit decent size English breakfast cook order , well lot hotel food sit hot plate hour .... overall would recommend hotel well price good service standard certainly stay . 
 May 1 2006 	 stay ! 	 use stay sister hotel Landmark . trip Landmark full take landmark 's advice transfer Royal Lancaster . hotel loby recently renovate international hotel ' plush ' style . room bathroom compact small functional bathroom . reception staff superbly helpful , friendly professional . forget name duty manager check , extreemely helpful could do make stay comfortable possible . housekeeping fast react request make . pity pool . fantastic view Hyde Park . good Thai restaurat call Nipa . 
 Apr 13 2006 	 Handy Car Park ! 	 first time would stay Royal Lancaster certainly stay ! staff manage difficult balance friendly yet totally professional , make we feel welcome . location exceptional ( beware Lancaster Gate tube station close May 2006 ) . 's outside Congestion Charge zone park car second floor £ 25 day 's need . Cafe Complet breakfast fresh orange , fresh toast request danish pastry / croissant tea coffee serve smart happy staff pleasant room . lounge bar comfortable . bedroom size comfort typical Central London four star beautifully clean -no trouser press though . hotel part chain include Martinez Cannes show professionalism staff . 
 Apr 3 2006 	 Superb location 	 pleasure stay Royal Lancaster visit England last Easter , 2005 . find room spotless , especially bathroom , location terrific . room 12 floor look across London Eye Big Ben , make opening drape thrill ! across way area several restaurant , well convenience store pub . proximity tube terrific well . be workweek would recommend someone party run early tube station purchase tube pass , line ticket station often get long . skip English breakfast , find roll , coffee tea come room adequate . concierge helpful exhausted Americans . have warn european hotel often not match american expectation term size comfort , Royal Lancaster pleasant surprise . 
 Mar 29 2006 	 good value 4 star hotel 	 London get pay . have book night around £ 110 inc VAT on - line , ridiculously cheap central London . check straightforward friendly . room adequate , small double , quiet good ac ok bathroom work perfectly . service bar friendly , barman know make drink . Diiner Nipa restaurant first class . welcome like long lose relative , despite eat 6 month . wine list sensibly price - £ 35 Cloudy Bay Sauvignon Blanc cheap - even provincial standard . breakfast room service excellent . great , freshly make fruit salad good well . £ 17.50 ( pay £ 40 breakfast couple week ago Berkeley ) .I ask housekeeping razor toothbrush kit ( stay overnight last minute decision ) , arrive within 10 minute . in morning be bvang opposite Hyde Park walking distance Mayfair West End - £ 100 night ? bargain ! 
 Mar 21 2006 	 good choice know limitation 	 reading review husband stay hotel March 17 - 21 , 2006 helped know expect . we like location ; block away Lancaster Gate underground station 4 block Paddington Station Heathrow Express stop . the & quot ; Pros & quot ; good location , clean , modern room , fantastic shower ( lot hot water , powerful shower head ) , heat towel rack , tv tea make facility , comfortable bed , helpful staff -- particularly concierge non - smoking floor -- important I . the & quot ; Cons & quot ; standard room small , enough room double bed two twin , desk , dresser chair . & quot ; include & quot ; breakfast worth bother , cup coffee tea danish croissant -- anything else expensive worth . well bet get full english breakfast 4 - 5 british pound restaurant near Paddington Station 3 - 4 block awaythis hotel include part 4 night package tour London United Vacations . check , opt two twin rather double . spend little time sleep hotel convenient location work well usnote -- Lancaster Gate underground station close six month renovation June / July 2006 timeframe need use Paddington transportation time . strongly recommend Heathrow Express train get airport -- way ( tube Express train ) express worth extra money . 
 Mar 8 2006 	 Good excellent 	 arrive hotel 6.30pm , anxious going see , hotel , room , location thing like . first impression excellent . hotel high building ( 18 floor ) , height phobia forget stay hotel . staff reception helpful kind . one ' like check ask we give number credit card case use mini bar . ' rather prefer ask check check in . the room ok , small one , supplement make tea coffee room , bathroom clean . one good thing shower , option make massage . good . tv also . bed soft wake back pain . breakfast poor . café breakfast danish pastry , croissant , little bread , jam butter . good thing could smoke room unfortunately ' breakfast room , ' smoker place . the location good . block underground station two stop oxford circus . good locate . generally enjoy stay . think money give good option . 
 Feb 27 2006 	 worth moneyworth visit ! ! 	 great food , great service , attentive staff big hole wallet . P.S toilet spotless 
 Feb 23 2006 	 Great Value London Hotel 	 usually stay Radisson Edwardian wary stay low budget hotel . need worried . arrival hotel look impressive outside equally foyer . staff check polite , efficient helpful . the foyer busy noisy reflect rest hotel quiet undisturbed night sleep . the room spotlessly clean , bed brilliant white soft sheet duvet , unusal welcome starchy sheet blanket . tea make facility contrary previous comment nothing look tired worn . shower fantastic , wish mine powerful home , Ihad plenty towel white fuffy dress gown . I continental breakfast , fruit salad delicious nice big strawberry , kiwi , different variety melon extra , even attention detail presentation . ask 8 am arrive dead time . the difference Radisson Edwardian room slightly small next Hyde Park ( Lancaster Gate tube ) 1 mile Oxford Street not central . £ 60 less would stay again . I pay £ 99 room £ 17.50 breakfast . 
 Jan 22 2006 	 Fair 	 stay last July . good quiet location - Hyde Park ( Kensington Gardens ) across street Oxford Street within walking distance . easy access tube ( Lancaster Gate ) .The hotel impressive . little hard understand label 4 star . room ordinary . breakfast : bit disappointing ( continental option ) .Staff helpful . 
 Jan 2 2006 	 beautiful location accomodation 	 husband grow daughter share large room three corner thirteenth floor . view London Hyde Park incredible . mini bar , clean room linen , towel warm , first class service ......... office even asssit country phone call currency exchange . expect first class , get . close several tube station , nearest Leicester Square .......... walk distance Paddington . we love hotel location . definite return . not hesitate book it . it 30 minute train Gatwick less Waterloo . 
 Oct 17 2005 	 Great Stay 	 Royal Lancaster Hotel excellent hotel stay . book another hotel prior come London . arrive hotel , terrible walk Royal Lancaster Hotel ask triple room we . staff Manager helpfull . Manager take we room view . enjoy stay much . order room service , food beautifully display alot plate . would recommend hotel anyone go holiday . view window Hyde Park , absolutely fantastic . location good . 
 Jul 18 2005 	 Royal 	 overnight stay Royal Lancaster impressive reception bequest 4 star room well travel inn / lodge . yes mini bar room service pot tea £ 5.00 , difference . expect far . disappointed . concert boy age 18 21 three quarter short refuse entry bar could understand have not anyone do not jean . boy order room service chip beer coke wait hour . like say impressive reception everything else bright . careful book three level breakfast continental consist small danish pastry croisssant toast butter jam roll juice . next level vitality include cereal fruit £ 17.50 per head extra , full english extra £ 20.50 extra . 
 Jul 4 2005 	 recommend ! 	 hotel 4 star rating really not know . the room adequate little date . bed comfortable serve purpose , tv little old fashioned & amp ; poor reception . tea & amp ; coffee make facility room little strange consider we Brits nation tea drinker . apparantly tea & amp ; coffee make facility order housekeeping & amp ; subject availability ! could not get housekeeping & amp ; make request via reception . nothing ever arrive & amp ; receive explanation why . a traditional english breakfast hotel restaurant cost £ 18.00 per person . may well go rate London find little steep something would cost fraction price elsewhere . upon enter restaurant confront table upon table dirty dish , staff not seem bother clearing away . matter fact seem little urgency staff & amp ; waitress trifle forgetful . to cap memorable weekend bedroom door open 12.30am . ' intruder ' turn friend also stay night . instead book we separate room incompetent staff reception book party room ! disturb series telephone call reception friend tell not room they . after negotiation room find & amp ; everyone finally manage get sleep . would not expect B & amp ; b let alone 4 star hotel . to cap car parking fee little 36 hour whop £ 50 . decide stay would suggest park car elsewhere . outraged american lady certainly make feeling know matter . must foreign tourist think present extorionate rate & amp ; poor service ? poor advert Britain . if management Royal Lancaster Hotel reading , may suggest either low fee raise standard justify . 's little thing matter tea make facility , clean tables restaurant & amp ; efficient staff . man entrance fancy hat & amp ; coat not impress much & amp ; certainly would not encourage stay hotel again . on positive note location superb & amp ; convenient central london . 
 Jun 5 2005 	 well - locate nice bit worn room pleasant staff 	 year ago really make stay London pleasant . save money cheap hotel ruin vacation spend bit great place come back sightseeing ! hotel comfortable , room somewhat smallish tend London , nice bed , bathroom , a / c WORKS -- real plus warm weather day London . nice lobby . Continental Breakfast get spare side -- lot roll , toast , juice , jam , beverage full English like London . one day enter room delightful meal serve . cost lot really provide guest . maybe get well rate . London Transport 4 day card worth money -- unlimited use undergound , bus , suburban train . London Underground station beneath hotel great ! use sightsee , shop , eat go theater ! also close Paddington Station convenient . nice indian restaurant across hotel entrance ( little street ) reasonable dinner twice . Kensington Gardens near Italianate Garden across hotel amusing fight Bridget Jones # 2 shot , beautiful place walk sit . 
 Apr 22 2005 	 pleasant high rise hotel 	 great view 17th floor executive room , spacious large bed . room comfortable pleasant though traditional memorable 's decor style . lobby area nice memorable . unfortunately lounge area first floor natural daylight , however new Island Bar Restaurant airy , stylish contemporary . good breakfast , though average service - make sure go Island full cooked breakfast . attend event hotel - conference facility fantastic , particularly new room stunning . excellent food service event . hotel famous Thai restaurant , look nice unfortunately opportunity visit . would benefit gym . good location easy tube access . good 4 star hotel nice reception staff , decent room executive level good food . refurbish exterior hotel third floor , plan underfoot complete refurbishment rest tower - would certainly potential produce quite excellent hotel . 
 Apr 17 2005 	 Convenient 	 good thing hotel proximity Lancaster Gate Tube station Central Line . hotel sit small triangle include tube stop . almost not even get outside reach station hotel . nice hotel , small room , good breakfast & amp ; lovely common area . elevator service weekend quite slow , else fairly typical 3 + 4 star hotel . enjoy valet & amp ; bell man service - quite fancy top hat & amp ; . plenty good restaurant neighborhood - even small grocery store across street . really & quot ; English & quot ; flavor - cosmopolitan - could hotel big city . 
 Jan 28 2005 	 wonderful hotel ! wonderful location ! 	 room clean pleasantly decorate . since situated corner enjoy panoramic view city . downside free breakfast . 's nothing coffee , tea , ( maybe orange juice ) various form bread . fruit , cereal , yogurt , nothing bread far eye could see . want full breakfast extra - substantially . otherwise enjoyable stay hotel find staff friendly accommodate . 
 Jan 24 2005 	 bad 	 bad hotel -- bit eyesore building somewhat date reflect dismal architectural design late 1970 . room somewhat small , bathroom clean well - decorate . staff affable , times somewhat unaware hotel 's amenity service . location ideal , overlook Hyde Park . also , seem safe quiet neighbourhood . would classify hotel 3 1/2 star location , apply rating system . 
