FAB 	 Excellent value hotel great location . call negotiate great rate bed breakfast . good size room ( studio ) large bathroom . clean comfortable . good food especially room service curry ! ! staff come contact helpful , efficient friendly . take 15 minute walk Eye along river pass Houses Parliament great location . pleased hotel would stay . 
 Aug 28 2006 	 4 star hotel 2 star service 	 stay two night book hotel website . firstly , standard ( though call superior ) room excellent . nice decor , clean bathroom bath seperate shower , comfy bed pillow , large lcd tv dvd player . location fine - 10 - 15 min walk London eye another 10 min Trafalgar Square . however , housekeeping appaule . firstly , rang four occasion get tea , coffee , sugar etc .. restock top . secondly , pile laundry leave corridor 24 hour + . breakfast , standard poor . great selection , well cook hot ! £ 13 continental £ 17 full english bit rip ! lastly , though say rooms river view website , tell superior room river view ( unless pay £ 25 upgrade ) . overall 4 star hotel 2 star service .. thus inbetween 3 star review . 
 Aug 21 2006 	 brilliant 	 great hotel , good location , friendly helpful staffdefinately use 
 Aug 16 2006 	 modern comfortable hotel 	 book last minute city break nicely surpise arrival standard hotel price pay . room allocate front hotel sadly : ( - ( fact ' m quite sure ) ! ! back face railway line anyway ( thank goodness noisy corridor window look onto ) . look room within hotel quiet . plenty fast lift hardly wait get wherever need go build . the room fantastic , clean spacious , modern minute detail content bathroom . bed comfortable soon lay mountain incredibly soft pillow hard drift . everything would need enjoy stay , choice several tv channel , internet access , pay view movie etc etc . Tea/ coffee make facility , hairdryer , hanger , safe , notepaper little surprise like travel sewing kit , iron board - steam iron make sure clothe pack well ironed 's travel crease need get rid . Room clean / make daily basis time convenient we . breakfast plentiful matter time arrive - serve buffet style something everyone taste.5 - 10 minute walk Vauxhall Train Station 5 - 10 min walk London Eye opposite direction great view Big Ben Houses Parliment way . excellent choice hotel want somewhere quiet close enough city . only one minor complaint - trainee speak check - in desk think could made effort first contact ( trainee would expect enthusiasm maybe smile ) ' m sure management control - rest staff polite helpful , could not fault way . overall lovely stay . 
 Aug 11 2006 	 nice hotel bad location 	 husband stay riverbank park plaza one night . hotel new modern , room spacious bathroom . however , horrible view train track parking garage ( ? ) make sure request room view plan stay . lady check we bit snooty ( would think someone traning would friendly ) otherwise everyone else seem nice . big complaint location hotel . husband arrive hotel heathrow via tube quite walk vauxhall tube station . 's true great view westminster big ben front hotel would recommend hotel tourist ( esp first - timer ) soley location . would waste much time get one place other.there lot businessman hotel 's probably be well suit . 
 Aug 7 2006 	 Excellent Business 	 really impressed value hotel . 's modern , high tech , satellite LCD tv beautiful artwork room . room service good , staff good , location near lot major site . big plus little grocery / convenience store next door . breakfast include rate breakfast good selection . Though be primarily business hotel , have happy bring family . 
 Aug 5 2006 	 Loved hotel ! 	 get great rate online travel site . schedule one night early July , soon see hotel , book return trip London follow weekend . even give we discount rate follow weekend- $ 129 / night include breakfast ( exclude taxis ) . hotel clean , modern , well - decorate . room large comfortable bathroom also large , spotless , modern . location great- 10 - minute walk Vauxhall underground station . staff generally professional helpful . problem concierge staff book day trip Stonehenge . although hotel appear relationship one tour company , concierge not seem knowledgeable tour company trip offer . book trip anyway next day , last day London . unfortunately , shuttle provide tour company leave hotel schedule departure time ask bus , concierge tell we bus . well , bus leave without we ! concierge morning , barely speak English , name make sure bus not leave without we . instead , tell driver not , even though lobby wait ! ask second time bus , tell bus . tell we take taxi Victoria Station expense . go Victoria train station , learn tour bus depart Victoria Coach station couple block away . miss bus never get see Stonehenge thank concierge limit english proficiency . 
 Jul 30 2006 	 Loved unscheduled wake call 5.45 a.m 	 's shame could not give 0 . riverview room book give vip ( nice see customer treat equally ) ... despite hotel promise us river view room 3 occasion . furthermore , ask numerous time mini - bar open . time promise mini - bar would open electronically . never open . finally , wake final morning ( birthday , happen ) 5.45 a.m ( unscheduled ) hotel security say ' fire alert ' room . alert annoyingly word apology wake we up . a real shame . can not believe people give hotel either 4 5 5 constantly dismay level service . 
 Jul 29 2006 	 enjoyable . 	 stay Park Plaza hotel London one night only . I enjoy stay , fine location wonderfull view luxurious room . negative side believe hotel another resterant would even well . 4/5 
 Jul 28 2006 	 great hotel like walk bit 	 hotel new contemporary . nice , interior designer great job . read Trip Advisor 's review , asked & quot ; nosy & quot ; room front desk arrive . offer upgrade package ( 50 U $ extra per night include breakfast welcome tray , etc . ) . althought not accept , lgirl front desk give we side room ( not riverview , far noisy train track back ) . hotel really full , give we handicap room , reserve disabled passenger . the room big comfortable . nice desk , king size bed , nice decoration , good plasma tv . real take 5 minute understand use , call front desk , send immediatelt somebody explain it . I problem safe , send security clerk soon . really feel nice treat hotel . read reviewer complain 50 u $ deposit charge arrive . gril fornt desk explain clear , really not charge credit card . complain automatic charge pick something minibar . big sign door explain , fair empty space acommodate grocery , complain . there good grocery store next hotel , buy pastry , milk , yoghurt , sandwich yummy middle eastern food , case low budget . ( eat London expensive , believe ) .Just one complain : wi - fi room poor signal , cost 19 u $ per day ! lose connection time ! ( well place use laptop sit toilet ! ) . althought near tube station ( Vauxhall ) 6 block walk west ) , recommend enjoy walk westminster station instead . 10 block East , wyou enjoy lovely view Big Ben Parliament across Thames River ( go London not want enjoy incredible sightseeing ? ) last least : buy one day roundtrip ticket boat cruise line . circle line hop on - hop ticket 14 u $ ( 5 extra buck tube daily ticket , enjoy sail across Thames instead go underground ) . visit St Paul Cathedral , Tate Modern , Shakespeare ' Globe Theatre , Tower London , Tower bridge many attraction single day use boat . 
 Jul 27 2006 	 Good Hotel 	 reward room Priceline 134USD plus tax . good deal . room nice clean . man front desk could not answer question training . early train leave Waterloo hotel 12 min walk train station . close enough walk main attraction . would stay get less 150usd . 
 Jul 25 2006 	 last true 4 * 	 moment check check everything perfect . staff helpful polite , room delight spotlessly clean ( pity ' river view ) meal Club Lounge Saturday evening delicious expertly serve . breakfast next morning , although busy , deal clam efficient manner restaurant staff wait minor inconvenience . we book Summer Saver rate excellent value ' make feel second class guest ( happen SAS Portman Raddison week ago ) . last find hotel feel confident return desperately try find date come back . 
 Jul 9 2006 	 posh hotel boring neighbourhood 	 stay big hotel work reason one night June . attend big conference , many ' business people ' stay . get impression case lot , especially week . make hotel less personal , not mind . hotel get nicely decorate spacious room . bathroom beautiful black marble also spacious . bath seperate shower . room face another part build quiet . multifunctional telly , could watch dvd 's use internet ( 5 pound per day ) . although good hotel , book another hotel two night stay London , prefer stay area 's local shop restaurant hardly area hotel , be really residential neighourhood . also think hotel far away underground station ( 10 minute Waterloo station ) . want good , convenient hotel close sightseeing London , would recommend hotel ( not know price though , imagine good deal weekend . be worth check ) . 
 Jul 7 2006 	 good good 	 stay Riverbank late June 06 . new , clean smart . side room face rail line noisy 12 pm start 5 am . train pass every 10 15 minute hear they . even excecutive suite stay back face line receptionist say suite face back . to move front river view House Parliament locate ask extra 88 dollar per night . will not budge even size ordinary room presumably keep front room 88 dollar grade . the near underground 10 minute walk away . bad actually . taxis expensive London . everywhere go cost 15 dollar minimum upwards . if sure get front river view room good hotel . get good rate web site excellent value money . breakfast include expensive . nice coffee bar 5 minute away towards subway far cheap price good patisery . 
 Jun 25 2006 	 great view service 	 beautifully design room . easy access internet . great breakfast dinner . excellent service . great view Big Ben Parliament . short walking distance Vauxhall Station fast transport . also walk distance London Eye . overall pleasant stay , highly recommend . 
 Jun 21 2006 	 waterloo train line park plaza 	 hotel one major problem , good numbef room face riverside name suggest , unfortunately face directly Waterloo Railway main line . this effect give room face way , intolerable noise level late night , restart early morning . ruin oour break away young child , hotel use riverside advantage name description , get thumb 
 Jun 16 2006 	 modern great amenity great price 	 book room hotel long weekend . take train Paris . hotel 20 minute walk Waterloo station ... nice little stroll along Thames . hotel new decor modern chic . lot business traveler . room great . Roomy well appoint -- big , fluffy bed , flat screen tv , dvd player , usual mini bar stuff combo plug desk . use either british outlet , Euro outlet US outlet . adaptor need . one Euro outlet one US outlet , nice feature . use Euro outlet plug mobile phone charger ( phone purchase France ) , british outlet hotel hairdryer US outlet hot roller get ready go night town . bathroom wonderful . big luxurious . full sized bath tub separate shower . walk Paris foot kill . put really small bathroom Paris , feel like die go heaven . get fantatsic deal hotel via one online travel site . like hotel would stay . doubt . 
 Jun 13 2006 	 London day ... 	 one craziest trip ever . volunteer mule important package UK fast , cheapest reliable way get parcel UK . fly Toronto London back Toronto forty - one hour . I deliver parcel downtown location spend day see site foot . pull internet cafe West End search online good deal London hotel . like modern clean . find hotel popular hotel wholesaler $ 200 cad include tax . 's £ 75 . astonish price , location , ammenitie entire package . book realtime flagged taxi cross river head hotel . please lobby decor , St. Germain - esque music lobby . swanky lounge . check - in attendant difficulty locate reseravtion astonish rate prepay . manager come confirm . wwa aware promotion pleasantly welcome hotel . get room clean comfortable . take almost five minute determine key room also engage power light television . obviously prevent guest leave light room . the washroom look virgin . would plate eat meal sink . glass door shower look like nightmare housekeeper . see great deal Windex glass shine use cleaning unit . flat screen television beyond capability . also tired use . plug noteboook desk / workstation . love hotel dataport wi - fi internet . power supply global . AC socket international plug . bring converter , nice touch encounter elsewhere . my colleague travel London often . stay Hyde Park one three Hiltons . tell hotel pleasure stay vow give go next visit city . great view River Thames , Big Ben Parliament . could offer high recommendation . would expect view hotel next door unle pay high top tier room though . ttfn 
 Jun 12 2006 	 Great Modern 	 stay Riverbank Park Plaza horrible night Grange Holburn . hotel price difference like night day . Riverbank Park Plaza bright , clean , comfortable , modern ; staff knowledgeable hospitable . bathroom large lounge tub separate shower . room service polite efficient . room flat screen tv available internet service . not get one room view - view hotel room be complain . make sure ask room view really want one . bank grocery store next door convenience train tube 5 min walk away . would definitely stay ! 
 Jun 9 2006 	 first not succeed ..... ask another room 	 wish could rate hotel solely staff . professional encounter many trip , however , property major flaw . entire back side hotel sit directly train track . train run dawn past mid - night . room acturally trackside . low floor , literally look inside car pass . first room 3rd floor face face pass train . would impossible sleep room . switch , problem , high floor side building , tolerable . hotel boast main feature awesome view Parliment , etc . want expect , make sure reserve room front side . beware , everyone want sell fast . probably would stay hotel unless take early train need convenience close station . also add hotel near bus tube stop ( Vauxhall ) good latin / asian fusion restaurant lobby . 
 Jun 8 2006 	 nice clean Hotel 	 girlfreind spend weekend Riverbank Park Plaza Hotel , nice time .. room clean especially bathroom bed fine .. hotel locate nearby city Big Ben 10 min walk .. 
 Jun 7 2006 	 great deal 	 spot offer Riverbank Plaza Travelzoo search internet affordable central London hotel . got great rate 79 pound night plus taxis access executive floor facility . room large standard , flat tv , lovely decor unbeatable view house Parliament across river . location enable we walk riverbank cross bridge major tourist site . bus also come hotel . nearest subway repair time . executive floor include breakfast buffet happy hour beer , wine , soft drink , coffee , tea snack . staff helpful friendly throughout . bed comfortable . would recommend hotel , especially not mind walk block take bus get tourism site . stay Easter weekend able attend service Westminister Abbey Easter close . 
 Jun 3 2006 	 lovely ... 	 stay April 2006 , truly find Park Plaza great base see London , particularly go get around mostly foot . Vauxhall station 10 minute walk away , Lambeth Bridge right block take Big Ben , Parliament , Westminster , etc . neighborhood seem safe riverwalk nice quiet . hotel modern feel asian twist . special offer , pay less would London hotel receive Executive Room free drink breakfast day . room much view , quiet clean . bathroom modern well , gift basket dresser nice touch arrive . hotel seem pretty well soundproof , railroad track directly behind hotel . however , suppose light sleeper happen get room side hotel could disturbed . however , noise go issue hotel stay urban environment London . 
 May 22 2006 	 clean that s . 	 second visit 3 month occassion room small overlook railway run 5 am 12 midnight . first visit fire alarm go floor 10th , able use lift staff seem indifferent obvious safety issue . instruction rear bedroom door advise escape route . second visit give room normally reserve people disabillity , bathroom poorly lay towel rail , shaving mirror low use kettle provide do not fit tap fill via glass ! bathroom shaving socket , wordrobe provision hang evening dress . food ok clean - that s . 
 May 18 2006 	 great swank hip great big bed 	 spend night wonderful , trendy hotel . great wife stay eat Club Lounge order breakfast . great room trimming , internet , big bed lot pillow , attentive staff great location . pinch delight . big marble bathroom , sparkle fixture . would rate hotel A+ would love come stay little long . 
 May 15 2006 	 great hotel ! 	 stay Riverbank Park Plaza London business last week . really like ! find contemporary , clean , friendly service minded staff . room great view London , big bed big pillow give luxurious feeling . would definately stay next time ' m London . also try restaurant , blend perfectly hotel food excellent , contempary asian . probably among good restaurant visit . 
 May 8 2006 	 modern design good hotel 	 stay Riverbank Park Plaza overnight weekend part theatre package trip . good , clean & amp ; modern hotel helpful staff . have twin room second floor - side hotel find pretty quiet . room good size . bed comfy room facility need - tea & amp ; coffee ; mini bar ; hairdryer ; iron & amp ; iron board ; safe ; LCD tv . bathroom excellent size , bath separate shower cubicle impeccably clean . buffet style breakfast room 1st floor view Thames Houses Parliament . Location wise - central London Albert Embankment opposite Tate Britain . happy get tube ( near tube station Vauxhall ) catch taxi ' soon find time away main London sight . our party 15 eat hotel ' restaurant night - Chino Latino . restaurant modern stylish design . excellent food ( asian cuisine ) service , although ' slightly pricey . overall , ' stay hotel . 
 May 1 2006 	 expect 	 great hotel . lovely resident bar , staff pleasure price reasonable hotel quality especially london ( £ 3.50 pint lager ) .location perfect . 5 min tube , bus right outside hoel £ 5 taxi oxford st.staff could well english , hey not go spoil break ! 
 May 1 2006 	 Great Hotel . great view 	 stay one night . find staff helpful accomodating , especially concierge , Dan . food restaurant delicious waiting staff professional friendly . particualrly enjoy breakfast . would certainly stay . 
 Apr 26 2006 	 Impersonal - ok business trip 	 Booked hotel sunday afternoon stay hotel monday , arrive hotel tell not book . unforunately room & quot ; train side & quot ; noisy river view promise website . amount money pay disappoint . the room nice , contemporary kind way , clean , bit impersonal . Got connect Wi - Fi slow , give end . breakfast next morning standard hotel fare , nothing exceptional , ok ...... go business trip company pay would fine , however go holiday would not really recommene hotel . 
 Apr 25 2006 	 great location modern lacking ' loca ' touch ? 	 stay hotel friend last weekend . great location we prefer busy west end . lovely walk along Southbank within easy reach , past Eye etc . also handy Covent Garden & amp ; theatre Strand , £ 6 taxi . journey taxi Paddington £ 15 think worth 4 luggage . room v smart , average size & amp ; lovely , large modern bathroom . side hotel could hear train nothing disturb we ! breakfast average , v friendly b'fast room mgr food could hotter & amp ; toaster quick & amp ; /or middle self - service area queue always form ! reception staff friendly & amp ; try help struggle English ( London ? ! ) eg friend report room 's air conditioning working & amp ; someone bring 4 bottle hair conditioner ! ! would stay pay £ 81 pr rm pr night inc breakfast & amp ; complimentary drink v good value . 
 Apr 23 2006 	 Nice suite avoid train side 	 Hotel 's double room max . 2 people , book executive suite wife , young son Easter weekend . Suite 131 GBP per night inclusive vat , breakfast cocktail hour executive lounge . two room suite clean , comfortable spacious ; breakfast good enjoy complementary wine snack evening lounge . side hotel front busy train track Waterloo station train noisy , stop run 11 pm 5 weekday ( 6 weekend ) . hotel intend modern , & quot ; minimalist & quot ; style , lot stark wall black everywhere , would gladly stay price pay . hotel restaurant high end asian / latin & quot ; fusion & quot ; place family price range . local restaurant takeaway five minute walk away . although away heart touristy London , think great location overall . Vauxhall Tube stop 5 - 7 minute walk , London bus pick across street . short cab ride Waterloo station . 
 Apr 19 2006 	 beautifull hotel rude- unfriendly - racist staff 	 stay riverbank park plaza end march 2006 year family . 1 ) reception staff rude , un attentive.2 ) concierge door man help luggage 5 pm ( good hotel central london.3 ) receptionist could not find reservation system . give confirmation number still could not find reservation . want pay deposit . even though room breakfast pay . call reception manager phone wait manager nearly 20 min come rude . bulide 2 hotel place . 1 riverbank park plaza2 Plaza thame river . 2 reception desk suppose know go . confuse place . now reservation plaza river apartment section hotel.and stand riverbank reception desk . sign board plaza river enterance.then come reception manager could not even find booking system . say check agent regard . offer room give money ... way speak cutthroat manner ... ? ? ? not look hospitable 4 star deluxe ..... come another manager apparently duty manager say go try reception desk findout see booking . feel ill treat feel seek discrimination reception desk aginst asian guy live States 23 year . never hotel ever life .......... thing expect 4 star hotel london specially travel 7 hour air . I shall never come recommend hotel one . 
 Apr 6 2006 	 high standard 	 always high standard , tend tojudge harshly hotel stay . find hotel outstanding , find modern interior refreshing , find restaurant & quot ; Chino 's & quot ; exceptional range alternative cuisine . unquestionable come back stay dine int restaurant , possibly invite client dine restaurant . 
 Mar 31 2006 	 good give miss 	 shame .... lovely look build cold impersonal ambience hardly staff attendance would expect . times 's good feel ' ve get place 's would expect busy metropolitan hotel - arrive ten evening find couple people bar , one person reception doorman concierge help luggage . everyone friendly efficient stay marred incorrect detail reservation room back hotel ( twenty yard main rail link Waterloo ) rather Thames view promise ! 
 Mar 28 2006 	 Best London hotel experience far 	 past 6 year , chance stay number hotel London . pleasant experience far . it be posh , nice business trip . positive : * room size fairly large standard room , nice feeling space * plenty lighting -- fact nice orange lighting mellow well * breakfast basement ( daylight ) well present , lot choice , clean fresh . * staff overall friendly * nice amience lounge / bar / restaurant * internt access via WiFi Ethnernet * right river . even side - room , view water * in - room safe large enough laptop * nice carpet ! * nice entertainment sytsem ( incl dvd player , flatscreen tv ) * hotel new , everything show tap , cupboard -- clean & amp ; new . * comfortable bed / pillow & amp ; clean ! negative : * right tube * extra towel bathroom * website merit good hotel * website tell get via public transport . email , respond next day ( kind slow ) copy & amp ; paste website drive . ask ! would definately stay . 
 Mar 20 2006 	 never stay 	 beautiful room , bathroom , lobby bar . luxurious encounter problem problem . upon check , find toilet seat cover urine . exhausted , want make fuss clean . Bedlinen dirty muddy footprint inside . also , next morning , husband pull use condom wrap around plughole bathroom sink - discover due water properly drain away . report problem , general staff attitude uncare state denial . seem suggest technically possible happen imply make get discount . offer we complimentary dinner accept , seem completely unfussed incident . every staffmember foreign , even though sure help international guest , we seem unfriendly concerned trying remember English language help guest . staff restaurant , however , extremely attentive . problem likely one - off , way deal matter highly unsatisfactory . would never stay hotel . 
 Mar 16 2006 	 really first - rate hotel ! 	 pleasure stay Riverbank Park Plaza Hotel 3 night , warmly recommend excellent hotel great service hospitality . the room tasteful furnish marvellous view river Thames , Houses Parliament Big Ben . bed comfortable & quot ; marble & quot ; -bath - room equip bath well separate shower . staff really make well make stay pleasant possible . Asian- inspire restaurant serve superb dinner . I would love stay hotel . 
 Mar 7 2006 	 lovely hotel grate view 	 stay 8 person 3 night . lovely hotel nice staff . hopefully come back soon . 
 Mar 6 2006 	 beautiful comfortable 	 best reason book hotel : hotel new , modern , offer luxury experience competitive price . search many hotel London could find one well appoint Riverbank price . location : hotel good - ish location , right Albert Embankment . walk along Waterloo Bridge cross order get Strand . , central London open be willing adventurous . walk opposite direction along Albert Embankment take we Vauxhall Bridge , cross find British Museum nice french cafe . Eating & amp ; transport : much around immediate vicinity way good eating , problem be willing walk little . room : spotless room beautifully appoint , tasteful decor , modern furnishing fine linen . bed sumptuous bath one relax ever . delightful entertainment system allow we play cd . ticket romantic evening . room could big , not mind trade cosy , clean neat experience receive . 
 Mar 1 2006 	 fantastic Stay ! 	 stay family one night ( six we spread 3 room ) . lot extra request - cot one room , extra bed another - delight everything perfectly organise arrival . room lovely - especially bathroom - bed extremely comfortable . find entertainment system little tricky work ( fact could not even figure switch , although partner manage ' m sure can not difficult ! ) . although room face railway track issue noise . breakfast incredibly busy staff cope admirably even happy porridge specially prepare baby party . receptionist check - in check - out friendly helpful . overall , great stay fabulous hotel ! 
 Jan 21 2006 	 w nice enough 	 get hotel priceline relatively good rate ( $ 120 usd ) London . time , 4 * hotel expedia / orbitz / venere either book well $ 200 . agree poster modern feel , would say be use stay W , rather pale comparison fair approximation streamline aesthetic . 's young feel hotel althoug many guest apeare late 20' / early 30 's professional work - relate excursion , pretty mainstream crowd . staff gracious responsive -- give another room tell first one strange odor . second room partial view Thames , since not frontward face side . prepare walk quite bit close tube station and/or bus stop . bus stop front hotel not take Northward towards sight -- walk across bridge turn right reach proper bus head north towards British Museum , theater , shopping area . also , close tube not one main line usually transfer -- difficult something aware . enjoy stay glad invest good boot -- cab expensive . Took Eurostar check ( Waterloo station near - by ) still cost 6 GBP go around 5 block . overall , much well average hotel . concierge helpful bus catch , etc . 
 Jan 21 2006 	 sophisticated hotel without sophisticated price tag 	 stay Riverbank Park Plaza first weekend January get really good deal . initially quite worried be not good area pleasantly surprised . hotel lovely - modern , well furnished service excellent . eat breakfast hotel first morning . wide variety choose good value money . would definately recommend hotel . good value money . 
 Jan 18 2006 	 Fantastic ! 	 instead drive 80 mile home see show , decide book room Riverbank Park Plaza Hotel . stay hotel December know exactly would get . superb service room among well ever stay . recommend hotel enough . definitely back .... 
 Jan 9 2006 	 nice 	 partner spend night New Years Eve 2005 . manage find parking space narrow backroad , park £ 17 night hotel . staff friendly , aloof . arrival swipe credit / debit card £ 50 , kind guarentee fund pay extras minibar / room service . beware ! minibar automatically charge anything take , even put back . room service not expensive thought . view wonderful- Thames Houses Parliament / Big Ben . London Eye not view hotel side road 1 km . room light nice . Tv , dvd , kettle , table , warbdrobe , iron board , iron include , bathroom imaculate well queen size bed ( standard room . ) ice machine end corridor large room 5th floor gym ( free use ) . mixture age . could not hear anything outside room great private function party downstair bar area . match expectation 4 * deluxe hotel would go back , clean , modern , spacious relaxing . close London attractions- staff advise . bill settle end stay , pay cash £ 50 swiping begin remain pende account couple day take . 
 Dec 7 2005 	 nice hotel ............ 	 husband return stay 2 night Riverbank Park Plaza , London shopping trip . upon check - in find desk clerk quite unpleasant , £ 50 take credit card refund back we departure . we find Vauxall close underground good 10 min walk hotel . room nice clean modern , apart housekeeping staff ...... staff aloof feel think own Riverbank Park Plaza rather juste work there . would return not think think would rather return Radisson Edwardian Hotel room nice modern staff smile ! ! ! ! ! ! ! ! 
 Dec 6 2005 	 Good - reservation 	 stay one night catch early morning Eurostar , must good hotel close Waterloo . overall really like hotel quite new therefore good ultramodern feel , standard bedroom reasonable size like fact en - suite seperate bath & amp ; shower . however ...... upon check desk clerk take credit card explanation craftily charge £ 50 without informing do , either beforehand afterwards . give copy credit card slip either , clearly try hide fact . claim done merely check credit available . also beware pick item & quot ; computerised & quot ; mini bar . also , exception morning breakfast room staff find staff rather aloof . despite problem go back nice hotel , forewarn forearmed . 
 Dec 5 2005 	 trendy smart 	 choose stay hotel weekend break read positive review TripAdvisor , disappointed . location convenient South Bank Westminster , close tube ten minute walk . tastefully decorate modern style public area room , nice lighting . ask riverview , result end fantastic view - romantic ! room size good ( London ! ) amenity . food service restaurant top - notch . two minor irritation unable get dvd player work rather hurry bar staff . summary , excellent hotel hope motivate London hotel improve act . return ? try stop we ! 
 Dec 2 2005 	 Friendly Family Business Hotel 	 celebraiting mother 70 year old brithday . four room three night . immediately arrive feel like come home . the staff nice helpful . during day hotel recommend us doand see family 11 - 70 year old . they also help we table famous restaurant wich fully book couple mounth . like dream ! every evening end bar front fire place nice mix cocktail good japanese draft beer . the athmosfere relax ! come back ! ! 
 Nov 29 2005 	 amazing view lovely atmosphere 	 first time stay hotel absolute last . good service outstanding room . loved modern architecture 
 Nov 24 2005 	 New 4 * currently flawed potential 	 ' return second overnight stay within month hotel ' time log comment . firstly , brand new hotel , open 6 month ago , would expect teethe problem . however – colleague – find problem expect . colleague arrive late – 8 pm – present problem booking make Company wholly - own Travel Agency guarantee late arrival . however hotel reception state record booking ! print copy email confirmation arrange connect laptop onto company email server , relocate email print would believe ! apparently - together inevitable queue reception - add another hour finally get room ! first stay – 3 week ago – free room upgrade ' executive lounge ' 11th floor , room initially impressive certain item miss present , i.e . hairdryer , iron , iron board , room service menu . eventually take lift reception sort problem internal phone remain unanswered . second stay take place week – sad say – even ' standard ' room allocate time item miss ! time hairdryer also list internal phone contact number , state anywhere print material available show overlay phone ' – phone bare ! list number mean another trek reception get resolve . respond quickly – queue course – within 15 minute 2 people arrive , one replacement hair dryer another miss card slot phone show internal contact number . problem include : booking - in ( queue course ) hand print detail book – reason , see ! - ask address credit card detail , apparently record retain previous visit . also ask keep print - out confirmatory email booking , ' never receive request many hotel ' stay , also mean personally without print confirmation booking agreement condition – possible problem check - out ! also need note hotel build noisy location – 4 - lane road one side 8 - track railway ( Waterloo main line ) . double glaze window barely adequate keep racket , build triple glaze additional secondary glazing panel . notice also acoustic deflector front building ( face road ) room rear ( metre railway ) none exist . train pass every minute close feel , hear ! however ear plug ensured get passable night ' sleep . bathroom , shaver point lack barrier shower cubicle rest bathroom mean water flow bathroom floor even shower curtain fully draw – ' really triumph design practicality ! also one bathroom light stay night ( apparently design ) light show bedroom 1 - inch gap connect door . block gap towel ! digital tv signal rather awkward - to - use tv / Internet / Email / CD / DVD / mp3 console prone fade certain channel ( especially five ) , effect freeze picture make sound out - of - sync picture . suggest weak signal presume tv room similarly affect . bed pillow soft , end use cushion ! room service meal evening perfectly ok little expensive mandatory 12.5 % service charge add . room service breakfast ok lack food item ' receive elsewhere , e.g . jams / marmalade . however breakfast work ridiculously expensive add £ 5.00 ' tray charge ' another 12.5 % service charge top . cap try charge breakfast twice – breakfast include room booking – check - out tell agree limit charge back directly back Agency , would want pay extra credit card ! course continental breakfast ( £ 13.00 ) include twice ! also unable print copy bill check - out , yet something Agency ask we sign leave hotel . hotel potential become 4 * attraction claim whole lot attention must pay detail could recommend anything 1 - night stay . moment ' good 3 * service masquerade 4 * . outside noise intrusion really inexcusable newly - build hotel location would difficult rectify . 
 Nov 22 2005 	 Superhotel view 	 stay two night Riverbank Plaza London . exellent room , exellent service , exellent view Thames exellent food ther rest . Chino Latino . we back . 
 Nov 21 2005 	 Perfect hope stay way ! 	 book hotel Priceline Nov. 14 - Nov. 20 - exceed expectation . check short painless , hotel staff friendly , concierge knowledgeable helpful , room clean , well light , bright bathroom excellent - large good shower power ! locate Lambreth Bridge catch # 3 bus take Westminster Tube Station , continue Picadilly Oxford Circus . night bus make convenient staying late . we not eat restaurant breakfast comment venue . coffee make facility room also work great ! amazing thing hotel US current plug every room - 's right , blow dryer , shaver , curl iron , straightener , work hotel ! ! ! certainly go back hotel , although expect rate rise significantly . not put location bridge , hotel certainly make ! ! ! 
 Nov 16 2005 	 Stunning - London need . 	 stay standard room night wedding suite wedding night . love hotel . contrast reviewer , feel standard room actually quite big hotel England . ' ve stay 4 - 5 * hotel across country Riverbank amongst big ' ve stay . room clean , well equip comfortable bed . hotel staff enthusiastic , efficient polite . the beautifully design bar real focal point although need customer give buzz . upgrade apartment suite Saturday night amazing view . delicious breakfast serve living room friend overlook Houses Parliament . all , can not fault hotel . minimalist design skilfully avoid tacky soulless . despite live three mile away , can not wait stay ! 
 Nov 15 2005 	 good location wiew 	 one good hotel stay ! . excellent service nice atmosphere . 
 Nov 12 2005 	 good ! 	 modern , stylish hotel , extremely friendly staff , good value money ; one usually expect London . I book executive room , upgrade suite , situate 5 star wing ( opposed & quot ; normal & quot ; 4 star wing ) . suite decorate strict contemporary style ( prefer & quot ; english style & quot ; , ) . suite consist & quot ; living & quot ; room ( work space , sofa , armchair , dining table two ) kitchenette ( well equipped ) , bathroom sand stone separate bath tub spacious shower cabin . two flat tv - set dvd - player , separate air conditioning room ( be point duvet bed need use air conditioning ? ) . sure suite serve well long stay . one problem though : window soundproof , sleep light , railway behind building keep wake . possible problem obviously exist room face atrium . as probably use normal room , ask see one . also elengant even quite spacious . ( yes , fulfil need . ) also executive lounge , perhaps give much add value : lot table chair quite limited space , something drink , much eat . hotel bar clearly cozy . the location perhaps good London , still quite close Westminster , within walk distance Waterloo station . taxi Paddington station take 15 - 20 minute . as conclusion : highly recommendable ! 
 Nov 1 2005 	 fantastic stay ! 	 return weekend London stay Riverbank part prize . hotel fantastic , service great start finish concierge working weekend could not helpful recommend two restaurant reasonable price also serve delicious food . room superior spacious partial view Thames . bed lovely soft bathroom large separate glass shower cubicle . breafast morning comprehensive large choice include traditional cooked well huge variety cereal , seed nuts , cold cut , croissant etc . we , location fine , take 15 min walk across bridge westminster , alternatively , Vauxhall tube station 10 min walk . would thoroughly recommend hotel stay London , definitely stay ! 
 Oct 25 2005 	 return ? ? yes ! ! 	 stay four night Riverbank Plaza hotel , enjoy time . very good service staff . delicius food . wonderful view River . beautiful room dvd , internet , tv channel . will recommend . 
 Oct 24 2005 	 Superrelaxing 	 well long weekendstay far . friendly staff , modern style good food service . view hotel worth lot ! ! ! ! 
