Excellent 	 much research choose stay K & amp ; K London business sightseeing disappoint . location roughly 150 yard Earl 's Court tube station . rely heavily mass transportation trip . ExCel convention center bit trip take little hour reach South Kensington area much nice area around ExCel . also use train system number trip meet client . connection Victoria several station easy Earl 's Court tube station . it quiet . hotel block main drag . addition , get room overlooks courtyard . minimal noise city within hotel . the room small ( typical Europe ) well design . internet free ( although wifi room may need connect via cable ) .The bed comfortable bed new . the bath well design plenty light . the staff attentive . case early package arrive schedule . deal concern professionally notify we promptly arrive . learn also schedule stay sister hotel Paris phone ahead , confirm reservation ensure well care . class act ! really enjoy hotel location . wide range restaurant foot hotel . use restaurant hotel look clean active morning . I stay Hotel George . 
 Jul 27 2005 	 Awesome ! 	 husband , 10 year old son stay K & amp ; K 5 night last month love ! many review note , location perfect . extremely close everything need .... especially tube station , Earl 's Court ... close everything , yet quiet safe little residential street welcome one back long day tour like . room exceptionally clean , bright . bed comfortable long experience Europe ( tall family ) . breakfast smash hit we garden perfect afternoon tea enjoy writte post card folk back home . we back hotel next visit ! ! 
 Jul 25 2005 	 great hotel modern awesome bar area 	 great hotel nice area London outside city center . near Earl 's Court tube stop -- less two - minute walk . take maybe 20 minute get major attraction -- bad . maybe 40 minute tube Heathrow . it safe walk around area far Harrod 's , Kensington , etc . ( walk lot due bombing ) . great pub , takeaway , Starbucks , restaurant one block away . the location ideal -- set major road ( Earl 's Court Road ) hear thing . impressed solitude seem provide one world 's large city . the staff helpful get taxis checkout , etc . bar staff & quot ; iffy & quot ; -- one bartender ( nice , young polish woman whose name escape ) excellent nice talk . however , man ( foreign guy ) work bar rude time -- overtly , short us time two ( reason could tell ) . tip well loud know deal . not really bad enough complain management though . the room small ( typical London hotel ) bed incredible . tv good free wireless access throughout hotel free computer use lobby . free tea coffee morning + nice buffet 's thing ( although be pricey suggest hit one many grocery main road pastry instead ) .also , nice , relax garden area eat drink . 's good feature hotel . I would stay without issue . highly recommend . 
 Jul 24 2005 	 would recommend friend 	 pleased selection hotel read review site . two minute walk Earl 's Court tube station , room small , clean comfortable ( air - condition ) , nice bathroom , quiet part exception fire - alarm go twice 5 night stay ( 3:30 ) . explanation front desk next morning fire alarm set someone take hot shower - explanation follow apology , deliver defensive manner . lovely garden back , excellent internet access . breakfast 12 pound per person , quite restaurant nighborhood cheap breakfast , include Starbuck 's McDonalds . 
 Jul 22 2005 	 exceed expectation ! 	 find great rate 198 pound two room . expect deal low water pressure something funky . pleased find good thing reviewer say . the great thing : showervery large fresh buffet breakfastfree internet printing access ( 2 computer ) clean , clean , cleanquiet location close everythingvery nice duvet beddingFYI street garden room , quiet . double room much small twin room . ( two bed push together ) much staff London therefore would know much London happy give map etc .. Earls Court take straight Heathrow three child . easy $ 50.00 less take cab fast . Holland Park , Notting Hill Kensington close . west End easy get . Earls Court South Kensington bit hectic , generally steer clear meal McDonalds . I stay luxury hotel , rent home , etc ... London , kid breakfast , hotel great alternative . 
 Jul 21 2005 	 recommend 	 Nice hotel good location . clean , good service surprise . 12 pound breakfast quite overprice several reasonably - price restaurant close . would recommend Masala Zone like indian food . Nando 's street bottomless pop ( find rarity europe ) ! ! ! Earls Court tube station easy 5 minute walk . note : rack rate nearly double pay Travelocity . 
 Jul 8 2005 	 Great Value 	 family stay 5 night read review hotel . book two room next receive great rate 98 pound per night . would echo recent post hotel fabulous , clean room , excellent breakfast , relax garden , nice little bar area unwind day sightseeing . staff , though , level . try appear friendly , knowledgable area efficient helpful . , however , give we nice informal Tapas restaurant recommendation area perfect family look relatively inexpensive ( London ) tasty meal . room adequate size pretty soundproof . stay first floor room overlook garden . Earls Court tube stop convenient , although bus little hard get . convenient walk natural history Science Museums well V & amp ; , much around hotel area . nice hotel worth stay able spend money extra show West end . 
 Jul 7 2005 	 ok - great price - 	 stay K & amp ; K base review want contribute . get great rate thru Travelocity include breakfast . ok since usually early go somewhere lot place Earls Court Rd get coffee something else . here good point : - hotel contemporary clean.- although room small , comfortable.- bathroom clean - shower excellent- location good - close tube stop still zone 1 . ( see comment ) - room quiet - face back . some area improvement : - staff bit cold . look real concierge service , hotel meet expectation . example , reluctant call make dinner reservation us.- find bed hard - pillow great though- clock room - wake call iffy - sometimes call sometimes not . need somewhere ( like back airport catch plane - bring alarm clock.- although location good , center thing sometimes , woudl helpful . day shleppe day go way back Earls Court change dinner back theater , etc . overall , hotel fine . might stay would probably prefer something bit upscale . money , can not beat it . just realize luxury property . 
 Jun 30 2005 	 highly Recommend 	 K & amp ; K George Hotel meet , actually exceed expection . room clean , large expect London . bathroom great , size US hotel , everything clean . room rate include buffet breakfast nice . hotel German own . staff prehap little cold , other professtional helpful . one complaint ask call we taxi theater , call van service , end pay 50 % regular taxi take back hotel . ask get taxi , specify exactly want . location pretty close street store casual restaurant . cute restaurant , NANDO 'S , close great roast chicken , grill corn , would good child - check . Earl 's Court tube close . plan get 3 6 day tube pass , save lot money . 
 Jun 27 2005 	 Loved hotel staff 	 family stay K & amp ; K George Hotel London read wonderful review Tripadvisor . slight problem book Travelocity , fairly easily resolve . hotel far exceed expectation London hotel . room 3 decent size , modern nice size bathroom , amenity need . feel hotel problem . entire hotel staff german , almost exclusively , many client german . felt somewhat look upon staff . maybe german demeanor , feel warmth genuine helpfulness staff city travel past 2 week . whole family , 5 we , feel way . obviously , review website , people feel . definitely . also , prefer close Kensington area oppose Earl 's Court . 
 Jun 25 2005 	 Perfect Stay 	 great stay hotel . room small expect Europe . hear many people comment ont size room ... small would take holiday inn day . location perfect ... small quiet street 2 block form Earls Court tube station , close chic Kennsington . we need hire car pick grandmother front desk take care arrangememnt . I would stay 
 Jun 23 2005 	 highly recommend ! 	 return stay George 3 night , would definitely stay again . location perfect , mention reviews- close Tube ( Piccadilly Line direct Leicester Square take 30 min ) lot restaurant pub around corner aswell convenience store stock snack bottled water - much need extreme heat last day ! room fourth floor , good size , light airy . air conditioning excellent apart one random night roasting room , however may sunstroke rather faulty air con ! room spotless modern , desk , table chair , mini - bar tv . bathroom small spotless , shower good plenty towel toiletry use . breakfast lovely , buffet - style anything could possibly want breakfast available ! also serve 11 am quite late compare hotel stay past . definitely look place next time visit London ! 
 Jun 21 2005 	 happy K 	 return London last week , stay K & amp ; K George . pleased room -- -not huge , desk bed quite comfortable . room street side , quiet . ac work fine , hot night . warn take washcloth , London hotel not supply , fresh towel washcloth provide daily . staff helpful responsive . ( hairdryer not work , go get another one helpful providing direction place . also replace feather pillow hypo - allergenic one request . ) bathroom great water pressure temperature good lighting . Nando 's good place eat nearby . good little grocery story ( Sainsbury 's ) one block , great water , munchie , etc . reasonable price . tube station minute walk away pleasant area , get anywhere want go . would definitely stay . 
 Jun 21 2005 	 Great Hotel Perfect Location ! 	 stay Hotel George early June . second trip London far exceed expectation . London standard , room good size ( mean little small side comfortable ) bathroom shower / tub . awesome buffet breakfast available , include egg , bacon , sausage , fruit , cereal , coffee , juice ... staff friendly & amp ; helpful , great garden back , tube stop around corner ... 
 Jun 17 2005 	 expect . good hotel . 	 return 3 day stay K+K Hotel George . read reviews site agree hotel good value would stay . truly enjoy hotel . I sum though : -very convenient location want use tube main mode transportation . Earl 's Court good starting point get anywhere city.-the street truly quiet mention previous review . Earl 's Court quite busy , walk toward hotel , notice change.-the hotel lobby bright , clean , easily accessible . desk service efficent . usually require much hotel staff , thing ask help handle wonderfully.-Computer free internet access readily accessible lobby available whenever need . another downstairs lounge . quiet.-the lift indeed small , sound like lift London small . two bright clean . may need separate lift one bag per person , stair available well.-We double room third floor next lift . could sometimes hear lift arrive , sensitive , may want request location . -our double room desk , understand review may able request one big room . -room clean , quiet , view garden , small hear hotel room London . Bathroom shine clean . well expect ! strategy one time morning get ready . Meant 's way small room get sleep bit long . room temp comfortable , not hear neighbor . two individual duvet fold bed odd experience get chance find like . shower treat . hot great pressure . -breakfast great mention . good service . -If decor important part hotel experience , please look hotel photo . quite accurate interior furnishing . simple , bright light opinion . decor suit look trip , matter personal taste . -we spend much time hotel ; 8 back 10 , location right next major site issue . -We spend real time Earl 's Court , review mention good restaurant . need Chemist toiletry right next tube station.-if want truly & quot ; British Hotel & quot ; experience close proximity center London , K+K would choice , wallet would bit empty . trip London wonderful hotel choice great . 
 Jun 14 2005 	 Service value 	 K + K Geoge Hotel great value , nice amenity nice helpful staff could hope . food excellent garden pleasant place relax . tube stop bus convenient even though hotel center tourist area , easy get around location . not mind walk ride tube , great place stay . a / c great adequate hot outside . PE 
 Jun 13 2005 	 good hotel price 	 read review Hotel George past several month , decide book 5 day stay . previously state , hotel good location Earl 's Court convienent Earl 's Court Underground . room adequate 3 we , carpet little worn bed comfortable . bathroom clean stock thick , large bath towel facecloth usual shampoo / shower gel / soap . not find room noisy ... maybe one either side we time . complaint would room hot night fan not really cool 3 us 5 piece luggage , place get way . breakfast include cost great ... lot eat good selection hot cold item . day , generally eat dinner restaurant nearby 2 would recommend ( pricey ... find London anyway ) would Masala Zone ... great curry decent portion ( 6 8 pound per meal ) ... Bistro Benito .. ( meal 7 9 pound ) ... great italian place within block two hotel ( Masala Zone ) .... portion large yummy ! , would stay Hotel George location , area price . 
 Jun 12 2005 	 Convenient 	 K+K quiet side street neighborhood boutique hotel residence . room tiny ceiling high huge , sunny window overlook hotel 's little park . wall thin -I could literally talk sister wall connect room without use telephone without raise voice - yet not disturb noise either night 2 - night stay . elevator tiny ' ve ever see - claustrophobic - 2 3 people fit time . take stair ! hotel 3 minute Earl 's Court Underground station- convenient - make back Covent Garden theatre 30 minute flat . family - run cafe fast - food place block away . staff courteous , not expect concierge - level service . want help theatre ticket tell go Leicester Square deal ( hot , crowded , 20 - minute ride tube ) . satisfied stay . 
 Jun 9 2005 	 absolutely perfect ! 	 hotel absolutely perfect ! previously mention , hotel perfectly locate close tube . arrive hotel , find staff polite great assistance . entrance classy , lead warm cosy bar . despite room London generally small , partner find size quite reasonable , ammentie would require hotel . shower / bath great ! however , good hotel offer breakfast - range hot cold food , extremely fresh filling . waiter also extremely helpful . would highly recommend hotel ! ! ! 
 Jun 6 2005 	 great location friendly staff . 	 wife get back two week Europe , one spend K + K Hotel George . location terrific . yes , locate right around corner , literally , Earl 's Court station ( let go anywhere London w/ District Circle Lines ) 2 block away bustle , noisy street Templeton virtually silent time . somerfield grocery store next McDonalds great find . stop everyday bottled water snack food would head day . back hotel ... room small remember european room clean A / c work ( thank goodness since 90degree Farenheit ! ) . lobby / bar get bit smokey night fine b / c walk back garden enjoy cool breeze . staff helpful , although warm . book cab get direction restaurant tag eat stay . also , reason , could reach room wake - up call morning . could dial could reach we . , every morning , staff member would come knock door wake . nice . room 201 , well light room three big window open Templeton . aside Somerfields , eat near hotel , however , look recommendation , : Darius - persian food . well ever inexpensive . kind pain get Tube ( Royal Oak ) bad not mind walk bit meal . Chutney Mary - Indian Food . Delicious two tube stop away ( Fulham Broadway ) . 15 min . walk tube stop restaurant worth well . BlueBird Cafe - Continental Cuisine . trendy hip place near Chutney Mary . Chelsea King 's Road . lot cool shop , restaurant , bar . bit pricey excellent atmosphere food . beaufort House - 1/2 block BlueBird Cafe . great place drink . anyway , lot London glad safe place like K + K come back night . post pic soon . anyone plan trip look feedback , feel free email @ eujung @ mindspring.com . 
 May 24 2005 	 1 negative ... 	 Hubby stay Hotel George May 6 - 15 . fourth trip London . happy location . Flew Heathrow take Picadilly line ( Blue Line ) Earl 's Court . underground deep elevator surface ... result ... stair deal luggage LHR front door hotel find 6 stair . handy long rolly bag airport cobblestone . Tube fare 4 pds sterling per person . hotel locate 2 short London block Earl 's Court . exit station turn leave , take first leave first right onto Templeton . easy peasy . many eat choice include Subway McD 's . Nando 's chicken Benkito 's good choice . will pass McD 's way tube Starbucks , Nando 's right corner , Benkito 's right Mews ( little alley / street ) across hotel . also several currency exchange close . easy tube access Picadilly District Lines everywhere . Tube Tip ... many diff ticket type offer . be tourist consider Zone 1 - 2 unlimited 1 day pass . easy use much cheap buying go . lady , not let magnet purse erase ! side hotel thin wall ... could neighbor talk , snore , could hear alarm clock etc . otherwise , great choice . mattress could well , everything else clean , new , duvet / pillow , etc . free internet access lobby downstair business center . Buffet breakfast great way start day ... lot choice , fruit go , etc . eat garden nice weather plesant option . would stay ... like well Royal Horseguards ( Nov 2004 ) although location can not beat ! 
 May 22 2005 	 love k+k ! great kid ! 	 stay K+K read great review think well share feedback ( especially ready couple neutral recent review ) .My husband , 4 year old son stay k+k last week 3 night slightly pricey ( really London ) , pleased get especially compare London hotel prior visit . here be see hotel key feature : LOCATION ! Earl 's court subway handy line . also handy bank machine , convenience grocery store 's nice quiet street . for kid : fussy eater , be handy McDonald 's & amp ; Burger King , great back garden running energy . also book directly get rate # 115 triple room . ( child stay free could not manage ensure bed son without phone hotel . extremely polite helpful short call make reserve later extend stay . ) breakfast : great variety include room rate . child - friendly parent - friendly food . room : large typical London standard . bathroom small adequate clean shower bath free shower gel , shampoo . ( flannel / face cloth appreciate tip bring . ) ' m allergic feather replace allergenic pillow quite quickly . free computer internet access lobby : manage send email , check information easily without bre computer . overall , could not ask anything ! pleased K+K experience would recommend anyone look nice hotel London ! 
 may 11 2005 	 quite good review 	 stay hotel proximity Earls Court . room small although clean . kettle work warm drink although order tray tea room service arrive . breakfast good choice cold plate hot buffet & quot ; hot & quot ; buffet warm . really impressed . Anne Ludlow 
 May 9 2005 	 ok great 	 can not share almost unreserved enthusiasm place reviewer . guess really depend deal get . not include breakfast , seem big draw . reception area nice garden rear . room ok , quiet everyone else seem say . could hear curtain closing room next door low conversation / tv noise . rain , noise window really loud reason . double bed two single duvet , quite odd . bathroom begin look bit tatty . white plastic door handle look really grim . reception staff nice , helpful . location quite good - easly get Ken . , Brompton Cross , Knightsbridge foot even . Tube 20 min central London . 40 min Heathrow . in , probably 3 + , good thought would read review , slightly dissappointe . 
 May 3 2005 	 Great Location ! great choice hotel ! 	 spend past 2 week travel around Greece , London , Paris . far , k+k Hotel George good value whole trip . spend April 23 - 25 , 29 K+K Hotel George Earls Court . first , let we say , seem literally thousand accomodation London , actually choose hotel result read website early year . location absolutely excellent , block Earls ' Court Underground ( Picadilly , District , Circle line ) . lovely short walk Kensington High Street , choose walk ride Underground major attraction Central London ( Kensington Gardens , Hyde Park , Green Park , St. James Park , Buckingham Palace , Big Ben , Parliment , Westminister Abbey , London Eye , etc ... etc ... ) use Underground Heathrow Airport Waterloo Train Station without difficulty . room bathroom small efficient clean . street quiet . breakfast buffet EXCELLENT . staff helpful recommendation , direction , etc ... hotel offer free internet access extremely important we . nice bar . lovely garden sit read enjoy spot tea cocktail . loved hotel . return ! highly recommend . 
 May 3 2005 	 great value hotel 	 hotel nice hotel . small room immaculate . comfortable bed quiet . buffet breakfast include rate £ 100 double simply superb , one well see hotel size . fresh fruit , nicely cook hot breakfast , trimming . evening meal also perfectly adequate . reception efficient hotel car parking £ 15 per day extra . great location earls court ideal explore london . hesitation recommend hotel stay . 
 Apr 27 2005 	 Outstanding Hotel . incredible Value . 	 base review TripAdvisor.com , decide stay K+K Hotel George . fantastic choice ! book non - smoking room two £ 105 night directly Hotel George 's website include delicious buffet breakfast . room small american standard , meticulously clean thoroughly modern . bathroom nice . bed strange American . instead one large comforter / blanket across bed , person bed get mini comforter . Ummmm , romantic set - up . regardless , bed incredibly comfortable , pillow . fly ointment repeatedly flakey WiFi room . be free , not much leverage getting fix . complain couple time , never improve . three laptop experience frequent drop connection . otherwise , staff respectful friendly ( be casual traveler ) . also happen attractive cleaning lady Earth , accord single male travel wife ( course , not notice , honest ! ) . 
 Apr 17 2005 	 sound choice . 	 husband choose hotel base good review read .... turn true ! hotel great location ( minute walk Earl 's Court tube station ) . staff friendly accomodating . room small , clean comfortable . stay non - smoking room even hint smoke smell . would definitely stay hotel . second leg trip Paris kick book another K & amp ; K ! one small thing would advise make sure continental breakfast include package . think order room service two morning . upon checkout find since book package Expedia , breakfast include . not expensive , know extra charge , would find somewhere else eat . like other , also recommend Benkito 's , small cafe across street . 
 Apr 10 2005 	 stay ! 	 wife regularly travel England enjoy hotel much . 4 star hotel 3 star price ! location perfect , hotel quite side street , 1 block tube station . lot place eat nice Tesco 's 10 minute walk . room well appoint , clean comforatable ( emphasis clean ) . small compare US standard adequate . shower well one home great water pressure ! book Bristish Airways good price get breakfast buffet , outstanding . staff friendly helpful advice local resturaunt . room quite able sleep without problem . internet access lobby nice hotel bar great place relax dinner . stay . 
 Apr 2 2005 	 great place stay child 	 choose K + K Hotel George base review ( hotel desk tell we proud read , ) . hotel handsome location terrific - block tube many small restaurant , quiet street lovely garden back . garden pretty , enough space child play tag hide seek . book British Airways booking include breakfast . breakfast buffet lovely look many item choose think everyone could satisfy his / her taste . also serve light menu day long bar / lounge find helpful feeding child theatre ( not miss Mary Poppins ! ) . room decent size ; bathroom small well appoint ( would nice shelf one hook bathroom ) . bed ( pillow ) wonderfully comfortable . give room low floor ( reception ) - perhaps child think would not bounce floor someone 's head ? recognize wisdom , would ask , booking , room high floor . even though room nice plenty natural light ( floor ceiling window ) , be something nice look garden rather garden . highly recommend K + K Hotel George . one & quot ; negative & quot ; observation man ( front desk , breakfast room , bar ) staff , highly efficient ( hotel run austrian firm ) , might benefit lesson charm humor one find british male staff . 
 Apr 1 2005 	 recommend 	 hotel convenientely situate , staff attentive friendly two small request accommodate immediately minimum fuss . breakfast excellent , cater taste . room small side spotlessly clean overlook garden . generally , would recommend hotel anyone look handy , quiet , clean friendly hotel . if eat try Benito 's Earls ' Court Road , 2 min tube station . busy , lively atmosphere , lovely food treat old friend staff accommodate . 
 Mar 30 2005 	 highly recommend 	 will not echo previous reviewer compliment , add useful tidbit : dining : not miss Benkito 's ( also know BK 's ) Earl 's Court Road breakfast dessert -- 's door equally affordable vastly inferior Benjy 's . ask Kate Israel ( owner ) tell Stephanie Tripadvisor send . everything homemade care serve easygoing atmosphere . beatle fan will find friend Kate . Strada end Earl 's Court good Italian ; get recommendation card K & amp ; K desk obtain 20 % discount bill . Indian Summer , Earl 's Court , good , affordable , close - in alternative . also : not forget order free coffee , tea , toast room service delivery . Use hanger provide room check desire menu . choice also available ( fruit , yogurt , etc . ) 2 pound extra each . timing : clock room . someone party ask wake - up call two separate occasion -- neither deliver . bring alarm clock . computing : besides free internet access available lobby , another computer ( laser printer ) find lounge downstairs . stay lobby full smoker lounge empty . enjoy stay ! 
 Mar 25 2005 	 great hotel terrific value 	 hotel well expect . decor modern , fresh tastefully do . room plenty big bathroom excellent . two room could tell , room newly update bathroom . the staff pleasant accommodate . appear German operate great precision . there full breakfast buffet dining room bright fresh . breakfast appreciate perk consider meal price London . the location Earls Court main London Underground station block away neighborhood appear young hotspot many trendy restaurant . I would stay k+k look hotel travel 
 Mar 21 2005 	 Location + Internet + Clean 	 London conference Olympia . ' conference hotel ' Hilton Olympia , reviews TripAdvisor put hotel . instead , review K & amp ; K Hotel George generally good thought give try . not disappointed . 's : location : hotel literally around corner Earl 's Court tube station . important , could get Olympia without change train . Earl 's Court brilliant anyway serve Picadilly , District Circle line - get almost anywhere London minimal line change ( ) . right next station ( minute away hotel ) many restaurant , newsagent , shop supermarket . little need cater . ' m attend conference , not need fabulous meal every night - catch decent sandwich nice drink late night without fuss important sometimes . way , know ' minute walk ' cliched bit - case , literally true : close . despite convenient location close decent high street , hotel situate round corner quiet lane . none traffic noise filter thru quiet night 's sleep assure ( stay 1st floor face lane problem noise ) .internet : conference , need stay connected . free internet access definitely tip choice favor hotel . UK hotel not internet , tend charge extravagantly ( 3 pound 30 min ? ! ) . free access room mean surf net much need without pesky thought cost lurk back mind . Clean & amp ; new : hotel refurbish ' old ' english building outside , modern , bright clean inside . matter much one value ' quaint ' ' rustic ' ' elegant ' , personally prefer shiny clean toilet mildew mould day . hotel superb term cleanliness . service : friendly staff . impressed genuine ( close genuine ) warmth friendliness check - in - also happende smooth efficient . staff also discreet - also like . ' m tired day conference meeting etc , sometimes appreciate hotel staff friendly call upon , otherwise know bother excessively fastidious ' service ' . Hotel George 's staff seem strike good balance regard . not good ? slight gripe size place . refurbish London townhouse , room relatively small ( snug rather tight ) . corridor lift truly tight squeeze , especially bring bulky suitcase . I not try breakfast reviewer seem rave . find rather pricey , choose hot breakfast various restaurant around Earl 's Court Tube Station . when leave , staff call cab . cab driver strike conversation . tell make good choice hotel . tell whenever need entertain out - of - town guest , throw small dinner party , hotel London , would always choose Hotel George . come London taxi driver ( know thing ) , suppose 's great praise indeed . 
 Mar 18 2005 	 wonderful ` ` boutique '' hotel 	 husband stay K K George second week March happy find review read true . hotel locate around corner Earl 's Court tube stop , quiet street . Earl 's Court tube stop several line , get around London easy . get week long trip ticket make even easy . hotel immaculate ! modern style , comfortable room - # 406 face back courtyard look like nice place relax warm weather . book British Air Holidays get good rate season , include full breakfast - ample buffet serve 6:30 11 am pleasant dining room . warm fireplace bar invite place nightcap night . staff pleasant helpful . can not wait visit London stay ! 
 Mar 12 2005 	 good enough hot water problem 	 stay February . nice decor , room good , internet access great . - cause quite scene get smoking room have request . restaurant / room service food quite awful . something happen hot water morning , unable shower - yuk . get heavy suitcase step difficult . location super though staff seem pleasant helpful main . 
 Mar 1 2005 	 restful oasis 	 husband recently spend 5 night Hotel George . renovation work go , nothing irritate . location close tube stop , happen line Heathrow . room decor pretty nice , breakfast buffet include . internet access room , well wireless service . also business lounge non - smoking computer terminal . be London , one tends spend much time one 's room , definitely nice place rest head . nice back yard / garden would pleasurable warm month . 
 Mar 1 2005 	 well usual service facility k+k George 	 stay two night January 05 . although room not large ( London ) nicely do contemporary style . breakfast great . staff make feel welcome . free internet , whether wifi lobby terminal , real bonus - make feel htoel try squeeze every last penny . bar cool fun . book direct web deal good . 
 Feb 27 2005 	 Best Value ' ve find London 	 stay k+k 6 night last week , ' ve finally find London hotel . will back . first tip : good rate find BA Holidays . check discount site , get double room GBP 100 per night . great value : free INTERNET great buffet breakfast 2 include room , save we lot food money . room large London hotel stay double price . work hotel 10 year , sincerely say staff helpful great job . location convenient Tube station , restaurant food mart close hand . minor issue : wife find bed comfortable ( though think fine ) . wicker desk chair uncomfortable laptop use , consideration email extend period . however , fact consider , definitely back . 
 Feb 27 2005 	 many advantage tourist business traveler 	 stay one week end February . wife pleasantly surprise . second floor non - smoking . place clean , smoke free , quiet . room small compare american standard , plan spending lot time room , fine . probably would reccomend place small child lack entertainment kid . high speed internet work advertise . computer internet access lobby save lot time money need access without brave local internet & quot ; cafe & quot ; . arrange breakfast include rate , worth . breakfast buffet style egg , sausage , ham , fruit , toast , pastry roll , cereal , juice , etc . breakfast bit crowd get late . location ideal travel via tube Heathrow . picadilly line direct connection Heathrow stop Earl 's Court . need change train unfamiliar city . since hotel less 2 block station , save taxi well . travel center London snap Earl 's Court . 3 tube route serve probably will not change train much . many pub restaurant nearby . handy laundry also block away ! staff friendly , knowledgeable professional . would recommend K & amp ; K George couple vacation business traveler seek quiet , clean , well run establishment convenient location . 
 Feb 14 2005 	 expect give review ! 	 consider previous review hotel suprise disappointed . double room tiny two single duvet ( ? ? ) , bathroom ridiculously small ( cat could not swing cat ) worth money . parking convenient though . certainly fantastic previous review make . would not stay . 
 Feb 13 2005 	 Fabulous ! 	 stay 2 night February fabulous ! must renovate fairly recently , problem tired victorian building , everything new shiny . staff friendly helpful , ' m use London , problem store luggage checking . breakfast lovely , big buffet continental English food , dining room look onto large private garden . hotel close underground station convenient , close Kensington 's museum . would hate think stay somewhere else ! 
 Feb 7 2005 	 Great Place Grat Value 	 stay k+k last weekend pleasantly surprised . property far well part London ( Earl 's Court ) , be clean , modern , well maintain , friendly staff , & quot ; business lounge & quot ; downstairs , nice bar / café ( snack menu ) , breakfast buffet leave little desire . oh , 's private garden back , chair table hotel guest . the room big ( single room ) , wireless cable high speed internet access free ( ! ) , though wireless signal get weak high floor . loved power shower combine A / c + heater ventilation , efficient noisy . bed perfectly adequate . rate vary , consolidator quite interesting offer property . make sure rate include breakfast though . bottom line : serious contender business next time will London 
 Feb 3 2005 	 Great Value / Friendly Staff 	 research hotel good balance ( price , location , review ) , find K+K good blend . upon arrival , say disappointed . arrive late state find room ready already setup crib 7 month old daughter . triple room ( 113 pound / night ) room four night . agree reviewer room small american standard , ample space we ( include little crawler ) . room clean , bright , well maintain . say bathroom . also front build street level still find quiet . room contain stock mini bar safe . 's location less two block Earl 's Court ( Blue , Green Yellow line ) tube stop . complimentary buffet breakfast good . hotel also hold luggage check last day . handy full day available traveling . staff always pleasant . nick give hotel difficult get stroller hotel step access . ramp would extremely helpful . 
 Feb 2 2005 	 wonderful Showers small room triple 	 return stay K & amp ; K George Hotel . everything clean , service wonderful staff warm friendly . not eat breakfast hotel find quite pricey - go Earl 's Court Benjy 's get unlimited coffee breakfast around 4 pound . major problem pay ask triple , give we room two twin bed cot . travel disabled person need assistance , three us room . take table double room add cot ! check room size small bathroom . otherwise , would definitely recommend K & amp ; K - great location , shower alot water pressure , clean - modern furniture , lobby , etc . also shoot BBC tv program steet exciting . 
 Jan 22 2005 	 good value 	 whole , nice hotel , good value . breakfast awesome location convenient . however , shortcoming consider : -there doorman staff member help door suitcase . be even big concern people disability , step only.- single room tiny bit claustrophobic be stick inside rain ; ) - toiletry & quot ; minimalist & quot ; . - staff friendliest . request additional towel morning leaving room get back evening not take care . ask sound like demand kidney ! 
 Jan 14 2005 	 great friendly hotel 	 need somewhere reasonably price overnight stop early flight next day . take gamble Expedia book hotel ( not discover TripAdvisor point ) . disappoint - hotel far nicer expect . room clean good size , staff polite helpful complimentary internet access boon teenage daughter say goodbye many friend email gap year New Zealand . would definately recommend hotel - fact , book couple day stay London next week . 
 Jan 12 2005 	 Charming Boutique - y Hotel ! 	 stay 2 friend one night September way Paris please . room small american standard , well appoint comfortable . bathroom modern good hot water , water pressure hairdryer . the location terrific , quiet residential street around corner tube . plenty restaurant within walking distance ... eat wonderful pub ( wish could remember name ! ) .The staff friendly helpful , always smile greeting time came go . also helpful sightseeing restaurant recommendation . also like free internet access lobby email home . the last time London stay Crowne Plaza St. James , nice , think would rather stay K+K Hotel George future visit London . 
 Jan 10 2005 	 Loved ! 	 go London New Year 's 25th Anniversary . K+K look ! choose rave TripAdvisor . posting true . quaint , quiet , modern convenience . service incredible staff bend backwards . even put champagne room compliment find Anniversary . blip hot water pressure , fix pronto . location perfect , . underground station block away connection major line . 15 minute anywhere . breakfast spread wonderful , be include room rate , much less expensive option within short walk hotel . would definitely stay . 
 Jan 9 2005 	 Great Hotel 	 read positive review hotel website , decide book holiday stay hotel . expectation meet and/or exceed . staff extremely personable friendly request attend immediately . neighborhood quiet yet 2 block away Earls Court tube station . return London , definitely book stay . 
 Jan 7 2005 	 great hotel great trip ... 	 use Trip Advisor help find hotel son , travel London December 2004 . go London see fabulous Pogues Brixton Academy . thank positive word Hotel George , book 5 night Expedia . perfect we . two minute walk Earl 's Court tube station , surround good place eat . Earl 's Court area real neighborhood , fancy , find quite comfortable . great indian take - away around corner , wonderful lamb shank dinner Bonito Bistro ( great food great service ) , everything else need Sainsbury 's block . many local pub course .. hotel 100 yard away main road , quiet . staff polite accomodate , nice bar lobby . breakfast include package , look really good . grab something block way tube . room small american standard , comfortable modern . private bath really great , look like brand new . internet access room lap top .. use computer lobby email home . Earl 's Court far loop , would stay heartbeat . trouble get anywhere tube , long avoid evening rush hour . know hotel would nice review , exceed expectation , show pogue .. hope go back someday ... trip will never forget . 
