excellent 	 stay Wolcott , would recommend anyone . room large clean . Maid service everyday . staff friendly . locate 2 block away Empire State Building , conviniently place . bathroom little small side . otherwise room clean . the entrance foyer particularily impressive budget hotel . complimentary coffee muffin breakfast well . this hotel make great base explore Manhattan . far Macy 's , Herald Square . 
 locationlocationlocation great price 	 location important be try impress anyone stay interested see site spend hard earn cash enjoy rather swish hotel , place need . quite low expectation read review , fine . old school hotel - like bit character . staff friendly helpful - location make - price , not think could well - literally around corner Macys , Empire State , Madison Sq Garden , Jack Demsey 's pub ( man watch english soccer match . live ) couple block Time Square subway close travel afield . hotel also locker available 50 cent store luggage last day late flight . make criticism small bathroom - cares - New York ! 
 Trustworthy hotel good price 	 new york - hotel - research internet find one . first trip Big Apple expectation , price seem extremly reasonable consider location hotel go . experience nut shell positive . tidy look lobby corridor sympathetic room everything basic visitor need . & quot ; life & quot ; hotel room anyway ? next line som + - : + nice tidy look interior+ enough fresh - look room ( corridor smell like 5 - star hotel ; ) ) + tv + safe+ price easy payment methods+ Location- staff seem bit bored way rude ( don´t let affect stay ) give hotel 8 10 . 
 Great Location 	 hotel suit need perfectly . book twin room ideal need ( spend sleep time ) . bathroom large , clean tidy yes shower work perfectly . ideally situate staff helpful pleasant . complaint whatsoever would use . 
 Oct 12 2006 	 do not worry 	 worried stay hotel read mixed review feel submit one good experience . remember stay within walk distance major sight , hotel could well place . empire State 30second , time square , rockefeller , chrysler , macys , flatiron building , st patrick , new york library , grand central lot within walk distance hotel . price much cheap accommodation area opinion get good deal money . we stay junior suite large room , bed comfortable room clean . bedroom area tv closet another room couch , tv , two chair , desk , telephone . ensuite good size shower water pressure powerful - take second get temperature right much hassle ! view room - come look window anyway ? view brick wall room let much light - however bother one minute - get morning return night go straight bed . ignore complaint lift review - fine people might think wait less minute lift hotel fully book onerous one . do not know & quot ; bugs & quot ; other comment say never experience all . the hotel provide coffee muffin every morning , room safe , hairdryer , iron clean supply towel bed linen day . dealing staff check - in check - out find friendly helpful . large locker provide storage bag leave check - out - 50cent . like look good value accommodation everything need great location , will not go wrong . however , look 5star accommodation willing pay 2star price disappoint . 
 oct 9 2006 	 not stay ! 	 place awful ! friend find hotel internet call hotel directly make reservation . picture web site look fine . not fool . place dingy dirty . first night stick smoking room small dark . tell not another room available could probably move morning . climb bed find bug crawl sheet . next day , 9 , room miraculously available . room half size room originally stay . lovely view rooftop adjacent building possibility get sunlight room . closet tiny little room move around bed . moment friend touch bed headboard fall wall . find getting early stay late avoid go back room . stay . 's cheap hotel definitely get pay ! 
 Oct 6 2006 	 comfortable clean good location 	 read lot review Hotel Wolcott leave 4 night stay September little worried would find mixed review ny notorious expensive par hotel . pleasantly surprised find room bathroom clean well appoint . although view window mean not disturb street noise generally happy stay . lobby fantastic make use complimentary breakfast - warn though large party student often stay hotel consequently arrive breakfast little left supply replenish ( often ) . one problem room in - room safe - not bother use - frequently go wrong although handyman prompt help we safes unreliable lock refuse accept password . stay comfortable beat location - especially give reasonable price - yes , would recommend hotel would go back . stay New York 16 year ago hotel Broadway Hotel Wolcott 10 time well previous hotel . 
 Oct 4 2006 	 Travel Writer 's Choice 	 former ( budget ) travel writer , send friend wolcott historic beauty , central location , good rate . its web site quote many colleague sahye same . Bern Marcowitz 
 Oct 4 2006 	 avoid Wolcott Hotel 	 daughter book NYC mini - vacation Orbitz Wolcott Hotel . confident read review even though room tiny , affordable , clean , comfortable choice . also one hotel offer twin bed . check evening September 28 , 2006 find room expect tiny , closet not even deep enough accomodate clothe hanger ! decide even though cleanliness not meet standard , pretty typical hotel could put day . quickly unpacked belonging hit street search restaurant late dinner . exhaust long day travel much walking , go bed pretty much soon get back room . next morning , daughter notice bug comforter immediately new ... bedbug ! squish kleenex full blood . afraid might find not tear bed apart see many visitor , see chigger next pillow ! quickly pack suitcase check , advise girl front desk discovery . hotel manager not yet lock suitcase locker left morning guest audience Martha Stewart Show . lunch , return hotel speak manager . accord , maid find room infest bedbug invite we office check bag hitchiker . not find , thankfully , still gross whole situation ! manager call Orbitz not charge 1 night stay , follow night cancel , not charge penalty . accord manager hotel exterminator come every Thursday spray room . guess skip room several week ! 
 Sep 30 2006 	 great hotel 	 stay great time good hotel new york , price good value . the lobby fantastic worth look . the location can not well 1 block empire state build 20 min time square etc . plus 1 min dunkin donut , burger king mcdonald . the room clean comfortable king size bed pull sofa bed son witch double bed . all price fantastic hotel . 
 Sep 27 2006 	 two word - BED BUGS 	 wife receive bad case bed bug bite imaginable 3 - night stay Hotel Wolcott . red , extremely itchy bump surface day leave NYC . get face , neck arm . misery since get back trip . wife start show sign bite couple day . look photo online bed bug bite confirm indeed have . the room stay dark , grungy seem unsanitary . unfortunately , uncleanliness room confirm many bite receive bed bug . door room dampen mechanism unless consciously hold door till close , slam loud keep night . write note neighbor tell close door quietly . needless say , bad hotel experience ' ve ever . stay away Hotel Wolcott ! ! 
 Sep 14 2006 	 bad Best ! 	 never NYC tell nasty hotel can not really compare one hotel NYC . find room okay although rusty staircase outside window make impossible we window open afraid someone would walk lot door bang whole time include cleaner morning could close door quietly ! room clean could cleaner - find old stale paper cup coffee bed sure long . lift really really really tiny step lift smell hit get bad - smell like rotten paint - get ill think it . we also find staff helpful - tell flight 9.30 night could even let we stay room hour instead direct we really tiny cupboard downstairs we leave bag needless say case could fit . they room service / laundry service . gift shop buy soap want laundry even fabric softner . fact ther bell boy make life truly hard lot bag . will go ......... unless totally totally desperate . 
 Sep 10 2006 	 Excellent Value - definitely go 	 clean good condition . staff helpful . excellent location vear Empire State . Muffin tea / coffee breakfast include price . unexpectedly grand beautiful foyer.10 min walk Penn Station Washington day £ 64 return . stay expensive hotel near Times Square could compete . nothing praise Wolcott . 
 Aug 22 2006 	 Yes Wolcott 	 Stayed Wolcott 12 day July 2006 . happy hotel 's location - block Empire State build far Pensylvania Station underground - easy walk . room small clean bathroom fine , bit date . read report slow lift must fix good . Muffins tea coffee provide free morning 6.30am - 10.30 foyer . disatisfaction air conditioning slow noisy . ( heat wave decent a.c . would help left full blast go night room okey return turn . turn low drone rest night ! ! price wise N.Y. think good value 
 Aug 21 2006 	 terrible shower otherwise okay 	 always stay budget hotel visit New York , impress beautiful lobby above - average guest accomodation ( room clean well - decorate , include couch , convenient ) . front desk staff encounter stay also pleasant . however , say , shower room really terrible . possible stay 11th floor hotel around 100 year old . think shower even worse many cheap hotel stay China ( although cleaner ) . sometimes water would stop middle shower , time little water pressure . sometimes wait several minute get warm water . think ask move another room ( preferably low floor ) , decide live it . another & quot ; con & quot ; hotel air conditioning unit ( least one room ) . not keep room cold , fact feel humid room even air con set & quot ; super cool & quot ; . also loud annoying time . yet another downside hotel lack even small refrigerator room ( mention microwave ) . always prefer refrigerator store drink snack , find available budget hotel room New York , . , mixed feeling hotel , feel & quot ; con & quot ; outweighed & quot ; pros & quot ; overall . people may find acceptable ( obviously many people , look review post ) , price decent location ( far Penn Station Broadway . ) however , probably look another hotel next time stay New York . 
 Jul 21 2006 	 great value safe clean excellent service 	 stay Wolcott July 2006 . book hostelworld.com . hotel great location reasonably price . room small clean service daily . television huge . heap cheap place eat area - eat mexican place 5th avenue time - cheap excellent food . breakfast muffin , tea coffee serve 11 . staff friendly helpful . room fridge ice bucket room ice machine lobby well cash machine pay phone . tour desk help booking transfer etc . room air condition . I would recommend Wolcott would definately stay . 
 Jul 9 2006 	 clean affordable central 	 wonder give hotel 3 4 star ... deserve exactly amount star currently - 3.5 . stay 3 night Wolcott . location fabulous actually deserve 5 star . room book double . arrive ask room view Empire State Building - unfortunately not leave . get triple instead price . quiet clean , question , pretty dark ( backyard side inner corner building ) . light time . also , smell several reviewer mention , . thought would not disturb quite penetrant . bathroom large enough clean towel change daily nice fluffy . muffin coffee every morning nice touch . staff friendly we . elevator mention reviewer fast enough we never wait long minute 2.the lobby beautiful , ws pleasure walk every day . corridor mention rewievs - did't find dark creepy . room internet use tv surf ... pain . go small internet cafe street instead , step away hotel . the hotel affordable , quiet clean , guarantee get bright room next time , would eventually stay . 
 Jun 29 2006 	 great value service 	 two friend stay Wolcott 4 night June 2006 . find hotel use TripAdvisor , disappoint least . & quot ; Triple Room & quot ; , perfect three we . one small section twin bed , dresser , bedside table , safe , tv . large main room two twin bed , dresser , bedside table , desk , large chair , another tv . section air conditioner . one pretty noisey , minor quibble . bathroom small - standard tub / shower toilet , small sink , much room - another minor quibble . happy room , especially price pay , compare hotel charge similar accomodation . clean , excellent maid service , beautiful lobby , free coffee muffin morning . maybe nice surprise concierge service . two different woman help we obtain ticket Broadway Show ( orchestra seat , 10th row center ! ) , recommend good steak house ' ve ever eat ( Uncle Jack 's ) , arrange shuttle service airport . I would highly recommend Wolcott anyone look * relatively * moderate price hotel great location - 2 block Penn Station / Madison Square Garden , near Empire State Building . walk Times Square problem . neighborhood safe centrally locate . the next time visit New York City ' m head back Wolcott . 
 Jun 6 2006 	 way well expect 	 concerned read bad review hotel great . elevator work time except still work second elevator . muffin good quite selection different one . room quiet except air conditioner , may need update . not much view go NYC sit hotel room look view ! would stay - inexpensive , quiet great central location . unless want pay luxurious bathroom , would recommend hotel . ask non - smoking room problem get one . 
 Jun 1 2006 	 GREAT .... 	 date : May 24 - 28 ( 2006 ) ok start say .. first get NYC amazing show hotel .. even amazing get unpack real quick go explore wonderful city never sleep .. soooo .... true . when check .. man work front friendly .. mean exspecially since get back airport every worker extremley rude .. bring point brag staff . the Staff .. wonderful .. complaint ever .. helpful anyway . ok slow , crappy , haunt elevator .. kid .. tell almost every review read go NYC stay wolcott say something wrong elevator .. true exsperince . yes .. elevator sort slow .. be work put new one take little bit time . likley go .. 's reading .. will do then . so be that . room : Georgous .. love make .. look cheap ( money ) hotel stay nice big room .. wolcot perfect pick .. we . room huge nice .. LOVED bed little couch room comfey . favorite channel e ! ( fun info . ) little watch anyways .. lol . enough .. attraction near .. empire state building 3 block .. like lot review say .. Time Square .. umm .. say 's 5 - 10 - 15 min . walk .. depend fast walk , stop place , etc . seem take 2 sec . get time square .. geuss not pay much attention time .. lol .. would . there be pleanty place morning go breakfest not want muffin milk . place go .. duncon dounut .. right across street . could walk min . away go near starbucks coffee trust .. plenty those . so final part review .. splende .. wonderful exsperince hope whoever else choose wolcott .. wonderful exsperince too . until next time go stay wolcott .... Serena Renee Morgan 
 May 25 2006 	 can not believe positive review ! ? ! 	 amazed positive comment . $ 180.00 night , even New York City , bare - bone experience life . stay second floor , dangerous stairwell ( spilt coffee remain old marble stair day one day ) . sink small hand wash face utmost care , foot clothe get soak . mirror bathroom position high 5 ' 4 height use . amenity . breakfast - hard muffin bad coffee ? one help luggage ? see & quot ; lobby bathroom ? & quot ; ' ve stay less expensive place New York many amenity , be everything else book time . truly feel bad guest , especially one use work elevator . MUCH well . 
 May 23 2006 	 roach clean 	 money , $ 150 ( weekend ) , great deal . ornate lobby doorman . staff helpful one work lift incredibly slow ... that s price pay renovation . surprise , room large w/ 2 twin , work tv remote . full opening window view Empire State Building . like fact bathroom quite far away actual bedroom good size . large closet w/ safe , blow - dryer huge dressing room . air - conditioner kick butt . roach , mouse , etc .... even leave food room . room clean room service daily . outside traffic noise , hall noise . downside : garbage ledge outside either window , could easily pick maintenance worker . this Hotel actually call & quot ; Korea Town & quot ; , surround lovely ethnic restaurant .... use chopstick whole trip ! worth money stay . 
 May 21 2006 	 pleasently surprised ! 	 pleasently surprised quality Hotel Wolcott read review Trip Advisor . Stayed Standard Twin Room ( non - smoking , 3rd floor face street ) . room quite spacious ! definitely request room # 316 . overall , room bathroom clean . hotel staff friendly accomodating . complimentary coffee muffin decent . one prefer , Dunkin ' donut across street hotel . hotel close proximity subway , shop , major attraction ( notably , Empire State Building ) . definitely stay Hotel Wolcott ! : ) 
 May 13 2006 	 complaint 	 stay triple room hotel week problem . back hotel view look onto roof - top back building opposite , expect NYC . room bathroom warm clean hotel good location , around corner Empire State building within walk distance Macys Times Square . true , one guest elevator work bit slow , big deal . be look somewhere nice , safe clean ( luxurious ! ) stay NYC reasonable price can not really go wrong . 
 May 12 2006 	 wonderful experience . step back time Wolcott Hotel . 	 May 8 - 11 , 2006 . pleasantly surprised accommodation Wolcott Hotel . lobby like something year go attention detail important . staff friendly helpful . continental breakfast coffee muffin great … a time money saver . room small , remember hotel build … at turn last century room not spacious . bathroom nice … much large expect . public area clean , well room . hotel conveniently locate near 34th Street subway station take anywhere NYC . definitely stay Wolcott Hotel next stay New York City . 
 May 9 2006 	 average hotel 	 get back NYC , stay Wolcott Hotel . whatever , stay 2nd floor e.g 206 . room smell stale view none existant , face onto back buliding beer can trash outside window . not feel safe cause stir hotel . manager show we another room , 1 floor , still much well word & quot ; not think will move see one ! & quot ; not room available night move we next day 12th floor heap well ! ! hotel okay muffin , coffee morning . everything really close like Empire State Building , Macy 's , Maddison Square Garden ( 10 min ) , sol ocation wise ideal , use yellow cab everywhere else , work cheap group . 
 Apr 27 2006 	 quite nice place 	 stay Wolcott week Easter , read number review mixed decide go to book like fact central price affordable . the room acceptable size bathroom okay . fancy bath make shower bath date one . water whenever use warm / hot . stay 7th floor , face back hotel . ask possible room face street tell twin room nearly face back . room clean everyday , although lack loo roll ask anything regard room maid generally eager please . the muffin , tea coffee nice touch strangely enough sunday , be not . do not get around ask finished day abstinace ! return New York near future would definitely stay Wolcott . lobby also ornate - apparently own people Waldorf Astoria , maybe furntiture come from . go , get pay little .... think location close proximity everything around . 
 Apr 3 2006 	 great hotel 	 return trip New York stay Hotel Wolcott . Granted 's fancy hotel 's comfortable , great location inexpensive . highly recommond hotel want decent place sleep conveniently locate . 
 Mar 23 2006 	 Clean Comfortable Central ..... 	 return week stay hotel . may average hotel ( basic - standard ) , believe central cheap . ( room , bed towel change , clean daily . complimentry breakfast & quot ; hard muffin coffee bit much take early morning ( serve till bout 9 am ) , right outside cart sell kind . donut coffee $ 1.00you Empire state building , Madison Square Garden , Penn Station Port Authority within 5/10 min walk . ideal location take we bout 25 min walk downtown Chinatown take site , walking uptown towards central park 
 Mar 12 2006 	 Super value amazing location . 	 ' ve rate hotel average not think beat money . I go NYC first time September boyfriend . love every minute it . hotel clean room make everyday . tv , reasonable bathroom etc . decor date lift slow outweigh fantastic value money offer fact three building 5th avenue two minute subway . the hotel also 15 minute walk Times Square Broadway show . 's five minute walk Madison Square Gardens be NYC sport concert . three minute walk Macys be go shop . the thing not like conceirge rude unhelpful . not really bother though get Broadway , baseball etc ticket advance internet . I would not want spend money upmarket accomodation sleep hotel day evening . 
 Feb 21 2006 	 comfortable shabby . 	 stay October husband & amp ; 11 year old daughter . public area hotel elegant fade . room bad size NYC , warm , comfortable , need update . complimentary coffee & amp ; muffin lobby breakfast nice touch . lift slow . staff rather hand & amp ; hotel honour room rate book via Travelocity , despite we confirmation printout we . overall , bad money & amp ; good location get site . resturant road around hotel , nothing upmarket . however , indian place virtually next hotel really good - great food , attentive service & amp ; huge portion . 
 Jan 30 2006 	 Great Inexpensive hotel free morning tea ! 	 really like hotel - travel alone concerned woman wonder big city . always feel safe area around hotel think important . location great , within walking distance Times Square Empire State Building . even walk central park 5th avenue back hotel ( be long walk flat plenty window shopping ) . room clean nice , side elevator really slow ( point think 's break - use stair alot ) .I would definitely recommend well price NYC hotel great location . btw wireless internet lobby serve muffin tea / coffee every morning . 
 Jan 16 2006 	 serviceable shabby 	 Wolcott 's ok price , will stay . location right next Empire State quick walk Macy 's , etc . room size & quot ; European , & quot ; mean small . seem relatively clean everything work . be toward middle block street rather avenue , outside noise not atrocious ( rarity NY ) . noise steam pipe , kick around 5:30 every morning , another story - wake . use small , awkwardly place ( be staff office walk lobby ) workout room - semi - recumbent bike weight work fine , though tv remote , temp way hot , water available . elevator fix early Dec 2005 , anything 3rd floor supply workout . 
 Jan 13 2006 	 woman alone 	 book Friday night Wolcott find mixed bag . lobby shabby staff not small talk . would not somewhere would hang around indeed , would glorious NYC outside door ? give room 2nd floor not use lift , thank god TINY slow - people huge suitcase queue use ( weekend would time get ) . lug overnight bag long , gloomiest corridor ' ve ever see - expect see axe murderer lurk somewhere grim shadow - open door room expect god - know - what utter surprise , twin - bedded room nice ! - freshly refurbish look , clean little poky , nicely furnish - wait - huge bathroom pristine white big fluffy towel . nearly die shock . big shock wait outside window , though cose open curtain WALL right outside , almost touching pane , set claustrophia button bigtime . combination long gloomy corridor mile anyway wall make freak . sit bed , try contemplate arrive back alone theatre could not face - stifle , nice room notwithstanding , back stay friend ! however , would ' ve happy stay companion thought room , though dark viewless , ok price . agree also area poor night - rundown desert , action whatsoever , shop , bar , restaurant could see people . plus side though , quiet . 
 Jan 10 2006 	 great hotel great location great price ! ! ! want ? ? 	 stay room 2211 Wolcott Hotel 14 -21 Dec 2005 . arrive late night receive warm welcome receptionist helpful direct we fabulous local restaurant stay . room warm , well appoint clean . walk style wardrobe safe , extra pillow , large tv ( watch much tv fab city like NY ) shower powerful load hot water exactly need -2 outside ! ! ! day bed linen change bath towel . the complementary breakfast lobby morning 06:30 real bonus ; come UK time difference really throw , end wake really early lovely something available hotel time morning . serve gorgeous fresh muffin ( load different variety ) good coffee – husband would take turn run stairs tray take breakfast back room morning . the hotel three minute walk form empire state building , right 5th Ave lot great restaurant , delis bar near . side ( really want picky ) lift slow - use couple time day … hand basin bathroom hysterically small else basin apart clean tooth ? ? corridor little bare dark ' go New York study hotel corridor ? ? ' let thing put great hotel great location reasonable price ( ny real find ) . 
 Jan 4 2006 	 good spot budget stay 	 extend stay New York Christmas New Year holiday budget big factor . Wolcott Hotel affordable excellent location - walk distance many major attraction , subway close other . opt pay extra $ 10 / night jr . suite well worth . room comfortable roomy ( NYC ) standard - space four people room . bathroom well size clean . elevator slow request room one low floor ( get second floor ) use elevator first last day luggage tote . room warm ( remember snowy winter 's good thing ! ) allow early check - in late check - out problem . Maid service lighten fast . budget class hotel , frill . room decor plain . service elevator plain gross . regular elevator fine - slow never wait 3 - 5 minute . hallway stale odor dingy appearance ... enjoy hotel overall . laundry service ( washer dryer ) available use basement convenience store site . room service local restaurant deliver door . particularly nervous staying hotel read previous review end happy stay . 
 Dec 22 2005 	 Good experience 	 think Hotel Wolcott great value central location . pay $ 200 / weekend night $ 120 / weeknight . room clean linen look smell fresh . furniture tv appear new . bed comfortable . carpeting wrinkle . could view top 20 floor Empire State Building window . walk - in closet contain safe . the bathroom clean small . sink one tiny ever see . small shelf hanging make difficult brushing tooth without bump head . complaint difficult adjust shower 's water temperature . plenty hot sometimes scald water , literally take 10 minute get comfortable . despite style faucet home ! 20 - 30 second delay faucet adjustment make frustrating try get correct temperature water flow tap . hotel 's location convenient shopping subway 34th st . unfortunately , Transport Workers Union decide strike halfway trip , bring public transportation standstill . luckily , hotel still center Manhattan ( east west ) . walk 28 block southern edge Central Park proved do - able someone early 30 's , tiring . couple restaurant block , still easy find place eat walk another block direction . there normally two passenger elevator . one renovate . appear nearly do day check . one slow , get around walk downstairs every time take elevator go up . morning breakfast consist 4 type muffin , coffee tea . everything good . like big breakfast , nice cafe diner within block . dunkin ' donut across street . I would hesitate stay . 
 Dec 11 2005 	 bit dump 	 location ok , area bit funky night . part town neither one thing another . renovation hotel go might take time . gym stuffy room couple old machine - avoid ! renovate suite still nice . bed ok , shower good . room dark clean . elvator slow noisy inside room well whistle radiator . hotel tatty . staff reception be not friendly , do not seem care . also mess bill , incompetence , fraud , need careful . do not think public area look anything like lobby ceiling ! 
 Dec 1 2005 	 bad 	 stay hotel last week November 2005 . location great 5 minute walk Empire State building . reception area walk ornate really wow factor last . reception staff helpfull time . lift slow one work due refurbish mean slow . feel sorry anyone 15th floor especially last day check none lift work . allow use service lift also slow smelly . try make sure high 4th floor may regret . corridor stair dingy tired looking must admit look forward enter room first time however bad thought . decor also tire clean plenty hot water . bed linen clean bathroom nice large size tv . also mini fridge great keeping drink cool also room safe handy . overall expect dingy basic great central location . shame bit effort complete refurbishment programe could fantastic hotel . 
 Nov 29 2005 	 good location ....... 	 return 3 night break , first visit new york . room 201 clean comfortable bed , clean towel bathroom visit cockroach . nowhere put anything bathroom include towel , clean daily . carpet not see hoover month corridor outside room awful smell time day.great location would use hotel , use something little well . p.s . not use loo lobby unless desperate ! ! 
 Nov 26 2005 	 clean safe inexpensive midtown . 	 third stay Wolcott . 1 night , November 19th . room clean little smelly . bathroom clean towel new improve since last time . elevator broken & lt ; sigh & gt ; service elevator open guest move quickly . muffin coffee good morning . $ 210 2 room suite 3 people Saturday night 31st 5th Ave . bad . hotel 's suppose price - give clean , safe place stay hour choose hotel room . recommend . 
 Nov 11 2005 	 cheap feel safe comfy 	 stay hotel notice deal advertise travel guide . fed share room hostel decide treat couple night hotel . price right , although room smallish american hotel , queen sized bed , tv , bathroom . air conditioning sleep well . entrance hall hotel impressive , although decor rest hotel not strike , everything fine . expect bit breakfast , feel pretty happy everything else . location good . I recall large group people queue front desk , possible customer service ideal . however , not recall particular problem check , check . 
 Nov 10 2005 	 great value money . 	 find Wolcott . New York really not spend much time hotel room . therefore , sufficient - place sleep . room small , clean , maintain every day , lucky enough view Empire State . central , could walk almost everywhere . would highly recommend hotel New York budget . complaint . oh complimentary breakfast every morning bonus ! lobby ornate . hope help . 
 Nov 1 2005 	 Good Price 	 need hotel Manhattan one night want spend small fortune . find Wolcott reading review Tripadvisor decide take chance . $ 200.00 midtown Manhattan , hotel fine . front desk staff extremely courteous room decent size clean . hotel small continental breakfast coffee muffin include price also locker baggage lobby . great since check early morning explore manhattan need place leave baggage late departure city . need place sleep not need service , hard beat price . 
 Oct 31 2005 	 good value money 	 basically - get pay . price , 's good deal . room basic clean room stay lot spacious expect ( room 609 ) . big plus point arrive 9.30am , without call ahead request early check , able check straight away . staff nice helpful . location GREAT . hotel definitely date side elevator somewhat slow - price well worth would stay . 
 Oct 28 2005 	 pleasantly surprised 	 stay 3 night go wedding syracuse stay 2 night murray hill inn .... affordable seem attract british people ... good location .. read almost every review dozen hotel also consult usual guide book etc ... end opt hotel ( example , chelsea , hreald square etc ) .... firstly let say think thing vary greatly depend room get you re expectation ... here account ... ( girlfriend ) stay room 1022 ... ask room want nice quite large ( nyc ) room that s clean , , it 3 window , 2 overlook next block room interesting ! ! view corner street remind edward hopper etchnig call nighthawks ... wonderful arty eye .... shower bath hot clean nice ... small toilet area fine ... bed comfy ... big big tv .. 28 channel usual us tv .. breakfast ok , , muffin corfee opulent foyer ... wot crap lift ... press .. come get go .... there s second utility lift let use ... people moan lift one beep car wait 2 minute .... ( probly die 55 heart trouble ) ... else ... nice friendly staff you re nice .. probly crap money long hour nice.and polite ... do not act like you re royalty you re english you ll find great ... go back soon nyc absolutly try room hotel room ... slightly less favorable review see entry murray hill inn ... girlfriend two cent ... first think expectation ... expect ritz carlton trump tower , mean spend extra 500 + dollar night stay . expectation clean , quiet enough sleep , comfy room bit space open luggage move around . read review pleasantly surprise much room . location fantastic , walk everywhere . staff friendly new yorker kind way . 's safe room keep valuable protect . else say , enjoy stay hotel , comfortable , affordable , great location ! 
 Oct 12 2005 	 good ... 	 friend stay 3 night last week , would probably stay . want fair , pro con : location great , price wonderful mid - town Manhatten , room cute , neat clean . enjoy Complimentary ' Continental breakfast ' morning , alot choose ... muffin coffee ... nothing else , not expect fruit , juice , cereal , etc . lobby beautiful , renovate ceiling architecture , nice couch chair sit waiting ride . con : one work small elevator accommodate everyone hotel ; accommodate 4 people luggage , take forever come . everyone complain . restroom lobby , require key access ... pain . several people street come use ( parade day ) , hard keep key . concierge new girl , help . make several hotel visitor angry . give we wrong direction , cause we miss prepaid ride airport . seek help boss work gift shop , one rude people ' ve ever encounter . scream , told & quot ; thing like happen NYC ... hire taxi ! & quot ; end write letter hotel manager await response . work public service . hope help . 
 Oct 12 2005 	 well expect 	 2004 take party student , UK , NYC . budget first trip type want go smoothly . hotel choice important part experience hotel certainly provide . clean good decor report bug anything else , even see - hey ! 's New York , suppose see . make use tripple room also keep overall cost . complaint anything party , although like report would confirm lift little slow side , however spend time run room , much . location everything hope , Empire State Building close impossible see top room . flat Iron building block away , subway , also Times Square pleasant short walk Broadway end block . advertise Breakfast , yes basic round corner 5th Ave deli serve great meal anytime day , even well inexpensive one block ( 26th street ) .ALL staff helpful , polite willing assist matter . let us forget , NYC workforce world , everyone know city inside - 's part experience . would go - right , plan right . complain h- - l , well spend lot money room hardly use - - ' m shop money save . 
 Oct 10 2005 	 Good great 	 stay 6 night part 15 person travel group . yes budget hotel great location . somewhat shabby ( fade glory sure ) . room clean - see couple small bug . start twin room - smalll , view - ask double arrange next day problem . much well room view Empire State Building . problem water temperature shower tv remote work fine ( unlike review ) . bathroom small clean . find free muffin coffee fine quick start day ( nothing stale ) . want something different breakfast , lot deli around . elevator slow although make service elevator available help quite lot . apparantly regular elevator repair / renewal . a / c noisy effective . hotel staff courteous enough although ask travel direction tourist information . tour rep lobby book local tour seem well - verse anything tour sell . also small convenience store hotel adjacent lobby need bottle water , junk food etc . would consider stay although would try well first . 
 oct 4 2005 	 Great Value Money 	 Wolcott Hotel great choice - cheap cheerful . room clean ( bug roach room , contrary review ) , absolutely huge ( three single bed - ask twin ) , plenty space . bathroom tiny not go way NYC spend week hotel bathroom . there three downside : -unpredictable shower temperature - only one lift work slow - terrible service receptionhowever , price pay , not expect lot - really happy . the corridor smell curry , locate quieter street con shop , two young female travel together not feel unsafe dark . fact 2 block empire state awesome . 
 Oct 4 2005 	 comfortable great location 	 reead bad review Wolcott be not sure expect . service good , room clean tidy . very pleasent stay would book . location really great honest New York hardly ever hotel money location can not go wrong one . 
 Sep 30 2005 	 bit disappointed 	 book hotel partly review site , also since parent stay year ago ( seem like ) . stay 2 night friend , say disappointed - small way . not expect great deal , niggly thing like : slow / out order lift , noisy ( warm ? ! ) air - con ( make hard sleep ) , shower cold water time , remote control not work . apart fine . location GREAT , 2 block empire state close Penn Station . surround area ok . entrance hall grand , true rest place date ( think building be nearly 100 year old ) whole , bad , could not help feeling could done bit well somewhere else price . 
 Sep 28 2005 	 terrible waste money : dirty mouse ! 	 absolutely understand people write positive review Wolcott hotel . we stay 5 night group 20 . hotel dirty , smell ( like indian restaurant ) noisy . sleep . aircos room noisy ; like sleep next airport . elevator ( one work ) slow ; take 30 minute go . one room mouse ! bathroom small , especially sink bed uncomfortable . sensitive back stay . everybody group complain . service reception , focusse make money old hotel without maintance extra investment . neighbourhood ( Murray Hill ) nice , however hotel locate bad part . deal street lot small con shop . breakfast joke : bad coffee plastic cups box old muffin lobby . for 200 dollar , please spend little bit look well hotel . recommend Sheraton Russel want stay Murray Hill . 
 Sep 25 2005 	 roach everywhere 	 make reservation May 2005 two - night stay September 2005 . give microscopic room ( barely enough room one side get bed ) ; hardly even adequate one person , let alone two ! bathroom full roach . every time pick something , least three bug would appear . front desk people seem know nothing City -- could provide guidance good place eat , etc . advertise breakfast nothing muffin bad coffee . well place spend money ! 
 Sep 6 2005 	 great location great room 	 stay Labor Day weekend . place undergo lot renovation , room first thing address . , bed practically new : nice firm , comfy good rest . room great , three twin bed small suite . room clean , too . some part still little rough , particularly elevator ( often be fast take stair ) . staff nice us area quiet ( room not face street ) .I would definitely go back - well worth visit . 
 Aug 28 2005 	 Fabulous Hotel 	 stay hotel 3 time isthe unusual hotel ever stay . room clean smart playstation room . lobby like something Palace Versailles . also gym internet access complaint fact lift definately haunt ! ! would press button go floor 3 would take 8th floor door would open ! owner would soon sort . location fantastic ! right 5th avenue opposite Dunkin doughnut / subway / baskin Robbins . corner 5th avenue BBC ( Brooklyn bagel company ) reccomend Salt Bagel Cream Cheese Lox ! next block hotel great little Irish Bar call O'reilleys , within perfect Crawling distanceto hotel ! nicely light ! scary full gangsta ! 
