really 	 room spacious although feel bit impersonal 'cause be big , staff make really friendly helpful . desk staff excellent move we room look across hudson ( ? ) river . the location poor , get pricey cab subway times square ( rubbish ) central park ( nice ) area . got good deal hotwire feel decent value choice . 
 Bad 	 family - wife , three boy ( 11 , 8 & amp ; 5 ) - New York Thanksgiving . choose Embassy Suites familiar chain ( ' ve stay hotel Washington DC Monteray Bay ) , frankly , not many hotel comfortably accommodate family five one room . the NYC version Embassy Suites pretty hope . familiar brand , know gig . big room ( well , two actually ) , decent breakfast , free drink evening . promise . on hotel particular , not find room especially date , comment review . find matress bit soft - design simply age ' m sure . not make great night 's sleep . as location , think fine . 's good base Brooklyn ferry south island . 's brisk five minute walk underground , rapid transit midtown attraction . not lazy - need five minute walk comprehensive breakfast ! 
 far can not deliver promise room 	 main reason stay Embassy Suites allegedly offer suite two double bed , mean family two teen fit - save price second room . ( otherwise , hotel end Manhattan , be 25 dollar taxi fare mid - town ) .However , work we first two time stay Embassy Suites Manhattan , past two stay two - bed reservation turn King size bed cot - & quot ; go somewhere else be happy . & quot ; , cot freeze cold flimsy blanket , especially place next window . breakfast buffet ok mob . stand line food , fight table . even table , hostess may try remove chair get coffee , happen we - even though daughter still table . protest , however mildly , might invite torrent sarcasm , protest ( & quot ; Excuse , chair & quot ; ) . much hospitality - problem ? ? ? ? business center : two day row , wait behind bunch kid work .... ' m sure business work . lots kid though , ' ve got wait . suite need work - lamp without knob turn , mildew bathtub , bent towel rack hide towel fall toilet reach , rack bent ..... , get two bed desk , might worth . bring lot patience buffet business center . otherwise , look mid - town . . 
 Nov 17 2004 	 last review seem pretty much mark 	 last review hotel seem pretty much mark -- agree . thing add : -- there s free shuttle stop around corner go south around tip Manhattan back north , along east side island , south street seaport . -- chamber street close subway stop , 1/4 mile away -- breakfast good , get pretty crowded long line 9 -- may want go early . -- complex movie theater , bagel / bakery shop that s fine lunch , discount shoe store like . -- Canal street ( junky shop ) SOHO long walk short cab ride away . -- creativity suite ( not get try ) may want ask . 
 Nov 15 2004 	 Roomy stylish friendly ... bargain ! 	 first , ' m tough judge hotel room . not give 5 * like halloween candy , pal . say , hotel far exceed expectation , can not help yap praise . go : lobby/ hallway stylish bright , kind arty modern . staff contact helpful friendly , maid service prompt morning room perfect order return complimentary breakfast , breakfast ! ( bar : scramble egg , bacon , sausage , juice , yogurt , fruit , bagel , croisant , toast . grill : make - to - order waffle , pancake , omlettes , egg ) . room huge ! seem like apartment room -- living room ( sofa/ dining table/ tv/ coffee table ) , large , spotless bathroom ( great water pressure ) , hall , bedroom . big comfy bed . ample storage clothe ( plus iron/ hairdryer/ coffee/ 2 tvs/ alarm clock ) nice art wall . $ 20 extra per night ( well worth ! ) , get great view Hudson River ( crane neck south ) Statue Liberty ! ( Tip : ask room upgrade advance confirm , sell river view ) . never around , 5:30 - 7:30 get free drink ( yes , plural , one ! ) hotel lounge . good part ... get steal priceline $ 150 night ! NYC hotel . ai not ever hangin ' hat anywhere else , bub . 
 Nov 14 2004 	 excellent Hotel Staff ! ! ! ! ! 	 greeting , return wonderful trip New York whole East Coast Florida 4 kid . Embassy Suites Excellent every way . view 12th floor Statue Liberty Hudson River well ever ! room clean well decorate . hear NOISE stay , quiet . bed comfortable pillow good America ( kid ) . free breakfast Excellent staff good ( especially Lenny ? parking guy front ) . drive Manhatten pull front door take care everything ( 40 $ ) . honest great guy know N.Y.I would highly recommend hotel everything promise . God Bless Happy Holidays . 
 Nov 14 2004 	 perfect 	 gem hotel . excellent service , excellent price , excellent facility . sure other mention problem location . be minute walk away Chambers Street subway station plenty taxi park outside ready whisk anywheere wish go . embassy provide much needed oasis tourist trap chaos Times Square . want sample real NYC reckon Embassy place . Greenwich Village , Liberty / Ellis Island ferry , Wall Street & amp ; tribeca within 15 minute walk distance huge & amp ; diverse complimentary breakfast put away Embassy , will thankful walk ! room , excuse , Suites , absolutely wonderful . television bedroom & amp ; live area , exceptionally clean bathroom ( small bath , heavenly massage facility shower head ! ) , bed always make , complementary USA Today newspaper slip door every morning , microwave oven , reliable heating facility - spot . one downside refuge collection outside 4 am cause bit noise & amp ; also hear bit commotion couple occasion night another room - true say wall bit thin . would probably major problem hotel uptown , hotel cul - de - sac , quite area . I mention Managers reception . bonus ! be pay $ 6 + pint beer uptown , $ 1 drink want astounding , even lay range free snack enjoy drink ! finally , mention staff . despite previous reviewer Northampton , UK think ( sound like bit whinger ) could not enough help we , change money , help direction , problem electronic key , luggage storage post - checkout . I ' m quite critical individual , say would throughly recommend hotel anyone , really mean . however , please not let many friend , may put price ! enjoy stay - certainly . 
 Nov 10 2004 	 wonderful stay first - timer NYC 	 get back 6 night stay would highly recommend hotel . include breakfast many option even line move quickly . manager 's reception drink snack nice touch . room spacious clean . bed comfortable . first night wake 2 loud talk another room , wall bit thin - complaint . not problem first night . staff gracious helpful . next trip NYC might want try mid - town hotel , close action . great hotel transportation problem lot taxis short walk subway . 
 Nov 9 2004 	 sure stay could ' ve well 	 great location low Manhattan . never notice noise problem other mention . 4th floor room street noise . late nite noise hear drunk chick hall try find room . 5 minute walk e , 7 a - c/2 - 3 , 10 minute Battery Park . location child 's paradise , fantastic playground block away . never wait breakfast , selection excellent . beautiful view Hudson . still can not figure get $ 209 per nite . Manhattan , less ! ! ! 
 Oct 11 2004 	 Good Hotel 	 clean large room , great free breakfast buffet . bathroom , sheet room clean . extremely fancy - couch chair wear . two room suite w / King bed pull couch - large enough three adult . pull couch mattress typically thin extremely comfy - fine two night . long day sight seeing fall asleep instantly . problem noise . king bed comfy . large tv room . river view - beautiful . free breakfast good . eat early ( 7:00 a.m. 8:00 a.m. ) not problem long line . see much long line 9:30 a.m. cab hotel Times Square $ 15 include tip . cab ride hotel LaGuardia $ 30 include tip . pricey . figure bus / subway time . two day sight see ( like we ) might want spend extra stay close Times Square area ( area plan sight seeing ) . cab fare drain wallet quickly . Hotel & quot ; across street & quot ; Ground Zero / WTC site . busy large street . WTC site St Paul 's chapel move . chapel wonderful memorial . eat Balthazar restaurant . worth unless real food / wine gourmand . $ 200 / three people . also eat Basillica 45th theater district . 75 $ /three people ( tip ) . Basillica wonderful , fabulous , tiny hole wall italian restaurant . good chicken parmigiana ' ve ever . great atmosphere , excellent , excellent staff . stay one night Best Western Flushing / Eden Park ( close LaGuardia ) . post review hotel also . 
 Oct 5 2004 	 great hotel poor service 	 room 826 two room suite large living area , kitchenette , bathroom , bedroom king size bed great view harbour . buffet breakfast include price choice etc good set we day ' sightseeing . thing measure usual good standard Embassy Suites . however feel service within hotel poor standard let hotel . noticed area room get dusty seem clean , dress table . also sweet leave table mysteriously disappear . time arrival light bath flash , long flight etc decide bother reporting follow day , forgot , however , constant flashing would obvious housekeeping staff surprise return next day still fix . phone report nobody come leave note housekeeping follow day – fix . also , use mini bar couple occasion can orange , can use never replace ! think strange could spend money never replace ? one day report breakfast ask room number , however woman busy talk someone phone repeat number four time finally listen even keep repeat 926 instead 826 . try correct numerous time , give . hope people 926 get breakfast ! exact scenario happen one occasion woman ! final straw go use hairbrush find long , black hair wound round – blonde ! disgusted turn stomach think someone use brush . go reception complain see concierge look brush ask anyone else room could use . think would complain know use ? go get manager . arrive apologetic say would speak housekeeping would replace brush . also offer free stay hotel future , decline would return NY . offer cinema ticket meal reservation restaurant , decline suggest could reduce current stay ' bill . agree would remove incidental i.e . pay movie , mini bar etc agree . receive final bill , thing still charge credit card ( $ 45 ) , time ' bother complain leave . consider offer quite lot money compensation form free stay etc , knock $ 45 bill must seem snip , even never keep word . impressed ! summary , would say hotel great , room huge view great service let badly . 
 Oct 1 2004 	 great family . 	 excellent base camp sightsee New York . stay three kid age 12 , 16 , 17 past summer . food every morning great teenager . subway within easy walk distance . son go run every morning along jog trail never issue . would definitely consider stay . especially family . 
 Sep 21 2004 	 Excellent Hotel pricelocation service 	 hotel everything . great location , excellent river view ( well worth extra $ 10 ! ) . manager reception 2 hour must day great way relax . cinema bonus worth trek 4/5 escalator . need stray far food - great Bagle shop mexican complex . go couple - plenty room either 4 adult family four . close proximity Century 21 dept.store subway . taxis $ 10- $ 12 go uptown - well worth peace quiet get back hotel . very friendly efficient staff - not forget breakfast - prepare add 10lbs waist line checking . definitely go back 
 Sep 16 2004 	 one favorite hotel ever ... ! 	 hotel outstanding . able stay suite dream -- view Hudson River bedroom close everything ! service excellent , room extremely clean comfortable , staff exceptionally nice ! additionally , be movie theater practically hotel ... run James Gandolfini catch movie .. cool ! 
 Sep 11 2004 	 live NYC like Hotel ! 	 husband stay anniversary weekend . thoroughly enjoy & quot ; tourist & quot ; . hotel close everything include subway not mind use leg walk block ! room overlook Ground Zero . breakfast buffet plentiful go early get crowded later get . like active , newly create walk path along Hudson River right outside hotel . would stay . 
 Sep 10 2004 	 wonderful hotel wonderful staff 	 family 4 stay Embassy Suites early August 2004 2 night ( Friday Saturday night ) . take train NYC NJ subway downtown . wonderful hotel staff , friendly , attentive , excellent quick service . quick check - in . we start 4th floor ( non - smoking room floor ) . get ready bed smell cigarette smoke overwhelming hallway creeping room . call front desk , move another room 6th 7th floor within 10 minute . great view room harbour . second night need extra pillow extra blanket . receive within 10 minute . service outstanding . king size bed bedroom foldout living room . large clean bathroom . room complaint - foldout sofa double , queen . foldout mattress need serious replacement . daughter , age 8 13 , sleep well . otherwise great hotel , nice room . expansive breakfast buffet ( get crowded take plate food back room ) .check - out service statement door 6 am last morning . taxi always available . excellent doorman . 2 block WTC site PATH Hoboken . across street Connection Bus route travel around downtown Manhattan way South Street Seaport . applebee , movie theater , chinese restaurant Bagel sandwich shop within hotel complex . across street waterfront promenade child 's park . across street Winter Garden . travel subway taxi wherever want go . great time . definitely stay hotel . 
 Aug 31 2004 	 hard imagine anything well ! ! ! 	 family five return 4 night stay Embassy Suites Lower Manhattan , imagine anything well NYC . lot different location stay New York , choose good option look . embassy near Battery Park quieter section city ... perfect we . late night strolls river great view Jersey City Statue Liberty , easy walk subway , short stroll Ground Zero site ( emotional ) , great place jog morning river , convenient , free bus shuttle service take low Manhattan site ferry station , Seaport Village , Wall Street . however walk short , be really even long walk Little Italy Tribeca . as hotel , room plenty big five us .... kid one room , we . breakfast good get ... fresh omelette , pancake , bacon , sausage , cereal , juice , fruit , etc . Applebees Chevys site , well great bagel / deli shop use time , especially night late night treat . even movie theatre kid use . concierge extremley helpful , bellman employee . fact , kid say good hotel ' ve ever stay ! want bright light glamor , maybe Times Square , Broadway , Rockefeller Center area would well , realize easy subway system , area can not beat . one train Central Park ( not miss Imagine memorial John Lennon ) , one train Yankee Stadium , one train Greenwich , etc . go experience NY day night , come back peaceful , safe area hotel stay . disappointed ! 
 Aug 29 2004 	 big roomsfantastic viewgreat staff . 	 spend week august two kid harbour view room . apart surprised size room , iwas knock view bedroom , spectacular , especially night . the breakfast hard fault ( try arrive late get busy ) manager daily cocktail party ( stupidly attend last two night ) great , free drink description two hour ..... amazing . add helpful staff good hotel secret new york . I visit new york every year stay & quot ; exclusive & quot ; hotel , tick many box embassy suite . 
 Aug 25 2004 	 Nice Place Good Location 	 attend bachelorette party May 2004 Embassy rent suite . suite gorgeous , great view impeccably clean . breakfast buffet morning crowd able get table . staff courteous variety food ( fruit , egg , waffle , cereal etc . ) great . recommend place . also locate good area -- downtown NYC away midtown madness . 
 Aug 13 2004 	 good family vacation ever ! 	 hmme haw go light recent terrorist threat , finally decide yes . glad . , hubby 3 kid age 18 mos- 7 yrs travel cross country JetBlue JFK , stay friend couple day head Embassy Suites low Manhattan Sat Aug 7 . stay Aug 7 - 10 room 834 . Spring Harbor View , spectacular ! everything perfect , free huge selection breakfast , wonderfully helpful staff , cab always wait front .... many thing walk nearby , WTC site , Ferry Statue Liberty , Wall Street , beautiful park right across street , irish memorial ( directly across ) Chambers Street Subway station block away ... , nice come back SUITE night , overlook lovely light boat go ... kid great , tv pull bed fantastic . ask robe will feel like luxury hotel . fact , purpose , really luxury hotel . really feel could not do well . noise , not hear thing , , room overlook harbor not anywhere near atrium lobby , maybe that s ? anyway , book room build whatever building across street , Harbor View still -- -- - wish still there- love much .. thing , leave , make sure watch luggage put transportation ... somehow one bag make airport we , that s probably much fault watch closely .... once - in - a - lifetime trip NYC ! ! 
 Aug 13 2004 	 Perfect family ! 	 recently NY 4 6 - year - old long weekend recommend Embassy Suites highly . request harborview room enjoy stellar view fresh breeze open window . look Hudson River nearby child 's playground run bike path . it easy walk distance WTC site Battery Park . 's 1 mile ( less 1/2 hour slow walk ) chinatown . come area little public transportation , 5 minute walk subway seem like dream ! breakfast good , crowded chaotic . schedule permit we take advantage Manager 's reception evening . use next door parking lot , recommend user site find cheap secure . we experience little difficulty other thin wall , maybe lucke . overall , think perfect place weekend stay young child . 
 Aug 12 2004 	 bump along way 	 generally LOVE Embassy Suites rather disappointing stay . check , key card work . when problem correct , enter room street view . reservation harbor view . Iwas move nice room smoking . reservationfor smoking room . finally hit right room , realize set wallet tv one previousroom . housekeeping staff turn wallet tosecurity - intact - but would not happen nothad play room hopscotch . next day guest inform would hot water 12 hour period one hot day summer . yike . housekeep less stellar - peanut rice thefloor checked check . realize busy time - I think understaffing problem 
 Aug 8 2004 	 LOVED ! 	 ' ve go NYC twice . [ first time XMAS get - away Brick , see CHRiSTMAS CAR0L $ H0PPiNG ! stay OMNi BERKSHiRE .. well locate definitely 's up down . ] second time , friend come mom treat . usual shopping , eating , blah blah . stay Embassy Suites NYC BLAST ! 's great gym open great hour , 's good place walk around freely without adult , affordable snack downstairs drink usual stuff .. forget essential need [ razor toothbrush etc . ] supply easily , everything ask [ Breakfast ; extra Blankets sheet ; Etc . ] come right away ! clean horrify room flash SO0 nicely ! pick H0TEL ! ! ! ! 
 Aug 8 2004 	 good view NYC ! ! 	 far well could imagine . view room unbelievable , could see Jersey City Statue Libery window , lovely irish famine tribute would normally space building shore river would major eyesore . staff friendly , go way help we . travel agent pay room , take visa mastercard we pay , let we room anyway . spend hour phone we try sort . brilliant . breakfast world , could not eat til 4 everyday ! ! draw back walk distance anywhere ground zero , need use subway alot . take age get times square foot ! would recommend anyone , definately stay next time go NYC ! ! ! ! ! 
 Aug 3 2004 	 great value 	 great place large room ( New York Standards ) . problem $ 45 / day valet parking . lot right behind hotel $ 25 / day . there three subway stop close easy way around Manhatten . the free breakfast excellent worth wait line . staff friendly helpfull . excellent place stay family . couple look night life shopping stay near central park . 
 Aug 3 2004 	 NYC family 6 	 stay Embassy 7/19 - 7/31 . starter , family 4 child hard time finding room NYC would allow 6 people opt suite instead 2 room . free beakfast cocktail make room bit pricy family budget . beware Chevy 's mexican restaurant . poor service bill expensive . seem less fast food quality triple price . problem hotel exception wait half hour room tired toddler travel / fly day . check 3 not get room 4 . frustrating . buy loops grey line tour let we board anywhere hotel save us metro time also get we away noise traffic times square . one day board battery park anothe day board City hall . hotel get refridgerator request nice toddler could milk / juice want , 
 Jul 29 2004 	 LOUD hotel 	 wedding reception atrium night stay . canyon effect room surround open atrium , feel intimate part wedding . partie night . several child try get rest day sightseeing , negative overwhelmed positive . call management , say tough luck . stay somewhere else noise bother . change room would helped room surround atrium . positive note : fabulous child 's park , putt putt , run route door hotel . 
 Jul 28 2004 	 Nice Hotel Great Location 	 great base stay New York . plus point location . Chinatown & amp ; Little Italy 30 min walk away . Battery Park also short 20min walk . right across street right hand side main door bus stop . look NN sign . shuttle bus ( Grey colour ) take South seaport / pier 19 entertainment area ( via Battery Park ) . shuttle arrive every 10min free . new service introduce 9/11 attract people low New York district . go town purchase metro card local subway office . walk block inland Hudson Bld . main bus go town pass via road . head back hotel M20 bus pass right Times Square almost pass right next hotel . room spacious clean , free drink night fantastic great start night activity . breakfast great problem staff helpful . also like fact Applebies Restaurant cinema within build hotel use often . ( small ) complaint first morning breakfast . enough seat everyone . especially madden night private function breakfast area plenty chair table setup . next morning table gone store . come Embassy .... appear go way make private function good facility .... wee think pay guest also breakfast time put table , especially busy period . 
 Jul 19 2004 	 Brilliant stay new york 	 Embassey suite excellent place stay especially teenage son . able go cinema enjoy meal financial center opposite hotel . glad book hotel away heat dust city . spend evening walk river listen free concert battery park . suite staff excellent , especially enjoy breakfast happy hour . would definately recommend hotel . 
 Jul 18 2004 	 fine place 	 stay hotel July 3 July 5 . feel safe neighborhood . fact , everyone New York City extremely friendly helpful . buy daily metro card $ 7 ride subway bus everywhere . two bus stop right outside hotel , magnificant come back hotel late night . subway 10 minute walk hotel - use get JFK Airport hotel . chamber subway stop , transfer bus take right hotel . room nice . problem noise . breakfast wonderful . staff friendly . would definitely stay . 
 Jul 15 2004 	 Great Kids ! 	 first trip New York choose hotel base positive review receive . disappointed ! great hotel take kid . park around let burn energy stroller day ! walk along shore absolutely fantastic . would even consider take family another New York hotel great location . hotel clean comfortable suite large . staff friendly . 14th floor room excellent view Hudson Jersey shore . noise problem like other write . minor negative : hotel enough baby crib we first night hotel talk view Brokers Loft , unfortunately side room close entire stay . 
 Jul 14 2004 	 Embassy Suites BEST ! 	 Embassy Suites across World Financial Center kitty corner World Trade Center site . hote connect AMC theatre , Chevy Mexican restaurant bagel place . hotel clean , room spacey comfortable . love stay , reception clerk nice - let we check 4 hour early ! check mid - town hotel can not sleep due noise ... take taxi 48th & amp ; Lexington ES . big mistake tell cab guy route take , go long way pay extra $ 10 fare ( total $ 20 ) . well worth hassle change ES . two full size bed , clean comfortable QUIET . water view awesome . hotel Battery Park , short walk terminal catch ferry Liberty Island . short 2 block walk subway Time Square Chinatown . free cook - to - order breakfast wonderful - pig sausage , bacon , omelete , pancake , yogurt , fruit , juice , coffee , milk , cereal - wonderful buffet ! evening reception mix munchie popcorn . complain bottle water room cost $ 3.00 , go hallway ice machine area get vend machine water pop $ 2.00 . 
 Jul 7 2004 	 great location nice hotel 	 stay family July 4th weekend . upgrade harbor view room gratis first ( standard ) room turn already occupy ! next time would definitely spring harbor view ( $ 10 extra ) begin - fabulous . see Queen Mary 2 go window , mention light Jersey City , harbor traffic generally . not severe noise problem other write - hear neighbor . hear upstairs shower occasionally . the big problem line breakfast - go early , least be weekend tourist . coffee barely drinkable , ' ve never find Embassy Suites . also , check bill . charge three drink minibar apparently kid open three time ( not touch anything ) . charge quickly pleasantly remove question , however . the kid love playground across street , pleasant stroll esplanade . quick walk subway . madness midtown , nice come back quiet downtown . would definitely stay . 
 Jul 1 2004 	 spacious Relaxing 	 pleasantly surprised . spend almost week hotel like home away home . great Sushi restaurant hotel . excellent free happy hour extensive complimentary breakfast . nice modern furnishing good view water skyline . great concierge bell service . stay . 
 Jun 29 2004 	 good Hotel NYC 	 hotel beautiful . view breath take . staff super attentive friendly . room super clean , modern big . feel like apartment . night super quite . also subway close five minute walk . hotel make stay NYC even well expect . love hotel would recomend anyone go NYC . 
 Jun 28 2004 	 nice touch 	 return spend 4 day NYC , Embassy Suites Battery Park base . lovely , spacious , comfortable 2 - room suite nice touch like large umbrella room use rainy day , wonderful toiletry , young concierge provide great list personal favorite restaurant area . river view 15th floor ( upgrade ) spectactular . problem noise . annoyance huge line breakfast ( control -- like voucher ticket -- people come go ) , tiny , electronically control bar fridge , location bit far action theatre , shopping museum . 's interesting part city though , undergo renaissance rebuild 9/11 . excellent value money NYC . 
 Jun 27 2004 	 Booking nightmare hotel excellent 	 arrive Hotel two young child 3.30am , tell hotel room cancelled.was go give good impression ! book error travel agent Hotel . finally give suite apologise round , suite lovely live expectation indeed . book error hotel fault return UK receive compensation . this hotel every thing need staff friendly helpful bonus everything hand , cinema , restaurant , free evening drink . long day see site last thing want travel drink meal . would hesitate recommend hotel anyone else . 
 Jun 26 2004 	 wonderful property lodging experience ! 	 stay March , 2004 . people say facility compare youth hostel , conclude get over - serve complimentary hospitality bar upper lobby ! modern , sparkling , 1st class hotel situate Hudson River . colorful , modern art brighten place . many hotel build 40 's tiny . suite hotel feature generous bedroom good sized living room area sleeper sofa . suite amenity include two television , microwave , plush bathrobe . the buffet breakfast first class dine watch ship Hudson River . hotel within walk distance hallowed ground , World Trade Center Site . I find staff accomodate cordial . would not hesitate recommend modern , accomodate hotel Battery Park section low Manhattan . Mc Arthur , shall return Embassy Suites Manhattan . 
 Jun 16 2004 	 hear every word 	 stay 06 - 11 thru 6 - 14 . light sleeper noisy neighbor night - DO stay . unfortuneately , neighbor sat talk laugh 1:00am till 3:30am every night . hear every word say get sleep . neighbor fault sleep time co - incide . Embassy Suites reputation stake build room thin wall . 199.00 night , deserve well . good news , free cooked order breakfast great - you will not leave hungry . free drink snack 5:30pm super deal . front desk helpful . room clean could be . there free bus service hotel call connection take low manhatten way South Seaport ( Fulton Market ) point . 2 minute walk WTC . nice park surround area ample walkway along Hudson River . 
 Jun 3 2004 	 brilliant stay 	 four we stay Embassy Suites hotel week . first trip New York love city accommodation . suite large , immaculately clean every facility could wish . view Hudson River amazing - interesting day , magical evening light come . food Embassy super - huge choice breakfast , cook requirement , good restaurant dinner need - althought 's great choice anyway NY . location interesting - lot pleasant walk thing see Lower Manhattan , good bus / taxi service place North . Twin Towers site move , follow progress real interest . staff hotel really friendly help make stay unforgettable . would recommend place anyone - can not wait return ! 
 May 31 2004 	 Great Family Weekend ! 	 return Memorial Day weekend trip New York City . fantastic experience Embassy Suites -- entirely line positive review site . location afford enjoyable walk Battery Park Statue Liberty / Ellis Island Ferry , general sightseeing along Hudson River . much redevelopment 9/11 -- tower area remain move . hotel work well family four , plenty room kid -- Playstation . view harbor side nice . Lili 's Noodle Restaurant afford excellent chinese / asian food site , adjacent Regal 11 cineplex . cab fare Theater district $ 10 way . our visit coincide & quot ; Fleet Week & quot ; New York , hotel absolutely full Navy personnel support Fleet Week family meeting enjoy New York . hotel handle crowd well , short line breakfast manager 's reception . meaningful kid see many military family together Memorial Day . overall , hotel much nice Doubletree Suites Times Square , stay last visit NYC , well family experience . 
 May 27 2004 	 home away home 	 come back two back - to - back trip New York City stay beautiful , sleek , modern Embassy Suites time . fact , proud say frequent regular guest hotel , stay average every 4 - 8 week 2 3 night time . always treat well staff hotel , try hard take care many guest . efficiency , diplomacy dedication . location superb , beautiful view Hudson river , also perfect walking , bike jogging , quiet , away hustle bustle city . stay third floor hotel beautiful suite not hear noise , inside outside , . also top notch sportsclub , every kind exercise equipment imaginable , free guest stay hotel . free cook - to - order breakfast beat , 's eat , unheard anywhere New York City , serve real china , silverware , etc . also , hotel well - inform website , Embassy Suites New York , offer many wonderful vacation package taste budget . 
 may 24 2004 	 enjoyable stay 	 wife recently brief 2 night stay NYC , stay Embassy Suites . room clean comfortable , customer service top - notch . arrive late evening , justin front desk make we feel welcome . wife enjoy breakfast include stay ... pancake , omlette , potato , bacon , sausage , cereal , bread , fruit - little something everyone . also , 11 movie theatre site , Chevy 's mexican restaurant . overall pleased stay , would return . 
 may 15 2004 	 Loved Embassy Suites 	 4 friend come New York vacation could not happy stay Embassy Suites . the room clean bring we whatever amenity require . the staff always courteous helpful , could not say rest Manhattan . I definitely stay next trip . 
 May 8 2004 	 Better Youth Hostel 	 Orginally New York , wife stay Embassy Suites early May four day return visit . think huge disappointment , particularly read review Tripadvisor go . clean spacious , hotel absolutely charm . breakfast everybody rave way par could get greasy spoon diner city ( think high school cafeteria , include plastic plate cup luke warm food ) . strongly recommend avoid place unless like unwelcome suburban office building . also , location issue : get cab problem , subway long trek NY standard . note Priceline user : get stick Embassy Suites bid high category downtown Manhattan . also write Priceline ludicrous list place luxury category . 
 May 6 2004 	 Walls Paper thin . 	 Great Location overlook River , nice park across street , directly next door Merrill Lynch cab limos easy hour , half block WTC site visible clearly window room ... complaint significant wall paper thin ... everything go next room ... every sneeze , phone call , even action adult channel watch . last thing anyone want hear neighbor bathroom unfortunately , unavoidable . the property otherwise georgeous . nice way spot enjoy ny .... nice neighborhood . 
 Apr 28 2004 	 Excellent Hotel ! 	 return 4 night stay Embassy Suites . excellent hotel ! not put location - nice quiet hustle / bustle centre . lovely view across NJ & amp ; great park close kid adult . easy get around - either subway bus stop around corner hotel entrance . 10min walk approx Battery Park tour bus stop ferry . breakfast awesome plenty choice . room comfortable & amp ; add advantage seperate sitting room great . not ask river view , lucky enough one & amp ; personally must ! agree comment regard thin wall room , could live . staff helpful . stay else Embassy Suites visit NYC ! 
 Apr 15 2004 	 great place stay NYC 	 Stayed Embassy Suites 4/9/04 - 4/11 - 04 group 8 teenager . arrive fairly early room not ready not problem , head WTC site grab something eat . time finish eat , call room available . hotel pleasantly nice , room clean comfortable . kid love . movie theatre site welcome well . breakfast morning , can not beat well manager 's reception w / the free cocktail snack . would definitely recommend hotel anyone travel NY w / child large group . be three block away subway , right water , book online , price can not beat NY . 
 Mar 22 2004 	 great place stay weekend visit 	 family ( 3 ) stay hotel 3/19 3/21 . location good quiet area weekend , across ground zero , short walk statue Liberty tour . room good size , wall bit thin overall great bargin . offer full cook order breakfast happy hour , cost . complaint would include thin wall weak water pressure shower . sure use parking LOT NEXT HOTEL . half price hotel provide parking open 24 hour day . we stay . 
 Mar 22 2004 	 Great Hotel 	 get back weekend NY quite pleased hotel . room 15th ( top ) floor view Ground Zero . bed bite soft side comfortable . bad part room shower ... terrible water pressure wall bit thin . love fact hotel quiet respect outside noise . never hear traffic . complimentary full breakfast drink afternoon phenomenal . park lot next door charge 21.95 / day give discount hotel guest . not pay $ 45 park hotel . lot man 24 hour / day attendant provide excellent service . hotel within walk distance ferry Liberty Ellis Islands course Ground Zero , need take cab subway Midtown , Chinatown elsewhere . ' ve also stay Marriott Brooklyn price can not beat hotel . roominess amenity far exceed hotel . would not dream stay anywhere else ny . 
 Feb 23 2004 	 comfortable base NYC 	 stay family break Feb 04 - first visit NY . hotel comfortable inclusive breakfast first class . good reasonable dining facility right next door . spacious room - hindsight would well double bedded room rather huge single bed ; sofa bed mean four we fit without problem . location hotel good bad point . right river superb view fairly quiet evening - 's good five minute walk across busy thoroughfare nearest subway . staff helpful friendly - reason one day housekeeping cleaning service . would recommend hotel would happy go back . 
 Feb 22 2004 	 Great Break 	 ' m natural cynic review right ! family ( wife two kid ) take short three day break New York Mid February 2004 . little apprehensive location take chance River view . good choice ever make . welcome staff check . ( thanks especially Aida Stan ) . room available dispite 1300hrs . very impressed location view walk . lot police presence thought battery park bit ropey soon lay rest . ( fact area feel far safe uptown New York ) thought harbour & quot ; manager - reception & quot ; one drink wonder soon dispel . hotel blurb right , really unwind 2 hr & quot ; happy hour & quot ; .breakfast good reviewer make make order omlette pancake great . the rest low manhattan easily accessible foot . also take & quot ; free connexion & quot ; coach ... every 10minutes 1000hrs around financial district . check facility good service . use get battery park pick hop - on hop - off tour bus . ( Hit Water Street Deli across way Stattan Island ferry terminal real treat variety lunch time snak ) nice kid play area right waterfront ( New Yorks well keep secret ) Century 21 discount store within easy walk distance shopaholic . there variety eatery , drug store Supermarkets immediate vicinity open till late . a great location , PUT seem distance popular area . easy get everywhre peaceful Hustle Bustle Uptown . great staff , great location , Great room say . go great break . David Johns Manchester UK 
 Feb 10 2004 	 lovely hotel .. 	 3 night break NY 2002 , first visit , disappointed . suite , fanstastic view river . room beautifuly furnish lay , bed massive comfortable . sit area , lovely decor cosy . enjoy buffet b'fast filling ! ! ! though centre manhatten financial district ideal we quiet location . hussle bussle city relaxing get back . definately would love go back , hope enjoy much . 
