great 	 arrive Hotel early afternoon decide move previously book Hotel . staff great find we room 19th Floor view Nob Hill partly Bay . rate good value include Executive Lounge access 2 day . the public area ground floor large well furnished . our room King large certainly adequate , view mention quite good downtown San Francisco . room well furnish , almost new , clean smallish bathroom . suffer somewhat noise room , bathroom anything go bedroom . the whole Hotel seem well adapt 4 star accomodation . every member Staff come across warm helpful , Bar Staff , Door Staff Reception Staff . the Hotel 5 min walk Union Square , one block away corner Powell Street , therefore easy access Cable Cars . could walk Market Street Trolley bus 15 min easy . never use Bart say far be . we dinner Hotel , try breakfast Executive lounge find Lori 's Diner opposite side Powell Street preferred choice . I know not pay Exec Lounge , probably good job , stay many similar Hotels Marriott chain chain , find Executive lounge poor value . open breakfast evening , yes get access computer internet free ( internet otherwise quite expensive ) , breakfast complimentry wonderful selection available , evening snack small size small quantity yes could free soft drink coffee glass wine come cost $ 8 per glass . we use bar evening , quite unusually , seem relax great attentive staff . there parking valet parking available hotel not use , not know cost . overall , excellant , 4 star accommodation good rate close popular part San Francisco . to get airport end stay , private limo hire ( Town Car , call ) $ 38 plus tip . take 30 min . 
 Jan 22 2006 	 reasonable SF hotel 	 great location . walk shop / restaurant Union Square Nob Hill . convinient public transportation . room average , clean . Stayed & quot ; quiet zone & quot ; nice -- not bother street noise like lot Union Square hotel . would stay , good value SF area find deal online . 
 Jan 13 2006 	 PERFECT ! ! 	 book two room stay San Francisco friend 's birthday treat . travel lot business - hotel exceed expectation . one good decision trip . split holiday two hotel city really regret leave Crowne Plaza . ( 1 ) locationan easy walk Powell Street BART station ( take BART airport ) . great shopping , two block Union Square . great city - centre attraction . cable - car stop outside reception ! take Powell / Market Street , Fishermans Wharf . ( 2 ) roomswe standard room . quality cleanliness high . room seem large bay window . room back hotel could see bay quite lot city , include Coit Tower Transamerica Pyramid . bay window great . room big result get much wide view hotel . bed comfortable . every room cd player even provide relax & quot ; sleep - advantage & quot ; CD . ( 3 ) food / FacilitiesDid not try restaurant - many choice San Fran ! ! breakfast great ( Crowne Plaza 's usual standard ) . also coffee - shop / Deli hotel fantastic egg & amp ; bacon breakfast muffin - dangerous ! ! Lot 's coffee choice , bagel , muffin , cereal etc - recommend fast getaway morning . friendly bar . also give voucher arrival give free drink bar concession restaurant etc . 
 Dec 9 2005 	 great location great service small room 	 SF business one place number night need , six , close Moscone Center . able get corporate rate $ 130 plus tax night . the staff service excellent . bell captain help ride airport exceptional service , housekeeping staff help laundry , housekeeping staff keep room neat tidy , wake - up service actually come check unable get phone answer wake - up call , etc . place well staff service grander hotel stay . the room small room ' ve , king - sized bed , chair ottoman , desk , dresser . tv set stand not front bed , uncomfortable watch . room give view Powell Street could hear cable car bell occasionally , overall , 10th floor , street sound not bad ; time wake siren go . sleep kit give really , really nice ; light sleeper , much appreciate . the bath product nice . herbal spa like . one well line ' ve hotel ; even nice Parc 55 , stay year ago . the location great . 's 24 - hour Walgreens across street , lot casual restaurant nearby , short walk Union Square , 10 - minute walk Moscone Center , short walk Chinatown , Wells Fargo machine nearby , etc . location far superior Parc 55 , SF hotel ' ve visit . the drape stain , carpet seem old musty , otherwise , room furnish nicely . bed linen seem clean , include duvet cover , important traveler . the hotel Cafe Fresco , great hour nice selection food go , well seat . business traveller , like , great . my one complaint could smell food smell one night . not know neighboring room room service smell come heat cool unit . gross though . way open window air room . if return SF next December , might stay , might try another hotel try something different . 
 Nov 30 2005 	 big room great bed exec club breakfast 	 enjoy large , clean room near Union Square without pay fortune rarity San Francisco . new bedding & quot ; sleep kit & quot ; amenity really help sleep well lively city . staff courteous helpful . usually access executive club breakfast room Intercontinental Hotels , not one .... instead go across street authentic european cafe . lobby hotel small busy ; perhaps elevator monitor closely people wander street . overall , pleased would return . 
 Oct 31 2005 	 pleased coice hotel ! 	 friend look stay Union Square area Nike Women 's Marathon , extremely pleased hotel several reasons:1 . LOCATION , LOCATION , location - blocks hill BART station , one block Union Square store race expo , catty - corner 24 - hr Walgreens ( make several trip ! ) , right cable car stop , many cafe / coffee shop / restaurant choose . end hit great cheap Thai place call Bangkok Powell twice 3 day . also mile walk Ferry Bldg.2 . Quasi - know quantity - lot internet research try find swanky funky boutique hotel meet criterion promise one either not double bed TripAdvisor feedback warn . figure problem , would well luck resolve issue corporate hotel like CP independent place . plus know like new CP bedding.3 . great rate - due luck , able get company 's corporate rate , put CP rate significantly low comparable hotel area . this obviously will not help , work big company Travel Services , try see corporate rate . bonus : sale dept deliver room little bag Mrs. Fields cookie note greet visitor company , expect nice extra touch . the hotel nice - nothing top luxurious , not need 5 - star treatment , care pay . lobby area small - ish important . room ( 2 dbl bed ) avg size , addl sit area bay window desk dataport ( issue w/ high - speed internet connection speed ) . overall , get killer corporate rate ( $ 130 + tax ) above - avg hotel fabulous location . 
 Oct 17 2005 	 great location staff room 	 nice room , great staff great location . negative price restaurant quite expensive . 
 Aug 8 2005 	 parking price outrageous 	 parking price shocking . even though read previous review , still park hotel . planning move car never . convenient . price -- tax -- $ 44.00 night . room ok .. nothing special . room overlook ugly roof top nearby building . guess 's get book cheap rate . consierge non - existent . talk 1st day get direction ... nothing empty desk rest week . want change reservation leave day early , treat nicely problem . thought might try charge extra day , not . Crowne Plaza great location ... 's want , go . would say average hotel expensive city . 
 Aug 2 2005 	 Executive Level without club room 	 reservation stay property July 2005 . reserve executive level room consult web amenity also call reservation tell serve continental breakfast evening cocktail club room . check ( still pay exec level rate ) hand coupon breakfast hotel 's restaurant tell club room empty room service . happy ' bait switch ' tactic , ask speak manager . could not insolent . good management allow cancel reservation find another room Hyatt Union Square club level . expect service available , i.e . continental breakfast , evening reception work club room . advice traveler beware plan pay ' extras ' promise club level . hotel up - front provide . want pay room label club level simply restrict key access elevator additional service . 
 Jul 20 2005 	 large room 	 book king room last weekend , must say impressed large room , San Francisco standard - large even room middle nowhere . however , many downfall ... 1st , extra charge every single thing : park 38 $ plus tax , around 44 , instead 27 $ ( street ) , still steep , ... 2nd , net connection slow dial - up , yet charge 10 $ /day ... breakfast , order everything 19 $ + tax room service .... beeing say , hotel perfect location , get high floor beautifull view . 
 Jul 17 2005 	 great hotel parking nearby cheap internet slow 	 ' m business traveler - stay Crowne nice . service good , room good quality ( big , not need ) , bed comfy . the parking provide hotel expensive , one block away municipal Sutter - Stockton garage , $ 7 overnight . plan use car day anyway , be great . my one complaint high - speed internet access slow . get 60Kbps speed Ethernet , way low hotel . worth $ 10 / night fee . 
 Jul 12 2005 	 Good Hotel Great Location 	 Crowne Plaza SF locate corner Sutter Powell . beat location access city center , financial district , cable car right outside door short ( 5 block ) walk bart.the room o.k . size comfortable furniture . lobby relatively small . try restaurant since many great SF restaurant area , North Beach financial district . hear noise street stay . problem bathroom small shelf sink make difficult use sink without hit head . would definitely stay hotel . 
 Jun 23 2005 	 comfy small 	 stay crown plaza San Francisico 4 night . my husband could believe perfect location . hotel really comfy bed little small . would stay . 
 Jun 15 2005 	 please read First ! 	 book Priceline . get $ 150 + room $ 85 ! leary booking hotel website , amazed deal get . impressed hotel , would stay heartbeat , even though usually stay starwood hotel . + front desk- accomodate patient , give corner king size non - smoking room , problem , even though oversell night.+cleanliness- although overly ornate , lobby clean , bright welcoming . + room- large mean , nicely decorate . bathroom spotless amenity unique . small touch make huge difference we . since hotel busy street ( trolley run right pass ) , earplug , eye mask lavender linen spray bedside . make sure request room high level -- -A must limit noise increase view.-housekeeping- bad part . clean room , make lot noise fairly early morning sleepy traveller . keep bang door , talk ... first think guest , wrong . I hope listen recommendation great experience . make sure overpay , else disappointed . 
 may 28 2005 	 Great Stay 	 arrive Sunday 3 - night stay . room little small - ish comfortable . CP 's relaxation / sleep program conducive good night 's rest . convenient Powell St . Transit Station , cable car line stop next hotel . restaurant pricey side , plenty less - expensive option within walking distance . stay future trip . 
 May 24 2005 	 Great Location 	 location hotel excellent be high enough towards back hotel view excellent well . however low floor ( 3 - 11 ) room small cramp . switch room first night seem room one person instead two . move 26th floor - designate quiet zone . nice hotel guarantee loud noise , tv 's , radio , child , etc . room also slightly large . great view bay Coit Tower . trolley line run right along Powell street right outside door . turnaround trolley line 5 - 7 minute walk Powell St 4 block ... however wait line 20 - 30 minute . parking rate ridiculous . park $ 38 / day include 14 % hotel tax . thank . move car street 450 Sutter , park $ 24 / day $ 30 / day day in - out priviledge include tax . be also another parking garage little block ( Stockton - stutter garage ) even cheap rate believe . priviledge choose 450 Sutter garage , park car close always within vehicle within 5 minute request - even long line . concierge friendly helpful ask help direction route different attraction . also get free complimentary drink coupon upon check - in . housekeep great job usually room spotless noon day . although room not good ' ve see ( ' ve see Holiday Inn Express hotel outrank place ) would definitely stay location . location make 9 day stay hotel worth money ! 
 Mar 24 2005 	 classy hotel decent price . 	 partner stay Crowne Plaza Union Square attend professional conference Moscone Center , find quite delightful , especially low price pay . room clean clean , tasteful decor . bed quite comfy , plenty pillow quality linen . staff friendly attentive . love little sleep kit , include lavendar spray , ear plug , eye mask , relaxation cd . bath amenity also quite nice . we couple complaint : 1 . stick right next elevator , could hear night . 2 . reserve king size bed , end two double bed . 3 . drink bar outrageously price ( $ 10 piece basic mixed drink ) . stay , sure use valet hotel parking . 's outrageously price $ 38 + tax per day . make mistake use first night promptly move car city garage around corner next day . be still pricey not accustom SF price , far cheap ( $ 70 three day ) .The little cafe / deli downstairs nice place grab quick breakfast lunch . not try restaurant , order salad via room service find perfectly delightful . the location hotel good -- 's close lot shopping , theater district , far downtown , chinatown , northbeach , etc . get good deal , be well worth . 
 Mar 2 2005 	 Cheap / Convenient / great place stay 	 stay Crowne Plaza early part February . great stay except rain week hotel could not control weather . read review , say pleasantly surprised hotel . staff extremely helpful nice , except doorman order we limo trip back airport . say would not cost $ 40 end cost we $ 45 . definitely book something cheap . maid exceptionally nice room extremely clean . hairdryer break first day stay immediately replace new one . the hotel 's location convenient . bed comfortable non - smoking room locate one high floor ( 20 ) city noise keep minumum . use business center need internet service . need amenity , might consider stay somewhere else . I would stay hotel , wonderful visit . San Francisco great town ! 
 Feb 27 2005 	 simply Fascinating 	 stay last year two day experience wonderful . staff friendly helpful , proximity China Town convenient . would love go back give opportunity . 
 Feb 27 2005 	 like back . 	 husband stay Crowne Plaza twice business San Francisco . Mid - January late February 2005 . Business Center small always wait . plus , internet pretty expensive use . not try internet room try hotel San Francisco , compare . see internet cafe right street . ( Cross Powell , cross Sutter , walk Sutter . ) not go , sign say $ 8 / hour . disagree one bad review thing . maid service wonderful . course , tip couple dollar leave note say Thank & quot ; please extra towel , soap ... etc . & quot ; help nice ! also , waiter restaurant friendly . get sick trip husband go ask breakfast go ( good buffet come room rate ) . cater instantly ask next morning show . would say Bellmen little aloof . take room , fast friendly . elevator one , not say hello , stare number go . could hotel policy though . we stay executive floor high beautiful view . also decorate nice floor . noticed get 7th floor visit gym . wallpaper carpet seem old dull executive floor marble floor bright color . ( gym well equip , busy early evening . ) also slow checking - in . fly Oakland take BART Subway way Union Square . ( station 5 block hotel . ) time get hotel , last thing want stand line 20 minute check barely anyone else around . they also & quot ; SleepVantage & quot ; program . clip curtain help keep sliver light night give eyemask , earplug , lavender spray linen . lavender relax . also relax CD , not like it . the people visit us room amazed view . rate around $ 180 / night check similar hotel thing want , one good rate . may check hotel time . , would problem stay . 
 Feb 23 2005 	 great service / location Crowne 	 sorority reunion ( 12 old woman ) Crowne Plaza Union Square every aspect stay hotel excellent . management / staff go way make visit first class . location perfect ... Powell Sutter ... cable car accessible convenient muni bus route close hand . room bright large bed exceptionally comfortable .... new , pillow - top . A+ rating book ! 
 Jan 12 2005 	 Wonderfully Restful Room + Great Location 	 Crowne Plaza Sutter Street San Francisco . average accommodation , indulgent amenity , great location Union Square . right heart & quot ; shopping district , & quot ; adjacent Cable Car , near every great Theatre , Bar Restaurant . wonderfully appoint room , beautiful window treatment , elegant bed linen , blanket cushy comforter . Silky cover throw pillow , comfortable reclining chair ottoman , nice cherrywood desk internet access . marble shelve bathroom expensive toiletry . door separate bedroom entrance foyer bathroom- great place store shopping bag change clothe discreetly . closet rather large . room , huge , small SF hotel . 's comfortable maximum 2 person . & quot ; Bay & quot ; type window afford extra elbow room . staff polish helpful . nice lobby bar Restaurant - girasole lobby level . excellent food service . Hotel Guests usually receive free cocktail 30 % dinner . negative terrible terrible terrible problem homeless around Union Square . militant , obnoxious odiferious street people , many severe emotional problem . former Mayor Brown provide cash dividend homeless attract hundred thousand . receive care housing many major city provide- be simply leave street . ' ve see bathe fountain opposite City Hall , around Civic Center Market Street . often , turn away decline eye contact , follow harass . cocktail lounge top floor Sir Francis Drake Hotel right nearby . historic Gold Dust Lounge Jazz Club ( circa 1933 ) two block away . great Irish Pub - Lefty O'Douls one block away also . Tiffany 's next door , Macy be across park - great great neighborhood shopping . treat nice room San Francisco . 
 Jan 4 2005 	 well cheap ... 	 two good thing hotel - pay lot money room trolley line . my experience terrible . feel staff rude incompetent room cramp . maid service particular horrible . problem traveler mention internet connection find internet café street . also price parking garage $ 38 night bill charge tax amount . move car first night Sutter Stockton garage ( block away ) cost $ 25 night . next time glad pay money stay hotel . 
 Dec 18 2004 	 great shopping location totally tourist orient 	 stay weekend Thanksgiving . location perfect shopping Union Square tourist activity cable car outside etc . room renovate , high view complaint noise . side refrigerator room ice machine near - by . there staff see around assume security good give brand hotel . for broad San Francisco experience , would recommend hotel , due location , perfect shopping . 
 Nov 14 2004 	 Excellent Value 	 stay 2 night $ 150 per night . location perfect -- right outside door cable car ; shop around ; breakfast place right across street ; public parking garage one block away ( TIP -- MUCH cheap park car Stockton / Sutter garage one block away ) . hotel charge $ 38 per day two night would $ 76 . instead , two night charge $ 45 self parking freedom go pleased without wait car . sure use public parking garage manage City reasonable rate . the room -- clean surprisingly roomy . view 23rd floor beautiful . upper level quiet ( even open window night ) well view & quot ; back & quot ; toward Russian Hill Coit Tower ( ) . bed comfortable bed feel new . strike early November think inconvience hear worker march outside , receive complementary drink bar first night . way , never hear picket line room imagine guest low level front room affect ! highly recommend hotel location , value comfort . wary neighborhood book downtown SF hotel -- block make big difference area sketchy . safe easy walk Chinatown even North Beach Fisherman 's Wharf ( able take cable car back stop right door hotel ! ) enjoy car drive Marin County also residential neighborhood . 
 Oct 14 2004 	 great hotel great location 	 superb hotel well locate corner union square tram stop right outside . room spacious well kitte comfortable bed ever sleep . excersize room recently upgrade stay nice . staff friendly although slight hicup end stay try charge we extra night ( pre - pay entire booking prior arrive ) . otherwise top class hotel top class location . 
 Jun 14 2004 	 great stay bit dry upper floor 	 like Crowne Plaza 's always keep clean . staff friendly concierge wonderful ! tell want deliver room set correctly ! problem one upper floor hotel ( great view ! ) wind top make room dry -- think go hook humidifier ! be probably bad usually , weather weekend . I love Crowne Plaza would stay heartbeat . 
 Jun 8 2004 	 business traveler 	 's deal .... acceptable hotel leisure traveler look anonyous , safe , no - frill place stay urban area ... sort folk plan use room shower sleep . result , expect lot pragmatic , budget - minded european tourist . for business traveler , place disaster . room internet ( imagine , internet SF ? ! ? ! ) . lobby offer wifi , buy $ 5 pass clerk idea wifi really . twice wi - fi not work clerk tell call number NY ! business center consist one multipurpose printer ( fax , scanner , copi , printer one ) use operate via credit card ( though break ) ... 's business center . tell , simply functional compare even like standard Sheraton Marriott Courtyard . finally , want nice play stay impress sweetie luxury ( e.g . nice Westin ) , place ... utilitarian , though clean . 
 Jun 4 2004 	 Great Location 	 great location - near shopping belt , cable car line , tourist information centre , good restaurant etc . find location good , be even near half price ticket counter - walk everyday check good show . look good italian food , be one good one nearby call Scala . room stay quite big , clean good toilet amenity ( nice oatmeal soap ) . problem front desk personnel . except Diane , rest front desk personnel stern face helpful . 
 Apr 16 2004 	 great Great Great 	 Great Hotel especially money . Booked Hotwire.com . great location , walkable union square , fisherman 's wharf , embarcadero , coit tower , chinatown . friendly service . would definitely stay . 
 Mar 30 2004 	 ok problem 
 Mar 1 2004 	 average hotel great location ! 
 Jan 12 2004 	 great ! ! ! ! ! 
 Jan 4 2004 	 good deal 
 Sep 15 2003 	 Large Rooms Friendly Service 
 Aug 26 2003 	 Good Place stay 
 Jul 16 2003 	 fantastic place stay 
 Jul 8 2003 	 Great Location 
 Jun 17 2003 	 Comfortable Convenient 
 Nov 1 2009 	 Excelente Ubicación 
 Oct 20 2009 	 Excelente elección ! ! ! 
 Oct 1 2009 	 Parfait 
 Aug 31 2009 	 Bel hôtel . très bon emplacement . 
 Aug 24 2009 	 ? ? ? ? ? ? ? ? ? ? ? 
 Jul 31 2009 	 bello e comodo mancano cassaforte e frigobar 
 Sep 23 2008 	 Peccato il costo del parcheggio 
 Sep 22 2008 	 Ottimo 
