seriously 	 1st trip Las Vegas , stay Harrahs . gamble enough Atlantic City New Orleans room Vegas compe . check , go room discover view dirty pipe brick wall . go desk ask room change . tell desk clerk already upgrade junior suite ( news ) nothing available . cough paperwork hand back . check Monday afternoon leave Thursday . not spend one dime hotel / casino - go Bellagio spend ton money - service impeccable . 
 little disappoint 	 stay Harrahs whenever Vegas always satisfy . however , four night trip 46th wedding anniversay little disappointing . arrive around 11 tired flight luggage we . tell could get room 3 pm . ask anything available tell yes want upgrade . think extra money pay fact second year stay Harrahs anniversary mention many time stay would get pretty nice room . disappointing room ever . must small room hotel swimming pool outside patio door must upgrade . disappointed . thing noise room next door continue night long two night ( swear , cry , scream tv ) . 1st night could request move think maybe people would go next night . nope . one isolated incidence . really like Harrahs hopefully well experience upcoming stay . majority staff gem . 
 not stay HOTEL ! 	 start .... thousand dollar worth item steal room . door close lock properly ( video evidence ) security guard came make personal call room right front we . majority staff deal either care keep reffere us & quot ; Risk Management Department & quot ; seem comprise one man work 2 hotel . tell charge thing room clothe steal nothing wear . buy clothe tell could charge room . also tell would take three day & quot ; third party & quot ; review evidence . upon return home discover security guard never file report holiday . month half since incident nothing do . call hotel nearly daily update . one man say check lose find could find suitcase .... really ? MONTH later ? wow ! want compensation steal item somebody fix door . also , instal camera hallway elevator might help theifs can not come detect . not beleive security information find pamphlet room outdate , security manager tell we ! ! ! contact CEO run Harrahs among thng currently speak well business bueau Las Vegas . could write would take forever . not stay hotel , be good something bad happen ! ! ! ! ! 
 Nov 6 2008 	 return Harrah 's 	 return stay Harrah 's Oct. 31 thru Nov.3 . find hotel pleasant . Ritz , well appoint room spacious clean . bed extremely comfortable nice quality linen . although go stay , everybody contact work hotel extremely friendly accomodate . always ask everything ok enjoy stay . eat hotel twice , find good , also good service . location make Harrah 's attractive . ideally locate easily access strip visit hotel immediate vicinity . would definitely return . great value . 
 Nov 3 2008 	 great Stay ! 	 book Harrah 's Allegiant Air stay week August . go Las Vegas year , happy stay . casino close many hotel . use Monorail alot , place stay . easy we get around casino . great restaurant also . would definitely stay ! 
 Nov 1 2008 	 would not recommend hotel casino 	 problem Harrah 's smokey casino . almost everyone smoke . everywhere . get room ? must go casino . it be unbelievable . remember : 2 hour casino equal 6 month second - hand smoke exposure . risk lung smoke bad health risk . also , illegal immigrant right outside Harrah 's door try solicit everyone call girl . actually cut one card - grin sheepishly . if must go Las Vegas ( can not think reason gamble 98 % gambler lose money accord study study ) , stay strip . Visit Hoover dam must , would stay clear away casino . 
 Oct 30 2008 	 Nice stay Harrah 's 	 husband stay Harrah 's 10/23 - 26/08 lovely time . check - in easy - fortunate come time not busy , 6 people help check 2 help checking ( not people hear check - out service tv room ? ? ? ) . arrive around 9 give room right away 5th floor Carnaval Tower . check - in clerk warn us mini - bar room . apparently , ' ve problem people charge set something top mini - bar ( computer sensor ultra - sensitive ) . good thing tell we certainly look like able put thing top . , room fine . bit dark - 2 light room . people like read evening ! room obviously remodel recently , everything look clean new . normally stay Treasure Island move Harrah 's price much well . would go back experience . 
 Oct 28 2008 	 nice place 	 return Harrah 's opinion be like , take 's worth . check quickly professionally , stay 23rd floor carnival tower . ordinary room , offer upgrade Mardi Gras tower , would probably take , matter . room average , somewhat dated probably due remodel next year keep hotel competitive . really thing notice cabinet TV sit rather obtrusive door open , get middle night , warn . common area similar room , nothing set either positive negitive date need minor repair . eat ' the Cafe & quot ; breakfast one day , really great , watery egg , way large portion mediocre food touch price breakast fare . casino nice , think look , wife gambler family , not get rich break even 4 day , guess would win . good part hotel location , close everything airport , monorail strip feature . overall , enjoy stay , like say nothing really exceptional negitive , average strip hotel price range . one thing note new Vegas traveler , go Las Vegas past 15 year noticed time particular price thing start climb usual , buy beer one Luxor casino bar , $ 8 , Harrah 's $ 6 average meal seem 30 50 % high vacation spot . much gambler may last trip , place country not quite expensive , old vegas seem die . that be know , hope help . Skippy Colorado 
 Oct 20 2008 	 nice room noisy ! 	 check good . not room book . go give we 2 bed instead 1 king . ask could upgrade get premium room mardi gras tower charge $ 25 per night . room nice , look like recently remodel . room look onto pool . warn we would noise carnival court not bad . thing good wall thin could hear people talk next room toilet flush . Vegas time not matter time . 
 Oct 16 2008 	 Fantastic usual ! ! 	 husband stay Harrahs 10/7 - 10/14 . book limo pick last year . driver right baggage claim . cost $ 48.00 worth we , help luggage , treat like royality per usual Harrahs ! check easy . room ready king bed , 2 queen available . 10:30 , opt take travel many hour . room 2345 , Carnaval Tower . nice view Mirage , well part Caesers Palace , part Venetian , Treasure Island . air conditioning sensor control , easily bypass look set right . everyone friendly usual . housekeep exceptional . suggest anytime anyone problem , contact . always leave $ 5.00 per day tip . room service many time , although tell would 45 minute , usually come within 20 . Video Poker wonderful husband . several thousand dollar play 25cents max credit . cocktail service wonderful usual . bed glorious ! perfect mattress , plenty pillow . also charge back room visit Toby Keiths , PepperRose , Margaritaville . $ 5.00 flavor buffet , gladly spend full price second time around breakfast . Hubby tip prior seating , tend constantly . not bad thing say . noise room , hallway . depart , limo driver wait we ( 5 minute early ) . , cordial . wish everyone wonderful stay Harrahs ! ! ! 
 Oct 15 2008 	 Best Place eat 	 go Oyster Bar Pennazzi , 's good secret stripgreat Seafood . ask Rumundo cook special meal . can not say enough place . 
 Oct 13 2008 	 Gambler Beware ! 	 wife stay Oct 9th 12th . intially request deluxe room Mardi Gras tower switch carnival tower power outage schedule night ( 2 - 5 ) . upgrade Junior suite highly recommend . large hotel room ever stay , make relaxing stay . overall stay Harrahs perfect location . agree other drink service abundance hotel nice . bad news . old Vegas go . spend 3 full day gambling ( Blackjack , slot ) several casino tell check luck door casino change make much , much hard edge . three year ago came consistenly fare well Binions , Harrahs , Flamingo , MGM , Ballys . casino deal 6 deck . get 1 2 deck payout rule change . Blackjack pay 6/5 low deck ( 1 - 2 ) double splitting ( casino exception - for ) . first , think bad luck day follow watch people , notice noone see win either slot table ( look alot table ) . actually impressed this- alot people lose consistenly ... everywhere , Harrahs . Friday night , deceide go outside Harrahs property ( pretty much surround property ) see grow trend unfortunatley . do not bring much lose try tour gambling . 
 Oct 7 2008 	 Hotel okay location great 	 location great hotel so - so . room clean par hotel . dirty wine glass leave room two day , put hallway stay another two day . replace dirty water glass clean one , not take dirty one . view room leave alot desire . look air conditioning unit thing , stay . air conditioning motion sensore door , horrible 110 degree heat . walk room , 79 degree . cool temperature walk outside . cafe hotel overprice , understaffed , , food bland . buffet good variety different food . casino slot tight , beverage service frequent abundant ! pool area great little water sprayer cool hot Vegas sun . would stay ? would location strip service . 
 Oct 6 2008 	 good stay Harrahs 	 stay Harrahs 9/28 - 10/2 , 2008 . staff nice , room good , bed comfortable . criticism room would add exhaust fan maybe bright lighting bathroom , maybe put coffeemaker room . really good stay . Mac King show Harrahs Showroom funny , really good show . monorail station Harrahs convenient . Cafe good buffett also ( get discount buffett ticket tix4tonight -- -also good place get discount show ticket ) . overall positive experience would recommend Harrahs anyone . 
 Oct 6 2008 	 enjoy stay Harrah 's 	 brother stay Harrah 's week September 2008 . visit Vegas many time stay variety hotel , Sahara Bellagio . choose Harrah 's location price . please hotel . we arrive early afternoon line check minimal . desk clerk friendly efficient . ask renovate room $ 25 per night additional . decline ' m glad ; unrenovated room Carnaval tower fine . maybe scuff , everything work room clean spacious fairly large bathroom . many TA reviewer complain room coffee maker . room , along hair dryer , iron , minibar , wall safe . housekeep great job entire time . bed pillow comfortable . room face toward Carnaval Court . could hear noise night , bad hearing television another room . not bother , although someone sensitive noise might . drive airport avoid Strip take Koval . sign direct we Harrah 's ; problem find . monorail stop . not use trip , past 's nice way get around . location great hotel surround popular hotel pretty much central Strip . Harrah 's slot not pay , easy enough go next door Casino Royale much well . we eat breakfast flavor buffet almost every morning . like . also go Starbucks every morning . nice dinner 46 Steakhouse nearby Flamingo , Onda Mirage . see Jersey Boys , Barbra & amp ; Frank - Concert never , comedian George Wallace , enjoy all . some tip : find get casino level starbuck late line horrible , line often short starbuck second floor . also , use pool seem crowded , another sun deck one level . never crowded . not forget total Rewards card ! check tix4tonight show ticket . buy show ticket probably save $ 100 each . overall , would recommend Harrah 's would gladly stay . 
 Oct 4 2008 	 Nice Hotel great location 	 return stay three day hotel . check effortless hotel staff service pleasant time deal . room clean two comfortable queen size bed nice crip linen . room also spacious include table two chair well fully stock mini bar . bathroom also large comfortable . order room service twice time service food great . dine Flavors , buffett restaurant hotel , pleasantly surprised . get lot money mexican dish appear extremely dry unappealing , great experience . good feature hotel casino opinion location . situate right strip , step away good hotel , include Venetian , Ceasars Bellagio . recomend stay get lot money . 
 Sep 26 2008 	 SoSo 	 location great . bed comfortable room clean . big complaint room noisy . could hear people talk room next we like room . ( not even talk loud ) could hear use bathroom . kind remind we Super 8 . certainly hope find something quieter next stay . 
 Sep 23 2008 	 great staff location affordable 	 LV many time stay many place . stay Harrah 's next time . staff every area exceptionally nice friendly . food cafe good , reasonable portion plentiful . sister senior citizen feel safe time area . 
 Sep 23 2008 	 enjoy stay 	 take family Las Vegas son 's 21st birthday Sept. 12th 4 night . got hotel 10:00 pm Friday night walk right counter . always stay Harrah 's Mardi Gras tower face pool . however , time tell we room would $ 25 per night . first time happen . king room available handicapped room carnival tower , take . good view mirage volcano ( repair , not work ) . room clean comfortable bed . other party opt 2 queen ( want king ) room ready . not understand room not ready 10:00 night , know be come . anyway , spend day pool . people not like pool , need get wet . great time ! great bartender pool bar ! go Carnival Court first night ball . also go Margaritaville , also great time . gambling pretty good we . come across wonderful dealer . pleasant . not come home broke ! whole party eat Toby Keith 's . dinner good , slow . breakfast buffett , also good . son , mountain biker , go 4 hour biking trip red rock canyon . say hard thought would , ride hill . also , weather fantastic ! cloud sky upper 90 's . can not wait go back , probably spring . 
 Sep 21 2008 	 dissapointing 	 book room one night follow wedding reception . $ 300 night expect something quite nice . get run - of - the - mill hotel room need maintenance . & quot ; view & quot ; ( room 407 ) wall - in rooftop . tub big chunk porcelain miss ; sink counter crack ; sink drain stopper ; in - room safe work ; picture toilet mount crooked . none would meant much $ 60 hotel outskirt Las Vegas , $ 300 feel pretty much rip . oh , include internet access -- add $ 12 / day . 
 Sep 16 2008 	 Harrahs Carnival Tower 	 another wonderful stay Harrahs Las Vegas . time Carnaval tower room 1827 . nice clean room . King bed n / a give room 2 queen bed . table two chair helpful . Closet , tv , snack minibar build wall leave floor space . regular tv set lot cable channel available . Wall safe handy . bathroom nice tub shower design , full amenity , full stock towel . and coffee maker - hotel need wash carafe remove build residue top cap cover instead rinse . Shower head 5 setting heavy massage spray gentle rain flow . climate control easy use keep room comfortable level . blackout drape help keep hotel exterior flood light room . window open partially course half view show dormant Mirage volcano ( ungrade ) , TI ( Treasure Island ) distance , right Venetian . over room stay great . slot play casino different story . win time Strip . come ahead Orleans ( $ 1800 $ 433 ) Fitzgeralds downtown ( $ 900 ) Happy Gaming ! ! ! ! 
 Sep 16 2008 	 Central Strip -- Comfortable Clean 	 stay 5 night September 8 - 12 , 2008 . drive park fairly plentiful Harrah 's garage nice . check - in fast easy . tell reserve room several month advance luxury room reserve would coffee maker not , kind disappointed . also promise strip view ... really strip view ... well kind peekaboo view guess indicate phone . starbuck locate within Harrah 's nice . bed pretty comfortable , room clean . Location Harrah 's centrally locate strip close many casino , definite plus . never ever luck gamble Harrah 's tend gamble majority time elsewhere still gamble Harrah 's earn comp . comp system Harrah 's good player club . hotel ' ve stay strip year , Harrah 's favorite term nice room ' ve stay . however , favorite hotel 's location strip ! ! would probably stay . 
 Sep 14 2008 	 disappointing room 	 room book describe & quot ; recently refurbish room , Harrahs bed plasma tv & quot ; . checking tell room reserve available . tell person desk pay specific type room tell not guarantee room ! room available smoking room we non - smokers ideal . option wait couple hour another room become available . travel way UK take smoking room . room awful . smell smoke hit we soon walk room smell intense . decor curtain even turn yellow ! awful night sleep even pillow smell smoke . shower also break hang stand . complain next morning offer non - smoking room still one originally book . still apology anyone wait 6 pm change room move suitcase ! ! room slight improvement , however noisy feel like people next room actually room ! check mention room situation tell room originally book take convention . offer free breakfast completely pointless make way airport ! apart hotel good location strip . would not stay though ! 
 Sep 13 2008 	 Great Hotel Great Location ! 	 stay Harrah 's Las Vegas September 4th September 8th husband . property great ! location : location property central everything need ! Front Desk : front desk help go smoothly . first day check , room want unavailable ( King / Non Smoking ) , get upgrade suite first night ! nice luxury first stay Vegas ! bed Harrah 's extremely extremely comfortable . room clean , really complaint . vanity bathroom could little big , , thing great ! gamble drinking : gambling really suck place ! expect ? 's casino ! long gamble , get free drink . Tip waiter bartender ! Piano Bar : piano bar inside hotel great entertaining . cover get , charge drink right room . buffet : buffet ok , nothing really special . think $ 22 adult . want really really good buffet , go Wynn , be $ 10 Harrah 's , well well worth it . all , great hotel great stay ! McDonalds Denny be closeby late night snack ... afternoon snack ! wear good walking shoe ! ! ! ! ! ! ! first day wear flip flop foot hurt two day ! 
 Sep 12 2008 	 Harrah 's Wonderful Location 	 Location : Harrah ' locate mid strip beside " Casino Royal " " Imperial Palace " . great location want heart action . quick walk " Forum Shops Caesars Palace " hop skip jump liquor store across " Carnival Court " . another HUGE plus Mono Rail route , bless 42 degree weather . Room Type : upon check offer upgrade small charge $ 25 per night . little hesitant inquire available guest . assure yes , subject availability guest would offer upgrade . room assign we Carnival tower , give notice Front Desk agent little noisy , little balcony , flat screen tv ( include one bathroom ) , pillow top mattress . agree , think air conditioner would drown noise encounter ( stipulation able see deluxe room sell ) . really ' bad ? well , . room nicely appoint , also fill heavy thumping music . would okay ' since 5 am … and would okay plan stay 2am … but mood party . trek back front desk request " downgrade " .Our new room , ( room sell ) pretty much , although flat screen tv bathroom balcony . standard deluxe actually large . note cleanliness room , accidentally spill something floor use extra face cloth clean . face cloth rather grey … mean floor pretty dirty . may nice idea keep shoe hotel room . aside clean . bed clean white duvet . the air conditioning room motion censor , mean ' move ac either . particularly dishearten day walk swelter desert heat come back room overly cool , kudos environmental concern . I wake middle night less sober guest hallway . however , hey ' Vegas , expect ? pool : well may funky shape , lack funky floaty thing water A - okay ! pool area little date , adult feel . child , well behave . pool bar , also reasonable , $ 4 draught pitcher margarita around $ 20 . also shade ! want around pool , ' want bake . family : aside pool , lot activity hotel kid could participate . ' recommend hotel family young child . romance : room light dimmer like TI , light either full SUPER DARK . suppose could romantic yet casual dinner Ming ' table … .But ' rate Harrah ' high romance factor . shopping : convenience store locate site , sell standard cheese cracker , among amenity toothpaste , beer twinkie ( find spray cheese somewhat amusing ) .aside convenience store , also souvenir shop , appear " globe " shop . variety " Forum Shops Caesar ' Palace " across street . spa : Harrah ' full service spa . spa treatment less week oppose weekend ( peak time ) dining : Harrah ' 8 restaurant range bustle bar " Toby Keith ' love bar Grill " casual " café Harrah ' " , " Range Steakhouse " staple Las Vegas hotel buffet . we pretty tight budget weekend due fact pretty last minute decision . indulge little McD ’ pizza slice , also conveniently locate next Harrah ' . activity hotel : Harrah ' host " Rita Rudner " , " Improv " " Mac King Comedy Show " . addition show Harrah ' also offer nicely appoint casino , Piano bar host Karaoke Party every night . in conclusion , enjoy Harrah ' . big feature location . love able step casino excitement Las Vegas strip . stay may utilize monorail ( certainly use ! ) nervous stay property rate 3 star , find accommodation basic , also find say " ' okay " .would recommend Harrah ' good friend ? first time visitor , absolutely . beat location value . 
 Sep 9 2008 	 safe bet 	 stay one night , saturday , july . pick harrah 's 's great location strip . 's right center strip right next good hotel . check easy ... guy counter help we friendly able check we early ... room great . roomy clean bathroom . casino never look crowded ... spend good portion day pool . pool way small ! really search couple chair wait corner clear water . always server run around get drink , do not even get pool ! yay ! also eat buffet ... ok . nothing special . mimosas blah well . look somewhat cheap room perfect location , stay . 
 Sep 8 2008 	 Harrah 's bad .. 	 compe 6 night stay harrahs las vegas , figure Free give shot . look good comp , gamble ! comp horrible $ 50 dollar hand blackjack get virtually comp . go next door imperial bet amount 20 comp dollar within two hour play . drink service either really good , really bad . , either one another , wait half hour . blackjack pay 6 5 instead 3 2 . ( yes count 6 deck shoe games ) horrible harrah go , make enough money already gamble rip payout , sad . $ 5 dollar crap game even week i.e Monday 1 pm . buffet average good , standard food , nothing special . crab leg already cut half meat really dry unedible unless drench artery clogging butter . 20 buck find something well . room . book luxury room strip view , instead get mini suite overlook pool . room loud music carnival court , earplug trick be not issue . be not get back room 3 sometimes 4 be not much hassle loud music . tv bathrom great , mini bar , expensive hell , worth need 3 dollar bottle water wash away long night drinking . room clean , complaint do not get room clean 2nd night . call housekeeping say call turn room clean , true . call 3 time finally get frustrate throw old towel garbage hallway ( housekeeping tell we ) came quickly pick restock we . overall great free stay ... next time think try different Harrahs property normally compe realy cheap . would stay free ! 
 Sep 7 2008 	 brilliant holiday 	 wonderful stay harrah 's . stay week . we go see Improv comedy show really good also see Mac King comedy magic show really funny . the staff hotel really helpful polite . try flavours breakfast buffet , everything could think of . Harrah 's great location right middle strip monorail hotel really handy get around strip . our room lovely , clean brilliant view strip.from Alun Sarah . Wales UK 
 Sep 5 2008 	 Location Great/ ac room good 	 love location unhappy room service . get checkin clerk give standard room . tell pay premium want . inform premium room available renovation . tell want refund . come back say locate one . suprise . appear Harrah be quite often unless call . secondly ac never cool room . leave room ac cut set motion sensor . prepare come back hot room everytime leave . stay Harrah 's . I m Vegas want come back cold room nap hot sun . travel alot usually take thing tride . not feel like tis ask much deceit air . post say watch timeshare 's property . 
 Sep 1 2008 	 thoroughly enjoy Harrah 's . 	 invite share room friend compe room week can not comment price . room 18th floor . find furnishing update nice . clean comfortable . walk several different casino 's Harrah 's wonderful central location . spend time temp excessive 108 degree . there multiple restaurant ( 9 ) try : Café harrah'sflavor , BuffetMing 's TableStarbucks CoffeeHad good experience four . Harrah 's great variety different game level . lot penny game well quarter , dollar table game . would stay anytime ! 
 Aug 28 2008 	 Harrah 's fine -- avoid timeshare spiel 	 usually stay Harrah 's Vegas price . nice , although know hotel strip lot fancy . room clean everything else fine . however , whatever avoid Wyndham Hotel spiel anyone offer front desk . RUN ! offer free ticket & quot ; Legends Concert & quot ; free buffet Imperial decide spur moment . boy , sorry . tell we would last two hour end 4 hour . even drag we Wyndham Resort . feel trap . try sell time share tell pressure , twist arm . husband finally lie say conference call China . even believe , sometimes . say 's way could think get away , ha ha . buffet Imperial good , although good time legend . work hard ticket ! never . , hotel fine . avoid Wyndham offer anything . YUK ! 
 Aug 28 2008 	 everything think would ! ! ! 	 stay Harrah 's August 17 22nd . book room right Harrah 's website 49.00 / per night . girlfirend go another couple , desk clerk make sure right across hall couple . the room great , except bathroom door do not close completely close way . Toby keith great food . gf love & quot ; freedom fry & quot ; . lunch good time go do not like country music . later night , blast country music . the gamble Harrah 's hotel strip expensive . blackjack less 10.00 per hand . unlucky , be easy lose cash fast . play cheap table game Fremont street . right next Harrah 's Casino Royale . CR 1.00 beer margarita . skip beer , cuz taste horrible . gf money big wheel fortune game . take Monorail hotel . take Deuce ! ! ! deuce always pack cuz be cheap . monorail cost u get hotel sooo much fast . take monorail will see much . airconditione sensor . do not problem , except one night wake sweating & lt ; probably cuz have not move couple hour & gt ; .Overall , great time . would sure stay Harrah 's . 
 Aug 27 2008 	 Great Stay 	 return 5 night 6 day stay Harrah 's Las Vegas . choose hotel price location happy choice . hotel centrally locate strip - walk either direction take fancy hotel , Harrah 's fun ! ! kareoke bar duel piano always entertain . gamble little hotel win whole lot anywhere loose shirt either . Carnaval Tower , 5th floor , view , nice room , king bed everything need comfortable stay . pool average , hot do not spend much time except early morning swim . would definately stay Harrah 's , would definately recommend friend family future trip . 
 Aug 26 2008 	 always good experience 	 stay Harrah 's property past 10 year , mostly Harrahs . never bad experience hotel usually room compe . friendliness staff weigh slightly old feel hotel . comp not seem good use , rarely offer free weekend night . Venetian send we offer 3 free night weekend include . go Sept , think go much nice hotel , write review return . 
 Aug 24 2008 	 Bad Stay 	 stay Harrah 's August 19th August 21st first two night vacation . comp offer stay either , Imperial Palace , Rio decide stay since two already book offer . roomthe room Mardi Gras tower , close Strip quick walk away . also overlook Mirage volcano pit ( bad construction ) . issue air conditioning would turn motion detect . especially annoying try get good night sleep hear loud fan go every 20 minute . sign room say Harrah be try & quot ; green & quot ; , efficient keep turn AC . understand room daytime try sleep . amenitiesthe pool rather small challenging get seat . seem like many vip seat require extra charge . free shuttle Rio major plus . good time Carnaval Court . total Rewards card one good business valid many casino across country . helpful staff . overallthe location great would consider stay comp . stay look reasonably price room close everything . something AC room , though . 
 Aug 24 2008 	 Great Stay 	 stay Harrah 's 8/15 8/18 . first time anjoyed visit . review note outstanding customer service hotel agree . everyone encounter stay pleasant helpful . room ok clean . room service so - so . flavor buffet average . I would recommend hotel look affordable , centrally locate hotel . casino fun . 
 Aug 23 2008 	 c+ 	 stay Harrah 's June 2008 five night . hispanic hotel desk clerk excellent . give choice room . room view possible noise live band room back view quiet . choose room view . it nice update . ... hot . whenever leave room A / C automatically shut . 107 degree one day . come back room temp . 80 degree . take 6 room cool temp reach 70 degree . sleep next impossible . I spend 1000 $ slot Harrahs . do not even get play money . drink service excellent though . the buffet ok . nothing special . sandwich shop near poker room pretty good filling . 
 Aug 22 2008 	 great stay Harrah 's 	 stay Harrah 's 8/17/08 8/21/08 . read review skeptical arrive wonder bad review . ' ve vegas last 4 year first stay Harrah 's also first year arrive not wait room ready . check 4 arrive 30 minute early still room ready . stay Mardi Gras tower newly rennovate room . room kind small still nice clean . everyone work hotel come contact extremely helpful friendly . housekeeping excellent . definitely stay . 
 Aug 21 2008 	 need rebirth 	 even though compe room 4 day Harrahs really dissatisfied condition hotel . really run . say casino smokey would gross understatement ! smoker tolerate ... place reek stale smoke .... could not stay 5 minute without smell like old bar . we check late Saturday nite ... despite guarantee luxury room .... ( accord website view strip ) ... assign handicapped room seriously need makeover . bathroom feature hand hold shower head drain middle bathroom floor ... sanitary well . stay due hour go next morning new room . assign luxury room renovate floor ... somewhat well view strip .... whatever ........ hotel great location ..... atmosphere choke ... food ... run ..... stay Flamingo year kind deal GO Room great ! pool area joke ....... small pool little atmosphere .... compare hotel pool 1 scale 1 - 100 . would say pay room Harrahs ... look elsewhere .... compe Harrahs property ..... look elsewhere .... place really need rest . 
 Aug 20 2008 	 Nice room ... Crappy Comps ! 	 Harrahs nice big room , include pretty good size bathroom . easily fit 4 people comfortable . Played allweek severalfriend use card , receive like $ 11.00 room comp ... buffet , shirt , nada ! hotel staff friendly , waitress always drink play . spa nice clean also . give pretty good deal room gamble , not expect much discount be gamble endof stay . 
 Aug 16 2008 	 clean room 	 family visit east coast book 2 room Harrah be on - line 3 month advance . price great room way average . look though would recently remodel w/ update bedding , etc . 3 complaint : 1 ) loooong walk elevator room ( minor , know ) 2 ) nasty breakfast cafe ( instant , runny egg ..... disgusting & amp ; pricey ! ) 3 ) room not ready get not promise 4 pm & amp ; 6 pm . check bag bellhop could not use pool change clothe .... 7 pm show attend . room ready 5:45pm .... rush get freshen get show time ! ! ! all - in - all , stay good stay . 
 Aug 14 2008 	 great strip location 	 Harrah 's good hotel money terrific location center strip . Carnival Court outdoor lounge really fun part reason choose hotel . check discover water leak roof bathroom . maintenance slow respond , return lobby bag request another room . cheerfully accomodate , compensated way hassle . warning : anticipate plumbing issue . replacement room leak ( first ) , toilet later begin shoot water ( force ) water tank whenever flush , soak shower curtain floor . problem fix , two issue many day room bite much . nice shower , not drain well . will stand 5 & quot ; water time be do . the Improv Comedy show great inexpensive Vegas show go . would highly recommend it . the pool area clean , 's pool . be look someplace upscale unique swimming area , not it . we never eat restaurant , find Starbucks lobby extremely slow . be difficult get cup coffee Vegas morning ! 
 Aug 11 2008 	 good stay Harrah 's 	 spend week Harrah 's ( July 29 August 5 , 2008 ) . room clean large , room clean service timely unobtrusive . hotel facility generally good - exception Cafe slow service tired decor . Location Hotel excellent - vibrant part strip - wish drugstore close ! overall satisfied stay Harrah 's plan go back get good deal . 
 Aug 11 2008 	 Ok Hotel 	 stay Harrah 's 4 night Aug. 3 - 7 . bed comfortable wish room sound proof . thin wall could hear noise time . room clean nice water pressure shower excellent . casino , 's nice machine tight . fact think Las Vegas tight expensive ! travel Vegas long time . food drink outrageously price free drink gambling coctail waitress far day unless high roller . Vegas 3 year ago believe expensive gotten . harrah ok right price . would stay , yes could get free trip want pay another trip Vegas pay high price food drink . good luck go , need ! 
 Aug 8 2008 	 another great stay Harrah 's 	 husband stay Harrah 's July 21 - 25 , room compe due slot play back Atlantic City . stay last year return like location hotel casino . , great time Harrah ' Vegas . stay Mardi Gras tower old side face strip . room small , care - go sight see gambling time . room , like motion sensor air conditioning cool room quickly enough we save energy way . go pool one day , pool small , fancy , , hot July . go show & quot ; Phantom Opera & quot ; venetian excellent ! Buffet Venetian also excellent , although little expensive we . splurge satisfied food selection . the staff Harrah 's nice . go back next year , probably stay . another satisfied customer . 
 Aug 7 2008 	 Loved Harrah 's - back ! ! 	 husband & quot ; quickie & quot ; 2 day mini vacation Las Vegas July 28 thru 30th , book since Jan. 08 Allegiant Air . due bad economy decide 2 day well day . Harrah 's well price package . booking start research customer review , good bad . since could not change plan say might well see . arrive check take 5 minute , Carol extremely nice customer service skill outstanding . upgrade we Junior Suite Carnival Tower . room 802 clean , big cozy , bed exceptionally comfortable want take mattress pillow back Texas , LOL . not expect & quot ; view & quot ; room unless like parking garage go Vegas & quot ; view & quot ; . Piano Bar awesome . the slot tight lose money end stay lot fun . Wish could stayed long . drink take long , staff friendly . check take 3 minute . say negative review Harrah 's Wynn Bellagio not expect luxury expect nice , safe comfortable stay . look forward go back next Summer . 
 Aug 7 2008 	 Great want feel insignificant 	 book hotel price right , location ( thought ) , area Strip seem change lot last year . seem like everything cater high roller , even mid - range casino like . odd 99 % people see mill around look well worse , play nickel , quarter , dollar slot like . obviously not & quot ; whale & quot ; caliber people , yet even though feel fit well , still feel like casino hotel could not care less . everything ridiculously expensive . not look room service menu unless want hearty laugh . five dollar bottle wine go forty dollar ? kid ? maybe spend enough money casino will invite back free , , might take , way heck ever pay stay . 
 Aug 6 2008 	 Value Money 	 comfortable stay Harrahs 18 22 July , first visit Vegas . reception particularly friendly courteous check - in 4 room . upgrade superior room high floor , find wonderfully comfortable fabulous bed , LCD tv room bathroom . housekeeping always attend early day great job . eat buffet first morning not particularly impressed food ( tho service great ) not return . find hotel great location , especially middle Monorail stop , transport either end strip breeze . bus stop short walk away outside Venetian Flamingo . pool way compare other see , adequate cool off / lay sun . hotel nothing amazing good solid stay value money . move 4 night Mirage honest much prefer slight increase price . 
