agreeable 	 locate nicely midtown easy access subway . lots selection eat shopping nearby . construction lobby minimally inconvenient . room clean well proportion , staff friendly helpful , even NYC . 
 Staff wonderful remodel underway 	 large group famile jump roper Macy 's Thanksgiving Day Parade . Staff get we room long bus trip always help detail . hotel undergo remodeling ( need many NYC hotel ) , clean comfortable . internet free lobby warm cookie available time bonus . busy time person receive individual attention service . Hilton standard , realize construction go , maintain . staff helpful take care need . New York hotel room small fact life . clean important group complaint . 
 Location good -- -but 's ... 	 always try stay Hilton chain .. hotel old run . construction take place Nov 30 , probably good thing . room really small sure hot . NYC , hotel turn AC winter . 1 choice , heat open window . noisy horn blow etc .. staff excellent one thing bad breakfast .... chef consider career option . restaurant business , could not believe put .... cold bland ...... wise , location great .... 
 Aug 6 2007 	 need major overhaul 	 travel agent book . review last time polite chance surpise , sadly not . good thing location , excellent ( right next office get book ) room reasonably spacious New York . place tired . give flavour - bathroom tin sink set white plastic worktop . rawlplug stick tile previous fixture fall wall . tap barely hang wall . bedroom ok - clean usual facility tired . doubletree idea present warm cookie arrive - feel date . long flight checking late - really want receptionist give warm soggy cookie - not even open bag go trash . $ 300 - budget . 
 Jul 22 2007 	 avoid hotel 	 Computer system day could check 5:00 waiting line hour . offer comp type . room dirty . discover get 1:30 . sheet stain bathroom clean . change room 2:00 assistance luggage . tell breakfast include . new room break light never fix stay ( despite call front desk ) . remote battery also fix despite call front desk . checked not even apologize much less give type discount filthy room room switch 2:00 . many well place stay NYC . stay . 
 Jul 19 2007 	 great Stay Super Bowl ' 06 	 people front desk awesome , extremely friendly . bar set Super Bowl give we extra food free order appetizer . room awesome view ... room nice , bed well ! ! park simple easy . husband would definitely stay without kid . p . Gene Simmons stay . : ) 
 Jul 15 2007 	 expect 	 first time NYC , boyfriend really want stay nice place . July 5th July 10th . hotel & quot ; ideal & quot ; location look nice , sell . upon arrive pretty impressed . room look nice , service great , even boast boyfriend great taste . unfortunately later would uper hand . first night find noisy . hear perfectly people shower we . can not really complain noise outside NYC , recommend stay Lexington St. side . go room walk hall , really let . wall paper hall peel , side fall wall . room water damage beside sink vanity look like never clean . * get take care 3 call * . large lamp also work , even housekeeping lady try infront we , never fix . also , ice machine & quot ; vend machine & quot ; single pop machine scary site see . locate dark , dirty room service elevator janitor closet , garbage , old mop break equiptment everywhere . definately go back make poor boyfriend make & quot ; lovely & quot ; trip . & quot ; anti - slip & quot ; tub anything boyfriend take nasty spill still lump prove . please get bathmat offer call . though room service friendly , food HORRIBLE . breakfast one morning , go restaurant next , bad experience . leave room 3rd day 11 be return 6 pm evening , room clean . not broadway go night , would wait outside room clean wait next day . & quot ; stocked & quot ; mini bar never stock even call 3 time . unfortunately real & quot ; plus & quot ; could think hotel cookie . delicious ! haha , leave unsatisfied . hotel look wonderful room amazing , really look be pay . perhaps cough money stay guest suite one large room * queen , non - smoking * , would not risk money . wish take photo back experience . photo already take though give good impression like . room nice looking , fall apart . 
 Jul 15 2007 	 pleasant stay 	 boyfriend stay Doubletree Metropolitian 1 week July . real complaint hotel . staff nice willing help ; acknowledge everytime pass . hotel clean , lobby clean invite room clean . bathroom quite small ( could fit one person ) , New York would expect already crowded city ? ? ? ? hotel within walk distance many attraction consider boyfriend athletic , choose foot use subway system stay . like walk , 2 subway station right outside door hotel plenty taxi pass street . enjoy stay would use hotel revisit city ! 
 Jul 12 2007 	 Great stay 	 look great place stay , close everything it . overall husband stay 4 night real complaint . Pricey- yes , whole lot research price range Doubletree one well options- Ritz , DEFINATELY dump money . where room large , New York hotel problem , room clean , bed comfortable , service good . staff make every effort make we feel welcome . the location excellent- walking distance everything , option shopping meal endless . for cheap breakfast Oxford Cafe 52nd great . for nice quick lunch Metro Cafe outiside hotel excellent choice . we simply love , new spot stay city . 
 Jul 10 2007 	 exactly say tin 	 hotel provide we clean comfortable base heart nice part new york city . previous experience & quot ; hotel & quot ; city teach we could take nothing grant term cleanliness basic standard . thankfully Doubletree staff always polite welcome rate reasonable location . little glitz glamour although must say lobby impressive . room clean comfortable , relieve happy . 
 Jul 10 2007 	 pleasant wonderful stay .... 	 stay July 5 - July 8 . read Tripadvisor review stay know thing ask ahead time . get ask non - smoking room side 51st street ( side apparently fire station ) , one next elevator one high floor . give room upgrade deluxe give choice floor 17 18 . 19 floor total . choose floor 18 stay room 1825 great view Crysler building ( way room 1823 next elevator ) . know , seem demand nice front desk people explain call ahead time request , happy oblige . room wonderful . well expect , really worried never stay . room lot big expect ( especially New York standard ) come chaise lounge chair ( however upgrade Deluxe room maybe ) . bed comfortable soft sheet , pillow comforter . room bathroom immaculate . picky bathroom cleanliness , hair find . soap , facial moisturizer , lotion , shower gel , facial liquid soap , vanity kit , sew kit shower cap provide make Neutrogena . shower work perfect test immediately enter room ( read someone poor water pressure stay ) . air conditioning perfect could adjust low , medium high shut completely . 80 degree every day problem , love air conditioning ! receive 2 delicious cookie check come handy get munchie morning ! check leave bag hotel storage $ 2 per bag ( $ 1 bag , $ 1 back ) .We hang hour afterward return hotel retrieve bag without problem . criticism room sink drain little slow , great concern . also , wallpaper near window bubbled bit , , great concern . use internet watch little tv , really comment service . order room service . however , second night neighbor next we , room 1827 , two kid keep open close door 11 pm . call security come immediately speak people stop . problem next night , call security . came immediately take care problem . , sleep like baby ! way breakfast Luncheonette restaurant around corner . go cheap Oxford Cafe . I highly recommend hotel vacation weekend away . great time look forward next visit . 
 Jul 5 2007 	 worth price watch bill ! 	 $ 325 night week expect pretty nice hotel . embarassed condition hallway room . make feel little uncomfortable ( : safe ) walk hall room . room could not believe small king room . view - even 19th floor ! dresser / workdesk / tv stand unit one side , bed , chair turn sideways get . bathroom small could almost use toilet shower time . not high expectation stay hotel will fine . however , watch menu bar charge every day maid bump tray . automatically hit bill whether take anything . 's suppose allow pick something look 20 second billing . not use mini - bar get charge everyday . anyway , try get complete bill leave . clerk refuse give one check , indeed hit CC menu - bar charge leave . will not back hotel think twice Doubletree since clerk say corporate policy provide complete bill . doubletree care , clerk work 6/29 6:15am fire rudeness . 
 Jul 4 2007 	 Adequate . less 	 New York Doulbetree Metropolitan : AdequateDate : June 28 , 2007pros : good location ; next subway use cab get & amp ; LaGuardia ; problem AC enough hot water . small problem shower faucet turn extremely tight call front desk send someone correct . second call , maintenance person come right away loosen . bed comfortable . Delicious , hot chocolate - chip cookie give we check - in , way let we upon arrival around 2:00 . staff pleasant look like go way greet guest enterte hotel . stay four night . show room key enter elevator 11:00 feel concerned safety . their Mets Grill pricey : $ 6 baked potato size tennis ball come sour cream food nice enough . also , PAX Wholesome Foods place around corner 52nd get great takeout food , include wonderful spinach quiche fresh salad , make order . reasonably price too . con : bath indeed small . Bed linen never change 4 - night stay , mention try help environment . one night call housekeeping washcloth deliver right away . never clean ice - bucket change plastic bag insert . ice machine 5th floor locate appeared room formerly elevator shaft . bit dark & amp ; scary . one night notice still clean room floor 7:00 night . overall , would probably stay ... well rate . 
 Jun 29 2007 	 pleasantly surprised 	 solicit Hilton vacation club presentation , incentive 2 - night stay greatly reduce rate hotel . LOVE NYC , decide go . little concerned mixed review . arrive 1pm , early typical 3pm NYC hotel check - in . work building 's exterior , place pull car front offload luggage . go around block ( mean feat mid - town weekday traffic ) , go directly parking garage , schlep luggage foot lobby , 1/2 block . , problem , wait , warm ( delicious ) & quot ; welcome & quot ; cookie , right room . as other mention , 's huge room , somewhat experience average size NYC mid - range standard , clean , truly excellent bed linen . hair - dryer , iron , iron board provide , coffee - maker , internet access cost room ( although be free lobby ) , premium channel tv unless pay . pay , fine . probably friendly , helpful staff ever encounter NYC , include hotel high rack rate . go NYC lot . really impress we . speak excellent English ( , trust we , always case ) .We room service breakfast , give $ 80 worth voucher presentation , spend current stay could apply room charge parking . would never eat NYC otherwise . full room service breakfast two come $ 80.03 , include $ 30 bacon , egg . juice , toast , home fry , coffee , plus 8.75 % sale tax , 20 % automatic gratuity , $ 3 room delivery charge ( , fair , spell breakfast order form leave room ) . food ok , honey , bacon egg worth $ 80 , even freshly squeeze juice ! favor walk diner , unless someone else pay it . another nice thing , check - out noon , oppose 10am place ' ve stay . make much less hectic morning . 
 Jun 27 2007 	 Frills great location pleasent stay nothing write home ... 	 location excellent lot nice , market hotel near convenient restaurant , snack essential . give room high floor good view Lexington Avenue . room small average size , comfortable enough couple travel lightly . bathroom small , bed comfortable ( king ) .very busy hotel lobby lot airline crew still manage check check 20mins , not bad . bar good staff friendly . room service recommend food come cold cook . overall , pleasant money pay could pay good location . would stay eat ! 
 Jun 25 2007 	 BEDBUGS doubletree room # 822 	 one night Doubletree room # 822 cover bedbug bite . stop count 31 bite turn red oozing pus . upgrade room bring hydrocortisone cream little provide relief itching . stay hotel without inquire treatment problem . nerve suggest bring critter . would seriously contact NY health department consider stay hotel make sure problem take care . say inspected room not find provide little solace bite scratch ordeal endure past weekend ! ! ! 
 Jun 17 2007 	 Yikes ... bad far number good ! 	 read post go hotel , agreewith negative review . upon arrival put room 2nd floor .. huge fan exhast vernt kindinche window ... since could near loud noise ask move we antoher room ... tell woudl getting & quot ; upgrade & quot ; high floor . get new room , big & quot ; non upgrade & quot ; room , small ( queen ) bed ! do not want spend whole first day whinne front desk , decide take room , small bed ... go turn A / c unit ... YIKES ! sound like die animal inside ... make terrible noise , likely belt . , , go downstairs , time cancel together , refund ! man work font desk , manager around , offer upgrade , time garantee have . thank goodness time upgrade . mvoed 18th floor room balcony ! ! really nice outside area hang street nonsense ! room still major cosmetic issue , like rest ! peel wall paper paint ... window sill crack tub scratch dent ... although final upgrade ok , walk Waldorf issue hotel , find actaully well price ! ! would stay ... would allow friend stay either ! 
 Jun 15 2007 	 comfortable hotel good location 	 hotel fantastic location . really close 5th Avenue shopping short walk central park Empire State Building . the room clean fairly spacious . comfy bed . I stay double room work fairly expensive . share room cost would work fairly good value money . 
 Jun 13 2007 	 Great Value 	 great location next subway convenient Lexington Ave . room ok size two people , clean good amenitite . could use cosmetic upgrade . good experience : book agent book we incorrect date not catch problem . check , reservation we date ; however , quickly work accommodate us rate promise agent give we warm cookie . convenient breakfast lunch restaurant walk distance many great restaurant . 
 Jun 12 2007 	 convenient - frill worth consider 	 location excellent Midtown convenient restaurant , snack essential . I check computerised terminal lobby , great untilit fail print room number , desk staff helpful throughout two night stay . room service even bring single fork request , get take - out nothing eat ! unfortunately give smoking room , bearable A / C airfreshener buy local pharmacy . compensate give voucher free breakfast even brother law pop next day . the breakfast buffet quite well stocked . the king bed room fine one person would OK two , bathroom small - although bath big shower hot powerful . lots airline crew seem stay , lobby fairly frenetic other say , price good enough base spending much time room . 
 Jun 4 2007 	 wonderful experience 	 stay Doubletree last night impressed hotel want write review even leave . greet door several hospitality people welcome we hotel , check immediately , give warm welcome cookie . upon find alergy nut , check clerk go away come back box 4 delicious chocolate instead . room 17th floor , great view also free continental breakfast hilton honor member . breakfast excellent man happy helpful staff . request late checkout problem ... room modern , comfortable , quiet immaculately clean . bed pillow ulitmate comfort , bathroom small wonderful shower neutrogena bath product . would stay heartbeat probably convince search Doubletrees . oasis New York find anything like price lot much less hotel . LesPortland Oregon 
 Jun 2 2007 	 lot like lot dislike 	 stay 5 night mid - May 2007 business trip . convenient Grand Central subway station right corner . staff service helpful . room 7th floor Lexington Avenue side . concerned street noise level would unbearable , have experience several year early nearby Marriott East Side . hotel much quieter one , pleasant surprise . room surprisingly quiet . also $ 100 / night cheap . however , room clearly date despite renovation attempt . bathroom tiny feel cramp shower . water flow good , however . bed comfortable . circulation A / c heat poor , good way ventilate keep window open . as business traveler , frustrate lousy electrical socket . well situate room , half loose rickety pc Blackberry power plug would slide stay plug . tv also seem reset turn midnight night . another co - worker 's tv would turn display video . take hotel 3 day correct issue , end simple matter correctly program tv remote . not great hotel will spend lot time room . however , want reasonably price , convenient place sleep midtown , one might worth try . 
 Jun 1 2007 	 Perfect location 	 stay Doubletree Hotel 1 week April . nice , brilliant location . 3min walk road bloomingdale 5 min central park . pleasent situate great area . 
 Jun 1 2007 	 Loved ! 	 ' m sure get lucky reviewer much high standard we kick last trip States 4 night really impressed . our room spacious , immaculate bed extremely conformatble . staff courteous friendly ( especially doorman ) bar downstairs great . the location great mid - town shopping restaurant 2 min walk green line travel Lower Manhattan . my reason give hotel & quot ; excellent & quot ; rate follows:1 . room 51st Street side hotel noise Fire station night.2 . blind room break notify front desk twice fixed.3 . dinner menu restaurant bit limited . 
 May 29 2007 	 good night 	 stay hotel night . entrance funky colorful . warm cookie check nice . hotel room size good NYC . room bathroom nice clean . think $ 355 ok NYC hotel think bit pricey doubletree . overall go stay room average hotel good location . 
 May 28 2007 	 enjoyable NYC Hotel experience 	 LOT research online ( travelocity , Expedia , Hotels.com , etc . ) hotel glad . think book good hotel happy experience . first get able check we quite early . check usually around 3 , able get room around 10 . take red eye San Diego may sympathetic ! room good size ... nothing like & quot ; shoe box & quot ; description hotel . think book room W , see size room glad opt DoubleTree . front desk always helpful request . ask extra towel , deliver within 1 hour , receive follow call make sure get . nice touch . concierge great , lot great suggestion . room always clean upon arrival back long day town . one draw back not relate we : computer system one afternoon angry people check ! everyone get apology letter management , sure unhappy traveler arrive . good thing hotel : great location . talk ton subway station right next hotel perfect . , really happy hotel . 
 May 21 2007 	 Overpriced Shabby 	 pay outrageous price room 2 double bed ( $ 519 last minute reservation ) , mother - in - law appal peel wallpaper room , tiny bathroom , uncomfortable bed , $ 47 room service steak potato , dice vegetable glass water . overall , service quite friendly , could not make usurious price . 
 may 15 2007 	 Choose Hilton Time Square ! 	 ' bad ' hotel , worth hassle . like & quot ; cool & quot ; temp room . hotel horrible air circulation / conditioning . would actually get dizzy room ! open window , well , fire station across street make impossible window open night . decor update , ' cheap ' way . bathroom provide little storage space find desk chair cheap uncomfortable . certainly well money . doubletree nice brand , location ! 
 may 10 2007 	 Pricey ok ! ! 	 would like start say eventhough city business find confortable staying hotel . I comment thing read previous comment , example:1- Pricey , yes , isn´t NY city.2- Hotel definitively need work mostly bathroom . small well keep . really like bathrooms.3- room small everybody say , find good size wonderful bed . bed highlight room.4- Location perfect , good neighborhood.5- cookie check - in great touch . 6- Noisy , yes , pretty much hear everything room next however bother I . overall , like stay , staff friendly business need much pampering . if come back ny keep hotel within option . 
 May 8 2007 	 ok -- good location 	 hotel great location . not going spend much time room , doubletree fine . find hotel bit run extremely basic . stay weekend follow week business Washington , DC . room adequate . 
 May 2 2007 	 Air Conditioning ! ! 	 stay always stay Hilton property want use Hilton Honors point . soon , enter room , notice air conditioning work . three call complain , tell air room outside temperature hot enough would need open window hot . outside temperature get mid 70 's still air . try get sleep fire station police department directly across street , mention hotel restaurant 's vent blow food stink right window . website states room come air conditioning & quot ; room climate control & quot ; . would overlook dusty furniture , dirty bedskirt , clog sink hair bathtub toilet , air . stay absolutely miserable ! 
 Apr 30 2007 	 ` ` affordable '' hotel Manhattan 	 hotel Manhattan , especially Midtown , expensive . 's fact ! hotel value price . good location proximity Rockafeller , Time Square , Central Park . room clean comfortable suprise . would expect Hilton property . thing would recommend : restaurant . group dinner service mediocre food ...... well , McDonald 's well . filet mignon quite surpise arrive cover look like instant brown gravy water overcook vegetable . also , bar fun get crowded night . go bar get drink though , waitress lazy seem irritated presence . go accross street Mr. K 's chinese - expensive awesome ! 
 Apr 19 2007 	 Jsut Alright Double Tree 	 Hilton HHonors Gold member pay full price , favorite Double Tree . great location pretty lobby although , staff stiff . ask maybe well room do not blow smoke every morning , tell nice room would check ooze cig smoke smell problem . stay lot hotel like old Hampton Inn . 
 Apr 17 2007 	 happy Doubletree Metropolitan 	 stay one night business . location wonderful . eat yummy indian food right street place call Indigo ( celeb restaurant too- visit NY first celeb sighting ! ) . bed comfortable ' ve ever sleep hotel . staff friendly , room clean . would definitely stay . think ~300 price pay reasonable area ammenitie . 
 Apr 12 2007 	 Loved ! ! ! 	 ~just back hotel think lovely ! able check early cookie lovely ! ! staff can not enough ! ! room big , well big hotel I ve stay ny ! room spotless , cleaner everyday change towel bedclothe ! ! bed comfy ! bathroom decent size ! shower good ! ! location good , short walk 5th ave , Time Square , Macys ! everything walkin distance ! ! go back new york would stay ! do not many review class bad hotel ! ! nothing wrong , I m fussy person ! picture website exactly wat get ! ! 
 Apr 10 2007 	 quick stay ... 	 stay 1 night late March . hotel nice Doubletree Times Square least $ 100- $ 150 / nt . cheap . well locate business east side . whole lot go hotel - bar dead Thu . night - plenty option area . ( w 1 block south great bar ! ) staff courteous room clean nice amenity . definitely wear patch overall pretty good mid price hotel Manhattan . 
 Apr 10 2007 	 luxury complaint expectation 	 wife Easter Holiday ( 4 night ) . warmly welcome , get cookie find room spotless . would return anytime corporate rate get . the electronic safe locked , ask maintenance person unlock , solve next 20 minute friendly employee . bathroom ceiling indeed peel ( mention many review ) , since bathroom fan , weird , downside find . that say , bed pillow great , shower good pressure , location perfect , next subway . it top class hotel , room small , Manhattan , meet expectation . 
 Apr 5 2007 	 pro con 	 PROS : doubt hotel safe area , close everything . subway near ; ton bar restaurant . wife love Starbucks , one evey corner . staff friendly . con : cost much size room . happen relative could get good rate . , NYC ( Manhattan ) expensive . Breakfast include . 
 Mar 30 2007 	 great location first rate 	 stay one night January business . pick hotel client stay . turn convenient not consider great hotel . roach walk hallway bit turn - off . the lobby little seating 's difficult place wait someone . room comfortable enough could not sit desk comfortably chair get jammed bed . bathroom okay small . client never tv service entire stay overall service less stellar . one bright spot breakfast downstair restaurant . excellent service , good variety offering modern decor . bad place ' ve ever stay NYC will not back unless choice . 
 Mar 29 2007 	 Good Location 	 .... location hotel super stay area next time ' m NYC . say hotel room poor . small mildew wall . it impossible keep room tempurture comfortable . still good value suppose NYC going spend much time hotel room . location probably outweigh negative 
 Mar 29 2007 	 ok short stay 	 return weekend break doubletree though ok great . hotel great location couple block 5th ave place within walking distance . stay room 16th floor , room good size clean , arrive hair bath , bathroom overall clean could lot well apart make bed do not know housekeeper do ! ! . bed comfortable , air condition quite noisey could alter turn do not seem anything make noise , staff front desk helpful / friendly find staff restaurant polite helpful . stay many 5 star hotel US never come across system Doubletree place mini bar pick something tray see might want decide put back tray 20 second charge also do past tell can not put stuff mini bar fridge cause charge mention front desk tell & quot ; well fridge mini bar & quot ; quite unfriendly manner , notify charge small note place tray first look like price list stick good tray . 
 Mar 28 2007 	 Nice Hotel 	 stay three night overall stay good . bed comfortable room nice . find restaurant bit lacking . first night visit , everything ask menu could not get reason , end settle something not really want hungry not much not great . wait staff friendly seem constant state confusion flurry even place near empty ! ! ! breakfast one morning would never - awful over - price . the bar nice , unusual hotel bar really enjoy atmosphere . cocktail tasty order one three time get different version three time . cocktail waitress could ' ve bit friendly - friendly might help ! hotel room nice staff organised- although check breeze receptionist nice . day leave check left bag concierge ask get taxi book flight later day , friendly take detail professionally . arrive back hotel later , retrieve bag , tip sit await taxi half hour early . 40 minute later , stil taxi . different conceirge came ask we wait ensue process realise previous guy obviously forget book taxi ringing get one . tell we 7 minute . 15 minute later taxi - bad traffic know push flight ask could flag one - something probably do beginning . end pay taxi although make flight would suggest stay leave airport transportation hand hotel ! ! 
 Mar 26 2007 	 Par 	 assign room would accommodate rollaway bed promise . second room still small space walk bath room w/o step rollaway . room beat death ceiling peel . front desk staff aloof . concierge good , bright spot . 
 Mar 20 2007 	 Loved ! 	 spend 3 night Doubletree Metropolitan , absolutely LOVED ! upgrade suite top floor additional charge base hilton diamond status . room clean , large compare room manhatten hotel , cool furniture , flat panel tv , comfortable bed ever sleep hotel . great location , nice staff , good restaurant site , funky bar , really good gym . cheap Hampton Inn stay last year area pay advance room make reservation , . would definitely stay ! ! 
 Mar 15 2007 	 great 	 book room hotels.com marriott east . 4 we total . marriott say room two bed available ( even though reserve online ) -- said & quot ; reservation guarantee ! ! & quot ; ( ? ) call hotels.com , wait 25 minute hold . eventually find we room Doubletree , luckily two block away -- cost $ 40 less per night , $ 240 total.i must say impressed doubletree . great staff , great location , decent room . lobby neat modern , pretentious like marriott ( think be trump something ) . doubletree staff friendly helpful . ( marriott staff contrast look like say hello require tip . ) room decent clean . bathroom modern , even though waterspot ceiling ( never understand NY hotel bathroom always look bad ) . look clean least . good soap / shampoo . housekeeping staff also nice . bed fine . clean sheet . small flat screen tv wireless internet keyboard ( not use ) . window open ( yay ) , modern blind . much view ( office building accross street ) cares.the good thing hotel 's location . nice restaurant around ( especially 3rd ave ) . go azure breakfast -- great food cheap price deli . ( come front hotel , make right 50th walk 2 block ) . $ 20 omlette want room service ... pershaw ! .it 's $ 10 cab ride chinatown ( traffic ) .The hotel bar pretty trendy . drink price average , $ 5 beer $ 12 chocolate martini . wait staff also nice . lot people hang ( saturday night ) great meeting people.like manhattan , parking price suck . least lot right around corner 50th not valet / tip . $ 45 night make sure get car exactly 24 / hr day end , else pay huge fee . 
 Mar 11 2007 	 satisfactory 	 room Doubletree Metro petite size . decor room plain simple , lack charisma . lobby also small many left guest leave stand chair lack . bar right next lobby , provide additional seat good aesthetic . the hotel able accommodate early check - in around noon ; however , not expect , rare . staff member Doubletee Metropolitan friendly knowledgeable . the room suitable two adult . would little cramp plan bring third guest child along . storage space minimal , four hanger provide convenience . plan spend time outside hotel see city , will fine . however , think hotel little pricey side pay . there plenty late - night snack dining option around hotel , well subway stop less 20 foot away entrance . upon departure staff member book car service airport . $ 55 JFK ( $ 35 La Guardia ) special hotel rate . 's much easy take SuperShuttle airport ( HIGHLY RECOMMENDED ) .Enjoy New York ! 
 Mar 8 2007 	 exactly right ! 	 stay 5 night Doubletree last month , pleased . search web Manhattan hotel hope find something cheap $ 185 / night pay Doubletree , lot negative review TripAdvisor cheap property scare away . the Doubletree comparable good property elsewhere , room 's definitely large NYC standard . clean , comfortable , helpful staff . manage price want mid - town location , would say can not go wrong here . location excellent - subway stop corner , different subway line one block Lex . short walk MoMA , 9 short block Grand Central Station . ( take shuttle bus airport GC walk hotel . ) finally : couple tip good cheap breakfast neighborhood ( splurge dinner ) : Oxford Cafe Lex & amp ; 52nd , Ess - a - Bagel 3rd Ave 50th & amp ; 51st . enjoy ! 
 Mar 7 2007 	 Great Location 	 hotel pretty basic however room spacious centre NY . hotel okay staff helpful particularly concierge . standard decor within room , however , pretty poor ie chunk miss door top right hand corner ! read reviews safety ( book ! ) , keep chain chair door never problem . bathroom small shower great , powerful like . bed comfortable not great deal noise ..... outside window . noise guest different matter however , noisy ! whole , bad . would use basis not look luxury , mean , location great , convenient price , can not complain . 
 Mar 6 2007 	 Mildew 	 overall bad -- great either . book good rate ( know , get pay ... ) bathroom ventilation whatsoever , wallpaper peel entire bathroom stunk mildew . went CVS buy Lysol help somewhat . 
 Mar 6 2007 	 great location 	 visit New York wife 20 yr old daughter recently stay Doubletree Metropolitan Hotel Lexington Ave . hotel great helpful friendly staff . triple room 2 x double bed average size clean little street noise . gym hotel did'nt time use though . bar lively comfortable . breakfast hotel quite expensive , - 20 dollar 2 cafe next door breakfast fraction . location great , 15 min walk Empire State , Times Square , Grand Cenral Station 1mile Greenwich Village . definately stay next visit . 
 Mar 4 2007 	 okay stay 	 two night Doubletree pretty ok , location great , friendly front - office staff , comfy bed ... great : security , anyone could walk - in floor , middle Manhattan safe ! carpet filthy , dusty room small ( be understandable ny ) .I would go , really wish would something security . 
 Mar 1 2007 	 excellent location great hotel 	 friend go girlie weekend stay Doubletree 4 night . upgrade check ( great staff desk ) room big ( ny standard , small european standard ) clean . bathroom small well design functional . location fantastic , 's stroll 5th Avenue shopping subway station literally outside door . would certainly go back . 
 Feb 25 2007 	 's coffee ? ? ? 	 stay Doubletree Metropolitan one night business Feb 2007 . great location Manhattan upgrade king sized room check - in , nice ! room size ok room little rough around edge . service excellent usual US . however , stay let lack coffee make facility room . brit US 3 day pretty much guaranteed would awake dreadful time morning . unfortunately room service seem stop 10 pm 6 am meaning go 2h without coffee wake , good thing . price pay room hotel seem little crazy . 
 Feb 23 2007 	 ok security worry 	 location - wise place pretty good , hotel long overdue upgrade . public area away formthe lobby dire need makeover . room small perfectly adequate , bed comfortable shower great - albeit bit cold side . but BIG problem security . hotel must follow advice keep door locked chain . two occassion , dead night , someone try surreptitiously get room , keep chain . not know whether staff member someone keycard suspect someone work way bypass electronic lock e.g . slim - jim something flexible . whoever undeterre get room becuase could hear try door corridor . shudder think would happen get . 
 Feb 22 2007 	 so - so hotel worth get good deal . 	 firstly , location hotel excellent , people spend time enjoy NYC coope hotel ! hotel also clean room , small ( tiny , small side ) comfortable . want good base get decent rate , hotel good option . we problem however . book directly hotel 's website could make specific request ( twin bed , connect room ) travel agent could guarantee . little expensive , think worth sure would get . upon arrival 4 p.m. tell want request fill would wait room , agree . 45 minute return tell 1 room ready . go room find double connect door ! return reception tell record request ( despite previous aknowledgement ) . end stick non connect double room duration . overall find staff ( reception , bar staff concierge ) rude unhelpful . complain twice ask manger contact never hear . disappointing . 
 Feb 20 2007 	 small expensive 	 hotel vastly overprice deliver , even New York standard . room small feel claustrophobic . internet not work get charge anyway . 
 Feb 14 2007 	 Excellent Location 	 three important feature hotel : location , location , location . we ny quick vacation , central location hotel excellent . subway station , Park , SoHo , etc . quick cab ride , enjoyable walk hotel . staff nice professional . probably read , give nice warm chocolate cookie check . actually , would ask cookie every morning leave hotel happily oblige . bar / lounge area lobby nice place drink wait . concierge helpful one time ask couple question . room nice , kind like ikea sample room . small flatscreen tv , little love seat sofa . room clean nice view . really want find something complain , could say bathroom bit small , Manhattan expensive real estate world , not expect luxury bathroom unless pay premium . middle road hotel , think Doubletree Metropolitan really lot offer . , location make hotel great value . 
 Feb 14 2007 	 convenient comfortable - cramp 	 book hotel Quikbook 4 - night stay associate business trip . rate varied night ( low $ 139 high $ 199 ) . oddly , Quikbook offer four different rate stay , whereas Hilton website offer high rate 4 night ( i.e . $ 199 x 4 ) . call see could book directly hotel rate $ 139 , 159 , 179 199 ) , tell ( although guess could achieve result make 4 separate booking .... ) overall , happy stay . location perfect business trip ( meeting mostly midtown east ) shopping . much prefer area ( near use live ) Times Square area ( have stay week ago - Westin ) . subway stop right beside hotel Grand Central short walk away . room clean , bed comfortable bathroom reasonable size good water pressure reliable hot water level . housekeep friendly efficient ; woman clean room day great job accommodate need ( spend lot time room work and/or study ) , clean around we stay . decent choice nearby cafe ( Au Bon Pain one good ) . recall live neighbourhood , seem relatively restaurant Lexington Third Avenue East . will much choice walk one block east Second Avenue . there number irritate aspect visit , though . first , front desk staff deal brusque unhelpful ( exception supervisor deal problem bill check - out ; service - orient professional ) . other mention , minibar coffee maker room . price , free cup in - room coffee morning would seem appropriate . course , room tiny , practically room either appliance . room tiny , enough space small armchair jammed bedside table window . little space , impossible sit chair . internet $ 10.77 day ( well hotel , cheap ) ; frustratingly , box wire connection internet short cord impossible sit bed ( adjacent tiny desk - 18 & quot ; away box / wire contraption desk ) use one 's laptop . ( note : Fedex / Kinkos 2 block north - well value need internet short period time need print something . ) cost $ 1 per bag store bag - perhaps would tip much think sort thing customer 's discretion , fix fee . would stay ? yes , location hotel clean bed comfortable - wish hotel would not nickel dime customer - could afford large room , would pay upgrade . 
 Feb 8 2007 	 impressed 	 arrive early tell able store small luggage hold area near reception . I excite check room hotel realise part Hilton family however feel anyway related ! ! ! room clean spacious . give free cookie collect luggage properly check . however get room facility make tea coffee room ! ! ! machine room corridor look like part staff quarter appeal room . we stay hotel 2 night spend much time there . we however visit bar 2nd night wait service however waitress busy talk sit table time come table partner already way back bar drink ! ! ! ! Nice Martini though . probably good thing hotel . I would go back 
 Feb 6 2007 	 Good Stuff 	 Location ideal , 5 min Grand Central , 10 min Times Square . directly Subway station . surround glamorous hotel also , making feel really n top area . problem staff , room , though small US room , bad NYC . bed cracking , comfortable . cookie ` nice touch also . no problem , close . 
