vile 	 book three night hotel , trip celebrate good friend 's birthday . want stay somewhere downtown , park car enjoy Fremont Street attraction foot . choose Plaza location price : big mistake . the warning sign early , start disgusting garage . check , order non - smoking room , tell smoking room available . elevator groaned squeal go , shudder shake stop floor . open door greet unspeakably awful smell , like mixture cigarette butts , vomit Lysol . flick light switch , room remain dark . enter , foot hit something metal send flying across room . ( turn large steel kickplate vacuum cleaner . ) grope around room find bathroom , turn light . fluorescent fixture flicker buzz life , find wish still dark . ' ve travel world , include third world region Asia central America , ' ve never hotel room disgusting . wallpaper deep yellow cigarette smoke , peel every seam . bathroom tile moldy crack . carpet dirty could barely see pattern wide variety dark mysterious stain . everything room ( lamp , phone tv remote , table ) sticky gooey residue , desperately hope not kind bodily fluid . open window try air foul stench , hinge open inch . I immediately call another hotel ( Golden Nugget ) make new accomodation . sadly , nothing available night bed one night Plaza . use toilet paper ( box tissue provide ) grab toss DNA encrust bedspread corner , pull back cover . sheet ( miraculously ) seem clean , settle night try ignore awful smell . bed rock - hard , strange crunchy feel sound , though mattress contain layer pebble . ( probably dry , crunchy foam rubber . ) try think pillow , variety mite pathogen surely contain . in morning , headache sore throat , inhale smell night . want IMMEDIATELY , hop shower . wonderful , hot water ! ! ! faucet sink work ok , clearly shower valve defective . ice water shower , way would walk around vile carpet , wrap hand towel around foot shuffle around shave dressed . seriously people , joint disgusting beyond belief , wretched petri dish filth . room fill head depressing thought , last thing want wake ... everything scream & quot ; flophouse . & quot ; deserve well . 
 Bad Stay 	 look cheap hotel get pay , hotel . Beds super uncomfortable , room look like use lot ... kinda gross looking . Buffett nice cheap guy like $ 2 beer . bus ride strip , close would like . 
 good cheap hotel 	 great hotel big room , great low price 
 Jan 17 2006 	 welike Plaza 	 three daughter take two - day - three - night trip Vegas stay Plaza price right . room show wear tear clean odor - free . shower good pressure plenty hot water except one morning last 10 mintue water hot . bathroom small adequate . room 20th floor , elevator fast , always feel safe . housekeep great call request iron bring iron ironboard within minute . Plaza McDonalds offer free refill keep cup receipt draw alot street people lobby - McDonalds area , not seem wander hotel casino area . go elsewhere downtown frequent service free drink least play slot - but price Plaza fine . 
 Jan 10 2006 	 plaza bad 	 get back 9th Jan. stay 3 night Plaza . 4 room 3 north tower 1 south . north tower room 1622 bad . sink cold water , shower great pressure , water shoot straight like garden hose , door jam like come though door night , maid service last night . stay want stay downtown hotel full due convention town . even receive free room offer would stay . 
 Jan 10 2006 	 plaza ok 	 six we go consumer electronic show , ( visit Jan 5 - 8 ) see late business . always stay Plzza cheap staying strip , save hundred dollar . get clean room , date clean , good maid service nice quiet room . casino hand fill old people use walker , street people usinig want panhandle gamble hope strike rich free drink . strip palm , green valley ranch place go gamble . short 's ot stay stay Plaza , self favor , rent car gamble elsewhere 
 Jan 6 2006 	 dirty Room Bed Bugs 	 recent stay Plaza bad one . owner financial problem show ! slot machine much tight previous vist . room filthy : window dirty could enjoy view Fremont Street . toilet still dirty previous guest . top , room bed bug bite repeatedly ! property poorly manage never stay . 
 Jan 3 2006 	 unpleasant cheap 	 stay hotel end Dec. 2005 . plan travel late holiday season stay budget book stay airplane ticket combo . first day , call confirm reservation , tell reserve nonsmoke room we . arrive time smoking room refuse help we change room later day . since day two , allow even open window & quot ; newly discover & quot ; saftey concern . ( able open first day stay . one tell we issue . ) carpet chair dot cigar burn . toilet tank fill slowly could hear water run long time night . & quot ; room & quot ; connect neighbor 's room wooden door , could hear talk , tv ... two morning row , use shower around 9 , enough hot water . bathroom small , room small trash even . people front desk tired cold look , hate . certainly want hotel . cheap suffer quite bit . not fool highrise picture . tall build old lack basic maintainence . could believe rate 3 star . exprience really ruin vacation mood ... 
 Jan 1 2006 	 overprice Motel 6 type lodge Downtown Las Vegas ! 	 * Next Greyhound bus station . need say ! * homeless hangout ! * old dirty ! old Vegas nostalgia like thought . * husband 's hand go wall try get shower . * shower nozzle 5 ' bottom tub water pressure . * bathroom 4'x6 ' lot bruise hit thing . * towel bed stained . old stain ! * although security booth entrance room elevator never guard booth . good homeless casino area . * even though might get free Buffet coupon , not eat . see roach ! * blow dryer , fridge , spa . 
 Dec 17 2005 	 stay clear 	 Stayed Hotel 1 night part tour , come Vegas would avoid place like Plauge . grumpy staff , dirty small room view onto Railroad track ( noisy . restraunt expensive food tastless . the good point hotel exit straight onto Freemont St. TIME PULL one . 
 Dec 3 2005 	 Plaza Hotel Casino - Dirty Dirty Dirty 	 Plaza Hotel Casino horrible ! walk casino like step Twilight Zone - - Visitors 60 be never leave . every inch hotel smell . room dark dirty . hotel carpet sticky ( even bedroom ) . lift sheet find mattress 15 year old ! blanket comforter cigarette burn . pillow old filling smash hard waif . wall thin could hear everything go next room - - squeeke bed spring chorus smoker cough . look inexpensive trip old side strip , try 4 Queens - - least will not feel like need spray pesticide . 
 Nov 22 2005 	 Nasty / no security 	 stay short time disgust . valet right next Greyhound Bus station , security close room elevator . stay numerous hotel Vegas never see hotel without security elevator . room filthy , clean whole bathroom gross . stay unless look episode CSI ! 
 Nov 19 2005 	 great Plaza Experience 	 return first stay Plaza Downtown Las Vegas . got two bedroom suite 23rd floor South Tower . elevator fast , however parking garage elevator extremely slow . suite two old separate renovate room make two bedroom suite . cable t.v . selection good . ( one station sound . ) furniture nice two poofy couch . bathroom small get two . great view strip . train noise problem . wierd smell like reviewer indicate . staff polite helpful . price right value definitely . outside room place need TLC . lot chip wood need paint . close - up magic show $ 8.00 huge bargin awesome show . not miss . would indeed stay . 
 Nov 8 2005 	 good value 	 Plaza need overhaul . room clean , old . poor water pressure . funny smell hallway casino . on positive side , room rate fantastic casino host accomodate end stay . staff friendly pleasant time . poker room great place offer & quot ; Sit Go & quot ; Texas Hold Em tournament . staff poker room exceptional keep go back . would go back play poker room , think would stay hotel clean bit . fine friend , would like stay husband . 
 Oct 30 2005 	 Loved - do not believe everything read ! 	 PLAZA Hotel ( Barrick Gaming Group ) Main Street , Las Vegas . I admit worried , would read review site plaza hotel seem standard hotel much desire . frankly agree . find hotel standard acceptable . ' ve stay place like Luxor Mirage , Stratosphere Mandalay Bay something compare . rate PLAZA cheap compare somewhere like Mirage Mandalay Bay , sheet clean standard ! check 8.30pm , queue staff friendly helpful . non smoker ask non smoking room , give . take case room pleased view , could see Stratosphere view Freemont Street air excitement , could see street performance people bustle could not wait get thick . room clean extremely comfortable . ( none odd smell review write ) two queen bed , phone , internet connect , sit area , walk wardrobe . fantastic shower , power brillient ( wish mine home good ) . shower different time day stay never find water anything hot . thing could diss Air Con bit noisey , minute do not notice . tv channel good offer main strip , bit tired , manage get midnight poker tournement , Poker play main reason visit Vegas , love . morning able see mountain rooftop swim pool hotel . buffet PLAZA also good . $ 5.95 dollar breakfast ( 11 am ) fill , load choice . wait staff pleasant helpful , seat quickly indeed . the gaming hotel also good . casino staff friendly help card game explain rule show ' house would ' much chance anybody win . poker room staff friendly well make feel good win tournament . yes hotel one old hotel , quality provide would want enjoyable stay Las Vegas . go April october 2006 already book room . hotel also offer good comp play poker room table . 
 Oct 12 2005 	 treat like someone special love Plaza . 	 October second stay special hotel . find front desk get wonderful feeling welcome amount money buy . woman behind front desk work hard get everything even slightly mention ... ( i.e. , iron , iron board , direct view Fremont , beyond even manage get comp room non - smoker make guest ecstatic ) . every ( ' m exaggerate ) employee contact seem truly happy . reflect highly managment property . Plaza American Bandstand slot machine , weigh heavily decision originally stay . trip one choose play uncomfortably loud , mention floor worker correct within 10 minute ... excellent response time anyone 's book & quot ; . food great affordable . splurge $ 300 hit abs machine eat Center Stage restaurant direct line view experience , salmon superb , piano musician devine , waiter awesome ans genuinely funny entertaining . recommend Plaza entertainment especially lounge . love entertain play slot . reportcard special place ... a++ . 
 Oct 12 2005 	 great choice 	 decide stay last minute , pleasant suprise . put south tower 24th floor , visit vegas since 2000 first time stay downtown , room large , bathroom rather small , room wes clean view terrific , casino good poker room , limit start $ 2/ $ 4 , also tournament run day last one start midnight , staff friendly helpfull , make one pleasant stay vegas . 
 Sep 19 2005 	 good place stay 	 wife stay Plaza bikefest . like downtown area close activity . we stay downtown hotel feel good range compare from . the room stay good sized two queen bed ( even though reserve king not problem . hotel clean enough , wife manage staff housekeeper make sure problem notice , really not make bad comment . the dining area seem abit small crowd weekend , plenty place eat close , not really problem . the casino seem little staffed even staff waitress busy find pleasant enough . all like hotel casino next trip give Plaza consideration make reservation . 
 Sep 13 2005 	 really want Love Plaza ... 	 report long over - due . hopefully will post pic future . arrive Plaza Hotel around 1:30 pm . check 3:00 pm clerk state early check - in would problem . ask low - cost no - cost upgrade available . clerk say would check couple minute keyboarding announce have give we & quot ; bit upgrade & quot ; .We get 15th floor , room 1502 , close elevator nice view Fremont Street . as far room go , fine . old bit shabby clean . carpet not make afraid walk around barefoot , definitely need replace . lay towel dress area / sink area carpet discolor . room little large standard ( ' m guess ) small sit area look slide door Fremont Street canopy . king size comfortable enough fridge . bathroom consist toilet shower separate area sink . area also fridge & amp ; place hang clothe . balcony desperate need washing , however . normally not find small bath much problem , shower case way undersized . could take shower without shower curtain stick . addition drain extremely slow . call maintenance get look . room within 20 minute . work drain ten minute worker declare drain fix . housekeep unavailable maintenance guy bring we fresh towel replace one would mop with . the drain moderately improve much . want love Plaza 's history location . alas give moderate recommendation . 's horrible , well place stay price . 
 Aug 14 2005 	 Great Location Need Work ! 	 stay several time Plaza last two year . time , food much well expect ; especially Sunday Brunch Showroom start Larry Manetti . diner not bad bottled water bargain convenience store ( compare major Strip hotel ) .bathroom kind cramp , water pressure okay warm enough . decor room could definitely improve . echo another trip commentator , & quot ; spend buck will spend night stay hotel . & quot ; location can not beat . personally , enough way lose money without go Strip . show , - search various act play one time , quite appealing . Fremont Street Experience pump life back downtown area . street kiosk , entertainer stage act add pizzazz stay area . the Plaza showroom Comedy club decent attraction . need upgrade entertainment call Lounge area stage exist end bar casino floor . rotational act actually know young set might lure new breed clientele Plaza . casino staff , part , friendly , still get occasional dealer croupier & quot ; attitude & quot ; . work hard save money come Vegas gamble entertain . would like feel take money feel somewhat happy life 's work . their sport book need renovation . enjoy traditional item be go place bet Vegas book , begin measure feel ambiance set forth Venetian , Wynn , etc . would compromise install setup similar Harrah 's would greatly elevate status area hotel . Vegas go back upscale way venue compete one notch well past . the front desk staff seem disorganized . need well system check - in , especially large contingent checking , time . feel like front door go whack butt . check , one bellman duty . Vegas operate 24 hour day anymore ? overall , location excellent , room so - so , food not bad money Sunday Brunch one town 's good value . Vegas need quality mid - range hotel management could ever get act together count , rank could easily top 50 hotel Vegas area . one final note . ' m non - smoker , put minority inside casino . N / S area slot table game would great . play bingo one time would enjoyed play session , smoker keep patron able enjoy . Bingo part daily take , right ? write blue collar guy appreciate value , service friendliness . 
 Aug 9 2005 	 Good Place Crash go 	 typical economy hotel . take place get terrific price , husband love downtown , look place sleep keep stuff . 's end Fremont street , walk be right mix . , could take $ 8 cab ride Sahara pick monorail hang strip day . take bus - trip strip downtown take 20 minute bus come hot , crowded hour back ( two occasion , one evening one afternoon ) . figure buy unlimited ride week pass ( $ 20 ) monorail shell $ 20 day cab fair tip , much happy . my comment basically room , since use place sleep . room 828 North Tower . room good size two double bed ( king 's leave , not bother we ) . funny little smell notice first 10 minute trip . bathroom toilet shower one tight little room , sink place hang clothe outside . like gussying husband 's shower . two large adjacent mirror bathroom large mirror cover wall outside sink area - need see , problem . water pressure , temperature , drain fine there . the bed typical comfortable enough . Maid service come early ( around 8:00 - 's time Vegas ? ) worried would come since chain lock . seem little lock door work way ( find locked husband shower ) . sure put distrub sign go bed . area really quiet . the decor little 80 's view top part build vacant lot . everything clean keep nice . housekeeping bring iron 20 minute call , seem quick enough . PROVIDE HAIRDRYERS ! 's note we big haired gal . air conditioner work well , bit noisy . small tv channel refrigerator room . overall , would stay price nice low . 
 Aug 3 2005 	 Plaza 	 great view strip . one bed break creak , one fine . one low plug accessible wall socket work room , lamp work , tv . stay 4 night , last 2 night water shower become lukewarm give fear take cold shower early departure next morning ( ok lukewarm quick ) . rate pay low could get level complain happy . aggressive hotel staff roomcheck constantly , knock door , try open door etc . inside latch make nervous vigilant . decent hotel , somewhat hard define grittyness . strange aura staff , do not know what s . 
 Jul 31 2005 	 well place 	 stay plaza july 27 thru july 29 . check super slow girl reservation desk busy flirt another employee worry . 35 minute wait kinda tick . stay smoking room [ know shame us smoker ] smelly room . good part room & quot ; comped & quot ; next time spend dollar extra get room clean air . slot tight food ok vegas standard . go vegas ALOT stay plaza . 
 Jul 29 2005 	 GREAT RESTO -- cheap SMELLY ROOM 	 restaurant GREAT ... wait staff wonderful , food good view .... oh God , View Fremont Street Experience . wedding diner , everybody satisfied . now , suite book website ready we ... wife argue , be come ' 70 's look front desk attendant call & quot ; sweetie pie & quot ; couple time , finally able get suite . suite funny old motel smell , bedspread least 10 year old ... pretty see . bed not comfortable either ... hey , wedding night , not care . , rate value Las Vegas , guess get pay . least half would pay & quot ; strip & quot ; ! first time LV downtown . overall like experience ... next time pay stay new hotel . note : Plaza would simply renovate room charge $ 10 - 15 per night ... would not hesitate go back ... current room condition , not think ! 
 Jul 20 2005 	 get get ! 	 sum thing ....... staff friendly helpful . entire casino smell smoke go back 70 's . security seem pretty relaxed ply BJ table severely intoxicate man get loud , rude , getting upset lose hand , bang hand table . room ok , say smell like smoke , bed comforatable . a / c work great . room service slow , take almost 2 hrs . get food , even take 45 ring pick . location right Fremont St . reccomend go see Fremont St. Experiance . do not leave Fremont , shady charactor . approach 4 time panhandler . cautious . drink , food , show cheap . think beer $ 2.25 vs. beer strip 5 buck . want save money place stay . definatly family . 
 Jul 12 2005 	 Loved Plaza ! 	 first trip , love downtown experience , book another trip year , time place . visit strip , Mid - west little much we . love downtown , little bit like home . love light show , area 51 great ! 
 Jul 8 2005 	 Best Vegas Trip yet 	 3rd time Vegas , 1st time stay downtown . awesome , fun . parking fine , bellman much help . get 930pm Vegas time , 20 hour car ride , wait 20 min check . start check , fast service . next day disturb sign , indicate do not want maid service , yet come anyway ... hate happen . pool fabulous . Thought would warmer consider temp Vegas , pretty cool water . sunset amazing catch rooftop pool deck , right closing- & gt ; ( 8 pm everyday , another disappointment ) restaurant dome overlook fremont street experience awesome . great service , food great . little pricey , okay . gambling though , would say good ' ve ever . great odd , I ve never anything , walk away profit least $ 250 , much , enough make happy . overall , satisfied Vegas trip . Plaza great place stay . breakfast lunch dinner buffet nice pricey . would recommend anyone wish stay downtown Las Vegas .. light show main attraction downtown . Plaza also sister hotel right across street call Las Vegas Club , room suppose , price slash , still get enjoy Plaza 's swimming pool stuff , Plaza room price nicely ... Fourth July weekend , 2 room , 3 night , $ 300 .... SCORE 
 Jun 23 2005 	 downtown sweet ! 	 doubt Plaza read review , take college age son roommate first trip need cheap , downtown Vegas bargain . south tower room view mountain strip , great . room decent problem plumb , although suppose maid service little slow . bathroom area pretty tight unexpected old hotel . nothing fancy , average , love Fremont Street night . like big block party cozy . not fancy mega casino facade fountain roller coaster strip , much easy wander around find cheap gambling well odd . Plaza lounge act every night casino decent poker set - up . fancy super casino , old school Vegas , like feel . 
 Jun 23 2005 	 Plaza Fun Place ! 	 Plaza fun place ! time Plaza nice enjoyable . upon checkin , ask view Fremont St. & amp ; refrigerator , not view , get deluxe room fridge 8th - floor , North Tower , non - smoking floor , nice ! room clean , good - sized housekeeping good ! shower plenty hot water excellent pressure . the air - con work great , . pool 7th floor , go 1 - floor , right not parade whole hotel / casino visible everyone , pool area nice ! eat buffet twice , breakfast & amp ; lunch , good . eat Champagne Brunchon Sunday , really enjoy meet Larry Manetti former Magnum PI tv - Show & amp ; talk he . the food display awsome variety choose , many ! get great entertainment meal . we rent car Brooks Plaza Hotel lobby , convienent . easy park get around . hubby like play Poker night enjoy play Plaza . we great time , none horror story , bad experience we . enjoy time stay . lot fun ! 
 Jun 22 2005 	 really great deal price 	 go Vegas party , gamble , fun not mind downtown place . friendly staff though non - smoking room near impossible get . room overlook Fremont street window open pleasantly ( though Zamphir wind pipe drive husband insane ) . great view , huge room . rooftop pool cool retro kind way . eat golden gate across street ( bay City diner deli ) Main Street Station ( triple 7 ) well food / value though & quot ; dome & quot ; cool fancy ( Deniro Stone eat Casino ) . ' m sure people not like hotel expect price . downtown seedy old smokey strip , real gambler less gawker . though prefer stay strip ( Imperial Palace - Flamingo area ) , fun alternative reasonable . 
 Jun 15 2005 	 Half half 	 May 14 - May 22 go Vegas wedding , family . parent 5th floor , 7th . prime room face directly Fremont . could see sound light show right balcony . room huge , tv small 6 channel . Maid service slow , usually room not clean early 1 pm . big complaint water ! day wedding , hot water . chalk timing , think everyone shower . next morning , day wedding , drop hot water . lukewarm jump shower 7:30 . get shampoo head sudden water ice cold . cold could not stand , jump rinse hair sink ... water freezing . call front desk explain problem wedding day ... need shower ! ! ! send maintenance within 30 minute . call help appear water heater shower issue . say need time work . explain 's wedding day need shower noon . problem . go Sam 's Town give room work . got back hotel 11:50 find note bed say could not get fix , switch room . mention leave floor tub filthy working . Ummmm 1:00 hair appointment bridal party , will not back till 5 wedding 6 . take ice cold shower quickly get appointment . way , stop front desk , show note , let know acceptable possible ! tell pack room bell hop move we . ' m gettin marry 4 hour .... time pack everything ! ! ! ? ? ? ? say well want ? ? fix shower ! ! never apologize , never offer comp we , nothing . , everything fine , big issue eye . 
 may 23 2005 	 love view Fremont Street 	 stay 5/14/2005 . Came shuttle , 1 hour land Hotel , bad . $ 6 per person . check - in around 3:30pm waitting . ask receive view Fremont Street 6 floor . staff friendly helpful . problem room bed comfortable . read review , little worried , not run problem list eat Saturday Night . maybe change managment , thing change . Loved Fremont street definitely stay . 
 may 21 2005 	 hotel hell 	 schedule 2 night , leave one . room semi - clean , i.e . mildew bathroom , smell room , etc . one bed box spring mattress . the food buffet give food poison wife cover type bug bite defy description . look like flea bite much large , size dime . decide leave forfeit 2nd night , inform desk clerk unhappy leave . ask customer complaint form tell , write something piece paper will put board read . 
 May 12 2005 	 Love Downtown Love Plaza 	 10th trip Vegas Plaza 14th different Vegas property stay . second time stay downtown . north tower 17th floor view straight Fremont Street . request view prior arrival surprised request grant repromptin check ! view great . room clean find excellent value money . 17th floor , still surprise noise Fremont St Expreience general traffic , however US $ 39 night really care . noisy misdnight , hey , Vegas . also , Bellagio Wynn's . the pool quite good recommend take pool towel . towel provide poolside effective thikc paper towel ! ! buffet breakfast get $ 2 discount join player club ( breakfast end $ 3.95 plus tax ! ! ) . breakfast brilliant . buffet dinner well would say would worst ever buffet experience . choice uninspire quality questionable . surely chef know store desert light . black forest cake dry Death Valley ! ! ! never eat dinner buffet Plaza . 
 May 4 2005 	 Nightmare Main St . 	 stay April 23 , 24 , . never stay . moment check thing go bad . reservation two bedroom suite , be not available arrive . put we seperate room different floor , good travel child . reassure suite would ready next morning , well 6:00pm next night still suite . give key another room still occupy , guest belonging throuout room enter . wife lock purse room take one hour security get back we colud get purse . Sunday abpout 7:00pm get key suite pay , bad leaving morning . do not even get apology , two coupon couple drink . every effort contact management ignore . 
 Apr 28 2005 	 buffet 	 stay ' m glad say eaten enough . , wife teenage son think would dinner whilst sightseeing trip downtown . go buffet chinese lack choice . bad bit sit table notice dirty carpet , mean filthy , floor sweeper come along shirt filthy aswell , good bit waiter clearing table opposite we tip ashtray half drunk drink use napkin dip another drink clean ashtray ready next customer . front kitchen . YUK ! ! 
 Apr 26 2005 	 great stay 	 vegas many time , , first time stay downtown . book flight hotel together . little scared reading review Plaza . decide since never sleep much Vegas , bad would not room much , except shower get little sleep . room clean spacious . room tub toliet small , like sink separate room . Maid service great . friend room , water pressure great sink tub drain little slow , overall pleased room . love casino staying plaza next trip . also , love see light show ever want . 
 Mar 28 2005 	 okay price 	 stay Plaza 4 day . service good , room large clean ( bathroom small ) . food good . casino adequate . Location downtown excellent . 
 Mar 26 2005 	 smell dirt homeless 	 stay 3/19 3/24 . place smell urine dirty . room leak every time shower use . Maintainence visit three time leave dirt filth leave . maid mostly invisible . many homeless folk lobby use restroom sink shower floor urination . smell horrendous . go Vegas sleep bridge enjoy place . 
 Mar 25 2005 	 First Time Plaza 	 stay Plaza 3/19/05 - 3/21/05 ( last minute book Deluxe King room ) . casino busy due spring break crowd . my room 7th floor near elevator , believe North tower registration desk . room lot space ( 6 drawer dresser , tv ( limited basic channel ) & amp ; refridgerator cabinet three storage shelf , sofa , table & amp ; chair , course king bed . nice rear view desolate bare land site freeway . Carpet wear , still good shape . re - pin old drapery headrail would fully close blackout light . tub / shower take hour drain ( showered would stand 4 & quot ; - 6 & quot ; water ) . window swing open fresh air , two window lock stick closed position window could fully close - hear air conditioning vent unit squeeke day & amp ; night wind blow , keep heater time control room temperature . old new slot - good play visit . need fix parking ticket time clock use validate ticket - date two month ago . I hope Barrick Gaming improves newly obtain downtown property end year return LV holiday . 
 Mar 15 2005 	 Smell ? not set standard high . 	 great time 3/10 - 3/13 . smell state - HS . not go expect grand strip like hotel , may pleasantly surprised . blackjack table still $ 5 NASCAR saturday night , not near smoke GN ( really unimpressed ) . food dome restaurant surprisingly good - view ! good place catch freemont street experience ( aka cartoon shroom show ) . like meal much well $ 150 & quot ; select & quot ; grade gristle steak get Venetian . could eaten every night . get to love view strip , downtown much fun band new orleans style drunkery . ton security make feel pretty safe . rif raff , strip way dark spot huge hotel little dicey . downtown well light alot stumble around goin . also easy change luck short walk another casino - 's 7 area 1 strip hotel . freemont face room eigth floor . like motel 8 view . small bath good sized mini fridge great gallon water need post boozie hydration . & quot ; Free & quot ; gamle booze Jack , least , well hine . pool area decent free towel plenty lounger . Definately Mandalay , 7th floor decent view mountain pretty cool . also plenty expose gut make man brim self confidence ( strip force suck actively guard lady skinny boy momma's - money type ) . even catch Elvis Omaha lounge . McDonalds 24 hour real late drunkene gut bomb . never eat Plaza buffet , Main sTreet Station breakfast overhype ( reading ) decent . weird tast though ... surely go back Plaza . take CAB - shuttle . Shuttle take 1 1/2 hour , cab buck 1/4th time . well yet , take limo loot will save make take whole hour . remember keep expectation low downtown always well reward ... 
 Mar 3 2005 	 never ever ! ! ! ! ! ! ! ! ! 	 stay hotel mother compe . even say would never come back unless free . room cost 40 dollar weekend night february deal . get late give mother fantastic suite . suppose get one well people suite try give . put nice deluxe room hall 2339 . fine nicely furnish . bed comfortable . next day since sell move we standard room orginally book . tick suppose get suite three night cause give room away . fine deluxe room . want bonce around . one not room ready immediate switch . Thay bell man unhelpful take luggage storage . move mother 's room untill could get room we . finally get another room astound shabby . clean ( guess ) . bedspread wear many spot . carpet stain . bed awful hard spring poke selpt awful ached morning . boyfriend say well bed bootcamp . think might get well bed prison . explain bad ? ? ? ? ? ? ? way wnat big nice Bathroom not stay plaza cause bathroom small even one suite . felt compensate us hassle . guess get pay . oh yeah one also urinate elevator talk class . 
 Feb 26 2005 	 okay 	 check fine , first time vegas , ask room view put we 24th floor , view wonderful , could see mountain vegas , light night nice . room okay , bathroom clean , everything work fine . actual room , carpet stain spot wallpaper peel spot wall , bed king request comfortable . room need , cheap , fairly clean comfortable , stay 4 night $ 59.00 night , casino small fun , cash slot , see 2 show hotel , Larry G Jones show , hilarious , great time . also see new card magic show , guy good , husband amazed . eat breakfast twice buffet , great , especially eat main street station buffet block away , good buffet eat inexpensive . anyway , glad go , not see hype vegas , stay east coast drive atlantic city 2 1/2 hour instead . alot vegas , review hotel - Plaza . 
 Dec 29 2004 	 not want complain ... . 	 review due , way overdue . stay hotel February 2002 Coca Cola Collectors convention . remember late Dad always say ... ' buster , not anything nice say , not say anything & quot ; .... will not read long wind complaint ... suggestion would something smartene overall place . look sad , shabby stunk . non smoker , find difficult stay long gaming area . never eat hotel forewarn numerous people avoid food area . breakfast go Maccas street level . also grab lunch Subway . subway still ? find room rate organise local Coca Cola people excessive . room rate $ 70++ . less say room well . October 2001 , along family stay Luxor $ 65 flat rate . difference quality service Luxor hotel staff room HUGE ! ! plus hotel Freemont . location good . love light show every hour . also think walk area along Freemont well think security along street make feel safe . would suggest Freemont light show , would go zone lot folk . Plaza hotel staff ... read review , please please something tidy hotel . room would good starting point . thank read review . 
 Dec 28 2004 	 WARNING stay 	 stay Plaza Thanksgiving weekend trip hell . first upgrade standard room suite , not bad sink back mini - bar literally explode black junk room . unfortunately order room service 10 minute would not know , room service guy show pack stuuf move another room . ask could deliver new room say & quot ; sir , make delivery say receipt & quot ; . pack cloth move another room & quot ; maintainence & quot ; show snake drain black gook begin flow sink ( pretty gross ) . trouble get $ 25.00 free room service meal practically fight . people casino scary look - street people . talk bum live overpass . place plain stink . ever step foot building . 
 Dec 21 2004 	 great time ! 	 stay Plaza December 13 - 17 . got great room , # 1606 , overlook Fremont Street . never stay Fremont want something different strip . enjoy able walk hotel street able come back . strip , committment go somewhere headache get back ( without pay lot money cab ) .The Plaza experience overall good . , great room price right . casino bit smokey one strip bad ( could not even walk Slots Fun ) . staff , large degree , friendly . stay go back Vegas . 
 Dec 21 2004 	 bad smell 	 stay Plaza past 8 year , trip May 2004 bad . Plaza Casino smoke fill , would gag ( smoker ) .We stay 3rd floor , & quot ; SMELL & quot ; hall sewer , lead headache 5 6 day vacation . hate leave room smell , leave , hate thought go back room smell ! good trip ..... bad , gamble $ 300for 6 day lose free ROOM OFFER , could get head pillow long enough fun ! 
 Dec 18 2004 	 good stay 	 stay Plaza past July . first trip Vegas basically need place sleep . price great . ideally want room face Freemont Street not find get not . staff really nice tell check back next day would move room face Freemont problem . view still awesome room could see strip beautiful view mountain . Tip anyone go ask room North Tower want view Freemont . love fact DJ play outside hotel . like big party right outside door people dancig singing . room not seem dirty hotel & quot ; hotel & quot ; smell . pretty much get pay . room inexpensive old part Vegas not expect one new , high price hotel not really need it . the casino atmosphere pretty dull . one casino cheap table . opinion 's exciting gamble hotel stay . would definitely stay . 
 Nov 23 2004 	 stay downtown time like well strip 	 receive offer free room slot tournament plaza . stay friday - monday . upon check ask desk clerk view freemont street . tell would stay south tower upgrade room king deluxe . plus side 22nd floor , nice view , big room , clean whistle , fresh paint old hotel . negative side south tower right next railroad track train wake every couple hour night , also bed old hard . staff freindly exeption late night bartender . play vido poker bar try charge drink bottled water although play full coin ! speak pit boss tell not charge , ask rectify problem get bottle water tell would write bartender . hassle ! speak bartender inform suppose write tell management tell charge thy , mixed signal plaza . never pay meal , compe plaza barrick gaming company las vegas club level play never happen play strip . closeness different casino downtown work well also . would probably stay . 
 Nov 10 2004 	 not stay downtown 	 town conference hold Golden Nugget . hotel book , stay Plaza . horrible . staff rude , casino full smoke , clientele scary . positive aspect hotel price . cheap ... reason . be go Vegas be tight budget , advice stay one cheap hotel north end strip . Sahara , Stardust , and/or Riveria affordable convenient strip . ' m glad see Fremont experience ; next time visit Las Vegas , skip downtown area completely ! 
 Nov 9 2004 	 Plaza quite enjoyable 	 ' ve stay Strip , Downtown Laughlin . hotel enjoy Plaza Hilton pleasant atmosphere friendlyness casino personnel . 
 Oct 30 2004 	 pretty bad NOISY 	 really enjoy casino cheesy lounge act old Vegas vibe room overall service terrible . shower toilet separate cramp room away sink horrible idiotic design . bathroom lighting screw not fix almost 2 day complain , one day housekeeping skip room completely never happen trip Vegas anywhere else matter . forget good night 's sleep . whole area plain noisy whether be Fremont Street train pass every morning 6AM ambulance siren blaring night , squeaky housekeeping cart , etc . bring good earplug . modern amenity ? ha ! hair dryer , iron board , miniature coffeepot , old run tv 's remote , etc . 's downtown . cheap second rate hotel . will get pay . 
 Oct 27 2004 	 great rate big room 	 great room rate . large clean . can not beat location - step Freemont Street Experience . pool huge disappointment becuase heat water freezing ( go labor day holiday ) . breakfast buffet bad even go give free coupon . can not beat McDonald 's lobby starbuck next door . definately stay save $ $ gambling show . 
