nice 	 pro : - outstanding location Embarcedero Drive across Ferry Building- Large & amp ; Beautiful Atrium- Large RoomsCons : - room date , wear out- Bathrooms clean- Service adequateWe stay Hyatt Regency city would like say nice hotel , quite worth price stay . initial impression hotel good , incredibly 10 + story atrium hang light global ball greet we . hotel location superior close walk chinatown , Financial District , Fisherman 's Wharf . however check room , must admit room sub - standard Hyatt Regency hotel . big problem old , worn look feel room . carpet stain rough -most likely not replace . bathroom fixture old eyesore . old fixture noticeable hair bathroom not leave positive impression . not help dim lighting bathroom entry way not give room & quot ; bright & quot ; look . bed sheet rough typical & quot ; fluffy & quot ; high - thread count linen . room really big downer . not try many on - site service except fitness room bare couple treadmill recline bike light weight . new Stay Fit fitness center not open time fitness facility could well next time . for dollar 's worth , would not recommend Hyatt Regency . reason , would want stay location be pretty much . 
 Jul 8 2006 	 Overall Bad Price Line Deal 	 Overall enjoy stay , although spend much time hotel spend one night . 2 mile Fisherman ' warf pier 39 area , think overall nice hotel . room clean . upon arrival ask want upgrade bay view room 30 buck more- decline however pleasantly surprised able see bay room anyway . ( see attach picture view room ) room clean nice- ( possibly bit date mention review bad . enjoy price $ 99 ( tax fee $ 120 ) get price line select 4 star hotel anywhere San Francisco . big downside parking ( problem anywhere Town San Fran ) option hotel offer valet parking hotel $ 43 night plus tax result $ 50 night park across street underground mall parking lot $ 28.50 night . either way feel pay way much- believe excessive parking fee expect anywhere go San Fran . overall like despite parking , consider amount pay . would probably stay however would try something little close Fisherman 's Warf ' tourist . 
 Jul 6 2006 	 Convenient Nice 	 hotel lobby still impress matter many time ' ve . room clean comfortable . staff professional courteous . Embarcadero revitalize Hyatt prime location take advantage change . BART / Muni / Cable Car ( California St. ) /Streetcars within step hotel . feel really great value . complaint parking expensive $ 49 / night . already plan another stay SF definitely look get room Hyatt . 
 Jul 4 2006 	 Noisy 	 pay upgrade view room balcony . next time ( one ) think will skip . call housekeeping arrive bird poop patio chair glass dirty . leave housekeeping arrive clean chair , leave dirty glass . the bed , , 4 star . bad part noise next store . could hear talk ( everything else ! ) room we . guess pass door weak link acostic . we not even please public area . giant attrium vast expanse concrete 60 's date . feel dark cavernous like . avoid hotel future . 
 Jun 18 2006 	 Top Notch Staff Location . 	 ' ve stay three time past 25 year . lobby still strike , embarcadero location near everything ( across ferry building ) , staff professional , courteous , go way us- front desk , valet , bellman ... room average . bed toiletry good , slide bathroom door not cut . pay $ 100 priceline feel like get deal lifetime . Problem- park $ 49 / day ! ! ! ! ! ! shame . overnight option find street $ 28 . still , will definately stay . 
 Jun 6 2006 	 past well 	 look forward first trip San Fran decide choose think upmarket hotel four night stay . wrong . Hyatt Regency see well day well overprice compare City Hotels . the service check average interste get upgrade Bay view room pay breakfast advance . find could see Bay long lean balcony look right - bay view room . room drab tired . patio door loose worn seal , carpet stain fade bedcover tear old . item minibar expensive include unchilled water $ 6 . hotel like provide least one bottle water free charge - Hyatt Regency . four star Hotel - think ! ! - plenty other choose San Fran avoid one . 
 Jun 1 2006 	 room definately 4 * 	 outside hotel beautiful . lobby breathtaking . wonderful view bay bridge room right outside door . stay regency floor enjoy service . good thing hotel : LOCATION ! plan stay not mind crummy room , not ever rent car ! street car trolley literally doorstep . must say furnish room complete disappointment . hole footrest comforter ? ? ? come Hyatt ! ! stay crowne plaza hotel day enjoy plush furnishing . understand business hotel , hence spartan decoration seriously , tear age furniture eyesore worth price . plus side , staff excellent prompt meeting need . 
 May 31 2006 	 ok hotel 	 return 1 day stay Hyatt Regency San Francisco Downtown . location : ok hotel Embarcadero area . hotel close Muni / BART train stationand quite safe even late night . ROOM : room offer anon - smoking room 9th floor . roomwa stuffy bathroom cramp space . the carpet furniture old wear . facility : room high speed wire internet access available extra $ 10 24 hour . thehotel cold feel . to SUM , ok hotel . could chooseto stay get real good deal . otherwise would recommend shop around well value . 
 Apr 6 2006 	 Satisfying Stay 	 San Francisco business conference hotel , stay expectation less usually get large convention facility . delighted . first , take BART SFO airport stop indeed right hotel 's front door . little hesitant take BART not want lugging suitcase sidewalk night , literally walk step inside . little confused lobby area one flight street level , soon get bearing go check in . the staff extremely welcome pleasant deal . upgrade we Regency Floor ( 16th Floor ) without request . room large pleasant balcony double door could really open step outside incredible view bay Ferry Building . treat complimentary breakfast morning surprisingly good fresh fruit coffee machine dispense Starbuck 's Coffee one cup time -- mean , ground bean literally brew one cup time . Ferry Building adjacent open area full weekend artisan people fresh produce . end one night eat balcony fresh bread , cheese , tomato , raisin , killer bottle Pinot Noir market shop . I ' ve got give one two criticism , else someone may think review exaggerated . first , hall elevator long take get around . hotel large , though , suppose expect . walk room , end hall picture window gorgeous view bay . tell husband feel like cruise ship walk view front I . the mild criticism concierge give we wrong information regard take bus Haight Street . weekend tell we catch Bus . * * * ( can not remember number ) stop right outside . yes , Bus . * * * stop right outside - Monday Friday - weekend . get little frustrated , end cab expensive , even work advantage start rain drive destination . all , highly recommend hotel reason - business pleasure . staff ( except ditzy concierge ) could helpful , attentive , pleasant , would definitely stay . 
 Mar 27 2006 	 pleasant stay 	 recent conference hotel prompt stay since room discount $ 229 / night decide stay rather stay elsewhere walk back hotel daily meeting . end handicapped room nonsmoke room take , allow roomy accomodation well big bathroom , can not fairly comment & quot ; normal & quot ; sized room might like . room extremely clean , bathroom , fabulous city view short walk hallway allow incredible view Bay Bridge Ferry Building . interior hotel modern spacious well stock gift shop decent restaurant / bar . exercise room well equip show movie work . location hotel extremely convenient - very close cable car stop well BART Muni bus stop within walk distance pier Fisherman 's Wharf . drawback park horribly expensive ( valet charge $ 40 / day plus $ 5 & quot ; parking tax & quot ; self - park get charge $ 30 time re - enter parking garage ) swimming pool . overall , though , nice stay would definitely stay right price . 
 Mar 22 2006 	 Excellent Hyatt 	 stay Hyatt Regency Embarcadero San Francisco one night March 2006 . one night move another hotel remainder stay . location hotel perfect , especially people use public transportation . fly Oakland airport Embarcadero BART stop four Coliseum / Oakland Airport BART station . emerge BART station Hyatt right head . room enormous ( especially San Francisco ) . ask high , quiet room give one 12th floor Drumm Street side hotel . room ammenitie excellent . shower / tub , toilet room separate sink area small . water pressure shower great easily adjustable flow direction . would stay Hyatt Regency Embarcadero , especially able secure great rate ( senior discount time ) . 
 Mar 3 2006 	 good business hotel close embarcadero 	 great hotel great location . rate get priceline -- steal ! 's primarily business hotel next door financial district . 's also walk distance great dining , sight - see bar - hop . tired go , try equinox bar penthouse . 's revolving restaurant san francisco offer great view city . stay city view room , even great view bay bridge . check friday night awesome rate , wake saturday experience embarcadero weekend market . overall , wonderful experience , highly recommend , come back ! 
 Feb 19 2006 	 public area 4 * room 	 return $ 70 Priceline stay Hyatt Regency Embarcadero . price , hotel great value . thought : public area 4 * way , room 3rd floor 2 * furnishing ' basic business class standard – let alone 4 * . clean , bathroom counter marking , interior room drab , design outdate , cheap linen , tacky comforter , enough furniture ( room need nice chair & amp ; ottoman ) , etc . park 4 Embarcadero Center $ 28 overnight , bargain compare hotel charge . ' eat restaurant , ' comment . challenge property 's l - o - n - g walk Union Square , favorite shopping spot . , probably ' bid zone reason . , hotel good value pay , compare SF Hilton SF Marriott , example , property measure 4 * standard . good , deserve 3 * rating use . way , front desk staff excellent ! nice guy help we easily accommodate request king , non - smoking room . nice view Transamerica Tower , ' complain either . way room " top - level amenity furnishing " deserve 4 * rating . 
 Feb 2 2006 	 will stay elsewhere future 	 choose hotel 's location - 's convenient Embarcadero Financial District . upgrade & quot ; bay view & quot ; room . way see bay room lean balcony . drape towel furniture balcony dirty . there water stain paint peel ceiling , stain carpet . rest hotel date well . front desk staff aloof , not seem care customer . definitely worth money . 
 Jan 31 2006 	 Great Hotel / Perfect Location 	 get back stay hotel admit pleasantly surprise enjoyable ( spite several touchy review read ) . go conference read negative review consider stay elsewhere , however extremely glad decide ' tough out'at conference hotel . hotel great , staff extremely helpful pleasant . ask room view , high floor , near elevator ( base review ) . pleasant reception desk person tell we view room near elevator , opt go view . 15th floor room outstanding view Bay Oakland Bay bridge / Ferry building . might well , be sure how . as other mention , location really make top choice . purchase City Pass line give free access Muni Transport well number museum ( worthwhile ) . also purchase AirBart Tix line get we hotel . Bart station right outside door hotel . also , famous cable car , restore trolley F line ( access Piers well way Market Castro ) , Muni underground , kind bus line literally right outside door ! location beat . and great meal Chow Church St. station trolley underground . and across street Ferry Building kind shop restaurant . particularly enjoy Hog Island Oyster Co. ( owner line front we refuse ' pull rank ' ; even allow we take well locate table ! ) . also , Cowgirl Creamery Cheese miss . do afraid hotel -- serve well ( ok , pillow ae little flat . ) . 
 Jan 6 2006 	 Wonderful Location 	 love hotel ! ! well , let ' start downside ! ! bed ' comfortable pillow flat . problem since bring travel pillow . , everything great wonderful ! staff friendly helpful . Maid service great ! food hotel simple . lazy get , Room service bad , food restaurant , order Breakfast room service wonderful . go back Hotel ! ! hotel right next ferry building , one must go place visit SF . ? restaurant inside ferry build great . yes , price maybe little high , food great . the Muni Bart station step away . cable car station front hotel well . ' cheap visit SF 3 day , buy 3 day muni pass , ride cable car , muni bus , Muni undergrand system F line . check map hotel SF Visitor Center , F line take place place easy fast . 
 Dec 30 2005 	 Reservations honor * REGENCY FLOOR * problem w / bed 	 book Nov 1st 2 room Regency Level - indicate need 2 bed room -- family . note confirm . upon arrival give room w/1 king bed -- tell we ( lie ) level king bed room . untrue . Next say cot - until call speak manager tell 2 large boy could share bed -- need least 1 cot . get 1 cot -- basic apology give - but attempt find another room w/ 2 double bed . never stay since fail accomodate we . Regency Club offer breakfast -- inadequate table , chair , service personnel keep area neat . basically , worth extra charge . stay CALL make guarantee room arrangement ! otherwise family may share 1 bed . 
 Dec 26 2005 	 enjoy stay Hyatt 	 family ( include husband , brother , sister law 17 year old nephew ) get back 5 night stay Hyatt thoroughly enjoy hotel city . SF several time previously never group . great package deal Hotwire choose hotel easy location public transportation . take BART airport hotel easy time . check bit complicated room one name , resolve nice room 10th floor . room King bed great view harbor ... brother 's room 2 double bed city view . room fine far bed mattress go . tear carpet dirty bathroom service good . buy city pass $ 42 ( highly recommend ) use boat tour , several museum unlimited use muni transportation . People extra friendly help we direction need . ride cable car bus manage lot spite almost constant rain . rent car day go Napa ( Budget car rental hotel could return time evening valet ) . great family time real complaint . hotel fine unless pay full price . ( hotel worth rack rate ! ) 
 Dec 23 2005 	 expectation 	 husband 's company host Christmas Party restaurant one SF Piers . decide stay Hyatt walk distance party . Hyatt Passport member booked & quot ; Fab Friday & quot ; rate official Hyatt website include free valet parking free appetizer lounge . & quot ; Fab Friday & quot ; room rate $ 140 standard room . opt regency club suite $ 240 big night . take BART city meet husband . would take right BART escalator street level would not even cross street . convenient . check quick . present envelope coupon free appetizer letter noting would receive free valet parking & quot ; Fab Friday & quot ; rate . reviewer already describe suite quite accurately provide picture will not go description , suite say bed well bed one star motel . bed rock hard . scratchy flat sheet throw thin mattress . & quot ; regency club & quot ; bed . pillow top mattress , comforter , upgrade linen , turn service . order room service get back company party . room service fast food good . ice cream still frozen . surprise come next morning preview bill via t.v . rate suppose $ 240 charge $ 299 . call front desk bring attention . front desk person tell charge $ 299 upgrade suite . , explain rate $ 240 print comfirmation suite . put hold never come back . hold almost ten minute another clerk come phone tell rate descrepancy . not argue agree reduce rate $ 240 . go front desk pick copy bill sure . one reason reserve room official Hyatt website would get Hyatt gold passport point . read bill ride home asterisk next $ 240 rate . asterisk mean rate eligible Hyatt gold point . not mention book room . fact not note fine print letter receive check . nice . booked website not get point . not think will stay . 
 Dec 21 2005 	 great stay San Fran ! 	 really like hotel ... arrive , not non - smoking regular room available we , upgrade suite bay view another $ 15 / night . 3 night ... parking expensive , rental car first night return . bit far walk touristy thing , manageable . eat restaurant top floor one night ( reservation recommend ) spin get complete look city - good food give coupon front desk check , expensive meal ... clean , nicely take care ... wonderful time ! 
 Dec 21 2005 	 Regency Suite Stay - Great experience 	 stay Hyatt Regency Embarcadero 7 time positive experience time . regular room compact bed double . architecture hotel incomparable atrium city tourist landmark 30 year . recent stay good experience far , simply opt try Regency Suite . though expensive $ 269 ( although much & quot ; regular & quot ; room SF hotel check ) , family 4 fit comfortably . Suite consist large living room sofa , side chair ottoman , table 4 chair armoire contain television , empty refrigerator , in - room safe another stocked refrigerator . floor ceiling slide glass door lead 30 ' balcony overlook Market Street . furniture rearrangement , two rollaway bed easily fit room child , since sofa convert sofa bed . guest bathroom sink toilet small hallway connected master bedroom living room . master bedroom separate bathroom tub jet separate shower stall , do black marble . another armoire television unit , full closet , work desk lounge chair . furnishing contemporary good shape , room clean pretty soundproof . hotel dining breakfast Eclipse Café , expensive $ 23 breakfast buffet basic worth cost ( room rate include buffet ) . location excellent major attraction central San Francisco … Union Square two subway stop away , new food hall Ferry Bldg across street , Cable Car start end front Hyatt , Fisherman ' wharf walk distance short trolley ride away . area Hyatt safe lot tourist walk around urban residential area around hotel expensive San Francisco . work week , area buzzing , since Financial District . another great experience . 
 Dec 17 2005 	 4 - star quality - but thoroughly enjoyable 	 return short weekend stay friend . GREAT location , able walk Union Square SBC Park , rather long walk . plenty available cab public transporation hotel walk . self - park $ 28 / day 3 Embarcadero ( hotel 5 Embarcadero ) wait valet hotel 45 minute , charge $ 40 / day . allow check 10th floor room several hour early . room clean new furniture . bed pillow comfortable . room overlook Drumm Street , face away Bay , balcony . slide door open let fresh air , however . noisy , awake 8 am 2 lady megaphone protest something . 20 minute would alternate shouting & quot ; 1 - 2 - 3 - 4 & quot ; & quot ; something something Al Gore & quot ; & quot ; 5 - 6 - 7 - 8 & quot ; something something , negotiate ! & quot ; Annoying , nothing do stop . ice machine WAAAAAY side building hallway quite narrow could prove problematic mobility issue . charge empty honor bar filling grocery . , course , never see hotel charge past . eat revolving restaurant ( Equinox ) give 50 % meal coupon . take we figure get Equinox 10th floor . finally end go lobby level take express elevator restaurant . go food - you pay view . seafood pasta dish 30 $ , discount . pretty hard mess pasta , seafood fresh heat evenly distribute throughout . great shopping Ferry Building - great farmer 's market several day week . christmas ice rink right , quick easy walk Chinatown . lobby still pretty impressive deocorated holiday . overall , happy get price ( $ 99 / night ) would stay , certainly 4 - star hotel posh luxurious , certainly worth try get 100 night . 
 Nov 28 2005 	 four - star rating undeserve 	 agree -- priceline reduce rating 3 - star . receive price $ 80 per night , also much far expect , hope something close Union Square without get near Tenderloin . location okay , though , Ferry Building transportation great . view gorgeous , room service quick . now bad stuff .... room , despite remodel maybe last 5 - 10 year , bad shape . peel wallpaper , leak toilet , stain hole armchair ( cushion actually several shade dark place people normally sit ) , bad , bloodstain pillow . yes , be right -- well wash dry , blood nonetheless . grab pillow closet look fairly clean , throw one corner . I know could go front desk complain would likely move well room , much well could get ? besides , crowded Thanksgiving exhaust . , overall , quality akin Motel 6 , location , price , view favorable compare area hotel . 
 Oct 25 2005 	 depend want 	 mixed emotion stay hotel . nothing terribly wrong , also not seem good value cost . go Priceline get $ 80- $ 90 like many seem , probably would found hotel good value price . location outstanding avoid rent car pay outrageous parking fee . right BART station begin California st cable car line . many bus route stop within 2 - 3 block . ferry building right across street neat shop restaurant . access wharf area easy trolley ride away comfortable 20 - 30 minute walk ( flat terrain ) look pleasant walk . room amenitie standard business - focus hotel issue . deck nice weather good pleasant place sit read . noise issue loud motorcycle seem cruise endlessly Embarcadero wee hour morning weekend . front desk service helpful quick . not eat restaurant - many good place eat SF that . overall fine experience , special enough justify cost . 
 Oct 14 2005 	 well low cost holiday inn 	 stay hotel early October . luckily pay $ 85 night priceline . four star hotel point . location fine , lobby nice room worth full price . bed terrible , loose top sheet throw mattress , towel bathroom wear , thin scratchy . bathroom tiny cramp . amenity joke , shampoo conditioner give , ask body lotion , shower cap , etc . give ask . lighting room terrible , overall , would stay unless price really cheap . location fine , subway cable car right outside entrance , want go downtown walk , quite distance . Priceline give four star rating . 
 Oct 3 2005 	 Great experience 	 husband attend conference hotel , go along sightseeing . arrive 10 pm give key room third floor . arrive room , housekeeper begin clean room . return front desk friendly staff member apologize , immediately upgrade room suite 7th floor , extra charge we . impressed size room , complaint . decor update , bathroom large nicley decorate . especially enjoy jacuzzi bedroom bath , although problem control first . balcony living area bedroomin like door open enjoy fresh air come . particularly impressed quietness hotel . full three night , never hear noise room , loudness hotel . hotel lobby unique nicely furnish . glass elevator quick pick we , smooth ride . add nice touch lobby . bellboy hold luggage redeye flight , find friendly accomodate rest staff meet . would recommend hotel everyone , would consider return ever chance 
 Sep 26 2005 	 poor service high price 	 big hotel splendid view , size part problem . many guest , service well average . everything seem take long time : whether get car exorbitant valet parking , wait elevator . upon check room dirty glass previous guest . take hour we get luggage , maybe problem , suppose meet friend wait cause we late . call concierge two occasion , less helpful ; one occasion busy discuss someone ' outfit Emmys ' bother help . excited stay hotel kitschy revolving bar , get quick , close early . say room quiet , unusual large businessperson hotel . bright spot courteous knowledgeable doorman . although location good , give choice , ' back Hyatt Regency . 
 Sep 14 2005 	 quite four - star 	 spend night hotel stay Omni . Hyatt Regency big main lobby impressive . room fine bathroom outdate -- beige tile wall black marble floor , really something see four - star hotel . service impersonal hotel business traveler . good thing view Bay Bridge room . probably will not go back . 
 Sep 13 2005 	 Fantastic Hotel 	 partner return week stay Hyatt Regency must say impressed . the lobby impressive room overlook lobby . Glass lift take room . when check Lady front Desk upgrade we Business class room wonderful view Bay Bridge ( see photo ) . also ask fridge Breakfast include Hotwire 100 $ night rate . not charge we usual 20 $ fridge either . couple shop across hotel get food morning . the hotel really nice area across street ferry building . excellent location transport , Bart , muni cable car run ferry building . the room nice big average , comfortable bed ever . pillow comfortable not understand people complain . get extremely good night sleep every night . bathroom small separate area outside sink vanity area . we also give 50 % discount voucher Hyatt restaurant San Fran . last night meal drink Equinox top hotel . expensive , would highly recommend it . San Francisco lovely city extremely nice view hill road . good way travel walk around city . I would highly recommend stay Hyatt Regency . 
 Sep 12 2005 	 Cool hotel - great location 	 search hotel San Francisco Expedia decide & quot ; roll dice & quot ; Priceline ... $ 80.00 bid accept Hyatt Embarcadero . first , little upset not land trendier & quot ; boutique & quot ; hotel ' m really chain - hotel type person . upon arrival Hyatt however , presently surprised find totally modern , architectually interesting hotel fantastic location city . upon check - in , request room high floor give spacious room 12th floor overlook Bay , complete large patio . room stylish understate ; lovely frame photograph , comfortable overstuff chair ottoman comfortable bed . mini bar stock lot goody , interested save little $ , head Walgreens across street soda , beer , wine , chip etc . parking expensive , number lot available afordable ( not mind parking car . ) ton shop area close proximity BART , muni cable car make incredibly easy get around town . would def . recommend hotel stay next visit ! 
 Aug 23 2005 	 wondeful hotel ! ! ! ! good location ....... 	 want let people know wonderful hotel . hotel beautiful great location ! . rent hotel parent & amp ; little brother first trip west coast . recieve awesome rate priceline 80.00 dollar night hotel cost 250.00 per night . hotel staff nice always helpful . room clean view nice . hotel book entire weekend loud noise traffic hotel . hotel treat family well make feel comfortable . read review 's hotel ( site ) people give hotel good great review . couple people write review need something complain complain PILLOWS . stupidist thing ever hear . yes pillow soft call front bring u extra pillow . score 1 thru 10 hotel deff 8 9 . 
 Aug 15 2005 	 wonderful View 	 first , check awesome , line , wait etc . have reservation Club level , balcony room . room 16th level , nice sized , balcony alright , 2 chair table . shower / bath small , update shower head would nice higher , bend get head wet ( ' m 6 ' 1 ) get room mainly club level opportunity lounge evening breakfast . I disappoint find alcoholic drink pay lounge , non alcoholic drink free . ( figure go like Embassy suite drink free matter , disappointment ) little way appetizer well . bed nice ( nothing special , special sheet pillow ) , could hear people walk upstairs room 17th floor occasionally could hear plumbing room . far location excellent jumping point , explore city . I would not pay full price room 200 AAA discount . oh far continental breakfast lounge , ok , consist yogurt , juice , coffee , fruit , banana bread , lemon pound cake , english muffin , toast ( although toaster seem broken time ) enough fill , nothing like embassy suite offer guest . wish embassy suit city.over impression decent hotel money would not pay club level , not worth . 
 Aug 12 2005 	 Pleasant stay 	 stay Hyatt July 2005 . architecture lobby impressive perhaps good feature hotel . staff accomodate polite . check around 12 am give room view city , nice san francisco , really want view bay . staff front desk suggest call back see bay view available . lucke get room bay view rest stay . room quite clean . bed comfortable . shower hot / cold knob bit confusing adjust -- -some guest even call front desk tutorial . thing beware : restaurant lobby quite pricey ( expect ) alert go -- do not open bottled water table unless prepared pay 6 buck . ( be clear sticker price top -- easily miss ) . good spot breakfast cafe across street . secondly , be not NYC , restaurant close 9 - 10pm . chinese restaurant inthe adjacent shopping mall quite good also expensive . italian one , one flight expensive palatable . good feature : view , Location embarcadero , proximity bart / cable car . would come good deal . itsnot really worth 200 night . 
 Aug 10 2005 	 good hotel nothing unique 	 nice hotel great city . nice location . read review someone else describe lobby & quot ; lot dusty , fake greenery . & quot ; agree , lobby big , bright cheery . 's typical large city convention hotel , much character . come conclusion longtime business traveler know long time : ' matter brand hotel , city . please please please not pay Hyatt could easily hotel . name mean nothing city . visit San Francisco , ' car unless need . hotel locate public transit right outside door . California line trolley car foot door , BART MUNI metro across street . F - Line streetcar run right hotel go Fisherman ' Warf Union Square . ferry building locate back hotel take Sausalito . even get Muir Woods without car use comfortable efficient Golden Gate Transit Buses . embarcadero ferry build fun hang afternoon long lunch lazy day shopping . art festival vendor weekend . hotel room normal size city hotel . bathroom quite small luxiourus . Mini - bar computerized ' think store anything . be overprice usual ( $ 3.50 soda ) fun empty business pay . otherwise , Walgreen ' , 7 - 11 Starbucks locate across street reasonable snacking . fitness center small pool . see revolving restaurant . warn eat breakfast buffet morning free paying 's outrageous $ 20 per person ! good food worth much ! ever NYC appreciate comparison . love time square tackiness , stay Fisherman ' Warf . enjoy lay back area touristy stay Warf area . question transit area hotel ' hesitate email . 
 Aug 8 2005 	 okay 4 star standard 	 stay hotel June 19 , 2005 . excited stay 4 star hotel not live expectation . atrium nice , grand . look bit outdated . service adequate , room could use improvement . room seem bit & quot ; tired & quot ; . faucet handle difficult turn , toilet flush weak , dent side tub . minibar , fridge . car , not park hotel . 's valet parking cost $ 47 per day ... ouch ! positive note , location great , shopping restaurant nearby . 
 Aug 6 2005 	 ok ... .. 	 stay conference . ok , nothing really impressive . location good , convenient BART cable car , well big shopping center . close ferry building , good market locate . get room bay could see , view great . however , like room much . carpet dirty stain . tell 's non - smoking room ; however , could smell smoke ash tray provide ! ? bathroom bad lightening look bright . maybe be bath tub look clean . bad , water pressure low . take forever wash hair . complain nothing do . 's conference ( not pay ) would stay . 
 Aug 5 2005 	 Nice hotel location 	 stay one night July . get Hyatt Regency $ 70 Priceline . bit difficulty find hotel ( fault not print direction ) . call ahead request two bed since party four non smoking . problem receive request . ton people check line move quickly . beautiful atrium glass elevator . read large hotel atrium world . surprised get room discover put one handicap accessible shower . like tub . try later switch unable & quot ; completely sell & quot ; also & quot ; run rollaway . & quot ; weird second night row handicap accessible room accommodation purchase Priceline . sleep well however . put anything refrigerator one electronically control model . want empty one , cost $ 20 . staff nice especially bellhop . parking expensive - $ 48 night privilege . great location . right across street Walgreens , Starbucks 7 Eleven . would stay . 
 Aug 1 2005 	 Great Place 	 reasonable Priceline bid , imagine traveler happy . hotel sort large cement behemoth , lobby atrium feel disneyworld - like . terribly & quot ; personal hotel & quot ; quirky hotel , rather 's corporate efficient . 12th floor room clean , great view Bay Bridge . bathroom not terribly exciting water pressure 's little lax . arrive around noon , cross - country trip . hotel staff promptly check . love able open window . street loud , be middle Embarcadero . if pay full price , infinitely & quot ; classy , & quot ; San Francisco - authentic hotel . still , terrific bargain city 's pricey . 
 Jul 28 2005 	 love hotel 	 brother great stay hotel . location perfect : across Ferry Building little shop restaurant , literally 10 step away trolley stop Union Square , 2 - minute walk bart/ muni station , 15 minute walk Chinatown Union Square , safe location , list go . flight arrive early morning , take 20 - minute BART ride SFO register front desk . Kathleen check tell room would ready couple hour . problem , pick brother OAK anyway . ask bellstaff keep bag return . not forget ask voucher offer 50 % bill hotel restaurant ; will not give not ask . check - in experience flawless . we not want pay additional $ 30 / day partial - bay view room settle city view . room 7th floor . room spacious usual accompaniment : 25 & quot ; tv , workdesk , coffeemaker , minibar . minibar sensor charge automatically remove item . move one item put food , will charge item . ask housekeep extra pillow hanger , deliver right away . room slide door open fully give fresh air view street . traffic noisy door close sleep like baby night . pillow , yes , squishy . either bring pillow ask housekeep extra pillow . water pressure shower bit weak , not ruin vacation . we not go restaurant hotel want experience city . hotel 's reception third floor , good idea not conference people street level go lobby . fitness room second floor 1 eliptical trainer , 2 stairmaster , 1 pull - up / dip station , 2 bike , 2 treadmill , dumbell station corner , roll yoga mat , couple bosu ball , table drinking water , fresh towel . machine face two tv 's mount wall . clean room well - light room view . need room key enter ( cool thing ) door automatically unlock leave room . room busy morning , 6:30am , 7:15am crowd thinning . concierge info need . not need rent car hotel 's proximity transportation transfer point , Budget Rental Car desk lobby . think valet parking charge $ 10 first hour , maximum $ 26 per day . atrium lobby stun , elevator provide great view . may ask room near elevator , get . otherwise , walk unbearable , even view lobby . there starbuck Walgreens ( develop 1 - hour photo ) across street . cafe bagel shop within 2 - 3 minute walk . Saturdays tuesday 11 am 2 pm Farmer 's Market Ferry Building , sell produce lunch . Night Farmer 's Market Thursdays . one thing remember : save water energy , hotel change linen bed everytime new guest room , every three day , unless ask . ask housekeeping change bed sheet every day . help clean room easier fast , put dirty / use towel floor one corner replace . return , graciously leave housekeeper tip hardwork . all staff , housekeep bellstaff helpful kind . wake - up call do real person , appreciate effort pronounce difficult last name . get rate Priceline , think overpay , definitely recommend hotel everybody price . five star location , staff , service , build design , room . 
 Jul 25 2005 	 Beautiful Hotel ! 	 Hyatt Regency San Francisco Embarcadero Center one all - time favorite hotel . wife stay 5 night recent trip San Francisco ( July 2005 ) .I get little annoyed first check , front desk tell we room two double bed sell ( even though reserve room advance online ) . give we free upgrade suite large balcony , turn nice , satisfied . the atrium hotel absolutely beautiful , glass elevator add nice touch . top floor 360 degree revolve restaurant call , Equinox . wife end two 5 night stay Equinox split bottle champagne time . the con hotel pillow bed . be ' squishy ' kind feel hand head pillow sleep sideways . ( good sleep ever get hotel Sheraton Biscayne Bay Miami . ) bottom line - definitely stay hotel get room less $ 200 / night ( include taxis ) , bring pillow . I would definitely stay Hyatt Regency San Francisco . 
 Jul 17 2005 	 Okay 	 return San Francisco stay 3 night Hyatt . surprised hotel 4 - star rating AAA . not deserve ! hyatt room old average . bathroom toilet shower -- sink locate outside bathroom -- something would definitely find cheap hotel chain . tolerate hotel room , good thing location . cable car , BART , Muni F - line trolley car right outside door . lucky , may get room outside view . also , breakfast buffet quite good include AAA room rate . 
 Jul 17 2005 	 SF Hyatt Regency great 	 get terrific deal Hotwire really please hotel . excellent location service . staff friendly helpful room view Bay nice spacious . valet parking $ 50 day pretty stiff park next door $ 27 day ( without in - and - out provlege . ) 
 Jul 12 2005 	 nice view fair overall 	 stay Hyatt conference 4 day impress pretty high group rate pay . minus : room pretty small , bed extremely uncomfortable , tiny bathroom ( shower not even compare Holiday Inn Express instance ) , room overall hotel clean , decor outdated fare , fair . would expect Hyatt comparable chain . plus : helpful concierge valet attendant , club level room high floor , small nice balcony , view bay . attendee conference extremely lucky garner room nice view , even club level , say limited . would come back hotel pleasure . 
 Jul 11 2005 	 Good Location 	 Location right BART station start California street cable car . room clean spacious . never line registration . staff polite helpful . downside : internet $ 10 / day phone call $ 1 . Fridge control computer usage drink use personal stuff . 
 Jul 7 2005 	 Great Hotel 	 purchase room priceline . find hotel nice , comfortable , average . check - in breeze front desk employee helpful . would not really consider & quot ; Union Square & quot ; area ... nice 20 minute walk , great location pick trolley , bus , etc . right front hotel . Embacadero Center shop restuarant want venture far hotel . 
