work 	 trip # 5 London past 3 year 5 hotel stay , feel Strand Palace work well . booked package Air Canada Vacations get reasonable rate include breakfast . assign standard single room small like London hotel room price range , clean , comfortable , functional home 8 day night . complaint . location great easy walk central London attrraction hotel within 5 minute walk 4 tube station ( embankment , Charing Cross , Temple Covent Garden ) . lot cheap fast eat handy well great dining theatre . hotel breakfast pretty standard english breakfast fare serve fresh hot . Seemed wait weekend . hotel staff friendly helpful doorman Strand welcoming . overall hotel rate well value price . would stay . 
 may 19 2008 	 great stay get right room style 	 pay 80 pound get small tiny single room upgrade & quot ; club room king size bed & quot ; additional cost 30 pound per night . club room nice , large , comfortable . staff helpful kind . location excellent . way , club room one day pass Virgin Active Health Club , be wonderful , 50 m away . health club multiple function , like hotel ' fitness center -- decoration . 
 May 17 2008 	 cockroach anyone ? 	 never . single night stay . lot work go do - it - up , be fine , cockroach bedroom wall not . suppose removed maintenance whilst ate breakfast ( capture glass ) not . dirty plate breakfast , offer tea coffee . never . 
 may 14 2008 	 Good Location 	 good thing location - walk almost London . romm allocte disgusting - fact floor actually dip place . carpet wear towel . bathroom mildew grow bathe shower curtain . cool pedistal fan ! ! ! ! complain allocate & quot ; executive refurbish room & quot ; cost mind - well , stll one bad room whcih stay . go pass location . 
 May 9 2008 	 expensive ! 	 husband stay Strand Palace two night business trip . pick hotel convenient location . rate 4 star , tell shadow former glory . room superior room , worth money . could believe call reception ask make mistake , . wonder standard room ? staff friendly , everything look old . room clean small , bed comfortable . internet access terrible expensive . force pay deposit / guarantee check , want pay advance ( mean check ) many problem , end take deposit price room ...... make sense ! ? ! ? happy want pay advance . get overdraft credit card couple day ... invoice also take week arrive post express check . 
 May 9 2008 	 comfy central 	 cost : reasonable room heart city , get to shop around , TripAdvisor excellent way compare price . take without breakfast seem worth many outlet around hotel offer breakfast third cost . location : middle city . lot eatery within walking distance . Tesco across road . bed : importantly , bed comfortable clean , although pillow fluffy . room size : good size room consider location cost , enough room swing proverbial cat . room amenity : aircon , fridge , room safe . 1 table fan closet . limited ventilation 2 & quot ; open window , air get little stuffy , alone room . check in / out : excellent . efficient check - in staff even sudden crowd develop . check simple dropping keycard box . hotel facility : use restaurant bar . would like gym fitness centre , none . tv : bad spread channel . want watch semi - final ECL game Manchester United Barcelona shock none english channel show . end watch german commentary . video demand offer adult video , every time turn telly , VOD menu come first , tout adult channel . kid , tell front desk disable it . internet access : wire wireless room , expensive someone like convert Malaysia Ringgit . PC ' use lobby even extravagant : 25p per minute sound utterly ridiculous I . bathroom : important factor cleanliness . top mark almost everything bathroom pristine white . one downlight sink rust water - stain rot carpentry . shower excellent : good pressure good temperature control . liquid soap / shampoo dispenser wall mount , difficult use require lot strength squeeze . towel rack heat , nice . ubiquitous sticker ask leave towel sink want wash , wash towel even hang Personnel : staff courteous , seem busy friendly . doorman however , friendly helpful . 
 May 8 2008 	 Perfect location ! 	 bring mother London first visit really want good trip possible . want hotel great agonized hotel pick age . finally settle Strand Palace due location . mom would use Underground perfect catch bus , either right outside , Trafalgar Square around corner Aldwych , could get anywhere want 13 pound one week bus pass . book twin room first five day switch room Easter weekend fiance join we . mom book single take double . twin room section hotel look worn around edge room spotless . bathroom large room fine . bed really comfy . window face one little quadrangle noise outside unfortunately , get bit noise hallway . door open directly room rather little entry way / hallway many hotel room think 's noise noticeable . lucky , though , not go late tired full day not seem keep we awake . mom 's single double another floor face Strand front noise street . however , never hear thing hallway . room floor ( 7th ) little vestibule . , comfy bed , good sized spotless bathroom . part hotel not seem quite run perhaps renovate . mom 's single room small sunny say cozy comfortable . room stand fan not need . not notice stuffiness other mid - March cool outside . full buffet breakfast every morning really good . time dining room pretty busy always manage get long queue . also eat carvery one night one bar lunch last day never complaint food . desk staff fantastic concierge fabulous , bail we little hiccup last day airport transfer . 
 May 6 2008 	 ok 	 stay Strand Palace late April 2008 . hotel lovely service excellent . room adequate - always clean comfortable . wall room paper thin , though - could hear someone snore another room ! also , window not open stuffy quite hot . provide nice fan pretty quiet , help lot . also get room look right Strand , noisy . not anything change , though , can not complain ! eat hotel breakfast dinner . excellent , although dinner quite expensive get . also drink two bar site . excellent service great selection , price line place London . the location hotel great . close many attraction , also Covent Garden Charing Cross underground station . many different restaurant within easy walk distance , well many theatre shop . I believe many negative hotel use north american hotel rather anything hotel actually lack . remember bring clock room : ) 
 Apr 26 2008 	 Quirky old - fashioned great location 	 meeting ( start early ) Kings College next day decide come London night stay locally . Strand Palace ( name suggest ) convenient area . number colleague stay hotel recommend location , decide give try . pro : + great location , 5 minute meeting , minute Tube rail station , 5 minute Trafalgar Square ; lot restuarant area+ bed quite comfortable+ staff professional helpful ; check - in check - out quick easy+ room generally quiet+ build layout fascinating : seem lay number quadrangle , make seem like impossible number right turn hallway find room . be quite logical quirky . con : - hotel rather fade many place ( lobby quite date ) . room clean tidy , everything work , see well days- ventilation room bit quirky . window open private atrium area could get fresh air , even window wide room bit warm liking- hotel big busy load people check leave : prepare little bit wait . overall , satisfactory stay -- nothing complain , great reason go back . 
 Apr 20 2008 	 split 50/50 ! ! ! 	 view review review website satisfied leave go great hotel . yes many way . yes everything people say true . thin wall , stuffy inside room , continuous noise outside go hour , continuous noise inside go hour . however , area surround hotel extreme highlight . convent Garden bustle place . name virtually right outside door . Tesco , Cafe Nero Leon block across street supply refreshment vital supply need nourish body busy day sight seeing . going see show not far go many restaurant along Strand Convent Garden offer value price Pre Theatre Meals . travel alone book simple single room . room small , bathroom large great view office outside window . would die summer heat room . window open inch due safety concern tall building surround area not get breath fresh air . however , busy hardly room probably survive . keep mind . foodie also disappoint failed think get room small fridge . pick food throughout day nibble headed morning go see show . would nice keep cheese , fruit item cool . side Note . anyone love food must go Borough Market . amazing cheese , meat pie great nibble Cranberry . back review . yes still split 50/50 . would favor not well experience Paris Brussels hotel room respect city . bottom line . hotel clean , close sort sight sound , check breeze staff great . side note # 2 . want easy way get Heathrow hotel check dot 2 Dot . meet stand Heathrow . drive 2 group hotel . not worry fight crowd Tube , Train Bus . long flight nice sit back , relax enjoy drive city . plus may end free tour guide drive along . can not remember name fellow drive point many sight along way extremely helpful . charge per trip round trip around 30 pound . well worth not want fight crowd relax . enjoy time London . know . 
 Apr 10 2008 	 superb base theatre land 	 daughter stay three night theatre break . superb location central London really lovely big room ( ok front Strand noisy expect Londons West end ? ? ! ! ) well price location . the room clean , bright , lovely big bed , everything could possibly want hand . great location theatre thing , second visit suspect lot refurbishment go within room year room far superior previo visit . thoroughly recommend hotel anyone visit London . breakfast good - big hotel rubbish food breakfast Strand Palace . bus stop outside , taxis plentiful time day night - 10/10 visit . book next year ! 
 Apr 8 2008 	 Honest opinion 	 stay hotel two side , bad night ever stay hotel , great night , hotel within two day massive change experience . after read negative review standard room , telephone stay ask upgrade club room extra cost £ 30 per night . book hotel tell club room available night stay standard room . make money thought would nicer surprise theatre trip girlfriend , check ( fine good service ) start see people say non refurbish side run . hotel room clean old look bathroom door lock could keep door closed . know go club room next night think ' complain let know morning , midnight wake lot teenager run riot around corridor scream shout . place right middle large school trip decide party 4 - 30 morning , think huge oversight decide room we . complain morning move large club room like completely different hotel , decorate nicely , normal pillow instead stuffy feather one nice feel compare one want turn around walk of . the restaurant superb , two nice restaurant , need look anywhere else eat , along comfortable bar manage get food 11 return form show serve right 1amthe breakfast superb everything want breakfast masse wellthe staff friendly quick sort complaintthe location could beaten , walk distance theatre , 5 minute Covent garden , 10 palace Trafalgar square . overall , moral hotel nice hotel provide stay club room standard ! 
 Apr 3 2008 	 strand bland 	 hotel central theatre land great lobby clean modern check fine breakfast good staff helpful . now come ... room terrible ! hot stuffy airconditione dread think summer evening would like . the bathroom grubby crack tile hole fitting extraction last decorate 1980.if bed ship would say list badly port seem sag head end , one side also wall . the wall paper thin room seem conecte wardrobe american couple room next we keep we awake constanly talk go wardrobe ! way three star hotel good night sleep essential give miss . 
 Apr 1 2008 	 enjoyable stay Strand Palace Hotel 	 return weekend break London stay Strand Palace Hotel . book hotel mainly good price get roomsnet.com pleasantly surprise standard hotel . it excellent location right next Covent Garden close Lion King excellent show . the room look like ' ve refurbish comfortable , obviously massive London ' ve stay pretty small room . everything need . breakfast include think also good , buffet everything could want english breakfast , normally sort buffet food get cold sitting , however breakfast quite busy food constantly replenish hot fresh . we eat Covent Garden Saturday night Palm Court Brasserie excellent meal - would definitely recommend want something bit special pricey ( 3 course meal wine cost £ 70 2 people ) . although load place eat around hotel , TGI Fridays close kind thing . on Sunday take walk Covent Garden , Leicester Square , Piccadilly Circus , Regent Street Oxford Circus , stop Carnaby Street drink . surprised close attraction be . I would definitely stay Strand Palace Hotel next time ' m London . 
 Mar 30 2008 	 good price Amazing Location Decent Accomodations 	 USA stay 10 day prior Christmas 2007 . stay comfortable . room small , nice . quite modern american sheraton , marriot hilton , definitely lot nice european hotel ' ve see . room clean . get realize problem telephone , serviceman came immediately fix . bed comfortable . Maid service fine , bathroom tiny nice super clean . the location EXCELLENT cab city know hotel , not try tell . look cheap meal , 1 block away side Strand , great baguette place , pick sandwich 1.50 pound ( 3 usd ) . CHEAP London . sandwich fill good ! overall , budget- can not go wrong Strand , least experience . 
 Mar 29 2008 	 careful room get 	 stay hotel several time work past , however return three night break wife . the Hotel could well position , service require . my advice though wary get room 500 . ( do not know numbering floor ) situate opposite lift , go door . everytime lift stop hear bing bong , addition everyone quiet try come , wait lift . big thankyou american family , four shout try find room , hope well sleep find . 
 Mar 29 2008 	 Excellent Location - Ask Quiet Room 	 accompany Husband business trip , & amp ; Hotel book into . the Staff reception helpful professional , pleased room , clean spacious . ( think club ) . bed quite large comfortable . flat screen T.V . ample refreshment facility . seem norm , lot wardrobe space . we dinner Hotel , good limited choice - 2 3 course cavery 2 3 course la carte carvery . ( vegetarian option ) . good value money , tasty , restaurant almost empty . the main problem room face Strand opposite Savoy . seem exciting first , constant , mean CONSTANT traffic noise go . even earplug could still hear . like , light sleeper , please ask quiet room . know central London , thought would triple glaze something . breakfast chaotic self serve hot buffet . slight wait , nothing like queue form behind we . set , usual jostle around impatient people lean across . perhaps quick turnover waitress service . one toast grill . lucky , one go . however , woman behind grab least six slice bread toast , heaven help person wait behind she . on positive side , clean Hotel friendly staff perfectly situate Theatreland . would stay , long could guarantee minimum noise disturbance . 
 Mar 28 2008 	 Great Central Location middle Theatre Land 	 friend spend 3 night Strand Palace Hotel . , be top selling point central location . 's minute walk Embankment Covent Garden Tube Station also Charing Cross Rail Station . 's also slap bang middle Theatre Land many London 's top show yard away . be also plenty restaurant around Open Top Bus Tour stop around corner . staff friendly efficient . although room not plush lobby would convey , spotlessly clean everything need . breakfast buffet good indeed . top mark wonderful concierge arrange ticket give good advice show etc . overall , happy stay find hotel reasonably price , consider central location . hotel would ideal someone stay , 's bustling location walk back theatre quite safely . 
 Mar 27 2008 	 Strand Palace Hotel Perfect ! ! ! ! 	 home stay hotel ticket Grease & amp ; dirty Dancing . can not fault hotel anything . great & amp ; helpful communication Kevina reservation welcome Geoff doorman - room lovely - spotlessly clean . breakfast amazing also . buffet everything could ask - yum yum ! ! ! two minute walk Aldwych Theatre twenty minute walk piccaddily theatre Grease . ton theatre around . honestly perfect location even sightseeing ten minute walk face London Eye . Dont let bad review put hotel perfect . 
 Mar 27 2008 	 Brilliant Location 	 stay Strand Palace February two night . fly Standstead hotel web site give we perfect direction get Covent Garden station hotel ( approx 4 min walk ) . hotel lot large expect . check quick number bar restaurant . breakfast include stay breakfast lovely . buffet style plenty everything . purpose trip see Joseph West End . hotel could close theatre . stand outside hotel could see sign Joseph . hotel also ideal want browse around Covent Garden near Trafalgar Square . side hotel room small like we plan spend much time room hotel perfect . also near nice restaurant bar . would definitely stay go back London . 
 Mar 26 2008 	 Ok 	 Strand Palace great location right west end , ideal theatre sightseeing general . I disappoint discovered room bear absolutely resemblance nice bedroom picture website . my room , singe room one shaky unstable tiny single bed jam one corner room . I would stay hotel know bedroom look like advance . breakfast great despite long queue Saturday morning . staff fantastic give great impression hotel . hotel overprice suppose sell base fantastic location . 
 Mar 23 2008 	 Excellent Location 	 stay one night , would stay . hotel locate strand 5 minute embankment tube station . find hotel facility fine , stay room 6th floor , fine . hotel find little date part overhaul nice hotel location perfect . remember make note room number go , hall way like maze beer , might find wander around look hotel room . 
 Mar 17 2008 	 enjoy 	 read review sceptical book hotel - room give large super kingsize double bed - room clean . burffet breakfast good choice eat carvery second night also good . hotel clean , staff ok 
 Mar 15 2008 	 brilliant location ! 	 hotel lovely central . staff friendly helpful . club room clean reasonable sized dissapointed anniversary request room nice view overlook front hotel get one back look power generator ! woken 8.15am maid enter room housekeeping ... not know get big shock we lol . apart look reasonably price London hotel close theatre hotel fit bill would definately stay . 
 Mar 13 2008 	 depend ' e look 	 stay Strand Palace hotel 4 night . go business room already book , choose hotel . find well average , not expect grand thing place . room actually pretty nice , must one refurbish room new furniture , etc . space adequate one person , two could fairly comfortable . bathroom average - sized clean . say , noisy ... outer wall must paper - thin could hear street noise ( second floor , perhaps choose something high floor would quieter ) . place forgot invest seem hallway stairway extremely out - of - date look brass rail wear - out , stain carpet . breakfast decent- plenty choice , include & quot ; to - go - breakfast & quot ; we run . location good , within walk distance Trafalgar square , pretty much heart theater district . one annoying thing go reception ask converter hairdryer inform must purchase one 6 pound , $ 12 ! bit ridiculous pretty much hotel would loan ... also , large hotel many , many guest , line time like check - in check - out . much & quot ; personal attention & quot ; . overall , think probably price pretty good ( pay ) would fine business traveller young tourist little demand luxury . 
 Mar 11 2008 	 palace good value 	 think 's amusing people expect luxury booking value price hotel . strand no - frill hotel fantastic location . 's clean safe cheap London standard . room perfectly quiet . pay extra thing like wireless luggage storage . I would not recommend bath anyone 's unstable foot . step bath get onto slippery floor ! 
 Mar 9 2008 	 avoid ! ! ! ! 	 bad hotel ever stay . look good reception area , everywhere look spooky , cheap , worn hostel . location : make impossible sleep night . noisy , noisy noisy . inside : Decor old , place renovate , instead lift- empty hole , room door break 100 hundred time . hotel get restaurant open public ticket booking place , thus plenty weird look people reception area , connect room floor . general feel unsafe . at night could hear conversation neighbour come middle head . acoustic effect fact quite interesting , wonder earth possible . reception : staff recite nice formula , ask second time move another room , lady get ' bit angry ' ... would move somewhere else , late search . please , avoid . one hundred well place London . 
 Mar 6 2008 	 Decent Place 	 expect much less reading review quite pleased upon arrival even pleased room . room clean , good size bed large bathroom . expect european hotel bath cloth provide otherwise bath amenity present . lobby quite nice location perfect close subway Covent Garden well major theater . rate good London . good choice . 
 Mar 4 2008 	 Letdown ! ! ! ! 	 book Strand Palace 2 night weekend stay Feb / Mar 2008 . read hotel 's website , state undergone multi - million pound refurbishment . therefore email hotel advance request room refurbish area hotel . receive email reservation manager state although book Standard Single , request Club Single , could guarantee . on arrival check - in delay . present detail email receptionist , go away several minute return allocate ROOM 782.on enter room , totally amazed ! ! ! ! seem like enter linen cupboard minute ! ! ! . furnish tatty furniture badly need redecoration . bathroom small , grimey plughole full hair soapscum ! go reception state way replicate website . tell want Club Room would cost another £ 30 per night . ( request Club Room ... room like advertise Standard Single ) . ask would like speak Reservations Manager previously email . say reception staff allocate room . receptionist ask sort room would like state one like advert website . I allocate ROOM 569.this room big wall recently repaint . however bathroom look dirty shower head encrust lime grime . later evening notice room get cold turn radiator , find work . rang housekeeping say & quot ; oh need portable electric heater & quot ; .Having go evening , return find old batter dimplex heater ( see pix ) . heater control knob miss appliance statutory portable appliance test certificate ! ! ! ! go bed , go bathroom discover glass brush tooth . rang housekeeping 15 minute later porter arrive 2 glass . the follow morning write note housekeeping department ask heating repair heater replace one would meet statutory electrical appliance requirement . hand reception staff . on return hotel 4.30 , no - one look radiator replace faulty portable appliance . telelphone Housekeeping .The Housekeeper say & quot ; will see & quot ; .The porter bring suitable appliance . on check hotel wish leave luggage ..... beware & gt ; & gt ; & gt ; notice inside room state charge £ 2 per ITEM per day ! ! ! ! staff hotel ( housekeeping reception ) seem lax totally disintereste guest . having speak guest , also grievance cause frustration . book hotel caution ... well place London ! ! ! ! NB pix big room ( 569 ) also Reception tell CLUB ROOMS refurbish ! ! ! 
 Mar 4 2008 	 Excellent experience 	 need say something hotel location - strand ! ok , hotel well condition general , - 3 star hotel grade hotel good . experience excellent ! 8 day hotel say : staff - friendly , efficient , professional , ..... , good ! breakfast - usually queue solve soon , wait 10 minute , problem . good selection food drink . room - Club twin room - average , clean , tasteful , bathroom large enough good . bottled water free : - ) Room service - order breakfast room , time , high quality quantity , professional servicereception - usually queue long waiting , staff professional kind . concierge - good one ! ! kind , helpful , efficient , ..... , always smile ! think say all . I sister London , business pleasure time need find Strand Palace hotel excellent accommodation feel like home , time treat like guest . appreciate much staff hotel , busy , sometimes seem tired always ready listen , help , smile , first touch check - in end check -out help concierge taxi suitcase , say good Strand Palace hotel , service staff . next time hotel choice despite price wish low : - ) . 
 Feb 21 2008 	 great locationefficient friendly staff 	 pleasant stay Strand . Front desk staff member friendly answered question . everything room clean appliance work even waterkettle tea / coffee / biscuit selection room ! Central London location allow walk attraction e.g . British Museum , Embankment . I look forward future stay hotel . 
 Feb 17 2008 	 palace long shoot ! ! ! 	 return 2 night stay Strand Palace Hotel honestly say return . after long journey cold walk , arrive hotel early evening . check swift , like give choice floor would like , whether want quiet room . go room situate 8th floor , face back hotel . struggle least 5 min open door annoy , get annoyed saw size room - like shoe box ! ! use bathroom discover toilet flush . way , contact reception problem , assure would dealt immediately . two hour later return reception ask problem sort . receptionist extremely rude , say sarcastically , report course sort . go room find problem sort , extremely cross stage contact reception phone . , extremely rude receptionist say already know problem maintenance way . 10 min later , maintenance turn , initially arrogant , huff puffing , speak admit reception contact problem , 2 hour first report . man also show we another member staff already try fix toilet use carrier bag ! ! organise we move room , third time lucky find big room - find , toilet handle dodgy take attempt flush ! ! nightmare ! ! tired point decide stay room . thing notice stain curtain , outdated furnishing , wallpaper rip , crack wall hole door . overall , extremely awful value money - positive point location . 
 Feb 12 2008 	 Good Value Great Location 	 stay Strand Palace one night Jan. 2008 . location great , not think anyone go argue . outside hotel grand , bit disappointed interior renovation cover evidence historic nature building . 's small nitpick . service good overall . arrive check time ( Tube ) carry baggage . trouble check early , not even say anything . room spacious seem design & quot ; modern & quot ; 1995 standard , fine . bathroom clean nicer expect . bed comfortable climate control perfect . room come free breakfast , get try one thing upsetting stay . ask 7 a.m. wake call , receive , wake 2 hour late . 2nd time happen London , ironically . overall , location middle Theatreland West End reasonable price make thisa pretty good stay . would recommend someone not want pay high price new hotel area . 
 Feb 12 2008 	 Fantastic Location 	 Fantastic location weekend break within easy walk distance majority theatre tourist attraction . room small would spend time room centre London ? ? ! ! breakfast great staff friendly . would definitely stay - location ! 
 Feb 11 2008 	 great location 	 return weekend london . the hotel great planning go west end show . we go Joseph street hotel . check quick lobby nice room basis.we get two twin room , one front hotel .this room big bright room towards back . overall would stay great location would ask room towards front hotel 
 Feb 10 2008 	 Room lottery . 	 ' ve stay three time last year alone , mainly position . easy walk Covent Garden , Trafalgar Square , Leicester Square Theatreland . location wise 's ideal . ' ve notice room standard ..... standard ! ' ve stay club room last four visit . room much big other , plusher , bright , downright gloomy . appear lottery ! usually weekend , be room much , could issue ! cook breakfast buffet good standard . 
 Feb 7 2008 	 awful simply awful 	 book hotel 's wi - fi capability business trip . mistake ! get tiny , tiny room , check tv menu laptop wifi capability say accessable time . reception staff , concierge luggage people not helpful least ; keep insist wrong ; horrible customer service . never poorly treat hotel staff . not stay . hostel would better . bathroom spacious price superior single club room would do well Holiday Inn . 
 Feb 7 2008 	 great price location 	 hotel average . breakfast pretty good service great . staff friendly room clean . would recommend ask quiet side hotel make booking , front Stand noisy . rate reasonable location . 
 Feb 6 2008 	 go back ! 	 stay Strand girlie weekend . the location great . close Covent Garden . short walk Oxford Street within easy reach main attraction London . on arrival room ready . tell could leave luggage hotel free ( usually cost £ 2 ) .On return hotel book , wait queue . seem regular thing hotel . we ask card authorisation . nothing strange , limited card could take ask sign slip . never ask sign anywhere world . our room book together , different floor . correct confusion . the corridor bite shabby patch carpet . my room small adequate . furniture scratch worn . towel smell burn . the heating working ( February ) . bed insufficient time year . obviously quite cold night . we disturb noise corridor . we glad breakfast hotel . would wait day ! queue foyer . on check tell phone work would pay cash would take card detail send we receipt . ask sign , reluctant leave detail hotel fear card fraud . also ask authorisation slip return we . cause consternation inform never ask sign first place ! ! disappointing stay . intention return . 
 Feb 1 2008 	 Awesome Location 	 mother stay vacation London week 2005 . great close much . eye , covent garden , Westminster Abby , Trafalgar square ... much . would highly recommend hotel look modestly price room midst action . 
 Feb 1 2008 	 great location 	 strand palace perfect location everything . walk tower london , london eye london dungeon hotel . also lot good theatre show around . upgrade club room think good . perfect short stay . also nice ( expensive ) place get food . would definately stay . 
 Jan 29 2008 	 Great Location - Nice Club Room 	 nice club room hotel . small nicely decorate - contemporary / modern . also quiet room overlook courtyard . hear room quite noisy mine perfect . bathroom large though little tired compare room . I feel room service price outrageous 3 star hotel . know always pay odd , ridiculous . £ 10 sandwich ! even expense , principle matter ! large queue every time go reception pain ( especially queue day pick pass ffor Virgin gym road apparently run pass ..... call .... though one day , get pass straight away - appear lack communication staff ) gym way good . think get daily pass club room , worth visit . LA Fitness member particular Virgin Gym far exceed expectation . without doubt good thing hotel location . couple minute walk Charing Cross / embankment station . close River , Covent Garden theatre could possibly need . ( shame work ! ) 
 Jan 28 2008 	 great hotel 	 great hotel great location . stay friend weekend glad choose stay . handy shop , restaurant theatre . slight problem first night go bed discover dubious look stain duvet cover . telephone reception apologetic duty manager bring fresh duvet room . apart stay fine . staff nice friendly food Carvery excellent . bar price bite steep , even central London , drank bit slowly ! would definitely stay . 
 Jan 28 2008 	 bit small 	 another business trip another hotel London . Christmas hotel full people Christmas dance work . I single room yet poky room place . room cold way turn heating bedroom keep bathroom door open night try get heat heat towel rail ! room small lay impossible watch tv face across narrow room opposite end bed . way watch would sit 6 inch away ! pay wi - fi - £ 12 24 hour access least service connection good apart pay complaint that . thankfully partygoer not wake middle night may due wear earplug . could not say clean denial open shut cupboard door outside room ... Breakfast not good . include room deal notice pay seperately got whisk away another part resturant food look well . breakfast item luke warm say least strange scramble egg ever taste . bit like warm egg mayonnaise . I would go back would rather try somewhere else . 
 Jan 25 2008 	 say Tin 	 3rd stay Strand Palace . hotel ideal location . Strand , Trafalgar Square . easy walk theatre restaurant , attraction etc . tube station also road . make mistake trendy boutique hotel . large , functional busy efficient 3 * commercial hotel . if possible get club room far superior little providing get deal . direct offer Club double £ 99 Breakfast include . even club room space tight , ok - full wooden shutter keep noise light . so want stay city want great location competitive price recommend . stay anywhere else London 
 Jan 22 2008 	 great location 	 Great centrally locate hotel , Ideal Theatreland , Westend , Covent Garden e.t.c . I book hotel purely location theatre break . it nice reception / lobby area lounge , bar , shop e.t.cAfter read previous review , ask quiet room check . choice small quiet room large noisy room . go small quiet option . do not traffic noise , plenty noise corridor . literally hear everyone pass constant bang door . Maid knock door 8.30 - bit early ! ! room small hot air con . bed , pillow e.t.c . basic . breakfast good plenty choice . previous review , hotel 4 * lobby upstairs like 2 * . reason book location . 
 Jan 21 2008 	 Central 	 arrive friday 18 january 2008 . 5 Stavanger , choose hotel becase cental many attraction . ok hotel . expectation , bad surprice , nothing toilet , take nothig less 3 flush mission . equal 3 room . ` ment spend time flush toilet 5min . Discusting . 
 Jan 20 2008 	 quite nice hotel good value 	 choose hotel theatre deal . conveniently locate & quot ; theatre land & quot ; next convent garden . travel coach victoria station half hour walk interesting walk past big ben ect . hotel absolutley huge large reception seating area restaraunt . room ( find ) twin nice decent size clean bathroom . staff helpful morning buffet breakfast include lovely cooked breakfast . would stay . 
 Jan 20 2008 	 exellent London Hotel thatre break 	 excellent location theatre break . staff friendly helpfull . room comfortable spotlessly clean . breakfast good choice service first class even busy . pre theatre meal good value money . critisism room give face front bit noisy . would recommend hotel would certainly stay viste location future . John Rebecca , East Ayrshire 
 Jan 19 2008 	 Location plus 	 book direct hotel first mistake . price £ 118 compare £ 59 later find internet . the check incredibly slow . transaction take age wait 10 minute despite fact one person ahead I . my room tiny single bed cheek give price pay . check slow . hotel one check staff duty 8 am ? ! 's obviously popular hotel tourist central location save grace . 
 Jan 18 2008 	 pleasant surprise ! ! 	 want somewhere stay one night go Opera House convenience Strand Palace perfect . approach book little trepidation live London relatively recently Strand Palace reputation tired run . pleased say pleasantly surprised . we book Club King room good offer hotel 's website . room eighth floor small spotlessly clean ; bed extremely comfortable situation quiet . big criticism would hot even radiator . breakfast good efficient despite busy . plus point service continue 10:30 lovely not rush . staff come across short stay pleasant friendly . I would recommend hotel convenience efficiency . 
 Jan 17 2008 	 Great Location Comfortable Stay 	 Strand Palace short walk Charing Cross Station . stay 1 night theatre break . location exceptional . walk hotel 2 hour early check train early manage check we straight away . hotel staff helpful make we feel welcome arrive . lobby reception area posh get 5th floor stay , turn bit opposite lobby nevertheless still clean . we get room find clean tidy . huge bathroom nice ever clean . dump bag go about . check easy next day concierge kindly keep bag we small £ 2 fee whilst head around London go home . I could not fault hotel . stay ! 
 Jan 12 2008 	 nothing special 	 well locate hotel close several tube station , numerous restaurant , theatre many central London 's main tourist attraction . stay find plenty within easy walk distance busy generally safe unthreatening area . I book hotel employer 's travel agent . however definitely business hotel really set deal business . room small space work , wireless internet access ( typical London fashion ) expensive fitness facility . the lobby well light concierge reception staff friendly . generally busy lot tour group . room 9th ( top ) floor club single . corridor floor need renovation - paint work chip scuffed carpet cover black tape ( presumably hide hole ) . room clean faux modern simple furnishing . single small . view window wooden slide shutter rather curtain . see standard room really not sure inroom safe ( frankly come standard 3 * plus hotel London ) bottle water , justify 30 pound extra night . also claim club room plasma tvs - well small flat screen LCD tv count ' m sure accurate description ! room quiet ( guest room one side bathroom neighbouring room . stuffy hot . even radiator turn ( January ! ) window open enough let air rain stuffy . a / c imagine summer would rather unpleasant room . when compare hotel review London think fare favourably . set excellent room guest amenity match Radisson Kenilworth . would probably set Strand Palace ahead Russell definitely ahead Jolly St Ermin . 
 Jan 2 2008 	 Excellent service location 	 hotel prime location . walk distance nearly attraction , 2 min walk tube bus stop across street . room bit small clean cozy . staff extremely friendly , like first room give key 2 room choose . christmas eve arrive room find big hazlenut chocolate bar bottle red wine complementry hotel . food hotel excellent concierge service awsome . definetely go back . 
 Dec 30 2007 	 Strand Palace Perfect Location 	 husband stay one night theatre break see dirty Dancing . location hotel fantastic theatre land . literally 1 minute walk away theatre , 2 minute walk away Covent Garden 5 minute walk Trafalgar Square . hotel lovely , room modern clean , spacious , perfect every way . a full english carvery breakfast include price tasty . drink bar reasonably price , nice surprise west end hotel . I would definately recommend hotel friend family . dirty Dancing A+ . 
 Dec 27 2007 	 good stay 	 Location really upside hotel , right heart Theatreland perfect catch many show trip allow . there two entrance hotel one check - in desk clear queue , get wrong side shirty receptionist tell we off . we stay standard twin room obviously update quite time , also bad state repair plug socket loose , tap come hand shower dial also come away hand . we try upgrade tell not possible . in staff incredibly rude impatient , hotel tired looking get pass opulent stylishly furnish reception area lobby . ( not fool ! ) 
 Dec 5 2007 	 let rude unhelpful reception staff 	 good point : - club room clean well presented- Breakfast good include room price.- Breakfast staff friendly efficient.- Lifts fast always available . bad point : - Reception Staff unfriendly unhelpful . arrived greet grumpy man reception , mums pin do not work first time put act criminal , even though work perfectly second time ! - 24hour reception man 24 hour ! 4 am noise outside loud could not sleep try ring reception ask move room , time ( try least 15 time ! ) meet engaged tone , almost someone take phone hook . mean get dressed go find nobody desk ! eventually man come back obviously mean manning desk act sort inconvenience . politely ( consider 4 am ! ) explain situation offer we apology complain single room . eventually give we key another room quiet could get sleep.- ask quiet room low floor , give we ? room look right onto noisy street 8th floor ! hotel ok , be really let certain aspect . lobby club room well present hallway really look past good . however , could forgive ( male ) reception staff encounter have not rude unhelpful . need sort be like pay hardly anything stay ! 
