Finest 	 business traveller look trendy , chic , amazing experience hotel , W Montreal finest find . treat professionalism cordiality minute walk lobby . room spacious monstrous bathroom copious amenity . concierge always strive perfection matter need . small boite bar lobby perfect place unwind capable bartende hand Paul . everyone remember name make feel welcome . Bryan ( one manager ) exact ensure every visit perfection . drawback lackluster restaurant ( own hotel ) . choose W Montreal one favorite hotel world . 
 excellent stay extremely ` ` WOW have '' 	 decide take one night trip Montreal stay Vermont Thanksgiving fabulous stay W. upon check , upgrade Extreme WOW suite amazing . bose surround sound , espresso machine , dining table , living room , huge balcony , 20 foot glass wall , 1.5 bathroom . fabulous really appreciate upgrade . even platinum starwood member , place upgrade nice suite , nice cash point rate . prosthe location great able walk around Old Montreal see site . highly recommend Notre Dame Basillica , maybe 5 - 10 minute walk Hotel . train station also really close Montreal subway . staff really great . hotel extremely clean everyone ask help extremely accomodating . order room service dinner , arrive promptly food delicious . upgrade suite great , room not ready , give two free cocktail bar nice gesture . the restaurant superb . lunch upon arrival food service excellent . meal around $ 25 per person include appetizer . consthe internet not work first day wait room 5 pm . upgrade not mind much , might annoying wait long room actually book . workout room kind small compare non - NYC Ws , still couple elliptical treadmill small free weight area . other stay perfect definitely return hotel next trip Montreal . 
 Ultra trendy 	 chic ! trendy lot fun . drawback high price tag go ultra modern chic ! 
 Definitive ` ` cool '' hotel 	 be look place stay Montreal 's close & quot ; everything & quot ; , little different traditional hotel , . located edge old Montreal , within walk distance Place Bonaventure , gare Centrale ( train station ) , Bell Centre , rue Sherbourne , etc . decor & quot ; cool & quot ; ; think modern trip - hop european dramatic muted lighting , square edge , light sculpture . room large enough , flat screen tv dvd player , & quot ; see - through & quot ; shower ( something either enjoy ... ! ) service impeccable , bar place see , see . 
 simply Superb ! ! ! 	 person stay hotel 40 time year , able compare constrast well worst many hotel offer . W Montreal rank exceptional hotel - ? yes location ideal , close good bar , restaurant , architectural building . yes ATMOSPHERE lobby , elevator , hallway fresh modern elegance class , set right mood evening . seperate rest simply amazing thoughtfull STAFF . bartini must visit . Sou Bartini able pour sinful drink taste bud may desire , provide personal attention warmth always expect , rarely receive . sou one example make individual like continuously return W , . hence amazing personal attention , location , atmosphere , make visit W Montreal , treat sense . can not wait go back . 
 ahhhh modern luxury traveler look fun relaxation ! 	 staff W Hotel Montreal always fantastic ability remember name ensure everything perfect . kind doormen Paul Ielovcich coffee bar morning - everyone concern guest excellent stay . 
 home away home 	 frequent business traveler stay W Montreal maybe one two time per month usually day stay . find hotel centrally locate one enjoyable stop business Montreal . the room quite nice W Montreal one hotel window open allow fresh air supplement central air find sometimes stale . bed quite comfortable allow great night ' sleep . the business center tiny enclose room get quite warm . plus hotel like . fitness center convenient equipment allow good workout . the bar hotel quite good diverse afford different setting experience depend mood . bartini first level small quaint allow & quot ; Cheers & quot ; experience speak . Plateau Lounge second floor great relax , chat , maybe people watch also great spot grab drink colleague work . bright spot hotel staff . obviously travel frequently hotel allow get know various staff nothing high praise professionalism commitment service . Doorman always polite offer hand . front staff , say . feel like home . arrive long flight greet name ask trip etc . always pleasant appreciate . catherinel particular always find way make fellow business traveler stay hotel special . overall , opportunity stay business hotel Montreal find W stylish hip affording level business professionalism well compliment . hotel nice often staid . highly recommend hotel . 
 Dec 4 2006 	 Snooty nice 	 stay W hotel one night March good time . the hotel ' Ikea - like ' modern one thing appeal consider booking . conveniently locate across subway line get around town fairly simple . hear bad thing staff hotel dread attitude . drive 5 hour get , last thing really want unfriendly face . pleasantly surprised part . Front Desk wonderful , greet we warm smile offer hot apple cider get paperwork ready . concierge however , seem unenthused offer reasonable suggestion dinner . end find Dominos Pizza within walk distance hotel . the room clean stylish . bed comfortable chair .. think neat shower glass wall although suitable family friend travel together pretty much display anyone room portion . bathroom amenity wonderful ( make Bliss ) robe softest ever hotel . electric blue curtain nice addition room well . find however , room directory provide helpful term local area . area , find little difficult choose go stay . lose day snow able shopping mall . second day buy transportation / museum pass able navigate around see Biodome ( animal lover find entertaining ) , Biosphere ( disppointe although not know expect ) , Fort ( also disappointing ) Mount Royal ( stunning view city ) . also visit Old Montreal shop boutique find sale staff pushy walk incredibly rude look sale rack not buy anything . put little damper spirit : ( overall , trip okay , highlight stay W. Parking overly expensive everywhere boutique Old Montreal overprice offer . would return possibly spring / summer month try enjoy city course stay W . 
 Nov 30 2006 	 Excellent Hotel Superb Service 	 & quot ; W & quot ; Montreal incredible hotel -- chic , fashionable post - modern , embody excitement futuristic spirit Montreal . room quite spacious bathroom ( wall entirely glass ) immaculate large . definitely room would want share partner / significant . staff extremely amenable friendly . drawback gym -- auspex & quot ; detoxification & quot ; , gym contain weight - lifting equipment -- small dumbell , nothing worth . guest invite outdoor yoga session , however , prove quite enjoyable . overall , excellent hotel worthy repeat visit . 
 Nov 28 2006 	 Attitude 	 read previous review even book recent stay hotel , good idea expect arrive . decide go open mind embrace hotel offering . thing say place true : hallway dark compare hotel , room -- bathroom -- open . staff young pretty -- something not consider negative . one thing comment upon many review staff lot attitude . not find . everyone encounter park car carry luggage , Katherine front desk , housekeeper upstairs , concierge , server Otto , Max ( ? ) bartender Wunderbar .... friendly attentive need . 5 room trip Canada , one w ( # 512 ) seem large , probably lack wall space . nice view front hotel Victoria Square building downtown Montreal . could not hear noise street able hear music bar downstairs . bed comfortable . enjoy large shower . eat Otto one night enjoyable . food seem come kitchen bit slowside , large party restaurant time work biz , know really mess service others.in bar local tv channel film audition reality show eventhough lot , not seem keep bar staff friendly attentive guest . overall much enjoy stay W would refer other would enjoy type environment .... would definitely say 's hotel everyone . 
 Oct 16 2006 	 Nightclub vibe comfy bed ! 	 first time Montreal , first time W- completely take aback level attention give we email prior stay , surprised upon arrive attention not nearly personal . regardless , staff truly attentive , hotel smorgasbord sense fun room open shower funky furniture . could not help feel like nightclub times though- even doorman look like bouncer ! Wunderbar kind ordinary- extraordinary exterior . 's professional crowd Friday night , hotel bar . Otto lovely martini list quiet bar attach pretty restaurant . barmaid ( sad know name ) precious- wealth information , sweet nice . pleasure chat 2 night . location quiet . close Old Montreal though easy get anywhere else cab / metro . bed crazy comfortable , funky design great fun- would say could clean . gunk shower , stain wall bathroom . presentably clean , thoroughly . 
 Oct 8 2006 	 Funky 	 stay W Montreal one night recent business trip . get affordable rate ( $ 179 cdn ) hotel website Thursday night October . I absolutely love ambience ... young funky . reviewer note , hotel young young heart . old traveller might appreciate low lighting , music decor , certainly do . the location great ... meeting nearby hotel Old Montreal . downtown nightlife far away ( short cab ride 15 - minute walk ) , Bell Centre slightly close . staff friendly efficient . not problem , can not comment problem resolution ability , certainly seem competent . the room pretty funky . other note , shower bedroom divide blue transparent wall . , mean could make sure none sock snuck th shower , would nice addition romantic weekend away special someone . hand , might want stay W be town see hockey game splitting room guy . like Starwood property , bed comfortable . stay fourth floor hear noise nightclub building ( not go , hear excellent place see see ) .I love hotel would definitely stay . 
 Oct 4 2006 	 style substance . 	 W certainly meet expectation give reputation high style . room beautiful , bit edge . folk might put open bathroom plan ( large shower curtain / door , sink / bath sam & quot ; room & quot ; bed , large curtain pull around area privacy - WC door ) . put & quot ; nickel dim & quot ; expensive hotel . reputation allow customer buy anything room ( furniture include ) , fact phone call , internet , etc . free , expensive less expensive hotel little convoluted , opinion . with special discount available Starwood member , will probably go back , without , will opt property . 
 Sep 28 2006 	 great hotel ok location 	 hotel modern clean ; however , black wall dim lighting might little dark visitor . staff go way we . friendly staff Montreal . location good great . much night life immediate neighborhood ; Metro stop across street get anywhere city couple minute . 
 Sep 25 2006 	 wonderful wedding anniversary 	 stay W Montreal second anniversary love place . choose W look 5 star hotel young atmosphere . want wear tie go hotel restaurant ! Decor modern . room 's decor translucent shower sexy perfect couple ... huge bath rain shower . room spacious ( king bed ) - look like loft . eat Otto restaurant ( italian ) . love seafood plate . also drink bar ( 3 total ) staff professional . subway access directly hotel across street . 's short walk ( 3 - 4 block ) shopping area old Montréal . w safe neighbourhood . valet parking 37,50 . pay 239 $ wonderful room ( king bed ) Saturday . ask CAA card . 
 Sep 21 2006 	 asthma get smoking room 	 severe asthma . also sinus issue impact sense smell . book suppose smoking room crash . wake middle night major asthma problem spot place litter ashtray , albeit clean ashtray . room definitely smoke room . go walk come back pricey cold breakfast . staff physcially beautiful certainly far trendy anybody 22 year age . 
 Sep 15 2006 	 one good hotel ever 	 absolutely wonderful stay W Hotel Montreal weekend August 18th . hotel gorgeous -- room spacious lovely stunning view Montreal skyline . service outstanding ( polite helpful ) front desk valet staff room service restaurant personnel . Awake Spas fabulous -- enjoy wonderful massage facial . food restaurant room service truly top notch . highly recommend hotel business pleasure . -- Gail Boston 
 Aug 27 2006 	 Excellent service 	 decor modern may fit everyone 's taste , definitely something try least . take red - eye worried hang 5 hour checking - in . luckily allow we check - in 10:30AM even accomadate we top floor wife pregnant light sleeper . soon enter staff excellent . not think opened door carry anything enter type carry luggage . everyone passed greet we ask everything ok anything could we . concierge fantastic make reservation call ahead schedule anything interested . CA not BEAT SERVICE.As location good excellent . metro beneath restaurant nearby still atleast 5 minute walk . plan visit Old Montreal location perfect part city either 10 - 15 minute walk short taxi ( $ 7 - 10 ) ride away . hotel restaurant Otto good reasonably price hotel restaurant . recommend . would definetly stay . 
 Aug 8 2006 	 fantastic stay ! ! ! 	 return weekend stay W Montreal bunch friend . honestly say negative / issue stay . staff friendly helpful , hotel super sexy / trendy concierge helpful . I would disagree previous review room size . stay double room plenty big . bed pillow wonderful bathroom great shower tub ! would highly suggest stay next trip Montreal ! 
 Jul 18 2006 	 W Montreal 	 recently stay W Montreal 5 night , experience great pleasant would recommend highly . service prompt courteous . full staff would always greet wave friendly hello whenever walk lobby . stay able enjoy facility : Restaurant - Otto - good , bit pricey . dine twice without regret . spa - Away spa - seem like thought , like day spa . shower steam room facility . therapy satisfactory wife disappoint massage . gym - small , 3 aerobic 2 nautilus machine . rack free weight provide . 5 people would feel crowded . room adequate , definitely young touch . hallway room darkly light , feel calm instead threaten vibe . shower see - through bedroom , way cover , comfortable see roommate shower definitely place . hotel centrally locate , block Old Montreal block away shop Ste . Catherine 's . connect underground subway right across entrance hotel . have bit dispute final check use coupon , 2 day problem resolve personal e - mail manager . 
 Jul 17 2006 	 Great Hotel - everyone great none less ! 	 stay W first trip Montreal first week July could not happy choice . W Montreal could want sleak modern hotel . first Good : staff absolutely tremendous . pull ever difficult trick trendy pretentious snobby . fact , exact opposite . every single person staff friendly ( w/o come fake ) , greet we come go not hesistate help anything need . concierge ( Daniel Marielle ) great give we direction , restaurant option , thing do / see around city . Bellman also great hail taxi make we feel comfortable . definetly get pamper feel . property : would expect W. Nice bar downstairs ( although bit small ) . party go Saturday We d velvet rope never feel like intrusive . stay third floor not hear noise . there s also wide open bar second floor play music downstairs low decibel . good spot want take low key approach meet someone downstairs want take notch . room small . nicely appoint bathroom really make . sexy feel . sleek . location : easy walk old Montreal touristy site include Notre Dame church miss . also nicely situate across street metro . Montreal 's metro easy use couple color code line . 10 minute ride Plateau section City . good ( much small list ) : hotel extremely dimly light especially room . know add look / feel room could use little bit light . window face another building keep drape closed day . feel like tomb . seriously idea time day . course , could plus partying night want sleep day . mention room small . seriously not much room either side bed . small even NYC standard ... valet parking $ 37.50 night . service good bit much . another reviewer remark , $ 37 acceptable NYC much Montreal . outside thing great . would definetely recommend hotel single , couple everyone look good time great hotel . 
 Jul 17 2006 	 Sexy sexy sexy 	 really enjoy 3 day stay W Montreal . service amazing professional . atmosphere , room 's decor translucent shower sexy perfect couple try get away . good job W ! 
 Jul 10 2006 	 Cool hotel ; terrific staff ! 	 husband return stay W Montreal . fabulous experience . young , hip staff could nicer accommodate . upon arrival , literally whisk lobby offer complimentary drink even check . husband manage gobble & quot ; wow & quot ; cookie nearby hospitality table lobby time . fun , swanky dig every bit nice website photo . oh - so - comfy king - size bed plush linen faux fur duvet , more - than - ample closet space , big screen tv , load ( really pricey ) minibar , cd player , fluffy robe nice arrangement Bliss Spa soap product room . ok , shower alone may worth price . super - large showerhead long , glass - enclose area . nearly not leave . concierge tremendously helpful restaurant suggestion bellman achieve landspeed record hail cab we . two critique : 1 . staff glady take care every need , hotel not gift / sundrie store lobby run pick item . 2 . good restaurant guide room would helpful not want go concierge route every meal . 
 Jul 6 2006 	 Superb hotel visually impair difficulty 	 get back first stay W Hotel Montreal . starwood Platinum customer , normally stay Sheraton downtown Rene Levesque , spectacularly superb location W near Old Montreal make worth try . it be great hotel , two major caveat need know book : first , sort visual handicap , stay . low lighting lobby , elevator hall room floor brutally low . 's part W chain 's & quot ; look & quot ; , be fine . however , not know get , wife visually handicap diabetic retinopathy laser treatment eye year , result low - light situation essentially render completely blind . ( can not drive dusk nite , instance ) . entrance lobby comprise black marble step , be handicap access front door . guide wife hotel carefully would not hurt tripping step . second , noise & quot ; Wunderbar & quot ; night club lobby brutal . 5th floor could still hear , though thankfully mute white noise air conditioning . would guess anyone low floor would really problem thunder bass club sound system . on side , food outstanding , bed incredibly luxurious ( although could do without faux fur blanket .... fact room furnishing retro - high tech retro - stylistic feel like 1967 version Starship Enterprise Captain Kirk , except cheesy blanket suggest Kirk Romulan make outer space porn film ) .The staff probably helpful hotel staff ' ve encounter recent memory . strange hotel . part really like , part say need 25 year young fully appreciate . mileage may vary . 
 Jun 22 2006 	 Tre chic 	 stay weekend , might season ( June ) . sound problem , whole city seem quiet . upgrade mega room . spaciious , funky bathroom . highly recommend young couple . pro -check / efficiently . concierge helpful friendly . Metro entrance basement . love rain shower . on edge Old Montreal , walk distance nice cafe . bartini - small bar , kinda cute . hand , be face face bartender closet . con -Not close shopping area . Kinda quiet weekend . Wunderbar - table must reserve advance We d - Sat . even nobody bar . stool bar remove be . bathroom amenity - shower cap , shampoo bottle way small . miss maid service , call . biggie . sink , shallow . functional , water get splash place . sink fill quickly . no umbrella guest use . force buy one minibar . 23 dollar . 
 Jun 15 2006 	 funky neat issue 	 great hotel , funky room , ober cool people decor location . gym nice , functional tiny . way much noise 4th floor night club hotel , ask room 5th floor higher . the charge valet park conrol , $ 39 / night ok NYC Montreal . the people , great place everything would expect W. stay , grumble valet park pay way ( offer New Yorker way ... can not ask wife think guy cute ... like really help .. lol ) ask room 5th floor high . 
 May 31 2006 	 great look problem surface 	 well locate , look great ... previous reviewer warn : - room 4th floor need soundproof . not sleep wink thank endless pound bass hotel nightclub . , not warn check . - room overheat could not get thermostat work . - $ 35 / day valet parking - come ! ! , bad night 's stay comfortable bed , stylish room . I commend customer service . complain noise check next day comp us valet parking dinner Otto 's night . ( point good ) . 
 May 26 2006 	 great atmosphere forewarn 	 ' ve stay hotel business time due close proximity work . certainly exude style , reason ' m kind hook it . thing enjoy : - like many review state bed comfortable.- bathroom large , fit two clean ( yes , entire bathroom expose hotel room - close funky tuquoise curtain shy ) - location great vacationer 's edge old city . old world feel - Euro chic only.- restaurant food quite good breakfast dinner , service rather slow.- 's relatively new hotel , open early 2005 - hotel good shape wear . thing consider : - ' ve wait line check check see staff stand around . course stand around create uber cool image speak mini & quot ; Madonna & quot ; mike appear necessary keep place functioning.- Rooms 3rd floor directly nightclub . first hand knowledge hear muddle lyric distinct beat dance music 3 am . move room 2.30am fury , especially tell guest put 3rd floor advise . hey , ' m business early morning meeting - really think would accept upon checkin actually advise ? - 's family . be perfect really want part scene black slim clothe de rigeur hotel public space dim mood light . so know ' m get , like food know insist room floor 4 high , will back . 
 May 5 2006 	 clean detail miss overcharge credit card cool place 	 hotel really nice second stay . one nice W North America restaurant fantastic ! ' one good . bed comfortable furnishing unique . water pressure shower bit low otherwise nice bed . notice black washroom pee stain beside toilet spunk mark side wall never wash . room dim never see dirt lack clean occurr . cool environment . service bit lack . noise bar light building next door hard block . get soaps shampoo replace new towel second day request . ask three time cream coffee never recieve give . pre - pay line starwood W hotel site two night arrive , find record pre - payment tell charge credit card long discussion regard . tell take card preauthorize room charge incidental would charge card . sure enough get home , charge extra money addition two night prepay W hotel record extra money charge credit card . nice enough phone accounting department close due time change spend last day try get resolve get card credit back . sure get resolve quite inconvenient happen . 
 Apr 17 2006 	 okay - Best Concierge around 	 recently stay weekend W Montreal . low down:1.room simplistic high tech.2.the sink really functional 3 inch deep.3.b shower ever take ( rainfall style ) 4.the bar hopping however , people age range 18 – 205.the concierge amazing6.the service hotel pretty good7.the lobby cozy8.love coffee cookie day reception9.great walk location close everythingI really idea would stay . 
 Apr 3 2006 	 incredible experience 	 fantastic hotel ' ve ever stay . service perfect , room huge ( & quot ; spectacular & quot ; room ~ HIGHLY RECOMMENDED ! ! ! ! ) , room service food delicious , & quot ; Wunderbar & quot ; lounge / bar / club awesome way end night . I would not stay anywhere else Montreal . place PERFECT . 
 Mar 27 2006 	 fabulous hotel - pay 	 W Montreal terrific hotel . room comfortable limited space - even $ 359 / night mega room . bathroom spectacular unto bathrobe 2 high end bath product , see - through shower even translucent curtain draw limit roomate option . great couple , adequate business traveller would not recommend family . Wunderbar hype & quot ; & quot ; place not exceed expectation , restaurant great service , delicious food extensive wine list look ~ $ 250 least 2 people . in - house spa nice touch . term staff treat well 95 % time , although upon check front desk attendant really tell we room number policy check early - never good sign - complaint . overall young couple big budget well W , everyone else probably well choice . 
 Mar 24 2006 	 Unique design average service 	 return Montreal . stay W two night . this hotel unique approach hospitality industry . ultra modern design , young staff pride Euro - chic style . location : Downtown Montreal , easy access major commercial , retail area . room : comfortable bed , modern design well appoint appreciatte style . service : major let . staff young beautiful / handsome people , stop there . my room clean service average serice Hotel restaurant terrible , spite high price menu . if look chain like ( although part Starwood hotel ) may interest . business person , interested substance appearence . hotel would first choice business trip Montreal . 
 Feb 28 2006 	 .... unique ... great bed ! ! ! 	 stay W Montreal 2 night business . place would choose , nice experience something else , someone else dollar . the Hotel great lobby line type thing find room ... ... unique ! great first impression , fortunately overshadow poor service receive check - in . arrive hotel approximately 10:30pm not get check 10:45 . oddly enough one person front , one person check folk person ahead sort question , pretty much stand wait turn . young man check apologize walk counter , promptly check quickly . two bouncer man door & quot ; club & quot ; attach lobby slow move try pass order access elevator . look back pass apologize bag get close one bouncer walk . process give dirty look think would see . FORTUNATELY , uniqueness room quickly make forget lobby experience ! ! open door room suprise pleasantness find . greet sound CD guess play guest , begin explore room . bed absolutely amazing facilitated 2 excellent night sleep ! figure could seperate open concept bathroom bed pull curtain close begin wind night . UNFORTUNATELY , second night party night music play outside hotel make hard fall asleep . good thing bed good make hour lose sleep , listening song not quite understand .... : - ) room amazing ! ! service receive second rate ... perhaps exception ! please feel free drop question . 
 Feb 9 2006 	 watch Hotel Bill ! ! ! ! stay horrible 	 okay , avid traveller business pleasure , never annoyed hotel . first , 3 day stay , two day fire alarm ... second , joke , take 10 minute get hot water running tap . would let shower run least 10 minute actually get hot . lastly , frustrating check , luckily check bill , $ 50 dollar charge minibar use . reverse it . however , two week checked recieve another bill state expense incur check charge credit card $ 580.00 dollar mini bar charge ........ whole mini bar would even equate amount . secondly call complain get charge reverse , hold forever , leave message one call back.it 's nice hotel not believe HYPE .... way well hotel Montreal wayyyyy well location . 
 Feb 7 2006 	 follow advice other ... 	 stay first week January read traveller comment book particular request . ask room bath , twin bed instead king . bath modern , comfortable build two , share ! room comfortable , ever bed first class . room price whilst cheap ( starwood card holder ) competitive . find impressive staff seem enjoy job . minor thing irritated ( free paper arrive even request , went buy one ! ) attitude 100 % customer focus . friend find rain shower lack force large clear & quot ; see & quot ; shower room wall ( sight indeed bed ! ) bit disappointment . style substance . I would go back like hotel get crowd night owl , corridor could echo noise . the weekend sleep well . whilst garage pay ( unreasonable charge city location ) valet driver efficient deserve tip ! dinner get taxi Le Petit extra , excellent meal ( sweetbread yum yum ) wine list impressive reasonable middle range price resturant . 
 Feb 1 2006 	 wait Visit - Uber cool ! 	 stay exquisite . staff attentive , courteous always helpful . time exceed guest expectation treat guest special experience seemingly become archaic consideration scant importance - W Hotel Montreal stand . level service , presentation , room finishing attention detail ; everything phenomenal . I resolve seek w whenever travel future , whenever possible . 
 Jan 24 2006 	 move ? 	 enjoyable experience ' ve ever hotel , anywhere world . gorgeous space , unbelievably accomodating , considerate service , fabulous amenity . staff make beautiful hotel incomprable one . 
 Jan 20 2006 	 Fabulous ! 	 return long weekend W Montreal . great ! hotel open year , appear work open glitch review suggest . the service top notch , location convenient . ( get metro without go outside . ) design modern yet comfortable , especially bed . room quiet . people stay room next we , hallway hear sign life . review note , bathroom shower glass wall . love , people privacy conscious get room . hotel really cool bar attract lot non - guest look see see . really get hop 11:00 pm , may want request room not directly bar . I highly recommend hotel . 
 Jan 5 2006 	 W - good w nice ! 	 platinum member w/ starwood year … so room upgrade … it ' suite , large enough two . bed clean super comfortable w/ lot pillow . shower , yep , see , swanky enough , lack water pressure . , hotel exciting place stay . good bar first floor . stay young ready fun EU - like city . side pay $ 15 park ( $ 30 valet ) . 
 Dec 11 2005 	 much well - try Lowes 	 order non smoking room . chronic sinusitis often sense smell . double check get sure room non smoking . non smoking room not available come back hour later . , dispense front desk banter , go room crash . die later . ashtray everywhere , Solution ? check go Vogue . racket , fuss , complaint . simply never go back there . room tiny overprice ... greatly overpriced get . see shower ... like wow ... 
 Dec 10 2005 	 fun ! 	 first stay W Hotel say enjoy . hotel certainly stylish flair , staff attentive , bed comfortable . food good great . this hotel well - suit young hip , couple , business people travel alone . dim lighting , nightclub - like atmosphere , ever - present urban / techno music would likely turn - off old people ( e.g . parent grandparent ) vision impairment . find difficult fully illuminate room without turn every last light . my room glass wall shower person shower could see see other room ( Priceville Hotel Kauai , Hawaii glass shower turn opaque as - need basis , not know W Montreal not similar set - up ) . bottom line , certain everyone room ok take shower front other stay room . overall good experience -- would stay . 
 Dec 8 2005 	 W wow ... 	 recent stay W one bad ' ve . $ 299 room exude feeling intimacy warmth gloomy lighting , drab blue brown colour combos dirty washroom separate bed blue curtain . ' rain ' shower low pressure feel like drip . bathtub , fill hopping , HORRIFIED find side wipe ! complain front desk receive insincere apology accompany pretentious attitude stem ' try hard hip ' . bathroom floor ' hair ' nail clipping clean three day . light super dim control brighten place evening . during one morning , order carafe coffee . bring one cup . mention front desk make feel fault ask two cup even though two adult registered room . overprice coffee barely drinkable . breakfast try restaurant downstairs . one plate ask substitute ham bacon . forgot later bring bacon charge we . meanwhile group four near table wait 30 minute breakfast never come . leave distraught ! ! one particular morning lot work room . rush bite eat get next appointment , go restaurant ( around 11:15am ) find go serve food least next 15 minute ! result quickly go back room , dress freeze cold weather find restaurant street . type hotel restaurant open day serve food certain hour ? GAWD ! warrant never stay dump ! result switch Sofitel next week greatly enjoy stay ! ! ! 
 Nov 26 2005 	 Fun Stay W 	 Stayed W 2 night Oct/05 . ' ve Montreal many time , basically town eat , club , drink friend ... basically , much hotel except sleep . get deal online $ 199 cdn two night , figure would try w.our room exactly & quot ; peek - a - boo & quot ; bathroom ' ve hear describe - bathroom door , shower wall glass face bedroom . find ... uh ... fine we , good family friend travel together . really concern , discover turn room light , bathroom light , not see - through . : ) bed super - comfortable ... king - sized feather top , quite nice sleep . lovely bedding pillow too . as concern ... yes , find hallway slightly dark , elevator music slightly loud , not find staff rude unfriendly . treat we well whole time . addition , mention get home , discover additional $ 5 charge Mastercard minibar item never consume . take one email , correct immediately , along apology email send . definitely speak quality customer service . would stay ? probably $ 400 ' m quote next trip Montreal ... could get $ 250 less would back flash . 
 Nov 16 2005 	 w wonky 	 one star 's flattering , hotel -- -- - big one . service non existant , room cold feel lack type humanity , front desk staff beyond stupid wonderbar wonderless , feel like bad airport lounge , need stay favour not ... even food beyond abismal , inward look room make feel like cage animal , Montreal much well . 
 Nov 9 2005 	 Trendy trendy ! 	 ok , not need wall bathroom , will fine . my husband mortify bathroom not wall , completely open bedroom . door toilet , curtain seperate bedroom bath area . friend one window wonderful room inside courtyard face business building . feel tomb . and be feel like . never ounce sun . our room big faced front building , quite nice . spa absolutly wonderful masusse gem ! go back 2 day row , plus really great facial . bar trendy fun , like would expect . it be cool , watch get view park ( say ) . plus be right next historical area , nice . 
 Oct 31 2005 	 Nice Staff Hotel Fair 	 wonderful staff , try hip , Hotel fall short . Fancy & quot ; mood & quot ; light room bad ' ve ever experience travel World . could barely see bathroom room much well . way , bathroom separate curtain , door towel nap whatsoever . the & quot ; mood & quot ; music Hotel loud ( even elevator ) .I ' m complainer , report observation . say , however , extremely nice , courteous staff . personally would recommend Hotel . 
 Sep 17 2005 	 great place like design trendy urban location 	 W Hotels general like interior design , lounge , stay trendy location - willing pay . one Montréal good example : great design , colour , style , furniture , small detail , public space etc - really nice unique . room great suitable long stay . great attention detail . staff reception friendly time really able cope cue people wait service . internet connection room overprice ( 20 - 25 CAD ) even fast . great place definitely good occasion try live modern , urban surrounding - consider redecorate home ! 
 Sep 5 2005 	 wonderful ! 	 wow , ' m sure recent bad review . return today , everything perfect . ' ve recent bad experience Starwood hotel , bit skeptical . everything impeccable . check little early tell would check luggage . give free cocktail upgrade & quot ; mega & quot ; room apology . ( note use Starpoints stay , afraid room service might bad free -- wrong ! ) room spacious clean . decor probably trendiest ' ve see W. bathroom enormous , sink , bathtub , shower ultra - modern . note bathroom & quot ; peek - a - boo & quot ; style , travel someone not know well , choose another room type . little privacy , bathroom & quot ; door & quot ; large blue silk curtain . staff friendly professional . bartender nice , Wunderbar really popular . gym small side well equip treadmill , elliptical , bike , stairmaster , free weight . equipment LCD tv ( bring earphone ) . location convenient , everything reasonable walking distance . metro stop also adjacent hotel . first time ' ve stay Starwood hotel staff actually & quot ; fix & quot ; goof ( room available immediately -- big deal , anyway ) without say something . also give we 4:00 p.m. late checkout . , would normally qualify 4 - star hotel , give 5 star flawless service quality room . would definitely stay plan . 
 Aug 23 2005 	 's cool place include cold service 	 recently stay W hotel 1 5 schedule night . let start summary say full rate pay guest . regardless fact , plan stay W sister show stylish young side Montreal . arrive early request early check - in , front desk agent hurried room clean discover request wrong room . start many trouble . I stay W Seattle treat well expect service hospitality would . instead , believe layer front desk error cause quite embarrassed trigger quite mean unprofessional streak . they claim reservation fraudulent would pay advertised rate stay elsewhere . came point upgrade note several issue . executive assistant calmly patiently explain error able reach suitable alternative . hour later receive another call tell still could stay exist reservation . a long story short , spend time debate staff enjoy trip . regardless back office policy , bend backwards fix error staff attempt HR Director sharply tell waste time . room cool contemporary styling unique upgrade , however , view neighbouring atrium building , amenity within room lack . request stay parkside suite . find review mixed site , honestly believe depend appear fit & quot ; W & quot ; type , pretentious rude staff . please note Hugo concierge Marie ? extremely helpful exactly hope service would like rest staff . I contact General Manager incident hope professional resolution terrible experience . hear back let know outcome . this hotel suitable type interaction staff except mention . W hotel suppose service business . think complete waste time spend money place service treatment completely uncomfortable stay generic hotel top line service . W Montreal need review customer service policy find professional quality way deal customer . 
 Aug 19 2005 	 impeccable service style 	 look modern & quot ; lounge - like . & quot ; staff service incredible hotel . great location . 
 Aug 9 2005 	 Beware Montreal W 	 well high low : high : roomsdecorbathroomsromanticlows : price everything ( room , mini bar , movie , food ... ) loud music come Atrium side night ( please book park side ) coffee roomswill try another boutique hotel recommend user Montreal . 
