awesome 	 hotel staff fantastic , location slap bang middle times square absolute awesome 
 Job 	 stay two night past weekend Renaisance Times Square . NYC dozen time past 10 year , however stay Times Square hotel . certainly faint heart . would recommend location anyone except enjoy pushy , loud , touristy crowd child . part city location convenient , not deal people inexperienced city walking sidewalk etiquette . say , hotel nicely modernize renovated boutique hotel . lobby good size update furnishing . guestroom high floor nice view TKTS booth . like king bed settee seating . love bathroom , expecially sink shower . negative thing room quite musty smell , almost like mildew . eat breakfast restaurant one morning . completely overpriced ! ! ! $ 60 total two people egg bacon . eat breakfast another morning block away half cost . staff great ! Oscar check super nice ! , never interact anyone else , fine we .... would recommend famile travel child , not mind crowd mayhem . 
 Dec 30 2005 	 's true ! 	 be true ! fine New York hotel will find prime location . stay one week Christmas , unfortunately coincide transit strike however location , not really matter ... everything yard away . room locate 25th floor despite doorstep Times Sq never hear thing . staff excellent concierge extremely helpful view Foley 's breakfast see believe . hotel add Christmas vacation without doubt would not hesitate stay Renaissance next visit New York . 
 Dec 29 2005 	 Nice Hotel - Great location 	 go Renaissance Hotel husband Christmas Holiday . first thing notice great location . Times Square least . location hotel ideal able see everything . light sound exhilarate . pick hotel luck Renaissance Hotels past . good choice . the room large New York standard . room look 7th street billboard . great . room King bed foyer area fridge coffee area . also chair desk . big enough 2 people . bathroom huge tub large sink area place many thing we . overall room could use freshen look like not update quite . bed comfortable great . sleep really well . hotel personnel friendly overly compare Renaissance hotel . hotel staff friendly wanted help way . barely say 2 word . one day take nap around 4:00 housekeeping barge right . fortunately lock could not get . sure except maybe turn service . annoying . go restaurant can not rate . can not beat location size room . price get good well . would definitely stay would like see something maybe quiet area . 
 Dec 9 2005 	 great hotel staff 	 Location , location , location right middle Time Square . look restaurant window place ball drop New Years . look bar window see Time Square . enter hotel first floor take elevator lobby . 3 4 floor street lobby . floor find restaurant bar , great view Time Square . staff could friendlier helpful . go one day forgot take disturb sign door . return room night around 8 pm , message phone . call see hotel checking see everything ok . ask could come make room see forgot take sign . tell go back 8:30 return room completely make . 
 Nov 17 2005 	 Great Location 	 brother spend 3 night Breeders Cup horse race last weekend October . unfortunetly buddy 's horse ( Singletay ) not win . still great time . first time NY location hotel could not well . sit heart Times Square . hotel ok , nothing special . restraunt ( Folley 's ) nice all - u - can eat breakfast $ 20 pretty good price NY . view Folley 's awesome . use Marriot point stay nice would not spend $ 409 / not charge room . feel free e - mail question az2323 @ yahoo.com 
 Nov 16 2005 	 Brits not call home ! 	 stay last week , lovely hotel , room gorgeous , huge bed . bit dusty around furniture whole excellent . Bang middle times square really handy . problem though , call home room phone , big mistake , huge mistake , get bill 78 dollar ( 46 pound ) 13 min saturday morning Uk . astounded really put dampner day , complain tell & quot ; yes expensive . & quot ; want check kid ok , subsquently not use phone bar mini bar serice hotel fear charge . not let put , still great hotel , try save upset feel . 
 Nov 15 2005 	 Amazing 	 spend first holiday New York stay Renaissance , highly recommend , see hotel travel agent recommend area peep show etc , we family ! New York totally amazing would recommend helicopter flight night bus tour . 
 Oct 24 2005 	 great hotel 	 stay long weekend Oct. love hotel . room lovely , clean quite roomy . location great theater , restaurant sightseeing tour . staff helpful friendly . one night lot noise hall group woman go back forth room , slam door talk loudly . one call desk send someone ask quiet . never eat restaurant , view wonderful . elevator quick although hotel sell weekend never seem crowded . would definitely stay . 
 Oct 20 2005 	 fantastic hotel family ! 	 stay Renaissance five night two child , age seven five . moment arrive leave , staff friendly always fun kid . also dinner Foleys , great staff . meal delicious , worth cost . room spacious clean . bathroom lovely always well stock towel . absolutely complaint would definately stay . subway corner lot major attraction easily accessable . two recommendation - go & quot ; Jamba Juice & quot ; right beside hotel amazing smoothie , & quot ; Pax wholefood & quot ; one block side hotel amazing breakfast . 
 Sep 29 2005 	 Brilliant Hotel ! ! 	 stay Renaissance 3 night first part honeymoon ! could not well ! location No1 . right times sq ! arrive bel hop take bag away , check see honeymoon congratulate we give we free breakfast day choose ! room beautiful , marble bathroom , bed HUGE ! could fit 6 people ! view spectacluar ! eat FOleys restaurant lovely , food top notch view onto times sq . everyone v helpful , want call home ask use phone , lady desk tell go across street Smileys Shop get phone card $ 10 would go along way - nice ! can not praise hotel enough , make start honeymoon v special ( shame Florida Hotel - see Doubletree universal review ! ) reccomend anyone special place stay ! 
 Sep 28 2005 	 Excellent Hotel 	 not let small informal lobby confuse . room spacious New York City , well decorate dark wood nice mini - bar . bed comfortable , location hotel beat want middle Times Square . 
 Sep 28 2005 	 great stay ! Perfect shopping show ! 	 group 4 woman stay plenty room large average New York City hotel . staff great always helpful find cab , shopping , great restaurant give direction walk sight . housekeeping staff wonderful always friendly . accomodate request late checkout well . room two double bed , great view Hershey 's Time Square , good sized bathroom . 19th floor water pressure air condition great working order . the location wonderful ; block Rockefellar Plaza 5th Avenue . convenient subway well . I would definitely stay ! 
 Sep 13 2005 	 Loved Renaissance 	 stay Marriott Renaissance mid - week September 6 - 8 , 2005 . pleasantly surprise comfort room excellent service receive everyone encounter . read many review tiny , noisy New York hotel room , surprised ample room , quiet . time hear street noise ambulance go siren blasting- even noise relatively muffle . request king size bed , instead get two double bed . matter - incredibly comfortable , comforter pillow . maid service impeccable- room spotlessly clean . not meal since always go . find great place breakfast 51st Broadway - deli call Ellen 's . food inexpensive good , waitress , Broadway star & quot ; wannabe & quot ; provide great service even perform song two diner . lot fun , particularly kid see family . wonderful pre - theater dinner Tout Va Bien , french restaurant 51st 8th . know pepper steak authentic french food , 3 course meal ( delicious ! ) cost $ 25 . 
 Aug 23 2005 	 Terrific Hotel 	 spend weekend city friend get great rate Reaissance . somehow date mixed , call confirm let know apologized get rate day need . staff could not friendlier helpful . room nice pretty spacious clean . great view . prime location . restaurant spectacular view Times Square . health club great ( totally empty ) . highly recommend . would definitely stay . friend stay Edison hate everyone rude . 
 Aug 20 2005 	 great Stay Times Square 	 Renaissance Times Square perfect place stay tour New York City . stay three night August . hotel right middle Times Square perfect getaway noise crowd right outside door . room good size , nicely furnish bathroom outstanding . people terrific , helpful need pushy . Foley 's terrific view Times Square , service great , prepared pay ambience . 's expensive . room good price location . , would highly recommend hotel . 30th anniversary first visit New York City Renaissance make perfect . 
 Aug 1 2005 	 great place clean room decent price 	 staff great ; room clean spacious update furnishing . food decent price comparable establishment near . location perfect ' well want stay near Times Square . price competitive quality hotel location . ' stay again … 
 Jul 17 2005 	 great location ... 	 can not find well location want middle action . despite , hear noise street ( 14th floor room face 7th Ave . ) . hear noise room next door along plumbing noise . room spacious NYC standard relatively attractive . bathroom lot countertop space stuff , deep tub , Bath & amp ; body work toiletry . Mattress comfortable hotel bed . now minus : NYC guide book mag room help plan day . despite non - smoking room , smell old cigarette smoke . AC never get cool enough us maintenance unable anything . $ 13 / day internet access ! towel wear , sheet get real thin . blanket shabby old . pet peeve -- non - fitted bottom sheet non - fitted mattress pad . stay tuck together create lumpy sleep surface within first 5 minute . hate ! , would probably stay despite wear - out linen location great . not mind lump , go get decent rate . 
 Jul 14 2005 	 Birthday Treat Right Times Square 	 take Mum New York 75th birthday choose stay Renaissance husband spend 4 day back Nov 2003 . stay hotel 10th 17th June ideal place smack bang ontop Times Square . mum first visit New York one remember forever fall love City People moment arrive . one real complaint Virgin arrange travel send notification Mums 75th birthday special treat ask room overlook Times Square not care floor . get side view Times Square room clean bed comfortable ' ve ever sleep away home - mum good sleep ever hotel . agree lot people bathroom look wear towel little threadbare ( fluffier towel hotel Heathrow ) bed linen spotless . information hand little disappointed day birthday not leave little card fruit wish happy birthday little let hotel time around dampen time staff helpful although could learning smile little approach . two occasion return room long day sight see shopping discover room door leave open clean . first day tell tell would report Housekeeping Manager . unfortunately next day come back thing door open happen member staff complain horrified thing happen quickly offer we free breakfast two day . ask could make dinner second day Mums birthday mention man reception promptly tell accept breakfast leave little disappointed handle thing . thankfully nothing take room ( look outside door close ) valuable inroom safe . all fabulous time New York stay Renaissance good think next planned trip try another hotel Times Square area possibley Marriot Marquis dinner birthday treat wonderful mum . 
 Jun 30 2005 	 Great Location ! 	 stay Renaissance New York Hotel Times Square June 11th -13th . New York City , still lot research pick hotel . disappoint choice . hotel locate right heart Times Square . tourist local alike impressed view room -- especially night everything light . room immaculate hotel provide plenty towel bathroom amenity . bed real comfortable extra pillow armoire . thing aware mini - bar sensor -- everytime touch something , automatically bill room . find move thing around put stuff fridge , notice small sign tell automatic billing . call front desk ask , confirm bill three item . speak Manager explain happen , charge remove , supply us mini fridge free charge . 
 Jun 29 2005 	 extremely Comfy Establishment 	 get back 4 night ( 6/29/05 ) . property immaculate room quite small american standard , , comfortable . pillowtop bed outstanding . not know other come say room & quot ; tired looking & quot ; & quot ; need update & quot ; , find room decorate warmly tile entryway nice touch . marble bathroom roomy enough wife . complaint showerhead , one stylish , wide brimmed head drip . would much rather see adjustable head . let add plenty hot water . bed excellent shape , warn pilly . not know , room totally cutoff outside noise . 8th floor not hear thing . interestingly , 50 foot directly room new building construction crane eye level window . not hear single sound it . staff friendly check - in efficient , even though could not get key 4:00pm . take opportunity walk street 4 hour . platinum member Marriott Rewards program bit disappointed find hotel Club Floor Concierge Lounge . hotel make provide wife free buffet breakfast restaurant ( sorry , 's offer elite member ) . since charge $ 20 / pp buffet , save bundle . location can not beat look stay heart Times Square . Broadway subway stop right outside front door . would definately recommend property anybody want thick . 
 Jun 26 2005 	 terrific time ! ! ! ! ! ! 	 WOW ! incredible time Renaissance Times Square ! stay 7 night business trip . service stupendous ! many box ship hotel , need Broadway show ticket , want ton hanger , since long stay asked get ( free ) room refrigerator ( one drink / alcohol cost want empty one soda ) . wonderful ! problem late check - everything do smoothly effortlessly . last day luggage put storage hour - get back run upstairs use bathroom time get downstairs - luggage ready summon taxi ( station wagon type many pound luggage ) air conditioning crank high . room service great , ! breakfast every morning try everything menu . hot serve right time newspaper . helpful friendly staff . room extremely clean spacious price . plenty workroom visit colleague . free in - room safe . great closet space ! can not say enough bed . fussy sleeper princess / pea complex . bed incredible -not soft hard pillow . hard check . amazingly , room quiet . notice sleep siren . ( stayed 21st floor ) . also , never hear water run room ( drive crazy ) . Bathtub deep lot hot water ! view room great look Broadway . hotel 7th Broadway . pic always see New Years triple billboard backside hotel . can not get close Times Square unless blind flashing billboard . cheap tix booth right around back . close safe ATM right around corner . like food like home - McDonalds , Olive Garden , Sbarro , Red Lobster , etc . - be within spittin distance . really good Bubba Gumps hop - skip . like something local many deli ( one like soup nazi Seinfeld ) restaurant around corner . terrific sushi everywhere turn . Hersey 's Popcorn Factory corner . Broadway show right within easy walk block . concierge get great seat soldout Wicked . spend number day telephone sort seat stay get . wrinkle stay - hotel 's fault - first night fire alarm go - seem idiot fifth floor decide ignore sign hang clothe sprinkler - broadcast speaker system helpful - although throw thing around room able find shoe . see , happy definitely stay next time town . 
 Jun 15 2005 	 fantastic hotel great location 	 return stay renaissance four day break . arrive 10 pm & amp ; tired . soon walk , luggage take & amp ; send straight room , check take couple minute , smooth & amp ; efficient . wonderful staff , friendly helpful . room great , size fine quiet noise bustle Times Square . bed absolute heaven comfortable . breakfast buffet little expensive good start day . excellent location - subway 5 min walk , catch line 1 south ferry Statue Liberty & amp ; Ellis Island . recommend early start , big queue security check etc . empire State Building . order ticket line , easy & amp ; save time . recommend tour bus downtown loop , hop , hop . catch behind hotel . manage get late check extra charge , smooth , problem . definately return Renaissance . highly recommend ! ! ! american welcome , smile , friendly fantastic time ! ! ! ! ! 
 Jun 1 2005 	 great location .... ? 	 first trip NYC alot careful thought chosing & quot ; right & quot ; hotel , great help tripavidsor review . location - absolutely fantastic ! ! - slap bang middle Times Square - not joke ? check smooth courteous , ask high level front face room get problem . View Times Square area first class ! action day night , surpisingly little noise ! room , honest little disappointing : & quot ; tired & quot ; look , bathroom general lighting poor . bed comfortable ! ! - Linen little worn - hole sheet daysmaid service shoddy : family 3 stay 1 room consistantly enough towel / coffee / cup etc 2 despite daily reminder - big deal , take edge , keep ask basic ! Heard Conceiage & quot ; OMAH & quot ; really live name : great , give we sound advice someone really know talk - great guy ! excellent . do eat hotel - many place try - deli 's fantastic - especially Maxi 's deli / bar / restaurant road - go every day - full eat every day ! ! ! New York food portion s000 big ! ! ! highly recommend water taxi service - great way see Manhattan inexpensive ! would come back New York - yes - already plan next trip , seriously think stay Doubletree Suites opposite Rennaisance - check - new re - model suite good ( although agree review & quot ; bland & quot ; ) certainly fit bill space , cleanliness , comfort , securtiy location . Stayed Renassaince week - love location , disappointed standard cleanliness , attention detail regard maid service & quot ; tired & quot ; look room - can not quite put finger Renassaince us - think expectation high ! 
 May 31 2005 	 Awesome ! 	 stay Renaissance early March absolutely love . 's perfect location- right Times Square , near theater , right Metro station , etc . room small , be NYC room small . bed comfortable , great view Times Square window . service excellent , concierge extremely helpful . not able eat restaurant look right Times Square closed renovation , tell many 's prime place eat theater , get drink dessert afterwards , etc . hotel Times Square price expensively , worth prime location- hotel area would great location not expensive would Comfort Hotel- however , difference ( luxury wise ) one other noticeable . 
 May 30 2005 	 Great Place 	 return first trip ever , must say , stay Renaissance great ! good thing hotel location . locate right center time square , short walk 5th ave . , Broadway show , store , ect ( look great Broadway ticket discount price willing wait line visit " tkts " booth locate 5 second south hotel ) . hotel staff extremely friendly courteous . concierge desk knowledgeable assist . room nice , clean full information help plan stay . bed comfortable hard get morning . great stay , definitely return hotel next trip . 
 May 4 2005 	 Big Bustling Place Great Little Hotel 	 first , many great hotel NYC stay . modern , upscale hopping , especially use NY . 3 4 star hotel well elsewhere ( travel ton ) . ' ve stay Hilton New York , Westin Times Square , Sheraton New York & amp ; tower , Marriott Marquis , Westin Essex House , Crowne Plaza Times Square . nice place can not go wrong . want luxury wish go 400 - 500 price point ... ' ve hear Ritz , Trump etc . unreal . stayed day work . love . clean , modern comfortable . reasonable compare property . nice room , new bed . also quiet nice NYC find action want outside . this big hotel many restaurant choice , bar huge lobby etc . top line $ 500 - 1000 night & quot ; 5 star & quot ; hotel service & quot ; impeccable & quot ; . look friendly , clean , quiet , reasonable stay good location ... will not disappoint . 
 Apr 27 2005 	 great choice 	 decide stay hotel first choice start renovate . ' m glad change hotel , staff great bed well ever sleep . request high floor room get one 21st floor great view Times Square . if come New York make hotel first choice worth every penny . we book hotel Virgin Holidays far cheap net rate . 
 Apr 27 2005 	 great location ! ! 	 spend 5 night 3 friend Renaissance Hotel Times Square , New York . location fantastic , right middle action . room 19th floor ( request Virgin holiday ) two large double bed comfy difficult get . find staff oblige especially resturant breakfast day . great view . travel New York intend go Empire State would advise prepurchase ticket queue two hour . would recommend see Mamma Mia , brilliant , also open top bus ride round city . macy good shopping , Bloomingdales classier sell thing high price . have great time folk . 
 Apr 26 2005 	 Great Hotel wait stay 	 NYC 10 time , 1st time rennaissance . just come back stay last week . clean room , large comfy bed , clean spacious bathroom , room service efficient . concierge service amazing . late check ... problem , hold bag safely check ... problem.location busy , great be short break , waste commuting time.taxi JFK 30 - 45 min $ 50 in.would definetely go back . 
 Apr 1 2005 	 second stay - bit disappointment 	 glorious stay December 2004 , return hotel without hesitation . check - in 3 pm , early arrival ( 9 am ) hotel , international flight land 07h25 . needless say , 22 hour plane airport , one usually like shower bath put clean clothe . I enquire reception whether would possible check - in early . gentleman politely explain & quot ; full - house & quot ; previous night could enquire 12h00 possible clean room . 12h30 make enquiry reception , time encoutering & quot ; Cruella de Ville & quot ; reception domain . condescend manner , tell check - in 3 pm , exception . well thank much anyway effort mam , be exactly reason seek alternative accommodation future . at rate $ 459.00 per night truly expect little extra heaven sake ! even back South Africa get well treatment intercontinental hotel room rate , far less $ 459.eventually get room 4 pm realise , open roomdoor , get & quot ; Royal Suite broom closets & quot ; , add luxury adjoining roomdoor prop one corner room . rest Easter weekend could clearly hear every word speak adjoining room - girlfriend talk dirty talk ...... clearly Marriott Rewards & quot ; Elite & quot ; member working keep eye alternative accommodation NYC . 
 Mar 31 2005 	 Ok Hotel 	 stay Renaissance Hotel March 26 - March 30 , 2005 . ckin run problem connect room . call morning double ck tell everything set . well , ck could not get connect room two room going put floor apart . good way start NYC trip . cancel 2nd room 4 we stay one room . comfortable solution . 2 people bed , one rollaway one chair ! ! ! Got work Sunday afternoon get 2 connect room . the location hotel ideal . love Times Sq . 18th floor . bed comfy love pillow . kid bother somewhat traffic noise , lot honk horn , would wake sometimes . easy walk attraction . take taxi due day rain . room service always prompt food good . daughter always enjoy nightly slice cheesecake . eat dinner Foleys , breakfast buffet one morning . egg horrible ! ! ! extremely overprice extremely mediocre food . overall , would recommend hotel anyone want Times Sq location . service acceptable . would probably stay future visit NYC . 
 Mar 30 2005 	 wonderful stay ! 	 stay Renaissance 4 night begin March 23rd ( Easter weekend ) . four us - husband two daughter - 16 12 . trip birthday trip 16 year old . say - location great . breakfast first morning Foleys good - staff friendly helpful . also dinner Saturday night go theatre - food good view beat . room nice size , bed great give location quite . find staff helpful friendly . day leave young daughter discover cell phone - collect luggage bell station , get cab airport . bell staff call housekeeping - suggest run floor double check still cleaine room . sure enough finished room planning send we . negative Times Square general pack people every time leave hotel crazy . however part adventure nice close show - never feel concern walk around show back hotel . also eat Blue Fin W across street . hip & amp ; trendy place food excellent - oyster sushi . 
 Mar 29 2005 	 Fantastic 	 stay Renaissance Feb 2005 . hotel lovely . room superb fantastic view window comfortable , hugh bed ever sleep in . the location good New York , Central Park shop stone throw away . short walk Central Station . Empire State building etc near subway Statue Liberty Ground Zero . you must eat Bubba Gumps restaurant , base film ' Forest gump'the staff Renaissance friendly polite . visit trip never forget . plan go back one day definately return hotel . 
 Mar 28 2005 	 poor guest service impress .... 	 spend one night hotel , get good sunday rate $ 199.00 compare 4 star hotel neighborhood . impressed ! guest service poor considering arrive request extra pillow , front desk say take care ... one come deliver . Spoke housekeeper take care room turn afternoon , mention pillow , say still call housekeeping dept , would think would initiative take care simple request , nope ! extra pillow we .... show really take care guest .... family well travel different luxury hotel , far hotel Orlando Las Vegas would take care little request right . oh well ! happy guest .... not really care ! return hotel good guest service priority list want stay next time around ! disappointed guest . 
 Mar 20 2005 	 great location adequate price 	 stay three day November 2003 visit Canada . great room overlook street bother street noise . also smallish , two queen bed share among married couple , we , old girl friend UK ( not ask ) good friend . restaurant great perfect Times Square view South . location great , staff helpful , concierge mine knowledge , job . also , leave pair dress pant room pack left . call hotel Toronto return send Priority Post ; never charge . would definitely stay fit plan . 
 Mar 20 2005 	 Rennaisance tick box 	 return 4 night stay Rennaisance 4 girl friend . say , hotel fantastic . 's fabulously locate service staff , particularly Erick , Concierge , second none . extremely pleased room 16th floor , bed comfy , be hard get morning . room service daily load fresh towel . major problem luggage , lack ! ! ! hotel supply we bathrobe toiletry ensure not suffer much , also send champagne strawberries room cheer we ensure fantastic time New York ! ! ...... ' ve never receive level service hotel ' ve stay many . unfortunately , not eat Foleys hear food fantastic , sneak early one morning return night see view .... well worth ! friend recommend Rennaisance highly enough , ' ve tell everybody since return already plan next trip . be look high quality , traditional friendly place stay middle new york , can not well hotel , go , tell Erick say hi ! 
 Mar 16 2005 	 Awesome Times Square Location 	 anyone want stay right smack middle Times Square , can not beat Renaissance Times Square Hotel . stay celebration extend family result get see variety room . view Broadway fill light action Times Square , without noise . room fairly good size NYC standard quiet . nicely appoint really nice bathroom comfortable bed ever sleep . staff incredibly friendly helpful . Foley 's , hotel restaurant , not great food world , be worth eat least one meal , view . be like inside video game . 
 Mar 6 2005 	 Best Holiday ever 	 stay Renaissance Feb 16 21 can not fault . get great deal hotelpronto 4 we ( husband & amp ; , two son 15 12 ) one room . stay Milford Plaza last visit , although right positon ( go New York spend much time room ? ) impressed read lot review find well place stay second visit . thank helpful member review , certainly disappoint time . room large NYC welcome . two large double bed soooo comfortable lot pillow quilt , great tv , armchair reading lamp , huge closet tuck away suitcase ( carrier bag ! ) great marble bathroom endless hot water . even coffee / tea maker fridge ( tho not dare use fridge drink afraid have charge minibar item not use ! ) staff hotel fantastic - really friendly helpful . check early ( 1 pm ) problem , although checkout 12 not leave NYC til 4 pm , welcome lobby bag look . nothing much trouble . fabulous flower everywhere , smell great , slap bang middle everything want see . eat breakfast Europan ( near Port Authority bus terminal ) - fantastic cheap ; friendly helpful great banana pancake ! dinner Foley 's Saturday table overlook Times Square - fabulous fish delicious . young son not hungry problem - marlene waitress make Roy Rogers cocktail ( ! ! ) make great fuss . cocktail bar large hit spot ! also eat Angus Mcindoe 's 44th ( ? ) - lovely food huge cosmopolitan , ' m sure cast Producers next table ... brilliant time certainly go back Renaissance , hopefully November ( two we ) ( boy let we - love every minute ) . 
 Feb 22 2005 	 location 	 arrive back first trip New York love every minute hotel top class fault room good size , clean view Times Square magnificent . all attraction shop well within walk distance planning trip New York place stay . 
 Feb 21 2005 	 heart NY 	 stay Renaissance 13th-17th February unbelievable time . will file trip report forum , 's view hotel . real disappointment specifically request high floor ( honeymoon ) . allocate room 7th floor ( 28 ) . decide complain without look room fact , wife love ! great view Times Square little noise . we breakfast Foleys first morning terrific ( although expensive ) . sausage , Maple - cure bacon , home fry egg , terrific coffee , load fresh fruit huge range muffin pastry . three day eat FANTASTIC Europan ( spelling error ) Cafe . Fluffy Blueberry pancake fruit maple syrup ... Mmmmm ! ! ! also try Majestic Deli awesome cheesecake . other thing let know . bed hotel huge comfortable ( perfect deal jet - lag ) Housekeeping immaculate ( $ 3 day desk ensure ) bath olympic sized . good thing ? 's say . location . could better everything . walk virtually everywhere go glad choose Times Square base . in conclusion , hesitation recommend Renaissance . 
 Feb 14 2005 	 stay away ! 	 first , kitchen close get hot food room service possible . second , could get internet connection ; use dial - up ( India problem - India , solve ... ) . third , staff 's get attitude problem . worth money . 
 Feb 10 2005 	 Revival name revival nature ! 	 read review hotel unsure expect . stay wide range US hotel cheap impressive expensive disappointing . important case compare like like Renaissance ' disappoint . room modern , well keep clean . ' big neither price . staff friendly , helpful courteous , lead believe New Yorkers . reason ' give five star ' tell restaurant closed renovation , , hey , ' middle Times Square ' go hungry ! one tip protect wallet take offer valet parking . $ 51 night really build ! 
 Jan 28 2005 	 nice comfortable 	 stay Renaissance January 2005 . location good , right Times Square area . king size bed extremely comfortable , everything nice clean , well present , bedroom bathroom . coffee - make facility room . even offer shine pair shoe day , although not opportunity take offer . stay another hotel area early trip , wish Renaissance whole time , much expensive , far high quality . 
 Jan 24 2005 	 Great Hotel 	 book second trip New York arrive mid afternoon . proceed check desk give name check clerk continue type computer three minute tell reservation . call duty manager confirm paperwork voucher room available tour operator make mistake . politely tell we room available hotel fully book phone tour operator manage find us room order proffesional ( name Gab ) . end three we stay double room roll away bed sixth floor move 21st floor next day rest stay . hotel clean great location , helpful staff , would stay ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Jan 21 2005 	 great location great room concierge legend ! 	 partner decide go New York celebrate Birthday book hotel solely great review have see website , disappointed ! first trip America quite overwhelmed staff friendly , especially Omar , concierge . help we plan day recommend wonderful restaurant Broadway show visit . not know would do without ! move second night small bedroom 5th floor , big room 20th floor overlook Broadway 7th avenue great sight Times Square , happy . window soundproof black curtain busy traffic light Broadway problem . problem last night room next door loud , quick call front desk security come straight away ask keep . overall hotel lovely , staff accommodate location ideal . good Birthday ever ! 
 Jan 6 2005 	 great location ( especially new year eve ! ) 	 get back New Years Eve trip . location hotel perfect not stand hour crowd watch ball drop space make available hotel client 11.30 pm ! location also good sightseeing shopping . hotel okay - room expensive hey seem New York hotel expensive something half decent ! 
 Jan 3 2005 	 Loved ! 	 husband spend four night Renaissance hotel Christmas week . wonderful stay people nice . Omar concierge helpful . first visit NYC worth wait . room nice stay well , room much .. would recommend location well , walk distance thing subway close well . 
 Jan 3 2005 	 really well 	 visit hotel December 2003 husband 's 40th birthday amazing time decide return week Christmas 2004 . bit worried would not good remember . could not wrong , even well second time around . I agree another reviewer , top 5 hotel . staff ( year ) fantastic , remember we make we feel like have come home . hotel fantastic , great location , great room , fabulous bar , Foley 's food great , beat view . obviously hotel would stand 's , make hotel outstanding staff , not want name particular good , front door concierge waiter maid service manager . want go back next year , sadly finance will not allow ( unless win lottery ! ! ) , one thing sure though miss place return , return know welcome open arm . ' ve travel lot one well friendly place ' ve stay world , home New York . thank guy ! 
 Jan 2 2005 	 Renaissance New Year 's Eve Week 	 wife get home spending week , around New Year 's Eve . would go back -- -- -INDEED , service staff excellent . everyone helpful friendly . security excellent stay helpful New Year 's Eve . can not praise enough -- -We impressed . if go back recommend anyone else . view magnificent . quality everthing great . loved ! 
 Dec 23 2004 	 Christmas Renaissance 	 wife stay Renaissance Hotel first week December . way overprice room ready arrive , satisfied stay . great location friendly , helpful staff . room nicely size well appoint . 
 Dec 20 2004 		 wow , maybe not like . good thing room bathroom . bed tiny , first room get loud squeaky bed . room tiny , view great . would not stay . 
 Dec 6 2004 	 would go back ? ? ! ! 	 would go back ? ? bet life would ! ! think hotel brilliant , view get times square amazing.all staff come across friendly helpful , especially guy desk foyer one young man particular miss name , ask next time sure ! ! room ample size bed , could not wait get tired night - time arrive comfortable , big plenty pillow bury ! ! also cocktail two foley 's bar , excellent , would recommend 2 time cocktail beautiful ! ! hotel also within walking distance many attraction , central park , rockefeller centre , macy 's , empire state build many . 
 Nov 28 2004 	 vip treatment ? ! 	 VIP Treatment , . girlfriend use frequent traveler acquire thousand point every year . look property could use point none available via net . contact Revenue Manager Renaissance Times Square ask may able make exception , kindly . great start ! October 22 , town wedding , want make trip special girlfriend , first trip together . call ahead attempt speak Front Office Manager see sort vip treatment could arrange girlfriend surprise . disappointment , phone call , voicemail , email Mr. Robert Solis ( Front Office Manager ) , never receive response . concerned going get response Mr. Solis , contact concierge staff last ditch effort . staff seem friendly eager help . upon request , quickly arrange sedan pick we airport well arrange flower . ask flower could place room prior arrival . woman state would able accommodate request due concern front desk may move room last moment may receive flower . , disappointed . upon arrival airport , greet anyone . girlfriend washroom , contact Limo Company ( Spectacular ) . give person phone confirmation number concierge hotel give . woman ask another individual . state , thank god moment conversation driver appear girlfriend last name misspell . driver nice happy surprise girlfriend . upon arrival hotel , greet nice , true New Yorker Bell Person beautiful lobby . direct we front desk lobby second floor . two man front desk seem disintereste arrival never even welcome we hotel . receive key , direct concierge desk across lobby instruct message . frustrated fact know flower arrange , walk girlfriend desk . concierge take name walk away come back flower , handing . , girlfriend surprised , disappointed . direct guest elevator stand luggage flower 10 minuet find people stick elevator . direct back main lobby first floor instruct take employee elevator . wait employee elevator , encounter friendly Bell Person arrival along member security team other . needless say , get lowdown happen elevator often occur make we question whether get elevator . eventually make room , nice even overlook Hershey Store across street . next day , packed go first tour New York come back around 4 pm find room clean . however , find nice card desk let we know Housekeeper would would servicing room stay , think nice touch . unfortunately , room never service . moral story , hotel lot go . awesome location , nice clean facility , beautiful room breath take view , seem lack basic customer service . service start hire , training , importantly , management . seem simple ... want girlfriend treat princess . 
 Nov 27 2004 	 hotel TOP 5 ! ! ! ! ! ! ! ? ? ? ? ? ? ! ! ! ! ! ! ! 	 whoa ! ! ! truly magnificent hotel .. first , upgrade view room charge ; ask .. hotel middle happen city planet .. close tourist trap soo touristy area , yet comfortable room , feel like anywhere near city literally never sleep .. sweet diligent service staff member .. else hotel ? ? free shoe shine , cool consierge service elevator issue , service room second , even though 16th floor .. consider awesome hotel next time visit New York ! ! ! ! ! 
 Nov 27 2004 	 Renaissance great 	 arrive back 24 November 2004first time New York fact first time States . everything hotel superb . arrive wedding anniversary decide eat Foleys special occasion expect really expensive . turn expensive restaurant local town . food service wonderful mistake make order starter full could not eat main course . room good clean . expect noisy see Times Square . excellent service Omar concierge rest staff . would definitely recommend hotel 
