ok 	 clean , comfortable . choose area O2 arena , although 7 minute walk Waterloo . sightseeing , good area . room comfortable , although wake Saturday morning 08:40 house cleaner see room ready clean ! ( bit early ) ! . check in / out fairly fast , although load people . breakfast good . major problem elevator . 3 whole hotel . luckily 3rd floor staircase , otherwise could 1/2 hour wait lift . staff professional . many London hotel , not like fact pay internet access . 
 Jun 20 2008 	 another good Park Plaza hotel 	 despite alia & quot ; pay Punter & quot ; visit freebie , might want take account . use Park Plaza loyalty point book one handy Waterloo station . whilst location rather heavy motor traffic , step hotel peace . staff friendly without face . my freebie modern executive suite , consist bedroom , ( large cramp either ) , small lounge , sleek little kitchenette bathroom separate bath shower . the kitchenette welcome Nespresso machine selection pod rather usual dreadful instant coffee packet . minibar nice separate section stash . flat - screen tv bedroom lounge . there welcome tray lounge consist soft fruit , jar snack still sparkle water . part executive deal partake canape exec.lounge 2nd floor 18:00 20:00 breakfast instead hoi - polloi . personally , think would rather join hoi - polloi eat amid throng noisy kids exec.lounge . but , hey , 's weekend clientele rather hotel . breakfast whole gamut continental full - english ... i.e . muesli , seed , dry fruit , fresh fruit , cereal , pastry , croissant , cook meat , cheese , bread , scramble egg , bacon , sausage , tomato , mushroom , juice , tea , coffee etc etc . the exec lounge rooftop area ( much view ) smoker take breakfast outside weather permit . another purpose - build , luxurious modern hotel up - to - date decor handy location 3 min walk Westminster Bridge would definitely use , except prefer spacious Riverside branch chain far away Albert Embankment . 
 Jun 18 2008 	 Modern hotel central attraction . 	 return two night stay hotel . overall positive experience , would return . studio apartment look London Eye . clean presentable room , complaint housekeeping . the food breakfast area fine , good quality , staff attentive . fault mention relate hotel two:1 ) whilst 's location ideal many London attraction , situate less - ideal side River Thames . the Waterloo area grubby need good makeover.2 ) check , ask room next lift ( elevator ) -they make irritate door - bell - like noise hear inside room close - by . -ok daytime , disturb night , one sleep close door ! suggest management maybe could look switch sound night 23.00 7 , say . Thay seem genuinely unaware problem . at £ 200 night four we include b / fast , expensive , par accommodation central London . 
 Jun 15 2008 	 truly grim experience hotel 	 stay hotel work , room cost pick organiser conference speak . hotel take debit card detail extra . firstly , get room , like sauna . air con working , probably hot day year far , room floor ceiling glass window . rang reception , tell problem , say somone would fix shortly.15 minute later noone arrive , rang . time tell air con entire hotel break time . say verge fix . ask noone tell first place , meet & quot ; sorry & quot ; .15 minute later still , rang , say fix would take time come room . I go , return 2 hour later , still work . rang , say work do not know not work room . ask fan , say none . ask change room , say room . I try call concierge book massage ( attempt get sauna room ) . reply . try spa direct number . reply . eventually get hold concierge say spa shut . I order room service . nothing complex , nachos - menu say come salsa , sour cream guacamole . order arrive , nachos melt cheese top - salsa , sour cream , guacamole . rang room service , say would send missing thing . apology forthcoming . now , add insult injury , day stay hotel , check bank statement find hotel charge extra , fine , sign , also room , definitely sign ( clearly mark invoice ) payable conference organiser . ' ve ring hotel & quot ; investigate & quot ; tomorrow - apology . make formal complaint hotel , meantime , think would vent frustration site . stay hotel , service apalling , air con not work , can not even get billing right . 
 Jun 9 2008 	 great hotel great location 	 Excellent hotel . great location tourist site . brand new . Got upgrade junior suite check brilliant . beautiful room overlook London Eye . Bathroom fab . absolutely complaint . would definitley recommend stay . 
 Jun 9 2008 	 's service apartment really hotel 	 County Hall , truth know , gem . 's really hotel . , enter , will find disintereste front desk look rather surly . Allessandra , particular , sour expression unfortunate tone voice imply be worth jot time . shame , be probably lovely girl . ' ve get past ... stop look fault lift service ( come guy ... wait 5 minute ... not impatient ) will enter rather plush world . beauty ' hotel ' give space . load . bedroom section front near door . giant wardrobe , free hanging hanger loose , yes loose hairdryer ! 's lovely trust steal ! small kitchenette separate bedroom lounge - flood light spacious . kid even get full double pullout , offer mum dad privacy . 2 LCD tv 's offer great range entertainment throughout music demand . furnishing really good quality . bathroom door may cause embarrassment partner - be frosted glass . shower darn good , though sound like pet camel us - drainage randomly noisy bray we night . facility little kitchen pretty good - nice microwave , little fridge relate mini - bar load storage . would good teatowel bin though . summary - be independent ... like high quality furnishing ( bed firm ... concrete slab incidentally .. little pamper ? ) ... fabulous location instant access South Bank not care ' ve get fairly ordinary toiletry , non - existent service LOVE . - choose traditional hotel . simply not one . oh be £ 100 lastminute ... bad eh ? 
 Jun 8 2008 	 Walk Park 	 absolute bad hotel experience year . as background spend much twentynight month road . decide stay new Park Plaza County Hall London due factor . 1 ) early meeting next day2 ) Proximity meeting location3 ) need evaluate property potential future large group ( 250 room need ) event4 ) rather pleasant stay month back sister property far away.5 ) corporate apartment would ready next daywhat mistake . thing go smooth check - in process nice upgrade regular room one bedroom suite two room box kitchette middle . here issues1 ) internet room work use wired connection . service company could provide solution use Mac Book Mac oriented.2 ) hotel wireless voucher . beg service company provide MAC address access , eventually , charge for.3 ) internet speed less 30k 10 k . email take two minute send . service company tell 8 meg DSL line download 1.5 upload 400 room hotel . give current take rate 50 % internet use even 25 percent load would 80k max load 15 k per person upload ... call well dial . next morning tell router replace week ( arrive Wednesday ) . still fix ? 4 ) phone bed work . answer wake call mean go next room.5 ) cell service sleep area work . mean go living room area make receive call . good person like relie reach able make calls.6 ) morning departure two three main elevator least one two tower elevator . tell Managing Director part order.7 ) Room noise light sleeper good hear hallway noise bedroom area doorway , hotel mismanage operationally weak excuse " open " really February . sorry , business traveler , place saty . 
 Jun 7 2008 	 average hotel near waterloo 	 return mid week stay hotel business . convenient 5 minute walk Waterloo Station , ideal . room great view County Hall London Eye - would imagine would great stay front hotel , overlooks area large building project . room small kitchen area , complete microwave refrigerator good quality cutlery . breakfast buffet style good selection . usual problem london hotels wait lift morning , additional guest lift near stair , find much quick . staff friendly seem eager please efficient . overall positive experience definitely stay 
 Jun 7 2008 	 4 Star Hotel ! 	 opinion , location 4 star hotel . other indicate , also encounter hard bed ( like plywood ) lack a / c . room stay around 80 degress even report front desk . toiletry ( soap & amp ; shampoo ) limit low quality , ask additional front desk ! . Staff seemd lay back attitude , receptive need issue hotel . design bathroom quite unusual -completely open room seperation shower ( bathtub ) water spray everywhere ! . reservation & quot ; regular room & quot ; . assign room view inside hotel . room also overlook hallway room . design , guest could see directly room walk hall . shut curtain = dark hot room ! much request room view river ! , 4 STAR HOTEL . Loved London , would stay . 
 Jun 6 2008 	 debit Credit Card Twice ( Plaza Riverbank 4 week early ) ! ! ! ! 	 stay Park Plaza Riverbank 4 week ago ; good credit card debit twice ; find day later . stay Park Plaza County Hall 4 June ; debit card twice also , even tell happen hotel manager stand beside check - out assuring would charge twice . this company travel manager speak Trading Standards ( local council ) practice appreciate they . hotel new nice , excellent sized equip room still & quot ; shakedown & quot ; many problem . no air condition many room ; stifle . safe room ; one fit , not open morning make late business meeting . noisy room due bang door corridor loud bell lift . one three main lift work morning . breakfast appalling ; worst ever London ; poor choice ; toast toast ; coffee cold ; orange juice warm . 
 Jun 2 2008 	 hotel ok couple issue 	 ok , get back 3 night hotel . & quot ; studio & quot ; room modern , especially bathroom . , problem room extremely hard bed ! bed mattress top platform mattress pad . back hurt badly due hard bed . second problem air conditioner would get cold . call report problem , second call finally send someone leave say could control main computer would set 70 degree never get 80 degree room . elevator slow find elevator back never use therefore not deal slow elevator . otherwise , room size London great . staff pleasant . many choice restaurant within walking distance . view construction site depress . 
 May 30 2008 	 Incompetence 	 stay brand new well appoint hotel . bath not work . informed reception twice 2 day stay . never fix . Minibar lock could not open spendthrift girlfriend . despite psoting disturb wake 3 time Saturday morning . give we menu minibar ' open ! use express checkout receipt receive incorrect . despite 4 letter hotel subsequently send we 3 incorrect receipt ! ! ! moral story , lovely hotel , however , not expect lie , bath , drink correct paperwork ! . Manager inform we letter bit much expect bath work ! 
 may 23 2008 	 good potential minor problem need resolve 	 fairly swift check - in follow ten minute wait lift room 9th floor . room ( studio ) spacious seperate sitting area , kitchenette large bathroom . arrive late try grab cold drink minbar discover jammed shut . report problem straight away , still fix leave two day later . second night fire alarm sound 4AM , 6am 6:10am - amuse apparently false alarm frequent ( indeed go early previous evening ) service bar good , room service breakfast excellent . wait lift morning average 15 minute - seem press service elevator use try relieve problem . overall hotel great potential need sort minor service issue fire alarm system ! 
 May 17 2008 	 good hotel minor issue ... 	 really like hotel modern decor , would give five be not minor issue . the hotel new , close London Waterloo , choose due location business close . tourist , however , close London Eye South Bank Centre well Royal Festival Hall . the minor issue include change room three time first check do not like first twin room , two single bed put together , do not like alternative offer size shoe box look basement , eventually upgrade tfree think studio include sit area , mini kitchette . really like room especially music demand within television entertainment unit . big issue , however , fact lift work , be not away , exceedingly slow , fact slow . the hotel exceptionally clean , staff helpful , do not eat hotel breakfast fine . hotel also leisure facility do not time enjoy comment like . I would not hesitate recommend hotel . 
 May 17 2008 	 good room : good public area 	 stay business recently . room good , huge neat little separate sitting sleep area would allow person / child sleep whilst people watch tv / read etc . also come dinky kitchen type area , sink , kettle , microwave , plate , cutlery etc would ideal bring back ready meal prepare cold snack holiday want reduce cost . Waterloo station good Marks Spencer Food hall couple minute away . however public conference area nothing special albeit clean new . slow lift , air conditone need ramped bit , 
 May 10 2008 	 High Rise 	 stay two night recently could warm hotel . it big , lot glass look build site across road bar breakfast room . reception staff helpful efficent , breakfast room staff helpful .The breakfast poor comparison dozen London Hotels stay .The room small A / c poor . 
 Apr 29 2008 	 great location staff 	 get back april 27th 2008.the hotel great location undergroundand , parliament square well london eye . breakfast staff fanastic helpful doorman marc gary . breakfast nice variety . room clean well keep . bad thing room quite warm , a / c good . change room due heat 1st room . upgrade we high floor a / c well . view room face thame include london eye , parliament , big ben . staff could not nice . would DEFINITELY return . 
 Apr 28 2008 	 good hotel city center location 	 return weekend break London say Park Plaza County Hall : mum arrive London Euston railway station 12 pm get hotel underground around 25 minute later - the near tube station Lambeth North , around 5 minute walk hotel . check right away , even though be suppose wait 14pm room 12th floor - we book twin one , certainly spacious London standard , little kitchenette hall , equip microwave , kettle , dish , washing liquid , kitchen towel , wine water glass , ice bucket ( ice available machine place corridor ) also iron board iron . the bathroom bath shower , toiletry quite good quality . we view Waterloo station could also see Houses Parliament . not come near window suffer vertigo though ! oh , one thing - the window cover whole one wall . you patient lift , hotel 398 room always wait minute 3 lift available plus one break first day . we breakfast include room rate , serve Spectrum restaurant , suppose ' english breakfast ' choice much wide could Continental English . nice pastry , juice , fruit much . self service = eat heart content . previous review horde people queue breakfast bit exaggerated opinion - if diva demand stay Ritz . middle class 4 star hotel . staff helpful polite . rang housekeeping ask extra tea & amp ; coffee get within 5 minute . location - on doorstep London Eye . go back . 
 Apr 28 2008 	 Good Location Modern Hotel 	 Park Plaza Hotel County Hall locate behind Marriott County Hall Hotel ( be cheaper - pay £ 118 room per night ) stone 's throw London Eye , South Bank Old Vic Theatre seeing want sample three attraction , ideal . be also right next Waterloo Station brilliant quick tube connection . on arrival give direction reasonably price car park ( London ) £ 18.50 per 24 hour . conveniently close secure . the Hotel new give upgrade Superior Double Room Studio not double room available time . studio room 722 7th Floor front door overlook main atrium - not like height - not look balcony vertigo set . personally , fine admire atrium design . restaurant locate bottom atrium , imagine one low floor noise could problem 7th floor upwards , quiet . also outside front hotel building site , , studio bedroom locate atrium side double glazing substantial , noise issue . studio contemporary well equip large shower bath , large , comfortable bed , good sized living area , 2 tv 's kitchenette comprise fridge , microwave , sink worktop . hotel bar pleasant place drink , not breakfast dinner comment hotel food . staff pleasant helpful would definitely stay hotel future . 
 Apr 28 2008 	 Great Hotel real treat London ! 	 want something bit different stay London try County Hall Park Plaza . book standard room upgrade upon checkin Executive Studio Room - lovely - separate living room sleep area - plasma tv also kitchenette sink , microwave , kettle , fridge coffee maker . decor bang date view superbI stay hotel London far nice one . 2minutes walk Waterloo station see London Eye hotel . well worth visit 
 Apr 27 2008 	 mostly Good experience 	 make reservation several month ago special promotional rate offer Travelzoo.com . offer include full breakfast every morning , welcome drink arrival 20 % discount hotel 's Spectrum restaurant . notify would arrive quite late , check - in smooth . inquire drink discount , clerk ask manager . manager claim know anything feature promotion , even though point confirmation email detailed come Park Plaza , Travelzoo . say would contact Travelzoo find , ask later say never hear back . , drink food discount , deal - breaker ( Ido wonder hard try contact , however ) .i concern cautionary review early guest , think many problem mention work . except one morning afternoon eight - day stay , three elevator good working order . bed could describe hard ( would call firm ) since prefer ( soft bed murder back ) sleep quite well . noise corridor problem , usually sleep earplug travel undoubtably help . the bathroom great ; deep tub separate stall shower giant thick towel . shelf hold towel appropriate height professional basketball player , , climb edge tub reach . bathroom surface marble , white porcelain chrome . would say fan antique chintz , enjoy hotel . 's design - drive , lot mid - century modern type furniture -- clean line overstuff armchair sight . the room ample storage week 's worth clothe family four ( also must mention although hotel laundry expect high price , self - service washer dryer -- free charge -- guest ' use ; buy detergent , easy enough local store ) also like refrigerator microwave kitchen area space store snack . the breakfast buffet unchange , enough item offer not get bored food pretty good . not eat meal hotel can not comment they . aside unhelpful manager first night , find reception staff amenable willing offer assistance . Koby , Luke , Gianluca particularly gracious , although many nice staffer whose name not get . the hotel terrific location -- minute Waterloo station within easy walk distance dozen attraction . want cozy residential neighborhood , look elsewhere -- plenty choice . 
 Apr 27 2008 	 nothing like 's sibling ! 	 Thought would break habit lifetime actually write review instead read they . book hotel couple month advance get pretty good rate brand new maybe struggle fill room . stayed one night last night actually get upgrade , do past Park Plaza hotel book direct site . this hotel , gather open Feb 08 still massive teething problem . staff range annoyingly over - enthusiastic frighteningly serious . strike first lobby area far small hotel 340 room odd pillar 10 min spend queue get really confuse stressful - help ' smiley greeting man ' repeatedly tell everyone great day would well emplye actually serve behind reception . lift shocking ; three 300 + room - seem stop every floor way , air conditioning . little annoyance , not get actual room yet ! firstly , mine really really noisy - right next laundry store ' towel - guy ' think fine slam door continually 4 hour rate 1 slam per 20 second - actually amazed even possible - dedication keep mid morning nap . also ice machine outside door , mention lift ' ping ' really loudly . ' ve always wonder point be . here be feature will not find many hotel ... hot cold tap dispense exact water - hot . zero cold water available either kitchenette sink bathroom ( ' m sure break law hotel ) . maybe be suppose get ice wait melt ? not know . the air con think non - functional knob wall wake gasp dehydration middle night force raid minibar mini bottle coke - bottle opener find . since have already charge £ 2.50 150ml bottle simply pick fridge , feel angry enough prise open key . incidentally , hotel add 17.5 % vat charge coke , make staggeringly £ 20 ( $ 40 ) per litre - world record ? sofa ( mention reviewer think make type soften concrete - kind have use bed . wire hang around tv , internet connection , phone , lamp etc . I really geniunely like Park Plaza hotel , be clean , usually no - nonsense efficient , one . despite look forward see 's new state . sorry , get huge thumb , even prompt write first review - will try positive future . 's thing hotel , be always little element either make break stay . really not open new hotel unless be try hard get little thing right . quite frankly , be still right 4 month close thing patch up . if staff read , please note would much preferred tell problem ) nobody answer phone call reception bottle opener , b ) ' towel - guy ' not speak English c ) nobody ask have enjoy stay - anyway time check soap isse - off £ 3 charge tiny tiny coke want get stuffy reception fresh air . will not back ' m afraid . 
 Apr 20 2008 	 Noisy 	 check speedy staff friendly . however , book twin room enter room bed close together might well double . view hotel look bar & amp ; restaurant noisy ring reception 01:45 complain noise bar ! ! 
 Apr 10 2008 	 Great Location Amenities -- Hard Bed 	 husband spend 10 day end March new Park Plaza County Hall open February . super location next Waterloo Station Westminster Bridge . not type room book three month early , generously upgrade we fabulous & quot ; studio & quot ; , really suite . bedroom flatscreen TV , vanity , closet ; nicely appoint kitchenette ; luxurious marble bathroom bath shower ; sit area sofa , easy chair , desk , second , large flatscreen tv , overlook Waterloo station NE London . problems : ( 1 ) suite enter bedroom , living area back , bedroom get noise corridor less private ; ( 2 ) least one three elevator break entire time ; ( 3 ) bed hard rock -- uncomfortable ; ( 4 ) alarm clock ; ( 5 ) room 's temperature control unmarked seem work ; ( 6 ) plumbing shower stylish , confusing ; ( 7 ) shower door seal , bathroom floor stay wet . despite , stay spacious suite worth problem , except rock hard bed make impossible get good night 's sleep . ( cost stay average $ 240 per night , good deal financially . ) 
 Apr 10 2008 	 lovely room 	 stay two friend Saturday April 2008 . find hotel really good , couple exception . check inCheck painfully slow - quite big queue several hotel employee behind desk appear nothing ! book studio room Lastminute.com three we . however , room allocate standard double - soon sort we . our roomone bedroom studio separate lounge sofabe . room great - stylish perfectly comfortable . shower good bed hard , soft - right . tv room ( two ) free music demand service - great fun get ready go . quite close lift , not disturb us - fact room quiet . ServicesWe not eat restaurant , can not coment , although look nice . bar close 2 am even though full - upset guest . drink expensive , expect . order room service - sandwich snack - problem there . LiftsThe lift really slow - 10th floor option use they . nearbylocation good handy Westminter Waterloo . cafe small shop nearby . kitchenette room , go local & amp ; simply food bring meal back . I would definately recommend hotel , especially three want share room - many hotel seem offer . 
 Apr 2 2008 	 Fantastic Stay 	 stay recent work trip . get great deal top secret collection last minute pleased choice . travel much prefer deign lead boutique hotel ' normally get London company budget stay real treat . modern design , brand new room excellent facility . suite room ninth floor spectacular view Big Ben , Houses Parliament London eye . please note suit internal view . the location convenient right night door Waterloo station within walk distance Southbank Westminster ' attraction . staff friendly helpful . would stay business pleasure . 
 Apr 1 2008 	 Great Suite Room Family 	 family stay Mar 13 - 19 enjoy stay much . great location - couple block Eye 5 min walk Waterloo tube . contruction go right across we not bother we since day sightseeing . the staff friendly always try help question issue though well other . room nicely furnish ( new ) good size small family ( max 2 adult 2 young kid ) . separate sit area sofa bed flat screen tv perfect 12 yr old bedroom area nicely appoint well . though would ' ve reverse floor plan sit area would first walk bedroom area would large window ( natural light ) . counter area microwave , hot water kettle , minibar wonderful ! however , could not get internet work in - room tv . staff give we support number call say could not help we someone come room check could not figure either . bathroom stylish small like european bathroom ' ve see - basin little shallow take minute figure operate two different shower head . , great bathroom ! breakfast include stay good buffet breakfast - great variety even make omelet order ! usually crowd breakfast hard sometimes get coffee / tea refill . hotel set overflow breakfast room though different floor offer breakfast item . agree reviewer elevator one area need work . take catch one busy hour end go 5 flight stair several time stay . would definitely stay hotel assume able get reasonable rate like time . 
 Apr 1 2008 	 good family option central London 	 's inevitably difficult find reasonable accomodation family four reasonable price Central London , pleasantly surprised find suite new hotel £ 135 per night ( room , plus vat - hotel website ) . location excellent . walk Westminster bridge Parliament Square 10 minute Hungerford footbridge Charing Cross Trafalgar Square 15 minute . also course , Waterloo station , London Eye South Bank couple minute away . describe review , hotel ultra modern check quick , friendly efficient . have ask early check room upper floor view grant without fuss . suite , 12th floor , small double bedroom area , corridor kitchenette superb bathroom live area sofa bed kid . be probably wonder not give hotel five star . well , report elsewhere , still several teethe problem . big problem bed . double bed sofa bed smallish side , find hard . particular , sofa bed probably less comfortable floor end pile many pillow possible top child sleep arrangement . second problem housekeeping service . call housekeeping number several time never answer . way get call front desk deal request . , service pretty quick , efficient . ask bedlinen sofabe provide sheet duvet one pillow . ask four set towel every day every day get two set . become routine pick phone every day call front desk get two extra set towel . ultra modern expresso machine not work take two day fix . keep remove soap bathroom . provide cup , plate utensil two people . expect wash ( course ) brush , cloth tea towel wash . get soap kitchen stuff end , relatively minor irritant , irritation nonetheless . third problem take bottle cola mini bar attempt open & quot ; build & quot ; opener . unfortunately & quot ; build & quot ; opener not , cola spilt drawer . , minor inconvenience , irritation lady front desk insist pay drink . seem think way reverse charge automatically get add bill . must stay time previous reviewer also disturb twice fire alarm 08.00 11 pm . concern emergeny exit stair clearly mark could big problem event real emergency . finally , also previously mention , three lift still teethe problem . one lift order , even temporarily , peak time , long wait . able prepare breakfast room several alternative breakfast cafe area , never use restaurant , bar area cosy . excellent fitness centre basement , brand new equipment well sauna steam room . , still good value money . bathroom particular , one good remember hotel ' ve stay . however , still many problem give top mark . three five may little harsh . perhaps not charge cola ...... 
 Mar 30 2008 	 Great New Hotel 	 stay week Mid March little wary first brand new hotel review ided hotel ' teethe problems'to suprise though , everything almost perfect County Hall Park Plaza . upon arrival greet friendly staff willing go way accomodate need . even allow we get room much early check time - saw come late night flight exhaust . room ready - store bag we lock room provide we tag receipt bag . when get room , really everything expect - little small photo reveal . book double - lounge area . great view overlook Waterloo station train track 11th Floor . could even see Houses Parliament window . room , great kitchenette - although space mini - fridge limited mini bar take - could not figure even open . microwave bit confusing work fine understand work . bed comfortable - double , two mattress next kind frame . lot space wardrobe storage . tv expect - digital flatpanel . channel network Freeview along couple music news channel . good news international visitor - huge selection german , French , greek , italian channel availible . also radio available tv along internet radio playlist hotel make . the bathroom great . toilet real problem - would stick flush mode - easily fix press flush button lightly . glass slide door however , give little privacy also tendency fall track bottom . glass shower great - rain head another nozzle could adjust move . bath also spacious . we really use concierge - cell phone charger would work US UK wall adaptor . nicely able charge Nokia phone universal charger . promise charge , store properly availible pickup later evening . the meal decent . really breakfast one night room service hotel . except easter sunday , really pack , able full english breakfast buffet ( even though put continental ) - full english breakfast full great food : egg , bacon , ham , bean , toast , fruit , pasterie , cereal , much - serve coffee , tea , assortment juice . delicious , fresh , serve hot . get room service , fast delicious high quality food - pretty reasonable term price hotel room service . overall hotel negative - would say lift little slow - usually take 5 7 minute go morning lot traffic . that s 3 main atrium . however elevator locate near stairs corner building - ' m sure guest . also fire alarm go twice stay - one early easter morning . due ' guest action ' first time , trecke 14 total flight stair ground - tell evacuate . second time ( day ) , stay room alarm shut 3 minute so . there many positive aspect however , quite pleased experience stay County Hall Park Plaza . would definitely come back next time travel London . 
 Mar 28 2008 	 good upper mid market hotel 	 work occasionally Central London always amazed ) size room normally find b ) exorbitant cost per night . result hear Park Plaza open ( 1st Feb 08 ) new hotel keen try . generally speak find good quality reasonable price ( high side ) . however , still teethe problem mention reviewer . say generally speak stay pleasant quiet . also meal restaurant , good staff extremely polite friendly . improvement would like see , small issue lift stop correct floor . ( take stair 7 floor lift constantly bypass landing ) .would go back ? yes definately . 
 Mar 27 2008 	 good ` ` New '' Hotel London ? 	 Read review high hope new property along south bank . stay many 4 star London hotel live standard . Park Plaza County Hall locate across street current construction another hotel complex , noise , crane operator look room day ! ! directly behind old County Hall London Eye 2 minute Westminster bridge Big Ben . wonderful view 10th floor face away Waterloo station . many convenience store nice restaurant nearby ; Star - Bucks ( 1minute ) Yo - Sushi ( 1 minute ) mini - grocery like ....... suite , actually live room hallway kitchenette main bedroom . modern style around , nice comfy bed , soft , right . modern chair sofa bed fold bed . sofa bed good kid . kitchenette microwave sink alot cabinet space . main bedroom large closet full mirror interior light . bathroom marble stone , nice . large walk shower separate deep bath tub . two flat screen tv 's room . now let discuss rate & quot ; average & quot ; start living room window seal shut , fresh air window filthy . flat screen tv room damage , report first day correction . shower leak onto floor big puddle sink shallow constantly get splash . toilet roll dispenser almost impossible reach sitting pot , contend get un - roll . NOISE . hotel obvious over - pressure problem air water pipe . every time flush toilet make incredible WOOOOSSSSHHHH GURGLE , flush every time anyone flush ! ! ! ! Fire Alarms WORK ! first encounter 0800 morning ; get meet people hallway , 1100p.m day walk London site . excuse Hotel Staff Customer FaultElevators : ( 4 day ) one elevator break twice two would stop every floor either go . sometimes would move . one evening bad back - log customer Lobby wait go . take stair 11 flight ! dining experience : 17 Pounds person Breakfast rip - off . meal elsewhere Thank . like feed time Zoo every MorningBar : problem ; order Beer / Guinness / Stout good go . problem : order anything involve mix 3 thing thirsty . Inexperience bar staff , try ................ hotel mechanical problem staff problem . appear Staff multi - national 's good thing , seem never work 4 - star level . door man nice man help get need . reception iffy . say modern place grow pain . way well comfort wise Thistle Hotel stay much well Novotel , Holiday Inn Mecure . regardless ; everything experience harmless fun great memory trip London . make small talk lot customer visit enjoy hotel despite & quot ; issue & quot ; would return . 
 Mar 18 2008 	 Modern Park Plaza 	 recently take husband hotel birthday . pleasantly surprised . excellent location , clean , modern good happy enthusiastic staff - well apart bar . waitress pleasant little offhand ! order cake husband really chuff greet check - in happy birthday complimentary cake rendition Happy Birthday bar . in make feel welcome even little bit special . would qualm recommend friend . I back drink bar 's still lovely . the hotel open Feb 08 , let us hope keep momentum . 
 Mar 17 2008 	 Fantastic Location 	 stay one night really enjoy stay . staff extremely helpful , particularly restaurant . room spacious modern . location fantastic- short walk Westminster bridge Big Ben . 
 Mar 17 2008 	 Brilliant hotel location 	 get back weekend london . hotel 5 minute walk train station however , come station turn leave walk way round walk front london eye mistake obviously take time . wait check drink offer think wasa good touch . upgrade river view room good room ready early . room good 2 telivision , kitchen , bathroom nice gorgeous huge bathrobe slipper . bed comfortable feather pillow . lounge area nice also view straigt london eye impressive . room 1231 , would ask room book . check also good keep nag we whilst go day . would definatley recommend would stay 
 Mar 16 2008 	 Superior hotel friendly staff service 	 stay Park Plaza County Hall 5 day 1 week opening - back 3 time afterwards . due job , stay 200 night hotel every year - clearly say experienced personal service anywhere Europe before . the staff amazingly friendly , professional , helpful . especially mention Luke Jozef Francois , Senior Guest Services Manager literally & quot ; read wish & quot ; ensure everything pleasure . hotel state - of - the - art example true commitment towards customer service . staff - breakfast personnel technical staff support customer get 100 % experience hotel . immediately make feel like & quot ; home & quot ; . first time business , last time stay weekend lovely . hotel magnificent : colorful modern design . room super - modern yet comfortable . stay room spectacular view river , Westminster , London eye Big Ben - nice experience wake morning city foot sit balcony enjoy sunset . the breakfast really rich something everyone - fresh fruit , pastry , egg variation - good home - make blueberry muffin simply melt mouth . for Executive Club Members , separate lounge offer also full range breakfast morning , canapées drink evening coffee day . stylish , yet cosy place stay . food take restaurant bar really good . vast variety long drink cocktail available bar reasonable price . the location comfortable well . walk distance London eye , Aquarium , Westminster ( across bridge ) , etc . couple minute walk Waterloo station , take underground take heart city less 10 minute . overall - would say probably one good hotel ' ve stay London also Europe . want hotel luxurious time & quot ; personal & quot ; - hotel go business traveller week , place leisure visitor ( couple look romance ) weekend . 
 Mar 7 2008 	 still get speed 	 stay Business three night . initial impression good bright , shiny new . however stay three day fair say hotel still work towards full efficiency . firstly , upgrade suite , near lift 's . strange reason particularly loud chime lift make sleep near impossible . change accept room near lift . second room good standard well insulated noise . nice bathroom , separate lounge area . breakfast constantly chaotic , long wait seat , slow service , buffet good . several fire alarm one evening , lift call button stuck , door lock properly . would expect new premise . if sort could gem . 
 Mar 3 2008 	 Good Hotel 	 return back weekend away Park Plaza boyfriend . understand open week , bit worry call teethe problem many seem experienced . the good thing hotel location - right around corner London Eye , central sight . find easy get around , walk distance . check pretty quick , pleased upgrade studio room , despite view construction site ! not really bother we , rarely use living area throughout stay , never hear thing . however , upgrade also get kitchenette fridge personal use , come handy . bathroom plenty space , shower powerful , bath spacious . bed comfortable , problem pillow , provide need . as soon get room , turn shower discover broke . contact reception fix straight away . breakfast morning fill we day , load offer ; fresh fruit salad , fry , pastry , cereal , toast , cold meat cheese . Saturday evening drink hotel bar . price pretty steep ( around £ 7.00 cocktail , £ 4.00 bottle lager ) , plus put 12.5 % service charge top . cocktail lovely lot effort put staff ( rightly price ! ) minor problem within hotel experience - due way hotel lay , try sleep time pain , reception constantly play music , noise , along noise bar , echo room . -waiting time lift ridiculous . stand wait feel like long time , watch lift go past floor . lift eventually stop , despite saying & quot ; door opening & quot ; door remain closed force open . lift get stick two floor . member staff pass we , another visitor also wait lift ask stair . staff hotel foreign , incident problem , not seem understand we . shrug smile carry . visitor ask would fire , girl answered & quot ; not know , sorry & quot ; . reassure ! surely ) sign indicate stairs b ) sufficient training staff know emergency ? despite problem , fantastic time hotel , would go back : ) 
 Mar 3 2008 	 one good ! 	 stay Park Plaza hotel 2 night whilst weekend away wife . fantastic time . arrive Waterloo hotel 2 minute walk leave station . arrive hotel staff pleasant take interest upgrade room riverview room . room large plenty lighting cupboard space large plasma tv , nice kitchen minibar coffee machine . excellent bathroom massive bath shower . living room sofa bed another large tv around 20 channel . view fantastic look river opposite London Eye Big Ben minute walk along river . bar nice fantastic beer . around £ 3.90 pint manger £ 5.00 . overall say one clean nice hotel stay UK would defiantly stay . account quality hotel room facility new everything would recommend already book ' m sure will not disappoint . 
