identity 	 wedding wedding bell chapel Alexis Park . afterwards go bar hotel drink 3 guest identity steal . one hotel pick phone call call back . place horrible watch bank statement people 
 great price 	 resort clean , room large , stay two night can not complain thing . room $ 100 / night new year eve , hard rock hotel across street great location strip . would definately recommend stay . great accommodation . 
 never stay 	 place old try put & quot ; makeup & quot ; , pretty bad . would pack leave unfortunately book room Priceline prepay . arrive late , around 10:00 , wait homeless guy shuffle sidewalk could pull . manager check counter pleasant enough . ask want & quot ; two small bed one big bed . & quot ; note mention king size bed & quot ; big bed & quot ; queen . room . & quot ; resort & quot ; motel drive around park near room . glad carry luggage stair first floor . call , place lot individual walk around particular destination 10 pm , well , seem questionable . room big kitchenette , sit area ( sofa , seat ) , bed desk . room smell musty 70 call ask furniture back ! story ' m sure furniture could tell obvious see quite bit use . flat panel TV really look place welcome . bathroom , big tub , nice Toto toilet , bath & amp ; body work soap , small aged . shower head must 5.5 foot high . caulk around tub pull apart . bug see wander people outside seem meet 1 am start loud discussion . gunplay though , thank goodness . probably sleep total two hour . next morning glad see wheel still car . yes , feel get place . can not speak ground want morning leave . three star place ? please ! ! ! ! 
 Jun 3 2005 	 Alexis Resort Problems 	 1 ) tv set ( approx 30 & quot ; x 30 & quot ; ) Alexis Park hotel room - secure , bolt . could hazard . 2 ) Bathtub / shower unit slip resistant bath mat slip prevention device . housekeeping cleans tub unit - surface slippery - could hazard child adult . hand rail tub area elderly guest . also , bathroom fan.3 ) pool , contaminate close several day . notice appear local health department . situation continue several day -without full disclosure staff.4 ) air conditioning work Alexis Park unit . fellow traveler room without air conditioning temperature exceed 100 degree . window screens security devices.5 ) full disclosure Hotel Charges ( room document / staff untrained ) phone line often busy - unable get outside line hour . good event emergency . room service charge mandatory 18 % disclose room menu . internet available $ 12.95 per day . ( time book room - understand free . ) 6 ) mini kitchen ( small sink , refrigerator , 2 drawer 2 good sized cupboad , bar 2 bar stool ) fully functional guest . refrigerator temperature set high - food freeze . turn temperature , cause refrigerator odor . room rent queen bed couch / bed . room could sleep 3 - 4 people - coffee maker single serve - 1 person . opener , microwave oven ( warm tepid room service meal ) , toaster , dish silverware . hotel staff dish cloth dish towel . rent several hotel along WA coast mini kitchen - dish , piece silverware , hand opener ( dish cloth dish towel ) microwave oven . 7 . movie selection - current . tv program : NBC , Fox , ABC , ( Alexis Resort Personal Billing channel - never accurate billing post room , Station / Computer program - non functional ) , ESPN , ESPN 2 , ESPN News , CNN , Headline News , Cartoon Network , Weather Channel , Las Vegas channel - non functional , TBS . PREMIUM channels.8 ) Shuttle service strip airport . Alexis Park strip - hazardous section roadway . car taxis go 45- 60 mph make quick entrance property along Harmon Ave . sidewalk . staff tell Hard Rock Hotel - across street shuttle ( Las Vegas Ave ) every hour hour . Hard Rock shuttle charge service . 9 ) Alexis Park room amenity : Iron / ironing board , 5 hanger , queen bed ( spring terribly noisy ) , 3 drawer chest drawer , 2 nightstand , couch / bed chair , 2 bar stool , small mini kitchen single serve coffee maker 2 coffee packets/2 condiment packet . several towel dingy terrible stain , stain sheet well . laundry staff may use bleach laundry . care take provide clean look towel sheets.10 ) plenty hot water 2 nice long shower daily - hotel room clean . room 4 sprinkler - work smoke alarm.11 ) room key stop work 7 day . end 7 day , room key work . staff alert guest standard issue time entry hotel . staff member apologize inconvenience guest . front desk staff , courteous guest - lack common courtesy appear standardthe stay Alexis business . know several business associate stay one night - find well / less expensive housing Las Vegas . record 
 May 28 2005 	 never 	 would rather sleep truck stop , help would certainly friendly . after arrive 4:00 find check - in line 15 people long two people work front desk . 45 minute wait actually talk desk staff , tell reservation cancel . point , desk staf simply do talk . & quot ; Call Orbitz & quot ; tell call next victim line . orbitz fix reservation , entirely hotel problem check . luckily , room clean remodel . guest attend convention lucky . the main pool hot tub condemmed county health department . third floor open air patio convention center not clean since look like new year eave party . bar horribly dark smell 20 year smoke spill drink . I bite trouble $ 10 / day high speed internet access room call help . prommise technician soon possible , lucky figure wait 6 hour . if use second pool share duck evening . on Friday evening , every teeny bopper town show share room hang pool , right outside front door ... must twelve 20 year old share one room . room service tray stay hall afternoon . the save grace place 700 square foot remodel room . would never stay give choice . 
 May 28 2005 	 great room decent price unique gem hotel 	 well , get back recent trip Las Vegas . stay four different hotel four totally different experience . hotel start negative line check monster one check girl barely speak english . manager come help move thing along . organization standpoint place get one star . say let tell rate four star . first let say casino property good . place super quiet room nice nice nice . stay Crown suite pay $ 115.00 per night . great bargain room two floor two bathroom king size bed . even hot tub stair cool . would highly recommend place honeymoon couple want distraction heavy casino traffic . still getr great view strip . give five star stay Bellagio trip worldwide standard bearer hotel room . far exceed Aladdin previous favorite good Bellagio . recommend highly . feel free e - mail question 
 Apr 30 2005 	 really great pool open 24 hour . 	 stay convention happen Alexis Park resort August 2003 . end stay farth section hotel , way back . least car could drive luggage . room average . suite pull bed . recall kitchenette . one thing turn shoddy clean job housekeeping . remember walk around sock clean look sock black . not think ever mop floor kitchen bathroom . mention could tell not vacuum . thing enjoy Alexis Park swimming pool ( be 3 ) monitor swim hour day . farth farth lobby hotel staff could hear see we . would go swim sit hot tub late night home partying . really fun . especially since water warm hot August day . would not really go back except swimming situation . 
 Apr 15 2005 	 long line checkin 	 book internet get really good deal learn good leason .... get pay life ! line check long , guess normal Vegas top front desk clerk rude ! even apologize delay really need leason customer service . room ok ( like coffee pot ) housekeep good - stain sheet , empty trash . fact , garbage even liner . good thing hotel ( say resort ? ) food - fabulous . way , villa talk ? 
 Apr 9 2005 	 's conference ... amazing deal 	 reason stay DefCon , 3 day binge - drinking - war - drive - goon - dodge - sleep - oppress debauchery weekend . DefCon source revenue hotel ; charge $ 159 night basic room , likely go $ 70 day . aware entry level room lack wall bedroom sit area . not matter party , still get load space , wide open space waste . actually , wide open space useful housing herd underprivilege malnourished hacker come Vegas nothing Bluetooth converter . convention / party , set great . 2 storey complex centre around several pool , lush landscape , fabulous lighting , middle desert ! directly outside room wicke party 0300hrs . impressive ground make place little bit consummate dive . the room nothing run home scream . simple bed . tv limited channel ( matter weekend ) , bathroom plastic tub bloody low flow shower head . kitchen thing nice , jump CAT , ride wal - mart , get milk , cereal , red bull , vodka , store fridge save , um , food sale . Interior decorate nice . Desert colour . nice track lighting & quot ; kitchen & quot ; , overstuff couch , generally , nice room crash . air conditioning unit work little bit well wussy canadian body . ' m still amazed freakin ' thing freeze hand like winter . security guy funny . Daft , keep disturb sunbather ask ok . yet , 0800 Sunday huge party , likely concerned people lie back enjoy . sort scary guy gun . maybe be ' m canadian . at end conference , Sunday like 1500hrs , resort desolate exception family check . feel bad . stay AP be present conference ( site ) be Vegas reason gambling getting waste . want quiet something family , recommend stay Westin block north . I will definitely return ... def con 13 . 
 Mar 28 2005 	 Nice quiet close strip . 	 stay 4 night satisfied . want quiet place retreat time strip place great . ' look entertainment around hotel , not stay . suite nicely furnish spacious . staff nice never line check in / out . little cold go swimming , say one pool heat , ' find . casino 's much not time swim . breakfast twice Lucky 's Hard Rock ( right across street ) , really good ! also ride Hard Rock 's shuttle Strip . run every hour ( 10 am 7 pm ) Hard Rock ; ask Valet pick up . overall money pay satisfied would recommend hotel people want quiet place without frill . ' nicely furnish , spacious , clean place lie head night . they construction landscaping , driveway entrance , front door entrance not bother we . lobby render poster future remodeling , not start yet 
 Mar 26 2005 	 good can not get room anywhere else 	 stay 3/20 - 3/23 last minute trip Vegas . bad week stay NCAA Tourney , Spring Break , Conventions . everywhere strip ridicousely price ( excalibur $ 190 usd night , MGM $ 300 night ) , either crudey airport hotel ( see review ) , downtown ( seedy ) Alexis Park Resort . come across Alexis Park Resort TripAdvisor see review decide give try . get room i4vegas $ 80 usd night , good rate week . yes , go major overhaul , lobby come along tell go nice . not lucky enough get remodel room , one get not bad . room clean large ( call room suite overstatement , like big room ) . tv get poor reception , get free webtv . Shower head low odd reason , tall go tought take shower . go late like ( do not usually do not get back room 5:00am ) , aware 24 hour maid service , maid go home 4:00pm , find hard way , could not get room clean second day , provide clean towel . place little dark , buy hopefully upgrade solve . stray cat hang around ground ( also noticed feeding bowl , go away anytime soon ) . parking convienent across street Hard Rock . check - out could done front desk kinda stink . , place good get sleep , close strip ( 1 mile ) , room clean , bad area . would stay clean seem safe , think would wait remodeling do , do not seem like going do good month . 
 Mar 21 2005 	 Motel anywhere USA - Vegas fun ! 	 hate place - 's poorly light ( Vegas , go figure ! ) . even local cabby - could get one - could not find place dark . tremendous road construction make hotel nearly impossible get - forget try walk anywhere without risk life . suite nice concept , pointless unless plan hang around room . never use living area . one phone break ; one tv barely function . could never get regular coffee cup - at - a - time coffee maker . one day , leave decaf . & quot ; bellboy & quot ; joke - need bag unload ( first tip ) drive room ? expect pay second tip different eager bellboy deliver bag room . vend machine except soda ice cream , bring snack , wait forever attempt get breakfast restaurant . & quot ; kitchen & quot ; small refrigerator , nothing . cabinet space , nothing put . even trash can never get liner . pool pretty , good luck find spa . would ever stay recommend . 
 Mar 11 2005 	 Peaceful Place 	 stay many Hotels Las Vegas gaming . 24/7 action make feel tension stress . always go . stay Alexis Park wonderful . non - gaming resort could world . beautiful mature landscape make relax . could believe room . suite . suite everything . clean comfortable ( 3 ) pool enjoy . look forward stay . 
 Feb 26 2005 	 large room great value ! 	 think hotel great value , pay $ 89 spacious suite . fast check - in quiet environment , unlike casino 's . close enough strip , provide free shuttle . room clean everything working order . renovation , look like gorgeous be do . will back ! 
 Feb 23 2005 	 Nice ! 	 ' m surprised bad thing ' ve hear , not know will see experience . excellent stay wife . great personnel , great food , great service ! Definitley cheap 4 star hotel ( yep , 4 star opinion ) . 
 Feb 6 2005 	 's good review . 	 read trash review , think would add positive comment . front desk personnel helpful . miscommunication reservation type room reserve quickly correct little fuss . room totally renovate ( build 23 ) clean . complaint : minor squeak air conditioner , fireplace not work ( assume turn safety reason , advertise ? ) , several machine workout room old poor repair . good point : good housekeeping . comfortable bed . huge whirlpool tub . clean furniture . good soundproofing keep airplane noise nearby airport . adequate business center checking email , etc . nice landscaping redone . money , much well 3 star rate place stay Vegas . stay . 
 Feb 3 2005 	 not even think 	 property definitely 3 star hotel . get reservation blindly Hotwire . DO - not - do - this ! prior purchase reservation , phone conversation Hotwire Representative . example 3 star hotel area give , include hotel like LaQuinta & amp ; Marriott . get Alexis Park Resort . look good publish photo . however currently go major restoration date , far level Motel 6.i ask room renovate . give room several new item include brand new refrigerator & amp ; bathroom fixture . however rest room , especially bed heater / air conditioner , old & amp ; dire need replacement . bed rock hard & amp ; squeak loud enough wake would roll night . air conditioner / heater put musty smell operating & amp ; loud turn get sleep . there be exhaust fan bath room , small window . far remodel .... paint place RED . Kinda look like entrance Hell . opinion poor value & amp ; Motel 6 would provide sleep comfort ! pass Hotel & amp ; Hotwire well repeat email still say ... & quot ; conduct review property conclude star rating accurate , stand rating & quot ; BIG favor & amp ; look elsewhere . 
 Jan 23 2005 	 not five star ... 	 find room spacious clean . arrive construction , staff friendly helpful . first room give make , give another room problem . the room large , bed comfortable , bathroom clean . plenty towel . the fireplace not work , would nice . leave food counter ant . room expensive amount space worth . 
 Jan 7 2005 	 stay bad 	 get Alexis Park New Years Eve bid Priceline . read reveiws really scared . front entrance still construction , bad . lobby nice desk clerk polite . get basic two room so - call suite . outside building look old , repaint make look quite bit well , still tell old . room recently renovate . ok job , cut many corner would cost much right first time . put beautiful granite top bar ... put use old paint 100 time wood bar frame hack cut fridge . interior door old replace . light bad room . sprinkler system sprinkler head hang 1 1/2 inch . kind cover around make nice finished look . bed kind hard , sheet clean . bathroom fairly clean , feel dirty poor lighting . would stay get place dirt cheap could get anything else Vegas . Book Somewhere else like Palace Station Las Vegas Club want cheap room . 
 Dec 10 2004 	 bad stay ever ! ! ! ! ! 	 Booked hotel hoping find nice non - gaming hotel close conference attend . got hotel not sure open . could even walk sidewalk get front desk construction . late , get room go go find nervous ton plastic caution tape cover walkway lighting . finally find open door nasty smell . kitchen fridge make loud noise go explode . room freeze try turn heat minimum airconditioner second turn button cooler make loud noise start drip water onto t.v . set . grab towels dry sit dirty couch turn t.v . t.v . not work . decide would try take warm shower shower filthy . go plop bed hit bed land concrete . Layed try sleep thunder airplane fly loud room shake . management owner location close hotel ! make improvement good , not try misrepresent hotel charge outragious price complete dump dangerous night stay ! never stay location recommend anyone else stay matter improvement go . BELIEVE PICTURES SEE RESEARCHING HOTEL . COMPLETE DIVE ! ! ! ! ! ! 
 Nov 28 2004 	 Nightmare stay away ! 	 stay away Alexis Park ! family encounter follow problem 6 day stay : hot water shower , two morning . squeaky heating / cool unit , wake everyone 5:00 , take two day repair . Shower Door fall , never fix correctly . no sheet downstair bed arrival . fireplace work . light outside front door , burn , like many room . bad cable T.V . reception . annoying perfume like smell room . right next L.V . airport , clearly hear plane take landing . many area construction , include front entrance . outside Hot Tub shut drain , last two day stay . uncomfortable bed . the Manager , Linda Hutchison rude hard contact . Linda poor people skill seem concerned problem . to fair , people work Alexis Park , nice professional . to summarize : Alexis Park Resort poorly manage maintain Hotel . our stay extremely stressful unsatisfactory . favor stay away , far bad place ever stay . 
 Nov 9 2004 	 bad place Vegas ! 	 favor stay anywhere ! room dirty , service poor , ground dark . security , front desk staff give room number anyone ask . also , hear plane fly low overhead day . hot water one day . conference large group people check . worth money pain stay . 
 Nov 8 2004 	 bad ever 	 bad place ever stay . overbooke bump . suite think go great , & quot ; get follow night & quot ; , run , window plastic view light Manager leave much desire . careful travel plan stay . 
 Nov 7 2004 	 sidewalk cold ... 	 stay Alexis SEMA trade show . totally misrepresented . overpriced . pay $ 92 per night Hotwire . front entrance tear construction , lobby tired unkept . service likely weary handle complaint . indifferent desk staff . room dirty , footprint tile , carpet dirty unraveling , bathroom hair dirt corner , internet modem miss , nice man come fix charge room service never work . neither net Business Center ( closet 2 pc printer ) complaint handle somewhat helpful desk manager , Linda , find another room next day , much clean believe do quiet down . this room well far par none property describe . internet require jumper cable , say could buy desk $ 10 . fat chance . pool area tear apart exterior paint . bed horrible , spring press back night , reservation wrong . hotwire seem concerned complaint investigate hotel . to add insult injury , friend stay Luxor $ 129 per night . never . 
 Oct 4 2004 	 not ! ! ! ! ! ! ! ! ! 	 & quot ; hotel & quot ; grossly misrepresent web - site . far one seediest , tacky hotel ever see . construction not even sure open pull . car parking lot sole see . area poorly light make uncomfortable . room smell like mothball asthma attack soon open door . end move major casino strip stay , literally could not breath room . attend conference session move first day could not hear jack hammer construction noise . one attendee conference someone try break room . speak hotel manager ( woman ) tell & quot ; happen time & quot ; . be exactly would call compassionate customer orient person . like seedy , tacky hotel smell nasty , Alexis Park place stay . , recommend hotel chain hear of . I tell everyone know never stay Hotel . remind hotel would probably look like downtown Baghdad 
 Aug 25 2004 	 enjoyable resort like hotel 	 husband really enjoy Alexis . bit beat track quiet . stay 2 level suite small hot tub room . old hotel well run comfortable . 
 Aug 14 2004 	 up down 	 attend conference enjoy quiet , small scale place ; well lay ; oasis - like ; much greenery small - scale , unprentious place . mile Strip , walk cool May weather . room spacious & quot ; suites & quot ; ; separate bedroom , plus kid different time - clock . Kitchette simple , stove , decent frig . space keep juice , milk , sandwich breakfast , lunch . 3 pool , one work ; other make good waterview desert area ; lounge time pleasant among tree / birdcall . good casual fancy restaurant site , competition Vegas dining . friendly staff . resort lack quiet glamor past , & quot ; suites & quot ; upscale patron . slightly rumpled look , bit out - of - place glitzy Vegas . 's like place ! glitz / glamor quick cab shuttle ride resort . 
 Aug 10 2004 	 great value strip 	 quiet retreat strip . build 2 story high . parking close room . surprised large accommodations- 2 - room suite . hotel gambling , quiet . good value alternative large hotel strip . although hotel old , clean well keep . would stay . 
 Aug 10 2004 	 's 25 acre garden ? 	 main problem Alexis Park WILDLY misrepresent ! ! ! call something along line economy lodge sort close strip , would think least somewhat decent value money ( pay $ 65 night ) .As , get hotel thru hotwire , represent 3 1/2 STAR SUITE RESORT HOTEL . course soon get name hotel look TripAdvisor see negative review , least prepare get ... property look like cheaply make apartment complex 70 company figure could , right advertising , pass suite hotel . call hotel directly , put perma - hold force listen shpiel property , amongst exagerate claim , tell 25 acre garden . ' m sure garden , certainly not anywhere near hotel ! landscape pretty much like $ 500 month , get first month 's rent free type apartment complex , pretty much place really ! room suite , furnishing incredibly tacky cheap , air conditioner god awful loud , wall paper thin ... however , room pretty darn clean ! 
 Jul 13 2004 	 bad say ... 	 book room resort via Expedia , resonable rate consider go 4th July . stay July 3rd-5th ( include Sat . night ) $ 139 ! check take 10 minute . lobby well keep many bloom pot orchid counter . person behind desk friendly offer good direction get room . surprised size resort ! room clean everything work , although try iron . true suite bed locate separate room . however , remind studio apartment . could tell & quot ; bedroom & quot ; relation & quot ; live room . & quot ; & quot ; living room & quot ; area couch squishy chair coffee table lamp . not much drawer space important we . television offer limited selection channel . wet bar area scary old mini fridge work , microwave coffee maker make personal cup coffee time ( i.e . coffee pot ) . bathroom clean well stock linen soap . shower head bit low tub nice size . not give bubble bath first night 2nd night bottle leave we . queen bed old squeaky still comfortable . air conditioning nice since 100 degree outside . 2 unit control one thermostat . one unit place blow cold air onto bed make sleep difficult vent adjustable problem quickly solve . internet available free . pay $ 9.95 use noon today noon next day , pro - rate time . free phone call whatsover . use small pool , open 24 hour . shallow issue insect float water . 24 hour hot tub good temperature , hot , also full float insect . large pool look nice not get chance use stay . day towel plentiful clubhouse night use restock . quite evident new place . however , be also run place say . ' m sure & quot ; star & quot ; & quot ; diamond & quot ; rating website work , place definitely nice Motel 8 people know stay ( pay $ 10 less ) . check super fast , minute do ! consider go Las Vegas busy holiday weekend , great experience we ! get expect since pay little room . boyfriend definitely consider stay Alexis Park Resort . 
 Jul 12 2004 	 's motel resort ! 	 Alexis Park Resort motel . large motel run - down room plain surrounding . something like 15 building charmless complex . husband return road trip west stay wonderful resort Utah Arizona . Alexis Park seedy run - down . buy room night Hotwire ( beware one 's call & quot ; good value & quot ; resort suite indicator . yes , room large run - down , almost thread - bare , bath plumbing miserable everything old use look . we know really deal Vegas confirm . 
 Jul 3 2004 	 Student Council Adviser stay 7 day nothing trouble 	 Got ( 100 dgr weather ) 16 people wrong room single bed even though reserve Nov 03 ( 10 room ) two double bed . move AC work 3 day try fix could moved ( 3rd time ) even AC fouled get maintenance 2am come stop AC racket defrost , nightmare .. Mgr compe 4 day complain .. Said would comp 6 renege . personable ( name Dave . see another mgr name Linda Hutchins even unpleasant .. can not see self stay even free ... however ground nicely keep help ( except Mgrs ) pleasant try help well could . 
 Jul 1 2004 	 bad thought would ! 	 return June 30 three night stay conference . read opinion worry . hotel full check - in go fine everyone nice . room large clean ( concerned ) .The sink odor use counter iron . pipe loud room next door someone take shower . shower need replace think building building . stay , sure , high school student house famile . somewhere would stay visit Vegas fill need . 
 Jun 17 2004 	 fabulous would stay 	 first try post hotel review , please forgive error make . stayed one night ( Saturday 6 - 12 - 2004 Priceline $ 90 bid , total $ 106.02 ) ; bad Saturday night stay ( ? ) . overall good stay . would stay again . take approx 30 minute check - in ( bad 2 pm Saturday afternoon Vegas ? ) . mention Priceline , typical & quot ; room prepaid , require credit card incidental , & quot ; . friendly smile reservation clerk Saturday afternoon Vegas ! strip , old resort casino . locate across street Hard Rock . 3 pool complex ( 1 large jacuzzi area ) , many two story building pool locate . complex room clean . everything ( building , room , decor , etc ) looked use slightly wear ok . suites resort , mine small king bed suite plenty big . breakfast bar area 2 chair , wet bar / sink , small refrigerator , storage shelf / space , dish silverware . sit area sofa sleeper , comfy chair , end table , coffee table , 32 inch tv top storage cabinet ( two small drawer ) . sleep area two end table , small desk chair , comfortable king size bed . small ( 3 foot wide ) closet 6 hanger along iron ironing board . bathroom nice big tub shower along small sink counter area . also hair dryer not use . room two air conditioner control one thermostat ; work great temp outside 100 nice cool room . southwestern decor , favorite seem ok . several lamp around room light good , even bathtub / shower area light separate switch . easy access parking completely surround complex could park ( free ) relatively close room . much view Vegas landscape ok great . 
 may 5 2004 	 get pay 	 group stay two night alexis park . read many review hotel good bad . let use common sense realize overall get pay . old hotel one time probably beautiful . become run time need major improvement , , improvement price increase accordingly ......... pay total $ 150 two WEEKEND night compare $ 249 one weekday night rio . alexis park need work 4 - star hotel ....... pay 4 - star hotel rate . 
 Apr 27 2004 	 never 	 return Las vegas last night . stay Alexis stay find convenient strip stip . time stay 4 year ago room need update check see update room say new management . somewhat convenient travel baby think since one level would work well . room miss light fixture part bulbs hang bulb . forget mini bar area not even coffee pot request one tell cup coffee . big help . group loud pleasant around pool . will not return . 
 Apr 23 2004 	 poorly Staffed Run - Down Party Hotel 	 Alexis Park nothing like expect . $ 159 room reek cheap deodorant spray , dry blood shower head , seat room 's wet bar horribly stain , bed rock hard . room absolutely view . check take much hour due lack front desk staff ( phone call front ignore ) . make bad , be difficult get cab Alexis . stay , rock band Phish play 3 sell - out show nearby hotel full Phish & quot ; head & quot ; . check case booze , cooler beer little clothing . one afternoon party pool dj : thump music , booze ( hot tub full scream people toss can beer spray water ) . one room even music / light show go inside . much well hotel . room price high run - down accomodation lack staff ( polite may ) . 
 Mar 29 2004 	 okay place okay price 	 hotel okay . term & quot ; suite & quot ; use loosly . large room . microwave , large kitchen area small fridge . strange setup ( nothing cook lot room cooking . ) beware & quot ; Monarch & quot ; suit two room . tv reception terrible . make attempt fix , not help . 1 small pool heat . 2 large pool never open stay ( Spring Break 2004 ) tennis court ( site say ) monarch suite jet tub ( large garden tub . ) price okay great . think stay Residence Inn next time ( far road Paradise . ) place nothing special . 
 Mar 27 2004 	 PLEASANTLY surprise ! ! ! 	 book flight / hotel package online ... first time ever do .... walk door catch flight find site print review read plane . my wife heart sink read Alexis Park ... decide holiday would not ruin have sleep anyway .... ya ... ya ... ya . we find front desk clerk friendly upon check plus . we totally shock get room find gorgeous suite ( Monarch Suite ) complete separate bedroom tv huge jacuzzi tub , separate shower two enough towel family 6 .... sure would want take family Vegas however .... town place child . room service next morning attendant could pleasant polite . find pool area clean never fight find place lounge sun .... oh .... may want fix lounge chair ... would adjust sit ...... perhaps March weather yet warm pool water .... bit cold swim even tho outside temp high 80 's . wonderful stay ..... enjoy fact could get away gaming area hotel without game .... nice quiet . come ...... certainly recommend friend . 
 Mar 23 2004 	 poorly Run Business 	 stay , decide stay strip . however - although tell account credit deposit , five week . call accounting dept . eight time get answer , include call management . leave five message period two week one call back even though tell many time call ask someone please call ! dispute charge Visa . glad stay . 
 Mar 22 2004 	 numerous stay still love Alexis Park ! 	 excellent choice non - gaming stay ; frequent visitor Vegas , Alexis Park remain , numerous stay , favorite place stay . bar / grill nicer restaurant , large lobby numerous chair couch , well small gift shop . it real suit , even small , Monarch , like small apartment . Pricing Monarch usually $ 100 ! property lay like apartment complex , great ground stroll , numerous pool spa ; fitness center free hotel guest ( unlike many LV hotel ) . great fitness center , - machine , spa , shower ... towel available count - wet area , course , separate -Ca not believe negative review - entire resort recently sell ( stay last Dec. 2003 ) , room remodel . change positive , due capital influx . this non - gaming resort locate Harmon west Paradise , across Hard Rock , catch shuttle strip , need . one word warn - although unit large , dining table suite - kitchen/ bar area fridge sink , microwave -also , stair get upstairs suite . 
 Feb 25 2004 	 well 	 visit . ok place . common area nice restaurant food super . room something less expected . not look like picture sure . room need update . run need paint , furniture , appliance . exterior need paint also . staff really nice . well deal $ $ . also 9/10 ths mile strip . 
 Jan 24 2004 	 less expect 	 stay recently business meeting . overall ok place stay , many basic lack , include in - room coffee complimentary newspaper . housekeeping staff fail replace soap shampoo , high speed internet not work entire four night stay . Lounge close 10:00 night , even though several guest would pay stay much later . get good rate , stay . , go elsewhere . 
 Jan 12 2004 	 stay ! ! 	 possibly bad hotel ( operate like cheap motel ) Las Vegas . room large numerous problem ie .. phone line work , HVAC unit operate , water pressure , bad lighting bug . even attempt contact front desk phone . take 20 minute phone even pick hold another ten minute put wake call . property safe feeling , many dark area locate good part town . never stay . 
 Dec 2 2003 	 lot well expect . 	 arrive @ 9 Saturday morning think would let we check check time . pleasent let we check @ 9 am surprise . outside pretty worn kinda nervous inside really nice . bath tub huge water pressure perfect . everything great . 49.00 deal casino smoke noise perfect . arrive @ 9 am Nov.23 leave 24th Sunday @ 2:00 . would say everyone becuz far normal contro Vegas Hotel ... 
 Dec 1 2003 	 Alexis Park - welcome 	 visit Alexis Park way UK although could not grumble price -our deal $ 70 night good value - disappoint welcome . receptionist totally unintereste we arrive give we information whatsoever hotel . room . suite ok rather dark although kitchen dirty middle one three night trash not empty . bad deal be go November , , prepare wait till get reckon get well deal spot . 
 Nov 4 2003 	 Great 	 suprise see negitive review . bedroom spacious living room . room service good . room wonderfully decorate clean . lobby spacious nice , friend hang till 2 am , compy nice relax . 
 Sep 17 2003 	 Worth money 	 30 year resident stay many local hotel . say assure want stay Alexis Park . weekend stay host company pool party 1 am . loud music could hear inside room make hard sleep . walkway outside window conversation pass could hear inside . window do not adequate sound insulation . send letter Alexis Park never receive response . 
 Sep 15 2003 	 hassle spacious ! 	 not know happen people stay one well place ' ve stay Vegas . would stay anytime . not expect much luxury -- be like one - bedroom apartment . suite , spacious , bed comfy , lobby area enormous ! be right Hard Rock Ellis Island . liked not smoky casino not right strip . fixture little cheap , show head must good four - foot tall person , be downside .. guess plan staying room order room service , not place , be look convenient , quiet place nice large unit , be perfect ! tip : try get upstairs unit plan sleep . be popular family lot slam minivan door argue sibling morning . 
 Sep 3 2003 	 bad expect review 	 Read negative review . expect disappoint , impressed upon arrival Alexis . room $ 69 suite large neat . tv air conditioner room - small fridge great benefit . ground pool clean well keep . somewhat bad thing say air condition slightly moldy smell . need band - aid walking . gift shop close ( lunch ) front desk quick send security room handful band - aids free charge . shuttle service strip across street ( make sure check service schedule Hard Rock change ) . want expect Aladin , Mirage Bellagio stay , otherwise stay Alexis pleasurable . will definitely stay recommend ( be look slot lobby ) . nice experience . 
 Aug 27 2003 	 stay 	 sorely disappointed stay . first room go working light . second fine food bring , ant come . come spray , spray overpower move another room . third room toliet leak flushed . mind first night stay . finally get fourth room morning attempt take shower faucet fixture fall wall . needless say , going move another hotel . offer room upgrade kind compensation . not want either . quickly call around move Amerisuites enjoy rest time Las Vegas . 
 Jul 31 2003 	 Little average 	 Strengths - Close airport . nice clean pool . towel provide pool chair . decent gym . decent friendly staff . air conditioning unit monitor well . weakness ' - fan bathroom ventilation . sloppy , food tray leave corridor one full day night . concierege go way help . call computer finally come . coffee pot room . access one pool Sunday afternoon / evening Las Vegas model pose pool . 
 Jul 23 2003 	 Save Money 	 horrible service , horrible room , horrible location . 
 Jul 9 2003 	 somewhat disappointing 	 change room - a / c unit make racket one could sleep . maintenance finally come , say could not fix A / c unit old .... well rest hotel . door not shut properly ( warp age ) , simple thing lamp burn bulb ( one ever come replace although request ) , find hair food ( room service ) . fortunately not charge we plate . crack , would well budget motel . old place , tear . 
 Jun 2 2003 	 love Alexis 	 sister extensive research end book Alexis Park . want suite , strip , pool great rate . stay full week June 2001 thoroughly enjoy hotel . eat cafe use pool find fine . suite large , rate excellent , limited contact staff fine location great . cleanliness level seem fine ; memory problem . Believe , would call issue . quiet , lot people around . would much rather stay deal horde Strip . would hate walk lobby robe way pool . door . would definately go back . short drive shopping . 
 May 19 2003 	 hole 	 reason stay conference hold hotel . know well would booked something strip . reservation room receive , room peel paint shower , bathtub filthy , tv remote not work , refrigerator not work , infest moth . ( kill average 6 everyday room , even climb pay phone . ) .We ask change room , , say king non - smoking room request guarantee upon arrival hotel . the next room nice , towel rack not wall , bracket , rack not . overheard clean person phone say ask week now . I ask front desk , would not cash traveler 's check . even trouble get change $ 20.nobody seem want help , response always short quick . I would not recommend anyone . 
 May 15 2003 	 nice cheap 	 find Alexis Park expect . room clean , hotel cheap problem whatsoever . right across street Hard Rock nice , free shuttle different part strip . I would stay . 
