disappoint 	 try check around noon two room close one another . seem problem find two room close hotel 1800 room . tell come back 3 pm would give we key / card . fine , hurry . come back final check clerk rude not friendly . give access / card room across hall , anticipate newly upgrade room boasting , promise , room one stay year ago . new thing flat screen tv lousy picture . bathroom small one person toilet , actually room another person room . door would knock toilet close . friend take shower find huge hole towel go dry ...... WTF ? bathroom sewer fume rise sink ... eww . maybe invest drain cleaner ? mattress shake much lay , think husband put quarter .... bad . casino nice , lie good . got comp Sunday Buffet thankful not pay , hand bad buffet ever see ... note see , take sample , not eat much . orange juice / champagne ( mimosa ) awful bitter juice , spit . keep place open ? year ago , always line buffet Nugget , time desolate . also eat house restaurant , italian one , can not remember name ... tell impressed . good micro - beer . would stay ? not think .... location good , want jump casino casino ... that s . 
 great pool nice hotel downtown vegas 	 Downtown vegas much relax strip golden nugget good place stay . free parking round back building , short walk across hotel . room fairly standard , comfortable . swimming pool highlight , go shark tank clear slide . like vegas pool bite much chlorine pool , still fun . McDonalds street 99cent pancakes buffet across road freemont good value . Most people talk like golden nugget . not gamble , enjoy one night stay . 
 great staff 	 spouse great time Golden Nugget . casino crew outstanding friendliness professionalism . key not work open room , security quick respond allow access room . one drawback , would marriage Golden Nugget RCI time share vacation . not appreciate target & quot ; sign presentation & quot ; every time pass booth way room . familiar RCI time share vacation rental , knkow seem follow promise . , go back Golden Nugget future recommend other . 
 Nov 18 2008 	 place stay 	 stay Nugget 17 year ( yes , confess , may gambling problem ) watch transform several iteration . always bargain , large room , clean , quiet , good service . become first class hotel , south tower room always steal , low 49 dollar winter . although involve walk casino proper running time share gauntlet ( never make eye contact , never acknowledge greeting , keep move Starbucks side property ) , check 30 minute wait ( always send someone party check see south tower desk open ) . Gold Rooms expedite check , walk casino , save time share panhandler . downtown everyone , place stay stay downtown . benion Nugget 's poker room always find game , Mama Cita 's great Mexican / Cuban ( El Cortez , never make trek sundown ) , bit low key ( low , vegas ) . 
 Nov 12 2008 	 Super Spooky Halloween Experience ( good way ) 	 know , expect issue time book prepay Expedia . always trouble one way another , recent visit Golden Nugget exception . plan trip romantic getaway husband , request king bed newly - renovate North Tower . check ( process take long time , take long time everywhere Las Vegas , honestly ) , tell , course , room two double bed . exactly weekend imagine , ' m Puritan . ask king bed , tell single king room available entire hotel . silently stare clerk , eventually cave & quot ; consulted manager & quot ; & quot ; find & quot ; king room North Tower . room ) behind elevator , b ) next ice machine , c ) directly across housekeeping phone . quite possibly bad room entire hotel , Las Vegas , get tough demanding way . also , view ? dirty wall . commence power drinking , eventually forget much room location annoy . awesome club sandwich divine breakfast , recover next day rather nice noisy cave . net net , 's expensive - ish get , Fremont nothing compare Strip ( even Halloween ) , king bed apparently rare big win slot machine . 
 Nov 12 2008 	 wonderful Stay Nugget ! 	 husband stay GN end October . visit August , first time stay downtown . opt South Tower Rooms . we arrive 11 Saturday ; line check - in whatsoever . walk to / from South Tower elevator bad aside endless hounding timeshare people . also starbuck right next elevator grab early morning cup coffee ! walk elevator room 20th floor long . suggest ask room close elevator . view spectacular , factor we . room clean bed comfortable . real complaint room bit dark , even light . fancy eater , Carson Street Cafe work fine we . great food , reasonably price , friendly staff . side note , although make trip , husband love Red Sushi Restaurant / Bar visit August . friendly staff , well . the casino find nice . love Video Poker , spend considerable amount time play 3 bar locate throughout . friendly bartender ~ do not forget tip well ~ they deserve ( also make great Bloody Mary 's ) ! large selection reel video slot slot lover ! thoroughly enjoy stay . super friendly staff clean room , casino , restroom . look forward book next trip early 2009 ! 
 Nov 9 2008 	 Nugget Rocks 	 stay GN end Sept great time . check quick girl check we helpful polite . get room south tower 11th floor find well appoint clean tidy . people forum want flat screen tv , say , hello , Vegas , stay room watch tv ! ! ! ! ! ! .The pool great ate meals buffet think outstanding value service sensational . problem noise constuction site across road within hotel . overall would def stay GN . fremont street area good . although catch duece bus strip become bit frustrating , think would put trade low price nice area fremont street . 
 Nov 7 2008 	 great value nice hotel 	 rate hotel excellent , truth can not knock it . room spacious , lift quick , staff friendly efficient , table pretty good , slot varied plenty low cost machine . Buffet - ' ve well perfectly acceptabletime share people - obtrusive pain butt . apparently rent space hotel , hotel complete diservice much pain would think carefully re - booking . one small warning . to get central strip $ 20 way taxi . there bus run theoretically te Strip Downtown . waste time . cheap may well , join queue wait already 15 minute old , 20 minute bus still arrive . add , journey time , part would rather spend money waste time . as ever love stay Vegas . really enjoy Nugget would definately recommend hotel , subject criterion . 
 Nov 5 2008 	 can not beat price 	 first downtown stay / visit . arrive hotel around 6pm . check - in quick impersonal . girl check we barely look we give clear direction room . check - out tv working call see could check phoneso would trek lobby back parking garage . guy check we friendly , upbeat helpful . stark contrast check - in experience . the hotel clean well maintain . bed comfortable room nicely appoint . room non - smoking room bedspread huge cigarrette burn hole . understand casino hotel vast majority folk smoke . , wait several time different elevator people smoke . common courtesy , least observe fire safety . our room South Tower annoying part stay timeshare people every single time would get elevator . we eat buffet breakfast quite good nice variety option . 
 Nov 5 2008 	 Nugget ok 	 return stay Golden Nugget . agree review , far nice hotel downtown , really do not think would stay . elderly mother ( wheelchair ) stay south tower . check take 25 minute 3 pm , ask specifically close elevator possible . online reservation form , also place put request . know request , completely surprised almost far away elevator possible . get elevator , go long hall , turn corner , go another long hall , end . would return ask another room , want waste hour trudge back , wait line , etc . , every thing fresh , clean well maintain . pool really nice amenity , although get much sun day . I think next time pay less , stay one hotel downtown , walk room take 20 minute , even quite date . 
 Nov 3 2008 	 2nd stay Nugget - Nice Much Noise 	 boyfriend stay Golden Nugget October 30 November 2nd Halloween celebrate bf 's birthday . second time stay Nugget , time not feel like splurge Gold Club room stay regular South Tower room . ask nicely complimentary upgrade check , since manager stand right , offer one $ 25 night , decline . as other post , South Tower room really not far away , perfectly nice . 18th floor , room 18109 , way elevator , nice view toward strip mountain distance . king size bed , flat screen tv , nice clean , good value three night $ 198.00 promo , include taxis . however , keep mind hotel charge $ 100 night deposit check , be use debit card / check card , still will not sign privilege even deposit . this far nice hotel downtown , seem bit less smokey rest well . pool area nice , water slide , shark tank hot tub . personally , think pool couple degree cold hot tub couple degree warm , still nice place get away relax . not crowd go , around 10:30am Friday morning , problem get chair line go slide . the real big complaint hotel noise . room good insulation , could not hear neighbor , really need something around door hall . could loudly hear clean crew every morning , bang vacuum talk loud walkie talkie . middle night could see large slit light side bottom door hall , really insulation door . also , Friday awake promptly 6 be loud foghorn noise . ' m guess call construction worker work , since incessant barrage loud truck back ( beep beep beep noise ) lot bang . have think 18th floor would safe noise , nope . not light sleeper , end turn AC fan try drown sound , not block way , good enough get back sleep . overall , think stay want hang Fremont Street , quite fun cheap . 
 Oct 29 2008 	 great stay 	 husband stay South Wing Golden Nugget 5 night September , 2008 . room nice clean beautiful , large , soft towel . view not great - carpark park car ! ! opt VIP check - in ( $ US22 ) ensure we non - smoking room choice bed . rang Barstow morning find time check - in tell we already check people - usual 2 3 pm like hotel . glad have do arrive check busy . go VIP check - in straight away . elevator great - one ground floor 9th floor , 10th floor . stay South Wing little bit away check - in close free parking lot , find convenient use car every day . Freemont Street great night see action outside . pool wonderful , especially see fish , include shark tank . go park car free park locate corner eat 1st Street & amp ; East Bridger Street . never problem find park . Breakfast include plenty eatery around Golden Nugget . 
 Oct 25 2008 	 Best downtown hotel ! ! 	 recently stay Nugget 4 night love every minute ! tank pool / spa excellent - really cool able swim close fish / shark tank ! eat Carson Street Cafe Grotto ( italian ) - good . also would recommend Golddiggers Club - really enjoy view Fremont Street brilliant - especially light show ! stay Strip nugget 10 night - probably enough downtown alone long trip look cheap accommodation would perfect stay easy access Strip via deuce bus ( regular service - various stop way along ) $ 2 one way $ 5 day . room clean comfortable good size . friendly staff . perfect stay ! Stewart & amp ; Catherine , Scotland UK 
 Oct 24 2008 	 Best Fremont pool ? ! ! 	 like love Freemont area still want top notch hotel Nugget . like Freemont fact feel safe comparison strip . also Bay city diner - yummy ! ! ! pool nugget amazing , shark tank fab feel wonderful lay middle hustle bustle chill . construction ' affect , music pool drown noise . room nice , clean , date , fancy guess , comparable strip hotel . it be location Freemont great 's strip bear mind . be much expensive downtown hotel well . thing price Vegas vary madly may find top strip hotel deal place nugget something Freemont ' tempt away Paris similar . gambling find slightly expensive nugget surround hotel . main street station great though minute away . big problem check - in , huge qs leave pair earring bathroom shelf . realise 1/2hr vacated room tell room rent already ' find ? ! ? stupid fault guess . all ' go back second want stay downtown . 
 Oct 22 2008 	 Courtney courtney courtney .... 	 Staying Nugget great . visit wife , another couple . room fine , service check go smoothly . Sharktank ( pool ) outstanding . rent cabana day , reasonable price . cabana come flat screen tv , refrigerator , complimentary fruit plate bottled water , couch , indoor chair , deck chair , etc ... one thing be not list amenity cabana waitress , Courtney . oh ... ... God .... might single attractive woman history waitstaff industry . come around corner first time , wife . immediately became drool caveman ADD . leave , wife looked say , & quot ; okay & quot ; , thereby verify Courtneys hottness . friend get , become even bad . could hear brake screech conversation might going come ask need anything . plus , great server . overall , fantastical week Nugget . 
 Oct 21 2008 	 definetely visit 	 receive great rate $ 99.00 3 night thank trip advisor forum tip , line - up check ( actually big line - up vip ) , receive upgrade North Tower overlook pool , nice . hotel much nicer expect , pool beautiful , casino nice overly busy , get whiff cigar smoke couple time . go 16 year old would probably happy strip go back without would definetely stay , bus $ 2.00 strip , taxi $ 20.00 . thank trip advisor member tip ! ! 
 Oct 21 2008 	 Loved Golden Nugget 	 return great week ( 10/9 - 10/16 ) , despite day unusually cold weather , Golden Nugget . love eveythe hotel . check - in around 5pm take 10 minute . stay south tower not mind long walk casino . standard room king bed request . room nice clean large hotel room . not much view not request view . not hear noise kind . people room next we not know . great ' m light sleeper . we eat Grotto Bar several time instead inside restuarant . food wonderful go service . also eat buffet , good Sat . & amp ; Sun Brunch eat Fremont Hotel Champagne Buffet crab claw , salmon & amp ; shrimp . love hotel right Fremont Street enjoy downtown much . stay strip past never stay . will take deuce like time 1 day 's it . the Golden Nugget good can not wait go back . 
 Oct 19 2008 	 great problem 	 stay nugget Oct 12 -17 south tower . hear noise ever , check line . pushy timeshare hawker . little credit card glitch , big deal . stay next year . 
 Oct 19 2008 	 warning ! construction noise ! ! 	 really like Nugget stay numerous time , build new tower construction noise awake 4:40 airhorn go every TEN minute nonstop hour . forget sleep . south tower face construction - great view crane , be . will go back construction over . by way , many strip hotel also overlook construction due many large project way - notably City Center project - beware construction noise sensitive sleeper ( ) . 
 Oct 17 2008 	 Nicer expect 	 little concerned would find Golden Nugget 's old , less expensive south tower . make reservation phone , salesman really push new , expensive north tower room , extoll virtue pillow - top bed , flat - screen tv in - room safe . decide go south tower anyway , ... maybe lucke , maybe be important ask room upper floor ( 18th floor ) . budget room boast pillow - top bed , flat - screen tv in - room safe ( ! ) anyone , like , might hesitant choosing & quot ; old & quot ; room not . nice -- large , nicely decorate , several piece furniture , table , chair nice , clean bathroom plush towel even two robe closet . sure , carpet little worn , not bother I . my complaint -- may sound strange -- bed pillow horrendous . can not believe high - class establishment would put uncomfortable pillow room . one night , simply could sleep pillow -- be small bunch , lumpy foam . hotel 's credit , though , front desk replacement pillow deliver middle night , fine sleep fine . one final note : first time stay downtown hotel . find miss stay strip , believe may worth extra dollar , especially ' ve never Vegas limited time . Golden Nugget great value money . 
 Oct 10 2008 	 great time nugget 	 wife stay GN Oct 7th thru Oct 10 . arrive noon . line . room ready . clean cold . stay South tower . walk nothing casino freemont street . pool great . chair little close still nice . food excellent . breakfast buffet one morning , cafe two day lunch Vic Anthonys one night dinner . v good . valet service free guy helpful direction . cant wait go back . 
 Oct 10 2008 	 Nugget really not Golden 	 really disappointed hotel . staff ( Lilly 's Noodle Bar aside ) breath - takingly rude incredibly unhelpful . pool fine not mind virtually sit stranger lap ( sun - loungers touch ) . also overall would say - not stay downtown not mind either $ 30 taxi ride hour 's bus ride get Vegas proper . 
 Oct 10 2008 	 Golden Nugget golden room 	 go Golden Nugget Las Vegas Bike Week 2008 . arrive room look nice . till evening kill cock roach partner exscape door adjacent room . report issue Manager duty Jerry ask charge anything room pay cash charging . say exterminate crew would room spray . never hear anything issue . notice mold shower . final event person attempt enter room . hotel person show knocks door discover give person wrong room number . check ask sort comp issue . manager duty ignore wife say Jerry would look it . bike Fest interesting would consider hotel option . 
 Oct 8 2008 	 long check line 	 first impression Golden Nugget good . arrive , long line check . stand line hour . three day stay , always long line . tiresome long flight . clerk apologize inconvenience . probably stay elsewhere next time ! 
 Oct 8 2008 	 Loved Golden Nugget 	 cheap room wonderful . everything room quality much high priced room anywhere world . love ! ! ! ! ! ! woman travel alone make feel safe comfortable every way . buffet good high quality food plenty healthy choice . price good , too . I would like able use gym extra cost hotel lay . whole hotel elegant new pool aquarium center well . could swim along shark fish hot sun . I like Downtown , Freemont , part town easy get around even easy get bus strip . journey bus take time many people . I would choose hotel time . really gret . travel lot fussy . 
 Oct 7 2008 	 favorite place Las Vegas 	 Golden Nugget far BEST casino / hotel downtown Vegas -- good time , hotel awesome - the room really nice , bed comfortable wonderful trip - the pool unreal shark tank water slide . stay strip trip Vegas time think would try stay downtown good choice could ' ve make -- super , super good time ! ! great time , can not wait go back ! ! ! ! ! ! ! ! ! ! 
 Oct 7 2008 	 gold brick 	 book strength trip advisor review desire strip day children.great hotel , locate right middle freemont experience . room large comfortable bed good bathroom , quiet morning easy sleep . good reasonable price restaurant . huge hotel still large however easy enough get around child restaurant pool etc . pool superb . slide fish tank real feature . kid love . bar pool good . gaming table around pool inclined.check simple quick check , friendly staff.drink gambling pricier rest freemont area tend wander anyway . all allwell worth reasonable price child friendly 
 Oct 6 2008 	 good expect 	 receive excellent offer Golden Nuggett via email decide cut stay Las Vegas Hilton short stay 2 night Golden Nugget . nice stay downtown area short time impress hotel much . front desk check - in clerk border rude . also never get club card line rediculously long time day . eat buffet twice would say food fare affordable . also bad luck slot pretty much case everywhere trip . pay upgrade room North Tower . room nice enough still felt date . road construction wake we promptly 6a every morning , nightmare . Wish would know construction either get another room stay . feel like upgrade downgrade ! pool excellent ! loved aquarium pool , cool . pool deck small though amount people chair place smack . feel comfortable lay close stranger really . drink pool bar good . guess would still place want stay downtown hotel look nice . think next time stay Las Vegas Hilton take taxi Nugget like always do past . 
 Oct 6 2008 	 another Good Stay Golden Nugget 	 return five night stay Golden Nugget superb , usual . stay February July year also would stay nowhere else Nugget trip . first review wonderful hotel , last visit return . it never take we 15 minute check always grant request high floor , smoking , king bed . July visit , find television replacement huge flat screened version . relative also stay GN first time downtowner , impress well . except one visit stay suite North Tower , South Tower long walk anywhere . second Starbucks outside bank elevator well computer area print boarding pass $ 5 . room clean spacious bed comfy . another replacement since summer shampoo , conditioner , hand lotion half size former container . lotion handy & quot ; go & quot ; size , conditioner enough one person . however , housekeeping oblige request another conditioner . vanity makeup mirror outside bathroom convenient dry curl hair husband shower . pool area great shark tank relax evening well . huge pool area , sunny shady area well area meet group . wait go back . 
 Oct 1 2008 	 many glitch 	 30 minute check . pool completely close Sunday . Buffet service cashier trouble understand English . Shower break , maintenance man come fix track mud shower still not want use . room door warp extremely hard open close . tv large , not HBO . spammer lobby keep try sell time share . otherwise , decent hotel . one thing would put hotel , take together add can not imagine stay . 
 Sep 29 2008 	 awful stay 	 one bad hotel ' ve stay , numerous problem stay . husband arrive , supposed get king bed . lengthy check - in tell would take room two double ( small ) . ok hotel say would contact we next morning move we new room . get room ( south tower , 22nd floor ) happy . entire NON - smoking floor smell like dirty ash tray , especially room . obviously , floor point smoking floor . evidence provide room bed sheet BURN HOLES ! a / c room loud rattle . next day staff never contact we change room , pester . numerous phone call , extend wait time , hang up finally get someone ( manager ) tell we new room ready 7 pm , morning promise . husband go front desk get new key , leave stand half hour finally give he . we move new room ( south tower , 18th floor ) , floor smell like smoke get king bed . think set ! wrong ! new room WET carpet , yes really wet ! apparent , smell , someone puke area carpet staff wash strong floral smell cleaner . Yummm , room smell like pukey flower make sure step wet spot . room also loud A / C , though one not rattle like previous room . make thing even well , & quot ; Demand Movie & quot ; option tv break could not order movie wireless internet break entire hotel ! software consultant convention .... imagine ... break internet ! trip perfect enough , last day decide use light make - up mirror electricute . yes , really , brass base make mirror live ( luckily low voltage ) . hotel send security check mirror . arrive grab mirror tell current ..... point rub sole shoe tell take shoe grab mirror ( duh , simple physics ) . not want .... point , even crazy lady imagine whole thing , take away question replace , give hard time it . overall , place awful . addition , decor extremely old , refrigerator room , light poor worth money . 's & quot ; old Vegas & quot ; $ 20 cab ride ( one way ) get strip . hear people renovate North tower bit well expensive still issue staff , want spend money would stayed someplace else entirely . 
 Sep 28 2008 	 ok great 	 Golden Nugget , Las Vegas , NV ok great . arrive : September 21 , 2008 review : Michele , Pennsylvania pool nice , tank pool awesome , small pool ok . room nice , large , not luxurious like site lead we believe . stay south tower , might well stay north tower . boast international beer bar , joke , plain old bar near casino exit , really nothing special . place get burger beer want . suchi bar always empty noodle house also vacant . Vic & amp ; Anthony 's steak house , way price . next time go stay strip . 
 Sep 27 2008 	 bad hotel bad service 	 please go hotel ! trip Las Vegas , excited see city . start worry hotel stand line check , wait ( wait ) two group desk personnel stand around talk , ignore people line . ask room king bed , give room two double . ask could get request room , tell . ! & quot ; No . & quot ; ask possible check next night . & quot ; guess can . & quot ; response . go downhill . room dirty , staff run indifferent rude . seem attitude 3rd rate hotel not need make effort one really care service guest . one positive - nice doorman bellhop - great ! 
 Sep 26 2008 	 first choice 	 hotel bad , good . poor value money sort run . staff , one exception , horrible . person helping check great , go hill fast . would avoid hotel base three reason : poor air quality - place smokey air stalelocation sub optimal - expensive get intreste part town location justice center , definition high crime areavalue - great value money - vey pricey get - particular retaurant hotel seem expensive give provide . I find place & quot ; fun & quot ; & quot ; relaxing & quot ; could stand smoke . old building lack modern air purificaton system . think new addition / construction make great difference . may help air quality , . location remain away . staff seem generally interested help see guest happy . really show . end stay , ready vacation - seem sort f wrong ! 
 Sep 25 2008 	 Gem 	 HaveJust come home another fantastic trip Vegas . stay Golden Nugget Fab . staff helpful pleasant , room great overall service superb . vegas virgin regular alike Downtown Vegas must . Freemont experience shine Strip .... great tour trip neon museum aka boneyard , , must tour , book advance well $ 15 ever spend , plan trip vegas soon , make must list , think actually museum plan next year , cool see raw state must , csi fan must , see season 4 episode 22 . would also check Bills Casino strip Karoke $ 1 beer must 5 guarantee singing , , abba classic , dance queen ( blame super mamma mia see night mandalay bay ) .. can not wait book ! ! VEGAS ROCKS ! ! ! 
 Sep 24 2008 	 Great Hotel Downtown ! ! ! 	 move Golden Nugget strip hotel stay trade show . say WOW ! book Gold Club Luxury room . nice change Vegas hotel . floor 17 North tower dark wood , quiet attractive . coffee , water munchie sit elevator get . room great ! dark wood , dvd player , Pod player , flat screen tv . great furniture large , comfortable bed . bathroom really outstanding . huge shower waterfall type shower head . large bottle shampoo , conditioner , lotion , shower gel , shaving kit , etc . sink separate bowl sit dark , granite countertop . love mirror tv . upscale well worth little extra regular room . also receive amenity booklet two one buffet , free drink half special . the pool great ! newly renovate shark pool middle regular pool . water slide go right shark pool big hit . fish swim around day watch people hang pool . bit small people , go early want good chair . pretty good bar service too . we go breakfast buffet . normally much buffet one really good ! weekend load option food along unlimited mimosas bloody mary $ 3.00 . waitress fabulous bring mimosa we one already half empty . finally say , stop would still ! ! ! must say surprised nice downtown . & quot ; old & quot ; Vegas new twist . downtown light show pretty fun watch , love old casino much low bet minimum , good drink service much easy walk hotel . strip , would take twenty minute get one hotel casino , much easier entertaining downtown . decide future would stay downtown go strip show two . last time stay venetian , lovely minimum bet $ 30 not real big time gambler . like small , easy casino . stay Nugget great time , great service true Vegas experience ! 
 Sep 24 2008 	 bad hotel american trip 	 arrive , huge , 25 minute queue reception . we later see always long queue time day night bit pain want e.g . local info . reception staff forthcoming advice help ask they . the room clean quiet bed uncomfortable . hotel also uncomfortably cold common area e.g restaurant , corridor air condition full blast . luckily air conditioning unit room able programme ourselves . the area hotel locate grim ugly . 's ( advisable ) way get central strip ( glamorous hotel + fun ) unless get taxi 10 mile ride . taxi cost we 25 dollar way . less advisable way catch local bus nearby bus station . try fail give poor info receptionist want we catch taxi ! bus station environment pretty dodgy look too . if be go Las Vegas gamble nothing else hotel probably ok casino . want get bit trip want somewhere central think . retrospect , have happily pay stay elsewhere e.g . central strip would save money taxi ! ! 
 Sep 23 2008 	 great Stay 	 arrive noon Saturday 13th ... room ready wait smoke king room . staff pleasant helpful - check line quick ! room ready promise 3 . room nice - obvious defect - wonderful view mountain . big ( 32 inch ? ) flat screen tv nice feature . Maid service hit miss . one day miss - facecloth - another day fantastic - room spotless extra towel - leave . staff pool , casino buffet Grotto knowledgeable , friendly generally helpful . second trip Nugget probably will not last ! 
 Sep 18 2008 	 love hotel 	 San Antonio , texas , buy husband Mitch birthday trip vegas , stay golden nugget hotel , great hotel , nice room good service , money , fun .. call hotel direct reservation give good deal buy 2 night geht 1 free .. thank golden nugget hotel , back ... Rose san antonio 
 Sep 18 2008 	 ok hotel ordinary people 	 book hotel + /- 60 $ /night buy upgrade one bedroom suite 100 $ /night extra checking . reasonable price get huge suite ; large living room , bedroom , two bathroom ( one shower & amp ; tv , one whirlpool ) . suite spotless clean nice view , noise . that good part . Fremont Street ; not understand people like beside light show evening . one nice shop , simply one . ordinary souvenir shop casino 's , 's . spend half hour Fremont Street ' ve see . hotel Fremont street see crowd . ' ve never see many ordinary people together one place , crowd hotel strip different . sorry say guest Golden Nugget rather low class . sometimes feel uncomfortable . certainly leave good clothe home . beware distance strip , taxi ride cost 25 $ one way tip . check early morning computer , could not even tell amount bill . say would send bill post , still not get it . sure get great room great price , doubt , know low class crowd location , would stay strip . 
 Sep 18 2008 	 Golden Nuggett Golden . * * * * * * * 	 book trip Golden Nugget Priceline , go Thur - Mon pricey , could trip Sat - Wed half price ... could not get time off . I stay 5 time Vegas 13 time pretty know expect . arrive 11 pm Thursday night , take Taxi , screw charge $ 41 .. return trip $ 25 .. ? be not pay atttention arrive , think price gas go something ... utilize deuce bus downtown , 2 block Golden Nugget , safe , $ 2 way strip ... first time take suprise nice ... often future .. Room South Tower fine , clean , good maid service , long walk casino pain .... room floor last one long aisle also ... go Big Elvis Bills gambling hall strip , lose 500lbs ! Great Free show Mon - Fri , casino floor 3p-6p everyday ... must see ! see 5 time ... spend lot time sport book Golden Nuggett pack Football weekend ... bet $ 500 $ 2k bet .. ask drink ticket .... get free drink ... make easy ... breakfast buffett nice GN ... $ 10 Mon - Fri .... expensive ont weekend ... mad long serve Binnions chili Coffee Shop ... buy cup snack bar upstairs ... great chili thou .... try ! flight screw back ... great time ! ps ... notice normal work lady downtown trip .... right open approach folk ... numerous hang GN bar weekend ... never go wrong GN ! 
 Sep 17 2008 	 Excellent stay Golden Nugget 	 third trip Las Vegas stay Strip previously ( Bellagio Excalibur ) . disappointed stay Golden Nugget enjoy Fremont Street tremendously . we book 11 night . check - in quick easy request room good view choice downtown mountain . opt latter . we locate South Tower , close pool area , Carson Street Café one 2 starbuck operate within hotel . the room extremely spacious clean . comprise two double bed , bedside table bed lamp , telephone digital clock . large chest drawer ample room clothe , sit huge plasma screen television . addition good sized round table , two comfortable chair large wardrobe abundance coat hanger , one iron , iron board , hairdryer , two dress gown safe . window open air - conditioning unit underneath window frame , quite effective intense heat experience . also within room vanity unit two good mirror ice bucket ( free ice machine corridor ) .The bathroom good size large vanity unit , bath shower . abundance clean towel provide day never without free toiletry replenish day . Golden Nugget beautiful hotel , extremely clean comfortable good atmosphere . staff deal friendly eager help . bed comfortable home housekeeping without fault . pleasure return clean tidy room day . breakfast buffet extremely good value huge selection morning , freshly prepare quite delicious . also eat Champagne Brunch weekend food fresh delicious wide selection choose champagne flow freely glass top regularly . we eat several time Carson Street Café constantly impress excellent quality food reasonable price . , relaxed atmosphere staff efficient friendly . enjoy several morning Shark Tank Pool comfortable sun lounger . pool area attractive extremely clean . amazing experience swim alongside shark fish tank . two bar , serve drink food ( although little expensive ) good mix music play day , suit taste . become little crowded weekend sun lounger quite close together . however terrace area quiet . pool also hot bath , hold 50 people . area comfortable seat day bed . also several Cabanas hire . the slot kind we Golden Nugget . join player ' Club give $ 10 free play . proceed win $ 70 , rather nice ' cost penny bet ! husband could fault Golden Nugget return Las Vegas would hesitate stay . downtown different holiday Strip . party atmosphere evening live band street entertainment . day relaxed get tired walking casino next door one another . also , price difference noticeable Fremont Street far cheap well value Strip . definitely 10 10 Golden Nugget Fremont Street . 
 Sep 16 2008 	 bad price 	 bad place stay . alway stayed strip think would fun stay downtown . hotel alot small would think , easy get around . love pool ........ small great place relax . get early hard time get chair . breakfast buffet bad dinner one bad . eat dinner , go Main Street less money much well . room north tower quiet . room small bed great . bathroom smallest see something close bathroom cruise ship . say would go back . staff great really great time . 
 Sep 15 2008 	 get pay 	 . room fine ever present stale smoke smell & quot ; non smoking room & quot ; ... nothing fancy bed comfortable , important . pool fun , surely hip vegas . retrospect splurge extra cash stay close strip ... cab ride strip cost $ 20 - 25 . 
 Sep 12 2008 	 Return 	 Check take well hour . obviously several flight come around time . they know come . guest speak come time , , airline snafu cause sudden crowd . so not staff ? not know . room fine . great , spotless either . say enjoy vanity light magnifying makeup mirror . I enjoy ignore entrance poker room . nicely dress normal looking 43 year old woman . three separate time ignore . the pool nice . would recommend & quot ; Buffet . & quot ; lack imagination naming place clue lackluster effort quality food beverage . I bad service life & quot ; Grotto . & quot ; ' m long time hospitality manager spare litany thing wrong sound crazy . Suffice say & quot ; Fancy Dinner Night & quot ; really suck . food strictly ok . go Mamacita 's street really good food Service . I will not complain much 24 hour construction outside room . Vegas not expect quiet . I mention know , would choose stay side street . which ... binion 's . 
 Sep 11 2008 		 Hotel pool much nicer use hard find chair pool . the pool area crowd ! shark tank cool wish room pool enjoy . room average . would rather stay strip though . 
 Sep 10 2008 	 Good Time ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 prior arrive , call check room book line see could get room guarantee . please aware & quot ; Standard Room & quot ; people book locate South Tower . problem South Tower nearly 100 yard away room upgrade . get room guarantee North Tower ( Standard Room ) consider upgrade cost additional $ 36 per night . not ask , will not volunteer tell . also , would recommend pay additional $ 20 fee vip check avoid long line , particularly early check - in . find staff friendly accomodate throughout stay . word caution be check wee hour morning - get copy folio ( bill ) prior check impossible computer shut . tell would send we either fax mail . well , 's week still not resolve . charge appear wife 's credit card one explain give we actual charge . would highly recommend buffet breakfast lunch find shark tank Freemont Street experience awesome . book round trip transportation airport Gray Line Airport Shuttle . sure call 24 hour advance make reservation pick hotel . call driver time . come close missing flight bus pick we hour late . P.S . avoid offer & quot ; free stuff & quot ; hotel exchange hour time . 2 - 3 hour time share presentation turn 41/2 hour high pressure gimmicke good business . 
