Love 	 Service hotel exceptional - wonder specifically hand pick staff - great . consierge Gina wonderful Jamie gal go way please staff . room nice - lovely linen comfortable clean bean . great separate little kitchenette also . suite 18 year old dcaughter could privacy.the breakfast great - huge delicious - bar man night great buzz - great cocktail . greet lovely bottle red NSW . coincidence be great well thought .The location convenient get within easy walk distance transport action . everything within walk distance plenty see mention eat . the would say room get tad warm air con set winter temp experience several time - management however try fix wherever possible quickly . worth every cent - nothing miss hotel - ( free shoe polishing ) - professional friendly staff GM also friendly gentleman take opportunity pay attention detail - staff also really appear like n - make wonderful workplace culture ' m sure shall return next year Benjamin - enjoy wonderful city - every minute 's hectic pace - can not wait get back 
 Sauna 	 stay one night November . back - room feel like sauna . try turn heat , use AC , open window . still sleep without cover pjs ! November ! completely unacceptable . otherwise , good location business midtown east . good size room clean bathroom little microwave sink area . bed comfortable linen scratchy . 
 Aug 29 2005 	 great location big room good rate -- solid choice . 	 within easy walk distance site , shop subway . large room NYC standard . nice bath Aveda product . room microwave , coffer maker large fridge ( great long stay ) . staff friendly helpful . minus : noice Lexington third floor ; really could not get adequate lighting read night ; tv make awful screech noise cell phone rang ! flight hotel thru Travelocity around $ 580 include taxis , fee , etc . 
 Aug 18 2005 	 Superb ! 	 get back five night stay Benjamin husband , three & quot ; kids & quot ; age 22 , 20 , 11 - along maltese puppy ! extremely pleased . select hotel literally read almost Trip Advisor review top 25 hotel New York . want midtown location , preferably boutique hotel , upscale stuffy . pet friendly , suite spacious enough accomodate us - value price ! oh mention good service ? needless say former travel agent veteran international traveler demand guest - particularly complex need trip . benjamin disappoint - fact friendly , well train staff rise occasion every turn start finish . for example : ticket theater NY Yankees game overnight deliver hotel various time throughout stay ... ticket one venue arrive ever check - everything go smooth . mention occasion delivery get lose hotel . operation hotel extremely organize impeccable attention detail . arrive mid morning even though check - in not 3:00 pm room ready we . check easy fast request king deluxe suite pull couch rollaway get room assign queen suite sans rollaway . tell not one available hotel trying borrow one another property . ( truthfully , queen suite would spacious couple , family one child , perhaps even two small child . family five cramp especially one rollaway arrive - fair not many property accomodate five people dog quarter ! ) still press . call front desk speak Maria , impeccably train young woman check we . understand dilemna give size family . unfortunately king deluxe available offer move we next day . ensure satisfied , rollaway arrive immediately . might mention room maximum suppose 4 hotel not balk - fact go beyond make sure comfortable throughout stay . next problem arise could not get high - speed internet connection laptop run call front desk yet . immediately send technician everything work within minute phone call . appreciate combination fax/ printer easily intalle computer . spacious desk great workspace make also good choice business traveler . next morning decide stay queen suite Maria catch we leave hotel . encourage we reconsider move large suite offer hold open we 6:00 pm case change mind . also offer move luggage get puppy moved not want leave hotel staff . return day 's activity , Maria take we preview large suite indeed good bit spacious - fact extremely oversized , well light , well appoint . moved end , pleased king deluxe suite . would say suite size type hard come anywhere especially rate charge . rate fluctuate throughout stay average $ 350.00 per night . interface almost support staff - concierge , bellman , doorman , housekeeping - give tremendous service . example , taxi driver refuse take five we , doorman go bat get driver reconsider . feel well take care stay extra attention detail go unnoticed . example , keep disturb sign time housekeeping would not contend puppy . housekeeping would call night say honor disturb sign would happy service room time . since housekeeping not come regularly , call several time extra towel , extra soap , etc . - someone door within minute request . ask replacement Aveda product one staff member arrive large plastic bag chock full goody . toward end trip discover return flight home schedule 9:00 pm rather 9:00 flight thought book . ask hotel late check graciously accomodate we . far cuisine , usually shy away hotel restaurant especially since many great place eat ny . however , opt eat restaurant one evening press time get theater . experience end pleasant surprise food wonderful ! live outskirt New Orleans , city note cuisine , not say lightly . Maryland crabcake fine meal eat anywhere - feedback rest group similar . service restaurant excellent . review indicate noise Lexington problem find . sixteenth floor experience hotel serene quiet . would reccommend ask room one high floor important you . in summary feel Benjamin fine hotel good midtown location offer wonderful service , good amenity , lovely , spacious accomodation , value pricing . well - organize operation friendly , highly train staff . problem occur staff go extra mile ensure happy . folk provide memorable experience . feel Benjamin would good choice couple , business travler , family kid tow , folk pet - think cover everyone . property casually elegant , comfortable , clean - highly recommend Benjamin definitely stay return New York . 
 Aug 8 2005 	 Benjamin good overall 	 stay Benjamin five night wife two child ( age 3 1/2 21 month ) . overall , find terrific hotel . 1 BR suite , kithenette . room reasonably sized - huge , big enough . arrive late one eveing , ask hotel make pull - out bed also set crib . everything take care time arrive , allow smooth transfer sleepy kid car hotel room . room clean , nicely furnished , working order . think bed quite comfortable . the staff professional nice . call front desk weather report , say would check online call back . within 60 second receive call back . similarly , call concierge one morning arrive duty . hotel operator promise would call we soon get . five minute later , phone . think place well run . we breakfast room morning , say food expensive pretty darn good . kid love unbelievably good pancake . also dinner one night , also good . they small reasonably equip gym , nice spa interested massage , etc . all , good hotel . would return . 
 Aug 7 2005 	 good choice Manhattan 	 Visitors NYC hotel often must choose lower standard rase limit credit card . benjamin excellent compromise . not Four season St. Regis , little standard room Manhattan chain hotel like Hilton , Hyatt Marriott , Benjamin provide room appoint least nicely , much large . stay 1br suite spacious living room , kitchenette , bedroom large hotel room . bathroom small , little place put thing , clean , functional , finish nice white marble . ask room high floor and/or face east ; Lexington Ave . side building noisy . 
 Jul 23 2005 	 fabulous stay 	 husband spend three night Benjamin July 15 - July 18 , enjoy B.C . package ( & quot ; Children & quot ; ) . include full breakfast ( top notch ! ) cost $ 259 per night , although $ 30 upgrade one - bedroom suite . the accommodation spacious , attractive comfortable staff helpful cheerful . enjoy pillow menu ( like 5 - ft . body pillow ! ) aveda product . as mention , street noise could issue sensitive ( enjoy view , street noise not bother we ) . would like free internet access ( cost $ 10 per day . ) confusion stay desk staff explain detail package check . call ask , staff member handle call cheerful knowledgeable . , check , put breakfast charge bill ( suppose give we voucher not ) . impress we , keep we come back , take one call remove completely . service Benjamin EXCELLENT . 
 Jul 21 2005 	 Comfortable - Best Night 's Sleep ! 	 July 2005 . partner return 7 night wonderful Benjamin Hotel . search Expedia , Orbitz Affinia web site , reserve 1 - bedroom suite $ 279 night , call Affinia 800 number . we request quiet room high floor ( 20 + floor ) pleased check room 1209 , corner room back hotel . quiet bedroom two window , one face east face north – lot light comfortable king size bed , pillow linen ever ! living room little crowded oversized furniture east face window , comfortable . kitchen microwave , wet bar - sized sink & amp ; refrigerator ice maker perfect – call front desk request mini - bar set up snack remove . refrigerator totally overwhelm overpriced water , sodas & amp ; spirit . our gripe bathroom . shower / bath combo narrow crowded metal shelf shaving mirror – mention shower curtain seem always touch part body shower . lighting could also improve upon , shaving challenge . since fly JFK , take Airtrain Jamaica Station $ 5.00 e subway line 53rd Lexington $ 2.00 . travel time gate hotel 1 hour . be forewarned , hotel taxis whop $ 44.82 daily , add $ 313.74 hotel bill . we love Benjamin definitely stay whenever visit NYC ! 
 Jul 21 2005 	 warm intimate hotel big city 	 recently spend long weekend Benjamin . agree previous positive post . location good , room great , bed comfortable , staff friendly without exception . problem refrigerator work properly able fix stay . plan stay Benjamin soon . 
 Jul 20 2005 	 nothing spectacular ; fine hotel . 	 Perfect location ; lightning - fast check - in check - out . room average ; comfortable bed ; desk fax machine / printer ; nice bathroom ; tiny kitchenette . cord high - speed internet , price rate use nowhere find . Thermostat broken room ; AC blast high throughout night ; 60 degree room ( window open ; could turn AC beccause would get hot ) .Old tube tv crappy quality . regular check - in 3 pm ; arrive 1 pm problem cheke in . do complain interaction staff except arrival / departure ; therefore comment problem handle . 
 Jul 15 2005 	 Everything - PERFECT 	 stay NY hotel wkend trip Benjamin good price far . great Midtown location ( be want ) ; impeccable service ; clean , modern room ; easy check in / check ; mention great service ? get decent room day , be go cost 200 - 300 per night - least be find . decent : clean , fairly quiet , date facility , quick , efficient service , non sense . get last minute rate $ 249 worth every penny . hesitate stay . 
 Jul 14 2005 	 Benjamin ! 	 return weekend getaway NYC stay Benjamin wonderful . arrive downpour rain way check - in time , front desk staff accomodate provide we room early . even provide corner room overlook Lexington Avenue upper floor . feel like go call duty . the pillow menu unique touch , try several different one fun . galley kitchen unexpected bonus well . all hotel staff doormen concierge maid staff extremely helpful polite . go way make feel special honored staying hotel . we stay Sofitel NYC well love , stay , would rate Benjamin little high Sofitel . want close Times Square though , would recommend Sofitel . definitely stay Benjamin recommend highly . 
 Jul 12 2005 	 hotel ! 	 ' ve stay hotel city mediocre service small room - finally find hotel stay every time visit city ... room fantastic , little big kitchenette ; also give choice pillow use ! , customer service fantastic . doorman , front desk , maid room service . make excellent experience would highly recommend hotel anyone travel city ! 
 Jul 10 2005 	 great service great value 	 recently stay Benjamin weekend getaway NYC . service impeccable - similar experienced high end hotel ( e.g . Four Seasons , Ritz Carlton ) . check fast courteous . request meet quickly efficiently . trouble get balcony door lock house staff within minute . location great east side shopping activity . book suite size average NYC . balcony great ( unusual NYC ) ! kitchenette also great plus . pillow menu fabulous . husband never sleep well hotel thank pillow menu sleep like baby . downside would mention carpet upholstery need updating - would not stay away . would put Benjamin par Sofitel ( prior favorite NYC hotel ) recommend . great affordable place eat right neighborhood also . still love Sofitel - Benjamin worth try . 
 Jul 1 2005 	 Fit 	 recently return wonderful long weekend Benjamin ' say enough staff come contact Mohammed doorman Diego Gina Concierge Desk Rocco waiter breakfast Oceans 50 . moment arrive , everyone make we feel like genuinely glad we stay Benjamin . arrival several hour usual 3 pm check - in provision store luggage point nearby café could breakfast set explore city . return show suite terrace , galley kitchen , business desk sofa sit area king size bed small nicely appoint white marble bath . two walk - in closet provide ample space hang thing luggage . surprised receive lovely box Godiva chocolate hotel manager welcome gift . addition usual well stock mini bar , gallery kitchen contain dish flatware 4 coffee maker . coffee tea complimentary . take advantage Benjamin ' pillow menu consist 9 different pillow type . choice quickly bring room place request . Benjamin also several dvd player ' available also make use one evening . room comfortable least bit noisy . view bed night city light nice reminder Big Apple ! another advantage Affinia Spa , fitness center steam room locate conveniently third floor hotel . as mid - town Manhattan location ' beat Benjamin ' hard press find staff extend way Benjamin . often find concierge make lunch reservation follow 2 glass wine send table ? upon find celebrate birthday weekend cake candle send room ? 
 Jun 25 2005 	 break without kid 	 arrival JFK take New York Airport Service Airport Bus $ 15 . bus stop Midtown hotel decide jump Grand Central/42nd Street ( passenger transfer waiting shuttle ) get bearing fresh air . find 125 East 50th Street check Benjamin . room 16th floor , describe one - bedroom studio , small kitchenette every gizmo anyone could possibly need probably would not ( Bose radio , fax , playstation ) . already select pillow via pillow concierge ( yes , job title really exist ! ) wait we massive bed . compact stylish bathroom well stock Aveda beauty music Bose pipe . staff extremely friendly . breakfast different diner three morning stay . not try health suite spa facility . we book third party mean could not upgrade take advantage hotel 's BC ( & quot ; Children & quot ; ) offer , hindsight , probably book direct hotel . More detail trip show website www.barker-family.info . 
 Jun 22 2005 	 Big Apple Getaway 	 husband & amp ; spend blissful weekend March Benjamen . supershuttle bring we La Guardia hotel 15 minute Friday night , leave Monday , 30 minute airport via supershuttle . hotel service provide need . fresh soap shampoo make especially hotel 's spa complimentary item room , well , daily newspaper . benjaman safe comfortable lobby serve great way watch interesting pedestrian bling - ble auto midtown 's east side . staff curtious professional . train 's location 51st provide quick transportation get around city . husband 's first time New York , wait get back . Kudos Benjamen helping make husband 's first trip big apple success . 
 Jun 22 2005 	 Loved Benjamin 	 family four stay Benjamin four night . think terrific . ? first , suite nicely accomodate two adult two kid ( 11 14 ) . hotel look New York not suit not allow three room . save we cost extra room kid . second , staff hotel wonderful . bellman , desk , concierge , maintenance . total probably good hotel staff ' ve incountere past year . concierge find theatre ticket four good show town save we money boot . third , location . easily walk 5th Avenue shopping there s subway stop less block hotel . take subway sightseeing theatre . much fast taxis . some could quibble physical attribute room . carpet bit worn , everything else nice . bed sooo comfortable . frequent complaint hotel pillow like rock . . fact pillow menu could choose 10 type pillow , free charge . if go New York , recommend Benjamin . 
 Jun 21 2005 	 nice place stay 	 stay Benjamin June 16 -- 19 ( Thurs -- Sun ) . pleasant hotel good location . first , would say check website deal , call . get weekend special breakfast two two morning discount spa ( not get ) . check easy room us 1:30pm , good harry cab ride JFK hotel ( $ 45 + toll tip= $ 55 ) . someone show amenity deluxe studio little top -- afford pay $ 300 per night , think figure operate fax machine ! nice room 11th floor view Waldorf -- -it sorely need bath , pretty hotel outside ! restaurant nice breakfast -- voucher ? pay $ 28 egg , bacon , toast coffee . will appreciate refrigerator room . bed pillow comfortable , stuck pillow provide ! wonderful ! ! towel soft ! a / c unit help cut noise night ( fire engine , honk horn , usual city stuff ) . good location , walk everywhere get subway easily . concierge help dinner comedy show one night . good recommendation . pleasant experience ! return ! 
 Jun 14 2005 	 hotel rate highly ? ? 	 think hotel mediocre . certainly well ' ve stay , New York . room drab weird kitchen room , personally think space could well use big bathroom . hotel definitely suit business traveller rather tourist . hotel bar restaurant empty time character . staff helpful hotel well locate bad definitely would go back . 
 Jun 12 2005 	 nice stay Benjamin 	 return one night stay Benjamin $ 279 think nice hotel . room small size small standard room W. service excellent - front desk , concierge , room service , turn great . also pillow menu nice touch . overall price location not think anyone would disappointed stay . 
 Jun 12 2005 	 Great Hotel Staff ! 	 base comment Trip Advisor , book one bedroom suite weekend . although little pricier normally spend NYC , worth , due additional size parking include package . small kitchen area refrigerator microwave , well pull - out sofa living room . turn service nice touch soft music play upon return . staff helpful bellman registration staff , plus hotel centrally locate play , shop Central Park . ' ve stay numerous hotel NYC year , Benjamin definitely favorite first pick ! 
 Jun 12 2005 	 Bang buck 	 two night stay Benjamin mid - week business pleasant . location excellent great access mid - town well 10 block Central Park . lobby common area elegant simple . service b+ . appear room available check 3:30pm thus scrambling get another room . forgivable give fact hotel supposedly book . request high floor give corner room 5th floor . the room large comfortable furnishing see well day ( 3 year ago ! ) . sofa worst follow carpet . one side note , Hotels Benjamin really spend buck upgrade television . overall , say Benjamin one good value find Manhatten . 
 Jun 6 2005 	 ok be expense 	 business hotel tourist one . pay extra suite booking request room high floor , give one low ( 3rd ) floor . nice customer service not think . 
 Jun 6 2005 	 Liked Benjamin 	 think benjamin beautiful hotel helpful courteous staff . arrive though , room reserve ( king suite balcony ) give someone else give we type room balcony voucher breakfast , fine little annoying . tell we would move thing room we next day . exactly say would think , would rather stay suite balcony , layout well room quiet . balcony small never end go , opinion worth extra money . cable room good selection channel reception could poor lot time . the location hotel okay midtown business section town take away romance new york tourist . plus side , easy walk park museum often . I please accessible subway , especially e train west side , two block away . food around hotel okay , conceirge recommend PJ Clarkes bar / restaurant watch yankee game bite eat think food good overprice . tell burger die get , quite plain grocery store bun - nothing write home about . we go o'neill next door hotel food good . slightly pricey steakhouse steak crab cake delicious . highly recommend restaurant . we give gift certificate spa massage stay never end time use . go spa ask refund reschedule woman work friendly fit employee friendly kind . oh , also , may small thing leave weird taste mouth ... leave , ask bag back hold we hour . one bellman go get bag bring door tip . car be not exact moment say bellman would help we car arrive - already tip . try pick bag car come minute later second bellman insist ( politely ) put trunk , tip . maybe fault somehow wait car come ask get bag know job little lame . but NYC willing spend do not blame benjamin , note furture traveler reference . overall , like benjamin do not use amenity much thought would , do not turn worth money . would recommend business traveler would suggest romantic stay somewhere less business - y . 
 Jun 3 2005 	 ' m Benjamin baby ! 	 Benjamin incredible . pay $ 339 / night suite would cost $ 1,000 + New York hotel like . ' ve stay Peninsula , Ritz - Carlton , Intercontinental , two W hotel , two westin , Trump Int ' l ... even double suite cost , Benjamin beat hotel & quot ; bang - for - the - buck & quot ; alone . stay frigid weekend early March ' 05 , staff show mean five star hospitality discrete service . friendly bellman relief pretentious people work front door midtown hotel ; front desk staff snob - free , although could tell unaccustomed see young caucasian man check wear enormous hooded fur coat ( tote several guitar ) . ah , occasional flamboyance job . 's lovely gauge hotel way react many guise , especially . find design public area simple straightforward : could slip front door without walk main lobby elevator . fellow incogniti actually famous , please note hotel exceptional security . request suite high floor , assign # 2202 , one - bedroom suite face Lexington Ave . spires Waldorf - Astoria hotel . Benjamin perk , i.e . reason stay instead ... anywhere else : -expansive executive desk ' ' m boss ' leather chair . include fax machine complete stationery . -mini - kitchen granite countertop mini - bar , microwave , fridge , glassware enough host small gathering . -two tv 's , one believe DVD player ... not get time use.-the third comfortable NY hotel king - size bed ' ve ever sleep . ( 1 . hotelonrivington . 2 . Westin / W hotel ) -the pillow MENU ! ! ! folk , take mine home frame wall . yes , order eleven pillow once.-the Bose Wave Radio.-the late night fitness room . -the Affinia Wellness Spa , third floor , small , cheap less tragically hip Bliss Spa next door . -the concierge bend backwards guest , especially patient not act like stand inherit british Throne , like several witness ask direction . room service good , excellent . ahi Tuna soup mash potato cost $ 70.00 , ' m begin realize NY standard . folk , skip mini - bar go next door convenience store . skip breakfast room service go excellent food cart front hotel , enough money leave give well tip housekeeper . deserve ... whole hotel excellent alternative well - know establishment NYC , be maintain well , . complaint would probably offer food delivery choice limited room service menu sole restaurant . ' m Benjamin , baby ... will go back . see young , caucasian guy hotel next winter wear gigantic black fur parka carry guitar case , will know send Benjamin . 
 May 30 2005 	 Benjamin 	 return three night stay , Benjamin lovely hotel . lot small error , try make send we lovely cheese fruit platter upgrade we big suite terrace . need water pressure showers.the staff lovely helpful , next time stay west instead east . 
 may 30 2005 	 nice room good price Midtown hotel 	 room comfortable nicely decorate . bed feel great ! loved pillow menu Aveda bath amenity . one complaint room ready designate 3pm check - in . find small kitchen great convenience , not problem noise -- besides , be ny -- expect noise . ' ve stay midtown business hotel similar price , Benjamin far , lot luxe . 
 May 22 2005 	 Birthday Trip 	 husband plan trip birthday . 9th floor room perfectly situate two window face interior area . impeccably decorate sufficient space . sleep peacefully every night . consierge help we fine tuning trip include nagivate subway feel completely safe riding . staff every level superb . highly recommend hotel ! 
 may 20 2005 	 lovely 	 comfortable , clean quiet . room big many city nicely appoint . staff responsive , unobtrusive . travel NYC several time year certainly stay Benjamin . 
 may 12 2005 	 Superb ! 	 use trip advisor find Benjamin , excellent . book direct hotel get good rate excellent place . choice pillow great feature . concierge door staff excellent , friendly helpful . really enjoy place : nice quiet , well situate - would stay . 
 may 3 2005 	 Loved Benjamin - highly recommended . 	 recently return 10 day trip New York . read many review Tripadvisor decide Benjamin place stay disappointed . we stay one bed suite 11th floor pleasantly surprise spacious room . room immaculate include everything would need phone , fax , power shower , kitchenette include microwave fridge etc nice touch bed turn put light return evening really add experience . we decide week leave New York go get marry City Hall different review etc , seem like place get We d - wrong ! ! ! ! ! get City Hall disgust shabby run inside . room get marry big ny toilet probably pleasant ! much disappointment see City Hall ( get marriage licence return 24 hour really want get marry ) return Benjamin convince not mean - hotel concierge Ann Marie ' the Star ' say could actually get marry New York long could get Justice Peace marry you . to cut long story short , Ann Marie manage sort everything we could marry next day 10th anniversary get marry Benjamin 2nd Floor Lounge look Lexington Avenue could not perfect . ( return room night Yankees game , staff leave we Champagne chocolate strawberry rise petal bed really nice thought ) , hotel perfect , location spot major attraction staff extremely pleasant helpful . definitely stay Benjamin next year First Wedding Anniversary can not wait . 
 May 2 2005 	 Uptown Mid - town ! 	 people skill consistent good service count , wow Benjamin 's staff check departure . every one top game genuinely seem enjoy serve hotel guest . place pristine . everything spotless . room bit small , bed amazingly comfortable view adjacent build garden top appeal . glitch brief predictable clang plumbing pipe int early a.m. everything else pleasant not heart complain ! frequent visitor City , give Benjamin high mark consistent ranking . Richmond , Virginia 
 May 1 2005 	 Comfort price 	 daughter stay Benjamin April 15 - 21 one bedroom suite fourth floor . accomodation spacious NYC , clean well appoint especially business traveler fax , large desk working , internet access good lighting . closet big lot storage space . kitchen great snack / breakfast . bathroom white update . lot window open fresh air natural light . gym adequate . staff excellent lobby soothe fragrance spa . the drawback noise street even window close . the living room need renovation . wall mute color , furniture heavy dark make room depress unwelcoming , would stay . noisy street view preferrable view hotel awful view another room air conditioning equipment . consider rate NYC hotel , think good value great midtown location . 
 Apr 29 2005 	 Loved Benjamin 	 come back 5 night NY ( first definitely last time ) .We stay one bedroomed suite Benjamin love . choose primarily due review ' tripadvisor ' disappoint . suite large everything could possibly need stay . forewarn possible noise ( siren people toot horn ) use earplug sleep like baby , much need make use pillow menu could try like Swedish Memory Jelly Neckroll - maybe next time . all staff friendly helpful doorman , maid , conceirge , nothing seem much trouble . we drink Fin bar hotel end exhaust day get ready dinner warm , friendly place hang while . we use diner 3 door breakfast day plenty place nearby choose from . we plan itinerary manage see / do everything want , include usual touristy thing like esb ( buy additional audio tour , well worth ) , Circle line ferry , Times Square , Central Park etc , etc . get around use subway , cab leg feel safe everywhere go . also everyone else seem shop ! partner hate shop good time Sunday afternoon Century 21 probably bad moment : - ) , shop week busy bearable . the slightly negative thing say whole trip use Supershuttle bus service get we JFK hotel & amp ; back take hour ! ! come back definitely choose another way definitely come back ! 
 Apr 20 2005 	 Depressing noisy 	 clearly explain internet presentation , understand go hotel design business . 50 % bedroom eat - up kitchen business corner need , give we opportunity admire sink , microwave fax machine move around room ... rest space stuff massive rather ugly furniture dull beige general color scheme . whole , depressing room ! disappointed style , bad noise within room ... every evening , unplug kitchen 's fridge shut airconditione system order able sleep ! noisy system replace . the general good level appreciation hotel , primary reason choose , remain mystery we . two day check move Millenium love ! 
 Apr 12 2005 	 fantastic hotel ! 	 husband return 4 night stay Benjamin want comment lovely hotel . 1 bedroom suite spacious comfortable hotel staff friendly efficient . make use concierge - knowledgable restaurant reservation make we great place . use gym spa comment experience would certainly stay recommend friend may visit New York . 
 Apr 11 2005 	 relaxing 	 spend weekend Benjamin mother sister . adjacent room please size comfort room , although bit surprised find hotel room two bed . aside , in - room amenity comfortable provide everything need . decor pleasant location perfect shopping / sightseeing plan . one misadventure occur arrive 2 pm - one room still occupy , clean staff must set time record turning room , available hour later . unfortunately , even though floor designate non - smoking , previous occupant clearly enjoy smoking cigar room , room , furnishing even hall outside absolutely reeked . course , time discover , not adjacent room leave hotel , fully book . housekeeping come back spray , air room set HEPA filter room . eventually trick , accept hotel control behavior guest . meanwhile , go spa facial , enjoyable . fitness center adjoin day spa , pack much equipment smallish space humanly possible . handful cardio machine weight machine . seem little use weekend , fine not wait use equipment . concierge staff invariably polite cheerful , overall pleased stay would probably choose stay Benjamin . 
 Apr 7 2005 	 great stay 	 spend 2 night Benjamin . centrally locate , nice clean room . staff friendly helpful . highly recommend . 
 Apr 5 2005 	 Pleasant Trip 	 decide long weekend break , four night , late March wife , daughter , make online reservation directly hotel - base recommendation site . at check - in advise previous occupant suite decide extend stay would book slightly low category one bedroom suite . experience appear form local ( maybe state - wide even national ) rule incumbent right occupancy make late reservation - frustrating . receptionist apologetic offer we discount room rate , essentially do . the room clean , pleasantly decorate , well furnished comfortable size three people . daughter sleep sofa bed - turn night housekeeping - advise quite comfortable . bedroom well furnish comfortable . bathroom spacious , well provision clean . room also include small kitchenette equip microwave oven fridge , although rather lack cutlery crockery . the staff extremely helpful , attentive courteous time . the central location hotel make ideal travel around city . close number subway station car hire ( Alamo / National ) available across street - hire mid size car day rate $ 81.00 . use small din three door away breakfast morning reasonably price two starbuck virtually doorstep . negative , , would noise ( fourth floor ) , over - price food drink available room course rather unfair book arrangement . I would certainly stay . 
 Apr 4 2005 	 good till end 	 wife return business trip NYC stay Benjamin . upgrade upon arrival one bedroom suite roomy comfortable - problem get smoking room queen bed first night reserve non - smoking king , move we next day great non - smoking king room remainder stay . we enjoy staff , large helpful courteous . experience great checkout notice rate change last night four night stay , press error correct clearly alter without knowledge agreement - something never experience hotel , entirely contrary nice time point . unfortunate leave bad note , although make correction honor original rate produce confirmation . with many option NYC , will probably look elsewhere next visit . 
 Apr 4 2005 	 Great Stay 	 get back 3 night stay . location great wife meeting east side yet still close proximity theatre restaurant . interior one bedroom suite much view , quiet . staff attentive concierge , Ann Marie , graciously help we arrange re - arrange several meal . knock bathroom although well - appoint , small find common NYC . kitchen allow we eat breakfast room , nice feature . 
 Apr 4 2005 	 Beautiful Room 	 spend night Benjamin want say lovely room ! 1 bedroom suite NYC huge room , living room , Kitchenette , good sized bedroom lovely bathroom tub ! also couple closet , one huge ! everything nice , perfectly clean . lobby bit cold empty feeling bit worried first , room definately make ! perfect getaway spot couple business traveler . opinion look little hustle bustle might place want beautiful large room , quiet enough get sleep , place ! staff service , nice . would stay ! 
 Mar 24 2005 	 Comfortable Boutique Hotel Excellent Location 	 complete two week business / vacation Washington DC New York stay Benjamin . four hotel stay trip , far favorite . we travel two child ( age 8 & amp ; 10 ) elect one bedroom suite . spacious nicely furnish . suite kitchenette , consist sink , microwave , dish utensil , small refrigerator / freezer . enjoy city meal , nice one morning warm roll buy night Little Italy . bed comfortable . always problem hotel pillow . benjamin pillow menu , allow choose 9 different pillow type . many relatively exotic , magnetic theraby pillow , buckwheat etc . kid choose memory foam water pillow , switch night stay . location hotel outstanding . locate corner Lexington 50th midtown manhattan . many choice breakfast , lunch dinner block around hotel . help place hotel relation other , back Waldorf Astoria across street . hotel block Rockefeller Center 8 block Central Park . hotel side park near Wollman Ice Skating arena , enjoy one sunny day trip . subway station one block away , although find taxis cheap alternative pay four subway fare anytime go distance city . the hotel staff extremely friendly . whenever leave hotel , staff would wish we good day , upon return , welcome we back hotel . hotel dilligent turndown service , whenever ask anything , promptly provide , along call confirm satisfied . kid , aware noise adjoining room , constantly police kid whenever wall appear thin . Benjamin , never notice noise adjoining room , little noise hallway . not try spa 3rd floor , would frequently see other hotel head . also not sample cuisine . say room service breakfast , $ 30 per person , seem high , even New York standard . lounge comfortable beautiful view Lexington second floor . bathroom nice fixture , light vanity mirror . sound tv bedroom also wire bathroom . another nice feature Bose Wave Radio next bed , always tune classical station return travel day . all , extremely pleased . recommend highly enough . every hotel , couple small negative . extremely minor item though : - window use nice roman shade . however , nothing affair . room ( 4th Floor ) look right adjoining building , never feel comfortable , especially night a.m.- 2 elevator service 20 - some floor . wait elevator long usual result.- housekeeping staff attentive , almost attentive . unless do - not - disturb sign door , would frequently get knock see need anything . the bathroom large , lack shelf space . sometimes keep towel marble floor use towel shelf toiletry . next time come back New York , hesitate stay Benjamin . 
 Mar 18 2005 	 good hotel good service 	 stay January , 2005 . room clean reasonably good look unique way . inner court yard location quiet in - room frig . produce noise . service excellent . small gym servicable . second floor lounge nice lot window , elegant furnishing , good meeting friend . good midtown location . good place stay pay full price . hotel 's restaurant , Ocean ? , upscale serve excellent , expensive breakfast . associated bar also chic recommede meeting friend . 
 Mar 17 2005 	 huge suite fabulous 	 girl weekend getaway early February select Benjamin offer room big enough three . book online hotel ( $ 349 deluxe suite ) initially . find well rate discount website later hotel adjust reservation ( $ 299 deluxe suite ) . arrive hotel around 1 pm quickly give room key escort room . suite extraordinary . enter large living room area couch ( pull sleeper ) , chair , entertainment area ( large tv , cd player ) large desk chair . walk large bedroom bathroom . kitchen living room nicely appoint ( full size fridge , sink , microwave , dish flatware ) . bathroom normal ( small ) size new york city . good feature far huge window throughout terrace run length suite could easily fit 30 people . hotel location great . 6 subway line ( get anywhere ) walk 5th ave shopping . hotel staff always professional helpful . stay several New York City hotel always stay Benjamin . 
 Mar 17 2005 	 Nice hotel ` ` sleep guarantee '' hype 	 stay 3 day weekend February 2005 . pick Benjamin base article & quot ; Pillow Concierge , & quot ; special custom mattress & quot ; guarantee great night 's sleep . & quot ; hotel lovely , well locate , helpful staff , room ( king suite ) clean big . however , pillow concierge work 8 - 4 , one arrive late busy day , be impossible use service . although linen nice , find bed comfortable . mention online review send we , able sleep 1 night 3 , find bed anything special . 's full month , hear anything regard refund , base sleep & quot ; guarantee . & quot ; also , concierge seem helpful , give we inaccurate expensive & quot ; advice & quot ; good way get Brooklyn . contrary insistance taxi would take we Brooklyn , run Brooklyn , much cheap , perfectly fine car service available -- compare one insist use . still , right price , would stay . 
