perfect 	 stay Hotel Mela wonderful experience . boutique hotel staff ambiance make immediately feel home . lobby small comfortable . accommodation spacious comfortable , bed luxurious . location great , block walk mall nightlife would interested . look forward return NYC hesitate stay Hotel Mela ! ! 
 Chic Oasis Central Location 	 stay Hotel Mela Thanksgiving week , visit friend city . overall find hotel centrally locate , modern decor friendly service . the hotel centrally locate , block Times Square . service lobby friendly professional , decor chic . arrive room , find Superior room quite small , recently redecorate , chic decor . everything clean find expect amenity ( tv , closet , fridge , etc ) - appreciate free wifi . bed extremely comfortable . I would definitely stay . 
 Convenient 	 husband stay Hotel Mela 5 night Thanksgiving Holidays . lobby small , trendy . check - in smooth , dealing staff . elevator tenth floor room quite slow . minor complaint . room good size NYC . stay Executive King please amenity . shower toiletry great . the real complaint comfort bed . use pillow top mattress fould Hotel Mela 's firm . also , pillow weak . big complaint smell come A / C unit . know urine smell hit nostril moment step subway ? well , smell fill room whenever turn air . would slept window open , window face air shaft full trap , stagnant , hot air . think typical room Hotel Mela . unpleasant , think weird , fluke thing happen stay . let add , smell faint moderate , present nevertheless . overall , great stay . conveniently locate heart action . hotel literally step away Times Square . probably stay simply b / c enjoy try new hotel , good buy moderately price traveler . 
 Fantastic ! 	 great experience . first say staff Hotel Mela nicest helpful ever encounter . go way make sure stay enjoyable . upgrade we free , gladly hold luggage , answer question actually seem happy . read room ridiculously small definitely . grant two twin bed room comfortable . decor pretty clean . yes , bathroom small lot counter space shelf sink hold great deal . course location fantastic ! half block heart Times Square ~ could ask for . I would highly recommend Hotel Mela definitely stay next time go NYC ! ! ! ! ! ! 
 Jan 8 2008 	 Great Security 	 stay night late December , lock credit card hotel room safe . almost two week later , realize leave ... call hotel send lose find . send back expense . ask not call since hotel book name - and say want discreet . stay one only - but understand want call . hotel clean - room small - it be NYC - very safe- professional front desk staff . Housekeeper Josianne - very professional , block Times Square . would recommend anyone . get expect . good expereince ! 
 Jan 7 2008 	 great front manager Mela 	 medical doctor , attend every year cardio - vascular symposium Hilton hotel , begin dec . every year occasion try stay nice , good situated hotel . so decide year book Mela hotel , inspire pos review spanish magazine , & quot ; Ella & quot ; .I book junior suite . as due holiday season shortage room , room get really expect , whitout discussion upgrade front desk manager luxury suite . I enjoy stay much ! call exellent service Mela hotel New - York hotel preference New - york love come back 
 Jan 6 2008 	 do good ! 	 know expect never visit New York , pleasantly surprise Hotel Mela . price affordable mid Manhattan summer ( $ 221 / night ) room lovely . location everthing allow we walk take subway everything . hit 9th Ave . amost everynight eat , affortable , walkable enough tourist beat great food interesting folk . book king size bed believe one step regular room . small , suited purpose beautifully . well discover water leak bathroom , could even moan misfortune staff we whisk away another room , upgrade delightful . wall little thin , go upset cry child , yes hear , place . go New York spend much time room frankly sure long poor kid cry room sleep long enough beverage , nap , shower . Hotel Mela wonderfully clean , meet white tissue standard . may fare well year old building , long staff continue keep clean , 's definite must . 
 Jan 6 2008 	 wonderful experience ! 	 read review hotel , know go well first visit NY city ( previously stay comfort suite ) . Hotel Mela half block awhile Times Squares block Bryant Park make great location . hotel desk busy first arrive 8am not expect room ready . surprise room ready able shower nap . room clean nice ( superior ) surprisingly good sized bathroom ( bathtub window seat ) . night AC fail work sleep window open get air flow within room . next morning informed front desk AC working repairman send . suggest front desk move another room . suprise upgrade executive junior suite ! lovely sitting room large bed . definitely would recommend return Hotel Mela ! 
 Jan 4 2008 	 absolutely LOVED Mela 	 stay Mela 2007 Christmas period ( 5 day ) . book two room , one hubby , family . absolutely fabulous time ! could not recommend place more . it boutique hotel , approximately one block Times Square . surprisingly though , relatively quiet . hotel big , not go expect large room , absolutely beautiful well - appoint . the room cute . flat screen tv , beautiful decor , comfy pillowtop bed cute drape . room Superior room big enough we . bathroom nice . bathroom shower , room tub . housekeeper replace shower product daily , really neat packaging smell heavenly . I incredibly impressed service . hotel think everything . complimentary apple front desk ( Big Apple afterall , Mela actually mean apple Italian ) . rain hotel give complimentary umbrella logo we use outdoors . clever . be also great promotion hotel . LOL . look restaurant everyone jump help we . even call restaurant ensure open head . whenever request IMMEDIATELY deal . staff nice , funny accommodating . really make feel special . great deli door would go quick snack breakfast . also reasonable . be New York couple day , take one hop - on , hop - off city tour . great way see city , learn history cheap way get around . thing hate New York amount smoker around . think officially lung cancer . carry gas mask . overall , give Hotel Mela two thumb 10 star ! will not disappoint . P.S . oh , review dead size elevator . pretty small . great conversation starter elevator , though . LOL . 
 Jan 3 2008 	 great NYE Stay @ Hotel Mela 	 husband go NYC see NYE Ball Drop Times Square stay Hotel Mela 2 night . overall hotel décor ( lobby room ) chic contemporary . reminiscent style W Hotels . location great half block away Times Square ' handful casual restaurant / deli close proximity . overall – really enjoy stay would definitely recommend go back ..... preface say everything hotel small - lobby smallish , elevator small , room small . get to understand NYC … space premium . keep open mind - ' come NYC stay room day anyways ! detail below . Front Desk / Lobby / Service - front desk folk welcome helpful . seem genuine wanting take care guest . small issue room next we . front desk address quickly even offer move we different room . someone else mention , burn aromatic candle lobby – nice welcoming touch . seat area lavishly furnish deep red velvet couch give nice character . elevator small ( small Europe ) , since 3 4 never long wait ( even NYE Ball Drop many guest head back room ) . lastly , small concierge desk available . room – stay Room 802 Superior Queen room . room clean could tell condition well keep . bed focal point comfortable . also plasma tv refrigerator . bathroom beautiful ( nice hardware , tile , linen ) supply H20 product . drawback room size . honest say room like " bedroom " , rather hotel room . hallway anything – walk , literally 2 3 foot away bed . wardrobe closet hanger drawer , ' storage . ' mind much - keep stuff suitcase set top window sill . personally think good job optimize space small room size . nutshell : great service . good clean room chic boutique hotel locate prime location . 
 Jan 1 2008 	 midtown gem 	 Hotels New York notorious take business traveler grant . charge lot frequently not care experience know back . Mela kind hotel . guy front door check manager maid , feel welcome . large hotel new hotel . , remodel flair , fun color abound . amenity - internet , bottled water , nice shampoo , conditioner , soap , etc . mattress great , sheet fresh smooth . every thing observe spotlessly clean . pour rain . one employee stand door complimentary umbrella , make sure guest want one , one . run , run storage back within minute . nice umbrella , junky one open turn inside least gust wind . clearly , management work build client base vote . city , stay there . thank great experience . 
 Dec 30 2007 	 Mela # 1 customer service 	 Hotel Mela chic hip hotel great nyc midtown location . book reservation priceline , confirm telephone room could accomodate family four . however arrival , room could accomodate two teen two adult . manager Chris Swaim extremely responsive understanding . large room available , since New Year 's Eve weekend . , Manager Swaim book we Penthouse additional charge ! penthouse sensational . soothe contemporary design , luxurious bedding . spacious , phenomenal panoramic view city luscious bath product . hotel accomodate early arrival late check . 
 Dec 27 2007 	 well ever 	 surprised husband trip NYC pre - christmas present . know nothing trip arrive airport . decide early stay Mela last trip April wonderful experience . trip outdid . greet John Paul remember we previous trip , make we feel like visit old friend . receive upgrade ever friendly Megan check we room spectacular . work Freddie reservation want everything prepay prior trip , since gift husband . delightful work bit disappoint not front desk check . call room 15 minute settle tell heading would make sure stop see want know husband take surprise . imagine , someone hotel really care . husband thrill book Hotel Mela . 's hotel entire staff genuine , friendly fun around . will not stay anywhere else go NYC . 
 Dec 27 2007 	 Hotel Mela delight 	 treat Broadway show holiday season . not realize hotel would wonderful treat ! Hotel Mela perfectly locate quiet street heart Times Square . moment first walk modern hotel , friendly staff treat frequent guest . cozy room thoughtfully design well appoint - luxurious bed linen ample lighting rain showerhead bath . I stay several large hotel New York year , remember time - travel single woman - feel comfortable Hotel Mela ! 
 Dec 12 2007 	 elegant home away home business traveler 	 wonderful service attention . hotel design lover 's dream well appoint room , plush sleep set - up , clean whistle . situate stone 's throw Times Square 6th one side Bryant Park ( Ave Americas ) -you perfectly position great time . not forget try chow Sagu downstairs - delicious french Vietnamese , ask Phillipe ! 
 Dec 11 2007 	 Friendly Spot 	 time hotel rate roof , holiday shopping weekend , able get 4 star hotel reasonable rate . gem ! boutique hotel , comfortably simple decor , locate one block Time Square , convenient everything . close hubub , quiet . ( well , street work do across street involve jack hammer day .... usually go ) room small , NY , certainly adequate . bed pillow ultra comfortable . hotel clean .... not think ever see large efficient housekeeping staff . toiletry , robe , minibar munchie top notch . staff exceptionally friendly helpful . concierge , Tyrone , especially helpful finding make dinner reservation , suggest shop , help we use subway , arrange car service return JFK , even score nicely price ticket sell Jersey Boys last minute ! hotel connect one restaurant , asian cuisine ... another side , St. Andrews , Irish - Scot menu . eat St. Andrews particularly impressed . free breakfast , get room service . , delighted choice , would stay . 
 Dec 8 2007 	 hope 	 one night , town see Rockettes . long day travel sight seeing want hot shower good night sleep . get good night sleep . hot water shower . management refund nearly half bill e - mail . room clean , staff friendly , lobby unremarkable . excellent location , little pricey . 
 Dec 5 2007 	 housekeeper make bed ? ? ? 	 clean room , great location , friendly staff . bathroom descent toiletry great . hotel need rethink things:1 . book room 2 people , although end one able go . result , think get small room building - full size bed ( queen ) less foot space one side bed get bed ( see picture ) 2 . hotel need rethink lighting room ( 607 ) . room one central light fixture florescent bulb . two led & quot ; read light & quot ; bed . enough light dark ( , see picture ) 3 . think mount LCD tv wall - move placement basket mini - bar goody . get way 
 Dec 5 2007 	 overprice stinky bathroom room beyond tiny 	 Bottom line : would not stay again.i stay like central location sofitel incredibly expensive . place bargain $ 200 cheap sofitel . nice people - doorman , guy front desk - pretty lackluster hotel . room beyond tiny . ask go use desk room room queen size bed not desk ( not fit ) . get full size bed squeeze corner . shower less 3 ' x 3 ' shower head spray bathroom adjust water . the real ick experience open door bathroom - stench mold / mildew / must overpower . not late day already prepay would switch hotel pay . another traveler meet elevatorsaid room issue stench.the smoke alarm also decide start beep 3 am ( need new battery ) houseekeepe cart seemingly permanently station floor , big issue . 
 Dec 4 2007 	 GREAT 	 be look . two night ( $ 250 per night - deal travelzoo.com ) tree light Rockefeller Center . the comment photo ( official contributor ) accurate . room small facility minimal ( fitness room second floor/ restaurant next door ) . resort advertise such . but convenient , clean , elegant . 
 Dec 4 2007 	 horribly overprice 	 prime location next Times Square , hotel nothing special . room bed small . get twin bed shorter . view window brick wall . time day sunshine reach 3rd floor room . hotel try imitate W music style point lobby area , ' ve stay W Times Square Hotel Mela league . 
 Dec 3 2007 	 Great Trip 	 wife take trip Boston NYC night want tourist thing see Times Square , Empire State Building , Rockefeller Center . read reviews Trip Advisor , choose Hotel Mela . arrive Port Authority hotel 5 - 10 minute walk . Hotel Mela right Times Square 's amazing much side street calm , peaceful quiet . Hotel Mela 's lobby plain , clean classy . 3 elevator small . three people would problem . worried reading review small room surprised find room queen size bed large hotel stay . stay couple day , might get little tight luggage , room size issue we . the room clean everything look brand new . 's first hotel stayed not smell like hotel . ' m kind clean freak feel comfortable . the bathroom modern nice , shower product , everyone say , great . not even bring own . one problem shower door cover half actual shower . water go floor , problem clean people guess . the issue price . unless get kind special deal , expensive hotel stay . guess feel like could do we consider much room cost . room clean , location perfect walk Manhattan , wife feel safe pay little probably worth . 
 Nov 30 2007 	 great location much else 	 can not believe 5 * review place . great location , half block Times Square easy walk 42 Street , Broadway , etc , apart , hotel price offer little . room small , facility . enter main door , reception desk . little chair outside lift . 's . bar , nowhere breakfast , gym , pool , nothing . I 3 night , two morning hot water . complain , receive $ 50 reduction per night . offer bed shower , would expect much big discount one two item ' m pay not work . I reception check least 5 people call complain hot water . none offer discount . if cheap , would score highly . location great , think & quot ; boutique hotel & quot ; justify high price red sofas reception . ' m impressed . try Millennium Hotel across street room . 
 Nov 29 2007 	 Fantastic ! 	 stay Hotel Mela Nov 4 night . staff extremely friendly even give we upgrade ! hotel modern fantastic restaurant , Saju , attach . location ideal half block Broadway Times Sq . walk everywhere here . I can not express wonderful hotel recommend look hip New York break . 
 Nov 29 2007 	 Whoaa Dudes ! ! ! ! 	 return girly shopping/ sightseeing trip New York Hotel Mela great . lobby greet friendly courteous staff ambience lovely , candle burn give warmly feel scented lobby smell gorgeous ! room good , H20 toiletry rave nice ( allow valuable space case shop not even feel need pack toiletry know could use good quality one supply ) . room also turn service evening maid helpful ask anything want . chocolate leave night nice touch . stay deluxe twin despite 2 large case accumulate lot ( lot lot ! ) shopping bag room good size . huge basket snack room tempt although always hotel overprice . personally not see would need tuck though go fab deli door get whack great feast midnight snack ! bit peckish arrive hotel provide complimentary snack drink another nice touch . deli road also good breakfast . despite close Times Square surprise could't hear outside noise ( 8th floor ) big bonus . anyone not NY location excellent Times Square full everything could wish ny - bright light lively atmosphere , stack fabby restaurant close sub shop . good hotel stay visit NY could wish ... great price , quality room / service well locate . definitely return . 
 Nov 19 2007 	 great location - v friendly staff 	 Location spot - literally 30 second Times Square . room bit small ( expect anyway ) - decent amount draw space / wardrobe mean feel cramp . room / Bathroom clean - great product . staff really friendly helpful . Stayed BF x3 night - first time NY would recommend place anyone . great deli 5 door need . 
 Nov 18 2007 	 '' expect service Hotel Mela 	 Day travel New York , become ill hospitalize & quot ; make trip ... call Hotel Manager 4 time never receive phone call back , kind Hotel call 's self superior hotel & quot ; call client back ? Kicker , couple travel withapproache front desk time advise room available . hope nothing go wrong visit ..... 
 Nov 13 2007 	 FANTASTIC New York value 	 Hotel Mela BEST BUY New York City . husband picky traveller high expectation stay hotel ... especially large city . Hotel Mela FANTASTIC.The hotel ideally locate mid - town Manhattan . & quot ; hub & quot ; Times Square walk 1/2 block west hotel quieter & quot ; high end & quot ; area 6th 5th Avenue walk 1/2 block east hotel . it small boutique hotel EXCELLENT service . Chris , check we , extra nice helpful . room small , NYC small . say , nice little desk / chair area luggage separate area bed , tv night stand . decor modern little extra wonderful bed nice H2O bath product . also , hotel spotless maid service excellent . I say enough great thing hotel . , thank , trip advisor , yet , helping steer we wonderful hotel find . go wrong Hotel Mela . 
 Nov 13 2007 	 overall good experience 	 stay Hotel Mela 2 night gf weekend away . find room little cramp clean ... not mind size room since NYC hang room . location perfect theater goer ( even though choose weekend strike begin , grrrrr ) anybody look true NYC tourist . would stay would recommend anybody like : ) 
 Nov 10 2007 	 great location cute hotel 	 ' ve stay hotel twice business , definitely stay future trip New York City . close enough action big city , small quiet enough give solace need break . also pretty good price consider nearby hotel charge . yes , Hotel Mela 's room small , hotel room NYC . location hotel , coupled cleanliness , newly decorate modern room friendliness staff make size room . really , spend much time hotel room Times Square less minute away foot ? criticism hotel take forever valet crew bring bag ( wait 15 minute one time ) . , good thing say charming hotel . 
 Nov 1 2007 	 can not possibly imagine well place stay New York 	 look , hotel downtown New York . 's step stone away Times Square , casual jog away Central Park mere minute away Empire State Building . please , please expect get large room ! , resign fact room probably go small home bedroom , simply nothing else negative say . state , location perfect . room exquisitely finish high standard recall ever see hotel . be cheap , New York standard , be certainly expensive either represent great value money . short , 's brilliant place stay New York . highly recommend . 
 Oct 29 2007 	 tiny room - claustrophobic anything sleep ! 	 stay Hotel Mela early October 2007 one night business trip NYC . someone else choose room , soon arrive sorry not stay Marriott Marquis ( ' ve stay many time ) . review pretty much word word & quot ; Amaklo & quot ; say stay ( think stay room ! ) room literally 2 foot wide queen bed . go walk around Times Square ready sleep - not want room ! also move basket food away tv watch , & quot ; closet & quot ; would not fit full - length clothe ! bathroom thankfully extraordinarily tiny . everything clean , nice linen , etc . staff friendly . 's conveniently locate heart Times Square . however , never choose stay hotel due size room . 
 Oct 29 2007 	 Excellent Hotel Price 	 book room Priceline $ 250 / night . excellent ! room bit small , not big deal New York , expect . bathroom extremely clean nice H20 product . would say boutique type hotel , exactly hope . love not chain , like Marriott . staff helpful question . problem phone , soon husband leave front desk , man head elevator . problem fix . service impecable , room hotel . would definately stay & amp ; recommend ! 
 Oct 28 2007 	 Great get free upgrade get deal price ! 	 book hotel special rate ( $ 300 ) . book deluxe king , upgrade executive room . executive room average size . imagine deluxe king room would like . hotel staff pleasant . problem , one hotel 's fine , feel like pretty soon become rundown hotel . hotel new , already & quot ; verge rundown & quot ; feel . say 's fine go room often , get deal rate . shower amenity nice ( h20 plus ) . shower curtain bathroom clean . many bulky couch room pillow fill little space room . bed comfortable . tv , huge basket full snack ( get charge , price reasonable ) block , nowhere else really put basket . 
 Oct 27 2007 	 overprice tiny room 	 stay Hotel Mela night October 25 , 2007 . company pay $ 500 ( include taxis ) room slightly big walk - in closet , view air shaft building construction next door ( begin 7AM ) . move basket overprice candy nuts window sill could see tv . move tv find light switch overhead light behind . know New York 's expensive hotel room tend small ridiculous price pay . complaint staff , professional courteous . will not stay hotel . 
 Oct 23 2007 	 stylish Comfortable Sexy small room 	 get great deal hotwire.com property . location absoultely fantastic . 1 block time square . the good : new , clean room , Luxury bed linen towel . lcd tv Cable , great common area first class service . restaurant nearby good charge back room . location second none New York . Decor stylish Aircond work perfectly . great bed . the Bad ; room small ( hotel room NY ) limit cupboard space . you re travel lot luggage may struggle . room lack natural light look onto lightwell window . overall hotel charm well run . little complain check room size concern . keep mind though Hotel represent outstanding value money . I would definitely stay . 
 Oct 23 2007 	 wonderful hotel wonderful location ! ! ! 	 read Trip advisor time could not find good review NY City hotel . newly renovate not review . take chance well worth ! ! ! service excellent , check great , room clean . big plus location - right Times Square - can not go wrong . would definitely recommend stay ! 
 Oct 15 2007 	 great hotel 	 stay Hotel Mela business Sept. 26 - 28 . great choice - new , clean , modern , great amenity ( H2O product ) , fantastic location . would definitely stay . hotel staff also go way accommodate . great shopping food nearby well . 
 Oct 10 2007 	 nice everything except size 	 stay 1403 . first thin see open door close wall stand door way . & quot ; superior queen & quot ; bedroom ' square footage barely enough luggage floor . go back forth bed , slightly careful step stuff cause space limit . nice furniturevery cleannice bath bath productsbut feel like tiny dorm room . aside , people Mela great friendly . restaurant next door Soju ? pretty expensive 's really convenient . much time spend outside hotel . active day time get back tiny room , slept not mind small space anymore . the great asset Mela location , 1 minute walk away toy r Us Time Sqr . service great ! 
 Oct 10 2007 	 ! st Rate Hotel 	 stay hotel Mela last year relocate Manager another Hotel uptown . Mr Lopez Mr Nelson general manager front office manager offer we return visit FOC inconvenience . Spetember take offer ................. hotel perfect location Times Square close tube station etc . hotel little hard find Sept lot scaffold next door building - keep eye peel Hotel signit chic lobby , desk staff polite courteous . our room lovely clean classy fixture fitting - poster comment - room small , negative comment Mela . a nice place stay ................. can not wait return ! 
 Oct 5 2007 	 convient location 	 Hotel nice & amp ; clean large lobby , like ease take luggage without hassles attentive bus boy look tip , Room nice maid we proud everyday & amp ; size 1407 14th floor great , small wary judging past review , could little noisy street hotel fault . there dirty tray outside room room service leave 24 hrs & amp ; linen cart leave hallway that s biggy , nice touch maid bring chocolate & amp ; ask towel need every evening . be little disappointed final night book 4.30am & amp ; 4.45am wake call flight home do not happen good job set , apart i d use again . great location feel like smack middle direction want go , value money tip half way week discover dunhill deli next street 45th ? coffee $ 1 & amp ; great 2 egg potato toast & amp ; bacon breakfast £ 3.25 bargain ! 
 Sep 16 2007 	 guilt - free luxury 	 frequent traveler big apple , ' stay lengthy list midtown accomodation . , however , would first trip nyc would pay bill rather use corporate charge . although swipe plastic , refuse forgo usual comfort ; come hotels new york city , certain thing simply essential ( luxury location ) other completely implausible ( space silence ) .i choose hotel mela 4 - star rating ( luxury … check ! ) , since mission find perfect party dress , proximity great shopping ( location … double check ! ) . beyond , price unbeatable . visit city fashion week & amp ; u.s . open , room scarce price fierce . hotel mela luxury hotel available room less $ 400 night . could barely believe , ! upon arrival , pleasantly suprise tasteful decor , friendly staffer , comfortable ( although teeny ) quarter . also adore modern crimson lobby , french - vietnamese restaurant , flat screen lcd room . hotel mela rival swankiness paramount hudson , fraction cost . , chic midtown experience extra bill pocket broadway babbo , pick tab hotel mela smile . -- blogger , dtpost 
 Sep 9 2007 	 convenient thin wall 	 trendy recently furnish hotel , sound hallway adjacent room really ruin otherwise peaceful stay . : ( bed excellent furnishing , hotel staff courteous checkout fast efficient . the location nice , right Times Square . I king bed medium size room fine one person , two would okay ... robe thin , tv good internet access quick . soaps nice , bathroom tastefully sparse small . storage acceptable carpet new clean . window decoration good window open , another plus air cooler . the temperature control easy use alarm clock tv . 
 Sep 8 2007 	 shockingly bad hotel - waste money ! 	 believe spend $ 400 room barely even fit & quot ; queen & quot ; sized bed request ( feel like full - sized ) . husband could barely room together time luggage - nowhere put ! not enough towel one person , let alone two , fan exhaust system bathroom - take shower , hotel room also steamy . make thing bad , coffee maker room - take 5 call room service even order $ 8 & quot ; pot & quot ; ( 2 cup worth ) coffee . go town one night , would leave - SMALL ! plus side , clean , everything room ( furniture , bedding ) seem new . good location like noisy Times Square theatre area , feel like get rip big time ! 
 Sep 5 2007 	 small gem Times Square area 	 's proliferation new boutique hotel area , one block W. 45th Street Hotel QT ( Andre Balazs ) Hotel Night ( Vikram Chatwal ) , look interesting , overall , extremely happy Hotel Mela . 's something down - to - earth staff encounter , hotel not try hard cool hip , be great little friendly place . I initially concern , okay , down - right scared , small room go , especially book great rate . upon check - in ( Labor Day weekend less ) upgrade twin size room ask available . take look room , vary size shape , yes , two small room basically feet large bed . two place world space always cramp , be Manhattan Tokyo . prepare brace small - than - usual room . the free wi - fi definite plus , also LAN line room prefer . last time stay Westin pay $ 15 per day internet , be like lot chain hotel . bit warning need lobby ambiance : be pretty small enough space different party wait around . not bother we one bit , almost glad not waste lot money lobby instead put good use guestroom . love H2O bath product guest mention . come stay soon , 's experience lot small hotel start high end bath amenity , come cut cost , first go switch less expensive generic brand . now secret tip : right corner 6th Ave 44th St ( walk hotel take right , away Times Square ) 's little silver street vendor 's coffee surprisingly fresh , good cheap ! soft bagel cream cheese ( skimp cream cheese either ) $ 1 - read one dollar ! bring back hotel quick bite . tip shopper : carry around small publication room , Front Desk NY . SUPER HANDY map 5th Ave , Soho , Nolita , Meat Packing , Chelsea show location store name easy see exactly want need go . use map every day really helpful look restaurant shop . way , like staff much bring back Magnolia cupcake ... pleasantly surprise hotel 's GM email say thank . start finish , great stay . 
 Sep 5 2007 	 back ! 	 stay property July really like . convenient , clean fun . receive promotion $ 169 rate Labor Day weekend decide stay wife ' birthday . arrive wife inform birthday upgrade we ( couple we ) small suite . great room . other review talk issues:1 . small room : small room NYC . W New York much small room . room small size well appoint outfit . 2 . basket goody : first room find way , arrive put top wardrobe ( closet ) . also think price item mini - bar reasonable , $ 2 soda , many item price ' take go across 6th Avenue get want Duane reed.3 . amenity : ' concierge large staff room service find front desk accommodate helpful . bellboy always ask we need anything . I stay least 10 different hotel Manhattan would put Hotel Mela top price . great location ( particularly first time visitor ) , great bed fun . ' need . 
 Sep 5 2007 	 small room poor service = unhappy guest 	 Hotel Mela disappointment . stay past weekend would return . room small , simple request attend , housekeep clean room late afternoon , overall feel staff simply care . location decent lobby decor trendy . highlight remember . strongly suggest book elsewhere . Hotel Mela forgettable . 
 Sep 3 2007 	 5 day Mela 	 wife great time Hotel Mela look forward return . thestaff wonderful start front desk upon arrival . surprised receive upgrade room 8 year anniversary . Mela well locate around Time Square easy pick subway go south SOHO , Chinatown Financial District . see Wicked Gershwin 8 block North . also walk David Letterman second night stay . could enjoyable time N.Y . believe find jewel right center . Hotel Mela Central Park . however Park Fabulous . 
 Aug 28 2007 	 Great Staff Hotel Mela 	 stay Hotel Mela quite enjoyable . nice size room NYC Hotel .. bathroom enormous . nicely appoint item one need trip ( iron / board , hair dryer , coffee maker & amp ; misc . toiletry . LOVED bath soap shampoo . staff friendly accommodate . check - in easy . this hotel choice whenever visit NYC future . 
 Aug 28 2007 	 Excellent stay Hotel Mela 	 stay six night Hotel Mela mid July 2007 king deluxe room extremely satisfied almost everything hotel . great location friendly staff . room clean tip top modern interior decoration . good value money . thing not fully satisfied experienced problem complimentary wireless internet access , dependable . we highly recommend stay Hotel Mela . 
 Aug 27 2007 	 Wonderful Hotel ! Perfect Location 	 Third trip NYC third trip Times Square . hotel W 44th Street absolutely ideal regard location . staff phenomenal . incredible . party three -- - use 2 twin bed room queen bedroom . plenty space -- luxurious space great bath product . three we great time would highly recommend hotel anyone . could not say enough good thing staff comfortable room . 
 Aug 24 2007 	 Hip elegance near Times Square 	 great location midtown Manhattan , spacious well - decorate room , friendly staff , new boutique hotel good deal . stay two night , 2 - twin room kid King single parent . happily , room big web - site photo indicate , cool blue - green decor , comfortable bed , high - end linen soap , good lighting , create peaceful , quiet refuge city . easy walk Top Rock , MoMA , Broadway show , subway line . bountiful mini - bar candy basket , good restaurant across street , grocery shop block , provide service hotel not site . price low comparable hotel area . 
 Aug 23 2007 	 pleasant experience 	 actually book two deluxe room Mela son girlfriend accompany we five day visit New York . advance arrival request high floor , hear noise levels street could bothersome pleased find kid ' room 15th floor 11th . even though room face 44th Street quiet indeed . the kid ' room seem bit small bathtub . desk shower , suit we fine . yes , room small , beautifully appoint , luxurious even pretty well sleep , big deal . the staff certainly friendly attentive , provide extra bathrobe promptly deliver additional toiletry like shampoo require . never leave enter hotel without enthusiastic & quot ; enjoy day & quot ; & quot ; welcome back & quot ; . nice . location excellent , lot thng within walk distance great restaurant bar right 44th . would definately stay Mela , ditto kid . 
 Aug 23 2007 	 make stay well ! 	 arrive NY long indirect flight really want find great hotel - with hotel Mela exactly get ! ! everything need HIGHLY recommend it . why ? - Spot service .. ian john Paul ( come across ) reception really friendly , helpful cater every request immediately . - great location .. round corner times square , midtown .. think might hear noise sound ( 12th floor ) think 17 floor . - Room need we .. smart modern .. comfy bed great flatscreen tv . hotel top great holiday .. would definately recommend other go back 
 Aug 23 2007 	 simply Fantastic ! ! ! 	 arrive last wed , 15th wow , surprise . gorgeous hotel fantastic location . 200 yard Times Square , could want ? staff friendly , top way . we book hotel , really do not want wish happy birthday , sad ? 
 Aug 21 2007 	 great Stay ! 	 great hotel close Times Square . stay 5 night , lovely room , comfortable bed friendly staff . 
 Aug 16 2007 	 can not wait return Hotel Mela 	 husband return 3 night stay New York . stay one night Hotel Mela due use hotel point another hotel . room beyond expectation . room bargain $ 209 night , feel get people hook ( like we ) rate rise . room clean nicely decorate . room European feel remind we hotel stay last year Rome . husband enjoy complementary in - room internet . bed bed comfortable . side room quiet night . would love stay entire time Hotel Mela . can not wait go back . 
 Aug 15 2007 	 great choice hotel week NYC 	 wife 14 yo son share small clean comfotable room visit NYC . call hotel direct speak Pamela reservation could helpful . soon find staff domestic concierge pleasant helpful without exception . our room clean daily sheet change . bathroom small adequate . decor contempory produce relax airconditioned environment ... real heart vibrant city.the view window be not great ... look rooftop .. we view be not important . bed comfortable . location suit we well . turn leave time sq 100 m away . turn r way bryant park its.subway connection . the red flame diner also 100 right leaving . get reasonably price hearty breakfast . no hestation recommend hotel . 
 Aug 13 2007 	 great hotel great location 	 spend one night Hotel Mela . room nice . bathroom also nice ( clean ) product H2O . package include parking breakfast restaurant next door excellent . location excellent - right Times Square . overall highly recommend . 
 Aug 13 2007 	 Lovely Boutique Hotel Times Square 	 Outstanding service , clean room , great location value ; else could possibly want ? boutique hotel , can not expect room huge . want large room , look elsewhere , New York ... much really go room ? room actually pretty good side ; comparable NYC hotel ( not boutique ) . flat panel television , lovely snack basket ( reasonable price ) , mini bar , extremely well appoint room , clean bathroom , comfy bed many pillow , etc . - place winner . get hotel room , Times Square , $ 199 / night Saturday night New York ! can not say enough hotel . honestly think post review not want give away secret hotel ! love ! 
 Aug 12 2007 	 comfortable clean boutique hotel close TImes Square 	 stay shortly hotel open enjoy clean , modern suite , additional free upgrade . staff accomodate help we direction recommendation . hotel modern , quiet , far tourist attraction Times Square . 
 Aug 10 2007 	 wonderful experience 	 spend 5 day boy friend amazingly clean hotel ! great location real real good everything nearby one step time sequare ! love live actionit 1st time state 16hrs flight find welcome great stuff get room quick . 4 day enough hotel travel along trip miss ceanliness hotel hotel like . 
