never 	 fan Travelodge ( normally ) . nothing posh usually know get say . unfortunately case one . long queue check could not happen till 3.00 sightseeing luggage ( try narrow spiral staircase Tower London . room peel wallpaper , hoover part leave room clean , mug wash properly , bathroom dingy . ask think receptionist leave , convince anything would do . weird thing Travel Lodge seem split two . new frontage see trip adviser photo along Shaftesbury theatre doubt interior new , entrance Drury lane old bit allocate . not know get allocate new end seem list separate t.l . perhaps T.L . management read explain ? . 
 Excellent Location good price 	 room 217 good , clean bed linen towel change daily . hotel budget price excellent location . five minute theatre Covent Garden within easy walk distance China town . admit place could face lift lick paint ! cafe / bar area breakfast serve cold small definitley need face lift first place see booking . would good idea screen entrance door dine cold air whips round area , pleasant eating . would stay though purely location price . 
 DREADFUL ACCOMODATION - never ! ! 	 stay ROOM 226 . stay 2 night . good thing say hotel location . room appalling - wallpaper hanging , mouldy tile bathroom , dirty shower curtain , light bulb work , furniture look like come skip . whole room smell damp musty . comment food choose eat . would never , ever stay hotel . 
 stay hotel ! 	 bad Travelodge ever stay . leave luggage facility , go Charing Cross station pay £ 8 per bag could not check hotel 3 pm . overnight traveller overnight bag ridiculous situation mention time take traipsing around underground , would not minded pay leave bag hotel . slow reception staff , room key card work arrive room 1 pm morning yomp back reception . window bedroom screw shut sort security lock no - one seem key ? Hope never fire escape window . carpet wall filthy , would say carpets stair wells vacuum millenium hole guest could easily catch heal fall . breakfast bad wait age cutlery food become cold ! would recommend hotel unless really desperate , even think twice ! ! ! ! ! 
 could lot well 	 check slow . get bedroom realise toilet paper , ask - give leave roll another room . realise one set towel 2 people ! next day return day , dirty coffee cup leave room , restock coffee , tea milk - go reception replacement . realise one set towel leave ( willing use previous day towel remove ) . back reception another set towel ( ask toilet roll ! ) .breakfast poor/ - croissant fresh . Yoghurt available one day next .. OK 's budget hotel GBP 210 2 night 's cheap . their staff polite friendly obviosly problem ensure bedroom check service correctlythey need get act together . add insult injury , online questionnaire ask one question say & quot ; thank complete survey & quot ; - obviously company interested customer think . 
 Apr 13 2007 	 Gross ! 	 book hotel location disappoint that s impressive . arrive step property look like concrete jungle : dark , depress unwelcome . smile child 's face instantly fade . book process quick efficient allocate room UG4.UG discover refer underground level go stair dark , depressing corridor find room . enter , grow even darker dingy . room initially smell musty realise smell come corner room smell distincly like urine . chair room smear white residue net curtain filthy . return reception ask another room , get uninterested , unapologetic receptionist . room similar net curtain filthy , food stick wall white stain bed settee . advantage smell urine ! stay late avoid spend time room , woken night fight go residential block outside room leave early . Definatley ' clean , comfortable place get good night sleep ' advertise Travel Lodge . 
 Apr 12 2007 	 really nice 	 5 minute walk Holborn Tube Station . friendly helpful staff . negative - room not telephone . a bargain hotel £ 26 per night would definetly stay again . for good deal book online www.travellodge.co.uk 
 Mar 17 2007 	 Great Location 	 room clean comfortable . location great , easily accessible Tube lot excellent affordable restaurant choice within short walking distance . feel safe walk neighborhood night .. definitely true London location . 
 Mar 14 2007 	 Pleasant Surprise 	 location hotel great . 's short walk Holborn tube , even carry bag great hardship . as point early review , hotel two separate building . stay Drury Lane site & amp ; suspect may quieter two . I book Travelodge super - saver ( £ 26 per night ) central location absolute steal . room typical Travelodge - basic beautifully clean . bar pleasant & amp ; £ 7.50 buffet breakfast good value . staff friendly helpful . , good choice & amp ; price . 
 Mar 4 2007 	 pleasently suprise 	 stay travel lodge drury lane pleasently suprise , friend say would ok sceptical pay £ 89 two night . spottless clean comfy staff helpful . even recommend parent ! ! 
 Feb 25 2007 	 Perfect 	 stay Travelodge Covent Garden 3 night , disabled person . staff great help . nice accomodate . room basic , clean roomy . location perfect . able walk Piccadilly Circus ease , even push wheelchair . Tube pretty close . stay future . 
 Feb 24 2007 	 Cheap Cheerful 	 stay Covent Garden two night shopping break focus around Oxford Street side thing ! arrival find two seperate Covent Garden Travel Lodges , one old . stay old one , price room quite pleased find hotel quite good condtion . great place return tiring day see sight , find staff helpful also . say disappointed cooked breakfast- poor quality £ 7.50 ! would definately book future London break ! 
 Feb 24 2007 	 good location 	 amazing location theatre dury lane ( blueman group , woman black etc ) ok getvery basic room noisy , hey londonwould stay price right ( 80 quid ) 
 Feb 21 2007 	 great value $ 	 bit bother fact phone alarm clock room , people front desk nice enough come room 7 am wake we need get . accomodate go way help we anything need . location perfect site seeing , hotel bare bone , 's keep cost . nice bar right hotel could unwind pint site see go dinner . skip breakfast unless be desperate , ton great place eat around , think 7.50 ( pound ) bite much pay get . bed comfortable , entire hotel clean , staff nice . would definitely recommend definitely stay next time be London . 
 Feb 18 2007 	 great location theatre shopping ! ! 	 stay High Holborn build two friend one night . family room spacious clean . frill however , do not forget shower gel shampoo tea coffee facility provide . get tube Holborn hotel mere 5 min walk easy find . two building - one Drury Lane one stay High Holborn appear newly refurbish site . 5 min walk take heart Covent Garden ideal , later , 5 minute walk direction hotel take we straight Aldwych Theatre show . , great location short stay capital want show shopping ! Oxford St short tube ride away short time , location surely hard beat price . would recommend friend would stay sure . 
 Feb 13 2007 	 good hotel would recomend 	 two night hotel £ 15 room per night even pay full amount £ 89 would not much . clean highly recomende . 
 Feb 13 2007 	 Great LOcation - Great price - Great ! ! ! ! ! ! ! 	 return 3 night London stay Travelodge Covent Garden . expect much see Travelodge say do - surprise excellent clean room , newly refurbish bathroom helpful freindly staff reception Cafe Bar . do not know whether know , Travelodge situate 2 site - one Drury LAne across road corner Museum Road High Holborn - class Travelodge Covent Garden - check either reception . we check stay new one corner Museum Street & amp ; High Holborn - open 2006 hence good standard bedroom / bathroom . would recommendation . both site Cafe Bar serve breakfast limit food menu - Sunday morning choose ( eat ) breakfast £ 7.50 ( bargain ) - free table available time ( quite normal hotel england 10.00am Sunday morning ! ) - problem suggest wnet road site currently queue - member staff even take we across road right entrance - impressed . one little trick might like try Travelodge website - originally book 3 night stay cost £ 89 per night . however - try book 1 night time add night shopping basket get offer cheap rate might available 1 night . get Friday night £ 49 instead £ 89 . drawback go man reception morning check check - dont MOVE ROOMS PACK either11 ! hotel fantastic location - min walk 2 Tube statsion Holborn Central Line min Tottenham Court Road PIccadily Line . enjoy stay location much definately stay spend hour trawling internet cheap hotel room London . yes , Travelodge appeal , look luxury touch - base bed night could ask . 
 Jan 29 2007 	 Brilliant find 	 Brilliant find . couple minute Covent Garden book far enough advance get family room £ 30 . great night London . good location , safe secure , clean . 
 Jan 17 2007 	 Excellent .. spot ! 	 go couple night December . booked advance pay £ 26 . family room High Holborn section . room spotless . look like refurbish . staff helpful . 5 min walk Holborn Tube . across road great pub call White Hart . pub restaurant Covent Garden 10 min away . felt totally safe area would recommend anyone go . great weekend . 
 Jan 17 2007 	 excellent value money ! 	 two Travelodge Hotels Covent Garden . lucky stay new one ( think first open June 2006 ) .We book room hotel 's website 26GBP per night ! ! room big , clean double bed . kettle room every day clean leave complimentary tea coffee . bathroom bathtub spotlessly clean . a small advise woman guest though , shower head fix wall , ' forget bring show cap .... tv channel free local one . telephone hair dryer room need one ask reception . happy lend one free . location simply excellent ! ! ! hotel short walk away almost everything . 5 min walk British Museum , 10 minute walk Covent Garden , 10 minute away Piccadilly Circus West End etc etc etc London Christmas day , although public transportation day absolutely problem ... hotel 5 minute walk tube ( Holborn ) supermarket close . excellent value , frill , perfectly situated hotel would definitely recommend everyone tight budget ... 
 Jan 9 2007 	 good value 	 stay old Trusthouse Forte office block High Holborn . go originally Drury Lane part check per website . cost £ 89 family room per night . at 11.30 manage check spacious family room pullout bed double bed . the room bathroom spotlessly clean . bed bed fine . there phone clock iron hairdryer room borrow iron reception easily . the location excellent . yes facility basic find th staff helpful hotel offer excellent value money . 
 Jan 9 2007 	 Average Hotel 	 hotel really bog standard . I suppose great London short while . the room really standard , do not include hairdryer , iron etc , get reception problem . room date , could modernise . its great location , close everything . the staff welcome friendly . 
 Jan 7 2007 	 basic clean 	 Stayed weekend break find almost everything expect Travelodge . room big clean , basic date looking . bathroom need major updating tile crack look tired shower rubbish ! overall , ok stay location good room quiet clean want something base see sight west end will not find . 
 Jan 7 2007 	 good cleam central Hotel ! 	 ok , start manage get £ 26 deal . look website year seem hard get , Sundays think . even full rate £ 89 pay still good value central London . room huge , clean comfortable . side lot noise outside room night window little keep noise . breakfast £ 6.50 , buy voucher reception . food ok really eat much like think great value . guess pay full price could stay Hilton £ 30 come room service etc , price ... could ask . location great , main drag nice restaurant road , great theater district well . 
 Jan 5 2007 	 disappointing 	 stay lodge number time location price always disappoint good reason stay . last visit , wife diecte outside main hotel less clement weather , across inner courtyard annexe . advise less charming reception staff lift work carry case flight stair cold room one towell one extra pillow . possible phone reception room retrace step reception receive grudging apology towell pillowcase subsequently deliver . I find quite annoying note room explain facility hotel sparse . apparently benefit keep cost low possible suspect convenience management staff . one annoying deficiency lack luggage room mean arrive early want stay area check time , need carry luggage find storage elsewhere . another problem breakfast cook stew heated container - excuse serve can mushroom fresh readily available ? advice would go across river Travel Inn County Hall much professional approach ( athough mushroom still can ! ) . 
 Jan 2 2007 	 Fantastic ! 	 problem original hotel book , surprised find vacancy Travelodge Covent Garden night go London . stay two night ( 30th 31st December ) . could book smoking room , arrival 10.30am ask allocate non - smoking room without problem . there two entrance .. one High Holborn , accross road Drury Lane . high holborn part , can not comment drury lane hotel . we surprise size room 9th floor . room least another double bed ! ( see photo ) view City , NatWest Tower , Swiss Gherkin Monument . the room bathroom clean . location fantastic also . overall , would highly recommend Travelodge Covent Garden . 
 Dec 31 2006 	 else London ? 	 stay Covent Garden Travelodge 3 night October . lucky able pre - book 26 pound deal on - line . search extensively cheap London accommodation elsewhere ( Victoria , Bayswater , Earls Court etc ) could find share bathroom meagre price . 23 hour flight Australia early arrive , exhausted , hotel 9.00am . although check - in not suppose 3.00pm , kindly receptionist take pity , offer comfortable sofa cup coffee tell even though hotel book previous night , would provide room soon one ready . freshly clean room 10.00am , short nap shower revitalize meet daughter friends restaurant covent Garden 1.30pm ! delighted recommend hotel . else London could find bargain ? 
 Dec 27 2006 	 BASIC GREAT 	 book hotel month ago pre christmas treat family , read review website little worried . we stay 2 night family room , room clean spacious comfortable , yes basic £ 52 2 night family four certainly be not complain , staff helpful location fantastic would definately come back . 
 Dec 18 2006 	 Mixed Feelings place 	 not impressed hotel . 's like : clean , quiet good , hearty breakfast available . not like : mixed attitude staff member , fact alarm clock ! chilly room , despite fact heater high . first night request extra blanket , receptionist thouroughly question would need extra one , give attitude ask wake call ( phone room , someone physically knock door ) . come way Chicago opera audition , important wake time . location awesome ! would stay . 
 Dec 5 2006 	 good value 	 second time stay hotel do location price ( £ 26 per room per night ) . first time stay Nov 05 old part Drury Lane , room clean , tidy functional inadequacys overlook darn cheap Covent Garden . know people mean say dodgy people hang outside - do not like , inside card access building feel seccure . the second time stay Dec 06 new building High Holburn completely refurbish year . Essentialy room build new .... honest like every Travelodge ever stay . ask change new room evening arrival school party floor occupy nearly every room except - imagine ! ! ! second room floor twelve give we good view london - one peacefull . if want value room location near Covent Garden likey please . if interested British Museum 5 min walk Museum Street good shopping , food bar 5 min direction - perfect . 
 Dec 5 2006 	 nothing wrong Travelodge 	 reading review desperate make last - minute change . well could not get anything else . nothing wrong Travelldge ! not good fortune get £ 26 per night , pay £ 356 four - night stay Central London - two us - will definitely return . absoloutely complaint cleanliness comfort ; staff friendly unobtrusive ; hassle get out . a short walk top Neal Street stroll seven dial across Shaftbury Avenue Covent Garden , location excellent . also , equidistant Holburn tube station Tottenham Court Road , Holburn serve several underground line everywhere be easily accessible . like say , read several previous review , one helluva pleasant surprise . 
 Nov 29 2006 	 could want ! ! 	 feel like write review , would read many bad one hotel recently leave dread trip ! reality hotel pleasant surprise . friend way disappointed would definately recommend . find clean modern , nice simple , basically like travelodge stay . room big bright , comfy bed , dress table large mirror , bedside lamp , socket , television , tea make facility , modern bathroom window open , always good ! get impression staff would go way help , even deliver extra pillow room late night . day room clean fresh towel replace . £ 6.50 morning eat much breakfast physically able ! not know could want hotel slap bang middle london- especially lucky enough get £ 26/ nite like . perhaps ppl leave bad review expect 5star , anyone know great travelodge put . 
 Nov 17 2006 	 Ryanair Hotels 	 stay recently finish hotel , amazed basic be . uncomfortable bedno soap roomone towel two people.a single chair look feel £ 9.95p Ikea . generally low specification build finishhowever good staff , good lift , clean . Norman West 
 Oct 31 2006 	 good value London 	 spending year visit London stay expensive hotel , dirty , staff rude , security non - existent , say finally find perfect place ! pay £ 26 per night room ( Sunday Monday ) large , clean , modern family room comfortable double pull - out sofa bed son . staff polite helpful , even though arrive 1 pm ( 2 hour check - in time ) able access room immediately . room tea coffee - make facility , phone toiletry , need ? always take anyway . however - take note ! hairdryer ! Breakfast £ 6.50 per adult buy voucher reception . kid 10 eat free - son 12 let eat free anyway ! good choice hot food , juice , yogurt , cereal etc . never incur running bill ( everything ' pay go ' ) , not even formally check . security excellent . main door lock 11 pm open without room key . access room also door open room key . much well expensive hotel ' ve , Tom Dick Harry wander room ! Covent Garden theatreland within short walk . ok , 's luxury , will definitely stay ! guarantee ! 
 Oct 30 2006 	 nice base explore 	 recently stay Covent Garden Travelodge long weekend . close Holburn tube station give we great transport popular sight . I book well advance manage get 2 night twenty six pound per night ! hotel room clean tidy staff friendly . would not recommend breakfast though . get much cheap tastier breakfast one nearby cafe . well place variety place eat never walk far . highly recommend Cafe Pasta , small italian restaurant Shaftsbury Avenue . superb 3 course meal reasonably price . all enjoyable weekend would say lot excellent location Travelodge . Hope help . 
 Oct 22 2006 	 Modernbasic clean 	 Stayed one night , room large London hotel , modern & amp ; clean basic internet connection require . ( do not forget toiletry though ) £ 19.50 include full english breakfast per person could possibly expect . reception staff efficient friendly . look bargain room price website . child 10 eat stay free ( share room ) hotel short walk Holborn underground , British Museum plenty place eat . budget want average place stay easy access London site you . I also stay four star bargain £ 59 want £ 13 breakfast £ 5.99 per hour tv film internet . 
 Oct 14 2006 	 well expect ! ! 	 stay 5 night begin October pleasantly surprised . arrive mix - up booking would meant change room 2 night . receptionist kindly change room 707 . reach room become clear ' penthouse suite ' , top floor stunning view across central London . panoramic view sweep St Pauls , across Westminster across West end . simply stunning , worth hundred pound per night . room large , standard Travelodge decor . problem room . one thing annoy habit staff come clean room 8.30 . happen two occassion . little early opinion come clean room . eat hotel , therefore unable rate food offer . as surround area doubt hotel downmarket part Covent Garden . location excellent shopping , theatre attraction . concur reviewer ' dodgy ' people hang around hotel . return one night midnight quite crowd young people gather step infront hotel . day area infront hotel occupy smoker nearby office block . regard come back hotel night would recommend get tube Holborn walk along High Holborn hotel . High Holborn well light numerous bar safe . one night take tube Tottenham Court Road go short cut along St Giles High St . stop rather nasty beggar give pound still enough . end simply walk away not feel safe come way back hotel . also , come Long Acre Drury Lane notice many beggar about . in summary , pleased room facility hotel . surround area leave lot desire think lot decide stay . pity consider pay £ 26 per night room heart West end . 
 Oct 7 2006 	 good 	 poor service ... forgot deliver room breakfast bag ( even though specifically remind ) . room / door key fail work 1st day . arrogant reception chap not want resolve press . room dirty , grotty dark ( even bright day ) tiny window rear carpark ( room 109 ) . heating / Air Con instruction not work properly . refuse look bag whilst await train journey couple hour ! would stay ...... last hotel earth . 
 Sep 28 2006 	 great location 	 can not say much standard travelodge fare . great location especially get special deal . worth full rate though . 
 Sep 18 2006 	 good value get cheap rate 	 stay last weekend price pay happy . manage get £ 26 rate . we stay new part clean , family room spacious . however second floor mean air con get hot open window . window open first night noisy traffic . keep window close two nigth absolutely fine . therefore probably would recommend hotel summer unless get room high floor . the lcoation fantastic , near shaftsbury avenue , covent garden tottenham court road . I would certainly stay able get cheap rate room high floor . 
 Sep 11 2006 	 depends look 	 almost cancel booking read previous bad post Covent Garden TravelLodge especially week glad didn't . I arrive three hour early give room immediately yes would agree hotel could furb clean staff extremely helpful without obtrusive . the hotel extremely handy tube theatre go . feel safe London hotel stay despite stay alone return late once . avoid breakfast plenty cheap appetising place eat nearby , go hotel long want safe base comfy bed ideal . 
 Sep 11 2006 	 great value 	 good accommodation , particularly get special rate like ( £ 26 / night ! twin room ) . new annexe frill ( picture wall example ) . staff friendly helpful . one real drawback Travelodge , policy store luggage . pay £ 7 Victoria Station store 4 hour - make sure bear mind hang around London check . 
 Sep 5 2006 	 good location good hotel 	 good point : -Very handy Covent Garden & amp ; theatresBad point : -very long queue check - in - if not smoke get smoking room , smell terrible - no aircon , despite temperature control leading believe aircon . -room get hot , window open far - room quite shabby - there quite odd character hang round outside come back late night 
 Aug 21 2006 	 great value money excellent 	 husband stay 17/8/06 . read review doubt impressed . pay £ 26 book online . room huge everything could want except hairdryer . clean comfortable . noise disturbance good stay also staff helpful . would use travelodge . 
 Aug 20 2006 	 good value special offer 	 book 2 night £ 26 per night Travelodge website . book well advance get price . 2 hotel , stay new one High Holborn . room clean , good bathroom , colour tv ( 5 terrestrial channel ) , good double bed , adequate roll bed teenage son , plenty linen & amp ; towel , tea & amp ; coffee make facility . lack air conditioning would issue hot weather . staff friendly efficient arrival offer help need although none be . location excellent - minute walk Covent Garden , British Museum & amp ; theatre district . be look value , eat Wetherspoons Pub ( Penderel 's Oak High Holborn good ) .summary - excellent value money get deal . would want facility pay full price £ 89 per ninght . 
 Aug 15 2006 	 enjoy budget stay 	 stay two night last week . book via Travelodge website get family room £ 26 per night . travelodge apparently new one area , Drury Lane . however , despite newness lack air conditioning , something would thought would standard facility , also one wheel miss roll camp bed , make lop - sided sleep 7 year old son . would stay cheap rate , would reluctant pay going rate £ 89 night sure could find well money . breakfast also extra £ 6.50 per adult , although kid eat free . location good , ten minute walk Holborn Tube Station . Covent Garden 15 min walk away , British Museum 10 min . , nothing special , book bargain £ 26 rate may get cheap weekend London ! 
 Aug 9 2006 	 great location- fantastic value 	 come home 3 night stay Covent garden travelodge . book two room £ 26 per night per room- bargain ! ! fantastic location five minute walk tube . room husband 8th floor massive . room obviously newly decorate clean . staff friendly . enjoyable stay excellent value . 
 Jul 29 2006 	 Basic brilliant 	 partner return 2 night stay travel lodge Covent Garden . safely say lovely . pay £ 26.00 per night compare price usually pay little apprehensive . especially read review . honestly say definately book return . we arrive early well check time give room straight away . room small usually London want nice firm bed ( get ) , clean towel ( huge ) good shower ( definate awakener ) . exactly get . previous visit stay Thistle Hotels assure will not bother . would rather pay less money spend enjoy ourselves . we do not book breakfast think £ 6.50 little steep . go Wetherspoons pub round corner get fantastic full english £ 1.99 open 8am . with regard & quot ; people & quot ; hang around front step never problem . one evening returnexd hotel whilst partner go cash point well past midnight do not feel frightened intimidate . staff reception attentive helpful . nothing much troubleOn whole Travel Lodge Covent Garden real pleasure stay . will not hesitate book . 
 Jul 18 2006 	 great location horrid hotel 	 great central location , however horrible hotel . look awful , room smell damp , bed horrid plastic matress cover saggy bathroom scared get undress ! overall need complete overhaul , would not minded much not pay £ 89 night privilege . 
 Jul 18 2006 	 good 	 stay follow late night flight Prague . know interesting area struggle past bunch dodgy look out corner endell street barge past mass teenager sit step hotel sample cheap alcoholic delight generally loud agressive . finally make hotel tooth knock hit head blunt oject . check painless room expect something budget , fair excellent value give location . word warning try avoid room 1 , fellow hotel guest appear confuse internal telephone number reception . result endure numerous call night range & quot ; reception & quot ; & quot ; cleaner soiled & quot ; . tired want sleep believe patience wear thin , last call 5.00 almost result rip phone wall , locate caller inserting phone he . another downside room west side building directly opposite residential block flat resident sit balcony drink loud . all want good night sleep pack ear plug ! 
 Jul 17 2006 	 Excellent Budget Hotel 	 stay hotel weekend little apprehensive base early review . could say reader IGNORE PREVIOUS NEGATIVE FEEDBACK ! ' m frequent stayer London , circa 6 time per year always lookout good budget price accomodation . ' ve got say , hotel excellent budget choice - location amazing , 5 - 10 min walk Leicester Square , hotel literally Shaftesbury Avenue easy walk towards centre . room although basic functional - spacious , clean , well decorate , quality towel linen etc . general condition hotel - well advertise 4 * , ongoing refurbishment make big difference little sign work disturbance contractor . staff friendly accomodating . worry safety , hotel fairly busy road plenty passer etc soundproofing room excellent - minimal traffic noise etc ! downside security lock bedroom window prevent open - compensate two fan room 1 bar soap bathroom , Reception give many need ! ! ! definitely stay even pay full room rate ; location , saving tube ticket staff etc make one top choice future stay . 
 Jun 24 2006 	 okay be strict budget otherwise look elsewhere 	 poster mention , no - frill hotel . check , clerk tell room rate , lot book internet . fortunately , email printout reservation two night . first room give quite small , know large room stay Drury Lane Moat House . go back reception give room next door , much large furniture . there one large towel bath mat , two plastic cup one small bar soap bathroom . top sheet duvet cover fit sheet duvet cover not look particularly clean not use . thankfully London experience heat wave not cold night . as other also state , lot fire door huge used towel container hallway time . can not dial reception room , find odd , hotel say 's cost - save measure . there large outdoor entryway hotel one time see young man sleep ground several hour time couple intimidate guy linger step . though see daytime , would rather nervous approach hotel later evening . I will not stay , matter inexpensive rate . prefer amenity security . 
 Jun 18 2006 	 Poor 	 stay one night . London work colleague book hotel . reception slow check people inThe room ok . no soap shampoo etc bathroom . go get soap myself . one iron board hotel look 20 year oldbreakfast average . I suppose location price £ 89 positive . I will not go back . 
 Jun 17 2006 	 not Book Full Price . 	 stay Travelodge Covent Garden one night June , spend previous night Jury 's Gt Russell around corner . contrast ! give would expensive stay hotel ( full rate ) , pay Jury 's , would sorely disappointed pay £ 89 . £ 26 room could fault really . arrival bake London heat dry look like splash vomit entrance step - not kind welcome one would expect suppose sunday morning Saturday night revelry always present odd unexpected obstacle . proximity step roadway could bear . check - In greet extremely bubbly efficient receptionist , despite arrival 2 hour agree check - in time , say room ready would happy allow take . luckily , within minute accommodate . bathroom ceiling look like suffer fairly serious leak , luckily hold duration stay . linen / toiletry pretty scarce room spotless spacious big comfortable bed . shower powerful lot hot water . want holiday Multi - Channel Land hotel suppose people take city break watch television . room quiet , despite review state opposite , problem front . tea / coffee make facility present mean reception contact trek thru linen - laden corridors- unusual situation encounter hotel . hotel palace want central location ridiculously low price ( Saver room £ 26 select date ) , bad option . going pay full rate £ 89 not bother . lot website get classier accommodation general area £ 75 - £ 100 per night ( grange , Jury 's , Radisson occasion ) . time , see return future . clean , quiet room close many attraction far price suburban B & amp ; b , sufficient many tourist Travelodge Covent Garden hardly fault score . general area could upgrade new London High Holborn opening year look forward new , fresher , Travelodge option . incidently , mess step remove departure . 
 Jun 10 2006 	 worth full asking price 	 perspective Travelodge Covent Garden little different know . work 27 year ago manage Grand Metropolitan Hotels know Drury Lane Hotel . make bed clean bathroom guest stay 4 - star hotel , think would hoot return one . great location , understand lodging degenerate now . the corridor room quite door instal , presumably stop spread future fire , make difficult find room tote luggage . porter available assist guest . nice restaurant bar disappear . long room service . telephone disappear sleep room . although technically motel since door guest room open corridor , service equivilent . I stay three night last July , two sleep interrupt fire alarm . give room 141 , immediately strike odd since Drury Lane sleep room fifth floor . find laundry , staff dining room , behind - the - scene facility . also direct route inside front lobby . walk outside reach . constantly lose way around . room scruffy condition ; however , provide fully functional old style hairdryer ( air hose ) electric tea kettle accoutrement . tv receive 4 5 VHF channel . all , really disappointed become 4 - star hotel spend summer 1979 . even pay full asking price £ 85 p / n experience . get bargain rate , doubt would disappointed . , not travelodge economy ? much nostalgia . I currently prepare extensive review Epinions . 
 Jun 2 2006 	 Best Deal London 	 good buy London . stay two night . Travellodge offer special rate night . way work Sunday Monday night May room cost $ 46 per night . book on - line advance much , afraid hotel would awful condition - . room small - standard size room Super 8 , Econolodge , like US . drawback bed blanket top sheet - comforter fit sheet . heat room also poor . price not right , be fantastic ! ! ! 
 May 23 2006 	 terrible across board 	 first good point : 's central location near Covent GardenNow bad one . look like tower block probably , room door not fit properly be warn use security chain ' for safety ' , staff mainly incompetent , speak understand English inadequately even London hotel good apologise hot anything problem report , booking system seem overbook place arrive may room let alone kind book , matter quote automatically ( ) charge full rate 85 pound not notice tough , , card recredite ; always take e - mail confirmation , room cold ( due centralised heating system ) badly sound - proof ( back ill - fit door ) , water pressure high ( grant second good point ) use 's hot water , tv might work , book group be unlikely place room together ... could go 's little point . could perhaps accept hole hotel have pay tenner night 75 quid night leave bitter aftertaste extra 20 quid could ' ve luxury CityInn Westminster . I never use hotel make wary other chain . advice , location location location pretty meaningless get bad . avoid go stop tube . 
 May 9 2006 	 Lacking 	 hotel one big advantage near Covent Garden theatre district , make basic quality hotel . hotel site one bad area Covent Garden make security issue , look like 1970 office block hotel bland . the room though clean basic hotel sell way make thing cheap . stay hotel chain one far basic . if want place sleep 's fine . 
 Apr 10 2006 	 please 	 stay 2 night Travelodge , end March 2006 . pay 75£/night . room clean personel kind . afraid staying read rewiew much much well tought . warmly recommend hotel be look cheap central hotel London . would probably stay honeymoon - trip nothing complain ! 
 Apr 6 2006 	 great value location 	 stay last weekend pay £ 75 sit £ 10 sun ! room clean basic toiletry etc can not complain price . close shop / pub / theatre Covent Garden tube . staff friendly helpful . London concert shopping want something cheap cheerful . want luxury , value location London perfect . 
 Apr 4 2006 	 Good Budget Accommodation - right price ! 	 manage get one £ 10 ( supersaver ) room Sunday night price amazing accommodation . decide would also visit Saturday quote £ 86 stay elsewhere evening . say have pay £ 86 Travelodge have disappoint get v good 4 * hotel £ 10 cheap ! price good option - room ' reasonably ' clean , bright modern location excellent . on downside : build ugly extreme exterior suppose 's little this . the corridor untidy arrive . huge , industrial trolley load linen piles linen allover corridor floor . despite room book 2 one set towel can not phone reception room , go back downstairs sort problem . they not store luggage . problem us hotel ( Grange Fitzrovia ) store bulkier bag we take need evening would MAJOR problem stay Travelodge . I say staff ecountere visit extremely polite , friendly professional - think many UK hotel could send staff Travelodge training ! pay £ 86 essentially basic , budget accommodation get discount rate , GO , would struggle find well value London . 
 Mar 31 2006 	 good hotel great location 	 never go find cheap hotel ensuite facility central London . excellent location , standard facility , good hotel . sure book earlyso get cheap price available . 
 Mar 26 2006 	 great value location 	 place right theater district easy walk major theater . not drive London sure parking . stay wife two kid age 9 & amp ; 10 . make sure book least 21 day advance get little 10 pound ! ! Use ( - ) site get supersaver deal . 
 Mar 24 2006 	 fantastic value family ! 	 stay two night nice , quiet Travelodge - lucky book room chain 's website GBP26 / night promotion . even GBP 85 / night , value ! room cookie - cutter Holiday - Inn - express - like , do english twist . big , comfy queen bed duvet pillow , sofa turn single bed trundle pull underneath . spare sheet , pillow , duvet provide room 's shelving unit . comfortably sleep family four . good lighting , handy bedside light & quot ; suspend & quot ; oak nightstands side queen bed . en - suite bathroom deep tub / shower , toilet , sink , big mirror . window , suspect , triple - glaze ... not hear much outside . small color tv remote basic channel . ( option pay extra access premium channel . ) free bottle shampoo , bathmat , towel ( although ask extra ) ... situate quiet neighborhood little shop / cafe Drury Lane forecourt . you breakfast - pay extra buffet door - deliver sack . plan stop local grocery store pastry , juice , yogurt , fruit 5 - minute walk nearby Holborn tube station . after see hotel charge London experience GBP89 / night buy ( shower / toilet hall mattress identifiable spring ) , hotel find year ... long not expect uniformed doorman luxury like Ritz - Carlton provide . our verdict Covent Garden Travelodge : perfect travel family ! 
 Mar 10 2006 	 good business traveller 	 arrange two colleague stay hotel March 2006.although arrange payment credit card advance , staff force one colleague pay two additional night . result huge amount hassle we , colleague . although hotel advertise internet access ( important factor two individual ) , dial - up access ( high speed internet ) undesirable . finally , bother excessive noise , hotel border two noisy central London street . well value ( quieter ) hotel find nearby . 
 Jan 30 2006 	 Great Location Theatres 	 Travelodge fantastic location theatre & amp ; approx . 5 min walk Covent Garden . 10 Mins Leicester Square . room nothing special , shower horrid , mastic around tap chrome ! ! advisor say , expect Ritz fine ! 
 Jan 28 2006 	 well expect 	 stay Travelodge one night recently impress family room book . room clean spacious include good facility T.V ( £ 6 good selection movie , tv , radio etc , 24 hour ) tea coffee facilities desk area etc . the Location hotel good 5 minute walk Covent Garden tube station 10 - 20 minute walk Piccadilly Circus . overall hotel bargain location room standard . ' look posh , luxury hotel mint pillow ' look good basic hotel reasonable price perfect . check Travelodge web site direct deal .... grab bargain . 
