ok 	 tell cut back . know times hard charge $ 300 expect fast service . room service take way long late meeting . 
 Jan 15 2006 	 Classic elegance 	 love Drake - rich history still beautifully elegant . view lake 4th floor room breathtaking love bar Palm Court . stay old hotel Chicago ( be hotel stay least year ) please room size old establishment . 
 Jan 10 2006 	 Beautiful Historic 	 fiancee ' stay @ Drake Hotel back March 2005 . beautiful comfortable . may even conceived son : ) stay executive suite rather large room . believe pay $ 300 / day worth every penny . definitely return ! 
 Dec 1 2005 	 like Drake ! ! 	 boyfriend stay 2 night November ( 16 - 18 ) . bit worried reading review nearly change reservation glad do not ! hotel beautiful . room ok , bed comfortable bed would ever sleep ! ! ! weather incredibly cold , snowy stay Chicago room right temperature ! location ideal , right magnificent mile . do not eat hotel , prefer wander street see take fancy . ( ole pancake house worth try ! ) staff friendly helpful . I would stay 
 Nov 25 2005 	 Dowdy Comfort 	 stay one night see friend nearby experience & quot ; high tea & quot ; Palm Court Room . the room average size seventh floor , lovely view Lake Shore Blvd . swinge around north beach beyond . HVAC system quite adequate , turn fan get solenoid valve radiator open . the bed soft comforter simple silk sheet spread . interior subdue feel grandmother ( Drake less ) would feel much home here . oh , follow warning window latch open window . & quot ; break away & quot ; type quick evacuation event fire . 
 Nov 21 2005 	 Bring earplug ! 	 disappointment price ! room & quot ; executive & quot ; level , great view , small . like other mention , bed thick comforter -- sheet blanket -- be either sweat comforter freezing without . bad noise -- every time someone come room hall , could hear door slam . every time someone get ice ( ice machine stupidly locate right hall , enclose room block noise ) could hear . 10:30 p.m. , people next we start party . smoke , even though non - smoking floor -- could smell smoke room . call front desk complain assure Security would come confront partier , one ever come . ( complain noise door ice machine time tell , basically , & quot ; hey , glad be close street , be even noisy . & quot ; ) partier leave around 11:30 ( till midnight wait assistant manager call we back claim would ; never ) , return around 5:00 a.m. start party . call complain get nothing front desk except 50 % room upgrade next time stay ( next time -- yeah , right ) .It seem like easy fix could make reduce noise , choose . staff complain say right thing , not follow say would . 's ridiculous allow people flaunt & quot ; smoking & quot ; rule . aside , access executive club upper level , free hor d'oeuvres open bar evening free buffet breakfast morning . get crowd loud , pleasant sit -- end take food back room . good replenish food buffet , either . pay extra access amenity , disappoint able use fully . we eat Cape Cod Room hotel -- food quite good , decor tacky consistent high price . be also loud , table rather close together . 's seafood restaurant , order menu hotel 's steakhouse well . nice let we take dessert room , give we real utensil dish . all , extremely disappointing experience . price pay , least able get comfortable night 's sleep assure no - smoking floor truly non - smoking . 
 Nov 13 2005 	 par well well .... 	 read review , bit skeptical ... Drake 's historical elegance , cleanliness , friendly service , opulent furnishing par many 5 star hotel husband stay . high Tea Palm court must romantic couple lady ' gathering . marble floor , 6 foot flower arrangement , fountain , harpist , 12 foot oil painting , classy furniture work create atmosphere tasteful wealth can not experience price expensive hotel Chicago . 's right Lake , near restaurant shopping , concierge helpful help guest get right bus / train go museum . feel safe , pampered , rip rate ! look forward stay . 
 Nov 4 2005 	 good ! 	 great , clean room . disappointing breakfast hotel restaraunt . get room high , noise bother . 
 Oct 10 2005 	 Beautiful Hotel So - so stay 	 Drake beautiful historic hotel , question . remind lot NYC 's Waldorf - Astoria , also Hilton property . lobby , ambience , restaurant store impressive , room -- least standard one stay -- . room 's decor attractive , quiet small . bed thick duvet choice blanket , hot ! bathroom attractive , really small , . towels & amp ; toiletry disappoint . basically , would think Drake would give luxury , not deliver . far luxurious experience Fairmont Chicago , stay month early . , want history & amp ; ambience , go Drake . want luxury & amp ; extra , look elsewhere . 
 Sep 17 2005 	 Sad disappointment 	 Drake venerable history husband not consider stay anywhere else first visit Chicago . pay $ 300 ( taxis ) small room look wall . whatever , not plan spending time room . however , doorknob come close door . light closet would not shut , shine room night long . washclothe bathroom . ask , give one , ration . oh , tv poor reception . doorknob closet light eventually fix . the real problem occur come home near midnight find room flood water . woman next door fall asleep running bath , water seep room , soak carpet many belonging . not hotel 's fault -- get . however , response afterwards pathetic . tell we would move we new room , send bellman right away help . half hour , one arrive , tell busy help we . go front desk obtain key new room , drag bag , find key not work . back front desk , tell would take least half hour resolve problem . not point clerk 1:00 , pay $ 300 night nowhere sleep upsetting magically find another room we . 's sad beautiful old hotel Drake 's reputation could sink low standard . 
 Sep 1 2005 	 wedding wonderful hotel O.K . 	 Maid Honor wedding Drake July , 2005 . handle wedding reception Drake well do -- food excellent staff ( valet ) exemplary . the hotel / room function good . give extremely unfavorable room , low floor overlook tar - cover roof absolutely view . Chicago use see spectacular skyline lack view big deal , realize one bad room entire hotel , dissapointe consider rest wedding party give upgrade many we check time . additionally , bathtub room stop overflow twice two day . bathroom sink drain extremely slowly . air conditioning work set thermostat 60 degree ( average outside temperature 95 ) .The hotel despite allegedly renovate recently , seem tired date . agree review note long check - in time . line check - in throughout weekend . guest wed subject lengthy delay valet parking also . the negative hotel mostly cancel amazing room rate obtain wedding compare nearby hotel ( Four Seasons , Ritz - Carlton , Westin ) , however , sad storied hotel seem struggle keep new , nicer much well manage hotel around . 
 Aug 23 2005 	 Outstanding Service plus Wonderful Hotel = A++ 	 husband , cousin stay Drake Chicago week . moment arrive , staff top ! bell hop assist we immediately . check early , room available , staff graciously offer hold luggage want get shopping . we arrive back find room something 1920 's moden day accessory . skeptical carpet since read review horrible carpet , not bad . could replace sometime , really not notice . room decorate nicely , old hotel humid trip , door sort stick wood expand . bed comfortable , even roll away cousin . service outstanding ! turn service every night even get chocolate chip cookie cousin 15 . room always clean promise . ask extra towel , ; housekeeping make sure enough towel day . we call maintenance get refrigerator door shut . prompt attend problem asap . dress uniform clean cut . impressed . I rave enough concierge service . tell go somewhere immediately hand coupon book deal free - bee ! organized help we handle side trip visit . last least , husband order flower floral shop hotel . came get room beautiful assortment . love color size rose , 3 - 4 & quot ; rise ! expect live day , instead last week . wonderful surprise great deal since not die next day ! overall , would say experience top notch . love stay downtown Chicago think ' ve find new home ! 
 Aug 21 2005 	 Nice hotel dirty carpet 	 room large grand , carpet dirty room . service great , bed comfortable . bathroom carpet could use work . will not stay . 
 Aug 2 2005 	 true Classic 	 like old - world charm style , Drake Chicago . Drake beautifully decorate appoint . classic architecture 1920s harken back less - hectic time . flower lobby elsewhere throughout hotel magnificent . Cape Cod Room offer tremendous seafood dish Drake Brothers fine selection beef . enjoy tea time Palm Court harpist lull relax . evening pianist play wide variety tune Palm Court . Coq d'Or fun place go meet friend drink . even though Drake 80 year old , enjoy convenience wireless connectivity hotel . not wireless capability , hotel also provide high - speed internet access room . the staff throughout hotel , restaurant lounge pleasant attentive make stay enjoyable . 
 Jul 28 2005 	 gorgeous view worth upgrade . romantic ! 	 love hotel represent character city , Drake Chicago 's equivalent Plaza New York . ask view Lake Michigan Wacker Drive . will end large room high floor , promise will not regret extra cost . twilight , city light cloud fog rolls lake , could not ask romantic sight . room elegant , spacious spotless . service formal stuffy , concierge wizard . even elevator romantic . loveseat , less . the hotel 's Coq d'Or bar first open end prohibition still great place meet early - evening drink . bar Palm Court feel surprisingly intimate despite step iconic lobby - decorate nine Christmas , carve venetian angel near ceiling magnificent tree . time enjoy sleek , modern space like W Peninsula , experience could not happen city , can not go wrong lakeview room grand hotel . 
 Jul 21 2005 	 low grade service High Class Hotel 	 Drake conference service TERRIBLE . far sleep room go ... standard room much small expected room rate pay . receive wake call two morning row . compensate bottle wine room . ... switch room toilet stuff hairbrush previous guest . leave water run bit long get shower tub nearly overflowed . the conference service even bad . hotel not keep box deliver place take almost two hour locate anything . unfortunately , location can not beat . right middle good area town ... decide important reserving hotel room . there exception , course . Jesse front desk incredibly helpful ! engineer fix toilet friendly ! 
 Jul 17 2005 	 Disappointing . 	 arrive five minute check - in time , room not ready least another half - hour . interminable line check - in counter , really not prepared handle quantity guest have . housekeeping disorganize . still make round cleaning room 5 o'clock . get back dinner 9 , door leave open supply station floor , various cleaning product leave lie hall . also bed ( yes , whole bed ) , sit half - block hallway . least hour , go next morning . the room somewhat pleasing & quot ; classic luxury hotel & quot ; decor , clearly need renovation . ugly green carpeting really filthy , need replacement . ample closet space , four small drawer , big piece furniture also hold tv . tv mount slide platform not slide far enough , could not rotate see screen bed , couch , anywhere else might want watch tv . cheesy simulate wood laminate apply piece furniture stain place , crack peel another . safe room , locked shut arrive , could not use it . the wallpaper sort old fade , , one place , crusty , reddish - brown fluid splatter onto -- blood , perhaps ? bathroom marble , nice . sink partially clog , drain slowly . towel thin poorly absorbent , rough , uncomfortable surface feel like might get abrasion try dry off . the bad thing : noise ! besides slightly annoying level noise Michigan Avenue , lock door connect room one next door , could hear even normal - level conversation though people next door three foot head . get little sleep Drake . soundproof wall important consideration choose hotel , one awful respect . on plus side : bed comfortable , wonderful down - like comforter . air conditioning plenty strong . several concierge excellent . lobby bar nice place drink . 
 Jul 5 2005 	 beware 	 impressive entrance . good in - house restaurant w / thoughtful employee . room - old style bathroom w / really rough towel ( prob not get swipe way ) ; sound proofing - not rent movie ( since movie sudden loud sound , neighbor pound wall ) .When check , leave item room . back within twenty minute . item take & amp ; turned & quot ; housekeeping & quot ; . front desk , say would bring front desk . 30 minute , ask ; tell way . 20 minute , tell . 30 minute , ask exec whose desk next front desk help . go housekeeping return 15 minute item . if ever need pick item leave behind , accept front desk & quot ; come & quot ; . go immediately someone authority help . 
 Jun 29 2005 	 consistently great ! 	 often stay Drake business , ' ve always wonderful stay . room always clean , comfortable spacious . staff friendly hospitable . Palm Court Coq D'Or bartender always friendly accomodating . can not beat location , 's Miracle Mile walk distance restaurant rush street . 
 Jun 27 2005 	 old fashine elegance 	 visit scotland memorial weekend stay hotel 7 night . executive room overlook lake 8th floor . room good size , hubby love lay - out mini - bar , like little cocktail bar ! disappoint window open advertised.window screen make window appear dirty . carpet room well past good appreciated bathroom slipper like idea walk barefoot ! lovely old hotel much well & quot ; chain & quot ; hotel . enjoy coq d'or bar lovely food serve . staff pleasant . access executive lounge 11th floor well worth extra cost ! mix mean cocktail . staff get know pleased pop pre - dinner apperitif . amazing view lake give hotel big plus factor.would certainly recommend hotel old fashioned image interesting history . 
 Jun 14 2005 	 Classic line wrinkle 	 RECOMMENDED . ' m give AVG anything wrong , simply money 's avg stay . other comment , old hotel renovate several time . paint thick wood many year service . ceiling high year a / c not invent . furnishing good quality bit worn . check - in prompt . room nicely sized , quiet , bathroom moderately light marble flooring . basically hotel like well worn shoe . be certainly excellent location get good deal rate , be worth stay . 
 Jun 13 2005 	 place would choose stay 	 stay 1 night business trip June 8 . king bed choice Queen 2 Twins . tell 2 Twin room well view take . ask Queen since & quot ; view & quot ; Michigan Ave really pretty boring , anyway , could look thru incredibly dirty window little note lock say permanently closed . bed uncomfortable lumpy hardly sleep . room pretty small little dark outdated carpet bedspread . bathroom also small shower curtain smell mildewy . towel rough . smell smoke & quot ; non - smoking & quot ; room . room real soundproof . could hear lot door close hallway night . not like everything room , include bottled water coffee , extra charge . sure , be great location shopping , Westin 1 door ' ve get heavenly bed ! 
 Jun 1 2005 	 Classic Hotel 	 stay Drake Memorial Day weekend think nice hotel . location excellent . Oak Street Beach across street course great start Magnificent Mile shopping strip . view nice room - lake view room 5th floor . staff friendly enough - especially bell hop valet . concierge friendly helpful also . we feel room size much large chain hotel , like visitor , notice chip furniture , wornout carpet wear bedspread . also slight problem room cleaniness - check realize someone use toilet not even flush ! unpleasant , late , not really strength complain change room - though probably . problem strange noises hallway , realize due service elevator across room . noises happen night , be like keep we awake . , shower could use update - start run hot water 2 shower . not try restaurant locate Drake , comment . obviously plenty restaurant area within walk distance . I not mean sound like terrible review - really pleasant stay . think one realize old hotel appreciate 's historical value classic beauty . 
 May 27 2005 	 Drake still get 	 stay Drake fiance first weekend May love . pleased service , hotel 's old charm , quality room especially location . we find hotel update authentic feeling lose . room , bathroom & amp ; linen comfortable inviting . the problem hotel close good store , Chanel right building , Gucci Vuitton stone thow away , Hermes street ... hard credit card . we love Drake Chicago ... would recommend anyone ask . 
 May 20 2005 	 Classic Chicago Hotel 	 stay Drake May 15 - 17 like hotel much . hotel great history tradition display well . room comfortable although plumbing bit old a / c bit noisy . minor quibble . staff accomodate friendly . room spacious hotel quiet . king bed comfortable sleep great . location , start Michigan Ave . convenient shop great restaurant . restaurant hotel superb , possibly good collection hotel ' ve stay . eat 3 , like Cape Cod Room well . bar Coq D'or also excellent . stay Drake next time Chicago . 
 May 16 2005 	 not let negative people scare away ! 	 Stayed Drake four night great experience . travel Chicago , especially warm weather month , can not imagine spend much time hotel anyway ! ! staff helpful polite - although not many special request except cot deliver promptly . valet staff doormen excellent direction , advice , luggage , etc . sure call advance ( 15 - 20 minute ) car ready go . rate $ 129 night prepay - can not beat that . great location North Michigan Avenue ! shopping , Restaurants , Etc . check - in fast painless . bag deliver room quickly . Valet $ 30 / night Room nice , clean , quiet , roomy enough two man . nice bathroom lot room , good water pressure , hot water . lot towel nice bathrobe . view nothing special room . construction across street cause traffic congestion front hotel . bottom line : beautiful hotel great character attentive staff . Ritz Four Seasons , price can not beat ! may may health club , can not comment food never eat . drake perfect base camp trip Chicago - hundred restaurant , bar , store , site within walking distance . 
 Apr 27 2005 	 Excellent 	 spend past weekend Drake LOVED ! excellent service way around front desk bellman . deluxe room right size . stay hotel Michigan Ave room alot small hotel . location Drake perfect . stay Drake next time Chicago . would think stay anywhere else . 
 Apr 10 2005 	 major disappointment 	 check Drake last weekend March . one negative experience another . check person cold say least . seem bored unwelcoming . when get room find fully clean . bed make surface clean however go mini bar dirty restock . black hand print door stain everywhere . room also freeze cold thermostat working call reception ask room clean temperature adjust . hour later , plus three phonecall someone finally come . Room clean apparently nothing could done heating . switch tell would take approximately hour room heat up . the final straw people room next we arrive . may well sit room could hear absolutely everything , word word . overall disappointing experience definitely worth money . pay prestige Drake unfortunately deem necessary invest anything else ! 
 Apr 7 2005 	 grand hotel age 	 drake still chicago landmark upper tier chicago hotel , however year take toll classic landmark . lobby , though nice , date carpet need repair well main floor elevator also outdate . subtle thing paint hallway look feel room door design also need work . paint chip door , carpet many hallway look worn , case , AC room work . perhaps big indictment drake simply hold candle four season pennisula hotel chicago . stay either one hotel put drake shame . important note drake consider hotel caliber . name still signify classic , Drake hotel drop stature behind number chicago luxury venue . 
 Mar 27 2005 	 Grand Old Hotel 	 read prior review hotel almost cancel re . how glad . truly beautiful hotel , lobby splendor Ritz hotel Europe ... room bath lovely . 9th floorof hotel fabulous view Lake . we love Club service bar 11th floor . hadeverything , include great view . I stay first chance get . near alot ofbeautiful shop restaurant .... 
 Mar 25 2005 	 trip 	 come back week stay Drake business meeting . come back room second day find room flood . pipe burst everything closet soak brownish type water ! include hang clothe , coat , suitcase , shoe actually everything clothe . tell would send clothe express cleaner get back 9:00 next morning suitcase shoe still miss . meet 8:30 nothing wear day . move another room noisy room next flood ! finally move decent room . go front desk numerous time insist suitcase room bring room prove ! feel somewhat sympathetic happen really bother . compensate dinner , breakfast movie . insist stuck hotel could leave anything . coat cold go without one . memorable visit . 
 Mar 18 2005 	 beautifull place ! 	 hotel beautifull . last renovation bring back glamour magnificience grande dame ! staff exceptional trully care unlike high end hotel . always go beyond make sure enjoy stay ! unique place stay ! 
 Mar 15 2005 	 ' tired ' beauty 	 live Chicagoland always hear Drake well good ! ! disappoint - husband stay weekend last month room tired rundown . service great room dark dingy ....... worth per night rate ! ! ! definitely need facelift . 
 mar 14 2005 	 Chicago Monument 	 Drake place stay want stay history . hotel icon downtown Chicago . walk revolving door stair , sense step back time . typical 19th century style chandelier interior decoration . love place like that . go room , old fashioned elevator build couch huge wide corridor . perhaps explain rather small room , space use corridor not leave much . bathroom another antique . this hotel perfectly locate , walk short distance place like Hancock Tower , Chicago river Michigan Avenue , Magnificent Mile . great place walk around want take basketball game , United Center 10 minute cab ride away ( meet crowd add another 10 ) .All , drake definitely worthwhile want stay Chicago landmark . 
 Feb 24 2005 	 drake : so - so 	 bear raise Chicago though life tell Drake well . opportunity stay week ago . disappointed . hotel service great , rundown nature room ( soiled carpet , chip furniture , general dismal appearance ) leave wonder anyone would stay . take consideration age building . really need remodeling , change character , clean . ' shame grand hotel not grand anymore . 
 Jan 19 2005 	 well - preserve treasure ... 	 Stayed Drake friend bitterly cold MLK weekend . beautiful lobby welcome warm respite walk shopping adventure . service quality - employee seem happy proud work . receive kind greeting - doorman restaurant staff especially housekeeping staff outside room . yes , room cozy - share two double bed guest room . well - present clean . bathroom functional - spacious , functional . venture less - flatter review expect early 20th century charm upgrade 21st century glitz . will leave glitz Disney . stay hotel assure be visit piece american history . cherish . 
 Jan 7 2005 	 exceed expectation ! ! 	 read previous posting unsure Drake , plan stay one night extend stay great service beautiful room . front desk extend stay room rate , book expedia problem . unlike review , problem heating water pressure . location fabulous shopping Michigan Ave . less 5 minute away great shop . overall would highly recommend Drake short long stay Chicago ! 
 Jan 2 2005 	 hey let us hard old dame ... 	 ' ve notice online reviewer tend tough Drake . think lot depend expectation go . stay two night Christmas New Year 's 2004/05 . choose mainly basis ( 1 ) location ( like Magnificent Mile ) ( 2 ) price ( rate $ 129 per night , find SideStep search ) . give we close access nice shop restaurant want try -- let we afford ! yes , Drake , retro -- almost gloomily place . be also well - keep , , third Peninsula 's price ( least ) , good deal . reception desk , hold well room , $ 50 nightly increase , get junior suite ( spacious , decent view , bathroom , though nice , still small ) plus Executive Lounge privilege , exploit full . be late ' 40 , give ' ve read online review , figure have probably seem like young'un among Drake 's fogy crowd . . see lot young familiie , even 20 - something . actually , feel like average age . overall , nice experience . 
 Nov 26 2004 	 disappointment 	 lobby gorgeous ; location great , room leave much desire . junior suite overlook Michigan Ave . room not big , adequate . bathroom hand small not room put makeup bag sink . dryer wimpy , water pressure shower great . heater work durne three day visit . rest time room uncomfortably cool . carpet shabby give room overall rundown feel . old world splendor leave much desire . 
 Nov 15 2004 	 average 	 extremely disappoint stay past weekend . upon check - in , greet shoe - box sized room . understand old downtown hotel , room size vary considerably , however rate $ 300 / night least expect queen sized bed . thermostat work heat never shut - off . fact , would estimate average room temp 85 stay . shower / tub drain properly . actual tub knee high water time finish 5 minute shower . build historic location great , however base experience , lucky 3 star hotel . 
 Oct 21 2004 	 major disapppointment 	 hugely disappointed Drake . stay 3 night junior suite Peninsula , want try & quot ; venerable & quot ; Drake Hotel , Sinatra / Princess Diana / Heads State history , look forward old - fashioned grace luxury place modern luxury Peninsula . instead find place old tired . & quot ; suite & quot ; clean , course , bit bowling alley , long sparsely furnished . drape six window constantly fouled would not open properly , light mini - bar closet carpet ( mini - bar ) instal poorly embarrassing . bad , however , hot water . take literally 15 - 20 minute run shower full hot water slightly warm , bath . someone appear time complain answer & quot ; 's old hotel , sir . good let water run let hotel pay till get warm . & quot ; practical advice , certainly , helpful , disgrace room charge $ 515 per night ( plus $ 38 valet parking , plus taxis , etc . ) comment one - night stay Hampton Suites road pass Ann Arbor MI superior Drake every way , less 20 % cost . our & quot ; lake view & quot ; suite second floor - much lake view , tree . save money take city view room , especially unco - operative drape . the service good would expect , well , bad . reservation staff friendly helpful , two concierge excellent , one show . write ( week later ) , receive reply hotel comment invite . Cape Cod Room restaurant ok well , late - night last - minute choice city full fine restaurant . & quot ; Executive Lounge & quot ; top floor ok well , even big room . unfortunately , Drake 's good day long behind ( kind pathetic , fancy bind history hotel leave room , highlight past glory dream . ) not fool website photo Princess Diana , etc . - 's old run - down relic . drake could take lesson Royal York Hotel Toronto keep grand old hotel grand . want stay first - class Chicago hotel , forget Drake , stay Peninsula . 
 Oct 11 2004 	 great ... 	 hotel clean quaint lot history service terrible . we call item several time nothing ever deliver . promise lake front view get view build across street . promise two queen bed get one queen bed cot . luckily serviceman get we second cot . not even bless we blanket cot ! mention service terrible ? ' m sure could find less expensive friendler place kind proximity everything . would not stay . 
 Sep 30 2004 	 ok . 	 take mom Chicago Christmas concert shop high hope Drake would perfect hotel . instead , change carpet lobby , disarray , service cocktail lounge lobby cold good , closet room scary hole ( 2 ft . x 2 ft ) air vent expose . next morning , breakfast service spotty , food cold crumbs seat arrive . yick . great location , reason return . 
 Sep 11 2004 	 ok hotel 	 hi , stay Drake 5 day do not like . old hotel good history Princess Diana stay royalty . build around 1930 old . apart do not like bed ... always back ache night sleep . room adequate light yellow light kinda eeerie . be old hotel european ambiance worth try look modern hotel other ... transfer Wyndham happy ( back ache ) . 
 Sep 9 2004 	 POORLY MANAGED ! 	 host group Drake August . funny part 10 people . hotel staff rude exception valet staff , however double bill every day parking . group receive correct food contract day . nobody around weekend correct problem leave hang . charge audio visual item never order . complain management receive letter defend item never mention original letter . also leave several message sale department , almost 30 day later call back . would steer clear hotel group function . unorganized . Westin across street ten time well . 
 Aug 10 2004 	 Wonderful Place- 8/3/04 	 husband recently stay Drake 2 year anniversary . could ask well place stay . staff extremely helpful kind . traditional kg . room , nice spaceous . treat well would definately go back . 
 Jul 30 2004 	 Great Honeymoon Drake 	 reserve room Drake 2 month advance get great rate Drake webpage reservation , online service even come close . lake view . hotel impressive . flower arrangement foyer overwhelming . harpist new Drake Brother 's Restaurant we walk around stunned . easy access Wrigley via EL , talk consierge , helpful . Free City tram great , use , walk Navy Pier Hancock . eat meal next piano bar , request song , order room service , send laundry , free newspaper , let housekeeping turn down - leave mint , buy Drake complimentary robe , nice , expensive nice . good lifetime memory . park car hotel 3 day $ 33 . use public transportation , parking impossible otherwise . tipping work wonder , get extra little nicety housekeeping respect . dress please , see family vacation people business . go back anniversary sure . spend time beach , run time . 
 Jul 20 2004 	 Grand usual 	 Drake spoil . third stay Drake many year every stay delightful one . time get great deal room $ 118 . figure would itty bitty look roof , . spacious look another building , could see lake leave window . small thing appreciate . marble sink top , light fixture , huge towel texture sheet sandwich around blanket large , comfortable bed . flower main lobby always fresh beautiful . front desk gal tell we did'nt like room , let know will arrange another . manage check we early since arrive early anticipate . room 10 a.m. sit tea room awhile check relax . bathroom tearoom like ' ve . stall like individual bathroom . toilet paper kleenex always fold point matter go . magical fairy job making pointed look . never want stay anywhere else Chicago . drake truly spoil ! 
 Jul 14 2004 	 Frank Sinatra 's favorite ! 	 magnificent old Hotel . Sinatra 's favorite . staff great , 4 restaraunt great , water pressure outstanding . offer $ 30.00 upgrade room sit area per night . decline take tomorrow night . room small , expect historic hotel , ' m sit surround thousand dollar furnishing , wall work , heavy wooden panel door , etc . this subtle important note sit back notice thing . look around room ask & quot ; could guest room Southern Plantation , Rhode Island Mansion ? & quot ; answer yes . ask Hilton / Hyatt / Marriott , answer No . then ask , & quot ; many day planet ? many day want generic box ? & quot ; internet $ 11.40 / day . view : Lake Michigan City , ask desk . take Lake , nothing lake one road . building , hotel lake . large window say & quot ; Caution Open & quot ; , appease lawyer live amongst we . slide window 4 foot last night . last time slide hotel window ? especially new dark stain aluminum double pan window ? screws restrictor . got to like place still say & quot ; not & quot ; let american choice want . phone system nice . Set wake call 6:30am . hear , ignore , roll . go second time , ignore , roll . security knock door 15 minute later , & quot ; Security , want make sure receive wake call & quot ; . extremely impressed know part job make sure make early meeting ! bar say serve 2nd drink Chicago Prohibition ended.4 internal high end restaraunt . right shopping wonderland know Magnificent Mile , across Bloomindales . if be tired generic Hyatt / Hilton / Marriott experience want change , try Drake . thank biddingfortravel allow find hotel ! 
 Jul 11 2004 	 Anniversary 	 wife stay 10 th wedding anniversary . upgrade sweet upon arrival . staff wonderful . on first night wich anniversary come back room find chocolate mousse cake read happy anniversary ! ! ! amazing hotel ever stay . definatley back many year come ! ! ! ! ! ! 
 Jul 7 2004 	 Heart hotel 	 like express gratitude staff Drake Hotel , believe credited & quot ; famous lobby & quot ; .. hotel negative review old one , hey .. traditional hotel usual hotel nowadays technology wise , warmth hotel collide ambiance feel royalty like service Marc bell desk offer , though late night still go wallgreen buy contact cleanser forgot one . clerk front desk ws helpful give alternative room offer upgrade concierge Adi take account -- reserve we nice dinner exquisite italian resto .. good ! ! ! ! 
 Jun 26 2004 	 so - so 	 attract excellent discount room rate , stay Drake Thanksgiving dinner last year . People pay full will not get pay for . it fun lobby & quot ; old & quot ; city hotel oppose bland environment many chain establishment . Chicago business advertising display cabinetlike niche . uniformed bellhop bustle . tower , decorate tree herald holiday season along electric - train layout . entire area nicely panel , carpet , appoint . bad go upstairs .. & quot ; family room & quot ; prove good - sized double bed nothing sleep . ( couch not fold . ) without wait long , surly employee bring cot turn somewhat lumpy mattress . fortunately one night . space room adequate . mirror glass shelf minibar provide nice touch . bathroom roomy clean . furnishing ok aside lumpy cot cheesy radio . decent view Michigan Avenue large window . dinner serve pleasing atmosphere efficient , swift , congenial server . food , particularly dessert , less spectacular give cost meal . 
 Jun 15 2004 	 Hilton sister well focus hotel legacy instead reality tv 	 Shock disappointment say stay Drake . make reservation two month advance suite king room , give credit card number time reservation ( could immediately charge we room - which explain necessity could receive & quot ; special & quot ; rate -- many luxury hotel know resort charge front discount ? ) good faith , proceed give confirmation number . trust Drake reputable hotel competent staff , feel assure reservation complete . evening arrival , 9:30 evening , informed desk staff reservation cancel . ? idea , . give confirmation number accept . management consult , refuse speak we . help leave settle situation . option hand , force ask room available . give 10'x10 ' & quot ; closets & quot ; view roof top pigeon poop . room small , bath drain work , complete extra hair last guest prove , less adequate air conditioning , keep night sound like bad motel unit ever experience , finally , towel like rub dry parsley . never contact management stay check handed bill would equal stay best room REAL hotel Chicago . end story favor stay Ritz , Four Seasons , hotel know treat respect client . 
 Jun 15 2004 	 ` ` drake '' I d dream ... 	 party 6 , 3 twin bed room May 29th June 3rd . 2 room quite ok 3rd small facing wall complain much beg give half lakeview one ( 3rd floor ) . unusually cold ( 20º less normal ) heating well give we old efficient small heater . inroom TV hotel service account give day different wrong total spend every morning half hour wait anc complain untypical Assistant Manager ... french , spanish speak . public room nice gorgeous . good asset : housekkeping maids buffet breakfast . 
 May 22 2004 	 Upgrade room .... be worth ! ! ! 	 's exciting stay Drake ! ! ! lobby grand feel history walk . front desk staff extremely helpful . stay two night disappointed room first night . cramp see window wall neighboring business building . call front desk nothing else available time tell we call back next morning upgrade . call early next day , say Lake view room $ 20 . decide go regret one bit . third floor view Lake road along lake . relax . also much big room . order room service next morning sit window enjoy view . food expensive tasty . hard say good bye room . 
 May 11 2004 	 Easter 	 everything expect . room well organize , food wonderful , serveral staff member assist need , dessert room impressive dessert definately home make . wonderful time beauftiful room would highly recommend Drake 
 May 6 2004 	 Nice bit Disappointing 	 stay recently 3 night like historical charm place . room bit small perhaps furnish , high ceiling prevent feeling cramp . problem climate control room . hotel old seem refurbish run . nit : obvious 's elevator street lobby check ( step daunt luggage ) , could not understand cheap / poor quality radio room - really diminish place . 
 Apr 11 2004 	 Great Location 	 Great Location Great Hotel .... staff perfect location could well .. room little warm , temp control work well ... ( open window fine ) otherwise , perfect ....... 
 Apr 5 2004 	 enjoy Stay 	 wife stay Drake Jan. enjoy stay . the bad : room small side temperature control room not work . the good : great service , friendly staff , wonderful bar . clean room . 
 Mar 30 2004 	 beautiful hotel ! ! 	 husband stay Drake 10yr anniversary . stay 3 day , hotel simply gorgeous . staff work HARD exceed expectation . hotel lovely , beautiful showcase area call & quot ; Arcade & quot ; . GORGEOUS child 's black white photograph , painting well . even use photographer showcase , classy Drake . drake pick wonderful choice there . this class hotel . room could ask . hotel pricey , expect Gold Coast ? 
 Mar 28 2004 	 Great Hotel great location 	 return 5 day break Drake . ( 13th - 18th March 04 ) wonderful time . accommodation lovely - superior view Lake Michigan Gold Coast really beautiful . general hotel appearance like something 1920 's . sumptuous , lot attention detail ( like huge fresh flower display magnificent lobby , harpist cafe etc ) . also , staff check - in restaurant bar ( forget room - cleaner ) friendly efficient . 's location ( right Magnificent Mile ) could not fault - wonder many film - star royalty stay ! would recommend hotel anyone want stylish hotel glamorous past . also , would like thank British Airways super flight back also thank upgrade ! ! ! super flight , super hotel , super holiday . 
