Trendy 	 stay last week 4 night great time ! ! & quot ; wonderful king & quot ; 21st floor trendy pretty spacious amazing comfy bed ! ! ! ! ! location fantastic bang middle Times Square ! ! ! staff really helpful friendly ! ! 
 Wonderful 	 spend 5 night W week honeymoon hubby 40th birthday . request room overlook Macys Thanksgiving day parade get one room 2904 . arrive little early check give we voucher free drink bar wait . room great size plenty room storage great flat screen tv . staff great friendly . hotel right Time Square be not noisy night 
 family great stay trendy hotel -- feel like celebrity ! 	 family stay W Times Square July . location perfect -- right hustle bustle Times Sq locate fairly quiet street near cute restaurant delis . doormen friendly ! love walk waterfall - adorn ground entrance . enter lobby , feel like be trendy club , be definitely pretentious . staff nice accommodating . whenever request , respond right away . room decently sized ( New York City ) , quite chic . view amazing . delicious dinner Blue Fin ( restaurant locate downstairs ) . make sure save room warm cookie plate ! be good ( seafood ) . concierge also knowledgable patient lack NYC knowledge could spend load money w store . finally , can not beat Bliss bath product glass - enclose shower ! 
 Mar 11 2006 	 good compromise 	 can not beleive 100 well hotel NYC . review mark . easily offend quite dull dance music lift black wall hall , maybe stick dull multinational chain area . customer service great entrance , lobby bar , quite cool . find staff friendly snobby . room standard great view . fitting room age tile shower ( door case ) loose . also hotel bar get busy , lot non - resident annoying . overall good choice area . 
 Mar 8 2006 	 lovely - worth premium ? ? ? 	 stay Hotel Dec 2005 . although good hotel fantastic location , reservation . we arrive 9.30pm , 12 hour journey . first impression little disturbing , reception basically like walk trendy nightclub , full swing . not get wrong young , feel intimidate whilst want get bed ! request non - smoking room - end opposite . advise hotel full , chance change ( probably discount rate ) . room beautiful trendy , however dark , wall light - useless make application . overlook view fabulous - full window overlook Time Square . our bathroom poor ( bath not hold water properly ) sign neglect ( i.e . crack tile ) . pay full rate would gutte , stay far well 4 * hotel . the location perfect we explore New York , hotel spoil fun . honest would probably ok 2 - 3 * , spend time about . tip - make sure visit customer service Bloomingdales / Macys get discount card , state . 
 Mar 8 2006 	 Happy Experience W Hotel Times Square 	 stay W Fri - tue every bit experience wonderful . extra helpful doormen / bellstaff fun friendly front desk personnel , service quality excellent ! try stay next trip NYC . 
 Mar 6 2006 	 great place ! ! 	 stay W Time Square wonderful ! four woman age range 27 - 45 . love ! . staff know treat everyone customer like VIP 's . could not get attentive need . 19th floor happy room . hotel close Brooks Atkinson Theatre . club Whiskey great ... talk James get vip section dance lot fun ! hotel snob stay frequently Bellagio Venetian Las Vegas well Paris Cannes Chic hotel . fun hotel ! already plan next trip ... starbuck directly across street . 
 Feb 21 2006 	 Good Bad ....... 	 I m going create long wind review will touch important issue stay 2/19/06 . first - guest room small - typical NYC - decorate dark gray color furnishing cheap - ikea feel . sheet duvet cover rip / hole . Blue Fin great place eat good food - athmosphere great - modern excellent lighting . late evening go club downstairs - WHISKEY . early around 5 pm go check . soon walk stair overwhelming smell TOILET BOWL place . smell like bathroom port authority - bad - go drink tell bartender let - BAD . later night return , curious check see something doo - doo smell - - fine . .... let tell crowd HORRIBLE - could not believe quality people place - like misfit could not get beyond rope well club . maybe slow night bouncer door street usher whomever could find walk & quot ; cover charge & quot ; deal fill place up- do not know - got come eat dinner SPICE market - ( great place way - chic trendy ) club across street & quot ; one & quot ; ( another great place ) - one whiskey dress well NYC club standard - lot un - cool - un - hip chubbie floor - one woman wear nike sneaker MOM JEANS - .... thuggish look guy dance coat hat still . bizarre .... like watch bunch townie oklahoma big night & quot ; big city & quot ; - excite finally GEN - u - wine CLUHHBBB ! - HORRIBLE COOL ! swear wish take pic post review - would ve funny show people .... ever go , watch ass smell - lol ! do not say do not warn ! 
 Feb 10 2006 	 read one review hotel .... 	 Giselle Bavaro . name need know be think function stay W Times square . Giselle area manager W wife recently wed . plan year side world Giselle make run like clock work . hotel staff doorman , conceirge , check , wedding staff ... nice hotel staff ever come across . forget review ' dark hallway ' ' disappointing room ' . hotel centre universe vibe . get suite promise will not disappoint . I thank W Giselle enough make weekend stay memorable . be 2 month later be still send we gift overseas ! service extend beyond would expect 's make w experience one good . stay hotel . 
 Feb 3 2006 	 great stay ! 	 always stay St - Regis W 's whenever possible , read review little concerned leave 5 day business trip bring family ( kid 7 5 ) . experience great every way . hotel trendy , hip - 's not come . absolutely love kid treat extremely well staff . little issue first suite , not even bother try fix - upgrade we matter hour . hotel manager actually come talk we directly apologize ... not need understand situation nice touch . already book next 11 day trip NYC hotel March ... would actually live could : - ) 
 Jan 24 2006 	 love 	 get back hotel A+- classy excellent service central location . 
 Jan 5 2006 	 W = Waste time 	 fan W Hotels . one Time Square bit cheap disappointing . booking would nice notify we plan construction go start first day . massage spa excellent ... could not really relax hammer chisel 3 floor .... fault . room small , impressive . heat turn bit boil ... bit .... freeze . shower tile break every shower flood bathroom . Decor room date ... seem try hard , half ny , can not fault . one last thing , music play hallway day night creat atmosphere guess ... hear room try sleep . recommend W NY would definitely one lex . 
 Jan 2 2006 	 hip w 	 stay w times square dec 3 . use starwood point room free . busy weekend ny . room be not ready arrive 4 pm , check bag , give free drink voucher , call we cellphone room ready . nice warm beverage cookie lobby . everything hotel hip . suppose would either like hate decor , like . room nice , quiet , good shower usual great starwood bed . service good , informal . dine Blue fin attach hotel food good ( wine pricey however ) .very good stay 
 Dec 31 2005 	 W disappoint 	 pick W romantic weekend getaway . past W experience great . one location , fun entry , neat lobby bar . get room let . sure nice room honest GOD think room use local fraternity 6 month . wall bang sink crack . tv center / bureau draw style room . maybe original go room break brawl . change room find faternity use multiple room . must well price NYC . 
 Dec 13 2005 	 favorite place stay NYC 	 ok , mention be get great location , be definitely hip bar great hang space . do mention ( female ) bar staff gorgeous ? check quick efficient .... always ask corner room , great view Times Square quiet well . I like decor ... modern & quot ; cool & quot ; ... feel like be stay contemporary NYC apartment . the bed comfortable , room always quiet ( well insulate sound .... important ) , elevator quick , cd player dvd player room , mini bar ...... hey work ! 
 Dec 4 2005 	 seriously good ( oh hip ) 	 black new ' in ' color hotel center everything cool . valet look like ' ve finish shift hot night club town , room fashionably design funky , hotel top list . course not hurt company pay $ 500 night bill ( ouch ) , deny place personifie funk cool . be New York want stay hotel 's right heart ( Times Square ) treat special night two stay . 
 Dec 4 2005 	 w = wonderful ! ! 	 recently return NYC stay W Hotel . hotel right Times Square fantastic location get around site . hotel ultra contemporary clean room high standard . email prior arrival request Times Square View ( pay ) upon arrival grant . staff highly professional polite . recommend hotel enough . 
 Nov 29 2005 	 great view parade 	 stay & quot ; W & quot ; Thanksgiving overall please . exception , however . share experience W might much share experience come bathroom activity ; bathroom 's partition construct something resemble rice paper . exhaust fan handy time . second issue & quot ; W & quot ; request remove mini - bar content . mini - bar lower open shelf dresser full view much beyond temptation 14 month old son . inform would charge $ 35 accomodation . since already pay right $ 600 per night & quot ; convenience charge & quot ; seem excessive . room small , hall dark bath towel similar might find Motel 6 . view , however , fabulous right middle action . 
 Nov 27 2005 	 great bed great location poor receptionist ! 	 return four night stay W Hotel Times square first trip New York . bit concerned read previous review ( have book ) true enough , corridor dark , lounge music loud , smell scented candle bit overpower . ask corner room honour . room 51st floor look directly across Marriott room look bit spacious . on plus side , location fab able enjoy thanksgive day parade close quarter . bed extremely comfortable , grateful hard day sightseeing , bathroom product first class . however feel hotel badly let desk staff give impression cool deal customer . ask three time one lady fully explain concierge , could not first time without make feel stupid ( even ) ? ' ve never see concierge sit black suit table laptop , think business man . concierge extremely helpful though , maid serviced room great well . give excellent customer service experience everywhere else New York , pity desk clerk exception rule . I not imagine would return hotel ' m sure plenty equally nice lot welcome . 
 Nov 26 2005 	 nice KIND dirty 	 nov/2006 2005 - site will not let select 2006 . Urine smell bathroom , bathroom clean well - yellow line across shower curtain exchange complain . Maids job clean batroom . bed excellent rest room fine . would stay , bring lysol ! ! good location . 
 Nov 25 2005 	 W stand wonderful ! 	 W W New York Times Square stand one thing , WONDERFUL ! originally book Urban Suite , upgrade Extreme Wow Suite W ' version presidential suite . suite include ultra - chic living room flat screen tv ' dining set , wet bar , cow skin rug , suede leather couch , well two bedroom . master bedroom feature one king bed , computer , shower four shower head plasma tv bedroom bathroom . also sexy private bar area corridor bathroom bedroom . bedroom include two queen bed standard bedroom . four closet room put together probably equal size standard NYC apartment . also panoramic view Times Square , Central Park , Northern Section New York . exciting know celebrity like Heidi Klum Seal sleep bed we among other . hotel amazing ! ! service ten time well Mandarin oriental half price . experience TRUE new york nothing less . suggest dine Blue Fin meal die ! ! ! however suggest order " Sex Sheets " room service big disappointment . W New York far exceed expectation , disagree reviewer . W New York Times Square MUST ! ! ! ! ! 
 Nov 21 2005 	 agree bad review 	 10 minute phone US $ 125 not find leave total phone bill $ 800 ..... use happen decade ago .... competitive phone rate .... keep charge crap breakfast service even though promise would free ! ! ! dark & amp ; dirty would describe matter view like ! ! ! stay W Westin Hotel think Starwood Hotels ( hot equity ticker ) BIG sell ..... 
 Nov 14 2005 	 Yuck ! 	 disappointment ! room small bad condition . big stain wall . Mirror break . chic cheap . almost service . lobby / lounge seventh floor plain obnoxious . feel rip . 
 Nov 10 2005 	 take torch 	 ok , corridor quite dark black paint dark carpet seem signature modern designer hotel strongly evidence here . we stay two night relocate nearby hotel full decide extend stay . room clean pleasant . well equip comfortable bed . bathroom shower room . shower excellent although partially flood rest bathroom . oddly wall bathroom make translucent plastic - triumph style substance - possible concern prudish . the bar excellent popular - bit like Sanderson know London hotel - staff civil least . hotel could centrally locate think hotel still quite expensive though could assure perfectly pleasant - indeed enjoyable - stay unless get good rate future could say good value would hasten back . 
 Nov 7 2005 	 Disappointing 	 return weekend trip W Times Square disappointing . room resemble something design Trading Spaces ... try fail chic . staff appear overwork train . frequently visit upscale trendy new venue miss mark . keep look ! 
 Oct 19 2005 	 Central Modern maybe Cool ? ? 	 location hotel excellent 's within walk distance major attraction ( Empire State , Macys , 5th Ave , Central Park etc . ) be also opposite stop Grey Line downtown bus tour beside ticket booth Broadway . be great respect . hotel lot positive point cool waterfall lobby funky reception / bar great atmosphere . room nice small . 30th floor noise not bad view great Times Square . another plus great shower lovely dim light Bliss bath product . bed comfy well munchie box nice touch . negative ... basic leave room , e.g . eye mask block light ear plugs noise ( not much bothered ) . plus comment card tell not care think . staff ok mostly think bit stand offish . be like try hard cool end rude . exception general find difficult deal . special metion bar staff genuinely rude people seem work except chat among . room corridor could also repaint 's black show flaw easily daylight . another positive note though receive complementary champagne anniversary complementary umberella reception nice touch , free entry $ 20 nightclub hotel . would say great 20/30 something like modern style like classic look . four five book 4 * hotel . 
 Oct 13 2005 	 simply bad 	 bad experience W Times Square . would not know start complain well leave . ny plenty hotel - do not book one . Marvin 
 Oct 10 2005 	 over - rate 	 stay 3 girlfriend girl trip . first problem run & quot ; misplaced & quot ; one reservation room 2 bed 2 we stay room single king size bed . would not even compensate we trouble . hotel decor modern reminded bit commercial old couple chic modern hotel could not figure work shower . not bad get idea . order room service one night finish put table corridor bulky take lot space room . morning still ! lounge pack every night weekend sort trendy look young people . admit ' m trendy scene seem like sort place go see be sort thing place . would prefer something quieter little ground . 's . thing like hotel 's right heart Time Square fun weekend night not much trouble traffic noise morning . oh , pillow wonderful ! 
 Oct 8 2005 	 Tried rip 	 check , wih confirm room confirm corpoate rate- hotel overbooke , try jack rate .... careful , check bill ! room dark need maintenance . 
 Sep 13 2005 	 Steps away Center Universe ... 	 recommend : couple , single , group friend , 20 30 something , business traveler look go night , fashion - conscious individual , fan W Hotels generalNot recommend : 50 ( would recommend hotel parent , early 70 ) , tourist , family ( unless fashion - conscious teenage daughter ) 's good : sleek , modern entrance lobby , 2 complimentary drink bar , spacious room complete long vanity mirror , comfortable bed , large bathroom complimentary Bliss bathroom product , large shower stall , excellent view Times Square , chic Blue Fin restaurant , GREAT location heart Times SquareWhat be bad : yes , need put extra towel floor shower water leak ; dark hallway ? ( be , picky , imo -- much time one actually spend hallway anyway ? ) look forward go back also try another W hotel ... 
 Sep 9 2005 	 Dark . Noisy . plain weird . 	 Stepping W hotel like stepping & quot ; Men Black & quot ; movie . enjoy either & quot ; color & quot ; & quot ; light & quot ; well run hill . place dark , dreary plain weird . hallway paint black , ultra modern decor , everything either black , silver chrome music ... let us say pay hotel , rave dance party . entire motifis techno - rave neon light attempt brighten black hallway dreary surrounding . feel like dark cave entire time . positive thing hotel go location , awesome turbo shower , comfy bed Bliss spa product sample . Blue Fin restaurant ( locate ground level ) excellent ( Salmon , crabcake creme brulee ) . business stay , could not imagine anyne pay $ 500 night hotel . would recommend place family . hotel 's clientele 20 something much $ $ $ class . staff friendly , hotel less desireable . many well choice . recommend . 
 Sep 3 2005 	 mix 	 enjoy 3 nite W husband find staff extremely accommodate professional . kudo concierge great restaurant recommendation . centrally locate easy walk restaurant , theatre , Central Park , Rockefeller Center . comfortable room stylish appointment . would recommend highly . 
 Sep 2 2005 	 Decent great 	 overall dissapointe hotel . give W name , hope well quality experience . room small clean . one annoying feature door not close softly , make horrible bang closing . look forward sleep Sunday , conducive . location nice though , staff freindly . 
 Aug 29 2005 	 stylish location 	 stay W tow night . it´s nice stylish busy hotel . size room ok , paint new furniture necessary would like play 5 star league . don´t want pay $ 7.00 beer mini bar , next door deli store 24/7 . 
 Aug 21 2005 	 overprice overrated uber - trendy 	 stay W Times Square 4 Nights July . book Urban Suite $ 550 / night ! hotel minimalistically design , hip . bar lobby uber - trendy cocktail great , however service not good . weekend bar pump , particularly Saturday night . not mind come back hotel night , walking & quot ; Nightclub - esque & quot ; scene , . want relax , non - intimidating stay , recommend stay elsewhere . hotel aim 20 - something . when go room dissapointe . whole room look extremely cheapely build . partition seem make cheap , thin wood available . slide door bathroom not attach properly . shower door miss . ask whether shower suppose door tell & quot ; , not & quot ; . ( i.e . come , not bother put back ! ) . not bath , shower , door - less shower , water spray everywhere , result creep corner shower order make mess . highly irritate . basin bathroom simply & quot ; float & quot ; basin room side soap anything . also result splashing floor . lighting bathroom terrible . on positive note , bath product provide nice , salon & quot ; Bliss & quot ; . bed comfortable . location hotel perfect be town want centre action . however , would recommend stay somewhere bit quiet , not want & quot ; theme - park & quot ; part New York . first timer , hotel 's location perfect , veteren traveller , perhaps Soho would well . good part hotel concierge , particularly Jonathan . friendly star otherwise average hotel . extremely helpful , make restaurant reservation entire stay manage get us jam - pack place normally require month - in - advance reservation , Tao , highly recommend anyone seek awesome vibey night great food great music ! conclusion , young , flashy , trendy , not particularly high hotel standard , LOT money throw around , hotel . reason would want stay ' trendy , 's good hotel , warn ! bit old require relaxed luxurious hotel , stay elsewhere . find hotel terribly overprice felt rip . $ 500 + night , expect bit nightclub cheap room . 
 Aug 8 2005 	 Best Service ! ! 	 spend two night husband celebrate milestone birthday . staff friendly , considerate even send complimentary bottle champagne godiva chocalate room . room cozy romantic great view Times Square . lounge main lobby great people watch dance club downstair fun great music . even eat blue fin delicious . look great hot weekend stay hotel , will not disappoint 
 Aug 7 2005 	 extremely overrate 	 place hype , little support . stay one night find staff nice , responsive responsible . room okay clean . example , small off - white chair corner look like donate Salvation Army -- would expect $ 350 . bell & amp ; whistle sup Howard Johnson . stay numerous 5 star hotel , place compare . one pleasant surprise extra charge air breathe staying room . addition , attempt extort $ 6.50 bottle water ( apparently consider extra $ 350 room ) . prefer live light surrounding , please sure bring flashlight two 30watt bulb entire room . finally , call retrieve car went completely ignore & amp ; wait outside 30 minute . use stay top notch establishment , stay W. price , look elsewhere ! 
 Aug 4 2005 	 love ` ` W '' 	 great location , hip , comfortable bed great nightlife . 
 Aug 4 2005 	 Loved .... 	 ' ve return birthday celebration New York want somewhere bit different stay . ' m pleased say find - trendy place nice room great service . good bathroom product ( Bliss ) really comfortable bed pillow . we corner room upgrade two window Broadway superb ( like look action ! ) . good size tv DVD / cd player film music loan . good cocktail ( reasonably price NY ) Blue Fin restaurant great atmosphere good food . wine bit pricey good choice low end ( $ 38 ) .some comment site W hotel bit negative - yes corridor dark , decor minimalist personal taste . suit we fine be chintz lover will hate . staff recommend good restaurant we book table etc . everyone really helpful . would definitely go . 
 Aug 1 2005 	 wonderful Stay W 	 stay W Times Square July 29 - 31 , 2005 . suite 28th floor great view Times Square . room clean , housekeep quick request pillow , towel , shampoo , etc . loved Bliss product supply hotel ! incredible bed comforter , suite two bathroom , clean . we would absolutely love stay . 
 Jul 25 2005 	 Nice hotel w/ friendly staff 	 stay W hotel Times Square past weekend friend . first time NYC . hip hotel great location first time visitor staff friendly . room nice small ( although hear typical hotel NYC ) clean would expect level hotel . overall positive stay . 
 Jul 25 2005 	 Aging Fast 	 Stayed W Times Square couple year ago first open amazing . fun , chic great location . stayed week ago really age fast - hip , cool furnishing room dirty . room stay plug sink one mirror break . ( report not worth waste time since limited time ny ) . staff hit miss . example , check - in fine bar staff rude complain we order mixed drink ( relatively common mojito ) ' signature ' drink go end bar make ( $ 12 drink ! ) . also , & quot ; hip & quot ; hotel joke see clean supllie ( mop , bucket , vacuum ) bar Saturday night 1 bar still open packed .... not get wrong - place still fantastic location . still nice quiet compare chaos Times Square still often aim please hotel really decline fast - lets hope & quot ; Ws & quot ; get way location use gold standard ' W ' . 
 Jul 20 2005 	 Great Location responsive staff 	 location can not beat : close everything near beautiful central park . staff responsive request make . SPG gold member upgrade 49th floor excellent view Broadway . bit dark ( need backlighte elevator number : old guy ' read number ) good tourist hotel though great business : cramp business center almost seem afterthought room desk particularly useful actual work . very nice workout center : workout machine ' tv , ear phone , weight , water . play ' modern " background music constantly eventually get quite old : change bit . on balance , enjoy stay though think equally nice well locate hotel 50 - 75 less per night . 
 Jul 13 2005 	 overprice dark 	 stay hotel April . right heart Times Square great newcomer city like , however , not think would want stay Time Square far busy . hotel okay , although overprice ( although maybe pay stay centrally ny ) . positive hotel : great gym , bed comfortable , room quiet bar area quite cool . however , although hotel stylish ( funky music play lift reception area ) staff unfriendly pretentious ( air superiority - sort make feel like favour serve ) . also , decor dark ( black corridor grey wall room ) , beginning get slightly shabby ( bathroom particular could do re - paint ) . certainly would stay hotel child . overall , not think would stay hotel future trip NY little overpriced feel unwelcoming . 
 Jul 8 2005 	 could well 	 stay 6 night W Times Square , though purportedly & quot ; flagship & quot ; W chain , find somewhat & quot ; dirty & quot ; lack well word . call picky , not particularly care see large brown stain indeterminate origin blind , not want see trash beneath bed . hotel need little upkeep.ln upside , hotel great central location , though crazy Time Square , remarkably quiet . lobby area typical uber - chic W style happen bar scene . staff helpful concierge helpful , though could get we reservation PerSe ... ( apparently take act God ) 
 Jun 28 2005 	 much trendy enough quality 	 good : free Bliss product , trendy nightclub scene , quiet hotel one Times Sqr location ( ' m talk street noise ) , 's & quot ; beautiful people & quot ; stay , friendly staff , cool music . the bad : poor quality especially price . stay several time , room wear . white furniture show age dirt . bed standard hotel , & quot ; heavenly bed & quot ; sister Westin brand . door thin , hear music hall . Closet door hallow . Bathroom make cheap fixture . slide door bathroom wall probably come Ikea , not bad except pay luxury hotel price . Shower curtain standard dirty hotel issue . Shower tile standard bathroom tile , 's marble fancy stone ? wall mirror room bit cheesy . if need trendy , stay Westin Times Sqr , want value , stay Waldorf Astoria . absolutely must stay trendy european visit NYC , stay . 
 Jun 18 2005 	 Consistent Comfortable 	 stay many hotel , scale ... rank hotel one favorite 's consistent location convienant ( heart time square , never short cab , expensive / cheap food find around corner , starbuck mcdonald around corner , etc ) . typically stay away modern Ian Schragger type hotel ( HATE ) ... despite modern / hip decor hotel , like 's new hotel compare two W hotels east side ( renovate apartment building ) . room tiny fixure old ... location , be modern , clean comfortable . room comfortably spacey ( large decent NY ) , bed / comforter always meet expectation , service good ... concierage always make good restaurant recommendation . the negative lobby act bar ( weekend get pretty crowded ) . music loud not carry room . 
 Jun 13 2005 	 Nice Hotel need improvement 	 get back W hotel Times square . hotel nice hotel staff friendly . couple thing do not like hotel - get tv do not work , could get door stay closed . come fix . big deal want point out . the bathroom tiny , seperation toilet shower . little privacy . shower door suck every time take shower bathroom get water everywhere . main complaint rudeness bartender main bar . gal keep make drink wrong accord drink menu finally bring attention become even ruder . $ 12.50 pop , happy . get bar manager involve offer little except remake last drink ( spend $ 300 bar 3 day be not ton consider drink price ) next day speak hotel manager apolgetic credit drink previous night . bar manager tell we bar seperate entity part hotel , really could care less , want hassle free service . hotel staff amazing . nice . door guy always friendly , concierge make reservation we nice place . blast . I work every morning hotel gym , full basic precor equipment , lot cardio . massage facial , massage nice , facial great . we drop $ 1,000 whole time hotel anniversary complaint really rudeness hotel bar girl long frizzy hair lolthere great deli next door cold drink , great food , open 24 hour . also starbuck 300 foot front door . there also roxy deli 4 store , planet hollywood great bartender ( go w hotel girl rude we ) , walk distance great place . if question drop we line . also buy unwanted american air miles anyone any.good luck 
 Jun 6 2005 	 Comfortable 	 enjoy stay W hotel . room clean , comfortable , quiet . amazing quiet hotel compare noise action Times Square . location convienent . the decor modern feature dark color , find quite pleasing ( especially sense assaulted honking blaring light outside ) . staff friendly greet we time leave return hotel . problem staff everyone accomodate . search long hard hotel within price range would offer convienence cleanliness . w good place stay . upon return would like stay different area besides Times Square ( though good experience first time visitor NYC . ) Greenwich Village SoHo well business district would nice place stay . good luck travel . 
 Jun 3 2005 	 Fun friendly 	 return stay W 5 night .Although teethe problem request room , soon resolve satisfaction . infact hotel staff ` friendly helpful . think hotel excellent value let 17 year old daughter friend stay room we free . book direct starwood use internet special rate would certainly reccomend hotel look something bit different . location excellent like & quot ; hub & quot ; .credit go genuine friendly staff make stay pleasure . 
 Jun 1 2005 	 dissapointment cleanliness department 	 confess , bit neat - freak , go hotel make wary . hear nothing wonderful thing Starwood hotel chain , commitment excellence . staff attitude , something overlook , see incredibly busy see Times Square ( however smile go long way ) . lobby good shape , feel positive stay , get elevator . stained hallway first clue . room certainly standard . mean stain linen , hair two shower , make question last clean . perhaps hair cleaning personnel , not care . next time think stay different hotel bit outside Times Square . ' ve hear nice thing Royalton City Club . think will book room one future . 
 may 23 2005 	 overprice 	 hotel nice . like theme room ok although price small . expect alot pay hotel . 
 May 19 2005 	 great . 	 location good . hotel staff attitude , maybe be normal W Hotel . hotel dark , room clean one would expect chain . also dispute charge add bill error . removed show card month later . well place stay NYC . 
 May 13 2005 	 way overprice 	 certainly would stay w sorry bad experience . feel room exceptionally clean , would expect . also , really could lose comforter cover - silk would never stay bed , slide right move . also , temperature room could never adjust correctly . 
 May 6 2005 	 ok feel bit dirty 	 awful stay , feel like room dirty . Wtih black paint , hard really see far go . staff nice location good . overall , nice trip , would not stay . 
 May 4 2005 	 Caveats 	 W Hotel offer we good rate NYC , room comfortable clean . however , bathroom small 's difficult maneuver even small item like hair dryer , etc -- little counter space . addition , bar service ( 2 ) completely ignore we sit , plain view , 20 minute . busy keep serve people come we . 
 Apr 29 2005 	 ok little bit overprice 	 stay W Times Square April 21 - 24 , 2005 . really look forward stay since hotel good location Times Square ! last year , stay W Lakeshore Chicago good weekend life , look forward weekend well . the hotel nice , although will say lobby bright cozy . addition , want use gym stay upper room , need take 2 elevator . good thing waive $ 20 entrance fee 's lounge hotel guest . overall , hotel great would rather return one Chicago ( watch since 2 area ) one . 
 Apr 29 2005 	 rate staff never hear Starwood promise 	 's shame hotel wonderful bar rest . however price would avoid stay bother heat sleep . hotel room heat winter month a / c summer . unfortunately March temperature go 60 's . sun heat hotel day make room temp reach 80 's . hotel enough fan request guest . complain front desk say one many guest complain nothing could do . ( idea not turn A / c ) . anyway remind starwood promise free room extra starwood point satisfied , girl front desk pretend like never hear . much well place stay Times Square price . 
 Apr 23 2005 	 chic .... love . 	 family ( mom , dad , sister , ) get back yesterday first trip NYC . love hotel . chic trendy , decorate nicely . bed beyond comfortable , staff , , , friendly , 's great location . awe moment step hotel . room exactly huge , still good size New York . definetly stay next time go NYC ! 
 Apr 22 2005 	 hotel put New York completely 	 want feel unwelcome foreign city , hotel stay . first , check - in hell . first refuse stay hotel room pay starwood point ! ! ! ! ( already defeat purpose collect point free stay choose Starwood hotel chain . ) check - in staff particular , one Nick Ivezaj , seem train military camp . never encounter unfriendly , arrogant impolite staff . secondly , standard cleanliness leave much desire . hotel also run toiletry , believe , bid make purchase full size product sale bedroom . thirdly , badly - light hotel hardly see anything , especially common area . want experience feel stay bat cave , 's place go ! lastly , importantly , charge incorrectly meeting / convention expense , holiday Easter break certainly business . beware extra charge dedit / credit card statement get back home . seem anything get extra money you . so avoid hotel mean stay New York . hundred hotel much well . 
 Apr 17 2005 	 w.onderderland ... 	 love ... wonderful view , beautiful design , staff right attitude . fab location . the hotel : locate Times SquareThe room : good size NYC , Bliss sample bag , cd player play favourite music . packed little extra make life easy . coffee maker . Bathrobe . big bathroom . have corner room 47th floor . fab view Times Square . not much wardrobe / storage space . bar : trendy , relax atmosphere . place hotel staff pleasant . 
 Apr 12 2005 	 Excellent LOVED ! 	 recently stay W Times Square 1 night . GREAT time . staff excellent , check - in housekeeping concierge - flawless ' round . go typical ' w ' attitude ' ve see elsewhere , genuine desire guest comfortable . we get corner room 57th ( top ) floor & quot ; Spectacular & quot ; ( description . really - ask upgrade somehow get . room large NYC , great sound insulation . bathroom tad tight , modern efficient . room furniture extremely modern funky . bed excellent , perfect sheet , comfortable pillow lovely bed spread . room iron , awesome bath robe ( really comfortable ! ) , plenty great bathroom ' Bliss ' product ( display prominently room sale - tiny bit disappointing ) .The location brilliant , right Times Square , downstair bar happen place ( recommend 20 - 30 yr old ) .definitely 5 star . would stay location , quiet room , fantastic bed ! ( photo take attach ) 
 Apr 11 2005 	 great experience 	 return 3 - day stay . 10 - year - old daughter father - daughter Broadway trip . hotel nicely design inside , great location self - evident . clearly aim 20 - 40 - year - old set , staff delightful interaction daugher . big burly too - cool ultra - hip staff always extra wink grin , even try look cool client . service commendable aspect . would highly recommend hotel anyone plan trip Midtown . 
 Apr 5 2005 	 Fantastic ! exceed expectation ! 	 Stayed W Times Square 3 day . check fast efficent . get corner room 46th floor one window give we view Times Square tower window Uptown Hershey store . large NYC , EXCELLENT BED , great sound insulation . could never hear elevator room right behind could hear conversation room next we . complaint lack counterspace water spilling floor bathroom due lack complete door not affect . plenty counter space water not splash . need counter space not bring palooza stuff water spashe , ? flail arm ? cab elevator service fast next elevator floor cute little tv 's play MTV sound . would return heartbeat . plus can not beat location like . ( we , perfect view , close subway literally across street Aida play . ) a+++++ 
 Apr 4 2005 	 nice hotel ..... 	 stay New York number time would recomend Hiltons W. normally stay Times Square due horrible traffic touristy shop , ie , Hershey , wax museum get picture . hotel room W small , typical NYC hotel room , clean view pretty good , room nice view ask stay room end 12 . room even 42nd floor noisy . heater system convert A / C . mean open window noise Times Square . room hallway dark paint gray give place modern club feel bag . one concierge gentleman helpful , need therapy poor attitude . staff people excellent . towel deliverd room quick . lobby , hotel times square , small crowded . transfer elevator twice get room , check bar 7th . decor hotel would call modern edge tacky , clean . rap star would consider classsy . check hotel room ask size room sqare footage , Hilton Times Square , Ritz Battery Park new hotel large room . stay central park , upper east side much much nice get times square want catch show . use carmel car service , car city nice one go filthy . 
 Mar 23 2005 	 swanky place stay ! 	 get back stay W 3 night great place stay . attend conference Marriott Marquis choose stay away conference crowd book room W. entrance 47th away hustle bustle Broadway , perfect . check , room not ready yet leave bag go way . return later evening pick room key , bag deliver less 5 minute get room ! room really nice - bed pillow comfortable . noise could hear anyone talk loudly hallway hardly happen stay . could not hear street noise . bar / lounge area lobby look really cool not get chance hang . housekeeping staff nice helpful promptly respond request towel , toiletry service . room service prompt food delicious . couple wrong charge bill take care without hesitation question . ever come back NYC , will sure stay ! 
