knickerbocker 	 time arrive leave , Knickerbocker great experience . staff courteous , service outstanding . room bright clean food service restaurant superb . 
 back 	 stay 4 day nothing wonderful thing say hotel . concierge super helpful nice . staff super helpful nice . like location Michigan Ave shopping . hotel lovely . booking read Trip Advisor review really like fact hotel respond even & quot ; bad & quot ; one . good hotel good customer service 
 Dec 28 2005 	 great hotel ! great location ! great price ! 	 ok , back Knickerbocker would give good rating . can not believe bad review . get priceline deal , still get fine room , clean , up - to - date furnishing ( ok little traditional taste ) smoke free . someone say another thread people write prank review . think people get life people want read truth . point view . room 10th floor . regard size room . two room . one 2 double bed room . 20 ' x 15 ' . double bed valence kind mini - canopy . furniture , bathroom tile , shower ( tub ) , wall paper paint do last year . Chinese inspire cabinet hold tv , coffeemaker , ice bucket , mini - bar . three separate level ( tv , ice / coffee , minibar ) room call & quot ; Queen executive & quot ; . one queen bed canopy valence , sofabe , two tv terry bathrobe . also size different configeration . one tv face bed , three level cabinet , sofabe . smoke lobby . bar right entrance . open arrangement sure smoke come bar entrance door . smoke smell no - smoking room . cost room $ 75 priceline plus taxis . good value one block N. Michigan Ave . only complaint . concierge say free trolley not go Michigan Ave Field Museum / Museum complex fact . ignorance ? try throw business taxi ? either case , good . say time year free trolley go Navy Pier winter .... clearly incorrect . 
 Nov 30 2005 	 dirty without apology 	 stay Knickerbocker Chicago long weekend look college daughter . spirit dampen experience Knickerbocker . while read review regard initial smoke smell , would well describe stale heavy . else , actual room ice cake , walk dark , dank , smelly , dreary dirty room . not mind small room dingy threadbare . the web site couple review propel we stay . BIG MISTAKE ! ! 
 Nov 25 2005 	 good price 	 stay Knickerbocker 11 - 20 - 05 11 - 21 - 05 . read review small room . accurate . room tiny , clean comforatble . stay 12th floor noise problem . get great price ( $ 76/ night ) - well worth price . park self parking directly across street $ 21 / day- need car , park valet . location fine , staff friendly helpful . great place price , although 2 people room may small- king room . 
 Nov 13 2005 	 Charming Hotel 	 stay Hotel Knickerbocker work . old hotel room bit small . find staff extrememly helpful friendly . provide map city suggestion various place go dinner , drink , etc . since old hotel build 1920 's room small hotel extremely charming . location great . get time , drink bar Drake hotel across street . great atmosphere . 
 Nov 8 2005 	 Good Rates Bad Service 	 former Chicagoan , know rate ( $ 130 ) awesome location hard beat . , not expect trendy boutique hotel , be old & quot ; city & quot ; hotel small room small bathroom . Decor tired ( lot character ) however , mattress seem new . Bathtub not drain well heat / air not work . call front desk , blame erratic weather -- say 's hard regulate inside temperature weather change quickly . , wait 15 min bellman retrieve luggage storage leave airport , find talk co - workers lobby -- take claim ticket forget . lobby bar good place cocktail ( catch sport tv ) bar service friendly . 
 Nov 5 2005 	 location ! location ! location ! 	 stay Knickerbocker 3 night & quot ; mom 's shopping & quot ; trip . got classic room ( # 704 ) Priceline $ 125 / night . read previous review , worried hotel . prepare friend worst pleasantly surprised . Location- fabulous ! north end Magnificient Mile South end Gold Coast . 1 block Michigan Avenue ( Bloomingdale 's ! ! ) away hustle bustle Michigan Avenue . room- small , nicely do . AC work fine . bed comfortable canopy nice touch . bathroom small . 2 people party , try next large room new hotel . old , european design hotel , mean small room bathroom . let us face -- want live hotel room day , might want go somewhere else . we , hold plenty shopping bag fine ! room view Walton Street . hear minimal street noise nothing neighbor . Lobby- day , smoke smell undetectable ; later evening , could smell smoke . walk fast elevator ! ! ! check In / check Out- breeze ! ! Concierge- one absolutely help whatsoever ! ! ask favorite restaurant area response & quot ; like hotel guest like ! & quot ; second one helpful . Doormen- arrive depart , barely acknowledge . roll suitcase open door . I give Knickerbocker 4 star ( would truly give 3 1/2 star would let ) great location , clean room , nice bed decent price pay . compare european hotel stay , Knickerbocker quite quaint ! look modern decor big room bathroom , would advise look somewhere else . 
 Nov 1 2005 	 worth money 	 10/29/2005 stay one night Knickerbocker .The lobby rather unimpressive . walk decent sized bar right leave small check area could fit two three receptionist set elevator . noteworthy decoration lobby . wife standard room King size bed . room far small hotel room ever stay . bed , nightstand , tv cabinet , small desk . decoration bed modern , carpet old . go turn air conditioning , even though October 60 's warm room , work . call front desk tell switch heat . never hotel could either get heat AC , both . the bathroom small date . get shower walk bathroom close door open door block entry shower . vinyl floor old fixture sink bath date . can not comment service use . check tv checkout work go wait line front desk . overall price pay hotel worth . positive hotel location . live North Chicago suburb multiple downtown hotel would never stay Knickerbocker unless price dramatically reduce 30 + % . many nice hotel stay price . 
 Oct 30 2005 	 Location ... nothing else 	 stay Millennium 10 - 25 - 05 . report card follow : lobby : B+ ( historic , small , old charm offensive , smokey smell other note ) staff : b ( friendly super attentive ) check - in : ( room ready early ) cost : ( much get ) room : C- ( small room , uncomfortable bed pillow , decore ok , mostly clean ) Bathroom : ( small 's hard get ready , toilet bolt , tile real clean ) privacy : F ( hear everything , not plan sleep , guest hear well street noise , & quot ; white & quot ; noise drown noise ) location : ( close everything Mag Mile well Rush St. plus nice view lake ) note : hotel charge $ internet printing airline boarding pass cost $ 8 get 3 boarding pass . overall : choose another hotel . 4 star hotel . thing hotel offer location plenty other offer . 
 Oct 10 2005 	 Disgusting overpriced rude 	 Stayed Millenium Knickerbocker professional conference . rate exorbitant , least expect clean hotel friendly staff . I sorely disappoint . room disgusting musty . lobby stink cigarette smoke . beg extra towel . not change sheet daily unless request . bathroom moldy tile break . the staff unfriendly unhelpful . ask restuarant recommendation . first day direct chain , despite request & quot ; authentic chicago food . & quot ; second day try send back place , seem annoyed respond have already eat want go somewhere else . the conference room constantly hot cold . last day conference , refuse allow late check . conference end 12:45 , check require noon . talk manager give entire list complaint allow late check out . stay somewhere else . 
 Oct 8 2005 	 great experience great huge american city 	 's news . Knickerbocker OLD hotel . mildew , not smell new . ! ! ! like old hotel , Knickerbocker gem . sure check ballroom first floor . BEAUTIFUL ! ! ! let us face . casino attach hotel anymore , build like Knickerbocker . look detail .... lobby ceiling , beautiful mailbox ... bear mind walk around hotel place favorite Capone crony . put special aura visit . everyone encounter wonderful .. cute guy desk New Zealand tell good place New Zealand .... great bellman Chicago exuberant attitude ( keep call & quot ; young lady & quot ; ... contagious , Andre Nix enthusiastic work make enjoy lunch twice much . concierge genuinely try helpful . ' ve stay lot hotel . sometimes concierge & quot ; airs & quot ; . young gentleman plain helpful . much appreciate . great staff . snob among . enthusiastic pleasant . I order room service three time . twice perfect . even receive hot crispy french fry sandwich . good service . fry not stay good unless eat fresh . lunch order take 45 minute leave get . disappointed told lady take order get meeting wonder could suggest would arrive 20 minute . also order chicken pasta dish excellent . also CheeseCake Factory virtually next block great carry out . the room lovely . lovely chinese armoire mini bar really pretty linen canopy bed . feel perfectly comfortable . travel couple , might suggest large room . bathroom small traveler note . plenty outlet fine . clean . really clean . even around baseboard bathroom . if allergy ( ) , might trouble , old hotel . keep migraine medicine handy fine . go complain mold old building stay . . get grip . I within block Bloomingdales John Hancock Building . Lord Taylor Marshall Fields within 5 block , Filene be across street . Nordstroms little Michigan avenue . young people may want cross Michigan head State Street ... Urban Outfitters direction . as always , great return hometown Indianapolis . prefer mid - sized city living , trip & quot ; big - city & quot ; , Chicago amazing . thank Knickerbocker staff make feel safe welcome . 
 Sep 23 2005 	 Splendid Stay Knickerbocker ! 	 first , travel extensively US Europe , find Knickerbocker staff friendly professional group employee ever encounter . concierge extraordinarily helpful request . find hotel simply wonderful , room clean bathroom spotless . North Michigan Avenue location ideal -- close everything want . , great time Chicago , make truly splendid stay Knickerbocker . 
 Sep 20 2005 	 bad get 	 cramp room , abysmal service , mold bathroom , bug bed . need continue ? place wrong type room endure night bug , request move another room ( actually want leave , hotel area book ) . hotel grudgingly comply , place room crack sink , moldy shower curtain , sag bed . ask change shower curtain instead apologize even offer replace , fron tdesk clerk simply tell not think shower curtain . ask manager ultimately replace smelly show curtain . every time walk past front desk , hear someone complain ask check early . guess constantly face type guest dissatisfaction might little grumpy . service industry nevertheless unacceptable . conceirge helpful location great . otherwise hotel avoid cost . 
 Sep 10 2005 	 great place like smoke 	 & quot ; boutique & quot ; hotel , Knickerbocker real disappointment . everything seem worn -- carpeting , wood moulding , elevator , etc . staff seem know guest often dissatisfied accommodation attitude . my big problem stale smoke smell lobby , open hotel bar ( bar seem part lobby ) . smoker 's paradise . even foul smell cigar smoke allow . if smoker , place ( provided not mind substandard accommodation price ) . everyone else , find somewhere else stay . location great . hotel right near . 
 Sep 3 2005 	 Great Location OK Hotel 	 return 3 day stay Knickerbocker another friend . think location hotel fabulous . walk distance everything . thing little far away EL Cubs game . location could beat ! staff ok , overly helpful friendly 4 star hotel . rude either . although find lady work little convienence store dowstair little rude . chat phone entire time , could tell personal call . not even get phone pay . concierge desk also mediocre service , willing answer question , go beyond call duty . fine , tell upfront 3 star hotel , continue advertise Knickerbocker 4 star . see 4 star , expect 4 star ... live to . the room small , request 2 queen sized bed , 2 full size bed . take ! furniture outdate . one phone room work . bathroom tiny , vent ( bring match air freshner ) someone bathroom person bedroom hear everything , even tv . would little embarrassing romantic retreat . toilet flush ... oh god stand back ... 's loud flush hear life ! would stay , many choice hotel area . 
 Aug 27 2005 	 2 - star hotel 5 - star neighborhood 	 return 4 - night stay Knickerbocker mixed feeling place . guess look case get pay . starter , hotel accept Priceline bid $ 95 / night . taxis fee cost come $ 112 / night , great bargain neighborhood . undoubtedly among upscale downtown district New York Los Angeles . Ritz - Carlton 2 block away ; Drake diagonally across street . Rooms Drake start $ 359 / night . find Knickerbocker staff astonishingly unhelpful , ( allegedly ) 4 - star establishment . doorman seem set tone . arrive cab several piece luggage . one come forward assist even though least one fellow appear completely unoccupied . couple night later arrive cab . two uniformed doorman , whose name Atiku Bonus , stand chat friend exit cab . neither man pay slight attention . 4 - star hotel , staff go way greet cheerfully . notice Knickerbocker generally avoid eye contact . also think interesting checkout desk clerk ask enjoy stay . checkout notice several plaque wall , attest AAA award Knickerbocker Four Diamonds several year 2004 . however , 2005 award . check AAA web site confirm make grade 2005.my room small mostly adequate . request king bed room non - smoking floor , get want . however , think mattress definite step 4 - star hotel , impressed quality linen blanket . room noticeable mildew smell . suspect mildew grow air conditioning duct . could mitigate smell turn fan opening window . sadly , option make room drafty noisy . bathroom small everything work . appear plumbing fixture cheapest available . bathtub fixture identical variety see Wal - Mart . toilet affix properly floor wobble every time sit . vent high bathroom wall . communicate directly bathroom adjacent room . mean treat every bathroom sound neighbor make . second day , internet service crash hotel - wide stay day . way know sit room struggle connect hour . call service 's 800 number twice , try figure go . end go hotel 's tiny business center pay $ 15 45 minute online time . checkout , see Knickerbocker charge $ 10 internet day plus $ 2.50 call 800 number . look menu Nix , in - house restaurant , tempt . never see handful people . fortunately , many excellent place nearby . basically would rate place 2 - star establishment somehow con way 4 - star club . consider stellar location , price $ 112 per night great value . pay , though , would felt really rip . 
 Aug 22 2005 	 great bargain 	 stay Millenium Knickerbocker 3 night past weekend pleasantly surprised . read review post , bit uncomfortable choice . however , truly wonderful experience . Priceline , pay $ 110 / night originally ask king size room . bit disappointed find give queen size accomodation small room . call desk tell king size smoking room ( absolutely want ) . spend first night small room , terrible . tell call next day 10 change room . exactly 10 next morning , receive call tell king size room floor available . room extremely comfortable . nice comfortable bed , great shower , hard foam pillow request bring right . staff extremely pleasant , concierge helpful , location 1 block Michigan Ave good ! way , see mold anywhere ( mention review ) , fact , room seemed freshly paint . would stay hotel . 
 Aug 21 2005 	 touch europe 	 husband approach stay Knickerbocker trepidation diverse post review . need not worried . though room small , throw - back decor charming mixture culture time period - truly pleasant change sterility many modern hotel . even between - building - view Lake Michigan complete surprise . staff pleasant , helpful friendly . particularly love white / black / red restaurant , whose waiter upbeat design . would go back heartbeat ! 
 Aug 14 2005 	 many problem Knick 	 husband stay long July 4th weekend . would one boutique hotel , Fitzpatrick , love , look forward stay Knick . location can not beat . many service people helpful obviously look money , give . ' m naive - know staff need tip somewhat aggressive . lobby chic , room decor not awful , light not work fridge mostly in - room vend machine 6 inch free space . occupy early tenant 's duck pate . not enjoy throw away . hotel advertise bathrobe turn service get call ask . robe wear tear never could put mine . turn service obviously difficult staff person arrive . leave couple dollar tip see sneered minimum . room moderately clean , bathroom super small towel rack keep fall wall . will not back . 
 Jul 25 2005 	 Filthy Bathrooms / Moldy Ceiling 	 begin , first moment walk hotel , greet stale , smokey stench . even smoker would turn ! spend three night never return call luxury hotel . first room give ( 804 ) furnish shabbily , bad thing room ceiling black mold mildew entryway ! room # 2 ...... ( 1204 ) give room wait 3 pm change , sightseeing come back dinner change leave . well room small ( be possible ) bathroom filthy scum mildew ( photo 's attached support ) . call complain , manager call back offer excuse hotel go carpet change hallway ............. blah , blah ...... ? suppose make horrible room well ? ? lady front desk offer we free breakfast . agree never stay dump ! favor sleep elsewhere , anywhere ! 
 Jul 21 2005 	 Great Hotel 	 wonderful hotel ! great ambience . step Michigan Avenue . quick walk free trolley stop . room elegantly appoint clean . concierge wonderful make dinner reservation suggest tour . good part block Oak Street Beach middle July . perfect place take dip hot July day . enjoy . 
 Jul 19 2005 	 bad decor ' ve ever see ! 	 friend plan vacation Chicago chairty event 14 - 18th last night decide stay hotel . picture look amazing price seem resonable . really excited get room see look like . get room could believe old fashioned . have stay 2 hotel 3 day have city hotel even come close . seriously , decor OLD 's even funny . yes , aware old hotel , much comfort . ask VIEW something get hotel across street emergency exit stair . room smell old musty , mention creapy , call & quot ; cannopy & quot ; bed not even come confine , bathroom far tiny ' ve ever see life . ' ve see outhouse big ! be like shower , toilet sink shove closet . hardly enough room move . neither one we feel & quot ; home & quot ; comfortable enough sleep . call front desk , explain room nothing like reserve ask could somehow cancelle reservation tell nothing could do force stay . lamp beside bed not work , room internet keyboard ' eqippe & quot ; . call computer room crazy ! charge 5 buck 1st hour 20 buck . hotel include hotel stay . know , friend ever stay . be seriously like staying room 1950 's old enough enjoy , go anyone enjoy tasteful furniture COLOR , not advise hotel . 
 Jun 29 2005 	 Excellent staff location ! 	 recently stay hotel fantastic experience . concierge help plan activity weekend plasure deal . wife love Martini Bar piano . breakfast restaurant also good . truly amazing time hope go back soon ! 
 Jun 25 2005 	 join rest world ! 	 allow smoke public area anymore ? nasty thing hotel . beautiful lobby , experience ruin smoking make entire place wreak ! way ruin otherwise great stay . 
 Jun 21 2005 	 good deal great location 	 roll dice , hotel choose us & quot ; website choose price . & quot ; overall , pleased . location northern end Magnificent Mile perfect . never use car time arrive time leave city . room clean , bed comfortable , staff courteous . 
 May 31 2005 	 Perfect 4 day Knickerbocker Chicago 	 read review hotel go Chicago , little leery . utter surprise , pleasure , find hotel absolutely beautiful personel extremely friendly helpful . wheelchair , someone help elevator , in / out door every whim . I attend wedding reception Crystal Ballroom , beauty room take breath away . dinner delicious , serve perfection . the thing change shower . water stand floor shower , housekeep helpful , bring extra towel mop excess water . I would stay Knickerbocker heartbeat . pass brochure along friend already . a happy occupant . Su 
 May 25 2005 	 stay unless 	 actually get , stressful experience . month due arrive , book room phone confirm reservation . never give confirmation # say reservation set go . however , instinctually , check week leave make sure reservation intact . reservation could FOUND . , could give new reservation 2 3 night originally book find another room another hotel money . understand care sympathetic . nice person concierge , Leslie . , room bathroom extremely small . quite experience anticipate . 
 Apr 28 2005 	 so - so hotel average location 	 hotel great location northern end Magnificent Mile . however , property old room get tiny . pay premium town huge convention room tough get . enjoy old , boutique - style hotel might like place . staff friendly helpful everything clean good condition , feel bit old cramp style . get good price 's worth location . otherwise , would pass one . 
 Apr 20 2005 	 Clean Quiet 	 old motel , like Drake across street . small room , clean quiet . drake little & quot ; grand & quot ; & quot ; Knick & quot ; usually cheap . great location friendly staff . 
 Apr 19 2005 	 never go back ! 	 disapponte hotel . spend money . make reservation particular room call day check cofirm room , not get make reservation . 2nd item displeasure , reserve room business credit card pay personal debit card upon check . course charge go right away debit card card use reserve room still treat uncare good person account . there number hotel Chicago understand customer service . 
 Apr 12 2005 	 lack many Areas 	 upon scan several possiblitlie serve flavor old Chicago , find hotel lack room size especially bathroom size . bathroom incredibly small tub become real issue travel small child . amenity low grade , towel toilet paper . exactly top line . minibar outrageous , especially need bottled water night . overall housekeeping quickly request extra towel , price per night , instruction conserve towel seem bit & quot ; cheap & quot ; . positive note , Room Service always time accompany friendly staff . would stay ... would look & quot ; old Chicago & quot ; somewhere else . great view Drake ! 
 Apr 11 2005 	 great value 	 book Hotwire know name hotel purchase . read review bit hesitant . location beat . familiar Chicago - old Playboy Club . love lobby bar live piano music . drink pricy ( $ 9.00 ) figure get $ $ $ worth music atmosphere . upon checkin ask want 2 double king bed . clerk accomodate . take double . room spacious elegant bedding drapery . bathroom small functional . look fire escape plan back door - notice room directly across hall small drawing . realize room handicap accessible probably size generous ( room 505 ) . would definitetly stay . would however call hotel directly book online . find special include free parking . special $ 10.00 less pay online include parking . 
 Apr 9 2005 	 Millenium Knickerbocker - would not stay 	 stay one night conference overbooke bump another hotel hotel double book . staff friendly attentive , major inconvenience . lobby beautiful be overcome noise smoke lobby bar enter hotel . Yuck ! room look gorgeous website deceive . bathroom tiny ' ve ever ... towel horrid , ventilation , wallpaper discolor peel wall tub accomodate midget . wall paper thin- hear everything room . location good- one block Michigan Ave . glad leave will not back . 
 Apr 4 2005 	 Yuck .... 	 stay hotel Sunday night April 2005 . book online request clean nice room possible rate choose . well .... clean nice room BIG trouble . bathroom small sufficient , stunk mildew . exhaust fan grout filthy dirty . decor neat . Somewhat Europian Boutique . problem cute decor throw pit . room end hall window smash brick wall . crown mold poor shape , year poor maintenance leave partly scrape poorly repaint many time . baseboard even bad . wiring room consist power strip tack wall . one point try swing bed side wall sconce light area well almost fall wall . hotel small charming old need major renovation . ' m sure $ 175 ( room , tax parking ) would well somewhere else . many place stay would gladly pay extra $ 20 $ 30 know well . P.S . & quot ; Martini Bar & quot ; .... joke . absolutely live jazz either . not stay unless choice . 
 Apr 3 2005 	 great time $ 99 per night ! 	 stay two grandchild 3/23 3/31 . nothing good thing say , except must agree comment wall paper thin . , clean , friendly , lovely decor , window overlook alleyway , care ? location ideal , concierge helpful every time ask question , front desk efficient , restaurant class act good food . can not comment martini bar , not drink , look elegant classy . would definitely go back -- bathroom small . be Chicago heaven sake , get see city ! ! Pat NYC 
 Mar 22 2005 	 Millenium Knickerbocker 	 Millenium Knickerbocker beautiful old hotel central location . room uniquely decorate comfortable . staff work hotel helpful pleasant . restaurant lobby great breakfast food excellent service . complaint part lobby also bar . area smoking area offensively smokie . smell extend throughout lobby restaurant , elevator public restroom area . aside cigarette smoke lobby would say rest hotel excellent . make lobby smoke free keep public area non - smoking way go . 
 mar 17 2005 	 Knickerbocker 's interesting history 	 enjoy stay Knickerbacker . history hotel interesting ball room light dancefloor amazing . thoroughly enjoy dining room piano bar . staff friendly feel welcome . room seem outstanding decor , though , bathroom extremely small . probably will not stay hotel , many hotel Chicago experience , would strongly recommend hotel history buff want experience piece golden year . 
 Mar 12 2005 	 internet purchaser wary 	 last time Chicago , stay Knickerbocker Hotel admittedly ago , plan next trip , remember intend write review hotel annoy happen . I purchase 4 night stay internet one major , respected travel website . make reservation prepay room indicate two guest . internet site offer choice one bed two . , friend check ask two bed rather one king . turn , extra charge on - top prepaid reservation two bed even though indicate pay rate two guest . , nearly $ 15 - 20 extra per night sleep arrangement want . okay . maybe hotel 's fault entirely express disatisfaction situation desk clerk sneer can not responsible booking error & quot ; discount & quot ; internet purchase . error ? bed option . dare search bargain ! well , like , responsible customer not happy . pay two bed , cram small room small bathroom . , small size , comfortable clean . rest stay fine . adequate . even without extra fee bed , first choice charming , old - style Chicago hotel . 
 Feb 28 2005 	 disappointing 	 return one night stay Knickerbocker , return . come nowhere near worth price pay . Hotel Burnham twice hotel half price ! bathroom unbelieveably small smell terribly . call front desk twice towel request deliver ( frankly may well paper towel , nothing plush ) . not enough pillow request extra never deliver . room service cart leave outside door night . , disappointing stay . redeem quality hotel seem location . , be worth . 
 Feb 2 2005 	 super knicker 	 book three day break late january base review read trip advisor . I really must mention bellboy , Tom name meet friendly member hotel staff life . nothing difficult seem enjoy fact great time . the hotel good , cocktail bar great craic . we travel Ireland short break find jewel knickerbocker . I recomend highly enough . 
 Jan 23 2005 	 beautiful unique hotel Michigan Ave ! 	 Millennium Knickerbocker Hotel one beautiful elegant hotel husband age . even though live Chicago , beautiful getaway everyday live . room stay IMMACULATE . everything absolutely perfect clean ( could literally see reflection counter bathroom ) . staff friendly . even chef agree accommodate special meal us room service . front desk staff especially helpful arrange massage accommodation us spa next door even give we horse draw carriage ride free . Crystal Ballroom hotel beyond exquisite . anyone look wedding reception location downtown -- place must see ! ! ! overall , place get A+ across board . really know treat guest go beyond call duty . be look beautiful hotel fantastic location , check european boutique hotel vacation will not forget ! ! ! 
 Jan 22 2005 	 would not recommend 	 live Chicago stay hotel birthday special treat . not special quality point view , although still great time make . first , front desk staff seem uninterested , unprofessional unhelpful . second , Martini Bar locate right main lobby result greet cloud smoke enter leave . room definitely would expect 4 diamond hotel really earn rating give . small , actually pretty typical hotel location ( right Michigan Ave across Drake ) . arrive room 10:30 pm follow lovely dinner find toilet seat * something * . exhausted trekking snow , wipe make due . extreely diguste . bed linen nothing special comfortable . cd player not work . bad thing , wall paper thin . could every word room next door well every- -30 -- second ring cell phone blackberry room side . call desk woman hung say would ring room . helpful ( sarcasm ) . luckily ( people constant ring phone ) come home around midnight able get sleep . morning , husband take shower tub fill water drain ALL - so , shower . also , towel really really rough . may sound nit - picky , ' ve never experience upscale hotel . bathroom extremely small frill . comparable Holiday Inn cheap chain bathroom . the restaurant ok breakfast , smoking section right entrance , even though seat non - smoking , walk smoking section upon enter exist . take valet 40 minute bring car quote we 15 . , great location , 's opinion . 
 Jan 6 2005 	 Best Hotel Area ! ! ! 	 absolutely love Knickerbocker . , expect hotel cookie cutter comfortable , forget place . Holiday Inns like row housing development suburb , Knickerbocker like beautiful old house center city . location great , hotel bar cozy classy , room feel like guest bedroom victorian mansion . price , simply can not better downtown Chicago . 
 Dec 28 2004 	 spend money elsewhere 	 major problem hotel . room break closet door , unseated toilet , bad smell . walk room , notice small & quot ; sex toy & quot ; hane one bedside table lamp . obviously leave previous user room . also find room next door problem 's fire alarm . every 10 minute beep . finally & quot ; reset & quot ; , start hour later . also charge $ 9.95 per day internet usage . hotel offer service free charge . one ammenity like free newspaper every day , despite ask , never receive one . disappoint return Knickerbocker . people kind friendly , enough make do . 
 Dec 28 2004 	 Great Hotel 	 get back three night Knickerbocker . go Chicago last minute Christmas shopping . hotel great location . north end Michigan Ave . half block away . staff nice professional . everyone come contact helpful . granted old hotel room big closet . book standard room arrive upgrade deluxe room . good size room , nice furnishing comfortable bed . bathroom somewhat small . housekeep great job cleaning room every day . eat restaurant Nix , see several people get order deliver bar . overhear comment say food good . drink service Martini Bar slow . Martinis run $ 9 . good drink not shy away liquor . Valet parking $ 35 day in / out privilige . overall great stay . would definately stay hotel future . 
 Nov 29 2004 	 Loved Knickerbocker ! 	 excellent location ; friendly / helpful staff ; room small clean well - decorate -- full european ambiance ! ! food delicious lounge wonderful place relax . excellent value rate pay . pleasantly surprised since reviews site negative . would certainly return Knickerbocker . treat little part Chicago 's history . 
 Nov 24 2004 	 great hotel get right price 	 Booked Hotwire stay two weekend night $ 98 per night + taxis . 's deal location . room adequate partial lake view ; large extremely comfortable bed ; room bathroom clean . good bar scene midnight staff accomodate . parking $ 35 night , average North Michigan Avenue . parking gargage hotel must use valet service slow ( 15 - 20 min . ) peak time . 
 Nov 22 2004 	 Fair review 	 hotel great location Chicago . staff helpful friendly . room rather small hot . life 's past history . well hotel compare cost staying . 
 Nov 11 2004 	 yes really bad ... 	 schedule stay hotel full week 3 day choice check . soon get room mess toilet plug . service rude ( except room service delivery gentleman first class ) room sooo tiny . nowhere even put suitcase ... tv 12 channel ( work ) internet service work place half dozen call tech service people ( get direct # , front desk obviousely bother help credit card # ) .Overall extremely dissapointed , think hotel might charming dump otherwise wonderful area . 
 Oct 25 2004 	 extremely disappoint 	 extremely disappoint stay Knickerbocker Hotel . get reservation Priceline , come cheap . room small closet , noise unbearable . channel TV & quot ; vend machine & quot ; room tacky . could even get size room make nearly impossible open door ! bell hop check rude we limo driver . nowhere find , move luggage finally come back break curse we ! find accomodation clean well appoint . concierge service kind helpful . 
 Sep 21 2004 	 par ..... price 	 recently stay two night pay . $ 169.00 first night $ 229.00 room second night impressed . conceirge bellman , front desk staff helpful . pay price prefer modern hotel - old charm charming ( room one queen bed two full bathroom ? ? ) - would still prefer modern . appreciate charge local call 800 number - free internet access . need look competition - would one main reason would return . short 'd like value hotel . 
 Sep 20 2004 	 need honor reservation provide well service . 	 huge hotel little corner front lobby , 2 employee , check . takes forever get check . also , check take 30 min . get car valet . second time hotel . first time bad . reserve room 2 bed ( 4 we ) directly hotel . get hotel say room double bed available , people overstay night room available . put we small room king bed squeeze 2 single bed . wall wall bed ! plenty nice hotel near mile less price well service . 
 Sep 7 2004 	 awful awfully expensive 	 first night stick we smoking floor 2 month old baby five year old son ; yes , reservation non - smoking room . , obiously over - book . move we give we room next big hum fan must run air conditioning . boot , place not clean nice . smell . four star hotel , rather tourist trap aim one - time customer . 
 Aug 20 2004 	 Excellent hotel 	 read previous review little bit sceptical chose Knickerbocker Hotel . though pleasant surprise . staff polite , dynamic helpful . room extremelly clean comfortable . yes , room small ( though small big city ) decoration original beautiful . piano lobby big plus . first excellent point hotel charm . second perfect location . 
 Aug 18 2004 	 LOVED stay ! 	 also read poor review hotel , could please . get park play package ( $ 129 night unlimited in - out large classic room two bathroom ) . one stand shower large , small tub - shower combo . room nice clean , outstanding service everyone . people NiX ( restuaurant ) kind helpful even though eat free breakfast . block John Hancock build right behind Louis Vuitton store . plenty great shopping bar within walking distance , CTA stop relatively nearby well . would hesitate stay next time come Chicago . 
 Aug 18 2004 	 Ruff around Edges ! way 3 star ! 	 's Aug 17 early morning gladly check establishment . could wait arrive home e - mail un - satisfactory experience hotel . upon arrival greet front desk lady . seem facial expression might bother . also make mistake book priceline . give key room open door , first impression tiny little box . ' m big guy need space . dusty feel think ceiling tile go fall upon head . visually , nice . figured would let slide sleep . yet , look worse get . could go never come back Nickerbocker . 
 Aug 15 2004 	 real deal Knickerbocker 	 4 star hotel , place leave much desire . add inattentive staff lackluster accomodation , ' ve get medicocre Knickerbocker . any hotel stay Chicago 's Magnificent Mile & quot ; good location , & quot ; one short building tuck away one back street toward end & quot ; Mile & quot ; , view , accessibility , scenery well . no one staff take extra mile - service bare bone . front desk , conceirge ( age , befuddle old man , - cute - know much city ) , restaurant , front door - nothing spectacular . room feature lithograph copy oil painting peel frame , well amenity see well day . tv selection feature dozen channel ( even every budget hotel day large selection ) . tiny room paper thin wall , make plumbing , conversation , movement neighboring guest sound like room . night . bathroom stand shower bathtub . at Knickerbocker , free internet free , complimentary turn service automatic , nostalgic charm historic hotel COULD , mute management current owner . among Chicago 's grand lobby beautiful building , Knickerbocker even compare . if priceline hotel , oh well , could bad Chicago . plan pay full price hotel , stay somewhere else much happy . 
 Aug 14 2004 	 Aug. 5th check Aug 8th extremely pleased ! 	 must admit skeptical reading review internet . time hotel undergo mass renovation people complain bad plumbing , noise , etc . one comment , get room elevator . paper thin wall . room elevator , noisy ! yeah ! staff friendly accommodating . room ( rent 2 ) sooooo pretty comfy . small bathroom clean well staff every single day ! consair 's go way beyond call duty make stay interesting . even take we Crystal Room book wedding show we 's magnificence . sooo impressed . good picture Hotel room . show girl secret passage way use gangster day go . love ! 
 Aug 9 2004 	 Loved hotel 	 hotel elegant . wonderful location room spacious . excellent service . would stay . yes , bathroom small , serve purpose spend alot time bathroom anyway ? within walking distance many place , include Navy Pier Hancock Building . complaint beautiful hotel . 
 Aug 5 2004 	 great location nice hotel money 	 husband stay 4 night July 2004.we absolutely love location , next high end store 2 block John Hancock building . I get rate $ 119 night 877chicago.com . our room small , high floor . fan eclectic oriental decor , however bed comfortable , room service menu charge price restaurant menu ( except service charge ) . 
