stay 	 travel San Francisco every week business . like switch stay Union Sq . wharf change scenery . Argonaut definitely place stay week stay Wharf . love everything place . staff great . miss wine hour 5 minute check give voucher glass wine bar . room clean comfortable . be right around corner Ghirardelli Square , take advantage cool evening go get cup hot cocoa . next morning pick breakfast Starbucks walk across street nice morning beach go office . location great . love Argonaut look forward go back couple week . 
 eagerly Anticipating Next stay Argonaut 	 already plan next visit hotel . stay three day anniversary company little bichon wonderful experience . staff amazing , incredibly helpful , always treat little dog like value guest well . love attention doorman front desk time come . Argonaut truly make we feel home . purchase three day pass cable car / trolley car / muni system cable car turnaround right next door hotel make easy get around San Francisco Fisherman 's Wharf . we plan give Argonaut gift certificate son daughter - in - law Christmas year . can not think hotel San Francisco would rather share . 
 Apr 7 2008 	 fine except restaurant 	 Argonaut imaginatively design hotel former warehouse close Fisherman 's Wharf . room cleverly fit framework old building well - appoint comfortable , except lack drawer clothing compel use suitcase storage . the hotel 's restaurant , Blue Mermaid , big disappointment . far standard one would expect first - class hotel . nothing large noisy bar constant traffic . eat breakfast immediately put poor service greasy overprice food . fortunately , many well place eat neighborhood . 
 Apr 2 2008 	 Excellent hotel 	 excellent hotel - clean , comfortable great location . also offer fantastic value money . highly recommend . 
 Apr 1 2008 	 argonaut hotel ? 	 say Argonaut Hotel GREAT , GREAT , GREAT ! ! almost like not want anyone know gem hotel . location , staff , room ... Happy Hour fantastic ! would not stay anywhere else price ! ! 
 Mar 30 2008 	 wonderful hotel 	 stay one night March 2008 . lovely attention detail hotel , maritime theme run throughout . comfy room great extras require . friendly staff great free drink reception every day hour . go restaurant fab . side , hotel bar ( go restaurant ) also get big phone bill 10mins call UK . issue great stay . would definitely recommend . 
 Mar 30 2008 	 lot personality great location 	 stay Spring Break , take 9 - year - old son 12 - year - old daughter , stay near Yosemite Park . promptly greet bell captain car & amp ; luggage manage fuss . check quickly , accompany bag room . disappointed find could get roll - away bed room ( kid long ago become opposed sleeping bed ) ; forget arrange advance . the original brick beam construction evident room lobby . decor throughout hotel fresh original , much personalization would expect boutique hotel . example , lobby chair embroider & quot ; & quot ; , towel also embroider & quot ; & quot ; . hotel 's web site lot photo not bother post any . we breakfast Blue Mermaid , hotel 's restaurant . service food good , & quot ; OMG & quot ; moment check arrive . fairness , not big surprise hotel restaurant heart major urban tourist area . we visit Michaela concierge desk couple time real disappointment hotel . select hotel base recommendation Frommer 's & quot ; San Francisco Kids & quot ; -- # 1 choice family - friendly hotel . Michaela seem perplexed ask local activity -- & quot ; San Francisco not really good city child . & quot ; preposterous . the location really prime . 's step away start Powell - Hyde cable car line run way Market Street , step away turnaround F - line streetcar run Embarcadero . 's also short walk Aquatic Park . , Ghirardelli Square , Cannery . although abundant night life part city , room noticeable street noise even though face Jefferson Street , even Friday night . 
 Mar 27 2008 	 Awesome ! 	 nice experience hotel one year anniversary . pay attention detail , Disney World maritime . pay extra money get exterior room , be roomy & amp ; view nicer see another window . think cost $ 20 - 30 night . 
 Mar 24 2008 	 Fabulous Location Comfortable Accommodations 	 Argonaut Hotel fabulous property family , couple , single , group desire comfortable accommodation , attentive staff , convenient location San Francisco ' Fisherman ' Wharf area easy access public transportation area around San Francisco . I would strongly recommend hotel property plan fully imbibe San Francisco ' tourist attraction . also serve wonderful home - base person plan enjoy entire bay area sight sound . 
 Mar 24 2008 	 25th anniversary 	 hotel = beautiful . the staff = wonderful ; help we celebrate 25th anniversary . everything = GREAT ! ! ! stay ! 
 Mar 18 2008 	 Sedate 	 recently stay Argonaut Fisherman 's Wharf San Francisco . lovely hotel excellent location . restaurant nearby really good . the hotel lovely . welcoming , staff reception little abrupt nothing could not cope with . the hotel wine taste every evening good fun , even , like , not drink . apple juice ! surprise area die 9.30pm . get turn away couple restaurant 9.45pm ! hotel bar not seem stay open long either . least sleep well much noise outside ! 
 Mar 14 2008 	 wonderful Stay 	 wife stay honeymoon 2 night early March great stay . I book room another hotel hotels.com Jan. 6th though . 4 day start honeymoon San Fran . , hotels.com send e - mail say change reservation hotel downtown hotel airport . rufuse give refund hotel . huge 30,000 person convention town time hotel full . get lucky though able book bay view room Argonaut . good thing could happen we ! place amazing ! arrive hotel around 12:30pm able check right away ! staff nice call we name whenever see we . room amazing ! beautiful view Alcatraz Island could even see golden gate . internet work great tv fine . 's big fancy tv , not fly way San Fran . watch tv anyway . make stay great concierge . wonderful young lady recommend 2 wonderful resturant dinner amazing dim sum resturant lunch . enjoy San Fran . way ever thought would owe Argonaut Hotel staff . can not wait come visit . 
 Mar 11 2008 	 doggone GREAT ! 	 husband two 50 pound mutt return wonderful stay Argonaut . choose hotel 's great location end Fisherman 's Wharf Kimpton Hotel 's fabulous pet friendly policy . check , offer pet bed feed bowl ... extra charge ! extra charge pet , either ! nice park right next door , convenient doggy walk . one boy , Buster , freak highly polished wood floor entrance , drag length lobby belly , opt stair instead . problem solve . king suite towards rear hotel first night ( Saturday ) , bite noisy we early bed type , next morning ask front desk clerk could move quieter room . gracious offer we another suite front hotel , much quieter spectacular view . still noisy afternoon outdoor entertainment adjacent courtyard , return ask room Hyde St. side building , face park . suite huge , spacious comfortable , jacuzzi tub big enough family paddle around . New York Times & amp ; SF Chron deliver daily , great service , smile employee , relaxed welcome atmosphere ... not get much well SF ! 
 Mar 10 2008 	 Clean nicely appoint Polite Pet Friendly Home Away home 	 husband live week relocation . large dog cat we welcome open arm ! bellman become well acquinte dog treat like regular guest , always open door . pet owner like travel pet , Kimpton propertie ideal ! pet owner , need worry , problem noise smell hotel keep perfect condition . pet come add character experience . term pot pet , unlike many hotel , wonder green grassy park right across street take little stroll . the hotel great location right Fisherman 's Wharf . many restaurant shop within walk distance well access port tour go Bay . also within long walk Golden Gate Bridge . the room nicely decorate comfortable . afford upgrade room worth - standard room seem little small . good room corner suite . especially alcatrez golden gate view . yet another beautiful property Kimpton . 
 Mar 8 2008 	 Loved Argonaut - very romantic 	 research extensively perfect city hotel first anniversary certainly find ! San Francisco incredibly beautiful Argonaut Hotel simply fantastic . little skeptical nautical theme reading review view pic think would give Argonaut try . upon arrival , doormen friendly cute white hat , blow whistle entire time ! immediately give we suggestion dinner shop nearby . check mention anniversary concierge tell we would send bottle champagne room follow day anniversary . could not believe return next day trip Napa Valley ( already little schnookered ) bottle arrive front door . thoughtful ! room tastefully decorate even include two leopard - print robe ( also taste ! ) relax . great time drink champagne take pic comfy robe . end order room service food also fantastic . good part stay nightly wine taste offer lobby . lobby also decorate nautical theme include lounge chair sail absolutely adorable . seat fill fast would recommend get early take wine back room . really nice touch sip relax glass wine long day explore walk around San Fran . negative thing say window room fairly small book give option Golden Gate view view Alcatraz . take alcatraz & quot ; view & quot ; distance expect . however able see Golden Gate Bridge well room . would recommend least get room view bay not matter view . price Argonaut also little expensive find booking last minute website save we quite bit money . overall Argonaut fantastic boutique hotel nice change chain hotel area . certainly return Argonaut Hotel another romantic weekend . 
 Feb 28 2008 	 Perfect location cool hotel 	 Argonaut , opinion , place stay San Francisco , especially kid . 's location Fisherman 's Wharf great , quiet end near lovely park . can not say enough excellence hotel : staff fantastic , nothing much trouble . decor spot - on ( sophisticated funky , also kid love . ) nightly happy hour hopping . kid love freebie treasure chest pick day . room comfortable , decorate nicely , lovely amenity . love look window see Park Cable Cars people walk . okay , maybe little much street noise , stay , really not way around . window pretty sound proof . conceirge helpful knowledgable , front desk go way give good service . sad note pass bubble goldfish , quickly christen . morning son give we bad news demise . tell front desk guy , ask want another , not want risk . Loved museum locate lobby , though understand temporary . little disappointed breakfast Blue Mermaid , miss hit . food never hot fresh enough . apart though , place great choice 3 night stay . 
 Feb 28 2008 	 Love Argonaut 	 Argonaut Hotel one favorite place stay . second time visit hotel . everyone great . wine taste beautiful lobby excellent relaxing . this time buy package deluxe room . last time view nonexistent . time overlook Cannery part Bay . sure would pay extra money , nice able watch ship morning . Breakfast Blue Mermaid include package . pretty good , excellent , server nice . crab chowder twice evening delicious . , service friendly . I two boy , favorite thing walk across street Maritime Museum board boat . boy love explore every inch old ship . price steal . cost five dollar per adult entire week . kid free . visit every day trip . think beautiful view San Francisco Balcutha , sailing ship . see Golden Gate Bridge , Alcatraz , Bay , entire city . the Argonaut centrally locate . use public transportation include cable car trolley . Ghirardelli Square close , Pier 39 Fisherman ' Wharf . also drive Muir Woods ( beautiful ) Sonoma Valley pretty easy trip . I highly recommend Argonaut . funky little hotel , classy . look forward stay another Kimpton hotel day . 
 Feb 27 2008 	 Top Marks Argonaut San Francisco ! ! 	 hi -I want write let know impressed quality service provide Argonaut . recently make reservation phone give absolute good service imaginable representative . he polite , helpful , efficient . know make reservation could actually make difference ? stay also perfect . everything exactly expect staff extraordinarily welcome helpful . thank Argonaut commitment perfect service ! Linda ( Foster City , CA ) 
 Feb 21 2008 	 Argonaut Rocks ! 	 first let start say ... not like dog kid , not stay ! hotel full . : ) bring 2 chihuahuas Argonaut , since pet friendly . never take little dog hotel , awesome experience we . unfortunately , bark night leave room go dinner . front desk staff volunteer baby - sit we ! sooo nice worry pet . especially want thank Josh front desk ! able watch night go dinner take tour Alcatraz . hotel accommodate need may , staff friendly polite . wall pretty thin , hear dog bark kid play , bad all . Valet parking breeze , however pay convenience . park $ 39 per day tax add top , total $ 45 per day . the amenity room excellent ... nice tv , nice lighting , nice shampoo , etc . plus location awesome . right midst everything . Steve & amp ; Barry be almost right next door ... great affordable clothing store . love ! thank Argonaut ! ! 
 Feb 20 2008 	 Excellent Hotel -- Convenient Fun 	 Booked Argonaut Hotel weekend trip San Francisco . excellent . room spacious two kid parent . staff helpful great stay . hotel convenient Fisherman 's Wharf fun also right next trolley . make sure get multi day pass trolley great deal . also great view Golden Gate Bridge short block walk hotel . get great view wait trolley . clue trolley -- -if line simply walk one block two yuo catch trolley line wait ! make trolley ride much well not allow full car leave terminal station . way save lot time . the evening wine event fun like wine chat other . breakfast : Buena Vista one block fun breakfast . 's small place worth wait ! Lombard Street short three block UPHILL fun walk give try . Ananda Fuara vegetarian restuarant great deal good food downtown area . 's downtown area 's safe easy walk main trolley stop downtown . 
 Feb 15 2008 	 Excellent Fishermans Wharf location 	 really like hotel . hotel far end Fishermans Wharf , right next Mason Powell cable car turntable directly opposite Aquatic Park step Ghirardelli Square . location wise , great ! pay extra room view bay Golden Gate bridge . excellent view . room large albeit little odd shape . long narrow pleasant enough . probably due conversion previous use imagine warehouse something similar . the tv need update lcd fit purpose . furnishing pleasantly quirky include starfish style pillow ( remove evening turndown ) . furniture comfortable . the bathroom door slide door , probably save space . fine , need oiled ... bathroom clean tidy well maintain . all , pleasant stay stay Fishermans Wharf area SF would probably return Argonaut . generally would stay 4/5 star city centre , particular MO , Four season W.But want stay Fishermans Wharf strongly recommend hotel . 
 Feb 13 2008 	 Argo - not 	 terrible hotel price . $ 300.00 night expect little closet . request high floor , put street level noise rediculous , open blind let light watch people 's leg walk past look room . the room narrow practically closet . mirror whole room foot bed ( could barely squeeze around get side ) . look mirror kneel bed . kid ? ? $ 300.00 ? ? ? even overlook & quot ; little boy 's sailor bedroom & quot ; theme , layout awful . tv far leave bed b / c could not fit foot -- -oh , yeah ... 's mirror squeeze in . early trip stay Marriot Union Square MUCH well hotel money . hotel awful . 
 Feb 5 2008 	 Perfect Location 	 Argonaut great tourist location - right next cannery block away Fisherman 's Wharf . great restaurant everywhere cable car right . also easy get cab hop double decker tour bus get Chinatown , Union Square , etc . also in - and - out burger next door need fix visit California ! hotel decor great expose beam brick . nautical theme evident throughout hotel maritime museum connect via lobby . the room clean spacious ! understand room slightly different - king room sit area . bathroom bite small certainly adequate clean . the hotel meal room service / breakfast one morning - service slow forget several item . many great choice area , would not let impact decision stay here . expect $ 40 - 45 dollar taxi ride SFO airport . parking expensive $ 40 / day - long couple day , would recommend taxi . overall - would highly recommend hotel look forward stay next trip back San Francisco ! 
 Feb 1 2008 	 great place stay 	 stay hotel Jan. 25 Jan. 29 room 230 . flight Tucson experience computer problem , miss connection LA . new flight SF LA late , sit tarmac hour . San Francisco , one man shuttle van drunk obnoxious , top , rain fall bucket . tired . hungry . soak cold . happy camper arrive Argonaut ; however , reservation computer , staff helpful friendly , room beautifully organize clean welcoming , first night 's dinner Blue Mermaid ( fry shrimp chowder husband ) perfectly prepared . . . read negative review specifically restaurant mentally prepared disaster . wait staff courteous , food excellent . wake follow morning , open wooden blind see cable car turnaround , Golden Gate Bridge distance , sights sound wharf wake . perfectly wonderful hotel . decor make smile , renovation old cannery history add charm many modern hotel lack . thank great vacation . 
 Feb 1 2008 	 Fantastic ! 	 Set old Del Monte Cannery Fisherman 's Wharf area San Francisco , truly fabulous experience . our room top floor hotel , view across Bay Alcatraz Island , pier ( crane neck ) Golden Gate Bridge . the room large , well equipped . especially like Starbucks coffee filter machine . ( can not hotel provide touch ) .The staff efficent friendly , evening wine taste session fantastic way wind hard day 's sightseeing . if go SF , make sure stay ! 
 Feb 1 2008 	 really nice place ! 	 please Argonaut . staff really bend backward help way . housekeeping staff maintenance worker smiled greet we pass . fitness room excellent , new machine video screen cardio station . also provide water , newspaper , towel fitness center . we breakfast restaurant , fine ; nothing spectacular . we love lobby , fireplace wine taste every evening . room spacious , comfortable , even view Golden Gate Bridge ! also view cable car terminus , kind cool . definite plus hotel right waterfront trail -- bike walk way Golden Gate Bridge ( Fort Point end trail ) like ! 
 Jan 31 2008 	 Great Staff ! 	 husband stay Argonaut 2 night adore ! ! like stay Kimpton Group hotel argonaut top list . love touch & quot ; whimsy & quot ; room decor . location also good want experience Fisherman 's Wharf area . what make hotel stand we friendliness staff . 
 Jan 28 2008 	 great location 	 stay Argonaut Hotel recommend we two colleague . stay 11 - hour flight one night book interior room . the receptionist friendly welcoming room spacious comfortable . cable car turning point outside hotel Alcatraz Golden Gate Bridge see . pier 39 within walk distance . it be great hotel fantastic location . parking bit expensive though . book shuttle bus airport pick hire car Avis station around corner . would stay ? definitely ! 
 Jan 24 2008 	 good service nice room 	 Hotel book via Expedia . Hotel nicely locate . room pretty big service good . business center useful well cheap . my wife SF 4 night really enjoy stay . price / quality attractive . 
 Jan 22 2008 	 Fantastic Hotel friendly staff could enough ! 	 partner spend christmas period hotel December 24th December 30th . read many review Trip Advisor time booking , hotel number 4 list good hotel disapointe . christmas period upgrade room Bay view enjoy see Alcatraz every morning open blind ! standard room similar view side rear Cannery courtyard view locate centre building . upgrade price reasonable make stay even enjoyable . the room well equip nautical theme . bed comfortable sofa relax end busy day . room usual extra expect quality hotel plus dvd player good playing music CD 's whilst get ready dinnerthe staff hotel wonderful . use Valet service car whilst cheap parking avaialble round corner convenience factor mean worth consider another option . desk concierge service efficent professional restaurant staff friendly too . the free wine tasting go well night possible several glass wine rather one . evening take refill back room . overall one good hotel stay many trip USA look forward next visit hopefully far future 
 Jan 21 2008 	 exellent choice family 	 return one - night stay Argonaut . second visit three year . get good rate 169.00 night , Kimpton member , receive free upgrade 4th floor , bay view room . previous visit , courtyard view room . room nonview interior room stay . staff friendly , room really , really clean . park garage near hotel 32.00 ( maximum rate ) ; hotel valet parking charge 39.00 include tax . garage connect hotel . we travel two old child room large enough accommodate we comfortably . good sized bathroom . comfortable bed pillow , efficient heat / air room . trouble noise adjoining room , not think hotel full night there . my negative although hotel locate quiet end Fisherman 's Wharf , near Ghirardelli Square ( renovate ) , cable car turnaround , rest Fisherman 's Wharf trashy . would forget unpleasant walk past junky souvenir store hoard people ! city beautiful , ride cable car Chinatown beyond always fun , Golden Gate Park Presidio lovely . 
 Jan 20 2008 	 not trust event anything remotely complex 	 family stay Argoanut wedding . have hear great thing Klimpton Hotels , something go terribly awry . reservation completely screw . try give we room , already reservere other , tell till call month wedding reconfirm . leave mulitple message one would call back . meanwhile family wonder cancel travel plan come wed . desparation call manager three week wedding , tear , idea family room , despite block 7 month beforehand . although manager find we room , real disaster charge wrong card room , horribly embarrassing . whole family mad yes , Argonaut make get middle straiten . late reception dinner , say would car ready 15 minute , take 45 . think curbside staff busy chat girl walk street , forget thi job . place nice , price great - not count anything important . rely Argonaut far stressful horrible aspect wedding . really ruin experience . every time think special day , cringe , Argonaut debacle first thing come mind , eventhough try really hard forget move . not make mistake . 
 Jan 17 2008 	 Brilliant hotel ! good location Wharf ! 	 lucky enough get really good rate Argonaut - $ 209 night 4 night incl NYE , good value location & amp ; time year . wharf beside Cable car base , Argonaut Hotel right heart San Francisco . Views Golden Gate bridge be lucky enough room view , walk hotel along wharf Pier 39 charming - lot cute shop & amp ; San Francisco character . room clean & amp ; spacious , big tv , dvd player , ice bucket replenish daily want & amp ; cute chocolate surprise every evening & quot ; turn - down & quot ; time . bed comfortable ' ve ever sleep hotel ! ! hotel staff friendly , provide complimentary wine taste evening everyday 6 pm - not shy wine & amp ; refill ! ! ! drawback hotel restaurant - dinner ! ! ! whilst breakfast definitely worth , dinner experience 1 go book dining catastrophe ! not bar decent standard couple irish bar within 2 min walk hotel , not cause we problem . we love San Francisco already plan return trip , get good rate Argonaut Hotel , definitely return ! 
 Jan 15 2008 	 Nice Convenient Place 	 stay night late December . nice hotel , guest say , staff nice . room large two - bed room . hotel busy , convenient location , quiet inside , even New Year 's Eve ! one floor street level side street husband , sensitive noise , problem whatsoever . problem one side room bit warm ; weather unusually chilly California probably would not issue time . 
 Jan 15 2008 	 great Time Argonaut Hotel 	 stay Argonaut hotel Christmas day 8 night overall wonderful time . I opt room upgrade , available , extra $ 69 / night suite , arrive check super efficient , tell suite available 6 night , opt take say would everything could we able stay suite 8 night , manage great . suite amazing , actually view Alcatraz bedroom window . the toiletry lovely , high end much appreciated , mini bar well stock , housekeeping superb , everything spotless nothing much trouble . the host wine reception 5 - 6 pm really good way meet guest , wine beer serve good quality . the concierge service good , usually busy helpful . the problem hotel noise , wall thin seem sort plumbing problem plumbing give loud bang every often , wake quite time quite fright could feel vibration floor . complain reception desk noise people next door , 4 day child wake we 6 am run around scream say would word give we complimentary breakfast voucher . next morning much quieter must word family question , would not bad wall not thin . we eat Blue Mermaid restaurant breakfast complimentary voucher seem fine . I would definately recommend hotel especially could sort sound problem . staff wonderful excellent job . 
 Jan 11 2008 	 Staff Great ! ! ! ! 	 Argonaut Hotel ; pleasure stay Argonaut 6 night early January 08 . would classify stay outstanding . staff hotel friendly extremely helpful . almost every interaction , go well beyond ask . check quick efficient . room well appoint free internet access , tv dvd hook appear good selection pay view movie . room clean high - end toiletry ; towel etc . good quality . hotel host wine reception every evening , well attend lively . the location hotel perfect . one block cable car depot Buena Vista Irish Coffee ; short walk Pier 39 Fisherman ' Warf ; one block Starbuck ' another short walk Bay . Ghirardelli Square shop easily accessible well . access restaurant excellent good mexican restaurant Cannery complex several seafood italian offering right street . also great little ice cream shop , Norman ' , around corner lobby . the sole drawback - room wall paper thin . sound travel room room pretty good clarity . bother we neighbor relatively quiet could challenge child light sleeper . 
 Jan 11 2008 	 bad day 	 stay Argonaut Hotel 's sister hotel Union Square call Serrano Hotel . definitely well would recommend short stop . plus point : - location ( not sure first within 10 minute walk pier 39 right round corner old cable car take Union Square ) . tourist area feel quite safe walk around time day own.- Clean- good size roomsnegative point : - window face window hotel nothing else ( could put day ) 
 Jan 8 2008 	 beautiful fun hotel great location ! 	 moment check treat like royalty . book one small room still comfortable . bike rental next door ( ride across bridge ) trolley close walk wharf . parking price steep garage . parking garage close half price . not impressed breakfast attach restaurant . service food good . plan stay hotel ! 
 Jan 6 2008 	 great piece history great location ! 	 take husband San Francisco surprise trip Christmas . hotel absolutely amazing . service super quality price . location great hope many & quot ; tourist & quot ; activity like pier 39 , alcatraz , ghiradelli square , cable car . would definately stay ! 
 Jan 5 2008 	 stylish hotel 	 husband stay hotel travel Chicago Amtrak train . spacious comfortable room amazing confine space train . find staff helpful hotel great base near streetcar terminus . also use bike hire shop nearby bike Golden Gate bridge - wonderful experience . we enjoy food hotel dining room sit lounge glass wine relax one night watch world go . would highly recommend hotel . 
 Jan 4 2008 	 Pacific Spirit 	 + + + location @ fisherman wharf perfect discover city , animate & amp ; marine atmospher great . the hotel beautiful . lobby great everyday cocktail offer guest near huge fireplace . room : small well decorate nice . deserve 4 star . very nice staff even experience minor issue last day . -- -The view standard room good . wait 30min get luggage valet service , convenient go airport . indeed elevator crowd morning . also recommend use public parking near hotel less expensive . conclusion : except minor issue enjoy stay really appreciate hotel nice marine room . 
 Jan 2 2008 	 Argonaut place stay 	 say enough wonderful thing Argonaut . my husband along 9 year old son first time guest Christmas Argonaut . moment arrive , treat like royalty . doorman , valet , front desk , concierge ... first class way ! room luxurious , immaculate inviting . beautiful view GG bridge window ! could walk Pier 39 enjoy sight easily walk Ghiradelli Square jump cable car Hyde & amp ; Pearce Sts . definitely eat meal Blue Mermaid sure try crab / corn chowder .... die ! bit worry away home Christmas staff hotel make Argonaut home away home wonderful holiday memory cherish ! love bed , sheet towel ! starbuck coffee coffee maker plus ! want treat luxurious getaway , must visit Argonaut.p.s . must go lobby 5 6 pm enjoy wine sparkle cider fire ! relax style ! 
 Jan 1 2008 	 Great Break 	 year , husband like get way without child . wonderful 3 night stay Argonaut . upgrade King suite . plenty room , decor nautical . flat screen television sit area bedroom . bathroom nice size . enjoy jacuzzi tub lot ! restaurant hotel good , especially chowder sampler . really like hotel location wharf . within walk distance wharf activity right next cable car stop . right street Buena Vista ( yummy irish coffee ! ) . highlight : Alcatraz , Wharf , Napa / Sonoma , Muir Woods , Biking Bridge , Suasalito , cable car ride , sourdough toast ! PS . arrive rainy Thursday afternoon , someone tell we San Fran weather two choice : rainy foggy . well , start rain , end 3 beautiful sunny ( 55 - 60 F ) day . 
 Dec 31 2007 	 parking fine print 	 fine hotel beware $ 40 per night parking charge 
 Dec 28 2007 	 love ! 	 always love hotel ! however , afford stay season . price range $ 200 way around $ 500 depend season . love cruise ship look hotel location . Fisherman 's Wharf , quieter side particulary good location tourist business . also surprisingly dog friendly , would not expect . hotel spotless . room cleanest ever see high standard . lovely free wine hour well - stock mini - bar . complaint would much staff seem overly agressive expect tip ( bring plenty dollar avoid discomfort ) front desk staff seem bit snooty . surprise we normally Kimpton hotel top friendly staff . guess fluke . 
 Dec 24 2007 	 good Choice Fisherman 's Wharf 	 decide stay proximity bay ( large double queen room view GG ) , access cable car ( one block away ) , variety come Fisherman 's Wharf . attend conference call first morning , figure Wharf cable car ride Lombard St activity wife daughter could occupy with . the room large spacious , bed comfortable , free WIFI , sparkle clean modern bathroom . bell staff courteous , professional friendly , full restaurant recommendation . parking breakfast include hotels.com aggressively discount rate , charge $ 45 / day parking . nautical theme ubiquitous , might everyone ! starbuck adjacent hotel , convenient since Argonaut put coffee lobby . also please burger right street ( great West Coast chain blow BK McD away - fry make prem fresh potato ) . can not say anything negative hotel proper , opinion much desirable part city stay . Fisherman 's Wharf plain awful , worth waste one 's time . 
 Dec 20 2007 	 lovely hotel quirky room 	 stay four night great time . spacious room - view bay Alcatraz . friendly helpful staff - free wine evening - lot excellent restaurant within walking distance . 
 Dec 18 2007 	 really great hotel 	 spend four great night Argonaut . require wheelchair accessible room room exactly advertise . minute arrive minute leave - every employee helpful , friendly , solicitis need might have . we eat hotel restaurant take advantage room service one morning breakfast . arrive promise feel reasonably price hotel [ pay lot lot less many hotel ] , hotel minute walk Fisherman 's Wharf go fairly often sightsee partake great restaurant food . we try travel San Francisco area three four time year certainly stay , , future . 
 Dec 13 2007 	 impressive 	 initially recommend holiday travel agent reading review Argonaut trip advisor go back ask get we hotel . it expect . room nice , although bit walk lift . fit we without problem . staff nice door staff knowledgeable . corserge bit limited skill other front house make . 
 Dec 10 2007 	 impeccable service : three cheer staff 	 ' ve stay many time -- 's great property question -- even not room view . time say everyone speak with / meet -- bellman housekeep front desk beyond ... truly one nice , accomodate team ' ve encounter long time . make stay even enjoyable . thank ! 
 Dec 9 2007 	 Thought Argonaut 	 San Francisco work Monday fly Friday . seem obvious look somewhere Fisherman ' wharf impress Argonaut room available $ 150 night . take work confirm meeting , time realise Fisherman ' wharf full burger bar t - shirt shop price rise $ 250 . still seem good place base book . worth ? fisherman ' wharf dire hotel last building row – park across street get early walk way Golden Gate Bridge . park cable car terminus spectacular ride across town short walk direction historic tramcar run way along wharf also town . on plus side , room large , building may former cannery certainly ' feel like tin peach , furnishing new , impeccably clean staff friendly helpful . strong nautical theme , little tiresome , least give hotel character , ' imagine anywhere else like . but … . although room show 2nd floor ( ie one ground ) window straight street , ground slope back hotel . able move , without problem , room side , overlook courtyard . exceptionally noisy evening ( flight London want sleep ) next day horrific singer perform noon come back 6 someone else , equally bad , . move . warn lack view ( though room would actually view water ) street noise want – lightwell huge , room still bright silence golden . where Argonaut really crash upon rock though miserable restaurant . expensive service foul , breakfast plate hard bacon potato piece together egg . ask waiter whether mean chill , totally ignore . ask grunt , yes , think ( quite clear really ' care less ) .someone work stay say ' stay , ' bad cancel . think right . fine , many plus point bad one probably ' go back . though $ 150 maybe could persuade ! 
 Dec 9 2007 	 Great Hotel - good location 	 stay 3 night late November extremely impressed hotel staff . hotel clean , maintain high standard staff courteous friendly . complaint - one room smallish side ( clean pristine ) , bar seem close early ( ish ) couple night . room large tariff . arrive early check - in day , however reception staff two room party within minute arrive without fuss whatsoever . arrival notice safe room malfunction rang reception . maintenance knock room door 3 minute call reception bring new safe install - go 20 minute fuss . it be ideal location sightseeing adjacent Hyde Powell cable car terminus take way Union Square ( shopping ) . Alcatraz ferry 15min walk , Pier 39 ( bit tacky ) 10 min walk . Taxi downtown approx $ 12 . Taxi airport $ 42.I definitely stay next San Francisco . 
 Dec 1 2007 	 Mixed Feelings 	 wife want hotel ' kid friendly ' good location . Argonaut come highly recommend . make reservation , receive email offer we discount room upgrade available check - in time . choose . arrive , in - fact suite available take upgrade . room amazing ! enormous . first glance , extremely happy . staff extremely courteous , hotel well keep location excellent . right Fisherman 's Wharf within walking distance everything . however , first day , quickly realize several problem . room back corner hotel border two busy street . great deal noise enter room street . pick - up / drop - off point trolley ( bell ) . lot delivery and/or garbage truck seem drive hour night . feel like 2nd floor New York apartment vs. suite expensive hotel . another significant annoyance try regulate room temperature . San Francisco weather warm day cold night , however thermostat room could set heat cold , ' auto ' option . would constantly switch thermostat back fourth try get room reasonable temperature . become extremely annoying night would wake 4 am sweating room get warm 2 - year - old son cry cold . some minor annoyance : door living room bedroom bedroom bathroom slide door vs. regular door , creek make lot noise , pose problem sleep baby . on positive side , size , decor , amenity room rank top hotel room ' ve ever stay . hotel offer complimentary stroller first - come basis tremendous benefit ! room service fast quality good . complimentary wine reception every evening 5 - 6 nice touch ( wine serve good ) . water pressure good well ( pet peeve mine ) . bell - man , concierge , front desk attendant , valet parking people extremely friendly helpful . at end day , give hotel mixed review . price overall stay compare hotel look place Argonaut towards top ' middle road ' range . room upgrade great value definitely recommend anyone . regret little annoyance take away overall experience . 
 Nov 26 2007 	 Unique Hotel 	 Unique hotel definitely must look . fiance stay Argonaut last week exception couple minor kink , would give two thumb . lucky read review prepare still please ! first , great little happy hour 5 - 6 pm lobby free wine beer . be also great neighborhood ( Fisherman 's wharf ) , touristy , Rome , probably tourist day . breakfast Blue Mermaid ( hotel restaurant ) really good . hotel staff pleasant helpful . room unique hotel ( see reviewer pic ) look . main complaint bed not comfortable many high end hotel ( crown little middle kind soft ) . another minor kink , could easily fix hotel property , shower curtain not magnet hold tub , not surprised find curtain cling shower . beyond , still find fabulous place stay , also happen two block one amazing restaurant ever world ..... Gary Danko 's ( foodie ; - ) . sure make reservation week advance though . 
