disappoint 	 rude staff ; good value price ; security check go room ; small & amp ; claustrophobic room ; inconvenient bed ; loud music bar first floor could fourth floor late night . go . 
 Cool hotel great location 2 minor fault 	 really enjoy stay hotel , be perfectly place explore Central Park , Empire State , Rockerfeller , Times Square 5th Avenue , within walking distance . room cosy yet funky , although two minor fault are:1 ) light bathroom bright enough - could barely see apply make - up come back bushy eyebrow ! 2 ) towel rail hook hang towel , not dry properly use . would not wash often somewhere dry . 
 perfect hotel perfect location 	 first time stay New York hotel first plus ! nice welcome , helpfull , attend , ... room spotless , spacey ( stay Queen room ) , breakfast large variety choice hotel amenity ( pool ! ) perfect ! would definitely go back . 
 Good Hotel avoid room number number 205 ! ! ! 	 hotel great location , clean small nice room , medium size good breakfast ... first stay room 305 bar run music 2 am level difficulty talk room ... argument receptionist , could finally move another nice room fifth floor . we recommend hotel make sure room third floor … . 
 little gem times square 	 stay 5 night begin honeymoon . not expect great deal 3 * hotel heart Times Square , however , pleasantly surprised ! ! arrival , reception staff friendly helpful offer we help advice make short time New York . take elevator 10th floor , first impression hotel look bit & quot ; motel - like & quot ; neon orange lighting , deceive . room compact well design little storage area bed , plasma tv , dvd player , ipod docking station , telephone , aircon , iron , hairdryer , self - stockable mini bar , wetroom separate toilet . room well maintain clean towel daily . bed comfortable bed ever suspend high window look crazy NYC comfort duvet ! hotel offer we continental breakfast ( think room basis ) , yummy ... pastry sweet savory , fresh fruit , cereal , egg , tea , coffee , toast , juice etc . serve 06.00 - 12.00 ! pool really lovely touch soothe ache foot sightseeing ... complaint would temperature need bring degree ! sauna steam room ! pool clean , music playing , swim - up bar , twinkly light ... honestly feel part hotel many guest miss enjoyment , could not understand ? ? ! ! highly recommend hotel , location perfect ! A+ 
 Jan 9 2006 	 Great 	 really enjoy stay . clean room , nice people . close Times Square . everything need . 
 Jan 8 2006 	 Excellent Location Good Value Minimialist Accomodations 	 overall satisfied qt . other mention , mid - town location half block Times Square , ideal tourist activity . convenient Broadway , Rockefeller Center & amp ; Radio City , Fifth Ave , St. Patrick 's , short cab subway ride downtown uptown location . property try present trendy minimalist sort way . bar locate beyond lobby half floor adjacent swimming pool , seperate large window . visually make interesting space , strong chlorine odor quite noticeable lobby bar . the room small typical value orient hotel city , efficiently design . stay corner room 8th floor twin platform bed position perpendicular along outer wall room , small flat screen tv swivel kinda allow occupant view . furnishing small pedestal table , dorm style refrigerator . opposite end room large tiled shower great & quot ; rain shower & quot ; fixture , modest traveler aware completely open room curtain door . toilet separate enclose space next shower closable door . also good sized vanity / mirror closet bar hang clothe could conceal behind slide curtain . condition room average clean . find bed comfortable , surprising quiet room give proximity hustle bustle Times Square . seldom hear disruptive street noise , never hear anything adjacent room . another big plus free wireless internet access room . design prove comfortable despite small footprint , although other note expect live suitcase since storage space hang clothe . however , busy tourist look clean comfortable place stay great location competitive price , QT great value . 
 Jan 7 2006 	 nice pricey 	 5 1/2 yr old daughter surgery Roosevelt two night & quot ; apartment & quot ; hospital arrange we decide try QT last night see Travel Channel . call morning say room would ready could check early . time get ( 30 minute ) case going put we small room . keep bag go doctor 's appointment call say could original room , nice effort . stayed & quot ; & quot ; room daughter love bunk bed . , whole time . young would bit leery height ladder glad good time . pool look great not suit daughter stitch . not care dark hallway , make feel dingy room clean bed comfortable . keep hear trash truck outside night . stay 1207 . seem raise rate make sure printout online reservation . pay $ 300 originally say would $ 340 online show $ 295 still seem pricey even get coffee maker room . gentleman handle breakfast courteous tentative nice relaxing way start day . 
 Jan 4 2006 	 Bed Bugs dog 	 fiancee stay Hotel QT one many trip New York . aware hotel consider budget hotel , however level cleanliness shocking . when arrive unhappy cleanliness room , report front desk - shop . another couple chews gum , say well right it . we come back hour later , do . toilet dirty , duvet cover stain crumb floor . the next morning wake find bite arm leg . go pharmacy pharmachist indeed say look like bed bug bite . we return Hotel QT , contact duty managershe say would take care . return room decide would like move room feel thay really do anything . we tell Duty mnager morning shoould move we , could move full . the next morning awoke bug bite . again speak duty manager could move we full . the last night return hotel dinner refuse entry hotel bar private party . the party consist hundred trendy new yorker dirty outdoor shoe walk around hotel pool , sign outdoor shoe , hygienic . lastly departure meet general manger Dog lovely big pointer , run around pool area lick pool water , swim 24 hour . place would closed Ireland . notion customer care , staff appear lazy untrained , hygiene skills.dont go cheap , worth . 
 Jan 4 2006 	 worth 1/2 pay 	 realize try artsy hip - could least use quality material . overall shape place average poor : fray carpet , dent scuffed wall , etc . room fixture remind cheap junk buy Ikea , mention size room mean crawl girlfriend get bed . would stay , would recommend anyone . staff helpfull since not ask enjoy stay - assume care . 
 Dec 31 2005 	 Cool ! 	 hotel great location . could walk play easy get MTA . breakfast good ! great way start day . room small since daughter fine . stay room much . complaint put clothe closet hook room . fine need . safe frig . use . daughter love pool . well worth price . would stay ! 
 Dec 31 2005 	 great Great Great ! 	 Hotel QT GREAT ! location central Times Square Rockefeller Center . room wonderful . not even spend much time enjoy busy city NY . breakfast great , easy start busy day . room clean , spacious , provide everything hope . stay room 1102 . quiet , big , plenty room two . ny great city ! ! enjoy broadway show good anything . stand line TKTS booth 2 hour ... well worth wait . great place eat ... Sweet Tart ( Chinatown ) , Joe Allens ( Restaurant Row show ) , Lombardis ( Little Italy ) . reasonable place provide great food . wish still NYC ! ! 
 Dec 29 2005 	 fantastic time trendy QT 	 could believe crowd outside QT arrive late Friday night , step clear happen place . party pool , music thumping bar call we join , course . great place stay , location excellent Times Sq short stroll 5th Avenue , breakfast lounge great ( staff superb ) , room small bed one well sleep ( albeit 3 hrs night ) delight none less . great time much prefer atmosphere small boutique hotel large one find NY . would stay daughter parent , friend blast . note : friend ask closed bathroom ( basically door loo ) . 
 Dec 25 2005 	 Kicked Butt ! ! ! 	 ' ve travel around world alot ' ve stay many cool , hip place . overall experience QT OUTSTANDING ! ! ! ! ! earth catch trendy world appreciate great place stay hotel QT exactly & quot ; Cool Place & quot ; . oh way bed comfortable bed ' ve ever sleep try miss complimentary breakfast fantastic . 
 Dec 12 2005 	 many problem 	 stay Hotel last November one night . book France one night hotel well locate Times square indoor swimming pool cross bar . when check room ready early check problem . leave luggage come back later . we get room mentionne websibe fith floor note bed mentionne pool bar close evening private party . disappointment .... come back dinner , impossible sleep room noisy . lady reception unhepfull say problem noise come outside ... fact aircondionning room ... check bad night pay cash mentionne Visa credit card . & quot ; problem credit card guarantee & quot ; answer .. invoice return . request it . when come back France , surprise .... account debit night QT hotel via Visa credit card . I never stay hotel anymore . no service . staff incompetent . room ok . 
 Dec 7 2005 	 Hotel QT first - rate ! 	 stay Hotel QT Sunday November 13 Monday November 21.For budget hotel ( $ 200 night ) , without many bell whistle luxurious hotel , excellent choice stay NYC really enhance time city . here , point form , thing know:1 . ask room high floor , get without problem . ask early , get it.2 . stay Room 1301 , despite unlucky number 13 , great choice . corner room , apparently large room , find room perfectly adequate need - large king bed , lot space behind large curtain luggage , bar fridge ironing board , separate bathroom plasma TV.3 . room feel new we . sign wear tear . bathroom separate door ( traditional sense ) , vanity , toilet shower ( turn separate shower curtain . towel racks.4 . reception staff friendly , courteous helpful . apart forget request , happy.5 . breakfast FANTASTIC . convenient , well set , tasty - bagel , muffin , croissant , cream cheese , jam , butter , hard - boil egg , juice , coffee , milk cereal , toaster . take advantage - save time money . get early breakfast room ( level 2 ) fill guests.6 . location , location , location . literally around corner Times Square , West 45th Street noisy . Broadway show step away . go way towards Sixth Avenue , leave turn two short block F - Train subway , one convenient subway line , easy access line downtown uptown.7 . need stay extra day find reception staff accommodating.8 . comfortable sleep ever travel . bed amazing - extremely comfortable - room quiet ! stay . ask high room . love . 
 Dec 5 2005 	 mixed bag 	 stay week Thanksgiving . reservation make 8 month prior - March 2005 . 3 day arrival , call hotel confirm reservation room type : king bed bunk 2 adult one teenager . well , tell . upon arrival ( long day travel west coast ) tell room 2 twin bed . express surprise dismay , told & quot ; make reservation 2 people . & quot ; statement inself annoy us end , tell nothing could , room we . end discussion ( take leave ) far clerk concern . miraculously , present copy email room reservation confirmation , different clerk help we , cram king room cot first night ( really give we partial refund ) , move large room ( 1207 ) king bed twin bunk follow day . luckily , attitude encounter first evening extend rest stay . find staff satifactory , hotel manager ( Tiffany ) helpful husband take ambulance hospital one morning . Breakfast provide , make morning easy manage . room adequate , though already show sign wear , include ample amount mold tile grout shower ( UGH ) . love layout , though easily could drawer add room without compromise design . , one single drawer room . pain pull suitcase bed whenever want folded clothing . bathroom long counter ( probably 7 ' long ) could great feature . unfortunately one little light right sink , render 5 ' counter space completely utterly useless . grateful room upper floor . imagine stay 3rd 4th floor loud music lounge area . even though always go bed later 1 , bar still loud evening . location terrific we , show ticket one night stay . easy walk back hotel late night . subway couple short block away . shop 5th Ave . easy walk Central Park sight . good stay . however , express enough much attitude encounter check jaded impression hotel . would stay ? reservation . would recommend other ? likely . 
 Nov 30 2005 	 great hotel price 	 great location , price comfortable . 
 Nov 29 2005 	 Awesome ! 	 Hotel QT great catch .... excellent location right Times Square . staff friendly ... ( Madgeline , Eric , Lewis name ) . get 10 a.m. check - in not 3 , store luggage return . even get upgrade big room additional charge . room 1001 king size bed enclose shower ... enough space friend throughout whole 6 day . shower head great like everyone else mention , bed comfortable ' ve ever sleep ... be probably always overslept miss continental breakfast ! 25 California , friend interested NY nightlife club get great recommendation staff ... even give we vip pass Club Lotus Crowbar . $ 185 night , stay Hotel QT soooo worth ... really unique hotel ... trendy hip . would hesitate stay . 
 Nov 28 2005 	 good location ... 	 great location - near Citibank Starbucks , far subway . Front desk staff courteous . check early could not get room later afternoon . return get key , find upgrade . day leave , check bag front desk return several time add item bag . bag bring time pleasant employee return storage . our room clean small would off - put lack door shower ( see shower room ) . also , party pool area , noise speaker reverberate room . all , enjoy stay would return . 
 Nov 26 2005 	 great value money 	 cool little hotel exellent location time square . room huge , ' ve make good use space - case push bed plenty room move around - , not go New York stay hotel room ! breakfast also great - good free breakfast ' ve experience US.We find service helpful polite . report broken lightbulb first morning fix time get back later day . reception staff organise car back airport we . also find maid friendly , bar staff . bar not cheap , pretty much par local bar - set much nice local irish pub ! one nice touch - Thanksgiving come back day find free mineral water alka seltzer room help & quot ; morning & quot ; ! 
 Nov 22 2005 	 great stay QT 	 return 3 day weekend getaway QT . husband ( late 30 ) happy hotel . great modern design , comfortable room , fantastic shower , surprisingly quiet even though room opposite elevator ( room 1002 ) . breakfast good . location value can not beat ! front desk staff housekeeping so - so get pay . would definitely stay . 
 Nov 21 2005 	 Different Funky Fun Excellent Location 	 first impression , I m newsagent hotel , attraction Hotel QT everything little different quirky . first night stay 3rd floor noisy close street . ask move 7 am next morning immediately give key room 6th floor inspect see meet need , hotel would impressed negative feedback . the second room two single ded open plan shower pretty daunting sharing friend , however laughed agree sit bed view shower use it . the breakfast excellent definately nice touch go new york lot shopping sightseeing great leave hotel breakfast way . tell location never realise brilliant . come hotel turn right go past O'Lunneys pub step later time square , parent corner Swatch Watch couple store later amazing toysrus store . definately back new york next year hesitate book amazing quirky hotel again . one tip , do not drink hotel bar , 2 glass wine set friend back $ 20 , not even good wine , nice Irish Bar next door call Connollys , also lovely food ( staff could use injection friendliness ) last least many hotel restaurant could learn lesson genuine friendliness good customer service staff Hotel QT , could not say enough good thing 10 10 great people work . 
 Nov 20 2005 	 wonderful find 	 stay QT long weekend must say live previous review . room though enormous spacious enough clean . mini fridge free safe welcome feature compare many place stay ny . staff reception friendly although turn 3 pm check time allocate room one high floor . bar good place & quot ; starter & quot ; nightcap alike . will definitley top list NY visit . 
 Nov 18 2005 	 GREAT NYC find 	 find ! everything , courteous , friendly reception efficient check - out , terrific . love spare -- -yet stylish -- - look room . bed , pillow , linen top notch . room quiet ; sixteenth floor . six people could partied large shower . hear include continental breakfast , imagine styrofoam cup , Lipton tea , stale bagel . reality multiple choice , include well - than - average muffin , several kind fresh fruit , actual croissant , cereal , Stonyfield Farm organic yogurt etc . one caveat friend ' room bed orient one would crawl one 's bed buddy need arise night . think hotel great deal theater district , price ( $ 165 Quickbook ) good relative Times Square hotel . would definitely make return trip qt ! 
 Nov 18 2005 	 rude people QT 	 Bartender hotel jerk use strong language towards wife . complain manager , make we feel like fault request drink around midnight . do not call hotel rate , shop Hotels something similar good rate . another couple travel we get cheap rate , manager would match rate . ok location , 1/2 block time squ . not sure would ever stay . ton hotel say , look elsewhere 
 Nov 14 2005 	 great Place Many Reasons 	 spend weekend another couple pleasantly surprised . everything place great -- comfortable bed , surprisingly well - stock breakfast buffet , rate , location . beat , stay many place ( Novotel , Sheraton , Marriott Marquis ) 
 Nov 11 2005 	 great Great Great 	 Recenty spend four night QT daughter . Read review booking still go heart mouth first time NY booking internet . not spend time worry arrive tired flight warm friendly welcome . stay room 710 impressed soon walk door , clean , bright air conditioning add bonus travel weary 44 18 year old . room size adequate actual fact quite impressed size also plenty hang space clothe , storage case adequate seat arrangment set bed surround talk bed could pack bring home would ' ve never sleep comfortable bed one . side room point view would climb onto platform bed . although modern look rather high step get onto bed although ' m quite infirm yet day hard walk weary muscle small step onto platform would helpful note would not recommend hotel leg back problem could prove little uncomfortable getting platform . walk shower delight although one slide door either close front shower toilet never pose problem we . housekeeper come every day change towel bedding breakfast adequate . add bonus course hotel apart price slap bang top Times Square although near two irish pub noise Times Square constant night never enough stop good night sleep . be look affordable near everthing hotel one certainly would go back ( take little ladder ) . 
 Nov 10 2005 	 one good deal City 	 like , use stay pretty exepnsive hotel ny work pay ( Soho Grand , 60 Thompson , Morgans , Royalton ) , somewhat downgrade option personal travel , QT perfect compromise . stay 6 night recently vacation impressed trade design / quality price . room basic , nicely do , bed extremely comfortable pool / bar area nice touch ( despite smell chlorine ! ) . anything else though , think staff amazingly friendly helpful , much efficient less surly rude wannabe model / actor / whatever get recruit work premium NY boutique hotel . staff Schrager Hotels particular could take much needed customer service tip staff QT . 
 Nov 9 2005 	 QT - NYC 's hide gem ! 	 boyfriend stay QT 1 - 6th November . allocate room 1401 decent enough size , clean frill . read previous review QT Trip Advisor budget conscious , decide one we . almost whole day travel , huge rain - like shower comfortable though unconventional bed , need . staff friendly nothing much trouble . understand pool renovate due , normal dining area shut breakfast serve room 604 quite cramp adequate . food good good variety choose from . the hip trendy hotel could perhaps change layout bed . room one we literally climb get use bathroom night . well think aspect room . though cubby hole bed perfect store bag . safe , though rather bizarrely locate bathroom useful store valuable glad air - con system extremely efficient . the QT excellent location , friendly staff price well budget . would definitely come back hotel next trip NYC ! 
 Nov 8 2005 	 great use space 	 stay hotel 3 night last week . 's small hotel , great job maximize space throughout . lobby , pool , bar room small , yet sleek . little breakfast good zen - style music playing eat ( great help wake , pleasant way start day ) . price front desk expensive ( pay $ 6 call Rolling Rock bring room ) . seem little much ... beer ! location wise , be perfect want Times Square thing ... be 1/2 block away action ! nice able walk around midnight feel completely absorb city . room great ... towel rack though . hang towel & quot ; closet & quot ; rod . think bed comfortable bed would ever sleep ! actually spend lot time ... , think great little hotel price ( pay $ 165 ) , can not beat ! would definitely stay suggest other . 
 Nov 8 2005 	 tragically hip hotel 	 less block Times Square , Hotel QT unmatched location . hip design ( swim pool lobby check - in counter double grocery store sort ) certainly appeal young . the room stay , 1407 , spacious . fixture really modern hip design , rain shower , Neutrogena toiletry , see - through refrigerator , in - room safe , LCD TV , cordless phone really luxurious sheet . the safe room lock ' close ' despite door leave open . full 45 minute two phone call front desk technician come along rectify . LCD TV , though beautiful look , constant reception problem channel remote control almost totally non - responsive . perhaps need battery change , not bother . there absolutely hook kind bathroom area . nowhere whatsoever hang towel be take shower . perhaps hook not match hip design concept . despite minor flaw , would still recommend Hotel QT highly , hotel afford chance breakfast bar ? 
 Nov 3 2005 	 New Hotel NY 	 love hotel ! can not say enough . stay everywhere NYC . travel alot . hotel fantastic . # 1 - you can not beat price # 2 - the room good size ... ever stay Paramount Hudson . go try complain # 3 - fantastic Breakfast . continental . fresh # 4- comfortable bed . W Hotels guarentee sleep .. hotel QT could same . # 5- Plasma tv # 6 - space . thoughtful room planning . store luggage cubbys underneath bed balcony bench . also table put laptop . window open even ! ( room 1301 ) ( try park central- nothing fit bed- block ... luggage & quot ; & quot ; ) # 7 - great room Safe . know , every hotel one , fit laptop ? nope . do . # 8 - refrigerator . small convienient . ( Parker Meridian charge fridge ... $ 50 . fridge room not rent , can not move anything else charge item move ) # 9 - Tiffany reception . staff accomidate ( except one front desk girl should not answer phone , let make card key ) Breakfast Guy , Maintenance Guys , Tiffany ... great staff . # 10 - did mention price ? inexpensive , could long trip , enjoy without worry expensive room . already book another trip . 
 Nov 3 2005 	 great hotel 	 stay QT one week . first two night room 304 - direct disco rent private party ( pop star whoever ) . loud music ever hear - till 3 a.m. ! ! ! feel vibration bed . understand , & quot ; private party & quot ; way . even stylish hotel , first hotel nightclub ! want party room away hotel room . move high floor , ok . room small , clean breakfast excellent ! ! location great . staff friendly . stay - high floor ! 
 Nov 1 2005 	 Coolness personify 	 first entry Hotel QT double take work check look like newsagency counter , festoon funky postcard , newspaper packet gum set glass counter . Hilton hotel not . as reviewer say , hotel definitely maximise space room . room 2 single bed wedge sleep part room main bathroom / kitchen half . bed comfy , however would warn people look share room , make sure someone know intimately . Free Wifi , small LCD tv , funky glass bar fridge , iron , requirement season traveller . cost USD145 Times Square , almost impossible go wrong . the negative , check strictly 3 pm due full . probably common problem price . offset midday checkout . light shower ( walk & quot ; wet room style & quot ; ) almost non existant toilet . also door either , , share room know person * * well . in summary - somewhere would definitely , definitely say . 
 Nov 1 2005 	 get high ! 	 really great hotel . 's clean , ideally locate great breakfast . stay third floor ( rm 305 ) locate directly disco . disco operate 2 am night least noise absolutely DEAFENING . receive letter third night inform we unable use bar pool facility private party hold night . assure would finish 1 am . quarter three beg hotel something noise . nothing apologise claim powerless stop it . ! party hold popstar weak take care pay guest . stay , insist room high away noise great time , otherwise might find sleep day instead explore great city . New York might sleep , people hotel would well show guest bit respect . pay bed night , least expect able sleep . 
 Oct 31 2005 	 Location Location Location 	 spend 4 night QT 18 year - old daughter , many good thing QT , location exceptional . short walk 45th Street right middle Times Square , short walk way 5th Avenue . get subway station 3 minute walk catch r train get uptown downtown minute . room third floor right 45th Street street noise little difficult get use second night sleep fine . breakfast excellent - incredible value ! breakfast move lounge maintenance regular floor , pool close entire time there - also maintenance . bed comfortable every reviewer point towel bar next shower unlike other . room nice size miss least chair room traditional lobby place relax unwind long day . place not fancy amentie price would stay minute . 
 Oct 31 2005 	 great place money 	 Hotel QT great place money . clean , situated great part Manhattan , staff friendly . especially enjoy little bar treat kindly thoroughly enjoy bartender 's suggestion . room small , sleek clean . complaint bathroom tile show sign wear could use & quot ; Bleach Pen & quot ; treatment . 
 Oct 27 2005 	 QT - good value 	 friend fly one day go Cream concert . look reasonable room keep & quot ; New York $ 1,000 day & quot ; budget . hotel select primarily positive review realistic price . disappointment . clean room , large expect , great bed , casual competent service , great location . even receive call hotel warn pool would closed maintenance . nothing bad show hotel close ammenitie plastic sheet scaffolding . maybe place impress date , absolutely reservation offer recommendation . 
 Oct 25 2005 	 great ! 	 usually not write review come , . perfect . clean cool chic feel . hallways room seem little shady never problem . never take advantage pool wish . location great . half block Times Square couple block 5th ave shopping . be always thing happen around corner ( grand open Hard Rock Cafe Times Square Broadway Broadway ) . good anniversary ever ! 
 Oct 25 2005 	 great hip ` ` budget '' hotel 	 Budget pricing New York different city . the QT represent good value city - room spacious - show great - bed magnificent - beigel breakfast - great ! staff helpful . if really want pay $ 300 per night extra shelf room - go ahead - QT fine . 
 Oct 24 2005 	 best anniversary ever ! ! 	 40 - something husband spend 3 night Hotel QT 20th anniversary Oct. 6 - 9 . time live ! could believe hotel truly close Times Square , yet feel & quot ; tuck away & quot ; . check breeze . room 5th floor face 45th street . street noise , loud 11th floor Hilton New York ( $ 300+/night ! ) room definitely different , cool way . furniture , pad platform build around bed adequate sit tie shoe . sleep window , climb onto platform crawl across bed get side . big deal we - say 80 - something parent would hate room . other note , nowhere hang towel . bug go dollar store buy suction cup hook stick suitcase . also clock radio . staff friendly courteous , bed divine , whole atmosphere pleasant positive . another plus figure save least $ 30 breakfast every day , 2 espressos , bagel , egg , incredible granola huge glass fresh juice every morning . pool 93 fabulous degree , sauna wonderful .... still high trip , tell ? ? course , U2 Madison Square Garden Spamalot might contribute ! 
 Oct 14 2005 	 QT ... cool ! ! 	 recently stay hotel qt sept ' 05 delighted place ! 's true 's everyone ... we , young married couple , fit bill . lilke uniqueness funky decor cool style . bar / nightclub great lounging spot full day sightseeing . pool refresh especially hot day spend trek around great city . room need far concerned bed indeed comfortable . could see bed awkward elderly less mobile people get . arrive , fellow door invite also double duty doorman exclusive party find later party gwen stefani ! cool ! 's close time square right heart convenient see show search great eat . room quiet , request one high floor case street noise . review unsure would toiletrie plenty refill . minifridge great plus keep bevvie cool . use work room day ( tv 's machine need bring ear phone plug hear ) , never busy either . breakfast good choice coffee / tea / capuccino / espresso / muffin / croissant / bagel ( toast like ) /hard boil egg / yogurt / cereal / granola / juice / and assorted fruit . hotel consider & quot ; low service & quot ; want need available . boutique lot good stuff buy item pricey , course . extras bring price accomodation new york , qt affordable place especially consider great location tourist . , perfect choice we ! ! note : like mexican food sure head Viva Pancho one street ! 
 Oct 13 2005 	 would stay ! 	 husband 50 's stay Hotel QT 2 night . fine we -- one act age , may find hotel tad hip you . I wonder many people able see shower , matter I . this hotel people plan much sleep room , great within close walk distance theatre go . good night sleep good location good value -- Hotel QT perfect . would stay . 
 Oct 12 2005 	 fabulous 	 boyfriend recently spend 3 night QT birthday weekend . read review expect small dingy bedroom incredibly surprised open door large , bright , clean , modern room . regard towel rail room may new installment . 8th floor . space hang clothe room bed hide suitcase . extremely impressed happy . would recommend anyone . comment full young , trendy model type put . go range people late teen early 60 . something everyone . one last thing - breakfast ! fantastic . eat much little want . fresh coffee , juice , bagel , muffin - wonderful . hotel staff also organise car back JFK fix price save hassle cab . 
 Oct 8 2005 	 Excellent ! ! ! ! 	 return 6 night stay Hotel QT get marry New York . read review going seem quite positive , always wary get incase turn completely different . Hotel QT surpass expectation definitely go back go back New York . location wise starter can not beat . 50 mtrs heart Time Square , right next door two excellent irish bar , close metro station , bus stop , etc . the Hotel quite inconspicous outside , probably look like magazine shop someone look inside front window , however get appreciate cool actually go inside . check desk also sell magazine , drink etc , however arrival 1:30pm , give room straight away find staff pleasant helpful , something experience throughout stay . front door staff porter , even maid cleaning room , everyone always take time say hello good morning . on arrive room , give one front hotel corner building ( 1210 ) . room appear different size small size , however , perfectly adequate 6 day stay ( include get dress wedding day ) . parent room ( 1008 ) lot big size , however be not much natural light room toilet / shower face right onto room . we separate bathroom window . thing suggestion would make frost whole window top half be not frosted wait til windows steamed shower , incase someone binocular one tall building opposite ! ! addition smart flatscreen TV wall , room also dvd player use play CD 's tv . room fridge , although be not big , enough hold couple bottle 6 7 can juice / lager , etc buy front desk . also cupboard hangar , plenty room store clothe , despite drawer . also small safe room , free charge phone . the bed deserve separate mention , without doubt comfortable bed ever sleep . much even take note make mattress , want buy one . pillow quilt mix feather practically melt bed every night . probably be not easy bed get be not mobile , pad shelf round side , be not even gripe , something worth note . can not remember well night sleep life . the hotel also steam room , sauna , small fitness room ( two bike , row machine - TV 's front free weights- barbell ) . steam room particularly good , really help relax hard day shopping / walking . pool step , weekend DJ play pool area comfy pillow step look onto pool . pool small , swimming , although could get stroke breast stroke . also pretty cold . window one side pool get drink put tab , although people comment , price bite nearby irish bar , hey , get one two ! ! hotel also serve continental breakfast every morning brilliant eat much like . breakfast room crowd take back room . the staff encounter , mention , helpful . wedding day organise private hire limos , could not helpful . use google search need find somewhere , try well help much possible . all fantastic time definitely use hotel . concern get popular price go difficult get room . however New York , that s unlikely . will definitely back . 
 Oct 3 2005 	 Hotel QT 	 first let preface say extremely , extremely neat ! New York hotel usually make quite ill due age , cleanliness ( lack ) , pleasantly surprise hotel qt.pro * reasonably price * bed extremely comfortable ( pillow , comforter etc ) * Nice Towels * location - half block Time Square * friendly accomodate staff * clean * nice young crowd * nice atmosphere- pool / bar funcon * room small ( else new NYC ? ) * bathroom tile could use attention ( gross anything , nice look hotel , tile look old ) * pricey drink ( plan drinking bar , prepare shell 10 dollar rum coke ) , great experience . plan stay everytime come NYC 
 Oct 1 2005 	 Odd blend chic sparse 	 first enter hotel could not find front desk , not one . registration area double sundry store . indication unconventional nature hotel . come NYC business hotel reasonably price time year . enter room 11th floor , could not decide whether sparseness chic prison - like . ultimately , decide basic comfort . room large full third bed platform flat screen television wall foot . bed one comfortable sleep . in - room fridge plus . towel plush ( although review right lack hang peg ) unusual bathroom set bit uncomfortable first . end , one good stay ever NYC . another oddity -- in - room dvd player locate bench next bed . notice third day ! 
 Oct 1 2005 	 beware checking 	 beware checking ! hotel take credit card check , cash good enough . fraud problem credit card day leave bank put block credit card . take cash room think would good enough , would not rather cash ? check inform not accept cash checking , however could pay cash checking . 's difference ? ? probably would not problem would informed call reservation . sit lobby 2 hour , would not even let check room 3:00 afternoon work . daughter birthday suppose TRL MTV , delay , miss . let use third party credit card huge hassle fax authorization form back forth , not get check 5 pm . also approve credit card alot price room . add authorization $ 50 per night extra . 3 night authorize $ 900 . offer give $ 1000 cash checking would not accept . hassel getting check , get room . ask room view , get room view brick wall small window . window open like . ask move type room request ( show computer ) say book unable accomodate . room descibe review yes , bed great . staff nice , accomodating . wireless internet access slow unable anything internet code change daily keep call every day get new code . location also great describe review . starbuck across street Irish Pub right next door . Times Square block away . overall , not bad , will not stay . stay Times Square probably stay Ameritiana Hotel next David Letterman . let change room meet need problem check , also staff much accomodating . 
 Sep 30 2005 	 Perfect hotel romantic break 	 partner book 4 night stay romantic break . fabulous time . hotel great . amazing location , wonderful room ( # 411 ) , cool bar pool lobby , lesbian / gay friendly . , room not massive enough space complaint . clean , bed comfy , decor contemporary attractive , overall fab . look one floor plan would advise not get corner room - look tiny compare . pool not kind place go lap 's great lounging around . continental breakfast morning great staff friendly . agree ask advice staff ' google ' really nice . complaint pass phone message partner say plane delay , fortunately cause problem . wonderful time return next trip NYC . 
 Sep 29 2005 	 Boutique hotel NYC 	 return stay Hotel QT West 45th Street . hotel small describe & quot ; frill & quot ; hence look mini bar room , look elsewhere . room stylishly decorate . bed platform furnishing functional minimalist . like hotel NYC , room small designer make great use space . a continental style breakfast free find adequate . really cool swimming pool open onto bar cosmopolitan evening swimming bar ! one complaint would reservation / reception desk . staff competent area get feel need training room category check people ! overall , great location , nice room reasonably price . would stay .... 
 Sep 28 2005 	 Excellent location pool bar 	 Hotel qt convieniant spot . it literally take 3 min walk times square . the room clean well equip ( even mini fridge room ) hotel staff helpful . the pool warm like giant bath tub . you swim go bar time ! excellent manhattens ! also sauna wet room . the hotel extremely cheap consider facility location . I would recommend anyone . 
 Sep 25 2005 	 great everyone 	 spend 4 night although hotel funky clean brilliantly situate not think would suit everyone . although read review , not fully appreciate room would like . room 7th floor tiny window feel quite oppressive , bit like box . walk straight bathroom area feel like cleae tooth kitchen ! toilet shower alongside slide door cover one soundproof like kind privacy . agree bed comfy designer think practicality think year room re - design . the breakfast second floor , window seat practical . booth type seat along one wall , would seat 6 often enough seat everyone share guest inside would able get without disturb everyone else . seat low coffee type table ridiculous swinge chair fine realise swing not try sit drink cereal end lap ! say , breakfast nice , sure tibetan chant music accompanie though . this hotel definitely design young hip market although several old people . think designer give far much licence without consideration actual use . 
