absolutely 	 everything hotel excellent , staff could not enough overbearing way , arrive leave look brilliantly , room gorgeous , breakfast lovely , set beautiful , can not say enough hotel staff , would love stay .... 
 want leave ! 	 Montague wonderful , really list enough compliment express happiness facility service receive staff member . location extremely convenient - right next British Museum , Russell Square Tube stop block away , walk distance Covenant Garden , West end . hope return ! 
 Warm 	 use Hotel many time theatre trip , shopping sharing weekend friend Chicago . never fail deliver ambience , staff attendance round friendly atmosphere . the room beautifully appoint feel luxurious . I personally soft spot Jorge one Consierge 's funny , efficient , kind , hardworking . gem Hotel , Red Carnation Group proud 
 Jan 17 2007 	 Regular Visitor Montague 	 ' ve stay hotel time , ' m always put company work account receive special rate ! top , stay different 4 * hotel London last year , think offer quite informed view . overall impression can not beat attentitveness staff Montague . always receive attention , matter often stay , feel like million dollar leave . criticism , really , bit full - on , seem bit churlish give staff go much effort clientele . ( also , make pleasant change hotel could mention staff not give toss . ) last time stay Montague - October 2005 think - renovate number room , regular customer excitedly give free upgrade could try one . see photo , room exquisitely present immaculately clean . hotel comfortable walk distance Oxford Street action , quiet street behind British Museum therefore far enough away madding crowd ensure peaceful night 's sleep . general , room small , be typical London . hotel decorate ecletic mixture style , country kitsch gentleman 's club , clear unifying theme , except suppose English . food delicious . 
 Jan 17 2007 	 lovely hotel - excellent staff 	 must rate one good hotel ever stay : customer care , service , standard decoration . moment arrive make welcome - nothing much trouble . staff helpful pleasant , particularly porter , front desk bar staff . one small negative room small side . however make wonderful comfortable bed , duvet instead usual sheet blanket , wonderful decoration small touch hotel think add . brilliant . room locate back hotel view garden full unusual sculpture - usual view London hotel . also peaceful - would know central London . my whole experience hotel good can not wait return another visit . would fully recommend one . 
 Jan 15 2007 	 great place stay 	 stay one night Montague , night professional exam London . staff extremely friendly could not helpful . restaurant superb great food , , lovely staff . bar area - particularly conservatory back - great relaxing . room small would expect London hotel small mean , certainly comfortable . fantastic bath powerful shower . great night sleep pass exam ! thank much - highly recommend . 
 Jan 10 2007 	 wonderful Stay 	 London : Montague GardensDate : 16th - 18th December 2006reviewer : trip Advisor Member : Suffolk , ukthis true gem hotel , close British Museum theatre Covent Garden . Bloomsbury lovely area variety small bookshop browse large store Oxford Street close . also make great base walk tour London . room stay well decorate , clean quiet bonus London . cook breakfast hearty really set day . staff extremely helpful polite really help make stay wonderful experience . hope return Montague Hotel future . 
 Dec 18 2006 	 wonderful hotel 	 wonderful stay Montague . staff really friendly , nothing much trouble . room ( upgrade ) beautiful immaculately clean . surprised 4 star hotel , think deserve 5 star . much intimate large hotel facility could wish . concierge Alan helpful give we lot useful information help we get around make stay London . would definitely return . 
 Nov 30 2006 	 Great relaxed hotel ! 	 wife , mother law & amp ; stay one night theatre break . basically really fault hotel , right welcome reception area tastefully decorate room superb . really make extra special compare lot hotel London though friendliness staff - could enough we ! . Breakfast also great excellent choice locate lovely dining area . please keep standard ! 
 Nov 27 2006 	 fine experience Montague 	 spend Thanksgiving holiday well - appoint hotel . not start smoothly - give small room facilitate king - size four - post bed , large round table , practically leave we room turn around . request room change second day request accomodate right away . package include evening canape service every day , never arrive three evening without we call ask . receptionist apologetic , communication kitchen apparently break somewhere . a list pro con : pro : 1 . Bloomsbury room exquisitely decorate , fabric paneling , high ceiling detail support 4 - star hotel2 . common area ( lobby , conservatory lounge ) fabulously decored3 . shower absolutely one kind4 . hotel staff friendly helpful . learn bad experience canape , give we drink voucher compensation5 . dinner Blue Bistro restaurant quite satisfying , even limited Thanksgiving menu , surprisingly good . Con:1 . room , shower door close properly , bathroom easily flood two people take normal - length shower2 . room service deliver canape try experience , day day3 . king - bed bloomsbury room quite small , avoid four - post bed can . overall , hotel well situate short walk tube station ( Russell Square Holborn ) , literally backyard British museum . 
 Nov 18 2006 	 wonderful staff Montague 	 hotel deserve good review . the lavish decor may every taste clean , comfortable ; smallish ground floor room large bathroom , plenty stoage space , thoughtful extra like bottle water . main noticeable feature staff , other say - they fantastic . welcoming , friendly , helpful , obsequious fawning . restaurant manager go way help we concierge always hand need . full mark . , bit bargain ( London 's expensive term ) 169 inc tax double include breakfast great location . 
 Nov 11 2006 	 one good hotel experience 	 recently stay Hotel Montague Gardens . moment arrive , departure three day later , entire experience excellent every way . room charming , every detail attend , include tea coffee service en chambre . bathroom spotlessly clean , modern . staff particularly warm , friendly , accomodating . charming in - house pub , terrace overlook garden . hotel quiet residential street , block Russell Square around corner British Museum . despite , never people street , set generally quiet tranquil . recommend hotel without qualification whatsoever . would definitely plan stay next time london . m.b . 
 Nov 4 2006 	 nice hotel smokey lobby 	 nice hotel safe quiet neighborhood across street British Museum . discover reasonably safe route Regent 's Park running , find walk run London frightening experience due unfamiliar direction traffic flow confuse intersection . Deluxe King room rather cramp , nicely appoint nice garden view . glass shower door difficult operate , soft bath towel Target home . staff numerous , helpful attentive . arrive 10AM greatly appreciate use small guest room freshen store bag room ready noon . hotel 's restaurant expensive , find several reasonably price cafe nearby . find sit area lobby unusable due high concentration cigarette smoke . smoke drift lobby time . hotel 2 block Russell Square underground station , reasonable walk theater Trafalgar Square , somewhat remote Westminster Kensington . free red delicious apple available registration desk 
 Oct 31 2006 	 Utterley Charming 	 stay Montague 2 night October 2006 can not wait stay ! 's small intimate boutique hotel absolutley charming . decor stunning , room immaculate service fabulous , infact treat beautifully would think guest stay hotel ! . breakfast excellent , full english continental available , attentive wait staff fantastic restaurant manager , would breathe could . also go reception staff , housekeeping , concierge porter , extremely well mannered , polite pleasant . just wish hotel like everywhere , would never stay anywhere else ! . 
 Oct 29 2006 	 wonderful stay 	 stay 4 night early September - one Bloomsbury Suites special anniversary - disappoint . suite well appoint clean large bathroom walk - in closet . also non - smoking - important consideration choice hotel . hotel excellent location explore London - . note : north american standard suite would consider small . addition , suite also air conditioning , work properly - perhaps unusual London - welcome since weather warmer normal . we find hotel staff attentive helpful ; especially arrive prior normal check - in , departure early morning taxi require . use room service couple occasion find service food excellent - include actually remove tray afterwards . one night eat hotel restaurant - food service excellent . take breakfast hotel , since number local cafe vicinity , open early offer variety breakfast option reasonable price . the downside - hotel still allow smoke lobby ground - floor reception area - although nuisance , surprisingly ' bother we much . plus side , pleased fact restaurant non - smoking . find decent hotel London always tricky , case , warm memory enjoyable stay . London UK standard - level comfort service - would say price reasonable . would consider stay - definitely . 
 Oct 27 2006 	 wonderful experience 	 sound like people mixed experience , mine wonderful . arrive early , room ready within 20 minute . room small , nicely appoint , clean . bed comfortable . find service exceptional ( contrary ) , individual remember name , room number , previous order . pleasant . 
 Oct 17 2006 	 Chintzy Charming ! 	 agree post another positive report Montague ! stay sister hotel Chesterfield Mayfair find slightly superior 's reflect price . hotel good value ( especially get weekend deal include breakfast free bottle champagne ) .i guess like hotel , room size vary complaint size room . twin though bathroom not huge bedroom decent size sofa one end room . room bit chintzy side think probably parent like mine good nonetheless . room face onto road double glaze though road quiet central London . we breakfast hotel order room service one evening ( say early one morning ! ) . food lovely every occasion though hot buffet check subsequently top , often enough Sunday morning - get feel little understaffed . young lady supervise Monday morning run restaurant like clockwork service attentive morning , full buffet available time . a good place stay central London kind place would happily book parent , know would feel comfortable . 
 Oct 14 2006 	 excellent 	 truly one nice little gem London . really surprised pleased service . want indvidual , one2one personal service strongly recommend go stay . feel like stay small intimate Claridge 's . oh , want bring dog , treat like park right next hotel walk . really believe Montague gardens hotel allow dog stay even menue specially . Hope see guy not forget try afternoon tea ! ! ! 
 Oct 12 2006 	 Gem heart London 	 regular visitor London buisness find hotel like Montague real boon . tuck away british museum 's feel like pleasant backwater minute tube Holborn 10minutes theatre district foot .The room , although small well present comfortable bathroom high standard bucket hot water day night . the staff friendly helpful adjoining resturant great menu.lThere 's even free drink voucher night stay , welcome long day . highly recommend , keep good work . Alex . 
 Oct 6 2006 	 great little hotel 	 arrive Montague Gardens , impression book Bloomsbury room ( one nice new renovate one ) champagne room . unfirtunately case , must say effort reception staff find upgrade room absolutely top notch . give choice 4 individually decorate room settle one would stay weekend . room top quality bed incredibly comfy . ask . minor quibble place Breakfast time . word advice - want anything scramble egg , make order well advance . wait half hour day fry egg , time arrive look watch wonder would make miss trip ! overall , nice hotel suppose stay one refurbish room make special . 
 Oct 5 2006 	 staff fantastic ! 	 stay wedding go thought would make weekend . hotel great location - right opposite british museum . room clean although small , good change normal bland hotel room , ( get bloomsbury room - much well ) thing make hotel stand staff . charming helpful every way . shocker central london ! ! would def recommend hotel . excellent time . breakfast good . get really good deal two night inc breakfast bottle champagne bring room ready . cool ! ! ! room service lunch amaze good value ! ! taste nice ! ! def go stay . 
 Sep 26 2006 	 never 	 book boutique hotel & quot ; trip lifetime & quot ; London . make reservation June stay September . write confirmation stay . arrive appoint day inform us & quot ; overbooke & quot ; group would able accomodate we . we assure reception manager hotel upgrade room chain hotel close include breakfast . whisk taxi know happen . ten minute later arrive & quot ; chain hotel & quot ; ( close ) . idea book . furthermore , upgrade available , course , breakfast include . , humiliating experience ruin first two day London . 
 Sep 18 2006 	 Superb ' Notting Hill ' like set sit terrace . love hotel . 	 stay night upgrading room suite great move . room superb service helpfulness politeness staff . problem encounter ( first time ' ve ever complain favourite hotel ) room service late food cold time reach we . minor blip otherwise unblemishe fourth / fifth visit , yes , return . Mark , Bromley , Kent 
 Sep 16 2006 	 Great Location Nice Hotel 	 wife stay Monatgue five night begin September 2006 . flight arrive early , hotel morning . ask front desk could hold bag check time , agree , tell we seat see could find we room immediately . let we check almost 5 hour early , cost we . long flight , great news . I read many review concern size room . room 319 , nice , plenty room . everything well maintain clean . location hotel great , brtish museum around corner . Russel Square tube station less 10 minute away . Bloomsbury neighborhood great , happy location . food drink hotel little high price , many good restaurant within walking distance . staff extremely friendly helpful , would stay Montague . 
 Aug 21 2006 	 Great Location 	 yes room small . small . still quite comfortable $ 200 US great bargain . ( need three room ) . believe could something large bit more . very friendly helpful staff . excellent location right across street British Museum . walk distance Soho Covent Garden . 
 Aug 18 2006 	 not palm boxroom 	 hotel ok not really worth praise lavish upon previous reviewer . I stay numerous occassion make sure get descent sized room vary great deal size . so - call King size Exective room , pole - vault end bed get , room small . typical size american , would not even get room ! 
 Aug 7 2006 	 good service London 	 second time stay Montague 25 year stay various London hotel , one come back time time again . above , staff attentive , courteous polite - bar staff always remember exactly drink order night . uncle order spring roll lunch arrive contain pepper allergy . immediately waitress offer change order fuss extra charge . the street Montague locate quiet generally museum buff 100 yard British Museum . Covent Garden walk away - must Sunday lunch one sit listen opera , classical music wathc knife throwing ! standard room Montague little small compare provincial country hotel , well decorate contain everything one need . suite large course overlook garden back . I need stay London hotel - find gem ! 
 Aug 4 2006 	 wonderful stay 	 Montague live review read site booking . location perfect , right British Museum short walk Russel Sq tube station . room smallish expect , comfortable . triple glaze window , comfiest bed trip , bath robe , beautiful bathroom accessory . concierge helpful , suggest place go , restaurant , plan walk tour London different sight London . would definitely stay recommend hotel anyone . several hotel road look good walk , might want check website search street address . 
 Aug 1 2006 	 # 1 hotel service 	 end Trafalgar tour move Hilton Olympia Montague glad ! montague perfect service make we feel like royalty . brekfast wonderful 2 week english breakfast decide order menu charge . lounge relax piano player sang play great jazz tune . location perfect walk back Covent Gardens play theater night feel safe . hotel close thing want see quiet side street face British Museum . can not wait return ! ! 
 Jul 21 2006 	 Montague Gardens suberb ! 	 totally charming , immaculately maintain , quintessentially british hotel locate heart Bloomsbury , literary heart London .. around corner British Museum .. quiet street ( likely quiet street London ) right Russell Square ( within walk distance British Library , Covent Garden , Soho , Oxford Street , University London college , West end theatre ) .. beautiful , quiet , charming boutique hotel .. Overlooks Duke Bedford ' private garden .. Russell Square tube station 4 - minute walk .. excellent service .. immaculately clean ; even scrub skylight daily . room virtually soundproof .. restaurant delightful .. room lovely , comfortable , large London standard . we visit city 5 - 6 time year business pleasure , make London & quot ; home & quot ; . 
 Jun 29 2006 	 great hotel ! ! 	 return weekend stay Montague . ideal position round corner British Museum . staff extremely helpful seem genuinely cheeful - make well inform room upgrade suite ! ! breakfast lovely bar outside area decorate beautifully . thoroughly enjoy stay would definitely recommend anyone think stay Montague . 
 Jun 5 2006 	 nice 	 think nice . clean , comfortable , good condition , convenient ( across street British Museum ) , easy walk Charing Cross , Westminster / Whitehall site . single room , pretty small ( enough lay suitcase side next bed ) comfortable cheerful ( floral decoration ) . good quality linen , bath soap , etc . staff helpful . pleasant common room . restaurant look good rather pricey , not eat many yummy take away place along Shaftesbury . US traveler , turn expensive side , look absolute cheap housing , may ( although special red carnation hotel web site ) like concerned photo web review even $ 150 / night hotel go like want something pleasant within walk distance many thing want visit , might like . area nice - course use caution anywhere , single woman would walk back 10 - 10:30 night problem . would stay without hesitation . 
 Jun 2 2006 	 Attention Detail 	 return six night stay Montague , pretty , well - locate country style hotel . throughout stay , impressed staff 's attention detail , welcome bowl apple front desk , bottled water room , comfy robe slipper provide use , uniform cheerfulness helpfulness staff . upgrade junior suite overlook quiet private garden . room London standard huge , price fairly . bed extremely comfortable . short walk green lovely Russell Square Piccadilly line easy connection anywhere London . also enjoy cozy bar , perfect place unwind drink long day . stay property own Red Carnation include Rubens Chesterfield , think favorite . 
 may 8 2006 	 wonderful Choice ! 	 want romantic stay London choice ! husband spend five night London want romantic well situated hotel could walk everything want see . perfect choice . upon arrival staff friendly welcoming , upgrade we suite wonderful surprise plus although arrive 7 am night flight room ready we . the room beautiful clean everything could hope ( shower see believe ! ) . spend day walk everything want see return staff helpful question sight , restaurant booking show . one occasion call front desk extra bottle water whomever bring must run arrive door two minute hang phone . needless say service hotel excellent . do favor stay hotel , will not sorry . will back next time be London . 
 May 4 2006 	 good time bad time 	 check hotel , could not happy experience . room pleasant ( yes , little small , London ) everyone staff extremely personable helpful , bountiful tasty breakfast great location . perfect stay troubling little episode regard miss bag . we group eight family member stay 4 room . day checkout tip bellman approximately $ 18 collect luggage 4 room 10:00 hold private coach arrive 12:45 pm quick visit British Museum next door . come back 12:30 pm confirm bag present group together lobby . transportation arrive , move collect bag load bus , bellman insist we . arrival Oxford , retrieve luggage find husband 's bag miss . call hotel explain situation , take responsibility problem say could ship courri Oxford expense $ 150 . explain confirm bag other 15 minute prior departure gentleman ( Mustafa ) say ask everyone bag one claim . reality , ask 2 member party 8 , & quot ; bag & quot ; & quot ; know 's bag & quot ; , irrellevent since bellman collect bag room know room collect . hour intense , polite , blood - pressure rise discussion , Mustafa say would call back . shortly say politely would bag within next two hour . thank warmly respond & quot ; 's trouble & quot ; . happen ? ? ? long run , would stay ? yes . would recommend hotel ? yes . eight us enthral place & quot ; incident & quot ; settle problem fairly end . 
 Apr 24 2006 	 love montague gardenslondon england 	 couple maryland , recently spend six wonderful day london . one highlight trip stay montague gardens hotel . moment enter hotel greet courtesy exceptional care . suite occupy comfortable clean . service exceptional . help receive planning travel throughout london also exceptional . also enjoy service food english breakfast table . would recommend hotel without exception . also location delightful - close enough action also quiet residential area lovely square fill garden full bloom . lucky enogh stay know & quot ; truly enjoy wonderful hosptiality . 
 Apr 22 2006 	 Everything Relative 	 Montague nice , relative 's price location . small , well - kepthotel room quite small , expect spend much time themunless use cramp quarter . get good price Internetbut upgrade immediately since tiny room allow move . even upgrade give barely enough room sit chair next bed . thenicest room cost much large , full service hotel . want small andpersonal , Montague good ; not compare grander hotel . 
 Mar 27 2006 	 Sumptuous Treat 	 step lobby Montague instantly transport another era . quintessentially british hotel , ooze understated charm elegance . sense calm emenate black & amp ; white toile fabric wall & amp ; tentlike ceiling lobby , tease eye peek next parlor go explore . treat await . long heavy floral drape , dripping fringe tassel , elegant fireplace , could not cozier . beatiful rack paint teapot add feel warmth . stay deluxe king room large ( desk & amp ; chair , armoire ) decent sized bathroom . window look lovely little garden . also stay Montague follow week , room 110 special Bloomsbury Rooms . wall cover gorgeous red fabric repeat long drape hang 12 ft ceiling . room considerably small , completely functional , desk & amp ; chair comfy velvet cover large chair corner . bathroom essence functionality , high counter build around two wall , marble tile , rainhead shower . montague several area relax , include sunroom lounge nice bar lounge serve decent enough drink . staff exceedingly helpful , maid service completely unintrusive hide front desk answer question quickly genuine interest . location , not think go wrong across street side British Museum , 5 min . walk Oxford Street , 15 min . walk Trafalgar Square lot pub restaurant Bloomsbury neighborhood . simply wonderful . 
 Mar 20 2006 	 wonderful service lovely hotel 	 want take father London celebrate 80th birthday never , want treat bit luxury whilst . two single room weekend cost £ 99 bed breakfast whilst room compact , everything need spotlessly clean . staff could not do help polite . eat evening meal hotel good , although helping not huge . breakfast would expect . hotel central get around London - would definitely stay . Dad absolutely love ! ! 
 Mar 2 2006 	 great location relax hotel 	 nice location Russel Square . piano bar breakfast room great . breakfast drink expensive though , get good last minute deal hotel price represent great value . room syae ( time ) somewhat variable , nice small hotel . 
 Feb 25 2006 	 great boutique hotel 	 & quot ; first timer & quot ; London prior trip , want place would secure safe walk night . want quieter area London close enough attraction want see . choose hotel cater female traveler travel alone provide extra lock well female maid room service server . hotel & quot ; gem & quot ; stay return London future . the Montague Garden intimate boutique hotel rate Four - Star Deluxe RAC AA . five Crown Silver Award English Tourist Board . Overlooks seclude garden square include private conservatory . guest walk Covent Garden , West end theatre well British Museum locate across street hotel . I superior double room look lovely garden . bed comfortable , temperature gauge keep room constant temperature , towel bathroom thick , thirsty . many amenity include room safe , web tv ( bit difficult see resolution poor bit pricey 7.00 bps one hour use ) , mineral water , blow dryer , iron trouser press , nice bathrobe use stay . excellent room service well . there sit room ground floor one may entertain guest 3 separate occasion . glare stare staff matter fact , Mustapha concierge , step forward snap picture two we . like entertain home . staff competent polite , go way assist making stay memorable one . another unique item hotel provide room never see , full compliment business implement scotch tape , stapler , pair scissor , paper clip well plain envelope , pen pencil . come handy wrap gift two ! Montague lovely high tea reasonable price , rival many upscale place offer high tea London , also Blue Door Bistro restaurant dinner Chef 's table kitchen ! cool ? 
 Jan 29 2006 	 good value money 	 choose hotel basis generally favourable review , location price disappoint . friendly efficient service , clean , well decorate date room bathroom ( contrary previous review , normal tv free - sad state affair absence free music channel mean disappoint ) . yes , room large job . breakfast fine , bar warm atmosphere . location excellent - relatively quiet easy walk distance tube centre town . 
 Jan 8 2006 	 good location 	 & lt ; pretend & gt ; 4 star hotel & lt ; used & gt ; . good service exeptional would expect ; & lt ; DE LUXE & gt ; call double room small narrow ( guess normal double ) , fridge free music / tv .. u 2 pay 4 price r quite high . consumpte sheet really comfortable bed plus noise come somewhere hide fan disturbe nite switch . window could open 20 ctrs .. btw room clean room service fast . electric adaptor bring . right price per nite £ 50 . 
 Dec 31 2005 	 Lovely Hotel - would highly recommend stay 	 upon check - in advise upgrade Deluxe room , face garden . door room open surprised see staircase , give room great feeling space , pleased reading review small room . the hotel fault service cleanliness . opulent decor make feel little bit special . there traffic noise due stay garden facing room - would know centre London . we would highly recommend hotel definately stay next trip London . 
 Dec 16 2005 	 exactly expected 	 read several previous review prepared room size . yes king size room small comfortable clean . garden room also quiet . hotel well staff , efficient courteous . location - superb . good restaurant , theater shopping within walking distance . will back . 
 Dec 15 2005 	 real find 	 Montague Gardens Hotel truly lovely hotel . the service wonderful - everyone friendly welcoming . ambience great - especially evening ( cosy atmosphere ) .The location ideal - close British Museum , Covent Garden Oxford Street . way , check Christmas decoration outside hotel - can not fail daze splendour . 
 Dec 1 2005 	 nice room tiny 	 hotel okay husband . pricey size room . room small crammed king size bed . literally crawl across bed get around one another . room black white , modern . pillow awful , neck hurt day afterwards . nice touch clean . tub nice deep shower come like rain ceiling . plus since anniversary bring we champagne truffle , nice . otherwise would stay , price , find much well place London . though room sleep sometimes take break , frustrating deal small size . 
 Nov 29 2005 	 Wonderful hotel 	 hotel clean , staff helpful friendly . 5 star hotel . get early ill , room ready , luggage room matter minute . staff totally go way help answer question . hot water shower , great room service . resturant 's hotel excellent , great food ! afternoon tea really good ! first trip London hotel make visit easy . go back return . decor cozy nice . 
 Nov 29 2005 	 must 4 star hotels lover 	 hotel MUST LONDON ! breakfast DELIGHT ! classy excelent service ! certainly come back ! 
 Nov 26 2005 	 fourteen year outstanding stay 	 stay regularly business bring many senior staff european US operation . lovely boutique style helpful staff . bedroom good ( must try almost ) clean . impressive even & quot ; back room & quot ; staff greet warmly , genuinely want help know job . good menu , want something else ( e.g . & quot ; could omellette room , Orange dessert & quot ; ) simply oblige . fourteen year far -- - hope shall continue . 
 Nov 25 2005 	 bad 	 stay three night first trip London . get reasonable rate expedia . one negative comment , staff exert lot pressure guest spend money hotel . budget clear desk staff . still go available upgrade $ 75 per night , etc . tired travel Paris want rest get start see city . reject upgrade , start dining option offer make reservation offer paper delivery fee . overall get sense budget traveler welcome . even door staff seem disturbed want call taxi . advice hotel make discount rate available expedia book agent . the positive : really nice little room good bed decoration wife adore . location fantastic . walk almost everywhere : british museum , Covent Gardens , Soho , Chinatown , Trafalgar Piccadilly square . tube far away need . neighborhood pleasant non touristy . great place retreat night . sure would stay hotel , would stay neighborhood . 
 Nov 8 2005 	 Average 	 stay Montague business trip August 2005 . arrive evening reservation quiet double room face garden one upper floor . get tiny double room face street ground floor ! ! take 40 minute middle night get appropriate room . room well equip size ok travel alone . unfortunately , room quiet hope . despite fact face garden disturb noise a / c outside window . room - maid well staff desk unfriendly - maybe young - look . concierge charge arrive friendly helful . 
 Oct 15 2005 	 Real Gem 	 wonderful stay Montague – kind hotel . suite , Duchess , charming – even well promotional picture . week feel like live London . second stay hotel . four year ago could stay economical room , small reviewer note . however , could afford lovely suite – worth . general Bloomsbury note tourist class hotel . thus , Montague may overlook consequently bargain . tourist hotel north away Montague . Montague perfectly situate theatre Soho without noise theatre district . quite street ; back room private garden . good combination location ( theatre ) location ( quite residential . ) ' stay boutique hotel . well room Montague worthy class . small room give location good service . room lovely individually decorate distinctive London & quot ; traditional & quot ; style . 
 Oct 11 2005 	 Montague Gardens ' almost perfect every way ' 	 wonderful six day stay Montague Gardens . location could better : across British Museum within easy walk distance theatre district , Covent Garden , Trafalgar Square . also locate less - traffic street , noise never issue . room beautifully decorate amenity ( hair dryer , cushy bathrobe , internet access ) . bathroom nice roomy room bit small . issue we since busy experience London ! service excellent ; everyone willing able help request typical non - pushy english way . quick bite eat theatre one night excellent . like Mary Poppins , & quot ; almost perfect every way & quot ; . 
 Sep 16 2005 	 absolutely fabulous ! ! ! 	 absolutely good stay ever ! could not want anything ! staff helpful pleasant hotel look top notch ! food even excellent restaurant ! terror bombing , thing could go haywire . staff still professional always help people street call loved one wash W.C . would go could afford . simply magnificent ! ! 
 Sep 16 2005 	 great experience begin end 	 expect small room base previous review friend advice travel Europe . pleasantly suprise room plenty space nicely decorate . service fantastic front desk , concierge staff , housekeeping lounge staff . food good expensive . although high tea reasonable compare usual tourist trap . the location perfect taste , fairly quiet street University area . would definitely stay . 
 Sep 13 2005 	 Nice Hotel 	 much previous review target , well travel rating : location : good , close British Museum Covenant Garden . b+rooms : small , bed semi - comfortable . bathroom nice . clean . b - food : excellent , expensive . hey , everything else London . BStaff : nice , helpful . A+Overall , money would say solid hotel , excellent . would stay , would likely try another place get different flavor . know lot people also go Paris London stay Hotel Therese enjoy greatly . 
 Aug 25 2005 	 lovely 	 love stay Montague . service , presentation accomodation well exceed expectation ! room beautiful -- complete little couch , king size bed ( COMFY ! ) , spacious bathroom . robe & amp ; bottled water nice touch tire flight heathrow . the British Museum walking distance -- -as bus station take London . enjoy hot buffet breakfast every morning , would recommend include price room -- -for little extra . dinner fine , well option locally . ( great little greek restaurant beautiful courtyard block museum ... ) staff predominantly french -- -some language barrier . , attend every need . could not happy . 
 Aug 8 2005 	 business hotel ! 	 stay Montague week business trip . would expect read review & quot ; internet service room & quot ; mean broadband . poor costly assumption . know well business tripping way London time , find reasonable broadband small fortune night rare ... not call double check . say be get in - room broadband end August ... would call . also , ask charge . say flat charge ( 10 pound ) per 24 hr period ... often mean single connection . connect disconnect seval time day ( go meet example return later ) , could get hit 2nd 3rd charge one day . , spend every wake hour not meet conviently locate Starbucks right across form entrance Museum . 30 pound unlimited access 7 day . fair sum ... unfortunate pay quite lot money room lovely hotel essentially nothing sleep . hotel bar / restaurant quite good , EXPENSIVE ... even London standard . staff spectacular . issue waiter bar . seem really stuffy , much fun . relax , guy ... tip improve ! hope soon facility price give front house service staff reasonable property pride . will not back ' m confident broadband status , afford large room . clean nicely decorate , tiny ! 
 Jul 31 2005 	 mother wonderful stay . 	 read many review London hotel , book four night Montague 74 year old mother travel alone . age health conditiuon , also limit English , concern , send e - mail hotel one day arrival , ask make sure could get quiet non - smoking garden - view room , also talke extra good care . really expect reply e - mail , Concierge , Mr. Alan Frangleton , send reaply e - mail assuring would take extra good care mother , also send follow - up e - mail mother 's departure . impressed . mother say Mr. Frangleton take care personally , quite cultural experience treat like upper - class english lady Mr. Frangleton . strike classic english butler type feel movie . aside impressed level service provide , mother love room face cortyard , though little small , fact newly remodel large bathroom plentiful suppy hot water . also impressed quality presentation food serve restaurant . I would like stay Montague one day myself . Yoko Miyamoto 
 Jul 28 2005 	 good thing . . .small package 	 room small . . . , say . every way , nice hotel . staff terrific , room well appoint air - conditioning work well ( give London ) . location great , next door British Museum . 
 Jul 13 2005 	 Charming hotel get large room 	 stay Montague Gardens four night , pre - cruise . arrive typical cruise luggage , say , lot . hotel wonderfully convenient location , Russell Square , block British Museum , easy walk distance Russell Square , Holborn , Euston Tube station , bus stop across street . would hard find accessible central location . we book directly hotel , choose standard queen room , Early Booking Discount , include full english breakfast two , 109 GBP per night , relative bargain central London . hotel make series , believe , georgian era townhome convert single hotel . restaurant bar area premise pleasant public room . lobby area compact efficient . breakfast tasty plentiful , wonderful coffee fresh squeeze orange juice , scramble egg , english american style bacon , fruit , cheese , pastry , toast , sausage , variety hot item . staff international , attentive , pleasant , eager helpful . provide converter assure laptop computer would not problem , staff not sure simple adaptor would sufficient regulate difference power . with positive , must add room small crowd . virtually draw space , barely enough room closet store bag . ample closet space hanging , closet quite narrow . great deal furniture small space . queen bed , two night stand ( one tiny drawer ) desk three drawer , large space contain set make tea / coffee , refrigeration , unusable kind storage , three drawer desk occupy affixed hair dryer , two huge phone book respectively . small round table two chair jam remain space , tv top dresser . literally impossible walk desk bed anyone sit either chair table desk . the bathroom adequate size , although tub shower , rather ineffective glass shower deflector . water spray around , , past onto floor , however , apparent everyone mop , water damage panel around tub sink . robe provide towel linen acceptable outstanding quality . the Montague great location , service quite good . go back , would go large room , face garden rather street ( degree street noise ) would still go hotel 's web site wonderful special , also web low price guarantee . 
 Jul 12 2005 	 one bad apple 	 stay Montague 2004 wonderful stay . reason book hotel take elderly mother trip London special treat really need dad die October suffer stroke . arrival total disaster . room take we ready dark oppressive . ask room change one ventilation . tell desk clerk would see left lobby , time mother feel quite ill transatlantic flight . everything would probably alright one senior employee interfere . remember fancy title introduce , middle level manager something , insist take room want reason neither anyone else hotel seem understand . man rude , crude impolite . finally able get we change light , bright room exact revenge keep we wait hour . know wait unnecessary head housekeeping , lovely woman , appear shocked treatment say could room ready 10 minute one informed problem . imagine hotel would allow man work customer . none staff seem like appear downright terrified . employee feel bad way treat lovely we , ordeal much enable we enjoy stay . back . return London stay Rubens receive wonderful treatment . suggest go instead Montegue sort management problem . 
 Jun 27 2005 	 WOW - hotel ! 	 stay 3 night one Junior Suites , definatly worth small extra charge . room large , Bathroom . sink , jacuzzi bath good power shower . evening get canape ice deliver room along evening turndown service . business fax room . want quite night complimentary use DVD 's CD 's . service second none , attentive without & quot ; face & quot ; . breakfast fantastic , really set day 's sightseeing . also eat Chef 's Table restaurant one evening . well look food die . small critism Montague tea coffee tray . locate tv cabinet Minibar , great keeping sight , however want cuppa , either empty flower water side table empty thing desk no - where else place tray . location practically Oxford Street excellent . take we 10 minute walk Ivy 15 Covent Garden . 
