great 	 stay Carriage House 1 week Halloween 09 . return hotel 1st visit 2005 impressed upgrade room hotel receive . book 2 room son come we room large comfortable . reception area also renovate good quality furnishing . staff helpful courteous . visit Utah Death Valley whilst stay time , easy day trip . lot building work carry strip Monte Carlo Bellagio hotel ( far Carriage House ) make area dusty . also entrance Harmon Avenue strip change , not much problem something aware drive Vegas . Vegas fun city plenty , Carriage House 5 minute walk strip give welcome bit peace quiet turn night . hotel could benefit small bar restaurant strip close 's essential addition management make . would definetly stay Carriage House retune Las Vegas . 
 Sep 16 2004 	 well expect ! 	 husband stay Carriage house hotel 1 bedroom suite week ( Aug 28th ) . arrive late ( flight late , miss connect flight , take two connect flight instead - hate fly ) , staff helpful . luggage visit Chicago finally decide join we hotel 3 am - front desk call let we know arrive request ( & quot ; sure ? & quot ; ) .Suite clean daily not dish - 's like cook holiday ! think bowl cereal adventurous get . full kitchen helpful - keep beer water cold . location hotel good . view bad - construction MGM residence go behind ( view ) , construction Marriott timeshire front . hotel less accross Desert Passage Aladdin - easy access big margarita La Salsa . also next MGM back - 's long walk 's 100 degree shade big blister foot . room right level Monorail - actually work first day , not hear . got ride - bad buy family ticket never get use remainder ( 2/3 ) trip ! hotel decent cable tv free HBO . also provide shuttle serve to / from airport grocery store free charge ( pre - booked ) . restaurant upstairs suppose good , never try never mood italian food there . would definately consider stay . 
 Jul 15 2004 	 great time Carriage House 	 stay Carriage House June 10 - 15 , 2004 . wonderful time without kid couple day ! ! staff great facility well maintain housekeeping maintain towel pool . minor note ... pool bit small people use ... especially since several family multiple child . go inside pool avoid diving splashing kid .. ( deserve take away perfect rating Carriage House ) would hesitate return ! ! 
 Jul 6 2004 	 great place stay 	 stay Carriage House end June . place wonderful . although wife miss casino lobby proximity Aladdin MGM keep happy . think place rate high 3 star get site . cleanliness , amenity , thickness towel room pool seem place hotel high rating . desk housekeeping staff friendly take care every need quickly . Joey 's Bistro Restaurant top floor excellent , great food reasonable price . master suite separate bedroom king size bed full kitchen . pool never overcrowd every Vegas resort ' ve . definitely go Carriage house . 
 May 5 2004 	 week Vegas 	 wife stay week Vegas 4/24 - 5/1 , 2004 . timeshare exchange Carriage House . great place spend week really ' home away home ' . one bedroom unit could sleep six people , though think would 2 many unless child . full kitchen prepare many meal . clean locate 1 1/2 block southern end strip ( across street entrance Aladdin 's Desert Passage shopping area ) . nice pool generally quite pleasant place stay . quiet always look forward end busy day ( night ) refuge hustle bustle Las Vegas general strip particular . though thorougly enjoy see light show hotel along strip , like able get away Carriage House grow weary . Las Vegas note gambling , casino neon exciting . however , miss Valley Fire State Park hour northeast city . spectacular , otherworldly rock formation . quite contrast city light glitz . another location even close strip world away would Red Rock conservation area locate 20 mile west Las Vegas . also provide terrific natural beauty . Las Vegas also interesting museum worth trip time . visit Natural History museum exhibit feature dinosaur , african creature , Nevada wildlife world wildlife . locate next museum Mormon Pioneer Park . location restore mid 19th century Mormons first settle . slowly surely site restore reconstruction old mormon fort . couple wall stand way . another museum visit Nevada State Museum & amp ; Historical Society Lorenzi Park . museum display regional history area along earth bilogical science exhibit . time visit exhibit old retire Vegas neon sign early era 's . first trip stay Vegas length time . amazed mega resort different theme one . take experience Las Vegas like Disneyland adult resort / casino ' land ' . terrific time . 
 Apr 10 2004 	 carriage house right 	 wife stay Carriage House Spring Break March 04 . call confirm reservation happen mention 25th wedding aniversity . get room box chocolate . room simple quiet . perfect sleep quick shower show , great price . spend money eat great resturant show . thank carriage house . 
 Apr 5 2004 	 great Stay Carriage House 	 get back Vegas stay week carrriage House . four we share one two bedroom two bathroom room roomy comfortable . location convenient Aladdin MGM . able walk almost anywhere strip also front desk great call cab we . although front desk personnel could nicer , stay pleasant . however , good part Carriage House great Joey Bistro top floor . great italian menu great happy hour . Greg , bartendar good ! probably young people early 30 's . 
 Mar 28 2004 	 recommend 	 choose Carriage House review , disappointed . good location , easy access parking , huge clean room , satisfactory pool , good advice staff - good price . 
 Mar 6 2004 	 Great Hospitality 	 14 member family spend week Carriage House May 2003 attend nephew 's wedding . make feel welcome staff , accommodation great location excellent . hope return next year , use RCI timeshare exchange . 
 Feb 1 2004 	 Loved Carriage House 	 return Christmas & amp ; New Years stay Carriage House . love . quick check . beautiful full sized 1 bedroom apartment . could move . love fact quiet casino & amp ; peaceful & amp ; tasteful lobby return craziness strip . restaurant ( Joey Bistro ) roof good . Bobbi kick & amp ; help ticket might need . definitely return . 
 Jan 21 2004 	 Best Value Strip 	 recently stay Carriage House ( 1/16/04 ) two night terrific . half block side entrance Aladdin . drive free parking lot , park right front , walk immediately get service reception desk . long line people , jangle slot machine , long trip hallway hallway elevator room . in fact , upgrade we complimentary suite , charge - guess room . huge kitchen , den , bedroom bath big walk shower . within ten minute unpacked ready go explore . rate comparable seedy hotel directly Strip ton less Bellagio Aladdin . small bar restaurant top floor . good view Strip , immediate service - drink bed even take glass room . also numerous vend machine lobby wide variety choice , free coffee nearby conference room . ( coffeepot room , . ) not try restaurant look good . even leave we comprehensive list free thing Vegas , include time direction . I definitely stay recommend friend . bargain pleasure . even though research internet go , surpass expectation . good job , Carriage House ! 
 Nov 17 2003 	 time Share Days ' Inn 	 actually stay , take timeshare sale pitch place . may disqualify review posting , think important let folk know hotel also timeshare . ( , buy . ) facility , however , nice enough , though elegant fancy mean . qualatatively , deserve three star ( plus ) five , seem comparable something one would get Hawthorn Suites . , however , good Embassy Suites Hyatt Hotel . 
 Oct 21 2003 	 wonderful week Carriage House 	 return one week stay Carriage House could enjoy . six people party one two bedroom , two bath suite . unit extremely clean quite large . refrigerator help store , beer , wine juice late night early morning refreshment . reataurant , Joey , good great view . car location several block Strip inconvenient , might someone foot not enjoy lot walk . definitely stay Carriage House . 
 Oct 7 2003 	 Loved Carriage House 	 Carraige House great place stay , especially 2 people trip . suit nice size clean . real nice people work . need something get right away . 's close action block away peace quite . would like see put 24 hr restuarant premise , would great . would recommend Carriage House place stay . 
 Oct 5 2003 	 enjoyable 	 stay two night Carriage House ( 22 - 25 September ) really enjoy . price perfect ( $ 69.00 per night ) . suite great view strip . MGM Grand hotel 5 minute walk , much consider walk one spend strip . stay many Las Vegas Hotels last several year ( visit city twice year ) carriage House well . plan stay April 2004 . 
 Sep 15 2003 	 Better Casinos 
 Sep 3 2003 	 Great Stay 
 Aug 20 2003 	 great stay Carriage House ! ! 
 Jun 26 2003 	 looking forward stay ! 
 Jun 19 2003 	 good price location 
 Apr 28 2003 	 Great Place stay 
 Apr 4 2003 	 Great Place ( Quiet Clean ) Excellant 
 Mar 12 2003 	 Loved Carriage House 
 Sep 17 2002 	 great rate short walk strip ! 
 Nov 27 2001 	 Best Kept Secret Las Vegas 
 Aug 10 2009 	 basique mais en travaux de rénovation et à 2 pas du strip ! 
 Mar 23 2009 	 Lage unschlagbar ... 
 Nov 21 2008 	 trés bonne hotel 
 Jul 23 2007 	 Bellissimo ! 
