nice 	 planning anniversary trip , want find place away craziness strip . Red Rock Hotel perfect alternative . not gambler change pace welcome . 's flashy noisy typical strip hotel . also plenty site like movie theater bowling . be within 20 minute Red Rock Canyon park 25 minute strip . unfortunately , cool enjoy pool check also nice . workout room little small side everything need get decent workout . we family live Vegas typically try visit every couple year will definitely go back Red Rock . 
 Jan 15 2007 	 Service mostly improve . 	 second stay ( second review ) hotel six month first stay . standard room hotel well many 4 5 star resort LV area , possible exception THEHotel Mandalay , particular like well THEHotel , particularly decor . complaint last review concerned overall unprofessional / untrained service personnel so - so restaurant choice . restaurant choice , although service improve immensely restaurant , well service front desk , valet bell service . everyone friendly efficient . really appreciate bellman bring bag car wait check going room , not re wait bag come . stay one recently complete room . note , depend location room , hallway long . quite trek elevator room midway hall . room end hall marathon runner ! remain problem service - wise housekeeping . obviously short - staff lead careless cleaning . occasion , check late ( almost midnight . ) first notice half empty gooey bottle bath gel floor outside bathroom . robe , hang hook bath obviously use woman still childbeare age get drift . grossed . three night visit , notice trash empty either careless vacuuming vacuuming . other housekeeping issue , love hotel , especially luxurious spacious room . price can not go wrong not mind stay away strip , plan spend time hotel stay . 
 Dec 29 2006 	 Red Rock -- -- service orient 	 stay Red Rock 3 time go week . find Red Rock service orient . housekeeping attentive need . room service timely staff general gracious . use business facility without incident . hotel comfortable cozy . ( mink pillow couch ! ) din quite varied although would make special trip . noise factor early may problem seem end . 
 Dec 28 2006 	 cool alternative stay strip 	 husband spend three night Red Rock mid - December . rental car since return four night stay wonderful Red Mountain Spa St. George , Utah . drive , not see space designate unload luggage want self - park , try pull far away vehicle , remain close enough easily transport luggage inside . almost immediately uniformed attendant come , expect admonishment move , instead tell we could park behind limousine unload . nice bell man stand chat amiably various celebrity stay hotel husband park car . bellman seem even still wow room show we large flat panel television huge bedroom second television massive bathtub . suite do 's probably currently call & quot ; Palm Springs Cool & quot ; . luscious chocolate brown wall , include brown leather bathroom , crisp white linen , punch lime green make feel old Hollywood glamour . plenty light ( recess , pin point swing arm lamp , table lamp ) . beautiful glass mosaic do red , green , brown , copper hang bed . the bed lot pillow nice quality sheet comforter . shampoo , conditioner , lotion think make Essentiel Elements , scent pleasant . one good aspect stay leave return room without go casino . 's breeze park garage walk elevator short hallway , make hotel seem even separate casino . hallway passage get room ; vibrantly decorate well . husband not keen go Las Vegas , even keep say impressed clean attractive Red Rock be . the front desk staff perfectly pleasant , not experience service difficulty . however , wall appear disappointingly thin , family who - know - how - many child across we , child scream day night . mercifully last night , still annoying . earth go Red Rock December ? pool not open , surely go movie , could choose Courtyard Marriot something . obvious hard time amuse they . I also , disappointed spa gym area close 8:00 p.m . early closing seem bizarre city late night hour like Las Vegas ! like walk treadmill evening , 9:00 10:00 , ' ve do many city far small less nighttime - focused Las Vegas . especially aggravate since $ 19 per day resort fee suppose cover entrance place . understand might unreasonable expect get facial 10:00 , able use exercise equipment , access extend much later 8:00 ! Red Rock I-215 ( think 's correct number ) Charleston Blvd . across street several restaurant shop , even Charleston restaurant like Cheesecake Factory Claim Jumper . , not want go strip , would not . drive strip every day , not nuisance all . we not hear construction noise , even though could see construction second tower room . eat Cafe first night , service spectacularly poor . strange server , woman late 50 would guess , sweet rare occasion would remember come table . woman walk throughout restaurant shout availability game restaurant patron could play . yell get old quickly . eat original Salt Lick often , look forward see Las Vegas one compare . bread dry , otherwise seem same . we would definitely go back Red Rock , hope management see fit make exercise equipment available later evening . 
 Dec 28 2006 	 mixed Bag 	 Lets start positivebeautiful roomsfriendly staffbeautiful locationfabulous poolgood Casino WaitressesGreat dealersPet friendlythe fitness room ( good one ' ve ever ) , minus . free shuttle service airport run 7 am 7 pm , leave hotel every hour . flight 8:30am 8 pm , one ' off ' time , pretty much sol . escalade car service ( even limo towncar ) $ 70 + tax & amp ; tip . not care pay $ 20 & quot ; resort fee & quot ; shuttle . comp [ -- ] . play thousand dollar 3 night , earn $ 6 comp . sure , beg pit boss , chance slim none get . not matter local tourist . club & quot ; Cherry & quot ; incredibly loud . room one top 5 floor , room pay extra money , keep stupid club . keep mind go 4 am . bring ear plug . Maid Service . 5 visit make , one do without call beg service . even ' maid service ' light 5 hour straight , still call service numerous occasion . right , hot tub broken pool really heat ( even though be suppose ) . one small kiddie sized pool heat fitness room pool also heat . Resort Fee $ 19.95 night . 's suppose include comp airport shuttle ( see ) , comp strip shuttle , free shoe shine , newspaper , pool usage , 's rip - off . raise rate $ 20 night include thing . * * good location visit people go see , absolute pet friendliness , proximity good casual dining ( PF Chang 's , Bj 's Pizza , Cheesecake Factory , several grocery store nearby ) , would stay . however , would demand strip view room would not keep night . cheap room , keep bass 4 am acceptable . 
 Nov 26 2006 	 Red Rock ROCKS ! 	 moment arrive resort know go strip would hard . exterior awesome well inside . Red Rock modern aura work ! privy VIP lounge . signature suite fabulous w/ full view pool scenic view canyon . CASINOS ~ well light unlike Venetain Aladdin . even well light Bellagio . low demonination table also plus . bingo room too . restaurant ~ thanksgiving week Red Rock offer cheap dish casual dining restaurant . take advantage . low price dish earn 2 thumb . ' Salt Lick BBQ ' delicious . BBQ sauce good . smoke turkey 3 time stay pecan pie EVERY DAY . good . smoke rib good also . ' Grand Cafe ' also tasty . eat $ 1.99 .99 cent breakfast every chance could . ' Feast Buffet ' far exceed rate Spice Market buffet @ Aladdin . order breakfast 1 day service quick breakfast yummy . XTRAS ~ full Regal Cinema , arcade , KidsQuest ( place parent drop child ) , food court cabanas make wonder anyone would stay strip . service ~ prompt , professional smile . thank Red Rocks Concierge ~ get we great seat show book we horseback ride tour Red Rock Canyon . go web site click ' spa ' , click ' adventure spa ' cool stuff . Maintenance come quickly 1 2 42 & quot ; plasmas ( unplugged LOL ! ) . loved vip lounge . drop constantly beverage keep frig beneath wet bar . a lot review mention construction ~ not phase we . thank goodness shopping complex near . husband son able walk Best Buy get charger camera . here be tip ~ be room housekeeping knock yell be come door keep latch . bit quick enter . we use 1 day strip . show @ Bellagio EXCELLENT ! also good watch Bellagio 's water fountain . place would stay . first time Vegas strike gold try anywhere else . we get cab ride back strip $ 30 . make leave Flamingo Rd . breeze we back Red Rock . 
 Nov 19 2006 	 Red Rock offer well gambling attract people 	 not stay Red Rock spend November day gambling . place lovely , clean inviting . ......... slot tight . would think could offer well gambling people since place far town , kind like Green Valley Ranch year ago : looser slot make trip worthwhile . well , trip certainly worthwhile . machine gobble money , get little play never see cocktail waitress . wonder casino empty . heck , gamble strip lose money .... not drive half hour traffic lose money ! 
 Nov 16 2006 	 Fantastic experience 	 book Red Rock Casino Spa 4 day birthday weekend early November impress everything encounter . in book trip month concierge attentive everthing could arrange everything need prior arrive . when plane land not know incredible luck fantastic service shuttle Red Rock wait outside pick we within minute land ! driver wonderful funny . inside shuttle nice give we great frist impression property . I say , pull hotel side bit let due construction . sort wish shuttle drive past front property first ... view front far exceed view back . know improve construction end will not quite time . check breeze we love fact since resort strip not hustle gawker get way check request thing concierge . room ... amazing ! can not say anyone else say love bed linen ... well do fabric set relax tone weekend . little detail everywhere look . thrilled fact turn service include turn stereo wonderful jazz station , turn bed , even leave note weather would like next day ... include time sun would rise set ! ! ! construction we huge concern , maybe arrive slow time , yes crane blocking view strip honestly , hazy , want view strip , stay strip ! eat dinner buffet every morning .. 's buffet . food okay service Friday morning top notch . waitress give we great recommendation little hint hotel . go Terra Rosa dinner Saturday night ... highly recommend , make use staff regard wine list , knowledgeable . spend time explore alll property ... pool area awesome sort great place people watch weekend . tbone fantastic outdoor fire pit bar area wonderful cozy place intimate conversation new friend . our entire experience top notch ... thrilled stay wait go back . awesome staff , great service , entire hotel whatever need ! 
 Nov 14 2006 	 truly beautiful Deluxe - almost perfect 	 arrive Saturday afternoon find lobby well design , airy open . 's Starbucks lobby casino - good thinking . our room lovely , tasteful , muted beige brown , large impractical rectangular bathtub , leather wall part . flat screen tv . awesome canyon view unlike anything strip , watch sun rise red rock worth rise early ( stay late ! ) . bed extremely comfortable , firm , ultra - comfortable sheet . Sunday morning eat TIDES oyster bar casino ordering : dozen little neck clams , cold lobster appetizer , lobster roll . clams fresh serve cocktail sauce horseradish way like . cold lobster , fresh properly steam , quite good , awesome . plus large claw tail fine , small claw taste like vinegar . lobster roll fine great . coleslaw awful . would recommend restaurant qualification . we hike RedRock Canyon find great diversion change pace smoke gambling - right nearby . the crowd casino bar appear split local guest young old . the spa upscale full - service , arrive 6:30pm mean go dark - like dimly light restaurant . different . unlike Vegas hotel know charge . plenty machine weight . nice . the pool large tell open year - round pool - bed - something never see - great ! construction start 9am annoying ; give excuse leave room early . first 2 complaint . second service attentive generally efficient , polished like 5 - star resort . Station Casinos mid - level chain do good employee not train give Bellagio - class service , even room amenity bellagioplus class . room service take 60 minute 3am.the casino airy pleasant lot choice slot table game . plus two casino nearby ( Suncoast Rampart ) change pace since not want go way strip . I love place - perfect combination remote mellow still hip lively need . willing live not - so - refine adequate service , daytime construction noise , back next month . surpass Wynn new favorite place stay , party , relax , gamble Vegas . 
 Nov 11 2006 	 Know go ! 	 go Resort read understanding expect . yes , true Resort phase complete second half 's room capacity . yes , also true expect construction noise early 7AM , temporary wall , black plastic partition end floor , worker scaffold . construction room spa plan completion July 2007 . could disappointment go resort sit watch plasma screen room . go see Red Rock Canyon , Mt . Charleston , Valley Fire , see show Strip many hotel could , course use premise Spa every day . site Night Club Cherry co - own Geo Clooney ( often spot ) complete clothing optional outdoor pool / deck accessible 10PM open nightclub . bed superb service , keep mind even though resort 15 -20 Strip , still Vegas ' tip ' keep thing move , create opportunity , increase learn curve property . learn second week November , every year , Las Vegas lay approximately 30 % workforce . keep stride order drink pool take awhile get service . truly beautiful property , admit management flaw , pleasant experience traveller demand smoke - free room . room may door make adjoining room accessible perhaps family . travel alone not want hear next room 's conversation , ask move different room . 
 Nov 10 2006 	 Casino Great ! 	 say ? leave 3 day winner think dandy pay trip . odd machine good compare Strip odd not matter much win . we knock Hotel Casino . much different Strip Hotels crowd . definitely back . 
 Oct 19 2006 	 place need major help 	 book 3 night stay girl weekend . end pay around $ 400 / night spend around $ 700 spa treatment . first issue come & quot ; shuttle & quot ; . run bizzare hour ( last Strip 3 pm , last home strip 7 pm , last airport 5 pm ) . not make shuttle end take cab spend around $ 50 . next issue come fact still build second tower ribration excessive noise day make utilize room almost impossible . issue give front desk , say would able move we follow day ( currently 3 pm day ) would notify available . never notify seek information day ( 10 am , noon 3 pm ) point finally go dinner move new room 10 pm ! not help since whole reason move able use room day without horribly annoying noise . recommend property ever . stay strip save headache . 
 Oct 17 2006 	 Gorgeous First Class Hotel half do 	 first let say gorgeous hotel . like contemporary , hip surrounding , wonderful choice . major drawback : # 1 Oct. 06 , still build look like half hotel . construction begin 7 am ( 9 tell front desk ) , go 5 loud ! imagine drilling rattle build ! originally put we room end hall ( next half hallway visqueene ( plastic ) ) . complain move we close elevator could still hear drill hammering day . last morning , hit hot water pipe shower . typical construction issue . # 2 WAAAYYY ! 's $ 35- $ 40 cab fare strip . convenient want go town evening 's dinner show . other , really do nice job detail . beautiful contemporary furnishing bathroom . comfy bed . besides construction , noise level guest low ( except maybe adjoining door ) . fresh flower everywhere . fun pool . hip bar ( think one Randy Gerber club ) great restaurant . helpful , friendly staff . the casino smokey yet know happen get business eat TBones wonderful steak dinner . lot place hang people watch . a nice touch spa facility gym incude resort fee even treatment day . BEAUTIFUL spa ! good choice want low key Vegas experience ................... expansion complete . 
 Oct 12 2006 	 Major Customer Service Issues 	 live 2 mile Red Rock nothing change since open . get much well service McDonalds Berger King . day one place lack service . go Salt Lick T - Bones still not get dinner . Salt Lick could not remember order never seat T - Bones end Cheesecake Factory Kona Grill road . Skip Red Rock dinner . 
 Oct 6 2006 	 Classy 	 recently spend 6 day Red Rock . gambler smoker Vegas first choice place visit go business reason . we arrive Saturday night . first went & quot ; non smoking room & quot ; smokey smelling . since late tired not complain . next morning maid apparantly spay room try clean well . walk casino find restaurant smokey crowd . first impression good . say thing get well . seem like Saturday night busy night smoke noise . rest week hardly notice it . room : room big comfy . decor relax great view pool mountain background . not fool picture website see mountain not close look website . pool area look great night 's lite close early not get noise . bed comfy ( even well famous 4 season bed ) complete lot pillow duvet . bathroom amazing deep soaker tub tv . spa : people not realize spa many free thing hotel guest . exercise room lot good equipment boxing ring , locker shower , lap pool , hot tub / whirlpool , cold pool , sauna , fruit , juice water . even not want use equipment , be worth go see beautiful decor . food : eat restaurant ( except buffet ) good . swordfish Terra Rosa well . service:95 % staff accommodate friendly . pool staff , front desk staff , houskeepe spa staff great . 2 3 people work conseiger ( sp ? ) desk not helpful . maybe tip largely get look info want . not answer say not know . usually , offer find here . pool : weekend pool area lot kid ( week quiet ) . pool furniture adjustable comfy lay sit reading . round bed around pool use free square one pay . people find little confusing area free reserve pay . ask pool staff first day small area adjustable lounger free . location : gambler want spend lot time strip place takes 1/2 hour get strip . want relax place away strip perfect location . love location 2 mile away Red Rock canyon ( cycle great ) . feel like relax mountain retreat instead middle hustle bustle bright light Vegas . appeal turn other . construction : still lot go noise never bother we . work side pool sit fine . other tips : want go outlet mall . take hotel shuttle airport , taxi mall ( $ 12.00 ) . take 35 minute total hotel . take shuttle Fashion Mall , bus outlet mall , tranfer bus station take 2 hour get hotel outlet mall . overall , love Red Rock would love return . 
 oct 4 2006 	 Spectacular 	 decide try new Red Rock Resort Vegas get offer 2 free night . far surpass expectation resort price . room huge bathroom , complete two sink . beautiful décor spotlessly clean . bed wonderful , room quiet , light good Plasma tv fun touch . like lie property find easy get around . always case huge resort . place well mark nothing seem far . pool area spectacular . visit one Security man pool area find lot Movie Stars visit RR day stay $ 10,000 day suite . casino lover nicest casino ' ever , ' lot . machine table type chair adjustable different height . spank new clean . casino well lay also . smoke non issue ventilation good . two day visit ' even begin explore . husband take walkie talkie ' we go casino . get cheap pair Radio Shack perfect . may use mall also … we always find way . food connoisseur ' require fancy meal . coffee shop wonderful , lot good selection Feast buffet good always . two Starbucks coffee crowd although coffee pot room , ( miss ) one starbuck right lobby could go get cup bring back room sip dress . room lie different . two room separate small hallway . nice classy touch . afford ' like noise confusion strip definitely great place stay . find staff helpful , polite , well informed . clean lady really sweet ask like soap spa item room . say yes give entire set take home . it take 20 min . airport resort . send Limo us fun … . 
 Oct 3 2006 	 perfect getaway ! 	 stay three day beautiful new hotel property . lovely , room spacious , view spectacular . spend day go nowhere else ! room : comfortable bed lot pillow . 42 & quot ; plasma tv wall . view mountain .... breathtake . bath : lovely marble , huge & quot ; soaking & quot ; tub , separate shower toilet facility . bathrobe slipper ! hair dryer scale ! small extendable tv tub ! hotel : beautiful contemporary decor . hotel full service spa , 16 - screen movie theater , casino , many restaurant ( price range ) , beautiful pool area , pleasant accomodate staff . location : hotel outside strip area toward mountain , even traffic half hour strip . also shuttle service strip airport . traveller Vegas many time want place relax still Vegas fun ... place . the Red Rock also house conference center large meeting , investigate this . I tell expensive hotel ever build strip . really lovely ..... hope go ! 
 Sep 11 2006 	 Beautiful Hotel 	 agree review site , property potential top notch resort .... IMPROVE service . my husband also continually amazed lack service . small thing .. , pens chit restaurant . always wait extra 10 minute matter restaurant , bar go , server come back pen . ask , tell lot local come resort prevent walk out forgery , not bring pen right away ....... huh ? ? ? ? seem , first line greeting & quot ; Good Afternoon , Evening , guest resort ? may room key verify ? verify entry pool , not see would not work restaurtant bar . as housekeeping , not get start . yes make bed replace towel . , . not throw used coffee cup ( Starbucks ) replace water glass bathroom replace break ice bucket . turndown service , one night leave chocolate dresser , not turn bed tho ! ! ! leave tip housekeeper first day ! kind stuff keep property rate high . hopefully , fix . dealer great , friendly make feel welcome . 
 Sep 4 2006 	 Swanky Playground Fun 	 Holy Moly ! spectacular resort . ' ve stay dozen top property year , hand favorite . could not possibly design awesome place . my parent would probably prefer old fashioned opulence , we young folk place swanky full fun playground ( day night ) could possibly dream . non stop blow away modern styling , granduer , beautiful detail ever aspect , eagerly friendly individual service , great variety good cuisine , convenience ( not experience line ever ) , value ( eg . Wynn charge we $ 25 use crowd fitness center , free - empty save eager serve friendly staff ) . also absolutely love waft chill tune carry we around , make gaze tasteful art , color , architecture aesthetic much rich . we , part herd large strip property wait line everything fun . be slot player , payout well off - strip anyway . , need go strip . would rather resort good good amenity hike canyon near resort , walk around strip . the bedroom lusciously design equip , bed engulf soft comfort . not construction noise , little disappointed could hear noise slamming sometimes . think way hallway design would not ( pair room small hallway ) . , turn travel sound machine easily drown noise . 
 Sep 4 2006 	 go Growing Pains ... 	 girlfriend ' family invite join trip Vegas Labor Day weekend . patriarch high - roller , generally stay place like Mirage , Bellagio , etc . go bat mitzvah North Vegas area invite try Red Rock hope become prefer hotel . ' happen anytime soon . appearance - wise , hotel absolutely beautiful . ' clean , shiny , classy . valet service pretty prompt ( take twice ) generally polite . road bump come ' see valet beckon us lane park ; get , ask we get back car move lane ( despite fact already come we could ' ve — and eventually do — take car we right ) . find front desk staff concierge friendly well . two room great ( book one comp , casino rate ) always make promptly morning . however , exit elevator onto floor , musty odor greet we every time . ( liken gymnasium elementary school mother teach ) . apparently , plumbing still work another part property . eventually adapt smell still rather unpleasant . awoke first morning ( 8 am ) drilling come room we . venture pool , great area . ' fantastic poolside bar & amp ; grill decent service great food drink ( girlfriend would like recommend shrimp wrap ) . waitress serve sunbather charm relatively prompt . ' fun little waterfall island middle pool big hit kid … which bring another observation : many darn kid property — but hotel ' fault capitalism rule : ) . casino really leave desire . dealer hit ( pun intend ) miss . friendly other not — and really act though gambler burden . one particular seem bad day welcome . another take gambler ' money ; gambler call attention politely ask pit boss come , dealer become agitated gambler seem condemn become upset money , know , take . seem major lack cocktail waitress ; get drink within 15 minute order , nothing short small miracle . waitress would drop drink someone else table would request one , typical answer curt " uh , ' take order now — just deliver ! " play $ 1 slot well hour waitress never get within 50 foot we . personal note , ' never , ever bad luck casino ; ' never see dealer get face card past weekend . alas , bring upon superstitious - type , beware . 
 Sep 4 2006 	 price 	 arrive know $ 19.95 fee price room . check tell need credit card week stay . paide advance . add $ 1050.00 ( yes onethousandfifty ) price room . credit card limit $ 1000.00 day hit airport $ 303.00 beyond already pay car . give hotel $ 1050.00 cash stay room pay March 06 . hurt . honeymoon hotel concern put room next . neighbor small kid . love kid hear hear honeymooner ? ( thing small kid hear ) disturb light bed maintance man come check phone ( work ) send man check see use price bar room disturb wife alone room bed . come room ask know time . BACK 
 Sep 1 2006 	 Immaculate Hotel outstanding service 	 since play Station Casinos year , receive two - night comp opportunity brand new Hotel / Resort / Spa could resist chance experience photo review keep read see about . first , every detail consiidere ulitmate cusotmer service experience . even wait short line hotel employee would sure acknowledge presence assure need would meet . ingeniousis ? make sure actually manage expectation client / guest . the room IMMACULATELY clean design total luxury comfort . trust , disappointed . specifically request room & quot ; construction site & quot ; read post Cherry Night Club sound . front desk assure club soundproof noise would problem . hold firm take construction view one bit disappointed . could hear construction ? yes , early morning occassionally mid - day drop something room . neither construction impair wondrous view Strip glorious mountain range backdrop . I wait return , may decide come back Las Vegas twice year , rather once . you disappoint ... feel free email question . 
 Aug 22 2006 	 Disaster Customer Service Room Noise 	 stay Sunday - Monday dinner get back room 9 pm . lot noise ( music talk ) suite across hall . not quiet call security 10 pm . get music turn disturbed loud singing & quot ; happy birthday & quot ; 11 pm . call security come , knock loudly suite 's door , knock loudly DOOR , say ask contact . , security never contact complain party contact people disturb peace . Secuirty come back knock suite 's door could hear say thi door open . noise hall visit housekeeping room service , loud voice knock door keep till 4 am . room door bell , yet use once . ask management apology security explanation , get neither . a nice facility , terrible customer service . 
 Aug 8 2006 	 around excellence Red Rock 	 wife spend three night Red Rock early August . fantastic time . read review little concerned go & quot ; safe & quot ; route stay Ritz Lake Las Vegas . trip , however , could ask well off - strip experience . briefly , room 5 - star quality . address construction noise front , hear room . specifically request , several day arrive upon arrival , room elevator . get strip view room elevator could hear pin drop hour day . size , decor , bathroom top quality bed , everything room give sense hotel commit get detail right . service also impeccable : twice daily housekeeping turndown service , helpful concierge friendly dealer casino . the pool great . place hear construction noise , little background noise . chair water nice lounge mattress great . get early get one , pool not open 9 am . wife get 9:15 saturday choice loung mattresse chair . cabanas look nice , spend whole day pool , would consider rent one . the Casino nice . big gambler casino approachable . bright , smokey everyone dealer pit boss friendly . the restaurant also great . eat terra rosa , excellent . late lunch Tides , also great , enjoyable breakfast lunch Grande Cafe . also recommend Rosemary 's , zagat rate place 2 mile hotel . would idea not look . wine list food great . $ 400 dinner Paris Saturday night far exceed $ 150 dinner Rosemary 's Sunday . finally , spa world class . wife couple treatment design pregnant woman impressed . use gym facility ( include resort fee ) great . gym rat , especially vacation , fitness center rank among good resort fitness center see use . the problem hotel experience pool close early -- pretty minor consideree positive . also , hotel truly strip -- 20 - 40 minute drive depend traffic . real plus wife interested drinking 1/2 yard margarita 2 morning . want party late night hop back forth strip room , hotel probably right pick . summarize , love place . wife stay Ceasers month back Red Rock make seem like day Inn . could happy . 
 Jul 24 2006 	 Spectacular Red Rocks 	 Red Rock Hotel Spa Las Vegas relatively new property grow pain still evidence . say , shakedown cruise construction complete , think spectacular . first guest space room beautifully appoint fabulous , glitter , wish somewhere else kind way ( Venetian , Paris etc ) rather high style . like appointment think king size bed one good ever hotel . bathroom appointment great . partner currently travel broken foot -- foot immobilizer cast . lark , decide call see shower chair . ! proper chair , something design purpose . the restaurant nice , huge portion . nothing really high end except Bones , enjoy late night nosh Tides , lunch Salt Lick BBQ breakfast Grand Cafe . meal good . the casino huge stretch restaurant night club along edge . far end , 16 - screen Cineplex -- nice thing hotel . love movie , bad not time . the pool area spectacular . enjoy chaise lounge set wade part pool . down : construction noise day ! really annoying . they not room wait people reservation . arrive check time reservation ask wait indeterminate amount time . hour , demand room immediately compensation . get -- least handle well . generally , nice experience . good / bad thing 45 minute ( ) Strip . went show Caesars Mirage -- make long trip , fine . 
 Jul 14 2006 	 Fun Exciting Unique Resort ! 	 hotel awesome , complete plasma tv . casino state art , massive digital screen sportsbook , like movie theater . poker room one good city , spa . Red Rock clearly top 5 property Las Vegas , plan outdoor activity Red Rock Canyon ( hiking , biking , etc . ) , Red Rock Resort close . finally , like strip property , stay week , room rate substancially low weekend . 
 Jul 12 2006 	 's Long Long Long Way go 	 wife decide upon Las Vegas short honeymoon weekend June 30 July 3 , 2006 . visit Las Vegas 3 4 time year , usually stay & quot ; strip . & quot ; book Red Rock Casino , Resort & amp ; Spa & quot ; Canyon View Room , King size bed & quot ; , January 2006 , want non - traditional Vegas property weekend get - away . overall , experience good , could lot well ! two major complaint : 1 . book room January , tell room reservation flight would late arrival British Columbia . also call reservation day arrival confirm have arrive around midnight thereabout . needless say , impressed arrive Red Rock Casino midnight Friday night , tell Canyon View room available , disappointed given Strip View room crane right front window . 7:15 Saturday morning ( mere 4 hour go bed ) , construction begin sound though workman come ceiling room . horrible way wake honeymoon first night Las Vegas . 2 . second area concern spa . book spa treatment , include massage , 11:30 Saturday morning . thoroughly enjoy deep tissue massage , wife find massage & quot ; average & quot ; good . agree massage overprice ( bill come $ 465 usd ) , fact add 15 % gratuity bill & quot ; convenience & quot ; appreciate . tip massage therapist cash , quite frankly , result get large tip , wife would prefer give massage therapist small tip 15 % . yes , hear people casino floor discuss could sneak use & quot ; hotel guest pool area & quot ; despite fact stay Red Rock Casino . otherwise enjoy stay . hotel room nicely appoint room , comfortable King size bed , nice washroom 42 inch plasma television . quite frankly , lot nice room $ 159 per night Bellagio Caesar 's Palace room stay past significantly high price . casino area nice , buffet good , shopping mall across street appreciate . also note construction Sunday Monday morning response complaint Saturday morning construction , Red Rock management give we free breakfast buffet . obviously , would prefer refund cost night 's accomodation . Red Rock Casino honeymoon package type honeymoon promotion , surprise we . one final note piece advice : & quot ; strip shuttle & quot ; run four time day ( last trip leave Red Rock Casino strip 7 pm leave strip Red Rock Casino 8 pm ) . fly Vegas , make sure either rent car else prepare $ 45 cab fare ( one direction to / from strip ) . limo run anywhere $ 46 $ 100 ( direction ) depend catch limo company provide limo . overall , enjoy Red Rock Casino , Resort Spa , really long , long , long way strip . 
 Jul 10 2006 	 LOVE Red Rock 	 never stay Red Rock becaue live across street , could not resist write review part familiar . casino beautiful . crystal chandelier everywhere lot cool look bar . property strip , pretentious snobby strip location . also , many good restaurant resort . cafe huge selection entree open 24 hour day . 7.99 steak shrimp special even menu ( ask ) . great value money . seafood restaurant , italian restaurant , steak house , look awesome , food court Starbucks , Capriottis , Rubio 's , Fatburger . good selection provide economical choice . Red Rock also really nice movie theater ton leg room comfy seat . opportunity desire escape strip night two , go wrong Red Rock . 
 Jul 6 2006 	 Got Lucky 	 husband get & quot ; lucky & quot ; Red Rock ( gambling ) little noise pool , cherry construction stay 4th July . read bad review noise disturbance Red Rock , worried . even call hotel advance request quiet room away Cherry construction . check mention need quiet room , front desk clerk tell we adjust room one elevator . end evasive way say hotel change location room end canyon - view room instead Strip - view . ( realize late strip - view desirable time year watch firework room . ) hear pound bass music pool area soon walk & quot ; V.I.P. & quot ; room directly across Cherry construction overhead . call right away change room , give runaround . decide stay room hope music pool area would stop pool hour . ( plus hotel sell - out first night . ) well , music end 6:00 pm Cherry loud anticipate . plus construction go - may holiday . Cherry also close Monday Tuesday work even well . think Fridays , Saturdays Sundays may music crank time trip accordingly . aside minor music issue first afternoon , rest stay wonderful . room beautiful sophisticated New York style decor , white comforter , fluffy towel , flat screen TV 's ( one bathroom ) , hi - tech phone , shower plus tub , granite dual sink , ton space appear leather wallpaper wall bathroom . one comfortable room ever stay in . we eat dinner one night Terra Rosa . food good portion large . another great feature hotel movie theater right casino floor . since gambler , enjoy watch movie large , crowded theater . also hike Red Rock several time - major reason select hotel . get Red Rock convenient , drive Strip . hotel 20 mile away Strip get rental car . traffic Strip terrible , make trip several time want eat certain special place . prefer stay away Strip even though inconvenient time . I hate end review bad note stay generally great end day , warn people amount kid hotel . really notice pool . would say pool 80 % kid . make impossible go pool annoying game , splash cannon ball . plus pool always crowd - would literally get last 2 available chair every time go . think people pool hotel guest - exactly strict security . even hear guy talk friend cell phone advise sneak . kid local part Vegas , suppose . Red Rock still great little getaway husband . 
 Jul 5 2006 	 new favorite Vegas hotel 	 word .... wow ! be Station casino & quot ; boarding pass & quot ; holder , send invitation opening weekend could not go . see photo online , desperately hope would ask we ! , jump chance two free night property . travel time strip bad , 15 minute . always rent car , not problem we come go pleased . resort beautiful , be many simple design aspect not really notice individually , blend together make pleasing overall impression . like way use signature color , red , accent without make overwhelming . red glass door particularly unique touch , like red limousine ! check around 4 pm thursday , line . agent extremely friendly competent ( will also add casino host take reservation phone also nice woman mad ethe process quick easy ) . emphasize , casino host , would pay $ 20 resort fee room complimentary , full access hotel amenity . room 10th floor , beautiful king room view pool eponymous red rock . marble bathroom leather tile wall flatscreen television tub especially nice . be always pleadant find room look even well photo website , one case do . I can not comment restaurant , would hear aside buffet great , not eat . Red Rock Station casino , matter posh may , be go naturally lot station casino clientele , ie : elderly people , lot local . young woman , do friday night , feel bit conspicuous . big deal . I like pool lounge , find extremely comfortable trouble lie stomach another reviewer complain . really enjoy chair th shallow water pool , nice able splash toe water tanning . husband spa service , therapeutic deep tissue massage facial . spa every bit elegant high - service one would expect . ' ve spa MGM , Paris Luxor Red Rock beat hand . massage therapist , Jon Coats , fantastic job problem area neck sore foot ( vegas walk ) go back future visit matter stay Vegas . also say big , go hire come home , not work : ) concierge helpful , doorman / valet always pleasant friendly come go . the Sun Coast casino minute away access 215 Summerlin Parkway quick easy travel place . usually stay wherever be offer compe room Vegas , plan stay Red Rock time offer future ! 
