Good 	 overall good hotel enjoy stay . facility good staff helpful . we annoy 11 dollar charge use phone local call even connect second . outrageous price . not know food like , always eat even breakfast . 's plenty choice around . Wifi expensive payable day , though free internet terminal executive lounge . 
 Mar 29 2008 	 one forget 	 December visit New York spend one night here . thank goodness one night . we aware large hotel stay large hotel Far East still make feel human being . it totally souless entrance like airport check hall . doorman take absolutely notice arrive guest . check staff seem robot interest guest simply go motion . attitude seem - hotel create problem problem tell we . Executive Floor Room certainly leave lot desire . actually telephone ask Executive Room certainly impression . hotel staff less pleased receive query . there dress gown touch normally associate Club Executive Rooms . the hotel full breakfast Executive Lounge clear far many room term & quot ; Executive & quot ; . room simply could hold guest one stand long queue waiting seat . the choice limited enjoy fry food especially fresh end simply fruit . certainly worth money would return Hilton . 
 Mar 28 2008 	 good location 	 stay Hilton last week conference . yes , crowded , elevator nightmare , facility bad . room recently renovate , think nice . Granite countertop , flatscreen tv , good bedlinen . not hear traffic noise , worried . location great . security stop door ask room key enter hotel lobby 9 pm . wireless internet quite expensive , hotel food , deli across street . for convention hotel , fine . would stay . 
 Mar 28 2008 	 get renovated room 	 stay Hilton Hotel part conference . read review guess true busy conference hotel . however , great time . room wonderful . great bed , flat screen tv , corner two set window ( room 1609 ) . not find elevator slow maybe that s ' 15 16 first floor set elevator use . service fine , though true internet expensive ( $ 14 ) check baggage absurd . hand , lot reasonable restaurant within block two hotel . really like fact easily walk Times Square be much quieter location . I go see August : osage county ( half price ticket .. tkts . not get line musical ) one good play ' ve see . 
 Mar 27 2008 	 Midtown Convenience 	 stay Hilton New York conference . standard double room well - sized well - appoint desk , soft chair , mini - bar , tv cabinet , double closet , bathroom granite counter floor . room clean well - tend daily refreshment bathroom supply . mini - bar rather pricey , $ 8 domestic beer $ 3.50 coke . room wireless internet access set back $ 15 day . tv 40 channel , include HBO HBO 2 usual ability buy movie game . stay 18th floor surprise quiet hotel -- expect lot street noise . either not , hotel well - insulate glass . hotel sit amidst sea skyscraper , view building . hotel conference facility quite large expansive across 3 - 4 floor one might expect major city . hotel well - situate across street Museum Modern Art ( MoMa ) , two block Radio City Music Hall , three block Rockefeller Center , NBC studio tour , ice skating rink , St. Patrick 's Cathedral . short walk west Broadway theatre complex around Times Square . short walk north ( 5 block ) Central Park natural history meet 20 block . short walk east 5th Avenue high - end shopping ( Tiffany 's , Bergdorf 's , FAO Schwartz , etc . ) . location good attribute hotel , pricey nightly rate would indicate . stay hotel , several dining option nearby besides overpriced hotel restaurant . Global Kitchen , example , across street block 52nd make - to - order omelette sandwich less $ 8 . arrive early check - in late flight check - out , hotel complimentary baggage check service front door taxi stand . good experience -- would come back . 
 Mar 23 2008 	 Stressful Hilton Weekend 	 stay Hilton long , Easter weekend . Hilton Club actually invite husband check new 57th Street property - tack additional day enjoy city site - - good idea , would think ? well , probably well go home . the hotel like Grand Central Station - especially entire lobby area load people , noise security ! anyone could get hotel street onto floor without show ID . never ask room key . the elevator horrible . consistently wait go go available elevator . end stay , grow pretty old . the glorfied & quot ; cafeteria - style restaurant & quot ; overprice - - breakfast family 3 $ 76.00 ! ! breakfast ! free internet , think charge something like $ 12 14 per day . ugh . and let us forget $ 42 / day pay parking . need serious trip cash machine take care expense little NYC getaway . ( ' m NJ ! ! ! ) finale stress upon checkout . decide tack additional day , gentleman front desk quote we $ 225 corporate rate . get bill say $ 299 ! ! ! take 20 minute settle dispute not even fault . manager front desk rude completely not take word rate . ( like make ? ? ) . oh , even forgot locked room we check . go front desk get new key ! finally , everything be settle front desk , finally honor $ 225 . go finish rest double decker bus tour . decide check luggage hotel . would believe Hilton want charge we $ 3.50 PER bag store luggage ? need spend , another $ 14.at point , like -- let us go home . enough Hilton hotel . will never stay hotel .. forget even think buy time share property - reason come hotel first place . rude unaccomodate front desk . be look spend time NYC , favor , stay somewhere else treat like human . Ugh ! 
 Mar 22 2008 	 less 4 star quality 	 although location good , hotel fall short several way . initially give room styrofoam packing bit floor . apology , go get another key similar room low floor . second room reasonably sized , clean , excellent bed flat screen tv , somewhat cramp bathroom loose shower door handle , rug towel begin look worn . service good , special . hotel always bustle , elevator slow crowd . price , would expect , even Manhattan . 
 Mar 21 2008 	 good buffet bfast 	 go child ( 9yo 7yo ) holiday weekend . really cold , walk outside tough . 's great location . see rockette ... great location . stay upper floor , complimentary bfast ... great w / the kid . 
 Mar 19 2008 	 completely unhelpful rude 	 suffering bad cold last stay Hilton New York . order food delivery service . get call concierge desk let know food concierge desk pick . ask could deliver room tell . time take get bed get fully dress go downstairs , receive second call concierge desk ( different person ) basically give flack make driver wait driver leave order . rush think driver need signature something . get hand food leave . besides help situation , first call concierge desk not tell driver wait second call receive rude . I disappoint service receive . pay extra stay four star hotel service . room not even great . small , one phone not work , still garbage previous patron check room incredibly noisy night ( outside noise - must kind service elevator ) . never stay ' m Hilton Gold member . 
 Mar 19 2008 	 Great Location - Great Price ! 	 Hilton New York great location . 1 block Radio City , Rockefeller Plaza , 5th Ave , Broadway . close Central Park . access several subway station within 1 - 2 block . also , take cab , quick ( cheap ) cab ride plenty location , include Penn Station ( $ 10 ) Grenwich Village ( $ 10 ) .room great - modern clean . bed extremely comfortable ! problem shower slow drain . would choose stay . 
 Mar 17 2008 	 - 	 $ 400 night , expect little . however , get pretty nice . first , pro : fabulous bed ! , flatscreen tv free HBO , internet access room , hotel room service super fast friendly , pretty bathroom , spacious , central location within walk distance great must - see NY sight , FABULOUS bed . con : noisy ( know hotel usually hear little bit noise , 29th floor , not able hear car horn , able determine movie neighbor watching clearly hear dialogue ) , one restaurant close , could not find one ( one answer phone call - 3 time ) , 1 bar not serve food , complimentary breakfast ( good thing room service terrific ) , internet access free , safe . all , can not complain much business trip . depend be important . : ) 
 Mar 16 2008 	 good experience . 	 little worried base mixed review previously post . however , ask renovated room , find room clean comfortable . crowd people lobby give casino - like atmosphere . eat hotel plenty place eat city . 
 Mar 16 2008 	 absolutely perfect ! 	 get back 5 day Hilton New York say perfect ! location price beat standard room 32nd floor great . room plenty big two comfy bed extra sit chair , flat screen , big bay window sit sill , mini bar , plenty closet floor space . bathroom also adequate clever add storage space in - set shelf sink storage . everything clean well - light . location right Radio City Rockefeller Center , one block St. Patrick 's Fifth Avenue shopping , convenient Central Park . Broadway Times Square also walkable , hotel far enough away avoid noise hustle bustle area . hotel staff friendly lobby bar great . highly recommend Hilton New York would return heart beat . 
 Mar 13 2008 	 need do - over ! 	 stay New York Hilton conference . check fine quick ; however , desk clerk seem specific list thing go guest check . ask question seem distract main goal . I give room Executive Level , Room 4121 . pretty disappointed . expect something well class room . here concerns:1 . evening , sound come hallway sound like cell phone vibrating . call front desk , tell elevator . 2 . a / c room would not work . sleep night window open.3 sound tv quit work 10 PM.4 . faucet bathroom loose wobbly . also , executive level entitle free internet access Executive Level lounge . mention check ; tell desk check n ; part check spiel , told & quot ; sorry . & quot ; food way overprice NY Marketplace . 
 Mar 11 2008 	 ok hotel overprice 	 stay Hilton 5 night Xmas New Year . arrive early check 2.30pm , 7 hour flight ( 5 hour time difference ) tell room would not ready 3.30pm rude employee . wait impressive lobby room ready hear numerous people complain thing hotel staff . room ready pleased find one renovate room ( book ) 16th floor , room spacious clean , bathroom great fantastic shower . Room clean daily bed make . breakfast provide go New York Marketplace within hotel one morning , buffet style would stay away , much well place eat outside hotel pay $ 60 dollar two we couple pancake cook breakfast . order room service first night arrival way overprice also . location Hilton great Times Square , Fifth Avenue , Central Park five minute away . overall hotel clean comfortable probably would stay . 
 Mar 8 2008 	 Good Hilton 	 use American Express point convert Hilton Honors point . room renovate . great shower bathroom . King size bed deluxe room 16th floor . good night sleep . nice decor rust gold . great tv couch . only negative were:1 . previous night coffee cup glass leave outside door entire hallway 1 pm check follow day 11 check . 2 . Maids hang around hallway one room wait appear tips.3 . wooden furniture room severly nick four place . 4 . property , tell use point get room breakfast include club floor . breakfast NY Market Restaurant obscenely overprice . two coffee , one juice , two bagel cream cheese jelly $ 30.00 plus tax tip . 
 Mar 7 2008 	 good location good room 	 Hilton well situate middle Midtown , within walk distance Central Park Columbus Circle . neighborhood easily reach cab bus . room large New York standard recently renovate nice decor . Crabtree Evelyn toiletry , nice touch . wall bit thin bit noisy people hall . lobby small limited seating not think big issue . check - in quick fairly friendly . 
 Mar 7 2008 	 disappointing 	 bad price NY City , hotel room stay Hilton chain favour . room decor old tired , handle miss tone cabinet , complimentarie ( except shower cap ) , indication poor housekeeping . staff desk particularly friendly . there much well Hiltons New York ( notably Hilton Times Square , want similar mid - town location ) . 
 Mar 5 2008 	 great hotel .... great location 	 definitely expect well .... queen bed instead king , hotel hallway pretty beat , bed not super comfy . also , real temperature control , room warm we , even though coolest setting . however -- great location , middle ny , walk distance museum , theater , central park shopping , end , make mediocre hotel room . 
 Feb 29 2008 	 Love New York Hilton 	 stay New York Hilton 5 night 16 February . second 5 night stay love . arrive 12.30 p.m. not think would room we . nicely surprise even surprised saw beautifully renovate room comfortable king bed . thank Nati reception . mini bar lock contact reception send someone immediately seal . lobby bar pleasant . drink expensive , expensive find drink anywhere New York . also excellent piano player lobby evening . love hotel . even though extremely big busy feel right home New York Hilton . central everything walk everywhere . service good staff friendly courteous . definitely back . 
 Feb 24 2008 	 good location much well hotel dollar . 	 stay , attend International Emmys , hold hotel , however would stay choice . although location goood , slap bang theatre Broadway shop Fifth Avenue , sadly room . suite , good size . however , despite request double bed , husband give room two single bed , tell , like lump kind attitude - good customer service . bathroom miniscule , toilet squashed sink wall , inch overweight could not see could sit although bath , shallowest small have ever see , bathe pleasant experience . would expect suite Hilton , short far well place stay ny , try Michaelangelo Sofitel ! 
 Feb 18 2008 	 wonderful hotel great location 	 Hilton New York great location : close 5th Avenue , easy walk Broadway show , one - half block subway arrive hotel late morning pleasantly surprised able check immediately . desk clerk even upgrade we deluxe room ( wedding anniversary ) . room , 14th floor , beautifully furnish , top - quality sheet , wide - screen lcdtv , view corner 6th Ave & amp ; 53rd St. everything appear new , room quite spacious . room equip safe , coffee maker , mini bar . huge hotel , almost 2000 room . the restaurant hotel seem expensive we , Lou 's Cafe , directly across 53rd hotel , clean , reasonably price place breakfast , excellent omelet . really cheap eat , street vendor nearby get full meal chicken , lamb , beef $ 5 . also , willing walk 3 ( long ) block 9th Avenue , wide choice inexpensive restaurant line avenue . three recommend Uncle Nick 's ( Greek ) , Pam Real Thai ( 49th w 9th ) , Oyishi ( japanese ; 46th e 9th ) .When check , able leave bag hotel - attend luggage checkroom charge $ 3.50 per bag . convenient , since train leave evening . 
 Feb 13 2008 	 dangerous dirty Hallways 	 Long Islanders visit New York City couple time year last ten year theater fix . sometimes spend night two usually stay mid - town Hilton Sixth 53rd . ' location perfect – easy walk theater , decent restaurant , Fifth Avenue shopping , Central Park , major museum , part town busy hour . although hotel never elegant trendy " hotspot , " always reliably pleasant comfortable we two old lady -- travel 80 - year - old Mom . love fact room quiet , window open , bed excellent . always look forward beautiful cosmopolitan concoct fabulous bartender hotel ' Bridges Bar . hotel look little tired . room definitely need freshening . easy overlook hotel offer exactly need . , ' hard overlook housekeeping staff need freshen . during last stay encounter hallways cluttered huge green bin contain seem laundry , many -- yes , many -- housekeeping cart equipment blocking passage , service door prop open reveal trash bin debris guest need see . housekeeping staff indifferently cluster together chatty group guest struggle pass narrow hallway . now , understand housekeeping staff task cart equipment use always hide away , stuff seem hall times day , never move entire time stay ! ( yes , visit room several time day evening . ) first dismiss observation one - time exception , , couple stay , ' annoying rude . we always recommend Hilton family friend , hesitate . friend join we last stay February 8 , 2008 . book suite Executive Level . embarrassing . tout perfect hotel crawl rubbish field get room . several housekeeper literally lean wall . ironically , obvious rug room ' vacuum . sad . Sheraton , Le Parker - Merdien , several hotel within block two Hilton . need say ? 
 Feb 12 2008 	 Great Hotel Location 	 stay hotel 4 night , Executive Floor ( Rm 3539 ) . absolutely nothing complain hotel . first time excellent stay . room 2 double bed , request . room not one refurbish one , satisfactory trip , clean comfortable . bed comfortable wonderful Crabtree Evelyn product bathroom . Good New York Views ! ! staff helpful friendly . Continental Breakfast Executive Lounge adequate , free tea / coffe day , hot nibble serve bar open evening . ( lounge Executive room people , worth ) Hotel pefectly locate main attraction , walk distance Empire State , Grand Central Station , Rockafeller Centre , New York City Library , Broadway , shop 5th Ave many . also close tour bus ( recommend Grayline ) tour guide real new yorker certainly know stuff . numerous restaurant also within walk highly recomment follow - teds Montanna Grill ( order Bison fantastic ) , Del Fusco ( expensive worth ) , Heartland Brewery ( great lunch dinner ) . restaurant within easy walk distance hotel . Taxi - get private taxi Newark airport ( cost ( $ 75 ) get yellow cab hotel Newark cost we $ 86 - yellow cab always cheap ? fly continental Airlines - even though delay , excellent - fly . 
 Feb 2 2008 	 great business traveler 	 go New York every month one night business trip . second time stay . perfect business traveler . book Price line 1/3 go rate midtown hotel great bargain . check super fast 3 p.m. renovate room clean , well appoint flat screen comfy bed . bathroom clean well stocked . huge business orient / convention type hotel . lot style charm efficient . need ship something home little post office 2nd floor charge actual cost ship even wrap package etc free . staff helpful , etc need . would agree previous reviewer security building ... anyone walk walk right elevator concern . location excellent . block subway , rockefeller center , 5th ave shop , broadway , moma , etc . summary , great location clean , modern hotel great price . always easy find New York . ' ve pay much much less city . 
 Feb 1 2008 	 Bad Security Uncooked chicken sausage housekeeping service 	 security : anyone street roam sleeping room hall , get elevator & amp ; stairwell . ID require , key elevator . food : serve chicken sausage raw middle . housekeeping service room . bell staff : argue constantly . bellman want use computer case doorstop . say , , bellman argue . security : call check ID employee want access room , hotel way check . complain check , hotel reduce charge bill . however , would ever go back . glad get . 
 Jan 25 2008 	 great location ; decent value 	 stay one night business . great location business tourism , particularly Broadway / Times Square . room pretty large NYC standard , comfortable plenty amenity . staff helpful polite . price good property rate $ 229 taxis , probably due mid - january time frame . would stay business pleasure . 
 Jan 24 2008 	 good location 	 mean write week per usual life get way ! stay 23rd December till 28th December 2007.our flight badly delay arrive hotel til 3 am morning . phone hotel London gatwick tell late arival tell ok . anyway arrived check , go room , normal one ( executive ) 9th floor , 2 room child stay side ot corridor perfect . room clean comfy bed ever sleep away home ! book breakfast include thought would easy could get go morning without worry go eat . first morning late breakfast 9 rather large queue ( 20 minute wait . get seat get drink buffet . great buffet fresh fruit , bacon ( one bacon like americans ! ) , sausage , egg ayway imagine , cold meat , lot pastry ( heavenly ) bread , also salmon stuff oriental market , also something call Birchers Muesli ( look much like vomit therefor leave well alone ! ! ) leave confused pay breakfast thought , pay service charge $ 15.00 , happy self service bring we drink clear table . when return evening girl room ben make , call reception room clean , next day towel , towel . use hairdryer television would loose electricity room . small thing good put straight less immediately bit annoying . also showergel , ask get give shampoo conditioner ( hairy people ! ! ) perhaps use showergel , stay Hiltons get showergel anyway important . first morning use get breakfast 7 -7.15 queue . eventhough large hotel feel way , always people around never feel overcrowded . the hotel perfectly locate sight seeing , block Central Park , Times Square , subway station main shopping area . lot great delis around , go pub food great good value . New York Christmas , good fun , skate rink get busy , everyone look Rockefeller Tree would able move people , shop obviously busy nice atmosphere . Radio City show mindblowe . all great time . due leave get bill door , please check carefully try charge we nearly double , print out UK get rate book . also try charge we show first night ! also take payment credit card straight away , may need extend limit leave UK . reception helpful , take charge add . check bill would shock visa bill arrive . even persuade take service charge breakfast ! ! nice stay come back look hotel first . 
 Jan 20 2008 	 Best Location - great experience 	 do not notice place need refurbish . Christmas one warm holiday record . walk every amazing holiday ever . pro hotel location , location , location . 's Hilton - it be clean 's safe everything need rate going keep great time . cab always ready outside within walk distance Times Square , Central Park , 5th Ave .... walk Rockefeller Center do not remember take long . walk city get good experience limit cab 's enjoy city . Con 's hotel : think restuarant price food average . eat coupon ( much family 's horror ) . oh big problem . charge per bag late flight check . never anywhere else be not cheap - and do not take cc - cash use expensive atm get money . Radio City Music Hall across street many place get food bring back hotel . go get couple amazing pizza 's walk Times Square hotel bring back . deli street many kind resturants street get bite . the gym small good spa service great . I would recommend hotel people experience traveler , maybe nervous navigate self NYC . girl trip , trip kid would also benefit hotel well situate . 
 Jan 17 2008 	 Location mean everything 	 New York still great city visit Hilton hotel 6th ave 53rd street excellent base . refurbish present new room much nice old one . really go location . subway closeby also walk many sight hotel . well worth consider visit big apple . 
 Jan 17 2008 	 Disappointed Overall -- Four - Star Property 	 disappointed hotel . room , public facility , level service match 3 3.5 - star hotel -- fall well short 4 - star rating advertise . although massive hotel full , place tiny room ( 601 ) poor repair . room wear tired . hotel , centrally locate , enormous everything feel impersonal heavily use . feel though one 3,500 guest there . the level service equally disappointing room . much difficulty try , unable use fast check - out kiosk reservation wait long line process manually . later learn mistakenly $ 0.01 balance account , prevent kiosk work we . although 10 - minute waiting line front desk , front desk attendant show sense urgency interest move line along . several , fact , simply linger back watch line . overall , disappointing experience . fortunately , stay one night . 
 Jan 16 2008 	 Rennovated Rooms Excellent ! 	 many might turn away fact huge , old Hilton Hotel literally thousand room . might nicely surprised ... come NYC business pleasure know not need hotel amenity like gym restaurant , need comfortable room , excellent choice . the & quot ; rennovated & quot ; room Hilton first - rate , reasonable space include huge desk couch , LCD television , great bathroom excellent , insulate shower box , usual dirty bath tub shower head . shower head really good , way . the location near Times Square central excellent . get taxi even rush hour flag one street may prove impossible . 
 Jan 9 2008 	 run like well oiled machine 	 stay two night . book quick easy . room ready 44th floor . change rooms window nail shut room yet upgrade . anything available executive floor move 7th floor . lose great view gain fresh air . staff wonderful request . room two queen bed , comfortable . great product clean bathroom . flat screen t.v , mini bar , desk chair coffee maker . mini bar price high , $ 5 coke would suggest buy beverage gift shop lobby . eat bar highly recommend Sliders , delicious . breakfast good New York Marketplace . starbuck next door . location close shoppingon 5th Ave . find Hilton great value would suggest sign point program get airline point well . 
 Jan 8 2008 	 unimpressed 	 Date : 8th January 2008reviewer : Anne & amp ; John Scott , Kinneff , Scotland . Date trip : 15 - 20 Dec 2007early 2007 book two executive room New York Hilton trip NYC December . choose hotel previously stay Hilton Times Square think excellent . big mistake ' m afraid . say , book two exec room call hotel 2 week prior trip ensure room ajoine least floor . check 44th floor reception discover room 10 , yes 10 floor apart . grant eventually find we two ajoine room floor 35 happen first place . discover could use telephone room swipe credit card . well , , original room floor 44 change room floor 35 cancel reswipe transfer swipe substitute room . breakfast floor 44 complimentory exec room . trouble , place small join queue along 44th floor corridor ( outside resident room ) get place . inside , plainly overcrowded . offer guest want take breakfast back room ok . ' m afraid , juggle breakfast 3 along corridor 9 floor much . finally overcharge we two half grand stay amend error politely point out . all , NYC great , Hilton 6th Avenue great . staff courteous however clearly overwork . get feel hotel could cope mid December crowd . we avoid one next time . 
 Jan 8 2008 	 good hotel great location 	 large hotel unfriendly . drink bar ( mini bar ) expensive . eat hotel always massive queue breakfast - breakfast include room rate , would advise find din nearby ( plenty ) . room spacious , clean comfortable Business Centre good facility include internet access . location beside Radio City Music Hall could well tour city plenty yellow cab right hotel 's front door . , decent hotel would stay . 
 Jan 4 2008 	 Plenty Room New York ! ! 	 wife , daughter come New York New Year warning & quot ; rude people small room & quot ; ring ear . first thing put pay myth size room . large ever stay certainly much big expect plenty big anything normally associate big city hotel . second myth bust daughter fall ill 24 hour stomach bug shortly arrive ( nothing hotel food ! ) staff could not helpful . leave we alone want bent backwards help need , point even one maid advise we give child help recover make real fuss daughter ! even room service acccomate adapt service ready eat , Hotel good excellent staff service great location sight . definitley stay . 
 Jan 3 2008 	 Loved Hilton 	 love Hilton check - in check - out ! tanya registration clerk great . 3 room available we floor 1 pm . elevator 5 minute wait . room nice size NYC , nice renovated decor . one disappointment handicap accessible room bathroom real problem water run entire floor , would never get type room . nice view 6th Ave . friendly guy elevator extra coupon free breakfast MarketPlace give we 2 , food pretty bad buffett , thank goodness free . service great though , nice waiter . a member party take ill day check - out Manager Day nice let stay room 4 pm without extra charge rest we finish shop sightseeing . major drawback hotel would $ 3 / bag charge luggage storage . never pay luggaage storage hotel stay throughout city . Hilton could really get rid charge promote customer service ! location cleanliness 2 good aspect hotel . 
 Jan 2 2008 	 Great Hotel great costumer service 	 love Hilton New York , 's incredible location , 's huge hotel ( 2000 room ) , nice room , decent bathroom , comfy bed great costumer service . con hotel busy ( bad Christmas day ) , many time wait elevator 40 minuto wait table everyday breakfast Marketplace . 
 Dec 30 2007 	 nice room 	 stay 5 night , great hotel central , staff friendly . 
 Dec 26 2007 	 beware self opening minibar unwanted service visit 	 husband recently take annual December trip NYC stay Hilton New York 53rd Street 6th Avenue . immediately impressed spaciousness room . far one big hotel room stay , visit NYC . always take along 6 pack soft drink granola bar use hotel room , case get thirsty hungry need quick refreshment . trouble start first night . get back dinner immediately see minibar open . call front desk tell someone minibar gone not touch thing need . front desk associate tell we make note account nothing minibar would charge room . hour later , husband rest bed guy , dress service coat , walk right room . get almost whole way ask . say service minibar would come back later . husband tell need not take anything . next morning go walk lunch get back , maid serviced room . room rest , hour , next trip town sudden , maid come walk room . almost bed notice ask ? never answer , quickly apologize left . early next morning , get find express check sheet base door . look billing know , charge $ 21 minibar never use . try call front desk 4 time time , operator disconnect . get dress go front desk explain happen entire stay . front desk clerk quick assure charge take nothing else would charge room . later morning , husband decide go breakfast take quick walk around midtown would check hotel . return room , someone room ( checkout date , need anyone room officially check ) , minibar open , money lying desk take . nothing else room touch . bed still mess towel still floor bathroom . husband immediately check hotel even wait line sure could talk someone people room stay also minibar charge room never use . front desk clerk write issue copy bill assure we nothing else would charge room . evening check credit card account know , 's extra charge card Hilton New York $ 20 ( minibar , ' m sure ) ! like feel like sleeping & quot ; & quot ; , will like place , otherwise steer clear hotel , term & quot ; Disturb & quot ; ( even sign state ) exist minibar magically open ! 
 Dec 26 2007 	 OK 	 stay overnight hotel business meeting morning arrival . the hotel good 45 minute JFK . return , leave two half hour get flight nearly stay another night . meeting location town attendee , great choice one reason . check somewhat impersonal . one choice line get check person use credit card self - check . get message check desk package , back line . room typical nice hotel room . two queen bed , television , half dresser / tv cabinet , desk . window seat window look among may tall building nearby . bathroom small otherwise fine . wireless internet access room work meeting area well . first experience TV mildly negative . come fairly loudly , nearly immediate response knock room next door turn sound along verbal request turn sound . loud room reason turn , reveal wall bit thin , especially trouble hear speak request . our meeting mezzanine level glass enclose conference room . adequate , street noise intrude , area outside meeting room relatively open mezzanine level traffic . food meeting extravagent meal continuous snack otherwise . the exercise facility open 24 hour . get late West , 1 . well equip individual tv 's piece cardio equipment . clean headphone stack shelf along towel . lonely though , wonder anyone watching make sure not fall elliptical trainer . try indoor pool . check painless . hotel across street Grand Central Station . New Yorker , not realize probably fast reasonable way go airport rather car . 
 Dec 24 2007 	 Christmas New York = Beautiful ! ! 	 although understand review hotel , would also love review city ! ! ! Hilton New York great . one problem . 's Hilton , exactly would expect . not eat restaurant hotel , strolled street eat anywhere look good . one street vendor cook greek food ( gyro , souvlaki ... ) across street hotel try food ... awesome ! ! might wait bit though cause line - up long , well worth . staff good effecient . room perfect , clean good size . nice flat panel t.v 's comfortable bed think ' ve ever sleep . soft duvet pillow .... ahhh ... need walk city 12 hrs ! ! elevator quick - not find lot hotel ( patience hate wait elevator ) . location perfect we . close Rockerfeller Center ( want ) close enough walk Times Square & amp ; Macy 's ( 10 - 15 min walk ) . walk show ( Mamma Mia & amp ; Rockette Christmas Spectacular ) . really will not need taxi anywhere unless plan visit financial district ( ground zero , statue liberty ) ... guess depend go New York . shop ( lot ) , watch couple show , skated Rockerfeller Center , visit Top Rock , go beautiful ( indeed beautiful ) Bryant Park , Macy 's , Central Station , Madison Square Gardens , & amp ; basically 's time ( 3 day ) not taxi anywhere Hilton . take short bike - taxi back hotel one day cause foot hurt much 2 full day walk ! ! can not wait go back visit area not get see . bring good walking shoe ! ! love NY ... go .... be awesome . 
 Dec 18 2007 	 place huge ! good location . 	 another business trip , time large convention hold second floor huge hotel . way , cabbie tell big hotel NYC 2000 room , TripAdvisor list 1980 room , still amazing . different time , lobby seem like small town unto . make reservation organization put convention rate $ 385 . look cheap hotel area might stay less , could not find rate low group rate arrange . would recommend stay Hilton Honors floor program , seem less crowded quieter . room pretty big consider right city . king - room 25th floor nice view Sixth Ave . even 25 floor car horn emergency siren audible 10 PM traffic calm . everything room satisfactory ( see picture ) .In stay hotel fine . would not normally pay high price downtown hotel , would stay outside city . since work pay , event actually hotel , decide stay . there pool hotel pretty good gym facility . resturant lobby area nice convenience , sandwich platter drink run $ 18 . also buffet lunch weekday $ 18 2 pm . plenty resturant area 6th , plus plenty street food , even December , 's thing . I spend three hour walk Central Park check . spend 15- 20 minute walk Hilton straight 6th . point park nearby horse carriage ride ( top 6th ) , Carosel , Wollman rink , Poet 's Walk . 
 Dec 12 2007 	 Hilton still well ! ! ! 	 stay Hilton convention , give & quot ; special & quot ; rate $ 450 per night huge NYC standard time year . deluxe king room mean update . step bed , low light trigger foot light way not stumble . bed , always , like sleep cloud heaven . coffee maker , hair dryer , nice toiletry Crabtree & amp ; Evelyn make stay nice . marketplace breakfast nothing special , hey ... u r NYC , step outside door eat anything ! ! ! location obviously PRIME . get cab not always easy compete ( time ) 4,000 people convention . lobby lovely , employee always nice helpful . switch room 1 night heat ( obviously ) hotel could not cool room enough . move room across hall could crack window enough comfortable . stay Sheraton 7th last year .... YUCK ! ! ! ! love HILTON ! 
 Nov 30 2007 	 incredible location wonderful stay ! 	 although Hilton old one New York , keep remodel well furnish . amenity extremely nice service staff beyond reproach . great place & quot ; come home & quot ; end tiring day siteseee night theatre . this Hilton favorite New York ... ' ve stay posh Waldorf modern Millenium . ( fact , daughter become emotional Millenium overlook Ground Zero . ) Hilton smack dab middle Manhattan near theatre . and get good rate book Broadway.com purchasing show ticket Wicked . love , love , love ! 
 Nov 30 2007 	 Great Location family young kid 	 stay Hilton 8 night two kid ( age 8 & amp ; 9 ) . great location , nice room friendly staff . yes expensive australian standard ( $ 500 per night room would cost approx $ 250- $ 300 Australia ) New York . well locate family walk Central Park , Times Square Rockefeller Centre . high room ( around 30th floor ) experience noise . bed comfortable room always well clean . overall , great experience Hilton New York . 
 Nov 28 2007 	 Good Location Mediocre / Overpriced Hotel 	 day travel New York Thanksgiving , learn could stay family member due illness . think would fun stay near Macy ' parade route take 2 - year - old parade , choose Hilton — which would also put we central location visit scatter family member . location great ; walk parade , visit Central Park Zoo , take quick cab ride location . hotel , however , mediocre overprice . upon check , tell receive free upgrade . baffle information see tiny room one queen bed ( upgrade ? ? ) . request crib son , phone minute arrival ask crib could ready we , since around midnight . back - and - forth , clerk say " set " . course , crib room get , take half hour long arrive . barely enough room bed wall crib . throughout night ( every night ) , mysterious rumble noise keep awake ( unseen freight elevator , maybe ? ) . room rate include free american style breakfast Marketplace restaurant . decent enough ( except terrible coffee ) , include thing like banana , yogurt cup , small box cheerio could pocket son ' snack need . however , state value free breakfast $ 30 per person , gratuity calculate . fully expect tip staff complementary meal , price ridiculous . 2nd day , breakfast go " decent " " disappointing " husband get moldy orange . thing happen , -- $ 30 per person ? ? skip breakfast third morning . use room ' minibar fridge store milk son . fridge door crook , day Housekeeping would apparently open fridge , fail close wonky door properly , leave fridge crack open . $ 350- $ 400 night , minibar door ' hang ? regard lobby elevator , chalk crowd holiday weekend . see post , however , long wait elevator unique Thanksgiving . enjoy midtown , ' encounter major horror hotel , would try someplace else stay midtown . 
 Nov 26 2007 	 Wonderful Always 	 hotel wonderful . travel 3 teenage girl . check another hotel ( Doubletree - bad stay ) . upgrade we top floor awesome view city partial Central Park . room deluxe extremely roomy . oversized New York standard . give we complimentary full breakfast morning . clean helpful . could ask . 
