bad 	 friend check W Hotel Court high hope will similar W Hotels . let beginning till checkout . first , hotel elevator constantly break , even ridiculous thing hotel blame US stall elevator . not even ask okay , instead try cast blame we break elevator . even ridiculous thing not even shut . two elevator , avoid break one , since interest plummet death . not know name staff work Court , recognize none friendly situation we . secondly , room key never work , get new room key everyday , say magnetic strip & quot ; de - magnetize & quot ; easily . not even bother try day 1 , go front desk every time come back hotel . thirdly , hotel housekeeping non - responsive request cleaning room , live cheap either . three day , bathroom pile towel floor dirty . time get good service order room service . overall , good trip . 
 good hotel right price ... 	 reasonably impressed W Court . the room clean nicely decorate although starting look little bit tired around edge . get corner room probably help impression hotel . like lot hotel & quot ; somewhere 4 5 star & quot ; category one much pay . get cheap rate , pay $ 200 night feel good value money . be pay lot might start feel like 's rip off . the staff friendly efficient . example , one guy bag taxi ready go whilst check walk straight cab leave finish . 
 sadly go downhill . strongly recommend stay elsewhere . 	 background : stay twice W - Court 2007 2008 , respectively . strength experience previous stay , book two night stay Thanksgiving holiday year . sorry stay W - Court particular trip could disappoint subpar service , amenity room . first , hotel 's elevator fix throughout duration stay . two elevator adjacent fit 5 - 6 people max . imagine , one , nearly impossible get hotel without 10 - 15 minute wait elevator . 11th floor , not really option we hike . instead , wait wait . situation get frustrating desperate guest would pile elevator ( imagine 10 people elevator design 6 ) , would cause elevator get & quot ; stuck & quot ; floor . , imagine wait 10 minute elevator go room , getting say room find key hotel room long work hotel inadvertantly & quot ; locked & quot ; room . exactly happen we . twice . second , internal phone W - Court work . call front desk , say , ask wake call room service , ring busy ring ring . finally try call external line get . tell front desk attendant internal line not work , acknowedge problem say & quot ; switch phone company cause inconvenience . & quot ; Note stay hotel November 26 - 27 another reviewer site note problem November 16th ! 's 10 day non - functional phone ! okay , get front desk use external phone order room service Saturday morning . hour half later , still food . go downstairs ask whereabouts room service tell food & quot ; accidentally deliver W - Tuscany ( note W- court w- Tuscany immediately next door eachother ) & quot ; . although front desk offer send another room service order , decline , give whole room service business . lastly , bathtub drain need serious repair . water pressure shower quite good , even get shower , tub back water . time do showering , stand 3 - 3.5 inch stagnant water . ask front desk fix discover problem Thursday night , one ever come . stay room 1104 management incline reading review fix problem . upon checkout , speak Aline Urkumyan ( manager time ) problem characterized & quot ; small issue . & quot ; suppose right , outlined & quot ; small . & quot ; however , look event aggregate , make aggravate unpleasant stay . would never , ever stay suggest read thinking stay , please avoid unless make vast improvement . otherwise , great disappointment . 
 Feb 28 2005 	 contemporary atmoshere 	 stay Friday & amp ; Saturday night ( 2/25 & amp ; 26 ) . Booked Tuesday want Sofitel full many hotel . guess & quot ; Gates & quot ; Central Park renovate moma attract crowd . 's go see also . glad do . this hotel 39th street Park & amp ; Lexington & quot ; Murray Hill & quot ; section city - almost & quot ; Midtown East & quot ; convienent we see friend live 29th street . enter W Tuscany next door & quot ; W & quot ; lit get attention . W Court light . let we check Tuscany walk next door Court . lobby dark contemporary decor . take little adjustment come daylight . corner room stay ( 701 ) three window include awkward nice view Statue Liberty . bed super , housekeep excellent room please contemporary design . tight squeeze foot bed long desk wall . coffee pot room would like , not call desk ask one - maybe would supply one . dunno . look drink bar table reserve sign . ask could take drink lobby sit tell sit anywhere might ask move later . ? wait 10 15 minute without service decide leave . big deal , ( not complain ) confuse unwelcoming . we spend Saturday & amp ; Sunday street , museum restaurant crash night & amp ; morning hotel . breakfast & quot ; Frontier & quot ; restaurant corner 39th 3rd ( block away ) total $ 8.30 two plus tip . simple egg , homefrie , toast unlimited coffee cook right ( simple fresh ) .We would stay room quiet , clean , attractive comfortable . 
 Jan 4 2005 	 Pretty Good Stay apart room clean 	 stay Renaissance hotel Times Square , good size room big window . also stay W New York 49th Lexington , 170sq ft fun ... small room poor view . court boutique hotel really good size room , stay room 1203 good view Crysler building . room simple , however 1 window quite dark , however NYC hotel really good size . one particular day walk around whole NYC ( seem like ) come back 6 pm uncleaned room , thing happen , however not expect way people react , i.e . customer service quite rude . however say speak manager thing sort bottle wine arrive door . overall good hotel , good location , 3 block Grand Central Station ( lovely food hall ) . restaurant recommend would TAO ( Thai ) 58th Street Lex Park , go lunch $ 20 's bargain Thai food ( dinner double easy ! ) , BAO111 ( International ) Avenue c low East Village , great dinner fillet mignon fish curry amazing , BRASSERIE ( International ) 53rd Street around Lex Park , good place lunch late night steak great . MATSURI ( Japanese ) underneath Maritime hotel 16th Street 7th Avenue think really good dinner , funky . anyway back hotel , would recommend ... yes , good location , great size room , clean although not room service food well walk outside hotel considerably cheap . like Starbucks ( ! ) two within 1 block hotel . 
 Dec 24 2004 	 pleasant surprise good W city . 	 wow . W ? paraphrase generation , shut ! see review entitle , & quot ; Wonderland ? & quot ; W New York 7/2004 . place & quot ; boutique hotel & quot ; well boutique hotel Soho ... catch good day ? stop ! not time read , let attempt conciseness : 1 . get rate $ 200 . 2 . call request spectacular view ( balcony floor 12 16 ) . 3 . Pretend be guest friend 's apartment building happen small bar first floor ( lobby , W Times Square ) . 4 . concierge staff among good NYC , save maybe Trump 's Peninsula , be young Americans love New York . 5 . get brand - image thing . w , shmubleyou . Court make delete preconceived idea ' Hip Cool ' perception W hotel , hope . weekend last June original W New York uptown , pretty much decide W become ... oh , ninety - ism ? ah , yes : & quot ; ... five year ago ! ... & quot ; . maybe thing pick W property unique hotel alone , make wonder W brand concept applicable city give life . mean , one W per city , yes ... five ? one hit spot last weekend , decide spend $ 179 nyc hotel avoid charge $ 500 shipping $ 600 worth online Christmas gift shopping ( figure economic ... ) . mostly fantastic front desk , concierge , bell bar staff . unpack car check in / out , find good spinach manicotti manhattan , make feel honored guest private club ; not get taste & quot ; oh , be nice be pay & quot ; ... even bad , & quot ; yeah , will talk dude , will not talk old bag next & quot ; ... call , paraphrase another TripAdvisor reviewer , & quot ; d - list model syndrome & quot ; . real people = real service = : ) bottom line , however , not pay $ 179 get Starwood Preferred Guest upgrade , would not smile right . comb NYC online hour find rate 60 Thompson , far ' hipper ' joint Soho ... course , even holiday , not feel like professionally sneer . speak W Court 's refreshingly affable front desk staff ( yes , forget still call hospitality industry ) , request high floor view Chrysler building . hotel locate corner 39th Lexington ave , 11 block south W New York ... 21 block north W Union Square . corner location afford room 39th st . spectacular view north toward Chrysler building ; room Lexington face street apartment building ; room face inner air shaft see Empire State Building . room , 1103 , ' Spectacular King ' : large room high ceiling view . upgrade wonderful King , assume low floor . 12th floor Spectacular room balcony , going try next time . room end build ' reveal ' ( niche ) , bathroom 's window ( yes , bathroom window ) look 39th toward Park ave . room simple elegant residential way . W 's version westin Heavenly Bed heavenly ; easy chair window plush , beautiful wood table tv / dvd player small desk area . gripe : ethernet cable desk reach bed , not go online . Props W mini bar stock full - size drink bottle ( , uh , full - size price ... ) , offer automatic climate control build previously none ( Doral Court 20th century ) . another complaint 11:30 offer five item room service include burger , soup , couple sandwich omelet ... ' ve delicious $ 18 burger two half decade , decide New York all - nite italian delivery . tip : CONCIERGES GREAT . will bend backwards , understand appeal $ 25 omelet 2 not extend far past boardroom . W Court 's good one city , much character W Times Square , new hotel context . distill good element W concept not overblow , like W New York , commodify like W Union Square , stuff one - liner like W Tuscany . 
 Oct 11 2004 	 ok hotel horrible w 	 stay around 70 night per year hotel , starwood property , many W hotel . hotel W Hotel standard . hotel wear , elevator break , staff disintereste , airconditione loud , poor soundproofing , etc . will not stay . 
 Oct 6 2004 	 wow ! 	 start finish really wow service comfort hotel . stay September 29 October 5th upon check starwood gold status recognize bump level . offer one bedroom suite amazing price even able get offer price little take . regret end 700 sq foot suite . large people entire apartment NYC ! ! brief rundown . lobby ( living room ) cozy great ambient light good music play . lobby also wetbar , expensive amazing drink , worth treat least one night . Icon restaurant also expensive extremely good . the room simply amazing great bliss bath amenity , great shower pressure always comfortable W bed . first day shower drain work rather slowly . upon notify welcome desk someone fix within hour also send nice fruit basket bottle wine apologize problem . noise problem room also really enjoy dvd player cd player ( come nice selectoion music sleep cd 's ) .The thing could find fault fact room coffee make service . love morning coffee bit let work okay countless great place coffee within block direction hotel fun try different place . the location superb . short 3 block walk grand central station great catch subway direction . Park ave Madison ave shortage restaurant activity extremely close by . I recommend location without hesitation anyone look & quot ; residential & quot ; type feel along hip atmosphere personal service . 
 Sep 24 2004 	 Peace 	 recently stay W – Court pleasant experience . ask receive corner room high floor . ' read Manhattan hotel room small prepare bad . kind tight foot bed desk , room wider , small ( comfy ) chair coffee table next window . wall paint white brighten room ' giant ( 6 ' + ) mirror help make room appear big . room overlook 39th Street , nice view Chrysler Bldg . I surprise find walk - in closet . surprised find one comfortable hotel bed ever . really ' beat bed Westin . I verify shower dark , big deal . hard time keep water get floor ; ' lip bottom frame shower prevent happen . rain - style showerhead much nice low flow cheapo shower massage unit find every hotel . lot pressure hot water boot . bell service concierge quite helpful hail cab get Queens train . the hotel dare - I - say sleepy Murray Hill neighborhood Manhattan away chaos noise . neighborhood definitely residential feel . still , ' three block walk Grand Central , boon ' take train NY Airport Service shuttle airport midtown . ' look something close action , Court might answer . meet expectation complaint . 
 Sep 22 2004 	 fantastic minor flaw 	 Court beautiful hotel , upscale design . suite large comfortable , bed INCREDIBLE , especially headboard pillow . become substandard . all request ( comb , toothbrush , ice ) deal promptly except one time ice take half hour reach room . also , request wake - up call never make , extra valet parking charge bill . valet parking make free employee check we , apology receive call . I can not wait go back . Register spg . 
 Jul 7 2004 	 Loved ! 	 stay daughter mother 's day . greet long stem chocolate rise - nice touch . room excellent , service superb responsive . tv break 11 pm night , send someone right away fix . loved location , nice quiet . Enjoyed & quot ; Wet Bar & quot ; ! would highly recommend . 
 Jun 8 2004 	 great value price 	 stay group girlfriend long , holiday weekend . rate great room 2 queen bed . take advantage nice tv , dvd player . housekeeping wonderful accommodate request extra robe , towel , product . concierge staff extremely helpful recommend restaurant , transportation , spa appointment . location convenient , near convenience store , liquor store , deli , coffee shop , restaurant , transportation . 
 Jun 8 2004 	 recommend condition 	 reading review hotel , wonder look different place stay always stay friend nyc . turn enjoy hotel immensely , get great room , initially put we run - of - the - mill , dark area seem undesireable . when arrive little 3 pm , room type request ( high - floor , corner room ) not available tell we come back hour . return , put we 14th floor ( hotel 16 floor -- really 15 13th floor ) , room look onto brick wall , small . call desk explain problem . immediately send key another room 12th floor perfect long balcony overlook 39th Ave . Chrysler building . stay original room , rate hotel would average worth get cheap rate . get nice room , incredible view , great balcony , extremely pleased . ' m gold member SPG plan may work well ... not know . the area hotel favorite . 's business - orieante after - work hour weekend , be pretty much dead . dead NYC standard anyway . live Orlando , NYC dead Orlando 's equivalent New Year 's Eve . could pick location , would rather stay West Village Union Square , midtown good spot want explore village area park / upper east west side . get around fairly easy . subway 42nd Lexington ( three block north Lexington hotel ) . service excellent . really give we whatever , whenever . press button , within couple minute , show door whatever request . the bathroom small , fine . like shower W hotel non - w hotel well , get we clean , be good . get rid tub put straight shower ; tub shallow can not imagine use bath . the bed W hotel : be great . one review say sheet crisp uncomfortable . whatever . bed extremely comfortable ... least know will get great bed matter room look like . I would recommend hotel either not care money get good deal ( $ 200 ) get preferred room . like say , pay 280 / night dingy room w/ view , review would much different . also , be bother small problem ( e.g . knick wall , scratch desk , etc ) , stay somewhere else . plenty small scratch room could probably use re - painting ( room fine , extremely picky , might dissapointe ) . also , W hotel , happy see ' adult ' selection include good amount gay title . , true equality gay not come marriage right , accessibility hotel porn , right ? kidding , case be slow one . , find fact gay porn shocking , stop stay hotel ... people annoyance . 
 Jun 3 2004 	 Pleasant otherwise unspectacular hotel 	 first & quot ; W & quot ; experience , stay numerous Starwood property . hotel staff nice ever come across hotel . room nicely appoint , really expectation & quot ; W & quot ; brand . bathroom light pretty much joke ; one dim light sink . shower curtain close , could not even see bottle shampoo ! large nicely appoint . , , nice . would want pay $ 250+/night , steep quality room . pay $ 160 / night , worth price NYC . 
 May 18 2004 	 w yes . w heck . 	 drain not work loud air conditioning unit combine really hard time fix billing error make W negative experience ' ve StarWood property last 18 month . 8 W 's ny - try one . 
 Apr 29 2004 	 W standard 	 stay W Court three day weekend follow Easter . previous stay New York W Times Square , hotel much enjoy . time enticed & quot ; three night price two & quot ; special rate offer Court W web site . we ask nice room since celebrate tenth wedding anniversary , however room receive hardly & quot ; spectacular & quot ; advertise . bathroom tiny , well maintain much need grout clean paint job ... definately spectacular . room also small find small drawer chest , turn sideways closet , useless , perhaps remove chaise lounge size room replace drawer place put clothe . try turn HVAC fan low give stuffy little room air sleeping would not stay instead listen air conditioner clunk endlessly night . final negative non - functioning in - room safe long wait two small elevator . on positive side , staff hospitable , bed location good . starwood do great job marketing W brand , hotel however meet expectation set advertising standard set hotel . 
 Apr 14 2004 	 W - Court simply spectacular ! 
 Mar 11 2004 	 birthday weekend 
 Jan 5 2004 	 Comfy bed ! stylish ! 
 Dec 24 2003 	 Expirence Remember 
 Nov 26 2003 	 READ ADS pay attention ! 
 Sep 23 2003 	 Love W New York Court ! 
 Sep 12 2003 	 wonderfully stylish convenient ! 
 Sep 8 2003 	 Great Service 
 Sep 4 2003 	 Modern 
 May 30 2003 	 Nice Hotel ! 
 Oct 5 2009 	 NY la ville qui ne dort jamais 
 Oct 3 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? 
 Jan 12 2009 	 che delusione 
 Jan 10 2009 	 hotel très élégant et confortable très bien situé 
 Apr 2 2008 	 W comme ` ` would well ... '' 
